   yuktidīpikā //	yukti dIpikA //
   pūrvatantraśeṣabhāvāditi cet, tulyam / etānyapi pūrvatantraśeṣabhūtāni,	pUrva tantra Seza BAvAt iti cet, tulyam / etAni api pUrva tantra Seza BUtAni,
   teṣāmapi prakaraṇatvaprasaṅgaḥ / atha matam 	tezAm api prakaraNa tva prasaFgaH / aTa matam 
   sakalapadārthasaṃgrahāttantrāntarāṇyetāni, evamihāpi	sakala padArTa saMgrahAt tantra antarANi etAni, evam iha api
   sakalapadārthasaṃgrahāttantrāntaratvamabhyupagantavyam /	sakala padArTa saMgrahAt tantra antara tvam aByupagantavyam /
   tasmādyuktametattantramidam / ityupodghātaḥ //	tasmAt yuktam etat tantram idam / iti upodGAtaH //
             kārikā 1	kArikA 1
        āha, kiṃguṇaviśiṣṭāya śiṣyāya punaridaṃ tantraṃ vyākhyeyamiti /	Aha, kiMguNa viSizwAya SizyAya punar idam tantram vyAKyeyam iti /
        ucyate  jijñāsave matimate mīmāṃsakāyārthine 'bhyupagatāya śiṣyāya	ucyate jijQAsave matimate mImAMsa kAya arTine aByupagatAya SizyAya
   vyākhyeyaṃ śāstram /	vyAKyeyam SAstram /
        kasmāt ?	kasmAt ?
        paramarṣiprāmāṇyāt / yasmād bhagavān viśvāgrajaḥ	parama Rzi prAmANyAt / yasmAt BagavAn viSvAgrajaH
   paramarṣirbhagavadāsurerjijñāsāmupalabhyottaraguṇaviśeṣasampadaṃ ca	parama RziH Bagavat AsureH jijQAsAm upalaBya uttara guNa viSeza sampadam ca
   vyākhyātavān / raja eva duḥkhaṃ tannirākariṣṇorviveko 'yaṃ, sattvāt /	vyAKyAtavAn / rajaH eva duHKam tad nirAkarizNoH vivekaH ayan, sattvAt /
   sattvaṃ cāsmānnānetyevamādinā vacanapratipādyo 'yamartho mahadbhiścoktaḥ /	sattvam ca asmAn nAnA iti evamAdinA vacana pratipAdyaH ayam arTaH mahadBiH ca uktaH /
   tasmādrajoduḥkhopaghātopaghātakajijñāsoḥ	tasmAt rajaH duHKa upaGAta upaGAtaka jijQAsoH
   sattvāddharmādikuśalamūlavipākotpitsorduḥkhatrayanivṛttaya idaṃ śāstraṃ	sattvAt Darma Adi kuSala mUla vipAka utpitsoH duHKa traya nivRttayaH idam SAstram
   pravṛttam / tadarthātpariṇamate śiṣyasyeti / kathaṃ nāma śiṣyasya	pravRttam / tad arTAt pariNamate Sizyasya iti / kaTam nAma Sizyasya
   niḥśreyasena yogaḥ syādityevamarthamidaṃ vyākhyānaṃ kriyata iti /	niHSreyasena yogaH syAt iti evam arTam idam vyAKyAnam kriyate iti /
        āha, yaduktaṃ jijñāsave vyākhyānaṃ kartavyamiti tatra kutaḥ punariyaṃ	Aha, yat uktam jijQAsave vyAKyAnam kartavyam iti tatra kutas punar iyam
   jijñāsā kasmin vārthe bhavatīti ?	jijQAsA kasmin vA arTe Bavati iti ?
        ucyate   yattāvaduktaṃ kutaḥ punariyaṃ jijñāsā bhavatītyatra brūmaḥ	ucyate  yat tAvat uktam kutas punar iyam jijQAsA Bavati iti atra brUmaH
        duḥkhatrayābhighātājjijñāsā	duHKa traya aBiGAtAt jijQAsA
        duḥkhaṃ raja ityanarthāntaram / duḥkhayatīti duḥkhaṃ bhavatīti /	duHKam rajaH iti anarTa antaram / duHKayati iti duHKam Bavati iti /
   trayamiti saṃkhyāpadaṃ sarvadravyaviṣayaṃ, duḥkhaśabdena viśiṣyate /	trayam iti saMKyA padam sarva dravya vizayan, duHKa Sabdena viSizyate /
   prādhānyācca vyatiriktabuddhyā gṛhyamāṇaṃ sambandhitvādādhārasya	prADAnyAt ca vyatirikta budDyA gRhyamANam sambanDi tvAt ADArasya
   bhedanibandhanāyāḥ ṣaṣṭhyā nimittattvaṃ pratipadyate  duḥkhānāṃ trayaṃ	Beda nibanDanAyAH zazWyA nimittattvam pratipadyate duHKAnAm trayam
   duḥkhatrayam /	duHKa trayam /
        abhihanyate 'nenetyabhighātaḥ /	aBihanyate anena iti aBiGAtaH /
        kaḥ punarayamabhighāto nāma ?	kaH punar ayam aBiGAtaH nAma ?
        ucyate  yo 'sāvuparyuktaduḥkhatrayeṇāntaḥkaraṇena	ucyate yaH asO= upari ukta duHKa trayeNa antaHkaraNena
   cetanāśakterabhisambandhaḥ / tasmādduḥkhatrayābhighātājjijñāsā /	cetanA SakteH aBisambanDaH / tasmAt duHKa traya aBiGAtAt jijQAsA /
        yaduktaṃ kasminnarthe bhavatīti tatrāha 	yat uktam kasmin= arTe Bavati iti tatra Aha 
             tadapaghātake hetau /	tad apaGAtake hetO /
        apahantītyapaghātakaḥ, tasyāpaghātakastadapaghātakaḥ /	apahanti iti apaGAtakaH, tasya apaGAtakaH tad apaGAtakaH /
        āha, tadapaghātake iti samāsānupapattiḥ, pratiṣedhāt / kartari yau	Aha, tad apaGAtake iti samAsa anupapattiH, pratizeDAt / kartari yO
   tṛjakau tābhyāṃ saha ṣaṣṭhī na samasyate / tasmāttasyāpaghātaka iti	tRjakO tAByAm saha zazWI na samasyate / tasmAt tasya apaGAtakaH iti
   vaktavyam /	vaktavyam /
        ucyate  na, śāstre darśanāt / "tatprayojako hetuśca" iti śāstre	ucyate na, SAstre darSanAt / "tad prayojakaH hetuH ca" iti SAstre
   dṛṣṭaḥ prayogaḥ / padakāraścāha  jātivācakatvāt / tathā kadācidguṇo	dRzwaH prayogaH / pada kAraH ca aha jAti vAcaka tvAt / taTA kadAcid guNa u
   guṇaviśeṣo bhavati, kadācidguṇinā guṇo viśiṣyata iti cūrṇikārasya prayogaḥ	guNa viSezaH Bavati, kadAcid guNinA guNaH viSizyate iti cUrNikArasya prayogaH
   tasmadanavadyametat /	tasmadanavadyam etat /
        ayaṃ tu piṇḍārthaḥ / trividhena duḥkhenābhihato	ayam tu piNxa arTaH / triviDena duHKena aBihataH 
   brāhmaṇastadapaghātakaṃ hetuṃ jijñāsate / ko nāmāsau hetuḥ syādyo	brAhmaNaH tad apaGAtakam hetum jijQAsate / kaH nAma asO hetuH syAt yaH 
   duḥkhatrayamabhihanyāditi /	duHKa trayam aBihanyAt iti /
        āha, duḥkhaśabdāvacanamādāvamaṅgalārthatvāt / maṅgalādīni hi śāstrāṇi	Aha, duHKa SabdA vacanam AdO= amaFgala arTa tvAt / maFgala AdIni hi SAstrANi
   prathante vīrapuruṣāṇi ca bhavanti, adhyetāraśca maṃgalenābhihatasaṃskārāḥ	praTante vIra puruzANi ca Bavanti, aDyetAraH ca maMgalena aBihata saMskArAH
   śāstrārthānāsu pratipadyante / duḥkhamityayaṃ cāmaṅgalārthaḥ śabdaḥ,	SAstra arTAnAsu pratipadyante / duHKam iti ayam ca amaFgala arTaH SabdaH,
   tasmānnārabdhavyaḥ śāstrādāviti /	tasmAt na ArabDavyaH SAstra AdO= iti /
        ucyate na, vākyasyārthe prayogāt	ucyate na, vAkyasya arTe prayogAt 
   padasyānarthakyādamaṅgalārthatvānupapattiḥ / vākyamarthapratyāyanārthaṃ	padasya anarTakyAdamaFgala arTa tva anupapattiH / vAkyam arTa pratyAyana arTam
   prayujyate, viśiṣṭārthābhidhānāt / na padam / tathā hi padārthavyatirekeṇa	prayujyate, viSizwa arTa aBiDAnAt / na padam / taTA hi padArTa vyatirekeNa
   viśiṣṭa eva vākyārthaḥ pratīyate, kevalaṃ tu padaṃ sāmānyārthādapracyutaṃ	viSizwaH eva vAkya arTaH pratIyate, kevalam tu padam sAmAnya arTAt apracyutam
   viśiṣṭārthābhidhānāsamartham / ataeva na	viSizwa arTa aBiDAnA samarTam / ataeva na
   vivakṣitārthapratyāyanayogyatayopādīyate / tadyathā  devadattetyayaṃ	vivakzita arTa pratyAyana yogya tayA upAdIyate / tat yaTA devadattA iti ayam
   śabdaḥ kartṛvācakatvenopāttaḥ, sarvakriyāviṣayatvāt, nāntareṇa	SabdaH kartR vAcaka tvena upAttaH, sarva kriyA vizaya tvAt, na antareNa
   karmakriyāśabdau viśiṣṭārthaḥ pratīyate / tathā gāmiti karma,	karma kriyA SabdO viSizwa arTaH pratIyate / taTA gAm iti karma,
   sarvakriyākartrabhidhānanimittatvāt / tathā abhyājeti kriyā,	sarva kriyA kartR aBiDAna nimitta tvAt / taTA aByAja iti kriyA,
   sarvakarmakartṛviṣayatvāt / yadā tu devadatta gāmabhyāja śuklāmityucyate	sarva karma kartR vizaya tvAt / yadA tu devadatta gAm aByAja SuklAm iti ucyate
   tadā devadattena gośabdena karmāntarebhyo vicchidya svātmanyavasthāpyate /	tadA devadattena go Sabdena karma antareByaH vicCidya sva Atmani avasTApyate /
   kriyā ca gośabdaśca sarvakartṛbhyo devadattakarmatayā vyavasthāpyate /	kriyA ca go SabdaH ca sarva kartRByaH devadatta karma tayA vyavasTApyate /
   kartṛkarmaṇī cābhyājikriyāyāḥ sādhanabhāvenaiva niyamyete / śuklaśabdo	kartR karmaNI ca aByAji kriyAyAH sADana BAvena eva niyamyete / Sukla SabdaH 
   gośabdaśca gośabdaṃ sarvaguṇaviṣayamādheyāntarebhyo vyavacchedya svātmana	go SabdaH ca go Sabdam sarva guNa vizayam ADeya antareByaH vyavacCedya sva Atmana
   ādhāratve niyamya, tadviṣayatāṃ pratipādayatītyanena krameṇa viśiṣṭo	ADAra tve niyamya, tat vizaya tAm pratipAdayati iti anena krameNa viSizwaH 
   vākyārthaḥ / kevalānāntu padānāṃ sāmānyārthāt	vAkya arTaH / kevala anAntu padAnAm sAmAnya arTAt 
   pracyutānāmviśeṣānabhidhānādānarthakyam / āha ca 	pracyutAnAm viSezAn aBiDAnAt AnarTakyam / Aha ca 
        pṛthaṅniviṣṭatattvānāmpṛthagarthābhipātinām /	pRTak nivizwa tattvAnAm pRTak arTa aBipAtinAm /
        indriyāṇāṃ yathā kāryamṛte dehānna labhyate //	indriyANAm yaTA kAryam Rte dehAt na laByate //
        tathaiva sarvaśabdānāmpṛthagarthābhidhāyinām /	taTA eva sarva SabdAnAm pRTak arTa aBiDAyinAm /
        vākyebhyaḥ pravibhaktānāmarthavattā na labhyate // iti	vAkyeByaH praviBaktAnAm arTavat tA na laByate // iti
        evaṃ sati kuto 'yaṃ niścayapratilambho yadduḥkhaśabdo	evam sati kutas ayam niScaya pratilamBaH yad duHKa SabdaH 
   'yamamaṅgalārtho yāvatā sandihyata eva ayaṃ kiṃ	ayam amaFgala arTaH yAvatA sandihyate eva ayam kim
   svārthapratipattyarthamupātto 'tha heyatvāyeti / vākyasya tu	sva arTa pratipatti arTam upAttaH aTa heya tvAya iti / vAkyasya tu
   maṅgalārthatvam, duḥkhaprahāṇārthamupādānāt / yaddhi duḥkhaprahāṇārthaṃ	maFgala arTa tvam, duHKa prahANa arTam upAdAnAt / yat hi duHKa prahANa arTam
   vākyamupādīyate tanmaṅgalārthaṃ dṛṣṭam / tadyathā vyādhyapagamaḥ	vAkyam upAdIyate tad maFgala arTam dRzwam / tat yaTA vyADi apagamaH
   syādalakṣmīrmā bhūditi / duḥkhaprahāṇārthaṃ cedaṃ vākyamupāttaṃ	syAt alakzmIH mA BUt iti / duHKa prahANa arTam ca idam vAkyam upAttam
   tasmānmaṅgalārthamidam / tatra yaduktaṃ	tasmAt maFgala arTam idam / tatra yat uktam
   duḥkhaśabdāvacanamādāvamaṅgalārthatvādityetadayuktam /	duHKa SabdA vacanam AdO= amaFgala arTa tvAt iti etat ayuktam /
        āha, trayagrahaṇānarthakyaṃ, guṇaikatvāt / duḥkhaṃ raja iti	Aha, traya grahaNa AnarTakyan, guNa eka tvAt / duHKam rajaH iti
   pratipanno bhavān, taccaikaṃ śāstre paṭhyate /	pratipannaH BavAn, tat ca ekam SAstre paWyate /
   tasmāttrayagrahaṇamanarthakamiti /	tasmAt traya grahaNam anarTakam iti /
        nimittabhedādbhedopacāra iti cet, syānmatam / yadyapi ekaṃ duḥkhaṃ	nimitta BedAt Beda upacAraH iti cet, syAt matam / yadi api ekam duHKam
   tathāpi nimittānāmadhyātmādhibhūtādhidaivalakṣaṇānāṃ bhedādasya	taTA api nimittAnAm aDyAtma aDiBUta aDidEva lakzaNAnAm BedAt asya
   bhedopacāraḥ kariṣyata iti /	Beda upacAraH karizyate iti /
        tacca naivam /	tat ca na evam /
        kasmāt ?	kasmAt ?
        nimittānantyena guṇānantyaprasaṅgāt / ādhyātmikaṃ hi dvividhaṃ,	nimitta Anantyena guNa Anantya prasaFgAt / ADyAtmikam hi dviviDaM,
   śārīraṃ mānasaṃ ca / śārīraṃ tāvadvātapittaśleṣmaṇāṃ vaiṣamyanimittam /	SArIram mAnasam ca / SArIram tAvat vAta pitta SlezmaNAm vEzamya nimittam /
   tathā mānasaṃ	taTA mAnasam
   kāmakrodhalobhamohaviṣādabhayerṣyāsūyāratyaviśeṣadarśananimittam /	kAma kroDa loBa moha vizAda Baya IrzyA asUyA rati aviSeza darSana nimittam /
   ādhibhautikaṃ ca manuṣyapaśumṛgapakṣisarīsṛpasthāvaranimittam /	ADiBOtikam ca manuzya paSu mRga pakzi sarIsRpa sTAvara nimittam /
   ādhidaivikaṃ śītoṣṇavātavarṣāśanyavaśyāyāveśanimittam / tatra	ADidEvikam SIta uzNa vAta varza aSanyavaSyAya AveSa nimittam / tatra
   nimittabhedāttritvapragijñasya guṇānantyaprasaṅgaḥ, sa ca neṣṭastasmānna	nimitta BedAt tritva pragijQasya guNa Anantya prasaFgaH, sa ca na izwaH tasmAt na
   nimittabhedāttritvam /	nimitta BedAt tri tvam /
        ucyate  yaduktaṃ rajasa ekatvāt tritvānupapattiḥ, tasya nimittabhedāt	ucyate yat uktam rajasaH eka tvAt tritva anupapattiH, tasya nimitta BedAt 
   tritvopacāra iti satyametat / yattūktaṃ nimittānantyena guṇānantyaprasaṅga	tritva upacAraH iti satyam etat / yat tu uktam nimitta An antyena guNa Anantya prasaFga
   iti tadayuktam / kasmāt ? bhede 'pi sati	iti tat ayuktam / kasmAt ? Bede api sati
   varṇasaṃkhyāvaddvyavasthānopapatteḥ / tadyathā catvāro varṇā ityasyāḥ	varNa saMKyA vat dvi avasTAna upapatteH / tat yaTA catvAraH varNAH iti asyAH
   saṃkhyāyāḥ sati paippalādādibhede teṣāṃ brāhmaṇatvādivyatirekābhāvānna	saMKyAyAH sati pEppalAdAdi Bede tezAm brAhmaNa tva Adi vyatireka aBAvAt na
   saṃkhyāntarahetutvaṃ no khalvapi varṇāvyatirekādekatvaṃ bhavati / evaṃ	saMKyA antara hetu tvam no Kalu api varNa avyatirekAt eka tvam Bavati / evam
   trīṇi duḥkhānītyasyāḥ saṃkhyāyāḥ sati śarīrādibhede	trINi duHKAni iti asyAH saMKyAyAH sati SarIra Adi Bede
   teṣāmādhyātmikādivyatirekāsambhavānna saṅkhyāntarahetutvaṃ no khalvapi	tezAm ADyAtmika Adi vyatireka asamBavAn na saFKyA antara hetu tvam no Kalu api
   duḥkhāvyatirekādekatvaṃ bhavitumarhati / kiñcānyat, nimittabhedād	duHKa avyatirekAt eka tvam Bavitum arhati / kiQca anyat, nimitta BedAt 
   bhedopacāra iti bhavāneva pratipannaḥ / na copacāraḥ paramārtha	Beda upacAraH iti BavAn eva pratipannaH / na ca upacAraH parama arTa
   ityalamasthāne yatnena /	iti alam asTAne yatnena /
        āha  abhighātājjijñāsāyāmatiprasaṅgaḥ, sarveṣāṃ sambhavāt /	Aha aBiGAtAt jijQAsAyAm ati prasaFgaH, sarvezAm samBavAt /
   yathāsurerduḥkhatrayābhighātājjijñāsā bhavatītyetadiṣṭaṃ tena	yaTA sureH duHKa traya aBiGAtAt jijQAsA Bavati iti etat izwam tena
   sarveṣāmabhighāto 'stīti sarveṣāṃ jijñāsāprasaṅgaḥ / atha mataṃ	sarvezAm aBiGAtaH asti iti sarvezAm jijQAsA prasaFgaH / aTa matam
   duḥkhābhighāte kasyacijjijñāsā bhavati kasyacinneti / nanvevamicchāmātram	duHKa aBiGAte kasyacid jijQAsA Bavati kasyacid na iti / nanu evam icCA mAtram
   / prākprasaṅgācca / prāgapyāsurerjijñāsāyā duḥkhatrayābhighāto na	/ prAc prasaFgAt ca / prAk api AsureH jijQAsAyAH duHKa traya aBiGAtaH na
   cāsyātyantike hetau jijñāsā babhūva / tena kiṃ prāptam ? paścādasya yato	ca asya Atyantike hetO jijQAsA baBUva / tena kim prAptam ? paScAt asya yatas 
   babhūva tadvaktavyam / yathānyatra brahmaṇo 'bhyāsanimittādadharmakṣayāt	baBUva tat vaktavyam / yaTA anyatra brahmaNaH aByAsa nimittAt aDarma kzayAt
   pūrvadharmānugrahācca vividiṣā, tathānyeṣāṃ kuśalamūlābhyāsaparipākāt / na	pUrva Darma anugrahAt ca vividizA, taTA anyezAm kuSala mUla aByAsa paripAkAt / na
   cāpadiṣṭamato laghūktametat / kiñcānyat, tadapaghātāccānirmokṣo	ca apadizwam atas laGu uktam etat / kiQca anyat, tad apaGAtAt ca anirmokzaH 
   'kṛtsnatvāt / mokṣo hi kāmarūpārūpyadhātutrayādiṣyate /	akRtsna tvAt / mokzaH hi kAmarUpArUpya DAtu traya At izyate /
   daivamānuṣyatiryagyonitrayādvā / ekadeśaśca saṃsārasya duḥkhatrayam /	dEva mAnuzya tiryagyoni trayAt vA / eka deSaH ca saMsArasya duHKa trayam /
   tasmāt prayojanamapyayuktam / kiñca	tasmAt prayojanam api ayuktam / kiQca
   nimittāntarasadbhāvāddivyakāmadhyānasukhānapekṣasyāpi vividiṣā sambhavati,	nimitta antara sadBAvAt divya kAma DyAna suKa anapekzasya api vividizA samBavati,
   na kevalaṃ tāpodvignasyāpi / tasmānnimittamapyayuktam / kiñcānyat /	na kevalam tApa udvignasya api / tasmAt nimittam api ayuktam / kiQca anyat /
   ubhayathā cāsambhavāt / parikalpyamānā khalvapīyaṃ jijñāsā puruṣasya vā	uBayaTA ca asamBavAt / parikalpyamAnA Kalu api iyam jijQAsA puruzasya vA
   syādguṇānāṃ vā / kiṃcātaḥ ? tanna tāvatpuruṣasya sambhavati / kasmāt ?	syAt guNAnAm vA / kiMca atas ? tat na tAvat puruzasya samBavati / kasmAt ?
   nairguṇyābhyupagamāt /	nErguNya aByupagamAt /
   icchādveṣaprayatnasukhaduḥkhadharmādharmajñānasaṃskārāṇāmātmaguṇatvaṃ na	icCA dveza prayatna suKa duHKa Darma aDarma jQAna saMskArANAm Atma guNa tvam na
   bhavadbhirabhyupagamyate / na guṇānām, ācetanyāt / na hyacetanā ghaṭādayo	BavadBiH aByupagamyate / na guNAnAm, AcetanyAt / na hi acetanA Gawa AdayaH 
   hitāhitaprāptiparihāraṃ jijñāsamānā dṛśyate / na ca cetanā bhavatāṃ guṇāḥ,	hita ahita prApti parihAram jijQAsamAnA dRSyate / na ca cetanA BavatAm guNAH,
   sāmānyamacetanaṃ prasavadharmi pradhānamiti (ISk 11) vakṣyamāṇavacanāt /	sAmAnyam acetanam prasava Darmi praDAnam iti (ISj 11) vakzyamANa vacanAt /
   kiṃcānyat, tattvāntarānupapatteḥ / na ca guṇapuruṣavyatiriktaṃ	kiMca anyat, tattva antara anupapatteH / na ca guNa puruza vyatiriktam
   vastutastattvāntaramasti yasya jijñāsā parikalpyamānā parikalpyeta /	vastutas tattva antaram asti yasya jijQAsA parikalpyamAnA parikalpyeta /
   tasmādanupapannā jijñāsā /	tasmAt anupapannA jijQAsA /
        ucyate / yaduktamabhighātājjijñāsāyāmatiprasaṅgaḥ, sarveṣāṃ	ucyate / yat uktam aBiGAtAt jijQAsAyAm ati prasaFgaH, sarvezAm
   tatsambhavāditi atra brūmaḥ na, abhighātatvenāpratipatteḥ /	tad samBavAt iti atra brUmaH na, aBiGAta tvena apratipatteH /
   yadyapyaviśiṣṭo 'bhighātastathāpi sarve nainamabhighātatvena pratipadyante	yadi api aviSizwaH aBiGAtaH taTA api sarve na enam aBiGAta tvena pratipadyante
   / tathāhi, satsvādhyātmikādiduḥkheṣvarjanarakṣaṇakṣayasaṃgahiṃsāsu ca	/ taTA hi, satsu ADyAtmika Adi duHKezu arjana rakzaNa kzaya saMga hiMsAsu ca
   prītyabhiṣvaṅgādeṣāṃ na viṣayeṣūdvegāpadveṣau / na ca viṣayaparityāgo	prIti aBizvaFgAt ezAm na vizayezu udvega apadvezO / na ca vizaya parityAgaH 
   bhavati / tasmānnāviśiṣṭo 'bhighātaḥ / viśeṣe	Bavati / tasmAt na aviSizwaH aBiGAtaH / viSeze
   'bhighātabuddhernimittābhidhānamiti cet ? athāpi syādyeyamasati viśeṣe	aBiGAta budDeH nimitta aBiDAnam iti ced ? aTa api syAdya iyam asati viSeze
   sarvaprāṇabhṛtāmāsurereva bhagavato duḥkhatrayābhighātabuddhirbhavati, na	sarva prANaBRtAm AsureH eva BagavataH duHKa traya aBiGAta budDiH Bavati, na
   punaranyeṣāmityatra nimittamabhidhānīyam / na hyantareṇa nimittamasau	punar anyezAm iti atra nimittam aBiDAnIyam / na hi antareNa nimittam asO
   viśeṣo 'vasthāpayituṃ śakyata iti / etaccāyuktam / kasmāt ?	viSezaH avasTApayitum Sakyate iti / etat ca ayuktam / kasmAt ?
   praśnāsambandhāt / kuto jijñāsā bhavatītyevaṃ codakena pūrvamakāri	praSnAsambanDAt / kutas jijQAsA Bavati iti evam ca udakena pUrvam akAri
   praśnastasyāśca sākṣāt kāraṇamabhighātaḥ	praSnaH tasyAH ca sAkzAt kAraNam aBiGAtaH
   kāraṇāntarāṇāmanabhidhānādityasyaiva nirdeśaḥ kṛtaḥ / yattu khalvidānīṃ	kAraNa antarANAm anaBiDAna Adityasya eva nirdeSaH kRtaH / yat tu Kalu idAnIm
   kāraṇakāraṇamapi pṛcchyate tadanavasthāprasaṅgabhayānnocyate / atha	kAraNa kAraNam api pRcCyate tad anavasTA prasaFga BayAt na ucyate / aTa
   nirbandhaḥ kriyate tena pūravadharmānugrahasya kuśalamūlābhyāsaparipākasya	nirbanDaH kriyate tena pUrava Darma anugrahasya kuSala mUla aByAsa paripAkasya
   kāraṇakāraṇatvamasmābhirna pratiṣidhyata iti tadeva kiṃ na gṛhyate ? etena	kAraNa kAraNa tvam asmABiH na pratiziDyate iti tat eva kim na gRhyate ? etena
   prākprasaṅgaḥ pratyuktaḥ / yattūktaṃ tadabhighāte cānirmokṣo	prAc prasaFgaH pratyuktaH / yat tu uktam tad aBiGAte ca anirmokzaH 
   'kṛtsnatvādityetadapyayuktam / kasmāt ? śāstrārthānavabodhāt / aṣṭavikalpo	akRtsna tvAt iti etat api ayuktam / kasmAt ? SAstra arTa an avaboDAt / azwa vikalpaH 
   daivastairyagyoniśca pañcadhā bhavati, mānuṣyaścaikavidha (ISk 53)	dEvaH tEryagyoniH ca paQcaDA Bavati, mAnuzyaH ca ekaviDaH (ISj 53)
   ityetāvānasmākaṃ saṃsāraḥ / na tu tadvyatiriktāḥ kāmarūpārūpyadhātavaḥ	iti etAvAn asmAkam saMsAraH / na tu tad vyatiriktAH kAmarUpa ArUpya DAtavaH
   kvacidapi siddhāḥ / caturdaśavidhe ca saṃsāre yā sukhamātrā sā	kvacid api sidDAH / caturdaSaviDe ca saMsAre yA suKa mAtrA sA
   duḥkhabhūyastvāttacchabdavācyā bhavatīti / tathā coktam 	duHKa BUyastvAt tad Sabda vAcyA Bavati iti / taTA ca uktam 
        atra janmajarāmaraṇakṛtaṃ duḥkhaṃ prāpnoti cetanaḥ puruṣaḥ /	atra janma jarA maraNa kRtam duHKam prApnoti cetanaH puruzaH /
        liṅgasyāvinivṛttestasmādduḥkhaṃ samāsena //	liFgasya avinivRtteH tasmAt duHKam samAsena //
                  (ISk 55)	(ISj 55)
   dṛśyate ca loke bhūyasā grahaṇam / tadyathāmravanamiti / tasmāt	dRSyate ca loke BUyasA grahaNam / tat yaTA Amra vanam iti / tasmAt 
   kṛtsnavikalpapratiṣedho 'yam / yatpunaretaduktaṃ	kRtsna vikalpa pratizeDaH ayam / yat punar etat uktam
   divyakāmadhyānasukhānapekṣasyāpi vividiṣāsambhavānnimittamayuktamiti	divya kAma DyAna suKa anapekzasya api vividizA samBavAt nimittam ayuktam iti
   tadapyanupapannam / kasmāt ? uttaratra pratiṣedhāt /	tat api anupapannam / kasmAt ? uttaratra pratizeDAt /
   iṣṭamevaitatsaṅgṛhītam / tathā cottarasūtreṇa pratiṣetsyatyācāryaḥ	izwam eva etat saFgRhItam / taTA ca uttara sUtreNa pratizetsyati AcAryaH
