   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   iti pitre praṇamyāsau pāṇisthaṃ māmadarśayat // AKad_1.94 //	iti pitre praNamya-asO pANi-sTam mAm-adarSayat // AKat-_1.94 //
   atha jābālim adrākṣaṃ sākṣād iva pitāmaham /	aTa jAbAlim adrAkzam sAkzAt iva pitAmaham /
   mahātmabhiḥ parivṛtaṃ sānukampais tapodhanaiḥ // AKad_1.95 //	mahAtmaBiH parivRtam sa-anukampEH tapoDanEH // AKat-_1.95 //
   jarādhavalamūrdhānaṃ dhāmnā prasaratā bahiḥ /	jarA-Davala-mUrDAnam DAmnA prasaratA bahis /
   anatisphuṭasaṃlakṣyaśarīrāvayavākṛtim // AKad_1.96 //	anati-sPuwa-saMlakzya-SarIra-avayava-AkRtim // AKat-_1.96 //
   sa tu māṃ kṣaṇam udvīkṣya smayamāna ivāvadat /	sa tu mAm kzaNam udvIkzya smayamAnaH iva-avadat /
   idaṃ hi bhujyate 'nena phalaṃ svasyaiva karmaṇaḥ // AKad_1.97 //	idam hi Bujyate anena Palam svasya-eva karmaNaH // AKat-_1.97 //
   trikāladarśī bhagavānsa hi divyena cakṣuṣā /	tri-kAla-darSI BagavAn-sa hi divyena cakzuzA /
   viśvaṃ paśyati pāṇisthabadarāmalakādivat // AKad_1.98 //	viSvam paSyati pANi-sTa-badara-Amalaka-Adi-vat // AKat-_1.98 //
   vacas tad ākarṇya kutūhalākulāḥ sametya sarve munayas ta mabruvan /	vacaH tat AkarNya kutUhala-AkulAH sametya sarve munayaH te mabruvan /
   babhūva ko 'yaṃ bhagavan bhavāntare kim asya vā duścaritaṃ tad ucyatām //	baBUva kaH ayam Bagavan Bava-antare kim asya vA duScaritam tat ucyatAm //
   AKad_1.99 //	AKat-_1.99 //
   abhyarthito munibhir ity uparudhyamānas tān abravīt kuruta tāvadahaḥkriyāḥ	aByarTitaH muniBiH iti uparuDyamAnaH tAn abravIt kuruta tAvat-ahar-kriyAH
   svāḥ /	svAH /
   sāṃdhyaṃ vidhāya vidhim askhalitāvadhānam ākarṇayiṣyatha kathāṃ pṛthum	sAMDyam viDAya viDim asKalita-avaDAnam AkarNayizyaTa kaTAm pRTum
   etadīyām // AKad_1.100 //	etadIyAm // AKat-_1.100 //
   uktās tathā bhagavatā munayo nijena karmakrameṇa divasaṃ gamayāṃbabhūvuḥ /	uktAH taTA BagavatA munayaH nijena karma-krameNa divasam gamayAMbaBUvuH /
   hārītahastavihitaiś ca manovinodais tais tair ānīyata mayāpi dināvaśeṣaḥ	hArIta-hasta-vihitEH ca manaH-vinodEH tEH tEH AnIyata mayA-api dina-avaSezaH
   // AKad_1.101 //	// AKat-_1.101 //
   iti śrīvipaścidvarāgragaṇayācāryabhaṭṭaśrījayantasūnorabhinandasya kṛtau	iti SrI-vipaScit-vara-agra-gaNayA-AcArya-Bawwa-SrI-jayanta-sUnoH-aBinandasya kRtO
   kādambarīkathāsāre prathamaḥ sargaḥ	kAdambarI-kaTA-sAre praTamaH sargaH
   dvitīyaḥ sargaḥ	dvitIyaH sargaH
   atha saṃdhyāsamādhyantāḥ samāpya munayaḥ kriyāḥ /	aTa saMDyA-samADyantAH samApya munayaH kriyAH /
   śuśrūṣavaḥ samāgamya yathāsthānam upāviśan // AKad_2.1 //	SuSrUzavaH samAgamya yaTAsTAnam upAviSan // AKat-_2.1 //
   aham apy ātmavṛttāntavistaraśravaṇotsukaḥ /	aham api Atma-vRttAnta-vistara-SravaNa-utsukaH /
   saṃhṛtya cāpalaṃ sarvam āsaṃ sthiramanās tadā // AKad_2.2 //	saMhRtya cApalam sarvam Asam sTira-manAH tadA // AKat-_2.2 //
   atha dugdhābdhikalloladhavalair amṛtāñcitaiḥ /	aTa dugDa-abDi-kallola-DavalEH amRta-AQcitEH /
   siñcann iva karair indur udagādāśramasthalīm // AKad_2.3 //	siQcan iva karEH induH udagAda-ASrama-sTalIm // AKat-_2.3 //
   bhagavānatha jābāliḥ sukhāsīnaḥ svaviṣṭare /	BagavAn-aTa jAbAliH suKa-AsInaH sva-vizware /
   valkalāhitaparyaṅkabandho vaktuṃ pracakrame // AKad_2.4 //	valkala-Ahita-paryaFka-banDaH vaktum pracakrame // AKat-_2.4 //
   sarve dattāvadhānāḥ stha śṛṇutemāṃ tapodhanāḥ /	sarve datta-avaDAnAH sTa SRNuta-imAm tapoDanAH /
   amuṣya pūrvavṛttāntaprastāvopanatāṃ kathām // AKad_2.5 //	amuzya pUrva-vRttAnta-prastAva-upanatAm kaTAm // AKat-_2.5 //
   asty avantiṣu saṃsāralakṣmyāḥ prasavabhūr iva /	asti avantizu saMsAra-lakzmyAH prasava-BUH iva /
   nidhir ujjayinī nāma nagarī guṇasampadām // AKad_2.6 //	niDiH ujjayinI nAma nagarI guNa-sampadAm // AKat-_2.6 //
   laṅkālakāmarāvatyo yeṣāṃ vasatayaḥ priyāḥ /	laFkAla-kAmarAvatyaH yezAm vasatayaH priyAH /
   te 'pi yām abhipaśyantaḥ sukhaṃ tāsu na śerate // AKad_2.7 //	te api yAm aBipaSyantaH suKam tAsu na Serate // AKat-_2.7 //
   kim anyad yatra kailāsanivāsaprītim ujjhatā /	kim anyat yatra kElAsa-nivAsa-prItim ujJatA /
   mahākālābhidhānena rudreṇa svayam āsyate // AKad_2.8 //	mahAkAla-aBiDAnena rudreNa svayam Asyate // AKat-_2.8 //
   tilakam	tilakam
   tasyāṃ bharatamāndhātṛbhagīrathapṛthūpamaḥ /	tasyAm BaratamAnDAtR-BagIraTa-pRTu-upamaH /
   tārāpīḍa iti śrīmān babhūva pṛthivīpatiḥ // AKad_2.9 //	tArApIxaH iti SrImAn baBUva pRTivIpatiH // AKat-_2.9 //
   parasparavirodhena viprakīrṇair itas tataḥ /	paraspara-viroDena viprakIrNEH itas tatas /
   visrabdham āsyate yatra sambhūya sakalair guṇaiḥ // AKad_2.10 //	visrabDam Asyate yatra samBUya sakalEH guNEH // AKat-_2.10 //
   *yugmam*	*yugmam*
   vihasan buddhivibhavair bhṛgūdvahabṛhaspatī /	vihasan budDi-viBavEH BRgu-udvaha-bRhaspatI /
   amātyaḥ śukanāsākhyo brāhmaṇas tasya cābhavat // AKad_2.11 //	amAtyaH SukanAsA-AKyaH brAhmaNaH tasya ca-aBavat // AKat-_2.11 //
   trivikramapadākramya sa rājā pṛthivīm imām /	trivikrama-pada-Akramya sa rAjA pRTivIm imAm /
   tasmin mantriṇi tadbhāraṃ nicikṣepa bharakṣame // AKad_2.12 //	tasmin mantriNi tad-BAram nicikzepa Bara-kzame // AKat-_2.12 //
   tathā ca pālayāmāsa sa mantrī sakalāḥ prajāḥ /	taTA ca pAlayAmAsa sa mantrI sakalAH prajAH /
   yathā trividham apy etā na duḥkhaṃ kiñcid aspṛśan // AKad_2.13 //	yaTA triviDam api etAH na duHKam kiQcid aspRSan // AKat-_2.13 //
   yathā yathā ca loko 'smin pitarīvānvarajyata /	yaTA yaTA ca lokaH asmin pitari-iva-anvarajyata /
   rājā tathā tathātmānaṃ kṛtakṛtyam amanyata // AKad_2.14 //	rAjA taTA taTA-AtmAnam kRtakRtyam amanyata // AKat-_2.14 //
   akleśamarpitaṃ tena svabhuje jagadarjanam /	akleSam-arpitam tena sva-Buje jagat-arjanam /
   sambhogavighnakārīti pālanaṃ mantrisātkṛtam // AKad_2.15 //	samBoga-viGna-kArI-iti pAlanam mantrisAtkRtam // AKat-_2.15 //
   kṛtakṛtyatayā cāsau kāryaśeṣam acintayan /	kRtakRtya-tayA ca-asO kArya-Sezam acintayan /
   viṣayeṣvāhitaprītir āsāṃcakre yathāsukham // AKad_2.16 //	vizayezu-Ahita-prItiH AsAMcakre yaTAsuKam // AKat-_2.16 //
   śobhā hi kṛtakṛtyasya rājño bhogavibhūtayaḥ /	SoBA hi kRtakRtyasya rAjQaH Boga-viBUtayaH /
   asamāptajigīṣasya tā eva tu viḍambanāḥ // AKad_2.17 //	asamApta-jigIzasya tAH eva tu vixambanAH // AKat-_2.17 //
   sa yuvā madhurākāras taruṇīnayanotsavaḥ /	sa yuvA maDura-AkAraH taruNI-nayana-utsavaH /
   kalāsu kuśalaḥ kāmī bubhuje bhogasampadaḥ // AKad_2.18 //	kalAsu kuSalaH kAmI buBuje Boga-sampadaH // AKat-_2.18 //
   na te bhogā na tāḥ krīḍā na tā goṣṭhyo na te rasāḥ /	na te BogAH na tAH krIxA na tAH gozWyaH na te rasAH /
   na te vilāsā yeṣv asya pāragaṃ nābhavan manaḥ // AKad_2.19 //	na te vilAsAH yezu asya pAragam na-aBavat manaH // AKat-_2.19 //
   samagrasukhasambhogabhūmijño 'pi sa bhūpatiḥ /	samagra-suKa-samBoga-BUmi-jQaH api sa BUpatiH /
   sukham ekaṃ tu nājñāsīd apatyālokanodbhavam // AKad_2.20 //	suKam ekam tu na-ajQAsIt apatya-Alokana-udBavam // AKat-_2.20 //
   yathā yathāsya kālena vyatīyāya navaṃ vayaḥ /	yaTA yaTA-asya kAlena vyatIyAya navam vayaH /
   nirapatyatayā śoko vardhate sma tathā tathā // AKad_2.21 //	nirapatya-tayA SokaH varDate sma taTA taTA // AKat-_2.21 //
   mukhyabhūtā ca sarvasminn antaḥpurakadambake /	muKya-BUtA ca sarvasmin antaHpura-kadambake /
   rājñī vilāsavatyākhyā tasya prāṇasamābhavat // AKad_2.22 //	rAjQI vilAsavatI-AKyA tasya prANa-samA-Bavat // AKat-_2.22 //
   sā rājamahiṣī gaurīm abhyarcayitum ekadā /	sA rAja-mahizI gOrIm aByarcayitum ekadA /
   devatāyatanaṃ bāhyaṃ yayau bhartur anujñayā // AKad_2.23 //	devatAyatanam bAhyam yayO BartuH anujQayA // AKat-_2.23 //
   purāṇe vācyamāne 'tha prasaṅgapatitāṃ śrutim /	purANe vAcyamAne aTa prasaFga-patitAm Srutim /
   aputrasya kuto lokā iti śuśrāva tatra sā // AKad_2.24 //	aputrasya kutas lokAH iti SuSrAva tatra sA // AKat-_2.24 //
   prataptalohasūcīva sā śrutiḥ śravaṇāntaram /	pratapta-loha-sUcI-iva sA SrutiH SravaNa-antaram /
   viveśa dadatī tasyāḥ parāṃ kām api vedanām // AKad_2.25 //	viveSa dadatI tasyAH parAm kAm api vedanAm // AKat-_2.25 //
   tataḥ pratinivṛttātha praviśya bhavanaṃ nijam /	tatas pratinivRttA-aTa praviSya Bavanam nijam /
   vastrāvṛtamukhī bhūmāvupaviśya ruroda sā // AKad_2.26 //	vastra-AvRta-muKI BUmO=-upaviSya ruroda sA // AKat-_2.26 //
   sakhībhiḥ prārthyamānāpi na svām abhajata sthitim /	saKIBiH prArTyamAnA-api na svAm aBajata sTitim /
   nodasthāt kartum āhāraṃ virarāma na rodanāt // AKad_2.27 //	na-udasTAt kartum AhAram virarAma na rodanAt // AKat-_2.27 //
   athopalabhya tatpīḍāv ārtāṃ parijanān nṛpaḥ /	aTa-upalaBya tad-pIxO ArtAm parijanAt nRpaH /
   praviśyāntaḥpuraṃ prāha svairam enāṃ prasādayan // AKad_2.28 //	praviSya-antaHpuram prAha svEram enAm prasAdayan // AKat-_2.28 //
   priye kim idam ārabdhaṃ rudyate kim akāraṇam /	priye kim idam ArabDam rudyate kim akAraNam /
   na tvayā matkṛte manyur anubhūtaḥ kadācana // AKad_2.29 //	na tvayA mad-kRte manyuH anuBUtaH kadAcana // AKat-_2.29 //
   anyo 'pi manmukhaprekṣī madadhīnātmajīvitaḥ /	anyaH api mad-muKa-prekzI mad-aDIna-Atma-jIvitaH /
   kas tavotpādayen manyuṃ yasmai kupyasi sundari // AKad_2.30 //	kaH tava-utpAdayet manyum yasmE kupyasi sundari // AKat-_2.30 //
   iti prasādyamānā sā yadā novāca kiñcana /	iti prasAdyamAnA sA yadA na-uvAca kiQcana /
   tadā viditavṛttāntas tatsakhyā nṛpatiḥ kṛtaḥ // AKad_2.31 //	tadA vidita-vRttAntaH tad-saKyA nRpatiH kRtaH // AKat-_2.31 //
   tena vyatikareṇātha so 'pi śokaparāyaṇaḥ /	tena vyatikareNa-aTa saH api Soka-parAyaNaH /
   ruroda vakṣasi nyastasabāṣpadayitāmukhaḥ // AKad_2.32 //	ruroda vakzasi nyasta-sa-bAzpa-dayitA-muKaH // AKat-_2.32 //
   ciraṃ ruditvā niḥśabdaṃ svayam unmṛjya locane /	ciram ruditvA niHSabdam svayam unmRjya locane /
   jagāda gadgadaṃ rājā mahiṣīm upasāntvayan // AKad_2.33 //	jagAda gadgadam rAjA mahizIm upasAntvayan // AKat-_2.33 //
   mamāpi nanv iyaṃ devi cirāt prabhṛti duḥsahā /	mama-api nanu iyam devi cirAt praBRti duHsahAH /
   dunoti hṛdayaṃ cintā niṣpratīkārarogavat // AKad_2.34 //	dunoti hRdayam cintA nizpratIkAra-roga-vat // AKat-_2.34 //
   viphalaṃ bata me rājyaṃ viphalā mama sampadaḥ /	viPalam bata me rAjyam viPalA mama sampadaH /
   viphalā mama sambhogā viphalaṃ mama jīvitam // AKad_2.35 //	viPalA mama samBogAH viPalam mama jIvitam // AKat-_2.35 //
   kuto 'smākam abhavyānām iyatyo bhāgyasampadaḥ /	kutas asmAkam aBavyAnAm iyatyaH BAgya-sampadaH /
   yad drakṣyāmas tavotsaṅgaṃ bālakālatyamaṇḍitam // AKad_2.36 //	yat drakzyAmaH tava-utsaFgam bAla-kAlatya-maNxitam // AKat-_2.36 //
   vāñchan krīḍanakaṃ kiñcit kadā me pāpakarmaṇaḥ /	vAQCan krIxanakam kiQcid kadA me pApa-karmaNaH /
   ākṛṣyati sutaḥ kūrcaṃ kim apy avyaktam ālapan // AKad_2.37 //	AkRzyati sutaH kUrcam kim api avyaktam Alapan // AKat-_2.37 //
   ityādi vilapaty asmin bāṣpākulitalocane /	ityAdi vilapati asmin bAzpa-Akulita-locane /
   śukanāsa imāṃ vārtāṃ śrutvā satvaramāyayau // AKad_2.38 //	SukanAsaH imAm vArtAm SrutvA satvaram-AyayO // AKat-_2.38 //
   nirapatyaḥ kṛtaḥ so 'pi rājeva hatavedhasā /	nirapatyaH kRtaH saH api rAjA-iva hata-veDasA /
   tasyāpy anena śokena gṛhe roditi gehinī // AKad_2.39 //	tasya-api anena Sokena gRhe roditi gehinI // AKat-_2.39 //
   sa tu svāmigataṃ duḥkhaṃ duḥkham ity avadhārayan /	sa tu svAmi-gatam duHKam duHKam iti avaDArayan /
   tadduḥkhāpanayopāyapravaṇo dhīram abhyadhāt // AKad_2.40 //	tad-duHKa-apanaya-upAya-pravaNaH DIram aByaDAt // AKat-_2.40 //
   kva dhīraprakṛtirdevaḥ kveyaṃ vilkavacittatā /	kva DIra-prakRtiH-devaH kva-iyam vilkava-citta-tA /
   śoko 'vakāśaṃ labhate hṛdaye na bhavādṛśām // AKad_2.41 //	SokaH avakASam laBate hRdaye na BavAdRSAm // AKat-_2.41 //
   yadi hi strīsvabhāvena devī viklavatāṃ gatā /	yadi hi strI-svaBAvena devI viklava-tAm gatAH /
   tat kiṃ pralambakūrcasya yuktaṃ devasya roditum // AKad_2.42 //	tat kim pralamba-kUrcasya yuktam devasya roditum // AKat-_2.42 //
   ko 'yaṃ hitāhitaprāptipārihārakriyākramaḥ /	kaH ayam hita-ahita-prApti-pArihAra-kriyA-kramaH /
   yat kapolatalanyastahastaṃ niḥśvasyate ciram // AKad_2.43 //	yat kapola-tala-nyasta-hastam niHSvasyate ciram // AKat-_2.43 //
   yadi duḥkhāsikā satyamanapatyatayā tava /	yadi duHKAsikA satyam-anapatya-tayA tava /
   buddhirādhīyatāṃ dharme dharmotsavamavāpyate // AKad_2.44 //	budDiH-ADIyatAm Darme Darma-utsavam-avApyate // AKat-_2.44 //
   dīyatāṃ vasu viprebhyaḥ pūjyantāṃ sarvadevatāḥ /	dIyatAm vasu vipreByaH pUjyantAm sarva-devatAH /
   pravartyantāṃ prapārāmāḥ khanyantāṃ salilāśayāḥ // AKad_2.45 //	pravartyantAm prapArAmAH KanyantAm salila-ASayAH // AKat-_2.45 //
   nāsti nāma jagaty asmin puruṣārthaḥ sa kaścana /	na-asti nAma jagati asmin puruza-arTaH sa kaScana /
   yo dharmaniratair dhīrais tvādṛśair nādhigamyate // AKad_2.46 //	yaH Darma-niratEH DIrEH tvAdRSEH na-aDigamyate // AKat-_2.46 //
   ityādi śukanāsoktam ākarṇya vigatajvarau /	ityAdi Suka-nAsA-uktam AkarNya vigata-jvarO /
   utthāya svasthavat sarvā dampatī cakratuḥ kriyāḥ // AKad_2.47 //	utTAya svasTa-vat sarvAH dampatI cakratuH kriyAH // AKat-_2.47 //
   tataḥ prabhṛti dānāni yāgahomatapāṃsi tau /	tatas praBRti dAnAni yAga-homa-tapAMsi tO /
   citrāṇy akurutāṃ sarvā vyasmayanta tataḥ prajāḥ // AKad_2.48 //	citrANi akurutAm sarvAH vyasmayanta tatas prajAH // AKat-_2.48 //
   kadācid atha bhūpālaḥ svapne 'paśyan niśākaram /	kadAcid aTa BUpAlaH svapne apaSyat niSAkaram /
   vilāsavatyā vadanaṃ praviśantam akhaṇḍitam // AKad_2.49 //	vilAsavatyAH vadanam praviSantam aKaNxitam // AKat-_2.49 //
   tathā manoramā nāma śukanāsasya gehinī /	taTA manoramA nAma SukanAsasya gehinI /
   svapne sapuṇḍarīkāṅkā sāpi tena vyalokyata // AKad_2.50 //	svapne sa-puNxarIka-aFkA sA-api tena vyalokyate // AKat-_2.50 //
   anyedyurudaye bhānormaṅgalācārapūrvakam /	anyedyus-udaye BAnoH-maFgala-AcAra-pUrvakam /
   taṃ svapnaṃ kathayāmāsa śukanāsāya bhūpatiḥ // AKad_2.51 //	tam svapnam kaTayAmAsa Suka-nAsAya BUpatiH // AKat-_2.51 //
   sānandaṃ so 'bhyadhād enaṃ sampannās te manorathāḥ /	sa-Anandam saH aByaDAt enam sampannAH te manoraTAH /
   acirāt soṣyate devī putraṃ pūrṇendusundaram // AKad_2.52 //	acirAt sozyate devI putram pUrNa-indu-sundaram // AKat-_2.52 //
   dineṣv atha vyatīteṣu keṣucid garbham agrahīt /	dinezu aTa vyatItezu kezucid garBam agrahIt /
   mahiṣī tatsakhībhyaś ca tam ajñāsīn nareśvaraḥ // AKad_2.53 //	mahizI tad-saKIByaH ca tam ajQAsIt nareSvaraH // AKat-_2.53 //
   tābhyaḥ prādāt sa vāsāṃsi citrāṇy ābharaṇāni ca /	tAByaH prAdAt sa vAsAMsi citrANi ABaraNAni ca /
   krameṇa garbhaliṅgeṣu vyakteṣu mumudetarām // AKad_2.54 //	krameNa garBa-liFgezu vyaktezu mumuda-itarAm // AKat-_2.54 //
   śukanāsāya covāca praharṣotphullalocanaḥ /	Suka-nAsAya ca-uvAca praharza-utPulla-locanaH /
   cakāṅkṣa cātako meghān iva prasavavāsarān // AKad_2.55 //	cakAFkza cAtakaH meGAn iva prasava-vAsarAn // AKat-_2.55 //
   sampūrṇe daśame māsi devī sutam asūta sā /	sampUrNe daSame mAsi devI sutam asUta sA /
   harṣeṇa ca jagat sarvaṃ parivṛttam ivābhavat // AKad_2.56 //	harzeNa ca jagat sarvam parivRttam iva-aBavat // AKat-_2.56 //
   rājā mahotsavānandapūrṇapātram upāhṛtam /	rAjA mahA-utsava-Ananda-pUrNa-pAtram upAhRtam /
   dṛṣṭvā lokeṣu māti sma na trivikramavat triṣu // AKad_2.57 //	dRzwvA lokezu mA-ati sma na trivikrama-vat trizu // AKat-_2.57 //
   śukanāsas tu rājānaṃ kaṇṭhe jagrāha nirbharam /	SukanAsaH tu rAjAnam kaNWe jagrAha nirBaram /
   autsukyāt sūtikāvāsaṃ tāv ubhāv api jagmatuḥ // AKad_2.58 //	OtsukyAt sUtikAvAsam tO uBO api jagmatuH // AKat-_2.58 //
   tato dadṛśatur vyaktasakalāṅgaṃ kumārakam /	tatas dadRSatuH vyakta-sakala-aFgam kumArakam /
   indor udayarāgārdraṃ navaṃ bimbam ivoditam // AKad_2.59 //	indoH udaya-rAga-Ardram navam bimbam iva-uditam // AKat-_2.59 //
   śukanāso nirūpyāṅgamekaikaṃ nipuṇaṃ śiśoḥ /	SukanAsaH nirUpya-aFgam-ekEkam nipuNam SiSoH /
   haste bhūpālam ālambya harṣagarbham abhāṣata // AKad_2.60 //	haste BUpAlam Alambya harza-garBam aBAzata // AKat-_2.60 //
   ayaṃ śaṅkha idaṃ cakram iyam ūrṇedam ambujam /	ayam SaFKaH idam cakram iyam UrNA-idam ambujam /
   paśya bālasya cihnāni dṛśyante cakravartinām // AKad_2.61 //	paSya bAlasya cihnAni dRSyante cakravartinAm // AKat-_2.61 //
   yo 'sau svapne tvayā dṛṣṭaś candro devīmukhaṃ viśan /	yaH asO svapne tvayA dRzwaH candraH devImuKam viSan /
   sa evāyam ihotpanna iti mā saṃśayaṃ kṛthāḥ // AKad_2.62 //	saH eva-ayam iha-utpannaH iti mA saMSayam kRTAH // AKat-_2.62 //
   iti taddarśanānandasudhāplāvitayos tayoḥ /	iti tad-darSana-Ananda-suDA-plAvitayoH tayoH /
   śukanāsasya rājñaś ca harṣābdhir vavṛdhetarām // AKad_2.63 //	SukanAsasya rAjQaH ca harza-abDiH vavRDa-itarAm // AKat-_2.63 //
   atrāntare mantrigṛhād āgatya dvārarakṣakaḥ /	atra-antare mantri-gRhAt Agatya dvArarakzakaH /
   śukanāsagṛhe putrajanmotsavam acīkathat // AKad_2.64 //	Suka-nAsa-gRhe putra-janma-utsavam acIkaTat // AKat-_2.64 //
   śukanāsam athābhīkṣṇam āliliṅga mahīpatiḥ /	SukanAsam aTa-aBIkzNam AliliFga mahIpatiH /
   uttarīyaṃ jahārāsya pūrṇapātram iti svayam // AKad_2.65 //	uttarIyam jahAra-asya pUrNa-pAtram iti svayam // AKat-_2.65 //
   uvāca cainaṃ paśyedaṃ sukhasyopari naḥ sukham /	uvAca ca-enam paSya-idam suKasya-upari naH suKam /
   ime te patitāḥ satyaṃ tuhine somaraśmayaḥ // AKad_2.66 //	ime te patitAH satyam tuhine soma-raSmayaH // AKat-_2.66 //
   sādhv idaṃ vedhasārabdhaṃ cittānuguṇam āvayoḥ /	sADu idam veDasa-ArabDam citta-anuguNam AvayoH /
   sahaiva pātratāṃ nītau yad āvāṃ sukhaduḥkhayoḥ // AKad_2.67 //	saha-eva pAtra-tAm nItO yat AvAm suKa-duHKayoH // AKat-_2.67 //
   tatas tūryaravair nṛtyaiś carcarītālaniḥsvanaiḥ /	tatas tUrya-ravEH nRtyEH carcarI-tAla-niHsvanEH /
   sindūraghanasārādikṣodaiḥ kuṅkumakardamaiḥ // AKad_2.68 //	sindUra-Gana-sAra-Adi-kzodEH kuFkuma-kardamEH // AKat-_2.68 //
   anapekṣitanīcoccavyavahāranirargalā /	anapekzita-nIca-ucca-vyavahAra-nirargalAH /
   keliḥ pravavṛte tatra rājagehamahotsave // AKad_2.69 //	keliH pravavRte tatra rAja-geha-mahA-utsave // AKat-_2.69 //
   rājā tu svagṛhe kelivimardaṃ vīkṣya tādṛśam /	rAjA tu sva-gRhe keli-vimardam vIkzya tAdRSam /
   śukanāsagṛhaṃ gatvā dviguṇaṃ tam akārayat // AKad_2.70 //	Suka-nAsa-gRham gatvA dviguNam tam akArayat // AKat-_2.70 //
   kṛte 'tha jātakarmādau vṛtte ṣaṣṭhīprajāgare /	kRte aTa jAtakarma-AdO vRtte zazWI-prajAgare /
   vilāsavatyāṃ snātāyāṃ śucau kāla upasthite // AKad_2.71 //	vilAsavatyAm snAtAyAm SucO kAle upasTite // AKat-_2.71 //
   praśaste 'hani daivajñair anujñāto mahīpatiḥ /	praSaste ahani dEva-jQEH anujQAtaH mahIpatiH /
   snātaḥ suvarṇalakṣeṇa pūjayitvā dvijottamān // AKad_2.72 //	snAtaH suvarNa-lakzeNa pUjayitvA dvijottamAn // AKat-_2.72 //
   sa bhūṣaṇāni vāsāṃsi varṣan parijane śiśoḥ /	sa BUzaNAni vAsAMsi varzan parijane SiSoH /
   candrāpīḍa iti svapnasadṛśaṃ nāma nirmame // AKad_2.73 //	candrApIxaH iti svapna-sadRSam nAma nirmame // AKat-_2.73 //
   śukanāso 'pi sampūjya viprān viprajanocitam /	Suka-nAsaH api sampUjya viprAn vipra-jana-ucitam /
   vaiśampāyana ity ātmasūnor nāma praṇītavān // AKad_2.74 //	vESampAyanaH iti Atma-sUnoH nAma praNItavAn // AKat-_2.74 //
   krameṇa vardhamāno 'tha kṛtacūḍādimaṅgalaḥ /	krameNa varDamAnaH aTa kRta-cUxA-Adi-maFgalaH /
   candrāpīḍo 'bhavat pitroḥ param utsaṅgamaṇḍanam // AKad_2.75 //	candrApIxaH aBavat pitroH param utsaFga-maNxanam // AKat-_2.75 //
   ākāreṇendukāntena madhurair bālavalgitaiḥ /	AkAreNa-indu-kAntena maDurEH bAla-valgitEH /
   avyaktavarṇair ālāpair aharat sa tayor manaḥ // AKad_2.76 //	avyakta-varNEH AlApEH aharat sa tayoH manaH // AKat-_2.76 //
   prāpte 'tha saptame varṣe vidyāgṛham akārayat /	prApte aTa saptame varze vidyA-gRham akArayat /
   candrāpīḍasya nagarādbahirbahuguṇaṃ nṛpaḥ // AKad_2.77 //	candra-ApIxasya nagarAt-bahis-bahu-guNam nRpaH // AKat-_2.77 //
   kṛtopanayanaṃ cainam kāle kṣatrajanocite /	kRta-upanayanam ca-enam kAle kzatra-jana-ucite /
   tatra nyaveśayadrājā vidyādhigamasiddhaye // AKad_2.78 //	tatra nyaveSayat-rAjA vidyA-aDigama-sidDaye // AKat-_2.78 //
   tarkavyākaraṇābhijñān dhanurvedaviśāradān /	tarka-vyAkaraNa-aBijQAn Danurveda-viSAradAn /
   daṇḍanītyādinipuṇān ācāryān paryakalpayat // AKad_2.79 //	daNxani-ityAdi-nipuNAn AcAryAn paryakalpayat // AKat-_2.79 //
   śukanāso 'pi taṃ putram upanīya yathāvidhi /	Suka-nAsaH api tam putram upanIya yaTAviDi /
   rājaputrānugaṃ cakre vidyāgṛhanivāsinam // AKad_2.80 //	rAja-putra-anugam cakre vidyA-gRha-nivAsinam // AKat-_2.80 //
   nṛpatis tv agamad draṣṭuṃ putraṃ gurukule sthitam /	nRpatiH tu agamat drazwum putram guru-kule sTitam /
   prārthito 'pi sa tanmātrā nainam ānāyayad gṛham // AKad_2.81 //	prArTitaH api sa tanmAtrA na-enam AnAyayat gRham // AKat-_2.81 //
   pūrṇaṣoḍaśavarṣo 'tha rājaputraḥ kuśāgradhīḥ /	pUrNa-zoxaSa-varzaH aTa rAja-putraH kuSa-agraDIH /
   sakṛdadhyāpito vidyāḥ pūrvābhyastā ivāgrahīt // AKad_2.82 //	sakRt-aDyApitaH vidyAH pUrva-aByastA iva-agrahIt // AKat-_2.82 //
   sarvaśāstrārthatattvajñaḥ sarvabhāṣāsu satkaviḥ /	sarva-SAstra-arTa-tattva-jQaH sarva-BAzAsu sat-kaviH /
