   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   dvitīye - arthavādarūpam |	dvitIye  arTavAda-rUpam |
   arthavādo mantrasyāpyupalakṣakaḥ |	arTa-vAdaH mantrasya-api-upalakzakaH |
   tṛtīye - smṛtirūpam | smṛtirācāramapyupalakṣayati |	tRtIye  smRti-rUpam | smRtiH-AcAram-api-upalakzayati |
   caturthe - ubhdiñcitrādināmarūpam || MJaiNyC_1,1.13 ||	caturTe  uBdiQcitra-Adi-nAma-rUpam || MJENyC_1,1.13 ||
   START MJaiNy 1,1.14	START MJENi 1,1.14
   upoddhātaḥ karmabhedamānaṃ tasyāpavādagīḥ /	upodDAtaH karma-Beda-mAnam tasya-apavAda-gIH /
   prayogabheda ityete dvitīyādhyāyapādagāḥ // MJaiNy_1,1.14 //	prayoga-BedaH iti-ete dvitIya-aDyAya-pAda-gAH // MJENi-_1,1.14 //
   dvitīyādhyāyasya prathame pāde - ākhyātamevāpūrvabodhakam,	dvitIya-aDyAyasya praTame pAde  AKyAtam-eva-apUrva-boDakam,
   apūrvasabhdāvaścetyādikaḥ karmabhedacintopayukta upodghāto varṇitaḥ |	apUrva-saBdAvaH-ca-iti-AdikaH karma-Beda-cintA-upayuktaH upodGAtaH varNitaH |
   dvitīye - dhātubhedapunaruktyādibhiḥ karmabhedaḥ |	dvitIye  DAtu-Beda-punarukti-AdiBiH karma-BedaH |
   tṛtīye - rathantarādīnāṃ karmabhedaprāmāṇyāpavādaḥ |	tRtIye  raTantara-AdInAm karma-Beda-prAmANya-apavAdaH |
   caturthe - nityakāmyayoḥ prayogayorbhedaḥ || MJaiNyC_1,1.14 ||	caturTe  nitya-kAmyayoH prayogayoH-BedaH || MJENyC_1,1.14 ||
   START MJaiNy 1,1.15	START MJENi 1,1.15
   śrutirliṅgaṃ ca vākyādivirodhapratipattayaḥ /	SrutiH-liFgam ca vAkya-Adi-viroDa-pratipattayaH /
   anārabhyoktibahvarthasvāmyarthā aṣṭapādagāḥ // MJaiNy_1,1.15 //	anAraBya-ukti-bahu-arTasvAmi-arTAH azwa-pAda-gAH // MJENi-_1,1.15 //
   tṛtīyādhyāyasya prathame pāde - śeṣatvabodhakānāṃ śrutiliṅgādīnāṃ madhye	tRtIya-aDyAyasya praTame pAde  Seza-tva-boDakAnAm Sruti-liFga-AdInAm maDye
   śrutirvicāritā |	SrutiH-vicAritAH |
   dvitīye - liṅgam |	dvitIye  liFgam |
   tṛtīye - vākyaprakaraṇādi |	tRtIye  vAkya-prakaraNa-Adi |
   caturthe - nivītopavītādiṣvarthavādatvavidhitvādinirṇayahetuḥ śrutyādeḥ	caturTe  nivIta-upavIta-Adizu-arTa-vAda-tva-viDi-tva-Adi-nirNaya-hetuH Sruti-AdeH
   parasparavirodhasadasabhdāvaḥ |	paraspara-viroDa-sadasaBdAvaH |
   pañcame - pratipattikarmāṇi |	paQcame  pratipatti-karmANi |
   ṣaṣṭhe - anārabhyādhītāni |	zazWe  anAraBya-aDItAni |
   saptame - bahupradhānopakārakaprayājādīni |	saptame  bahu-praDAna-upakAraka-prayAja-AdIni |
   aṣṭame - yājamānāni || MJaiNyC_1,1.15 ||	azwame  yAjamAnAni || MJENyC_1,1.15 ||
   START MJaiNy 1,1.16	START MJENi 1,1.16
   pradhānasya prayoktṛtvamapradhānaprayoktṛtā /	praDAnasya prayoktR-tvam-apraDAna-prayoktR-tA /
   phalacintā jaghanyāṅgacintetyete caturthagāḥ // MJaiNy_1,1.16 //	Pala-cintA jaGanya-aFga-cintA-iti-ete caturTa-gAH // MJENi-_1,1.16 //
   caturthādhyāyasya prathame pāde - pradhānabhūtā'mikṣā dadhyānayanasya	caturTa-aDyAyasya praTame pAde  praDAna-BUtA-amikzAH daDi-Anayanasya
   prayojikesyādi pradhānaprayoktṛtvaṃ vicāritam |	prayojikesya-Adi praDAna-prayoktR-tvam vicAritam |
   dvitīye tu -apradhānaṃ vatsāpākaraṇaṃ śākhāchede	dvitIye tu -a-praDAnam vatsa-apAkaraNam SAKA-Cede
   prayodakamityādyapradhānaprayoktṛtvam |	prayodakam-iti-Adya-praDAna-prayoktR-tvam |
   tṛtīye - juhūparṇamayītvāderapāpaślokaśravaṇādiphalabhāvābhāvacintā |	tRtIye  juhUparNa-mayI-tvAdeH-a-pApa-Sloka-SravaNa-Adi-Pala-BAva-aBAva-cintA |
   caturthe - rājasūyagatajaghanyāṅgākṣadyūtādicintā || MJaiNyC_1,1.16 ||	caturTe  rAjasUya-gata-jaGanyA-aFga-akza-dyUta-Adi-cintA || MJENyC_1,1.16 ||
   START MJaiNy 1,1.17	START MJENi 1,1.17
   śrutyādibhiḥ kramastasya viśeṣo vṛddhyavardhane /	Sruti-AdiBiH kramaH-tasya viSezaH vRdDi-avarDane /
   śrutyāderbalitā ceti pañcamādhyāyapādagāḥ // MJaiNy_1,1.17 //	Sruti-AdeH-balitA ca-iti paQcama-aDyAya-pAda-gAH // MJENi-_1,1.17 //
   pañcamādhyāyasya prathame pāde - śrutyarthapāṭhādibhiḥ kramo nirūpitaḥ |	paQcama-aDyAyasya praTame pAde  Sruti-arTa-pAWA-AdiBiH kramaH nirUpitaH |
   dvitīye - vājapeyagateṣu saptadaśasu	dvitIye  vAjapeya-gatezu saptadaSasu
   paśuṣvekaikadharmasamāpanamityādikramaviśeṣaḥ |	paSuzu-eka-eka-Darma-samApanam-iti-Adi-krama-viSezaH |
   tṛtīye - pañcaprayājādīnāmāvartanenaikādaśyamityādivṛddhiḥ,	tRtIye  paQca-prayAja-AdInAm-Avartanena-ekAdaSyam-ityAdi-vRdDiH,
   adābhyagrahacitriṇyoranāvṛttirityādivṛddhyabhāvaḥ |	ada-aByagraha-citriNyoH-anAvRttiH-ityAdi-vRdDi-aBAvaH |
   caturthe - kramaniyāmakānāṃ śrutyarthapāṭhādīnāṃ prabaladurbalabhāvaḥ ||	caturTe  krama-niyAmakAnAm Sruti-arTa-pAWA-AdInAm prabala-durbala-BAvaH ||
   MJaiNyC_1,1.17 ||	MJENyC_1,1.17 ||
   START MJaiNy 1,1.18	START MJENi 1,1.18
   adhikārī tasya dharmāḥ pratinidhyarthalopane /	aDikArI tasya DarmAH pratiniDi-arTa-lopane /
   dīkṣā satraṃ deyuhnī ṣaṣṭhe pādeṣvamī sthitāḥ // MJaiNy_1,1.18 //	dIkzA satram deyuhnI zazWe pAdezu-amI sTitAH // MJENi-_1,1.18 //
   ṣaṣṭhādhyāyasya prathame pāde - karmādhikāraḥ karturasti, andhādernāsti,	zazWa-aDyAyasya praTame pAde  karma-aDikAraH kartuH-asti, anDa-AdeH-na-Asti,
   striyā asti, sa ca patyā saha, ityevamādinādhikārī nirūpitaḥ |	striyAH asti, sa ca patyA saha, iti-evamAdinA-aDikArI nirUpitaH |
   dvitīye - tatrādhikāriṇāṃ pratyekaṃ kṛtsnnaṃ phalam, darśapūrṇamāsayoḥ	dvitIye  tatra-aDikAriNAm pratyekam kRtsnnam Palam, darSa-pUrNamAsayoH
   kartraikyaniyamaḥ, kāmyaṃ karma samāpanīyam, ityevamādayo 'dhikāridharmā	kartR-A-Ekya-niyamaH, kAmyam karma samApanIyam, iti-evamAdayaH aDikAri-DarmA
   uktāḥ |	uktAH |
   tṛtīye - dravyasya pratinidhirasti, devādīnāmagnyādīnāmadhikāriṇaśca sa	tRtIye  dravyasya pratiniDiH-asti, deva-AdInAm-agni-AdInAm-aDikAriNaH-ca sa
   nāsti, ityādinirūpaṇam |	nAsti, ityAdi-nirUpaNam |
   caturthe - padārthalopanaṃ vicāritam, 'avattanāśe tatyājyena yajet,	caturTe  padArTa-lopanam vicAritam, aavatta-nASe tatyAjyena yajet-,
   iḍājyasya nāśe sati śeṣānnaṃ grāhyam' ityādikam |	ixA-Ajyasya nASe sati Seza-annam grAhyam-a iti-Adikam |
   pañcame - kālāparādhena candrodaye satyabhyudayeṣṭiḥ prāyaścittam ,	paQcame  kAla-aparADena candra-udaye sati-aByudaya-izwiH prAyaScittam ,
   jyotiṣṭomasyaikādayo dīkṣāḥ, dvādaśāhasya dvādaśa dīkṣāḥ, ityādi nirūpitam	jyotizwomasya-eka-AdayaH dIkzAH, dvAdaSa-ahasya dvAdaSa dIkzAH, ityAdi nirUpitam
   ṣaṣṭhe - tatrādhikāriṇastulyakalpā eva, satraṃ viprasyaiva, ityevamādikaṃ	zazWe  tatra-aDikAriNaH-tulya-kalpAH eva, satram viprasya-eva, iti-evam-Adikam
   cintitam |	cintitam |
   saptame - pitrādikaṃ na deyam, mahābhūmirna deyā, ityevamādirdeyavicāraḥ |	saptame  pitR-Adikam na deyam, mahA-BUmiH-na deyA, iti-evamAdiH-deya-vicAraH |
   aṣṭame - laukikāgnā vupanayanahomaḥ, sthapatīṣṭistathaiva,	azwame  lOkika-agnA vupanayana-homaH, sTapati-izwiH-taTA-eva,
   ityevamādyagnivicāraḥ kṛtaḥ || MJaiNyC_1,1.18 ||	iti-evamAdi-agni-vicAraH kRtaH || MJENyC_1,1.18 ||
   START MJaiNy 1,1.19	START MJENi 1,1.19
   pratyakṣoktyātideśo 'sya śeṣaḥ sāmanirūpaṇam /	pratyakza-uktyA-atideSaH asya SezaH sAma-nirUpaNam /
   nāmaliṅgātideśau dvau saptamādhyāyapādagāḥ // MJaiNy_1,1.19 //	nAma-liFga-atideSO dvO saptama-aDyAya-pAda-gAH // MJENi-_1,1.19 //
   saptamādhyāyasya prathame pāde - 'samānamitaracchyenena'	saptama-aDyAyasya praTame pAde  asamAnam-itarat-Syenena-a
   ityādipratyakṣavacanātideśaḥ |	ityAdi-pratyakza-vacana-atideSaH |
   dvitīye - rathantaraśabdena gānamātrābhidhāyinā	dvitIye  raTantara-Sabdena gAna-mAtra-aBiDAyinA
   gānasyaivātideśyatvamityetādṛśaḥ pūrvoktātideśasya śeṣo vicāritaḥ |	gAnasya-eva-atideSya-tvam-iti-etAdRSaH pUrva-ukta-atideSasya SezaH vicAritaH |
   tṛtīye - agnihotranāmnātideśaḥ |	tRtIye  agnihotra-nAmnA-atideSaH |
   caturthe - nirvāpauṣadhadravyādiliṅgātideśaḥ || MJaiNyC_1,1.19 ||	caturTe  nirvApa-OzaDa-dravya-Adi-liFga-atideSaH || MJENyC_1,1.19 ||
   START MJaiNy 1,1.20	START MJENi 1,1.20
   spaṣṭaliṅgādathāspaṣṭātprabalādapavādataḥ /	spazwa-liFgAt-aTa-aspazwAt-prabalAt-apavAdataH /
   atideśaviśeṣāḥ syuraṣṭamādhyāyapādagāḥ // MJaiNy_1,1.20 //	atideSa-viSezAH syuH-azwama-aDyAya-pAda-gAH // MJENi-_1,1.20 //
   aṣṭamādhyāyasya prathame pāde - spaṣṭena liṅgenātideśaviśeṣaḥ |	azwama-aDyAyasya praTame pAde  spazwena liFgena-atideSa-viSezaH |
   tadyathā sauryacarārvatideśakāni nirvāpaḥ, taddhitena devatānirdeśaḥ,	tat-yaTA sOrya-carAru-ati-deSakAni nirvApaH, tad-hitena devatA-nirdeSaH,
   ekadevatatvam, auṣadhadravyakatvam, ityādīni spaṣṭānyagniyaliṅgāni |	eka-devata-tvam, OzaDa-dravyaka-tvam, ityAdIni spazwAni-agni-yaliFgAni |
   dvitīye tu-aspaṣṭairliṅgaratideśaḥ |	dvitIye tu-a-spazwEH-liFga-rati-deSaH |
   tadyathā - vājine haviḥ sāmānyena liṅgena payovidhyanto 'tidiśyate |	tat-yaTA  vAjine haviH sAmAnyena liFgena payaH-viDyantaH atidiSyate |
   tatra liṅgamaspaṣṭam |	tatra liFgam-aspazwam |
   śīghraṃ tadbuddhyanutpādanāt |	SIGram tad-budDi-anutpAdanAt |
   tṛtīye - prabalena liṅgenātideśaḥ |	tRtIye  prabalena liFgena-atideSaH |
   tadyathā - ābhicārikaṣṭāvāgnāvaiṣṇavasārasvatabārhaspatyeṣu haviḥṣu	tat-yaTA  ABicAri-kazwAvAgnA-vEzNava-sAra-svata-bArhaspatyezu haviHzu
   tritvena liṅgena yathākramamāgneyādividhyante prāpte dvidaivatyatvena	tri-tvena liFgena yaTAkramam-Agneya-Adi-viDyante prApte dvi-dEvatya-tvena
   liṅgena prathama āgnāvaiṣṇave tṛtīyasāyāgnīṣomīyasya vidhyanto 'tidiṣṭaḥ |	liFgena praTamaH AgnAvEzNave tRtIyasAya-agnIzomIyasya viDyantaH atidizwaH |
   prabalaṃ ca dvidaivatyatvam |	prabalam ca dvi-dEvatya-tvam |
   śabdoccāraṇamātreṇa sahasā pratibhāsāt |	Sabda-uccAraNa-mAtreNa sahasA pratiBAsAt |
   kramastu vilambitapratītyā durbalaḥ |	kramaH-tu vilambita-pratItyA durbalaH |
   caturthe - darvihomeṣvatideśo 'podyate || MJaiNyC_1,1.20 ||	caturTe  darvi-homezu-atideSaH apodyate || MJENyC_1,1.20 ||
   START MJaiNy 1,1.21	START MJENi 1,1.21
   ūhārambho 'tha sāmoho mantrohastatprasaṅgataḥ /	UhA-AramBaH aTa sAmohaH mantra-UhaH-tad-prasaFgataH /
   navamādhyāyapādeṣu caturṣvete prakīrtitāḥ // MJaiNy_1,1.21 //	navama-aDyAya-pAdezu caturzu-ete prakIrtitAH // MJENi-_1,1.21 //
   navamādhyāyasya prathame pāde - upodghātapūrvakamūhavicāraprārambhaḥ |	navama-aDyAyasya praTame pAde  upodGAta-pUrvakam-Uha-vicAra-prAramBaH |
   tatra prayājādayo dharmā apūrvaprayuktāḥ |	tatra prayAja-AdayaH DarmAH apUrva-prayuktAH |
   avadhātamantrādiṣvavivakṣitaṃ vrīhyagnyādisvarūpaṃ sādhanaviśeṣatvamātraṃ	avaDAta-mantra-Adizu-avivakzitam vrIhi-agni-Adi-svarUpam sADana-viSeza-tva-mAtram
   vivakṣitamityādirūpoddhātaḥ |	vivakzitam-iti-Adi-rUpa-udDAtaH |
   savitraśvipūṣaśabdānāṃ vikṛtiṣu nāstyūhaḥ |	savitR-aSvipUza-SabdAnAm vikRtizu na-asti-UhaH |
   agniśabdasyāstyūha ityādika ūhavicārārambhaḥ |	agni-Sabdasya-asti-UhaH iti-AdikaH Uha-vicAra-AramBaH |
   dvitīye - saparikaraḥ sāmohaḥ |	dvitIye  sa-parikaraH sAmohaH |
   tṛtīye - mantrohaḥ |	tRtIye  mantra-UhaH |
   caturthe - mantrohaprasaṅgāpatito vicāraḥ || MJaiNyC_1,1.21 ||	caturTe  mantra-Uha-prasaFga-ApatitaH vicAraH || MJENyC_1,1.21 ||
   START MJaiNy 1,1.22	START MJENi 1,1.22
   dvāralopo 'sya vistāraḥ kāryaikatvaṃ samuccayaḥ /	dvAra-lopaH asya vistAraH kArya-eka-tvam samuccayaH /
   grahasāmaprakīrṇāni nañarthaścāṣṭapādagāḥ // MJaiNy_1,1.22 //	graha-sAma-prakIrNAni naQarTaH-ca-azwa-pAdagAH // MJENi-_1,1.22 //
   daśamādhyāyasya prathame pāde - bādhaheturdvāralopo nirūpitaḥ |	daSama-aDyAyasya praTame pAde  bADa-hetuH-dvAra-lopaH nirUpitaH |
   tadyathā - 'svayaṅkṛtā vedirbhavati 'ityatra vediniṣpādanarūpasya dvārasya	tat-yaTA  asvayaFkRtA vediH-Bavati aiti-atra vedi-nizpAdana-rUpasya dvArasya
   lopena niṣpādakānāmuddhananādīnāṃ bādhaḥ |	lopena nizpAdakAnAm-udDanana-AdInAm bADaH |
   kṛṣṇaleṣu vituṣīkaraṇarūpasya dvārasya lopenāvaghātasya bādhaḥ |	kRzNalezu vituzIkaraNa-rUpasya dvArasya lopena-avaGAtasya bADaH |
   dvitīye - saṃkṣepeṇoktasya dvāralopasya bahubhirudāharaṇairvistāraḥ |	dvitIye  saMkzepeNa-uktasya dvAra-lopasya bahuBiH-udAharaNEH-vistAraH |
   tṛtīye - bādhakāraṇaṃ kāryaikatvam |	tRtIye  bADa-kAraNam kAryA-eka-tvam |
   tadyathā - prakṛtau gavāśvādidakṣiṇāyā ṛtvikparikrayaḥ kāryam |	tat-yaTA  prakRtO gavASvAdi-dakziNAyAH Rtvij-parikrayaH kAryam |
   tathā vikṛtirūpe bhūnāmnyekāhe dhenurūpāyā dakṣiṇāyāstadeva kāryam |	taTA vikRti-rUpe BUnAmni-ekAhe Denu-rUpAyAH dakziNAyAH-tat-eva kAryam |
   tato dhenvāgavāśvādidakṣiṇā vikṛtau codakapraptā bādhyate |	tatas Denu-AgavASu-Adi-dakziNA vikRtO ca-udaka-praptA bADyate |
   caturthe - nakṣatreṣṭivihitā upahomāścodakaprāptairnāriṣṭhahomaiḥ saha	caturTe  nakzatra-izwi-vihitAH upahomAH-ca-udaka-prAptEH-nArizWa-homEH saha
   samuccīyante, ityādiḥ samuccayaḥ |	samuccIyante, ityAdiH samuccayaH |
   pañcame - ṣoḍaśigrahaḥ prakṛtigāmī |	paQcame  zoxaSigrahaH prakRti-gAmI |
   sa cā'grayaṇapātrādeva grahītavyaḥ, ityādirbādhaprasaṅgāgato	sa cA-agrayaNa-pAtrAt-eva grahItavyaH, iti-AdiH-bADa-prasaFga-AgataH-
   grahādivicāraḥ |	graha-Adi-vicAraH |
   ṣaṣṭhe - 'sāma tṛce geyam ' ityādirbādhaprasaṅgāgataḥ sāmavicāraḥ |	zazWe  asAma tRce geyam a iti-AdiH-bADa-prasaFga-AgataH sAma-vicAraH |
   saptame - paśvaṅgeṣu - pratyaṅgaṃ havirbhedaḥ, na kṛtsnaḥ paśurhavirbhedaḥ	saptame  paSu-aFgezu  pratyaFgam havirBedaH, na kRtsnaH paSuH-haviH-BedaH
   gṛhamedhīyamapūrve karmetyādirbādhaprasaṅgāgataḥ prakīrṇavicāraḥ |	gRhameDIyam-apUrve karma-ityAdiH-bADa-prasaFga-AgataH prakIrNa-vicAraH |
   aṣṭame - 'nānuyājeṣu ' iti paryudāsaḥ , ' na some ityarthavādaḥ,	azwame  anAnuyAjezu a iti paryudAsaH , a na some iti-arTa-vAdaH,
   'nātirātre ' iti pratiṣedhaḥ ' ityādirbādhopayukto nañarthavicāraḥ ||	anAtirAtre a iti pratizeDaH a iti-AdiH-bADa-upayuktaH naQarTa-vicAraH ||
   MJaiNyC_1,1.22 ||	MJENyC_1,1.22 ||
   START MJaiNy 1,1.23	START MJENi 1,1.23
   upodghātastathā tantrāvāpau tantrasya vistṛtiḥ /	upodGAtaH-taTA tantra-AvApO tantrasya vistRtiH /
   āvāpavistṛtiścaikādaśādhyāyasya pādagāḥ // MJaiNy_1,1.23 //	AvApa-vistRtiH-ca-ekAdaSa-aDyAyasya pAda-gAH // MJENi-_1,1.23 //
   ekādaśādhyāyasya prathame pāde - tantrasyopodghāto varṇitaḥ |	ekAdaSa-aDyAyasya praTame pAde  tantrasya-upodGAtaH varNitaH |
   dvitīye - tantrāvāpau saṃkṣepeṇoktau |	dvitIye  tantra-AvApO saMkzepeNa-uktO |
   tṛtīye - tantramudāharaṇabāhulyena prapañcitam |	tRtIye  tantram-udAharaNa-bAhulyena prapaQcitam |
   caturthe - tathaivā'vāpaḥ prapañcitaḥ || MJaiNyC_1,1.23 ||	caturTe  taTA-evA-avApaH prapaQcitaH || MJENyC_1,1.23 ||
   START MJaiNy 1,1.24	START MJENi 1,1.24
   prasaṅgastantrinirṇītiḥ samuccayavikalpane /	prasaFgaH-tantri-nirNItiH samuccaya-vikalpane /
   dvādaśādhyāyapādārthā iti pādārthasaṃgrahaḥ // MJaiNy_1,1.24 //	dvAdaSa-aDyAya-pAda-arTAH iti pAda-arTa-saMgrahaH // MJENi-_1,1.24 //
   dvādaśādhyāyasya prathame pāde - paśudharmāṇāṃ paśupuroḍāśe prasaṅgaḥ,	dvAdaSa-aDyAyasya praTame pAde  paSu-DarmANAm paSu-puroxASe prasaFgaH,
   saumikavederuttarakālīmakarmasu prasaṅgaḥ, ityādivicāraḥ |	sOmika-vedeH-uttara-kAlIm-akarmasu prasaFgaH, ityAdi-vicAraH |
   dvitīye - savanīyapaśostantritvam , na tu savanīyapuroḍāśānām |	dvitIye  savanIya-paSoH-tantri-tvam , na tu savanIya-puroxASAnAm |
   vikṛtistantriṇī, na prakṛtiḥ, anvārambhaṇīyā vikayatiṣvapi syāt, na tu	vikRtiH-tantriNI, na prakRtiH, anvAramBaNIyA vikayatizu-api syAt, na tu
   prakṛtāvevetyādivicāraḥ |	prakRtO=-eva-ityAdi-vicAraH |
   tṛtīye - tvagvāsasoḥ samuccayaḥ |	tRtIye  tvac-vAsasoH samuccayaH |
   ādāragatānāmṛjutvasamatatatvādīnāṃ samuccaya ityādikaṃ prādhānyena,	AdAra-gatAnAm-Rju-tva-samatatatva-AdInAm samuccayaH iti-Adikam prADAnyena,
   yavavrīhyorvikalpa ityādikaṃ samuccayāpavādatvena, ityubhayaṃ cintitam |	yava-vrIhyoH-vikalpaH iti-Adikam samuccaya-apavAda-tvena, iti-uBayam cintitam |
   caturthe ca - aindrābārhaspatyayājyānuvākyāyagalayorvikalpa ityādikaṃ	caturTe ca  EndrAbArhaspatyaya-Ajya-anuvAkyAya-galayoH-vikalpaH iti-Adikam
   prādhānyena, prājyānuvākyayoḥ samuccaya ityādikaṃ	prADAnyena, prAjya-anuvAkyayoH samuccayaH iti-Adikam
   vikalpāpadādatvenetyubhayaṃ cintitam |	vikalpa-ApadAda-tvena-iti-uBayam cintitam |
   caturthe ca - aindrābārhaspatyayājyānuvākyāyugalayorvikalpa ityādikaṃ	caturTe ca  EndrAbArhaspatyaya-Ajya-anuvAkyA-yugalayoH-vikalpaH iti-Adikam
   prādhānyena, prājyānuvākyayoḥ samuccaya ityādikaṃ	prADAnyena, prAjya-anuvAkyayoH samuccayaH iti-Adikam
   vikalpāpadādatvenetyubhayaṃ cintitam |	vikalpa-ApadAda-tvena-iti-uBayam cintitam |
   tadevaṃ dvādaśādhyāyagateṣu ṣaṣṭisaṃkhyākeṣu pādeṣu pratipāhyā arthā	tat-evam dvAdaSa-aDyAya-gatezu zazwi-saMKyAkezu pAdezu pratipAhyAH arTA
   saṃgṛhītāḥ || MJaiNyC_1,1.24 ||	saMgRhItAH || MJENyC_1,1.24 ||
   START MJaiNy 1,1.25	START MJENi 1,1.25
   nanu yathoktebhyaḥ pādārthebhyo 'pyarthā bahavastattatpādeṣu vicāryante,	nanu yaTA-ukteByaH pAdArTeByaH api-arTAH bahavaH-tad-tad-pAdezu vicAryante,
   teṣāṃ kathaṃ tattatpādāntarbhāva ityāśaṅkyā'ha -	tezAm kaTam tad-tad-pAda-antarBAvaH iti-ASaFkyA-aha -
   upodghātāpavādābhyāṃ prasaṅgānuprasaṅgataḥ /	upodGAta-apavAdAByAm prasaFga-anuprasaFgataH /
   tattatpādagatatvena vicārāntaramunnayet // MJaiNy_1,1.25 //	tad-tad-pAda-gata-tvena vicAra-antaram-unnayet // MJENI-_1,1.25 //
   yathoktapādapratipādyadanyeṣvartheṣu yathocitaṃ kaścidupoddhātaḥ,	yaTA-ukta-pAda-pratipAdyadanyezu-arTezu yaTocitam kaScid-upodDAtaH,
   kaścidapavādaḥ , kaścitprasaṅgapatitaḥ, kaścidanuprasaṅgapatitaḥ, ityevaṃ	kaScid-apavAdaH , kaScid-prasaFga-patitaH, kaScid-anuprasaFga-patitaH, iti-evam
   pādāntarbhāva unneyaḥ || MJaiNyC_1,1.25 ||	pAda-antarBAvaH unneyaH || MJENyC_1,1.25 ||
   START MJaiNy 1,1.26	START MJENi 1,1.26
   nanu santvevamadhyāyānāṃ pādānāṃ ca vyavasthitā arthāḥ /	nanu santu-evam-aDyAyAnAm pAdAnAm ca vyavasTitAH arTAH /
   tadīyastu kramaḥ kathamanagantavya ityata āha -	tadIyaH-tu kramaH kaTam-anagantavyaH iti-atas Aha -
   śāstre pūrvottarībhāvo 'dhyāyānāmabhidhāsyate /	SAstre pUrva-uttarIBAvaH aDyAyAnAm-aBiDAsyate /
   pādānāṃ tu tamatraiva leśādvyatpādayāmahe // MJaiNy_1,1.26 //	pAdAnAm tu tam-atra-eva leSAt-vyat-pAdayAmahe // MJENi-_1,1.26 //
   ekasminnadhyāye samāpti rasti , adhyāyāntarārambhe, tayoradhyāyayoḥ	ekasmin=-aDyAye samApti rasti , aDyAya-antara-AramBe, tayoH-aDyAyayoH
   pūrvoparī bhāvo vakṣyate || MJaiNyC_1,1.26 ||	pUrva-uparI BAvaH vakzyate || MJENyC_1,1.26 ||
   START MJaiNy 1,1.27	START MJENi 1,1.27
   prathamādhyā gatāmāṃ pādānāṃ pūrvottarībhāva udhṛte sati tadvyutpatyā	praTama-aDyA gatAmAm pAdAnAm pUrva-uttarIBAvaH uDRte sati tat-vyutpatyA
   pādāntareṣvapi tasyotpekṣitu śakyatayā tamudāharati -	pAda-antarezu-api tasya-utpekzitu Sakya-tayA tam-udAharati -
   vidhiḥ mākṣāmitirdharme tasya śeṣor'thavādagīḥ /	viDiH mAkza-amitiH-Darme tasya SezoH-aTavAda-gIH /
   vedamūlā smṛtirnāma vākyāṃśo 'mīpvataḥ kramaḥ // MJaiNy_1,1.27 //	vedamUlA smRtiH-nAma vAkya-aMSaH amIpvatas kramaH // MJENi-_1,1.27 //
   jijñāsya vama pratijñāta dharme vivivākyaṃ sākṣātpramāṇamiti tadvicāraḥ	jijQAsya vama pratijQAta Darme vivivAkyam sAkzAt-pramANam-iti tad-vicAraH
   prathame pāde yuktaḥ |	praTame pAde yuktaH |
   arthavādavākya vividvārā prāmaṇyadvidhyanantarabhāvitvam smṛti vākyasya	arTavAda-vAkya vividvArA prAmaNya-t-viDi-anantara-BAvi-tvam smRti vAkyasya
   sārthavādavidhirūpavedamūlatayā prāmāṇyādarthavādottarabhāvitvam |	sArTa-vAda-viDi-rUpa-veda-mUla-tayA prAmANyAt-arTavAda-uttara-BAvi-tvam |
   nāmadheyasya vākyaikadeśatvena pūrvoktatrividhavākyavicārottarakālīnatvam	nAmaDeyasya vAkya-eka-deSa-tvena pUrva-ukta-triviDa-vAkya-vicAra-uttara-kAlIna-tvam
   anena nyāyenottarādhyāyagatapādānāṃ parasparaṃ krama unneyaḥ ||	anena nyAyena-uttara-aDyAya-gata-pAdAnAm parasparam kramaH unneyaH ||
   MJaiNyC_1,1.27 ||	MJENyC_1,1.27 ||
   START MJaiNy 1,1.27*	START MJENi 1,1.27*
   itthaṃ śāstrasyādhyāyānāṃ pādānāṃ ca	itTam SAstrasya-aDyAyAnAm pAdAnAm ca
   kramaviśeṣaviśiṣṭānāmasādhāraṇapratipādyamarthe nirūpya tannirṇayaphalaṃ	krama-viSeza-viSizwAnAm-asADAraNa-pratipAdyam-arTe nirUpya tad-nirNaya-Palam
   darśayati -	darSayati -
   ūhitvā saṃgatīstistrastathāvāntarasaṃgatim /	UhitvA saMgatIH-tistraH-taTA-avAntara-saMgatim /
   ūhetā'kṣepadṛṣṭāntapratyudāharaṇādikam // MJaiNy_1,1.27* //	UhetA-akzepa-dRzwAnta-pratyudAharaNa-Adikam // MJENi-_1,1.27* //
   śāstrādipratipādyārthasaṃbandhitayādhikaraṇe yojite sati tasyādhikaraṇasya	SAstra-Adi-pratipAdya-arTa-saMbanDi-tayA-aDikaraNe yojite sati tasya-aDikaraNasya
   śāstrasaṃgatiḥ, adhyāyasaṃgatiḥ, pādasaṃgatiśceti tistra ūhitā bhavanti |	SAstra-saMgatiH, aDyAya-saMgatiH, pAda-saMgatiH-ca-iti tistre UhitAH Bavanti |
   tadyathā - prathamādhyāyasya prathamapādasya dvitīyadhikaraṇe dharmasya	tat-yaTA  praTama-aDyAyasya praTama-pAdasya dvitIyaDikaraNe Darmasya
   lakṣaṇapramāṇarāhityaṃ pūrvapakṣīkṛtya tatsadbhāvaḥ pratipāditaḥ |	lakzaNa-pramANa-rAhityam pUrva-pakzIkRtya tad-sadBAvaH pratipAditaH |
