   {...} = akṣara unclear	{...}  akzaraH unclear
   pracidyāḥ | tasmāt tat prakaraṇaṃ taiḥ śrūyate iti śravaṇasya prayojanaṃ	pracidyAH | tasmAt tat prakaraNam tEH SrUyate iti SravaNasya prayojanam
   vyutpādanam | etaccārthadvayaṃṇicā pratipāditam | anyathā	vyutpAdanam | etat ca arTa dvayaMNicA pratipAditam | anyaTA
   asādhāraṇavyāpāro vakturvyutpattau na darśitaḥ syāt, śiṣyāṇāṃ	asADAraNa vyApAraH vaktuH vyutpattO na darSitaH syAt, SizyANAm
   śravaṇavyāpāraśca | yasmāt sarva eva prayojakaparatantro pāna	SravaNa vyApAraH ca | yasmAt sarve eva prayojaka paratantraH pAna
   śayyāsanalakṣaṇaḥ | iṣṭāniṣṭayoro viparītaḥ sa upekṣaṇauyaḥ |	SayyA Asana lakzaNaH | izwa an izwayoraH viparItaH saH upekzaNOyaH |
   sarasyaitasya uruṣārthasya kāraṇaṃ samyagjñānam | tathāhi 	sarasya etasya uruza arTasya kAraNam samyak jQAnam | taTA hi 
   pratyakṣādijñānena virdhārya śūla viṣa kaṇṭha kādikaṃ pariharati	pratyakza Adi jQAnena virDArya SUla viza kaNWa kAdikam pariharati
   puṣpamālyādikamādatte, tadbhinnānanyāścopekṣate |	puzpa mAlya Adikam Adatte, tad BinnAn anyAH ca upekzate |
   prekṣāvatā hi samyagjñānavyutpādanāya prakaraṇamidamārabdhavatā	prekzAvatA hi samyak jQAna vyutpAdanAya prakaraNam idam ArabDavatA
   ayamevipāyo nānya iti darśita evopāyopeyabhāvaḥ prakaraṇaprayojanayoḥ	ayam evipAyaH na anyaH iti darSitaH eva upAya upeya BAvaH prakaraNa prayojanayoH
   sambandha iti |	sambanDaH iti |
   nanu ca prakaraṇaśravaṇāt prāguktānyapi abhidheyādīni pramāṇābhāvāt	nanu ca prakaraNa SravaNAt prAk uktAni api aBiDeya AdIni pramANa aBAvAt 
   prekṣāvadbhirna gṛhyante, tat kimetairārambhapradeśa uktaiḥ?	prekzAvadBiH na gRhyante, tat kim etEH AramBa pradeSaH uktEH?
   satyam aśrute prakaraṇe kathitānyapi na niścauyante | ukteṣu	satyam aSrute prakaraNe kaTitAni api na niScOyante | uktezu
   tvapramāṇakeṣvapi abhidheyādiṣu saṃśaya utpadyate, saṃśayācca pravartante	tu apramANakezu api aBiDeya Adizu saMSayaH utpadyate, saMSayAt ca pravartante
   | arthasaṃśayo 'pi hi pravṛtyaṅga prekṣāvatām | anarthasaṃśayo 'pi	| arTa saMSayaH api hi pravRti aFga prekzAvatAm | anarTa saMSayaH api
   nivṛttyaṅgam | ataeva śāstrakāreṇava sambandhādīni yujyante vaktum |	nivRtti aFgam | ataeva SAstra kAreNava sambanDa AdIni yujyante vaktum |
   bhavati, asatiṇici śiyyā aprayojyāḥ | ye cāprayojyāste svatantrāḥ |	Bavati, asatiNici SiyyAH aprayojyAH | ye ca aprayojyAH te svatantrAH |
   svatantrāṇāṃ cācāryaprayukta vyutpattimaniccatāṃ śravaṇābhāvāt kathaṃ	svatantrANAm ca AcArya prayukta vyutpattim aniccatAm SravaNa aBAvAt kaTam
   śravaṇavyāpārasya prayojanaṃ cintyate?  iti syitam | nanu ca	SravaNa vyApArasya prayojanam cintyate? iti syitam | nanu ca
   yathābhidheyavyutpādanaprayojanayorapoddhāreṇa pratipādakapadaṃ kathaṃ	yaTA aBiDeya vyutpAdana prayojanayoH apa udDAreNa pratipAdaka padam kaTam
   sambandhasyāpi kimīt na kathitam? ityāha  sambandhapradarśanapadaṃ	sambanDasya api kimIt na kaTitam? iti Aha sambanDa pradarSana padam
   tvityādi | ayameva prakaraṇaviśeṣo laghūpāyatayā vakṣyamāṇaya nītyopāyaḥ	tu ityAdi | ayam eva prakaraNa viSezaH laGu upAya tayA vakzyamANaya nItyA upAyaH
   vyutpādanam= upeyam | upāyopeyasambandhaśca kāryakāraṇasambandha eva, sa	vyutpAdanam upeyam | upAya upeya sambanDaH ca kArya kAraNa sambanDaH eva, sa
   ca pratīyata iti na padāntareṇa kathitaḥ | tathā coktam 	ca pratIyate iti na pada antareNa kaTitaH | taTA ca uktam 
   "śāstraṃ prayojanaṃ caiva sambandhasyāśrayādubhau |	"SAstram prayojanam ca eva sambanDasya ASrayAt uBO |
   taduktyantargatastena bhinno noktaḥ prayojanāt" iti |	tad ukti antargataH tena BinnaH na uktaH prayojana at" iti |
   evamādivākyenābhidheyaprayojanādau kathite sati prāmāṇikānāṃ prabṛttau	evamAdi vAkyena aBiDeya prayojana AdO kaTite sati prAmANikAnAm prabRttO
   tadasaṅgata emveti manyamānaścodayati  nanvityādinā | evaṃ manyate  yo hi	tat asaFgataH emva iti manyamAnaH codayati nanu iti AdinA | evam manyate yaH hi
   prāmāṇikaḥ, sa pramāṇe pravartate | na cādivākye prayojanādinā kathitena	prAmANikaH, sa pramANe pravartate | na ca Adi vAkye prayojana AdinA kaTitena
   śāstraśravaṇāt prāgvartate śāstram, ādivākyasyāprāmāṇyāt | aprāmāṇyaṃ	SAstra SravaNAt prAc vartate SAstram, Adi vAkyasya aprAmANyAt | aprAmANyam
   cārthena sahāsambandhāccabdasya | etairiti | abhidheyādibhiḥ |	ca arTena saha asambanDAt cabdasya | etEH iti | aBiDeya AdiBiH |
   ārambhapradeśoktairiti prakaraṇasyai kadeśoktaiḥ, ādāvuktai rityarthaḥ |	AramBa pradeSa uktEH iti prakaraNasyE kadeSa uktEH, AdO= uktEH riti arTaH |
   ukteṣvityādi | evaṃ manyate  yadyapyasyāpramāṇaṃ	uktezu ityAdi | evam manyate yadi api asya apramANam
   prayojanapratipādakamādivacanam, tathāpi śāstrādau pratipādanīyam	prayojana pratipAdakam Adi vacanam, taTA api SAstra AdO pratipAdanIyam
   arthasaṃśayajananārtham | yo hi samaygjñānārthī sa tathābhutaṃ śāstrakartu	arTa saMSaya janana arTam | yaH hi samayk jQAna arTI sa taTA aButam SAstra kartu
   rādivākyaṃ śrutvātatra saṃśete, saṃśayācca pravartata iti tātparyam | ata	rAdi vAkyam SrutvA atatra saMSete, saMSayAt ca pravartate iti tAtparyam | ata
   eveti | yata evādivākye nārthasaṃśayaḥ, saṃśayācca pravṛtiḥ, ataeva	eva iti | yatas eva Adi vAkye na arTa saMSayaH, saMSayAt ca pravRtiH, ataeva
   śāstrakāreṇaiva sarvapuruṣārthasiddhiriti sarvapuruṣārthasādhakam |	SAstra kAreNa eva sarva puruza arTa sidDiH iti sarva puruza arTa sADakam |
   siddhiśabdenātra sādhakamucyate | tena sarvapuruṣārthasiddhau niścitameva	sidDi Sabdena atra sADakam ucyate | tena sarva puruza arTa sidDO niScitam eva
   samyagjñānaṃ kāraṇaṃ bhavatīti pradarśitam | itiśabdaḥ vyākhyātaṇāṃ hi	samyak jQAnam kAraNam Bavati iti pradarSitam | iti SabdaH vyAKyAtaNAm hi
   vacana krīḍādyarthamanyathāpi sambhāvyate | śastrakṛtāṃ tu	vacana krIxA Adi arTam anyaTA api samBAvyate | Sastra kRtAm tu
   prakaraṇaprārambhe na viparītabhidheyādyabhidhāne prayojanamutpaśyāmaḥ,	prakaraNa prAramBe na viparItaBiDeya Adi aBiDAne prayojanam utpaSyAmaH,
   nāpi pravṛttim | atasteṣu saṃśayo yuktaḥ | anukteṣu tu	na api pravRttim | atas tezu saMSayaH yuktaH | anuktezu tu
   pratipattṛbhirniṣprayojanamabhidheyaṃ sambhāvyetāsya prakaraṇasya,	pratipattRBiH nizprayojanam aBiDeyam samBAvyeta asya prakaraNasya,
   kākadantaparīkṣāyā iva | aśakyānuṣṭhānaṃ vā,	kAka danta parIkzAyAH iva | aSakya anuzWAnam vA,
   jvaraharatakṣakacūḍāratnālaṅkāropadeśavat | anabhimataṃ vā prayojanamḥ	jvara hara takzaka cUxA ratna alaFkAra upadeSa vat | anaBimatam vA prayojanamH
   mātṛvivāhakramopadeśavat, ato vā prakaraṇāllaghutara upāyaḥ prayojanasya,	mAtR vivAha krama upadeSavat, atas vA prakaraNAt laGutaraH upAyaH prayojanasya,
   anupāya eva vā prakaraṇaṃ sambhāvyeta |	anupAyaH eva vA prakaraNam samBAvyeta |
   etāsu cānarthasambhāvanāsu ekasyāmapyanarthasambhavanāyām na prekṣāvantaḥ	etAsu ca anarTa samBAvanAsu ekasyAm api anarTa samBavanAyAm na prekzAvantaH
   pravartante | abhidheyādiṣu tūkteṣvathasambhāvanā	pravartante | aBiDeya Adizu tu uktezu aTa samBAvanA
   anarthasambhāvanāviruddhā utpadyate, tathā prekṣāvantaḥ pravartante | iti	anarTa samBAvana avirudDAH utpadyate, taTA prekzAvantaH pravartante | iti
   prekṣāvatāṃ pravṛttyaṅgamarthasambhāvanāṃ kartu sambandhādīnyabhidhīyanta	prekzAvatAm pravRtti aFgam arTa samBAvanAm kartu sambanDa AdIni aBiDIyanta
   iti sthitam |	iti sTitam |
   yujyate vaktum, nākhyānakartreti | tena yaduktaṃ kenacid  'vyākhyānakārā	yujyate vaktum, na AKyAna kartrA iti | tena yat uktam kenacid  avyAKyAna kArA
   eva prayojanādīni pratipādayaisaynti' iti, tat pratyuktam |	eva prayojana AdIni pratipAdayEsaynti a iti, tat pratyuktam |
   utpaśyāma ityādinaitad darśayati  yadyapi pramāṇaṃ nāsti, mahatā	utpaSyAmaH ityAdinA etat darSayati yadi api pramANam nAsti, mahatA
   prabandhena śāstrakaraṇāt sambhāvyata ityarthaḥ | nanu ca	prabanDena SAstra karaNAt samBAvyate iti arTaH | nanu ca
   vādhakasādhakapramāṇābhāvāt samyagjñānavyutpattyarthī vināpi āvidacanena	vADaka sADaka pramANa aBAvAt samyak jQAna vyutpatti arTI vinA api Avidacanena
   saṃśayānastatra pravartate  iti kimādivākyena tatroktena? ityāha 	saMSayAnaH tatra pravartate iti kim Adi vAkyena tatra uktena? iti Aha 
   anukteṣvityādi | evaṃ manyate  yo hyamūḍhaḥ, taṃ prati na kartavyameva |	anuktezu ityAdi | evam manyate yaH hi amUXaH, tam prati na kartavyam eva |
   yo hi kākadantaparīkṣādiśāstraṃ dṛṣṭvā prayojanādirahitam,	yaH hi kAka danta parIkzA Adi SAstram dRzwvA prayojana Adi rahitam,
   atrāpyaprayojanā dīn sambhāvayannanartha saṃśete, anarthasaṃśayācca	atra api aprayojanAH dIn samBAvayan= anarTa saMSete, anarTa saMSayAt ca
   pravarttate, taṃ pratyetat kathanasya prayojanam | kathite ca vacane	pravarttate, tam pratyetat kaTanasya prayojanam | kaTite ca vacane
   śāstrakāreṇa tadanurodhād vacanādarthasaṃśayo jāyate, tataḥ pravartata	SAstra kAreNa tad anuroDAt vacanAt arTa saMSayaH jAyate, tatas pravartata
   ityarthaḥ |	iti arTaH |
   anarthasaṃśayo yaiḥ kāraṇairbhavati tannidarśayati  niṣprayojananityādinā	anarTa saMSayaH yEH kAraNEH Bavati tat nidarSayati nizprayojana nitya AdinA
   | ato vā prakaraṇādanyasya prakaraṇasya laghutaropāyatāṃ sambhāvyāsya	| atas vA prakaraNAt anyasya prakaraNasya laGutara upAya tAm samBAvya asya
   prakaraṇasyasāratayā anupāyatā syādityarthaḥ |	prakaraNasyasAratayA anupAyatA syAt iti arTaH |
   evaṃ samudāyena vākyasya tātparya vyākhyāyāvayavārtha darśayitumāha 	evam samudAyena vAkyasya tAtparya vyAKyAya avayava arTa darSayitum Aha 
   avisaṃvādakamityādi | 'avisaṃvādakaṃ jñānaṃ samyagjñānaṃ' iti bruvatā	avisaMvAdakam ityAdi | aavisaMvAdakam jQAnam samyak jQAnama iti bruvatA
   ṭīkākṛtā arthāvabodhakaṃ jñānaṃ mīmāṃsakaparikalpitam, arthadarśanaṃ ca	wIkA kRtA arTa avaboDakam jQAnam mImAMsaka parikalpitam, arTa darSanam ca
   cārvākopakalpitam, athāpi viparītaṃ jñānaṃ kaiścit parikalpitaṃ	cArvAka upakalpitam, aTa api viparItam jQAnam kEScid parikalpitam
   samyaktvena, tannirastaṃ sarvam, eteṣāṃ samyagjñānalakṣaṇābhāvāt | yathā	samyaktvena, tat nirastam sarvam, etezAm samyak jQAna lakzaNa aBAvAt | yaTA
   na ca tāni samyagjñānāni, tathā svayaṃ ṭīkāyāmapahastitāni |	na ca tAni samyak jQAnAni, taTA svayam wIkAyAm apahastitAni |
   tasmādityarthe | yattado nityasaṃbandhau | tena yasmāt	tasmAt iti arTe | yat tadaH nitya saMbanDO | tena yasmAt 
   sarvapuruṣārthasiddhau samyagjñānaṃ pūrvabhāvi, tasmādeva tad vyutpādyata	sarva puruza arTa sidDO samyak jQAnam pUrva BAvi, tasmAt eva tat vyutpAdyata
   ityukta bhavati |	iti ukta Bavati |
   avisaṃvādakaṃ jñānaṃ samyagjñānam |	avisaMvAdakam jQAnam samyak jQAnam |
   loke ca pūrvamupadarśitamartha prāpayat saṃvādakamucyate | pradarśite	loke ca pUrvam upadarSitam arTa prApayat saMvAdakam ucyate | pradarSite
   cārthe pravartakatvameva prāpakam, nānyat | tathā hi  na jñānaṃ janayad	ca arTe pravartaka tvam eva prApakam, na anyat | taTA hi na jQAnam janayat 
   artha prāpayati, api tvarthe puruṣaṃ pravartayat prāpayatyartham |	arTa prApayati, api tu arTe puruzam pravartayat prApayati arTam |
   pravartakatvamapi pravṛttiviṣayapradarśakatvameva | na hi puruṣaṃ haṭhāt	pravartaka tvam api pravRtti vizaya pradarSaka tvam eva | na hi puruzam haWAt 
   pravartayituṃ śaknoti vijñānam |	pravartayitum Saknoti vijQAnam |
   ata eva cārthādhigatireva pramāṇaphalam | adhigate cārthe pravartitaḥ	atas eva ca arTa aDigatiH eva pramANa Palam | aDigate ca arTe pravartitaH
   puruṣaḥ, prāpitaścarthaḥ | tathā ca sati arthādhigamāt samāptaḥ	puruzaH, prApitaH carTaH | taTA ca sati arTa aDigamAt samAptaH
   pramāṇavyāpāraḥ | ata eva ca anadhigataviṣayaṃ pramāṇam | yenaiva hi	pramANa vyApAraH | atas eva ca anaDigata vizayam pramANam | yena eva hi
   jñānena prathamamadhigato 'rthaḥ, tenaiva pravartita pruruṣaḥ,	jQAnena praTamam aDigataH arTaH, tena eva pravartita pruruzaH,
   prāpitaścārthaḥ | tatreva ca arthe kimanyena jñānenādhikaṃ kāryam | ato	prApitaH ca arTaH | tatra iva ca arTe kim anyena jQAnena aDikam kAryam | atas 
   'dhigataviṣayamapramāṇam |	aDigata vizayam apramANam |
   tatra yo 'rtho dṛṣṭatvena jñāttaḥ sa pratyakṣeṇa pravṛttiviṣayīkṛtaḥ |	tatra yaH arTaH dRzwa tvena jQAttaH sa pratyakzeNa pravRtti vizayIkRtaH |
   yasmād yasminnarthe pratyakṣasya sākṣātkāritvavyāpāro vikalpenānugamyate,	yasmAt yasmin= arTe pratyakzasya sAkzAtkAri tva vyApAraH vikalpena anugamyate,
   tasya ekasminnevārthe trayāṇāṃ jñānātāṃ pradarśaka pravartaka	tasya ekasmin= eva arTe trayANAm jQAnAtAm pradarSaka pravartaka
   prāpakabhedena prāmāṇyamiṣṭaṃ pareṇa, tannirākartu māha, pradarśite cārtha	prApaka Bedena prAmANyam izwam pareNa, tat nirAkartu mA aha, pradarSite ca arTa
   ityādi | pradarśite cārthe prathamena darśakena jñānena yad dvitīyaṃ	ityAdi | pradarSite ca arTe praTamena darSakena jQAnena yat dvitIyam
   jñānaṃ tatraivārthe puruṣasya pravarttakam, tṛtīyamapi tatraivarthe	jQAnam tatra eva arTe puruzasya pravarttakam, tRtIyam api tatra evarTe
   prāpakam, tato nādyādadhikaṃ prāpaṇayogyīkaraṇeneti tadeva pramāṇam |	prApakam, tatas na adyAt aDikam prApaNa yogyIkaraNena iti tat eva pramANam |
   amumevārtha samarthayati tathā hī tyādinā | na janayan notpādayadarthamḥ	amum eva arTa samarTayati taTA hI tyAdinA | na janayan na utpAdayat arTamH
   svahetorevārthasyotpannatvāt | anena pravartakāt prāpakasyābhedo darśitaḥ	sva hetoH eva arTasya utpanna tvAt | anena pravartakAt prApakasya aBedaH darSitaH
   | pravartakasyāpi pradarśakādabhedaṃ darśayitumāha 3 pravṛttītyādi | yat	| pravartakasya api pradarSakAt aBedam darSayitum Aha 3 pravRtti ityAdi | yat 
   pradarśakamādāvutpannamarthe jñānaṃ tadeva pravṛttiviṣayaṃ karoti,	pradarSakam AdO= utpannam arTe jQAnam tat eva pravRtti vizayam karoti,
   pravṛttiviṣayayogyī karotītyarthaḥ, na tu dvitīyaṃ jñānam, ādayenaiva	pravRtti vizaya yogyI karoti iti arTaH, na tu dvitIyam jQAnam, Adayena eva
   pravṛttiviṣayayogyīkṛtatvāt | apiśabdaḥ pūrvapekṣaḥ |	pravRtti vizaya yogyIkRta tvAt | api SabdaH pUrvapekzaH |
   ata evetyādinā ācāryagranthe svamataṃ saṃvādayati | kuto 'yaṃ labhyate	atas eva ityAdinA AcArya granTe sva matam saMvAdayati | kutas ayam laByate
   yadā prathamaṃ darśayatyeva, na pravartayati na prāpayati, dvitīyamapi	yadA praTamam darSayati eva, na pravartayati na prApayati, dvitIyam api
   pravarttayatyeva, na prāpayati | evaṃ satyanyat pradarśakapramāṇamḥ anyat	pravarttayati eva, na prApayati | evam sati anyat pradarSaka pramANamH anyat 
   pravartanādikaphalam? na caivam, tasmād yuktamuktam |	pravartana Adika Palam? na ca evam, tasmAt yuktam uktam |
   nanu ca yadyapyarthādhigatireva pramāṇaphalaṃ tathāpi yāvaduttare	nanu ca yadi api arTa aDigatiH eva pramANa Palam taTA api yAvat uttare
   pravartaka prāpakajñane na bhavataḥ, tatrārthe tāvanna	pravartaka  prApaka jQane na BavataH, tatra arTe tAvat na
   pramāṇavyāpāraparisamāptirityāha  adhigata ityādi | evaṃ manyate  adhigate	pramANa vyApAra parisamAptiH iti Aha aDigataH ityAdi | evam manyate aDigate
   cārthe samāptaḥ pramāṇavyāpāra iti tayoḥ prāmāṇye karttavye 'nupayogitvam,	ca arTe samAptaH pramANa vyApAraH iti tayoH prAmANye karttavye anupayogi tvam,
   ato 'pramāṇe te |	atas apramANe te |
   kathaṃ samāptaḥ pramāṇavyāpāraḥ ko vāsau? ityāha  ata eveti | svavyāpāraḥ	kaTam samAptaH pramANa vyApAraH kaH vA asO? iti Aha atas eva iti | sva vyApAraH
   svaviṣayaniścayajanakartva nāma | sa ca niścayaḥ prathamayā cārthādhigatyā	sva vizaya niScaya jana kartva nAma | sa ca niScayaH praTamayA ca arTa aDigatyA
   kṛta iti samāpto tadvayutpādyata iti | atra taditi samyagjñānaṃ yojanīyam	kRtaH iti samAptaH tadvayutpAdyate iti | atra tat iti samyak jQAnam yojanIyam
   napusaṃkaliṅgena svarupanirdeśāt | natu avyavahitā sarvapuruṣārthasiddhiḥ,	napu saMkaliFgena svarupa nirdeSAt | na tu avyavahitA sarva puruza arTa sidDiH,
   aprādhānyāt || 1 ||	aprADAnyAt || 1 ||
   pradarśakaṃ pratyakṣam tasmād dṛṣṭatayā jñātaḥ pratyakṣadarśitaḥ |	pradarSakam pratyakzam tasmAt dRzwa tayA jQAtaH pratyakza darSitaH |
   anumānaṃ tu liṅgadarśanānniścinvat pravṛttidiṣayaṃ darśayati |	anumAnam tu liFga darSanAt niScinvat pravRtti dizayam darSayati |
   tathā ca pratyakṣaṃ partibhāsamānaṃ niyatamarthadarśayati | anumānaṃ ca	taTA ca pratyakzam parti BAsamAnam niyatam arTa darSayati | anumAnam ca
   liṅgasambaddhaṃ niyatamartha darśayati | ata ete niyatasyārthasya	liFga sambadDam niyatam arTa darSayati | atas ete niyatasya arTasya
   pradarśake | tena te pramāe, nānyad vijñānam |	pradarSake | tena te pramAe, na anyat vijQAnam |
   prāptuṃ śakyamarthamādarśayat prāpakam | prāpakatvācca pramāṇam |	prAptum Sakyam arTam AdarSayat prApakam | prApaka tvAt ca pramANam |
   ābhyāṃ pramāṇābhyāmanyena ca jñānena darśito 'rthaḥ kaścid atyanta	AByAm pramANAByAm anyena ca jQAnena darSitaH arTaH kaScid atyanta
   vipartyastaḥ, yathā  marīcikāsu jalamḥ sa cāsatvāt prāptumaśakyaḥ |	vipartyastaH, yaTA marIcikAsu jalamH sa ca asatvAt prAptum aSakyaH |
   kaścidaniyato bhāvābhāvayoḥ, yathā  saṃśayārthaḥ | na ca bhāvābhāvābhyāṃ	kaScid aniyataH BAva aBAvayoH, yaTA saMSaya arTaH | na ca BAva aBAvAByAm
   yukto 'rtho jagatyastiḥ tataḥ prāptumaśakyastādṛśaḥ |	yuktaH arTaH jagati astiH tatas prAptum aSakyaH tAdRSaH |
   vyāpāraḥ tavataiva puruṣasya pravṛtteḥ | ato dvitīyādīnāmatraivārthe	vyApAraH tavatA eva puruzasya pravRtteH | atas dvitIya AdInAm atra eva arTe
   'dhiko vyāpāro nāstīti | adhigatagantṛtvādaprāmāṇyamityarthaḥ |	aDikaH vyApAraH na asti iti | aDigata gantR tvAt aprAmANyam iti arTaH |
   pravartitaḥ puruṣa iti | pravartanayogyatvāt pravartita ityucyate |	pravartitaH puruzaH iti | pravartana yogya tvAt pravartitaH iti ucyate |
   prāpaṇayogyatvāt prāpitaḥ | evam sāmānyena saṃvādakaṃ samyagjñānaṃ	prApaNa yogya tvAt prApitaH | evam sAmAnyena saMvAdakam samyak jQAnam
   pratipādya viśeṣeṇa ca pratyakṣānumāne svavyāpāraṃ kurvatī samyagjñāne	pratipAdya viSezeNa ca pratyakza anumAne sva vyApAram kurvatI samyak jQAne
   bhavata iti darśayannāha  tatra yo 'rtha ityādinā | tatra tayormadhye	BavataH iti darSayan= Aha tatra yaH arTaH ityAdinA | tatra tayoH maDye
   pratyakṣasya vyāpāraṃ darśayati | dṛṣṭatvena jñāto dṛṣṭatvena niścitaḥ |	pratyakzasya vyApAram darSayati | dRzwa tvena jQAtaH dRzwa tvena niScitaH |
   vikalpenānugamyata iti | tatpṛṣṭhabhāvinā vikalpe nāvasīyate | etaduktaṃ	vikalpena anugamyate iti | tad pRzWa BAvinA vikalpe na avasIyate | etat uktam
   bhavati  pratibhāsamānārthavyavasāyaṃ kurvat pratyakṣaṃ pramāṇaṃ	Bavati pratiBA samAna arTa vyavasAyam kurvat pratyakzam pramANam
   samvādakanityarthaḥ | anumānaṃ tvityādinā anumānasya pravṛttiviṣayaṃ	samvAdaka niti arTaH | anumAnam tu ityAdinA anumAnasya pravRtti vizayam
   darśayati | liṅgadarśanam=liṅgajñānam | tacca	darSayati | liFga darSanam=liFga jQAnam | tat ca
   vahnayavyabhivāridhūmaniścayanaṃ sāmānyena sādhyābinābhāvi ca	vahnayavyaBivAri DUma niScayanam sAmAnyena sADya abinA BAvi ca
   smaraṇajñānam | yathā dhūmaṃpratyakṣeṇa gṛhītvā sarvatra ayaṃ vahnijaḥ iti	smaraNa jQAnam | yaTA DUmaMpratyakzeNa gRhItvA sarvatra ayam vahni jaH iti
   smaraṇam | tasmālliṅgajñānānniścinvat pravṛttiviṣayaṃ darśayati |	smaraNam | tasmAt liFga jQAnAt niScinvat pravRtti vizayam darSayati |
   tadanumānaṃ viśiṣṭasambandhena yadudeti jñānam, yathā atratyo dhūmo	tad anumAnam viSizwa sambanDena yat udeti jQAnam, yaTA atratyaH DUmaH 
   vahnijaḥ iti jānam | etaduktaṃ bhavati 	vahnijaH iti jAnam | etat uktam Bavati 
   pratyakṣasyasvaviṣayaniścayajananavyāpāro 'bhinnaḥ, anumānasya	pratyakzasya sva vizaya niScaya janana vyApAraH aBinnaH, anumAnasya
   tuliṅgadarśanāt svaviṣaye niścayātmanotpattireva niścayavyāpāra iti |	tuliFga darSanAt sva vizaye niScaya AtmanA utpattiH eva niScaya vyApAraH iti |
