   Cīvaravastu	SIva-ravaH-tu
   duhitṛdvayaṃ rūpayauvanasaṃpannaṃ devārham eva / tatraikā vyākṛtā	duhitR-dvayam rUpa-yOvana-saMpannam deva-arham eva / tatra-ekA vyAkRtA
   pitṛmārakaṃ putraṃ janayiṣyatīti dvitīyā tu lakṣaṇasaṃpannam iti / tat	pitR-mArakam putram janayizyati-iti dvitIyA tu lakzaNa-saMpannam iti / tat-
   katarāṃ devasyārthāya ānayāmi / yā sā vyākṛtā lakṣaṇasaṃpannaṃ putraṃ	katarAm devasya-arTAya AnayAmi / yA sA vyAkRtA lakzaNa-saMpannam putram
   janayiṣyatīti / tato gopena siṃhasya lekho 'nupreṣitaḥ / rājño	janayizyati-iti / tatas gopena siMhasya leKaH anuprezitaH / rAjQaH-
   bimbisārasyāgramahiṣī kālagatā tvam upacelām iha preṣayāgramahiṣī	bimbisArasya-agra-mahizI kAlagatA tvam upacelAm iha prezaya-agra-mahizI
   bhaviṣyatīti / tena tasya pratilekho visarjitaḥ / dūram api param api	Bavizyati-iti / tena tasya pratileKaH visarjitaH / dUram api param api
   gatvā tvam evāsmābhiḥ praṣṭavyaḥ / yad bhavatā kṛtaṃ tat paraṃ pramāṇam	gatvA tvam eva-asmABiH prazwavyaH / yat BavatA kRtam tat param pramANam
   iti / tvam eva jānīṣe yathā gaṇena kriyākāraḥ kṛto nānyatra kanyā dātavyā	iti / tvam eva jAnIze yaTA gaNena kriyAkAraH kRtaH na-anyatra kanyA dAtavyA
   ṛte vaiśālakān iti / kiṃ tu tvam āgatyodyāne tiṣṭha aham enām (242r1 = GBM	Rte vESAlakAn iti / kim tu tvam Agatya-udyAne tizWa aham enAm (242r1  GBm
   6.796) udyānaṃ niṣkāṣayiṣyāmi / tvaṃ gṛhītvā gamiṣyasīti / tato gopo	6.796) udyAnam nizkAzayizyAmi / tvam gRhItvA gamizyasi-iti / tatas gopo
   rājānam avalokya ratham āruhya vaiśālīṃ saṃprasthitaḥ / anupūrveṇa	rAjAnam avalokya raTam Aruhya vESAlIm saMprasTitaH / anupUrveNa
   saṃprāptaḥ / udyāne vyavasthitaḥ / tena khalu samayena vaiśālyāṃ	saMprAptaH / udyAne vyavasTitaH / tena Kalu samayena vESAlyAm
   dauvārikaḥ kālagato 'manuṣyakeṣūpapannaḥ / tena vaiśālakānāṃ nirdeśitam* /	dOvArikaH kAlagataH amanuzyakezu-upapannaH / tena vESAlakAnAm nirdeSitam* /
   aham amanuṣyeṣūpapanno mama yakṣasthānaṃ (MSV II 12) kārayata ghaṇṭāṃ ca	aham amanuzyezu-upapannaH mama yakza-sTAnam (MSV II 12) kArayata GaNwAm ca
   grīvāyāṃ pralambayata / yadi kaścid vaiśālakānāṃ pratyarthikaḥ pratyamitra	grIvAyAm pralambayata / yadi kaScid vESAlakAnAm pratyarTikaH pratyamitra
   āgamiṣyati ahaṃ tāvad ghaṇṭāśabdaṃ kariṣyāmi yāvad gṛhīto vā niṣpalāyito	Agamizyati aham tAvat GaNwA-Sabdam karizyAmi yAvat gRhItaH vA nizpalAyitaH-
   veti / tair yakṣaḥ pratirūpaṃ kṛtvā ghaṇṭāṃ ca grīvāyāṃ baddhvā	vA-iti / tEH yakzaH pratirUpam kRtvA GaNwAm ca grIvAyAm badDvA
   nṛtyagītavāditraśabdena balimālyopahāreṇa dvārakoṣṭhake pratiṣṭhāpitaḥ /	nRtya-gIta-vAditra-Sabdena bali-mAlya-upahAreNa dvAra-kozWake pratizWApitaH /
   gopena siṃhasya saṃdiṣṭam* / aham udyāne tiṣṭhāmi nirgaccheti / sa	gopena siMhasya saMdizwam* / aham udyAne tizWAmi nirgacCa-iti / sa
   vaiśālakaṃ gaṇam avalokya gṛhaṃ gatvā upacelām āha / tvaṃ rājñe	vESAlakam gaNam avalokya gRham gatvA upacelAm Aha / tvam rAjQe
   bimbisārāya dattā / alaṃkuruṣvety uktā / udyānaṃ nirgaccha / sā alaṃkartum	bimbisArAya dattA / alaMkuruzva-iti uktA / udyAnam nirgacCa / sA alaMkartum
   ārabdhā / celayā dṛṣṭā / sā kathayati / kimartham alaṃkaroṣi / ahaṃ dattā	ArabDA / celayA dRzwA / sA kaTayati / kimarTam alaMkarozi / aham dattA
   / kasmai / rājñe bimbisārāya / sā kathayati / ahaṃ jyeṣṭhatarā tvaṃ kathaṃ	/ kasmE / rAjQe bimbisArAya / sA kaTayati / aham jyezWatarA tvam kaTam
   dattā / yady evaṃ tvam alaṃkuru / sā cālaṃkaroti / ghaṇṭā ca ravitum	dattA / yadi evam tvam alaMkuru / sA ca-alaMkaroti / GaNwA ca ravitum
   ārabdhā / vaiśālako gaṇaḥ kṣubdhaḥ pratyamitro 'smākaṃ vaiśālīṃ praviṣṭa	ArabDA / vESAlakaH gaNaH kzubDaH pratyamitraH asmAkam vESAlIm pravizwa
   iti / siṃhaḥ saṃtrasta upaceleti kṛtvā celām ādāya laghu laghv nirgataḥ /	iti / siMhaH saMtrastaH upacela-iti kRtvA ca-ilAm AdAya laGu laGu nirgataH /
   gopo 'pi saṃtrastaḥ celāṃ rathe āropya saṃprasthitaḥ / vaiśālakair dṛṣṭaḥ	gopaH api saMtrastaH celAm raTe Aropya saMprasTitaH / vESAlakEH dRzwaH
   / te tena sārdhaṃ saṃgrāmayitum ārabdhāḥ / sa paṃcasu sthāneṣu kṛtāvī tena	/ te tena sArDam saMgrAmayitum ArabDAH / sa paMcasu sTAnezu kRta-avI tena
   paṃca licchaviśatāni marmaṇi tāḍitāni / sa kathayati / bhavanto mayā	paMca licCa-vi-SatAni marmaNi tAxitAni / sa kaTayati / BavantaH mayA
   yuṣmākaṃ paṃcaśatāni marmaṇi tāḍitāny avaśiṣṭaṃ jīvitenācchādayāmi	yuzmAkam paMca-SatAni marmaNi tAxitAni avaSizwam jIvitena-AcCAdayAmi
   nivartateti / te kathayanty ekasatvo 'py asmākaṃ na praghātitaḥ muṃcata	nivartata-iti / te kaTayanti eka-satvaH api asmAkam na praGAtitaH muMcata
   sannāham* / taiḥ sannāho (MSV II 13) muktaḥ / paṃcaśatāni bhūmau	sanna-aham* / tEH sannAhaH (MSV II 13) muktaH / paMca-SatAni BUmO
   nipatitāni prāṇaiś ca viyuktāni / tatas te puruṣarākṣaso 'yam iti kṛtvā	nipatitAni prANEH ca viyuktAni / tatas te puruza-rAkzasaH ayam iti kRtvA
   bhītā niṣpalāyitāḥ / vaiśālīm āgatya saṃjalpaṃ kartum ārabdhāḥ / etad	BItAH nizpalAyitAH / vESAlIm Agatya saMjalpam kartum ArabDAH / etat-
   vairam asmābhir bhavanto bimbisāraputrāṇāṃ niryātayitavyam* / patralekhyaṃ	vEram asmABiH BavantaH bimbisAra-putrANAm niryAtayitavyam* / patra-leKyam
   kṛtvā peḍāyāṃ prakṣipya jatumudrātāpaṃ kṛtvā sthāpayateti / tais tathā	kRtvA pexAyAm prakzipya jatu-mudrA-tApam kRtvA sTApayata-iti / tEH taTA
   kṛtvā sthāpitaṃ* / gopo 'py anupūrveṇa rājagṛham anuprāptaḥ kathayati /	kRtvA sTApitaM* / gopaH api anupUrveNa rAjagRham anuprAptaH kaTayati /
   upacele avatareti / sā kathayati / tāta nāham upacelā / celāhaṃ / kiṃ	upacele avatara-iti / sA kaTayati / tAta na-aham upacelA / celA-aham / kim
   tvayā mama nārocitam* / sā tūṣṇīm avasthitā / tato 'sau duḥkhī durmanā	tvayA mama na-Arocitam* / sA tUzNIm avasTitA / tatas asO duHKI durmanA
   rājñaḥ sakāśaṃ gataḥ / rājñā dṛṣṭa uktaś ca / svāgataṃ gopa / āgato 'si /	rAjQaH sakASam gataH / rAjQA dRzwaH uktaH ca / svAgatam gope / AgataH asi /
   āgato 'smi deva / ānītā upacelā / deva ānītā na ānītā ca / kiṃ kathayasi /	AgataH asmi deva / AnItA upacelA / devaH AnItA na AnItA ca / kim kaTayasi /
   upaceleti kṛtvā celā ānītā / ānīyatāṃ paśyāmaḥ / sā praveśitā / rājñā	upacela-iti kRtvA celA AnItA / AnIyatAm paSyAmaH / sA praveSitA / rAjQA
   dṛṣṭā / atīva rūpayauvanasaṃpannā hārī strīviṣaye / sahadarśanād eva rājā	dRzwA / atIva rUpa-yOvana-saMpannA hArI strI-vizaye / saha-darSanAt eva rAjA
   ākṣiptaḥ kathayati / bhavanto yo hi putraḥ pitaraṃ ghātayati sa rājyahetoḥ	AkziptaH kaTayati / BavantaH yaH hi putraH pitaram GAtayati sa rAjya-hetoH
   / yadi me putro bhaviṣyati tasya jātasyaivāhaṃ paṭṭabandhaṃ kariṣyāmīti /	/ yadi me putraH Bavizyati tasya jAtasya-eva-aham pawwabanDam karizyAmi-iti /
   tatas tena mahatā śrīsamudayena pariṇītā / videhaviṣayād ānītā vaidehīti	tatas tena mahatA SrI-samudayena pariNItA / videha-vizayAt AnItA vEdehi-iti
   (242v1 = GBM 6.797) saṃjñā saṃvṛttā / sa tayā sārdhaṃ krīḍati ramate	(242v1  GBm 6.797) saMjQA saMvRttA / sa tayA sArDam krIxati ramate
   paricārayati / yāvad apareṇa samayena rājā bimbisāro mṛgayā nirgataḥ /	paricArayati / yAvat apareNa samayena rAjA bimbisAraH mRgayA nirgataH /
   anyatamasmiṃś cāśramapade ṛṣiḥ paṃcābhijñaḥ prativasati / yāvan mṛgaḥ	anyatamasmin ca-ASrama-pade RziH paMca-aBijQaH prativasati / yAvat mRgaH
   śaraparamparayā saṃtrāsitas tasya ṛṣer (MSV II 14) āśramapadān nirgato	Sara-paramparayA saMtrAsitaH tasya RzeH (MSV II 14) ASrama-padAt nirgataH-
   rājñā śareṇa marmaṇi tāḍitaḥ / tato 'sau ṛṣiḥ kruddhaḥ kathayati /	rAjQA SareNa marmaNi tAxitaH / tatas asO RziH krudDaH kaTayati /
   kalirāja mama caṇḍamṛgo 'py āśramapadaṃ pariharati / tvayā tu śaraṇopagato	kali-rAja mama caNxamRgaH api ASrama-padam pariharati / tvayA tu SaraNa-upagataH-
   mṛgaḥ praghātita iti / sa ca rājaivam ṛṣiṇā paribhāṣyate / balakāyaś	mRgaH praGAtitaH iti / sa ca rAjA-evam RziNA pariBAzyate / balakAyaH-
   cāgataḥ kathayati / deva ko 'yaṃ paribhāṣate / rājā kathayati / ahaṃ	ca-AgataH kaTayati / deva kaH ayam pariBAzate / rAjA kaTayati / aham
   bhavantaḥ / yo rājānaṃ paribhāṣate tasya ko daṇḍo deva / tasya badho	BavantaH / yaH rAjAnam pariBAzate tasya kaH daNxaH deva / tasya baDo
   daṇḍaḥ / yady evaṃ parityakto me ayam ṛṣiḥ / sa praghātitum ārabdhaḥ / sa	daNxaH / yadi evam parityaktaH me ayam RziH / sa praGAtitum ArabDaH / sa
   praghātyamāno mithyā praṇidhānaṃ karoti / yad aham anena kalirājena	praGAtyamAnaH miTyA praNiDAnam karoti / yat aham anena kali-rAjena
   adūṣaṇam akāri badhyaḥ / utsṛṣṭas tatropapadyeyaṃ yatrainaṃ jīvitād	adUzaNam akAri baDyaH / utsRzwaH tatra-upapadyeyam yatra-enam jIvitAt-
   vyaparopayeyam* / punaḥ saṃlakṣayati / rājāna ete suguptāḥ sugopitāḥ /	vyaparopayeyam* / punar saMlakzayati / rAjAnaH ete su-guptAH su-gopitAH /
   yady aham anyatropapattiṃ grahiṣyāmīti kadācit pratyayaṃ nārāgayiṣyāmi /	yadi aham anyatra-upapattim grahizyAmi-iti kadAcid pratyayam na-ArAgayizyAmi /
   sarvathā anena me praṇidhānena asyaivāgramahiṣyāḥ kukṣāv upapattiḥ syād	sarvaTA anena me praNiDAnena asya-eva-agra-mahizyAH kukzO upapattiH syAt-
   iti / sa mithyā praṇidhānaṃ kṛtvā celāyāḥ kukṣāv upapannaḥ / yam eva	iti / sa miTyA praNiDAnam kRtvA celAyAH kukzO upapannaH / yam eva
   divasaṃ pratisandhir gṛhītas tam eva divasaṃ rudhiravarṣaṃ patitam* /	divasam pratisanDiH gRhItaH tam eva divasam ruDira-varzam patitam* /
   celāyāś ca dohadaḥ samutpannaḥ / aho batāhaṃ devasya pṛṣṭhamāṃsāny	celAyAH ca dohadaH samutpannaH / aho bata-aham devasya pRzWa-mAMsAni-
   utpāṭyotpāṭya bhakṣayeyam iti / eṣa ca vṛttānto rājñe niveditaḥ / rājñā	utpAwya-utpAwya Bakzayeyam iti / eza ca vRttAntaH rAjQe niveditaH / rAjQA
   naimittikā āhūya pṛṣṭāḥ / te ūcuḥ / deva yo 'yaṃ satvo devyāḥ kukṣim	nEmittikAH AhUya pRzwAH / te UcuH / deva yaH ayam satvaH devyAH kukzim
   avakrāntas tasyāyam anubhāva iti / (MSV II 15) rājā cintāparo vyavasthitaḥ	avakrAntaH tasya-ayam anuBAvaH iti / (MSV II 15) rAjA cintA-paraH vyavasTitaH
   / katham asyā dohadaḥ prativinodyata iti / aparaiḥ kuśalajātīyaiḥ	/ kaTam asyAH dohadaH prativinodyate iti / aparEH kuSala-jAtIyEH
   samākhyātam* / deva tūlikāyāṃ māṃsapūrṇāṃ prāvṛtiṃ devyā ātmānam upanaya	samAKyAtam* / deva tUlikAyAm mAMsa-pUrNAm prAvRtim devyAH AtmAnam upanaya
   iti / tato rājñā māṃsapūrṇayā tūlikayā ātmānaṃ veṣṭayitvā celāyā	iti / tatas rAjQA mAMsa-pUrNayA tUlikayA AtmAnam vezwayitvA celAyA
   upanāmitam* / tayā pṛṣṭhamāṃsam iti kṛtvā bhakṣitam* / tatas tasyā yo	upanAmitam* / tayA pRzWa-mAMsam iti kRtvA Bakzitam* / tatas tasyAH yaH-
   dohadaḥ sa prativigataḥ / bhūyo 'py asyā dohadaḥ utpannaḥ / aho batāhaṃ	dohadaH sa prativigataH / BUyas api asyAH dohadaH utpannaH / aho bata-aham
   devasya rudhiraṃ pibeyam iti / etad api rājñe niveditam* / tato rājñā	devasya ruDiram pibeyam iti / etat api rAjQe niveditam* / tatas rAjQA
   paṃceṅkhikāḥ śirā mocayitvā rudhiraṃ pāyitā / so 'py asyā dohadaḥ	paMceFKikAH SirAH mocayitvA ruDiram pAyitA / saH api asyAH dohadaH
   prativigataḥ / yāvat paripūrṇair navabhir māsaiḥ prasūtā / dārako jāto	prativigataH / yAvat paripUrNEH navaBiH mAsEH prasUtA / dArakaH jAtaH-
   'bhirūpo darśanīyaḥ prāsādikaḥ / yasminn api divase jātas tasminn api	aBirUpaH darSanIyaH prAsAdikaH / yasmin api divase jAtaH tasmin api
   rudhiravarṣaṃ patitam* / bhūyo rājñā naimittikā āhūya pṛṣṭās te kathayanti	ruDira-varzam patitam* / BUyas rAjQA nEmittikAH AhUya pRzwAH te kaTayanti
   / deva yathā śāstre dṛśyate niyatam ayaṃ dārakaḥ pitaraṃ jīvitād	/ deva yaTA SAstre dRSyate niyatam ayam dArakaH pitaram jIvitAt-
   vyaparopya svayam eva paṭṭaṃ baddhvā rājyaṃ kārayiṣyatīti / rājā	vyaparopya svayam eva pawwam badDvA rAjyam kArayizyati-iti / rAjA
   saṃlakṣayati / sarvathā rājyārtham ayaṃ māṃ jīvitād vyaparopayati / tad	saMlakzayati / sarvaTA rAjya-arTam ayam mAm jIvitAt vyaparopayati / tat-
   asmai svayam eva rājyaṃ dāsyāmi / kimarthaṃ māṃ jīvitād vyaparopayiṣyatīti	asmE svayam eva rAjyam dAsyAmi / kimarTam mAm jIvitAt vyaparopayizyati-iti
   tena khalu samayena vaiśālyāṃ mahānāmo licchaviḥ prativasati / tasyodyāne	tena Kalu samayena vESAlyAm mahAnAmaH licCaviH prativasati / tasya-udyAne
   āmravanam* / tasminn apy akasmād eva kadalīskandho (MSV II 16) jātaḥ /	Amra-vanam* / tasmin api akasmAt eva kadalI-skanDaH (MSV II 16) jAtaH /
   ārāmikeṇa ca dṛṣṭaḥ / tatsamanantaram eva puṣpitaḥ / (243r1 = GBM 6.798)	ArAmikeNa ca dRzwaH / tad-samanantaram eva puzpitaH / (243r1  GBm 6.798)
   tena vismayajātena mahānāmāya niveditam* / tena naimittikā āhūya pṛṣṭāḥ /	tena vismaya-jAtena mahAnAmAya niveditam* / tena nEmittikAH AhUya pRzwAH /
   te kathayanti / deva pratipālyatām* / saptame divase sphuṭiṣyati /	te kaTayanti / deva pratipAlya-tAm* / saptame divase sPuwizyati /
   tanmadhyād dārikā bhaviṣyati / śrutvā mahānāmo gṛhapatir bhūyasyā mātrayā	tad-maDyAt dArikA Bavizyati / SrutvA mahAnAmaH gRhapatiH BUyasyA mAtrayA
   vismayam āpannas tasmiṃś codyāne ārakṣakān puruṣān samantataḥ sthāpayitvā	vismayam ApannaH tasmin ca-udyAne ArakzakAn puruzAn samantataH sTApayitvA
   divasān gaṇayitum ārabdhaḥ / yāvat saptame divase tasminn udyāne	divasAn gaNayitum ArabDaH / yAvat saptame divase tasmin udyAne
   apagatapāṣāṇaśarkarakaṭhallaṃ vyavasthāpite candanavāripariṣikte	apagata-pAzANa-Sarkara-kaWallam vyavasTApite candana-vAri-parizikte
   surabhidhūpaghaṇṭikopanibaddhe āmuktapaṭṭadāmakalāpe puṣpāvakīrṇe	suraBi-DUpa-GaNwi-kA-upanibadDe Amukta-pawwa-dAma-kalApe puzpa-avakIrNe
   anekagītavāditraninādite suhṛtsaṃbandhibāndhavajanaparivṛto mahatā	aneka-gIta-vAditra-ninAdite suhRd-saMbanDi-bAnDava-jana-parivRtaH mahatA
   śrīsamudayena antaḥpurasahito nirgatas tasya tasmiṃś codyāne krīḍato	SrI-samudayena antaHpura-sahitaH nirgataH tasya tasmin ca-udyAne krIxataH-
   ramamāṇasya paricārayataḥ kadalīstambhaḥ sphuṭitaḥ / dārikā jātābhirūpā	ramamANasya paricArayataH kadalI-stamBaH sPuwitaH / dArikA jAta-aBirUpA
   darśanīyā prāsādikā sarvāṅgapratyaṅgopetā / tato mahānāmasyāgramahiṣyāḥ	darSanIyA prAsAdikA sarva-aFga-pratyaFga-upetAH / tatas mahAnAm-asya-agra-mahizyAH
   saṃnyastaḥ / sā kathayati / devāsya nāmadheyaṃ vyavasthāpyate / mahānāmaḥ	saMnyastaH / sA kaTayati / deva-asya nAmaDeyam vyavasTApyate / mahAnAmaH
   kathayati / iyaṃ dārikāmravanāl labdhā / bhavatv asyāmarapālī nāmeti /	kaTayati / iyam dArikA-AmravanAt labDA / Bavatu asya-amarapAlI nAma-iti /
   yāvan mahānāmo gṛhapatir udyānāt svagṛhaṃ gata āmrapālī dārikā unnīyate	yAvat mahAnAmaH gRhapatiH udyAnAt sva-gRham gataH AmrapAlI dArikA unnIyate
   caryate pūrvavad yāvan mahatī saṃvṛttā / tasyā varā āgacchanti krauñcāḥ	caryate pUrvavat yAvat mahatI saMvRttAH / tasyAH varAH AgacCanti krOQcAH
   śākyāś cānye nānādeśanivāsino rājaputrāḥ / amātyaputrāḥ / dhaninaḥ /	SAkyAH ca-anye nAnA-deSa-nivAsinaH rAja-putrAH / amAtya-putrAH / DaninaH /
   śreṣṭhinaḥ / sārthavāhāḥ / mahānāmo gṛhapatiḥ (MSV II 17) saṃlakṣayati /	SrezWinaH / sArTavAhAH / mahAnAmaH gRhapatiH (MSV II 17) saMlakzayati /
   yasyaiva na dāsyāmi tasyaiva dviḍ bhaviṣyāmi / api tu gaṇena kriyākāraḥ	yasya-eva na dAsyAmi tasya-eva dviz BavizyAmi / api tu gaNena kriyAkAraH
   kṛtaḥ / gaṇaṃ tāvad avalokayiṣyāmīti / tena vaiśālako gaṇaḥ saṃnipātitaḥ /	kRtaH / gaNam tAvat avalokayizyAmi-iti / tena vESAlakaH gaNaH saMnipAtitaH /
   śṛṇvantu bhavanto brāhmaṇā gṛhapatayo mamodyāne dārikā utpannā / sā mayā	SRNvantu BavantaH brAhmaNAH gRhapatayaH mama-udyAne dArikA utpannA / sA mayA
   āpāyitā poṣitā saṃvardhitā / tām ahaṃ svakulavaṃśapratirūpakasya kasyacid	ApAyitA pozitA saMvarDitA / tAm aham sva-kula-vaMSa-pratirUpakasya kasyacid-
   bhāryārtham anuprayacchāmi / gaṇa avalokito bhavatv iti / te kathayanti /	BAryA-arTam anuprayacCAmi / gaNa avalokitaH Bavatu iti / te kaTayanti /
   gṛhapate gaṇena pūrvam eva kriyākāraḥ kṛtaḥ kanyā anirvāhā strīratnaṃ	gRhapate gaNena pUrvam eva kriyAkAraH kRtaH kanyA anirvAhA strI-ratnam
   gaṇabhogyam iti / tadānīyatāṃ tāvad asau / dārikāṃ paśyāmaḥ kīdṛśīti / sā	gaNa-Bogyam iti / tadAnIyatAm tAvat asO / dArikAm paSyAmaH kIdRSI-iti / sA
   tena gaṇamadhyaṃ nītā / tāṃ rūpayauvanasaṃpannāṃ dṛṣṭā sarva eva gaṇo	tena gaNa-maDyam nItA / tAm rUpa-yOvana-saMpannAm dRzwA sarve eva gaNaH-
   vismayotphulladṛṣṭiḥ samantato nirīkṣitum ārabdhaḥ katayati ca / gṛhapate	vismaya-utPulla-dRzwiH samantataH nirIkzitum ArabDaH katayati ca / gRhapate
   strīratnam etad gaṇabhogyaṃ na kasyacid deyam iti / tato mahānāmo	strI-ratnam etat gaNa-Bogyam na kasyacid deyam iti / tatas mahAnAmaH-
   gṛhapatir durmanāḥ svagṛhaṃ gataḥ / sa kare kapolaṃ datvā cintāparo	gRhapatiH durmanAH sva-gRham gataH / sa kare kapolam datvA cintA-paraH-
   vyavasthitaḥ / āmrapālyā dṛṣṭaḥ pṛṣṭaś ca / tāta kim asi cintāparaḥ /	vyavasTitaH / Amra-pAlyAH dRzwaH pRzwaH ca / tAta kim asi cintA-paraH /
   putri tvaṃ strīratnam iti kṛtvā gaṇabhogyā saṃvṛttā / mama manoratho na	putri tvam strI-ratnam iti kRtvA gaNa-BogyA saMvRttAH / mama manoraTaH na
   paripūrṇaḥ / tāta kiṃ tvaṃ parādhīnaḥ / putri gaṇena pūrvam eva kriyākāraḥ	paripUrNaH / tAta kim tvam para-aDInaH / putri gaNena pUrvam eva kriyAkAraH
   kṛtaḥ strīratnaṃ gaṇabhogyam iti / tvaṃ ca strīratnam ato 'ham anīśvara	kRtaH strI-ratnam gaNa-Bogyam iti / tvam ca strI-ratnam atas aham anISvara
   iti / sā kathayati / samayo 'haṃ gaṇabhogyā bhavāmi yadi me gaṇaḥ (MSV II	iti / sA kaTayati / samayaH aham gaNa-BogyA BavAmi yadi me gaNaH (MSV II
   18) paṃca varān anuprayacchati / prathame skandhe gṛhaṃ dadāti / ekasmin	18) paMca varAn anuprayacCati / praTame skanDe gRham dadAti / ekasmin
   praviṣṭe dvitīyo na praviśati / yaś ca praviśati sa paṃcakārṣāpaṇaśatāny	pravizwe dvitIyaH na praviSati / yaH ca praviSati sa paMca-kArza-ApaNa-SatAni-
   (243v1 = GBM 6.799) ādāya / yadā gṛhavicayo bhavati tadā mama gṛhaṃ	(243v1  GBm 6.799) AdAya / yadA gRha-vicayaH Bavati tadA mama gRham
   saptame divase pratyavekṣyate / niṣkāsaḥ praveśaś ca madgṛhaṃ pravekṣyatāṃ	saptame divase pratyavekzyate / nizkAsaH praveSaH ca mad-gRham pravekzyatAm
   na vicāryata iti / mahānāmena gaṇasyāmrapālīsandeśo niveditaḥ / gaṇaḥ	na vicAryate iti / mahAnAmena gaNasya-Amra-pAlI-sandeSaH niveditaH / gaNaH
   kathayaty evaṃ bhavatu / yat kathayati prathame skandhe gṛham iti /	kaTayati evam Bavatu / yat kaTayati praTame skanDe gRham iti /
   strīratnam asāv arhaty eva prathame skandhe gṛham* / yat kathayaty ekasmin	strI-ratnam asO arhati eva praTame skanDe gRham* / yat kaTayati ekasmin
   praviṣṭe dvitīyena na praveṣṭavyam iti / etad api yuktam* / pratikruṣṭam	pravizwe dvitIyena na pravezwavyam iti / etat api yuktam* / pratikruzwam
   etad vairāṇāṃ yaduta strīvairam* / yady ekasmin praviṣṭe dvitīyaḥ	etat vErANAm yat-uta strI-vEram* / yadi ekasmin pravizwe dvitIyaH
   praviśati niyatam anyonyavipraghātiko bhaviṣyati / yat kathayati yaḥ	praviSati niyatam anyonya-vipra-GAtikaH Bavizyati / yat kaTayati yaH
   praviśati tena paṃcakārṣāpaṇaśatāny ādāya praveṣṭavyam iti / etad api	praviSati tena paMca-kArzApaNa-SatAni AdAya pravezwavyam iti / etat api
   yuktam* / avaśyaṃ tasyā vastrālaṃkāreṇa prayojanam* / yat kathayati	yuktam* / avaSyam tasyAH vastra-alaMkAreNa prayojanam* / yat kaTayati
   saptame divase gṛhavicayaḥ kartavya ity etad api yuktam* / pūrvaṃ vā	saptame divase gRha-vicayaH kartavyaH iti etat api yuktam* / pUrvam vA
   kriyeta paścād vā ko 'tra virodhaḥ / yat kathayati niṣkāsaḥ praveśo vā	kriyeta paScAt vA kaH atra viroDaH / yat kaTayati nizkAsaH praveSaH vA
   manuṣyāṇāṃ na vicāraṇīya ity etad api yuktam* / veśyāsau / yadi puruṣāṇāṃ	manuzyANAm na vicAraNIyaH iti etat api yuktam* / veSyA-asO / yadi puruzANAm
   niṣkāsaḥ praveśo vā vicāryate kas tasyā gṛhaṃ pravekṣyati / tato gaṇena	nizkAsaH praveSaH vA vicAryate kaH tasyAH gRham pravekzyati / tatas gaNena
