   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   te ratnavantaḥ kṣitipādhirājā bhavanti sarvārthahitārthakāmāḥ //	te ratnavantaH kziti pADi rAjAH Bavanti sarva arTa hita arTa kAmAH //
   ye dūṣyapaṭṭādivarāmbarāṇi triratnanathāya mudārpayanti /	ye dUzya pawwa Adi vara ambarANi tri s atna naTAya mudA arpayanti /
   kauśeyaratnābharaṇāvṛtāṃgā dharmādhipāste sudhiyo bhavanti //	kOSeya ratna ABaraNa AvRta aMgAH Darma aDipAH te suDiyaH Bavanti //
   ye ca triratnam sthalajaiḥ supuṣpairjalodbhavaiścāpi samarcayanti /	ye ca tri ratnam sTala jEH su puzpEH jala udBavEH ca api samarcayanti /
   te divyalakṣmīsukhabhogyavantaḥ śrīsiddhimantaḥ subhagā bhavanti //	te divya lakzmI suKa BogyavantaH SrI sidDimantaH suBagAH Bavanti //
   triratnabimbavare puṣpamālā ye dharmakāmā avalambayanti /	tri ratna bimba vare puzpa mAlAH ye Darma kAmAH avalambayanti /
   te devarājā varalakṣmīmantaḥ saṃbodhikāmāḥ subhagā bhavanti //	te devarAjAH vara lakzmIm antaH saMboDi kAmAH suBagAH Bavanti //
   sarvāṇi puṣpāṇi sugandhimanti triratnabimbe prakiranti ye ca /	sarvANi puzpANi suganDimanti tri ratna bimbe prakiranti ye ca /
   devādhipāḥ svargagatā bhavanti mahīgatāste kṣitipādhirājāḥ //	deva aDipAH svarga gatAH Bavanti mahI gatAH te kziti pADi rAjAH //
   (Gkv 9)	(Gku 9)
   ye dīpamālāṃ racayanti ye ca ratnatrayāgre hatamohajālāḥ /	ye dIpa mAlAm racayanti ye ca ratnatraya agre hata moha jAlAH /
   te kāntarupā guṇaratnavanto bhavanti bhūpārcitapādapadmāḥ //	te kAntarupAH guNa ratnavantaH Bavanti BUpa arcita pAda padmAH //
   prakurvate ye ca pradīpadānaṃ ratnatrayāgre ghṛtatailadīptam /	prakurvate ye ca pradIpa dAnam ratnatraya agre GRta tEla dIptam /
   te śuddhanetrāḥ prabalā guṇāḍhyā devādhirājāḥ kṣitipādhipāśca //	te SudDa netrAH prabalAH guNa AXyAH deva aDirAjAH kziti pADipAH ca //
   bhojyaṃ praṇītaṃ surasaṃ suvarṇaṃ ratnatrayāya pratipādayanti /	Bojyam praNItam surasam suvarNam ratnatrayAya pratipAdayanti /
   ye bhaktiyuktā divi te bhavanti surādhipā bhūtapayaśca dhīrāḥ //	ye Bakti yuktAH divi te Bavanti sura aDipAH BUta payaH ca DIrAH //
   pānaṃ narā ye 'mṛtasadguṇāḍhyaṃ ratnatrayāya pratipādayanti /	pAnam narAH ye amRta sat guNa AXyam ratnatrayAya pratipAdayanti /
   te bhūrājā nīrujo baliṣṭhā bhavanti svarge tridiśādhipāśca //	te BUrAjAH nIrujaH balizWAH Bavanti svarge tri diSa aDipAH ca //
   śākāni mūlāni falāni ye ca ratnatrayāya pratipādayanti /	SAkAni mUlAni falAni ye ca ratnatrayAya pratipAdayanti /
   yatheṣṭabhogyaṃ satataṃ prabhuktvā gacchanti tatte sugatālaye ca //	yaTezwa Bogyam satatam praBuktvA gacCanti tat te sugata Alaye ca //
   ye ca triratnāya samarpayanti supathyabhaiṣajyagaṇāni bhaktyā /	ye ca tri ratnAya samarpayanti su paTya BEzajya gaNAni BaktyA /
   śrīīsamṛddhāḥ kṣitipādhināthā bhuktvā sukhaṃ yānti jinālayaṃ te //	SrII samRdDAH kziti pADi nATAH BuktvA suKam yAnti jina Alayam te //
   tāmbūlapūgādirasāyanāni ye ca triratnāya samarpayanti /	tAmbUla pUga Adi rasAyanAni ye ca tri ratnAya samarpayanti /
   divyāṃgasaundaryagunābhirāmā bhavanti te śrīguṇinaḥ surāśca //	divya aMga sOndarya guna aBirAmAH Bavanti te SrI guNinaH surAH ca //
   vitānamuccairvitanoti yaśca ratnatraye sarvanṛpābhivandyaḥ /	vitAnam uccEs vitanoti yaH ca ratna traye sarva nRpa aBivandyaH /
   viśālavaṃśo guṇavān sudhīro mahānubhāvaprathito bhavet saḥ //	viSAla vaMSaH guNavAn suDIraH mahA anuBAva praTitaH Bavet saH //
   dhvajān vicitrānavaropayanti ye ca triratnālaya utsavārtham /	DvajAn vicitrAn avaropayanti ye ca tri ratna AlayaH utsava arTam /
   te śrīsamṛddhāḥ suguṇābhirāmā bhavanti nāthā divi bhūtale ca //	te SrI samRdDAH su guNa aBirAmAH Bavanti nATAH divi BU tale ca //
   śrīmatpatākā avalambayanti ratnatraye ye rasābhiyuktāḥ /	SrImat patAkAH avalambayanti ratna traye ye rasa aBiyuktAH /
   lakṣmīśvarāste jitaduṣṭasaṃghā bhavantyadhīśā divi bhūtale ca //	lakzmi ISvarAH te jita duzwa saMGAH Bavanti aDISAH divi BU tale ca //
   chatrāṇi sauvarṇamayāni ye ca kauśeyadūṣṭai racitāni vā ca /	CatrANi sOvarNa mayAni ye ca kOSeya dUzwEH racitAni vA ca /
   suśuddharaṃgairmayanaiśca puṣpai ratnatraye ye 'bhyavaropayanti //	su SudDa raMgEH mayanEH ca puzpEH ratna traye ye aByavaropayanti //
   te bhūparājā varasiddhimanto lakṣmīśvarāḥ sarvahitārthakāyāḥ /	te BUpa rAjAH vara sidDimantaH lakzmi ISvarAH sarva hita arTakAyAH /
   saddharmakāmā guṇaratnapūrnā vandyā bhavanti pravararddhimantaḥ //	sadDarma kAmAH guNa ratna pUrnAH vandyAH Bavanti pravara RdDimantaH //
   saṃgītivādyairmurujādibhiśca mukuṃdaḍhakkāprānavānakaiśca /	saMgIti vAdyEH murujA AdiBiH ca mukuMda XakkA prAnavAnakEH ca /
   maḍ mṛdaṃgapaṭahādibhiśca manojñaghoṣaiḥ śroticittaramyaiḥ //	maz mRdaMga pawaha AdiBiH ca manojQa GozEH Sroti citta ramyEH //
   sa dundubhiḍiṇḍamajharjharaiśca praṇādibhirmardanavādanaiśca /	sa dunduBixiNxam aJarJarEH ca praNAdiBiH mardana vAdanEH ca /
   tathānyakairmaṃgalaśabdavādyai ratnatraye ye racayanti pūjām //	taTA anyakEH maMgala Sabda vAdyEH ratna traye ye racayanti pUjAm //
   (Gkv 10)	(Gku 10)
   tathā ca vīṇādimanojñanādairvaśaiḥ surāvairapi kāharaiśca /	taTA ca vINA Adi manojQa nAdEH vaSEH surAvEH api kAharEH ca /
   bherībhiruccaiḥ parivādinībhi ratnatrayaṃ yesurasā bhajanti //	BerIBiH uccEs parivAdinIBi ratna trayam yesu rasAH Bajanti //
   tauryatrikairbhadrasughoṣaśaṃkhaiḥ śṛṃgādibhiścāpi manojñanādaiḥ /	tOryatrikEH Badra su Goza SaMKEH SRMga AdiBiH ca api manojQa nAdEH /
   nṛtyādibhiścāpi pramodayanto ratnatrayaṃ ye surasā bhajanti //	nRtya AdiBiH ca api pramodayantaH ratna trayam ye surasA Bajanti //
   te divyaśrotrāḥ sumanojñaśabdāḥ sarvārthasampatyaparipūrṇakośāḥ /	te divya SrotrAH su manojQa SabdAH sarva arTa sampatya paripUrNa koSAH /
   saddharmmapuṇyānuguṇābhiraktāḥ sukhāni bhuktvā pracaranti svarge //	sat Darmma puNya anuguNa aBiraktAH suKAni BuktvA pracaranti svarge //
   kṣipanti lājākṣatapuṣpakāṇi ratnatraye ye pariharṣamāṇāḥ /	kzipanti lAja akzata puzpakANi ratna traye ye pariharzamANAH /
   na durgatiṃ te satataṃ vrajanti svarge prayātāḥ subhagā ramante //	na durgatim te satatam vrajanti svarge prayAtAH suBagAH ramante //
   sudhāturatnāni sadakṣiṇāni ratnatraye ye ca samarpayanti /	suDAtu ratnAni sa dakziNAni ratna traye ye ca samarpayanti /
   sulabdhakāmārthasukhābhirāmāḥ pūrṇendriyāste sudhiyo bhavanti //	su labDa kAma arTa suKa aBirAmAH pUrNa indriyAH te suDiyaH Bavanti //
   pradakṣiṇāni pravidhāya bhaktyā bhajanti ye cāpi mudā triratnam /	pradakziNAni praviDAya BaktyA Bajanti ye ca api mudA tri ratnam /
   te śuddhakāyāḥ pratilabdhasaukhyā bhavanti devā manujādhipāśca //	te SudDa kAyAH pratilabDa sOKyAH Bavanti devAH manuja aDipAH ca //
   ye ca triratnam stutibhirbhajanti gadyatmikaiḥ padyamayaiśca śuddhaiḥ /	ye ca tri ratnam stutiBiH Bajanti gadyatmikEH padya mayEH ca SudDEH /
   vāgīśvarāste susamṛddhakoṣā bhavanti nāthā divi bhūtale ca //	vAc ISvarAH te su samRdDa kozAH Bavanti nATAH divi BU tale ca //
   ye ca triratnaṃ śaraṇaṃ prayātā aṣṭābhiragaiḥ pranamanti bhktyā /	ye ca tri ratnam SaraNam prayAtAH azwABiragEH pranamanti BktyA /
   bhavanti te śrīguṇavarṇapūrṇāḥ saddharmakāmāḥ nṛpatīśvarāśca //	Bavanti te SrI guNa varNa pUrNAH sat Darma kAmAH nRpati ISvarAH ca //
   ye cāpi nityaṃ manasā vicitya bhajanti bhaktyā śaraṇaṃ prayātāḥ /	ye ca api nityam manasA vicitya Bajanti BaktyA SaraNam prayAtAH /
   te pāpanirmuktaviśuddhakāyāḥ saddharmakāmāḥ durgatiṃ vrajanti //	te pApa nirmukta viSudDa kAyAH sadDarma kAmAH durgatim vrajanti //
   ye ca triratnaṃ manasā vicintya tannāma nityaṃ samudīrayanti /	ye ca tri ratnam manasA vicintya tat nAma nityam samudIrayanti /
   te śuddhacittā vimalātmakāśca saṃbuddhadharmābhiratā bhavanti //	te SudDa cittAH vimala AtmakAH ca saMbudDa Darma aBiratAH Bavanti //
   ye ca triratnāni sudūrato 'pi dṛṭvā prasannāḥ praṇamanti bhaktyā /	ye ca tri ratnAni su dUrataH api dRwvA prasannAH praNamanti BaktyA /
   te cāpi saddharmaguṇābhilāṣāḥ śuddhatrikāyāḥ subhagā bhavanti //	te ca api sat Darma guNa aBilAzAH SudDatrikAyAH suBagAH Bavanti //
   ityetadādīni mahattarāṇi puṇyāani śrīsadguṇāsādhanāni /	iti etat AdIni mahattarANi puNyAani SrI sat guNa asADanAni /
   triratnapūjābhajanodbhavāni matvā bhajantu triguṇātmakaṃ tam //	tri ratna pUjA Bajana udBavAni matvA Bajantu triguNa Atmakam tam //
   ākhyātametatsugataiśca sarveḥ triratnasevābhajanodbhavaṃ tat /	AKyAtam etat sugatEH ca sarveH tri ratna sevA Ba jana udBavam tat /
   puṇyaṃ mahattasya samaṃ kvacinna sarvatra lokeṣvapi satyemeva //	puNyam mahat tasya samam kvacid na sarvatra lokezu api satyem eva //
   evam mahatpuṇyamudāramagram baddhaprameyaṃ gaṇanānabhijñam /	evam mahat puNyam udAram agram badDa prameyam gaNanA anaBijQam /
   matvā triratnaṃ śaraṇaṃ prayāto rājan yadi boddhimicchasi //	matvA tri ratnam SaraNam prayAtaH rAjan yadi bodDim icCasi //
   (Gkv 11)	(Gku 11)
   ye ye triratnaṃ śaraṇaṃ prayātā bhajanti satkṛtya sadā prasannāḥ /	ye ye tri ratnam SaraNam prayAtAH Bajanti satkRtya sadA prasannAH /
   te sarva evaṃ triguṇābhirāmā saddharmakāmāḥ sugatātmajāḥ syuḥ //	te sarve evam triguNa aBirAmA sadDarma kAmAH sugata AtmajAH syuH //
   datvā sadārthibhya udāradānaṃ saṃbodhikāmāḥ suvṛṣe careyuḥ /	datvA sadA arTiByaH udAra dAnam saMboDi kAmAH su vRze careyuH /
   krameṇa sambodhivrataṃ caranto bodhiṃ samāsādya jinā bhaveyuḥ /	krameNa samboDi vratam carantaH boDim samAsAdya jinAH BaveyuH /
   tataḥ sasaṃghāyijagaddhitārthaṃ vijñāya sudharmamupādiśantaḥ /	tatas sa saMGAyi jagat hita arTam vijQAya suDarmam upAdiSantaH /
   samāpya sarvaṃ triṣu bauddhakāryaṃ saṃyayurante parinirvṛtiṃ te //	samApya sarvam trizu bOdDa kAryam saMyayuH ante parinirvRtim te //
   evam hi vijñāya yadīcchasi tvaṃ nirvṛtisaukhyamadhigantumevam /	evam hi vijQAya yadi icCasi tvam nirvRti sOKyam aDigantum evam /
   sadā triratnaṃ śaraṇaṃ prayātaḥ śraddhāprasannaḥ satataṃ bhajasva //	sadA tri ratnam SaraNam prayAtaH SradDA prasannaH satatam Bajasva //
   mā ninda rājannavamanyamoho traidhātunāthaṃ śubhadaṃ triratnam /	mA ninda rAjan = avamanya mohaH trEDAtunATam SuBa dam tri ratnam /
   anindanīyaṃ hi jagatpradhānaṃ saddharmarājaṃ bhajanīyameva //	anindanIyam hi jagat praDAnam sat DarmarAjam BajanIyam eva //
   ye cāpyadhikṣipya madābhimānā duṣṭa kuleṣvepri vihatātmadhairyāḥ /	ye ca api aDikzipya mada aBimAnAH duzwa kulezu epri vihata Atma DEryAH /
   ālokya nindanti sadā prasannāḥ trilokabhadrārthapradaṃ triratnam //	Alokya nindanti sadA prasannAH triloka Badra arTa pradam tri ratnam //
   te sarva eno 'bhiratāḥ pramattāḥ saddharmanindābhiratāḥ praduṣṭāḥ /	te sarve enaH aBiratAH pramattAH sat Darma nindA aBiratAH praduzwAH /
   naṣṭāḥ paradrohamadābhimānāḥ sattvavighātābhiratā bhaveyuḥ //	nazwAH para droha mada aBimAnAH sattva viGAta aBiratAH BaveyuH //
   tataśca te taduritābhiṣaktā mahatsu pāpeṣvapi nirviśaṃkāḥ /	tatas ca te tad urita aBizaktAH mahatsu pApezu api nirviSaMkAH /
   sarvāṇi dharmārthasubhāṣitāni śrutvā prasannāḥ paribhāṣayeyuḥ //	sarvANi Darma arTa su BAzitAni SrutvA prasannAH pariBAzayeyuH //
   evaṃ sughorāṇi bahūni kṛtvā pāpāni nityaṃ samudācarantaḥ /	evam su GorANi bahUni kRtvA pApAni nityam samudAcarantaH /
   bhūyo 'tipāpeṣvapi te caranto duḥkhāni bhuktvā niraye vrajeyuḥ //	BUyas atipApezu api te carantaH duHKAni BuktvA niraye vrajeyuH //
   gatvāpi te 'pāyanimagnadehāḥ kṣudhāgnisandagdhavimohitāśca /	gatvA api te apAya nimagna dehAH kzuDA agni sandagDa vimohitAH ca /
   bhuktvāpyamedhyāni tṛṣābhitaptāḥ pītvāpi mūtrāṇi ca naiva tuṣṭāḥ //	BuktvA api ameDyAni tRzA aBitaptAH pItvA api mUtrANi ca na eva tuzwAH //
   jighatsitāste 'tipipāsitāśca kleśāgnisaṃtaptavimohitāśca /	jiGatsitAH te ati pipAsitAH ca kleSa agni saMtapta vimohitAH ca /
   tīvrātiduḥkhārtāviluptadhairyā bhramanta eno 'bhiratā vaseyuḥ //	tIvra ati duHKa ArtA vilupta DEryAH BramantaH enaH aBiratAH vaseyuH //
   naivāpi tasyāpi vimuktimārgaṃ labheyureno 'bhinibandhyamānāḥ /	na eva api tasya api vimukti mArgam laBeyuH enaH aBinibanDyamAnAH /
   sadāpi tatraiva vaseyurevaṃ tīvravyathākrāntavimotāste //	sadA api tatra eva vaseyuH evam tIvra vyaTA AkrAnta vimotAH te //
   ye cāpi lobhena balena cāpi dravyaṃ triratnasya dhanāśanādi /	ye ca api loBena balena ca api dravyam tri ratnasya Dana aSana Adi /
   hatvā muṣitvāpyapahatya vāpi prabhuṃjate kleśavilutadhairyāḥ //	hatvA muzitvA api apahatya vA api praBuMjate kleSa viluta DEryAH //
   te duṣṭasattvā duratābhiraktā kṛtvaiva ghorāṇyapi pātakāni /	te duzwa sattvA duratA aBiraktA kRtvA eva GorANi api pAtakAni /
   prabhuṃjamānāḥ suciraṃ suduḥkhaṃ kṛcchreṇa mṛtvā narakaṃ vrajetuḥ //	praBuMjamAnAH su ciram su duHKam kRcCreNa mRtvA narakam vrajetuH //
   (Gkv 12)	(Gku 12)
   tatrāpi te kleśaviluptadhairyāḥ kṣudhātitṛṣṇāgnipratāpitāṃgāḥ /	tatra api te kleSa vilupta DEryAH kzuDA ati tRzNA agni pratApita aMgAH /
   purīṣamūtrādiprabhuṃjamānā bhramanta evaṃ niraye vaseyuḥ //	purIza mUtra Adi praBuMjamAnAH BramantaH evam niraye vaseyuH //
   kālāntare te pratilabdhadhairyāḥ svaduṣkṛtaṃ karma vibhāvayantaḥ /	kAla antare te pratilabDa DEryAH sva duzkRtam karma viBAvayantaH /
   smṛtvā triratnaṃ manasānutaptā dhyātvā prasannāḥ praṇatiṃ vidadhyuḥ //	smRtvA tri ratnam manasA anutaptAH DyAtvA prasannAH praNatim vidaDyuH //
   tatastadenaḥparimuktadehāḥ samutthitānnarakāt kadācit /	tatas tad enaH parimukta dehAH samutTitAn narakAt kadAcid /
   mānuṣyajātiṃ samāpnuvanto dīnā daridrā kṛpaṇā bhaveyuḥ //	mAnuzya jAtim samApnuvantaH dInA daridrA kRpaNAH BaveyuH //
   tatrāpi te duṣṭajānusaktāāḥ saddharmanindāduritānuraktāḥ /	tatra api te duzwa jAnu saktAAH sat Darma nindA durita anuraktAH /
   bhūyo 'pi pāpāni mahānti kṛtvā vrajeyurevaṃ narakeṣu bhūyaḥ //	BUyas api pApAni mahAnti kRtvA vrajeyuH evam narakezu BUyas //
   bhramanta evaṃ bahudhā bhave te duḥkhāni bhuktvā saciraṃ rujārtāḥ /	BramantaH evam bahuDA Bave te duHKAni BuktvA sa ciram rujA ArtAH /
   kiṃcitsukhaṃ naiva labheyurenonibandhacitā narake vasante //	kiMcid suKam na eva laBeyuH enaH nibanDa citAH narake vasante //
   evaṃ triratneṣvapakārajātaṃ pāpaṃ sughoraṃ kathitaṃ munīndraiḥ /	evam tri ratnezu apakAra jAtam pApam su Goram kaTitam muni indrEH /
   matveti rājannapakāramatra ratnatraye mā vidadhātu kiṃcit //	matvA iti rAjan= apakAram atra ratnatraye mA vidaDAtu kiMcid //
   bhaktvā prasannaḥ śaraṇaṃ prayātayiratnameva satataṃ bhajasva /	BaktvA prasannaH SaraNam prayAtayiratnam eva satatam Bajasva /
   etadvipākena sadā śubhāni kṛtvā prayāyāḥ sugatālayaṃ te //	etat vipAkena sadA SuBAni kRtvA prayAyAH sugata Alayam te //
   ityevaṃ tatsamādiṣṭaṃ śrutvāśokaḥ sa bhūpatiḥ /	iti evam tat samAdizwam SrutvA aSokaH sa BUpatiH /
   tamarhantaṃ guruṃ natvā sāṃjalirevamabravīt //	tam arhantam gurum natvA sAMjaliH evam abravIt //
   bhadanta bhavatādiṣṭaṃ śrutvā me rocate manaḥ /	Badanta BavatA Adizwam SrutvA me rocate manaH /
   tathā taccharaṇaṃ gatvā bhajāmi sarvadāpyaham //	taTA tat SaraNam gatvA BajAmi sarvadA api aham //
   sadāpyasya triratnasya vrataṃ cāpi samādarāt /	sadA api asya tri ratnasya vratam ca api samAdarAt /
   dhartumicchāmyahaṃ śāstastatsamādeṣṭumarhati //	Dartum icCAmi aham SAstaH tad samAdezwum arhati //
   kasmin māse caredetad vrataṃ kasminstithāvapi /	kasmin mAse caret etat vratam kasmin stiTO= api /
   etat samyaktamādiśya prabodhayatu māṃ bhavān //	etat samyaktam AdiSya praboDayatu mAm BavAn //
   iti bijñāpitaṃ rājñā śrutvā so 'rhanmahāmatiḥ /	iti bijQApitam rAjQA SrutvA saH arhat mahAmatiH /
   upagupto narendraṃ taṃ samālokyaivamādiśat //	upaguptaH narendram tam samAlokya evam AdiSat //
   sādhu śṛṇu mahārāja yadyetad vratamicchasi /	sADu SRNu mahA rAja yadi etat vratam icCasi /
   tathāhaṃ te pravakṣyāmi yathā me guruṇoditam //	taTA aham te pravakzyAmi yaTA me guruNA uditam //
   tadyathā sarvamāseṣu caret paṃcasu parvasu /	tat yaTA sarva mAsezu caret paMcasu parvasu /
   śuklāṣṭamyāṃ viśeṣena pūrṇamāsyāṃ jagurjināḥ //	Sukla azwamyAm viSezena pUrNamAsyAm jaguH jinAH //
   (Gkv 13)	(Gku 13)
   māseṣu śrovaṇe śreṣṭhaṃ kārtike ca viśeṣataḥ /	mAsezu SrovaNe SrezWam kArtike ca viSezataH /
   kṛtakarmaivipākatvaṃ baddhasaṃkhyaṃ mahattaram //	kRta karmEvipAka tvam badDa saMKyam mahattaram //
   iti matvā mahārāja yāvajjīvaṃ samāhitaḥ /	iti matvA mahA rAja yAvajjIvam samAhitaH /
   triratnaṃ śaraṇaṃ gatvā vratametatsadā cara //	tri ratnam SaraNam gatvA vratam etat sadA cara //
   etatpuṇyamahodāraṃ saṃbodhijñānadāyakam /	etat puNya mahA udAram saMboDi jQAna dAyakam /
   akṣayaṃ hyanupamaṃ ceti sarvabuddhairnigadyate //	akzayam hi anupamam ca iti sarva budDEH nigadyate //
   iti tenārhatādiṣṭaṃ śrutvā rājā sa moditaḥ /	iti tena arhata Adizwam SrutvA rAjA sa moditaH /
   tadupadeśamāsādhya tad vrataṃ kartumaicchata //	tat upadeSam AsADya tat vratam kartum EcCata //
   tataṃ sa nṛpati rājā sabharyātmajabāndhavaḥ /	tatam sa nRpati rAjA sa BaryA Atmaja bAnDavaH /
   yathāvidhi samādhāya cacāraitad vrataṃ sadā //	yaTAviDi samADAya cacAra etat vratam sadA //
   tannṛpādeśamādhāya sarve mantrijanā api /	tat nRpa AdeSam ADAya sarve mantri janAH api /
   bhṛtyāḥ sainyagaṇāścāpi paurā grāmyā dvijādayaḥ //	BRtyAH sEnya gaNAH ca api pOrAH grAmyAH dvija AdayaH //
   sarvalokāstathā bhaktyā triratnaśaraṇaṃ gatāḥ /	sarva lokAH taTA BaktyA tri ratna SaraNam gatAH /
   satkāraiḥ śraddhayābhyarcya prābhajan sarvadā mudā //	satkArEH SradDayA aByarcya prABajan sarvadA mudA //
   tadā tatra sadābhadraḥ mahotsāhaṃ samantataḥ /	tadA tatra sadABadraH mahA utsAham samantataH /
   prāvartata nirupātametaddharmānabhāvataḥ //	prAvartata nirupAtam etat DarmAn aBAvataH //
   evaṃ me guruṇākhyātaṃ śrutaṃ mayā tathocyate /	evam me guruNA AKyAtam Srutam mayA taTA ucyate /
   anumodya bhavanto 'pi carataitad vrataṃ sadā //	anumodya BavantaH api carata etat vratam sadA //
   etatpuṇyaviśuddhā hi pariśuddhatrimaṇḍalāḥ /	etat puNya viSudDAH hi pariSudDa tri maNxalAH /
   arhanto nirmalātmānaḥ saṃbodhiṃ samavāpnuyuḥ //	arhantaH nirmala AtmAnaH saMboDim samavApnuyuH //
   iti teena samākhyātaṃ jayaśriyā sudhīmatā /	iti teena samAKyAtam jaya SriyA suDImatA /
   śrutvā te śrāvakāḥ sarve prābhyanandan prabodhitāḥ //	SrutvA te SrAvakAH sarve prAByanandan praboDitAH //
   tadārabhya prasannātmā jinaśrīrāja unmanāḥ /	tat AraBya prasanna AtmA jina SrI rAjaH unmanAH /
   triratnaśaraṇaṃ gatvā cacāraitad vrataṃ sadā //	tri ratna SaraNam gatvA cacAra etat vratam sadA //
   tatsaṃghā yatayaścāpi caturbrahmavihāriṇaḥ /	tad saMGAH yatayaH ca api catur brahma vihAriNaH /
   triratnabhajanaṃ kṛtvā vratametat sadācaran //	tri ratna Bajanam kRtvA vratam etat sat Acaran //
   tataste vratinaḥ sarve pariśuddhatrimaṇḍalāḥ /	tatas te vratinaH sarve pariSudDa tri maNxalAH /
   arhanto nirmalātmāno babhūvurbodhibhāginaḥ //	arhantaH nirmala AtmAnaH baBUvuH boDi BAginaH //
   ye cāpīdaṃ triratnaṃ prathitaguṇagaṇaṃ śrāvayantīha lokān /	ye ca api idam tri ratnam praTita guNa gaNam SrAvayanti iha lokAn /
   śraddhābhaktiprasannāḥ pramuditamanasā ye ca śṛṇvanti martyāḥ //	SradDA Bakti prasannAH pramudita manasA ye ca SRNvanti martyAH //
   te sarve bodhisattvā sakalaguṇabhṛtaḥ śrīsamṛddhāḥ sudhirāḥ /	te sarve boDisattvAH sakala guNa BRtaH SrI samRdDAH suDirAH /
   bhaktvā saukhyaṃ sadānte daśabalabhuvane saṃprayātā rameyuḥ //	BaktvA sOKyam sadA ante daSa bala Buvane saMprayAtA rameyuH //
   bhuktvā saukhyaṃ sadānte daśabalabhuvane saṃprayātā rameyuḥ //	BuktvA sOKyam sadA ante daSa bala Buvane saMprayAtA rameyuH //
   // iti śrītriratnabhajanānuśaṃsāvadānaṃ prathamo 'dyāyaḥ //	// iti SrI tri ratna Bajana anuSaMsa avadAnam praTamaH adya ayaH //
   (Gkv 14)	(Gku 14)
   2. avīci saṃśoṣaṇa śrīdharmarājābhibodhana prakaraṇam	2. avIci saMSozaNa SrI DarmarAja aBiboDana prakaraNam
   atha dhīmān mahāsattvo jinaśrīrāja ātmavit /	aTa DImAn mahAsattvaH jina SrI rAjaH Atma vid /
