   yogācārabhūmau	yoga AcAra BUmO
   hetubhāvena yujyate 'nyathā na yujyate / tāvacca bodhisattva ebhiḥ	hetu BAvena yujyate anyaTA na yujyate / tAvat ca boDisattvaH eBiH
   śukladharmaiḥ prakṛtyaiva yukto bhavati yāvanna	Sukla DarmEH prakRtyA eva yuktaH Bavati yAvat na
   śukladharmavairodhikaiścaturbhirupakleśaiḥ sakalavikalairupakliṣṭo bhavati	Sukla Darma vEroDikEH caturBiH upakleSEH sakala vikalEH upaklizwaH Bavati
   / yadā copakliṣṭo bhavati sa tadā eṣu ca śukleṣu dharmeṣu na saṃdṛśyate /	/ yadA ca upaklizwaH Bavati sa tadA ezu ca Suklezu Darmezu na saMdRSyate /
   apāyeṣu caikadā upapadyate / apāyopapattāvapi bodhisattvasya tadanyebhyaḥ	apAyezu ca ekadA upapadyate / apAya upapattO= api boDisattvasya tad anyeByaH
   apāyopapannebhyaḥ sattvebhyo (Dutt 7) gotrakṛto mahān viśeṣo veditavyaḥ /	apAya upapanneByaH sattveByaH (Dutt 7) gotra kRtaH mahAn viSezaH veditavyaH /
   iha bodhisattvo dīrgheṇa kālena kadācit karhicidapāyeṣūpapadyate /	iha boDisattvaH dIrGeNa kAlena kadAcid karhicit apAyezu upapadyate /
   upapannaścāśu parimucyate apāyebhyaḥ / na ca tathā tīvrāmāpāyikīṃ duḥkhāṃ	upapannaH ca ASu parimucyate apAyeByaH / na ca taTA tIvra AmApAyikIm duHKAm
   vedanāṃ vedayate tadyathā 'nye 'pāyopapannāḥ sattvāḥ / tayā ca tanvyā	vedanAm vedayate tat yaTA anye apAya upapannAH sattvAH / tayA ca tanvyA
   duḥkhayā vedanayā spṛṣṭo 'dhimātraṃ saṃvegamutpādayati / teṣu ca sattveṣu	duHKayA vedanayA spRzwaH aDimAtram saMvegam utpAdayati / tezu ca sattvezu
   tatropapanneṣu duḥkhiteṣu kāruṇyacittaṃ pratilabhate yaduta tenaiva	tatra upapannezu duHKitezu kAruNya cittam pratilaBate yat uta tena eva
   gotreṇa ca sattveṣu tatropapanneṣu duḥkhiteṣu kārūṇyacittaṃ pratilabhate	gotreNa ca sattvezu tatra upapannezu duHKitezu kArUNi acittam pratilaBate
   yaduta tenaiva gotreṇa buddhamahākaruṇāhetunā codyamānaḥ / ityevaṃbhāgīyaḥ	yat uta tena eva gotreNa budDa mahA karuNA hetunA codyamAnaH / iti evaMBAgIyaH
   apāyopapattau bodhisattvasya tadanyebhyaḥ apāyopapannebhyaḥ sattvebhyo	apAya upapattO boDisattvasya tad anyeByaH apAya upapanneByaH sattveByaH 
   viśeṣo veditavyaḥ /	viSezaH veditavyaH /
   tatra katame te bodhisattvasya catvāraḥ śukladharmavairodhikā upakleśāḥ /	tatra katame te boDisattvasya catvAraH Sukla Darma vEroDikAH upakleSAH /
   pūrvaṃ pramattasya kleśābhyāsāttīvrakleśatā āyatakleśatā cāyaṃ prathama	pUrvam pramattasya kleSa aByAsAt tIvra kleSa tA Ayata kleSa tA ca ayam praTama 
   upakleśaḥ / mūḍhasyākuśalasya pāpamitrasaṃśrayo 'yaṃ dvitīya upakleśaḥ /	upakleSaH / mUXasya akuSalasya pApa mitra saMSrayaH ayam dvitIyaH upakleSaH /
   gurubhartṛrājacaurapratyarthikadyabhibhūtasyāsvātantryaṃ	guru BartR rAja cOra pratyarTikadi aBiBUtasya asvAtantryam
   cittavibhramaścāyaṃ tṛtīya upakleśaḥ / upakaraṇavikalasya jīvikāpekṣā ayaṃ	citta viBramaH ca ayam tRtIyaH upakleSaH / upakaraNa vikalasya jIvikA apekzA ayam
   caturtha upakleśaḥ /	caturTaH upakleSaH /
   caturbhiḥ kāraṇairevaṃ gotrasaṃpanno 'pi bodhisattvo na śaknotyanuttara	caturBiH kAraNEH evam gotra saMpannaH api boDisattvaH na Saknoti anuttara
   samyaksaṃbodhimabhisaṃboddhum / katamaiścaturbhiḥ / iha bodhisattvaḥ ādita	samyaksaMboDim aBisaMbodDum / katamEH caturBiH / iha boDisattvaH Adita
   eva kalyāṇamitraṃ na labhate aviparītabodhimārgadaiśikaṃ buddhaṃ vā	eva kalyANa mitram na laBate aviparIta boDi mArga dESikam budDam vA
   bodhisattvaṃ vā / idaṃ prathamaṃ kāraṇam / punaraparaṃ bodhisattvo	boDisattvam vA / idam praTamam kAraNam / punar aparam boDisattvaH 
   labdhvāpi kalyāṇamitraṃ viparītagrāhī viparītaṃ śikṣate bodhisattvaśikṣāsu	labDvA api kalyANa mitram viparIta grAhI viparItam Sikzate boDisattva SikzAsu
   / idaṃ dvitīyaṃ kāraṇam / punaraparaṃ bodhisattvo labdhvāpi	/ idam dvitIyam kAraNam / punar aparam boDisattvaH labDvA api
   kalyāṇamitramaviparītaṃ śikṣamāṇo bodhisattvaśikṣāsu tasmin prayoga	kalyANa mitram aviparItam SikzamANaH boDisattva SikzAsu tasmin prayoga
   śithilaprayogo bhavati kusīdo nodagrapratatavīryasamanvāgataḥ / idaṃ	SiTila prayogaH Bavati kusIdaH na udagra pratata vIrya samanvAgataH / idam
   tṛtīyaṃ kāraṇam / punaraparaṃ bodhisattvo labdhvā kalyāṇamitramaviparītaṃ	tRtIyam kAraNam / punar aparam boDisattvaH labDvA kalyANa mitram aviparItam
   śikṣamāṇo bodhisattvaśikṣāsu tasmiṃśca prayoge ārabdhavīryaḥ	SikzamANaH boDisattva SikzAsu tasmin= ca prayoge ArabDa vIryaH
   aparipakvendriyo bhavatyaparipūrṇabodhisaṃbhāraḥ	aparipakva indriyaH Bavati aparipUrNa boDi saMBAraH
   dīrghakālāparijayādvodhipakṣya dharmāṇām / idañcaturtha kāraṇam / gotre	dIrGa kAla aparijayAt voDipakzya DarmANAm / idaQcatuH Ta kAraNam / gotre
   satyetatkāraṇavaikalyādvodheraprāptiḥ / sānnidhyāttu prāptirbhavati /	sati etat kAraNa vEkalyAt voDeH aprAptiH / sAnniDyAt tu prAptiH Bavati /
   asati tu gotre sarveṇa sarva sarvathā bodharaprāptireva veditavyā /	asati tu gotre sarveNa sarva sarvaTA boDara prAptiH eva veditavyA /
   bodhisattvabhūmau ādhāre yogasthāne prathamaṃ gotrapaṭalaṃ samāptam //	boDisattva BUmO ADAre yoga sTAne praTamam gotra pawalam samAptam //
   (Dutt 8)	(Dutt 8)
   Cittotpādapaṭalam (Chapter 1.2)	Citta utpAda pawalam (ChapteH 1.2)
   iha bodhisattvasya prathamaścittotpādaḥ	iha boDisattvasya praTamaH citta utpAdaH
   sarvabodhisattvasamyakpraṇidhānānāmādyaṃ samyakpraṇidhānaṃ	sarva boDisattva samyak praNiDAnAnAm Adyam samyak praNiDAnam
   tadanyasamyakpraṇidhānasaṃgrāhakam / tasmāt sa āditaḥ	tad anya samyak praNiDAna saMgrAhakam / tasmAt saH Aditas 
   samyakpraṇidhānasvabhāvaḥ / sa khalu bodhisattvo bodhāya cittaṃ	samyak praNiDAna svaBAvaH / sa Kalu boDisattvaH boDAya cittam
   praṇidadhadevaṃ cittamabhisaṃskaroti vācañca bhāṣate / aho	praNidaDadevam cittam aBisaMskaroti vAcaQca BAzate / aho
   batāhamanuttarāṃ samyaksaṃbodhimabhisaṃbudhyeyaṃ sarvasattvānāñcārthakaraḥ	bata aham anuttarAm samyaksaMboDim aBisaMbuDyeyam sarva sattva anAQca arTa karaH
   syāmatyantaniṣṭhe nirvāṇe pratiṣṭhāpayeyaṃ tathāgatajñāne ca / sa	syAm atyanta nizWe nirvANe pratizWApayeyam taTAgata jQAne ca / sa
   evamātmanaśca bodhiṃ sattvārthañca prārthayamānaścittamutpādayati /	evam AtmanaH ca boDim sattva arTaQca prArTayamAnaH cittam utpAdayati /
   tasmātsa cittotpādaḥ prārthanākāraḥ / tāṃ khalu bodhiṃ sattvārthañcālamvya	tasmAt sa citta utpAdaH prArTanA AkAraH / tAm Kalu boDim sattva arTaQcA Alam vya
   sa cittotpādaḥ prārthayate nānālambya / tasmātsa cittotpādo bodhyālambanaḥ	sa citta utpAdaH prArTayate nAnA Alambya / tasmAt sa citta utpAdaH boDya AlambanaH
   sattvārthālambanaśca / sa ca cittotpādaḥ	sattva arTa AlambanaH ca / sa ca citta utpAdaH
   sarvabodhipakṣyakuśalamūlasaṃgrahāya pūrvaṅgamatvātkuśalaḥ	sarva boDi pakzya kuSala mUla saMgrahAya pUrvaFgama tvAt kuSalaH
   paramakauśalyaguṇayuktaḥ bhadraḥ paramabhadraḥ kalyāṇaḥ paramakalyāṇaḥ	parama kOSalya guNa yuktaH BadraH parama BadraH kalyANaH parama kalyANaH
   sarvasattvādhiṣṭhānakāyavāṅmanoduścaritavairodhikaḥ / yāni ca	sarva sattva aDizWAna kAya vAc manaH duScarita vEroDikaH / yAni ca
   kānicittadanyāni laukikalokottareṣvartheṣu kuśalāni samyakpraṇidhānāni	kAnicid tadanyAni lOkika loka uttarezu arTezu kuSalAni samyak praNiDAnAni
   teṣāṃ sarveṣāmagrya metatsamyakpraṇidhānaṃ niruttaraṃ yaduta	tezAm sarvezAm agrya metat samyak praNiDAnam niruttaram yat uta
   bodhisattvasya prathamaścittotpādaḥ / evamayaṃ prathamaścittotpādaḥ	boDisattvasya praTamaH citta utpAdaH / evam ayam praTamaH citta utpAdaH
   svabhāvato 'pi veditavyaḥ / ākārato 'pyālambanato 'pi guṇato 'pyutkarṣato	svaBAvataH api veditavyaH / AkArataH api AlambanataH api guNataH api utkarzataH 
   'ti pañcalakṣaṇo veditavyaḥ /	ati paQca lakzaNaH veditavyaH /
   tasya ca bodhicittasya sahotpādādevāvatīrṇe bhavati bodhisattvo 'nuttare	tasya ca boDi cittasya saha utpAdAt eva avatIrNe Bavati boDisattvaH anuttare
   bodhimahāyāne / bodhisattvo bodhisattva iti ca saṃkhyāṃ gacchati yaduta	boDi mahAyAne / boDisattvaH boDisattvaH iti ca saMKyAm gacCati yat uta
   saṃketavyavahāranayena / tasmātsa cittotpādaḥ avatārasaṃgṛhītaḥ / utpādya	saMketa vyavahAra nayena / tasmAt sa citta utpAdaH avatAra saMgRhItaH / utpAdya
   ca bodhisattvastaccittaṃ krameṇānuttarāṃ samyaksaṃbodhimadhigacchati	ca boDisattvaH tat cittam krameNa anuttarAm samyaksaMboDim aDigacCati
   nānutpādya / tasmādanuttarāyāḥ samyaksaṃbodheḥ sa cittotpādo mūlam /	na anutpAdya / tasmAt anuttarAyAH samyaksaMboDeH sa citta utpAdaH mUlam /
   duḥkhiteṣu ca sattveṣu sa kāruṇiko bodhisattvaḥ	duHKitezu ca sattvezu sa kAruNikaH boDisattvaH
   paritrāṇābhiprāyastaccittamutpādayati / tasmātsa cittotpādaḥ	paritrANa aBiprAyaH tat cittam utpAdayati / tasmAt sa citta utpAdaH
   karuṇāniṣyandaḥ / (Dutt 9) tañca cittotpādaṃ niśritya pratiṣṭhāya	karuNA nizyandaH / (Dutt 9) taQca citta utpAdam niSritya pratizWAya
   bodhisattvo bodhipakṣyeṣu dharmeṣu sattvārtha kriyāyāñca	boDisattvaH boDi pakzyezu Darmezu sattva arTa kriyAyAQca
   bodhisattvaśikṣāyāṃ prayujyate / tasmātsa cittotpādo bodhisattvaśikṣāyāḥ	boDisattva SikzAyAm prayujyate / tasmAt sa citta utpAdaH boDisattva SikzAyAH
   sanniśrayaḥ / evamasau prathamaścittotpādaḥ saṃgrahato 'pi mūlato 'pi	sanniSrayaH / evam asO praTamaH citta utpAdaH saMgrahataH api mUlataH api
   niṣyandato 'pi sanniśrayato 'pi veditavyaḥ /	nizyandataH api sanniSrayataH api veditavyaH /
   sa ca bodhisattvasya prathamacittotpādaḥ samāsena dvividhaḥ /	sa ca boDisattvasya praTama citta utpAdaH samAsena dviviDaH /
   nairyāṇikaścānairyāṇikaśca / tatra nairyāṇiko ya utpanno	nEryANikaH ca anEryANikaH ca / tatra nEryANikaH yaH utpannaH 
   'tyantamanuvartate na punarvyāvartate / anairyāṇikaḥ punarya utpanno	atyantam anuvartate na punar vyAvartate / anEryANikaH punar yaH utpannaH 
   nātyantamanuvartate punareva vyāvartate / tasya ca cittotpādasya	na atyantam anuvartate punar eva vyAvartate / tasya ca citta utpAdasya
   vyāvṛttirapi dvividhā / ātyantikī cānātyantikī ca / tatrātyantikī	vyAvRttiH api dviviDA / AtyantikI ca anAtyantikI ca / tatra AtyantikI
   yatsakṛdvyāvṛttaṃ cittaṃ na punarutpadyate bodhāya / anātyantikī punaḥ	yat sakRt vyAvRttam cittam na punar utpadyate boDAya / anAtyantikI punar 
   yadvyāvṛttaṃ cittaṃ punaḥ punarutpadyate bodhāya /	yat vyAvRttam cittam punar punar utpadyate boDAya /
   tasya khalu cittasyotpādaḥ caturbhiḥ	tasya Kalu cittasya utpAdaH caturBiH
   pratyayaiścaturbhirhetubhiścaturbhirbalairveditavyaḥ / catvāraḥ pratyayāḥ	pratyayEH caturBiH hetuBiH caturBiH balEH veditavyaH / catvAraH pratyayAH
   katame / iha kulaputro vā kuladruhitā vā tathāgatasya vā bodhisattvasya vā	katame / iha kula putraH vA kula druhitA vA taTAgatasya vA boDisattvasya vA
   acintyamatyadbhutaṃ prātihāryaṃ prabhāvaṃ paśyati saṃpratyayitasya vā	acintyam ati adButam prAtihAryam praBAvam paSyati saMpratyayitasya vA
   'ntikācchṛṇoti / tasya dṛṣṭvā vā śrutvā vā evaṃ bhavati / mahānubhāvā	antikAt SRNoti / tasya dRzwvA vA SrutvA vE evam Bavati / mahA anuBAvA
   bateyaṃ bodhiryasyāṃ sthitasya vā pratipannasya vā 'yamevarūpaḥ	bata iyam boDiH yasyAm sTitasya vA pratipannasya vA ayam eva rUpaH
   prabhā[vaḥ] idamevaṃrūpaṃ prātihāryaṃ dṛśyate ca śrūyate ca sa tadeva	praBA[vaH] idam evaMrUpam prAtihAryam dRSyate ca SrUyate ca sa tat eva
   prabhāvadarśanaṃ śravaṇaṃ vādhipatiṃ kṛtvā mahābodhyadhimukto mahābodhau	praBAva darSanam SravaNam vA aDipatim kRtvA mahA boDyaDimuktaH mahA boDO
   cittamutpādayati / ayaṃ prathamaḥ pratyayaścittasyotpattaye / sa na haiva	cittam utpAdayati / ayam praTamaH pratyayaH cittasya utpattaye / sa na ha eva
   prabhāvaṃ paśyati vā śṛṇoti vā aparitvanuttarāṃ bodhimārabhya saddharmaṃ	praBAvam paSyati vA SRNoti vA aparitu anuttarAm boDim AraBya sadDarmam
   śṛṇoti bodhisattvapiṭakaṃ deśyamānaṃ śrutvā ca punarabhiprasīdati /	SRNoti boDisattva piwakam deSyamAnam SrutvA ca punar aBiprasIdati /
   abhiprasannaśca saddharmaśravaṇamadhipatiṃ kṛtvā tathāgatajñānādhimuktaḥ	aBiprasannaH ca sat Darma SravaNam aDipatim kRtvA taTAgata jQAna aDimuktaH
   tathāgatajñānapratilambhāya cittamutpādayati / ayaṃ dvitīyaḥ	taTAgata jQAna pratilamBAya cittam utpAdayati / ayam dvitIyaH
   pratyayaścittasyotpattaye / sa na haiva dharma śṛṇotyapi tu bodhisattvaḥ	pratyayaH cittasya utpattaye / sa na ha eva Darma SRNoti api tu boDisattvaH
   saddharmāntardhānimāmukhāmupagatāṃ paśyati / dṛṣṭvā ca punarasyaivaṃ	sadDarma antarDAnim AmuKAm upagatAm paSyati / dRzwvA ca punar asya evam
   bhavati aprameyāṇāṃ bata sattvānāṃ duḥkhāpagamāya	Bavati aprameyANAm bata sattvAnAm duHKa apagamAya
   bodhisattvasaddharmasthitiḥ saṃvartate / yannvahaṃ	boDisattva sad Darma sTitiH saMvartate / yat nu aham
   bodhisattva saddharmacirasthitaye cittamutpādayeyaṃ yaduta eṣāmeva	boDisattva  sat Darma cira sTitaye cittam utpAdayeyam yat uta ezAm eva
   sattvānāṃ duḥkhāpakarṣaṇāya / [sa] saddharmadhāraṇamevādhipatiṃ kṛtvā	sattvAnAm duHKa apakarzaNAya / [sa] sadDarma DAraNam eva aDipatim kRtvA
   tathāgatajñānādhimuktastathāgatajñānapratilambhāya cittamutpādayati / ayaṃ	taTAgata jQAna aDimuktaH taTAgata jQAna pratilamBAya cittam utpAdayati / ayam
   (Dutt 10) tṛtīyaḥ pratyayaścittasyotpattaye / sa na haiva	(Dutt 10) tRtIyaH pratyayaH cittasya utpattaye / sa na ha eva
   saddharmāntardhāniṃ pratyupasthitāṃ paśyati apitvantayuge 'ntakāle	sadDarma antarDAnim pratyupasTitAm paSyati api tvanta yuge anta kAle
   pratyavarāntayugikān sattvāśrayān paśyati yaduta	pratyavara anta yugikAn sattva ASrayAn paSyati yat uta
   daśabhirupakleśairupakliṣṭān / tadyathā	daSaBiH upakleSEH upaklizwAn / tat yaTA
   mohabahulānāhrīkyānapatrāpyabahulānīrṣyāmātsaryabahulān duḥkhabahulān	moha bahulAn A hrI kyAnapatra api abahulAnIrzyA mAtsarya bahulAn duHKa bahulAn
   dauṣṭhulyabahulān kleśabahulān duścaritabahulān pramādabahulān	dOzWulya bahulAn kleSa bahulAn duScarita bahulAn pramAda bahulAn
   kausīdyabahulān āśraddhyabahulāṃśca / dṛṣṭvā ca punarasyaivaṃ bhavati /	kOsIdya bahulAn ASradDya bahulAn= ca / dRzwvA ca punar asya evam Bavati /
   mahān batāyaṃ kaṣāyakālaḥ pratyupasthitaḥ / asminnevamupakliṣṭe kāle na	mahAn bata ayam kazAya kAlaH pratyupasTitaH / asmin= evam upaklizwe kAle na
   sulabho nihīnaḥ śrāvakapratyekabodhāvapi tāvaccittotpādaḥ	sulaBaH nihInaH SrAvaka pratyeka boDO= api tAvat citta utpAdaH
   prāgevānuttarāyāṃ samyaksaṃbodhau / yannvahamapi tāvaccittamutpādayeyam	prAk eva anuttarAyAm samyaksaMboDO / yat nu aham api tAvat cittam utpAdayeyam
   apyeva [nāma] mamānuśikṣamāṇā anye 'pyutpādayeyuriti / so 'ntakāle	api eva [nAma] mama anuSikzamANAH anye api utpAdayeyuH iti / saH anta kAle
   cittotpādadurlabhatāmadhipatiṃ kṛtvā mahābodhāvadhimukto mahābodhau	citta utpAda durlaBa tAm aDipatim kRtvA mahA boDa avaDi muktaH mahA boDO
   cittamutpādayati / ayaṃ caturthaḥ pratyayaścittasyotpattaye /	cittam utpAdayati / ayam caturTaH pratyayaH cittasya utpattaye /
   catvāro hetavaḥ katame / gotrasaṃpadvodhisattvasya prathamo	catvAraH hetavaH katame / gotra saMpad voDisattvasya praTamaH 
   hetuścittasyotpattaye / buddhabodhisattvakalyāṇamitraparigraho dvitīyo	hetuH cittasya utpattaye / budDa boDisattva kalyANa mitra parigrahaH dvitIyaH 
   hetuścittasyotpattaye / sattveṣu kāruṇyaṃ bodhisattvasya tṛtīyo	hetuH cittasya utpattaye / sattvezu kAruNyam boDisattvasya tRtIyaH 
   hetuścittasyotpattaye / saṃsāraduḥkhād duṣkaracaryāduḥkhādapi	hetuH cittasya utpattaye / saMsAra duHKAt duzkara caryA duHKAt api
   dīrghakālikādvicitrāttīvrānnirantarādabhīrutā caturtho	dIrGakAlikAt vi citrAt tIvrAt nirantarAt aBIru tA caturTaH 
   hetuścittasyotpattaye /	hetuH cittasya utpattaye /
   tatra gotrasaṃpadvodhisattvasya dharmatāpratilabdhaiva veditavyā /	tatra gotra saMpad voDisattvasya Darma tA pratilabDA eva veditavyA /
   caturbhirākārairbodhisattvasya mitrasaṃpadveditavyā / iha bodhisattvasya	caturBiH AkArEH boDisattvasya mitra saMpad veditavyA / iha boDisattvasya
   mitramādita evājaḍaṃ bhavatyadhandhajātīyaṃ paṇḍitaṃ vilakṣaṇaṃ na ca	mitram AditaH eva ajaxam Bavati aDanDa jAtIyam paNxitam vilakzaNam na ca
   kudṛṣṭipatitam / iyaṃ prathamā mitrasaṃpat / na cainaṃ pramāde	kudRzwi patitam / iyam praTamA mitra saMpad / na ca enam pramAde
   viniyojayati / na pramādasthānamasyopasaṃharati / iyaṃ dvitīyā mitrasaṃpat	viniyojayati / na pramAda sTAnam asya upasaMharati / iyam dvitIyA mitra saMpad 
   / na cainaṃ duścirite viniyojayati na duścaritasthānamasyopasaṃharati /	/ na ca enam duScirite viniyojayati na duScarita sTAnam asya upasaMharati /
   iyaṃ tṛtīyā mitrasaṃpat / na cainamutkṛṣṭatarebhyaḥ	iyam tRtIyA mitra saMpad / na ca enam utkRzwatareByaH
   śraddhācchandasamādānavīryopāyaguṇebhyo vicchandayitvā nihīnatareṣu	SradDAcCanda samAdAna vIrya upAya guNeByaH vicCandayitvA nihInatarezu
   śraddhācchandasamādānavīryopāyaguṇeṣu samādāpayati / tadyathā	SradDAcCanda samAdAna vIrya upAya guNezu samAdApayati / tat yaTA
   mahāyānādvicchandayitvā śrāvakayāne vā pratyekabuddhayāne vā bhāvanāmayād	mahAyAnAt vicCandayitvA SrAvaka yAne vA pratyekabudDa yAne vA BAvanA mayAd
   vicchandayitvā cintāmaye cintāmayādvicchandayitvā śrutamaye	vicCandayitvA cintA maye cintA mayAt vicCandayitvA Sruta maye
   śrutamayādvicchandayitvā vaiyāvṛttyakarmaṇi śīlamayād vicchandayitvā	Sruta mayAt vicCandayitvA vEyAvRttya karmaNi SIla mayAt vicCandayitvA
   dānamaye ityevaṃbhāgīyebhya utkṛṣṭatarebhyo guṇebhyo na vicchandayitvā	dAna maye iti evaMBAgIyeByaH utkRzwatareByaH guNeByaH na vicCandayitvA
   evaṃbhāgīyeṣu nihīnatareṣu guṇeṣu samādāpayati / iyaṃ caturthī mitrasaṃpat	evaMBAgIyezu nihInatarezu guNezu samAdApayati / iyam caturTI mitra saMpad 
   (Dutt 11)	(Dutt 11)
   caturbhirākārai rbodhisattvaḥ karuṇābahulo bhavati sattveṣu / santi te	caturBiH AkArEH rboDisattvaH karuNA bahulaH Bavati sattvezu / santi te
   lokadhātavo yeṣu duḥkhaṃ nopalabhyate daśasu dikṣvanantāparyanteṣu	lokaDAtavaH yezu duHKam na upalaByate daSasu dikzu anantA paryantezu
   lokadhātuṣu / sa ca bodhisattvaḥ saduḥkhe loka dhātau pratyājāto bhavati	lokaDAtuzu / sa ca boDisattvaH sa duHKe loka DAtO pratyAjAtaH Bavati
   yatra duḥkhamupalabhyate nāduḥkhe / parañcānyatamena duḥkhena	yatra duHKam upalaByate na aduHKe / paraQca anyatamena duHKena
   spṛṣṭamupadrutamabhibhūtaṃ paśyati / ātmanā cā 'nyatamena duḥkhena spṛṣṭo	spRzwam upadrutam aBiBUtam paSyati / AtmanA cA anyatamena duHKena spRzwaH 
   bhavatyupadruto 'bhibhūtaḥ / punaśca paramātmānaṃ vā tadubhayaṃ vā	Bavati upadrutaH aBiBUtaH / punar ca paramAtmAnam vA tat uBayam vA
   dīrghakālikena vicitreṇa tīvreṇa nirantareṇa duḥkhena	dIrGa kAlikena vicitreNa tIvreNa nirantareNa duHKena
   spṛṣṭamupadrutamabhibhūtaṃ paśyati / iti tasya bodhisattvasya	spRzwam upadrutam aBiBUtam paSyati / iti tasya boDisattvasya
   svagotrasanniśrayeṇa prakṛtibhadratayā	sva gotra sanniSrayeNa prakRti BadratayA
   ebhiścaturbhirālambanairadhiṣṭhānaiḥ karuṇāmṛdumadhyādhimātrā pravarvate	eBiH caturBiH AlambanEH aDizWAnEH karuNA mRdu maDya aDimAtrA pravarvate
   anyatrābhyāsataḥ //	anyatra aByAsataH //
   caturbhiḥ kāraṇairbodhisattvaḥ sattveṣu karuṇāṃ saṃpuraskṛtya	caturBiH kAraNEH boDisattvaH sattvezu karuNAm saMpuraskRtya
   saṃsāraduḥkhāddīrghakālikādvicitrāttīvrānnirantarādapi na bibheti	saMsAra duHKAt dIrGa kAlikAt vi citrAt tIvrAt nirantarAt api na biBeti
   nottrasyati prāgeva nihīnāt / prakṛtyā sāttviko bhavati dhṛtimān balavān /	na uttrasyati prAk eva nihInAt / prakRtyA sAttvikaH Bavati DRtimAn balavAn /
   idaṃ prathamaṃ kāraṇam / paṇḍito bhavati samyagupanidhyānaśīlaḥ	idam praTamam kAraNam / paNxitaH Bavati samyak upaniDyAna SIlaH
