   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   śvapaca-ghaṭa-karparāṅkā tvaṃ kila phalitāpi viphalaiva ||GAss_30||	Svapaca--Gawa--karpara-aFkA tvam kila PalitA-api viPalA-eva ||GAsH-_30||
   añjalir akāri lokair mlānim anāptaiva rañjitā jagatī |	aQjaliH akAri lokEH mlAnim anAptA-eva raQjitA jagatI |
   sandhyāyā iva vasatiḥ svalpāpi sakhe sukhāyaiva ||GAss_31||	sanDyAyAH iva vasatiH su-alpA-api saKe suKAya-eva ||GAsH-_31||
   agṛhītānunayāṃ mām upekṣya sakhyo gatā bataikāham |	agRhIta-anunayAm mAm upekzya saKyaH gatA bata-ekA-aham |
   prasabhaṃ karoṣi mayi cet tvad upari vapur adya mokṣyāmi ||GAss_32||	prasaBam karozi mayi ced tvat upari vapuH adya mokzyAmi ||GAsH-_32||
   asthira-rāgaḥ kitavo mānī capalo vidūṣakas tvam asi |	asTira-rAgaH kitavaH mAnI capalaH vidUzakaH tvam asi |
   mama sakhyāḥ patasi kare paśyāmi yathā ṛjur bhavasi ||GAss_33||	mama saKyAH patasi kare paSyAmi yaTA RjuH Bavasi ||GAsH-_33||
   akaruṇa kātara-manaso darśita-nīrā nirantarāleyam |	akaruNa kAtara-manasaH darSita--nIrAH nirantarAleyam |
   tvām anu dhāvati vimukhaṃ gaṅgeva bhagīrathaṃ dṛṣṭiḥ ||GAss_34||	tvAm anu DAvati vimuKam gaFgA-iva BagIraTam dRzwiH ||GAsH-_34||
   antaḥ-kaluṣa-stambhita-rasayā bhṛṅgāranālayeva mama |	antaH--kaluza--stamBita-rasayA BRFga-AranAlayA-iva mama |
   apy unmukhasya vihitā varavarṇini na tvayā tṛptiḥ ||GAss_35||	api unmuKasya vihitA varavarNini na tvayA tRptiH ||GAsH-_35||
   ayi sarale sarala-taror mada-mudita-dvipa-kapola-pāleś ca |	ayi sarale sarala-taroH mada-mudita--dvipa--kapola--pAleH ca |
   anyonya-mugdha-gandha-vyatihāraḥ kaṣaṇam ācaṣṭe ||GAss_36||	anyonya--mugDa--ganDa--vyatihAraH kazaNam Acazwe ||GAsH-_36||
   asyāḥ kara-ruha-khaṇḍita-kāṇḍa-paṭa-prakaṭa-nirgatā dṛṣṭiḥ |	asyAH kara-ruha--KaNxita--kANxa--pawa--prakawa--nirgatA dRzwiH |
   paṭa-vigalita-niṣkaluṣā svadate pīyūṣa-dhāreva ||GAss_37||	pawa--vigalita--nizkaluzA svadate pIyUza-DArA-iva ||GAsH-_37||
   asyāḥ pati-gṛha-gamane karoti mātāśru-picchilāṃ padavīm |	asyAH pati-gRha--gamane karoti mAtA-aSru--picCilAm padavIm |
   guṇa-garvitā punar asau hasati śanaiḥ śuṣka-rudita-mukhī ||GAss_38||	guNa--garvitA punar asO hasati SanEs Suzka-rudita-muKI ||GAsH-_38||
   aṅke niveśya kūṇita-dṛśaḥ śanair akaruṇeti śaṃsantyāḥ |	aFke niveSya kUNita-dRSaH SanEs akaruNA-iti SaMsantyAH |
   mokṣyāmi veṇi-bandhaṃ kadā nakhair gandha-tailāktaiḥ ||GAss_39||	mokzyAmi veNi-banDam kadA naKEH ganDa-tEla-aktEH ||GAsH-_39||
   alam analaṅkṛti-subhage bhūṣaṇam upahāsa-viṣayam itarāsām |	alam analaFkRti--suBage BUzaNam upahAsa--vizayam itarAsAm |
   kuruṣe vanaspati-latā prasūnam iva bandhya-vallīnām ||GAss_40||	kuruze vanaspati-latA prasUnam iva banDya--vallInAm ||GAsH-_40||
   abudhā ajaṅgamā api kayāpi gatyā paraṃ padam avāptāḥ |	abuDAH ajaFgamAH api kayA-api gatyA param padam avAptAH |
   mantriṇa iti kīrtyante naya-bala-guṭikā iva janena ||GAss_41||	mantriNaH iti kIrtyante naya-bala-guwikAH iva janena ||GAsH-_41||
   atiśīla-śīta-latayā lokeṣu sakhī mṛdu-pratāpā naḥ |	ati-SIla--SIta--latayA lokezu saKI mRdu--pratApAH naH |
   kṣaṇa-vāmya-dahyamānaḥ pratāpam asyāḥ priyo veda ||GAss_42||	kzaNa-vAmya--dahyamAnaH pratApam asyAH priyaH veda ||GAsH-_42||
   anyāsv api gṛhiṇīti dhyāyann abhilaṣitam āpnoti |	anyAsu api gRhiNI-iti DyAyan aBilazitam Apnoti |
   paśyan pāṣāṇamayīḥ pratimā iva devatātvena ||GAss_43||	paSyan pAzANa-mayIH pratimAH iva devatA-tvena ||GAsH-_43||
   anupetya nīca-bhāvaṃ bālaka parito gabhīra-madhurasya |	anupetya nIca--BAvam bAlaka paritas gaBIra--maDurasya |
   asyāḥ premṇaḥ pātraṃ na bhavasi sarito rasasyeva ||GAss_44||	asyAH premNaH pAtram na Bavasi saritaH rasasya-iva ||GAsH-_44||
   adhivāsanam ādheyaṃ guṇa-mārgam apekṣate na ca grathanām |	aDivAsanam ADeyam guNa--mArgam apekzate na ca graTanAm |
   kalayati yuvajana-mauliṃ ketaka-kalikā svarūpeṇa ||GAss_45||	kalayati yuva-jana--mOlim ketaka-kalikA sva-rUpeNa ||GAsH-_45||
   apanīta-nikhila-tāpāṃ subhaga sva-kareṇa vinihitāṃ bhavatā |	apanIta--niKila--tApAm suBaga sva-kareNa vinihitAm BavatA |
   patiśayana-vāra-pāli-jvarauṣadhaṃ vahati sā mālām ||GAss_46||	pati-Sayana--vAra--pAli--jvara-OzaDam vahati sA mAlAm ||GAsH-_46||
   agaṇita-guṇena sundara kṛtvā cāritram apy udāsīnam |	agaNita-guNena sundara kRtvA cAritram api udAsInam |
   bhavatānanya-gatiḥ sā vihitāvartena taraṇir iva ||GAss_47||	BavatA-ananya--gatiH sA vihita-Avartena taraNiH iva ||GAsH-_47||
   anurakta-rāmayā punar āgataye sthāpitottarīyasya |	anurakta--rAmayA punar Agataye sTApita-uttarIyasya |
   apy eka-vāsasas tava sarva-yuvabhyo 'dhikā śobhā ||GAss_48||	api eka-vAsasaH tava sarva-yuvaByaH aDikA SoBA ||GAsH-_48||
   ardhaḥ prāṇity eko mṛta itaro me vidhuntudasyeva |	arDaH prANiti ekaH mRtaH itaraH me viDuntudasya-iva |
   sudhayeva priyayā pathi saṅgatyāliṅgitārdhasya ||GAss_49||	suDayA-iva priyayA paTi saFgatya-AliFgita-arDasya ||GAsH-_49||
   avadhīrito 'pi nidrā-miṣeṇa māhātmyam asṛṇayā priyayā |	avaDIritaH api nidrA-mizeNa mAhAtmyam asRNayA priyayA |
   avabodhito 'smi capalo bāṣpa-sthita-mitena talpena ||GAss_50||	avaboDitaH asmi capalaH bAzpa--sTita--mitena talpena ||GAsH-_50||
   ayi śabda-mātra-sāmyād āsvādita-śarkarasya tava pathika |	ayi Sabda--mAtra--sAmyAt AsvAdita--Sarkarasya tava paTika |
   svalpo rasanā-cchedaḥ purato jana-hāsyatā mahatī ||GAss_51||	su-alpaH rasanA-=-CedaH puratas jana--hAsya-tA mahatI ||GAsH-_51||
   abhinava-yauvana-durjaya-vipakṣa-jana-hanyamānamānāpi |	aBinava--yOvana--durjaya--vipakza--jana-hanyamAna-mAnA-api |
   sūnoḥ pitṛ-priyatvād bibharti subhagā-madaṃ gṛhiṇī ||GAss_52||	sUnoH pitR-priya-tvAt biBarti suBagA-madam gRhiNI ||GAsH-_52||
   apamānitam iva samprati guruṇā grīṣmeṇa durbalaṃ śaityam |	apamAnitam iva samprati guruNA grIzmeNa durbalam SEtyam |
   snānotsuka-taruṇī-stana-kalaśa-nibaddhaṃ payo viśati ||GAss_53||	snAna-utsuka-taruNI-H-tana--kala-Sa--nibadDam payaH viSati ||GAsH-_53||
   alasayati gātram akhilaṃ kleśaṃ mocayati locanaṃ harati |	alasayati gAtram aKilam kleSam mocayati locanam harati |
   svāpa iva preyān mama moktuṃ na dadāti śayanīyam ||GAss_54||	svApaH iva preyAt mama moktum na dadAti SayanIyam ||GAsH-_54||
   aṃsāvalambi-kara-dhṛta-kacam abhiṣekārdra-dhavala-nakha-rekham |	aMsa-avalambi--kara--DRta---kacam aBizeka-Ardra-Davala-naKa--reKam |
   dhautādhara-nayanaṃ vapur astram anaṅgasya tava niśitam ||GAss_55||	DOta-aDara-nayanam vapuH astram anaFgasya tava niSitam ||GAsH-_55||
   avinihitaṃ vinihitam iva yuvasu svaccheṣu vāra-vāma-dṛśaḥ |	avinihitam vinihitam iva yuvasu su-acCezu vAra-vAma--dRSaH |
   upadarśayanti hṛdayaṃ darpaṇa-bimbeṣu vadanam iva ||GAss_56||	upadarSayanti hRdayam darpaNa--bimbezu vadanam iva ||GAsH-_56||
   atilajjayā tvayaiva prakaṭaḥ preyān akāri nibhṛto 'pi |	ati-lajjayA tvayA-eva prakawaH preyAn akAri niBRtaH api |
   prāsāda-maulir upari prasarantyā vaijayanty eva ||GAss_57||	prAsAda--mOliH upari prasarantyAH vEjayantI eva ||GAsH-_57||
   anyonya-grathanāguṇa-yogād gāvaḥ padārpaṇair bahubhiḥ |	anyonya--graTanA-guNa-yogAt gAvaH pada-arpaNEH bahuBiH |
   khalam api tudanti meḍhī-bhūtaṃ madhya-stham ālambya ||GAss_58||	Kalam api tudanti meXI--BUtam maDya--sTam Alambya ||GAsH-_58||
   ananugraheṇa na tathā vyathayati kaṭu-kūjitair yathā piśunaḥ |	ananugraheNa na taTA vyaTayati kawu-kUjitEH yaTA piSunaH |
   rudhirādānād adhikaṃ dunoti karṇe kvaṇan maśakaḥ ||GAss_59||	ruDira-AdAnAt aDikam dunoti karNe kvaNat maSakaH ||GAsH-_59||
   agre laghimā paścān mahatāpi pidhīyate na hi mahimnā |	agre laGimA paScAt mahatA-api piDIyate na hi mahimnA |
   vāmana iti trivikramam abhidadhati daśāvatāra-vidaḥ ||GAss_60||	vAmanaH iti trivikramam aBidaDati daSa-avatAra-vidaH ||GAsH-_60||
   aṅke stanandhayas tava caraṇe paricārikā priyaḥ pṛṣṭhe |	aFke stananDayaH tava caraNe paricArikA priyaH pRzWe |
   asti kim u labhyam adhikaṃ gṛhiṇi yadā śaṅkase bālām ||GAss_61||	asti kim u laByam aDikam gRhiNi yadA SaFkase bAlAm ||GAsH-_61||
   adhara udastaḥ kūjitam āmīlitam akṣi lolito mauliḥ |	aDaraH udastaH kUjitam AmIlitam akzi lolitaH mOliH |
   āsāditam iva cumbana-sukham asparśe'pi taruṇābhyām ||GAss_62||	AsAditam iva cumbana--suKam asparSe-api taruNAByAm ||GAsH-_62||
   atirabhasena bhujo 'yaṃ vṛti-vivareṇa praveśitaḥ sadanam |	ati-raBasena BujaH ayam vRti-vivareNa praveSitaH sadanam |
   dayitāsparśollasito nāgacchati vartmanā tena ||GAss_63||	dayitA-sparSa-ullasitaH na-AgacCati vartmanA tena ||GAsH-_63||
   ambara-madhya-niviṣṭaṃ tavedam aticapalam alaghu jaghana-taṭam |	ambara--maDya--nivizwam tava-idam ati-capalam alaGu jaGana--tawam |
   cātaka iva navam abhraṃ nirīkṣamāṇo na tṛpyāmi ||GAss_64||	cAtakaH iva navam aBram nirIkzamANaH na tRpyAmi ||GAsH-_64||
   ayam andhakāra-sindhura-bhārākrāntāvanī-bharākrāntaḥ |	ayam anDakAra--sinDura--BAra-AkrAnta-avanI--Bara-AkrAntaH |
   unnata-pūrvādri-mukhaḥ kūrmaḥ sandhyāsram udvamati ||GAss_65||	unnata-pUrva-adri-muKaH kUrmaH sanDyA-asram udvamati ||GAsH-_65||
   antarbhūto nivasati jaḍe jaḍaḥ śiśira-mahasi hariṇa iva |	antarBUtaH nivasati jaxe jaxaH SiSira--mahasi hariNaH iva |
   ajaḍe śaśīva tapane sa tu praviṣṭo 'pi niḥsarati ||GAss_66||	ajaxe SaSI-iva tapane sa tu pravizwaH api niHsarati ||GAsH-_66||
   agaṇita-janāpavādā tvat-pāṇi-sparśa-harṣa-taraleyam |	agaNita-jana-apavAdA tu-at--pANi--sparSa--harza---taraleyam |
   āyāsyato varākī jvarasya talpaṃ prakalpayati ||GAss_67||	AyAsyataH varAkI jvarasya talpam prakalpayati ||GAsH-_67||
   apy eka-vaṃśa-januṣoḥ paśyata pūrṇatva-tucchatā-bhājoḥ |	api eka-vaMSa--januzoH paSyata pUrNa-tva--tucCatA-BAjoH |
   jyā-kārmukayoḥ kaścid guṇa-bhūtaḥ kaścid api bhartā ||GAss_68||	jyA--kArmukayoH kaScid guNa-BUtaH kaScid api BartA ||GAsH-_68||
   abhinava-keli-klāntā kalayati bālā krameṇa gharmāmbhaḥ |	aBinava--keli-klAntA kalayati bAlA krameNa GarmAmBaH |
   jyām arpayituṃ namitā kusumāstra-dhanur lateva madhu ||GAss_69||	jyAm arpayitum namitA kusuma-astra-DanuH latA-iva maDu ||GAsH-_69||
   asatī kulajā dhīrā prauḍhā prativeśinī yad āsaktim |	asatI kula-jA DIrA prOXA prativeSinI yat Asaktim |
   kurute sarasā ca tadā brahmānandaṃ tṛṇaṃ manye ||GAss_70||	kurute sarasA ca tadA brahma-Anandam tRNam manye ||GAsH-_70||
   avirala-patitāśru vapuḥ pāṇḍu snigdhaṃ tavopanītam idam |	avirala--patita-aSru vapuH pANxu snigDam tava-upanItam idam |
   śata-dhautam ājyam iva me smara-śara-dāha-vyathāṃ harati ||GAss_71||	Sata-DOtam Ajyam iva me smara-Sara--dAha--vyaTAm harati ||GAsH-_71||
   antar nipatita-guñjā-guṇa-ramaṇīyaś cakāsti kedāraḥ |	antar nipatita---guQjA--guNa-ramaNIyaH cakAsti kedAraH |
   nija-gopī-vinaya-vyaya-khedena vidīrṇa-hṛdaya iva ||GAss_72||	nija--gopI--vinaya--vyaya-Kedena vidIrNa--hRdayaH iva ||GAsH-_72||
   amunā hatam idam idam iti rudatī prativeśine'ṅgam aṅgam iyam |	amunA hatam idam idam iti rudatI prativeSine-aFgam aFgam iyam |
   roṣa-miṣa-dalita-lajjā gṛhiṇī darśayati pati-purataḥ ||GAss_73||	roza-miza-dalita--lajjA gRhiNI darSayati pati--puratas ||GAsH-_73||
   iti vibhāvyākhyā-sametā a-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH a-kAra--vrajyA ||
   ā-kāra-vrajyā	A-kAra-vrajyA
   āntaram api bahiri va hi vyañjayituṃ rasam aśeṣataḥ satatam |	Antaram api bahiri va hi vyaQjayitum rasam aSezatas satatam |
   asatī sat-kavi-sūktiḥ kāca-ghaṭīti trayaṃ veda ||GAss_74||	asatI sat-ka-vi-su-uktiH kAca-GawI-iti trayam veda ||GAsH-_74||
   āloka eva vimukhī kvacid api divase na dakṣiṇā bhavasi |	AlokaH eva vimuKI kvacid api divase na dakziNA Bavasi |
   chāyeva tad api tāpaṃ tvam eva me harasi mānavati ||GAss_75||	CAyA-iva tat api tApam tvam eva me harasi mAnavati ||GAsH-_75||
   ājñā kākur yācñā-kṣepo hasitaṃ ca śuṣka-ruditaṃ ca |	AjQA kAkuH yAcQA-kzepaH hasitam ca Suzka-ruditam ca |
   iti nidhuvana-pāṇḍityaṃ dhyāyaṃs tasyā na tṛpyāmi ||GAss_76||	iti niDuvana--pANxityam DyAyan tasyAH na tRpyAmi ||GAsH-_76||
   ājñāpayiṣyasi padaṃ dāsyasi dayitasya śirasi kiṃ tvarase |	AjQApayizyasi padam dAsyasi dayitasya Sirasi kim tvarase |
   asamaya-mānini mugdhe mā kuru bhagnāṅkuraṃ prema ||GAss_77||	asamaya--mAnini mugDe mA kuru Bagna-aFkuram prema ||GAsH-_77||
   āsādya bhaṅgam anayā dyūte vihitābhirucita-keli-paṇe |	AsAdya BaFgam anayA dyUte vihita-aBirucita--keli-paNe |
   niḥsārayatākṣāniti kapaṭa-ruṣotsāritāḥ sakhyaḥ ||GAss_78||	niHsArayata-akzAn-iti kapawa--ruzA-utsAritAH saKyaH ||GAsH-_78||
   ādaraṇīya-guṇā sakhi mahatā nihitāsi tena śirasi tvam |	AdaraNIya-guNA saKi mahatA nihitA-asi tena Sirasi tvam |
   tava lāghava-doṣo 'yaṃ saudha-patākeva yac calasi ||GAss_79||	tava lAGava--dozaH ayam sODa-patAkA-iva yat calasi ||GAsH-_79||
   ārdram api stana-jaghanān nirasya sutanu tvayaitad unmuktam |	Ardram api stana--jaGanAt nirasya su-tanu tvayA-etat unmuktam |
   kha-stham avāptum iva tvāṃ tapanāṃśūn aṃśukaṃ pibati ||GAss_80||	Ka-sTam avAptum iva tvAm tapana-aMSUn aMSukam pibati ||GAsH-_80||
   āropitā śilāyām aśmeva tvaṃ bhaveti mantreṇa |	AropitA SilAyAm aSmA-iva tvam Bava-iti mantreNa |
   magnāpi pariṇayāpadi jāra-mukhaṃ vīkṣya hasitaiva ||GAss_81||	magnA-api pariNaya-Apadi jAra-muKam vIkzya hasitA-eva ||GAsH-_81||
   āyāti yāti khedaṃ karoti madhu harati madhukarīvānyā |	AyAti yAti Kedam karoti maDu harati maDukarI-iva-anyA |
   adhidevatā tvam eva śrīr iva kamalasya mama manasaḥ ||GAss_82||	aDidevatA tvam eva SrIH iva kamalasya mama manasaH ||GAsH-_82||
   āsādya dakṣiṇāṃ diśam avilambaṃ tyajati cottarāṃ taraṇiḥ |	AsAdya dakziNAm diSam avilambam tyajati ca-uttarAm taraNiH |
   puruṣaṃ haranti kāntāḥ prāyeṇa hi dakṣiṇā eva ||GAss_83||	puruzam haranti kAntAH prAyeNa hi dakziNAH eva ||GAsH-_83||
   ādāna-pāna-lepaiḥ kāścid garalopatāpa-hāriṇyaḥ |	AdAna--pAna--lepEH kAScid garala-upatApa--hAriNyaH |
   sadasi sthitaiva siddhauṣadhi-vallī kāpi jīvayati ||GAss_84||	sadasi sTitA-eva sidDOzaDi-vallI kA-api jIvayati ||GAsH-_84||
   āndola-lola-keśīṃ cala-kāñcī-kiṅkiṇī-gaṇa-kvaṇitām |	Anda-ula--lola-keSIm cala--kAQcI--kiFkiNI--gaNa--kvaNitAm |
   smarasi puruṣāyitāṃ tāṃ smara-cāmara-cihna-yaṣṭim iva ||GAss_85||	smarasi puruzAyitAm tAm smara--ca-amara--cihna--yazwim iva ||GAsH-_85||
   ākṣipasi karṇam akṣṇā balir api baddhas tvayā tridhā madhye |	Akzipasi karNam akzNA baliH api badDaH tvayA triDA maDye |
   iti jita-sakala-vadānye tanu-dāne lajjase sutanu ||GAss_86||	iti jita-sakala--vadAn-ye tanu--dAne lajjase su-tanu ||GAsH-_86||
   ākṣepa-caraṇa-laṅghana-keśa-graha-keli-kutuka-taralena |	Akzepa--caraNa--laFGana-keSa--graha--keli--kutuka--taralena |
   strīṇāṃ patir api gurur iti dharmaṃ na śrāvitā sutanuḥ ||GAss_87||	strINAm patiH api guruH iti Darmam na SrAvitA su-tanuH ||GAsH-_87||
   āgacchatānavekṣita-pṛṣṭhenārthī varāṭakeneva |	AgacCatA-anavekzita--pRzWena-arTI varAwakena-iva |
   muṣitāsmi tena jaghanāṃ-śukam api voḍhuṃ naśaktena ||GAss_88||	muzitA-asmi tena jaGana-aM-Sukam api voXum na-Saktena ||GAsH-_88||
   ākuñcitaika-jaṅghaṃ darāvṛtordhvoru gopitārdhoru |	AkuQcita-eka--jaFGam dara-AvRta-UrDva-Uru gopitA-arDa-Uru |
   sutanoḥ śvasita-kramana-mad-udara-sphuṭa-nābhi śayanam idam ||GAss_89||	su-tanoH Svasita-kramana-mad--udara--sPuwa-nABi Sayanam idam ||GAsH-_89||
   ādāya dhanam analpaṃ dadānayā subhaga tāvakaṃ vāsaḥ |	AdAya Danam analpam dadAnayA suBaga tAvakam vAsaH |
   mugdhā rajaka-gṛhiṇyā kṛtā dinaiḥ katipayair niḥsvā ||GAss_90||	mugDA rajaka-gRhiNyA kRtA dinEH katipayEH niHsvAH ||GAsH-_90||
   āstāṃ varam avakeśī mā doha-damasya racaya pūga-taroḥ |	AstAm varam avakeSI mA doha-damasya racaya pUga-taroH |
   etasmāt phalitād api kevalam udvegam adhigaccha ||GAss_91||	etasmAt PalitAt api kevalam udvegam aDigacCa ||GAsH-_91||
   ārabdham abdhi-mathanaṃ svahastayitvā dvi-jihvam amarair yat |	ArabDam abDi-maTanam sva-hastayitvA dvi-jihvam amarEH yat |
   ucitas tat-pariṇāmo viṣamaṃ viṣam eva yaj jātam ||GAss_92||	ucitaH tat--pariNAmaH vizamam vizam eva yat jAtam ||GAsH-_92||
   āvarjitālakāli śvāsotkampa-stanārpitaika-bhujam |	Avarjita-alakAli SvAsa-utkampa--stana-arpita-eka--Bujam |
   śayanaṃ rati-vivaśa-tanoḥ smarāmi śithilāṃśukaṃ tasyāḥ ||GAss_93||	Sayanam rati-vivaSa--tanoH smarAmi SiTila-aMSukam tasyAH ||GAsH-_93||
   āmrāṅkuro 'yam aruṇa-śyāmala-rucir asthi-nirgataḥ sutanu |	Amra-aFkuraH ayam aruNa-SyAmala--ruciH asTi--nirgataH su-tanu |
   nava-kamaṭha-karpara-puṭān mūrdhevordhvaṃ gataḥ sphurati ||GAss_94||	nava-ka-maWa-karpara--puwAn mUrDA-iva-UrDvam gataH sPurati ||GAsH-_94||
   ābhaṅgurāgra-bahu-guṇa-dīrghāsvāda-pradā priyā-dṛṣṭiḥ |	ABaFgura-agra--bahu--guNa--dIrGa-AsvAda--pradA priyA--dRzwiH |
   karṣati mano madīyaṃ hrada-mīnaṃ baḍiśa-rajjur iva ||GAss_95||	karzati manaH madIyam hrada--mInam baxiSa--rajjuH iva ||GAsH-_95||
   ālapa yathā yathecchasi yuktaṃ tava kitava kim apavārayasi |	Alapa yaTA yaTA-icCasi yuktam tava kitava kim apavArayasi |
   strī-jāti-lāñchanam asau jīvita-raṅkā sakhī subhaga ||GAss_96||	strI--jAti--lAQCanam asO jIvita--raFkA saKI suBagaH ||GAsH-_96||
   āsvādito 'si mohād bata viditā vadana-mādhurī bhavataḥ |	AsvAditaH asi mohAt bata viditA vadana--mADurI BavataH |
   madhu-lipta-kṣura rasanāc chedāya paraṃ vijānāsi ||GAss_97||	maDu-lipta-kzura rasanAt CedAya param vijAnAsi ||GAsH-_97||
   ākṛṣṭi-bhagna-kaṭakaṃ kena tava prakṛti-komalaṃ subhage |	AkRzwi-Bagna--kawakam kena tava prakRti-komalam suBage |
   dhanyena bhuja-mṛṇālaṃ grāhyaṃ madanasya rājyam iva ||GAss_98||	Danyena Buja--mRNAlam grAhyam madanasya rAjyam iva ||GAsH-_98||
   āruhya dūram agaṇita-raudra-kleśā prakāśayantī svam |	Aruhya dUram agaNita-rOdra--kleSA prakASayantI svam |
   vāta-pratīcchana-paṭī vahitram iva harasi māṃ sutanu ||GAss_99||	vAta--pratIcCana--pawI vahitram iva harasi mAm su-tanu ||GAsH-_99||
   āyāsaḥ para-hiṃsā vaitaṃsika-sārameya tava sāraḥ |	AyAsaH para-hiMsA vEtaMsika--sArameya tava sAraH |
   tvām apasārya vibhājyaḥ kuraṅga eṣo 'dhunaivānyaiḥ ||GAss_100||	tvAm apasArya viBAjyaH kuraFgaH ezaH aDunA-eva-anyEH ||GAsH-_100||
   ānayati pathika-taruṇaṃ hariṇa iha prāpayann ivātmānam |	Anayati paTika-taruNam hariNaH iha prApayan iva-AtmAnam |
   upakalam ago 'pi komala-kalam āvalika-valanottaralaḥ ||GAss_101||	upakalam agaH api komala--kalam Avalika-valana-uttaralaH ||GAsH-_101||
   āsīd eva yad ārdraḥ kim api tadā kim ayam āhato 'py āha |	AsIt eva yat ArdraH kim api tadA kim ayam AhataH api Aha |
   niṣṭhura-bhāvād adhunā kaṭūni sakhi raṭati paṭaha iva ||GAss_102||	nizWura--BAvAt aDunA kawUni saKi rawati pawahaH iva ||GAsH-_102||
   ājñā-karaś ca tāḍana-paribhava-sahanaś ca satyam aham asyāḥ |	AjQA-karaH ca tAxana--pariBava--sahanaH ca satyam aham asyAH |
   na tu śīla-śītaleyaṃ priyetarad vaktum api veda ||GAss_103||	na tu SIla-SItaleyam priyA-itarat vaktum api veda ||GAsH-_103||
   ādhāya dugdha-kalaśe manthānaṃ śrānta-dor-latā gopī |	ADAya dugDa--kalaSe manTAnam SrAnta-dos--latA gopI |
   aprāpta-pārijātā daive doṣaṃ niveśayati ||GAss_104||	aprApta--pArijAtAH dEve dozam niveSayati ||GAsH-_104||
   āstāṃ mānaḥ kathanaṃ sakhīṣu vā mayi nivedya-durvinaye |	AstAm mAnaH kaTanam saKIzu vA mayi nivedya--durvinaye |
   śithilita-rati-guṇa-garvā mamāpi sā lajjitā sutanuḥ ||GAss_105||	SiTilita--rati-guNa--garvAH mama-api sA lajjitA su-tanuH ||GAsH-_105||
   āvartair ātarpaṇa-śobhāṃ ḍiṇḍīra-pāṇḍurair dadhatī |	AvartEH AtarpaNa--SoBAm xiNxIra--pANxurEH daDatI |
   gāyati mukharita-salilā priya-saṅgama-maṅgalaṃ surasā ||GAss_106||	gAyati muKarita--salilA priya-saFgama-maFgalam surasA ||GAsH-_106||
   iti vibhāvyākhyā-sametā ā-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH A-kAra-vrajyA ||
   i-kāra-vrajyā	i-kAra-vrajyA
   iyam udgatiṃ harantī-netra-nikocaṃ ca vidadhatī purataḥ |	iyam udgatim harantI--netra-nikocam ca vidaDatI puratas |
   na vijānīmaḥ kiṃ tava vadati sapatnīva dina-nidrā ||GAss_107||	na vijAnImaH kim tava vadati sapatnI-iva dina--nidrA ||GAsH-_107||
   idam ubhaya-bhitti-santata-hāra-guṇāntar-gataika-kuca-mukulam |	idam uBaya-Bitti-santata-hAra--guNa-antar--gata-eka-kuca--mukulam |
   guṭikā-dhanur iva bālā-vapuḥ smaraḥ śrayati kutukena ||GAss_108||	guwikA--DanuH iva bAlA--vapuH smaraH Srayati kutukena ||GAsH-_108||
   iha śikhari-śikharāvalambini vinoda-dara-tarala-vapuṣi taru-hariṇe |	iha SiKari--SiKara-avalambini vinoda-dara--tarala-vapuzi taru-hariNe |
   paśyābhilaṣati patituṃ vihagī nija-nīḍa-mohena ||GAss_109||	paSya-aBilazati patitum vihagI nija--nIxa--mohena ||GAsH-_109||
   ikṣur nadī-pravāho dyūtaṃ māna-grahaś ca he sutanu |	ikzuH nadI--pravAhaH dyUtam mAna-grahaH ca he su-tanu |
   bhrū-latikā ca taveyaṃ bhaṅge rasam adhikam āvahati ||GAss_110||	BrU-latikA ca tava-iyam BaFge rasam aDikam Avahati ||GAsH-_110||
   indor ivāsya purato yad vimukhī sāpa-vāraṇā bhramasi |	indoH iva-asya puratas yat vimuKI sa-apa-vAraNAH Bramasi |
   tat kathaya kiṃ nu duritaṃ sakhi tvayā chāyayeva kṛtam ||GAss_111||	tat kaTaya kim nu duritam saKi tvayA CAyayA-iva kRtam ||GAsH-_111||
   iha kapaṭa-kutuka-taralita-dṛśi viśvāsaṃ kuraṅga kiṃ kuruṣe |	iha kapawa-kutuka-taralita-dRSi viSvAsam kuraFga kim kuruze |
   tava rabhasa-taraliteyaṃ vyādha-vadhūr vāladhau valate ||GAss_112||	tava raBasa--taralitA-iyam vyADa-vaDUH vAlaDO valate ||GAsH-_112||
