   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   bhāḍiyālaḥ kāmakālī vātsyagrāmī ca lakṣakaḥ /	BAxiyAlaH kAma-kAlI vAtsya-grAmI ca lakzakaH /
   voḍgrāmī jāmarūkhī kālīgrāmī kalīharaḥ // Valc_1.74 //	vA-uxgrAmI jAmarUKI kAlI-grAmI kalI-haraH // Valt-_1.74 //
   śītalī dhosalī caiva tāluḍī kukkuṭī tathā /	SItalI DosalI ca-eva tAluxI kukkuwI taTA /
   nidrālī cākṣuṣagrāmī deuli siharī tathā // Valc_1.75 //	nidrAlI cAkzuza-grAmI deuli siharI taTA // Valt-_1.75 //
   prauṇḍrīkākṣiḥ śrutavaṭī caturāndī tathā smṛtaḥ /	prONxrIkAkziH SrutavawI caturAndI taTA smRtaH /
   kālindī vātsyagotrasya dharādharasya vaṃśajāḥ // Valc_1.76 //	kAlindI vAtsya-gotrasya DarADarasya vaMSa-jAH // Valt-_1.76 //
   atha bharadvājagotrasya gautamasya vaṃśadharāṇāṃ gāṁināmāni /	aTa BaradvAja-gotrasya gOtamasya vaMSa-DarANAm gAṁi-nAmAni /
   bhādaḍo lāḍḍela-jhāmā jhāmālī jhampaṭī ca vā /	BAdaxaH lAxxela-JAmA JAmAlI JampawI ca vA /
   urttivāhī ugrarekhī ākhu-ratnābalī khaniḥ // Valc_1.70 //	urttivAhI ugra-reKI AKu--ratnAbalI KaniH // Valt-_1.70 //
   gosvāśirāthaḥ pisvīni ceṅgā cākhuri pippalī /	go-svASirATaH pisvIni ca-iFgA ca-AKuri pippalI /
   viśālā kāñcanagrāmī asṛk śākoṭakastathā // Valc_1.78 //	viSAlA kAQcana-grAmI asRk SAkowakaH-taTA // Valt-_1.78 //
   kṣetragrāmī rājagrāmī nandīgrāmī ca jadhyalaḥ /	kzetra-grAmI rAja-grAmI nandI-grAmI ca jaDyalaH /
   puktirvṛhatī gotreṣu bharadvājeṣu gotamāt // Valc_1.79 //	puktiH-vRhatI gotrezu BaradvAjezu gotamAt // Valt-_1.79 //
   atha sāvarṇagotrasya parāśarasya vaṃśadharāṇāṃ gāṁināmāni /	aTa sAvarNa-gotrasya parASarasya vaMSa-DarANAm gAṁi-nAmAni /
   siṃhaḍālaka unduḍī śṛṅgī pākaḍī ledhuḍī /	siMhaxAlakaH unduxI SRFgI pAkaxI leDuxI /
   dhundhuḍī tātoyā setuḥ kapālī lomapeṭarau // Valc_1.80 //	DunDuxI tAtoyA setuH kapAlI loma-pewarO // Valt-_1.80 //
   pañcavaṭī khaṇḍavaṭī nikaḍiśca samudrakaḥ /	paQcavawI KaNxavawI nikaxiH-ca samudrakaH /
   puṇḍariko yaśogrāmī ketugrāmī ca viśrutaḥ // Valc_1.81 //	puNxarikaH yaSaH-grAmI ketu-grAmI ca viSrutaH // Valt-_1.81 //
   puṣpapo bhāduṣī caiva varendrā gāṁisaṃjñakāḥ /	puzpapaH BAduzI ca-eva vara-indrAH gAṁi-saMjQakAH /
   munikalpā amī jātā sāvarṇeṣu parāśarāt // Valc_1.82 //	muni-kalpAH amI jAtA sAvarNezu parASarAt // Valt-_1.82 //
   atha vaidikānāṃ kaulinyādivihīnatvakāraṇam |	aTa vEdikAnAm kOlinI-Adi-vihIna-tva-kAraNam |
   vaidikā brāhmaṇā āsan vaṇijāṃ pakṣapātiṇaḥ /	vEdikAH brAhmaNAH Asan vaNijAm pakzapAtiNaH /
   tatastānsadasi krodhānnājuhāva mahīpatiḥ // Valc_1.83 //	tatas-tAn-sadasi kroDAt-na-AjuhAva mahIpatiH // Valt-_1.83 //
   nākāṅkṣannabhihāraṃ te rājadattaṃ tapodhanāḥ /	na-AkAFkzan=-aBihAram te rAja-dattam tapoDanAH /
   brāhmaṇāḥ brahmavidvāṃso vaidikā iti kecana // Valc_1.84 //	brAhmaNAH brahma-vidvAMsaH vEdikAH iti kecana // Valt-_1.84 //
   iti vaidikānāṃ kaulīnyādirāhityakathanam /	iti vEdikAnAm kOlInyAdirAhitya-kaTanam /
   atha kānyakubjāgata-kāyasyānāṃ nāmagotrāṇi /	aTa kAnyakubja-Agata-kAyasyAnAm nAma-gotrANi /
   kāśyape gotre sañjāto dakṣanāmā mahāmatiḥ /	kASyape gotre san-jAtaH dakza-nAmA mahAmatiH /
   tasya dāso gautamasya gotre daśaratho vasuḥ // Valc_1.85 //	tasya dAsaH gOtamasya gotre daSaraTaH vasuH // Valt-_1.85 //
   śāṇḍilyagotre saṃbhūte bhaṭṭanārāyaṇaḥ kvatī /	SANxilya-gotre saMBUte Bawwa-nArAyaNaH kvatI /
   tasya saukālino dāso ghoṣajo makarandakaḥ // Valc_1.86 //	tasya sOkAlinaH dAsaH Goza-jaH makarandakaH // Valt-_1.86 //
   bharadvājeṣu vikhyātaḥ śrīharṣo munisattamaḥ /	BaradvAjezu viKyAtaH SrI-harzaH muni-sattamaH /
   dāsastasya virāṭākhyaḥ guhakaḥ kāśyapaḥ smṛtaḥ // Valc_1.87 //	dAsaH-tasya virAwa-AKyaH guhakaH kASyapaH smRtaH // Valt-_1.87 //
   sāvarṇagotro nirdiṣṭo vedagarbhastapodhanaḥ /	sAvarNa-gotraH nirdizwaH vedagarBaH-tapoDanaH /
   tasya dāso mitravaṃśo viśvāmitrasya gotrakaḥ /	tasya dAsaH mitra-vaMSaH viSvAmitrasya gotrakaH /
   kālidāsa iti khyātaḥ śūdravaṃśasamudbhavaḥ // Valc_1.88 //	kAlidAsaH iti KyAtaH SUdra-vaMSa-samudBavaH // Valt-_1.88 //
   vātsyagotreṣu sambhūtaḥ chāndaḍ iti saṃjñitaḥ /	vAtsya-gotrezu samBUtaH CAndaw iti saMjQitaH /
   maudgalyagotrakodattaḥ puruṣottamasaṃjñakaḥ /	mOdgalI-a-gotra-kodattaH puruzottama-saMjQakaH /
   eteṣāṃ rakṣaṇārthāya svāgato gauḍhmaṇḍalam // Valc_1.89 //	etezAm rakzaNa-arTAya svAgataH gOXmaNxalam // Valt-_1.89 //
   ye ghoṣavasumitrāstu kulīnāḥ sarvva eva te /	ye Goza-vasumitrAH-tu kulInAH sarvvaH eva te /
   deva-dattau senasiṃghau pālitaśca karo guhaḥ /	deva-dattO sena-siMGO pAlitaH-ca karaH guhaH /
   dāsaśca madhyamā aṣṭau dvisaptatirgharāstataḥ // Valc_1.90 //	dAsaH-ca maDyamAH azwO dvisaptatiH-GarAH-tatas // Valt-_1.90 //
   aśīti rmaulikā rājavallālasena-sammatāḥ /	aSIti rmOlikAH rAja-vallAla-sena--sammatAH /
   dvisaptatirgharā ye te kāyastheṣvadhamāḥ smṛtāḥ // Valc_1.91 //	dvisaptatiH-GarAH ye te kAyasTezu-aDamAH smRtAH // Valt-_1.91 //
   atha guṇavatkāyasthapraśaṃsā /	aTa guNavat-kAyasTa-praSaMsA /
   śūdrāstu ye dānaparā bhavanti vratānvitā vipraparāyaṇāśca /	SUdrAH-tu ye dAna-parAH Bavanti vrata-anvitAH vipra-parAyaNAH-ca /
   annaṃ hi teṣāṃ satataṃ subhojyaṃ bhavet dvijair dṛṣṭam idaṃ purātanaiḥ //	annam hi tezAm satatam su-Bojyam Bavet dvijEH dRzwam idam purAtanEH //
   Valc_1.92 //	Valt-_1.92 //
   ityānandabhaṭṭaprokte vallālacarite pūrvvakhaṇḍaṃ sampūrṇam |	iti-Ananda-Bawwa-prokte vallAla-carite pUrvva-KaNxam sampUrNam |
   vallālacaritam	vallAla-caritam
   uttarakhaṇḍam	uttara-KaNxam
   atha prathamo 'dhyāyaḥ |	aTa praTamaH aDyAyaH |
   vallālacaritaṃ pūrbbakhaṇḍīyaṃ kathitaṃ mayā /	vallAla-caritam pUrbbaKaNxIyam kaTitam mayA /
   śrūyatāmuttare khaṇḍe vistarāt kathyate 'dhunā // Valc_2,1.1 //	SrUyatAm-uttare KaNxe vistarAt kaTyate aDunA // Valt-_2,1.1 //
   senavaṃśadharo rājā vallālo nāma viśrutaḥ /	sena-vaMSa-DaraH rAjA vallAlaH nAma viSrutaH /
   puremāmabhunak pṛthvīṃ prabhāvākṣataśāsanaḥ // Valc_2,1.2 //	puremAm-a-Bunak pRTvIm praBAva-akzata-SAsanaH // Valt-_2,1.2 //
   prabhuśca yauvanastho 'pi tasminnāsīdvivekatā /	praBuH-ca yOvana-sTaH api tasmin=-AsIt-viveka-tA /
   nāhāri brāhmaṇī kanyā kadācidapi bhūbhṛtā // Valc_2,1.3	na-AhAri brAhmaNI kanyA kadAcid-api BUBRtA // Valt-_2,1.3
   kāmācāro 'pi dṛpto 'pi sa priyaṅkarakiṅkaraḥ /	kAma-AcAraH api dRptaH api sa priyaFkara-kiFkaraH /
   kadācicca parastrīṇāṃ jāratvaṃ nākaronnṛpaḥ // Valc_2,1.4 //	kadAcid-ca para-strINAm jAra-tvam na-akarot-nRpaH // Valt-_2,1.4 //
   asevi cāṇḍālakanyā rājñā dvādaśavārṣikī /	asevi cANxAla-kanyA rAjQA dvAdaSa-vArzikI /
   naṭīkanyā ca siddhyarthaṃ pāṣaṇḍamatavarttinā // Valc_2,1.5 //	nawI-kanyA ca sidDi-arTam pAzaNxa-mata-varttinA // Valt-_2,1.5 //
   yāvannāsīt bhaṭṭapādairupadiṣṭo mahīpatiḥ /	yAvat-na-AsIt Bawwa-pAdEH-upadizwaH mahIpatiH /
   tāvat sa kṛtavān karmma tattat sajjanagarhitam // Valc_2,1.6 //	tAvat sa kRtavAn karmma tat-tat sat-jana-garhitam // Valt-_2,1.6 //
   bhaṭṭānuvratinā tena tato vimalabuddhinā /	Bawwa-anuvratinA tena tatas vimala-budDinA /
   kiṃ kiṃ nānuṣṭhitaṃ karmma brāhmaṇānāṃ priyaṅkaram // Valc_2,1.7 //	kim kim na-anuzWitam karmma brAhmaNAnAm priyaFkaram // Valt-_2,1.7 //
   vaṅgavāgadaḍivārendrarāḍhābhūrmithilāpi ca /	vaFga-vAc-a-daxivAra-indra-rAXA-BUH-miTilA-api ca /
   tasyāsīdvipulaṃ rāṣṭrametadviṣayapañcakam // Valc_2,1.8 //	tasya-AsIt-vipulam rAzwram-etat-vizaya-paQcakam // Valt-_2,1.8 //
   vasatisma nṛpaḥ śrīmān purā gauḍe purottame /	vasatisma nRpaH SrImAn purA gOxe pura-uttame /
   kadācidvā yathākāmaṃ nagare vikrame pure // Valc_2,1.9 //	kadAcid-vA yaTAkAmam nagare vikrame pure // Valt-_2,1.9 //
   svarṇagrāme kadācidvā prāsāde sumanohare /	svarNa-grAme kadAcid-vA prAsAde su-manohare /
   ramamānaḥ saha śrībhirdivīva tridiveśvaraḥ // Valc_2,1.10 //	ramamAnaH saha SrIBiH-divi-iva tridiveSvaraH // Valt-_2,1.10 //
   vaihārikāsu vidyāsu vājipṛṣṭhe ca paṇḍitaḥ /	vEhArikAsu vidyAsu vAji-pRzWe ca paNxitaH /
   śastrāsteṣu paraṃ dakṣo dāne karṇa ivāparaḥ // Valc_2,1.11 //	SastrAH-tezu param dakzaH dAne karNaH iva-aparaH // Valt-_2,1.11 //
   ityānandabhaṭṭaprokte vallālacarite vallālaparicayo nāma prathamo 'dhyāyaḥ	iti-Ananda-Bawwa-prokte vallAla-carite vallAlaparicayaH nAma praTamaH aDyAyaH
   atha dvitīyo 'dhyāyaḥ |	aTa dvitIyaH aDyAyaH |
   purodantapurādhīśaṃ jigīṣuravanīpatiḥ /	purA-udanta-pura-aDISam jigIzuH-avanIpatiH /
   vittāḍhyādvallabhānandāgniṣkakoṭiṃ gṛhītavān // Valc_2,2.1 //	vitta-AXyAt-vallaBa-Ananda-agnizka-kowim gRhItavAn // Valt-_2,2.1 //
   vāraṃ vāraṃ jito rājā yato maṇipurāhave /	vAram vAram jitaH rAjA yatas maNi-pura-Ahave /
   tato 'bhiyānaṃ ghoraṃ sa karttumāsītsamudyataḥ // Valc_2,2.2 //	tatas aBiyAnam Goram sa karttum-AsIt-samudyataH // Valt-_2,2.2 //
   vallabhe 'dātukāme 'pi dṛṣṭvā saṃvidvyatikramam /	vallaBe adAtu-kAme api dRzwvA saMvid-vyatikramam /
   preṣayāmāsa dūtaṃ sa vaṇijāya mahātmane // Valc_2,2.3 //	prezayAmAsa dUtam sa vaNijAya mahAtmane // Valt-_2,2.3 //
   sa dūtaḥ saṅkakoṭasthaṃ vallabhaṃ samupāgataḥ /	sa dUtaH saFka-kowa-sTam vallaBam samupAgataH /
   vijñāpayāmāsa tadā vallālanṛpaśāsanam // Valc_2,2.4 //	vijQApayAmAsa tadA vallAla-nRpa-SAsanam // Valt-_2,2.4 //
   vallāla uvāca:	vallAlaH uvAca:
   yathāsmābhi rhi karttavyaṃ saṃyānaṃ prati kīkaṭam /	yaTA-asmABi rhi karttavyam saMyAnam prati kIkawam /
   vidhāya sumahodyogaṃ ṣaḍṅgabalasaṃyutaiḥ // Valc_2,2.5 //	viDAya su-mahA-udyogam zaxFga-bala-saMyutEH // Valt-_2,2.5 //
   tato vallabhacandraḥ sa gṛhṇan prāṇityalekhanam /	tatas vallaBa-candraH sa gRhNan prANitya-leKanam /
   preṣayan tu sārddhakoṭiṃ suvarṇamiti māciram // Valc_2,2.6 //	prezayan tu sArdDa-kowim suvarNam-iti mAciram // Valt-_2,2.6 //
   vallabha uvāca:	vallaBaH uvAca:
   amitavyayinā rājñā kālikā pātitā sakṛt /	amita-vyayinA rAjQA kAlikA pAtitA sakRt /
   kiṃ brūmo nṛpatiṃ naivaṃ mayā dṛṣṭaḥ satāṃ vidhiḥ // Valc_2,2.7 //	kim brUmaH nRpatim na-evam mayA dRzwaH satAm viDiH // Valt-_2,2.7 //
   kasmādvā samarodyogaḥ labdhasya paripālanam /	kasmAt-vA samara-udyogaH labDasya paripAlanam /
   rāṣṭrasyaivocitaṃ karttuṃ yuddhametadakāraṇam // Valc_2,2.8 //	rAzwrasya-eva-ucitam karttum yudDam-etat-akAraNam // Valt-_2,2.8 //
   tyajyatām grāṁvārabuddhiḥ prajānāṃ hitakāmyayā /	tyajyatAm grAṁvAra-budDiH prajAnAm hita-kAmyayA /
   prajākṣayakaraṃ yuddhamadharmmyaṃ nirayapradam // Valc_2,2.9 //	prajA-kzaya-karam yudDam-aDarmmyam niraya-pradam // Valt-_2,2.9 //
   yadṛcchācāro nṛpatī rājadharmmaṃ na paśyati /	yadRcCA-AcAraH nRpatiH rAja-Darmmam na paSyati /
   arakṣaṇe mahaddoṣaḥ kiṃ guṇo rāṣṭravarddhanaiḥ // Valc_2,2.10 //	arakzaNe mahat-dozaH kim guNaH rAzwra-vardDanEH // Valt-_2,2.10 //
   kṣetriyaṃ bhagavadbhaktamathavā muṣalaṃ dhanuḥ /	kzetriyam Bagavat-Baktam-aTavA muzalam DanuH /
   na ko 'pi puruṣaḥ karttuṃ kadācidbhavati prabhuḥ // Valc_2,2.11 //	na kaH api puruzaH karttum kadAcid-Bavati praBuH // Valt-_2,2.11 //
   arakṣitvā prajā rājā kevalaṃ valimādadat /	arakzitvA prajAH rAjA kevalam valimAdadat /
   ayaśo mahadāpnoti nirayañcaiva gacchati // Valc_2,2.12 //	ayaSaH mahat-Apnoti nirayaQca-eva gacCati // Valt-_2,2.12 //
   ityāhuḥ kośātakinaḥ kiṃ rājanayacarccayā /	iti-AhuH koSAtakinaH kim rAjanaya-carccayA /
   rājanīti rhi vijñeyaṃ śatrūṇāṃ parimardanam // Valc_2,2.13 //	rAjanI-iti rhi vijQeyam SatrUNAm parimardanam // Valt-_2,2.13 //
   athavā vigrahairyasmāt pīḍyante 'smadvidhā janāḥ /	aTavA vigrahEH-yasmAt pIxyante asmadviDAH janAH /
   ulapā iva sāmānyā bravīmi tena hetunā // Valc_2,2.14 //	ulapAH iva sAmAnyA bravImi tena hetunA // Valt-_2,2.14 //
   yadi syānnṛpati rddadyāt karādānasamanvitam /	yadi syAt-nRpati rddadyAt kara-AdAna-samanvitam /
   ādhitve harikelīyaṃ ṛṇaṃ dātuṃ tadotsahe // Valc_2,2.15 //	ADi-tve harikelIyam RNam dAtum tadA-utsahe // Valt-_2,2.15 //
   tasya tadbhāṣitaṃ sarvvaṃ sa dūtaḥ śrāntavāhanaḥ /	tasya tat-BAzitam sarvvam sa dUtaH SrAnta-vAhanaH /
   vikramaṃ puramāgatya vallālāya nyavedayat // Valc_2,2.16 //	vikramam puram-Agatya vallAlAya nyavedayat // Valt-_2,2.16 //
   etacchrutvātha sandeśaṃ vallālaḥ pṛthivīpatiḥ /	etat-SrutvA-aTa sandeSam vallAlaH pRTivIpatiH /
   manyunā sa prajajvāla kuṭaṅko vahninā yathā // Valc_2,2.17 //	manyunA sa prajajvAla kuwaFkaH vahninA yaTA // Valt-_2,2.17 //
   tadāsya kopatāmrāsyāt susrāva svedaśambaram /	tadA-asya kopa-tAmra-AsyAt susrAva sveda-Sambaram /
   agnisaṃyogataḥ svinnadahyamānendhanād yathā // Valc_2,2.18 //	agni-saMyogataH svinna-dahyamAna-inDanAt yaTA // Valt-_2,2.18 //
   vallabhe jrātasaṃroṣo nirddoṣeṣu vaṇikṣvapi /	vallaBe jrAta-saMrozaH nirddozezu vaNikzu-api /
   kruddho bhūtvā sa vallālaḥ cakāra kadanaṃ bhṛśam // Valc_2,2.19 //	krudDaH BUtvA sa vallAlaH cakAra kadanam BRSam // Valt-_2,2.19 //
   śulkādānamiṣeṇāpi jahāra vaṇijāṃ balāt /	SulkA-dAna-mizeNA-api jahAra vaNijAm balAt /
   vyavahāre dhṛtaṃ vastu keṣāñcit krośatāmapi // Valc_2,2.20 //	vyavahAre DRtam vastu kezAQcid kroSatAm-api // Valt-_2,2.20 //
   asavarṇāvivāhastu niṣiddhopi kalau yuge /	asavarNA-vivAhaH-tu nizidDopi kalO yuge /
   govindāḍhyasya kanyāṃ sa jahāra vaṇijo balāt // Valc_2,2.21 //	govinda-AXyasya kanyAm sa jahAra vaNijaH balAt // Valt-_2,2.21 //
   naharddevo 'pi sauvarṇādanudarśaṃ cakāra ha /	na-har-ddevaH api sOvarNAt-anudarSam cakAra ha /
   kulavṛddhaiḥ sahāgatya nāpi pratyagrahīcca tam // Valc_2,2.22 //	kula-vRdDEH saha-Agatya na-api pratyagrahIt-ca tam // Valt-_2,2.22 //
   tataḥ sa mantrayan rājā gūḍhṃ cāṭuviṭaiḥ saha /	tatas sa mantrayan rAjA gUXm cAwu-viwEH saha /
   pīḍayāmāsa vaṇijo dūtañcedamuvāca ha // Valc_2,2.22 //	pIxayAmAsa vaNijaH dUtaQca-idam-uvAca ha // Valt-_2,2.22 //
   vallāla uvāca:	vallAlaH uvAca:
   suvarṇā vaṇijo rāṣṭre duḥśīlā dhanagarvvitāḥ /	suvarNAH vaNijaH rAzwre duHSIlAH Dana-garvvitAH /
   brāhmaṇān te tūlayanti brahmakṣatrañca māmapi // Valc_2,2.23 //	brAhmaNAn te tUlayanti brahma-kzatraQca mAm-api // Valt-_2,2.23 //
   vallabhānandanāmā ca vaṇiggaṇamahattaraḥ /	vallaBa-Ananda-nAmA ca vaNiggaNa-mahattaraH /
   aśiṣṭaḥ kulajanmanyo dāmbhikaśca viśeṣataḥ // Valc_2,2.24 //	aSizwaH kula-janmanyaH dAmBikaH-ca viSezataH // Valt-_2,2.24 //
   ityādīn suvahūn doṣānāropya paṇyajīviṣu /	ityAdIn su-vahUn dozAn-Aropya paNya-jIvizu /
   vallabhāya saṅkakoṭe rājā dūtaṃ vyasarjayat // Valc_2,2.25 //	vallaBAya saFka-kowe rAjA dUtam vyasarjayat // Valt-_2,2.25 //
   āsedhaṃ vipulaṃ cakre bhayaṃ maitraṃ ca darśayan /	AseDam vipulam cakre Bayam mEtram ca darSayan /
   yena kena prakāreṇa taṃ vaśīkaraṇecchayā // Valc_2,2.26 //	yena kena prakAreNa tam vaSIkaraNa-icCayA // Valt-_2,2.26 //
   tadādade dviguṇitamanyāyena karaṃ bharam /	tad-Adade dvi-guNitam-anyAyena karam Baram /
   māddādāvāharacchulkamasakṛcchaulkikacchalāt // Valc_2,2.27 //	mAddAdO=-Aharat-Sulkam-asakRt-SOlkikacCalAt // Valt-_2,2.27 //
   ityānandabhaṭṭaprokte vallālacarite vaṇigāvarṣaṇaṃ nāma dvitīyo 'dhyāyaḥ /	iti-Ananda-Bawwa-prokte vallAla-carite vaNigAvarzaNam nAma dvitIyaH aDyAyaH /
   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   ekadāruhya javanamaśvaṃ rājā yadṛcchayā /	ekadA-Aruhya javanam-aSvam rAjA yadRcCayA /
   prayayau dhavaleśvaryyāstīn rucirakānanam // Valc_2,3.1 //	prayayO DavaleSvaryyAH-tIn rucira-kAnanam // Valt-_2,3.1 //
   upakūleṣu ramyeṣu vaneṣu saikateṣu ca /	upakUlezu ramyezu vanezu sEkatezu ca /
   bhramamāṇo dadarśāsau nadītīravicāriṇīm // Valc_2,3.2 //	BramamANaH dadarSa-asO nadI-tIra-vicAriNIm // Valt-_2,3.2 //
   varttulau sphuṭakeśorau dṛḍhāvaviralau kucau /	varttulO sPuwa-keSa-UrO dRXa-avaviralO kucO /
   lajjayā vasanāntena chādayantīṃ sulocanām // Valc_2,3.3 //	lajjayA vasana-antena CAdayantIm su-locanAm // Valt-_2,3.3 //
   sukeśāṃ śuddhadaśanāṃ bālāṃ sarasijānanām /	sukeSAm SudDa-daSanAm bAlAm sarasija-AnanAm /
   tanvaṅgīṃ sukomalāṅgīṃ sunāsāṃ mṛduhāsinīm // Valc_2,3.4 //	tanvaFgIm su-komala-aFgIm su-nAsAm mRdu-hAsinIm // Valt-_2,3.4 //
   vṛhannitambavimbāḍhyāṃ sukapolāṃ manoharām /	vRhannitamba-vimba-AXyAm su-kapolAm manoharAm /
   sa hitāmekayā sakhyā sthalajāmiva padminīm // Valc_2,3.5 //	sa hitAm-ekayA saKyA sTala-jAm-iva padminIm // Valt-_2,3.5 //
   tasyāḥ paramakāminyāḥ lalitādvadanāmbujāt /	tasyAH parama-kAminyAH lalitAt-vadana-ambujAt /
   apivallāvaṇyarasaṃ rājño nayanaṣaṭpadaḥ // Valc_2,3.6 //	api-vat-lAvaNya-rasam rAjQaH nayana-zawpadaH // Valt-_2,3.6 //
   unmādanakaṭākṣeṇa vividdhāṅgo mahīpatiḥ /	unmAdana-kawAkzeNa vividDa-aFgaH mahIpatiH /
   tāṃ vilokya yayau tūrṇaṃ manmathasya vidheyatām // Valc_2,3.7 //	tAm vilokya yayO tUrNam manmaTasya viDeya-tAm // Valt-_2,3.7 //
   upaprayāya suśroṇiṃ sa tāṃ padmanibhekṣaṇām /	upaprayAya suSroNim sa tAm padma-niBa-IkzaNAm /
   paśyanneva nirnimeṣaṃ tiṣṭhantīṃ vākyamabravīt // Valc_2,3.8 //	paSyan=-eva nirnimezam tizWantIm vAkyam-abravIt // Valt-_2,3.8 //
   rājovāca:	rAjA-uvAca:
   netreṇa nīlakamalaṃ kamalaṃ mukhena	netreNa nIla-kamalam kamalam muKena
   kundena dantamadhareṇa supakvavimbam /	kundena dantam-aDareNa su-pakva-vimbam /
   gātreṇa campakadalaṃ paribhūya bhāsi	gAtreNa campaka-dalam pariBUya BAsi
   kā tvaṃ sarittaṭavane vanadevateva // Valc_2,3.9 //	kA tvam sarit-tawa-vane vana-devatA-iva // Valt-_2,3.9 //
   sāmantasaṅghaparisevitapādapadmo	sAmanta-saFGa-parisevita-pAda-padmaH-
   vaidhavyakāraṇavidhiḥ parasundarīṇām /	vEDavya-kAraNa-viDiH para-sundarINAm /
   vallālasenanṛpatistava kundadanti	vallAlasena-nRpatiH-tava kundadanti
   yāto vidheyaviṣayaḥ kuru netrapātam // Valc_2,3.10 //	yAtaH viDeya-vizayaH kuru netra-pAtam // Valt-_2,3.10 //
   tacchrutvā jātarāgā sā bhāvamāvṛṇvatī tadā /	tat-SrutvA jAta-rAgA sA BAvam-AvRNvatI tadA /
   kiñcidavāṅmukhī prāha nṛpatiṃ mṛdususvanā // Valc_2,3.11 //	kiQcid-avAFmuKI prAha nRpatim mRdu-su-svanAH // Valt-_2,3.11 //
   kanyovāca:	kanyA-uvAca:
   ācakṣva maivamavanīśvara māṃ kumārīm /	Acakzva mA-evam-avanISvara mAm kumArIm /
   vaṃśaḥ kva te vidhubhavaḥ kvaca sambhavo me // Valc_2,3.12 //	vaMSaH kva te viDuBavaH kva-ca samBavaH me // Valt-_2,3.12 //
   carmmārakoritanayā viditāsmi loke /	carmmAra-koritanayA viditA-asmi loke /
   nāhaṃ tvayā hyakulajā pariṇetumarhā // Valc_2,3.13 //	na-aham tvayA hi-akula-jA pariNetum-arhAH // Valt-_2,3.13 //
   rājovāca:	rAjA-uvAca:
   kiṃ vyāmohayase bāle korikanyetivādinī /	kim vyAmohayase bAle korikanyA-iti-vAdinI /
   carmmāryyā īdṛśaṃ rūpaṃ kiṃ syāt bhuvanamohanam // Valc_2,3.14 //	carmmAryyAH IdRSam rUpam kim syAt Buvana-mohanam // Valt-_2,3.14 //
   carmmārasya nāsi kanyā pālakaḥ sa tu kevalam /	carmmArasya na-asi kanyA pAlakaH sa tu kevalam /
   rājakanyāsi bhadre tvaṃ dhruvameva na saṃśayaḥ // Valc_2,3.15 //	rAja-kanyA-asi Badre tvam Druvam-eva na saMSayaH // Valt-_2,3.15 //
   ko vā kāpuruṣo loke bhavedīdṛk varānane /	kaH vA kApuruzaH loke Bavet-IdRS varAnane /
   yastvāṃ nidhimiva prāpyāmūlyaṃ karagataṃ tyajet // Valc_2,3.16 //	yaH-tvAm niDim-iva prApya-amUlyam kara-gatam tyajet // Valt-_2,3.16 //
   kulajākulajā vāsi tvameva hṛdayapriyā /	kula-ja-Akula-jAH vA-asi tvam-eva hRdaya-priyA /
   āyāhi tvaṃ mayā sārddhaṃ tvāṃ nayāmi nijaṃ puram // Valc_2,3.17 //	AyAhi tvam mayA sArdDam tvAm nayAmi nijam puram // Valt-_2,3.17 //
   tacchratvā vacanaṃ tasya rājñaḥ sācīkṛtekṣaṇā /	tat-SratvA vacanam tasya rAjQaH sAcIkRta-IkzaNA /
   sā sakhīṃ nodayāmāsa vaktuṃ tatrocitaṃ tadā // Valc_2,3.18 //	sA saKIm nodayAmAsa vaktum tatra-ucitam tadA // Valt-_2,3.18 //
   sakhyuvāca:	saKI-uvAca:
   yadyasyāḥ pāṇiṃ vidhinā grahītuṃ kṛtaniścayaḥ /	yadi-asyAH pANim viDinA grahItum kRta-niScayaH /
   tadaināṃ naya te sārddhameṣātmānaṃ dadāti te // Valc_2,3.19 //	tadA-enAm naya te sArdDa-meza-AtmAnam dadAti te // Valt-_2,3.19 //
   rājovāca:	rAjA-uvAca:
   gāndharveṇa vidhānena iyaṃ prāptā svayaṃvarā /	gAnDarveNa viDAnena iyam prAptA svayaMvarAH /
   patitvena bhavāmyasyā iyaṃ me jīviteśvarī // Valc_2,3.20 //	pati-tvena BavAmi-asyAH iyam me jIvita-ISvarI // Valt-_2,3.20 //
   ityuktvā korikanyāṃ sa punareva jagāda tām /	iti-uktvA korikanyAm sa punar-eva jagAda tAm /
   sumukhīṃ paramānandasandohavikacānanaḥ // Valc_2,3.21 //	su-muKIm parama-Ananda-sandoha-vikaca-AnanaH // Valt-_2,3.21 //
   rājovāca:	rAjA-uvAca:
   cala mama sākaṃ bhava mama bhāryyā svārohedaṃ varayānam /	cala mama sAkam Bava mama BAryyA sva-Aroha-idam varayAnam /
   avarodhe svāminī ca bhava mama caivāntaḥpurāṇām // Valc_2,3.22 //	avaroDe svAminI ca Bava mama ca-eva-antaHpurANAm // Valt-_2,3.22 //
   ityuktvā smayamānastvāṃ vepamānāṃ samagrahīt /	iti-uktvA smayamAnaH-tvAm vepamAnAm samagrahIt /
