   maṅgalācaraṇam	maFgala-AcaraNam
   ātmaupamyena bhūtānāṃ dayāṃ kurvanti sādhavaḥ // Hit_1.12 //	Atma-Opamyena BUtAnAm dayAm kurvanti sADavaH // Hit-_1.12 //
   aparaṃ ca-	aparam ca-
   pratyākhyāne ca dāne ca sukha-duḥkhe priyāpriye |	pratyAKyAne ca dAne ca suKa--duHKe priya-apriye |
   ātmaupamyena puruṣaḥ pramāṇam adhigacchati // Hit_1.13 //	Atma-Opamyena puruzaH pramANam aDigacCati // Hit-_1.13 //
   anyac ca-	anyat ca-
   mātṛvat para-dāreṣu para-dravyeṣu loṣṭravat |	mAtR-vat para-dArezu para-dravyezu lozwra-vat |
   ātmavat sarva-bhūteṣu yaḥ paśyati sa paṇḍitaḥ // Hit_1.14 //	Atma-vat sarva-BUtezu yaH paSyati sa paNxitaH // Hit-_1.14 //
   tvaṃ ca atīva-durgataḥ | tena tat tubhyaṃ dātuṃ sa-yatno 'ham | tathā	tvam ca atIva--durgataH | tena tat tuByam dAtum sa-yatnaH aham | taTA
   coktam-	ca-uktam-
   daridrān bhara kaunteya mā prayaccheśvare dhanam |	daridrAn Bara kOnteya mA prayacCeSvare Danam |
   vyādhitasyauṣadhaṃ pathyaṃ nīrujasya kim auṣadhaiḥ // Hit_1.15 //	vyADitasya-OzaDam paTyam nIrujasya kim OzaDEH // Hit-_1.15 //
   anyat ca-	anyat ca-
   dātavyam iti yad dānaṃ dīyate'nupakāriṇi |	dAtavyam iti yat dAnam dIyate-anupakAriNi |
   deśe kāle ca pātre ca tad dānaṃ sāttvikaṃ viduḥ // Hit_1.16 //	deSe kAle ca pAtre ca tat dAnam sAttvikam viduH // Hit-_1.16 //
   tad atra sarasi snātvā suvarṇa-kaṅkaṇam idaṃ gṛhāṇa | tato yāvad asau	tat atra sarasi snAtvA suvarNa--kaFkaNam idam gRhANa | tatas yAvat asO
   tad-vacaḥ-pratīto lobhāt saraḥ snātuṃ praviṣṭaḥ, tāvan mahā-paṅke nimagnaḥ	tad--vacaH--pratItaH loBAt saraH snAtum pravizwaH, tAvat mahA--paFke nimagnaH
   palāyitum akṣamaḥ | taṃ paṅke patitaṃ dṛṣṭvā vyāghro 'vadat-ahaha	palAyitum akzamaH | tam paFke patitam dRzwvA vyAGraH avadat-ahaha
   mahā-paṅke patito 'si | atas tvām aham utthāpayāmi | ity uktvā śanaiḥ	mahA--paFke patitaH asi | atas tvAm aham utTApayAmi | iti uktvA SanEs-
   śanair upagamya tena vyāghreṇa dhṛtaḥ sa pāntho 'cintayat-	SanEs upagamya tena vyAGreNa DRtaH sa pAnTaH acintayat-
   na dharma-śāstraṃ paṭhatīti kāraṇaṃ	na Darma-SAstram paWati-iti kAraNam
   na cāpi vedādhyayanaṃ durātmanaḥ |	na ca-api veda-aDyayanam durAtmanaH |
   svabhāva evātra tathātiricyate	svaBAvaH eva-atra taTA-atiricyate
   yathā prakṛtyā madhuraṃ gavāṃ payaḥ // Hit_1.17 //	yaTA prakRtyA maDuram gavAm payaH // Hit-_1.17 //
   kiṃ ca-	kim ca-
   avaśendriya-cittānāṃ hasti-snānam iva kriyā |	avaSa-indriya--cittAnAm hasti--snAnam iva kriyA |
   durbhagābharaṇa-prāyo jñānaṃ bhāraḥ kriyāṃ vinā // Hit_1.18 //	durBaga-ABaraNa--prAyaH jQAnam BAraH kriyAm vinA // Hit-_1.18 //
   tan mayā bhadraṃ na kṛtam | yad atra mārātmake viśvāsaḥ kṛtaḥ | tathā	tat mayA Badram na kRtam | yat atra mAra-Atmake viSvAsaH kRtaH | taTA
   coktam-	ca-uktam-
   nadīnāṃ śastra-pāṇīnāṃ nakhināṃ śṛṅgiṇāṃ tathā |	nadInAm Sastra--pANInAm naKinAm SRFgiNAm taTA |
   viśvāso naiva kartavyaḥ strīṣu rāja-kuleṣu ca // Hit_1.19 //	viSvAsaH na-eva kartavyaH strIzu rAja--kulezu ca // Hit-_1.19 //
   aparaṃ ca-	aparam ca-
   sarvasya hi parīkṣyante svabhāvā netare guṇāḥ |	sarvasya hi parIkzyante svaBAvAH na-itare guNAH |
   atītya hi guṇān sarvān svabhāvo mūrdhni vartate // Hit_1.20 //	atItya hi guNAn sarvAn svaBAvaH mUrDni vartate // Hit-_1.20 //
   anyac ca-	anyat ca-
   sa hi gagana-vihārī kalmaṣa-dhvaṃsa-kārī	sa hi gagana--vihArI kalmaza--DvaMsa--kArI
   daśa-śata-kara-dhārī jyotiṣāṃ madhya-cārī |	daSa--Sata-kara--DArI jyotizAm maDya--cArI |
   vidhur api vidhi-yogād grasyate rāhuṇāsau	viDuH api viDi--yogAt grasyate rAhuNA-asO
   likhitam api lalāṭe projjhitaṃ kaḥ samarthaḥ // Hit_1.21 //	liKitam api lalAwe projJitam kaH samarTaH // Hit-_1.21 //
   iti cintayann evāsau vyāghreṇa dhṛtvā vyāpāditaḥ khāditaś ca | ato 'haṃ	iti cintayan eva-asO vyAGreNa DRtvA vyApAditaH KAditaH ca | atas aham
   bravīmi-kaṅkaṇasya tu lobhenety ādi | ata eva sarvathāvicāritaṃ karma na	bravImi-kaFkaNasya tu loBena-iti Adi | atas eva sarvaTA-avicAritam karma na
   kartavyam iti | yataḥ-	kartavyam iti | yatas--
   sujīrṇam annaṃ suvicakṣaṇaḥ sutaḥ	su-jIrNam annam su-vicakzaNaH sutaH
   suśāsitā strī nṛpatiḥ susevitaḥ |	suSAsitA strI nRpatiH su-sevitaH |
   sucintya coktaṃ suvicārya yat kṛtaṃ	su-cintya ca-uktam su-vicArya yat kRtam
   sudīrgha-kāle'pi na yāti vikriyām // Hit_1.22 //	su-dIrGa--kAle-api na yAti vikriyAm // Hit-_1.22 //
   etad vacanaṃ śrutvā kaścit kapotaḥ sa-darpam āha-āḥ ! kim evam ucyate ?	etat vacanam SrutvA kaScid kapotaH sa-darpam Aha-AH ! kim evam ucyate ?
   vṛddhasya vacanaṃ grāhyam āpat-kāle hy upasthite |	vRdDasya vacanam grAhyam Apat--kAle hi upasTite |
   sarvatraivaṃ vicāre ca bhojane'pi pravartatām // Hit_1.23 //	sarvatra-evam vicAre ca Bojane-api pravartatAm // Hit-_1.23 //
   yataḥ-	yatas--
   śaṅkābhiḥ sarvam ākrāntam annaṃ pānaṃ ca bhūtale |	SaFkABiH sarvam AkrAntam annam pAnam ca BU-tale |
   pravṛttiḥ kutra kartavyā jīvitavyaṃ kathaṃ na vā ? // Hit_1.24 //	pravRttiH kutra kartavyA jIvitavyam kaTam na vA ? // Hit-_1.24 //
   yathā coktam-	yaTA ca-uktam-
   īrṣyī ghṛṇī tv asantuṣṭaḥ krodhano nitya-śaṅkitaḥ |	IrzyI GRNI tu asantuzwaH kroDanaH nitya--SaFkitaH |
   para-bhāgyopajīvī ca ṣaḍ ete nitya-duḥkhitāḥ // Hit_1.25 //	para-BAgya-upajIvI ca zaw ete nitya--duHKitAH // Hid-_1.25 //
   etac chrutvā taṇḍul-kaṇa-lobhena nabho-maṇḍalād avatīryas arve kapotās	etat SrutvA taNxul--kaNa-loBena naBo--maNxalAt avatIryaH arve kapotAH-
   tatropaviṣṭāḥ | yataḥ-	tatra-upavizwAH | yatas--
   sumahānty api śāstrāṇi dhārayanto bahu-śrutāḥ |	su-mahAnti api SAstrANi DArayantaH bahu-SrutAH |
   chettāḥ saṃayānāṃ ca kliśyante lobha-mohitāḥ // Hit_1.26 //	CettAH saMayAnAm ca kliSyante loBa--mohitAH // Hit-_1.26 //
   anyac ca-	anyat ca-
   lobhāt krodhaḥ prabhavati lobhāt kāmaḥ prajāyate |	loBAt kroDaH praBavati loBAt kAmaH prajAyate |
   lobhān mohaś ca nāśaś ca lobhaḥ pāpasya kāraṇam // Hit_1.27 //	loBAt mohaH ca nASaH ca loBaH pApasya kAraNam // Hit-_1.27 //
   anyac ca-	anyat ca-
   asaṃbhavaṃ hema-mṛgasya janma	asaMBavam hema--mRgasya janma
   tathāpi rāmo lulubhe mṛgāya |	taTA-api rAmaH luluBe mRgAya |
   prāyaḥ samāpanna-vipatti-kāle	prAyas samApanna--vipatti-kAle
   dhiyo 'pi puṃsāṃ malinā bhavanti // Hit_1.28 //	DiyaH api puMsAm malinAH Bavanti // Hit-_1.28 //
   anantaraṃ te sarve jāla-nibaddhā babhūvuḥ, tato yasya vacanāt	anantaram te sarve jAla--nibadDAH baBUvuH, tatas yasya vacanAt-
   tatrāvalambitās taṃ sarve tiraskurvanti sma | yataḥ,	tatra-avalambitAH tam sarve tiraskurvanti sma | yatas-,
   na gaṇasyāgrato gacchet siddhe kārye samaṃ phalam |	na gaNasya-agratas gacCet sidDe kArye samam Palam |
   yadi kārya-vipattiḥ syān mukharas tatra hanyate // Hit_1.29 //	yadi kArya-vipattiH syAt muKaraH tatra hanyate // Hid-_1.29 //
   tasya tiraskāraṃ śrutvā citragrīva uvāca-nāyam asya doṣaḥ, yataḥ	tasya tiraskAram SrutvA citragrIvaH uvAca-na-ayam asya dozaH, yatas-
   āpadām āpatantīnāṃ hito 'py āyāti hetutām |	ApadAm ApatantInAm hitaH api AyAti hetu-tAm |
   mātṛ-jaṅghā hi vatsasya stambhī-bhavati bandhane // Hit_1.30 //	mAtR-jaFGAH hi vatsasya stamBI--Bavati banDane // Hit-_1.30 //
   anyac ca-	anyat ca-
   sa bandhur yo vipannānām āpad-uddharaṇa-kṣamaḥ |	sa banDuH yaH vipannAnAm Apad--udDaraNa-kzamaH |
   na tu bhīta-paritrāṇa-vastūpālambha-paṇḍitaḥ // Hit_1.31 //	na tu BIta--paritrANa---vastu-upAlamBa--paNxitaH // Hid-_1.31 //
   vipat-kāle vismaya eva kāpuruṣa-lakṣaṇam | tad atra dhairyam avalambya	vipat--kAle vismayaH eva kApuruza--lakzaNam | tat atra DEryam avalambya
   pratīkāraś cintyatām, yataḥ-	pratIkAraH cintyatAm, yatas--
   vipadi dhairyam athābhyudaye kṣamā	vipadi DEryam aTa-aByudaye kzamA
   sadasi vākya-paṭutā yudhi vikramaḥ |	sadasi vAkya--pawu-tA yuDi vikramaH |
   yaśasi cābhirucir vyasanaṃ śrutau	yaSasi ca-aBiruciH vyasanam SrutO
   prakṛti-siddham idaṃ hi mahātmanām // Hit_1.32 //	prakRti-sidDam idam hi mahAtmanAm // Hit-_1.32 //
   sampadi yasya na harṣo vipadi viṣādo raṇe ca bhīrutvam |	sampadi yasya na harzaH vipadi vizAdaH raNe ca BIru-tvam |
   taṃ bhuvana-traya-tilakaṃ janayati jananī sutaṃ viralam // Hit_1.33 //	tam Buvana-traya-tilakam janayati jananI sutam viralam // Hit-_1.33 //
   anyac ca-	anyat ca-
   ṣaḍ-doṣāḥ puruṣeṇeha hātavyā bhūtim icchatā |	zax-dozAH puruzeNa-iha hAtavyAH BUtim icCatA |
   nidrā tandrā bhayaṃ krodha ālasyaṃ dīrgha-sūtratā // Hit_1.34 //	nidrA tandrA Bayam kroDaH Alasyam dIrGa--sUtra-tA // Hid-_1.34 //
   idānīm api evaṃ kriyatām-sarvair ekacittībhūya jālam ādāya uḍḍīyatām |	idAnIm api evam kriyatAm-sarvEH ekacittIBUya jAlam AdAya uxxIyatAm |
   yataḥ-	yatas--
   alpānām api vastūnāṃ saṃhatiḥ kārya-sādhikā |	alpAnAm api vastUnAm saMhatiH kArya--sADikA |
   tṛṇair guṇatvam āpannair badhyante matta-dantinaḥ // Hit_1.35 //	tRNEH guNa-tvam ApannEH baDyante matta--dantinaH // Hid-_1.35 //
   saṃhatiḥ śreyasī puṃsāṃ svakulair alpakair api |	saMhatiH SreyasI puMsAm sva-kulEH alpakEH api |
   tuṣeṇāpi parityaktā na prarohanti taṇḍulāḥ // Hit_1.36 //	tuzeNa-api parityaktA na prarohanti taNxulAH // Hid-_1.36 //
   iti vicitya pakṣiṇaḥ sarve jālam ādāya utpatitāḥ | anantaraṃ ca vyādhaḥ	iti vicitya pakziNaH sarve jAlam AdAya utpatitAH | anantaram ca vyADaH
   sudūrāj jālāpahārakāṃs tān avalokya paścād dhāvito 'cintayat-	su-dUrAt jAla-apahArakAn tAn avalokya paScAt DAvitaH acintayat-
   saṃhatās tu haranty ete mama jālaṃ vihaṅgamāḥ |	saMhatAH tu haranti ete mama jAlam vihaFgamAH |
   yadā tu nipatiṣyanti vaśam eṣyanti me tadā // Hit_1.37 //	yadA tu nipatizyanti vaSam ezyanti me tadA // Hit-_1.37 //
   tatas teṣu cakṣur viṣayam atikrānteṣu pakṣiṣu sa vyādho nivṛttaḥ | atha	tatas tezu cakzuH vizayam atikrAntezu pakzizu sa vyADaH nivRttaH | aTa
   lubdhakaṃ nivṛttaṃ dṛṣṭvā kapotā ūcuḥ-svāmin ! kim idānīṃ kartum ucitam ?	lubDakam nivRttam dRzwvA kapotAH UcuH-svAmin ! kim idAnIm kartum ucitam ?
   citragrīva uvāca-	citragrIvaH uvAca-
   mātā mitraṃ pitā ceti svabhāvāt tritayaṃ hitam | kārya-kāraṇataś cānye	mAtA mitram pitA ca-iti svaBAvAt tritayam hitam | kArya--kAraNataH ca-anye
   bhavanti hita-buddhayaḥ // Hit_1.38 //	Bavanti hita--budDayaH // Hid-_1.38 //
   tan me mitraṃ hiraṇyako nāma mūṣika-rājo gaṇḍakī-tīre citra-vane nivasati	tat me mitram hiraNyakaH nAma mUzika-rAjaH gaNxakI--tIre citra-vane nivasati
   | so 'smākaṃ pāśāṃś chetsyati ity ālocya sarve hiraṇyaka-vivara-samīpaṃ	| saH asmAkam pASAn Cetsyati iti Alocya sarve hiraNyaka-vivara--samIpam
   gatāḥ | hiraṇyakaś ca sarvadā apāya-śaṅkayā śata-dvāraṃ vivaraṃ kṛtvā	gatAH | hiraNyakaH ca sarvadA apAya--SaFkayA Sata-dvAram vivaram kRtvA
   nivasati | tato hiraṇyakaḥ kapotāvapāta-bhayāc cakitaḥ tūṣṇīṃ sthitaḥ |	nivasati | tatas hiraNyakaH kapotO=-apAta--BayAt cakitaH tUzNIm sTitaH |
   citragrīva uvāca-sakhe hiraṇyaka ! katham asmān na sambhāṣase ?	citragrIvaH uvAca--saKe hiraNyakaH ! kaTam asmAt na samBAzase ?
   tato hiraṇyakas tad-vacanaṃ pratyabhijñāya sa-sambhramaṃ bahir niḥsṛtya	tatas hiraNyakaH tat--vacanam pratyaBijQAya sa--samBramam bahis niHsRtya
   abravīt-āḥ ! puṇyavān asmi priya-suhṛn me citragrīvaḥ samāyātaḥ |	abravIt-AH ! puNyavAn asmi priya-suhRd me citragrIvaH samAyAtaH |
   yasya mitreṇa sambhāṣo yasya mitreṇa saṃsthitiḥ |	yasya mitreNa samBAzaH yasya mitreNa saMsTitiH |
   yasya mitreṇa saṃlāpas tato nāstīha puṇyavān // Hit_1.39 //	yasya mitreNa saMlApaH tatas na-asti-iha puNyavAn // Hit-_1.39 //
   atha pāśa-baddhāṃś caitān dṛṣṭvā sa-vismayaḥ kṣaṇaṃ sthitvā uvāca-sakhe !	aTa pASa-badDAn ca-etAn dRzwvA sa-vismayaH kzaNam sTitvA uvAca--saKe !
   kim etat ?	kim etat ?
   citragrīva uvāca-sakhe ! asmākaṃ prāktana-janma-karmaṇaḥ phalam etat |	citragrIvaH uvAca--saKe ! asmAkam prAktana--janma-karmaNaH Palam etat |
   yasmāc ca yena ca yathā ca yadā ca yac ca	yasmAt ca yena ca yaTA ca yadA ca yat ca
   yāvac ca yatra ca śubhāśubham ātma-karma |	yAvat ca yatra ca SuBa-aSuBam Atma--karma |
   tasmāc ca tena ca tathā ca tadā ca tac ca	tasmAt ca tena ca taTA ca tadA ca tat ca
   tāvac ca tatra ca vidhātṛ-vaśād upaiti // Hit_1.40 //	tAvat ca tatra ca viDAtR-vaSAt upEti // Hit-_1.40 //
   rāga-śoka-parītāpa-bandhana-vyasanāni ca | ātmāparādha-vṛkṣāṇāṃ phalāny	rAga-Soka-parIta-apa-banDana--vyasanAni ca | Atma-aparADa--vRkzANAm PalAni-
   etāni dehinām // Hit_1.41 //	etAni dehinAm // Hit-_1.41 //
   etac chrutvā hiraṇyakaś citragrīvasya bandhanaṃ chettuṃ satvaram	etat SrutvA hiraNyakaH citragrIvasya banDanam Cettum satvaram
   upasarpati | tatra citragrīva uvāca-mitra ! mā maivaṃ kuru | prathamam	upasarpati | tatra citragrIvaH uvAca-mitra ! mA mA-evam kuru | praTamam
   asmad-āśritānām eteṣāṃ tāvat pāśāṃś chindhi | mama pāśaṃ paścāc chetsyasi	asmad--ASritAnAm etezAm tAvat pASAn CinDi | mama pASam paScAt Cetsyasi
   hiraṇyako 'py āha-aham alpa-śaktiḥ | dantāś ca me komalāḥ | tad eteṣāṃ	hiraNyakaH api Aha-aham alpa--SaktiH | dantAH ca me komalAH | tat etezAm
   pāśāṃś chettuṃ kathaṃ samartho bhavāmi ? tat yāvan me dantā na truṭyanti,	pASAn Cettum kaTam samarTaH BavAmi ? tat yAvat me dantAH na truwyanti,
   tāvat tava pāśaṃ chinadmi | tad-anantaram apy eteṣāṃ bandhanaṃ yāvat	tAvat tava pASam Cinadmi | tad--anantaram api etezAm banDanam yAvat-
   śakyaṃ chetsyāmi |	Sakyam CetsyAmi |
   citragrīva uvāca-astv evam | tathāpi yathā-śakti bandhanam eteṣāṃ khaṇḍaya	citragrIvaH uvAca-aH-tu evam | taTA-api yaTA-Sakti banDanam etezAm KaNxaya
   hiraṇyakenoktam-ātma-parityāgena yadāśritānāṃ parirakṣaṇaṃ tan na	hiraNyakena-uktam-Atma--parityAgena yad-ASritAnAm parirakzaNam tat na
   nīti-vedināṃ sammatam | yataḥ-	nIti-vedinAm sammatam | yatas--
   āpad-arthe dhanaṃ rakṣed dārān rakṣed dhanair api |	Apad--arTe Danam rakzet dArAn rakzet DanEH api |
   ātmānaṃ satataṃ rakṣed dārair api dhanair api // Hit_1.42 //	AtmAnam satatam rakzet dArEH api DanEH api // Hit-_1.42 //
   anyac ca--	anyat ca--
   dharmārtha-kāma-mokṣāṇāṃ prāṇāḥ saṃsthita-hetavaḥ |	Darma-arTa-kAma--mokzANAm prANAH saMsTita-hetavaH |
   tān nighnatā kiṃ na hataṃ rakṣatā kiṃ na rakṣitam // Hit_1.43 //	tAn niGnatA kim na hatam rakzatA kim na rakzitam // Hid-_1.43 //
   citragrīva uvāca-sakhe ! nītis tāvad īdṛśy eva, kintv aham asmad-āśritānāṃ	citragrIvaH uvAca--saKe ! nItiH tAvat IdRSI eva, kintu aham asmad--ASritAnAm
   duḥkhaṃ soḍhuṃ sarvathāsamarthas tenedaṃ bravīmi | yataḥ-	duHKam soXum sarvaTA-samarTaH tena-idam bravImi | yatas--
   dhanāni jīvitaṃ caiva parārthe prājña utsṛjet |	DanAni jIvitam ca-eva para-arTe prAjQaH utsRjet |
   sannimitte varaṃ tyāgo vināśe niyate sati // Hit_1.44 //	sannimitte varam tyAgaH vinASe niyate sati // Hit-_1.44 //
   ayam aparaś cāsādhāraṇo hetuḥ |	ayam aparaH ca-asADAraNaH hetuH |
   jāti-dravya-balānāṃ ca sāmyam eṣāṃ mayā saha |	jAti-dravya-balAnAm ca sAmyam ezAm mayA saha |
   mat-prabhutva-phalaṃ brūhi kadā kiṃ tad bhaviṣyati // Hit_1.45 //	mat--praBu-tva--Palam brUhi kadA kim tat Bavizyati // Hit-_1.45 //
   anyac ca-	anyat ca-
   vinā vartanam evaite na tyajanti mamāntikam |	vinA vartanam eva-ete na tyajanti mama-antikam |
   tan me prāṇa-vyayenāpi jīvayaitān mamāśritān // Hit_1.46 //	tat me prANa--vyayena-api jIvaya-etAn mama-ASritAn // Hit-_1.46 //
   kiṃ ca-	kim ca-
   māṃsa-mūtra-purīṣāsthi-pūrite'tra kalevare |	mAMsa--mUtra--purIza-asTi--pUrite-atra kalevare |
   vinaśvare vihāyāsthāṃ yaśaḥ pālaya mitra me // Hit_1.47 //	vinaSvare vihAya-AsTAm yaSaH pAlaya mitra me // Hid-_1.47 //
   aparaṃ ca paśya-	aparam ca paSya-
   yadi nityam anityena nirmalaṃ mala-vāhinā |	yadi nityam anityena nirmalam mala-vAhinA |
   yaśaḥ kāyena labhyeta tan na labdhaṃ bhaven nu kim // Hit_1.48 //	yaSaH kAyena laByeta tat na labDam Bavet nu kim // Hit-_1.48 //
   yataḥ-	yatas--
   śarīrasya guṇānāṃ ca dūram atyantam antaram |	SarIrasya guNAnAm ca dUram atyantam antaram |
   śarīraṃ kṣaṇa-vidhvaṃsi kalpānta-sthāyino guṇāḥ // Hit_1.49 //	SarIram kzaNa--viDvaMsi kalpa-anta--sTAyinaH guNAH // Hit-_1.49 //
   ity ākarṇya hiraṇyakaḥ prahṛṣṭa-manāḥ pulakitaḥ san abravīt-sādhu mitra !	iti AkarNya hiraNyakaH prahRzwa-manAH pulakitaH san abravIt--sADu mitra !
   sādhu | anenāśrita-vātsalyena trailokyasyāpi prabhutvaṃ tvayi yujyate |	sADu | anena-ASrita--vAtsalyena trElokyasya-api praBu-tvam tvayi yujyate |
   evam uktvā tena sarveṣāṃ kapotānāṃ bandhanāni chinnāni | tato hiraṇyakaḥ	evam uktvA tena sarvezAm kapotAnAm banDanAni CinnAni | tatas hiraNyakaH
   sarvān sādaraṃ sampūjya āha-sakhe citragrīva ! sarvathātra	sarvAn sa-Adaram sampUjya Aha-saKe citragrIva ! sarvaTA-atra
   jāla-bandhana-vidhau sati doṣam āśaṅkya ātmani avajñā na kartavyā | yataḥ-	jAla-banDana-viDO sati dozam ASaFkya Atmani avajQA na kartavyA | yatas--
   yo 'dhikād yojana-śatān paśyatīhāmiṣaṃ khagaḥ |	yaH aDikAt yojana-SatAn paSyati-iha-Amizam KagaH |
   sa eva prāpta-kālas tu pāśa-bandhaṃ na paśyati // Hit_1.50 //	saH eva prApta-kAlaH tu pASa-banDam na paSyati // Hit-_1.50 //
   aparaṃ ca-	aparam ca-
   śaśi-divākarayor graha-pīḍanaṃ	SaSi--divAkarayoH graha-pIxanam
   gaja-bhujaṅgamayor api bandhanam |	gaja--BujaFgamayoH api banDanam |
   matimatāṃ ca vilokya daridratāṃ	matimatAm ca vilokya daridra-tAm
   vidhir aho balavān iti me matiḥ // Hit_1.51 //	viDiH aho balavAn iti me matiH // Hit-_1.51 //
   anyac ca-	anyat ca-
   vyomaikānta-vihāriṇo 'pi vihagāḥ samprāpnuvanty āpadaṃ	vyoma-ekAnta--vihAriNaH api vihagAH samprApnuvanti Apadam
   badhyante nipuṇair agādha-salilān matsyāḥ samudrād api |	baDyante nipuNEH agADa--salilAn matsyAH samudrAt api |
   durnītaṃ kim ihāsti kiṃ sucaritaṃ kaḥ sthāna-lābhe guṇaḥ	durnItam kim iha-asti kim su-caritam kaH sTAna--lABe guNaH
   kālo hi vyasana-prasārita-karo gṛhṇāti dūrād api // Hit_1.52 //	kAlaH hi vyasana--prasArita-karaH gRhNAti dUrAt api // Hit-_1.52 //
   iti prabodhya ātithyaṃ kṛtvā āliṅgya ca tena sampreṣitaś citragrīvo 'pi	iti praboDya AtiTyam kRtvA AliFgya ca tena samprezitaH citragrIvaH api
   saparivāro yatheṣṭa-deśān yayau, hiraṇyako 'pi sva-vivaraṃ praviṣṭaḥ |	sa-parivAraH yaTA-izwa--deSAn yayO, hiraNyakaH api sva--vivaram pravizwaH |
   yāni kāni ca mitrāṇi kartavyāni śatāni ca |	yAni kAni ca mitrANi kartavyAni SatAni ca |
   paśya mūṣika-mitreṇa kapotā mukta-bandhanāḥ // Hit_1.53 //	paSya mUzika--mitreNa kapotAH mukta--banDanAH // Hid-_1.53 //
   atha laghu-patanaka-nāmā kākaḥ sarva-vṛttānta-darśī sāścaryam idam āha-aho	aTa laGu-patanaka-nAmA kAkaH sarva--vRttAnta-darSI sa-AScaryam idam Aha-aho
   hiraṇyaka ! ślāghyo 'si, ato 'ham api tvayā saha maitrīṃ kartum icchāmi |	hiraNyakaH ! SlAGyaH asi, atas aham api tvayA saha mEtrIm kartum icCAmi |
   atas tvaṃ māṃ maitryeṇānugrahītum arhasi | etac chrutvā hiraṇyako 'pi	atas tvam mAm mEtrI-eNa-anugrahItum arhasi | etat SrutvA hiraNyakaH api
   vivarābhyantarād āha-kas tvam ?	vivara-aByantarAt Aha-kaH tvam ?
   sa brūte-laghupatanaka-nāmā vāyaso 'ham | hiraṇyako vihasyāha-kā tvayā	sa brUtet-laGupatanaka-nAmA vAyasaH aham | hiraNyakaH vihasya-aha-kA tvayA
   saha maitrī ? yataḥ-	saha mEtrI ? yatas--
   yad yena yujyate loke budhas tat tena yojayet |	yat yena yujyate loke buDaH tat tena yojayet |
   aham annaṃ bhavān bhoktā kathaṃ prītir bhaviṣyati // Hit_1.54 //	aham annam BavAn BoktA kaTam prItiH Bavizyati // Hit-_1.54 //
   aparaṃ ca-	aparam ca-
   bhakṣya-bhakṣayoḥ prītir vipatteḥ kāraṇaṃ matam |	Bakzya--BakzayoH prItiH vipatteH kAraNam matam |
   śṛgālāt pāśabaddho 'sau mṛgaḥ kākena rakṣitaḥ // Hit_1.55 //	SRgAlAt pASa-badDaH asO mRgaH kAkena rakzitaH // Hit-_1.55 //
   vāyaso 'bravīt--katham etat ?	vAyasaH abravIt---kaTam etat ?
   hiraṇyakaḥ kathayati-	hiraNyakaH kaTayati-
   kathā 2	kaTA 2
   asti magadha-deśe campakavatī nāma araṇyānī | tasyāṃ cirāt mahatā snehena	asti magaDa-deSe campakavatI nAma araNyAnI | tasyAm cirAt mahatA snehena
   mṛga-kākau nivasataḥ | sa ca mṛgaḥ svecchayā bhrāmyan hṛṣṭa-puṣṭāṅgaḥ	mRga--kAkO nivasataH | sa ca mRgaH sva-icCayA BrAmyan hRzwa--puzwa-aFgaH
   kenacit śṛgālenāvalokitaḥ | taṃ dṛṣṭvā śṛgālo 'cintayat-āḥ ! katham	kenacid SRgAlena-avalokitaH | tam dRzwvA SRgAlaH acintayat-AH ! kaTam
   etan-māṃsaṃ sulalitaṃ bhakṣayāmi ? bhavatu, viśvāsaṃ tāvad utpādayāmi ity	etan--mAMsam su-lalitam BakzayAmi ? Bavatu, viSvAsam tAvat utpAdayAmi iti-
   ālocya upasṛtyābravīt-mitra ! kuśalaṃ te ?	Alocya upasRtya-abravIt-mitra ! kuSalam te ?
   mṛgeṇoktam-kas tvam ?	mRgeNa-uktam-kaH tvam ?
   sa brūte-kṣudra-buddhi-nāmā jambuko 'ham | atrāraṇye bandhu-hīno mṛtavat	sa brUte-kzudra-budDi-nAmA jambukaH aham | atra-araNye banDu--hInaH mRta-vat-
   ekākī nivasāmi | idānīṃ tvāṃ mitram āsādya punaḥ sa-bandhur jīva-lokaṃ	ekAkI nivasAmi | idAnIm tvAm mitram AsAdya punar sa-banDuH jIva--lokam
