   śikṣāsamuccayaḥ |	SikzAsamuccayaH |
   bodhisatvapraṇidhānenâparitrasyanâbhimukhenâkhedacittôtpādena bodhisatvaḥ	boDisatva-praNiDAnenâ-paritrasi-a-nâBimuKenâKeda-cittôt-pAdena boDisatvaH
   svahṛdayaṃ parityajan	sva-hRdayam parityajan
   yācanakebhyo dānavaśaśikṣitacittaḥ	yAcanakeByaH dAnava-SaSi-kzita-cittaH
   pāramitāniṣpādanacittaḥ	pAramitA-nizpAdana-cittaH
   sarvabodhisatvadānânuddhatasupratiṣṭhitacittaḥ |	sarva-boDisatva-dAnânudData-su-pratizWita-cittaH |
   adhiṣṭhānasarvayācanakapratimānanacittaḥ |	aDizWAna-sarva-yAcanaka-pratima-Anana-cittaH |
   adhyāśayaṃ pariśodhayamānaḥ |	aDyASayam pariSoDayamAnaH |
   sarvajagatparipācananidānaṃ mahāpraṇidhānaṃ pratipadyamāno	sarva-jagat-paripAcana-nidAnam mahA-praNiDAnam pratipadyamAnaH-
   bodhisatvacaryāyāṃ saṃvasamānaḥ sarvajñatāsaṃbhāraṃ saṃbharamāṇaḥ	boDisatva-caryAyAm saMvasamAnaH sarvajQa-tA-saMBAram saMBaramANaH
   praṇidhim ariñcan so 'tra yakṛtbukkāphupphuṣaṃ yācakebhyaḥ parityajan	praNiDim ariQcan saH atra yakRt-bukkAPu-pPuzam yAcakeByaH parityajan
   yācanakâbhiprasannayā	yAcana-kâBiprasannayA
   dṛṣṭyā	dRzwyA
   prasannaprītyākārair netrair bodhisatvaniryātena	prasanna-prIti-AkArEH netrEH boDisatva-niryAtena
   premṇâvyutthitamanasikāreṇa tyāgenâsārāt kāyāt	premNâ-vyutTita-manasikAreNa tyAgenâsArAt kAyAt-
   supratyavekṣitena sārâdānacittena śmaśānaparyantena	su-pratyavekzitena sArâdAna-cittena SmaSAna-paryantena
   kāyânusmṛtimanasikāreṇa vṛkaśṛgālaśvabhakṣyaṃ śarīraṃ pratyavekṣamāṇaḥ	kAyânusmRti-manasikAreNa vRka-SRgAla-Sva-Bakzyam SarIram pratyavekzamANaH
   parabhaktimanasikṛtayā |	para-Bakti-manasikRtayA |
   śarīrânityatayâpaviddhaśarīreṇa parabhaktacetanena	SarIrâ-nityatayâ-pavidDa-SarIreNa para-Bakta-cetanena
   evaṃ dharmamanasikāraprayukto bodhisatvas tān yācanakān	evam Darma-manasikAra-prayuktaH boDisatvaH tAn yAcanakAn
   animiṣaṃ prekṣamāṇâivaṃ cittam utpādayati |	animizam prekzamANâivam cittam utpAdayati |
   yadi câham etadyācanakasyâitaccharīrād antraṃ yakṛtbukkāphuṣphuṣaṃ dadyāṃ	yadi câham etat-yAcanakasyâitad-SarIrAt antram yakRt-bukkAPuzPuzam dadyAm
   yadi vā na dadyāṃ |	yadi vA na dadyAm |
   āyuḥkṣayaparyante nâiṣo-	AyuH-kzaya-paryante nâizo-
   [ Cambridge MS f18a ---> ]	[ Cambridge M f18aH ---> ]
   nityaḥ śmaśānaparyavasāna-	nityaH SmaSAna-paryavasAna-
   [ Bendall ed p26 ---> ]	[ Bet-dalt ed p26 ---> ]
   iti |	iti |
   sâivaṃ manasikārasaṃtoṣitena santānenâivaṃ dharmajñānenâśayena	sâivam manasikAra-saMtozitena santAnenâivam Darma-jQAnenâSayena
   kalyāṇamitrasaṃjñâdhiṣṭhitena	kalyANa-mitra-saMjQâ-DizWitena
   yācanakadarśanenâsārāt kāyāt sāram ādātukāmo dharmakāmatayā	yAcanaka-darSanenâsArAt kAyAt sAram AdAtu-kAmaH Darma-kAma-tayA
   svamāṃsān nakhaṃ parityajann eva tatkuśalamūlaṃ pariṇāmayatîty	sva-mAMsAn naKam parityajan eva tat-kuSala-mUlam pariNAmayatîti-
   ātmabhāvôtsargaṃ kṛtvā ||	Atma-BAvôt-sargam kRtvA ||
   bhogapuṇyôtsargo 'py atrâivôkteḥ |	Boga-puNyôtsargaH api atrâivôkteH |
   iti hi bodhisatvo nānādakṣiṇīyapratigrāhakeṣv anyânyapudgaladigāgateṣv	iti hi boDisatvaH nAnA-dakziNIya-pratigrAhakezu anyânya-pudgala-diS-Agatezu-
   aprameyakṛpaṇavanīpakeṣu	aprameya-kRpaNa-vanIpakezu
   bodhisatvaśravâgateṣu bodhisatvaśabdaṃ śrutvâgateṣu	boDisatva-Sravâ-gatezu boDisatva-Sabdam Srutvâ-gatezu
   bodhisatvapratyayâvakāśagateṣu bodhisatvadānapūrvaṃ praṇidhānaśruteṣu |	boDisatva-pratyayâ-vakASa-gatezu boDisatva-dAna-pUrvam praNiDAna-Srutezu |
   bodhisatvapraṇidhānacittanimantriteṣu |	boDisatva-praNiDAna-citta-nimantritezu |
   sarvatyāgamanasâbhilaṣiteṣu	sarva-tyAga-mana-sâBilazitezu
   tṛptayācanakapratimānanācetanâgatayācanakakṣamāpaṇacetano |	tRpta-yAcanaka-pratima-Anana-acetanâ-gata-yAcana-kakzamApaNa-cetanaH |
   mayâiva tatra diśaṃ gatvā yūyaṃ pratimānayitavyâbhaviṣyata yena yuṣmākam	mayâiva tatra diSam gatvA yUyam pratimA-AnayitavyâBavizyata yena yuzmAkam
   āgamanaklamo na syāt |	Agamana-klamaH na syAt |
   evaṃ samṛddhapraṇipātena kṣamayati sarvayācanakān	evam samRdDa-praNipAtena kzamayati sarva-yAcanakAn
   kṣamayitvā	kzamayitvA
   snāpayitvā viśrāmitaśarīrān kṛtvā tebhyo yadṛcchayôpakaraṇaṃ pratipādayati	snApayitvA viSrAmita-SarIrAn kRtvA teByaH yadRcCayôpakaraNam pratipAdayati
   yad idaṃ maṇirathān	yat idam maNi-raTAn
   jambudvīpakalyāṇakanyāratnaparipūrṇān	jambudvIpa-kalyANa-kanyA-ratna-paripUrNAn
   yad idaṃ suvarṇarathān	yat idam suvarNa-raTAn
   janapadaviśuddhakanyāratnaparipūrṇān |	janapada-viSudDa-kanyA-ratna-paripUrNAn |
   yad idaṃ vaiḍūryarathān vânukulagītavādyasaṃpravāditaparipūrṇān |	yat idam vExUrya-raTAn vânukula-gIta-vAdya-saMpravAdita-paripUrNAn |
   evaṃ sphaṭikarathān	evam sPawika-raTAn
   sumukhasuveśadhārisvalaṃkṛtarūpān	sumuKa-suveSa-DArisu-alaMkRta-rUpAn
   apratikūladarśanacaturakanyāratnaparipūrṇān iti |	apratikUla-darSana-catura-kanyA-ratna-paripUrNAn iti |
   tathâtrâiva deśitaṃ maṇirathān vā dadānaḥ	taTâtrâiva deSitam maNi-raTAn vA dadAnaH
   sarvaratnajālasaṃchannān ājāneyahastyupetān |	sarva-ratna-jAla-saMCannAn AjAneya-hasti-upetAn |
   [ Cambridge MS f18b ---> ]	[ Cambridge M f18B ---> ]
   savāhanān |	sa-vAhanAn |
   candanarathān dadāno ratnacakrarathyaprayuktān	candana-raTAn dadAnaH ratna-cakra-raTya-prayuktAn
   ratnasiṃhâsanapratiṣṭhitān yāvan nānāratnachatrasaṃchannavyūhān	ratna-siMhâsana-pratizWitAn yAvat nAnA-ratna-Catra-saMCanna-vyUhAn
   ratnavitānavitatasaṃchannān dhvajapatākâlaṃkṛtacaturdi-	ratna-vitAna-vitata-saMCannAn Dvaja-patAkâlaMkRta-catur-di-
   [ Bendall ed p27 ---> ]	[ Bet-dalt ed p27 ---> ]
   kkān	kkAn
   nānāgandhavidhūpita ... sāragandhânulepânuliptān |	nAnA-ganDa-viDUpitaH ... sAra-ganDâ-nulepâ-nuliptAn |
   sarvapuṣpavyūhâvakīrṇān kanyāśatasahasraratnasūtraprakarṣitān	sarva-puzpa-vyUhâ-vakIrNAn kanyA-Sata-sahasra-ratna-sUtra-prakarzitAn
   abhrāntagamanān abhrântasamavāhanaprayuktān |	aBra-anta-gamanAn aBrânta-sama-vAhana-prayuktAn |
   yāvad apratikūlamanojñapravātagandhān	yAvat apratikUla-manojQa-pravAta-ganDAn
   suduhitṛputravacanôpacāraprayuktān |	su-duhitR-putra-vacanô-pacAra-prayuktAn |
   vividhagandhacūrṇasambhṛtakṛtôpacārān iti ||	viviDa-ganDa-cUrNa-samBRta-kRtôpacArAn iti ||
   punar atrâivâha |	punar atrâivâha |
   ātmānaṃ ca sarvasatvānāṃ niryātayann upasthānaṃ vā	AtmAnam ca sarva-satvAnAm niryAtayan upasTAnam vA
   sarvabuddhānām upādadāno rājyaṃ vā parityajan	sarva-budDAnAm upAdadAnaH rAjyam vA parityajan
   paṭabhedakaṃ vā nagararājadhānīṃ sarvâlaṃkārabhūṣitāṃ yathârhaṃ vā	pawa-Bedakam vA nagara-rAjaDAnIm sarvâlaMkAra-BUzitAm yaTârham vA
   yācanakeṣu sarvaparivāraṃ parityajan	yAcanakezu sarva-parivAram parityajan
   putraduhitṛbhāryāṃ vā dadāno yācanakebhyaḥ sarvagṛhaṃ vâpasṛjan |	putra-duhitR-BAryAm vA dadAnaH yAcanakeByaH sarva-gRham vâpasRjan |
   yāvat sarvôpabhogaparibhogān vā dadānaḥ |	yAvat sarvôpaBoga-pariBogAn vA dadAnaH |
   evaṃ pānadānaṃ rasadānam api bodhisatvo dadāno vividhān	evam pAna-dAnam rasa-dAnam api boDisatvaH dadAnaH viviDAn
   kalyāṇān udārān viśuddhān avikalāṃs tiktāṃl lavaṇān	kalyANAn udArAn viSudDAn avikalAn tiktAn lavaNAn
   kaṭakān kaṣāyān nānārasâgrôpetān susnigdhān	kawakAn kazAyAn nAnA-rasâgrô-petAn su-snigDAn
   vividharasavidhinôpetān dhātukṣobhaṇasamatāsthāpanān	viviDa-rasa-viDinôpetAn DAtu-kzoBaNa-samatA-sTApanAn
   cittaśarīrabalôpastambhanān prītiprasādaprāmodyakalpatājananān |	citta-SarIra-balôpa-stamBanAn prIti-prasAda-prAmodya-kalpa-tA-jananAn |
   yāvat sarvaparôpakramapratiṣedhakān	yAvat sarva-parôpakrama-pratizeDakAn
   sarvavyādhisamanârogyasaṃjananān |	sarva-vyADi-samanârogya-saMjananAn |
   evaṃ vastradānaṃ puṣpadānaṃ gandhadānaṃ vilepanadānaṃ mālyadānaṃ |	evam vastra-dAnam puzpa-dAnam ganDa-dAnam vilepana-dAnam mAlya-dAnam |
   śayanadānam āvāsadānam apāśrayadānaṃ pradīpadānaṃ ca |	Sayana-dAnam AvAsa-dAnam apASraya-dAnam pradIpa-dAnam ca |
   glānapratyayabhaiṣajya-	glAna-pratyaya-BEzajya-
   [ Cambridge MS f18b ---> ]	[ Cambridge M f18B ---> ]
   pariṣkārān bodhisatvo 'nuprayacchan	parizkArAn boDisatvaH anuprayacCan
   yāvan nānābhājanāni vividhasaṃbhārāṇy anekakāṃsyapātrīr	yAvat nAnA-BAjanAni viviDa-saMBArANi aneka-kAMsya-pAtrIH-
   aprameyasaṃbhārôpacitā hiraṇyasuvarṇarūpyacūrṇaparipūrṇās tāni buddhebhyo	aprameya-saMBArô-pacitAH hiraNya-suvarNa-rUpya-cUrNa-paripUrNAH tAni budDeByaH-
   bhagavadbhyo dadāno 'cintyadakṣiṇīyâdhimuktacetā bodhisatvaratnebhyo vā	BagavadByaH dadAnaH acintya-dakziNI-yâDi-mukta-cetAH boDisatva-ratneByaH vA
   dadānaḥ |	dadAnaH |
   kalyāṇamitrasudurlabhacittôtpādenâryasaṃghāya vā	kalyANa-mitra-su-durlaBa-cittôt-pAdenârya-saMGAya vA
   dadānaḥ |	dadAnaH |
   buddhaśāsanôpastambhāya pudgalāya vā dadānaḥ |	budDa-SAsanôpastamBAya pudgalAya vA dadAnaH |
   śrāvakapratyekabuddhebhyo vâryaguṇasuprasannacittatayā	SrAvaka-pratyekabudDeByaH vârya-guNa-su-prasanna-citta-tayA
   mātāpitṛbhyāṃ dadāno |	mAtA-pitRByAm dadAnaH |
   guruśuśrūṣôpasthānacittatayâcāryagurudakṣiṇīyebhyo vā	guru-SuSrUzôpasTAna-citta-tayâcArya-guru-dakziNIyeByaH vA
   dadānas tatra tatra gurusaṃbhārâvavādaśikṣaṇaprayuktaḥ |	dadAnaH tatra tatra guru-saMBArâvavAt-a-SikzaNa-prayuktaH |
   aśanavasanaṃ vā kṛpaṇavanīpakayācanakebhyo dadānaḥ |	aSana-vasanam vA kRpaNa-vanIpaka-yAcanakeByaH dadAnaH |
   sarvasatvâpratihatacakṣur maitrīparibhāvitacittatayā |	sarva-satvâpratihata-cakzuH mEtrI-pariBAvita-citta-tayA |
   peyālaṃ ||	peyAlam ||
   iti hi bodhisatvo hastyājāneyān dadānaḥ	iti hi boDisatvaH hasti-AjAneyAn dadAnaH
   saptâṅgasupratiṣṭhitān |	saptâFga-su-pratizWitAn |
   ṣaṣṭihā-	zazwihA-
   [ Bendall ed p28 ---> ]	[ Bet-dalt ed p28 ---> ]
   yanān ṣaḍgantrôpetān padmavarṇān mukhaviśuddhān	yanAn zaz-gantrô-petAn padma-varNAn muKa-viSudDAn
   suvarṇâlaṃkārān hemajālapraticchannaśarīrān	suvarNâ-laMkArAn hema-jAla-praticCanna-SarIrAn
   nānāratnavicitrâlaṃkārajālaśuṇḍaprakṣiptavyūhān	nAnA-ratna-vicitrâ-laMkAra-jAla-SuNxa-prakzipta-vyUhAn
   suvarṇakalyāṇān	suvarNa-kalyANAn
   kalyāṇacārudarśanān |	kalyANa-cAru-darSanAn |
   aklāntayojanasahasragamanôpacārān aśvâjāneyān vā	aklAnta-yojana-sahasra-gamanô-pacArAn aSvâ-jAneyAn vA
   dadānaḥ |	dadAnaH |
   sukhavāhanasukhaśarīrôpetān anujavasaṃpannāṃś caturdiggamanâhārajavôpetān	suKa-vAhana-suKa-SarIrô-petAn anujava-saMpannAn catur-diggamanâ-hAra-javô-petAn
   ārohasaṃpannān divyakalyāṇacārusadṛśasarvavibhūṣaṇôpetān |	Aroha-saMpannAn divya-kalyANa-cAru-sadRSa-sarva-viBUzaNô-petAn |
   sa tān dadānaḥ parityajan gauraveṇa gurujanebhyaḥ	sa tAn dadAnaH parityajan gOraveNa guru-janeByaH
   kalyāṇamitramātāpitṛbhyaḥ kṛpaṇavanīpakayācanakebhyaḥ	kalyANa-mitra-mAtA-pitRByaH kRpaNa-vanIpaka-yAcanakeByaH
   sarvajagatpratigrāhakabhyo muktacittayā dadāno |	sarva-jagat-pratigrAhakaByaH mukta-cittayA dadAnaH |
   nâgṛhītacittatayâvasṛjan mahākaruṇāparisphuṭena	nâgRhIta-cittatayâvasRjat mahA-karuNA-parisPuwena
   santānena mahātyāgaparimāṇabo-	santAnena mahA-tyAga-parimANa-bo-
   [ Cambridge MS f19b ---> ]	[ Cambridge M f19B ---> ]
   dhisatvaguneṣu pratipadyamāno 'bhijātabodhisatvâdhyāśayān pariśodhayamāno	Disatva-gunezu pratipadyamAnaH aBijAta-boDisatvâDi-ASayAn pariSoDayamAnaH-
   yāvad iti hi	yAvat iti hi
   bodhisatvâsanadānaṃ dadānaḥ parityajan	boDisatvâsana-dAnam dadAnaH parityajan
   rājabhadrâsanāni	rAja-Badrâ-sanAni
   vaiḍūryapādakāni siṃhapratiṣṭhitāni	vExUrya-pAdakAni siMha-pratizWitAni
   suvarṇasūtraratnajālavitānāny anekacīvarasparśôpetaprajñaptāni	suvarNa-sUtra-ratna-jAla-vitAnAni aneka-cIvara-sparSô-peta-prajQaptAni
   sarvasāragandhavāsitôpacārāṇi vicitramaṇirājasamucchritadhvajāny	sarva-sAra-ganDa-vAsitô-pacArANi vicitra-maNi-rAja-samucCrita-DvajAni-
   anekaratnakoṭīniyutaśatasahasrâlaṃkāravyūhāni	aneka-ratna-kowI-niyuta-Sata-sahasrâlaMkAra-vyUhAni
   hemajālavitānavitatāni	hema-jAla-vitAna-vitatAni
   suvarṇakiṅkiṇījālasaṃghaṭitamanojñanādanirghoṣaśabdāni mahāntyâsanāny	suvarNa-kiFkiNI-jAla-saMGawita-manojQa-nAda-nirGoza-SabdAni mahAnti-âsanAni-
   abhyudgato dviddhacakṣurdaśanāny	aByudgataH dvidDa-cakzuH-daSanAni-
   ekachatramahāpṛthivy-anuśāsananiṣadanâbhiṣiktāni |	eka-Catra-mahA-pRTivI--anuSAsana-nizadanâBiziktAni |
   sarvarājyâiśvaryâdhipateyaniyataniṣadyâpratihatacakraśāsanânuśāsanasarvarājâdhipateye	sarva-rAjyâiSvaryâ-Dipateya-niyata-nizadyâ-pratihata-cakra-SAsanânuSAsana-sarva-rAjâDipateye
   pravarttate |	pravarttate |
   evaṃ yāvad iti hi bodhisatvaś chatrāṇi dadānaḥ parityajan	evam yAvat iti hi boDisatvaH CatrANi dadAnaH parityajan
   mahāratnavyūhapratimaṇḍitāni ratnadaṇḍāni	mahA-ratna-vyUha-pratimaNxitAni ratna-daNxAni
   kiṅkiṇījālasaṃchannāni |	kiFkiNI-jAla-saMCannAni |
   ratnasūtrakarṇakaṇṭhâva-	ratna-sUtra-karNa-kaNWâva-
   [ Bendall ed p29 ---> ]	[ Bet-dalt ed p29 ---> ]
   līvināmitavaiḍūryamaṇihārâbhipralambitāni nandīghoṣamanojñaśabdôpacārāṇi	lIvina-amita-vExUrya-maNi-hArâBipralambitAni nandI-Goza-manojQa-SabdôpacArANi
   hemajālâbhyantaraviśuddhachadanāni	hema-jAlâByantara-viSudDa-CadanAni
   ratnaśalākâlaṃkāraśatasahasravitatāni ratnakoṣasandhāritāny agurucandanāny	ratna-SalAkâlaMkAra-Sata-sahasra-vitatAni ratna-koza-sanDAritAni aguru-candanAni-
   ekasāravaragandhakoṭīniyutaśatasahasravidhūpitavāsitôpacārāṇi	eka-sAra-vara-ganDa-kowI-niyuta-Sata-sahasra-viDUpita-vAsitô-pacArANi
   jāmbunadaprabhāsvaraśuddhāni |	jAmbunada-praBA-svara-SudDAni |
   tādṛśānāṃ chatrāṇām anekakoṭīniyutaśatasahasrâlaṃkārāṇāṃ tadatiriktāni	tAdRSAnAm CatrANAm aneka-kowI-niyuta-Sata-sahasrâ-laMkArANAm tad-atiriktAni
   câsaṃkhyeyakoṭīniyutaśatasahasrâlaṃkārāṇy anapekṣacitto dadānaḥ	câ-saMKyeya-kowI-niyuta-Sata-sahasrâlaMkArANi anapekza-cittaH dadAnaH
   parityajann avasṛjann anuprayacchan saṃmukhībhūtebhyo vā satvasārebhyo	parityajan avasRjan anuprayacCan saMmuKIBUteByaH vA satva-sAreByaH-
   nirvṛtānāṃ vā tathāgatānāṃ caityâlaṃkārāya |	nirvRtAnAm vA taTAgatAnAm ca-eti-âlaMkArAya |
   dharmaparyeṣṭaye bodhisatvakalyāṇamitre-	Darma-paryezwaye boDisatva-kalyANa-mitre-
   [ Cambridge MS f20a ---> ]	[ Cambridge M f20aH ---> ]
   bhyo vâbhijātabodhisatvadharmabhāṇakebhyo vā mātāpitṛbhyāṃ vā saṃgharatne	ByaH vâBijAta-boDisatva-Darma-BANakeByaH vA mAtA-pitRByAm vA saMGa-ratne
   vā	vA
   sarvabuddhaśāsane vā yāvat sarvapratigrāhakebhyaḥ sâivaṃ tatkuśalamūlaṃ	sarva-budDa-SAsane vA yAvat sarva-pratigrAhakeByaH sâivam tat-kuSala-mUlam
   pariṇāmayati ||	pariNAmayati ||
   yathā tāvat prathamāyām eva pariṇāmanāyāṃ	yaTA tAvat praTamAyAm eva pariNAmanAyAm
   sarvakuśalamūlaprastāveṣûpadiṣṭaṃ |	sarva-kuSala-mUla-prastAva-izû-padizwam |
   evaṃ praṇidhānam utpādayati |	evam praNiDAnam utpAdayati |
   katham etāni kuśalamūlāni sarvajagadupajīvyāny upakāribhūtāni	kaTam etAni kuSala-mUlAni sarva-jagat-upajIvyAni upakAri-BUtAni
   bhaveyur viśuddhadharmaparyavasānāni yena sarvasatvānām	BaveyuH viSudDa-Darma-paryavasAnAni yena sarva-satvAnAm
   etaiḥ	etEH
   kuśalamūlair narakâpāyapratiprasrabdhir bhavati |	kuSala-mUlEH narakâ-pAya-pratiprasrabDiH Bavati |
   tairyagyonikayāmalaukikād duṣkhaskandhān nivarttayeyuḥ |	tEryagyonikayA-AmalOkikAt duzKa-skanDAn nivarttayeyuH |
   sa tāni kuśalamūlāni pariṇāmayann evaṃ tatkuśalamūlaṃ pariṇāmayati |	sa tAni kuSala-mUlAni pariNAmayan evam tat-kuSala-mUlam pariNAmayati |
   anenâhaṃ kuśalamūlena sarvasatvānāṃ nayanaṃ bhaveyaṃ	anenâham kuSala-mUlena sarva-satvAnAm nayanam Baveyam
   sarvaduṣkhaskandhavinivarttanāya |	sarva-duzKa-skanDa-vinivarttanAya |
   sarvasatvānāṃ trāṇaṃ bhaveyaṃ sarvakleśaparimocanatayā |	sarva-satvAnAm trANam Baveyam sarva-kleSa-parimocana-tayA |
   sarvasatvānāṃ śaraṇaṃ bhaveyaṃ sarvabhayârakṣaṇatayā |	sarva-satvAnAm SaraNam Baveyam sarva-Bayâ-rakzaNa-tayA |
   sarvasatvānāṃ gatir bhaveyaṃ sarvabhūmyanugamanatayā |	sarva-satvAnAm gatiH Baveyam sarva-BUmi-anugamana-tayA |
   sarvasatvānāṃ parāyaṇaṃ bhaveyam	sarva-satvAnAm parAyaNam Baveyam
   atyantayogakṣemapratilambhatayā |	atyanta-yogakzema-pratilamBa-tayA |
   sarvasatvānāṃ āloko bhaveyaṃ vitimirajñānasaṃdarśanatayā |	sarva-satvAnAm AlokaH Baveyam vitimira-jQAna-saMdarSana-tayA |
   sarvasatvānāṃ ulkā bhaveyam	sarva-satvAnAm ulkA Baveyam
   avidyātamoandhakāravinivarttanatayā |	avidyA-tamoanDa-kAra-vinivarttana-tayA |
   sarvasatvānāṃ pradyoto bhaveyam	sarva-satvAnAm pradyotaH Baveyam
   atyantaviśuddhipratiṣṭhāpanatayā |	atyanta-viSudDi-pratizWApana-tayA |
   sarvasatvānāṃ nāyako bhaveyam	sarva-satvAnAm nAyakaH Baveyam
   acintyadharmanayâvatāraṇatayā |	acintya-Darma-nayâvatAraNa-tayA |
   sarvasatvānāṃ pariṇāyako bhaveyam	sarva-satvAnAm pariNAyakaH Baveyam
   anāvaraṇajñānaskandhôpanayanatayā |	anAvaraNa-jQAna-skanDôpanayana-tayA |
   peyālaṃ ||	peyAlam ||
   tac câdhyāśayataḥ pariṇāmayati na vacanamātreṇa |	tat câDyASayataH pariNAmayati na vacana-mAtreNa |
   tac côdagracittaḥ pariṇāmayati |	tat côt-agra-cittaH pariNAmayati |
   hṛṣṭacittaḥ pariṇāmayati |	hRzwa-cittaH pariNAmayati |
   prasannacittaḥ pariṇāmayati |	prasanna-cittaH pariNAmayati |
   pramu-	pramu-
   [ Bendall ed p30 ---> ]	[ Bet-dalt ed p30 ---> ]
   ditacittaḥ snigdhacittaḥ pariṇāmayati |	dita-cittaH snigDa-cittaH pariNAmayati |
   maitracittaḥ prema-	mEtra-cittaH prema-
   [ Cambridge MS f20b ---> ]	[ Cambridge M f20B ---> ]
   cittaḥ anugrahacitto hitacittaḥ sukhacittaḥ	cittaH anugraha-cittaH hita-cittaH suKa-cittaH
   pariṇāmayati |	pariNAmayati |
   tac câivaṃ pariṇāmayati |	tat câivam pariNAmayati |
   idaṃ mama kuśalamūlaṃ sarvasatvānāṃ gativiśuddhaye	idam mama kuSala-mUlam sarva-satvAnAm gati-viSudDaye
   saṃvarteta |	saMvarteta |
   upapattiviśuddhaye saṃvartteta |	upapatti-viSudDaye saMvartteta |
   puṇyamāhātmyaviśuddhaye saṃvartteta |	puNya-mAhAtmya-viSudDaye saMvartteta |
   anabhibhūtatāyāṃ saṃvartteta |	anaBiBUta-tAyAm saMvartteta |
   aparyādānatāyāṃ saṃvartteta |	aparyAdAna-tAyAm saMvartteta |
   durāsadacittatāyāṃ saṃvartteta |	durAsada-citta-tAyAm saMvartteta |
   smṛtyapramoṣatāyāṃ saṃvartteta |	smRtyapramoza-tAyAm saMvartteta |
   gatimativiniścayatāyāṃ saṃvartteta |	gati-mati-viniScaya-tAyAm saMvartteta |
   buddhyapramāṇatāyāṃ saṃvartteta |	budDi-apramANa-tAyAm saMvartteta |
   kāyakarmamanaskarmasarvaguṇâlaṃkāraparipūryāṃ saṃvartteta ||	kAya-karma-manaskarma-sarva-guNâ-laMkAra-paripUryAm saMvartteta ||
   anena me kuśalamūlena te sarvasatvāḥ sarvabuddhān	anena me kuSala-mUlena te sarva-satvAH sarva-budDAn
   ārāgayeyur ārāgayitvā ca mā virāgayeyuḥ |	ArAgayeyuH ArAgayitvA ca mA virAgayeyuH |
   teṣu ca buddheṣu bhagavatsu prasādam abhedyaṃ pratilabheran |	tezu ca budDezu Bagavatsu prasAdam aBedyam pratilaBeran |
   teṣāṃ ca tathāgatānām arhatāṃ samyaksaṃbuddhānām antike	tezAm ca taTAgatAnAm arhatAm samyaksaMbudDAnAm antike
   dharmadeśanāṃ śṛṇuyuḥ |	Darma-deSanAm SRNuyuH |
   śrutvā ca sarvā vimatīr vinivarttayeyuḥ |	SrutvA ca sarvAH vimatIH vinivarttayeyuH |
   yathāśrutaṃ ca saṃdhārayeyuḥ |	yaTASrutam ca saMDArayeyuH |
   sandhārayantaś ca pratipattyā saṃpādayeyuḥ |	sanDArayantaH ca pratipattyA saMpAdayeyuH |
   tāṃś ca tathāgatān ārādhayeyuḥ |	tAn ca taTAgatAn ArADayeyuH |
   cittakarmaṇyatāṃ ca pratilabheran |	citta-karmaNya-tAm ca pratilaBeran |
   anavadyāni karmāṇi samudānayeyuḥ |	anavadyAni karmANi samudAnayeyuH |
   mahatsu ca kuśalamūleṣv ātmānaṃ pratiṣṭhāpayeyur atyantaṃ ca	mahatsu ca kuSala-mUlezu AtmAnam pratizWApayeyuH atyantam ca
   dāridryaṃ vinivarttayeyuḥ sapta dhanapratilambhāṃś ca	dAridryam vinivarttayeyuH sapta Dana-pratilamBAn ca
   paripūrayeyuḥ sarvabuddhānāṃ cânuśikṣayeyuḥ	paripUrayeyuH sarva-budDAnAm cânuSikzayeyuH
   kalyāṇêndriyapratilambhaṃ câdhigaccheyuḥ |	kalyANêndriya-pratilamBam câDigacCeyuH |
   udārâdhimuktisamatāṃ ca pariniṣpādayeyuḥ |	udArâDi-mukti-samatAm ca parinizpAdayeyuH |
   sarvajñajñāne câvakāśaṃ pratilabheran |	sarvajQa-jQAne câvakASam pratilaBeran |
   apratihatacakṣuṣmattāṃ ca sarvajagaty utpādayeyuḥ |	apratihata-cakzuzmat-tAm ca sarva-jagati utpAdayeyuH |
   lakṣaṇâlaṃkṛtatāṃ ca kāyapratipūriṃ pratilabheran |	lakzaNâ-laMkRta-tAm ca kAya-pratipUrim pratilaBeran |
   sarvaguṇâlaṅkāraṃ ca vākyaviśuddhiṃ pari-	sarva-guNâ-laFkAram ca vAkya-viSudDim pari-
   [ Cambridge MS f21a ---> ]	[ Cambridge M f21aH ---> ]
   gṛhṇīyuḥ |	gRhNIyuH |
   saṃvṛtêndriyatāṃ daśabalaprayuktāṃ cittakalyatāṃ samudānayeyuḥ |	saMvRtêndriya-tAm daSa-bala-prayuktAm citta-kalya-tAm samudAnayeyuH |
   ani-	ani-
   [ Bendall ed p31 ---> ]	[ Bet-dalt ed p31 ---> ]
   ścitavihāratāṃ ca paripūrayeyuḥ |	Scita-vihAra-tAm ca paripUrayeyuH |
   yena ca sukhôpadhānena sarvabuddhāḥ samanvāgatās	yena ca suKôpaDAnena sarva-budDAH samanvAgata-as
   tatsukhôpadhānapratilabdhāḥ sarvasatvā bhaveyur iti ||	tad-suKôpaDAna-pratilabDAH sarva-satvAH BaveyuH iti ||
   yathā ṣaṣṭhī pariṇāmanôktena vidhinā pariṇāmayati |	yaTA zazWI pariNAma-nôktena viDinA pariNAmayati |
   sarvasatvā |	sarva-satvA |
   jñānâhārād bhavantu asaṅgaprayuktacetasaḥ |	jQAnâhArAt Bavantu asaFga-prayukta-cetasaH |
