   // prathamādhyāye dvitīyāhnikam //	// praTama-aDyAye dvitIya-Ahnikam //
   // kathālakṣaṇaprakaraṇam //	// kaTA-lakzaNa-prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   na ca heturasiddhatvādīnā dūṣyate api tu liṅgameva /	na ca hetuH-asidDa-tva-AdInA dUzyate api tu liFgam-eva /
   ato niranuyojyānuyogo bhavata ityādi	atas niranuyojya-anuyogaH BavataH ityAdi
   dharmavikalpanirdeśaśabdenābhidhānadharmo dvedhābhidhīyata iti	Darma-vikalpa-nirdeSa-Sabdena-aBiDAna-DarmaH dveDA-aBiDIyate iti
   vārttikaikavākyatām āpādayituṃ bhūmiṃ racayitvā yathāśrutabhāṣyamupekṣya	vArttika-eka-vAkyatAm ApAdayitum BUmim racayitvA yaTASruta-BAzyam-upekzya
   khaṇḍakhaṇḍaṃ vyācaṣṭe---śabdasyeti /	KaNxa-KaNxam vyAcazwe----Sabdasya-iti /
   dyayapi neha sphuṭam tathāpyekatra vastusadbhāvaḥ pratiṣidhyate /	dyayapi na-iha sPuwam taTA-api-ekatra vastu-sadBAvaH pratiziDyate /
   naiva kroṣṭāro mañcā iti parīkṣāvārttikamanāgatamavekṣyāha---vārttikamate	na-eva krozwAraH maQcAH iti parIkzA-vArttikam-anAgatam-avekzya-aha---vArttika-mate
   tviti // 1.4 //	tu-iti // 1.4 //
   vākchalamevopacāracchalaṃ tadaviśeṣāt // 1.5 //	vAkCalam-eva-upacAra=-Calam tat-aviSezAt // 1.5 //
   // pariśuddhiḥ //	// pariSudDiH //
   saṃgatirhi dvedhā bhavavati, antarbhāvalakṣaṇā ānantaryalakṣaṇā ca /	saMgatiH-hi dveDA Bavavati, antarBAva-lakzaNAH Anantarya-lakzaNA ca /
   tatra na tāvat pūrvā chalaparīkṣāsūtrāṇāṃ lakṣaṇasyādhyāyārthatvāt /	tatra na tAvat pUrvA Cala-parIkzA-sUtrANAm lakzaNasya-aDyAya-arTa-tvAt /
   adhyāyānantarbhūtasya cāhnikaprakaraṇayoḥ antarbhāvāt, parīkṣātvena	aDyAya-anantarBUtasya ca-Ahnika-prakaraNayoH antar-BAva-at, parIkzA-tvena
   dvitīyādāvevāntarbhāvārhatvācca /	dvitIya-AdO=-eva-antar-BAva-arha-tvAt-ca /
   nāpyuttarā ṣoḍhāpyatra saṃbhāvyate, smārakābhāvena prasaṅgābhāvāt, tayā	na-api-uttarA zoXA-api-atra saMBAvyate, smAraka-aBAvena prasaFga-aBAvAt, tayA
   vinaiva prakṛtasiddheḥ, upodghātābhāvāt,	vinA-eva prakRta-sidDeH, upodGAta-aBAvAt,
   jātinigrahasthānalakṣaṇāvarodhenāvasarābhāvāt, uttaraprabandhaṃ prati	jAti-nigraha-sTAna-lakzaNa-avaroDena-avasara-aBAva-at, uttara-prabanDam prati
   akāraṇatvena hetutvāyogāt, chalaparīkṣāyā	akAraNa-tvena hetu-tva-ayoga-at, Cala-parIkzAyAH-
   uttaratrāvyavahāreṇānirvāhakatvāt, chalaparīkṣājātyādilakṣaṇasūtrāṇāṃ	uttaratra-avyavahAreNa-anirvAhaka-tva-at, Cala-parIkzA-jAti-Adi-lakzaNa-sUtrANAm
   prakṛtopayogyekakāryāyogena tannibandhanāya api saṃgaterabhāvādityata	prakRta-upayogi-eka-kArya-ayogena tad-nibanDanAya api saMgateH-aBAvAt-ityata
   āha---parīkṣāparvaṇa iti /	Aha----parIkzA-parvaNaH iti /
   prāsaṅgikī saṃgatiḥ /	prAsaFgikI saMgatiH /
   prasaṅgāśca parīkṣāparvasannidhānenopodvalita ityarthaḥ //	prasaFgAH-ca parIkzA-parva-sanniDAnena-upodvalitaH iti-arTaH //
   pṛthaksūtraṇāt sādharmyasahitāyā viśeṣānupalabdheśca saṃśaya /	pRTak-sUtraNAt sADarmya-sahitAyAH viSeza-anupalabDeH-ca saMSaya /
   parīkṣitaṃ satsu vivacitaṃ sugrahaṃ supariharaṃ chalaṃ bhaviṣyatīti	parIkzitam satsu vivacitam sugraham su-pariharam Calam Bavizyati-iti
   parīkṣāprayojanaṃ sphuṭīkṛtya pūrvapakṣamāha---yathā hīti /	parIkzA-prayojanam sPuwIkRtya pUrva-pakzam-Aha---yaTA hi-iti /
   lakṣaṇābhedādekatvamityarthaḥ // 1.5 //	lakzaNa-aBedAt-eka-tvam-iti-arTaH // 1.5 //
   na tadarthāntarabhāvāt // 1.6 //	na tad-arTa-antara-BAvAt // 1.6 //
   // pariśuddhiḥ //	// pariSudDiH //
   na tadarthāntarabhāvāditi siddhāntasūtram /	na tad-arTa-antara-BAvAt-iti sidDAnta-sUtram /
   tatra ca bhāṣyam---anyārthāntarakalpanā, anyor'thasadbhāvapratiṣedha iti /	tatra ca BAzyam---anya-arTa-antara-kalpanA, anyor-aTa-sadBAva-pratizeDaH iti /
   tadetadaviśadam, arthāntarakalpanāyā ubhayatrāpi pūrvapakṣe darśitatvāt /	tat-etat-aviSadam, arTa-antara-kalpanAyAH uBayatra-api pUrva-pakze darSita-tvAt /
   arthasadbhāvapratiṣedhastu yathākathañcit sarvasādhāraṇaḥ anyathā	arTa-sadBAva-pratizeDaH-tu yaTA-kaTaQcid sarva-sADAraNaH anyaTA
   vacanavidhātatvalakṣaṇakṣateḥ /	vacana-viDAta-tva-lakzaNa-kzateH /
   paramārthatastu na kvacidapi /	paramArTataH-tu na kvacid-api /
   vārttikaṃ tu ekatra dharmaḥ pratiṣidhyate 'nyatra dharmīti /	vArttikam tu ekatra DarmaH pratiziDyate anyatra DarmI-iti /
   etaccāsiddham /	etat-ca-asidDam /
   na hyatra mañcā eva dharmiṇaḥ pratiṣidhyante /	na hi-atra maQcAH eva DarmiNaH pratiziDyante /
   api tu kambaladharmasaṃkhyāvat mañcadharmaḥ /	api tu kambala-Darma-saMKyA-vat maQca-DarmaH /
   krośanamihāpi pratiṣidhyata ityata āha---vidheyaṃ vastviti /	kroSanam-iha-api pratiziDyate iti-atas Aha---viDeyam vastu-iti /
   atraivottaraśaṅkāntaramapanayati---kiṃ tviti /	atra-eva-uttara-SaFkA-antaram-apanayati---kim tu-iti /
   tadetatsamādhānaṃ prakṛtodāharaṇāpekṣaṃ draṣṭavyam /	tat-etat-samADAnam prakRta-udAharaNa-apekzam drazwavyam /
   sarvavyāpakaṃ tu mukhyopacāravṛttyanugatatvena anayorbhedakau niyatau	sarva-vyApakam tu muKya-upacAra-vRtti-anugata-tvena anayoH-BedakO niyatO
   dharmāviti // 1.6 //	DarmO=-iti // 1.6 //
   aviśeṣe vā kiñcitsādharmyādekacchalaprasaṅgaḥ //17 //	aviSeze vA kiQcid-sADarmyAt-eka=-Cala-prasaFgaH //17 //
   // pariśuddhiḥ //	// pariSudDiH //
   avi---ṅgaḥ // 17 //	avi---FgaH // 17 //
   // iti chalaprakaraṇam //	// iti Cala-prakaraNam //
   // purūṣāśaktiliṅgadoṣasāmānyalakṣaṇaprakaraṇam //	// purUzA-Sakti-liFga-doza-sAmAnya-lakzaNa-prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   yadyapyasaduttaratayā jāteḥ chalaprakaraṇa evāntarbhāvo yuktaḥ, tathāpi	yadi-api-asat-uttara-tayA jAteH Cala-prakaraNaH eva-antarBAvaH yuktaH, taTA-api
   pratijñāhānyādernigrahasthānasyāpi tathābhāvāt tāṃ	pratijQAhAni-AdeH-nigraha-sTAnasya-api taTA-aBAvAt tAm
   saṃgatimupekṣyārthadūṣaṇatvābhiprāyeṇa prayogasya sāmyāduttaraprakaraṇa	saMgatim-upekzya-arTa-dUzaNa-tva-aBiprAyeNa prayogasya sAmyAt-uttara-prakaraNa
   evāntarbhāvaḥ /	eva-antarBAvaH /
   tatrāntarbhūtāyāśca jāteḥ pṛthakkaraṇe uddeśa eva prayojanamuktam,	tatra-antarBUtAyAH-ca jAteH pRTakkaraNe uddeSaH eva prayojanam-uktam,
   pratijñāhānyādyapekṣayā cānudbhaṭāparādhatayā paravyāmohanahetutvāt,	pratijQAhAni-Adi-apekzayA ca-anudBawa-aparADa-tayA para-vyAmohana-hetutva-at,
   parājayadaśāyāṃ prayoktavyatvajñāpanārthaṃ tasmāt prāguddeśaḥ /	parAjaya-daSAyAm prayoktavya-tva-jQApana-arTam tasmAt prAc-uddeSaH /
   saiva saṃgatirihāpītyāha---uddeśeti //	sA-eva saMgatiH-iha-api-iti-Aha---uddeSa-iti //
   chalasya samyagdūṣaṇasya ca ityupalakṣaṇam, pratijñāhānyāderityapi	Calasya samyak-dUzaNasya ca iti-upalakzaNam, pratijQA-ahAnyAdeH-iti-api
   draṣṭavyam /	drazwavyam /
   na ca chale ityupalakṣaṇaṃ tathaiva, tathāpi samyagdūṣaṇasyāvyudāsaḥ,	na ca Cale iti-upalakzaNam taTA-eva, taTA-api samyak-dUzaNasya-avyudAsaH,
   tasyāpi hetuto vaidharmyeṇa hetvābhāsasādharmyeṇa	tasya-api hetutaH vEDarmyeNa hetvABAsa-sADarmyeNa
   pratyavasthānarūpatvādityata āha---na ceti /	pratyavasTAna-rUpa-tvAt-iti-atas Aha---na ca-iti /
   ayaṃ ca mātraśabdārtho jātīnāmavatāraṃ vāde pratiṣedhatā	ayam ca mAtra-Sabda-arTaH jAtInAm-avatAram vAde pratizeDa-tA
   asaduttaratvakhyāpanenaiva sūtrakṛtā sūcitaḥ /	asat-uttara-tva-KyApanena-eva sUtra-kRtA sUcitaH /
   bhāṣye jātipada vyutpādanaprayojanaṃ darśayati---jalpe hīti //18 //	BAzye jAti-pada vyutpAdana-prayojanam darSayati---jalpe hi-iti //18 //
   vapratipattirapratipattiśca nigrahasthānam //19 //	vapratipattiH-apratipattiH-ca nigraha-sTAnam //19 //
   // pariśuddhiḥ //	// pariSudDiH //
   nigrahasthānenaiva samastakathāmudraṇādarthato 'sya paścādabhidhānam /	nigraha-sTAnena-eva samasta-kaTA-mudraNAt-arTataH asya paScAt-aBiDAnam /
   tat kimityatra saṃgatyanusaraṇenetyāśayavān sūtraṃ	tat kim-iti-atra saMgati-anusaraNena-iti-ASayavAn sUtram
   pratyāharati---vipra---namiti // 19 //	pratyAharati----vipra---nam-iti // 19 //
   yadyapi lokavyavahārakathāvyavahārayoḥ puruṣasyāparādha eva nigrahasthānam	yadi-api loka-vyavahAra-kaTA-vyavahArayoH puruzasya-aparADaH eva nigraha-sTAnam
   aparāddho hi nigrahaṃ śāstiṃ khalīkāraṃ prāpnoti /	aparAdDaH hi nigraham SAstim KalIkAram prApnoti /
   anyatra loke śarīraviḍambanā /	anyatra loke SarIra-vixambanA /
   kathāyāṃ tvaparādhamātrodbhāvānamātram /	kaTAyAm tu-aparADa-mAtra-udBAvAna-mAtram /
   anyatra vādinoḥ kāmacāraḥ /	anyatra vAdinoH kAma-cAraH /
   aparādhaśca kathāyāṃ vipratipattyapratipattibhāgadvayaparyavasitaṃ	aparADaH-ca kaTAyAm vipratipatti-apratipatti-BAga-dvaya-paryavasitam
   tātkālikamatattvajñānameva /	tAtkAli-kam-atattva-jQAnam-eva /
   tathāpi tasya svarūpeṇodbhāvayitum---aśakyatvāt,	taTA-api tasya sva-rUpeNa-udBAvayitum----a-Sakya-tvAt,
   nirarthakāpārthakādisāmānādhikaraṇyānupapatteśca	nirarTa-ka-apArTaka-Adi-sAmAna-aDikaraNyA-anupapatteH-ca
   tadunnayanopāyopalakṣaṇatayā sūtraṃ vyākhyātam /	tad-unnayana-upAya-upalakzaNa-tayA sUtram vyAKyAtam /
   tena kathāyāṃ pravṛttayāṃ vādinoratattvajñānajñāpikā kriyā	tena kaTAyAm pravRttayAm vAdinoH-atattva-jQAna-jQApikA kriyA
   nigrahasthānamiti sūtrārthaḥ /	nigraha-sTAnam-iti sUtra-arTaH /
   etacca pratijñāhānyādisāmānādhikaraṇyena	etat-ca pratijQAhAni-Adi-sAmAna-aDikaraNyena
   prayuktanigrahasthānapadapadārthālocanayā /	prayukta-nigraha-sTAna-pada-padArTa-AlocanayA /
   svarūpeṇa śakyodbhāvanapratipādakavārttikadarśanācca sugamam, bhāṣye	sva-rUpeNa Sakya-udBAvana-pratipAdaka-vArttika-darSanAt-ca sugamam, BAzye
   'pyanantarameva sphuṭībhaviṣyati //	api-anantaram-eva sPuwIBavizyati //
   syādetat, na pratipattervirītatvādanyat kṛtsitatvamityata āha---sūkṣmeti /	syAt-etat, na pratipatteH-virIta-tvAt-anyat kRtsita-tvam-iti-atas Aha----sUkzma-iti /
   kathamasau nigrahasthānamiti /	kaTam-asO nigraha-sTAnam-iti /
   kathamasau svarūpato 'pratīyamānaiva sattāmātreṇa nigrahasthānaṃ	kaTam-asO svarUpataH apratIyamAnA-eva sattA-mAtreNa nigraha-sTAnam
   bhaviṣyati? na hyapratītameva paradāradharṣaṇaṃ nigrahāya	Bavizyati? na hi-apratItam-eva para-dAra-DarzaNam nigrahAya
   paryāptamityarthaḥ /	paryAptam-iti-arTaH /
   vipratipadyamāna iti /	vipratipadyamAnaH iti /
   yato vipratipadyamānaḥ prāptaparājayo bhavati, ataḥ parājayaprāptidvāreṇa	yatas vipratipadyamAnaH prApta-parAjayaH Bavati, atas parAjaya-prApti-dvAreNa
   unnetuṃ śakyate /	unnetum Sakyate /
   atha parājayaprāptireva kā ityata uktam---nigrahasthānaṃ pratijñāhānyādi	aTa parAjaya-prAptiH-eva kA iti-atas uktam----nigraha-sTAnam pratijQAhAnyAdi
   khalu spaṣṭam parājayaprāptiriti bhāṣyaṃ sphuṭamityarthaḥ /	Kalu spazwam parAjaya-prAptiH-iti BAzyam sPuwam-iti-arTaH /
   yadyapyadhike vipratipattyapratipattī saṃbhavatastadasaṃbhave	yadi-api-aDike vipratipatti-apratipattI saMBavataH-tad-asaMBave
   nigrahasthānatvānupapatteḥ, tathāpi vipratipannavastugocaratvena na tu	nigraha-sTAna-tva-anupapatteH, taTA-api vipratipanna-vastu-gocara-tvena na tu
   tatreti tadanigrahasthānatvabhramanivāraṇārthamasamāsakaraṇamityarthaḥ /	tatra-iti tad-anigraha-sTAna-tva-Brama-nivAraNa-arTam-asamAsa-karaNam-iti-arTaH /
   adhikaṃ nāmetyupalakṣaṇam, punaruktamapi draṣṭavyam /	aDikam nAma-iti-upalakzaNam, punar-uktam-api drazwavyam /
   dūṣyaṃ vā ityāgāmipakṣāpekṣayā vāśabdaḥ // 19 //	dUzyam vA iti-AgAmi-pakza-apekzayA vA-SabdaH // 19 //
   // pariśuddhiḥ //	// pariSudDiH //
   yathoddeśamiti---yathoddeśakramaṃ bhavatu lakṣaṇam, na tu	yaToddeSam-iti---yaTa-uddeSa-kramam Bavatu lakzaNam, na tu
   lakṣaṇakramānatikrameṇa parīkṣā bhaviṣyati, prathamata eva	lakzaNa-kramAnatikrameNa parIkzA Bavizyati, praTamatas eva
   vyatikramādityata āha---yathālakṣaṇaṃ yathāsvarūpamityartha iti /	vyatikramAt-iti-atas Aha---yaTA-lakzaNam yaTAsvarUpam-iti-arTaH iti /
   nanvevaṃ sati prathamadvitīyasūtre tātparyāntareṇāvaṣṭabdhatvānna	nanu-evam sati praTama-dvitIya-sUtre tAtparya-antareNa-avazwabDa-tvAt-na
   trividhaśāstrapravṛttyantarbhāvinī /	triviDa-SAstra-pravRtti-antar-BAvinI /
   ārthyā vṛttyā prathamasūtrasya uddeśāntarbhāve 'pi dvitīyasūtramalagnakam	ArTyA vRttyA praTama-sUtrasya uddeSa-antarBAve api dvitIya-sUtram-alagnakam
   asaṃgatikatvādityata āha---tasmāditi /	asaMgatika-tvAt-iti-atas Aha---tasmAt-iti /
   aupodghātikyā saṃgatyā prathamoddeśamaṅgatameva dvitoyasūtramarthāt /	OpodGAtikyA saMgatyA praTama-uddeSam-aFgatam-eva dvi-toya-sUtram-arTAt /
   śrutyā ca prayojanaparatayeti na prakaraṇāsaṃgatirityarthaḥ /	SrutyA ca prayojana-paratayA-iti na prakaraNa-asaMgatiH-iti-arTaH /
   śeṣaṃ sūbodhamiti /	Sezam sUboDam-iti /
   kīrttyata iti kīrtitam /	kIrtti-ate iti kIrtitam /
   tathā ca yathāyogamabhisaṃbandha iti sukhabodhamityarthaḥ //	taTA ca yaTAyogam-aBisaMbanDaH iti suKa-boDam-iti-arTaH //
   anabhyāsajñeyācchrutivivaragarbheṣu laghutaḥ sukhagrāhyānmandaiḥ	anaByAsa-jQeyAt-Sruti-vivara-garBezu laGutaH suKa-grAhyAn-mandEH
   kusumasukumārāt prathamataḥ /	kusuma-sukumArAt praTamatas /
   manaḥ śrīmadvācaspativacanavinyāsavisarāt	manaH SrImat-vAcaspati-vacana-vinyAsa-visarAt
   trasatyadyāpyetanmuhuriva muhurnirvṛtamapi // 20 //	trasati-adya-api-etat-muhur-iva muhur-nirvRtam-api // 20 //
   // iti puruṣāśaktiliṅgadoṣasāmānyalakṣaṇaprakaraṇam //	// iti puruza-aSakti-liFga-doza-sAmAnya-lakzaNa-prakaraNam //
   // ityaudayanatātparyapariśuddhau prathamādhyāyasya dvitīyāhnikam	// iti-Odayana-tAtparya-pariSudDO praTama-aDyAyasya dvitIya-Ahnikam
   samāptaḥ prathamādhyāyaḥ //	samAptaH praTama-aDyAyaH //
