   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   1.2.41ab/.trivarga^sādhakaṃ yat syād dvayor ekasya vā punaḥ/(p.26)	1.2.41ab/.trivarga^sADakam yat syAt dvayoH ekasya vA punar-/(p.26)
   1.2.41cd/.kāryaṃ tad api kurvīta na tv eka^arthaṃ dvi^bādhakam//(p.26)	1.2.41cd/.-kAryam tat api kurvIta na tu eka^arTam dvi-^bADakam-//(p.26)
   1.3.(3) vidyāsamuddeśaḥ	1.3.(3) vidyA-samuddeSaH
   1.3.1/.dharma^artha^aṅgavidyā^kālān anuparodhayan kāmasūtraṃ	1.3.1/.Darma^arTa^aFga-vidyA^kAlAn anuparoDayan kAmasUtram
   tad^aṅgavidyāś ca puruṣo +adhīyīta//(p.27)	tat-^aFga-vidyAH ca puruzaH +aDIyIta//(p.27)
   1.3.2/.prāg^yauvanāt strī/ prattā ca patyur abhiprāyāt/	1.3.2/.prAk-^yOvanAt strI/ prattA ca patyuH aBiprAyAt-/
   1.3.3/.yoṣitāṃ śāstra^grahaṇasya^abhāvād anarthakam iha śāstre	1.3.3/.yozitAm SAstra^grahaNasya^aBAvAt anarTakam iha SAstre
   strī^śāsanam ity ācāryāḥ//(p.27)	strI^SAsanam iti AcAryAH//(p.27)
   1.3.4/.prayoga^grahaṇaṃ tv āsām/ prayogasya ca śāstra^pūrvakatvād iti	1.3.4/.-prayoga^grahaNam tu AsAm/ prayogasya ca SAstra^pUrvaka-tvAt iti
   vātsyāyanaḥ//(p.28)	vAtsyAyanaH//(p.28)
   1.3.5/.tan na kevalam iha^eva/ sarvatra hi loke kati cid eva śāstrajñāḥ/	1.3.5/.tat na kevalam iha^eva/ sarvatra hi loke kati cit eva SAstra-jQAH/
   sarvajana^viṣayaś ca prayogaḥ//(p.28)	sarva-jana^vizayaH ca prayogaH//(p.28)
   1.3.6/.prayogasya ca dūrastham api śāstram eva hetuḥ//(p.28)	1.3.6/.-prayogasya ca dUra-sTam api SAstram eva hetuH//(p.28)
   1.3.7/.asti vyākaraṇam ity avaiyākaraṇā api yājñikā ūhaṃ kratuṣu	1.3.7/.asti vyAkaraNam iti avEyAkaraNAH api yAjQikAH Uham kratuzu
   prayuñjate//(p.29)	prayuQjate//(p.29)
   1.3.8/.asti jyautiṣam iti puṇya^aheṣu karma kurvate//(p.29)	1.3.8/.asti jyOtizam iti puNya^ahezu karma kurvate//(p.29)
   1.3.9/.tathā^aśva^ārohā gaja^ārohāś ca^aśvān gajāṃś ca^anadhigata^śāstrā	1.3.9/.taTA^aSva^ArohAH gajaH-^ArohAH ca^aSvAn gajAn ca^anaDigata^SAstrA
   api vinayante//(p.29)	api vinayante/-/(p.29)
   1.3.10/.tathā^asti rājā^iti dūrasthā api janapadā na maryādām ativartante	1.3.10/.taTA^asti rAjA^iti dUra-sTAH api janapadAH na maryAdAm ativartante
   tadvad etat//(p.29)	tadvat etat//(p.29)
   1.3.11/.santy api khalu śāstra^prahata^buddhayo gaṇikā rājaputryo	1.3.11/.santi api Kalu SAstra^prahata^budDayaH gaNikA rAja-putryaH-
   mahāmātra^duhitaraś ca//(p.30)	mahAmAtra^duhitaraH ca//(p.30)
   1.3.12/.tasmād vaiśvāsikāj janād rahasi prayogāñ chāstram ekadeśaṃ vā strī	1.3.12/.tasmAt vESvAsikAt janAt rahasi prayogAn CAstram eka-deSam vA strI
   gṛhṇīyāt//(p.30)	gRhNIyAt//(p.30)
   1.3.13/.abhyāsa^prayojyāṃś ca cātuḥṣaṣṭikān yogān kanyā rahasy ekākiny	1.3.13/.aByAsa^prayojyAn ca cAtuHzazwikAn yogAn kanyA rahasi ekAkiny
   abhyaset//(p.30)	aByaset//(p.30)
   1.3.14/.ācāryās tu kanyānāṃ pravṛtta^puruṣa^saṃprayogā saha^saṃpravṛddhā	1.3.14/.AcAryAH tu kanyAnAm pravRtta^puruza^saMprayogA saha^saMpravRdDA
   dhātreyikā/ tathā^bhūtā vā niratyaya^saṃbhāṣaṇā sakhī/ savayāś ca	DAtreyikA/ taTA^BUtAH vA niratyaya^saMBAzaNA saKI/ savayAH ca
   mātṛṣvasā/ visrabdhā tat^sthānīyā vṛddha^dāsī/ pūrva^saṃsṛṣṭā vā bhikṣukī/	mAtRzvasA/ visrabDA tat-^sTAnIyA vRdDa^dAsI/ pUrva^saMsRzwA vA BikzukI/
   svasā ca viśvāsa^prayogāt//(p.30)	svasA ca viSvAsa^prayoga-at//(p.30)
   1.3.15/.gītaṃ, vādyaṃ, nṛtyaṃ, ālekhyaṃ, viśeṣakacchedyaṃ,	1.3.15/.gItan, vAdyan, nRtyan, AleKyaM, viSezaka=-CedyaM,
   taṇḍula^kusuma^vali^vikārāḥ, puṣpa^āstaraṇaṃ, daśana^vasana^aṅga^rāgaḥ,	taNxula^kusuma^vali^vikArAH, puzpaH-^AstaraNan, daSana^vasana^aFga^rAgaH,
   maṇi^bhūmikā^karma, śayana^racanam, udaka^vādyam, udaka^āghātaḥ, citrāś ca	maNi^BUmikA^karma, Sayana^racanam, udaka^vAdyam, udaka-^AGAtaH, citrAH ca
   yogāḥ, mālya^grathana^vikalpāḥ, śekharakā^pīḍa^yojanaṃ, nepathya^prayogāḥ,	yogAH, mAlya^graTana^vikalpAH, SeKarakA^pIxa^yojanan, nepaTya^prayogAH,
   karṇa^pattra^bhaṅgāḥ, gandha^yuktiḥ, bhūṣaṇa^yojanam,(p.32) aindrajālāḥ,	karNa^pattra^BaFgAH, ganDa^yuktiH, BUzaNa^yojanam-,(p.32) EndrajAlAH,
   kaucumārāś	kOcumArAH-
   ca yogāḥ, hasta^lāghavaṃ, vicitra^śāka^yūṣa^bhakṣya^vikāra^kriyā,	ca yogAH, hasta^lAGavan, vicitra^SAka^yUza^Bakzya^vikAra^kriyA,
   pānaka^rasa^rāga^āsava^yojanaṃ, sūcīvāna^karmāṇi, sūtra^krīḍā,	pAnaka^rasa^rAgaH-^Asava^yojanaM, sUcIvAna^karmANi, sUtra^krIxA,
   vīṇā^ḍamaruka^vādyāni, prahelikā, pratimālā, durvācakayogāḥ,	vINA^xamaruka^vAdyAni, prahelikA, pratimAlA, durvAcaka-yogAH,
   pustaka^vācanaṃ, nāṭaka^ākhyāyikā^darśanaṃ, kāvya^samasyā^pūraṇaṃ,	pustaka^vAcanaM, nAwakaH-^AKyAyikA^darSanan, kAvya^samasyAH-^pUraNaM,
   paṭṭikā^*vetra^vāna[ch:vāna.vetra]^vikalpāḥ, takṣa^karmāṇi, takṣaṇaṃ,	pawwikAH-^*vetra^vAna[S:vAna.vetra]^vikalpAH, takza^karmANi, takzaNaM,
   vāstu^vidyā, rūpya^*ratna[ch	vA-astu^vidyA, rUpya^*ratna[S
   omits]^parīkṣā, dhātu^vādaḥ, maṇi^rāga^ākara^jñānaṃ, vṛkṣāyurveda^yogāḥ,	omits]^parIkzA, DAtu^vAdaH, maNi^rAgaH-^Akara^jQAnaM, vRkza-Ayurveda^yogAH,
   meṣa^kukkuṭa^lāvaka^yuddha^vidhiḥ, śuka^sārikā^pralāpanam, utsādane	meza^kukkuwa^lAvaka^yudDa^viDiH, Suka^sArikA^pralApanam, utsAdane
   saṃvāhane keśa^mardane ca kauśalyaṃ[ch:kauśalaṃ], akṣara^muṣṭikā^kathanaṃ,	saMvAhane keSa^mardane ca kOSalyan[S:kOSalaM], akzara^muzwikA^kaTanaM,
   mlecchita^vikalpāḥ, deśa^bhāṣā^vijñānaṃ, puṣpa^śakaṭikā, nimitta^jñānaṃ,	mlecCita^vikalpAH, deSa^BAzA^vijQAnaM, puzpa^SakawikA, nimitta^jQAnaM,
   yantra^mātṛkā, dhāraṇa^mātṛkā, saṃpāthyaṃ, mānasī, kāvya^kriyā,	yantra^mAtRkA, DAraNa^mAtRkA, saMpATyan, mAnasI, kAvya^kriyA,
   abhidhāna^*koṣaḥ[ch:kāṣaḥ], chando^jñānaṃ, kriyā^kalpaḥ, chalitaka^yogāḥ,	aBiDAnaH-^*kozaH[S:kAzaH], CandaH-^jQAnaM, kriyA^kalpaH, Calitaka^yogAH,
   vastra^gopanāni, *dyūti^viśeṣāḥ[ch:dyūta^viśeṣaḥ], ākarṣa^krīḍā,	vastra^gopanAni, *dyUti^viSezAH[C:dyUta^viSezaH], Akarza^krIxA,
   bāla^krīḍanakāni, vainayikīnāṃ (p.33) vaijayikīnāṃ vyāyāmikīnāṃ ca	bAla^krIxana-kAni, vEnayikInAm (p.33) vEjayikInAm vyAyAmikInAm ca
   vidyānāṃ jñānam, iti catuḥṣaṣṭir aṅgavidyāḥ	vidyAnAm jQAnam, iti catuHzazwiH aFga-vidyAH
   kāmasūtrasya^avayavinyaḥ//(p.34)	kAmasUtrasya^avayavinyaH//(p.34)
   1.3.16/.pāñcālikī ca catuḥṣaṣṭir aparā/ tasyāḥ prayogān anvavetya	1.3.16/.pAQcAlikI ca catuHzazwiH aparA/ tasyAH prayogAn anvavetya
   sāṃprayogike vakṣyāmaḥ/ kāmasya tad^ātmakatvāt//(p.41)	sAMprayogike vakzyAmaH/ kAmasya tat-^Atmaka-tva-at//(p.41)
   1.3.17a/.ābhir abhyucchritā veśyā śīla^rūpa^guṇa^anvitā/(p.41)	1.3.17a/.ABiH aByucCritA veSyA SIla^rUpa^guNa^anvitA/(p.41)
   1.3.17b/.labhate gaṇikā^śabdaṃ sthānaṃ ca janasaṃsadi//(p.41)	1.3.17b/.laBate gaNikA^Sabdam sTAnam ca jana-saMsadi//(p.41)
   1.3.18a/.pūjitā sā sadā rājñā guṇavadbhiś ca saṃstutā/(p.42)	1.3.18a/.-pUjitA sA sadA rAjQA guNavadBiH ca saMstuta-a/(p.42)
   1.3.18b/.prārthanīyā^abhigamyā ca lakṣya^bhūtā ca jāyate//(p.42)	1.3.18b/.-prArTanIyA^aBigamyA ca lakzya^BUtA ca jAyate//(p.42)
   1.3.19a/.yogajñā rājaputrī ca mahāmātra^sutā tathā/(p.42)	1.3.19a/.yoga-jQA rAja-putrI ca mahAmAtra^sutA taTA-a/(p.42)
   1.3.19b/.sahasra^*antaḥpunar[ch:antaḥpuram] api svavaśe kurute	1.3.19b/.-sahasra^*antaH-punar[C:antaHpuram] api sva-vaSe kurute
   patim//(p.42)	patim-//(p.42)
   1.3.20a/.tathā pativiyoge ca vyasanaṃ dāruṇaṃ gatā/(p.42)	1.3.20a/.taTA pati-viyoge ca vyasanam dAruNam gatA/(p.42)
   1.3.20b/.deśa^antare +api vidyābhiḥ sā sukhena^eva jīvati//(p.42)	1.3.20b/.deSa^antare +api vidyABiH sA suKena^eva jIvati//(p.42)
   1.3.21a/.naraḥ kalāsu kuśalo vācālaś cāṭukārakaḥ/(p.42)	1.3.21a/.naraH kalAsu kuSalaH vAcAlaH cAwu-kArakaH/(p.42)
   1.3.21b/.asaṃstuto +api nārīṇāṃ cittam āśv eva vindati//(p.42)	1.3.21b/.a-saMstutaH +api nArINAm cittam ASu eva vindati//(p.42)
   1.3.22a/.kalānāṃ grahanād eva saubhāgyam upajāyate/(p.42)	1.3.22a/.kalAnAm grahanAt eva sOBAgyam upajAyate/(p.42)
   1.3.22b/.deśa^kālau tv apekṣya^āsāṃ prayogaḥ saṃbhaven na vā//(p.42)	1.3.22b/.da-ISa^kAlO tu apekzya^AsAm prayogaH saMBavet na vA//(p.42)
   1.4.(4) nāgarakavṛttam	1.4.(4) nAgaraka-vRttam
   1.4.1/.gṛhītavidyaḥ pratigraha^jaya^kraya^nirveśa^adhigatair arthair	1.4.1/.gRhIta-vidyaH pratigraha^jaya^kraya^nirveSa^aDigatEH arTEH-
   anvaya^āgatair ubhayair vā gārhasthyam adhigamya nāgaraka^vṛttaṃ	anvaye-^AgatEH uBayEH vA gArhasTyam aDigamya nAgaraka^vRttam
   varteta//(p.43)	varteta//(p.43)
   1.4.2/.nagare pattane kharvaṭe mahati vā sajjana^āśraye sthānam/	1.4.2/.nagare pattane Karvawe mahati vA sat-jana^ASraye sTAnam/
   yātrā^vaśād vā//(p.44)	yAtrA^vaSAt vA//(p.44)
   1.4.3/.tatra bhavanam āsanna^udakaṃ vṛkṣa^vāṭikāvad vibhakta^karma^kakṣaṃ	1.4.3/.tatra Bavanam Asanna^udakam vRkza^vAwikA-vat viBakta^karma^kakzam
   dvi^vāsa^gṛhaṃ kārayet//(p.44)	dvi^vAsa^gRham kArayet-//(p.44)
   1.4.4/.bāhye ca vāsa^gṛhe suślakṣṇam ubhaya^upadhānaṃ madhye vinataṃ	1.4.4/.-bAhye ca vAsa^gRhe su-SlakzNam uBaya^upaDAnam maDye vinatam
   śukla^uttara^cchadaṃ śayanīyaṃ syāt/ pratiśayyikā ca/ tasya śiro^bhāge	SuklaH-^uttara^cCadam SayanIyam syAt/ pratiSayyikA ca/ tasya SiraH-^BAge
   kūrca^sthānam, vedikā ca/ tatra rātri^śeṣam anulepanaṃ mālyaṃ	kUrca^sTAnam, vedikA ca/ tatra rAtri^Sezam anulepanam mAlyam
   siktha^karaṇḍakaṃ saugandhika^puṭikā mātuluṅga^tvacas tāmbūlāni ca syuḥ/	sikTa^karaNxakam sOganDika^puwikA mAtuluFga^tvacaH tAmbUlAni ca syuH/
   bhūmau patad^grahaḥ/ nāga^danta^avasaktā vīṇā/citraphalakam/	BUmO patat-^grahaH/ nAga^danta^avasaktA vINA/-citra-Palakam/
   vartikāsamudgakaḥ/	vartikA-samudgakaH/
   yaḥ kaścit pustakaḥ/ kuraṇṭakamālāś ca/ nātidūre bhūmau vṛtta^āstaraṇaṃ	yaH kaScid pustakaH/ kuraNwaka-mAlAH ca/ na-ati-dUre BUmO vRttaH-^AstaraNam
   samastakam/ ākarṣa^phalakaṃ dyūta^phalakaṃ ca/ tasya bahiḥ	samasta-kam/ Akarza^Palakam dyUta^Palakam ca/ tasya bahis-
   krīḍā^śakuni^pañjarāṇi/ ekānte ca takṣa^takṣaṇa^sthānam anyāsāṃ ca	krIxA^Sakuni^paQjarANi/ ekAnte ca takza^takzaNa^sTAnam anyAsAm ca
   krīḍānām/ svāstīrṇā preṅkhādolā vṛkṣavāṭikāyāṃ sapracchāyā/	krIxA-nAm/ su-AstIrNA preFKA-dolA vRkza-vAwikAyAm sa-pracCAyA/
   sthaṇḍila^pīṭhikā ca sakusumeti bhavana^vinyāsaḥ//(p.45)	sTaNxila^pIWikA ca sa-kusumA-iti Bavana^vinyAsaH//(p.45)
   1.4.5/.sa prātar utthāya kṛta^niyata^kṛtyaḥ, gṛhīta^danta^dhāvanaḥ,	1.4.5/.sa prAtar utTAya kRta^niyata^kRtyaH, gRhIta^danta^DAvanaH,
   mātrayā^anulepanaṃ dhūpaṃ srajam iti ca gṛhītvā, dattvā sikthakam	mAtrayA^anulepanam DUpam srajam iti ca gRhItvA, dattvA sikTakam
   alaktakaṃ ca, dṛṣṭvā^ādarśe mukham, gṛhīta^mukha^vāsa^tāmbūlaḥ, kāryāṇy	alaktakam ca, dRzwvA^AdarSe muKam, gRhIta^muKa^vAsa^tAmbUlaH, kAryANi-
   anutiṣṭhet//(p.47)	anutizWet//(p.47)
   1.4.6/.nityaṃ snānam/ dvitīyakam utsādanam/ tṛtīyakaḥ phenakaḥ/	1.4.6/.nityam snAnam/ dvitIyakam utsAdanam/ tRtIyakaH PenakaH/
   caturthakam āyuṣyam/ pañcamakaṃ daśamakaṃ vā pratyāyuṣyam ity ahīnam/	caturTakam Ayuzyam/ paQcamakam daSamakam vA pratyAyuzyam iti ahInam-/
   sātatyāc ca saṃvṛta^kakṣā^sveda^apanodaḥ/	sAtatyAt ca saMvRta^kakzA^sveda^apanodaH/
   1.4.7/.pūrvāhṇa^aparāhṇayor bhojanam/ sāyaṃ cārāyaṇasya/	1.4.7/.pUrvAhNa^aparAhNayoH Bojanam/ sAyam cArAyaNasya/
   1.4.8/.bhojana^anantaraṃ śuka^sārikā^pralāpana^vyāpārāḥ/	1.4.8/.Bojana^anantaram Suka^sArikA^pralApana^vyApArAH/
   lāvaka^*kukkaṭa[ch:kukkuṭa]^meṣa^yuddhāni/ tās tāś ca kalā^krīḍāḥ/	lAvakaH-^*kukkawa[S:kukkuwa]^meza^yudDa-ani/ tAH tAH ca kalA^krIxAH/
   pīṭhamarda^viṭa^vidūṣaka^āyattā vyāpārāḥ/ divā^śayyā ca/	pIWamarda^viwa^vidUzakaH-^AyattAH vyApArAH/ divA^SayyA ca/
   1.4.9/.gṛhīta^prasādhanasya^aparāhṇe goṣṭhī^vihārāḥ/	1.4.9/.gRhIta^prasADanasya^aparAhNe gozWI^vihArAH/
   1.4.10/.pradoṣe ca saṃgītakāni/ tad ante ca prasādhite vāsa^gṛhe	1.4.10/.-pradoze ca saMgItakAni/ tat ante ca prasADite vAsa^gRhe
   saṃcārita^surabhi^dhūpe sasahāyasya śayyāyām abhisārikāṇāṃ pratīkṣaṇam,	saMcArita^suraBi^DUpe sa-sahAyasya SayyAyAm aBisArikANAm pratIkzaNam,
   1.4.11/.dūtīnāṃ preṣaṇam, svayaṃ vā gamanam/	1.4.11/.dUtInAm prezaNam, svayam vA gamanam/
   1.4.12/.āgatānāṃ ca manoharair ālāpair upacāraiś ca sasahāyasya^upakramāḥ/	1.4.12/.AgatAnAm ca manoharEH AlApEH upacArEH ca sa-sahAyasya^upakramAH/
   1.4.13/.varṣa^pramṛṣṭane pathyānāṃ durdinā^abhisārikāṇāṃ svayam eva punar	1.4.13/.varza^pramRzwane paTyAnAm durdinA^aBisArikANAm svayam eva punar-
   maṇḍanam, mitra^janena vā paricaraṇam ity āhorātrikam//(p.48)	maNxanam, mitra^janena vA paricaraNam iti AhorAtrikam-//(p.48)
   1.4.14/.ghaṭā^nibandhanam, goṣṭhī^samavāyaḥ, samāpānakam, udyāna^gamanam,	1.4.14/.GawA^nibanDanam, gozWI^samavAyaH, samApAnakam, udyAna^gamanam,
   samasyāḥ krīḍāś ca pravartayet/	samasyAH krIxAH ca pravartayet-/
   1.4.15/.pakṣasya māsasya vā prajñāte (p.50) +ahani sarasvatyā bhavane	1.4.15/.pakzasya mAsasya vA prajQAte (p.50) +ahani sarasvatyAH Bavane
   niyuktānāṃ nityaṃ samājaḥ/	niyuktAnAm nityam samAjaH/
   1.4.16/.kuśīlavāś ca^āgantavaḥ prekṣaṇakam eṣāṃ dadyuḥ/ dvitīye +ahani	1.4.16/.kuSIlavAH ca^AgantavaH prekzaNakam ezAm dadyuH/ dvitIye +ahani
   tebhyaḥ pūjā niyataṃ labheran/ tato yathāśraddham eṣāṃ darśanam utsargo	teByaH pUjA niyatam laBeran/ tatas yaTASradDam ezAm darSanam utsargaH-
   vā/ vyasana^utsaveṣu ca^eṣāṃ parasparasya^ekakāryatā/	vA/ vyasanaH-^utsavezu ca^ezAm parasparasya^eka-kArya-tA/
   1.4.17/.āgantūnāṃ ca kṛta^samavāyānāṃ pūjanam abhyupapattiś ca/ iti	1.4.17/.AgantUnAm ca kRta^samavAyAnAm pUjanam aByupapattiH ca/ iti
   gaṇa^dharmaḥ/	gaNa^DarmaH/
   1.4.18/.etena taṃ taṃ devatā^viśeṣam uddiśya saṃbhāvita^sthitayo ghaṭā	1.4.18/.etena tam tam devatA^viSezam uddiSya saMBAvita^sTitayaH GawA
   vyākhyātāḥ//(p.51)	vyAKyAtAH//(p.51)
   1.4.19/.veśyā^bhavane sabhāyām anyatamasya^*udavasite[ch:udvasite] vā	1.4.19/.veSyA^Bavane saBAyAm anyatamasya^*uda-vasite[-S:udvasite] vA
   samāna^vidyā^buddhi^śīla^vitta^vayasāṃ saha veśyābhir anurūpair ālāpair	samAna^vidyA^budDi^SIla^vitta^vayasAm saha veSyABiH anurUpEH AlApEH-
   āsana^bandho goṣṭhī/	Asana^banDaH gozWI/
   1.4.20/.tatra ca^eṣāṃ kāvya^samasyā kalāsamasyā vā/	1.4.20/.tatra ca^ezAm kAvya^samasyA kalA-samasyAH vA/
   1.4.21/.tasyām ujjvalā loka^kāntāḥ pūjyāḥ/ prītisamānāś	1.4.21/.tasyAm ujjvalAH loka^kAntAH pUjyAH/ prIti-samAnAH-
   *cāhāritāḥ[ch:cāhāritaḥ]//(p.53)	*ca-AhAritAH[S:cA-AhAritaH]//(p.53)
   1.4.22/.paraspara^bhavaneṣu ca^āpānakāni//(p.53)	1.4.22/.paraspara^Bavanezu ca^ApAnaka-ani//(p.53)
   1.4.23/.tatra madhu^maireya^surā^āsavān	1.4.23/.tatra maDu^mEreya^surAH-^AsavAn
   vividha^lavaṇa^phala^harita^śāka^tikta^kaṭuka^(p.53)amla^upadaṃśān veśyāḥ	viviDa^lavaNa^Pala^haritaH-^SAka^tikta^kawukaH-^(p.53)amla^upadaMSAn veSyAH
   pāyayeyur anupibeyuś ca/	pAyayeyuH anupibeyuH ca/
   1.4.24/.etena^udyāna^gamanaṃ vyākhyātam//(p.54)	1.4.24/.etena^udyAna^gamanam vyAKyAtam-//(p.54)
   1.4.25/.pūrvāhṇa eva svalaṃkṛtās turaga^adhirūḍhā veśyābhiḥ saha	1.4.25/.pUrvAhNe eva su-alaMkRtAH turaga^aDirUXAH veSyABiH saha
   paricāraka^anugatā gaccheyuḥ/ daivasikīṃ ca yātrāṃ tatra^anubhūya	paricAraka^anugatAH gacCeyuH/ dEvasikIm ca yAtrAm tatra^anuBUya
   kukkuṭa^yuddha^dyūtaiḥ prekṣābhir anukūlaiś ca ceṣṭitaiḥ kālaṃ gamayitvā	kukkuwa^yudDa^dyUtEH prekzABiH anukUlEH ca cezwitEH kAlam gamayitvA
   aparāhṇe gṛhīta^tad^udyāna^upabhoga^cihnās tathā^eva pratyāvrajeyuḥ/	aparAhNe gRhIta^tat-^udyAnaH-^upaBoga^cihnAH taTA^eva pratyAvrajeyuH/
   1.4.26/.etena racita^udgrāha^udakānāṃ grīṣme jala^krīḍā^gamanaṃ	1.4.26/.etena racitaH-^udgrAha^udakAnAm grIzme jala^krIxA^gamanam
   vyākhyātam//(p.54)	vyAKyAtam-//(p.54)
   1.4.27/.yakṣa^rātriḥ/ kaumudī^jāgaraḥ/ suvasantakaḥ//(p.55)	1.4.27/.yakza^rAtriH/ kOmudI^jAgaraH/ suvasantakaH//(p.55)
   1.4.28/.sahakāra^bhañjikā, abhyūṣakhādikā, visakhādikā, navapatrikā,	1.4.28/.-sahakAra^BaQjikA, aByUzaKa-AdikA, visaKAdikA, navapatrikA,
   udakakṣveḍikā, pāñcāla^anuyānam, eka^śālmalī, kadambayuddhāni, tās tāś ca	uda-ka-kzvexikA, pAQcAla^anuyAnam, eka^SAlmalI, kadamba-yudDAni, tAH tAH ca
   māhimānyo deśyāś ca krīḍā janebhyo viśiṣṭam ācareyuḥ/ iti saṃbhūya	mAhimAnyaH deSyAH ca krIxA janeByaH viSizwam AcareyuH/ iti saMBUya
   krīḍāḥ//(p.56)	krIxAH//(p.56)
   1.4.29/.ekacāriṇaś ca vibhava^sāmarthyād	1.4.29/.ekacAriNaH ca viBava^sAmarTyAt-
   1.4.30/.gaṇikāyā nāyikāyāś ca sakhībhir nāgarakaiś ca saha caritam etena	1.4.30/.gaNikAyAH nAyikAyAH ca saKIBiH nAgarakEH ca saha caritam etena
   vyākhyātam//(p.57)	vyAKyAtam-//(p.57)
   1.4.31/.avibhavas tu śarīra^mātro mallikā^phenaka^kaṣāya^mātra^paricchadaḥ	1.4.31/.a-viBavaH tu SarIra^mAtraH mallikA^Penaka^kazAya^mA-atra^paricCadaH
   pūjyād (p.57)deśād āgataḥ kalāsu vicakṣaṇas tad^upadeśena goṣṭhyāṃ	pUjyAt (p.57)da-ISAt AgataH kalAsu vicakzaNaH tat-^upadeSena gozWyAm
   veśa^ucite ca vṛtte sādhayed ātmānam iti pīṭha^mardaḥ//(p.58)	veSaH-^ucite ca vRtte sADayet AtmAnam iti pIWa^mardaH//(p.58)
   1.4.32/.bhukta^vibhavas tu guṇavān sakalatro veśe goṣṭhyāṃ ca bahumatas	1.4.32/.Bukta^viBavaH tu guNavAn sa-kalatraH veSe gozWyAm ca bahu-mata-s
   tad upajīvī ca viṭaḥ//(p.58)	tat upajIvI ca viwaH//(p.58)
   1.4.33/.ekadeśa^vidyas tu krīḍanako viśvāsyaś ca vidūṣakaḥ/ vaihāsiko vā/	1.4.33/.eka-deSa^vidyaH tu krIxanakaH viSvAsyaH ca vidUzakaH/ vEhAsikaH vA/
   1.4.34/.ete veśyānāṃ nāgarakāṇāṃ ca mantriṇaḥ	1.4.34/.ete veSyAnAm nAgarakANAm ca mantriNaH
   saṃdhi^vigraha^niyuktāḥ//(p.59)	saMDi^vigraha^niyuktAH//(p.59)
   1.4.35/.tair bhikṣukyaḥ kalā^vidagdhā muṇḍā vṛṣalyo vṛddha^gaṇikāś ca	1.4.35/.tEH BikzukyaH kalA^vidagDAH muNxAH vRzalyaH vRdDa^gaNikAH ca
   vyākhyātāḥ//(p.59)	vyAKyAtAH//(p.59)
   1.4.36/.grāma^vāsī ca sajātān vicakṣaṇān kautūhalikān protsāhya	1.4.36/.grAma^vAsI ca sajAtAn vicakzaNAn kOtUhalikAn protsAhya
   nāgarakajanasya vṛttaṃ varṇayañ śraddhāṃ ca janayaṃs tad eva^anukurvīta/	nAgaraka-janasya vRttam varNayan SradDAm ca janayan tat eva^anukurvIta/
   goṣṭhīś ca pravartayet/ saṃgatyā janam anurañjayet/ karmasu ca sāhāyyena	gozWIH ca pravartayet/ saMgatyA janam anuraQjayet/ karmasu ca sAhAyyena
   ca^anugṛhṇīyāt/ upakārayec ca/ iti nāgaraka^vṛttam//(p.59)	ca^anugRhNIya-at/ upakArayet ca/ iti nAgaraka^vRttam-//(p.59)
   1.4.37a/.na^atyantaṃ saṃskṛtena^eva na^atyantaṃ deśa^bhāṣayā/(p.60)	1.4.37a/.na^atyantam saMskRtena^eva na^atyantam deSa^BAzayA/(p.60)
   1.4.37b/.kathāṃ goṣṭhīṣu kathayaṃl loke bahumato bhavet//(p.60)	1.4.37b/.kaTAm gozWIzu kaTayan loke bahu-mataH Bavet-//(p.60)
   1.4.38a/.yā goṣṭhī loka^vidviṣṭā yā ca svaira^visarpiṇī/(p.60)	1.4.38a/.yA gozWI loka^vidvizwA yA ca svEra^visarpiNI/(p.60)
   1.4.38b/.parahiṃsā^ātmikā yā ca na tām avatared budhaḥ//(p.60)	1.4.38b/.para-hiMsA^AtmikA yA ca na tAm avataret buDaH//(p.60)
   1.4.39a/.loka^citta^anuvartinyā krīḍā^mātra^ekakāryayā/(p.60)	1.4.39a/.loka^citta^anuvartinyA krIxA^mAtra^eka-kAryayA/(p.60)
   1.4.39b/.goṣṭhyā sahacaran vidvāṃl loke siddhiṃ niyacchati//(p.60)	1.4.39b/.gozWyA sahacaran vidvAn loke sidDim niyacCati//(p.60)
   1.5.(5) nāyakasahāyadūtīkarmavimarśaḥ	1.5.(5) nAyaka-sahAya-dUtI-karma-vimarSaH
   1.5.1/.kāmaś caturṣu varṇeṣu savarṇataḥ śāstrataś ca^ananya^pūrvāyāṃ	1.5.1/.kAmaH caturzu varNezu savarNataH SAstrataH ca^ananyaH-^pUrvAyAm
   prayujyamānaḥ putrīyo yaśasyo laukikaś ca bhavati//(p.61)	prayujyamAnaH putrIyaH yaSasyaH lOkikaH ca Bavati//(p.61)
   1.5.2/.tad^viparīta uttama^varṇāsu para^parigṛhītāsu ca/ pratiṣiddho	1.5.2/.tat-^viparItaH uttama^varNAsu para^parigRhItAsu ca/ pratizidDaH-
   +avara^varṇāsv aniravasitāsu/ veśyāsu punarbhūṣu ca na śiṣṭo na	+avara^varNAsu aniravasita-asu/ veSyAsu punarBUzu ca na SizwaH na
   pratiṣiddhaḥ/ sukha^arthatvāt//(p.61)	pratizidDaH/ suKa^arTa-tva-at//(p.61)
