   Buddhacarita	BudDa-carita
   duḥkhārditebhyo viṣayāvṛtebhyaḥ saṃsārakāntārapathasthitebhyaḥ /	duHKa-arditeByaH vizaya-AvRteByaH saMsAra-kAntAra-paTa-sTiteByaH /
   ākhyāsyati hyeṣa vimokṣamārga mārgapranaṣṭebhya ivādhvagebhyaḥ // Bc_1.72	AKyAsyati hi-eza vimokza-mArga mArga-pranazweByaH iva-aDvageByaH // Bc_1.72
   vidahyamānāya janāya loke rāgāgnināyaṃ viṣayendhanena /	vidahyamAnAya janAya loke rAga-agninA-ayam vizaya-inDanena /
   pralhādamādhāsyati dharmavṛṣṭyā vṛṣṭyā mahāmegha ivātapānte // Bc_1.73 //	pralhAdam-ADAsyati Darma-vRzwyA vRzwyA mahA-meGaH iva-Atapa-ante // Bc_1.73 //
   tṛṣṇārgalaṃ mohatamaḥkapāṭaṃ dvāraṃ prajānāmapayānahetoḥ /	tRzNA-argalam moha-tamaH-kapAwam dvAram prajAnAm-apayAna-hetoH /
   vipāṭayiṣyatyayamuttamena saddharmatāḍena durāsadena // Bc_1.74 //	vipAwayizyati-ayam-uttamena sat-Darma-tAxena durAsadena // Bc_1.74 //
   svairmohapāśaiḥ pariveṣṭitasya duḥkhābhibhūtasya nirāśrayasya /	svEH-moha-pASEH parivezwitasya duHKa-aBiBUtasya nirASrayasya /
   lokasya saṃbudhya ca dharmarājaḥ kariṣyate bandhanamokṣameṣaḥ // Bc_1.75	lokasya saMbuDya ca DarmarAjaH karizyate banDana-mokza-mezaH // Bc_1.75
   tanmā kṛthāḥ śokamimaṃ prati tvamasminsa śocyo 'sti manuṣyaloke /	tat-mA kRTAH Sokam-imam prati tvam-asmin-sa SocyaH asti manuzya-loke /
   mohena vā kāmasukhairmadādvā yo naiṣṭhikaṃ śroṣyati nāsya dharmam //	mohena vA kAma-suKEH-madAt-vA yaH nEzWikam Srozyati na-asya Darmam //
   Bc_1.76 //	Bc_1.76 //
   bhraṣṭasya tasmācca guṇādato me dhyānāni labdhvāpyakṛtārthataiva /	Brazwasya tasmAt-ca guNAt-atas me DyAnAni labDvA-api-akRtArTa-tA-eva /
   dharmasya tasyāśravaṇādahaṃ hi manye vipattiṃ tridive 'pi vāsam // Bc_1.77	Darmasya tasya-aSravaNAt-aham hi manye vipattim tridive api vAsam // Bc_1.77
   iti śrutārthaḥ sasuhṛtsadārastyaktvā viṣādaṃ mumude narendraḥ /	iti Sruta-arTaH sa-suhRd-sa-dAraH-tyaktvA vizAdam mumude narendraH /
   evaṃvidho 'yaṃ tanayo mameti mene sa hi svāmapi sāravattām // Bc_1.78 //	evaMviDaH ayam tanayaH mama-iti mene sa hi svAm-api sAravat-tAm // Bc_1.78 //
   ārṣeṇa mārgeṇa tu yāsyatīti cintāvidheyaṃ hṛdayaṃ cakāra /	ArzeNa mArgeNa tu yAsyati-iti cintA-viDeyam hRdayam cakAra /
   na khalvasau na priyadharmapakṣaḥ / saṃtānanāśāttu bhayaṃ dadarśa //	na Kalu-asO na priya-Darma-pakzaH / saMtAna-nASAt-tu Bayam dadarSa //
   Bc_1.79 //	Bc_1.79 //
   atha munirasito nivedya tattvaṃ sutaniyataṃ sutaviklavāya rājñe /	aTa muniH-asitaH nivedya tattvam suta-niyatam suta-viklavAya rAjQe /
   sabahumatumudīkṣyamāṇarūpaḥ pavanapathena yathāgataṃ jagāma // Bc_1.80 //	sa-bahu-matum-udIkzyamANa-rUpaH pavana-paTena yaTAgatam jagAma // Bc_1.80 //
   kṛtamitiranujāsutaṃ ca dṛṣṭvā munivacanaśravaṇe ca tanmatau ca /	kRta-mitiH-anujA-sutam ca dRzwvA muni-vacana-SravaNe ca tad-matO ca /
   bahuvidhamanukampayā sa sādhuḥ priyasutavadviniyojayāṃcakāra // Bc_1.81 //	bahuviDam-anukampayA sa sADuH priya-suta-vat-viniyojayAMcakAraH // Bc_1.81 //
   narapatirapi putrajanmatuṣṭo viṣayagatāni vimucya bandhanāni /	narapatiH-api putra-janma-tuzwaH vizaya-gatAni vimucya banDanAni /
   kulasadṛśamacīrakaradyathāvatpriyatanayastanayasya jātakarma // Bc_1.82 //	kula-sadRSam-acIra-karadyaTAvat-priya-tanayaH-tanayasya jAtakarma // Bc_1.82 //
   daśasu pariṇateṣvahaḥsu caiva prayatamanāḥ parayā mudā parītaḥ /	daSasu pariNatezu-ahaHsu ca-eva prayata-manAH parayA mudA parItaH /
   akuruta japahomamaṅgalādyāḥ paramabhavāya sutasya devatejyāḥ // Bc_1.83 //	akuruta japa-homa-maFgala-AdyAH parama-BavAya sutasya devatA-ijyAH // Bc_1.83 //
   api ca śatasahasrapūrṇasaṃkhyāḥ sthirabalavattanayāḥ sahemaśṛṅgīḥ /	api ca Sata-sahasra-pUrNa-saMKyAH sTira-balavat-tanayAH sa-hema-SRFgIH /
   anupagatajarāḥ payasvinīrgāḥ svayamadadātsutavṛddhaye dvijebhyaḥ //	anupagata-jarAH payasvi-nIrgAH svayam-adadAt-suta-vRdDaye dvijeByaH //
   Bc_1.84 //	Bc_1.84 //
   bahuvidhaviṣayāstato yatātmā svahṛdayatoṣakarīḥ kriyā vidhāya /	bahuviDa-vizayAH-tatas yata-AtmA sva-hRdaya-toza-karIH kriyAH viDAya /
   guṇavati niyate śive muhūrte matimakaronmuditaḥ purapraveśe // Bc_1.85 //	guNavati niyate Sive muhUrte matim-akarot-muditaH pura-praveSe // Bc_1.85 //
   dviradaradamayīmatho mahārhā sitasitapuṣpabhṛtāṃ maṇipradīpām /	dvirada-rada-mayIm-aTo mahArhA sita-sita-puzpa-BRtAm maNi-pradIpAm /
   abhajata śivikāṃ śivāya devī tanayavatī praṇipatya devatābhyaḥ // Bc_1.86	aBajata SivikAm SivAya devI tanayavatI praNipatya devatAByaH // Bc_1.86
   puramatha purataḥ praveśya patnīṃ sthavirajanānugatāmapatyanāthām /	puram-aTa puratas praveSya patnIm sTavira-jana-anugatAm-apatya-nATAm /
   nṛpatirapi jagāma paurasaṃghairdivamamarairmaghavānivārcyamānaḥ // Bc_1.87	nRpatiH-api jagAma pOra-saMGEH-divam-amarEH-maGavAn-iva-arcyamAnaH // Bc_1.87
   bhavanamatha vigāhya śākyarājo bhava iva ṣaṇmukhajanmanā pratītaḥ /	Bavanam-aTa vigAhya SAkya-rAjaH BavaH iva zaNmuKa-janmanA pratItaH /
   idamidamiti harṣapūrṇavaktro bahuvidhapuṣṭiyaśaskaraṃ vyadhatta // Bc_1.88	idam-idam-iti harza-pUrNa-vaktraH bahuviDa-puzwi-yaSaskaram vyaDatta // Bc_1.88
   iti narapatiputrajanmavṛddhyā sajanapadaṃ kapilāvhayaṃ puraṃ tat /	iti narapati-putra-janma-vRdDyA sa-janapadam kapilA-vhayam puram tat /
   dhanadapuramivāpsaro 'vakīrṇa muditamabhūnnalakūbaraprasūtau // Bc_1.89 //	Danada-puram-iva-apsaraH avakIrNa muditam-aBUt-nala-kUbara-prasUtO // Bc_1.89 //
   iti buddhacarite mahākāvye bhagavatprasūtirnāma prathamaḥ sargaḥ // 1 //	iti budDacarite mahAkAvye Bagavat-prasUtiH-nAma praTamaH sargaH // 1 //
   CANTO II	CANTO II
   ā janmano janmajarāntakasya tasyātmajasyātmajitaḥ sa rājā /	A janmanaH janma-jarA-antakasya tasya-Atmajasya-Atma-jitaH sa rAjA /
   ahanyahanyarthagajāśvamitrairvṛddhiṃ yayau sindhurivāmbuvegaiḥ // Bc_2.1	ahani-ahani-arTa-gaja-aSva-mitrEH-vRdDim yayO sinDuH-iva-ambu-vegEH // Bc_2.1
   dhanasya ratnasya ca tasya tasya kṛtākṛtasyaiva ca kāñcanasya /	Danasya ratnasya ca tasya tasya kRta-akRtasya-eva ca kAQcanasya /
   tadā hi naikānsa nidhīnavāpa manorathasyāpyatibhārabhūtān // Bc_2.2 //	tadA hi na-ekAn-sa niDIn-avApa manoraTasya-api-atiBAra-BUtAn // Bc_2.2 //
   ye padmakalpairapi ca dvipendrairna maṇḍalaṃ śakyamihābhinetum /	ye padma-kalpEH-api ca dvipa-indrEH-na maNxalam Sakyam-iha-aBinetum /
   madotkaṭā haimavatā gajāste vināpi yatnādupatasthurenam // Bc_2.3 //	mada-utkawAH hEmavatAH gajAH-te vinA-api yatnAt-upatasTuH-enam // Bc_2.3 //
   nānāṅkacinhairnavahemabhāṇḍairvibhūṣitairlambasaṭaistathānyaiḥ /	nAnA-aFka-cinhEH-nava-hema-BANxEH-viBUzitEH-lamba-sawEH-taTA-anyEH /
   saṃcukṣubhe cāsya puraṃ turaṅgairbalena maitryā ca dhanena cāptaiḥ //	saMcukzuBe ca-asya puram turaFgEH-balena mEtryA ca Danena ca-AptEH //
   Bc_2.4 //	Bc_2.4 //
   puṣṭāśca tuṣṭāśca tathāsya rājye sādhvyo 'rajaskā guṇavatpayaskāḥ /	puzwAH-ca tuzwAH-ca taTA-asya rAjye sADvyaH arajaskAH guNavat-payaskAH /
   udagravatsaiḥ sahitā babhūvurbavhyo bahukṣīraduhaśca gāvaḥ // Bc_2.5 //	udagra-vatsEH sahitAH baBUvuH-bavhyaH bahu-kzIraduhaH-ca gAvaH // Bc_2.5 //
   madhyasthatāṃ tasya ripurjagāma madhyasthabhāvaḥ prayayau suhṛttvam /	maDyasTa-tAm tasya ripuH-jagAma maDyasTa-BAvaH prayayO suhRd-tvam /
   viśeṣato dārḍhyamiyāya mitraṃ dvāvasya pakṣāvaparastu nāsa // Bc_2.6 //	viSezataH dArXyam-iyAya mitram dvO=-asya pakzO=-aparaH-tu nAsa // Bc_2.6 //
   tathāsya mandānilameghaśabdaḥ saudāminīkuṇḍalamaṇḍitābhraḥ /	taTA-asya manda-anila-meGa-SabdaH sOdAminI-kuNxala-maNxita-aBraH /
   vināśmavarṣāśanipātadoṣaiḥ kāle ca deśe pravavarṣa devaḥ // Bc_2.7 //	vinA-aSma-varza-aSani-pAta-dozEH kAle ca deSe pravavarza devaH // Bc_2.7 //
   ruroha sasyaṃ phalavadyathartu tadākṛtenāpi kṛṣiśrameṇa /	ruroha sasyam Palavat-yaTartu tadA-akRtena-api kRzi-SrameNa /
   tā eva cāsyauṣadhayo rasena sāreṇa caivābhyadhikā babhūvuḥ // Bc_2.8 //	tAH eva ca-asya-ozaDayaH rasena sAreNa ca-eva-aByaDikAH baBUvuH // Bc_2.8 //
   śarīrasaṃdehakare 'pi kāle saṃgrāmasaṃmarda iva pravṛte /	SarIra-saMdeha-kare api kAle saMgrAma-saMmardaH iva pravRte /
   svasthāḥ sukhaṃ caiva nirāmayaṃ ca prajajñire kālavaśena nāryaḥ // Bc_2.9	svasTAH suKam ca-eva nirAmayam ca prajajQire kAla-vaSena nAryaH // Bc_2.9
   pṛthagvratibhyo vibhave 'pi garhye na prārthayanti sma narāḥ parebhyaḥ /	pRTak-vratiByaH viBave api garhye na prArTayanti sma narAH pareByaH /
   abhyarthitaḥ sūkṣmadhano 'pi cāryastadā na kaścidvimukho babhūva //	aByarTitaH sUkzma-DanaH api cAryaH-tadA na kaScid-vimuKaH baBUva //
   Bc_2.10 //	Bc_2.10 //
   nāgauravo bandhuṣu nāpyadātā naivāvrato nānṛtiko na hiṃsraḥ /	na-agOravaH banDuzu na-api-adAtA na-eva-avrataH na-anRtikaH na hiMsraH /
   āsīttadā kaścana tasya rājye rājño yayāteriva nāhuṣasya // Bc_2.11 //	AsIt-tadA kaScana tasya rAjye rAjQaH yayAteH-iva nAhuzasya // Bc_2.11 //
   udyānadevāyatanāśramāṇāṃ kūpaprapāpuṣkariṇīvanānām /	udyAna-deva-Ayatana-ASramANAm kUpa-prapA-puzkariNI-vanAnAm /
   cakruḥ kriyāstatra ca dharmakāmāḥ pratyakṣataḥ svargīmavopalabhya //	cakruH kriyAH-tatra ca Darma-kAmAH pratyakzataH svargIm-avopalaBya //
   Bc_2.12 //	Bc_2.12 //
   muktaśca durbhikṣabhayāmayebhyo hṛṣṭo janaḥ svarga ivābhireme /	muktaH-ca durBikza-Baya-AmayeByaH hRzwaH janaH svargaH iva-aBireme /
   patnīṃ patirvā mahiṣī patiṃ vā parasparaṃ na vyabhiceratuśca // Bc_2.13 //	patnIm patiH-vA mahizI patim vA parasparam na vyaBiceratuH-ca // Bc_2.13 //
   kaścitsiṣeve rataye na kāmaṃ kāmārthamarthaṃ na jugopa kaścit /	kaScid-sizeve rataye na kAmam kAma-arTam-arTam na jugopa kaScid /
   kaściddhanārthaṃ na cacāra dharma dharmāya kaścinna cakāra hiṃsām //	kaScid-Dana-arTam na cacAra Darma DarmAya kaScid-na cakAra hiMsAm //
   Bc_2.14 //	Bc_2.14 //
   steyādibhiścāpyaribhiśca naṣṭaṃ svasthaṃ svacakraṃ paracakramuktam /	steya-AdiBiH-ca-api-ariBiH-ca nazwam svasTam sva-cakram para-cakram-uktam /
   kṣemaṃ subhikṣaṃ ca babhūva tasya purānaraṇyasya yathaiva rāṣṭre //	kzemam suBikzam ca baBUva tasya purAnaraNyasya yaTA-eva rAzwre //
   Bc_2.15 //	Bc_2.15 //
   tadā hi tajjanmani tasya rājño manorivādityasutasya rājye /	tadA hi tad-janmani tasya rAjQaH manoH-iva-Aditya-sutasya rAjye /
   cacāra harṣaḥ praṇanāśa pāpmā jajvāla dharmaḥ kaluṣaḥ śaśāma // Bc_2.16 //	cacAra harzaH praNanASa pApmA jajvAla DarmaH kaluzaH SaSAma // Bc_2.16 //
   evaṃvidhā rājakulasya saṃpatsarvārthasiddhiśca yato babhūva /	evaMviDA rAja-kulasya saMpad-sarva-arTa-sidDiH-ca yatas baBUva /
   tato nṛpastasya sutasya nāma sarvārthasiddhi 'yamiti pracakre // Bc_2.17	tatas nRpaH-tasya sutasya nAma sarva-arTa-sidDi ayam-iti pracakre // Bc_2.17
   devī tu māyā vibudharṣikalpaṃ dṛṣṭvā viśālaṃ tanayaprabhāvam /	devI tu mAyA vibuDa-Rzi-kalpam dRzwvA viSAlam tanaya-praBAvam /
   jātaṃ praharṣa na śaśāka soḍhuṃ tato nivāsāya divaṃ jagāma // Bc_2.18 //	jAtam praharza na SaSAka soXum tatas nivAsAya divam jagAma // Bc_2.18 //
   tataḥ kumāraṃ suragarbhakalpaṃ snehena bhāvena ca nirviśeṣam /	tatas kumAram sura-garBa-kalpam snehena BAvena ca nirviSezam /
   mātṛṣvasā mātṛsamaprabhāvā saṃvardhayāmātmajavadbabhūva // Bc_2.19 //	mAtRzvasA mAtR-sama-praBAvA saMvarDayAm-Atmaja-vat-baBUva // Bc_2.19 //
   tataḥ sa bālārka ivodayasthaḥ samīrito vanhirivānilena /	tatas sa bAla-arkaH iva-udaya-sTaH samIritaH vanhiH-iva-anilena /
   krameṇa samyagvavṛdhe kumārastārādhipaḥ pakṣa ivātamaske // Bc_2.20 //	krameNa samyak-vavRDe kumAraH-tArADipaH pakzaH iva-atamaske // Bc_2.20 //
   tato mahārhāṇi ca candanāni ratnāvalīścauṣadhibhiḥ sagarbhāḥ /	tatas mahArhANi ca candanAni ratna-AvalIH-ca-ozaDiBiH sa-garBAH /
   mṛgaprayuktān rathakāṃśca haimānācakrire 'smai suhṛdālayebhyaḥ // Bc_2.21	mRga-prayuktAn raTakAn=-ca hEmAn-Acakrire asmE suhRd-AlayeByaH // Bc_2.21
   vayo 'nurūpāṇi ca bhūṣaṇāni hiraṇmayān hastimṛgāśvakāṃśca /	vayaH anurUpANi ca BUzaNAni hiraNmayAn hasti-mRga-aSvakAn=-ca /
   rathāṃśca goputrakasaṃprayuktān putrīśca cāmīkararūpyacitrāḥ // Bc_2.22 //	raTAn=-ca go-putraka-saMprayuktAn putrIH-ca cAmIkara-rUpya-citrAH // Bc_2.22 //
   evaṃ sa taistairviṣayopacārairvayo 'nurūpairupacaryamāṇaḥ /	evam sa tEH-tEH-vizaya-upacArEH-vayaH anurUpEH-upacaryamANaH /
   bālo 'pyabālapratimo babhūva dhṛtyā ca śaucena dhiyā śriyā ca // Bc_2.23	bAlaH api-abAla-pratimaH baBUva DRtyA ca SOcena DiyA SriyA ca // Bc_2.23
   vayaśca kaumāramatītya samyak saṃprāpya kāle pratipattikarma /	vayaH-ca kOmAram-atItya samyak saMprApya kAle pratipatti-karma /
   alpairahobhirbahuvarṣagāmyā jagrāha vidyāḥ svakulānurūpāḥ // Bc_2.24 //	alpEH-ahoBiH-bahu-varza-gAmyAH jagrAha vidyAH sva-kula-anurUpAH // Bc_2.24 //
   naiḥśreyasaṃ tasya tu bhavyamarthaṃ śrutvā purastādasitānmaharṣeḥ /	nEHSreyasam tasya tu Bavyam-arTam SrutvA purastAt-asitAn-mahA-RzeH /
   kāmeṣu saṅgaṃ janayāṃbabhūva vanāni yāyāditi śākyarājaḥ // Bc_2.25 //	kAmezu saFgam janayAMbaBUva vanAni yAyAt-iti SAkya-rAjaH // Bc_2.25 //
   kulāttato 'smai sthiraśīlayuktātsādhvīṃ vapurhrīvinayopapannām /	kulAt-tatas asmE sTira-SIla-yuktAt-sADvIm vapuH-hrI-vinaya-upapannAm /
   yaśodharāṃ nāma yaśoviśālāṃ vāmābhidhānāṃ śriyamājuhāva // Bc_2.26 //	yaSoDarAm nAma yaSaH-viSAlAm vAma-aBiDAnAm Sriyam-AjuhAva // Bc_2.26 //
   vidyotamāno vapuṣā pareṇa sanatkumārapratimaḥ kumāraḥ /	vidyotamAnaH vapuzA pareNa sanatkumAra-pratimaH kumAraH /
   sārdha tayā śākyanarendravadhvā śacyā sahasrākṣa ivābhireme // Bc_2.27 //	sArDa tayA SAkya-narendra-vaDvA SacyA sahasrAkzaH iva-aBireme // Bc_2.27 //
   kiṃcinmanaḥkṣobhakaraṃ pratīpaṃ kathaṃ na paśyediti so 'nucintya /	kiMcid-manaH-kzoBa-karam pratIpam kaTam na paSyet-iti saH anucintya /
   vāsaṃ nṛpo vyādiśati sma tasmai harmyodareṣveva na bhūpracāram // Bc_2.28	vAsam nRpaH vyAdiSati sma tasmE harmya-udarezu-eva na BU-pracAram // Bc_2.28
   tataḥ śarattoyadapāṇḍareṣu bhūmau vimāneṣviva rañjiteṣu /	tatas Sarad-toyada-pANxarezu BUmO vimAnezu-iva raQjitezu /
   harmyeṣu sarvartusukhāśrayeṣu strīṇāmudārairvijahāra tūryaiḥ // Bc_2.29 //	harmyezu sarva-Rtu-suKa-ASrayezu strINAm-udArEH-vijahAra tUryEH // Bc_2.29 //
   kalairhi cāmīkarabaddhakakṣairnārīkarāgrābhihatairmṛdaṅgaiḥ /	kalEH-hi cAmIkara-badDa-kakzEH-nArIkara-agra-aBihatEH-mRdaFgEH /
   varāpsaronṛtyasamaiśca nṛtyaiḥ kailāsavattadbhavanaṃ rarāja // Bc_2.30 //	vara-apsaraH-nRtya-samEH-ca nRtyEH kElAsa-vat-tat-Bavanam rarAja // Bc_2.30 //
   vāgbhiḥ kalābhirlīlataiśca hāvairmadaiḥ sakhelairmadhuraiśca hāsaiḥ /	vAgBiH kalABiH-lIlatEH-ca hAvEH-madEH sa-KelEH-maDurEH-ca hAsEH /
   taṃ tatra nāryo ramayāṃbabhūvurbhūvañcitairardhīnarīkṣitaiśca // Bc_2.31	tam tatra nAryaH ramayAMbaBUvuH-BU-vaQcitEH-arDI-narIkzitEH-ca // Bc_2.31
   tataḥ sa kāmāśrayapaṇḍitābhiḥ strībhirgṛhīto ratikarkaśābhiḥ /	tatas sa kAma-ASraya-paNxitABiH strIBiH-gRhItaH rati-karkaSABiH /
   vimānapṛṣṭhānna mahīṃ jagāma vimānapṛṣṭhādiva puṇyakarmā // Bc_2.32 //	vimAna-pRzWAt-na mahIm jagAma vimAna-pRzWAt-iva puNya-karmA // Bc_2.32 //
   nṛpastu tasyaiva vivṛddhihetostadbhāvinārthena ca codyamānaḥ /	nRpaH-tu tasya-eva vivRdDi-hetoH-tad-BAvinA-arTena ca codyamAnaH /
   śame 'bhireme virarāma pāpādbheje damaṃ saṃvibabhāja sādhūn // Bc_2.33 //	Same aBireme virarAma pApAt-Beje damam saMviba-BAja sADUn // Bc_2.33 //
   nādhīravatkāmasukhe sasañje na saṃrarañje viṣamaṃ jananyām /	na-aDIra-vat-kAma-suKe sasaQje na saMraraQje vizamam jananyAm /
   dhṛtyendriyāśvāṃścapalānvijigye bandhūṃśca paurāṃśca guṇairjigāya //	DRtya-indriya-aSvAn=-capalAn-vijigye banDUn=-ca pOrAn=-ca guNEH-jigAya //
   Bc_2.34 //	Bc_2.34 //
   nādhyaiṣṭa duḥkhāya parasya vidyāṃ jñānaṃ śivaṃ yattu tadadhyagīṣṭa /	na-aDyEzwa duHKAya parasya vidyAm jQAnam Sivam yat-tu tat-aDyagIzwa /
   svābhyaḥ prajābhyo hi yathā tathaiva sarvaprajābhyaḥ śivamāśaśaṃse //	svAByaH prajAByaH hi yaTA taTA-eva sarva-prajAByaH Sivam-ASaSaMse //
   Bc_2.35 //	Bc_2.35 //
   bhaṃ bhāsuraṃ cāṅgirasādhidevaṃ yathāvadānarca tadāyuṣe saḥ /	Bam BAsuram ca-AFgirasa-aDidevam yaTAvat-Anarca tadA-Ayuze saH /
   juhāva havyānyakṛśe kṛśānau dadau dvijebhyaḥ kṛśanaṃ ca gāśca // Bc_2.36	juhAva havyAni-akRSe kRSAnO dadO dvijeByaH kRSanam ca gAH-ca // Bc_2.36
   sasnau śarīraṃ pavituṃ manaśca tīrthāmbubhiścaiva guṇāmbubhiśca /	sasnO SarIram pavitum manaH-ca tIrTa-ambuBiH-ca-eva guNa-ambuBiH-ca /
   vedopadiṣṭaṃ samamātmajaṃ ca somaṃ papau śāntisukhaṃ ca hārdam // Bc_2.37	veda-upadizwam samam-Atmajam ca somam papO SAnti-suKam ca hArdam // Bc_2.37
   sāntvaṃ babhāṣe na ca nārthavadyajjajalpa tattvaṃ na ca vipriyaṃ yat /	sAntvam baBAze na ca na-arTavat-yat-jajalpa tattvam na ca vipriyam yat /
   sāntvaṃ hyatattvaṃ paruṣaṃ ca tattvaṃ hriyāśakannātmana eva vaktum //	sAntvam hi-atattvam paruzam ca tattvam hriyA-aSakanna-AtmanaH eva vaktum //
   Bc_2.38 //	Bc_2.38 //
   iṣṭeṣvaniṣṭeṣu ca kāryavatsu na rāgadoṣāśrayatāṃ prapede /	izwezu-anizwezu ca kAryavatsu na rAga-doza-ASraya-tAm prapede /
   śivaṃ siṣeve vyavahāraśuddhaṃ yajñaṃ hi mene na tathā yathā tat // Bc_2.39	Sivam sizeve vyavahAra-SudDam yajQam hi mene na taTA yaTA tat // Bc_2.39
   āśāvate cāhigatāya sadyo deyāmbubhistarṣamacecchidiṣṭa /	ASAvate ca-ahi-gatAya sadyas deyA-ambuBiH-tarzam-acecCidizwaH /
   yuddhādṛte vṛttaparaśvadhena dviḍdarpamudvṛttamabebhidiṣṭa // Bc_2.40 //	yudDAt-Rte vRtta-paraSvaDena dvixdarpam-udvRttam-abeBidizwaH // Bc_2.40 //
   ekaṃ vininye sa jugopa sapta saptaiva tatyāja rarakṣa pañca /	ekam vininye sa jugopa sapta sapta-eva tatyAja rarakza paQca /
   prāpa trivarga bubudhe trivarga jajñe dvivarga prajahau dvivargam //	prApa trivarga bubuDe trivarga jajQe dvi-varga prajahO dvi-vargam //
   Bc_2.41 //	Bc_2.41 //
   kṛtāgaso 'pi pratipādya vadhyānnājīghanannāpi ruṣā dadarśa /	kRta-AgasaH api pratipAdya vaDyAn-na-ajIGanan-na-api ruzA dadarSa /
   babandha sāntvena phalena caitāṃstyāgo 'pi teṣāṃ hyanayāya dṛṣṭaḥ //	babanDa sAntvena Palena ca-etAn=-tyAgaH api tezAm hi-anayAya dRzwaH //
   Bc_2.42 //	Bc_2.42 //
   ārṣāṇyacārītparamavratāni vairāṇyahāsīccirasaṃbhṛtāni /	ArzANi-acArIt-parama-vratAni vErANi-ahAsIt-cira-saMBRtAni /
   yaśāṃsi cāpadguṇagandhavanti rajāṃsyahārṣīnmalinīkarāṇi // Bc_2.43 //	yaSAMsi ca-Apad-guNa-ganDavanti rajAMsi-ahArzIt-malinIkarANi // Bc_2.43 //
   na cājihīrṣidvalimapravṛttaṃ na cācikīrṣitparavastvabhidhyām /	na ca-aji-hIrzit-valim-apravRttam na ca-acikIrzit-para-vastu-aBiDyAm /
   na cāvivakṣīd dviṣatāmadharma na cāvivākṣīddhṛdayena manyum // Bc_2.44 //	na ca-avivakzIt dvizatAm-aDarma na ca-avivAkzIt-hRdayena manyum // Bc_2.44 //
   tasmiṃstathā bhūmipatau pravṛtte bhṛtyāśca paurāśca tathaiva ceruḥ /	tasmin=-taTA BUmipatO pravRtte BRtyAH-ca pOrAH-ca taTA-eva ceruH /
   śamātmake cetasi viprasanne prayuktayogasya yathendriyāṇi // Bc_2.45 //	Sama-Atmake cetasi viprasanne prayukta-yogasya yaTA-indriyANi // Bc_2.45 //
   kāle tataścārupayodharāyāṃ yaśodharāyāṃ svayaśodharāyām /	kAle tatas-cAru-payoDarAyAm yaSoDarAyAm sva-yaSaH-DarAyAm /
   śauddhodane rāhusapatnavaktro jajñe suto rāhula eva nāmnā // Bc_2.46 //	SOdDodane rAhu-sapatna-vaktraH jajQe sutaH rAhulaH eva nAmnA // Bc_2.46 //
   atheṣṭaputraḥ paramapratītaḥ kulasya vṛddhiṃ prati bhūmipālaḥ /	aTa-izwa-putraH parama-pratItaH kulasya vRdDim prati BUmipAlaH /
   yathaiva putraprasave nananda tathaiva pautraprasave nananda // Bc_2.47 //	yaTA-eva putra-prasave nananda taTA-eva pOtra-prasave nananda // Bc_2.47 //
   putrasya me putragato mameva snehaḥ kathaṃ syāditi jātaharṣaḥ /	putrasya me putra-gataH mama-iva snehaH kaTam syAt-iti jAta-harzaH /
   kāle sa taṃ taṃ vidhimālalambe putrapriyaḥ svargamivārurukṣan // Bc_2.48	kAle sa tam tam viDimAla-lambe putra-priyaH svargam-iva-Arurukzan // Bc_2.48
   sthitvā pathi prāthamakalpikānāṃ rājavarṣabhāṇāṃ yaśasānvitānām /	sTitvA paTi prATama-kalpikAnAm rAja-varzaBANAm yaSasA-anvitAnAm /
   śuklānyamuktvāpi tapāṃsyatapta yajñaiśca hiṃsārahitairayaṣṭa // Bc_2.49 //	SuklAni-amuktvA-api tapAMsi-atapta yajQEH-ca hiMsA-rahitEH-ayazwaH // Bc_2.49 //
   ajājvaliṣṭātha sa puṇyakarmā nṛpaśriyā caiva tapaḥśriyā ca /	ajAju-alizwA-aTa sa puNya-karmA nRpa-SriyA ca-eva tapaH-SriyA ca /
   kulena vṛttena dhiyā ca dīptastejaḥ sahasrāṃśurivotsisṛkṣuḥ // Bc_2.50 //	kulena vRttena DiyA ca dIptaH-tejaH sahasrAMSuH-iva-utsisRkzuH // Bc_2.50 //
   svāyaṃbhuvaṃ cārcikamarcayitvā jajāpa putrasthitaye sthitaśrīḥ /	svAyaMBuvam ca-arcikam-arcayitvA jajApa putra-sTitaye sTita-SrIH /
   cakāra karmāṇi ca duṣkarāṇi prajāḥ sisṛkṣuḥ ka ivādikāle // Bc_2.51 //	cakAra karmANi ca duzkarANi prajAH sisRkzuH kaH iva-Adi-kAle // Bc_2.51 //
   tatyāja śastraṃ vimamarśa śāstraṃ śamaṃ siṣeve niyamaṃ viṣehe /	tatyAja Sastram vimamarSa SAstram Samam sizeve niyamam vizehe /
   vaśīva kaṃcidviṣayaṃ na bheje piteva sarvānviṣayāndadarśa // Bc_2.52 //	vaSI-iva kaMcid-vizayam na Beje pitA-iva sarvAn-vizayAn-dadarSa // Bc_2.52 //
   babhāra rājyaṃ sa hi putrahetoḥ putraṃ kulārthaṃ yaśase kulaṃ tu /	baBAra rAjyam sa hi putra-hetoH putram kula-arTam yaSase kulam tu /
