   Gaṇakārikā, 1	GaNa-kArikA, 1
   * tathotthānapratyutthānādikā gurau paricaryā kriyetyuktā // GkT_1.7:9	* taTA-utTAna-pratyutTAna-AdikA gurO paricaryA kriyA-iti-uktAH // GkT_1.7:9
   * yuktyāpi pūrvottarāviruddhaśāstrārthaparyālocane	* yuktyA-api pUrva-uttara-avirudDa-SAstra-arTa-paryAlocane
   tadarthānuṣṭhānārthamatiyatno yathā nyāyābhiniveśaḥ // GkT_1.7:10	tad-arTa-anuzWAna-arTam-ati-yatnaH yaTA nyAya-aBiniveSaH // GkT_1.7:10
   * tathā coktam /	* taTA ca-uktam /
   * pūrvottarāvirodhena vākyārthaṃ hy avicālitam /	* pUrva-uttara-aviroDena vAkya-arTam hi avicAlitam /
   * yastarkeṇānusaṃdhatte sa dharmaṃ veda netaraḥ // GkT_1.7:11	* yaH-tarkeNa-anusaMDatte sa Darmam veda na-itaraH // GkT_1.7:11
   * dharmasyopāyaḥ caryā // GkT_1.7:12	* Darmasya-upAyaH caryA // GkT_1.7:12
   * bhasmasnānādir mūḍhāntaḥ kriyāsamūhaścaryetyucyate // GkT_1.7:13	* BasmasnAna-AdiH mUXa-antaH kriyA-samUhaH-caryA-iti-ucyate // GkT_1.7:13
   * sā ca tryaṅgā dānayāgatāpāṅgeti // GkT_1.7:14	* sA ca tri-aFgA dAna-yAga-tApa-aFga-iti // GkT_1.7:14
   * pañcasu pavitreṣvāvartyamāneṣu daśabhirnamaskāraiḥ	* paQcasu pavitrezu-AvartyamAnezu daSaBiH-namaskArEH
   parameśvarāyātmasamarpaṇaṃ dānam // GkT_1.7:15	parameSvarAya-Atma-samarpaNam dAnam // GkT_1.7:15
   * tadevātidānam anāvṛttiphalatvāt // GkT_1.7:16	* tat-eva-atidAnam anAvRtti-Pala-tvAt // GkT_1.7:16
   * anyattu kudānam āvṛttiphalatvād iti // GkT_1.7:17	* anyat-tu kudAnam AvRtti-Pala-tvAt iti // GkT_1.7:17
   * parameśvaraniyogābhisaṃdhinā bhasmasnānādikriyāṇāṃ yathāvihitakaraṇaṃ	* parameSvara-niyoga-aBisaMDinA Basma-snAna-Adi-kriyANAm yaTA-vihita-karaNam
   yāgaḥ // GkT_1.7:18	yAgaH // GkT_1.7:18
   * sa evātiyāgo 'nyastu kuyāgaḥ pūrvoktahetudvayāt // GkT_1.7:19	* saH eva-atiyAgaH anyaH-tu kuyAgaH pUrva-ukta-hetu-dvayAt // GkT_1.7:19
   * svavidhyabhiniviṣṭasyaiva trividhaduḥkhopanipāte sati anupāyataḥ	* sva-viDi-aBinivizwasya-eva triviDa-duHKa-upanipAte sati anupAyataH
   pratīkāramakurvataḥ sahiṣṇutvaṃ tāpaḥ // GkT_1.7:20	pratIkAram-akurvataH sahizNu-tvam tApaH // GkT_1.7:20
   * sa evātitāpo'nyattu kutāpa iti // GkT_1.7:21	* saH eva-atitApaH-anyat-tu kutApaH iti // GkT_1.7:21
   * sā tryaṅgāpi caryā dvividhā vrataṃ dvārāṇi ceti // GkT_1.7:22	* sA tri-aFgA-api caryA dviviDAH vratam dvArANi ca-iti // GkT_1.7:22
   * tatra snānaśayanopahārajapapradakṣiṇāni vratam	* tatra snAna-Sayana-upahAra-japa-pradakziNAni vratam
   dharmaniṣpattyadharmocchedārthaṃ prādhānyena kriyamāṇatvāt // GkT_1.7:23	Darma-nizpatti-aDarma-ucCeda-arTam prADAnyena kriyamANa-tvAt // GkT_1.7:23
   * dvārāṇi tu krāthanaspandanamandanaśṛṅgāraṇāpitatkaraṇāpi tadbhāṣaṇāni //	* dvArANi tu krATana-spandana-mandana-SRFgAraNa-api-tatkaraNA-api tad-BAzaNAni //
   GkT_1.7:24	GkT_1.7:24
   * apamānaparibhavaparivādaniṣpādanadvāreṇa pūrvotpannayor dharmādharmayor	* apamAna-pariBava-parivAda-nizpAdana-dvAreNa pUrva-utpannayoH Darma-aDarmayoH-
   āyavyayanimittatvāditi kramaḥ svarūpaṃ caiṣāṃ bhāṣya eva prapañcitam //	Aya-vyaya-nimitta-tvAt-iti kramaH svarUpam ca-ezAm BAzyaH eva prapaQcitam //
   GkT_1.7:25	GkT_1.7:25
   * tadanusāreṇa śiṣyahitārthaṃ mayāpi leśataḥ pradarśyate // GkT_1.7:26	* tad-anusAreNa Sizya-hita-arTam mayA-api leSataH pradarSyate // GkT_1.7:26
   * prāgādityodayāt ghaṭikādvayaṃ pūrvāhṇasaṃdhyā // GkT_1.7:27	* prAc-Aditya-udayAt GawikA-dvayam pUrvAhNa-saMDyA // GkT_1.7:27
   * sā tridevatā // GkT_1.7:28	* sA tridevatA // GkT_1.7:28
   * prathamā brāhmī madhyamā vaiṣṇavī antyā raudrī // GkT_1.7:29	* praTamA brAhmI maDyamA vEzNavI antyA rOdrI // GkT_1.7:29
   * tatra pūrvasaṃdhyayoḥ śaucaṃ kṛtvā bhasma saṃskartavyam // GkT_1.7:30	* tatra pUrva-saMDyayoH SOcam kRtvA Basma saMskartavyam // GkT_1.7:30
   * kartṛkārakādidoṣarahitaṃ śuklādiguṇayuktaṃ ca bhasmārjitaṃ	* kartR-kAraka-Adi-doza-rahitam Sukla-Adi-guNa-yuktam ca Basma-arjitam
   śivadakṣiṇamūrtau mantraiḥ saṃskṛtya pradakṣiṇaṃ ca dattvā sūryarūpiṇaṃ	Siva-dakziNa-mUrtO mantrEH saMskRtya pradakziNam ca dattvA sUrya-rUpiNam
   bhagavantaṃ locanatrayeṇa prasannadṛṣṭyā bhasma paśyantaṃ dhyāyet //	Bagavantam locana-trayeNa prasanna-dRzwyA Basma paSyantam DyAyet //
   GkT_1.7:31	GkT_1.7:31
   * tadanu cācāryāya śivatattvānurañjitadṛṣṭaye jyeṣṭhabhrātre vā nivedayet	* tadanu ca-AcAryAya Sivatattva-anuraQjita-dRzwaye jyezWa-BrAtre vA nivedayet-
   // GkT_1.7:32	// GkT_1.7:32
   * tadanv ekānte śucau pradeśe jantusthāvarahīne pañca	* tat-anu ekAnte SucO pradeSe jantu-sTAvara-hIne paQca
   pavitrāṇyāvartayataiva stheyaṃ raudrasavanaṃ yāvattato bhagavantaṃ	pavitrANi-AvartayatA-eva sTeyam rOdra-savanam yAvat-tatas Bagavantam
   praṇamya tvadājñāṃ karomītyabhisaṃdhāya japannaivāpādatalamastakaṃ yāvat	praNamya tvad-AjQAm karomi-iti-aBisaMDAya japannEva-ApAda-tala-mastakam yAvat-
   prabhūtena bhasmanāṅgaṃ pratyaṅgaṃ ca prayatnātiśayena nighṛṣya nighṛṣya	praBUtena BasmanA-aFgam pratyaFgam ca prayatna-atiSayena niGRzya niGRzya
   snānamācared ityevaṃ madhyāhnāparāhṇasaṃdhyayor apīti // GkT_1.7:33	snAnam-Acaret iti-evam maDyAhna-aparAhNa-saMDyayoH api-iti // GkT_1.7:33
   * etāvadatra viśiṣyate // GkT_1.7:34	* etAvat-atra viSizyate // GkT_1.7:34
   * madhyāhne prathamā brāhmī madhye mastakoparisthite ravau raudrī tadante	* maDyAhne praTamA brAhmI maDye mastaka-upari-sTite ravO rOdrI tad-ante
   vaiṣṇavī arkāstasamayottaratra prathamā raudrī tadanu vaiṣṇavī tadante	vEzNavI arka-asta-samaya-uttaratra praTamA rOdrI tadanu vEzNavI tad-ante
   brāhmī ceti // GkT_1.7:35	brAhmI ca-iti // GkT_1.7:35
   * sarvatra raudrasavanameva snānakālaḥ // GkT_1.7:36	* sarvatra rOdra-savanam-eva snAna-kAlaH // GkT_1.7:36
   * evaṃ snānaṃ nirvartya japann evāyatanaṃ gatvā śivaṃ bhaktyatiśayena	* evam snAnam nirvartya japan eva-Ayatanam gatvA Sivam Bakti-atiSayena
   praṇamya snānaṃ nivedya ca śanairgarbhagṛhaṃ praviśet // GkT_1.7:37	praNamya snAnam nivedya ca SanEs-garBagRham praviSet // GkT_1.7:37
   * tadanu mūrtidakṣiṇe deśe jānunī pātayitvā hṛdi cāñjaliṃ baddhvā	* tadanu mUrti-dakziNe deSe jAnunI pAtayitvA hRdi ca-aQjalim badDvA
   mūrtisthaṃ sākṣādiva śivaṃ paśyan yadyanivṛttapratyāhārastadā gatamātra	mUrti-sTam sAkzAt-iva Sivam paSyan yadi-anivRtta-pratyAhAraH-tadA gata-mAtra
   eva hasitaṃ kuryādityeke // GkT_1.7:38	eva hasitam kuryAt-iti-eke // GkT_1.7:38
   * vayaṃ tu paśyāmo'bhigamya ca yatpūrvaṃ japatītyādi bhāṣyasyārtho yadi	* vayam tu paSyAmaH-aBigamya ca yat-pUrvam japati-ityAdi BAzyasya-arTaH yadi
   vicāryate tadāvaśyaṃ gatvā saṃyatātmanottarābhimukhena	vicAryate tadA-avaSyam gatvA saMyata-AtmanA-uttara-aBimuKena
   pratyāhāraviśeṣārthaṃ japtavyaṃ japtvā tu śivadhyānāsakta evāṭṭahāsaṃ	pratyAhAra-viSeza-arTam japtavyam japtvA tu Siva-DyAna-AsaktaH eva-awwahAsam
   punaḥ punaḥ kuryāt // GkT_1.7:39	punar punar kuryAt // GkT_1.7:39
   * tadanu gītam ārabhya gāyann evottiṣṭhet // GkT_1.7:40	* tadanu gItam AraBya gAyan eva-uttizWet // GkT_1.7:40
   * tato gītasahitameva nṛtyaṃ kuryāt // GkT_1.7:41	* tatas gIta-sahitam-eva nRtyam kuryAt // GkT_1.7:41
   * tatrādau gītaṃ parisamāpya paścānnṛtyaṃ samāpayet // GkT_1.7:42	* tatra-AdO gItam parisamApya paScAt-nRtyam samApayet // GkT_1.7:42
   * tadanu pūrvoktavidhinopaviśya śivaṃ dhyāyanneva huḍukkāraṃ kṛtvā	* tadanu pUrva-ukta-viDinA-upaviSya Sivam DyAyan=-eva huxukkAram kRtvA
   namaskāraṃ kuryāttadanu japamiti // GkT_1.7:43	namaskAram kuryAt-tadanu japam-iti // GkT_1.7:43
   * atra japanamaskārau mānasāv eva nṛtyaṃ kāyikameva hasitagītahuḍukkārā	* atra japa-namaskArO mAnasO eva nRtyam kAyikam-eva hasita-gIta-huxukkArA
   vācikā eveti niyama iṣṭaḥ // GkT_1.7:44	vAcikAH eva-iti niyamaH izwaH // GkT_1.7:44
   * tatra dīrghocchvāsatrayaṃ yāvaddhasitaṃ daṇḍakatrirāvartanaṃ	* tatra dIrGa-ucCvAsa-trayam yAvat-hasitam daNxaka-tris-Avartanam
   yāvadgītanṛtye gambhīrahuḍukkāratrayaṃ ṣaṣṭi namaskārān pañcapavitrāṇāṃ	yAvat-gIta-nRtye gamBIra-huxukkAra-trayam zazwi namaskArAn paQca-pavitrANAm
   trir āvartanaṃ kuryādityāha bhagavānācāryaḥ svāmī mama	tris Avartanam kuryAt-iti-Aha BagavAn-AcAryaH svAmI mama
   yenāhamajñānārṇavāduttāritaḥ // GkT_1.7:45	yena-aham-ajQAna-arNavAt-uttAritaH // GkT_1.7:45
   * ṭīkākārāstu sarvam ā paritoṣāt kartavyamityevaṃ pratipannāḥ //	* wIkAkArAH-tu sarvam A paritozAt kartavyam-iti-evam pratipannAH //
   GkT_1.7:46	GkT_1.7:46
   * tadevaṃ nirvartyopahāraṃ dhyāyannīśaṃ	* tat-evam nirvartya-upahAram DyAyan=-ISam
   hasitagītanṛtyahuḍukkāranamaskārajapyaiḥ ṣaḍaṅgopahāraṃ bhagavanmahādeva	hasita-gIta-nRtya-huxukkAra-namaskAra-japyEH zaxaFga-upahAram Bagavat-mahAdeva
   yuṣmadanujñayā nirvartitavān aham avabhṛthasnānaṃ ca kariṣyāmītyevaṃ	yuzmad-anujQayA nirvartitavAn aham avaBRTa-snAnam ca karizyAmi-iti-evam
   nivedayet // GkT_1.7:47	nivedayet // GkT_1.7:47
   * tato niṣkramyeśaṃ praṇamya praṇāmāntaṃ pradakṣiṇatrayaṃ japann eva	* tatas nizkramya-ISam praNamya praNAma-antam pradakziNa-trayam japan eva
   śanaiḥ kuryāt // GkT_1.7:48	SanEs kuryAt // GkT_1.7:48
   * tato'vabhṛthasnānaṃ kṛtvā bhagavaṃllakulīśādīn rāśīkarāntāṃśca	* tatas-avaBRTa-snAnam kRtvA Bagavan=-lakulISa-AdIn rASIkara-antAn=-ca
   tīrthakarānanukrameṇa yathāvadbhaktyā namaskuryāt tadanu	tIrTakarAn-anukrameNa yaTAvat-BaktyA namaskuryAt tadanu
   pradakṣiṇamekamiti // GkT_1.7:49	pradakziNam-ekam-iti // GkT_1.7:49
   * anyadā tu yāvadicchaṃ pradakṣiṇaṃ japann eva kuryāt pañcamantrajapastu	* anyadA tu yAvadicCam pradakziNam japan eva kuryAt paQca-mantra-japaH-tu
   kevalo'pi dharmahetur iti // GkT_1.7:50	kevalaH-api Darma-hetuH iti // GkT_1.7:50
   * athāyatanasaṃdhinaṃ deśaṃ divā parigṛhītasthāvarādidoṣavarjitatvena	* aTa-Ayatana-saMDinam deSam divA parigRhIta-sTAvara-Adi-doza-varjita-tvena
   suparīkṣitaṃ saṃdhyāvasāne vastrāntādimṛdupavitreṇa vivecya bhasmanaiva	su-parIkzitam saMDyA-avasAne vastra-anta-Adi-mRdu-pavitreNa vivecya BasmanA-eva
   śuciṃ kuryāt // GkT_1.7:51	Sucim kuryAt // GkT_1.7:51
   * tadanu tatropaviśya vidhyabhiniviṣṭas tāvat tiṣṭhed yāvad	* tadanu tatra-upaviSya viDi-aBinivizwaH tAvat tizWet yAvat-
   atinidrābhibhūtaḥ śrāntaśca bhavati // GkT_1.7:52	atinidrA-aBiBUtaH SrAntaH-ca Bavati // GkT_1.7:52
   * tataḥ punarutthāya vivecayet // GkT_1.7:53	* tatas punar-utTAya vivecayet // GkT_1.7:53
   * tadanu mantraiḥ saṃskṛtya bhasma prabhūtaṃ prastaret // GkT_1.7:54	* tadanu mantrEH saMskRtya Basma praBUtam prastaret // GkT_1.7:54
   * tatastatra pañca mantrānāvartayanneva svapet punarutthāyānenaiva vidhinā	* tatas-tatra paQca mantrAn-Avartayan=-eva svapet punar-utTAya-anena-eva viDinA
   svapedyenāśveva śuddhivṛddhī bhavataḥ // GkT_1.7:55	svapet-yena-ASu-eva SudDi-vRdDI BavataH // GkT_1.7:55
   * suptasyāpi prāṇātyaye cātigatiḥ syādanyathā vidhibhraṣṭasya	* suptasya-api prANa-atyaye ca-ati-gatiH syAt-anyaTA viDi-Brazwasya
   saṃsārāpattir eveti // GkT_1.7:56	saMsAra-ApattiH eva-iti // GkT_1.7:56
   * evaṃ prathamāvasthāyāṃ vidhim anuṣṭhāya yadā khalu prāptajñānaḥ	* evam praTama-avasTAyAm viDim anuzWAya yadA Kalu prApta-jQAnaH
   prakṣīṇakaluṣaḥ kṛtābhyanujñaśca bhavati tadāvasthāntaraṃ gatvā	prakzINa-kaluzaH kRta-aByanujQaH-ca Bavati tadA-avasTA-antaram gatvA
   raṅgavadavasthiteṣu janeṣu madhye naṭavadavasthito vivecya vivecya	raFga-vat-avasTitezu janezu maDye nawa-vat-avasTitaH vivecya vivecya
   krāthanādīni kuryāt // GkT_1.7:57	krATana-AdIni kuryAt // GkT_1.7:57
   * tatrāsuptasyeva suptaliṅgapradarśanaṃ krāthanaṃ vāyvabhibhūtasyeva	* tatra-asuptasya-iva supta-liFga-pradarSanam krATanam vAyu-aBiBUtasya-iva
   śarīrāvayavānāṃ kampanaṃ spandanam upahatapādendriyasyeva gamanaṃ mandanam	SarIra-avayavAnAm kampanam spandanam upahata-pAda-indriyasya-iva gamanam mandanam
   // GkT_1.7:58	// GkT_1.7:58
   * yauvanasampannāṃ striyamavalokayan kāmukam ivātmānaṃ yair liṅgaiḥ	* yOvana-sampannAm striyam-avalokayan kAmukam iva-AtmAnam yEH liFgEH
   pradarśayati tac chṛṅgāraṇaṃ kāryākāryavivekaśūnyasyeva lokaninditakaraṇam	pradarSayati tat SRFgAraNam kArya-akArya-viveka-SUnyasya-iva loka-nindita-karaNam
   api tatkaraṇaṃ vyāhatāpārthakādiśabdoccāraṇam api tad bhāṣaṇam iti //	api tad-karaNam vyAhata-apArTaka-Adi-Sabda-uccAraNam api tat BAzaNam iti //
   GkT_1.7:59	GkT_1.7:59
   * na caiṣāṃ kramo niyamyate // GkT_1.7:60	* na ca-ezAm kramaH niyamyate // GkT_1.7:60
   * kiṃtvapamānādiniṣpādakatvaṃ yena paribhavaṃ gacched ityupadeśād	* kiMtu-apamAna-Adi-nizpAdaka-tvam yena pariBavam gacCet iti-upadeSAt-
   davāgnitulyatvenāpamānāder iṣṭatamatvād iti // GkT_1.7:61	dava-agni-tulya-tvena-apamAna-AdeH izwatama-tvAt iti // GkT_1.7:61
   * evaṃ tarhi hiṃsāsteyādikaraṇaduṣṭaśabdoccāraṇaprasaṅgo'pi syād	* evam tarhi hiMsA-steya-Adi-karaNa-duzwa-Sabda-uccAraNa-prasaFgaH-api syAt-
   apamānādiniṣpādakatvād iti // GkT_1.7:62	apamAna-Adi-nizpAdaka-tvAt iti // GkT_1.7:62
   * nāpi tatkaraṇāpi tadbhāṣaṇo	* na-api tad-karaNA-api tad-BAzaNaH-
   devāśeṣakriyāvyāptāvahiṃsādyavirodhajñāpanārthatvāt krāthanādyārambhasyeti	deva-aSeza-kriyA-vyAptO=-ahiMsA-Adya-viroDa-jQApana-arTa-tvAt krATana-Adi-AramBasya-iti
   * devanityatve kastarhi upāya ityāha japadhyānam iti // GkT_1.7:63	* deva-nitya-tve kaH-tarhi upAyaH iti-Aha japa-DyAnam iti // GkT_1.7:63
   * tatra tṛtīyacaturthakasya mantrasyāvartanaṃ japaḥ // GkT_1.7:64	* tatra tRtIya-caturTakasya mantrasya-Avartanam japaH // GkT_1.7:64
   * sa dvividhaḥ pratyāhāraphalaḥ samādhiphalaśceti // GkT_1.7:65	* sa dviviDaH pratyAhAra-PalaH samADi-PalaH-ca-iti // GkT_1.7:65
   * tatrādyaḥ pratyāhāraphalastanniṣpattau ca kriyamāṇo japaḥ samādhiphala	* tatra-AdyaH pratyAhAra-PalaH-tad-nizpattO ca kriyamANaH japaH samADi-Pala
   iti // GkT_1.7:66	iti // GkT_1.7:66
   * nanu cānyāsaktatve kriyamāṇo japaḥ saṃvatsaraśatenāpi na pratyāhāraṃ	* nanu ca-anya-Asakta-tve kriyamANaH japaH saMvatsara-Satena-api na pratyAhAram
   karotyapi tu doṣameva tasya janayatīti // GkT_1.7:67	karoti-api tu dozam-eva tasya janayati-iti // GkT_1.7:67
   * satyam evametat // GkT_1.7:68	* satyam evam-etat // GkT_1.7:68
   * kiṃtu pratyāhāradvaividhyamiheṣṭaṃ parāparabhedāt // GkT_1.7:69	* kiMtu pratyAhAra-dvEviDyam-iha-izwam para-apara-BedAt // GkT_1.7:69
   * tatrāntaḥkaraṇapūrvako 'paraḥ // GkT_1.7:70	* tatra-antaHkaraNa-pUrvakaH aparaH // GkT_1.7:70
   * tatsahitena japena nirmalīkṛtaṃ cittaṃ prayatnanirapekṣamapi	* tad-sahitena japena nirmalIkRtam cittam prayatna-nirapekzam-api
   brahmaṇyevālātacakravad avatiṣṭhate yadā tadāsau paraḥ pratyāhāro	brahmaNi-eva-alAta-cakra-vat avatizWate yadA tadA-asO paraH pratyAhAraH-
   japapūrvaka evāyam ityuktaḥ // GkT_1.7:71	japa-pUrvakaH eva-ayam iti-uktaH // GkT_1.7:71
   * sa hy anekajanmopārjitaṃ karma lakṣaṇamātreṇa dagdhvā dhyeyatattve	* sa hi aneka-janma-upArjitam karma lakzaNa-mAtreNa dagDvA Dyeya-tattve
   cittaṃ stambhanikṣiptāyaḥkīlakavan niścalīkaroti // GkT_1.7:72	cittam stamBa-nikzipta-ayaH-kIlaka-vat niScalIkaroti // GkT_1.7:72
   * rudratattve sadṛśaścintāpravāho dhyānam // GkT_1.7:73	* rudra-tattve sadRSaH-cintA-pravAhaH DyAnam // GkT_1.7:73
   * tad dvividhaṃ japapūrvakaṃ dhāraṇāpūrvakaṃ ca // GkT_1.7:74	* tat dviviDam japa-pUrvakam DAraNA-pUrvakam ca // GkT_1.7:74
   * tatra japapūrvakaṃ prasaṅgenaiva pūrvam uktaṃ dhāraṇāpūrvakaṃ tūcyate //	* tatra japa-pUrvakam prasaFgena-eva pUrvam uktam DAraNA-pUrvakam tu-ucyate //
   GkT_1.7:75	GkT_1.7:75
   * nirālambanaṃ cittamamūḍhasya dhāraṇam // GkT_1.7:76	* nirAlambanam cittam-amUXasya DAraNam // GkT_1.7:76
   * saṃhṛtamūrchādyavasthasyāpi cittaṃ vṛttālābhānnirālambanam astīti	* saMhRta-mUrCA-Adi-avasTasya-api cittam vRtta-alABAt-nirAlambanam asti-iti
   tannivṛttyartham amūḍhasyetyuktam // GkT_1.7:77	tad-nivRtti-arTam amUXasya-iti-uktam // GkT_1.7:77
   * yo vidyānugṛhītayā buddhyā svaṃ cittaṃ nirālambanaṃ karoti so 'mūḍha	* yaH vidyA-anugRhItayA budDyA svam cittam nirAlambanam karoti saH amUXa
   ityucyate // GkT_1.7:78	iti-ucyate // GkT_1.7:78
   * tayā dhāraṇayā nirmalīkṛtaṃ cittaṃ rudratattve sthāpitaṃ sudīrghakālaṃ	* tayA DAraNayA nirmalIkRtam cittam rudra-tattve sTApitam su-dIrGa-kAlam
   na cyavata ityanenaiva viśeṣeṇa pūrvadhyānāpekṣayedaṃ dhāraṇāsahitaṃ	na cyavataH iti-anena-eva viSezeNa pUrva-DyAna-apekzayA-idam DAraNA-sahitam
   dhyānaṃ paramityuktaṃ śrīmadbhāṣyakṛtā paramayoginā // GkT_1.7:79	DyAnam param-iti-uktam SrImat-BAzya-kRtA parama-yoginA // GkT_1.7:79
   * yadyapyeva dīkṣāprabhṛti cittaṃ nirmalīkartuṃ na śakyate tathāpi	* yadi-api-eva dIkzA-praBRti cittam nirmalIkartum na Sakyate taTA-api
   dhānuṣkacitrakarādivad abhyāsārthaṃ sarvāvasthāsu yathāśaktyā dhyānaṃ	DAnuzka-citrakara-Adi-vat aByAsa-arTam sarva-avasTAsu yaTASaktyA DyAnam
   kartavyaṃ mṛtyukālasyāniścitatvāt // GkT_1.7:80	kartavyam mRtyu-kAlasya-aniScita-tvAt // GkT_1.7:80
   * anyathā hi yuddhakāla eva aśvadamananyāyaḥ syāditi // GkT_1.7:81	* anyaTA hi yudDa-kAle eva aSva-damana-nyAyaH syAt-iti // GkT_1.7:81
   * itthaṃ samyagvidhiṃ jñātvā yastu dhyāyati śaṃkaram /	* itTam samyak-viDim jQAtvA yaH-tu DyAyati SaMkaram /
   * niśādāv ardharātre ca niśānte cācyutavrataḥ // GkT_1.7:82	* niSA-AdO arDarAtre ca niSA-ante ca-acyuta-vrataH // GkT_1.7:82
   * yāmaṃ yāmaṃ tadarghaṃ yāvacchaktyā divāpi ca /	* yAmam yAmam tad-arGam yAvat-SaktyA divA-api ca /
   * saṃtyajyāsaktim anyatra paśyanduḥkhamayaṃ bhavam // GkT_1.7:83	* saMtyajya-Asaktim anyatra paSyan-duHKa-mayam Bavam // GkT_1.7:83
   * paraṃ vairāgyamāsthāya laghvāhāro jitendriyaḥ /	* param vErAgyam-AsTAya laGu-AhAraH jita-indriyaH /
   * utsāhātiśayaṃ kurvan śuddhotkarṣaṃ vivardhayan // GkT_1.7:84	* utsAha-atiSayam kurvan SudDa-utkarzam vivarDayan // GkT_1.7:84
   * nairantaryeṇa ṣaṇmāsaṃ brahmahatyādimānapi /	* nErantaryeNa zaz-mAsam brahmahatyA-AdimAn-api /
   * ekaṃ saṃvatsaraṃ vāpi taccittastanmayo bhavet // GkT_1.7:85	* ekam saMvatsaram vA-api tad-cittaH-tad-mayaH Bavet // GkT_1.7:85
   * sa hatvā duṣkṛtaṃ ghoraṃ rāgādīnāṃ ca pañjaram /	* sa hatvA duzkRtam Goram rAga-AdInAm ca paQjaram /
   * paśyatyevākhilaṃ tattvaṃ sarvopādhisamanvitam // GkT_1.7:86	* paSyati-eva-aKilam tattvam sarva-upADi-samanvitam // GkT_1.7:86
   * sarvasattvādhipaṃ paśyann anantaṃ śivamavyayam /	* sarva-sattva-aDipam paSyan anantam Sivam-avyayam /
   * yo na pāśupatādanyair yogīśairapi dṛśyate // GkT_1.7:87	* yaH na pASupatAt-anyEH yogi-ISEH-api dRSyate // GkT_1.7:87
   * taṃ dṛṣṭvā paramaiśvaryaṃ labdhvā syānnirbhayaḥ sadā /	* tam dRzwvA parama-ESvaryam labDvA syAt-nirBayaH sadA /
   * ajñātvāpi vidhānaṃ yasteṣu kāleṣu suvrataḥ // GkT_1.7:88	* ajQAtvA-api viDAnam yaH-tezu kAlezu suvrataH // GkT_1.7:88
   * sadbhaktyutsāhavairāgyair nityaṃ dhyāyati śaṃkaram /	* sat-Bakti-utsAha-vErAgyEH nityam DyAyati SaMkaram /
   * tasyāpīśaḥ prasannastāṃ siddhiṃ dadyādanuttamām // GkT_1.7:89	* tasya-api-ISaH prasannaH-tAm sidDim dadyAt-anuttamAm // GkT_1.7:89
   * yāṃ prāpya tyaktasaṃsāraḥ svatantraḥ śivavadbhavet /	* yAm prApya tyakta-saMsAraH svatantraH Siva-vat-Bavet /
   * dhyāyanneva tamīśānaṃ yadi prāṇān vimuñcati // GkT_1.7:90	* DyAyan=-eva tam-ISAnam yadi prANAn vimuQcati // GkT_1.7:90
   * tasya dehāntakāle vai dadyādīśaḥ parāṃ gatim /	* tasya dehAnta-kAle vE dadyAt-ISaH parAm gatim /
   * abbhakṣā vāyubhakṣāśca ye cātyugratapaścarāḥ // GkT_1.7:91	* abBakzAH vAyuBakzAH-ca ye ca-ati-ugra-tapaH-carAH // GkT_1.7:91
   * kṣityādīnāṃ ca dātāro yajñānuṣṭhāyinaśca ye /	* kziti-AdInAm ca dAtAraH yajQa-anuzWAyinaH-ca ye /
   * saṃvatsarasahasreṇa yāṃ siddhiṃ prāpnuvanti te // GkT_1.7:92	* saMvatsara-sahasreNa yAm sidDim prApnuvanti te // GkT_1.7:92
   * tāṃ prāpnotyardhayāmena japadhyāne rato yatiḥ /	* tAm prApnoti-arDa-yAmena japa-DyAne rataH yatiH /
   * jñātvaivaṃ yogamāhātmyaṃ dehādeḥ sthityaniścayam // GkT_1.7:93	* jQAtvA-evam yoga-mAhAtmyam deha-AdeH sTiti-aniScayam // GkT_1.7:93
   * duḥkhārṇavaṃ ca saṃsāraṃ na kuryādanyathā matim /	* duHKa-arNavam ca saMsAram na kuryAt-anyaTA matim /
   * śarīraṃ dhriyate yāvadyāvadbuddhirna hīyate // GkT_1.7:94	* SarIram Driyate yAvat-yAvat-budDiH-na hIyate // GkT_1.7:94
   * tāvaddhyānaṃ japaṃ caiva yāvacchaktyā samabhyaset /	* tAvat-DyAnam japam ca-eva yAvat-SaktyA samaByaset /
   * iṣṭaṃ dravyaṃ yathā naṣṭaṃ kaściddhyāyatyaharniśam /	* izwam dravyam yaTA nazwam kaScid-DyAyati-aharniSam /
   * tadvadvāgādyasaṃsṛṣṭaṃ śivaṃ dhyāyed anālasaḥ // GkT_1.7:95	* tadvat-vAc-Adya-saMsRzwam Sivam DyAyet anAlasaH // GkT_1.7:95
   * vivakṣor vāgviśuddhaḥ prāg yadvaccetasi bhāsate /	* vivakzoH vAc-viSudDaH prAk yadvat-cetasi BAsate /
   * tadvattaṃ praṇidhānena divā rātrau ca cintayet // GkT_1.7:96	* tadvat-tam praNiDAnena divA rAtrO ca cintayet // GkT_1.7:96
   * guṇairdharmairviśiṣṭaṃ vā bhāvayitvāśu niścitaḥ /	* guNEH-DarmEH-viSizwam vA BAvayitvA-ASu niScitaH /
   * paścāttaṃ kevalaṃ dhyāyedbuddhyā kṛtvā pṛthaktataḥ // GkT_1.7:97	* paScAt-tam kevalam DyAyet-budDyA kRtvA pRTak-tatas // GkT_1.7:97
