   Carmavastu	Carma-vastu
   evāsau śroṇaḥ koṭīkarṇaḥ / (88r = GBM 6.758) yad anena kāśyapasya	eva-asO SroNaH kowIkarNaH / (88H  GBm 6.758) yat anena kASyapasya
   samyaksaṃbuddhasya stūpe kārāṃ kṛtvā praṇidhānaṃ kṛtaṃ tasya karmaṇo	samyaksaMbudDasya stUpe kArAm kRtvA praNiDAnam kRtam tasya karmaNaH-
   vipākenāḍhye mahādhane mahābhoge kule jātaḥ / mama śāsane pravrajya	vipAkena-AXye mahADane mahA-Boge kule jAtaH / mama SAsane pravrajya
   sarvakleśaprahāṇād arhatvaṃ sākṣātkṛtam* / aham anena kāśyapena	sarva-kleSa-prahANAt arhatvam sAkzAtkRtam* / aham anena kASyapena
   samyaksaṃbuddhena samabalaḥ samajavaḥ samadhūraḥ samasāmānyaprāptaḥ śāstā	samyaksaMbudDena sama-balaH sama-javaH sa-maDUraH sama-sAmAnya-prAptaH SAstA
   ārāgito na virāgita iti hi bhikṣava ekāntakṛṣṇānāṃ karmaṇām ekāntakṛṣṇo	ArAgitaH na virAgitaH iti hi BikzavaH ekAnta-kRzNAnAm karmaNAm ekAnta-kRzNaH-
   vipākaḥ ekāntaśuklānāṃ karmaṇām ekāntaśuklo vipākaḥ vyatimiśrāṇāṃ	vipAkaH ekAnta-SuklAnAm karmaNAm ekAnta-SuklaH vipAkaH vyatimiSrANAm
   vyatimiśraḥ / tasmāt tarhi bhikṣava ekāntakṛṣṇāni karmāṇy apāsya	vyatimiSraH / tasmAt tarhi BikzavaH ekAnta-kRzNAni karmANi apAsya
   vyatimiśrāṇi caikāntaśukleṣv eva karmasv ābhogaḥ karaṇīyaḥ / ity evaṃ vo	vyatimiSrANi ca-ekAnta-Suklezu eva karmasu ABogaH karaNIyaH / iti evam vaH-
   bhikṣavaḥ śikṣitavyam* / bhikṣava ūcūḥ / kiṃ bhadantāyuṣmatā	BikzavaH Sikzitavyam* / BikzavaH UcUH / kim Badanta-AyuzmatA
   śroṇakoṭīkarṇena karma kṛtaṃ yasya karmaṇo vipākena dṛṣṭa eva dharme apāyā	SroNakowI-karNena karma kRtam yasya karmaNaH vipAkena dRzwaH eva Darme apAyA
   dṛṣṭāḥ / bhagavān āha / yad anena mātur antike kharavāk karma niścāritaṃ	dRzwAH / BagavAn Aha / yat anena mAtuH antike Kara-vAc karma niScAritam
   tasya karmaṇo vipākena dṛṣṭa eva dharma apāyā dṛṣṭāḥ /	tasya karmaNaH vipAkena dRzwaH eva Darma apAyAH dRzwAH /
   (MSV IV 194)	(MSV IV 194)
   buddho bhagavān śrāvastyāṃ viharati jetavane 'nāthapiṇḍadasyārāme /	budDaH BagavAn SrAvastyAm viharati jetavane anATapiNxadasya-ArAme /
   āyuṣmān upanandaḥ saṃghanavakaḥ / tasya paṃktyā kaṭakaṭāyamaṃcakaḥ prāptaḥ	AyuzmAn upanandaH saMGanavakaH / tasya paMktyA kawakawAya-maMcakaH prAptaH
   / sa bhayena parivartate / mā bhetsyatīti saṃlakṣayati / aham upanando	/ sa Bayena parivartate / mA Betsyati-iti saMlakzayati / aham upanandaH-
   maṃcakasyāpi spṛhayāmi / nopananda iti nāmadheyaṃ dhārayāmi yadi śayyāṃ	maMcakasya-api spRhayAmi / na-upanandaH iti nAmaDeyam DArayAmi yadi SayyAm
   maṃcakaṃ vā nopāvartayāmi / sa kālyam evotthāya rājñaḥ prasenajitaḥ	maMcakam vA na-upAvartayAmi / sa kAlyam eva-utTAya rAjQaH prasenajitaH
   kosalasya sakāśam upasaṃkrāntaḥ / sa tenoktaḥ / svāgataṃ	kosalasya sakASam upasaMkrAntaH / sa tena-uktaH / svAgatam
   bhadantopanandasya / kaścid bhadantopanandaḥ sukhaṃ śayitaḥ / sa kathayati	Badanta-upanandasya / kaScid Badanta-upanandaH suKam SayitaH / sa kaTayati
   / gillapeṭha kiṃ tvaṃ na jānīṣe yathāham aṣṭapuṭīṃ śayyāṃ kalpayāmy	/ gillapeWa kim tvam na jAnIze yaTA-aham azwa-puwIm SayyAm kalpayAmi-
   upanando 'pi tathaiveti / ahaṃ saṃghanavako mama paṃktyā	upanandaH api taTA-eva-iti / aham saMGanavakaH mama paMktyA
   kaṭakaṭāyamaṃcakaḥ prāptaḥ / so 'haṃ bhayena parivartāmi / mā bhetsyatīti	kawakawAya-maMcakaH prAptaH / saH aham Bayena parivartAmi / mA Betsyati-iti
   kalpate / bhadantopanandasyedṛśī aṣṭapuṭī śayyā sādhu kalpate suṣṭhu	kalpate / Badanta-upanandasya-IdRSI azwa-puwI SayyA sADu kalpate suzWu
   kalpate / kutra pratikṣiptaṃ kena vā pratikṣiptam* / yadi te kalpate	kalpate / kutra pratikziptam kena vA pratikziptam* / yadi te kalpate
   gṛhīto bhavatu / upanandaḥ kathayati / kiṃ mama kosalo janapado vartate /	gRhItaH Bavatu / upanandaH kaTayati / kim mama kosalaH janapadaH vartate /
   vihāraṃ nāmayitvānuprayaccha / tena tasyāṣṭau manuṣyā anupradattāḥ / tatra	vihAram nAmayitvA-anuprayacCa / tena tasya-azwO manuzyAH anupradattAH / tatra
   caturbhiḥ śayanāsanaṃ gṛhītaṃ caturbhiḥ khaṭṭā / te gṛhītvā vīthyā	caturBiH Sayana-Asanam gRhItam caturBiH KawwAH / te gRhItvA vITyA
   madhyena saṃprasthitāḥ / te brāhmaṇagṛhapatibhir (MSV IV 195) dṛṣṭāḥ /	maDyena saMprasTitAH / te brAhmaNa-gRhapatiBiH (MSV IV 195) dRzwAH /
   dṛṣṭvā ca pṛcchanti / kutra bhavanto 'sya devaśayyāṃ kalpayiṣyanti /	dRzwvA ca pRcCanti / kutra BavantaH asya deva-SayyAm kalpayizyanti /
   upanandaḥ kathayati / svagṛhe / kasyaiṣā śayyā nīyate / upanandaḥ	upanandaH kaTayati / sva-gRhe / kasya-ezA SayyA nIyate / upanandaH
   kathayati / mayaiṣā labdhā / te 'vadhyāyanti kṣipanti vivācayanti / kiṃ	kaTayati / mayA-ezA labDAH / te avaDyAyanti kzipanti vivAcayanti / kim
   bhadantopanandasya śrāmaṇakasya kāmaguṇā bādhante / tena vihāraṃ gatvā	Badanta-upanandasya SrAmaNakasya kAma-guNAH bADante / tena vihAram gatvA
   vihāraṃ siktaṃ saṃmṛṣṭaṃ sukumārī gomayakārṣy anupradattā / śayyāṃ	vihAram siktam saMmRzwam sukumArI gomaya-kArzI anupradattA / SayyAm
   prajñapya niṣetsyāmīti / bhagavān ca taṃ pradeśam anuprāptaḥ /	prajQapya nizetsyAmi-iti / BagavAn ca tam pradeSam anuprAptaH /
   saudvilyajāto bhagavantam idam avocat* / paśya mama bhadanta kīdṛśī śayyā	sOdvilya-jAtaH Bagavantam idam avocat* / paSya mama Badanta kIdRSI SayyA
   / tatra bhagavān bhikṣūn āmantrayate sma / ādita eva bhikṣavaḥ upanando	/ tatra BagavAn BikzUn Amantrayate sma / Aditas eva BikzavaH upanandaH-
   mohapuruṣaḥ pratigopako veditavyaḥ / bhagavān saṃlakṣayati / yaḥ kaścid	moha-puruzaH pratigopakaH veditavyaH / BagavAn saMlakzayati / yaH kaScid-
   ādīnavo bhikṣavo uccaśayanamahāśayane śayyā kalpayanti / tasmān na	AdInavaH BikzavaH ucca-Sayana-mahA-Sayane SayyA kalpayanti / tasmAt na
   bhikṣuṇoccaśayanamahāśayane niṣettavyam* / niṣīdati sātisāro bhavati /	BikzuNA-ucca-Sayana-mahA-Sayane nizettavyam* / nizIdati sa-atisAraH Bavati /
   uktaṃ bhagavatā na bhikṣuṇoccaśayanamahāśayane (88v = GBM 6.759)	uktam BagavatA na BikzuNA-ucca-Sayana-mahA-Sayane (88u  GBm 6.759)
   niṣettavyam iti / anyatamena gṛhapatinā buddhapramukhā bhikṣusaṃghā	nizettavyam iti / anyatamena gRhapatinA budDa-pramuKAH Bikzu-saMGA
   antargṛhe nimaṃtritāḥ / sa uccāny āsanāni prajñapayitum ārabdhaḥ / āyuṣmān	antargRhe nimaMtritAH / saH uccAni AsanAni prajQapayitum ArabDaH / AyuzmAn
   ānandaḥ anukālaṃ praviṣṭaḥ / tena dṛṣṭaḥ ya uccāny āsanāni prajñapayan* /	AnandaH anukAlam pravizwaH / tena dRzwaH yaH uccAni AsanAni prajQapayan* /
   sa tenoktaḥ / naitāni gṛhapate bhikṣupratirūpāṇy āsanāni / apanaya / sa	sa tena-uktaH / na-etAni gRhapate Bikzu-pratirUpANi AsanAni / apanaya / sa
   tāny apanayitum ārabdhaḥ / bhagavāṃś ca tatrāgataḥ / jānakāḥ pṛcchakā	tAni apanayitum ArabDaH / BagavAn ca tatra-AgataH / jAnakAH pRcCakA
   buddhā bhagavantaḥ / pṛcchati buddho bhagavān āyuṣmantam ānandam* / kim	budDAH BagavantaH / pRcCati budDaH BagavAn Ayuzmantam Anandam* / kim
   idam ānanda kariṣyasi / bahagavann ayaṃ gṛhapatir mahārhāṇi śayanāsanāni	idam Ananda karizyasi / baha-gavan ayam gRhapatiH mahArhANi Sayana-AsanAni
   prajñapayati (MSV IV 196) naitāni gṛhapate bhikṣupratirūpāṇi śayanāsanāni	prajQapayati (MSV IV 196) na-etAni gRhapate Bikzu-pratirUpANi Sayana-AsanAni
   / apanayaitāni / saiṣo 'panayati / mānanda gṛhapatiṃ vāraya /	/ apanaya-etAni / sA-ezaH apanayati / mAnanda gRhapatim vAraya /
   prajñapayantu na sarvatrānanda riddhiṣyati / tasmād anujānāmy antargṛhe	prajQapayantu na sarvatra-Ananda ridDizyati / tasmAt anujAnAmi antargRhe
   uccāsane niṣettavyam* / nābhinipatitavyam* / vihāre naiva niṣettavyam* /	ucca-Asane nizettavyam* / nABi-nipatitavyam* / vihAre na-eva nizettavyam* /
   niṣadyābhinipatati sātisāro bhavati /	nizadya-aBinipatati sa-atisAraH Bavati /
   anyatamo bhikṣus tricīvarako dakṣiṇāpathāt śrāvastīm anuprāpto bhagavataḥ	anyatamaH BikzuH tri-cIvarakaH dakziNApaTAt SrAvastIm anuprAptaH BagavataH
   pādābhivandakaḥ / tasya carmakāstarikā śobhanā / sa tatropanandena dṛṣṭaḥ	pAda-aBivandakaH / tasya carmakAstarikA SoBanA / sa tatra-upanandena dRzwaH
   / sa tenoktaḥ / piṇḍapātika prayaccha mamaitat carma caityābhivandako	/ sa tena-uktaH / piNxapAtika prayacCa mama-etat carma cEtya-aBivandakaH-
   {following text restored according Tib: ahaṃ bhagavataḥ pādābhivandakaḥ	{fa-ullowing text restoret acca-Urdinc Tib: aham BagavataH pAda-aBivandakaH
   gacchāmi / sa kathayati / bhadantopananda yuktam etan na yuktam* / aham	gacCAmi / sa kaTayati / Badanta-upananda yuktam etat na yuktam* / aham
   api bhagavataḥ pādābhivandako 'trāgataḥ / piṇḍapātikas tvam iti manye /	api BagavataH pAda-aBivandakaH atra-AgataH / piNxapAtikaH tvam iti manye /
   bhadantopananda evaṃrūpacarmagrahaṇe tvaṃ samartho vāsamarthaḥ / paśya	Badanta-upanandaH evaMrUpa-carma-grahaNe tvam samarTaH vAsamarTaH / paSya
   bhadantopananda yena tvam asamarthas tenāhaṃ tava nānuprayacchāmi /}	Badanta-upananda yena tvam asamarTaH tena-aham tava na-anuprayacCAmi /}
   gacchāmi / sa kathayati / bhadantopananda gacha tvam āvāsam* / ahaṃ	gacCAmi / sa kaTayati / Badanta-upananda gaCa tvam AvAsam* / aham
   caityābhivandaka evāgataḥ pādābhivandakaḥ / kiṃ tvaṃ jānīṣe	cEtya-aBivandakaH eva-AgataH pAda-aBivandakaH / kim tvam jAnIze
   asamarthopananda īdṛśaṃ carma samudānetum* / paśya bhadantopananda yena	asamarTa-upanandaH IdRSam carma samudAnetum* / paSya Badanta-upananda yena
   tvam asamarthas tenāhaṃ tava nānuprayacchāmi /	tvam asamarTaH tena-aham tava na-anuprayacCAmi /
   rājñaḥ prasenajitaḥ kosalasya baḍro nāma gavādhyakṣaḥ āyuṣmata upanandasya	rAjQaH prasenajitaH kosalasya baxraH nAma gavADyakzaH AyuzmataH upanandasya
   sapremakaḥ / sa tasya sakāśam upasaṃkrāntaḥ / yāvad vasantakāle	sa-premakaH / sa tasya sakASam upasaMkrAntaH / yAvat vasanta-kAle
   citropacitrako vatso jātaḥ / saikasya vatsasya pṛṣṭhaṃ parāmṛśati /	citra-upacitrakaH vatsaH jAtaH / sA-ekasya vatsasya pRzWam parAmRSati /
   baḍreṇoktaḥ / kiṃ bhadantopananda (MSV IV 197) kāṅkṣase tvam asya mātuḥ	baxreNa-uktaH / kim Badanta-upananda (MSV IV 197) kAFkzase tvam asya mAtuH
   kṣīram* / nedam* / sa kathayati / etac ca bhavatu / api tu yasya bhikṣor	kzIram* / na-idam* / sa kaTayati / etat ca Bavatu / api tu yasya BikzoH-
   īdṛśaṃ carmasu alpotsukaḥ kuśalapakṣaṃ kuryāt* / sa kathayati /	IdRSam carmasu alpa-utsukaH kuSala-pakzam kuryAt* / sa kaTayati /
   bhadantopananda gaccha / vijñātam* / sa prakrāntaḥ / tena gopālasyājñā	Badanta-upananda gacCa / vijQAtam* / sa prakrAntaH / tena gopAlasya-AjQA
   dattā etad vatsakaṃ praghātya carma gṛhītvā bhadantopanandasya	dattA etat vatsakam praGAtya carma gRhItvA Badanta-upanandasya
   nītvānuprayacchasva / sa taṃ vatsakaṃ praghātya carma gṛhītvā	nItvA-anuprayacCasva / sa tam vatsakam praGAtya carma gRhItvA
   saṃprasthitaḥ / sā gauḥ putrasnehena haṃbhāravaṃ kurvatī pṛṣṭhataḥ	saMprasTitaH / sA gOH putra-snehena haMBAravam kurvatI pRzWatas-
   pṛṣṭhataḥ samanusasāra / jetavane praviṣṭā sā gauḥ jetavanadvāre	pRzWatas samanusasAraH / jetavane pravizwA sA gOH jetavana-dvAre
   haṃbhāravaṃ ravamānā tiṣṭhati / jānakāḥ pṛcchakā buddhā bhagavantaḥ /	haMBA-ravam ravamAnA tizWati / jAnakAH pRcCakAH budDAH BagavantaH /
   pṛcchati buddho bhagavān āyuṣmantam ānandam* / kasmād ānanda iyaṃ gauḥ	pRcCati budDaH BagavAn Ayuzmantam Anandam* / kasmAt AnandaH iyam gOH
   jetavanadvāre tiṣṭhati / āyuṣmān ānandaḥ kathayati / bhagavan tasyā	jetavana-dvAre tizWati / AyuzmAn AnandaH kaTayati / Bagavan tasyAH-
   vatsakaḥ carmakārthāya bhadantopanandena praghātāpitaḥ / teneyaṃ gauḥ	vatsakaH carmaka-arTAya Badanta-upanandena praGAtApitaH / tena-iyam gOH
   jetavanadvāre haṃbhāravaṃ ravamānā tiṣṭhati / bhagavān āha / yaḥ kaścid	jetavana-dvAre haMBAravam ravamAnA tizWati / BagavAn Aha / yaH kaScid-
   ādīnavo bhikṣavaś carma dhārayanti / tasmān na bhikṣuṇā carma	AdInavaH BikzavaH carma DArayanti / tasmAt na BikzuNA carma
   dhārayitavyam* / dhārayanti sātisārā bhavanti /	DArayitavyam* / DArayanti sa-atisArAH Bavanti /
   uktaṃ bhagavatā / na carma dhārayitavyam* / anyatamena gṛhapatinā	uktam BagavatA / na carma DArayitavyam* / anyatamena gRhapatinA
   buddhapramukho bhikṣusaṃgho nimantritaḥ / sa carmakāny āsanāni	budDa-pramuKaH Bikzu-saMGaH nimantritaH / sa carmakAni AsanAni
   prajñapayitum ārabdhaḥ / pūrvavat tu na sarvatra saṃpatsyate / tasmād	prajQapayitum ArabDaH / pUrvavat tu na sarvatra saMpatsyate / tasmAt-
   antargṛhe carmāsane niṣettavyaṃ na nipatitavyam* / vihāre na niṣettavyaṃ	antargRhe carma-Asane nizettavyam na nipatitavyam* / vihAre na nizettavyam
   (89r = GBM 6.760) (MSV IV 198) na nipatitavyam* / niṣīdati nipatati	(89H  GBm 6.760) (MSV IV 198) na nipatitavyam* / nizIdati nipatati
   sātisāro bhavati /	sa-atisAraH Bavati /
   rājagṛhanidānam* / pilindavatsasya sadā glānakasya yānam anujñātam+ /	rAja-gRha-nidAnam* / pilinda-vatsasya sadA glAnakasya yAnam anujQAtam+ /
   ṣaḍvargikā yānena gantum ārabdhāḥ / tasmān na gantavyaṃ yānena / sa	zaxvargikAH yAnena gantum ArabDAH / tasmAt na gantavyam yAnena / sa
   evādīnavaḥ / tasmād dvābhyāṃ gantavyaṃ jīrṇena vā jarādurbalenā glānena vā	eva-AdInavaH / tasmAt dvAByAm gantavyam jIrNena vA jarA-durbalenA glAnena vA
   aprayogakṣameṇa /	aprayoga-kzameNa /
   bhikṣavo janapadacārikāṃ caranti / nadyā gacchanti / te tartuṃ na	BikzavaH janapada-cArikAm caranti / nadyAH gacCanti / te tartum na
   śaknuvanti pātracīvaram uttolayitvā / etat prakaraṇaṃ bhikṣavo bhagavata	Saknuvanti pAtra-cIvaram uttolayitvA / etat prakaraNam BikzavaH Bagavata
   ārocayanti / bhagavān āha / bhikṣuṇā santaraṇaṃ śikṣitavyam* / ṣaḍvargikā	Arocayanti / BagavAn Aha / BikzuNA santaraNam Sikzitavyam* / zaxvargikA
   ajiravatīm uttaranty api srota uttaranty api / yāvad ātīrya āgatāḥ /	ajiravatIm uttaranti api srotaH uttaranti api / yAvat AtIryaH AgatAH /
   bhagini uttārayāma yuṣmākam evaṃ kurudhvam* / tais tāsām aṅgapratyaṅgāni	Bagini uttArayAma yuzmAkam evam kuruDvam* / tEH tAsAm aFga-pratyaFgAni
   parāmṛṣṭāni / bhūyaḥ āgacchata / tāḥ kathayanti / ye 'smākaṃ svāmināpi na	parAmRzwAni / BUyas AgacCata / tAH kaTayanti / ye asmAkam svAminA-api na
   pradeśā parāmṛṣṭās te yuṣmābhiḥ parāmṛṣṭāḥ / tā avadhyāyanti kṣipanti	pradeSA parAmRzwAH te yuzmABiH parAmRzwAH / tAH avaDyAyanti kzipanti
   vivācayanti / bhagavān āha / yaḥ kaścid ādīnavo bhikṣavo mātṛgrāmaṃ	vivAcayanti / BagavAn Aha / yaH kaScid AdInavaH BikzavaH mAtR-grAmam
   spṛśati / tasmān na bhikṣuṇā mātṛgrāmaṃ spraṣṭavyam iti /	spRSati / tasmAt na BikzuNA mAtR-grAmam sprazwavyam iti /
   uktaṃ bhagavatā / mātṛgrāmo sa spraṣṭavyaḥ / nagaramanuṣyāḥ (MSV IV 199)	uktam BagavatA / mAtR-grAmaH sa sprazwavyaH / nagara-manuzyAH (MSV IV 199)
   udyānapriyāḥ / teṣām udyānagatānām anyatamā strī pānīyasyārthāya nadīm	udyAna-priyAH / tezAm udyAna-gatAnAm anyatamA strI pAnIyasya-arTAya nadIm
   avatīrṇā / sā tṛṣyate / tāṃ manuṣyo 'valokayan gacchati / tena bhikṣur	avatIrNA / sA tRzyate / tAm manuzyaH avalokayan gacCati / tena BikzuH-
   dṛṣṭaḥ / āryeṇa kācit strī plavamānā dṛṣṭā / dṛṣṭā eṣā plavate / divase	dRzwaH / AryeNa kAcid strI plavamAnA dRzwA / dRzwAH ezA plavate / divase
   pānīyaṃ prativīkṣamāṇā tiṣṭhati evaṃ prāṇo 'syāyate / etat prakaraṇaṃ	pAnIyam prativIkzamANA tizWati evam prANaH asya-Ayate / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / bhagavān āha / uttārayitavyā / aparāḥ	BikzavaH BagavataH Arocayanti / BagavAn Aha / uttArayitavyAH / aparAH
   kathayanti muṃcatu / atibalā {GBM: pratibalā} bhavanti / pratimoktavyā /	kaTayanti muMcatu / atibalAH {GBM: pratibalA} Bavanti / pratimA-uktavyA /
   aparā niśceṣṭā bhavanti / tā bālikāsthalaṃ kṛtvāvamūrdhikāḥ sthāpayitvā	aparAH niScezwAH Bavanti / tAH bAlikA-sTalam kRtvA-avamUrDikAH sTApayitvA
   chorayitvā gacchanti / tāḥ śṛgālair bhakṣyante / na chorayitvā gantavyam*	CorayitvA gacCanti / tAH SRgAlEH Bakzyante / na CorayitvA gantavyam*
   / rajyanti / ekānte sthātavyam* / ye svādhyāyakārakā bhikṣavas taiḥ	/ rajyanti / ekAnte sTAtavyam* / ye svADyAya-kArakAH BikzavaH tEH
   svādhyāyanikā kartavyā / ye dhyāyinas tair manasikāraḥ kartavyaḥ /	svADyAyanikA kartavyA / ye DyAyinaH tEH manasikAraH kartavyaH /
   bhaktacchedo bhavati / ye tatra gopālakāḥ paśupālakā bhavanti teṣām	Bakta=-CedaH Bavati / ye tatra gopAlakAH paSupAlakAH Bavanti tezAm
   anuparitas tu gantavyam* /	anuparitas tu gantavyam* /
   ṣaḍvargikā gopucchena taranti / anyatamo gṛhapatiḥ / tasya gāvaḥ / tāsāṃ	zaxvargikAH gopucCena taranti / anyatamaH gRhapatiH / tasya gAvaH / tAsAm
   tāvad uttārottāraṃ kṛtvā yāvat kṣīram antarhitam* / (MSV IV 200) tena	tAvat uttAra-uttAram kRtvA yAvat kzIram antarhitam* / (MSV IV 200) tena
   gopālakaḥ pṛṣṭaḥ / kasmād adya kṣīraṃ nāsti / te kathayanti / āryakaiḥ	gopAlakaH pRzwaH / kasmAt adya kzIram na-asti / te kaTayanti / AryakEH
   ṣaḍvargīyaiḥ pūrvavat* / so 'vadhyāyati kṣipati vivācayati / tasmān na	zaxvargIyEH pUrvavat* / saH avaDyAyati kzipati vivAcayati / tasmAt na
   bhikṣuṇā gopucchena tartavyam* / uktaṃ bhagavatā / na gopucchena tartavyam	BikzuNA gopucCena tartavyam* / uktam BagavatA / na gopucCena tartavyam
   iti / bhikṣūṇāṃ nadīsantareṇa vighāto jātaḥ / hastipucchena necchanti	iti / BikzUNAm nadI-santareNa viGAtaH jAtaH / hasti-pucCena na-icCanti
   tartum* / bhagavān āha / paṃcānāṃ bāladhīyānāṃ pucchena tartavyam* /	tartum* / BagavAn Aha / paMcAnAm bAlaDIyAnAm pucCena tartavyam* /
   hastyājāneyasya aśvājāneyasya vṛṣabhasya mahiṣasya camarasya / api tu	hasti-AjAneyasya aSva-ajAneyasya vRzaBasya mahizasya camarasya / api tu
   bhṛṣiṇā tartavyam* /	BRziNA tartavyam* /
   uktaṃ bhagavatā bhṛṣiṇā tartavyam iti / ṣaḍvargīyaiś citropacitrāṇi	uktam BagavatA BRziNA tartavyam iti / zaxvargIyEH citra-upacitrANi
   kamalamātrāṇi strīpuruṣavipratipannāni kṛtāni / te brāhmaṇagṛhapatibhir	kamala-mAtrANi strI-puruza-vipratipannAni kRtAni / te brAhmaNa-gRhapatiBiH-
   dṛṣṭāḥ kathayanti / bhavantaḥ kim idam* / te kathayanti / bhagavatā	dRzwAH kaTayanti / BavantaH kim idam* / te kaTayanti / BagavatA
   bhṛṣiṇā anujñātāḥ / te 'vadhyāyanti / ārya yuṣmākaṃ śrāmaṇakaḥ kāmaguṇo	BRziNA anujQAtAH / te avaDyAyanti / Arya yuzmAkam SrAmaNakaH kAma-guNa-u
   bhavati / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha /	Bavati / etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha /
   na bhikṣubhiś citropacitrāṇi kamalamātrāṇi strīpuruṣair vipratipannair	na BikzuBiH citra-upacitrANi kamala-mAtrANi strI-puruzEH vipratipannEH-
   bhṛṣayo dhārayitavyāḥ / api tu dvau bhṛṣī / kāṣāyaḥ tāraṇikaś ca /	BRzayaH DArayitavyAH / api tu dvO BRzI / kAzAyaH tAraNikaH ca /
   anāthapiṇḍadena gṛhapatinā maṇḍalavāṭaṃ kāritam* / dharmaśravaṇāya (MSV IV	anATapiNxadena gRhapatinA maNxala-vAwam kAritam* / Darma-SravaNAya (MSV IV
   201) kāṣṭhapādukābhir (89v = GBM 6.761) bhikṣava āgatāḥ / taiḥ sa kuṭṭimaḥ	201) kAzWa-pAdukABiH (89u  GBm 6.761) BikzavaH AgatAH / tEH sa kuwwimaH
   kāṣṭhapādukābhiḥ kṣatavikṣataḥ kṛtaḥ / anāthapiṇḍado gṛhapatiḥ kālyam	kAzWa-pAdukABiH kzata-vikzataH kRtaH / anATapiNxadaH gRhapatiH kAlyam
   evotthāya bhagavataḥ pādābhivandaka āgataḥ / tena dṛṣṭam* / dṛṣṭvā	eva-utTAya BagavataH pAda-aBivandakaH AgataH / tena dRzwam* / dRzwvA
   kathayati / āryāḥ kim atra rājā prasenajit* caturo goṇabalakāyena rātriṃ	kaTayati / AryAH kim atra rAjA prasenajit* caturaH goNa-bala-kAyena rAtrim
   vāsam upagataḥ / te kathayanti / na rājā api tu bhikṣavaḥ kāṣṭhapādukābhir	vAsam upagataH / te kaTayanti / na rAjA api tu BikzavaH kAzWa-pAdukABiH-
   āgatāḥ / tair etad vināśitam* / so 'vadhyāyate / etat prakaraṇaṃ bhikṣavo	AgatAH / tEH etat vinASitam* / saH avaDyAyate / etat prakaraNam BikzavaH-
   bhagavata ārocayanti / bhagavān saṃlakṣayati / yaḥ kaścid ādīnavo	BagavataH Arocayanti / BagavAn saMlakzayati / yaH kaScid AdInavaH-
   bhikṣavaḥ kāṣṭhapādukāṃ dhārayanti / tasmān na hi bhikṣuṇā kāṣṭhapādukā	BikzavaH kAzWapAdukAm DArayanti / tasmAt na hi BikzuNA kAzWapAdukA
   dhārayitavyā /	DArayitavyA /
   uktaṃ bhagavatā na bhikṣuṇā kāṣṭhapādukā dhārayitavyā / bhikṣavo 'ntargṛhe	uktam BagavatA na BikzuNA kAzWa-pAdukA DArayitavyA / BikzavaH antargRhe
   upagacchanti / teṣāṃ pādukāḥ kardamena klidyante / etat prakaraṇaṃ	upagacCanti / tezAm pAdukAH kardamena klidyante / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / bhagavān āha / antargṛhe bhikṣuṇā	BikzavaH BagavataH Arocayanti / BagavAn Aha / antargRhe BikzuNA
   kāṣṭhapādukā dhārayitavyā / śuddhā brāhmaṇagṛhapatayaḥ saṃghe bhikṣūṇāṃ	kAzWa-pAdukA DArayitavyA / SudDA brAhmaNa-gRhapatayaH saMGe BikzUNAm
   kāṣṭhapādukām anuprayacchanti / bhikṣavo na pratigṛhṇanti / te kathayanti	kAzWa-pAdukAm anuprayacCanti / BikzavaH na pratigRhNanti / te kaTayanti
   / ārya yadā bahagavāṃl loke notpannas tadā tīrthyā dakṣiṇīyā āsan* / yāvad	/ Arya yadA baha-gavAn loke na-utpannaH tadA tIrTyAH dakziNIyAH Asan* / yAvat-
   bhagavān āha / pratigrahītavyā / pratigṛhya sāṃghikāyāṃ varcaskuṭyāṃ vā	BagavAn Aha / pratigrahItavyA / pratigRhya sAMGikAyAm varca-skuwyAm vA
   prasrāvakuṭyāṃ prakṣepayitavyā /	prasrAva-kuwyAm prakzepayitavyA /
   uddānam* /	uddAnam* /
   vaṃśapatrā ca śroṇaś ca anujñātā hi guptaye /	vaMSapatrA ca SroNaH ca anujQAtAH hi guptaye /
   tiryagbaddhikā ca purā pārṣṇī puṭī ca /	tiryak-badDikA ca purA pArzNI puwI ca /
   (MSV IV 202)	(MSV IV 202)
   uktaṃ bhagavatā / na kāṣṭhapādukā dhārayitavyā iti / te vaṃśapatrapādukāṃ	uktam BagavatA / na kAzWa-pAdukAH DArayitavyAH iti / te vaMSa-patra-pAdukAm
   dhārayanti / sa evādīnavaḥ / bhagavān āha / na vaṃśapatrapādukā	DArayanti / saH eva-AdInavaH / BagavAn Aha / na vaMSa-patra-pAdukA
   dhārayitavyā / te muṃjapādukāṃ dhārayanti / sa evādīnavaḥ / bhagavān āha /	DArayitavyAH / te muMjapAdukAm DArayanti / saH eva-AdInavaH / BagavAn Aha /
   na muṃjapādukā dhārayitavyā / te rajjupādukāṃ dhārayanti / sa evādīnavaḥ /	na muMjapAdukAH DArayitavyAH / te rajju-pAdukAm DArayanti / saH eva-AdInavaH /
