   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   ratnagarbhe, bhadre subhadre samantabhadre, sarvārthasādhani	ratna-garBe, Badre suBadre samantaBadre, sarva-arTa-sADani
   paramārthasādhani, sarvānarthapraśamani sarvamaṅgalasādhani,	parama-arTa-sADani, sarva-an-arTa-praSamani sarva-maFgala-sADani,
   sarvamaṅgalavādhani, manasi mānasi mahāmānasi, adbhute atyabhute, mukte	sarva-maFgala-vADani, manasi mAnasi mahAmAnasi, adBute atyaBute, mukte
   mocani mokṣani, acyute, araje viraje, vimale, amṛte amare amaraṇi brahme	mocani mokzani, acyute, araje viraje, vimale, amRte amare amaraNi brahme
   brahmasvare, pūrṇe pūrṇamanorathe, mṛtasaṃjīvani, śrībhadre candre	brahma-svare, pUrNe pUrNa-manoraTe, mRta-saMjIvani, SrIBadre candre
   candraprabhe, sūrye sūryakānte, vītabhaye, suvarṇe brahmaghoṣe	candra-praBe, sUrye sUryakAnte, vIta-Baye, suvarNe brahmaGoze
   brahmajeṣṭhe (Mmvr Taku 9) sarvatrāpratihate, rakṣa rakṣa māṃ	brahma-jezWe (Mmvr Taku 9) sarvatra-apratihate, rakza rakza mAm
   sarvasatvānāṃś ca svāhā. namaḥ sarvabuddhānāṃ svastir bhavatu svāter	sarva-satvAnAn ca svAhA. namaH sarva-budDAnAm svastiH Bavatu svAteH-
   bhikṣor mama sarvasatvānāñ ca. jīvantu varṣaśataṃ paśyantu śaradāśataṃ.	BikzoH mama sarva-satvAnAn ca. jIvantu varza-Satam paSyantu Sarad-A-SataM.
   tadyathā.	tat-yaTA.
   huci guci muci svāhā.	huci guci muci svAhA.
   syāt khalu punar ānanda anyaḥ sa tena kālena tena samayena suvarṇāvabhāso	syAt Kalu punar Ananda anyaH sa tena kAlena tena samayena suvarNa-avaBAsa-u
   nāma mayūrarājā babhūveti. na punar evaṃ draṣṭavyam. tat kasya hetoḥ. aham	nAma mayUrarAjA baBUva-iti. na punar evam drazwavyam. tat kasya hetoH. aham
   eva sa tena kālena tena samayena suvarṇāvabhāso nāma mayūrarājā babhūva.	eva sa tena kAlena tena samayena suvarNa-avaBAsaH nAma mayUrarAjA baBUva.
   asyāś cānanda mahāmāyūryā vidyārājñyā etarhi hṛdayam anuvyākhyāsyāmi.	asyAH ca-Ananda mahA-mAyUryAH vidyA-rAjQyE etarhi hRdayam anuvyAKyAsyAmi.
   tadyathā.	tat-yaTA.
   ili mitti, tili mitti, tili mili mitti, tili mile, mili tili mitti, cili	ili mitti, tili mitti, tili mili mitti, tili mile, mili tili mitti, cili
   mili mili, cili mili mili, tili mili, sutumbā tumbā, suvaca cilikisiya,	mili mili, cili mili mili, tili mili, sutumbA tumbA, su-vaca cilikisiya,
   bhinna meḍi. namo buddhānāṃ cilikisi prāptamūle, itihārā lohitamūle, tumbā	Binna mexi. namaH budDAnAm cilikisi prApta-mUle, itihArA lohita-mUle, tumbA
   sutumbā kuṭṭi kunaṭṭi, tila kuñja naṭṭi, aḍakavātyāyāṃ, varṣatu devo nava	sutumbA kuwwi kunawwi, tila kuQja nawwi, axaka-vAtyAyAM, varzatu devaH nava
   māsān daśa māsān iti. ili mili kili mili keli mili, ketumūle, dudumbe	mAsAn daSa mAsAn iti. ili mili kili mili keli mili, ketumUle, dudumbe
   sudumbe, sudumoḍe, dalime santuvaṭṭe busavaṭṭe, vusara vusara,	su-dumbe, su-dumoxe, dalime santu-vawwe busa-vawwe, vusara vusara,
   dhanavastrake, narkalā narkalime, khalime ghoṣe rakhile iti, sajjale,	Dana-vastrake, narkalA narkalime, Kalime Goze raKile iti, sat-jale,
   tumbe sutumbe, aṭṭe naṭṭe pranaṭṭe aṇanaṭṭe, anamāle, varṣatu devo	tumbe sutumbe, awwe nawwe pranawwe aNanawwe, anamAle, varzatu devaH-
   navodakena sarvataḥ samantena nārāyaṇi pārāyaṇi haritāli kuntāli, ili	nava-udakena sarvatas samantena nArAyaNi pArAyaNi haritAli kuntAli, ili
   misti, kili misti, ili kili misti, ili me sidhyantu, drāmiḍā mantrapadāḥ	misti, kili misti, ili kili misti, ili me siDyantu, drAmixAH mantra-padAH
   svāhā.	svAhA.
   idam ānanda mahāmāyūryā rājñyā hṛdayaṃ. iyaṃ cānanda mahāmāyūrī vidyārājñī	idam Ananda mahA-mAyUryA rAjQyAH hRdayaM. iyam ca-Ananda mahAmAyUrI vidyA-rAjQI
   grāmagatena manasikartavyā, araṇyagatena manasikartavyā, pathigatena	grAma-gatena manasikartavyA, araNya-gatena manasi-kartavyA, paTi-gatena
   manasikartavyā, utpathagatena, rājakulamadhyagatena, cauramadhyagatena,	manasi-kartavyA, utpaTa-gatena, rAja-kula-maDya-gatena, cOra-maDya-gatena,
   agnimadhyagatena, udakamadhyagatena, pratyarthikamadhyagatena,	agni-maDya-gatena, udaka-maDya-gatena, pratyarTika-maDya-gatena,
   parṣanmadhyagatena, vivādamadhyagatena, ahidaṣṭena, viṣapītena,	parzad-maDya-gatena, vivAda-maDya-gatena, ahidazwena, viza-pItena,
   sarvabhayasannipātena ca (Mmvr Taku 10) manasikartavyā, jvaritena	sarva-Baya-sannipAtena ca (MmvH Taku 10) manasi-kartavyA, jvaritena
   manasikartavyā. vātikapaittikaśleṣmikasānnipātikeṣu caturuttareṣu caturṣu	manasi-kartavyA. vAtika-pEttika-Slezmi-kasAn-nipAtikezu catur-uttarezu caturzu
   vyādhiśateṣu, anyatarānyatareṇa vyādhinā spṛṣṭaḥ samānāpatsu vāsam	vyADi-Sata-izu, anyatara-anyatareNa vyADinA spRzwaH samAna-Apatsu vAsam
   utpannāsu manasikartavyā. tat kasya hetoḥ. vadhyārho 'py ānanda daṇḍena	utpannAsu manasi-kartavyA. tat kasya hetoH. vaDya-arhaH api Ananda daNxena
   mucyate daṇḍārhaḥ prahāreṇa, prahārārha ākrośena, ākrośārhaḥ, paribhāṣena,	mucyate daNxa-arhaH prahAreNa, prahAra-arhaH AkroSena, AkroSa-arhaH, pariBAzena,
   paribhāṣārho romaharṣaṇena, romaharṣaṇārha evam eva mucyate.	pariBAzA-arhaH roma-harzaNena, roma-harzaNa-arhaH evam eva mucyate.
   sarvavyādhivinirvṛttiś cāsya bhaviṣyati. imāni cānanda vidyamantrapadāni	sarva-vyADi-vinirvRttiH ca-asya Bavizyati. imAni ca-Ananda vidya-mantra-padAni
   manasikartavyāni. tadyathā.	manasikartavyAni. tat-yaTA.
   cili mili kili mili ketumūle buddhavarṇe vusaraṇe vusaraṇe, vudāraṇi	cili mili kili mili ketumUle budDa-varNe vusaraNe vusaraNe, vudAraNi
   vudāraṇi, kevaṭṭe kevaṭṭakamūle, iti savale, tuṃbe tuṃbe, priyaṃ kare	vudAraNi, kevawwe kevawwaka-mUle, iti sa-vale, tuMbe tuMbe, priyam kare
   āvartta parivartta navodakena varṣatu devaḥ samantena. namo bhagavate	Avartta parivartta nava-udakena varzatu devaH samantena. namaH Bagavate
   iṭṭittāya indragomisikāya āśane pāśane pāpanikūle, kapilamitte ili mitte,	iwwittAya indra-go-misikAyaH ASane pASane pApa-nikUle, kapilam-itte ili mitte,
   namo bhagavate buddhāye, sidhyantu mantrapadāḥ mama sarvasatvānāñ ca	namaH Bagavate budDAye, siDyantu mantra-padAH mama sarva-satvAnAn ca
   svāhā.	svAhA.
   anayā cānanda mahāmāyūryā vidyārājñyā tathāgatabhāṣitayā svāter bhikṣor	anayA ca-Ananda mahA-mAyUryA vidyA-rAjQyA taTAgata-BAzitayA svAteH BikzoH-
   mama sarvasatvānāṃ ca rakṣāṃ kuru, guptiṃ paritrāṇaṃ parigrahaṃ	mama sarva-satvAnAm ca rakzAm kuru, guptim paritrANam parigraham
   paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ	paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam
   viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca kuru. jīvatu varṣaśataṃ paśyatu	viza-nASanam sImAbanDam DaraNI-banDam ca kuru. jIvatu varza-Satam paSyatu
   śaradāśataṃ. nāham ānanda samanupaśyāmi sadevake loke samārake sabrahmake	SaradA-SataM. na-aham Ananda samanupaSyAmi sa-devake loke samArake sa-brahmake
   saśravaṇabrāhmaṇikāyāṃ prajāyāṃ sadevamānuṣyāsurāyāṃ yasyānayā mahāmāyūryā	sa-SravaNa-brAhmaNikAyAm prajAyAm sa-deva-mAnuzya-asurAyAm yasya-anayA mahA-mAyUryA
   vidyārājñyā rakṣayā kṛtayā guptyā paritrāṇena parigraheṇa paripalānena	vidyA-rAjQyA rakzayA kRtayA guptyA paritrANena parigraheNa paripalAnena
   śāntyā svastyayanena daṇḍaparihāreṇa śastraparihāreṇa viṣadūṣaṇena	SAntyA svastyayanena daNxa-parihAreNa Sastra-parihAreNa viza-dUzaNena
   viṣanāśanena sīmābandhena dharaṇībandhena ca kṛtena, kaścid eva	viza-nASanena sImA-banDena DaraNI-banDena ca kRtena, kaScid eva
   viheṭhāyopasaṃkrāmet. devo vā devā vā devaputro vā devaduhitā vā	viheWAya-upasaMkrAmet. devaH vA devAH vA deva-putraH vA deva-duhitA vA
   devamahallako vā devamahallikā vā devapārṣado (Mmvr Taku 11) vā	devam-ahallakaH vA devamahallikA vA deva-pArzadaH (MmvH Taku 11) vA
   devapārṣadī vā, nāgo vā nāgī vā nāgaputro vā nāgaduhitā vā nāgamahallako	deva-pArzadI vA, nAgaH vA nAgI vA nAga-putraH vA nAga-duhitA vA nAgamahallakaH-
   vā nāgamahallikā vā nāgapārṣado vā nāgapārṣadī vā, asuro vā asurī vā	vA nAgamahallikA vA nAga-pArzadaH vA nAga-pArzadI vA, asuraH vA asurI vA
   asuraputro vā asuraduhitā vā asuramahallako vā asuramahallikā vā	asura-putraH vE asura-duhitA vA asuramahallakaH vA asura-mahallikA vA
   asurapārṣado vā asurapārṣadī vā, maruto vā marutī vā marutaputro vā	asura-pArzadaH vE asura-pArzadI vA, marutaH vA marutI vA maruta-putraH vA
   marutaduhitā vā marutamahallako vā marutamahallikā vā marutapārṣado vā	maruta-duhitA vA marutam-ahallakaH vA maruta-mahallikA vA maruta-pArzadaH vA
   marutapārṣadī vā, garuḍo vā garuḍī vā garuḍaputro vā garuḍaduhitā vā	maruta-pArzadI vA, garuxaH vA garuxI vA garuxa-putraH vA garuxa-duhitA vA
   garuḍamahallako vā garuḍamahallikā vā garuḍapārṣado vā garuḍapārṣadī vā,	garuxamahallakaH vA garuxamahallikA vA garuxa-pArzadaH vA garuxa-pArzadI vA,
   gandharvo vā gandharvī vā gandharvaputro vā gandharvaduhitā vā	ganDarvaH vA ganDarvI vA ganDarva-putraH vA ganDarva-duhitA vA
   gandharvamahallako vā gandharvamahallikā vā gandharvapārṣado vā	ganDarvam-ahallakaH vA ganDarvamahallikA vA ganDarva-pArzadaH vA
   gandharvapārṣadī vā, kinnaro vā kinnarī vā kinnaraputro vā kinnaraduhitā	ganDarva-pArzadI vA, kinnaraH vA kinnarI vA kinnara-putraH vA kinnara-duhitA
   vā kinnaramahallako vā kinnaramahallikā vā kinnarapārṣado vā	vA kinnara-mahallakaH vA kinnara-mahallikA vA kinnara-pArzadaH vA
   kinnarapārṣadī vā, mahorago vā mahoragī vā mahoragaputro vā mahoragaduhitā	kinnara-pArzadI vA, mahA-uragaH vA mahA-uragI vA mahA-uraga-putraH vA mahA-uraga-duhitA
   vā mahoragamahallako vā mahoragamahallikā vā mahoragapārṣado vā	vA mahA-uraga-mahallakaH vA mahA-uraga-mahallikA vA mahA-uraga-pArzadaH vA
   mahoragapārṣadī vā, yakṣo vā yakṣī vā yakṣaputro vā yakṣaduhitā vā	mahA-uraga-pArzadI vA, yakzaH vA yakzI vA yakza-putraH vA yakza-duhitA vA
   yakṣamahallako vā yakṣamahallikā vā yakṣapārṣado vā yakṣapārṣadī vā,	yakzam-ahallakaH vA yakza-mahallikA vA yakza-pArzadaH vA yakza-pArzadI vA,
   rākṣaso vā rākṣasī vā rākṣasaputro vā rākṣasaduhitā vā rākṣasamahallako vā	rAkzasaH vA rAkzasI vA rAkzasa-putraH vA rAkzasa-duhitA vA rAkzasa-mahallakaH vA
   rākṣasamahallikā vā rākṣasapārṣado vā rākṣasapārṣadī vā, preto vā pretī vā	rAkzasa-mahallikA vA rAkzasa-pArzadaH vA rAkzasa-pArzadI vA, pretaH vA pretI vA
   pretaputro vā pretaduhitā vā pretamahallako vā pretamahallikā vā	preta-putraH vA preta-duhitA vA pretam-ahallakaH vA pretamahallikA vA
   pretapārṣado vā pretapārṣadī vā, piśāco vā piśācī vā piśācaputro vā	preta-pArzadaH vA preta-pArzadI vA, piSAcaH vA piSAcI vA piSAca-putraH vA
   piśācaduhitā vā piśācamahallako vā piśācamahallikā vā piśācapārṣado vā	piSAca-duhitA vA piSAcam-ahallakaH vA piSAca-mahallikA vA piSAca-pArzadaH vA
   piśācapārṣadī vā, bhūto vā bhūtī vā bhūtaputro vā bhūtaduhitā vā	piSAca-pArzadI vA, BUtaH vA BUtI vA BUtaputraH vA BUta-duhitA vA
   bhūtamahallako vā bhūtamahallikā vā bhūtapārṣado vā bhūtapārṣadī vā,	BUtam-ahallakaH vA BUtamahallikA vA BUta-pArzadaH vA BUta-pArzadI vA,
   kumbhāṇḍo vā kumbhāṇḍī vā kumbhāṇḍaputro vā kumbhāṇḍaduhitā vā	kumBANxaH vA kumBANxI vA kumBANxa-putraH vA kumBANxa-duhitA vA
   kumbhāṇḍamahallako vā kumbhāṇḍamahallikā vā kumbhāṇḍapārṣado vā	kumBANxam-ahallakaH vA kumBANxamahallikA vA kumBANxa-pArzadaH vA
   kumbhāṇḍapārṣadī vā, pūtano vā pūtanī vā pūtanaputro vā pūtanaduhitā vā	kumBANxa-pArzadI vA, pUtanaH vA pUtanI vA pUtana-putraH vA pUtana-duhitA vA
   pūtanamahallako vā pūtanamahallikā vā pūtanapārṣado vā pūtanapārṣadī vā,	pUtanam-ahallakaH vA pUtana-mahallikA vA pUtana-pArzadaH vA pUtana-pArzadI vA,
   kaṭapūtano vā kaṭapūtanī vā kaṭapūtanaputro vā kaṭapūtanaduhitā vā	kawa-pUtanaH vA kawa-pUtanI vA kawa-pUtana-putraH vA kawa-pUtana-duhitA vA
   kaṭapūtanamahallako vā kaṭapūtanamahallikā vā kaṭapūtanapārṣado vā	kawa-pUtanam-ahallakaH vA kawa-pUtana-mahallikA vA kawa-pUtana-pArzadaH vA
   kaṭapūtanapārṣadī vā, skando vā skandī vā skandaputro vā skandaduhitā vā	kawa-pUtana-pArzadI vA, skandaH vA skandI vA skanda-putraH vA skanda-duhitA vA
   skandamahallako vā skandamahallikā vā skandapārṣado vā skandapārṣadī vā,	skandamahallakaH vA skanda-mahallikA vA skanda-pArzadaH vA skanda-pArzadI vA,
   unmādo vā unmadī vā unmādaputro vā unmādaduhitā vā unmādamahallako vā	unmAdaH vA unmadI vA unmAda-putraH vE unmAda-duhitA vA unmAdam-ahallakaH vA
   unmādamahallikā vā unmādapārṣado vā unmādapārṣadī vā, cchāyo vā cchāyī vā	unmAda-m-ahallikA vA unmAda-pArzadaH vA unmAda-pArzadI vA, cCAyaH vA cCAyI vA
   cchāyaputro vā cchāyaduhitā vā cchāyamahallako (Mmvr Taku 12) vā	cCAya-putraH vA cCAya-duhitA vA cCAyam-ahallakaH (MmvH Taku 12) vA
   cchāyamahallikā vā cchāyapārṣado vā cchāyapārṣadī vā, apasmāro vā apasmārī	cCAyam-ahallikA vA cCAya-pArzadaH vA cCAya-pArzadI vA, apasmAraH vA apasmArI
   vā apasmāraputro vā apasmāraduhitā vā apasmāramahallako vā	vE apasmAra-putraH vE apasmAra-duhitA vA apasmAram-ahallakaH vA
   apasmāramahallikā vā apasmārapārṣado vā apasmārapārṣadī vā, ostārako vā	apasmAramahallikA vA apasmAra-pArzadaH vE apasmAra-pArzadI vA, oH-tArakaH vA
   ostārakī vā ostārakaputro vā ostārakaduhitā vā ostārakamahallako vā	oH-tArakI vA oH-tAraka-putraH vE oH-tAraka-duhitA vA oH-tArakam-ahallakaH vA
   ostārakamahallikā vā ostārakapārṣado vā ostārakapārṣadī vā,	oH-tAraka-mahallikA vA oH-tAraka-pArzadaH vE oH-tAraka-pArzadI vA,
   upasaṃkramiṣyaty upasthāsyaty avatārārthī avatāragaveṣī avatāraṃ na	upasaMkramizyati upasTAsyati avatAra-arTI avatAra-gavezI avatAram na
   lapsyate. na devo devasamitīye sthānaṃ, na nāgo nāgasamitīye sthānaṃ,	lapsyate. na devaH deva-samitIye sTAnaM, na nAgaH nAga-samitIye sTAnaM,
   nāsuro 'surasamitīye sthānaṃ, na maruto marutasamitīye sthānaṃ, na garuḍo	na-asuraH asura-samitIye sTAnaM, na marutaH maruta-samitIye sTAnaM, na garuxaH-
   garuḍasamitīye sthānaṃ, na gandharvo gandharvasamitīye sthānaṃ, na	garuxa-samitIye sTAnaM, na ganDarvaH ganDarva-samitIye sTAnaM, na
   kinnaraḥ kinnarasamitīye sthānaṃ, na mahorago mahoragasamitīye sthānaṃ, na	kinnaraH kinnara-samitIye sTAnaM, na mahA-uragaH mahA-uraga-samitIye sTAnaM, na
   yakṣo yakṣasamitīye sthānaṃ, na rākṣaso rākṣasasamitīye sthānaṃ, na pretaḥ	yakzaH yakza-samitIye sTAnaM, na rAkzasaH rAkzasa-samitIye sTAnaM, na pretaH
   pretasamitīye sthānaṃ, na piśācaḥ piśācasamitīye sthānaṃ, na bhūto	preta-samitIye sTAnaM, na piSAcaH piSAca-samitIye sTAnaM, na BUtaH-
   bhūtasamitīye sthānaṃ, na kumbhāṇḍo kumbhāṇḍasamitīye sthānaṃ, na pūtanaḥ	BUta-samitIye sTAnaM, na kumBANxaH kumBANxa-samitIye sTAnaM, na pUtanaH
   pūtanasamitīye sthānaṃ, na kaṭapūtanaḥ kaṭapūtanasamitīye sthānaṃ, na	pUtana-samitIye sTAnaM, na kawa-pUtanaH kawa-pUtana-samitIye sTAnaM, na
   skandaḥ skandasamitīye sthānaṃ, na unmāda unmādasamitīye sthānaṃ,	skandaH skanda-samitIye sTAnaM, naH unmAdaH unmAda-samitIye sTAnaM,
   nāpasmāro 'pasmārasamitīye sthānaṃ, n'ostāraka ostārakasamitīye sthānaṃ	na-apasmAraH apasmAra-samitIye sTAnaM, n-aostArakaH oH-tAraka-samitIye sTAnam
   lapsyate. yaś caimaṃ mahāvidyāṃ kaścid atikramiṣyati saptadhāsya sphuṭen	lapsyate. yaH ca-Emam mahAvidyAm kaScid atikramizyati saptaDA-asya sPuwen
   mūrdhā arjukasyeva maṃjarī. imāni cātra mantrapadāni manasikartavyāni.	mUrDA arjukasya-iva maMjarI. imAni ca-atra mantra-padAni manasikartavyAni.
   tadyathā	tat-yaTA
   ili mili, kili mili, kili kiṃ dugdhe, mukte sumukte, ūḍa nāḍa sunāḍa,	ili mili, kili mili, kili kim dugDe, mukte su-mukte, Uxa nAxa sunAxa,
   varṣatu devaḥ paramaḍakavatyāyāṃ, ārā pārā godohikā, ili mili bhijjilikā	varzatu devaH para-maxakavatI-AyAn, ArA pArA godohikA, ili mili BijjilikA
   udukā ḍadukā karoḍukā ili mili tili mili, samantataḥ kṛtvā, hulu hulu hili	udukA xadukA karoxukA ili mili tili mili, samantataH kRtvA, hulu hulu hili
   hili, mili mili mili mili, pili pili pili pili, kili kili, śīrṣeṇa varṣaṃ,	hili, mili mili mili mili, pili pili pili pili, kili kili, SIrzeNa varzaM,
   culu culu, cala cala, cili cili, ciḍi ciḍi ciḍi ciḍi, śikhi śikhi śikhi	culu culu, cala cala, cili cili, cixi cixi cixi cixi, SiKi SiKi SiKi
   śikhi, juhu juhu juhu juhu juhu juhu juhu juhu juhu juhu, hara hara	SiKi, juhu juhu juhu juhu juhu juhu juhu juhu juhu juhu, hara hara
   haraṇe, jaṃbhe prajaṃbhe, sarvaduṣṭapraduṣṭānāṃ ca jaṃbhe prajaṃbhe,	haraNe, jaMBe prajaMBe, sarva-duzwa-praduzwAnAm ca jaMBe prajaMBe,
   svāter (Mmvr Taku 13) bhikṣor mama sarvasatvānāṃ ca rakṣāṃ karomi, guptiṃ	svAteH (MmvH Taku 13) BikzoH mama sarva-satvAnAm ca rakzAm karomi, guptim
   paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ	paritrANam parigraham paripAlanam SAntim svastyayanam daNxa-parihAram
   śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca	Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca
   karomi. jīvatu varṣaśataṃ paśyatu śaradāśataṃ. tadyathā.	karomi. jIvatu varza-Satam paSyatu SaradA-SataM. tat-yaTA.
   citramūle citre citramāle, hale halamāle, phale phalamāle, hale hale, māle	citra-mUle citre citra-mAle, hale halamAle, Pale Pala-mAle, hale hale, mAle
   māle, khulu khulu vuru varuṇo, dhīre dharya, suru suru, hataṃ viṣaṃ,	mAle, Kulu Kulu vuru varuNo, DIre Darya, suru suru, hatam vizaM,
   nihataṃ viṣaṃ, sarvaduṣṭapraduṣṭānāṃ draṃṣṭrāviṣaṃ mūlaviṣaṃ annaviṣaṃ	nihatam vizaM, sarva-duzwa-praduzwAnAm draMzwrA-vizam mUla-vizam anna-vizam
   sarvabuddhānāṃ tejasā, suru suru ke, cara cara ke, biri biri, hataṃ viṣaṃ,	sarva-budDAnAm tejasA, suru suru ke, cara cara ke, biri biri, hatam vizaM,
   nāsti viṣaṃ, saptānāṃ samyaksaṃbuddhānāṃ, saśrāvakasaṃghānāṃ tejasā, ela	na-asti vizaM, saptAnAm samyaksaMbudDAnAM, sa-SrAvaka-saMGAnAm tejasA, ela
   melā, ili melā, tili melā, tiha duha tilimā timā dumā, vimadhu sukumbhā	melA, ili melA, tili melA, tiha duha tilimA timA dumA, vimaDu sukumBA
   sumbhā tumbā samatumbā, āḍe nāḍe, tila kuñjanāḍe, varṣatu devaḥ, tilikisi	sumBA tumbA sama-tumbA, Axe nAxe, tila kuQja-nAxe, varzatu devaH, tilikisi
   samantena navamāsāṃ, maitrī me sarvasatveṣu vuśaḍe śavariṇi vudāriṇi	samantena nava-mAsAM, mEtrI me sarva-satvezu vuSaxe SavariNi vudAriNi
   vudāriṇi, kevaṭṭe kevaṭṭakamūle itiśabare, tuṃbe tuṃbe priyaṃ kare, āvaṭṭa	vudAriNi, kevawwe kevawwaka-mUle iti-Sabare, tuMbe tuMbe priyam kare, Avawwa
   parivaṭṭa, navodakena varṣatu devaḥ samantena, namo bhagavate	parivawwa, nava-udakena varzatu devaH samantena, namaH Bagavate
   indragomisikāya iṭṭitāya godohikāya bhṛṅgārikāya, ale tale kuntale, aṭṭe	indragomisikAyaH iwwitAya godohikAya BRFgAri-kAya, ale tale kuntale, awwe
   naṭṭe kunaṭṭe āśane pāśane, pāpanikūle pratikūle, namo bhagavatāṃ	nawwe kunawwe ASane pASane, pApa-nikUle pratikUle, namaH BagavatAm
   buddhānāṃ. sidhyantu mantrapadāḥ svāhā.	budDAnAM. siDyantu mantra-padAH svAhA.
   aśokam āśritya jino vipaśyī	aSokam ASritya jinaH vipaSyI
   śikhī jinaḥ puṇḍarīkasya mūle,	SiKI jinaH puNxarIkasya mUle,
   śālasya mūle upagamya viśvabhūt	SAlasya mUle upagamya viSvaBUt
   śirīṣamūle krakucchandabrāhmaṇaḥ.	SirIza-mUle krakucCanda-brAhmaNaH.
   buddhaś ca kanakamuni uduṃbare	budDaH ca kanakamuni uduMbare
   nyagrodhamūle upagamya kāśyapaḥ,	nyagroDa-mUle upagamya kASyapaH,
   aśvatthamūle muni śākyapuṅgavaḥ	aSvatTa-mUle muni SAkya-puFgavaH
   upetya bodhiṃ samavāpya gotamaḥ.	upetya boDim samavApya gotamaH.
   eteṣu buddheṣu maharddhikeṣu	etezu budDezu mahardDikezu
   (Mmvr Taku 14)	(MmvH Taku 14)
   yā devatāḥ santi atiprasannāḥ,	yAH devatAH santi ati-prasannAH,
   tā devatā muditamanā udagrāḥ	tAH devatAH mudita-manAH udagrAH
   kurvantu śāntiṃ ca śivaṃ ca nityaṃ.	kurvantu SAntim ca Sivam ca nityaM.
   tadyathā.	tat-yaTA.
   ili mili, kili mili, cili kili voli, udumbare, sudumoḍe, busara busara, hu	ili mili, kili mili, cili kili voli, udumbare, su-dumoxe, busara busara, hu
   hu, karañje karañjamūle, iti sanatā kuntari kuntāri, nārāyaṇi pārāyaṇi,	hu, karaQje karaQja-mUle, iti sanatA kuntari kuntAri, nArAyaNi pArAyaNi,
   paśyani paśya paśyani kapilavastuni, iḍivā iḍivā irivā sidhyantu, draviḍā	paSyani paSya paSyani kapila-vastu-ni, ixivAH ixivAH irivA siDyantu, dravixA
   mantrapadāḥ svāhā.	mantra-padAH svAhA.
   imāḥ punar ānanda mahauṣadhayo brahmaṇā sahāpatinā bhāṣitāḥ, śakreṇa	imAH punar Ananda mahOzaDayaH brahmaNA sahApatinA BAzitAH, SakreNa
   devānām indreṇa caturbhiś ca mahārājair aṣṭāviṃśatibhiś ca	devAnAm indreNa caturBiH ca mahA-rAjEH azwAviMSatiBiH ca
   mahāyakṣasenāpatibhiś ca. yo hy ānanda āsāṃ mahauṣadhīnāṃ nāmasu	mahA-yakza-senApatiBiH ca. yaH hi AnandaH AsAm mahOzaDInAm nAmasu
