   Mahāpratisarā vidyārājñī	MahA-pratisarA vidyA-rAjQI
   varjayed bālarūpāṇi yatra cittaṃ praduṣyati /	varjayet bAla-rUpANi yatra cittam praduzyati /
   devarūpāś ca kartavyā nānālaṃkārabhūṣitā //	deva-rUpAH ca kartavyA nAnA-alaMkAra-BUzitA //
   bhikṣuṃ vajradharaṃ kuryād duṣṭatarjanaṃ tat param /	Bikzum vajraDaram kuryAt duzwa-tarjanam tat param /
   caturaś ca mahārājāṃś catuḥ pārśveṣu saṃlikhet //	caturaH ca mahA-rAjAn catuH pArSvezu saMliKet //
   brāhmaṇeṣv īśvaro lekhyaḥ kṣatriyeṣu maheśvaraḥ /	brAhmaNezu ISvaraH leKyaH kzatriyezu maheSvaraH /
   śūdreṣu ca sadā saumyaṃ cakrasvāminam ālikhet //	SUdrezu ca sadA sOmyam cakrasvAminam AliKet //
   vaiśyeṣu ca vaiśramaṇam indraś caiva sureśvaraḥ /	vESyezu ca vESramaNam indraH ca-eva sureSvaraH /
   dārakebhyaḥ sadā lekhyaḥ prajāpatir mahāmatiḥ //	dArakeByaH sadA leKyaH prajApatiH mahAmatiH //
   syāmavarṇā bhaved yātu raudraṃ tasyā samālikhet /	syAma-varNA Bavet yAtu rOdram tasyAH samAliKet /
   gaurāyā rūpasaṃpanno likhen nityaṃ yaśasvinaḥ //	gOrAyAH rUpa-saMpannaH liKet nityam yaSasvinaH //
   sthūlāyā māṇibhadraś ca likhitavyaṃ prayatnataḥ /	sTUlAyAH mANiBadraH ca liKitavyam prayatnataH /
   kṛṣāyāḥ pūrṇabhadras tu mayā hy uktaṃ svayaṃbhuvā //	kRzAyAH pUrNaBadraH tu mayA hi uktam svayaMBuvA //
   gulviṇyāś ca mahākālo likhec ca brahmadevatān /	gulviNyAH ca mahAkAlaH liKet ca brahma-devatAn /
   anyāś cāpi yathāpūrvaṃ vibhinoktaṃ samālikhet //	anyAH ca-api yaTApUrvam viBinA-uktam samAliKet //
   likhitvaiva prayatnena vidhidṛṣṭena karmaṇā /	liKitvA-eva prayatnena viDi-dRzwena karmaNA /
   dhārayet satataṃ kaṇṭhe bhadraṃ tasya bhaviṣyati //	DArayet satatam kaNWe Badram tasya Bavizyati //
   dvārāgre cintāmaṇiṃ kuryād dhvajāgre padmasaṃsthitam /	dvAra-agre cintAmaNim kuryAt Dvaja-agre padma-saMsTitam /
   padmasya keśare pāśaṃ cakraṃ cāpi tathāparam //	padmasya keSare pASam cakram ca-api taTA-aparam //
   vajraṃ padme tathā likhyaṃ mudgalaṃ padmasaṃsthitam /	vajram padme taTA liKyam mudgalam padma-saMsTitam /
   (Mp_26)	(Mp_26)
   śaktiṃ likhet tathā padme yathāvidhiṣu dṛṣyate //	Saktim liKet taTA padme yaTAviDizu dRzyate //
   dvārāgramaṇayaḥ sarve visphuliṅgāḥ samākulāḥ /	dvAra-agra-maNayaH sarve visPuliFgAH samAkulAH /
   paṭṭabaddhāś ca kartavyā yathāvidhiṣu kīrtitāḥ //	pawwa-badDAH ca kartavyAH yaTAviDizu kIrtitAH //
   nāgāś ca phalinaḥ kāryāmaṇidvārā navaśīrṣakāḥ /	nAgAH ca PalinaH kAryA-maNi-dvArAH nava-SIrzakAH /
   te 'pi sarve prayatnena hṛdi vajraprasthitāḥ //	te api sarve prayatnena hRdi vajra-prasTitAH //
   pārthivānāṃ balaṃ nityaṃ sārthavāhaṃ likhed budhaḥ /	pArTivAnAm balam nityam sArTavAham liKet buDaH /
   vidyādharāṇāṃ sarveṣāṃ divyādevīṃ samālikhet //	vidyADarANAm sarvezAm divyAdevIm samAliKet //
   candrasūryau hi nakṣatrau rāhuketugrahāṣṭakam /	candra-sUryO hi nakzatrO rAhu-ketu-graha-azwakam /
   likhec ca khaṇḍāṃ pāṇḍānāṃ putralābho bhaviṣyati //	liKet ca KaNxAm pANxAnAm putra-lABaH Bavizyati //
   niścayād vidhinā likhya śāstradṛṣṭena karmaṇā /	niScayAt viDinA liKya SAstra-dRzwena karmaNA /
   tasmāt sarvaprayatnena dhārayet matimān naraḥ //	tasmAt sarva-prayatnena DArayet matimAn naraH //
   sarvasiddhikaraṃ hy etad maṅgalyaṃ pāpanāśanam /	sarva-sidDi-karam hi etat maFgalyam pApa-nASanam /
   prāpnoti paramaṃ sthānaṃ svayaṃbhū vacanaṃ yathā //	prApnoti paramam sTAnam svayaMBU vacanam yaTA //
   loke 'smin paramaṃ saukhyaṃ paraloke paraṃ sukham /	loke asmin paramam sOKyam para-loke param suKam /
   trayastriṃśadbhavanādau sthānaṃ tasya surālaye //	trayastriMSat-Bavana-AdO sTAnam tasya surAlaye //
   jambudvīpe śubhe ramye vidyāsaukhyaṃ ca nityaśaḥ /	jambudvIpe SuBe ramye vidyA-sOKyam ca nityaSas /
   sarvabuddhair na śakyaṃ hi puṇyaskandhaprakīrtitām //	sarva-budDEH na Sakyam hi puNya-skanDa-prakIrtitAm //
   yat puṇyaṃ samavāpnoti pratisarādhārako naraḥ /	yat puNyam samavApnoti pratisara-ADArakaH naraH /
   narakadvārā pithitāḥ svargadvārā apāvṛtāḥ //	naraka-dvArA piTitAH svarga-dvArAH apAvRtAH //
   sukhaṃ saṃpattisaṃpanno bhaviṣyati mahāmatiḥ /	suKam saMpatti-saMpannaH Bavizyati mahAmatiH /
   buddhāś ca bodhisatvāś ca āśvāsayanti nityaśaḥ //	budDAH ca boDisatvAH ca ASvAsayanti nityaSas //
   kāyena sukhasaṃpanno balena mahatā bhavet /	kAyena suKa-saMpannaH balena mahatA Bavet /
   yathā tathaiva jitendroktaṃ cakravartī bhaviṣyati //	yaTA taTA-eva jita-indra-uktam cakravartI Bavizyati //
   āśvāsanaṃ nṛdevānāṃ trāsanaṃ duṣṭacetasām /	ASvAsanam nR-devAnAm trAsanam duzwa-cetasAm /
   bhaviṣyati cireṇāsau yasya vidyā subhāṣitā //	Bavizyati cireNa-asO yasya vidyA su-BAzitAH //
   nāsau hanyati śastreṇa na viṣeṇa nāgninā /	na-asO hanyati SastreNa na vizeNa na-agninA /
   nākālamaraṇaṃ cāsya dūre gacchanti pāpakāḥ //	na-akAla-maraNam ca-asya dUre gacCanti pApakAH //
   darśanāt sparśanāc caiva śravaṇād eva sarvataḥ /	darSanAt sparSanAt ca-eva SravaNAt eva sarvatas /
   bhūtagrahavivādāś ca udakāgnibhayaṃ tathā //	BUta-graha-vivAdAH ca udaka-agni-Bayam taTA //
   mṛgāvyāḍāhayānāgāvyādhayaś ca sudāruṇāḥ /	mRgAvyAxa-ahayAnAga-avyADayaH ca su-dAruNAH /
   (Mp_27)	(Mp_27)
   te sarve na bhaviṣyanti yeṣāṃ vidyā subhāṣitā //	te sarve na Bavizyanti yezAm vidyA su-BAzitAH //
   sarvathā sarvamārais tu śṛṇu vakṣāmi tatvataḥ /	sarvaTA sarva-mArEH tu SRNu vakzAmi tatvataH /
   pūjanīyā bhaviṣyanti sarvasatvottamā hiteti //	pUjanIyAH Bavizyanti sarva-satva-uttamA hita-iti //
   āryamahāvidyārājño mahāpratisarāyāḥ prathamakalpaḥ samāptaḥ //	Arya-mahAvidyA-rAjQaH mahA-pratisarAyAH praTama-kalpaH samAptaH //
   athāto vidyāvarasya rakṣāvidhānakalpaṃ vyākhyāsyāmi sarvasatvānukampakayā	aTa-atas vidyA-varasya rakzA-viDAna-kalpam vyAKyAsyAmi sarva-satva-anukampakayA
   janarakṣāvidhānena mahāsiddhir bhaviṣyati /	jana-rakzA-viDAnena mahA-sidDiH Bavizyati /
   yatra yatra kṛtā rakṣā bhavaty abaddho na saṃśayaḥ //	yatra yatra kRtA rakzA Bavati abadDaH na saMSayaH //
   nirbhayaṃ nirjvalaṃ caiva sarvagrahanivāraṇam /	nirBayam nirjvalam ca-eva sarva-graha-nivAraNam /
   sunakṣatrānukūlaṃ ca karmasaṅkalacchedanam //	su-nakzatra-anukUlam ca karma-saFkala=-Cedanam //
   durbhuktaṃ dullaṅghitaṃ caiva sarvaśatrugaṇaiḥ kṛtam /	durBuktam dullaFGitam ca-eva sarva-Satru-gaNEH kRtam /
   duṣprekṣitaṃ dullikhitaṃ kākhordā ye ca dāruṇāḥ //	duzprekzitam dulliKitam kAKa-UH-dAH ye ca dAruNAH //
   cūrṇamantrakṛtaṃ caiva viṣabhuktaṃ tathā garam /	cUrNa-mantra-kRtam ca-eva viza-Buktam taTA garam /
   sarve tasya praśāmyanti rakṣāṃ dhāvayate tu yaḥ //	sarve tasya praSAmyanti rakzAm DAvayate tu yaH //
   pratyaṅgirā vipacyante yo vidyāṃ samatikramet /	pratyaFgirAH vipacyante yaH vidyAm samatikramet /
   paracakradāruṇā ye 'pi pratyamitrā mahābhayāḥ //	para-cakra-dAruNAH ye api pratyamitrAH mahA-BayAH //
   sarve te pralapaṃ yānti pratisarā sāpatarjitāḥ /	sarve te pralapam yAnti pratisarA sa-apatarjitAH /
   buddhā rakṣanti sarvajñā bodhisatvāś ca pūratāḥ //	budDAH rakzanti sarva-jQAH boDisatvAH ca pUra-tAH //
   rakṣanti pratyekabuddhāḥ śrāvakāś ca mahābhayāḥ /	rakzanti pratyekabudDAH SrAvakAH ca mahA-BayAH /
   anye ca bahuvidhā bhūyo devā nāgā mahārddhikāḥ //	anye ca bahuviDAH BUyas devAH nAgAH mahArdDikAH //
   rakṣāṃ kurvanti tasyeme cāsmin yuktasya nityaśaḥ /	rakzAm kurvanti tasya-ime ca-asmin yuktasya nityaSas /
   asyāḥ śravaṇamātreṇa vidyārājñā narottamāḥ //	asyAH SravaNa-mAtreNa vidyA-rAjQA nara-uttamAH //
   nirbhayo bhavati sarvatra ity evaṃ munir abravīt /	nirBayaH Bavati sarvatra iti evam muniH abravIt /
   duḥsvapnā duṣkṛtā ye ca upasargā ye ca dāruṇā //	duHsvapnAH duzkRtAH ye ca upasargAH ye ca dAruNAH //
   vyādhispṛṣṭā mahārogā ye grastā rājajanmanā /	vyADi-spRzwAH mahA-rogAH ye grastA rAja-janmanA /
   anye ca bahuvidhā rogā gaṇḍalūtāvicarcikāḥ //	anye ca bahuviDAH rogAH gaNxa-lUtA-vicarcikAH //
   itayo dāruṇā ye ca grasante mānuṣīṃ prajām /	itayaH dAruNAH ye ca grasante mAnuzIm prajAm /
   (Mp_28)	(Mp_28)
   manuṣyāṇāṃ vināśārthaṃ hiṃsakāś ca sudāruṇāḥ //	manuzyANAm vinASa-arTam hiMsakAH ca su-dAruNAH //
   sarve te pralapaṃ yānti rakṣā yatra mahābalāḥ /	sarve te pralapam yAnti rakzA yatra mahA-balAH /
   anayā kṛtarakṣas tu vadhyaprāpto mucyate //	anayA kRtarakzaH tu vaDya-prAptaH mucyate //
   yadi grastakālapāśena nītaś cāpi yamālayam /	yadi grasta-kAla-pASena nItaH ca-api yama-Alayam /
   āyus tasya vivardheta pratisarālikhanād api //	AyuH tasya vivarDeta pratisara-AliKanAt api //
   parikṣīṇāyuṣo yas tu saptāhamṛta eva ca /	parikzINa-AyuzaH yaH tu sapta-aham-RtaH eva ca /
   yāval likhitamātreṇa sa jīvati na saṃśayaḥ //	yAvat liKita-mAtreNa sa jIvati na saMSayaH //
   atha śravaṇamātreṇa kṛtarakṣā vidhānataḥ /	aTa SravaNa-mAtreNa kRta-rakzA viDAnataH /
   svasti prāpnoti sarvatra sukhaṃ jīvati cepsayā //	svasti prApnoti sarvatra suKam jIvati ca-IpsayA //
   aṣṭaṣaṣṭhisahasrāṇi koṭīniyutaśatāni ca /	azwa-zazWi-sahasrANi kowI-niyuta-SatAni ca /
   trāyastriṃśāś ca ye devā sarve śakrapurogamāḥ //	trAyastriMSAH ca ye devAH sarve Sakra-purogamAH //
   rakṣārthaṃ tasya satvasya pṛṣṭhataḥ samupasthitaḥ /	rakzA-arTam tasya satvasya pRzWatas samupasTitaH /
   catvāro lokapālāś ca vajrapāṇir mahābalaḥ //	catvAraH lokapAlAH ca vajrapANiH mahA-balaH //
   vidyā kulaśataiḥ sārdhaṃ rakṣāṃ kurvanti nityaśaḥ /	vidyA kula-SatEH sArDam rakzAm kurvanti nityaSas /
   somaḥ sumatāḥ sūryaś ca brahmā viṣṇur maheśvarāḥ //	somaH sumatAH sUryaH ca brahmA vizNuH maheSvarAH //
   yamaś ca māṇibhadraś ca baladevo mahābalaḥ /	yamaH ca mANiBadraH ca baladevaH mahA-balaH /
   pūrṇabhadro mahāvīro hārītī ca saputrikā //	pUrNaBadraH mahAvIraH hArItI ca sa-putrikA //
   pāñcālaḥ pāñcikaś caiva kārtikeyo gaṇeśvaraḥ /	pAQcAlaH pAQcikaH ca-eva kArtikeyaH gaNeSvaraH /
   śrīr api ca mahādevī vaiśramaṇaḥ sarasvatī //	SrIH api ca mahAdevI vESramaNaH sarasvatI //
   śaṅkhinī kūṭadantī ca tathaikajaṭāpi ca /	SaFKinI kUwadantI ca taTA-eka-jawA-api ca /
   dhanyā etā mahābhāgā rakṣāṃ kurvanti nityaśaḥ //	DanyAH etAH mahABAgAH rakzAm kurvanti nityaSas //
   ṣaṇḍhānāṃ putrajananī garbhasthānavivardhanī /	zaNXAnAm putra-jananI garBa-sTAna-vivarDanI /
   rakṣeyaṃ mahatī cāsya yāvad jīvaṃ bhaviṣyati //	rakzeyam mahatI ca-asya yAvat jIvam Bavizyati //
   narāṇāṃ jayadā nityaṃ yuddhe saṃgrāmabhairave /	narANAm jaya-dA nityam yudDe saMgrAma-BErave /
   anayā varadā bhonti devatā dharmaniścitā //	anayA vara-dAH Bonti devatA Darma-niScitAH //
   atha pāpavināśe tu likhanād eva setsyati /	aTa pApa-vinASe tu liKanAt eva setsyati /
   tathāgatā vilokyanti bodhisatvās tathaiva ca //	taTAgatAH vilokyanti boDisatvAH taTA-eva ca //
   yaśaś ca vardhate tasya puṇyam āyuś ca vardhate /	yaSaH ca varDate tasya puNyam AyuH ca varDate /
   dhanadhānyaṃ samṛddhiś ca bhaviṣyati na saṃśayaḥ //	Dana-DAnyam samRdDiH ca Bavizyati na saMSayaH //
   sukhaṃ svapiti medhāvī sukhaṃ ca pratibudhyate /	suKam svapiti meDAvI suKam ca pratibuDyate /
   (Mp_29)	(Mp_29)
   adhṛṣyaḥ sarvaśatrūṇāṃ sarvabhūtagaṇair api //	aDRzyaH sarva-SatrUNAm sarva-BUta-gaNEH api //
   saṃgrāme vartamānasya jayo bhavati nityaśaḥ /	saMgrAme vartamAnasya jayaH Bavati nityaSas /
   vidyāyāṃ sādhyamānāyām iyaṃ rakṣā anuttarā //	vidyAyAm sADyamAnAyAm iyam rakzA anuttarAH //
   sukhaṃ sādhayate vidyāṃ vighno 'sya na bhaviṣyati /	suKam sADayate vidyAm viGnaH asya na Bavizyati /
   sidhyanti sarvakalpāś ca praviṣṭaḥ sarvamaṇḍale //	siDyanti sarva-kalpAH ca pravizwaH sarva-maNxale //
   kṣipraṃ ca samayajño 'sau bhavet sarvatra jātiṣu /	kzipram ca samaya-jQaH asO Bavet sarvatra jAtizu /
   vaisvāsikaś ca sa bhavej jinānāṃ guṇadhāraṇaiḥ //	vEsvAsikaH ca sa Bavet jinAnAm guNa-DAraNEH //
   sarvamaṅgalasaṃpannaḥ sarvasiddhir manorathaḥ /	sarva-maFgala-saMpannaH sarva-sidDiH manoraTaH /
   asyāṃ likhitamātrāyāṃ sarvasaukhyaṃ samṛdhyati //	asyAm liKita-mAtrAyAm sarva-sOKyam samRDyati //
   sukhaṃ kālakriyāṃ kṛtvā bhavet svargaparāyaṇaḥ /	suKam kAla-kriyAm kRtvA Bavet svarga-parAyaNaH /
   vivāde kalahe caiva vigrahe paramadāruṇe //	vivAde kalahe ca-eva vigrahe parama-dAruNe //
   sarvabhayavinirmukto jinoktavacanaṃ yathā /	sarva-Baya-vinirmuktaH jina-ukta-vacanam yaTA /
   nityaṃ jātismarā bhonti jātau na saṃśayaḥ //	nityam jAti-smarAH Bonti jAtO na saMSayaH //
   rājāno vaśagās tasya cāntaḥpuramahājanāḥ /	rAjAnaH vaSa-gAH tasya ca-antaHpura-mahA-janAH /
   sāmātyaś ca bhaven nityaṃ sādhubhir lokasamataiḥ //	sa-amAtyaH ca Bavet nityam sADuBiH loka-samatEH //
   sarveṣāṃ ca priyo bhonti ye devā ye ca mānuṣāḥ /	sarvezAm ca priyaH Bonti ye devAH ye ca mAnuzAH /
   rakṣāṃ tasya kariṣyanti divā rātrau ca nityaśaḥ //	rakzAm tasya karizyanti divA rAtrO ca nityaSas //
   atra mantrapadāḥ siddhāḥ samyaksaṃbuddhabhāṣitāḥ /	atra mantra-padAH sidDAH samyaksaMbudDa-BAzitAH /
   namo buddhāya / namo dharmāya / namaḥ saṃghāya //	namaH budDAya / namaH DarmAya / namaH saMGAya //
   namo bhagavate śākyamunaye mahākāruṇikāya tathāgatāyārhate	namaH Bagavate SAkya-munaye mahA-kAruNikAya taTAgatAya-arhate
   samyaksaṃbuddhāya /	samyaksaMbudDAya /
   namaḥ samantebhyaḥ samyaksaṃbuddhebhyaḥ //	namaH samanteByaH samyaksaMbudDeByaH //
   bhāvanaitāṃ namaskṛtya buddhaśāsanavṛddhaye /	BAvanA-etAm namaskRtya budDa-SAsana-vRdDaye /
   aham idānīṃ pravakṣāmi satvānukaṃpayā //	aham idAnIm pravakzAmi satva-anukaMpayAH //
   imāṃ vidyāṃ mahātejāṃ mahābalaparākramām /	imAm vidyAm mahA-tejAm mahA-bala-parAkramAm /
   yasyāṃ bhāṣitamātrāyāṃ muninā vajrapāśane //	yasyAm BAzita-mAtrAyAm muninA vajrapASane //
   mārāś ca mārakāyāś ca grahāḥ sarve vināyakāḥ /	mArAH ca mArakAyAH ca grahAH sarve vinAyakAH /
   vighnāś ca santi ye kecit tatkṣaṇād vilapaṃ gatāḥ //	viGnAH ca santi ye kecid tad-kzaNAt vilapam gatAH //
   tadyathā / oṃ giri 2 giriṇi 2 girivati guṇavati ākāśavati / ākāśaviśuddhe	tat-yaTA / om giri 2 giriNi 2 girivati guNavati AkASavati / AkASa-viSudDe
   / ākāśe / gagaṇatale / ākāśavicāriṇi / jvalitaśikhare / (Mp_30)	/ AkASe / gagaNa-tale / AkASa-vicAriNi / jvalita-SiKare / (Mp_30)
   maṇimauktikhacitamaulivare sukeśe / suveśe / suvaktre sunetre / suvarṇe	maNi-mOkti-Kacita-mOli-vare sukeSe / su-veSe / su-vaktre sunetre / suvarNe
   suvarṇagaure / atīte / anāgate / pratyutpanne / namaḥ sarveṣāṃ buddhānāṃ	suvarNa-gOre / atIte / anAgate / pratyutpanne / namaH sarvezAm budDAnAm
   jvalitatejasām / buddhe subuddhe / bhagavati surakṣaṇi / sukṣeme suprabhe	jvalita-tejasAm / budDe su-budDe / Bagavati su-rakzaNi / sukzeme su-praBe
   / sudame sudānte / vare varade / bhagavati bhadravati / bhadre subhadre /	/ su-dame su-dAnte / vare vara-de / Bagavati Badravati / Badre suBadre /
   vimale jayabhadre / caṇḍe pracaṇḍe / caṇḍi 2 vajracaṇḍe ghori gandhāri	vimale jayaBadre / caNxe pracaNxe / caNxi 2 vajracaNxe Gori ganDAri
   gauri caṇḍāli mātaṅgi varcasi / sumati / pukkasi / śavari śāvari / śaṃkari	gOri caNxAli mAtaFgi varcasi / sumati / pukkasi / Savari SAvari / SaMkari
   dramiḍi drāmiḍi raudriṇi / sarvārthasādhani /	dramixi drAmixi rOdriNi / sarva-arTa-sADani /
   hana 2 sarvaśatrūn / daha 2 sarvaduṣṭān pretapiśācaḍākinīnāṃ	hanaH 2 sarva-SatrUn / daha 2 sarva-duzwAn preta-piSAcaxAkinInAm
   manuṣyāmanuṣyāṇāṃ ca / paca 2 hṛdayaṃ vidhvaṃsaya jīvitaṃ	manuzya-amanuzyANAm ca / paca 2 hRdayam viDvaMsaya jIvitam
   sarvaduṣṭagrahāṇāṃ nāśaya sarvapāpāni me bhagavati / rakṣa 2 māṃ	sarva-duzwa-grahANAm nASaya sarva-pApAni me Bagavati / rakza 2 mAm
   saparivāraṃ sarvasatvāṃś ca sarvatra sarvadā sarvabhayopadravebhyaḥ	sa-parivAram sarva-satvAn ca sarvatra sarvadA sarva-Baya-upadraveByaH
   sarvaduṣṭānāṃ bandhanaṃ kuru 2 sarvakilbiṣanāśani / mārtaṇḍe	sarva-duzwAnAm banDanam kuru 2 sarva-kilbiza-nASani / mArtaNxe
   mṛtyudaṇḍanivāriṇi mānini / cale vicale / ciṭi 2 viṭi 2 niṭi nituṭe /	mRtyu-daNxa-nivAriNi mAnini / cale vicale / ciwi 2 viwi 2 niwi nituwe /
   ghoriṇi vīriṇi / pravarasavare / caṇḍāli / mātaṅgi / rundhasi / varcasi /	GoriNi vIriNi / pravara-savare / caNxAli / mAtaFgi / runDasi / varcasi /
   sumati pukkasi / śavari śāvari / śaṃkari dramiḍi drāmiḍi / dahani / pacani	sumati pukkasi / Savari SAvari / SaMkari dramixi drAmixi / dahani / pacani
   pācani / mardani / sarale 2 saralaṃbhe / hīnamadhyotkṛṣṭavidāriṇi / mahile	pAcani / mardani / sarale 2 saralaMBe / hIna-maDya-utkRzwa-vidAriNi / mahile
   2 mahāmahile / nigaḍe 2 nigaḍabhañje / matte / maṭṭini / dānte / cakre	2 mahA-mahile / nigaxe 2 nigaxaBaQje / matte / mawwini / dAnte / cakre
   cakravākini / jvale 2 jvālini / śavari śāvari sarvavyādhiharaṇi / cūḍi 2	cakravAkini / jvale 2 jvAlini / Savari SAvari sarva-vyADi-haraNi / cUxi 2
   cūḍini 2 mahācūḍini / nimi 2 nimindhari / trilokadahani / trilokālokakari	cUxini 2 mahA-cUxini / nimi 2 niminDari / triloka-dahani / triloka-Aloka-kari
   / traidhātukavyavalokani /	/ trEDAtuka-vyavalokani /
   vajraparaśupāśamuṅgarāsicakratriśūlacintāmaṇimahāvidyādhāriṇi / rakṣa 2	vajra-paraSu-pASa-muFgara-asi-cakra-triSUla-cintAmaNi-mahAvidyA-DAriNi / rakza 2
   māṃ sarvasthānagataṃ sarvaduṣṭabhayebhyaḥ sarvamanuṣyāmanuṣyabhayebhyaḥ	mAm sarva-sTAna-gatam sarva-duzwa-BayeByaH sarva-manuzya-amanuzya-BayeByaH
   sarvabhayebhyaḥ sarvavyādhibhyaḥ / vajre vajravati vajrapāṇidhare / hili 2	sarva-BayeByaH sarva-vyADiByaH / vajre vajravati vajrapANiDare / hili 2
   mili 2 kili 2 cili 2 sili 2 vara 2 varade /	mili 2 kili 2 cili 2 sili 2 vara 2 vara-de /
   sarvatra jayalabdhe svāhā / sarvapāpavidāriṇi svāhā / sarvavyādhihariṇi	sarvatra jaya-labDe svAhA / sarva-pApa-vidAriNi svAhA / sarva-vyADi-hariNi
   svāhā / saṃbharaṇi svāha / sarvaśatrubhayahariṇi svāhā / svastir bhavatu	svAhA / saMBaraNi svAha / sarva-Satru-Baya-hariNi svAhA / svastiH Bavatu
   mama sarvasatvānāṃ ca svāhā / śāntiṃkari svāhā / puṣṭiṃkari svāhā /	mama sarva-satvAnAm ca svAhA / SAntiMkari svAhA / puzwiMkari svAhA /
   balavardhani svāhā / oṃ jayatu jaye (Mp_31) jayavati kamale vimale svāhā /	bala-varDani svAhA / om jayatu jaye (Mp_31) jayavati kamale vimale svAhA /
   vipule svāhā / sarvatathāgatamūrte svāhā / oṃ bhūri mahāśānti svāhā / oṃ	vipule svAhA / sarva-taTAgata-mUrte svAhA / om BUri mahASAnti svAhA / om
   bhūri 2 vajravati sarvatathāgatahṛdayapūraṇi āyuḥsaṃdhāraṇi / bala 2	BUri 2 vajravati sarva-taTAgata-hRdaya-pUraNi AyuH-saMDAraNi / balaH 2
   balavati jaya vidye hūṃ hūṃ phaṭ phaṭ svāhā / oṃ maṇidhari vajriṇi /	balavati jaya vidye hUm hUm Paw Paw svAhA / om maNiDari vajriNi /
   mahāpratisare hūṃ hūṃ phaṭ phaṭ svāhā //	mahA-pratisare hUm hUm Paw Paw svAhA //
   yasya kasyacit mahābrāhmaṇa anayā tathāgatamūrtyā vidyāmantrapadadhāriṇyā	yasya kasyacid mahA-brAhmaNa anayA taTAgata-mUrtyA vidyA-mantra-pada-DAriNyA
   rakṣā kṛtā guptiḥ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiḥ svastyayanaṃ	rakzA kRtA guptiH paritrANam parigraham paripAlanam SAntiH svastyayanam
   daṇḍaparihāraḥ śastraparihāro viṣadūṣaṇaṃ viṣanāśanaṃ kṛto bhavet /	daNxa-parihAraH Sastra-parihAraH viza-dUzaNam viza-nASanam kRtaH Bavet /
   tasya parīkṣīṇām āyuḥ punar eva vivardhate /	tasya parIkzINAm AyuH punar eva vivarDate /
   suciraṃ sukhaṃ jīvati smṛtisaṃpannaś ca bhavati //	su-ciram suKam jIvati smRti-saMpannaH ca Bavati //
   uccāraṇamātreṇa vajrāvamarjanena vā akālamaraṇāt mahāvyādhibhyaś ca	uccAraNa-mAtreNa vajra-avamarjanena vA akAla-maraNAt mahA-vyADiByaH ca
   parimucyate / sarvarogāś cāsya praśāmyanti / dīrghamlānāny	parimucyate / sarva-rogAH ca-asya praSAmyanti / dIrGamlAnAni-
   avamārjanamātreṇa praśamaṃ gacchanti / dine dine svādhyāyaṃ kuryān	avamArjana-mAtreNa praSamam gacCanti / dine dine svADyAyam kuryAt-
   mahāprājño bhavati / ojobalavīryapratibhānasaṃpanno bhavati /	mahA-prAjQaH Bavati / ojaH-bala-vIrya-pratiBAna-saMpannaH Bavati /
   sarvakarmāvaraṇāni cāsya niyatavedanīyāni niravaśeyaṃ parikṣayaṃ gacchanti	sarva-karma-AvaraNAni ca-asya niyata-vedanIyAni niravaSeyam parikzayam gacCanti
   / sarvabuddhabodhisatvadevanāgayakṣādīni cāsya ojobalavīryaṃ kāye	/ sarva-budDa-boDisatva-deva-nAga-yakza-AdIni ca-asya ojaH-bala-vIryam kAye
   prakṣepsyanti / mahāprītir bahulo bhaviṣyati / antaśo mahābrāhmaṇa iyaṃ	prakzepsyanti / mahA-prItiH bahulaH Bavizyati / antaSas mahA-brAhmaNaH iyam
   mahāvidyāmantrapadarakṣā tiryagyonigatānām api mṛgapakṣiṇāṃ yeṣāṃ	mahAvidyA-mantra-pada-rakzA tiryagyoni-gatAnAm api mRga-pakziNAm yezAm
   karṇapuṭe vipatite sarve vaivarttikā bhaviṣyanty anuttarāyāṃ	karNa-puwe vipatite sarve vEvarttikAH Bavizyanti anuttarAyAm
   samyaksaṃbodhau / kaḥ punar vādo ya imāṃ mahāpratisarāṃ dhāraṇīṃ śrāddhaḥ	samyaksaMboDO / kaH punar vAdaH yaH imAm mahA-pratisarAm DAraNIm SrAdDaH
   kulaputro vā kuladuhitā vā bhikṣur vā bhikṣuṇī vā upāsako vā upāsikā vā	kula-putraH vA kula-duhitA vA BikzuH vA BikzuNI vA upAsakaH vA upAsikA vA
   rājā vā rājaputro vā rājāmātyo vā brāhmaṇo vā kṣatriyo vā tad anyo vā yaḥ	rAjA vA rAja-putraH vA rAja-amAtyaH vA brAhmaNaH vA kzatriyaH vA tat anyaH vA yaH
   kaścic chrokṣati śrutvā ca mahatyā śraddhayā gauraveṇādhyāśayena	kaScid Srokzati SrutvA ca mahatyA SradDayA gOraveNa-aDyASayena
   likhiṣyati likhāpayiṣyati dhārayiṣyati vācayiṣyati / tīvreṇa manasā	liKizyati liKApayizyati DArayizyati vAcayizyati / tIvreNa manasA
   bhāvayiṣyati / parebhyaś ca vistareṇa saṃprakāśayiṣyati / tasya	BAvayizyati / pareByaH ca vistareNa saMprakASayizyati / tasya
   mahābrāhmaṇāṣṭau akālamaraṇāni pratikāṃkṣitavyāni na prabhavanti / na	mahA-brAhmaNa-azwO akAla-maraNAni pratikAMkzitavyAni na praBavanti / na
