   Muktā-caritram	MuktA--caritram
   nāndī saroṣam | yaj jātaṃ tac caturaṃmanyābhiḥ śrūyatām | yuṣmān vijetum	nAndI sa-rozam | yat jAtam tat caturaMmanyABiH SrUyatAm | yuzmAn vijetum
   abhīṣṭam iṣṭānna-pradānena suṣṭhu pralobhya dhūrta-guruṇā yuṣman-nāgareṇa	aBIzwam izwa-anna--pradAnena suzWu praloBya DUrta--guruNA yuzman-nAgareNa
   tena prerita-lolupa-bhaṇḍa-madhumaṅgalenāti-nirbaddhato vicitya kiñcij	tena prerita-lolu-pa-BaNxa--maDu-maFgalena-ati-nirbadDataH vicitya kiQcij
   jātāṅkurāḥ sarvā muktā niravaśeṣaṃ samādāya tatra tatra	jAta-aFkurAH sarvAH muktAH niravaSezam samAdAya tatra tatra
   hiṃsrāvallī-kadambān	hiMsrA-vallI--kadambAn
   samāropya kayatyaḥ pṛthak svakṛta ekasmin kedāre pratnataḥ saṃropitāḥ |	samAropya kayatyaH pRTak sva-kRtaH ekasmin kedAre pratnataH saMropitAH |
   tathānyāsāṃ tu tathaivānīya kālindī-gabhīra-nīrāntaḥ prakṣiptāḥ | iti mayā	taTA-anyAsAm tu taTA-eva-AnIya kAlindI-gaBIra--nIra-antaH prakziptAH | iti mayA
   sudṛḍhaṃ jñātam asti |	su-dRXam jQAtam asti |
   iti niśamya sarvā āhuḥ | ayi	iti niSamya sarvAH AhuH | ayi
   kūṭatva-nāṭaka-naṭana-prakaṭanaika-kāryānindya-mahānandi | ayi	kUwa-tva--nAwaka-nawana--prakawana-eka--kArya-anindya--mahAnandi | ayi
   bhaṇḍa-madhumaṅgala-guruprāya-mahā-satīrthe | ayi	BaNxa--maDu-maFgala--guru-prAya-mahA-satIrTe | ayi
   vrajaprathita-śaṭha-naṭa-sahita-nāṭya-yogye | tat-priyatame naṭi | ayi	vraja-praTita--SaWa-nawa--sahita--nAwya--yogye | tat-priyatame nawi | ayi
   kaliyuga-tapasvini | tiṣṭha tiṣṭheti sabhrūbhaṅgaṃ tām ākṣipya sva-geham	kali-yuga--tapasvini | tizWa tizWA-iti sa-BrU-BaFgam tAm Akzipya sva-geham
   āgatya	Agatya
   punaḥ punas tad eva vicārayantī tāsu rādhā bhoḥ sakhyaḥ nāndīmukhī vā	punar punar tat eva vicArayantI tAsu rADA BoH saKyaH nAndImuKI vA
   pratārayatu sa dhūrtas tathā vā karotu adhunā tad-vicāreṇa ko lābhaḥ |	pratArayatu sa DUrtaH taTA vA karotu aDunA tad--vicAreNa kaH lABaH |
   sāmpratam	sAmpratam
   anyad duḥkhaṃ na gaṇyate | gurvādito bhayam eva naḥ khedayati | tad vayaṃ	anyat duHKam na gaNyate | guru-AditaH Bayam eva naH Kedayati | tat vayam
   tu	tu
   tebhyo mauktikeṣu darśiteṣv eva śithilī bhavet | tādṛśāni sarvathaivātra	teByaH mOktikezu darSitezu eva SiTilI Bavet | tAdRSAni sarvaTA-eva-atra
   sudurlabhāni kintu kṛṣṇād eva mūlyena yathā gṛhītāni syuḥ | tatropāyaś	su-durlaBAni kintu kRzNAt eva mUlyena yaTA gRhItAni syuH | tatra-upAyaH-
   cintyatām |	cintyatAm |
   tataḥ sarvābhir vibhāvyoktam | candramukhī caturā bhavati | suvarṇāni	tatas sarvABiH viBAvya-uktam | candra-muKI caturA Bavati | suvarNAni
   gṛhītvā	gRhItvA
   gatvā samucita-mūlyena mauktikāny ānayatu |	gatvA samucita--mUlyena mOktikAni Anayatu |
   tatas tayoktam | sampraty asmābhir upālabdhasya tasya samīpam aham ekākinī	tatas tayA-uktam | samprati asmABiH upAlabDasya tasya samIpam aham ekAkinI
   gantum aśaktāsmi | kāñcanalatā mama saṅge samāgacchatu | iti sarvāsām	gantum aSaktA-asmi | kAQcana-latA mama saFge samAgacCatu | iti sarvAsAm
   anumatyā bahu-suvarṇāni gṛhītvā mauktika-vāṭikā-samīpaṃ te ājagmatuḥ |	anumatyA bahu--suvarNAni gRhItvA mOktika-vAwikA--samIpam te AjagmatuH |
   tatra	tatra
   tad-vāṭikādhikāriṇaṃ subalaṃ mayā saha niviṣṭam abrūtām | he subala śrutam	tad--vAwika-aDikAriNam subalam mayA saha nivizwam abrUtAm | he subala Srutam
   asmābhir bhavadbhir navya-muktāni vikrīyante | tad imāni śuddha-suvarṇāni	asmABiH BavadBiH navya-muktAni vikrIyante | tat imAni SudDa--suvarNAni
   gṛhītvā samucita-mūlyena pravīṇa-pravīṇa-muktā-phalāni dīyantām |	gRhItvA samucita--mUlyena pravINa--pravINa--muktA--PalAni dIyantAm |
   tataḥ smitvā mayoktam | tadānīm anekadhā prārthyamānaṃ naikam api	tatas smitvA mayA-uktam | tadAnIm anekaDA prArTyamAnam na-ekam api
   mauktikam	mOktikam
   asmabhyaṃ dattam | asmat-kedārikā-sekārthaṃ dugdha-pārī ca bhavatībhir na	asmaByam dattam | asmat-kedArikA-seka-arTam dugDa-pArI ca BavatIBiH na
   dattā | asmābhir varaṃ kālindī-madhye prakṣeptavyam | tathāpi bhavatīnāṃ	dattA | asmABiH varam kAlindI--maDye prakzeptavyam | taTA-api BavatInAm
   gṛha-sarvasvenāpi paṇīkṛtena nikhila-mauktika-vṛndādapakṛṣṭam ekam api	gRha--sarva-svena-api paNIkRtena niKila--mOktika-vRndAt-apakRzwam ekam api
   mauktikaṃ sarvathā na dātavyam |	mOktikam sarvaTA na dAtavyam |
   tataḥ kāñcanalatayoktam | mauktika-nimittaṃ paty-ādibhyo yadi tāsāṃ bhīr	tatas kAQcana-latayA-uktam | mOktika--nimittam pati--AdiByaH yadi tAsAm BIr
   na	na
   bhavet tadāsya kadarthanoktim īdṛśīṃ kā nāma saheta | bhavatu kiṃ	Bavet tadA-asya kadarTana-uktim IdRSIm kA nAma saheta | Bavatu kim
   kartavyam |	kartavyam |
   haṭṭa-prasārita-bahuratnā madhurā tāvad dūre tad adya bhoḥ subala svayam	hawwa--prasArita--bahu-ratnA maDurA tAvat dUre tat adya BoH subala svayam
   eva	eva
   bhavatā madhyasthena bhūyatām | ānyatrika-mūlyād asmābhir viśeṣo'pi	BavatA maDyasTena BUyatAm | Anya-trika--mUlyAt asmABiH viSezaH-api
   dātavyaḥ |	dAtavyaH |
   tataś ca viśeṣa-śabda-śravaṇān mayā vihasyoktam | bhavatu nāma	tatas ca viSeza--Sabda--SravaNAt mayA vihasya-uktam | Bavatu nAma
   svabhāva-komalena mayā tu bhavatībhir iva kāṭhinyaṃ kartuṃ na śakyate |	svaBAva--komalena mayA tu BavatIBiH iva kAWinyam kartum na Sakyate |
   adattvā	adattvA
   vā anyat kiṃ kartavyam | kintu mauktikārdhinīnāṃ sarvāsāṃ	vE anyat kim kartavyam | kintu mOktika-arDinInAm sarvAsAm
   mauktika-mūlya-nirṇayaḥ kiṃ bhavatībhyām eva bhaviṣyati |	mOktika-mUlI-a--nirNayaH kim BavatIByAm eva Bavizyati |
   tābhyām uktam -- atha kim ?	tAByAm uktam - aTa kim ?
   mayoktam | kas tāvad viśeṣaḥ | tataś candramukhī kiñcid vihasya	mayA-uktam | kaH tAvat viSezaH | tatas candra-muKI kiQcid vihasya
   kāñcanalatām	kAQcana-latAm
   ālokitavatī | kāñcanalatātha salajjaṃ subalaṃ prati vyājahāra | sakhe	AlokitavatI | kAQcana-latA-aTa sa-lajjam subalam prati vyAjahAra | saKe
   subala svayam	subala svayam
   eva madhyasthena bhūtvā samādhāya samīcīna-yaśo-bhāras tāvad aṅgīkriyatāṃ	eva maDyasTena BUtvA samADAya samIcIna-yaSaH--BAraH tAvat aFgIkriyatAm
   bhavatā |	BavatA |
   subalenoktam | vayasya rahasyatayā bahu-mūlyatvaṃ kiyat kāñcanalatayā	su-balena-uktam | vayasya rahasya-tayA bahu-mUlya-tvam kiyat kAQcana-latayA
   prakaṭīkriyate | ātmano'bhīṣṭa-mūlyaṃ svayam eva sphuṭaṃ nigadya na kathaṃ	prakawIkriyate | AtmanaH-aBIzwa--mUlyam svayam eva sPuwam nigadya na kaTam
   gṛhyate |	gRhyate |
   tato'ham abruvam | sakhe subala candramukhyā abhiprāyo jñātaḥ |	tatas-aham abruvam | saKe subala candra-muKyAH aBiprAyaH jQAtaH |
   muktāphalāni	muktAPalAni
   grahītuṃ kāñcanalataiva vicāryānargha-mūlyatvena parikalpya rādhādibhiḥ	grahItum kAQcana-latA-eva vicArya-anarGa--mUlya-tvena parikalpya rADa-AdiBiH
   prahitya	prahitya
   mama dattāstīti | kintu kāñcana-sañcayato'pi muktāphalānām adhikaṃ mūlyaṃ	mama dattA-asti-iti | kintu kAQcana--saQcayataH-api muktAPalAnAm aDikam mUlyam
   jagati prasiddham | tasmād ekayaiva kāñcanalatayā katham etāsāṃ	jagati prasidDam | tasmAt ekayA-eva kAQcana-la-tayA kaTam etAsAm
   mūlya-paryāptiḥ | yadi vā asyā bakṣasi svarṇa-sampūṭa-rūpa-phala-dvaye	mUlya--paryAptiH | yadi vE asyAH bakzasi svarNa--sampUwa--rUpa-Pala--dvaye
   bahavaś	bahavaH-
   cintāmaṇayo'pi santīti candramukhī vakṣati tathāpi na | yato	cintAmaNayaH-api santi-iti candra-muKI vakzati taTA-api na | yatas-
   vaikuṇṭhanātha-kaṇṭha-sthita-kaustubhato'pi mamaitad ekaṃ muktāphalaṃ	vEkuNWanATa--kaNWa--sTita--kOstuBataH-api mama-etat ekam muktAPalam
   parama-parārdhyam |	parama--parArDyam |
   tac chrutvā bhrū-bhaṅgena mām avalokayantī kāñcanalatā saroṣam āha -	tat SrutvA BrU-BaFgena mAm avalokayantI kAQcana-latA sa-rozam Aha -
   nirbuddhike candramukhi! tadaiva mayoktaṃ tasya dhṛṣṭasya savidhe mayā na	nirbudDike candra-muKi! tadA-eva mayA-uktam tasya DRzwasya saviDe mayA na
   gantavyam | tathāpi tvayāhyam āgraheṇānīya kadarthitāsmi | tvaṃ	gantavyam | taTA-api tvayA-Ahyam AgraheNa-AnIya kadarTitA-asmi | tvam
   muktāphalāny	muktAPalAni-
   ādāya samāgaccha aham itaś calitāsmi |	AdAya samAgacCa aham itas calitA-asmi |
   candramukhī āha - kāñcanalate! satyaṃ kathayasi tat katham ekākinyā mayā	candra-muKI Aha  kAQcana-late! satyam kaTayasi tat kaTam ekAkinyA mayA
   mūlya-nirṇayo bhavatu | kathaṃ vā nijane'tra sthātavyaṃ	mUlya--nirNayaH Bavatu | kaTam vA nijane-atra sTAtavyam
   ekayoga-nirdiṣṭānāṃ saha	eka-yoga--nirdizwAnAm saha
   vā pravṛttiḥ saha vā nivṛttir iti mayāpi gantavyam | ity ubhe eva	vA pravRttiH saha vA nivRttiH iti mayA-api gantavyam | iti uBe eva
   gamanodyate	gamana-udyate
   dṛṣṭvā mayoktam - subala! tadaiva mayoktaṃ yad etābhyāṃ mūlya-nirṇayo na	dRzwvA mayA-uktam  subala! tadA-eva mayA-uktam yat etAByAm mUlya--nirNayaH na
   bhaviṣyati |	Bavizyati |
   tac chrutvā tayoḥ savidham āgatya subalenoktam - sakhi candramukhi!	tat SrutvA tayoH saviDam Agatya su-balena-uktam  saKi candra-muKi!
   vayasyasya	vayasyasya
   mūlya-viṣaye mahān āgraho dṛśyate | tena priya-sakhī rādhā lalitādibhiḥ	mUlya--vizaye mahAn AgrahaH dRSyate | tena priya--saKI rADA lalita-AdiBiH
   sahāgatya	saha-Agatya
   samakṣam eva samucita-mūlyaṃ pradāya svepsita-muktāphalāni gṛhṇātu | tatra	samakzam eva samucita--mUlyam pradAya sva-Ipsita-muktAPalAni gRhNAtu | tatra
   mayā madhyasthena bhūtvā sācivyaṃ karaṇīyam |	mayA maDyasTena BUtvA sAcivyam karaNIyam |
   iti niśamya candramukhī-kāñcanalate tāsāṃ savidhe gatvā sa-roṣam iva	iti niSamya candra-muKI--kAQcana-late tAsAm saviDe gatvA sa--rozam iva
   sarvaṃ	sarvam
   vṛttaṃ kathayāṃcakratuḥ |	vRttam kaTayAMcakratuH |
   tataś ca rādhā lalitādibhiḥ saha mauktika-bāṭī-prāntam āsādya	tatas ca rADA lalita-AdiBiH saha mOktika-bAwI--prAntam AsAdya
   candramukhī-dvārā subalam ākārya tam āha - priya-vayasya subala | asmāsu	candra-muKI--dvArA subalam AkArya tam Aha  priya--vayasya subala | asmAsu
   bhavato niraṅkuśaḥ snehaḥ | ataḥ svayam eva tathā vidhīyatāṃ yathāsmābhiḥ	BavataH niraFkuSaH snehaH | atas svayam eva taTA viDIyatAm yaTA-asmABiH
   samucita-mūlyena muktāphalāni labhyante |	samucita--mUlyena muktAPalAni laByante |
   tac chrutvā subalena mahyaṃ nivedya mad-vacanena mat-sannidhau tā	tat SrutvA subalena mahyam nivedya mad--vacanena mat--sanniDO tA
   lalitādayaḥ	lalita-AdayaH
   samānītāḥ | rādhā tu mamātrāgamanaṃ tvayā	samAnItAH | rADA tu ma-ma-atra-Agamanam tvayA
   mad-upadrāvaka-sva-priya-vayasyāya sarvathā na prakāśanīyam iti subalam	mad--upadrAvaka--sva-priya--vayasyAya sarvaTA na prakASanIyam iti subalam
   ābhāṣya man-nikaṭa-stha-kadamba-kuñjāntar nikhila-vṛttāntaṃ niśamayantī	ABAzya man--nikawa--sTa--kadamba--kuQja-antar niKila--vRttAntam niSamayantI
   nigūḍham āsthitā |	nigUXam AsTitA |
   tato mayā tāḥ sarvā nibhālya rādhā kathaṃ na dṛśyate ity ukte	tatas mayA tAH sarvA niBAlya rADA kaTam na dRSyate iti ukte
   tuṅgavidyayoktam -	tuFga-vidyayA-uktam -
   gokula-yuva-rāja! sā khalu sa-praṇayaṃ āryayā jaṭilayā kasyacid	go-kula--yuva-rAja! sA Kalu sa-praNayam AryayA jawilayA kasyacid-
   gṛha-kārya-viśeṣasya kṛte rakṣitā gṛhe vidyate |	gRha--kArya--viSezasya kRte rakzitA gRhe vidyate |
   tatas tad-avasara eva praviṣṭena madhumaṅgalena	tatas tad--avasaraH eva pravizwena maDu-maFgalena
   iṅgita-vijñāpita-rādhā-nigūḍha-man-nikaṭa-sthitim avadhārya kiñcid vihasya	iFgita-vijQApita--rADA--nigUXa-man--nikawa--sTitim avaDArya kiQcid vihasya
   mayoktam - tuṅgavidye! muktā-grahaṇecchā tasyā na vidyate iti dṛśyate |	mayA-uktam  tuFga-vidye! muktA-grahaNa-icCA tasyAH na vidyate iti dRSyate |
   tatas tayoktaṃ - nahi nahi | tan-muktā-mūlyam asmābhir eva dāsyate |	tatas tayA-uktam  na-hi na-hi | tan-muktA--mUlyam asmABiH eva dAsyate |
   tadā mayoktaṃ - viśākhaiva rādhā, rādhaiva viśākhā | tatas tan-mūlyaṃ	tadA mayA-uktam  viSAKA-eva rADA, rADA-eva viSAKA | tatas tan--mUlyam
   viśākhaiva	viSAKA-eva
   dāsyatīti jñāyate | bhavatu tatra samāgraho nāsti, kintu yā khalu svayam	dAsyati-iti jQAyate | Bavatu tatra samAgrahaH nAsti, kintu yA Kalu svayam
   āgatya na	Agatya na
   gṛhṇāti tasyāś catur-guṇaṃ mūlyaṃ gṛhyatām | mauktikāni ca sādhāraṇāny eva	gRhNAti tasyAH catur-guNam mUlyam gRhyatAm | mOktikAni ca sADAraNAni eva
   dīyantām iti me sarveṣāṃ sakhīnāṃ sudṛḍho nirṇayaḥ |	dIyantAm iti me sarvezAm saKInAm su-dRXaH nirNayaH |
   tad anu subalaṃ prati mayoktaṃ - sakhe subala! avacita	tat anu subalam prati mayA-uktam  saKe subala! avacita
   muktā-pūrṇa-sampuṭān	muktA--pUrNa--sampuwAn
   ānīya purataḥ prasārya vicitya sarva-kaniṣṭhāny eva mauktikāni pūrvakṛtaṃ	AnIya puratas prasArya vicitya sarva-kanizWAni eva mOktikAni pUrva-kRtam
   tat-kārpaṇyam apy avigaṇayya prathamaṃ tat-kṛte viśākhāyāṃ samarpya	tat-kArpaNyam api avigaNayya praTamam tat-kRte viSAKAyAm samarpya
   tat-sakāśāc	tat-sakASAt-
   ca tan-mūlyaṃ gṛhyatām | yadi vā prastutaṃ dātuṃ na śaknoti tatas	ca tan--mUlyam gRhyatAm | yadi vA prastutam dAtum na Saknoti tatas-
   tad-abhinneyam |	tat--aBinneyam |
   tāvat puṣpa-pravāla-corikā gopa-kanyakā yatra rakṣyante tatraivārān	tAvat puzpa--pravAla--corikAH gopa-kanyakAH yatra rakzyante tatra-eva-arAn
   mādhavī-kuñja-kārāyāṃ saṃbadhya rakṣyatām |	mADavI--kuQja-kArAyAm saMbaDya rakzyatAm |
   tac chrutvā madhumaṅgalenoktaṃ - priya-vayasya | nirodhe'pi para-rāmābhiḥ	tat SrutvA maDu-maFgalena-uktam  priya-vayasya | niroDe-api para-rAmABiH
   palāyana-vidyāḥ sphuṭam adhītāḥ santi |	palAyana-vidyAH sPuwam aDItAH santi |
   tadā mayoktaṃ - vayasya! mayāpy etad jñāyata eva | kintu cintā nāsti |	tadA mayA-uktam  vayasya! mayA-api etat jQAyate eva | kintu cintA na-asti |
   yadyapi	yadi-api
   para-rāmā-sparśo lajjā-tyāgaś cāsmad-vidhānāṃ svapne'py atīvāyogyas	para-rAmA--sparSaH lajjA--tyAgaH ca-asmad--viDAnAm svapne-api atIva-ayogya-s
   tathāpi -	taTA-api -
   sva-kāryam uddharet prājñaḥ kurvann api vigarhitaḥ |	sva--kAryam udDaret prAjQaH kurvan api vigarhitaH |
   tathā,	taTA,
   āhāre vyavahāre ca lajjām api parityajet |	AhAre vyavahAre ca lajjAm api parityajet |
   iti saṃhitā-vacana-balād aham eva prahariko bhavan sarvām eva rātriṃ	iti saMhitA--vacana-balAt aham eva praharikaH Bavan sarvAm eva rAtrim
   jāgran	jAgran
   nirantaraṃ nivatsyāmi |	nirantaram nivatsyAmi |
   iti niśamya subalaḥ sa-smitam āha - puruṣottama! priya-sakhyā viśākhayā	iti niSamya subalaH sa--smitam Aha  puruzottama! priya-saKyA viSAKayA
   etāvati	etAvati
   mahā-saṅkaṭe kiyantaṃ kālaṃ sthātavyam ?	mahA--saFkawe kiyantam kAlam sTAtavyam ?
   tato mayoktaṃ - yad artham iyaṃ rakṣyate sā yāvat niḥśeṣaṃ mūlya-dravyaṃ	tatas mayA-uktam  yat arTam iyam rakzyate sA yAvat niHSezam mUlya--dravyam
   prasthāpayati | kiṃ vā kiyad-dravyaṃ gṛhītvā svayam evāgatya dhruvam asyāḥ	prasTApayati | kim vA kiyat--dravyam gRhItvA svayam eva-Agatya Druvam asyAH
   snehād ittham atra sthitvā avaśiṣṭa-dravyānayanārtham enāṃ prasthāpayati |	snehAt itTam atra sTitvA avaSizwa--dravya-Anayana-arTam enAm prasTApayati |
   tāvad	tAvat-
   anayā sthātavyam |	anayA sTAtavyam |
   iti śrutvā madhumaṅgalaḥ prāha - sakhe! etad-goṣṭhīnām adhīśā sā	iti SrutvA maDumaFgalaH prAha  saKe! etad--gozWInAm aDISA sA
   sarvābhyo'pi	sarvAByaH-api
   sarva-karmaṇi vicakṣaṇā viśeṣataḥ palāyane gavya-ghaṭṭyāṃ dānādiṣu sarvair	sarva-karmaNi vicakzaNAH viSezataH palAyane gavya-GawwyAm dAna-Adizu sarvEH-
   asmābhi punaḥ punaḥ prayakṣīkṛtāsti | tvaṃ tv aniśaam udghūrṇase tena me	asmABi punar punar prayakzIkRtA-asti | tvam tu aniSaam udGUrNase tena me
   mahatī cintā jñāyate |	mahatI cintA jQAyate |
   tataḥ smitam apavāryāham avadaṃ - sakhe! alam anayā cintayā | tan-nikaṭe	tatas smitam apavAryA-aham avadam  saKe! alam anayA cintayA | tan--nikawe
   mamodghūrṇā na janiṣyata eva | yadi vā jāyeta tarhi mad-uttamāṅgasya	mama-udGUrNAH na janizyate eva | yadi vA jAyeta tarhi mad--uttamAFgasya
   tad-vāma-bhujā-mṛṇālīm upadhānīkṛtya	tat--vAma-BujA--mRNAlIm upaDAnIkRtya
   tad-uras-talpollasita-pīta-paṭṭāmbara-vara-vidhūpadhānopari	tad--uras--talpa-ullasita--pIta--pawwa-ambara-vara--viDu-upaDAna-upari
   mad-vāma-kara-pallavam aruṇam abhinyasya tahtā	mad-vAma-kara--pallavam aruNam aBinyasya tahtA
   mauktika-paṇa-nimittaka-vāg-vilāsam ullāsayiṣyāmi | yathā sukhena jāgaryām	mOkti-ka-paNa--nimittaka--vAc---vilAsam ullAsayizyAmi | yaTA suKena jAgaryAm
   eva	eva
   catvāro rajani-yāmā drutam eva viramanti | athavā	catvAraH rajani-yAmA drutam eva viramanti | aTavA
   mad-uro-nāma-ghanāndhakāra-viṣama-kārāgārāntas tāṃ praviśya	mad--uro--nAma--Gana-anDakAra--vizama--kAra-AgAra-antaH tAm praviSya
   tat-pārśva-yugalaṃ kaṭhora-bhuja-gārutmatārgalābhyāṃ dṛḍhaṃ saṃruddhya	tat-pArSva--yugalam kaWora--Buja--gArutma-tA-argalAByAm dRXam saMrudDya
   sukhena nirātaṅkaḥ svapna-vilāsaṃ vitariṣyāmi |	suKena nirAtaFkaH svapna-vilAsam vitarizyAmi |
   iti śrutvā sarvāḥ smayamānā babhūvuḥ | rādhā tūdgrīvikayā māṃ viśākhāṃ	iti SrutvA sarvAH smayamAnAH baBUvuH | rADA tu-udgrIvikayA mAm viSAKAm
   sarvāś ca sakhīr avalokayantī āha - candrāvalī-keli-kuraṅga! tiṣṭha	sarvAH ca saKIH avalokayantI Aha  candrAvalI--keli-kuraFga! tizWa
   tiṣṭheti	tizWA-iti
   anuccair māṃ tarjayantī susmitāsīt | viśākhā tu kuṭila-dṛṣṭyā mām	anuccEs mAm tarjayantI su-smitA-AsIt | viSAKA tu kuwila-dRzwyA mAm
   avalokayantī	avalokayantI
   āha - vraja-dhūrta-dhṛṣṭa! apehai apehīti vadantī sakhī-madhye līnā	Aha  vraja--DUrta--DRzwa! apehEH apehi-iti vadantI saKI--maDye lInA
   babhūva |	baBUva |
   tataḥ sarvābhiḥ subalaṃ praty uktaṃ - subala! vidūṣakatāṃ tyaja | yadi	tatas sarvABiH subalam prati uktam  subala! vidUzaka-tAm tyaja | yadi
   bhavatāṃ	BavatAm
   vikrayecchā vartate, tarhi muktāḥ pradarśya samucita-mūlyena pradīyantām |	vikraya-icCA vartate, tarhi muktAH pradarSya samucita--mUlyena pradIyantAm |
   no	no
   ced vayaṃ gṛhaṃ gacchāmaḥ | mathurāta eva mauktiāny ānayitavyāni |	ced vayam gRham gacCAmaH | maTurAtaH eva mOktiAni AnayitavyAni |
   iti niśamya subalena sampuṭānudghāṭya tābhyāṃ mauktikāni pradarśya māṃ	iti niSamya subalena sampuwAn-udGAwya tAByAm mOktikAni pradarSya mAm
   praty	praty
   uktaṃ -- priya-vayasya! imāni mauktikāny amūlyāni ābhir gṛha-paty-ādikaṃ	uktam - priya--vayasya! imAni mOktikAni amUlyAni ABiH gRha-paty-a-Adikam
   samasta-godhanāni ca vikrīyāpi ekasyāpi mūlyaṃ dātum aśakyam | etāḥ khalu	samasta-go-DanAni ca vikrIya-api ekasya-api mUlyam dAtum aSakyam | etAH Kalu
   bhavat-snigdhāḥ sarvān upekṣya tvāṃ jānanti | tasmād	Bavat--snigDAH sarvAn upekzya tvAm jAnanti | tasmAt-
   etat-pūrva-kṛta-kārpaṇyam	etat--pUrva--kRta-kArpaNyam
   api vismṛtya māṃ ca tva-anugatam avekṣya yat-kiñcin-mūlyaṃ gṛhītvā	api vismRtya mAm ca tva-anugatam avekzya yat--kiQcin--mUlyam gRhItvA
   vinā-mūlyena	vinA--mUlyena
   dattavad āsām abhīpsita-mauktikāni dātum ājñā kriyatām |	datta-vat AsAm aBIpsita--mOktikAni dAtum AjQA kriyatAm |
   tato'ham avocam - sakhe! nahi nahi | vayaṃ vāṇijya-vyavasāyinaḥ | bhavatu	tatas-aham avocam  saKe! na-hi na-hi | vayam vANijya--vyavasAyinaH | Bavatu
   | kiṃ	| kim
   kartavyaṃ | bhavad-vacanaṃ ca rakṣaṇīyam | tad yat kiñcid alpam eva mayā	kartavyam | Bavat--vacanam ca rakzaNIyam | tat yat kiQcid alpam eva mayA
   mṛgyate	mRgyate
   tad dāpayitvaiva dīyantām | kiṃ ca utkocaṃ gṛhītvā bāraṃ bāraṃ mama	tat dApayitvA-eva dIyantAm | kim ca utkocam gRhItvA bAram bAram mama
   ghaṭṭī-dāna-dravyāṇi bhavatā vināśitāni sanītit mama kenāpi kathitam asti	GawwI-dAna--dravyANi BavatA vinASitAni sanItit mama kena-api kaTitam asti
   tasmān mūlya-dravyaṃ samakṣam eva mayaivābhyo grahītavyam |	tasmAt mUlya--dravyam samakzam eva mayA-eva-aByaH grahItavyam |
   subalaḥ kiñcid vihasyāha - bhadraṃ vacaḥ | kiṃ ca etābhiḥ	subalaH kiQcid vihasya-Aha  Badram vacaH | kim ca etABiH
   svīya-svīyābhīpsita-mauktikāni vicitya pṛthak pṛthak kuṭī-kṛtāni dṛṣṭvā	svIya-svIya-aBIpsita-mOktikAni vicitya pRTak pRTak kuwI-kRtAni dRzwvA
   bhavatāpi svābhīpsita-mūlyaṃ kathyatām |	BavatA-api sva-aBIpsita--mUlyam kaTyatAm |
   tato'ham abruvam - bhadraṃ darśayantu sva-svābhīpsita-mauktikāni mūlyaṃ	tatas-aham abruvam  Badram darSayantu sva--sva-aBIpsita-mOktikAni mUlyam
   kathyate mayā |	kaTyate mayA |
   subalaḥ prāha - priya-vayasya! etāḥ vinayena yan nivedayanti tat	subalaH prAha  priya--vayasya! etAH vinayena yat nivedayanti tat-
   kṛpayāvadhārya	kRpayA-avaDArya
   bhavate yadi rocate tadā vidhīyatām |	Bavate yadi rocate tadA viDIyatAm |
   tato'haṃ - subala | kathyatāṃ kiṃ nivedayanti yuktaṃ cet kartavyam |	tatas-aham  subala | kaTyatAm kim nivedayanti yuktam ced kartavyam |
   subalaḥ prāha - evaṃ nivedayanti, madhu-purī tāvad dūre	subalaH prAha  evam nivedayanti, maDu--purI tAvat dUre
