   (PSP_5:1)	(PSu _5:1)
   samyaksaṃbuddhenānuttarāyai samyaksaṃbodhaye. tat kasya hetoḥ? tathā hi	samyaksaMbudDena anuttarAyE samyaksaMboDaye. tat kasya hetoH? taTA hi
   tavāmī guṇāḥ saṃvidyante 'vinivartanīyānāṃ bodhisattvānāṃ mahāsattvānām.	tava amI guNAH saMvidyante avinivartanIyAnAm boDisattvAnAm mahAsattvAnAm .
   ye ca te mayā subhūte 'vinivartanīyasya bodhisattvasya mahāsattvasya ākārā	ye ca te mayA suBUte avinivartanIyasya boDisattvasya mahAsattvasya AkArA
   liṅgāni nimittāny ākhyātās te tasya bodhisattvasya mahāsattvasya na	liFgAni nimittAni AKyAtAH te tasya boDisattvasya mahAsattvasya na
   saṃvidyante. veditavyaṃ subhūte tadanyair bodhisattvair mahāsattvair	saMvidyante. veditavyam suBUte tad anyEH boDisattvEH mahAsattvEH 
   mārādhiṣṭhito batāyaṃ bodhisattvo mahāsattvaḥ. tat kasya hetoḥ? tathā hi	mAra aDizWitaH bata ayam boDisattvaH mahAsattvaH. tat kasya hetoH? taTA hi
   ya ākārā yāni liṅgāni yāni nimittāny 'vinivartanīyasya bodhisattvasya	yaH AkArAH yAni liFgAni yAni nimittAni avinivartanIyasya boDisattvasya
   mahāsattvasya te cāsya na saṃvidyante. anena ca nāmāpadeśena tad anyān	mahAsattvasya te ca asya na saMvidyante. anena ca nAma apadeSena tat anyAn
   bodhisattvān mahāsattvān avamaṃsyate uccagghyayiṣyaty ullāpayiṣyati	boDisattvAt mahAsattvAn avamaMsyate uccagGyayizyati ullApayizyati
   kutsayiṣyati paṃsayiṣyati, idam api subhūte nāmāpadeśena nāmādhiṣṭhānena	kutsayizyati paMsayizyati, idam api suBUte nAma apadeSena nAma aDizWAnena
   bodhisattvena mahāsattvena mārakarma veditavyam.	boDisattvena mahAsattvena mAra karma veditavyam.
   punar aparaṃ subhūte bodhisattvena mahāsattvena nāmādhiṣṭhānena mārakarma	punar aparam suBUte boDisattvena mahAsattvena nAma aDizWAnena mAra karma
   veditavyam. tat kasya hetoḥ? tathā hi subhūte bodhisattvo mahāsattvaḥ	veditavyam. tat kasya hetoH? taTA hi suBUte boDisattvaH mahAsattvaH
   ṣaṭsu pāramitāsu caritaḥ sattvānāṃ nāma na jānāti, rūpaṃ na jānāti,	zawsu pAramitAsu caritaH sattvAnAm nAma na jAnAti, rUpam na jAnAti,
   vedanāṃ saṃjñāṃ saṃskārān, vijñānaṃ na jānāti. tasya māraḥ pāpīyān	vedanAm saMjQAm saMskArAn, vijQAnam na jAnAti. tasya mAraH pApIyAn
   nāmādhiṣṭhānena vyākariṣyati, yāvat te 'nuttarāṃ samyaksaṃbodhim	nAma aDizWAnena vyAkarizyati, yAvat te anuttarAm samyaksaMboDim
   abhisaṃbuddhasyedaṃ nāma bhaviṣyati, yat tena nāmadheyam anuvitarkitaṃ	aBisaMbudDasya idam nAma Bavizyati, yat tena nAmaDeyam anuvitarkitam
   bhaviṣyaty anuvicāritam. tatra duṣprajñājātīyasya bodhisattvasya	Bavizyati anuvicAritam. tatra duzprajQA jAtIyasya boDisattvasya
   mahāsattvasyānupāyakuśalasyaivaṃ bhaviṣyati: yathā ca mama cittotpāda	mahAsattvasya anupAya kuSalasya evam Bavizyati: yaTA ca mama citta utpAda
   utpannaḥ, yac ca mayā nāmadheyaṃ manasānuvitarkitam anuvicāritam,	utpannaH, yat ca mayA nAmaDeyam manasA anuvitarkitam anuvicAritam,
   (PSP_5:7) idaṃ mamānuttarāṃ samyaksaṃbodhim abhisaṃbuddhasya nāmadheyaṃ	(PSu _5:7) idam mama anuttarAm samyaksaMboDim aBisaMbudDasya nAmaDeyam
   bhaviṣyati. tathā tathā māraḥ pāpīyān nirdekṣyati mārakāyikā vā devatā	Bavizyati. taTA taTA mAraH pApIyAn nirdekzyati mArakAyikA vA devatA
   mārādhiṣṭhito vā bhikṣus tasyaivaṃ bhaviṣyati: yathā ca mama cittotpāda	mAra aDizWitaH vA BikzuH tasya evam Bavizyati: yaTA ca mama citta utpAda
   utpanno, yathā ca mama nāmadheyaṃ, yathā cānena bhikṣunā nirdiṣṭaṃ sameti	utpanno, yaTA ca mama nAmaDeyan, yaTA ca anena BikzunA nirdizwam sameti
   nāma sameti me nāmnā vyākṛto 'haṃ tais tathāgatair arhadbhiḥ	nAma sameti me nAmnA vyAkRtaH aham tEH taTAgatEH arhadBiH
   samyaksaṃbuddhair anuttarāyai samyaksaṃbodhaye.	samyaksaMbudDEH anuttarAyE samyaksaMboDaye.
   ye ca mayā subhūte 'vinivartanīyasya bodhisattvasya mahāsattvasyākārā	ye ca mayA suBUte avinivartanIyasya boDisattvasya mahAsattvasya AkArA
   liṅgāni nimittāny ākhyātāni tasya bodhisattvasya mahāsattvasya na	liFgAni nimittAni AKyAtAni tasya boDisattvasya mahAsattvasya na
   saṃvidyante, taiś cākārair liṅgair nimittair virahitaḥ, so 'nena ca	saMvidyante, tEH ca AkArEH liFgEH nimittEH virahitaH, saH anena ca
   nāmāpadeśena manyanām utpādayiṣyati, sa tadanyān bodhisattvān mahāsattvān	nAma apadeSena manyanAm utpAdayizyati, sa tad anyAn boDisattvAn mahAsattvAn
   avamaṃsyate, sa tayā manyanayā abhimanyatayā dūrībhaviṣyaty anuttarāyāḥ	avamaMsyate, sa tayA manyanayA aBimanyatayA dUrIBavizyati anuttarAyAH
   samyaksaṃbodhes tasyopāyakauśalyavirahitasya prajñā pāramitāvirahitasya	samyaksaMboDeH tasya upAya kOSalya virahitasya prajQA pAramitA virahitasya
   kalyāṇamitravirahitasya pāpamitraparigṛhītasya dve bhūmī pratikāṅksitavye	kalyANa mitra virahitasya pApa mitra parigRhItasya dve BUmI pratikAFksitavye
   yad uta śrāvakabhūmir vā pratyekabuddhabhūmir vā. atha vā ciraṃ suciraṃ	yat uta SrAvaka BUmiH vA pratyekabudDa BUmiH vA. aTa vA ciram su ciram
   saṃdhāvya saṃsṛtyemām eva prajñāpāramitām āgamyānuttarāṃ samyaksaṃbodhim	saMDAvya saMsRtya imAm eva prajQApAramitAm Agamya anuttarAm samyaksaMboDim
   abhisaṃbhotsyate. sacet sa priyān bodhisattvān mahāsattvān na	aBisaMBotsyate. saced sa priyAn boDisattvAn mahAsattvAn na
   kalyāṇamitrāṇy abhīkṣṇaṃ lapsyate darśanāya na cainān paryupāsiṣyate,	kalyANa mitrANi aBIkzNam lapsyate darSanAya na ca enAn paryupAsizyate,
   sacet tenaivātmabhāvapratilābhena tān pūrvakāṃś cittotpādān na	saced tena eva Atma BAva pratilABena tAn pUrvakAn citta utpAdAt na
   vigarhiṣyati na pratideśayiṣyati tasya dve bhūmī pratikāṅkṣitavye yad uta	vigarhizyati na pratideSayizyati tasya dve BUmI pratikAFkzitavye yat uta
   śrāvakabhūmir vā pratyekabuddhabhūmir vā.	SrAvaka BUmiH vA pratyekabudDa BUmiH vA.
   tadyathāpi nāma subhūte bhikṣuś catasṛṇāṃ mūlāpattīnām anyatarānyatarām	tat yaTA api nAma suBUte BikzuH catasRNAm mUlApattInAm anyatara anyatarAm
   āpattim āpadyābhikṣur bhavaty aśramaṇo 'śākyaputrīyaḥ. so 'bhavyas tenaiva	Apattim Apadya aBikzuH Bavati aSramaNaH aSAkya putrIyaH. saH aBavyaH tena eva
   cātmabhāvena caturṇāṃ śrāmaṇyaphalānām anyatarānyataraṃ śrāmaṇyaphalam	ca Atma BAvena caturNAm SrAmaNya PalAnAm anyatara anyataram SrAmaNya Palam
   anuprāptum.	anuprAptum.
   evam eva subhūte ayaṃ tato gurutaraś cittotpādo yo 'yaṃ nāmāpadeśena	evam eva suBUte ayam tatas gurutaraH citta utpAdaH yaH ayam nAma apadeSena
   bodhisattvasya mahāsattvasya manyanāsahagataś cittotpāda utpannas, tena ca	boDisattvasya mahAsattvasya manyana asahagataH citta utpAdaH utpannas, tena ca
   nāmāpadeśamātreṇānyān bodhisattvān mahāsattvān avamaṃsyate, ayaṃ tato	nAma apadeSa mAtreNa anyAn boDisattvAn mahAsattvAn avamaMsyate, ayam tatas 
   gurutaraś cittotpādo veditavyaḥ.	gurutaraH citta utpAdaH veditavyaH.
   tiṣṭhantu subhūte catasro gurukā mūlāpattayaḥ, pañcabhyo 'pi subhūte	tizWantu suBUte catasraH gurukA mUla ApattayaH, paQcaByaH api suBUte
   ānantaryebhyaḥ karmabhyo gurutaro 'yaṃ cittotpādo yo 'yaṃ (PSP_5:8)	AnantaryeByaH karmaByaH gurutaraH ayam citta utpAdaH yaH ayam (PSu _5:8)
   bodhisattvasya mahāsattvasya nāmāpadeśena manyanāsahagataś cittotpāda	boDisattvasya mahAsattvasya nAma apadeSena manyana asahagataH citta utpAda
   utpannas, tena ca nāmāpadeśamātreṇānyān bodhisattvān mahāsattvān	utpannas, tena ca nAma apadeSa mAtreNa anyAn boDisattvAn mahAsattvAn
   avamaṃsyate, ayaṃ tato gurutaraś cittotpādo veditavyaḥ. iti hi subhūte	avamaMsyate, ayam tatas gurutaraH citta utpAdaH veditavyaH. iti hi suBUte
   imāni tāni nāmāni nāmāpadeśenotpadyamānāni mārakarmāṇi sūkṣmāṇi bhavanti.	imAni tAni nAmAni nAma apadeSena utpadyamAnAni mAra karmANi sUkzmANi Bavanti.
   punar aparaṃ subhūte vivekaguṇena bodhisattvasya mahāsattvasya māraḥ	punar aparam suBUte viveka guNena boDisattvasya mahAsattvasya mAraH
   pāpīyān hy upasaṃkramiṣyaty upasaṃkramyaivaṃ vakṣyati: vivekasya tathāgato	pApIyAn hi upasaMkramizyati upasaMkramya evam vakzyati: vivekasya taTAgataH 
   varṇavādī. nāhaṃ subhūte evaṃ vivekaṃ vadāmi bodhisattvasya mahāsattvasya	varNa vAdI. na aham suBUte evam vivekam vadAmi boDisattvasya mahAsattvasya
   yad utāraṇyāni vanaprasthāni prāntāni śayanāsanāni.	yat uta araNyAni vana prasTAni prAntAni Sayana AsanAni.
   subhūtir āha: kataraḥ punar bhagavan bodhisattvasya mahāsattvasyānyo	suBUtiH Aha: kataraH punar Bagavan boDisattvasya mahAsattvasya anyaH 
   viveko yadi nāraṇyāni vanaprasthāni prāntāni śayanāsanāni? kathaṃrūpo	vivekaH yadi na araNyAni vana prasTAni prAntAni Sayana AsanAni? kaTaMrUpaH 
   bhagavann anyo viveko bodhisattvasya mahāsattvasya?	Bagavan anyaH vivekaH boDisattvasya mahAsattvasya?
   bhagavān āha: sacet subhūte bodhisattvo mahāsattvaḥ śrāvakapratisaṃyuktair	BagavAn Aha: saced suBUte boDisattvaH mahAsattvaH SrAvaka pratisaMyuktEH 
   manasikārair vivikto bhavati, pratyekabuddhapratisaṃyuktair manasikārair	manasikArEH viviktaH Bavati, pratyekabudDa pratisaMyuktEH manasikArEH 
   vivikto bhavati, bodhisattvo mahāsattvo	viviktaH Bavati, boDisattvaH mahAsattvaH 
   nāraṇyavanaprasthaprāntaśayanāsanair viharati, viviktaś caiva viharati	na araNya vana prasTa prAnta Sayana AsanEH viharati, viviktaH ca eva viharati
   bodhisattvo mahāsattvaḥ, yo 'yaṃ mayā subhūte viveko 'nujñāto	boDisattvaH mahAsattvaH, yaH ayam mayA suBUte vivekaH anujQAtaH 
   bodhisattvasya mahāsattvasya. anena ca vivekena rātriṃdivaṃ viharati	boDisattvasya mahAsattvasya. anena ca vivekena rAtriMdivam viharati
   viviktaś caiva viharati bodhisattvo mahāsatvo yad uta bodhisattvavivekena	viviktaH ca eva viharati boDisattvaH mahAsatvaH yat uta boDisattva vivekena
   nāraṇyavanaprasthaprāntaśayanāsanair viharati vivikta eva viharati	na araNya vana prasTa prAnta Sayana AsanEH viharati vivikte eva viharati
   bodhisattvo mahāsattvo, grāmānte 'pi vā viharann anena vivekena viviktaś	boDisattvaH mahAsattvaH , grAma ante api vA viharan anena vivekena vivikta H 
   caiva viharati bodhisattvo mahāsattvaḥ, yaś ca mayā subhūte viveko	ca eva viharati boDisattvaH mahAsattvaH, yaH ca mayA suBUte vivekaH 
   'nujñāto bodhisattvasya mahāsattvasya.	anujQAtaH boDisattvasya mahAsattvasya.
   yañ ca punaḥ sa māraḥ pāpīyān vivekam upadekṣyaty	yan ca punar sa mAraH pApIyAn vivekam upadekzyati 
   araṇyavanaprasthaprāntaśayanāsanair viharati, sa tena vivekena saṃkīrṇaś	araNya vana prasTa prAnta Sayana AsanEH viharati, sa tena vivekena saMkIrNa H 
   caiva samānaḥ śrāvakapratisaṃyuktair manasikāraiḥ viharati	ca eva samAnaH SrAvaka pratisaMyuktEH manasikArEH viharati
   pratyekabuddhapratisaṃyuktair manasikārair viharati prajñāpāramitāyām	pratyekabudDa pratisaMyuktEH manasikArEH viharati prajQApAramitAyAm
   anabhiyuktaḥ sarvākārajñatāṃ na paripūrayati. evaṃ so 'nena vihāreṇa	anaBiyuktaH sarva AkAra jQa tAm na paripUrayati. evam saH anena vihAreNa
   viharann apariśuddhadharmamanasikāraś caiva samānas tadanyān api	viharan apariSudDa Darma manasikAraH ca eva samAnaH tad anyAn api
   bodhisattvān mahāsattvān avamaṃsyate ye te grāmānte viharanti	boDisattvAn mahAsattvAn avamaMsyate ye te grAma ante viharanti
   pariśuddhadharmamanasikārāḥ śrāvakacittair asaṃkīrṇāḥ	pariSudDa Darma manasikArAH SrAvaka cittEH asaMkIrNAH
   pratyekabuddhacittair asaṃkīrṇā (PSP_5:9) ihānyaiḥ pāpakaiś cittotpādair	pratyekabudDa cittEH asaMkIrNA (PSu _5:9) iha anyEH pApakEH citta utpAdEH 
   asaṃkirṇā dhyānavimokṣasamādhisamāpattidhāraṇīmukhasatyābhijñāparipūriṃ	asaMkirNA DyAna vimokza samADi samApatti DAraNI muKa satya aBijQA paripUrim
   gatāḥ.	gatAH.
   atha ca punaḥ so 'nupāyakuśalo bodhisattvo mahāsattvaḥ, kiṃ cāpi	aTa ca punar saH anupAya kuSalaH boDisattvaH mahAsattvaH, kim ca api
   yojanaśatikeṣv aṭavīkāntāreṣv apagatavyādamṛgapakṣiṣv	yojana Satikezu awavI kAntArezu apagata vyAda mRga pakzizu 
   apagatacaurakāntāreṣv apagatabhṛśaparṇarākṣasānuvicariteṣu tatra madhye vā	apagata cOra kAntArezu apagata BRSa parNa rAkzasa anuvicaritezu tatra maDye vA
   saṃkalpayed varṣaṃ vā varṣaśataṃ vā varṣasahasraṃ vā varṣaśatasahasraṃ vā	saMkalpayet varzam vA varza Satam vA varza sahasram vA varza Sata sahasram vA
   varṣakoṭīśataṃ vā varṣakoṭīsahasraṃ vā varṣakoṭīśatasahasraṃ vā tato vā	varzakowI Satam vA varza kowI sahasram vA varza kowI Sata sahasram vA tatas vA
   uttari, imaṃ ca vivekan na jānāti yena vivekena bodhisattvo mahāsattvo	uttari, imam ca vivekan na jAnAti yena vivekena boDisattvaH mahAsattvaH 
   'dhyāśayasaṃprasthito viharati, saṃkīrṇaś caiva viharati bodhisattvo	aDyASaya saMprasTitaH viharati, saMkIrNaH ca eva viharati boDisattvaH 
   mahāsattvaḥ saṃkliṣṭaś caiva tatra viveke niśrita ālīno 'dhyavasito na me	mahAsattvaH saMklizwaH ca eva tatra viveke niSritaH AlInaH aDyavasitaH na me
   sa tāvanmātrakeṇa cittam abhirādhayati, yaś ca mayā viveka ākhyātas tasmin	sa tAvat mAtrakeNa cittam aBirADayati, yaH ca mayA vivekaH AKyAtaH tasmin
   viveke na saṃdṛśyate.	viveke na saMdRSyate.
   tam enaṃ māraḥ pāpīyān upasaṃkramyopary antarīkṣe sthitvaivaṃ vadati:	tam enam mAraH pApIyAn upasaMkramya upari antarIkze sTitvA evam vadati:
   sādhu sādhu kulaputra eṣa vivekas tathāgatenākhyāto yena viharasy evaṃ	sADu sADu kula putraH eza vivekaH taTAgatena AKyAtaH yena viharasi evam
   tvaṃ kṣipram anuttarāṃ samyaksaṃbodhim abhisaṃbhotsyase. sa tato vivekāt	tvam kzipram anuttarAm samyaksaMboDim aBisaMBotsyase. sa tatas vivekAt 
   punar anyān vivekān avamanyamānas tadanyān bodhisattvayānikān bhikṣūn	punar anyAn vivekAn avamanyamAnaH tad anyAn boDisattva yAnikAn BikzUn
   peśalān kalyāṇadharmano 'vamaṃsyate saṃkīrṇavihāreṇa bateme viharanty	peSalAn kalyANa DarmanaH avamaMsyate saMkIrNa vihAreNa bata ime viharanti 
   āyuṣmanta iti. ye ca viviktavihāreṇa viharanti bodhisattvā mahāsattvās tān	AyuzmantaH iti. ye ca vivikta vihAreNa viharanti boDisattvAH mahAsattvAH tAn
   saṃkīrṇavihāreṇa codayiṣyati smārayiṣyati avamaṃsyate, ye ca	saMkIrNa vihAreNa codayizyati smArayizyati avamaMsyate, ye ca
   saṃkīrṇavihāreṇa viharanti tān viviktavihāreṇa samudācariṣyati tatra ca	saMkIrNa vihAreNa viharanti tAn vivikta vihAreNa samudAcarizyati tatra ca
   gauravam utpādayiṣyati, yatra ca gauravam utpādayitavyaṃ tatra mānam	gOravam utpAdayizyati, yatra ca gOravam utpAdayitavyam tatra mAnam
   utpādayiṣyati. tat kasya hetoḥ? aham amanuṣyaiś codye, aham amanuṣyaiḥ	utpAdayizyati. tat kasya hetoH? aham amanuzyEH codye, aham amanuzyEH
   smārye, eṣa vihāro yena vihāreṇāhaṃ viharāmi, kaṃ grāmāntavihāriṇam	smArye, eza vihAraH yena vihAreNa aham viharAmi, kam grAma anta vihAriNam
   amanuṣyāḥ smārayiṣyanti? ayaṃ bodhisattvas tadanyān bodhisattvayānikān	amanuzyAH smArayizyanti? ayam boDisattvaH tad anyAn boDisattva yAnikAn
   kulaputrān paṃsayiṣyaty avamaṃsyate ullāpayiṣyati kutsayiṣyati.	kula putrAn paMsayizyati avamaMsyate ullApayizyati kutsayizyati.
   ayaṃ subhūte bodhisattvacaṇḍālo veditavyaḥ, bodhisattvadūṣī veditavyaḥ,	ayam suBUte boDisattva caNxAlaH veditavyaH, boDisattva dUzI veditavyaH,
   bodhisattvaprativarṇiko veditavyaḥ, cauraḥ sadevamānuṣāsurasya lokasya,	boDisattva prativarNikaH veditavyaH, cOraH sa deva mAnuza asurasya lokasya,
   cauraḥ śramaṇaveṣeṇa, cauro bodhisattvayānikārāṃ kulaputrāṇāṃ, tajjātikaḥ	cOraH SramaNa vezeNa, cOraH boDisattva yAnikArAm kula putrANAM, tad jAtikaH
   pudgalo na sevitavyo na bhaktavyo na paryupāsitavyaḥ. tat kasya hetoḥ?	pudgalaH na sevitavyaH na BaktavyaH na paryupAsitavyaH. tat kasya hetoH?
   ādhimānikā hi subhūte tathārūpāḥ pudgalā veditavyāḥ. ity aṣṭamam	ADimAnikAH hi suBUte taTArUpAH pudgalAH veditavyAH. iti azwamam
   (PSP_5:10)	(PSu _5:10)
   yasya khalu punar bodhisattvasya mahāsattvasyāparityaktā sarvākārajñatā,	yasya Kalu punar boDisattvasya mahAsattvasya aparityaktA sarva AkAra jQa tA,
   aparityaktā anuttarā samyaksaṃbodhis tena bodhisattvena	aparityaktA anuttarA samyaksaMboDiH tena boDisattvena
   mahāsattvenādhyāśayenānuttarāṃ samyaksaṃbodhim abhisaṃboddhukāmena,	mahAsattvena aDyASayena anuttarAm samyaksaMboDim aBisaMbodDu kAmena,
   sarvasattvānām arthaṃ kartukāmena bodhisattvena mahāsattvena tajjātīyaḥ	sarva sattvAnAm arTam kartu kAmena boDisattvena mahAsattvena tad jAtIyaH
   pudgalo na sevitavyo na bhaktavyo na paryupāsitavyaḥ. api tu khalu	pudgalaH na sevitavyaH na BaktavyaH na paryupAsitavyaH. api tu Kalu
   svakāryayogam anuyuktena vihartavyaṃ nityodvignamānasena saṃsāra	sva kArya yogam anuyuktena vihartavyam nitya udvigna mAnasena saMsAra
   uttrastamānasenāsaṃsṛṣṭena traidhātukena. tatra caiva maitry utpādayitavyā	uttrasta mAna sena asaMsRzwena trEDAtukena. tatra ca eva mEtrI utpAdayitavyA
   tatra caivānukampākaruṇotpādayitavyā muditotpādayitavyā	tatra ca eva anukampA karuNa utpAdayitavyA mudita utpAdayitavyA
   upekṣotpādayitavyā, tathā ca kariṣyāmi yathaite mama doṣāḥ sarveṇa sarvaṃ	upekzA utpAdayitavyA, taTA ca karizyAmi yaTA ete mama dozAH sarveNa sarvam
   sarvathā sarvaṃ na bhaviṣyanti notpatsyante, saced utpatsyante kṣipram eva	sarvaTA sarvam na Bavizyanti na utpatsyante, saced utpatsyante kzipram eva
   prahāsyāmīti śikṣā karaṇīyā. ayaṃ subhūte bodhisattvānāṃ mahāsattvānāṃ	prahAsyAmi iti SikzA karaNIyA. ayam suBUte boDisattvAnAm mahAsattvAnAm
   svayamabhijñāya parākramo veditavyaḥ.	svayam aBijQAya parAkramaH veditavyaH.
   punar aparaṃ subhūte bodhisattvena mahāsattvenādhyāśayenānuttarāṃ	punar aparam suBUte boDisattvena mahAsattvena aDyASayena anuttarAm
   samyaksaṃbodhim abhisaṃboddhukāmena kalyāṇamitrāṇi sevitavyāni bhaktavyāni	samyaksaMboDim aBisaMbodDu kAmena kalyANa mitrANi sevitavyAni BaktavyAni
   paryupāsitavyāni.	paryupAsitavyAni.
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: kāni punar bhagavan	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: kAni punar Bagavan
   bodhisattvānāṃ mahāsattvānāṃ kalyāṇamitrāṇi veditavyāni?	boDisattvAnAm mahAsattvAnAm kalyANa mitrANi veditavyAni?
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: buddhā bhagavantaḥ	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: budDAH BagavantaH
   subhūte bodhisattvānāṃ mahāsattvānāṃ kalyāṇamitrāṇi veditavyāni,	suBUte boDisattvAnAm mahAsattvAnAm kalyANa mitrANi veditavyAni,
   bodhisattvā mahāsattvāś ca subhūte bodhisattvānāṃ mahāsattvānāṃ	boDisattvAH mahAsattvAH ca suBUte boDisattvAnAm mahAsattvAnAm
   kalyāṇamitrāṇi veditavyāni, śrāvakā api subhūte bodhisattvānāṃ	kalyANa mitrANi vedita vyAni, SrAvakAH api suBUte boDisattvAnAm
   mahāsattvānāṃ kalyāṇamitrāṇi veditavyāni.	mahAsattvAnAm kalyANa mitrANi veditavyAni.
   ye ca ṣaṭ pāramitā ākhyāsyanti deśayiṣyanti prajñapayiṣyanti	ye ca zaw pAramitAH AKyAsyanti deSayizyanti prajQapayizyanti
   prasthāpayiṣyanti vivariṣyanti vibhajiṣyanti uttānīkariṣyanti	prasTApayizyanti vivarizyanti viBajizyanti uttAnIkarizyanti
   saṃprakāśayiṣyanti, ime 'pi subhūte bodhisattvānāṃ mahāsattvānāṃ	saMprakASayizyanti, ime api suBUte boDisattvAnAm mahAsattvAnAm
   kalyāṇamitrāṇi veditavyāni. ṣaṭ pāramitāḥ subhūte bodhisattvānāṃ	kalyANa mitrANi vedita vyAni. zaw pAramitAH suBUte boDisattvAnAm
   mahāsattvānāṃ kalyāṇamitrāṇi veditavyāni, catvāri smṛtyupasthānāni	mahAsattvAnAm kalyANa mitrANi vedita vyAni, catvAri smRti upasTAnAni
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgāḥ sarvaśūnyatā āryasatyāny	samyak prahANa RdDi pAda indriya bala boDi aFga mArgAH sarva SUnyatA Arya satyAni 
   apramāṇadhyānārūpyasamāpattayaḥ śūnyatānimittāpraṇihitābhijñāḥ	apramANa DyAna ArUpya samApattayaH SUnyatA nimitta apraNihita aBijQAH
   sarvavimokṣasamādhisamāpattidhāraṇīmukhāni daśa balāni catvāri	sarva vimokza samADi samApatti DAraNI muKAni daSa balAni catvAri
   vaiśāradyāni catasraḥ pratisaṃvido 'ṣṭādaśāveṇikā buddhadharmā	vESAradyAni catasraH pratisaMvidaH azwAdaSa AveNikA budDa DarmA
   bodhisattvānāṃ mahāsattvānāṃ kalyāṇamitrāṇi veditavyāni.	boDisattvAnAm mahAsattvAnAm kalyANa mitrANi veditavyAni.
   tathatābhūtakoṭidharmadhātu bodhisattvānāṃ mahāsattvānāṃ kalyāṇamitrāṇi	taTatABUta kowi DarmaDAtu boDisattvAnAm mahAsattvAnAm kalyANa mitrANi
   veditavyāni. ṣaṭ pāramitāḥ śāstāro veditavyāḥ ṣaṭ pāramitā mārgaḥ ṣaṭ	vedita vyAni. zaw pAramitAH SAstAraH veditavyAH zaw pAramitA mArgaH zax 
