   śrī-jayadeva-gosvāmi-viracitaṃ	SrI-jayadeva--go-svAmi-viracitam
   praṇamata hṛdi vinidhāya hariṃ suciraṃ sukṛtodaya-sāram || GG_11.31 ||	praNamata hRdi viniDAya harim su-ciram sukRta-udaya--sAram || Gu-_11.31 ||
   atikramyāpāṅgaṃ śravaṇa-patha-paryanta-gamana-prayāsenevākṣṇos	atikramya-apAFgam SravaNa--paTa--paryanta--gamana--prayAsena-iva-akzNoH-
   taralatara-tāraṃ gamitayoḥ |	taralatara--tAram gamitayoH |
   NOTE: {patitayoḥ iti haridāsa-dāsasya pāṭhaḥ.}	NOTE: {patitayoH iti haridAsa-dAsasya pAWaH.}
   idānīṃ rādhāyāḥ priyatama-samāloka-samaye papāta svedāmbu-prasara iva	idAnIm rADAyAH priyatama--samAloka--samaye papAta sveda-ambu--prasaraH iva
   harṣāśru-nikaraḥ || GG_11.32 ||	harza-aSru--nikaraH || Gu-_11.32 ||
   NOTE: {samāyāta- iti ni-pāṭhaḥ.}	NOTE: {samAyAta iti ni-pAWaH.}
   bhajantyās talpāntaṃ kṛta-kapaṭa-kaṇḍūti-pihita-smitaṃ yāte gehād bahir	BajantyAH talpa-antam kRta-ka-pawa--kaNxUti-pihita--smitam yAte gehAt bahis-
   avahitālī-parijane |	avahita-AlI--parijane |
   priyāsyaṃ paśyantyāḥ smara-paravaśākūta-subhagaṃ salajjā lajjāpi vyagamad	priya-Asyam paSyantyAH smara--para-vaSa-AkUta--suBagam sa-lajjA lajjA-api vyagamat-
   iva dūraṃ mṛga-dṛśaḥ || GG_11.33 ||	iva dUram mRga-dRSaH || Gu-_11.33 ||
   sānandaṃ nanda-sūnur diśatu mitaparaṃ saṃmadaṃ manda-mandaṃ rādhām ādhāya	sa-Anandam nanda-sUnuH diSatu mita-param saMmadam manda-mandam rADAm ADAya
   bāhvor vivaram anu drḍhaṃ pīḍayan prīti-yogāt |	bAhvoH vivaram anu drXam pIxayan prIti--yogAt |
   NOTE: {haridāsa-dāsa-saṃskaraṇe ayaṃ śloko nāsti.}	NOTE: {hari-dAsa-dAsa--saMskaraNe ayam SlokaH nAsti.}
   tuṅgau tasyā urojāv atanu-varatanor nirgatau mā sma bhūtāṃ pṛṣṭhaṃ	tuFgO tasyAH urojO atanu-vara-tanoH nirgatO mA sma BUtAm pRzWam
   nirbhidya tasmād bahir iti valita-grīvam ālokayan vaḥ || GG_11.34 ||	nirBidya tasmAt bahis iti valita--grIvam Alokayan vaH || Gu-_11.34 ||
   jaya-śrī-vinyastair mahita iva mandāra-kusumaiḥ svayaṃ sindūreṇa	jaya--SrI--vinyastEH mahitaH iva mandAra--kusumEH svayam sindUreNa
   dvipa-raṇa-mudā mudrita iva |	dvipa-raNa-mudA mudritaH iva |
   bhujāpīḍa-krīḍā-hata-kuvalayāpīḍa-kariṇaḥ prakīrṇāsṛg-bindur jayati	Buja-ApIxa--krIxA-a-hata--kuvalayApIxa-kariNaH prakIrNa-asRj--binduH jayati
   bhuja-daṇḍo murajitaḥ || GG_11.35 ||	Buja--daNxaH murajitaH || Gu-_11.35 ||
   saundaryaika-nidher anaṅga-lalanā-lāvaṇya-līlā-juṣo rādhāyā hṛdi palvale	sOndarya-eka-niDeH anaFga-lalanA--lAvaNya--lIlA-juzaH rADAyAH hRdi palvale
   manasija-krīḍaika-raṅga-sthale |	manasija--krIxA-eka-raFga-sTale |
   NOTE: {haridāsa-dāsa-saṃskaraṇe ayaṃ śloko nāsti.}	NOTE: {hari-dAsa-dAsa--saMskaraNe ayam SlokaH nAsti.}
   ramyoroja-saroja-khelana-rasitvād ātmanaḥ khyāpayan dhyātur	ramyoroja--saroja--Kela-na-rasi-tvAt AtmanaH KyApayan DyAtuH-
   mānasa-rāja-haṃsa-nibhatāṃ deyān mukundo mudam || GG_11.36 ||	mAnasa-rAja--haMsa--niBa-tAm deyAn mukundaH mudam || Gu-_11.36 ||
   dvādaśaḥ sargaḥ	dvAdaSaH sargaH
   suprīta-pītāmbaraḥ	su-prIta-pIta-ambaraH
   gatavati	gatavati
   sakhī-vṛnde'manda-trapā-bhara-nirbhara-smara-paravaśākūta-sphīta-smita-snapitādharam	saKI--vRnde-amanda--tra-pA-Bara--nirBara--smara--para-vaSa-AkUta--sPIta--smita-snapita-aDaram
   sarasa-manasaṃ dṛṣṭvā rādhāṃ muhur nava-pallava-prasava-śayane	sarasa-manasam dRzwvA rADAm muhur nava--pallava--prasava--Sayane
   nikṣiptākṣīm uvāca hariḥ priyām || GG_12.1 ||	nikzipta-akzIm uvAca hariH priyAm || Gu-_12.1 ||
   || prabandhaḥ 23 ||	|| prabanDaH 23 ||
   vibhāsa-rāgaikatāli-tālābhyāṃ gīyate |	viBAsa--rAga-eka-tAli-tAlAByAm gIyate |
   kiśalaya-śayana-tale kuru kāmini caraṇa-nalina-viniveśam |	kiSala-ya--Sayana-tale kuru kAmini caraNa-nalina--viniveSam |
   tava pada-pallava-vairi-parābhavam idam anubhavatu suveśaṃ || GG_12.2 ||	tava pada--pallava-vEri-parABavam idam anuBavatu su-veSam || Gu-_12.2 ||
   kṣaṇam adhunā nārāyaṇam anugatam anusara rādhike || dhruva ||	kzaNam aDunA nArAyaNam anugatam anusara rADike || Druva ||
   kara-kamalena karomi caraṇam aham āgamitāsi vidūram |	kara-kamalena karomi caraNam aham AgamitA-asi vidUram |
   kṣaṇam upakuru śayanopari mām iva nūpuram anugati-śūram || GG_12.3 ||	kzaNam upakuru Sayana-upari mAm iva nUpuram anugati--SUram || Gu-_12.3 ||
   vadana-sudhā-nidhi-galitam amṛtam iva racaya vacanam anukūlam |	vadana--suDA--niDi--galitam amRtam iva racaya vacanam anukUlam |
   viraham ivāpanayāmi payodhara-rodhakam urasi dukūlaṃ || GG_12.4 ||	viraham iva-apanayAmi payoDara-roDakam urasi dukUlam || Gu-_12.4 ||
   priya-parirambhaṇa-rabhasa-valitam iva pulakitam atiduravāpam |	priya--pariramBaNa--raBasa-valitam iva pulakitam ati-duravApam |
   mad-urasi kuca-kalaśaṃ viniveśaya śoṣaya manasija-tāpam || GG_12.5 ||	mad--urasi kuca-kalaSam viniveSaya Sozaya manasija-tApam || Gu-_12.5 ||
   adhara-sudhā-rasam upanaya bhāmini jīvaya mṛtam iva dāsam |	aDara--suDA-rasam upanaya BAmini jIvaya mRtam iva dAsam |
   tvayi vinihita-manasaṃ virahānala-dagdha-vapuṣam avilāsam || GG_12.6 ||	tvayi vinihita--manasam viraha-anala--dagDa--vapuzam avilAsam || Gu-_12.6 ||
   śaśi-mukhi mukharaya maṇi-raśanā-guṇam anuguṇa-kaṇṭha-ninādam |	SaSi-muKi muKaraya maNi-raSanA--guNam anuguNa--kaNWa--ninAdam |
   śruti-yugale pika-ruta-vikale mama śamaya cirād avasādam || GG_12.7 ||	Sruti--yugale pika-ruta--vikale mama Samaya cirAt avasAdam || Gu-_12.7 ||
   mām ativiphala-ruṣā vikalī-kṛtam avalokitum adhunedam |	mAm ati-viPala--ruzA vikalI-kRtam avalokitum aDunA-idam |
   lajjitam iva nayanaṃ tava viramati visṛja vṛthā rati-khedam || GG_12.8 ||	lajjitam iva nayanam tava viramati visRja vRTA rati--Kedam || Gu-_12.8 ||
   NOTE: {sṛjasi iti ni-pāṭhaḥ.}	NOTE: {sRjasi iti ni-pAWaH.}
   NOTE: {mīlitaṃ lajjitam iva nayanaṃ tava virama visṛja rati-khedam iti tu	NOTE: {mIlitam lajjitam iva nayanam tava virama visRja rati--Kedam iti tu
   haridāsa-dāsasya pāṭhaḥ.}	haridAsa-dAsasya pAWaH.}
   śrī-jayadeva-bhaṇitam idam anupada-nigadita-madhuripu-modam |	SrI-jaya-deva--BaNitam idam anupada--nigadita-maDuripu-modam |
   janayatu rasika-janeṣu manorama-rati-rasa-bhāva-vinodam || GG_12.9 ||	janayatu rasi-ka-janezu manorama-rati-rasa-BAva--vinodam || Gu-_12.9 ||
   pratyūhaḥ pulakāṅkureṇa niviḍa-leśa-nimeṣeṇa ca	pratyUhaH pulaka-aFkureNa nivixa--leSa--nimezeNa ca
   krīḍākūta-vilokite'dhara-sudhā-pāne kathā-kelibhiḥ |	krIxA-AkUta--vilokite-aDara--suDA--pAne kaTA--keliBiH |
   NOTE: {narmabhiḥ iti haridāsa-dāsa-pāṭhaḥ.}	NOTE: {narmaBiH iti hari-dAsa-dAsa--pAWaH.}
   ānandādhigamena manmatha-kalā-yuddhe'pi yasminn abhūd udbhūtaḥ sa tayor	Ananda-aDigamena manmaTa-kalA--yudDe-api yasmin aBUt udBUtaH sa tayoH-
   babhūva suratārambhaḥ priyambhāvukaḥ || GG_12.10 ||	baBUva surata-AramBaH priyamBAvukaH || Gu-_12.10 ||
   dorbhyāṃ saṃyamitaḥ payodhara-bhareṇāpīḍitaḥ pāṇijair āviddho daśanaiḥ	dorByAm saMyamitaH payoDara--BareNa-ApIxitaH pANijEH AvidDaH daSanEH
   kṣatādhara-puṭaḥ śroṇī-taṭenāhataḥ |	kzata-aDara--puwaH SroNI--tawena-AhataH |
   hastenānamitaḥ kace'dhara-madhu-syandena saṃmohitaḥ kāntaḥ kām api tṛptim	hastena-AnamitaH kace-aDara--maDu--syandena saMmohitaH kAntaH kAm api tRptim
   āpa tad aho kāmasya vāmā gatiḥ || GG_12.11 ||	Apa tat aho kAmasya vAmA gatiH || Gu-_12.11 ||
   mārāṅke rati-keli-saṅkula-raṇārambhe tayā sāhasa-prāyaṃ kānta-jayāya	mAra-aFke rati--keli--saFkula--raNa-AramBe tayA sAhasa--prAyam kAnta--jayAya
   kiṃcid upari prārambhi yat-sambhramāt |	kiMcid upari prAramBi yat--samBramAt |
   NOTE: {vāmāṅge iti ni-pāṭhaḥ. }	NOTE: {vAma-aFge iti ni-pAWaH. }
   niṣpandā jaghana-sthalī śithilitā dor-vallir utkampitaṃ vakṣo mīlitam akṣi	nizpandA jaGana--sTalI SiTilitA dor-valliH utkampitam vakzaH mIlitam akzi
   pauruṣa-rasaḥ strīṇāṃ kutaḥ sidhyati || GG_12.12 ||	pOruza--rasaH strINAm kutas siDyati || Gu-_12.12 ||
   tasyāḥ pāṭala-pāṇijāṅkitam uro nidrā-kaṣāye dṛśau nirdhautādhara-śonimā	tasyAH pAwala--pANija-aFkitam uraH nidrA--kazAye dRSO nirDOta-aDara--SonimA
   vilulita-srasta-srajo mūrdha-jaḥ |	vilulita-srasta-srajaH mUrDa-jaH |
   NOTE: {nirdhauto'dhara iti haridāsaḥ.}	NOTE: {nirDOtaH-aDaraH iti haridAsaH.}
   NOTE: {vilulitāḥ iti haridāsaḥ.}	NOTE: {vilulitAH iti haridAsaH.}
   kāñcī-dāma dara-ślathāñcalam iti prātar nikhātair dṛśor ebhiḥ kāma-śarais	kAQcI-dAma dara-SlaTa-aQcalam iti prAtar niKAtEH dRSoH eBiH kAma-SarEH-
   tad adbhutam abhūt patyur manaḥ kīlitaṃ || GG_12.13 ||	tat adButam aBUt patyuH manaH kIlitam || Gu-_12.13 ||
   vyālolaḥ keśa-pāśas taralitam alakaiḥ sveda-mokṣau kapolau kliṣṭā	vyAlolaH keSa-pASaH taralitam alakEH sveda-mokzO kapolO klizwA
   bimbādhara-śrīḥ kuca-kalaśa-rucā hāritā hāra-yaṣṭiḥ |	bimba-aDara--SrIH kuca-kalaSa-rucA hAritA hAra-yazwiH |
   NOTE: {vyākośa iti ni-pāṭhaḥ.}	NOTE: {vyAkoSaH iti ni-pAWaH.}
   NOTE: {lolau iti haridāsaḥ.}	NOTE: {lolO iti haridAsaH.}
   NOTE: {daṣṭā iti ca.}	NOTE: {dazwA iti ca.}
   kāñcī-kāntir hatāśā stana-jaghana-padaṃ pāṇinācchādya sadyaḥ paśyantī	kAQcI-kAntiH hata-ASA stana--jaGana--padam pANinA-AcCAdya sadyas paSyantI
   satrapā sā tad api vilulitā mugdha-kantir dhinoti || GG_12.14 ||	satrapA sA tat api vilulitA mugDa--kantiH Dinoti || Gu-_12.14 ||
   NOTE: {kāñcī kāñcid gatāśāṃ iti haridāsaḥ.}	NOTE: {kAQcI kAQcid gata-ASAm iti haridAsaH.}
   NOTE: {satrapaṃ māṃ iti haridāsaḥ.}	NOTE: {satrapam mAm iti haridAsaH.}
   NOTE: {vilulita-srag-dhareyaṃ iti haridāsaḥ.}	NOTE: {vilulita--sraj--Dareyam iti haridAsaH.}
   īṣan-mīlita-dṛṣṭi mugdha-vilasat-śītkāra-dhārā-vaśād	Izan-mIlita-dRzwi mugDa--vilasat--SItkAra--DArA--vaSAt-
   avyaktākula-keli-kāku-vikasad-dantāṃśu-dhautādharam |	avyakta-Akula--keli-kA-ku-vika-sat--danta-aMSu-DOta-aDaram |
   NOTE: {mīlad-dṛṣṭi milat-kapola-pulakaṃ iti haridāsa-dāsa-pāṭhaḥ.}	NOTE: {mIlat--dRzwi milat--kapola--pulakam iti hari-dAsa-dAsa--pAWaH.}
   śānta-stabdha-payodharaṃ bhṛśa-pariṣvaṅgāt kuraṅgī-dṛśo	SAnta--stabDa--payoDaram BRSa--parizvaFgAt kuraFgI-dRSaH-
   harṣotkarṣa-vimukta-niḥsaha-tanor dhanyo dhayaty ānanaṃ || GG_12.15 ||	harza-utkarza--vimukta--niHsaha--tanoH DanyaH Dayati Ananam || Gu-_12.15 ||
   NOTE: {śyāmottuṅga-payodharopari pariṣvaṅgī iti haridāsa-dāsa-pāṭhaḥ.}	NOTE: {SyAma-uttuFga--payoDara-upari parizvaFgI iti hari-dAsa-dAsa--pAWaH.}
   atha sahasā suprītaṃ suratānte sā nitānta-khinnāṅgi |	aTa sahasA su-prItam surata-ante sA nitAnta--Kinna-aFgi |
   NOTE: {iti sahasā nigadantaṃ iti haridāsa-dhṛta-pāṭhāntaraḥ.}	NOTE: {iti sahasA nigadantam iti haridAsa--DRta--pAWa-antaraH.}
   rādhā jagāda sādaram idam ānandena govindam || GG_12.16 ||	rADA jagAda sa-Adaram idam Anandena govindam || Gu-_12.16 ||
   || prabandhaḥ 24 ||	|| prabanDaH 24 ||
   rāmakari-rāga-yati-tālābhyāṃ gīyate |	rAma-kari--rAga-yati--tAlAByAm gIyate |
   kuru yadu-nandana candana-śiśiratareṇa kareṇa payodhare |	kuru yadu-nandana candana-SiSiratareNa kareNa payoDare |
   mṛga-mada-patrakam atra mano-bhava-maṅgala-kalaśa-sahodare || GG_12.17 ||	mRga-mada--patrakam atra mano-Bava--maFgala--kalaSa--sahodare || Gu-_12.17 ||
   nijagāda sā yadu-nandane krīḍati hṛdaya-nandane ||dhruva||||	nijagAda sA yadu-nandane krIxati hRdaya-nandane ||Druva-||||
   ali-kula-gañjanam añjanakaṃ rati-nāyaka-sāyaka-mocane |	ali-kula---gaQjanam aQjanakam rati-nAya-ka-sAyaka--mocane |
   NOTE: {gañjana-sañjanakaṃ iti haridāsasya pāṭhaḥ.}	NOTE: {gaQjana--saQjanakam iti haridAsasya pAWaH.}
   tvad-adhara-cumbana-lambita-kajjalam ujjvalaya priya locane || GG_12.18 ||	tvad--aDara--cumbana--lambita-kajjalam ujjvalaya priya locane || Gu-_12.18 ||
   nayana-kuraṅga-taraṅga-vikasa-nirāsa-kare śruti-maṇḍale |	nayana--kuraFga--taraFga-vikasa--nirAsa--kare Sruti--maNxale |
   manasija-pāśa-vilāsa-dhare śubha-veśa niveśaya kuṇḍale || GG_12.19 ||	manasija--pASa--vilAsa--Dare SuBa-veSa niveSaya kuNxale || Gu-_12.19 ||
   bhramara-cayaṃ racayantam upari ruciraṃ suciraṃ mama sammukhe |	Bramara--cayam racayantam upari ruciram su-ciram mama sammuKe |
   jita-kamale vimale parikarmaya narma-janakam alakaṃ mukhe || GG_12.20 ||	jita--kamale vimale parikarmaya narma--janakam alakam muKe || Gu-_12.20 ||
   mṛga-mada-rasa-valitaṃ lalitaṃ kuru tilakam alika-rajani-kare |	mRga-mada--rasa-valitam lalitam kuru tilakam alika--raja-ni-kare |
   vihita-kalaṅka-kalaṃ kamalānana viśramita-śrama-sīkare || GG_12.21 ||	vihita--kalaFka-kalam kamala-Anana viSramita---Srama-sIkare || Gu-_12.21 ||
   mama rucire cikure kuru mānada manasija-dhvaja-cāmare |	mama rucire cikure kuru mAnada manasija--Dvaja--cAmare |
   rati-galite lalite kusumāni śikhaṇḍi-śikhaṇḍaka-ḍāmare || GG_12.22 ||	rati-galite lalite kusumAni SiKaNxi--SiKaNxaka--xAmare || Gu-_12.22 ||
   sarasa-ghane jaghane mama śambara-dāraṇa-vāraṇa-kandare |	sarasa--Gane jaGane mama Sambara--dAraNa--vAraNa--kandare |
   maṇi-raśanā-vasanābharaṇāni śubhāśaya vāsaya sundare || GG_12.23 ||	maNi-raSanA--vasana-ABaraNAni SuBa-ASaya vAsaya sundare || Gu-_12.23 ||
   śrī-jayadeva-vacasi rucire sadayaṃ hṛdayaṃ kuru maṇḍane |	SrI-jayadeva--vacasi rucire sa-dayam hRdayam kuru maNxane |
   hari-caraṇa-smaraṇāmṛta-nirmita-kali-kaluṣa-jvara-khaṇḍane || GG_12.24 ||	hari-caraNa-smaraNa-amRta--nirmita--kali-kaluza--jvara---KaNxane || Gu-_12.24 ||
   racaya kucayoś citraṃ patraṃ kuruṣva kapolayor ghaṭaya jaghane kāñcīṃ	racaya kucayoH citram patram kuruzva kapolayoH Gawaya jaGane kAQcIm
   mugdha-srajā kavarī-bharaṃ |	mugDa-srajA kavarI--Baram |
   NOTE: {patraṃ citraṃ iti haridāsaḥ.}	NOTE: {patram citram iti haridAsaH.}
   NOTE: {kāñcīm añca srajā iti haridāsaḥ.}	NOTE: {kAQcIm aQca srajAH iti haridAsaH.}
   kalaya valaya-śreṇīṃ pāṇau pade maṇi-nūpurāv iti nigaditaḥ prītaḥ	kalaya valaya--SreNIm pANO pade maNi-nUpurO iti nigaditaH prItaH
   pitāmbaro'pi tathākarot || GG_12.25 ||	pitA-ambaraH-api taTA-akarot || Gu-_12.25 ||
   paryaṅkī-kṛta-nāga-nāyaka-phaṇā-śreṇī-maṇīnāṃ gaṇe	paryaFkI-kRta-nAga-nAyaka-PaNA--SreNI-maNInAm gaNe
   saṅkrānta-pratibimba-saṃvalanayā bibhrad-vibhu-prakriyām |	saFkrAnta--pratibimba--saMvalanayA biBrat--viBu--prakriyAm |
   pādāmbho-ruha-dhāri-vāridhi-sutām akṣṇāṃ didṛkṣuḥ śataiḥ kāya-vyūham	pAda-amBaH--ruha--DAri-vAriDi--sutAm akzNAm didRkzuH SatEH kAya--vyUham
   iva-carann apacitau bhūyo hariḥ pātu vaḥ || GG_12.26 ||	iva-caran apacitO BUyas hariH pAtu vaH || Gu-_12.26 ||
   NOTE: {upacitī-bhūto iti haridāsaḥ.}	NOTE: {upacitI--BUtaH iti haridAsaH.}
   tvām aprāpya mayi svayaṃvara-parāṃ kṣīroda-tīrodare śaṅke sundari	tvAm aprApya mayi svayaMvara--parAm kzIroda--tIra-udare SaFke sundari
   kālakūṭam apiban mūḍho mṛḍānī-patiḥ |	kAlakUwam apibat mUXaH mRz-AnI--patiH |
   itthaṃ pūrva-kathābhir anya-manasā vikṣipya vakṣo'ñcalaṃ rādhāyāḥ	itTam pUrva--kaTABiH anya-manasA vikzipya vakzaH-aQcalam rADAyAH
   stana-korakopari-milan-netro hariḥ pātu vaḥ || GG_12.27 ||	stana--koraka-upari-milan--netraH hariH pAtu vaH || Gu-_12.27 ||
   NOTE: {padmāyāḥ iti haridāsaḥ.}	NOTE: {padmAyAH iti haridAsaH.}
   yad gāndharva-kalāsu kauśalam anudhyānaṃ ca yad vaiṣṇavaṃ yac	yat gAnDarva--kalAsu kOSalam anuDyAnam ca yat vEzNavam yat-
   chṛṅgāra-viveka-tattva-racanā-kāvyeṣu līlāyitam |	CRFgAra--viveka--tattva--racanA--kAvyezu lIlAyitam |
   tat sarvaṃ jayadeva-paṇḍita-kaveḥ kṛṣṇaika-tānātmanaḥ sānandāḥ	tat sarvam jayadeva--paNxita-kaveH kRzNa-eka-tAn-AtmanaH sa-AnandAH
   pariśodhayantu sudhiyaḥ śrī-gīta-govindataḥ || GG_12.28 ||	pariSoDayantu suDiyaH SrI--gIta-govindataH || Gu-_12.28 ||
   NOTE: {This verse appears as number 26 in the Haridāsa edition.}	NOTE: {ThiH verse appearH aH numbeH 26 id Te HaridAsaH edition.}
   sādhūnāṃ svata eva saṃmatir iha syād eva bhaktyārthinām ālocya	sADUnAm svatas eva saMmatiH iha syAt eva BaktyA-arTinAm Alocya
   grathana-śramaṃ ca vidusām asmin bhaved ādaraḥ |	graTana--Sramam ca vidusAm asmin Bavet AdaraH |
   ye kecit para-kṛty-upaśruti-parās tān arthaye mat-kṛtiṃ bhūyo vīkṣya	ye kecid para-kRti--upaSruti--parAH tAn arTaye mat--kRtim BUyas vIkzya
   vadanto avadyam iha cet sā vāsanā sthāsyati || GG_12.29 ||	vadantaH avadyam iha ced sA vAsanA sTAsyati || Gu-_12.29 ||
   śrī-bhojadeva-prabhavasya rāmādevī-suta-śrī-jayadevakasya |	SrI-Boja-deva--praBavasya rAmA-devI--suta--SrI-jayadevakasya |
   parāśarādi-priya-varga-kaṇṭhe śrī-gīta-govinda-kavitvam astu || GG_12.30	parASara-Adi-priya-varga--kaNWe SrI--gIta-govinda--kavi-tvam astu || Gu-_12.30
   NOTE: {bandhu iti ha-pāṭhaḥ.}	NOTE: {banDu iti ha-pAWaH.}
   NOTE: {This verse is the last in some editions. }	NOTE: {ThiH verse iH Te last id some editiA-uns. }
   sādhvī mādhvīka cintā na bhavati bhavataḥ śarkare karkaśāsi drākṣe	sADvI mADvIka cintA na Bavati BavataH Sarkare karkaSA-asi drAkze
   drakṣyanti ke tvām amṛta mṛtam asi kṣīra nīraṃ rasaste |	drakzyanti ke tvAm amRta mRtam asi kzIra nIram rasaH-te |
   mākanda kranda kāntādhara dhara na tulāṃ gaccha yacchanti bhāvaṃ yāvac	mAkanda kranda kAntA-aDara Dara na tulAm gacCa yacCanti BAvam yAvat-
   chṛṅgāra-sāraṃ śubham iva jayadevasya vaidagdhya-vācaḥ || GG_12.31 ||	CRFgAra--sAram SuBam iva jayadevasya vEdagDya--vAcaH || Gu-_12.31 ||
   NOTE: {This verse is not found in Narayana Maharaja's edition of	NOTE: {ThiH verse iH na-ut fount id Narayane Mahara-ja-as edition of
   Gīta-govinda, even though there is a Bāla-bodhinī ṭīkā for it.}	GIta-govinda, even TouG Tere iH a BAla-boDinI wIkA foH it.}
   itthaṃ keli-tatir vihṛtya yamunā-kūle samaṃ rādhayā	itTam keli-tatiH vihRtya yamunA--kUle samam rADayA
   tad-romāvali-mauktikāvali-yuge veṇī-bhramaṃ bibhrati |	tad--roma-Avali-mOktika-Avali--yuge veNI--Bramam biBrati |
   tatrāhlādi-kuca-prayāga-phalayor lipsāvator hastayor vyāpārāḥ	tatra-ahlA-Adi--kuca--prayAga--PalayoH lipsAvatoH hastayoH vyApArAH
   puruṣottamasya dadatu sphītāṃ mudaṃ sampadaṃ || GG_12.32 ||	puruzottamasya dadatu sPItAm mudam sampadam || Gu-_12.32 ||
   NOTE: {This verse does not seem to be in those editions that follow	NOTE: {ThiH verse doeH na-ut seem taH be id Tose editiA-uns Tat fA-ullow
   Bāla-bodhinī. It's in the Kulkarni and Nirnaya-sāgara editions.}	BAla-boDinI. It-as id Te Kulkarni and NiH-naya--sAgaraH editiA-uns.}
   iti śrī-jayadeva kṛtau śrī-śrī-gīta-govinda-mahā-kāvye	iti SrI-jayadeva kRtO SrI--SrI-gIta-govinda--mahA--kAvye
   suprīta-pītāmbaro nāma dvādaśa sargaḥ	suprIta-pItAmbaraH nAma dvAdaSa sargaH
   samāptam idaṃ kāvyam	samAptam idam kAvyam
