   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   ṛ[ṇā]rto vā, ajīvikāmayabhīto vā, mā[rabhayabhīto vā, aśramaṇaḥ	R[Na A]rtaH vA, ajIvika Amaya BItaH vA, mA[ra Baya BItaH vA, aSramaNaH
   śramaṇaprati] jñaḥ, abrahmacārī brahmacārī (ri ) pratijñaḥ,	SramaNa prati] jQaH, abrahmacArI brahmacArI (ri ) pratijQaH,
   atītānāgatapratyutpanneṣvadhvasvagotrasthasya pudgalasyaivameva pravrajyā	atIta anAgata pratyutpannezu aDvasva gotra sTasya pudgalasya evam eva pravrajyA
   veditavyā | na vā śikṣākāmasya pudgalasya pravrajyopasampadbhikṣubhāvaḥ |	veditavyA | na vA SikzA kAmasya pudgalasya pravrajya upasampad Bikzu BAvaH |
   tadanena paryāyeṇānenābhisandhinā arthato nai[ryāṇikato [a]gotrasthaḥ	tat anena paryAyeNa anena aBisanDinA arTataH nE[ryANikataH [a]gotra sTaH
   pudgalaḥ pravrajita] iti saṃkhyāṃ gacchati | idaṃ pañcamamagotrasthasya	pudgalaH pravrajita] iti saMKyAm gacCati | idam paQcamamagotra sTasya
   pudgalasya liṃgam || punaraparamagotrasthaḥ pudgalo yatkiṃcit kuśalaṃ	pudgalasya liMgam || punar aparama gotra sTaH pudgalaH yat kiMcid kuSalam
   karma karoti | (Śbh_Sh: 19) kāyena, vācā, manasā vā tatsarvaṃ	karma karoti | (ŚB_Sh: 19) kAyena, vAcA, manasA vA tat sarvam
   bhavābhiprāyo vā, viśiṣṭamāyatipunarbhavamabhiprārthayamāno bhogābhiprāyo	Bava aBiprAyaH vA, viSizwam Ayati punarBavam aBiprArTayamAnaH Boga aBiprAyaH 
   [vā bhavati | idaṃ ṣaṣṭhamagotrasthasya pudgalasya] liṃgaṃ | evaṃbhāgīyāni	[vA Bavati | idam zazWam agotra sTasya pudgalasya] liMgam | evaMBAgIyAni
   cāsya bahūni liṅgāni samvidyante yaiḥ samanvāgataḥ | aparinirvāṇadharmako	ca asya bahUni liFgAni samvidyante yEH samanvAgataH | aparinirvANa Darma ko
   [a]parinirvāṇadharmaka iti saṃkhyāṃ gacchati ||	[a]pari nirvANa DarmakaH iti saMKyAm gacCati ||
   tatra katame gotrasthāḥ pudgalāḥ | āha | asti gotrasthaḥ pudgalaḥ | gotra	tatra katame gotra sTAH pudgalAH | Aha | asti gotra sTaH pudgalaH | gotra
   eva sthito, nāvatīrṇo na niṣkrāntaḥ [avatīrṇo na niṣkrāntaḥ, avatīrṇo	eva sTito, na avatIrNaH na nizkrAntaH [avatIrNaH na nizkrAntaH, avatIrNaH 
   niṣkrānto], mṛdvindriyo, madhyendriyaḥ, tīkṣṇendriyaḥ, rāgacarito,	nizkrAntaH ], mRdu indriyo, maDya indriyaH, tIkzNa indriyaH, rAga caritaH ,
   dveṣacarito, mohacaritaḥ | akṣaṇopapannaḥ | apramattaḥ, mithyāpratipannaḥ,	dveza carito, moha caritaH | akzaNa upapannaH | apramattaH, miTyA pratipannaH,
   amithyāpratipannaḥ, āvṛto [a]nāvṛtaḥ, dūre, antike [|] paripakvaścā	amiTyA pratipannaH, AvRtaH [a]na AvRtaH, dUre, antike [|] paripakvaH ca a
   [a]paripakvaśca, viśuddhaścāviśuddha[śca [|] ||	[a]paripakvaH ca, viSudDaH ca aviSudDa[H ca [|] ||
   tatra katamo gotrastha eva pudgalaḥ | āha |] yathāpīhaikatyaḥ pudgalo	tatra katamaH gotra sTaH eva pudgalaH | Aha |] yaTA api iha ekatyaH pudgalaH 
   lokottaradharmabījamohāgato bhavati | na ca punaradyāpi labhate	loka uttara Darma bIja moha AgataH Bavati | na ca punar adya api laBate
   satpuruṣasaṃsevāṃ vāgamya, saddharmaśravaṇaṃ vā, tathāgatapravedite	sat puruza saMsevAm vA agamya, sadDarma SravaNam vA, taTAgata pravedite
   dharmavinaye śraddhāṃ ca śīlaṃ ca samādadāti | na śrutamudgṛhaṇāti | na	Darma vinaye SradDAm ca SIlam ca samAdadAti | na Srutam udgRhaNAti | na
   tyāgaṃ bṛṃhayati, na dṛṣṭimṛjūka[roti | ayamucyate gotrastha eva pudgalaḥ	tyAgam bRMhayati, na dRzwim RjUka[roti | ayam ucyate gotra sTaH eva pudgalaH
   a]sya viparyayeṇa śuklapakṣeṇa gotrasthaścāvatīrṇaśca (Śbh_Sh: 20)	a]sya viparyayeNa Sukla pakzeNa gotra sTaH ca avatIrNaH ca (ŚB_Sh: 20)
   veditavyaḥ | ayantu viśeṣo no tu lābhī bhavatyāryamārgasya | tatphalasya	veditavyaH | ayantu viSezaH no tu lABI Bavati Arya mArgasya | tad Palasya
   ca kleśa visaṃyogasya ||	ca kleSa visaMyogasya ||
   katamo gotrasthaścāvatīrṇaśca niṣkrāntaśca || etadevoktvā [a]yaṃ viśeṣaḥ	katamaH gotra sTaH ca avatIrNaH ca nizkrAntaH ca || etat eva uktvA [a]yam viSezaH
   [|] lābhī bhavatyāryamārgasya tatphalasya ca || [|]	[|] lABI Bavati Arya mArgasya tad Palasya ca || [|]
   [tatra mṛdvindriyaḥ pudgalaḥ katamaḥ | yasya nātyarthaṃ jñeye	[tatra mRdu indriyaH pudgalaH katamaH | yasya na atyarTam jQeye
   vastunyālamba]ne atyarthaṃ dhandhavāhīnīndriyāṇi bhavanti | mandavāhīni vā	vastuni Alamba]ne atyarTam DanDavAhIni indriyANi Bavanti | manda vAhIni vA
   [|] śrutamayena vā, cintāmayena vā, bhāvanāmayena vā manasikāreṇa	[|] Sruta mayena vA, cintA mayena vA, BAvanA mayena vA manasikAreNa
   saṃprayuktāni | yaduta śraddhā, vīryaṃ, smṛtiḥ, samādhiḥ | prajñā vā [|]	saMprayuktAni | yat uta SradDA, vIryan, smRtiH, samADiH | prajQA vA [|]
   na samarthāni, na pratibalāni dharmasya vā prativedhāyārthasya vāśuca	na samarTAni, na pratibalAni Darmasya vA prativeDAya arTasya vA aSuca
   prativedhāya | ayamucyate mṛdvindriyaḥ pudgalaḥ ||	prativeDAya | ayam ucyate mRdu indriyaH pudgalaH ||
   madhyendriyaḥ katamaḥ [|] yasya nātyarthaṃ jñeye vastunyālambane	maDya indriyaH katamaH [|] yasya na atyarTam jQeye vastuni Alambane
   dhandhavāhīnīndriyāṇi sarvaṃ pūrvavadvistareṇa vaktavyamayamucyate	DanDa vAhIni indriyANi sarvam pUrvavat vistareNa vaktavyam ayam ucyate
   madhyendriyaḥ pudgalaḥ ||	maDya indriyaH pudgalaH ||
   tīkṣṇe[ndriyaḥ pudgalaḥ] katamaḥ [|] yasya pudgalasya jñeye	tIkzNe[ndriyaH pudgalaH] katamaH [|] yasya pudgalasya jQeye
   vastunyālambane [a]dhandhavāhīnīndriyāṇi bhavanti | amandavāhīni [|]	vastuni Alambane [a]DanDa vAhIni indriyANi Bavanti | amanda vAhIni [|]
   śrutamayena [vā, (Śbh_Sh: 21) cintāmayena vā, bhāvanāmayena vā	Sruta mayena [vA, (ŚB_Sh: 21) cintA mayena vA, BAvanA mayena vA
   manasikāreṇa saṃprayuktāni | yaduta śraddhā, vīryaṃ, smṛtiḥ,] samādhiḥ,	manasikAreNa saMprayuktAni | yat uta SradDA, vIryan, smRtiH,] samADiH,
   prajñā vā [|] śaktāni bhavanti dharmasya prativedhāya, arthasya vā āśu ca	prajQA vA [|] SaktAni Bavanti Darmasya prativeDAya, arTasya vA ASu ca
   prativedhāya | [tanu] vā [|] ayamucyate tīkṣṇendriyaḥ pudgalaḥ [|]	prativeDAya | [tanu] vA [|] ayam ucyate tIkzNa indriyaH pudgalaH [|]
   rāgacaritaḥ pudgalaḥ katamaḥ | yo raṃjanīye ālambane tīvrarāgaśca	rAga caritaH pudgalaH katamaH | yaH raMjanIye Alambane tIvra rAgaH ca
   bhavatyāyatarāgaśca, ayamucyate [rāgacaritaḥ pudgalaḥ ||	Bavati Ayata rAgaH ca, ayam ucyate [rAga caritaH pudgalaH ||
   dveṣacaritaḥ pudgalaḥ katamaḥ | yaḥ pra] tighasthānīye ālambane	dveza caritaH pudgalaH katamaH | yaH pra] tiGa sTAnIye Alambane
   tīvradveṣaśca bhavatyāyatadveṣaścāyamucyate dveṣacaritaḥ pudgalaḥ ||	tIvra dvezaH ca Bavati Ayatat vezaH ca ayam ucyate dveza caritaH pudgalaH ||
   mohacaritaḥ pudgalaḥ katamaḥ | yo jñeye vastuni tīvramohaśca	moha caritaH pudgalaH katamaH | yaH jQeye vastuni tIvra mohaH ca
   bhavatyāyatamohaścāyamucyate mohacaritaḥ pudgalaḥ ||	Bavati Ayata mohaH ca ayam ucyate moha caritaH pudgalaH ||
   akṣaṇopapannapramatta[mithyāpratipannāśca pudgalāḥ katame | akṣaṇo]	akzaNa upapanna pramatta[miTyA pratipannAH ca pudgalAH katame | akzaNaH ]
   papannāḥ pramattāmithyāpratipannānāvṛtā (pannā anāvṛtā) veditavyā[ḥ] ||	papannAH pramatta AmiTyA pratipanna an AvRtAH (pannAH anAvRtA) veditavyA[H] ||
   dūre pudgalaḥ katamaḥ | asti pudgalaḥ kāladūratayā nirvāṇasya dūre | asti	dUre pudgalaH katamaH | asti pudgalaH kAla dUra tayA nirvANasya dUre | asti
   prayogadūratayā (|) tatra katamaḥ kāladūratayā dūre |	prayoga dUra tayA (|) tatra katamaH kAla dUra tayA dUre |
   anekairjātiśatairanekairjātiśatasahasraiḥ (Śbh_Sh: 22)	anekEH jAti SatEH anekEH jAti Sata sahasrEH (ŚB_Sh: 22)
   [anekajātiśatasahasraiḥ] tataḥ paścād bhavyo [bhavatyāśupratyayalābhāya |	[aneka jAti Sata sahasrEH] tatas paScAt BavyaH [Bavati ASu pratyaya lABAya |
   parinirvāṇāya | tatra | prayogadūratayā pu]dgalo gotra eva kevale sthito	parinirvANAya | tatra | prayoga dUra tayA pu]dgalaH gotraH eva kevale sTitaH 
   bhavati | nāvatīrṇaḥ | sa bhavyo bhavatyāśupratyayalābhāya | parinirvāṇāya	Bavati | na avatIrNaH | sa BavyaH Bavati ASu pratyaya lABAya | parinirvANAya
   [|] sa nirvāṇāyānārabdhaprayogadūratayā [dūratvāt prayoga] kāladūratayā	[|] sa nirvANAya anArabDa prayoga dUra tayA [dUra tvAt prayoga] kAla dUra tayA
   ayamucyate dūre pudgalaḥ || āsanne pudgalaḥ |	ayam ucyate dUre pudgalaH || Asanne pudgalaH |
   (Śbh_Sh: 23)	(ŚB_Sh: 23)
   (Śbh_Sh: 24)	(ŚB_Sh: 24)
   (Śbh_Sh: 25)	(ŚB_Sh: 25)
   II. avatārabhūmiḥ	II. avatAra BUmiH
   ........... yaiḥ ṣaḍbhirbhavyo mṛdukuśalamūlasamanvāgato	........... yEH zaxBiH BavyaH mRdu kuSala mUla samanvAgataH 
   madhyakuśalamūlasamanvāgataḥ | adhimātrakuśalamūlasamanvāgataḥ |	maDya kuSala mUla samanvAgataH | aDimAtra kuSala mUla samanvAgataH |
   niṣṭhāprāyogiko, niṣṭhāgataśca |	nizWA prAyogi ko, nizWA gataH ca |
   tatra katamo bhavya eva pudgalaḥ | yo gotrasthāna (naṃ) cā(bhi)dhyāyi(yī)	tatra katamaH BavyaH eva pudgalaH | yaH gotra sTAnaH (naM) ca a(Bi)DyAyi(yI)
   tatprathamatastathāgatapravedite dharmavinaye śraddhāṃ pratilabhate | yā	tat praTamatas taTAgata pravedite Darma vinaye SradDAm pratilaBate | yA
   ca dṛṣṭimṛjūkaroti |	ca dRzwim RjUkaroti |
   tatra katamo mṛdukuśalamūlasamanvāgataḥ | yo gotrasthastena vā	tatra katamaH mRdu kuSala mUla samanvAgataH | yaH gotra sTaH tena vA
   tathāgatapravedite dharmavinaye tatprathamataḥ śraddhā pratilabdhā bhavati	taTAgata pravedite Darma vinaye tat praTamatas SradDA pratilabDA Bavati
   | yāvad dṛṣṭi ṛjūkṛtā [|] ayamucyate mṛdukuśalamūlasamanvāgataḥ [|]	| yAvat dRzwi RjUkRtA [|] ayam ucyate mRdu kuSala mUla samanvAgataH [|]
   (Śbh_Sh: 26)	(ŚB_Sh: 26)
   madhyakuśalamūlasamanvāgato gotrasthaḥ	maDya kuSala mUla samanvAgataH gotra sTaH
   pudgalastatprathamatastathāgatapravedite dharmavinaye śraddhāṃ	pudgalaH tat praTamatas taTAgata pravedite Darma vinaye SradDAm
   pratilabhya, yāvaddṛṣṭimṛjuṃ kṛtvā ekamvā (kaṃ vā), dve vā, sambahulāni vā	pratilaBya, yAvat dRzwim Rjum kRtvA ekam vA (kam vA), dve vA, sambahulAni vA
   janmānyabhinirvarttayati | viśeṣāye(yai)ti |	janmAni aBinirvarttayati | viSezAye(yE)ti |
   ya[ḥ] paraiti | no caramamātmabhāvaṃ pratilabhate | yatra sthitaḥ	ya[H] parEti | no caramam Atma BAvam pratilaBate | yatra sTitaH
   parinirvātyayamucyate | adhimātrakuśalamū lasamanvāgataḥ pudgalaḥ |	parinirvAti ayam ucyate | aDimAtra kuSalamU lasam anvAgataH pudgalaH |
   tatra katamo niṣṭhāprāyogikaḥ pudgalaḥ | yaḥ pudgalaścaramamātmabhāvaṃ	tatra katamaH nizWA prAyogikaH pudgalaH | yaH pudgalaH caramam Atma BAvam
   pratilabhyāsravakṣayāya samyagavavādānuśāsanīṃ, saddharmaśravaṇaṃ vā	pratilaBya Asrava kzayAya samyak avavAda anuSAsanIM, sadDarma SravaNam vA
   pratilabhya samyageva prayujyate | na cādhmāyi (yī?) sarveṇa sarvaṃ	pratilaBya samyak eva prayujyate | na ca ADmAyi (yI?) sarveNa sarvam
   sarvathā pratipadyate | āsravakṣayamanuprāpnoti | na niṣṭhāṃ	sarvaTA pratipadyate | Asrava kzayam anuprApnoti | na nizWAm
   gacchatyayamucyate niṣṭhāprāyogikaḥ pudgalaḥ |	gacCati ayam ucyate nizWA prAyogikaH pudgalaH |
   tatra niṣṭhāgataḥ pudgalaḥ katamaḥ [|] yaḥ samyagāveditaḥ samyaganuśiṣṭaḥ	tatra nizWA gataH pudgalaH katamaH [|] yaH samyak AveditaH samyak anuSizwaH
   | yadutāsravakṣayāya tathā tathā pratipadyate | yat sarveṇa sarvaṃ	| yat uta AsravakzayAya taTA taTA pratipadyate | yat sarveNa sarvam
   sarvathā āsravakṣayamanuprāpnoti | kṛtakṛtyo bhavati	sarvaTA Asrava kzayam anuprApnoti | kRtakRtyaH Bavati
   paramaśītībhāvaprāptaḥ [|] ayamucyate niṣṭhāgataḥ pudgalaḥ ||	parama SItIBAva prAptaH [|] ayam ucyate nizWA gataH pudgalaH ||
   tatra bhavyajātīyaḥ pudgalo gotraṃ niśritya, gotraṃ pratiṣṭhāya mṛdūni	tatra Bavya jAtIyaH pudgalaH gotram niSritya, gotram pratizWAya mRdUni
   kuśalamūlāni pratilabhate | avatīrṇaśca (Śbh_Sh: 27) bhavati | so	kuSala mUlAni pratilaBate | avatIrNaH ca (ŚB_Sh: 27) Bavati | saH 
   [a]vatīrṇo mṛdūni kuśalamūlāni niśritya, pratiṣṭhāya, madhyāni	[a]vatIrNaH mRdUni kuSala mUlAni niSritya, pratizWAya, maDyAni
   kuśalamūlāni pratilabhatetaiścātmānamparipācayati | sa tathā paripacyamāno	kuSala mUlAni pratilaBa tetEH ca AtmAnam paripAcayati | sa taTA paripacyamAnaH 
   madhyāni kuśalamūlāni niśritya pratiṣṭhāyādhimātrāṇi kuśalamūlāni	maDyAni kuSala mUlAni niSritya pratizWAya aDimAtrANi kuSala mUlAni
   pratilabhate | paripakvaśca bhavati | so	pratilaBate | paripakvaH ca Bavati | saH 
   [a]dhimātrakuśalamūlahetusamudāgatenātmabhāvapratilambhena yadā	[a]Di mAtra kuSala mUla hetu samudAgatena Atma BAva pratilamBena yadA
   sambhārañca samudānayati | cittaikāgratāñca spṛśati | samyaktvañca	samBAraQca samudAnayati | citta ekAgra tAQca spRSati | samyak tvaQca
   nyāmamavakrāmati | strota āpattiphalamvā, sakṛdāgāmiphalaṃ vā	nyAmam avakrAmati | strotaH Apatti PalamvA, sakRdAgAmi Palam vA
   [a]nāgāmiphalamvā sākṣātkaroti | no tvagraphalamarhatvaṃ(ttvaṃ)	[a]nAgAmi Palam vA sAkzAtkaroti | no tu agra Palam arha tvaM(t tvaM)
   sākṣātkaroti | tadā niṣṭhāprāyogika ityucyate |	sAkzAtkaroti | tadA nizWA prAyogikaH iti ucyate |
   yadā tu sarvakleśaprahāṇamarhatvaṃ (ttvaṃ) sākṣātkaroti | tadā niṣṭhāgato	yadA tu sarva kleSa prahANam arha tvam (ttvaM) sAkzAtkaroti | tadA nizWA gataH 
   bhavati ||	Bavati ||
   saiṣā sādimadhyaparyavasānā sarvaśrāvakacaryā ṣaḍbhiḥ pudgalavyavasthānaiḥ	sA ezA sAdi maDya paryavasAnA sarva SrAvaka caryA zaxBiH pudgala vyavasTAnEH
   sandarśitā bhavati | tatra gotreṇādi[ḥ] śrāvakacaryāyāḥ sandarśitaḥ |	sandarSitA Bavati | tatra gotreNa Adi[H] SrAvaka caryAyAH san darSitaH |
   niṣṭhāyā (niṣṭhayā) paryavasānaṃ | tadanyena madhyaṃ saṃdarśitaṃ ||	nizWAyAH (nizWayA) paryavasAnam | tad anyena maDyam saMdarSitam ||
   tatrāvatīrṇānāṃ pudgalānāṃ kiṃ parimāṇaniyatastulyaśca sarveṣāṃ kālo	tatra avatIrNAnAm pudgalAnAm kim parimANa niyataH tulyaH ca sarvezAm kAlaH 
   bhavati | parinirvāṇāyāhosvidaparimāṇaniyataḥ | (Śbh_Sh: 28)	Bavati | parinirvANAya Ahosvit aparimANa niyataH | (ŚB_Sh: 28)
   atulyaniścayaḥ sarveṣāṃ kālo bhavati | na parinirvāṇāya āho naiṣāṃ	atulya niScayaH sarvezAm kAlaH Bavati | na parinirvANAya Aho na ezAm
   parimāṇaniyataḥ kālo nāpi tulyaḥ sarveṣāmparinirvāṇāya [|] api tu	parimANa niyataH kAlaH na api tulyaH sarvezAm parinirvANAya [|] api tu
   yathāyogameṣāṃ yathāpratyayalābhaṃ parinirvāṇaṃ veditavyaṃ |	yaTAyogam ezAm yaTApratyaya lABam parinirvANam veditavyam |
   keṣāṃciccireṇa, keṣāṃciccāticireṇa, keṣāṃcitpunaḥ kṣiprameva parinirvāṇaṃ	kezAMcid cireNa, kezAMcid ca aticireNa, kezAMcid punar kzipram eva parinirvANam
   bhavatyapi tu yo gotrasthaḥ pudgalaḥ [sa] sarvakṣipraṃ parinirvāti | so	Bavati api tu yaH gotra sTaH pudgalaH [sa] sarva kzipram parinirvAti | saH 
   [a]vaśyaṃ trīṇi janmānyabhi nirvarttayati | ekasminnavataratyekasmiṃ	[a]vaSyam trINi janmAni aBi nirvarttayati | ekasmin= avatarati ekasmin
   (smin) parimucyate | ekāsmiṃ(smin) janmani paripakvo bhavati | tatraiva ca	(smin) parimucyate | ekAsmin(smin) janmani paripakvaH Bavati | tatra eva ca
   parinirvāti | no cet parinirvāti | so [a]vaśyaṃ śaikṣakālaṃ karoti |	parinirvAti | no ced parinirvAti | saH [a]vaSyam SEkza kAlam karoti |
   parañca saptabhavānabhinirvarttayatīdamucyate avatāravyavasthānaṃ |	paraQca sapta BavAn aBinirvarttayati idam ucyate avatAra vyavasTAnam |
   avatīrṇasya pudgalasya katamāni liṃgāni | iha gotrasthaḥ pudgalaḥ	avatIrNasya pudgalasya katamAni liMgAni | iha gotra sTaH pudgalaH
   avatīrṇamātra eva yadā janmāntaraparivarttenāpi smṛtisaṃpramoṣaṃ	avatIrNa mAtraH eva yadA janma antara parivarttena api smRti saMpramozam
   pratilabhate | āśāstari dharmavinaye vā sati samvidyamāne [a]pi durākhyāte	pratilaBate | ASAstari Darma vinaye vA sati samvidyamAne [a]pi durAKyAte
   dharmavinaye svākhyāte [a]pyanekaparyāyeṇa durākhyātasya dharmavinayasya	Darma vinaye su AKyAte [a]pi aneka paryAyeNa durAKyAtasya Darma vinayasya
   varṇaṃ stutimānuśansaṃ(śaṃsaṃ) śrutvā nāvatarati | na pravrajati |	varNam stutima anuSan san(SaMsan) SrutvA na avatarati | na pravrajati |
   pravrajito [a]pyavatīrṇo (Śbh_Sh: 29) laghu laghveva pratyudāvarttakhe |	pravrajitaH [a]pi avatIrNaH (ŚB_Sh: 29) laGu laGu eva pratyudAvarttaKe |
   prakṛtyaiva cāsya tatrārocakaḥ saṃtiṣṭhate | madhuni jātasyeva ca	prakRtyA eva ca asya tatra arocakaH saMtizWate | maDuni jAtasya iva ca
   prāṇakasya śuktiprakṣiptasya kāmopabhogino vā karde(nde ?)ṇa,	prANakasya Sukti prakziptasya kAma upaBoginaH vA karde(nde ?)Na,
   syandanikāyāmvā prakṣiptasya yathāpi tatpūrvakeṇaiva hetubalādhānena	syandanikAyAm vA prakziptasya yaTA api tad pUrvakeNa eva hetu bala ADAnena
   svākhyātasya vā punardharmavinayasya naiva varṇa[ṃ] stutimānuśansaṃ	su AKyAtasya vA punar Darma vinayasya na eva varNa[M] stutima anuSan sam
   (śaṃsaṃ) śrṛṇoti vā kaṇḍati vā | alpamātramavaramātramvā śrutvā, aśrutvā	(SaMsaM) SrRNoti vA kaNxati vA | alpa mAtram avara mAtram vA SrutvA, aSrutvA
   vā laghu laghvevāvatarati pravrajati vā [|] tathā pravrajitaścāvatīrṇo na	vA laGu laGu eva avatarati pravrajati vA [|] taTA pravrajitaH ca avatIrNaH na
   pratyudāvarttate | prakṛtyaiva cāsya tatra ruciḥ saṃtiṣṭhate |	pratyudAvarttate | prakRtyA eva ca asya tatra ruciH saMtizWate |
   madhuprāṇakasya vā madhuni, kāmopabhogino vā praṇītāyāṃ kāmacaryāyāṃ |	maDu prANakasya vA maDuni, kAma upaBoginaH vA praNItAyAm kAma caryAyAm |
   yathāpi tatpūrvakeṇāpi hetubalādhānena | idaṃ prathamamavatīrṇasya	yaTA api tad pUrvakeNa api hetu bala ADAnena | idam praTamam avatIrNasya
   pudgalasya liṅgam ||	pudgalasya liFgam ||
   punaraparamavatīrṇaḥ pudgalaḥ (lo) na tāvadvisaṃyukto	punar aparam avatIrNaH pudgalaH (lo) na tAvat visaMyuktaH 
   bhavatyapāyakṣaṇagamanīyaiḥ kleśaiḥ | na ca punarakṣaṇepūpapadyate |	Bavati apAya kzaNa gamanIyEH kleSEH | na ca punar akzaNepu upapadyate |
   avatīrṇaṃ ca pudgalaṃ sandhāyoktaṃ bhagavatā |	avatIrNam ca pudgalam sanDAya uktam BagavatA |
   samyagdṛṣṭiradhimātrā laukikī yasya vidyate | api jātisahasrāṇi nāsau	samyak dRzwiH aDimAtrA lOkikI yasya vidyate | api jAti sahasrANi na asO
   gacchati durgatim ||	gacCati durgatim ||
   sa yadā adhimātreṣu kuśalamūleṣu pratiṣṭho bhavatyanupūrveṇa	sa yadA aDimAtrezu kuSala mUlezu pratizWaH Bavati anupUrveNa
   paripākagamanīyeṣu tathā nākṣaṇeṣūpapadyate [|] (Śbh_Sh: 30) na tvanyeṣu |	paripAka gamanIyezu taTA na akzaNezu upapadyate [|] (ŚB_Sh: 30) na tu anyezu |
   idaṃ dvitīyamavatīrṇasya pudgalasya liṅgam |	idam dvitIyam avatIrNasya pudgalasya liFgam |
   punaraparamavatīrṇa[ḥ] pudgalaḥ buddhasya vā, dharmasya vā, saṃghasya vā	punar aparam avatIrNa[H] pudgalaH budDasya vA, Darmasya vA, saMGasya vA
   guṇāṃcchrutvā, anusmṛtya vā, labhate cetasaḥ prasādamudāraṃ, kuśalaṃ,	guNAncSru tvA, anusmRtya vA, laBate cetasaH prasAdam udAran, kuSalaM,
   naiṣkrabhyopasaṃhitaṃ, bhūyo bhūyastenālambanena, prasādadravacittatayā	nEzkraBya upasaMhitaM, BUyas BUyas tena Alambanena, prasAda drava citta tayA
   astraprapātādromāṃcā[dīni] pratilabhate idaṃ tṛtīyamavatīrṇasya pudgalasya	astra prapAtAt romAMcA[ dIni] pratilaBate idam tRtIyam avatIrNasya pudgalasya
   (pudgalasya) liṅgam |	(pudgalasya) liFgam |
   punaraparamavatīrṇaḥ pudgalaḥ prakṛtyaiva tīvreṇa hrīvyapatrāpyeṇa	punar aparam avatIrNaH pudgalaH prakRtyA eva tIvreNa hrI vyapatrApi eNa
   samanvāgato bhavati | yaduta sarvasāvaddyasthānasattā (mu)dācāreṣvidaṃ	samanvAgataH Bavati | yat uta sarva sAvaddya sTAna sattA (mu)da AcArezu idam
   caturthamavatīrṇasya pudgalasya liṅgam ||	caturTam avatIrNasya pudgalasya liFgam ||
   punaraparamavatīrṇaḥ pudgalaḥ chandiko bhavati | tīvracha (ccha)ndaḥ	punar aparam avatIrNaH pudgalaH CandikaH Bavati | tIvraCaH (cCa)ndaH
   uddeśe, svādhyāye, paripṛcchāyāṃ, yoge, manasikāre, kiṃkuśalagaveṣī	uddeSe, svADyAye, paripRcCAyAn, yoge, manasikAre, kiMkuSala gavezI
   bhavati | idaṃ pañcamamavatīrṇasya pudgalasya liṅgam ||	Bavati | idam paQcamam avatIrNasya pudgalasya liFgam ||
   punaraparamavatīrṇaḥ pudgalaḥ sarvakarmānteṣvanavadyeṣu sa[rvasa]mādāneṣu	punar aparam avatIrNaH pudgalaH sarva karmAntezu anavadyezu sa[rvasa]m AdAnezu
   kuśalapakṣaprayogeṣu dṛḍhārambhaśca bhavati sthirārambhaśca	kuSala pakza prayogezu dRXa AramBaH ca Bavati sTira AramBaH ca
