   uparivibhāgaḥ	upari viBAgaH
   yadā janmajarāduḥ khavyādhīnāmekabheṣajam /	yadA janma jarAduH Kavya aDInAm eka Bezajam /
   kevalaṃ brahmavijñānaṃ jāyate 'sau tadā śivaḥ // KūrmP_2,2.36 //	kevalam brahma vijQAnam jAyate asO tadA SivaH // KUrmP_2,2.36 //
   yathā nadīnadā loke sāgareṇaikatāṃ yayuḥ /	yaTA nadInadAH loke sAgareNa eka tAm yayuH /
   tadvadātmākṣareṇāsau niṣkalenaikatāṃ vrajet // KūrmP_2,2.37 //	tadvat Atma akzareNa asO nizkalena eka tAm vrajet // KUrmP_2,2.37 //
   tasmād vijñānamevāsti na prapañco na saṃsṛtiḥ /	tasmAt vijQAnam eva asti na prapaQcaH na saMsRtiH /
   ajñānenāvṛtaṃ loko vijñānaṃ tena muhyati // KūrmP_2,2.38 //	ajQAnena AvRtam lokaH vijQAnam tena muhyati // KUrmP_2,2.38 //
   tajjñānaṃ nirmalaṃ sūkṣmaṃ nirvikalpaṃ yadavyayam /	tat jQAnam nirmalam sUkzmam nirvikalpam yat avyayam /
   ajñānamitarat sarvaṃ vijñānamiti me matam // KūrmP_2,2.39 //	ajQAnam itarat sarvam vijQAnam iti me matam // KUrmP_2,2.39 //
   etad vaḥ paramaṃ sāṃkhyaṃ bhāṣitaṃ jñānamuttamam /	etat vaH paramam sAMKyam BAzitam jQAnam uttamam /
   sarvavedāntasāraṃ hi yogastatraikacittatā // KūrmP_2,2.40 //	sarva vedAnta sAram hi yogaH tatra ekacitta tA // KUrmP_2,2.40 //
   yogāt saṃjāyate jñānaṃ jñānād yogaḥ pravartate /	yogAt saMjAyate jQAnam jQAnAt yogaH pravartate /
   yogajñānābhiyuktasya nāvāpyaṃ vidyate kvacit // KūrmP_2,2.41 //	yoga jQAna aBiyuktasya na avApyam vidyate kvacid // KUrmP_2,2.41 //
   yadeva yogino yānti sāṃkhyaistadadhigamyate /	yat eva yoginaH yAnti sAMKyEH tat aDigamyate /
   ekaṃ sāṃkhyaṃ ca yogaṃ ca yaḥ paśyati sa tattvavit // KūrmP_2,2.42 //	ekam sAMKyam ca yogam ca yaH paSyati sa tattva vid // KUrmP_2,2.42 //
   anye ca yogino viprā aiśvaryāsaktacetasaḥ /	anye ca yoginaH viprAH ESvarya Asakta cetasaH /
   majjanti tatra tatraiva na tvātmaiṣāmiti śrutiḥ // KūrmP_2,2.43 //	majjanti tatra tatra eva na tu AtmA ezAm iti SrutiH // KUrmP_2,2.43 //
   yattat sarvagataṃ divyamaiśvaryamacalaṃ mahat /	yat tat sarva gatam divyam ESvaryam acalam mahat /
   jñānayogābhiyuktastu dehānte tadavāpnuyāt // KūrmP_2,2.44 //	jQAna yoga aBiyuktaH tu dehAnte tat avApnuyAt // KUrmP_2,2.44 //
   eṣa ātmāhamavyakto māyāvī parameśvaraḥ /	ezaH AtmA aham avyaktaH mAyAvI parameSvaraH /
   kīrtitaḥ sarvavedeṣu sarvātmā sarvatomukhaḥ // KūrmP_2,2.45 //	kIrtitaH sarva vedezu sarva AtmA sarvatomuKaH // KUrmP_2,2.45 //
   sarvakāmaḥ sarvarasaḥ sarvagandho 'jaro 'maraḥ /	sarva kAmaH sarva rasaH sarva ganDaH ajaraH amaraH /
   sarvataḥ pāṇipādo 'hamantaryāmī sanātanaḥ // KūrmP_2,2.46 //	sarvatas pANi pAdaH aham antaryAmI sanAtanaH // KUrmP_2,2.46 //
   apāṇipādo javano grahītā hṛdi saṃsthitaḥ /	apANi pAdaH javanaH grahItA hRdi saMsTitaH /
   acakṣurapi paśyāmi tathākarṇaḥ śṛṇomyaham // KūrmP_2,2.47 //	acakzuH api paSyAmi taTA akarNaH SRNomi aham // KUrmP_2,2.47 //
   vedāhaṃ sarvamevedaṃ na māṃ jānāti kaścana /	veda aham sarvam eva idam na mAm jAnAti kaScana /
   prāhurmahāntaṃ puruṣaṃ māmekaṃ tattvadarśinaḥ // KūrmP_2,2.48 //	prAhuH mahAntam puruzam mAm ekam tattva darSinaH // KUrmP_2,2.48 //
   paśyanti ṛṣayo hetumātmanaḥ sūkṣmadarśinaḥ /	paSyanti RzayaH hetum AtmanaH sUkzma darSinaH /
   nirguṇāmalarūpasya yattadaiśvaryamuttamam // KūrmP_2,2.49 //	nirguNa amala rUpasya yat tat ESvaryam uttamam // KUrmP_2,2.49 //
   yanna devā vijānanti mohitā mama māyayā /	yat na devAH vijAnanti mohitAH mama mAyayA /
   vakṣye samāhitā yūyaṃ śṛṇudhvaṃ brahmavādinaḥ // KūrmP_2,2.50 //	vakzye samAhitAH yUyam SRNuDvam brahma vAdinaH // KUrmP_2,2.50 //
   nāhaṃ praśāstā sarvasya māyātītaḥ svabhāvataḥ /	na aham praSAstA sarvasya mAyA atItaH svaBAvataH /
   prerayāmi tathāpīdaṃ kāraṇaṃ sūrayo viduḥ // KūrmP_2,2.51 //	prerayAmi taTA api idam kAraNam sUrayaH viduH // KUrmP_2,2.51 //
   yanme guhyatamaṃ dehaṃ sarvagaṃ tattvadarśinaḥ /	yat me guhyatamam deham sarvagam tattva darSinaH /
   praviṣṭā mama sāyujyaṃ labhante yogino 'vyayam // KūrmP_2,2.52 //	pravizwAH mama sAyujyam laBante yoginaH avyayam // KUrmP_2,2.52 //
   teṣāṃ hi vaśamāpannā māyā me viśvarūpiṇī /	tezAm hi vaSam ApannA mAyA me viSva rUpiNI /
   labhante paramāṃ śuddhiṃ nirvāṇaṃ te mayā saha // KūrmP_2,2.53 //	laBante paramAm SudDim nirvANam te mayA saha // KUrmP_2,2.53 //
   na teṣāṃ punarāvṛttiḥ kalpakoṭiśatairapi /	na tezAm punarAvRttiH kalpa kowi SatEH api /
   prasādānmama yogīndrā etad vedānuśāsanam // KūrmP_2,2.54 //	prasAdAt mama yogi indrAH etat veda anuSAsanam // KUrmP_2,2.54 //
   nāputraśiṣyayogibhyo dātavyaṃ brahmavādibhiḥ /	na aputra Sizya yogiByaH dAtavyam brahma vAdiBiH /
   maduktametad vijñānaṃ sāṃkhyayogasamāśrayam // KūrmP_2,2.55 //	mad uktam etat vijQAnam sAMKya yoga samASrayam // KUrmP_2,2.55 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge (īśvaragītāsu)	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge (ISvara gIta asu)
   dvitīyo 'dhyāyaḥ	dvitIyaH aDyAyaH
   īśvara uvāca	ISvaraH uvAca
   avyaktādabhavat kālaḥ pradhānaṃ puruṣaḥ paraḥ /	avyaktAt aBavat kAlaH praDAnam puruzaH paraH /
   tebhyaḥ sarvamidaṃ jātaṃ tasmād brahmamayaṃ jagat // KūrmP_2,3.1 //	teByaH sarvam idam jAtam tasmAt brahma mayam jagat // KUrmP_2,3.1 //
   sarvataḥ pāṇipādaṃ tat sarvato 'kṣiśiromukham /	sarvatas pANi pAdam tat sarvatas akzi SiraH muKam /
   sarvataḥ śrutimalloke sarvamāvṛtya tiṣṭhati // KūrmP_2,3.2 //	sarvatas Srutimat loke sarvam AvRtya tizWati // KUrmP_2,3.2 //
   sarvendriyaguṇābhāsaṃ sarvendriyavivarjitam /	sarva indriya guNa ABAsam sarva indriya vivarjitam /
   sarvādhāraṃ sadānandamavyaktaṃ dvaitavarjitam // KūrmP_2,3.3 //	sarva ADAram sat Anandam avyaktam dvEta varjitam // KUrmP_2,3.3 //
   sarvopamānarahitaṃ pramāṇātītagocaram /	sarva upamAna rahitam pramANa atIta gocaram /
   nirvikalpaṃ nirābhāsaṃ sarvāvāsaṃ parāmṛtam // KūrmP_2,3.4 //	nirvikalpam nirABAsam sarva AvAsam para amRtam // KUrmP_2,3.4 //
   abhinnaṃ bhinnasaṃsthānaṃ śāśvataṃ dhru vamavyayam /	aBinnam Binna saMsTAnam SASvatam Dru vama vyayam /
   nirguṇaṃ paramaṃ vyoma tajjñānaṃ sūrayo viduḥ // KūrmP_2,3.5 //	nirguNam paramam vyoma tat jQAnam sUrayaH viduH // KUrmP_2,3.5 //
   sa ātmā sarvabhūtānāṃ sa bāhyābhyantaraḥ paraḥ /	saH AtmA sarva BUtAnAm sa bAhya aByantaraH paraH /
   so 'haṃ sarvatragaḥ śānto jñānātmā parameśvaraḥ // KūrmP_2,3.6 //	saH aham sarvatragaH SAntaH jQAna AtmA parameSvaraH // KUrmP_2,3.6 //
   mayā tatamidaṃ viśvaṃ jagadavyaktamūrtinā /	mayA tatam idam viSvam jagat avyakta mUrtinA /
   matsthāni sarvabhūtāni yastaṃ veda sa vedavit // KūrmP_2,3.7 //	mad sTAni sarva BUtAni yaH tam veda sa veda vid // KUrmP_2,3.7 //
   pradhānaṃ puruṣaṃ caiva tattvadvayamudāhṛtam /	praDAnam puruzam ca eva tattva dvayam udAhRtam /
   tayoranādiruddiṣṭaḥ kālaḥ saṃyojakaḥ paraḥ // KūrmP_2,3.8 //	tayoH anAdiH uddizwaH kAlaH saMyojakaH paraH // KUrmP_2,3.8 //
   trayametadanādyantamavyakte samavasthitam /	trayam etat anAdi antam avyakte samavasTitam /
   tadātmakaṃ tadanyat syāt tadrūpaṃ māmakaṃ viduḥ // KūrmP_2,3.9 //	tad Atmakam tat anyat syAt tad rUpam mAmakam viduH // KUrmP_2,3.9 //
   mahadādyaṃ viśeṣāntaṃ saṃprasūte 'khilaṃ jagat /	mahat Adyam viSeza antam saMprasUte aKilam jagat /
   yā sā prakṛtiruddiṣṭā mohinī sarvadehinām // KūrmP_2,3.10 //	yA sA prakRtiH uddizwA mohinI sarva dehinAm // KUrmP_2,3.10 //
   puruṣaḥ prakṛtistho hi bhuṅkteyaḥ prākṛtān guṇān /	puruzaH prakRti sTaH hi BuFkteyaH prAkRtAn guNAn /
   ahaṅkāravimuktatvāt procyate pañcaviṃśakaḥ // KūrmP_2,3.11 //	ahaFkAra vimukta tvAt procyate paQcaviMSakaH // KUrmP_2,3.11 //
   ādyo vikāraḥ prakṛtermahānātmeti kathyate /	AdyaH vikAraH prakRteH mahAn AtmA iti kaTyate /
   vijñānaśaktirvijñātā hyahaṅkārastadutthitaḥ // KūrmP_2,3.12 //	vijQAna SaktiH vijQAtA hi ahaFkAraH tad utTitaH // KUrmP_2,3.12 //
   eka eva mahānātmā so 'haṅkāro 'bhidhīyate /	ekaH eva mahAn AtmA saH ahaFkAraH aBiDIyate /
   sa jīvaḥ so 'ntarātmeti gīyate tattvacintakaiḥ // KūrmP_2,3.13 //	sa jIvaH saH antarAtmA iti gIyate tattva cintakEH // KUrmP_2,3.13 //
   tena vedayate sarvaṃ sukhaṃ duḥkhaṃ ca janmasu /	tena vedayate sarvam suKam duHKam ca janmasu /
   sa vijñānātmakastasya manaḥ syādupakārakam // KūrmP_2,3.14 //	sa vijQAna AtmakaH tasya manaH syAt upakArakam // KUrmP_2,3.14 //
   tenāvivekatastasmāt saṃsāraḥ puruṣasya tu /	tena avivekataH tasmAt saMsAraH puruzasya tu /
   sa cāvivekaḥ prakṛtau saṅgāt kālena so 'bhavat // KūrmP_2,3.15 //	sa ca avivekaH prakRtO saFgAt kAlena saH aBavat // KUrmP_2,3.15 //
   kālaḥ sṛjati bhūtāni kālaḥ saṃharati prajāḥ /	kAlaH sRjati BUtAni kAlaH saMharati prajAH /
   sarve kālasya vaśagā na kālaḥ kasyacid vaśe // KūrmP_2,3.16 //	sarve kAlasya vaSagAH na kAlaH kasyacid vaSe // KUrmP_2,3.16 //
   so 'ntarā sarvamevedaṃ niyacchati sanātanaḥ /	saH antarA sarvam eva idam niyacCati sanAtanaH /
   procyate bhagavān prāṇaḥ sarvajñaḥ puruṣottamaḥ // KūrmP_2,3.17 //	procyate BagavAn prANaH sarvajQaH puruzottamaH // KUrmP_2,3.17 //
   sarvendriyebhyaḥ paramaṃ mana āhurmanīṣiṇaḥ /	sarva indriyeByaH paramam manaH AhuH manIziNaH /
   manasaścāpyahaṅkāramahaṅkārānmahān paraḥ // KūrmP_2,3.18 //	manasaH ca api ahaFkAram ahaFkArAt mahAn paraH // KUrmP_2,3.18 //
   mahataḥ paramavyaktamavyaktāt puruṣaḥ paraḥ /	mahataH param avyaktam avyaktAt puruzaH paraH /
   puruṣād bhagavān prāṇastasya sarvamidaṃ jagat // KūrmP_2,3.19 //	puruzAt BagavAn prANaH tasya sarvam idam jagat // KUrmP_2,3.19 //
   prāṇāt parataraṃ vyoma vyomātīto 'gnirīśvaraḥ /	prANAt parataram vyoma vyoma atItaH agniH ISvaraH /
   so 'haṃ sarvatragaḥ śānto jñānātmā parameśvaraḥ /	saH aham sarvatragaH SAntaH jQAna AtmA parameSvaraH /
   nāsti mattaḥ paraṃ bhūtaṃ māṃ vijñāya vimucyate // KūrmP_2,3.20 //	na asti mattaH param BUtam mAm vijQAya vimucyate // KUrmP_2,3.20 //
   nityaṃ hi nāsti jagati bhūtaṃ sthāvarajaṅgamam /	nityam hi na asti jagati BUtam sTAvara jaFgamam /
   ṛte māmekamavyaktaṃ vyomarūpaṃ maheśvaram // KūrmP_2,3.21 //	Rte mAm ekam avyaktam vyoma rUpam maheSvaram // KUrmP_2,3.21 //
   so 'haṃ sṛjāmi sakalaṃ saṃharāmi sadā jagat /	saH aham sRjAmi sakalam saMharAmi sadA jagat /
   māyī māyāmayo devaḥ kālena saha saṅgataḥ // KūrmP_2,3.22 //	mAyI mAyA mayaH devaH kAlena saha saFgataH // KUrmP_2,3.22 //
   matsannidhāveṣa kālaḥ karoti sakalaṃ jagat /	mad sanniDO= eza kAlaH karoti sakalam jagat /
   niyojayatyanantātmā hyetad vedānuśāsanam // KūrmP_2,3.23 //	niyojayati ananta AtmA hi etat veda anuSAsanam // KUrmP_2,3.23 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge (īśvaragītāsu)	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge (ISvara gIta asu)
   tṛtīyo 'dhyāyaḥ	tRtIyaH aDyAyaH
   īśvara uvāca	ISvaraH uvAca
   vakṣye samāhitā yūyaṃ śṛṇudhvaṃ brahmavādinaḥ /	vakzye samAhitAH yUyam SRNuDvam brahma vAdinaH /
   māhātmyaṃ devadevasya yenedaṃ saṃpravartate // KūrmP_2,4.1 //	mAhAtmyam devadevasya yena idam saMpravartate // KUrmP_2,4.1 //
   nāhaṃ tapobhirvividhairna dānena na cejyayā /	na aham tapoBiH viviDEH na dAnena na ca ijyayA /
   śakyo hi puruṣairjñātumṛte bhaktimanuttamām // KūrmP_2,4.2 //	SakyaH hi puruzEH jQAtum Rte Baktim anuttamAm // KUrmP_2,4.2 //
   ahaṃ hi sarvabhāvānāmantastiṣṭhāmi sarvagaḥ /	aham hi sarva BAvAnAm antar tizWAmi sarva gaH /
   māṃ sarvasākṣiṇaṃ loko na jānāti munīśvarāḥ // KūrmP_2,4.3 //	mAm sarva sAkziNam lokaH na jAnAti muni ISvarAH // KUrmP_2,4.3 //
   yasyāntarā sarvamidaṃ yo hi sarvāntaraḥ paraḥ /	yasya antarA sarvam idam yaH hi sarva antaraH paraH /
   so 'handhātā vidhātā ca kālo 'gnirviśvatomukhaḥ // KūrmP_2,4.4 //	saH ahanDAtA viDAtA ca kAlaH agniH viSvatomuKaH // KUrmP_2,4.4 //
   na māṃ paśyanti munayaḥ sarve 'pi tridivaukasaḥ /	na mAm paSyanti munayaH sarve api tridivOkasaH /
   brahmā ca manavaḥ śakro ye cānye prathitaujasaḥ // KūrmP_2,4.5 //	brahmA ca manavaH SakraH ye ca anye praTita ojasaH // KUrmP_2,4.5 //
   gṛṇanti satataṃ vedā māmekaṃ parameśvaram /	gRNanti satatam vedAH mAm ekam parameSvaram /
   yajanti vividhairagniṃ brāhmaṇā vaidikairmakhaiḥ // KūrmP_2,4.6 //	yajanti viviDEH agnim brAhmaNAH vEdikEH maKEH // KUrmP_2,4.6 //
   sarve lokā namasyanti brahmā lokapitāmahaḥ /	sarve lokAH namasyanti brahmA lokapitAmahaH /
   dhyāyanti yogino devaṃ bhūtādhipatimīśvaram // KūrmP_2,4.7 //	DyAyanti yoginaH devam BUta aDipatim ISvaram // KUrmP_2,4.7 //
   ahaṃ hi sarvahaviṣāṃ bhoktā caiva phalapradaḥ /	aham hi sarva havizAm BoktA ca eva Pala pradaH /
   sarvadevatanurbhūtvā sarvātmā sarvasaṃsthitaḥ // KūrmP_2,4.8 //	sarva deva tanuH BUtvA sarva AtmA sarva saMsTitaH // KUrmP_2,4.8 //
   māṃ paśyantīha vidvāṃśo dhārmikā vedavādinaḥ /	mAm paSyanti iha vidvAMSaH DArmikAH veda vAdinaH /
   teṣāṃ sannihito nityaṃ ye bhaktyā māmupāsate // KūrmP_2,4.9 //	tezAm sannihitaH nityam ye BaktyA mAm upAsate // KUrmP_2,4.9 //
   brāhmaṇāḥ kṣatriyā vaiśyā dhārmikā māmupāsate /	brAhmaNAH kzatriyAH vESyAH DArmikAH mAm upAsate /
   teṣāṃ dadāmi tat sthānamānandaṃ paramaṃ padam // KūrmP_2,4.10 //	tezAm dadAmi tat sTAnam Anandam paramam padam // KUrmP_2,4.10 //
   anye 'pi ye vikarmasthāḥ śūdrādyā nīcajātayaḥ /	anye api ye vikarma sTAH SUdra AdyAH nIca jAtayaH /
   bhaktimantaḥ pramucyante kālena mayi saṃgatāḥ // KūrmP_2,4.11 //	BaktimantaH pramucyante kAlena mayi saMgatAH // KUrmP_2,4.11 //
   na madbhaktā vinaśyanti madbhaktā vītakalmaṣāḥ /	na mad BaktAH vinaSyanti mad BaktAH vIta kalmazAH /
   ādāvetat pratijñātaṃ na me bhaktaḥ praṇaśyati // KūrmP_2,4.12 //	AdO= etat pratijQAtam na me BaktaH praNaSyati // KUrmP_2,4.12 //
   yo vai nindati taṃ mūḍho devadevaṃ sa nindati /	yaH vE nindati tam mUXaH devadevam sa nindati /
   yo hi taṃ pūjayed bhaktyā sa pūjayati māṃ sadā // KūrmP_2,4.13 //	yaH hi tam pUjayet BaktyA sa pUjayati mAm sadA // KUrmP_2,4.13 //
   patraṃ puṣpaṃ phalaṃ toyaṃ madārādhanakāraṇāt /	patram puzpam Palam toyam mad ArADana kAraNAt /
   yo me dadāti niyataḥ sa me bhaktaḥ priyo mataḥ // KūrmP_2,4.14 //	yaH me dadAti niyataH sa me BaktaH priyaH mataH // KUrmP_2,4.14 //
   ahaṃ hi jagatāmādau brahmāṇaṃ parameṣṭhinam /	aham hi jagatAm AdO brahmANam paramezWinam /
   vidhāya dattavān vedānaśeṣānātmaniḥ sṛtān // KūrmP_2,4.15 //	viDAya dattavAn vedAn aSezAn AtmaniH sRtAn // KUrmP_2,4.15 //
   ahameva hi sarveṣāṃ yogināṃ gururavyayaḥ /	aham eva hi sarvezAm yoginAm guruH avyayaH /
   dhārmikāṇāṃ ca goptāhaṃ nihantā vedavidviṣām // KūrmP_2,4.16 //	DArmikANAm ca goptA aham nihantA veda vidvizAm // KUrmP_2,4.16 //
   ahaṃ vai sarvasaṃsārānmocako yogināmiha /	aham vE sarva saMsArAt mocakaH yoginAm iha /
   saṃsāraheturevāhaṃ sarvasaṃsāravarjitaḥ // KūrmP_2,4.17 //	saMsAra hetuH eva aham sarva saMsAra varjitaH // KUrmP_2,4.17 //
   ahameva hi saṃhartā straṣṭāhaṃ paripālakaḥ /	aham eva hi saMhartA strazwA aham paripAlakaH /
   māyāvī māmīkā śaktirmāyā lokavimohinī // KūrmP_2,4.18 //	mAyAvI mAmIkA SaktiH mAyA loka vimohinI // KUrmP_2,4.18 //
   mamaiva ca parā śaktiryā sā vidyeti gīyate /	mama eva ca parA SaktiH yA sA vidyA iti gIyate /
   nāśayāmi tayā māyāṃ yogināṃ hṛdi saṃsthitaḥ // KūrmP_2,4.19 //	nASayAmi tayA mAyAm yoginAm hRdi saMsTitaH // KUrmP_2,4.19 //
   ahaṃ hi sarvaśaktīnāṃ pravartakanivartakaḥ /	aham hi sarva SaktInAm pravartaka nivartakaH /
   ādhārabhūtaḥ sarvāsāṃ nidhānamamṛtasya ca // KūrmP_2,4.20 //	ADAra BUtaH sarvAsAm niDAnam amRtasya ca // KUrmP_2,4.20 //
   ekā sarvāntarā śaktiḥ karoti vividhaṃ jagat /	ekA sarva antarA SaktiH karoti viviDam jagat /
   āsthāya brahmāṇo rūpaṃ manmayī madadhiṣṭhitā // KūrmP_2,4.21 //	AsTAya brahmANaH rUpam mad mayI mad aDizWitAH // KUrmP_2,4.21 //
   anyā ca śaktirvipulā saṃsthāpayati me jagat /	anyA ca SaktiH vipulA saMsTApayati me jagat /
   bhūtvā nārāyaṇo 'nanto jagannātho jaganmayaḥ // KūrmP_2,4.22 //	BUtvA nArAyaNaH anantaH jagannATaH jagat mayaH // KUrmP_2,4.22 //
   tṛtīyā mahatī śaktirnihanti sakalaṃ jagat /	tRtIyA mahatI SaktiH nihanti sakalam jagat /
   tāmasī me samākhyātā kālākhyā rudrarūpiṇī // KūrmP_2,4.23 //	tAmasI me samAKyAtA kAla AKyA rudra rUpiNI // KUrmP_2,4.23 //
   dhyānena māṃ prapaśyanti kecijjñānena cāpare /	DyAnena mAm prapaSyanti kecid jQAnena ca apare /
   apare bhaktiyogena karmayogena cāpare // KūrmP_2,4.24 //	apare Bakti yogena karma yogena ca apare // KUrmP_2,4.24 //
   sarveṣāmeva bhaktānāmiṣṭaḥ priyataro mama /	sarvezAm eva BaktAnAm izwaH priyataraH mama /
   yo hi jñānena māṃ nityamārādhayati nānyathā // KūrmP_2,4.25 //	yaH hi jQAnena mAm nityam ArADayati na anyaTA // KUrmP_2,4.25 //
   anye ca ye trayo bhaktā madārādhanakāṅkṣiṇaḥ /	anye ca ye trayaH BaktAH mad ArADana kAFkziNaH /
   te 'pi māṃ prāpnuvantyeva nāvartante ca vai punaḥ // KūrmP_2,4.26 //	te api mAm prApnuvanti eva na Avartante ca vE punar // KUrmP_2,4.26 //
   mayā tatamidaṃ kṛtsanaṃ pradhānapuruṣātmakam /	mayA tatam idam kRtsanam praDAna puruza Atmakam /
   mayyeva saṃsthitaṃ viśvaṃ mayā saṃpreryate jagat // KūrmP_2,4.27 //	mayi eva saMsTitam viSvam mayA saMpreryate jagat // KUrmP_2,4.27 //
   nāhaṃ prerayitā viprāḥ paramaṃ yogamāśritaḥ /	na aham prerayitAH viprAH paramam yogam ASritaH /
   prerayāmi jagatkṛtsnametadyo veda so 'mṛtaḥ // KūrmP_2,4.28 //	prerayAmi jagat kRtsnam etat yaH veda saH amRtaH // KUrmP_2,4.28 //
   paśyāmyaśeṣamevedaṃ vartamānaṃ svabhāvataḥ /	paSyAmi aSezam eva idam vartamAnam svaBAvataH /
   karoti kālo bhagavān mahāyogeśvaraḥ svayam // KūrmP_2,4.29 //	karoti kAlaH BagavAn mahA yoga ISvaraH svayam // KUrmP_2,4.29 //
   yogaḥ saṃprocyate yogī māyā śāstreṣu sūribhiḥ /	yogaH saMprocyate yogI mAyA SAstrezu sUriBiH /
   yogeśvaro 'sau bhagavān mahādevo mahān prabhuḥ // KūrmP_2,4.30 //	yogeSvaraH asO BagavAn mahAdevaH mahAn praBuH // KUrmP_2,4.30 //
   mahattvaṃ sarvatattvānāṃ paratvāt parameṣṭhinaḥ /	mahat tvam sarva tattvAnAm paratvAt paramezWinaH /
   procyate bhagavān brahmā mahān brahmamayo 'malaḥ // KūrmP_2,4.31 //	procyate BagavAn brahmA mahAn brahma mayaH amalaH // KUrmP_2,4.31 //
   yo māmevaṃ vijānāti mahāyogeśvareśvaram /	yaH mAm evam vijAnAti mahA yoga ISvara ISvaram /
   so 'vikalpena yogena yujyate nātra saṃśayaḥ // KūrmP_2,4.32 //	saH avikalpena yogena yujyate na atra saMSayaH // KUrmP_2,4.32 //
   so 'haṃ prerayitā devaḥ paramānandamāśritaḥ /	saH aham prerayitA devaH parama Anandam ASritaH /
   nṛtyāmi yogī satataṃ yastad veda sa vedavit // KūrmP_2,4.33 //	nRtyAmi yogI satatam yaH tat veda sa veda vid // KUrmP_2,4.33 //
   iti guhyatamaṃ jñānaṃ sarvavedeṣu niṣṭhitam /	iti guhyatamam jQAnam sarva vedezu nizWitam /
   prasannacetase deyaṃ dhārmikāyāhitāgnaye // KūrmP_2,4.34 //	prasanna cetase deyam DArmikAya AhitAgnaye // KUrmP_2,4.34 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge (īśvaragītāsu)	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge (ISvara gIta asu)
   caturtho 'dhyāyaḥ	caturTaH aDyAyaH
   vyāsa uvāca	vyAsaH uvAca
   etāvaduktvā bhagavān yogināṃ parameśvaraḥ /	etAvat uktvA BagavAn yoginAm parameSvaraH /
   nanarta paramaṃ bhāvamaiśvaraṃ saṃpradarśayan // KūrmP_2,5.1 //	nanarta paramam BAvam ESvaram saMpradarSayan // KUrmP_2,5.1 //
   taṃ te dadṛśurīśānaṃ tejasāṃ paramaṃ nidhim /	tam te dadRSuH ISAnam tejasAm paramam niDim /
   nṛtyamānaṃ mahādevaṃ viṣṇunā gagane 'male // KūrmP_2,5.2 //	nRtyamAnam mahAdevam vizNunA gagane amale // KUrmP_2,5.2 //
   yaṃ viduryogatattvajñā yogino yatamānasāḥ /	yam viduH yoga tattva jQAH yoginaH yata mAnasAH /
   tamīśaṃ sarvabhūtānāmākaśe dadṛśuḥ kila // KūrmP_2,5.3 //	tam ISam sarva BUtAnAm AkaSe dadRSuH kila // KUrmP_2,5.3 //
   yasya māyāmayaṃ sarvaṃ yenedaṃ preryate jagat /	yasya mAyA mayam sarvam yena idam preryate jagat /
   nṛtyamānaḥ svayaṃ viprairviśveśaḥ khalu dṛśyate // KūrmP_2,5.4 //	nRtyamAnaH svayam viprEH viSveSaH Kalu dRSyate // KUrmP_2,5.4 //
   yat pādapaṅkajaṃ smṛtvā puruṣo 'jñānajaṃ bhayam /	yat pAda paFkajam smRtvA puruzaH ajQAna jam Bayam /
   jahati nṛtyamānaṃ taṃ bhūteśaṃ dadṛśuḥ kila // KūrmP_2,5.5 //	jahati nRtyamAnam tam BUteSam dadRSuH kila // KUrmP_2,5.5 //
   yaṃ vinidrā jitaśvāsāḥ śāntā bhaktisamanvitāḥ /	yam vinidrAH jita SvAsAH SAntAH Bakti samanvitAH /
   jyotirmayaṃ prapaśyanti sa yogī dṛśyate kila // KūrmP_2,5.6 //	jyotiH mayam prapaSyanti sa yogI dRSyate kila // KUrmP_2,5.6 //
   yo 'jñānānmocayet kṣipraṃ prasanno bhaktavatsalaḥ /	yaH ajQAnAt mocayet kzipram prasannaH Bakta vatsalaH /
   tameva mocakaṃ rudramākāśe dadṛśuḥ param // KūrmP_2,5.7 //	tam eva mocakam rudram AkASe dadRSuH param // KUrmP_2,5.7 //
   sahasraśirasaṃ devaṃ sahasracaraṇākṛtim /	sahasra Sirasam devam sahasra caraNa AkRtim /
   sahasrabāhuṃ jaṭilaṃ candrārdhakṛtaśekharam // KūrmP_2,5.8 //	sahasra bAhum jawilam candra arDa kRta SeKaram // KUrmP_2,5.8 //
   vasānaṃ carma vaiyāghraṃ śūlāsaktamahākaram /	vasAnam carma vEyAGram SUla Asakta mahA karam /
   daṇḍapāṇiṃ trayīnetraṃ sūryasomāgnilocanam // KūrmP_2,5.9 //	daNxa pANim trayI netram sUrya soma agni locanam // KUrmP_2,5.9 //
