   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
   kevalavyatirekiṣu kevalānvayiṣu ca sarvatrānugatā āvaśyakī ca /	kevala vyatirekizu kevala anvayizu ca sarvatra anugatA AvaSyakI ca /
   anyathāprayojakatvāpātāt/ heturastu sādhyaṃ māstvi 3 tyevāvyāpteḥ	anyaTA prayojaka tva apAtAt/ hetuH astu sADyam mA astvi 3 ti eva avyApteH
   śaṅkyamānatvāt 4 / na cātmāśraya 5 tvādikamāpādyaṃ	SaFkyamAna tvAt 4 / na ca AtmA ASrayaH 5 tvAdikam Apa Adyam
   apādakasamānādhikaraṇatvena kvacitpramitam/ tathātve 'niṣṭatvāyogāt/ uktaṃ	apAdaka samAna aDikaraNa tvena kvacid pramitam/ taTAtve anizwa tva ayoga at/ uktam
   ca ṭīkākāraiḥ/ na hi kutrāpyātmāśrayādi 6 kaṃ pramāṇasiddhamiti//	ca wIkAkArEH/ na hi kutra api Atma ASraya Adi 6 kam pramANa sidDam iti//
   anopādhikasaṃbandhādirūpavyāptiṃ hitvaitadupādāne ko viśeṣa ityata āha  	anopADika saMbanDa Adi rUpa vyAptim hitvA etat upAdAne kaH viSezaH iti atas Aha  
   iyaṃ ceti// kevalānvayiṣu ceti pararītyā/ siddhānte sarvasya	iyam ca iti// kevala anvayizu ca iti para rItyA/ sidDAnte sarvasya
   vyatirekitvāt/ yadvā	vyatireki tvA at/ yat vA
   deśakālarūpakevalānvayisādhya 7 kahetvapekṣayaitaduktiḥ/	deSa kAla rUpa kevala anvayi sADya 7 kahetu apekzayA etat uktiH/
   ekasādṛśyasaṃbandhidharmahetvabhiprāyā vaitaduktiḥ/ āvaśyakī cetyuktaṃ	eka sAdRSya saMbanDi Darma hetu aBiprAyA vEtaduktiH/ AvaSyakI ca iti uktam
   vyanakti   anyatheti// aprayojakateti// vyāpyatvenābhimatasyeti yojyam /	vyanakti  anyaTA iti// aprayojakatA iti// vyApya tvena aBimatasya iti yojyam /
   iyameva vyāptiryuktetyetavdyatirekamukhenāpyupapādayati    heturiti//	iyam eva vyAptiH yuktA iti etavdyatiH eka muKena api upapAdayati   hetuH iti//
   nanvātmāśrayādau maṇyādyuktasāmānādhikaraṇyaghaṭitavyāptirevāstu	nanu Atma ASraya AdO maNyAdi ukta sAmAnADikaraNya Gawita vyAptiH eva astu
   kimanayetyata āha   na veti// uktaṃ ceti//	kim anayA iti atas Aha  na vA iti// uktam ca iti//
   pramāṇalakṣaṇaṭīkāyāmātmāśrayānyonyāśrayetyādivākyavyākhyānāvasare /	pramANa lakzaNawI kAya amAtma ASraya anyoni ASraya ityAdi vAkya vyAKyAna avasare /
   1.śanadī ṭa.rā. 2.tādyāpādakatarke ga.ṭa.rā. 3.bhūditye ga.rā.	1.Sana dI wa.rA. 2.tA Adya ApAdaka tarke ga.wa.rA. 3.BUt itye  ga.rA.
   4.tvācca ga.rā. 5.yādika ka.ga.rā. 6.dipra ka.ga.rā. 7.dhyahe    ṭha.ḍa.	4.tvAt ca ga.rA. 5.yAdi ka ka.ga.rA. 6.di pra ka.ga.rA. 7.Dyahe   Wa.xa.
   pu    10 nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu   10 nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   nanu    dhūmasyānupapattiḥ kiṃ vahnisāmānyaṃ vinā kiṃ vā parvatīyavanhiṃ	nanu   DUmasya anupapattiH kim vahni sAmAnyam vinA kim vA parvatIyavan him
   vinā/ nādyaḥ/ tayā parvatīyavahnyasiddheḥ/ nāntyaḥ/ parvatīyavahnyasiddhau	vinA/ na AdyaH/ tayA parvatIya vahni asidDeH/ na antyaH/ parvatIya vahni asidDO
   tena vinānupapatterdurjñānatvāt/ siddhau ca tasyā evānumitirūpaphalatvena	tena vinA anupapatteH durjQAna tvAt/ sidDO ca tasyAH eva anumiti rUpa Pala tvena
   tatkāraṇatvāyogāt iti1 / uktaṃ hi khaṇḍane    yato 'nyatvaṃ tatsiddheragre	tad kAraNa tva ayogAt iti1 / uktam hi KaNxane   yatas anya tvam tad sidDeH agre
   tadasiddherita 2 iti cet/ 3 dhūmasya sāmānādhikaraṇyamapi kiṃ	tat asidDa IritaH 2 iti cet/ 3 DUmasya sAmAnADikaraNyam api kim
   vahnisāmānyena kiṃ vā parvatīyavahnineti vikalpya taddūṣaṇayoḥ sāmyāt//	vahni sAmAnyena kim vA parvatIya vahninA iti vikalpya tad dUzaNayoH sAmya at//
   nanu    dhūmasāmānyasya vahnisāmānyena sāmānādhikaraṇyajñānaṃ karaṇam/	nanu   DUma sAmAnyasya vahni sAmAnyena sAmAnADikaraNya jQAnam karaNam/
   vastugatyā parvatīyasya vahnervahnitvena jñānaṃ 4 phalam/ vahneḥ	vastu gatyA parvatIyasya vahneH vahni tvena jQAnam 4 Palam/ vahneH
   parvatīyatvasiddhistu pakṣadharmatābalāditi cetsamamanupapattāvapi//	parvatIya tva sidDiH tu pakza Darma tA balAt iti ced samam anupapattO= api//
   asyāṃ vyāptau bādhakamāśaṅkate    nanviti// asiddhau ajñāne satītyarthaḥ/	asyAm vyAptO bADakam ASaFkate   nanu iti// asidDO ajQAne sati iti arTaH/
   evaṃ siddhāvityapi // tatsiddheragre tadasiddheriti//	evam sidDO= iti api // tad sidDeH agre tad asidDeH iti//
   parvatīyavahnisiddheḥ pūrvaṃ tadvahnyisiddheḥ/ na ca sāmānyasiddhyā	parvatIya vahni sidDeH pUrvam tad vahnyi sidDeH/ na ca sAmAnya sidDyA
   tatsiddhiḥ yato 'nyatvaṃ sāmānyaviśeṣayo 5 rityarthaḥ/ tanmukhena samādhiṃ	tad sidDiH yatas anya tvam sAmAnya viSezayaH 5 riti arTaH/ tad muKena samADim
   vācayituṃ pratibandyottaramāha   dhūmasyeti// yattu    asya	vAcayitum pratibandya uttaram Aha  DUmasya iti// yat tu   asya
   vyatirekavyāptitvena tvanmate 'numānānaṅgatvācceti tadāśaṅkya nirāha  	vyatireka vyApti tvena tvad mate anumAna anaFga tvAt ca iti tat ASaFkya nirAha  
   1. iti padaṃ na  ṭa.rā. 2.tīti ce ga.rā. 3.cenna ka.ga.rā.	1. iti padam na  wa.rA. 2.ti iti ce ga.rA. 3.ced na ka.ga.rA.
   4. tatpha ga.ṭa.rā. 5.na cetyādi nāsti  ṭa.ḍa.	4.  tad Pa ga.wa.rA. 5.na ca ityAdi na asti  wa.xa.
   svate vyāni rūṇam) vyāptivādaḥ pu   11.	svate vyAni rUNam) vyAptivAdaH pu  11.
   na ceyaṃ vyatirekavyāptiḥ/ kevalānvayinyapi sādhyaṃ vinānupapatteḥ	na ca iyam vyatireka vyAptiH/ kevala anvayinI api sADyam vinA anupapatteH
   sadbhāvāt/ vṛṣṭirūpasādhyābhāvavatyadhodeśe pūrarūpasādhanābhāvasyābhāvena	sadBAvAt/ vRzwi rUpa sADya aBAvavatI aDas deSe pUra rUpa sADana aBAvasya aBAvena
   vyatirekavyāptyabhāve 'pi pūre vṛṣṭiṃ vināpapatti 1 darśanāt 2 / kiṃ ca	vyatireka vyApti aBAve api pUre vRzwim vinA apapatti 1 darSanAt 2 / kim ca
   vahniṃ vinānupapattirdhūmagatā/ vyatirekavyāptiśca vanhyabhāvagateti	vahnim vinA anupapattiH DUma gatA/ vyatireka vyAptiH ca vanhi aBAva gata iti
   kathaṃ tayorabhedaḥ/ vahnyabhāvasya dhūmābhāvena vyāptirapi dhūmābhāvaṃ	kaTam tayoH aBedaH/ vahni aBAvasya DUma aBAvena vyAptiH api DUma aBAvam
   vinānupapattireva/ sā ca vahnyabhāvena dhūmābhāve sādhye	vinA anupapattiH eva/ sA ca vahni aBAvena DUma aBAve sADye
   vyāpyagatatvādanvayavyāptitvenaivāṅgam/ dhūmānaiva vahnau sādhye tu	vyApya gata tvAt anvaya vi Apti tvena eva aFgam/ DUmAnA eva vahnO sADye tu
   dhūmāniṣṭatvānna sākṣādaṅgam/	DUma anizwa tvAt na sAkzAt aFgam/
      na ceya 3 miti // sāmānādhikaraṇyagarbhā 4 vyatirekavyāptiriyaṃ	  na ca iyaH 3 miti // sAmAnADikaraNya garBA 4 vyatireka vyAptiH iyam
   bhaviṣyatīti vādinaṃ pratyāhaṃ    kiṃ ceti// nanvastviyaṃ	Bavizyati iti vAdinam pratyAham   kim ca iti// nanu astu iyam
   sarvānvayyanumāneṣu vahnyabhāvādinā dhūmābhāvādyanumānumānasthalenyaiva	sarva anvayi anumAnezu vahni aBAva AdinA DUma aBAva Adi anumA anumAna sTalenyA eva
   vyāptirvācyeti tadanugateyaṃ na bhavatītyata āha   vahnyabhāvasyeti//	vyAptiH vAcyA iti tad anugatA iyam na Bavati iti atas Aha  vahni aBAvasya iti//
   iyameva 5 dhūmānumāne 'pyaṅgaṃ kathaṃ na vyatirekavyāptirityata āha   	iyam eva 5 DUma anumAne api aFgam kaTam na vyatireka vyAptiH iti atas Aha   
   dhūmeneti// na sākṣāditi// kiṃ tu vyabhicāranirāsadvāraivāṅgamati bhāvaḥ/	DUmena iti// na sAkzAt iti// kim tu vyaBicAra nirAsa dvAra eva aFgam ati BAvaH/
   kevalānvayini sādhyā 6 bhāvāprasiddhyāvyāptirityuktadoṣaṃ nirāha  na ca	kevala anvayini sADyAH 6 BAva aprasidDyA avyAptiH iti ukta dozam nirAha  na ca
   kevalānvayinīti//	kevala anvayinI iti//
   1.terda  ga.ṭa.rā. 2.nācca ga.ṭa.rā. 3.caivamiti ṭhar. 4.bhavya ṭha.ḍa.	1.teH da  ga.wa.rA. 2.nAt ca ga.wa.rA. 3.ca eva m iti War. 4.Bavya  Wa.xa.
   5.ceddhū ṭha.ṭa.ḍa. 6.dhyāpra ṭha.ḍa.	5.ced DU Wa.wa.xa. 6.DyA pra Wa.xa.
   pu 12. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu 12. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   na ca kevalānvayinyavyāptiḥ/ tatra sādhyābhāvā 1 satvenaiva sādhyābhāve	na ca kevala anvayinI avyAptiH/ tatra sADya aBAvAH 1 satvena eva sADya aBAve
   sati sādhanasya yopapattiḥ tadabhāvarūpānupapatteḥ satvāt/ manmate	sati sADanasya yA upapattiH tad aBAva rUpa anupapatteH satvAt/ mad mate
   aprāmāṇikasyāpi niṣedhapratiyogitvāt//	aprAmANikasya api nizeDa pratiyogi tva at//
   tathā ca    rasasya samānadeśakālena rūpeṇa vineva, pākajarūpādeḥ	taTA ca   rasasya samAna deSa kAlena rUpeNa vinA iva, pAkaja rUpa AdeH
   samānadeśena bhinnakālena pākena vineva 2 ca, kṛttikodaya 3	samAna deSena Binna kAlena pAkena vinA iva 2 ca, kRttikA udayaH 3
   syābhinnakālayā 4 bhinnadeśayā rohiṇyudayāsatyā vinā, adhodeśanadīpūrasya	sya aBinna kAlayA 4 Binna deSayA rohiNI udayAsatyAH vinA, aDas deSa nadIpUrasya
   bhinnadeśa 5 kālerdhvadeśavṛṣṭyā vinānupapattirastīti, sāmānādhikaraṇya	Binna deSa 5 kAlerDva deSa vRzwyA vinA anupapattiH asti iti, sAmAna aDikaraNya
   iva vaiyadhikaraṇyepyuktarūpā vyāptiryuktā/ pratyuta nadīpūrādau	iva vEyaDi karaNyepi ukta rUpA vyAptiH yuktA/ pratyuta nadI pUra AdO
   sāmānādhikaraṇya evoktarūpā vyāptirayuktā / na hyūrdhvadeśagato nadīpūraḥ	sAmAnADikaraNyaH eva ukta rUpA vyAptiH ayuktA / na hi UrDva deSa gataH nadIpUraH
   6 ūrdhvadeśagatāṃ vṛṣṭiṃ vinānupapannaḥ/ kiṃ tu tatopyūrdhvadeśaghatām//	6 UrDva deSa gatAm vRzwim vinA anupapannaH/ kim tu tata upi UrDva deSa GatAm//
   aprāmāṇikasyāpīti// yathā caitattathopapāditaṃ nyāyāmṛte	aprAmANikasya api iti// yaTA ca etat taTA upapAditam nyAya amRte
   prathamaparicchede/ sarvatrānugateti prāguktamudāharaṇaniṣṭhatayā	praTama paricCede/ sarvatra anugata iti prAk uktam udAharaNa nizWatayA
   vyanakti   tathā cetyādinā// sāmānādhikaraṇya iveti// yathā tatra	vyanakti  taTA ca ityAdinA// sAmAnADikaraNyaH iva iti// yaTA tatra
   nyāyamate kathañcitsāmānādhikaraṇyaṃ saṃpādya vyāptirupapādyate tathā	nyAya mate kaTaQcid sAmAna aDikaraNyam saMpAdya vyAptiH upapAdyate taTA
   kleśena vinaiva yathāsthitaliṅgaliṅganorvaiyadhikaraṇye satyapītyarthaḥ//	kleSena vinA eva yaTA sTita liFga liFganoH vEyaDi karaNye sati api iti arTaH//
   nanu tvanmatepi tatra sāmānādhikaraṇyamādāyaiva vyāptirucyatāmityata āha  	nanu tvad matepi tatra sAmAnADikaraNyam AdAya eva vyAptiH ucyatAm iti atas Aha  
   pratyuteti 7 //	pratyuta iti 7 //
   yathāsthitaliṅgaliṅginorvyadhikaraṇayorvyāpyavyāpakabhāvena	yaTA sTita liFga liFginoH vyaDikaraNayoH vyApya vyApaka BAvena
   bādhakamāśaṅkya pratibandyottaramāha   nanvityādinā//	bADakam ASaFkya pratibandya uttaram Aha  nanu iti AdinA//
   1.satvādena  ka.ga. vasyāsatvādeva  ṭa.rā. 2.ca iti nāsti ga.ṭa.rā.	1.sa tvAt ena  ka.ga. vasya asa tvAt eva  wa.rA. 2.caH iti nAsti ga.wa.rA.
   3.yasya samānakā  ga.ṭa.rā. 4.yāro ga.rā. 5.kālayo ga.ṭa.rā.	3.yasya samAnakAH  ga.wa.rA. 4.yAro ga.rA. 5.kAla yo ga.wa.rA.
   6.svade ga.ṭa.rā. 7.tataḥ 'vyadhikaraṇa' ityādyevāsti ṭa.ḍa.	6.sva de ga.wa.rA. 7.tatas avyaDikaraNa a iti Adi eva asti wa.xa.
   svate vyāni rūṇam) vyāptivādaḥ pu   13.	svate vyAni rUNam) vyAptivAdaH pu  13.
   nanu sādhyābhāvenaiva saṃbandhasya nadīpūrasya vṛṣṭirūpasādhyena kathaṃ	nanu sADya aBAvena eva saMbanDasya nadI pUrasya vRzwi rUpa sADyena kaTam
   vyāptiriticet sādhyābhāvena niyamena saṃbanddhasya dravyatvasya	vyAptiH iti ced sADya aBAvena niyamena saMbandDasya dravya tvasya
   saṃyogarūpasādhyena kathaṃ vyāptiḥ/ yaditu tatra phalabalena vyāptilakṣaṇe	saMyoga rUpa sADyena kaTam vyAptiH/ yat itu tatra Pala balena vyApti lakzaNe
   pratiyogyasamānādhikaraṇeti viśeṣaṇāvdyāptisiddhiḥ/ tarhyatrāpi	pratiyogi asamAna aDikaraNa iti viSezaNa avdyApti sidDiH/ tarhi atra api
   phalabalenaiva vyāpterlakṣaṇāntarasyoktatvāttatsiddhiriti samam//	Pala balena eva vyApteH lakzaNa antarasya ukta tvAt tat sidDiH iti samam//
   nanu vaiyadhikaraṇye sādhyasya deśaniyamaḥ kathamiti cet/	nanu vEyaDikaraNye sADyasya deSa niyamaH kaTam iti ced /
   sāmānādhikaraṇyepi    dhūmena tadadhobhāga eva vahneḥ, tulonnamanena	sAmAnADikaraNyepi   DUmena tad aDas BAgaH eva vahneH, tulonnamanena
   bhāgāntara evāvanamanasya, vyāpyavṛttinā	BAga antaraH eva avanama nasya, vyApya vRttinA
   dravyatvenāvyāpyavṛtteḥ saṃyogasyāvyāpyavṛttinā saṃyogena	dravya tvena avyApya vRtteH saMyogasya avyApya vRttinA saMyogena
   vyāpyavṛttidravyatvasya, siddhiriti kathaṃ pakṣa eva pradeśaniyamaḥ/	vyApya vRtti dravya tvasya, sidDiH iti kaTam pakzaH eva pradeSa niyamaH/
   sādhyābhāvenetyādi// paramate saṃyogasyāvyāpyavṛttitvena vṛkṣaḥ	sADya aBAvena ityAdi// para mate saMyogasya avyApya vRtti tvena vRkzaH
   saṃyogīdravyatvādityatra dravyatvasya	saMyogI dravya tvAt iti atra dravya tvasya
   sādhyābhāvasaṃbandhasyetyuktam/ phaleti//	sADya aBAva saMbanDasya iti uktam/ Pala iti//
   anumitilakṣaṇaphalabalenetyarthaḥ// pratiyogīti//	anumiti lakzaNa Pala balena iti arTaH// pratiyogi iti//
   pratiyogyasāmānādhikaraṇasādhyapratiyogiko yoḥ'bhāvaḥ tadasaṃbaddhatve	pratiyogi asAmAna aDikaraNa sADya pratiyogikaH yoH aBAvaH tad asaMbadDa tve
   sati sādhyasāmānādhikaraṇyaṃ vyāptiriti viśeṣaṇādityarthaḥ/ tathāca	sati sADya sAmAnADikaraNyam vyAptiH iti viSezaNAt iti arTaH/ taTA ca
   saṃyogābhāvasya pratiyogisāmānādhikaraṇyānna doṣa iti bhāvaḥ/	saMyoga aBAvasya pratiyogi sAmAnA aDikaraNyAt na dozaH iti BAvaH/
   vyadhikaraṇayorliṅgaliṅgibhāve bādhakāntaramāśaṅkya pratibandyā	vyaDikaraNayoH liFga liFgi BAve bADaka antaram ASaFkya pratibandyA
   nirāha  nanviti// sāmānādhikaraṇyepi pakṣa eva pradeśaniyama ityanvayaḥ/	nirAha  nanu iti// sAmAna aDikaraNyepi pakzaH eva pradeSa niyamaH iti anvayaH/
   kuta ityato 'nyatrānyathādarśanāditi bhāvenāha   dhūmenetyādinā//	kutas iti atas anyatra anyaTA darSanAt iti BAvena aha  DUmena ityAdinA//
   vahnerityādiṣṭhyantānāṃ siddhiritītyanenānvayaḥ/ iti śabdo hetau/ ata eva	vahneH iti AdizWI antAnAm sidDiH iti iti anena anvayaH/ iti SabdaH hetO/ atas eva
   paddhatau tulonnamanādīnāmanekeṣāmapi liṅgaliṅgibhāvo darśitaḥ/	padDatO tulA unnam ana AdInAm anekezAm api liFga liFgi BAvaH darSitaH/
   pu  14. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu 14. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   kathaṃ ca samānakālatvepi kādācitkena patanena sthāyigurutvasya, sthāyinā	kaTam ca samAna kAla tvepi kAdAcid kena patanena sTAyi guru tvasya, sTAyinA
   śarīratvena kādācitkanāśasya ca, siddhiriti kālaniyamaḥ//	SarIra tvena kAdAcid ka nASasya ca, sidDiH iti kAla niyamaH//
   vyāptisvabhāvāditi cetsamam/ yatra yadā rasastatra tadā rūpamiti	vyApti svaBAvAt iti ced samam/ yatra yadA rasaH tatra tadA rUpam iti
   samānadeśakālatveneva, yatra pākajaṃ 1 tatra pāka iti	samAna deSa kAla tvena iva, yatra pAka jam 1 tatra pAkaH iti
   samānadeśatvasātreṇeva, yadākṛttikoyastadā rohiṇyudayāsattiriti	samAna deSa tva sAtreNa iva, yadA AkRtti koyaH tadA rohiNI udaya asattiH iti
   samānakālatvamātreṇeva 2 ca, yadāyatra nadīpūrastatpūrvakāle tadūrdhvadeśe	samAna kAla tva mAtreNa iva 2 ca, yadA ayatra nadI pUraH tad pUrva kAle tad UrDva deSe
   vṛṣṭiriti bhinnadeśakālatvenaiva vyāptigrahāt//	vRzwiH iti Binna deSa kAla tvena eva vyApti grahAt//
   nanu    deśathaḥ kālataśca vaiyidhikaraṇye kathaṃ vyāptigahaḥ/ yatredaṃ	nanu   deSaTaH kAlataH ca vEyiDi karaNye kaTam vyApti gahaH/ yatra idam
   tatredamiti vā yadaivaṃ 3 tadaivamiti vā deśataḥ kālato vā	tatra idam iti vA yadA evam 3 tadA evam iti vA deSataH kAlataH vA
   sāmānādhikaraṇyenaiva vyāptergrāhgatvāditi cenna 4 / yadīdaṃ	sAmAnADikaraNyena eva vyApteH grAhga tvAt iti ced na 4 / yadi idam
   tarhīdamityevānupapattirūpavyāptigrahasya sarvānugatatvāt//	tarhi idam iti eva anupapatti rUpa vyApti grahasya sarva anugata tvAt//
   "vyāptiprakāramapekṣyaliṅgasya liṅjñānajanakatvaniyamādi"ti	"vyApti prakAram apekzya liFgasya liFjQAna janakatva niyama Adi"ti
   paddhatyuktadiśā pareṇa samādhānaṃ vācayitvā samamityāha    vyāptīti//	padDati ukta diSA pareNa samADAnam vAcayitvA samam iti Aha   vyApti iti//
   vyāptisvabhāsādityuktaṃ	vyApti sva BAsAt iti uktam
   vyanakti   yatra yadeti// vyāptigrahaprakārānupapattimāśaṅkya samādhatte  	vyanakti  yatra yadA iti// vyApti graha prakAra anupapattim ASaFkya samADatte  
   nanvityādinā//	nanu iti AdinA//
   nanu vaiyidhikaraṇyepi vyāpyavyāpakabhāve hetutadābhāsavyavasthā na	nanu vEyiDikaraNyepi vyApya vyApaka BAve hetu tad ABAsa vyavasTA na
   syādityata āha   atraceti//	syAt iti atas Aha  atra ceti//
   1.jarū   ga.rā. 2.ca iti nāsti ṭa.rā. 3.yadedaṃ tadedamiti ṭa.rā. 4.t/	1.jarU   ga.rA. 2.caH iti na asti wa.rA. 3.yadA idam tadA idam iti wa.rA. 4.t/
   ya ga.rā.	ya ga.rA.
   svate vyāni rūṇam) vyāptivādaḥ pu   15.	svate vyAni rUNam) vyAptivAdaH pu  15.
   atra ca yaddeśakālasaṃbaddhasya hetoranupapattiḥ taddeśakāle hetorabhāva	atra ca yad deSa kAla saMbadDasya hetoH anupapattiH tad deSa kAle hetoH aBAva
   evāsiddhiḥ/ na tu pakṣe 'bhāvaḥ/ evaṃ yaddeśakālasaṃbaddhasya	eva asidDiH/ na tu pakze aBAvaH/ evam yad deSa kAla saMbadDasya
   hetoranupapattiḥ taddeśakālayoranyatrāpi bhāvo vyabhicāraḥ/ na tu	hetoH anupapattiH tad deSa kAlayoH anyatra api BAvaH vyaBicAraH/ na tu
   sādhyābhāvavati vṛttiḥ/ evamuktayordeśakālayoranyatraiva vartamāno	sADya aBAvavati vRttiH/ evam uktayoH deSa kAlayoH anyatra eva vartamAnaH 
   viruddhaḥ/ na tu niyamena sādhyābhāvavati vartamāna iti na	virudDaH/ na tu niyamena sADya aBAvavati vartamAnaH iti na
   kaścitkṣudropadravaḥ//	kaScid kzudrA upadravaH//
   tasmādvaiyadhikaraṇyepi vyāptirastyeva/ 1 taduktaṃ	tasmAt vEyaDikaraNyA ipi vyAptiH asti eva/ 1 tad uktam
   bhagavatpādaiḥ//"asatyapi vyāpirastyeveti"/ sāmānādhikaraṇye	Bagavat pAdEH//"asati api vyApiH asti eva iti"/ sAmAnADikaraNye
   asatyapyanupapattirūpā vyāptirastyevetyarthaḥ/ 2 ata eva	asatI api anupapatti rUpA vyAptiH asti eva iti arTaH/ 2 atas eva
   vyadhikaraṇāsiddhirna doṣa iti vakṣyate//	vyaDikaraNA sidDiH na dozaH iti vakzyate//
   iti svamate vyāptinirūpaṇam// 1 //	iti sva mate vyApti nirUpaNam// 1 //
   bhinnadeśakālayorapi vyāpyavyāpakabhāvapakṣe ityarthaḥ/ na tu pakṣa iti//	Binna deSa kAlayoH api vyApya vyApaka BAva pakze iti arTaH/ na tu pakzaH iti//
   yena nadīpūrādirasiddhaḥ syāditi bhāvaḥ/ natviti// yena	yena nadI pUra AdiH asidDaH syAt iti BAvaH/ natu iti// yena
   nadīpūrādirvyabhicārī syāditi dhyeyam/ taddeśakālayoranyatreti/	nadIpUra AdiH vyaBicArI syAt iti Dyeyam/ tad deSa kAlayoH anyatra iti/
   saṃbandhasāmānye ṣaṣṭhī/ tābhyāmanyatretyarthaḥ/ evamagrepi// evamiti	saMbanDa sAmAnye zazWI/ tAByAm anyatra ityarTaH/ evam agrepi// evam iti
   samuccaye/ uktayoryaddeśe yatkālenupapattirhetoḥ sādhyena vinā	samuccaye/ uktayoH yad deSe yad kAlenupapattiH hetoH sADyena vinA
   tayoranyatra	tayoH anyatra
   tābhyāmanyatretyarthaḥ/ taduktamiti// pramāṇalakṣaṇe / prakṛtopayogāya	tAByAm anyatra ityarTaH/ tat uktam iti// pramANa lakzaNe / prakRta upayogAya
   tasyārthamāha   sāmānādhikaraṇya iti//	tasya arTam Aha  sAmAnADikaraNyaH iti//
   iti svamate vyāptinirūpaṇam// 1 //	iti sva mate vyApti nirUpaNam// 1 //
   1.prapañcayiṣyate caitadvyadhikaraṇāsiddheradoṣatvaprastāve ityadhikam  	1. prapaQcayizyate ca etat vyaDikaraNa asidDeH adoza tva prastAve iti aDikam  
   ga.rā.ṭa. 2.ata evetyādi nāsti ga.rā.	ga.rA.wa. 2.atas eva ityAdi nAsti ga.rA.
   pu 16. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu 16. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   atha paroktavakravyāptilakṣaṇabhaṅgaḥ// 2//	aTa para ukta vakra vyApti lakzaNa BaFgaH// 2//
   etena    	etena    
   maṇyuktāni avyabhicaritaḥ 1 saṃbandha ityasya vivaraṇarūpāṇi	maNI uktA ni avyaBicaritaH 1 saMbanDaH iti asya vivaraNa rUpANi
   tatrāpyatyantābhāvagarbhāṇi tatrāpi dhūmajātīyasya vahnijātīyena	tatra api atyanta aBAva garBANi tatra api DUma jAtIyasya vahni jAtIyena
   vyāptiriti matāśritāni	vyAptiH iti mata ASritAni
   pratiyogyasamānādhikaraṇayatsamānādhikaraṇātyantābhāvapratiyogitāvacchedakānavacchinnaṃ	pratiyogi asamAna aDikaraNa yat samAna aDikaraNa atyanta aBAva pratiyogi ta avacCedakAn avacCinnam
   yattena samaṃ    	yat tena samam    
   atha paroktavakravyāptilakṣaṇabhaṅgaḥ// 2//	aTa para ukta vakra vyApti lakzaNa BaFgaH// 2//
   maṇyuktānīti// vakrāṇi vyāptilakṣaṇāni nirastānīti vakṣyamāṇenānvayaḥ/	maNI uktAni iti// vakrANi vyApti lakzaNAni nirastAni iti vakzyamANena anvayaH/
   tāni	tAni
   cāvyabhicāritasaṃbandhānaupādhikasaṃbandhasvābhāvikasaṃbandhavivaraṇarūpatayā	ca avyaBicArita saMbanDAn OpADika saMbanDa svABAvika saMbanDa vivaraNa rUpa tayA
   trairāśyena niṣkṛṣyāvāntarabhedapūrvamanuvadati// avyabhicaritaḥ saṃbandha	trErASyena nizkRzya avAntara Beda pUrvam anuvadati// avyaBicaritaH saMbanDa
   ityasyetyādinā// tatrāpi vadvivaraṇarūpeṣvapi/	iti asya ityAdinA// tatra api vat vivaraNa rUpezu api/
   tatrāpyatyantābhāvagarbhaṣvapītyarthaḥ// dhūmajātīyasya vahnijātīyeneti//	tatra api atyanta aBAva garBazu api iti arTaH// DUma jAtIyasya vahni jAtIyena iti//
   parvatīyavahnineva mahānasādisthavahnināpītyevaṃ	parvatIya vahninA iva mahAnasa Adi sTa vahninA api iti evam
   samānādhaikaraṇavyadhikaraṇasarvadhūmavahnivyaktisādhāraṇavyāptilakṣaṇānītyarthaḥ//	samAna aDEkaraNa vyaDikaraNa sarva DUma vahni vyakti sADAraNa vyApti lakzaNAni iti arTaH//
   pratiyogīti// pratiyogyasamānādhikaraṇaḥ	pratiyogi iti// pratiyogi asamAna aDikaraNaH
   yacchabdanirdiṣṭasādhanadhūmādirūpasamānādhaikaraṇo yotyantābhāvaḥ	yat Sabda nirdizwa sADana DUma Adi rUpa samAna aDEkaraNaH yoti anta aBAvaH
   ghaṭādyatyantābhāvaḥ tatpratiyogitāmavacchedakaṃ ghaṭatvādikaṃ	Gawa Adi atyanta aBAvaH tad pratiyogi tAm avacCedakam Gawa tva Adikam
