   bhaktivilāsākhyaṃ prathamaṃ stotram	BaktivilAsa-AKyam praTamam stotram
   tvaṃ bhaktyā prīyase bhaktiḥ prīte tvayi ca nātha yat &	tvam BaktyA prIyase BaktiH prIte tvayi ca nATa yat &
   tadanyonyāśrayaṃ yuktaṃ yathā vettha tvam eva tat // UtSst_16.21 //	tad-anyonya-ASrayam yuktam yaTA vetTa tvam eva tat // UtSst_16.21 //
   sākāro vā nirākaro vāntar vā bahir eva vā &	sa-AkAraH vA nirAkaraH vA-antar vA bahis eva vA &
   bhaktimattātmanāṃ nātha sarvathāsi sudhāmayaḥ // UtSst_16.22 //	BaktimattA-AtmanAm nATa sarvaTA-asi suDA-mayaH // UtSst_16.22 //
   asminn eva jagaty antar bhavadbhaktimataḥ prati &	asmin eva jagati antar Bavat-BaktimataH prati &
   harṣaprakāśanaphalam anyad eva jagatsthitam // UtSst_16.23 //	harza-prakASana-Palam anyat eva jagat-sTitam // UtSst-_16.23 //
   guhye bhaktiḥ pare bhaktir bhaktir viśvamaheśvare &	guhye BaktiH pare BaktiH BaktiH viSva-maheSvare &
   tvayi śambhau śive deva bhaktir nāma kim apy aho // UtSst_16.24 //	tvayi SamBO Sive deva BaktiH nAma kim api aho // UtSst-_16.24 //
   bhaktir bhaktiḥ pare bhaktir bhaktir nāma samutkaṭā &	BaktiH BaktiH pare BaktiH BaktiH nAma samutkawAH &
   tāraṃ viraumi yat tīvrā bhaktir me 'stu paraṃ tvayi // UtSst_16.25 //	tAram virOmi yat tIvrA BaktiH me astu param tvayi // UtSst_16.25 //
   yato 'smi sarvaśobhānāṃ prasavāvanir īśa tat &	yatas asmi sarva-SoBAnAm prasava-avaniH ISa tat &
   tvayi lagnam anarghaṃ syād ratnam vā yadi vā tṛṇam // UtSst_16.26 //	tvayi lagnam anarGam syAt ratnam vA yadi vA tRNam // UtSst-_16.26 //
   āvedakād ā ca vedyād yeṣāṃ saṃvedanādhvani &	AvedakAt A ca vedyAt yezAm saMvedana-aDvani &
   bhavatā na viyogo 'sti te jayanti bhavajjuṣaḥ // UtSst_16.27 //	BavatA na viyogaH asti te jayanti Bavat-juzaH // UtSst_16.27 //
   saṃsārasadaso bāhye kaiś cittvaṃ parirabhyase &	saMsAra-sadasaH bAhye kEH cittvam pariraByase &
   svāmin parais tu tatraiva tāmyadbhis tyaktayantraṇaiḥ // UtSst_16.28 //	svAmin parEH tu tatra-eva tAmyadBiH tyakta-yantraNEH // UtSst_16.28 //
   pānāśanaprasādhanasambhuktasamastaviśvayā śivayā &	pAna-aSana-prasADana-samBukta-samasta-viSvayA SivayA &
   pralayotsavasarabhasayā dṛḍham upagūḍhaṃ śivaṃ vande // UtSst_16.29 //	pralaya-utsava-saraBasayA dRXam upagUXam Sivam vande // UtSst_16.29 //
   parameśvaratā jayaty apūrvā tava viśveśa yadīśitavyaśūnyā &	parameSvara-tA jayati apUrvA tava viSveSa yadi-ISitavya-SUnyA &
   aparāpi tathaiva te yayedaṃ jagad ābhāti yathā tathā na bhāti //	aparA-api taTA-eva te yayA-idam jagat ABAti yaTA taTA na BAti //
   UtSst_16.30 //	UtSst-_16.30 //
   divyakrīḍābahumānanāma saptadasaṃ stotram	divya-krIxA-bahu-mAna-nAma saptadasam stotram
   aho ko 'pi jayaty eṣa svāduḥ pūjāmahotsavaḥ &	aho kaH api jayati eza svAduH pUjA-mahA-utsavaH &
   yato 'mṛtarasāsvādam aśrūṇy api dadaty alam // UtSst_17.1 //	yatas amRta-rasa-AsvAdam aSrUNi api dadati alam // UtSst-_17.1 //
   vyāpārāḥ siddhidāḥ sarve ye tvatpūjāpuraḥsarāḥ &	vyApArAH sidDi-dAH sarve ye tvad-pUjA-puraHsarAH &
   bhaktānāṃ tvanmayāḥ sarve svayaṃ siddhaya eva te // UtSst_17.2 //	BaktAnAm tvad-mayAH sarve svayam sidDayaH eva te // UtSst_17.2 //
   sarvadā sarvabhāveṣu yugapat sarvarūpiṇam &	sarvadA sarva-BAvezu yugapad sarva-rUpiNam &
   tvām arcayanty aviśrantaṃ ye mamaite 'dhidevatāḥ // UtSst_17.3 //	tvAm arcayanti aviSrantam ye mama-ete aDidevatAH // UtSst_17.3 //
   dhyānāyasatiraskārasiddhas tvatsparśanotsavaḥ &	DyAna-Ayasa-tiraskAra-sidDaH tvad-sparSana-utsavaH &
   pūjāvidhir iti khyāto bhaktānāṃ sa sadās tu me // UtSst_17.4 //	pUjA-viDiH iti KyAtaH BaktAnAm sa sadAH tu me // UtSst_17.4 //
   bhaktānāṃ samatāsāraviṣuvatsamayaḥ sadā &	BaktAnAm sama-tAsAra-vizuvat-samayaH sadA &
   tvadbhāvarasapīyūṣarasennaiṣāṃ sadārcanam // UtSst_17.5 //	tvad-BAva-rasa-pIyUza-raset-na-ezAm sadA-arcanam // UtSst-_17.5 //
   yasyānārambhaparyantau na ca kālakramaḥ prabho &	yasya-anAramBa-paryantO na ca kAla-kramaH praBo &
   pūjātmāsau kriyā tasyāḥ kartāras tvajjuṣaḥ param // UtSst_17.6 //	pUjA-AtmA-asO kriyA tasyAH kartAraH tvad-juzaH param // UtSst-_17.6 //
   brahmādīnām apīśāste te ca saubhāgyabhāginaḥ &	brahma-AdInAm api-ISAH-te te ca sOBAgya-BAginaH &
   yeṣāṃ svapne 'pi mohe 'pi sthitas tvatpūjanotsavaḥ // UtSst_17.7 //	yezAm svapne api mohe api sTitaH tvad-pUjana-utsavaH // UtSst_17.7 //
   japatāṃ juhvatāṃ snātāṃ dhyāyatāṃ na ca kevalam &	japatAm juhvatAm snAtAm DyAyatAm na ca kevalam &
   bhaktānāṃ bhavadabhyarcāmaho yāvad yadā tadā // UtSst_17.8 //	BaktAnAm Bavat-aByarcAmahaH yAvat yadA tadA // UtSst_17.8 //
   bhavatpūjāsudhāsvādasambhogasukhinaḥ sadā &	Bavat-pUjA-suDA-svAda-samBoga-suKinaH sadA &
   indrādīnām atha brahmamukhyānām asti kaḥ samaḥ // UtSst_17.9 //	indra-AdInAm aTa brahma-muKyAnAm asti kaH samaH // UtSst_17.9 //
   jagatkṣobhaikajanake bhavatpūjāmahotsave &	jagat-kzoBa-eka-janake Bavat-pUjA-mahA-utsave &
   yatprāpyaṃ prāpyate kiṃcid bhaktā eva vidanti tat // UtSst_17.10 //	yat-prApyam prApyate kiMcid BaktAH eva vidanti tat // UtSst_17.10 //
   tvaddhāmni cinmaye sthitvā ṣaṭtriṃśattattvakarmabhiḥ &	tvad-DAmni cit-maye sTitvA zawtriMSat-tattva-karmaBiH &
   kāyavākcittaceṣṭādyair arcaye tvāṃ sadā vibho // UtSst_17.11 //	kAya-vAc-citta-cezwA-AdyEH arcaye tvAm sadA viBo // UtSst-_17.11 //
   bhavatpūjāmayāsaṅgasambhogasukhino mama &	Bavat-pUjA-maya-AsaFga-samBoga-suKinaH mama &
   prayātu kālaḥ sakalo 'py ananto 'pīyadarthaye // UtSst_17.12 //	prayAtu kAlaH sakalaH api anantaH api-iyat-arTaye // UtSst_17.12 //
   bhavatpūjāmṛtarasābhogalampaṭata vibho &	Bavat-pUjA-amRta-rasa-ABoga-lampawata viBo &
   vivardhatām anudinaṃ sadā ca phalatāṃ mama // UtSst_17.13 //	vivarDatAm anudinam sadA ca Pala-tAm mama // UtSst_17.13 //
   jagadvilayasañjātasudhaikarasanirbhare &	jagat-vilaya-saQjAta-suDA-eka-rasa-nirBare &
   tvadabdhau tvāṃ mahātmānam arcannāsīya sarvadā // UtSst_17.14 //	tvad-abDO tvAm mahAtmAnam arcan=-AsIya sarvadA // UtSst_17.14 //
   aśeṣavāsanāgranthivicchedasaralaṃ sadā &	aSeza-vAsanA-granTi-vicCeda-saralam sadA &
   mano nivedyate bhaktaiḥ svādu pūjāvidhau tava // UtSst_17.15 //	manaH nivedyate BaktEH svAdu pUjA-viDO tava // UtSst_17.15 //
   adhiṣṭhāyaiva viṣayānimāḥ karaṇavṛttayaḥ &	aDizWAya-eva vizayAn-imAH karaNa-vRttayaH &
   bhaktānāṃ preṣayanti svatpūjārtham amṛtāsavam // UtSst_17.16 //	BaktAnAm prezayanti svat-pUjA-arTam amRta-Asavam // UtSst-_17.16 //
   bhaktānāṃ bhaktisaṃvegamahoṣmavivaśātmanām &	BaktAnAm Bakti-saMvega-mahA-Uzma-vivaSa-AtmanAm &
   ko 'nyo nirvāṇahetuḥ syāt tvatpūjāmṛtamajjanāt // UtSst_17.17 //	kaH anyaH nirvANa-hetuH syAt tvad-pUjA-amRta-majjanAt // UtSst_17.17 //
   satataṃ tvatpadābhyarcāsudhāpānamahotsavaḥ &	satatam tvad-pada-aByarcA-suDA-pAna-mahA-utsavaH &
   tvatprasādaikasamprāptihetur me nātha kalpatām // UtSst_17.18 //	tvad-prasAda-eka-samprApti-hetuH me nATa kalpatAm // UtSst_17.18 //
   anubhūyāsamīśāna pratikarma kṣaṇāt kṣaṇam &	anuBUyAsam-ISAna pratikarma kzaNAt kzaNam &
   bhavatpūjāmṛtāpānamadāsvādamahāmudam // UtSst_17.19 //	Bavat-pUjA-amRtA-pAna-mada-AsvAda-mahA-mudam // UtSst-_17.19 //
   dṛṣṭartha eva bhaktānāṃ bhavatpūjāmahodyamaḥ &	dRzwarTaH eva BaktAnAm Bavat-pUjA-mahA-udyamaH &
   tadaiva yad asambhāvyaṃ sukham āsvādayanti te // UtSst_17.20 //	tadA-eva yat asamBAvyam suKam AsvAdayanti te // UtSst_17.20 //
   yāvan na labdhas tvatpūjāsudhāsvādamahotsavaḥ &	yAvat na labDaH tvad-pUjA-suDA-svAda-mahA-utsavaH &
   tāvan nāsvādito manye lavo 'pi sukhasampadaḥ // UtSst_17.21 //	tAvat na-AsvAditaH manye lavaH api suKa-sampadaH // UtSst_17.21 //
   bhaktānāṃ viṣayanveṣābhāsāyāsād vinaiva sā &	BaktAnAm vizayanveza-ABAsa-AyAsAt vinA-eva sA &
   ayatnasiddhaṃ tvaddhāmasthitiḥ pūjāsu jāyate // UtSst_17.22 //	ayatna-sidDam tvad-DAma-sTitiH pUjAsu jAyate // UtSst_17.22 //
   na prāpyam asti bhaktanāṃ nāpy eṣām asti durlabham &	na prApyam asti BaktanAm na-api ezAm asti durlaBam &
   kevalaṃ vicaranty ete bhavatpūjāmadonmadāḥ // UtSst_17.23 //	kevalam vicaranti ete Bavat-pUjA-mada-unmadAH // UtSst_17.23 //
   aho bhaktibharodāracetasāṃ varada tvayi &	aho Bakti-Bara-udAra-cetasAm vara-da tvayi &
   slāghyaḥ pūjāvidhiḥ ko 'pi yo na yācñākalaṃkitaḥ // UtSst_17.24 //	slAGyaH pUjA-viDiH kaH api yaH na yAcQA-kalaMkitaH // UtSst_17.24 //
   kā na śobhā na ko hlādaḥ kā samṛddhir na vāparā &	kA na SoBA na kaH hlAdaH kA samRdDiH na vA-aparAH &
   ko vā na mokṣaḥ ko 'py eṣa mahādevo yad arcyate // UtSst_17.25 //	kaH vA na mokzaH kaH api eza mahAdevaH yat arcyate // UtSst_17.25 //
   antarullasadacchācchabhaktipīyūṣapoṣitam &	antar-ullasat-acCa-acCa-Bakti-pIyUza-pozitam &
   bhavatpūjopayogāya śarīram idam astu me // UtSst_17.26 //	Bavat-pUjA-upayogAya SarIram idam astu me // UtSst_17.26 //
   tvatpādapūjāsambhogaparatantraḥ sadā vibho &	tvad-pAda-pUjA-samBoga-paratantraH sadA viBo &
   bhūyāsaṃ jagatām īśa ekaḥ svacchandaceṣṭitaḥ // UtSst_17.27 //	BUyAsam jagatAm ISaH ekaH svacCanda-cezwitaH // UtSst_17.27 //
   tvaddhyānadarśanasparśatṛṣi keṣām api prabho &	tvad-DyAna-darSana-sparSa-tRzi kezAm api praBo &
   jāyate śītalasvādu bhavatpūjāmahāsaraḥ // UtSst_17.28 //	jAyate SItala-svAdu Bavat-pUjA-mahA-saraH // UtSst_17.28 //
   yathā tvam eva jagataḥ pūjāsambhogabhājanam &	yaTA tvam eva jagataH pUjA-samBoga-BAjanam &
   tatheśa bhaktimān eva pūjāsambhogabhājanam // UtSst_17.29 //	taTA-ISa BaktimAn eva pUjA-samBoga-BAjanam // UtSst_17.29 //
   ko 'py asau jayati svāmin bhavatpūjāmahotsavaḥ &	kaH api asO jayati svAmin Bavat-pUjA-mahA-utsavaH &
   ṣaṭtriṃśato 'pi tattvānāṃ kṣobho yatrollasaty alam // UtSst_17.30 //	zawtriMSataH api tattvAnAm kzoBaH yatra-ullasati alam // UtSst-_17.30 //
   namas tebhyo vibho yeṣāṃ bhaktipīyūṣavāriṇā &	namaH teByaH viBo yezAm Bakti-pIyUza-vAriNA &
   pūjyāny eva bhavanti tvatpūjopakaraṇāny api // UtSst_17.31 //	pUjyAni eva Bavanti tvad-pUjA-upakaraNAni api // UtSst-_17.31 //
   pūjārambhe vibho dhyātvā mantrādheyāṃ tvadātmatām &	pUjA-AramBe viBo DyAtvA mantra-ADeyAm tvad-Atma-tAm &
   svātmany eva pare bhaktā mānti harṣeṇa na kvacit // UtSst_17.32 //	sva-Atmani eva pare BaktAH mAnti harzeNa na kvacid // UtSst_17.32 //
   rājyalābhādivotphullaiḥ kaiś cit pūjāmahotsave &	rAjya-lABAt-iva-utPullEH kEH cit pUjA-mahA-utsave &
   sudhāsavena sakalā jagatī saṃvibhajyate // UtSst_17.33 //	suDA-savena sakalA jagatI saMviBajyate // UtSst_17.33 //
   pūjāmṛtāpānamayo yeṣāṃ bhogaḥ pratikṣaṇam &	pUjA-amRtA-pAna-mayaH yezAm BogaH pratikzaNam &
   kiṃ devā uta muktās te kiṃ vā ke 'py eva te janāḥ // UtSst_17.34 //	kim devAH uta muktAH te kim vA ke api eva te janAH // UtSst_17.34 //
   pūjopakaraṇībhūtaviśvaveśena gauravam &	pUjA-upakaraNIBUta-viSva-veSena gOravam &
   aho kim api bhaktānāṃ kim apy eva ca lāghavam // UtSst_17.35 //	aho kim api BaktAnAm kim api eva ca lAGavam // UtSst-_17.35 //
   pūjāmayākṣavikṣepakṣobhādevāmṛtodgamaḥ &	pUjA-Amaya-akza-vikzepa-kzoBAt-eva-amRta-udgamaH &
   bhaktānāṃ kṣīrajaladhikṣobhād iva divaukasām // UtSst_17.36 //	BaktAnAm kzIra-jalaDi-kzoBAt iva divOkasAm // UtSst_17.36 //
   pūjāṃ ke cana manyante dhenuṃ kāmadughām iva &	pUjAm ke cana manyante Denum kAmaduGAm iva &
   sudhādhārādhikarasāṃ dhayanty antarmukhāḥ pare // UtSst_17.37 //	suDA-DAra-aDika-rasAm Dayanti antarmuKAH pare // UtSst_17.37 //
   bhaktānām akṣavikṣepo 'py eṣa saṃsārasaṃmataḥ &	BaktAnAm akza-vikzepaH api eza saMsAra-saMmataH &
   upanīya kim apy antaḥ puṣṇāty arcāmahotsavam // UtSst_17.38 //	upanIya kim api antar puzNAti arcA-mahA-utsavam // UtSst_17.38 //
   bhaktikṣobhavaśād īśa svātmabhūte 'rcanaṃ tvayi &	Bakti-kzoBa-vaSAt ISa sva-Atma-BUte arcanam tvayi &
   citraṃ dainyāya no yāvad dīnatāyāḥ paraṃ phalam // UtSst_17.39 //	citram dEnyAya naH yAvat dIna-tAyAH param Palam // UtSst-_17.39 //
   upacārapadaṃ pūjā keṣāṃ cit tvatpadāptaye &	upacAra-padam pUjA kezAm cit tvad-pada-Aptaye &
   bhaktānāṃ bhavadaikātmyanirvṛttiprasaras tu saḥ // UtSst_17.40 //	BaktAnAm Bavat-EkAtmya-nirvRtti-prasaraH tu saH // UtSst_17.40 //
   apy asambaddharūpārcābhaktyunmādanirargalaiḥ &	api asambadDa-rUpa-arcA-aBakti-unmAda-nirargalEH &
   vitanyamānā labhate pratiṣṭhāṃ tvayi kām api // UtSst_17.41 //	vitanyamAnA laBate pratizWAm tvayi kAm api // UtSst-_17.41 //
   svādubhaktirasāsvādastabdhībhūtamanaś cyutām &	svAdu-Bakti-rasa-AsvAda-stabDIBUta-manaH cyutAm &
   śambho tvam eva lalitaḥ pūjānāṃ kila bhājanam // UtSst_17.42 //	SamBo tvam eva lalitaH pUjAnAm kila BAjanam // UtSst-_17.42 //
   paripūrṇāni śuddhāni bhaktimanti sthirāṇi ca &	paripUrNAni SudDAni Baktimanti sTirANi ca &
   bhavatpūjāvidhau nātha sādhanāni bhavantu me // UtSst_17.43 //	Bavat-pUjA-viDO nATa sADanAni Bavantu me // UtSst_17.43 //
   aśeṣapūjāsatkośe tvatpūjākarmaṇi prabho &	aSeza-pUjA-satkoSe tvad-pUjA-karmaNi praBo &
   aho karaṇavṛndasya kāpi lakṣmīr vijṛmbhate // UtSst_17.44 //	aho karaNa-vRndasya kA-api lakzmIH vijRmBate // UtSst_17.44 //
   eṣā peśalimā nātha tavaiva kila dṛśyate &	ezA peSalimA nATa tava-eva kila dRSyate &
   viśveśvaro 'pi bhṛtyair yad arcyase yaś ca labhyase // UtSst_17.45 //	viSveSvaraH api BRtyEH yat arcyase yaH ca laByase // UtSst_17.45 //
   sadāmurttād amūrttādvā bhāvād yad vāpy abhāvataḥ &	sadAmurttAt amUrttAt-vA BAvAt yat vA-api aBAvataH &
   uttheyān me praśastasya bhavatpūjāmahotsavaḥ // UtSst_17.46 //	utTeyAt me praSastasya Bavat-pUjA-mahA-utsavaH // UtSst_17.46 //
   kāmakrodhābhimānais tvām upaharīkṛtaiḥ sadā &	kAma-kroDa-aBimAnEH tvAm upaharIkRtEH sadA &
   ye 'rcayanti namas tebhyas teṣāṃ tuṣṭo 'smi tattvataḥ // UtSst_17.47 //	ye arcayanti namaH teByaH tezAm tuzwaH asmi tattvataH // UtSst_17.47 //
   jayaty eṣa bhavadbhaktibhājāṃ pūjāvidhiḥ paraḥ &	jayati eza Bavat-Bakti-BAjAm pUjA-viDiH paraH &
   yas tṛṇaiḥ kriyamāno 'pi ratnair evopakalpate // UtSst_17.48 //	yaH tRNEH kriyamAnaH api ratnEH eva-upakalpate // UtSst_17.48 //
   āviṣkāranāma aṣṭādaśaṃ stotram	AvizkAra-nAma azwAdaSam stotram
   jagato 'ntarato bhavantam āptvā punar etad bhavato 'ntarāl labhante &	jagataH antarataH Bavantam AptvA punar etat BavataH antarAt laBante &
   jagadīśa tavaiva bhaktibhājo na hi teṣām iha dūrato 'sti kiñcit //	jagadISa tava-eva Bakti-BAjaH na hi tezAm iha dUratas asti kiQcid //
   UtSst_18.1 //	UtSst-_18.1 //
   kvacid eva bhavān kvacid bhavānī sakalārthakramagarbhiṇī pradhānā &	kvacid eva BavAn kvacid BavAnI sakala-arTa-krama-garBiNI praDAnAH &
   paramārthapade tu naiva devyā bhavato nāpi jatattrayasya bhedaḥ //	parama-arTa-pade tu na-eva devyAH BavataH na-api jatat-trayasya BedaH //
   UtSst_18.2 //	UtSst-_18.2 //
   no jānate subhagam apy avalepavanto lokāḥ prayatnasubhagā nikhila hi	naH jAnate suBagam api avalepavantaH lokAH prayatna-suBagA niKila hi
   bhāvāḥ &	BAvAH &
   cetaḥ punar yad idam udyatam apy avaiti naivātmarūpam iha hā tad aho hato	cetaH punar yat idam udyatam api avEti na-eva-Atma-rUpam iha hA tat aho hataH-
   'smi // UtSst_18.3 //	asmi // UtSst_18.3 //
   bhavanmayasvātmanivāsalabdhasampadbharābhyarcitayuṣmadaṅghriḥ &	Bavat-mayasva-Atma-nivAsa-labDa-sampad-Bara-aByarcita-yuzmad-aFGriH &
   na bhojanācchādanam apy ajasram apekṣate yas tam ahaṃ nato 'smi //	na Bojana-AcCAdanam api ajasram apekzate yaH tam aham nataH asmi //
   UtSst_18.4 //	UtSst-_18.4 //
   sadā bhavaddehanivāsasvastho 'py antaḥ paraṃ dahyata eṣa lokaḥ &	sadA Bavat-deha-nivAsa-svasTaH api antar param dahyate eza lokaH &
   tavecchayā tat kuru me yathātra tvadarcanānandamayo bhaveyam // UtSst_18.5	tava-icCayA tat kuru me yaTA-atra tvad-arcana-Ananda-mayaH Baveyam // UtSst_18.5
   svarasoditayuṣmadaṅghripadmadvayapūjāmṛtapānasaktacittaḥ &	svarasa-udita-yuzmat-aFGri-padma-dvaya-pUjA-amRta-pAna-sakta-cittaH &
   sakārthacayeṣv ahaṃ bhaveyam sukhasaṃsparśanamātralokayātraḥ // UtSst_18.6	sakArTa-cayezu aham Baveyam suKa-saMsparSana-mAtra-lokayAtraH // UtSst_18.6
   sakalavyavahāragocare sphuṭam antaḥ spurati tvayi prabho &	sakala-vyavahAra-gocare sPuwam antar spurati tvayi praBo &
   upayānty apayānti cāniśam mama vastūni vibhāntu sarvadā // UtSst_18.7 //	upayAnti apayAnti ca-aniSam mama vastUni viBAntu sarvadA // UtSst_18.7 //
   satatam eva tavaiva pure 'thavāpy arahito vicareyam ahaṃ tvayā &	satatam eva tava-eva pure aTavA-api arahitaH vicareyam aham tvayA &
   kṣaṇalavo 'py atha mā sma bhavet sa me na vijaye nanu yatra bhavanmayaḥ //	kzaNa-lavaH api aTa mA sma Bavet sa me na vijaye nanu yatra Bavat-mayaH //
   UtSst_18.8 //	UtSst-_18.8 //
   bhavadaṅgaparisravatsuśītāmṛtapūrair bharite samantato 'pi &	Bavat-aFga-parisravat-su-SIta-amRta-pUrEH Barite samantataH api &
   bhavadarcanasampadeha bhaktās tava saṃsārasaro 'ntare caranti //	Bavat-arcana-sampadA-iha BaktAH tava saMsAra-saraH antare caranti //
   UtSst_18.9 //	UtSst-_18.9 //
   mahāmantratarucchāyāśītale tvanmahāvane &	mahA-mantra-taru=-CAyA-SItale tvad-mahA-vane &
   nijātmani sadā nātha vaseyaṃ tava pūjakaḥ // UtSst_18.10 //	nija-Atmani sadA nATa vaseyam tava pUjakaH // UtSst_18.10 //
   prativastu samastajīvataḥ pratibhāsi pratibhāmayo yathā &	prativastu samasta-jIvataH pratiBAsi pratiBA-mayaH yaTA &
   mama nātha tathā puraḥ prathāṃ vraja netratrayaśūlaśobhitaḥ // UtSst_18.11	mama nATa taTA puras praTAm vraja netratraya-SUla-SoBitaH // UtSst_18.11
   abhimānacarūpahārato mamatābhaktibhareṇa kalpitāt &	aBimAna-carUpa-hArataH mamatA-Bakti-BareNa kalpitAt &
   paritoṣagataḥ kadā bhavān mama sarvatra bhaved dṛśaḥ padam // UtSst_18.12	paritoza-gataH kadA BavAn mama sarvatra Bavet dRSaH padam // UtSst-_18.12
   nivasanparamāmṛtābdhimadhye bhavadarcāvidhimātramagnacittaḥ &	nivasan-parama-amRta-abDi-maDye Bavat-arcA-viDi-mAtram-agna-cittaH &
   sakalaṃ janavṛttam ācareyaṃ rasayan sarvata eva kiñcanāpi // UtSst_18.13	sakalam jana-vRttam Acareyam rasayan sarvatas eva kiQcana-api // UtSst_18.13
   bhavadīyam ihāstu vastu tattvaṃ vivarītuṃ ka ivātra pātram arthe &	BavadIyam iha-astu vastu tattvam vivarItum kaH iva-atra pAtram arTe &
   idam eva hi nāmarūpaceṣṭādyasamaṃ te harate haro 'si yasmāt // UtSst_18.14	idam eva hi nAma-rUpa-cezwA-Adi-asamam te harate haraH asi yasmAt // UtSst_18.14
   śāntaye na sukhalipsutā manāg bhaktisambhṛtamadeṣu taiḥ prabhoḥ &	SAntaye na suKa-lipsutA manAk Bakti-samBRta-madezu tEH praBoH &
   mokṣamārgaṇaphalāpi nārthanā smaryate hṛdayahāriṇaḥ puraḥ // UtSst_18.15	mokza-mArgaNa-PalA-api na-arTanA smaryate hRdaya-hAriNaH puras // UtSst_18.15
   jāgaretaradaśāthavā parā yāpi kācana manāg avasthiteḥ &	jAgara-itara-daSA-aTavA parA yA-api kAcana manAk avasTiteH &
   bhaktibhājanajanasya sākhilā tvatsanāthamanaso mahotsavaḥ // UtSst_18.16	Bakti-BAjana-janasya sa-aKilA tvad-sanATa-manasaH mahA-utsavaH // UtSst_18.16
   āmano 'kṣavalayasya vṛttayaḥ sarvataḥ śithilavṛttayo 'pi tāḥ &	AmanaH akza-valayasya vRttayaH sarvatas SiTila-vRttayaH api tAH &
   tvām avāpya dṛḍhadīrghasaṃvido nātha bhaktidhanasoṣmaṇāṃ katham //	tvAm avApya dRXa-dIrGa-saMvidaH nATa Bakti-Danasa-UzmaNAm kaTam //
   UtSst_18.17 //	UtSst-_18.17 //
   na ca vibhinnam asṛjyata kiñcid asty atha sukhetarad atra na nirmitam &	na ca viBinnam asRjyata kiQcid asti aTa suKa-itarat atra na nirmitam &
   atha ca duḥkhi ca bhedi ca sarvathāpy asamavismayadhāma namo 'stu te //	aTa ca duHKi ca Bedi ca sarvaTA-api asama-vismaya-DAma namaH astu te //
   UtSst_18.18 //	UtSst-_18.18 //
   kharaniṣedhakhadāmṛtapūraṇocchalitadhautavikalpamalasya me &	Kara-nizeDa-Kada-amRta-pUraNa-ucCalita-DOta-vikalpa-malasya me &
   dalitadurjayasaṃśayavairiṇas tvadavalokanam astu nirantaram // UtSst_18.19	dalita-durjaya-saMSaya-vEriNaH tvad-avalokanam astu nirantaram // UtSst-_18.19
   sphuṭam aviśa mām athāviśeyaṃ satataṃ nātha bhavantamasmi yasmāt &	sPuwam aviSa mAm aTa-AviSeyam satatam nATa Bavantam-asmi yasmAt &
   rabhasena vapus tavaiva sākṣāt paramāsattigataḥ samarcayeyam //	raBasena vapuH tava-eva sAkzAt parama-asatti-gataH samarcayeyam //
   UtSst_18.20 //	UtSst-_18.20 //
   tvayi na stutiśaktir asti kasyāpy athavāsty eva yato 'tisundaro 'si &	tvayi na stuti-SaktiH asti kasya-api aTavA-asti eva yatas ati-sundaraH asi &
   satataṃ punar arthitaṃ mamaitad yad aviśrānti vilokayeyam īśam //	satatam punar arTitam mama-etat yat aviSrAnti vilokayeyam ISam //
   UtSst_18.21 //	UtSst-_18.21 //
   udyotanābhidhānam ekonaviṃśaṃ stotram	udyotana-aBiDAnam ekonaviMSam stotram
   prārthanābhūmikātītavicitraphaladāyakaḥ &	prArTanA-BUmikA-atIta-vicitra-Pala-dAyakaH &
   jayaty apūrvavṛttāntaḥ śivaḥ satkalpapādapaḥ // UtSst_19.1 //	jayati apUrva-vRttAntaH SivaH sat-kalpa-pAdapaH // UtSst_19.1 //
   sarvavastuni ca yaikanidhānāt svātmanas tvad akhilaṃ kila labhyam &	sarva-vastuni ca ya-eka-niDAnAt sva-AtmanaH tvat aKilam kila laByam &
   asya me punar asau nijā ātmā na tvam eva ghaṭase paramās tām // UtSst_19.2	asya me punar asO nijAH AtmA na tvam eva Gawase paramAH tAm // UtSst_19.2
   jñānakarmamayacidvapur ātmā sarvathaiṣa parameśvara eva &	jQAna-karma-maya-cit-vapuH AtmA sarvaTA-eza parameSvaraH eva &
   syād vapus tu nikhileṣu padārtheṣv eṣu nāma na bhavet kim utānyat //	syAt vapuH tu niKilezu padArTezu ezu nAma na Bavet kim uta-anyat //
   UtSst_19.3 //	UtSst-_19.3 //
   viṣamārtimuṣānena phalena tvaddṛgātmanā &	vizama-Arti-muzAnena Palena tvad-dRS-AtmanA &
   abhilīya pathā nātha mamāstu tvanmayī gatiḥ // UtSst_19.4 //	aBilIya paTA nATa mama-astu tvad-mayI gatiH // UtSst_19.4 //
   bhavadamalacaraṇacintāratnalatālaṅkṛtā kadā siddhiḥ &	Bavat-amala-caraNa-cintA-ratna-latA-alaFkRtA kadA sidDiH &
   siddhajanamānasānāṃ vismayajananī ghaṭeta mama bhavataḥ // UtSst_19.5 //	sidDa-jana-mAnasAnAm vismaya-jananI Gaweta mama BavataH // UtSst_19.5 //
   karhi nātha vimalaṃ mukhabimbaṃ tāvakaṃ samavalokayitāsmi &	karhi nATa vimalam muKa-bimbam tAvakam samavalokayitA-asmi &
   yatsravaty amṛtapūram apūrvaṃ yo nimajjayati viśvam aśeṣam // UtSst_19.6	yat-sravati amRta-pUram apUrvam yaH nimajjayati viSvam aSezam // UtSst-_19.6
