   Mahāsāṃghikānāṃ prātimokṣasūtram	MahAsAMGikAnAm prAtimokza-sUtram
   samanubhāṣiyamāṇo vā taṃ vastuṃ pratinissareya ityetaṃ kuśalaṃ no ca	samanuBAziyamANaH vA tam vastum pratinissareyaH iti-etam kuSalam no ca
   pratiniḥsareya so bhikṣūḥ samagreṇa saṃghena ukṣipitavyo imaṃ tasya	pratiniHsareya saH BikzUH samagreNa saMGena ukzi-pitavyaH imam tasya
   bhikṣusya ukṣepaṇa pācattikam //	Bikzusya ukzepaNa pAcattikam //
   PrMoSū(Mā)_Pāc.46. yo puna bhikṣurjānanbhikṣu tathā ukṣiptaṃ samagreṇa	PrMoSU(MA)_PAc.46. yaH puna BikzuH-jAnan-Bikzu taTA ukziptam samagreNa
   saṃghena dharmeṇa vinayena yathāvādiṃ tathā kāritāṃ pāpikāṃ dṛṣṭiṃ	saMGena DarmeNa vinayena yaTAvAdim taTA kAritAm pApikAm dRzwim
   apratinissaraṇaṃ taṃ akṛtānudharmmaṃ sabhuṃjeya vā saṃvaseya vā	apratinissaraNam tam akRta-anuDarmmam sa-BuMjeya vA saMvaseya vA
   sahagāraśayyāmvā kalpeya pācattikam /	sahagAra-SayyAm-vA kalpeya pAcattikam /
   PrMoSū(Mā)_Pāc.47. śramaṇuddeśopi cedevaṃ vadeyaṃ ta thāhamāyuṣmānto	PrMoSU(MA)_PAc.47. SramaNu-ddeSa-upi ced-evam vadeyam te Ta-aham-Ayuzma-antaH-
   bhagavatā dharmadeśitamājānāmi yathā ye ime antarāyikā kāmā uktā bhagavatā	BagavatA Darma-deSitam-AjAnAmi yaTA ye ime antarAyikA kAmA uktA BagavatA
   tānpratisevato nālamantarāyāya so śramaṇuddeśo bhikṣūhi evamasya vacanīyo	tAn-pratisevataH nAlam-antarAyAya saH SramaNuddeSaH BikzUhi evam-asya vacanIyaH-
   mā āyuṣman śramaṇuddeśa evamvada mā bhagavantamasyācakṣa asatādudgṛhītena	mA Ayuzman SramaNuddeSaH evam-vada mA Bagavantam-asya-Acakza asatAt-udgRhItena
   antarāyikā evāyuṣmanśramaṇuddeśakāmāḥ / samānā antarāyikāḥ kāmā uktā	antarAyikAH eva-Ayuzman-SramaNuddeSa-kAmAH / samAnAH antarAyikAH kAmA uktA
   bhagavatā alaṃ ca punastānpratisevato antarāyāya / evañca so śramaṇuddeśo	BagavatA alam ca punar-tAn-pratisevataH antarAyAya / evaQca saH SramaNuddeSaH-
   bhikṣū hi vucyamāno taṃ vastu pratiniḥsareya ityetaṃ kuśalanno ca	BikzuH hi vucyamAnaH tam vastu pratiniHsareya iti-etam kuSalanno ca
   pratinissareyasto śramaṇuddeśo bhikṣūhi yāvantṛtīyakaṃ samanugrāhitavyo	pratinissareyaH-taH SramaNuddeSaH BikzUhi yAvantRtIyakam samanugrAhitavyaH-
   samanubhāṣitavyo tasya vastusya pratiniḥssagāya yāvantṛtīyakaṃ	samanuBAzitavyaH tasya vastusya pratiniHssagAya yAvantRtIyakam
   samanugrāhiyamāṇo vā samanubhāṣiyamāṇo vā taṃ vastuṃ pratiniḥsareya	samanugrAhiyamANaH vA samanuBAziyamANaH vA tam vastum pratiniHsareya
   ityetaṃ kuśalanno ca pratiniḥsareyaḥ so śramaṇuddeśo bhikṣū hi nāśayitavyo	iti-etam kuSalannaH ca pratiniHsareyaH saH SramaNuddeSaH BikzuH hi nASayitavyaH-
   adyadagreṇa te āyuṣman śramaṇuddeśa na caiva so	adyat-agreNa te Ayuzman SramaNu-ddeSa na ca-eva saH-
   bhagavānastathāgato(?)rhansamyak saṃbuddhe śāstāvyapadiśitavyo yaṃ pi ca	BagavAnaH-taTAgataH-(?)rhan-samyak saMbudDe SAstA-vi-apadiSitavyaH yam pi ca
   dāni labhasi bhikṣūrhi sārdhaṃ dvirātraṃ vā trirātramvā sahagāraśayyāṃ	dAni laBasi Bikzu-Urhi sArDam dvi-rAtram vA tri-rAtram-vA sahagAra-SayyAm
   sāyite adyadagreṇa nāsti gacchanasya cala prapalāhi / yo punabhikṣū	sAyite adyat-agreNa na-asti gacCanasya cala prapalAhi / yaH puna-BikzU
   jānantathārmaśitaṃ śramaṇuddeśaṃ yathāvādīntathā kāritāṃ pāpikāṃ	jAnan-taTA-armaSitam SramaNu-ddeSam yaTAvAdIn-taTA kAritAm pApikAm
   dṛṣṭimapratiniḥsarantaṃ akṛtānudharmma upasthāye vā upalāyeya vā	dRzwim-apratiniHsarantam akRta-anuDarmmaH upasTAye vA upalAyeya vA
   saṃbhuṃjeya vā saṃvaseya vā sahagāraśayyāṃ vā kalpeya pācattikam /	saMBuMjeya vA saMvaseya vA sahagAra-SayyAm vA kalpeya pAcattikam /
   PrMoSū(Mā)_Pāc.48. navacīvaralābhinā bhikṣuṇā	PrMoSU(MA)_PAc.48. nava-cIvara-lABinA BikzuNA
   trayāṇāmduvarṇīkaraṇānāmanyatarānyataraṃ durvvaṇṇīkaraṇasādayitavyaṃ /	trayANAm-duvarNIkaraNAnAm-anyatara-anyataram durvvaNNIkaraNa-sAdayitavyam /
   nīlamvā kardamamvā kālaśyāmanvā tato ca bhikṣūranādāya navaṃ	nIlam-vA kardamam-vA kAla-SyAman-vA tatas ca BikzUH-anAdAya navam
   cīvaraparibhuṃjeya pācattikam /	cIvara-pariBuMjeya pAcattikam /
   PrMoSū(Mā)_Pāc.49. yo punarbhikṣūranyatra adhyārāme vā adhyāvasathe vā /	PrMoSU(MA)_PAc.49. yaH punar-BikzUH-anyatra aDyArAme vE aDyAvasaTe vA /
   ratanamvā ratanasaṃmatamvā udgṛhṇāya vā udgṛhṇāyeya vā pācattikam /	ratanam-vA ratana-saMmatam-vA udgRhNAya vA udgRhNAyeya vA pAcattikam /
   ākāṃkṣamāṇena bhikṣuṇā ratanamvā ratanasammatamvā / adhyārāme vā	Aka-aMkzamANena BikzuNA ratanam-vA ratana-sammatam-vA / aDyArAme vA
   adhyāvasathe vā udgṛhṇītavyaṃ vā udgṛhṇāyayitavyaṃ vā yasya bhaviṣyati so	aDyAvasaTe vE udgRhNItavyam vA udgRhNAyayitavyam vA yasya Bavizyati saH-
   hariṣyatīti etadevapratyayaṃ kṛtvā ananyamiyamatrasāmīcī /	harizyati-iti etat-eva-pratyayam kRtvA ananyam-iyam-atra-sAmIcI /
   PrMoSū(Mā)_Pāc.50. anvarddhamāsaṃ snānamuktaṃ bhagavatā anyatrasamaye	PrMoSU(MA)_PAc.50. anvardDa-mAsam snAnam-uktam BagavatA anyatrasamaye
   pācattikam /	pAcattikam /
   tatrāyaṃ samayo dvyarddho māso śeṣe grīṣmāṇāmvarṣāṇāṃ ca purimo māso	tatra-ayam samayaH dvi-ardDaH mAsaH Seze grIzmANAm-varzANAm ca purimaH mAsaH-
   ityete ardhātīya māsaḥ paridāhakālasamayo adhvānagamanakālasamayo	iti-ete arDAtIya mAsaH paridAha-kAla-samayaH aDvAna-gamana-kAla-samayaH-
   gilānasamayo karmasamayo vātasamayo vṛṣṭisamayo ayamatrasamayoḥ /	gilAn-asamayaH karma-samayaH vAta-samayaH vRzwi-samayaH ayam-atra-samayoH /
   udyānam // [41] kṣobhiḥ [42] sahagāra [43] cchandam [44] udyojanā	udyAnam // [41] kzoBiH [42] sahagAraH [43] cCandam [44] udyojanA
   [45-46-47] trayo'ntarāyikā [48] akṛtakalpam [49] ratanaṃ [50] snānena //	[45-46-47] trayaH-antarAyikAH [48] akRta-kalpam [49] ratanam [50] snAnena //
   pañcamo vaggaḥ //	paQcamaH vaggaH //
   PrMoSū(Mā)_Pāc.51. yo punabhikṣu jānia prāṇakamudakaṃ paribhuṃjeya	PrMoSU(MA)_PAc.51. yaH puna-Bikzu jAnia prANakam-udakam pariBuMjeya
   pācattikam /	pAcattikam /
   PrMoSū(Mā)_Pāc.52. yo punabhikṣū avelaka sya vā avelikāya vā	PrMoSU(MA)_PAc.52. yaH puna-BikzU avelaka sya vA avelikAya vA
   parivrājakasya vā parivrājakāye vā svahastaṃ khādanīyamvā bhojanīyamvā	parivrAjakasya vA parivrAja-kAye vA sva-hastam KAdanIyam-vA BojanIyamvA
   dadyātpācattikam //	dadyAt-pAcattikam //
   PrMoSū(Mā)_Pāc.53. yo punabhikṣū jānantaṃ bhojanīye kule anupakhajjāsane	PrMoSU(MA)_PAc.53. yaH puna-BikzU jAnantam BojanIye kule anupaKajja-Asane
   niṣadyāṃ kalpeya pācattikam //	nizadyAm kalpeya pAcattikam //
   PrMoSū(Mā)_Pāc.54. yo punabhikṣu jania bhojanīye kule praticchannāsane	PrMoSU(MA)_PAc.54. yaH puna-Bikzu jania BojanIye kule praticCanna-Asane
   niṣadyāṃ kalpeya pācattikam //	nizadyAm kalpeya pAcattikam //
   PrMoSū(Mā)_Pāc.55. yo punabhikṣurudyaktāṃ se nāmdarśanāya gaccheya	PrMoSU(MA)_PAc.55. yaH puna-BikzuH-udyaktAm se nAmdarSanAya gacCeya
   pācattikam /	pAcattikam /
   PrMoSū(Mā)_Pāc.56. syāttasya bhikṣusya kvacideva pratyayosanāyāṅgamanāya	PrMoSU(MA)_PAc.56. syAt-tasya Bikzusya kvacid-eva pratyayosanAya-aFgamanAya
   dvi[rā] tramvā trirātramvā tena bhikṣuṇāsenāyāṃ vasitavyaṃ taducarīṃ	dvi[rA] tramvA tri-rAtram-vA tena BikzuNA-senAyAm vasitavyam tat-ucarIm
   vaseya pācattikam //	vaseya pAcattikam //
   PrMoSū(Mā)_Pāc.57. tatrāpi ca bhikṣu dvirātramvā trirātramvā senāyāṃ	PrMoSU(MA)_PAc.57. tatra-api ca Bikzu dvi-rAtram-vA tri-rAtram-vA senAyAm
   vasamāno āyūhikamvā niyūhikaṃmvā aneka vyūhamvā dhvajāmvā śīrṣamvā	vasamAnaH AyUhikam-vA niyUhi-kaMmvA aneka vyUham-vA DvajAm-vA SIrzamvA
   darśanāya gaccheya pācattikam //	darSanAya gacCeya pAcattikam //
   PrMoSū(Mā)_Pāc.58. yo punabhikṣu bhikṣuṃ prahareya pācattikam /	PrMoSU(MA)_PAc.58. yaH puna-Bikzu Bikzum prahareya pAcattikam /
   PrMoSū(Mā)_Pāc.59. yo punabhikṣu bhikṣusya talaśaktikāmāvarjeya pācattikam	PrMoSU(MA)_PAc.59. yaH puna-Bikzu Bikzusya tala-Sakti-kAm-a-Avarjeya pAcattikam
   PrMoSū(Mā)_Pāc.60. yo punarbhikṣu jānan bhikṣūsya dusthūlāmāpattiṃ	PrMoSU(MA)_PAc.60. yaH punar-Bikzu jAnan BikzUsya dusTUlAm-Apattim
   kṛtamavyācīṇṇāṃ cchādeya so na pareṣāmāroceya kinti semāpare jānanneti	kRtam-avyAcINNAm cCAdeya saH na parezAm-Aroceya kinti semA-apare jAnan=-a-iti
   avadya praticchādane pācattikam /	avadya praticCAdane pAcattikam /
   udyānaṃ // [51] saprāṇakam [52] avelako [53] anupakhajjaṃ / [54]	udyAnam // [51] sa-prANakam [52] avelakaH [53] anupaKajjam / [54]
   pratichannāsanaṃ [55-56-57] senāyāṃ [58] praharati [59] talaśaktikā [60]	pratiCanna-Asanam [55-56-57] senAyAm [58] praharati [59] tala-SaktikAH [60]
   praticchādanena // ṣaṣṭho vaggaḥ //	praticCAdanena // zazWaH vaggaH //
   PrMoSū(Mā)_Pāc.61. yo punabhikṣu saṃcintya tiryagyonigataṃ prāṇinaṃ	PrMoSU(MA)_PAc.61. yaH puna-Bikzu saMcintya tiryagyoni-gatam prANinam
   jīvitād vyaparopeya pācattikam /	jIvitAt vyaparopeya pAcattikam /
   PrMoSū(Mā)_Pāc.62. yo punabhikṣu bhikṣusya saṃcintya kaukṛtyamupasaṃhareya	PrMoSU(MA)_PAc.62. yaH puna-Bikzu Bikzusya saMcintya kOkRtyam-upasaMhareya
   kintisa muhūrttampi aphāsu bhavediti pācattikam //	kinti-sa muhUrttampi aPAsu Bavet-iti pAcattikam //
   PrMoSū(Mā)_Pāc.63. yo punarbhikṣū bhikṣūsya vā bhikṣuṇīye vā śrāmaṇerasye	PrMoSU(MA)_PAc.63. yaH punar-BikzU BikzUsya vA BikzuNIye vA SrAmaNeH-asye
   vā śrāmaṇerīye vā śikṣamāṇāye vā cīvaramdatvā apratyuddhareya paribhuṃjeya	vA SrAmaNerIye vA SikzamANAye vA cIvaram-datvA apratyudDareya pariBuMjeya
   apratyuddhāraparibhoge pācattikam //	apratyudDAra-pariBoge pAcattikam //
   PrMoSū(Mā)_Pāc.64. yo punarbhikṣū bhikṣūsya pātriṃ vā cīvaraṃ vā niṣīdanaṃ	PrMoSU(MA)_PAc.64. yaH punar-BikzU BikzUsya pAtrim vA cIvaram vA nizIdanam
   vā sūcīvigrahamvā apaniheyamvā apanihāyeya vā antamasato hāsyāñcāpi	vA sUcI-vigraham-vA apaniheyam-vA apanihAyeya vE antamasataH hAsyAQca-api
   pācattikam //	pAcattikam //
   PrMoSū(Mā)_Pāc.65. yo punabhikṣū bhikṣūṃ bhīṣeya pācattikam	PrMoSU(MA)_PAc.65. yaH puna-BikzU BikzUm BIzeya pAcattikam
   PrMoSū(Mā)_Pāc.66. udake hastasammardanāt pācattikam //	PrMoSU(MA)_PAc.66. udake hasta-sammardanAt pAcattikam //
   PrMoSū(Mā)_Pāc.67. aṅgalipracodanāt pācattikam //	PrMoSU(MA)_PAc.67. aFgali-pracodanAt pAcattikam //
   PrMoSū(Mā)_Pāc.68. yo punabhikṣū mātṛgrāmeṇa sārddhaṃ saṃvidhāya	PrMoSU(MA)_PAc.68. yaH puna-BikzU mAtR-grAmeNa sArdDam saMviDAya
   adhvānamārgaṃ pratipadyet antamasato grāmāntaraṃ pi pācattikam //	aDvAna-mArgam pratipadyet antam-asataH grAma-antaram pi pAcattikam //
   PrMoSū(Mā)_Pāc.69. yo punarbhikṣū mātṛgrāmeṇa sārddhaṃ sahagāraśayyāṃ	PrMoSU(MA)_PAc.69. yaH punar-BikzU mAtR-grAmeNa sArdDam saha-gAra-SayyAm
   kalpeya pācattikam //	kalpeya pAcattikam //
   PrMoSū(Mā)_Pāc.70. yo punarbhikṣū mātṛgrāmeṇa sārddhaṃ eko ekāyaraho	PrMoSU(MA)_PAc.70. yaH punar-BikzU mAtR-grAmeNa sArdDam ekaH ekAya-raho
   niṣadyāṃ kalpeya pācattikam //	nizadyAm kalpeya pAcattikam //
   udyānam / [61] saṃcintya [62] kaukṛtya [63] mapratyuddharitya [64]	udyAnam / [61] saMcintya [62] kOkRtya [63] maprati-udDaritya [64]
   kāpaniheya [65] bhiṣeya [66] udake [67] aṃgulī [68] saṃvidhāya [69]	kApaniheya [65] BizeyaH [66] udake [67] aMgulI [68] saMviDAya [69]
   sahagāra [70] niṣadyāya // saptamo vaggaḥ //	sahagAraH [70] nizadyAya // saptamaH vaggaH //
   PrMoSū(Mā)_Pāc.71. yo punarbhikṣū jānantaṃ unaviṃśativarṣaṃ pudgalaṃ	PrMoSU(MA)_PAc.71. yaH punar-BikzU jAnantam unaviMSati-varzam pudgalam
   bhikṣu upasaṃpādeya so ca pudgalo anupasaṃpanno te ca bhikṣū gārhyāṃ	Bikzu upasaMpAdeya saH ca pudgalaH anupasaMpannaH te ca BikzU gArhyAm
   imaṃstathā bhikṣuṇāgarhaṇaṃ pācattikam //	iman=-taTA BikzuNA-garhaNam pAcattikam //
   PrMoSū(Mā)_Pāc.72. yo punarbhikṣū jānanstainyasārdhena sārdhaṃ saṃvidhāya	PrMoSU(MA)_PAc.72. yaH punar-BikzU jAnan-stEnya-sArDena sArDam saMviDAya
   adhvānamārgaṃ pratipadyeya antamasato grāmāntaraṃ pi pācattikam /	aDvAna-mArgam pratipadyeya antam-asataH grAma-antaram pi pAcattikam /
   PrMoSū(Mā)_Pāc.73. yo punarbhikṣū svahastapṛthvīm khaneya vā khanāyeya vā	PrMoSU(MA)_PAc.73. yaH punar-BikzU sva-hasta-pRTvIm Kaneya vA KanAyeya vA
   antamasato iha khanehīti evaṃ vadeya pācattikam //	antam-asataH iha Kana-ihi-iti evam vadeya pAcattikam //
   PrMoSū(Mā)_Pāc.74. cāturmāsikaṃ bhikṣuṇā pratyeka pravāraṇā sādayitavyā	PrMoSU(MA)_PAc.74. cAturmAsikam BikzuNA pratyeka pravAraNA sAdayitavyA
   taduttariṃ sādiyeya anyatra punaḥ pravāraṇāye anyatra yāvajjīvikāye	tad-uttarim sAdiyeya anyatra punar pravAraNAye anyatra yAvat-jIvikAye
   pācattikam //	pAcattikam //
   PrMoSū(Mā)_Pāc.75. yo punarbhikṣū bhikṣū hi evaṃ vucyamāno ime hi te	PrMoSU(MA)_PAc.75. yaH punar-BikzU BikzuH hi evam vucyamAnaH ime hi te
   āyuṣman pañca hi āpattikāye anadhyāvācāya śikṣā karaṇīyeti / so bhikṣū tāṃ	Ayuzman paQca hi Apatti-kAye anaDyAvAcAya SikzA karaNIyA-iti / saH BikzU tAm
   bhikṣunevaṃ vadeya na yāvadahamāyuṣmantānāṃ vacanena śikṣiṣyaṃ yāvadahaṃ	Bikzunevam vadeya na yAvat-aham-AyuzmantAnAm vacanena Sikzizyam yAvat-aham
   na drakṣyāmi svavirānbhikṣūn sūtradharān vinayadharān mātṛkādharān	na drakzyAmi svavirAn-BikzUn sUtraDarAn vinaya-DarAn mAtRkA-DarAn
   madhyamānbhikṣūn sūtradharānvinayadharān mātṛkādharān navakānbhikṣū	maDyamAn-BikzUn sUtraDarAn-vinaya-DarAt mAtRkA-DarAt navakAn-BikzU
   sūtradharān vinayadharān mātṛkādharānnatāṃstāvadahamupasaṃkramya	sUtra-DarAn vinaya-DarAn mAtRkA-DarAn-natAn=-tAvat-aham-upasaMkramya
   paripṛṣṭhiṣyaṃ paripraśnī kariṣyanti pācattikam // śikṣyakāmena bhikṣuṇā	paripRzWizyam paripraSnI karizyanti pAcattikam // Sikzya-kAmena BikzuNA
   ājñātavyamupalakṣitavyamupadhārayitavyam //	AjQAtavyam-upalakzitavyam-upaDArayitavyam //
   PrMoSū(Mā)_Pāc.76. surāmaireya madyapānaṃ pāpacattikam /	PrMoSU(MA)_PAc.76. surAmEreya madya-pAnam pApa-cattikam /
   PrMoSū(Mā)_Pāc.77. bhikṣunādarye pācattikam /	PrMoSU(MA)_PAc.77. Bikzu-nA-Adarye pAcattikam /
   PrMoSū(Mā)_Pāc.78. yo punarbhikṣū bhikṣū hi kalahajāte hi bhanḍana jāte hi	PrMoSU(MA)_PAc.78. yaH punar-BikzU BikzuH hi kalaha-jAte hi Banxana jAte hi
   vigrahavivādāpanne hi viharante hi upaśrotrasthāne tiṣṭheya yaṃ ete	vigraha-vivAda-Apanne hi viharante hi upaSrotra-sTAne tizWeya yam ete
   vadiṣyanti taṃ śrutvā upasaṃhariṣyāmīti / etadeva pratyayaṃ kṛtvā	vadizyanti tam SrutvA upasaMharizyAmi-iti / etat-eva pratyayam kRtvA
   ananyamimantasya bhikṣūsya upaśrotrasthāne pācattikam //	ananyam-imantasya BikzUsya upaSrotra-sTAne pAcattikam //
   PrMoSū(Mā)_Pāc.79. yo punabhikṣūḥ saṃghe viniścayakathā hi varttamānā hi	PrMoSU(MA)_PAc.79. yaH puna-BikzUH saMGe viniScaya-kaTAH hi varttamAnAH hi
   utthāyāsanātprakrameya santaṃ bhikṣūmanāmantrayitvā anyatra tathārūpe	utTAya-AsanAt-prakrameya santam BikzUmanAmantrayitvA anyatra taTArUpe
   atyāyike karaṇīye pācattikam //	atyAyike karaNIye pAcattikam //
   PrMoSū(Mā)_Pāc.80. yo punabhikṣū āraṇyake śayyāsane viharanto vikāle	PrMoSU(MA)_PAc.80. yaH puna-BikzU AraNyake SayyA-Asane viharantaH vikAle
   grāmaṃ praviśeya santaṃ bhikṣūmanāmantrayitvā anyatra tathārūpe atyāyike	grAmam praviSeya santam BikzUmanAmantrayitvA anyatra taTArUpe atyAyike
   karaṇīye pācattikam //	karaNIye pAcattikam //
   uddānaṃ // [71] ūnaviṃśati [72] stainyasārdhaṃ [73] pṛthivī [74] pravāraṇā	uddAnam // [71] UnaviMSati [72] stEnya-sArDam [73] pRTivI [74] pravAraNA
   [75] na śikṣiṣyaṃ [76] madyapāna [77] manādaryaṃ [78] mupaśrotra [79]	[75] na Sikzizyam [76] madyapAnaH [77] manAdaryam [78] mupaSrotra [79]
   viniścaya [80] āraṇyakena // aṣṭamo vaggaḥ //	viniScaya [80] AraNyakena // azwamaH vaggaH //
   PrMoSū(Mā)_Pāc.81. yo puna bhikṣū sabhakto samāno pūve bhaktaṃ	PrMoSU(MA)_PAc.81. yaH puna BikzU sa-BaktaH samAnaH pUve Baktam
   paścādbhaktaṃ vā kuleṣu cāritramāpadyeya santaṃ bhikṣumanāmantrayitvā	paScAt-Baktam vA kulezu cAritram-Apadyeya santam BikzumanA-mantrayitvA
   anyatra samaye pācattikam //	anyatra samaye pAcattikam //
   tatrāyam samayo cīvaradānakālasamayo ayamatrasamayo //	tatra-ayam samayaH cIvara-dAna-kAla-samayaH ayamatra-samayaH //
   PrMoSū(Mā)_Pāc.82. yo punabhikṣū rājñāḥ kṣatriyasya mūrdhā abhiṣiktasya	PrMoSU(MA)_PAc.82. yaH puna-BikzuH rAjQAH kzatriyasya mUrDAH aBiziktasya
   janapadasthāmavīryaprāprasya antaḥpuraṃ praviśeyāniṣkrānte rājāne	janapada-sTAma-vIrya-prAprasya antaHpuram praviSeya-anizkrAnte rAjAne
   aniṣkrānte antaḥpure aniggate hi ratane hi antamasato indrakīlampi	anizkrAnte antaHpure aniggate hi ratane hi antam-asataH indrakIlampi
   atikrameya pācattikam //	atikrameya pAcattikam //
   PrMoSū(Mā)_Pāc.83. yo punabhikṣū dantamayamvā asthimayamvā śṛṅgamayamvā	PrMoSU(MA)_PAc.83. yaH puna-BikzU dantam-ayam-vA asTi-mayam-vA SRFga-mayamvA
   suvaṇṇamayamvā rūpyamayamvā ratanamayamvā sūcīvigrahaṃ kārāpeya bhedana	suvaNNa-mayam-vA rUpya-m-ayam-vA ratanam-ayam-vA sUcI-vigraham kArApeya Bedana
   pācattikam //	pAcattikam //
   PrMoSū(Mā)_Pāc.84. mañcamvā pīṭhamvā bhikṣuṇā kārāpayamāṇena	PrMoSU(MA)_PAc.84. maQcam-vA pIWam-vA BikzuNA kArApayamANena
   sugatāṣṭāṅgulapramāṇāḥ pādakāḥ kārāpayitavyāḥ / anyatrāṭṭanīye taduttariṃ	sugata-azwa-aFgula-pramANAH pAdakAH kArApayitavyAH / anyatra-awwanIye tad-uttariM
   kārāpeya cchedana pācattikam //	kArApeya cCedana pAcattikam //
   PrMoSū(Mā)_Pāc.85. yo punabhikṣū tūla saṃstṛte maṃce vā pīṭhe vā	PrMoSU(MA)_PAc.85. yaH puna-BikzU tUla saMstRte maMce vA pIWe vA
   abhiniṣīdeya vā abhipadyeya vā uddāla na pācattikam //	aBinizIdeya vE aBipadyeya vE uddAla na pAcattikam //
   PrMoSū(Mā)_Pāc.86. niṣīdanaṃ bhikṣuṇā kārāpayamāṇena prāmāṇikaṃ	PrMoSU(MA)_PAc.86. nizIdanam BikzuNA kArApayamANena prAmANikam
   kārāpayitavyam / tatredaṃ pramāṇaṃ dīrghaśo dve vitastīyo sugatavitastinā	kArApayitavyam / tatra-idam pramANam dIrGaSas dve vitastIyaH sugata-vitastinA
   tiryag rddhamanyatra daśavitasti kaṃ taduttariṃ kārāpeya cchedana	tiryak rdDam-anyatra daSa-vitasti kam tad-uttarim kArApeya cCedana
   pācattikam //	pAcattikam //
   PrMoSū(Mā)_Pāc.87. kanḍumapraticchādanaṃ bhikṣuṇā kārāpayamāṇena	PrMoSU(MA)_PAc.87. kanxum-apraticCAdanam BikzuNA kArApayamANena
   prāmāṇikaṃ kārāpayitavyaṃ / tatredaṃ pramāṇaṃ dīrghaśo catvāri vitastīyo	prAmANikam kArApayitavyam / tatra-idam pramANam dIrGaSas catvAri vitastIyo
   sugatavitastinā tiryagdve taduttariṃ kārāpeya cchedanapācattikam //	sugata-vitastinA tiryak-dve tad-uttarim kArApeya cCedana-pAcattikam //
   PrMoSū(Mā)_Pāc.88. varṣāśāṣṭikā bhikṣuṇā kārāpayamāṇena prāmāṇikā	PrMoSU(MA)_PAc.88. varzA-SAzwikA BikzuNA kArApayamANena prAmANikA
   kārāpayitavyā tatredaṃ pramāṇaṃ dīrghaśo ṣaḍvitastīyo sugatavitastinā	kArApayitavyA tatra-idam pramANam dIrGaSas zaz-vitastIyaH sugata-vitastinA
   tiryag rddhatīyaṃ / taduttariṃ kārāpeya cchedana pācattikam //	tiryak rdDati-iyam / tad-uttarim kArApeya cCedana pAcattikam //
   PrMoSū(Mā)_Pāc.89. yo punabhikṣū sugatacīvarapramāṇaṃ cīvaraṃ kārāpeya	PrMoSU(MA)_PAc.89. yaH puna-BikzU sugata-cIvara-pramANam cIvaram kArApeya
   kiñcitasya bhagavate tathāgatasyārhataḥ samyak saṃbuddhasya sugatasya	kiQcitasya Bagavate taTAgatasya-arhataH samyak saMbudDasya sugatasya
   sugatacīvarapramāṇaṃ dirghaśo nava vitastīyo sugatavitastinā tiryaka ṣaḍ	sugata-cIvara-pramANam dirGaSas nava vitastIyaH sugata-vitastinA tiryaka zaz-
   idantasya bhagavato tathāgatasyārhataḥ samyak saṃbuddhasya sugatasya	idantasya BagavataH taTAgatasya-arhataH samyak saMbudDasya sugatasya
   sugatacīvarapramāṇaṃ tato vā punaruttariṃ kārāpeya cchedana pācattikam //	sugata-cIvara-pramANam tatas vA punar-uttarim kArApeya cCedana pAcattikam //
   PrMoSū(Mā)_Pāc.90. yo punabhikṣū bhikṣūsya dusto doṣānkupito anāttano	PrMoSU(MA)_PAc.90. yaH puna-BikzU BikzUsya dustaH dozAn-kupitaH anAttanaH-
   amulakena saṃghātiśeṣeṇa dharmmeṇānudhvaṃseya pācattikam //	amulakena saMGa-ati-SezeNa DarmmeNa-anuDvaMseya pAcattikam //
   PrMoSū(Mā)_Pāc.91. yo punabhikṣū jānan sāṃdhikaṃ lābhaṃ saṃghe pariṇataṃ	PrMoSU(MA)_PAc.91. yaH puna-BikzU jAnan sAMDikam lABam saMGe pariNatam
   pudgalo pudgalasya pariṇāmeya pācattikam //	pudgalaH pudgalasya pariNAmeya pAcattikam //
   PrMoSū(Mā)_Pāc.92. yo punabhikṣūranvarddhamāsaṃ sūtre prātimokṣe	PrMoSU(MA)_PAc.92. yaH puna-BikzUran-vardDa-mAsam sUtre prAtimokze
   uddiśyamāne evaṃ vadeya adya punarahaṃ jānāmi idānīṃ punarahaṃ jānāmi	uddiSyamAne evam vadeya adya punar-aham jAnAmi idAnIm punar-aham jAnAmi
   ayampi dharmo sūtrāgato sūtraparyāpanno anvarddhamāsaṃ sūtre prātimokṣe	ayampi DarmaH sUtra-AgataH sUtra-paryApannaH anvardDa-mAsam sUtre prAtimokze
   uddeśamāgacchati yāvadahannajānāmi tāvannāstīthaṃ makṣamāpattirjānea ca te	uddeSam-AgacCati yAvat-ahan=-ajAnAmi tAvat-na-astITam makzam-ApattiH-jAnea ca te
   bhikṣū taṃ bhikṣūm sakṛtdvitthikkhutto trikkhutto āgatapūrvvaṃ pi	BikzU tam BikzUm sakRt-t-vitTikKuttaH triS-KuttaH Agata-pUrvvam pi
   sannidhapūrvvaṃ pi kaḥ punarvvādo bahuśo nāsti kho punastasya bhikṣūsya	sanniDa-pUrvvam pi kaH punar-vvAdaH bahuSas na-asti KaH punar-tasya BikzUsya
   ajñānena muktiḥ / atha iyāṃpi ca so bhikṣūrāpattimāpanno tu kṣiprameva	ajQAnena muktiH / aTa iyAMpi ca saH BikzUrApattim-ApannaH tu kzipram-eva
