   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   na ṣṭutvam / sanṣaṣṭhaḥ //	na zwutvam / sanzazWaH //
   jhalāṃ jaśo 'nte // VLk_67 = P_8,2.39 //	JalAm jaSaH ante // VLk-_67  P_8,2.39 //
   padānte jhalāṃ jaśaḥ syuḥ / vāgīśaḥ //	pada-ante JalAm jaSaH syuH / vAgISaH //
   yaro 'nunāsike 'nunāsiko vā // VLk_68 = P_8,4.45 //	yaraH anunAsike anunAsikaH vA // VLk-_68  P_8,4.45 //
   yaraḥ padāntasyānunāsike pare 'nunāsiko vā syāt / etanmurāriḥ, etad	yaraH pada-antasya-anunAsike pare anunAsikaH vA syAt / etat-murAriH, etat-
   murāriḥ / (pratyaye bhāṣāyāṃ nityam) / tanmātram /	murAriH / (pratyaye BAzAyAm nityam) / tanmAtram /
   cinmayam //	cit-mayam //
   torli // VLk_69 = P_8,4.60 //	torli // VLk-_69  P_8,4.60 //
   tavargasya lakāre pare parasavarṇaḥ / tavargasya lakāre pare parasavarṇaḥ	tavargasya lakAre pare para-savarNaH / tavargasya lakAre pare para-savarNaH
   / tallayaḥ / vidvāṃllikhati / nasyānunāsiko laḥ /	/ tad-layaH / vidvAn=-liKati / nasya-anunAsikaH laH /
   udaḥ sthāstambhoḥ pūrvasya // VLk_70 = P_8,4.41 //	udaH sTAstamBoH pUrvasya // VLk-_70  P_8,4.41 //
   udaḥ parayoḥ sthāstambhoḥ pūrvasavarṇaḥ //	udaH parayoH sTAstamBoH pUrva-savarNaH //
   tasmādityuttarasya // VLk_71 = P_1,1.67 //	tasmAt-iti-uttarasya // VLk-_71  P_1,1.67 //
   pañcamīnirdeśena kriyamāṇaṃ kāryaṃ varṇāntareṇāvyavahitasya parasya jñeyam	paQcamI-nirdeSena kriyamANam kAryam varNa-antareNa-avyavahitasya parasya jQeyam
   ādeḥ parasya // VLk_72 = P_1,1.54 //	AdeH parasya // VLk-_72  P_1,1.54 //
   parasya yadvihitaṃ tattasyāderbodhyam / iti sasya thaḥ //	parasya yat-vihitam tat-tasya-AdeH-boDyam / iti sasya TaH //
   jharo jhari savarṇe // VLk_73 = P_8,4.65 //	JaraH Jari savarNe // VLk-_73  P_8,4.65 //
   halaḥ parasya jharo vā lopaḥ savarṇe jhari //	halaH parasya JaraH vA lopaH savarNe Jari //
   khari ca // VLk_74 = P_8,4.55 //	Kari ca // VLk-_74  P_8,4.55 //
   khari jhalāṃ caraḥ / ityudo dasya taḥ / utthānam / uttambhanam //	Kari JalAm caraH / iti-udaH dasya taH / utTAnam / uttamBanam //
   jhayo ho 'nyatarasyām // VLk_75 = P_8,4.62 //	JayaH haH anyatarasyAm // VLk-_75  P_8,4.62 //
   jhayaḥ parasya hasya vā pūrvasavarṇaḥ / nādasya ghoṣasya saṃvārasya	JayaH parasya hasya vA pUrva-savarNaH / nAdasya Gozasya saMvArasya
   mahāprāṇasya tādṛśo vargacaturthaḥ / vāgghariḥ, vāghariḥ //	mahA-prANasya tAdRSaH varga-caturTaH / vAc-hariH, vA-aGariH //
   śaścho 'ṭi // VLk_76 = P_8,4.63 //	SaSCaH awi // VLk-_76  P_8,4.63 //
   jhayaḥ parasya śasya cho vāṭi / tad śiva ityatra dasya ścutvena jakāre	JayaH parasya Sasya CaH vAwi / tat SivaH iti-atra dasya Scutvena jakAre
   kṛte khari ceti jakārasya cakāraḥ / tacchivaḥ, tacśivaḥ / (chatvamamīti	kRte Kari ca-iti jakArasya cakAraH / tat-SivaH, tad-SivaH / (Catvam-amI-iti
   vācyam) tacchlokena //	vAcyam) tad-Slokena //
   mo 'nusvāraḥ // VLk_77 = P_8,3.23 //	maH anusvAraH // VLk-_77  P_8,3.23 //
   māntasya padasyānusvāro hali / hariṃ vande //	mAntasya padasya-anusvAraH hali / harim vande //
   naścāpadāntasya jhali // VLk_78 = P_8,3.24 //	naH-ca-apadAntasya Jali // VLk-_78  P_8,3.24 //
   nasya masya cāpadāntasya jhalyanusvāraḥ / yaśāṃsi / ākraṃsyate / jhali kim	nasya masya ca-apadAntasya JalI-anusvAraH / yaSAMsi / AkraMsyate / Jali kim
   ? manyate //	? manyate //
   anusvārasya yayi parasavarṇaḥ // VLk_79 = P_8,4.58 //	anusvArasya yayi para-savarNaH // VLk-_79  P_8,4.58 //
   spaṣṭam / śāntaḥ //	spazwam / SAntaH //
   vā padāntasya // VLk_80 = P_8,4.59 //	vA pada-antasya // VLk-_80  P_8,4.59 //
   tvaṅkaroṣi, tvaṃ karoṣi //	tvaFkarozi, tvam karozi //
   mo rāji samaḥ kvau // VLk_81 = P_8,3.25 //	maH rAji samaH kvO // VLk-_81  P_8,3.25 //
   kvibante rājatau pare samo masya ma eva syāt / samrāṭ //	kvibante rAjatO pare samaH masya me eva syAt / samrAj //
   he mapare vā // VLk_82 = P_8,3.26 //	he mapare vA // VLk-_82  P_8,3.26 //
   mapare hakāre pare masya mo vā / kim hmalayati, kiṃ hmalayati /	mapare hakAre pare masya maH vA / kim hmalayati, kim hmalayati /
   (yavalapare yavalā vā)/ kiṃyhyaḥ, kiṃ hyaḥ / kiṃvhvalayati, kiṃ hvalayati	(yavala-pare yavalAH vA)/ kiMyhyaH, kim hyas / kiMvhvalayati, kim hvalayati
   / kiṃl hlādayati, kiṃ hlādayati //	/ kin hlAdayati, kim hlAdayati //
   napare naḥ // VLk_83 = P_8,3.27 //	napare naH // VLk-_83  P_8,3.27 //
   napare hakāre masya no vā / kin hnute, kiṃ hnute //	napare hakAre masya no vA / kin hnute, kim hnute //
   ādyantau ṭakitau // VLk_84 = P_1,1.46 //	Adi-antO wakitO // VLk-_84  P_1,1.46 //
   ṭitkitau yasyoktau tasya kramādādyantāvayavau staḥ //	witkitO yasya-uktO tasya kramAt-Adi-anta-avayavO staH //
   ṅṇoḥ kukṭuk śari // VLk_85 = P_8,3.28 //	FNoH kukwuj Sari // VLk-_85  P_8,3.28 //
   vā staḥ / (cayo dvitīyāḥ śari pauṣkarasāderiti vācyam) / prāṅkh ṣaṣṭhaḥ,	vA staH / (cayaH dvitIyAH Sari pOzka-rasa-AdeH-iti vAcyam) / prAFK zazWaH,
   prāṅkṣaṣṭhaḥ, prāṅ ṣaṣṭhaḥ / sugaṇṭh ṣaṣṭhaḥ sugaṇṭ ṣaṣṭhaḥ, sugaṇ ṣaṣṭhaḥ	prAFkzazWaH, prAF zazWaH / su-gaNW zazWaH su-gaNS zazWaH, sugaw zazWaH
   ḍaḥ si dhuṭ // VLk_86 = P_8,3.29 //	xaH si Duz // VLk-_86  P_8,3.29 //
   ḍātparasya sasya dhuḍvā / ṣaṭtsantaḥ, ṣaṭ santaḥ //	xAtparasya sasya DuxvAH / zawtsantaH, zaw santaH //
   nasca // VLk_87 = P_8,3.30 //	naH-caH // VLk-_87  P_8,3.30 //
   nāntātparasya sasya dhuḍvā / santsaḥ, sansaḥ //	na-antAt-parasya sasya DuxvAH / santsaH, san-saH //
   śi tuk // VLk_88 = P_8,3.31 //	Si tuj // VLk-_88  P_8,3.31 //
   padāntasya nasya śe pare tugvā / sañchambhuḥ, sañcchambhuḥ, sañcśambhuḥ,	pada-antasya nasya Se pare tugvAH / san-SamBuH, saQt-SamBuH, saQt-SamBuH,
   sañśambhuḥ //	san-SamBuH //
   ṅamo hrasvādaci ṅamuṇ nityam // VLk_89 = P_8,3.32 //	FamaH hrasvAdaci Famuw nityam // VLk-_89  P_8,3.32 //
   hrasvātpare yo ṅam tadantaṃ yatpadaṃ tasmātparasyāco ṅamuṭ / pratyaṅṅātmā	hrasvAt-pare yaH Fam tad-antam yat-padam tasmAt-parasya-AcaH Famuh / pratyak-Fa-AtmA
   / sugaṇṇīśaḥ / sannacyutaḥ //	/ su-gaNNI-ISaH / san=-a-cyutaH //
   samaḥ suṭi // VLk_90 = P_8,3.5 //	samaH suwi // VLk-_90  P_8,3.5 //
   samo ruḥ suṭi //	samaH ruH suwi //
   atrānunāsikaḥ pūrvasya tuvā // VLk_91 = P_8,3.2 //	atra-anunAsikaH pUrvasya tuvA // VLk-_91  P_8,3.2 //
   atra ruprakaraṇe roḥ pūrvasyānunāsiko vā //	atra ruprakaraNe roH pUrvasya-anu-nAsikaH vA //
   anunāsikātparo 'nusvāraḥ // VLk_92 = P_8,3.4 //	anunAsikAt-paraH anusvAraH // VLk-_92  P_8,3.4 //
   anunāsikaṃ vihāya roḥ pūrvasmātparo 'nusvārāgamaḥ //	anunAsikam vihAya roH pUrvasmAt-paraH anusvAra-AgamaH //
   kharavasānayorvisarjanīyaḥ // VLk_93 = P_8,3.15 //	Kara-vasAnayoH-visarjanIyaH // VLk-_93  P_8,3.15 //
   khari avasāne ca padāntasāya rephasya visargaḥ / (saṃpuṃkānāṃ so	Kari avasAne ca padAntasAya rePasya visargaH / (saMpuMkAnAm saH-
   vaktavyaḥ) / saṃsskartā, saṃsskartā //	vaktavyaH) / saMsskartA, saMsskartA //
   pumaḥ khayyampare // VLk_94 = P_8,3.6 //	pumaH KayI-ampare // VLk-_94  P_8,3.6 //
   ampare khayi pumo ruḥ / puṃskokilaḥ, puṃskokilaḥ //	ampare Kayi pumaH ruH / puMskokilaH, puMskokilaH //
   naśchavyapraśān // VLk_95 = P_8,3.7 //	naH-Cavya-praSAn // VLk-_95  P_8,3.7 //
   ampare chavi nāntasya padasyaruḥ; na tu praśānśabdasya //	ampare Cavi na-antasya padasi-a-ruH; na tu praSAn-Sabdasya //
   visarjanīyasya saḥ // VLk_96 = P_8,3.34 //	visarjanIyasya saH // VLk-_96  P_8,3.34 //
   khari / cakriṃstrāyasva, cakriṃstrāyasva / apraśān kim ? praśāntanoti /	Kari / cakrin=-trAya-sva, cakrin=-trAyasva / apraSAn kim ? praSAntanoti /
   padasyeti kim ? hanti //	padasya-iti kim ? hanti //
   nṝn pe // VLk_97 = P_8,3.10 //	nLn pe // VLk-_97  P_8,3.10 //
   nṝnityasya rurvā pe //	nLnityasya rurvA pe //
   kupvoḥ eka epau ca // VLk_98 = P_8,3.37 //	kupvoH ekaH epO ca // VLk-_98  P_8,3.37 //
   kavarge pavarge ca visargasya eka epau staḥ, cādvisargaḥ / nṝṃ pāhi, nṝṃḥ	kavarge pavarge ca visargasya ekaH epO staH, ca-advisargaH / nLm pAhi, nLMH
   pāhi, nṝṃḥ pāhi / nṝn pāhi //	pAhi, nLnH pAhi / nLn pAhi //
   tasya paramāmreḍitam // VLk_99 = P_8,1.2 //	tasya parama-Amrexitam // VLk-_99  P_8,1.2 //
   dviruktasya paramāmreḍitam syāt //	dvis-uktasya parama-Amrexitam syAt //
   kānāmreḍite // VLk_100 = P_8,3.12 //	kAnAmrexite // VLk-_100  P_8,3.12 //
   kānnakārasya ruḥ syādāmreḍite / kāṃskān, kāṃskān //	kAnnakArasya ruH syAt-Amrexite / kAMskAn, kAMskAn //
   che ca // VLk_101 = P_6,1.73 //	Ce ca // VLk-_101  P_6,1.73 //
   hrasvasya che tuk / śivacchāyā //	hrasvasya Ce tuj / Siva=-CAyAH //
   padāntādvā // VLk_102 = P_6,1.79 //	pada-antAt-vA // VLk-_102  P_6,1.79 //
   dīrghāt padāntāt che tugvā / lakṣmīcchāyā, lakṣmī chāyā //	dIrGAt pada-antAt Ce tugvA / lakzmi-icCAyA, lakzmI CAyA //
   iti halsandhiḥ /	iti halsanDiH /
   atha visargasandhiḥ	aTa visarga-sanDiH
   visarjanīyasya saḥ // VLk_103 = P_8,3.34 //	visarjanIyasya saH // VLk-_103  P_8,3.34 //
   khari / viṣṇustrātā //	Kari / vizNuH-trAtA //
   vā śari // VLk_104 = P_8,3.36 //	vA Sari // VLk-_104  P_8,3.36 //
   śari visargasya visargo vā / hariḥ śete, hariśśete //	Sari visargasya visargaH vA / hariH Sete, hariH-Sete //
   samajuṣo ruḥ // VLk_105 = P_8,2.66 //	sama-juzaH ruH // VLk-_105  P_8,2.66 //
   padāntasya sasya sajuṣaśca ruḥ syāt //	pada-antasya sasya sa-juzaH-ca ruH syAt //
   ato roraplutādaplutādaplute // VLk_106 = P_6,1.113 //	atas rora-plutAt-aplutAt-aplute // VLk-_106  P_6,1.113 //
   aplutādataḥ parasya roruḥ syādaplute 'ti / śivor'cyaḥ //	aplutAt-atas parasya roruH syAt-aplute ati / Sivor-acyaH //
   haśi ca // VLk_107 = P_6,1.114 //	haSi ca // VLk-_107  P_6,1.114 //
   tathā / śivo vandyaḥ //	taTA / SivaH vandyaH //
   bho bhago agho apūrvasya yo 'śi // VLk_108 = P_8,3.17 //	Bo BagaH aGaH apUrvasya yaH aSi // VLk-_108  P_8,3.17 //
   etatpūrvasya roryādeśo 'śi / devā iha, devāyiha / bhos bhagos aghos iti	etat-pUrvasya roryAdeSaH aSi / devAH iha, devAyiha / BoH BagoH aGoH iti
   sāntā nipātāḥ / teṣāṃ roryatve kṛte //	sa-antAH nipAtAH / tezAm roryatve kRte //
   hali sarveṣām // VLk_109 = P_8,3.22 //	hali sarvezAm // VLk-_109  P_8,3.22 //
   bhobhagoaghoapūrvasya yasya lopaḥ syāddhali / bho devāḥ / bhago namaste /	Bo-Baga-uaGoa-pUrvasya yasya lopaH syAt-hali / Bo devAH / BagaH namaH-te /
   agho yāhi //	aGaH yAhi //
   ro 'supi // VLk_110 = P_8,2.69 //	raH asupi // VLk-_110  P_8,2.69 //
   ahno rephādeśo na tu supi / aharahaḥ / ahargaṇaḥ //	ahnaH rePa-AdeSaH na tu supi / aharahar / ahar-gaNaH //
   ro ri // VLk_111 = P_8,3.14 //	raH ri // VLk-_111  P_8,3.14 //
   rephasya rephe pare lopaḥ //	rePasya rePe pare lopaH //
   ḍhralope pūrvasya dīrgho 'ṇaḥ // VLk_112 = P_6,3.111 //	Xra-lope pUrvasya dIrGaH aNaH // VLk-_112  P_6,3.111 //
   ḍharephayorlopanimittayoḥ pūrvasyāṇo dīrghaḥ / punā ramate / harī ramyaḥ /	XarePayoH-lopa-nimittayoH pUrvasya-aNaH dIrGaH / punA ramate / hariH ramyaH /
   śambhū rājate / aṇaḥ kim ? tṛḍhaḥ / vṛḍhaḥ / manas ratha ityatra rutve	SamBuH rAjate / aNaH kim ? tRXaH / vRXaH / manaH raTaH iti-atra rutve
   kṛte haśi cetyutve rorīti lope ca prāpte //	kRte haSi ca-iti-utve rori-iti lope ca prApte //
   vipratiṣedhe paraṃ kāryam // VLk_113 = P_1,4.2 //	vipratizeDe param kAryam // VLk-_113  P_1,4.2 //
   tulyabalavirodhe paraṃ kāryaṃ syāt / iti lope prāpte / pūrvatrāsiddhamiti	tulya-bala-viroDe param kAryam syAt / iti lope prApte / pUrvatra-asidDam-iti
   rorītyasyāsiddhatvādutvameva / manorathaḥ //	rorIti-asya-asidDa-tvAt-utvam-eva / manoraTaH //
   etattadoḥ sulopo 'koranañsamāse hali // VLk_114 = P_6,1.132 //	etat-tadoH su-lopaH akora-naQsa-mAse hali // VLk-_114  P_6,1.132 //
   akakārayoretattadoryaḥ sustasya lopo hali na tu nañsamāse / eṣa viṣṇuḥ /	akakArayoH-etat-tadoH-yaH suH-tasya lopaH hali na tu naQsamAse / eza vizNuH /
   sa śambhuḥ / akoḥ kim ? eṣako rudraḥ / anañsamāse kim ? asaḥ śivaḥ / hali	sa SamBuH / akoH kim ? ezakaH rudraH / anan-samAse kim ? asaH SivaH / hali
   kim ? eṣo 'tra //	kim ? ezaH atra //
   so 'ci lope cetpādapūraṇam // VLk_115 = P_6,1.134 //	saH aci lope ced-pAda-pUraNam // VLk-_115  P_6,1.134 //
   sa ityasya sorlopaḥ syādaci pādaścellope satyeva pūryyeta / semāmaviḍḍhi	saH iti-asya soH-lopaH syAt-aci pAdaH-ced-lope sati-eva pUryyeta / sa-ima-Am-avixXi
   prabhṛtim / saiṣa dāśarathī rāmaḥ //	praBRtim / sa-eza dASaraTiH rAmaH //
   iti visargasandhiḥ //	iti visarga-sanDiH //
   iti pañcasandhiprakaraṇam /	iti paQca-sanDi-prakaraNam /
   atha ṣaḍliṅgeṣu ajantapuṃlliṅgāḥ	aTa zaz-liFgezu ajanta-puMlliFgAH
   arthavadadhāturapratyayaḥ prātipadikam // VLk_116 = P_1,2.45 //	arTavat-aDa-AtuH-apratyayaH prAtipadikam // VLk-_116  P_1,2.45 //
   dhātuṃ pratyayaṃ pratyayāntaṃ ca varjayitvā arthavacchabdasvarūpaṃ	DAtum pratyayam pratyaya-antam ca varjayitvA arTavat-Sabda-svarUpam
   prātipadikasaṃjñaṃ syāt //	prAtipadika-saMjQam syAt //
   kṛttaddhitasamāsāśca // VLk_117 = P_1,2.46 //	kRt-tadDita-samAsAH-ca // VLk-_117  P_1,2.46 //
   kṛttaddhitāntau samāsāśca tathā syuḥ //	kRttadDi-ta-antO samAsAH-ca taTA syuH //
   svaujasamauṭchaṣṭābhyāmbhisṅebhyāmbhyasṅasibhyāmbhyasṅasosāmṅyossup	sva-oja-samOwSazwABya-amBi-sFeBya-amBya-sFasiBya-amByasFasosAmFya-ussup
   VLk_118 = P_4,1.2 //	VLk-_118  P_4,1.2 //
   su au jas iti prathamā / am auṭ śas iti dvitīyā / ṭā bhyām bhis iti tṛtīyā	su O jas iti praTamA / am OS Sas iti dvitIyA / wA ByAm BiH iti tRtIyA
   / ṅe bhyām bhyas iti caturthī / ṅasi bhyām bhyas iti pañcamī / ṅas os ām	/ Fe ByAm ByaH iti caturTI / Fasi ByAm ByaH iti paQcamI / FaH oH Am
   iti ṣaṣṭhī / ṅi os sup iti saptamī //	iti zazWI / Fi oH suB iti saptamI //
   ṅyāpprātipadikāt // VLk_119 = P_4,1.1 //	FyAp-prAtipadikAt // VLk-_119  P_4,1.1 //
   pratyayaḥ // VLk_120 = P_3,1.1 //	pratyayaH // VLk-_120  P_3,1.1 //
   paraśca // VLk_121 = P_3,1.2 //	paraH-ca // VLk-_121  P_3,1.2 //
   ityadhikṛtya / ṅyantādābantātprātipadikācca pare svādayaḥ pratyayāḥ syuḥ	iti-aDikRtya / FyantAt-AbantAt-prAtipadikAt-ca pare sva-AdayaH pratyayAH syuH
   supaḥ // VLk_122 = P_1,4.103 //	supaH // VLk-_122  P_1,4.103 //
   supastrīṇi trīṇi vacanānyekaśa ekavacanadvivacanabahuvacanasaṃjñāni syuḥ	supaH-trINi trINi vacanAni-ekaSas eka-vacana-dvivacana-bahuvacana-saMjQAni syuH
   dvyekayordvivacanaikavacane // VLk_123 = P_1,4.22 //	dvi-ekayoH-dvivacana-eka-vacane // VLk-_123  P_1,4.22 //
   dvitvaikatvayorete staḥ //	dvi-tva-eka-tvayoH-ete staH //
   virāmo 'vasānam // VLk_124 = P_1,4.110 //	virAmaH avasAnam // VLk-_124  P_1,4.110 //
   varṇānāmabhāvo 'vasānasaṃjñaḥ syāt / rutvavisargau / rāmaḥ //	varNAnAm-aBAvaH avasAna-saMjQaH syAt / rutva-visargO / rAmaH //
   sarūpāṇāmekaśeṣa ekavibhaktau // VLk_125 = P_1,2.64 //	sarUpANAm-eka-SezaH eka-viBaktO // VLk-_125  P_1,2.64 //
   ekavibhaktau yāni sarūpāṇyeva dṛṣṭāni teṣāmeka eva śiṣyate //	eka-viBaktO yAni sarUpANi-eva dRzwAni tezAm-ekaH eva Sizyate //
   prathamayoḥ pūrvasavarṇaḥ // VLk_126 = P_6,1.102 //	praTamayoH pUrva-savarNaH // VLk-_126  P_6,1.102 //
   akaḥ prathamādvitīyayoraci pūrvasavarṇadīrgha ekādeśaḥ syāt / iti prāpte	akaH praTama-advitIyayA-uraci pUrva-savarNa-dIrGaH ekAdeSaH syAt / iti prApte
   nādici // VLk_127 = P_6,1.104 //	na-Adi-ci // VLk-_127  P_6,1.104 //
   ādici na pūrvasavarṇadīrghaḥ / vṛddhireci / rāmau //	Adici na pUrva-savarNa-dIrGaH / vRdDireci / rAmO //
   bahuṣu bahuvacanam // VLk_128 = P_1,4.21 //	bahuzu bahuvacanam // VLk-_128  P_1,4.21 //
   bahutvavivakṣāyāṃ bahuvacanaṃ syāt //	bahu-tva-vivakzAyAm bahuvacanam syAt //
   cuṭū // VLk_129 = P_1,3.7 //	cuwU // VLk-_129  P_1,3.7 //
   pratyayādyau cuṭū itau staḥ //	pratyaya-AdyO cuwuH itO staH //
   vibhaktiśca // VLk_130 = P_1,4.104 //	viBaktiH-ca // VLk-_130  P_1,4.104 //
   suptiṅau vibhaktisaṃjñau staḥ //	suptiFO viBakti-saMjQO staH //
   na vibhaktau tusmāḥ // VLk_131 = P_1,3.4 //	na viBaktO tusmAH // VLk-_131  P_1,3.4 //
   vibhaktisthāstavargasamā netaḥ / iti sasya nettvam / rāmāḥ //	viBakti-sTAstavarga-samAH na-itas / iti sasya nettvam / rAmAH //
   ekavacanaṃ sambuddhiḥ // VLk_132 = P_2,3.49 //	eka-vacanam sambudDiH // VLk-_132  P_2,3.49 //
   sambodhane prathamāyā ekavacanaṃ sambuddhisaṃjñaṃ syāt //	samboDane praTamAyAH eka-vacanam sambudDi-saMjQam syAt //
   yasmātpratyayavidhistadādi pratyaye 'ṅgam // VLk_133 = P_1,4.13 //	yasmAt-pratyaya-viDiH-tad-Adi pratyaye aFgam // VLk-_133  P_1,4.13 //
   yaḥ pratyayo yasmāt kriyate tadādiśabdasvarūpaṃ tasminnaṅgaṃ syāt //	yaH pratyayaH yasmAt kriyate tad-Adi-Sabda-svarUpam tasmin=-aFgam syAt //
   eṅhrasvātsambuddheḥ // VLk_134 = P_6,1.69 //	eFhrasvAt-sambudDeH // VLk-_134  P_6,1.69 //
   eṅantāddhrasvāntāccāṅgāddhallupyate sambuddheścet / he rāma / he rāmau /	eFantAt-hra-sva-antAt-ca-aFgAt-hallupyate sambudDeH-ced / he rAma / he rAmO /
   he rāmāḥ //	he rAmAH //
   ami pūrvaḥ // VLk_135 = P_6,1.107 //	ami pUrvaH // VLk-_135  P_6,1.107 //
   ako 'myaci pūrvarūpamekādeśaḥ / rāmam / rāmau //	akaH amyaci pUrvarUpam-ekAdeSaH / rAmam / rAmO //
   laśakvataddhite // VLk_136 = P_1,3.8 //	laSakvatat-hite // VLk-_136  P_1,3.8 //
   taddhitavarjapratyayādyā laśakavargā itaḥ syuḥ //	tad-hita-varja-pratyaya-AdyAH laSaka-vargAH itas syuH //
   tasmācchaso naḥ puṃsi // VLk_137 = P_6,1.103 //	tasmAt-SasaH naH puMsi // VLk-_137  P_6,1.103 //
   pūrvasavarṇadīrghātparo yaḥ śasaḥ sastasya naḥ syātpuṃsi //	pUrva-savarNa-dIrGAt-paraH yaH SasaH saH-tasya naH syAt-puMsi //
   aṭkupvāṅnumvyavāye 'pi // VLk_138 = P_8,4.2 //	awkupvAk-numvyavAye api // VLk-_138  P_8,4.2 //
   aṭ kavargaḥ pavargaḥ āṅ num etairvyastairyathāsaṃbhavaṃ militaiśca	aw kavargaH pavargaH Ak num etEH-vyastEH-yaTAsaMBavam militEH-ca
   vyavadhāne 'pi raṣābhyāṃ parasya nasya ṇaḥ samānapade / iti prāpte //	vyavaDAne api razAByAm parasya nasya NaH samAna-pade / iti prApte //
   padāntasya // VLk_139 = P_8,4.37 //	pada-antasya // VLk-_139  P_8,4.37 //
   nasya ṇo na / rāmān //	nasya NaH na / rAmAn //
   ṭāṅasiṅasāminātsyāḥ // VLk_140 = P_7,1.12 //	wAFa-siFa-sAminAtsyAH // VLk-_140  P_7,1.12 //
   adantāṭṭādīnāminādayaḥ syuḥ / ṇatvam / rāmeṇa //	adanta-awwa-AdInAm-ina-AdayaH syuH / Na-tvam / rAmeNa //
   supi ca // VLk_141 = P_7,3.102 //	supi ca // VLk-_141  P_7,3.102 //
   yañādau supi ato 'ṅgasya dīrghaḥ / rāmābhyām //	yaQA-AdO supi atas aFgasya dIrGaH / rAmAByAm //
   ato bhisa ais // VLk_142 = P_7,1.9 //	atas BisaH EH // VLk-_142  P_7,1.9 //
   anekālśitsarvasya / rāmairḥ //	anekAt-Sit-sarvasya / rAmEH-H //
   ṅeyaḥ // VLk_143 = P_7,1.13 //	FeyaH // VLk-_143  P_7,1.13 //
   ato 'ṅgātparasya ṅeyadiśaḥ //	atas aFgAt-parasya Feya-diSaH //
   sthānivadādeśo 'nalvidhau // VLk_144 = P_1,1.56 //	sTAni-vat-AdeSaH analviDO // VLk-_144  P_1,1.56 //
   ādeśaḥ sthānivatsyānna tu sthānyalāśrayavidhau / iti sthānivattvāt supi	AdeSaH sTAni-vatsyAt-na tu sTAnyala-ASraya-viDO / iti sTAnivat-tvAt supi
   ceti dīrghaḥ / rāmāya / rāmābhyām //	ca-iti dIrGaH / rAmAya / rAmAByAm //
   bahuvacane jhalyet // VLk_145 = P_7,3.103 //	bahuvacane Jalyet // VLk-_145  P_7,3.103 //
   jhalādau bahuvacane supyato 'ṅgasyaikāraḥ / rāmebhyaḥ / supi kim ?	Jala-AdO bahuvacane supyataH aFgasya-ekAraH / rAmeByaH / supi kim ?
   pacadhvam //	pacaDvam //
   vāvasāne // VLk_146 = P_8,4.56 //	vA-avasAne // VLk-_146  P_8,4.56 //
   avasāne jhalāṃ caro vā / rāmāt, rāmād / rāmābhyām / rāmebhyaḥ / rāmasya //	avasAne JalAm caraH vA / rAmAt, rAmAt / rAmAByAm / rAmeByaH / rAmasya //
   osi ca // VLk_147 = P_7,3.104 //	osi ca // VLk-_147  P_7,3.104 //
   ato 'ṅgasyaikāraḥ / rāmayoḥ //	atas aFgasya-ekAraH / rAmayoH //
   hrasvanadyāpo nuṭ // VLk_148 = P_7,1.54 //	hrasvana-dyApaH nuh // VLk-_148  P_7,1.54 //
   hrasvāntānnadyantādābantāccāṅgātparasyāmo nuḍāgamaḥ //	hrasva-anta-an-nadI-antAt-AbantAt-ca-aFgAt-parasyAmaH nuz-AgamaH //
   nāmi // VLk_149 = P_6,4.3 //	nAmi // VLk-_149  P_6,4.3 //
   ajantāṅgasya dīrghaḥ / rāmāṇām / rāme / rāmayoḥ / supi - ettve kṛte //	ajanta-aFgasya dIrGaH / rAmANAm / rAme / rAmayoH / supi  ettve kRte //
   ādeśapratyayayoḥ // VLk_150 = P_8,3.59 //	AdeSa-pratyayayoH // VLk-_150  P_8,3.59 //
   iṇkubhyāṃ parasyāpadāntasyādeśasya pratyayāvayavasya yaḥ sastasya	iNkuByAm parasya-apadAntasya-AdeSasya pratyaya-avayavasya yaH saH-tasya
   mūrdhanyādeśaḥ / īṣadvivṛtasya sasya tādṛśa eva ṣaḥ / rāmeṣu / evaṃ	mUrDani-AdeSaH / Izat-vivRtasya sasya tAdRSaH eva zaH / rAmezu / evam
   kṛṣṇādayo 'pyadantāḥ //	kRzNa-AdayaH api-adantAH //
   sarvādīni sarvanāmāni // VLk_151 = P_1,1.27 //	sarva-AdIni sarva-nAmAni // VLk-_151  P_1,1.27 //
   sarva viśva ubha ubhaya ḍatara ḍatama anya anyatara itara tvat tva nema	sarva viSvaH uBaH uBaya xatara xatamaH anyaH anyataraH itara tvat tva nema
   sama sima / pūrvaparāvaradakṣiṇottarāparādharāṇi vyavasthāyāmasaṃjñāyām /	sama sima / pUrva-parAvara-dakziNa-uttara-aparADarANi vyavasTAyAm-asaMjQAyAm /
   svamajñātidhanākhyāyām / antaraṃ bahiryogopasaṃvyānayoḥ / tyad tad yad	svam-ajQAti-Dana-AKyAyAm / antaram bahiryoga-upasaMvyAnayoH / tyat tat yat-
   etad idam adas eka dvi yuṣmad asmad bhavatu kim //	etat idam adas eka dvi yuzmat asmat Bavatu kim //
   jasaḥ śī // VLk_152 = P_7,1.17 //	jasaH SI // VLk-_152  P_7,1.17 //
   adantātsarvanāmno jasaḥ śī syāt / anekāltvātsarvādeśaḥ / sarve //	adantAt-sarva-nAmnaH jasaH SI syAt / anekAltvAt-sarva-AdeSaH / sarve //
