   Kṣemendraviracitā	Kzema indra viracitA
   etadarthamayaṃ kāyaḥ sāpāyo 'pi satāṃ priyaḥ /	etad arTa m ayam kAyaH sa apAyaH api satAm priyaH /
   yatkasyacit kkacid yāti kadācidupakāritām // KAvk_2.29 //	yat kasyacid kkacid yAti kadAcid upakAritAm // KAvc _2.29 //
   śrutveti nṛpatervākyamamātyaḥ sattvaśālinaḥ /	SrutvA iti nRpateH vAkyam amAtyaH sattva SAlinaH /
   novāca kiṃcidacalāṃ vicintya bhavitasyatām // KAvk_2.30 //	na uvAca kiMcid acalAm vicintya BavitasyatAm // KAvc _2.30 //
   tataḥ kadācidbhūbhartustasya līlāvihāriṇaḥ /	tatas kadAcid BUBartuH tasya lIlA vihAriNaH /
   jāyāṃ jayaprabhāṃ nāma ratiṃ ratipateriva // KAvk_2.31 //	jAyAm jayapraBAm nAma ratim ratipateH iva // Ka avc _2.31 //
   dūrād yadṛcchayāyātāṃ cittasāsaṅgavāgurām /	dUrAt yadRcCayA AyAtAm citta sAsaFga vAgurAm /
   muniradhyāpakaḥ kāntām dadarśa vinimeṣadṛk // KAvk_2.32 //	muniH aDyApakaH kAntAm dadarSa vinimeza dRS // Ka avc _2.32 //
   prāgjanmābhyāsasaṃbandhasnehātparicitāmiva /	prAc janma aByAsa saMbanDa snehAt paricitAm iva /
   tāṃ dṛṣṭvā sa dhṛteḥ prāpa dhairyarāśiranīśatām // KAvk_2.33 //	tAm dRzwvA sa DRteH prApa DErya rASiH anISa tAm // Ka avc _2.33 //
   tasya vītaspṛhasyāpi vāsanollasitaṃ manaḥ /	tasya vIta spRhasya api vAsanA ullasitam manaH /
   utsṛjya bhavavaimukhyamabhilāṣabhuvaṃ yayau // KAvk_2.34 //	utsRjya Bava vEmuKyam aBilAza Buvam yayO // Ka avc _2.34 //
   iyaṃ hi satatasyūtā saṃtataprītitantubhiḥ /	iyam hi satatasyUtA saMtata prIti tantuBiH /
   nāpaiti sarvajantūnāṃ prāgjanmābhyāsavāsanā // KAvk_2.35 //	na apEti sarva jantUnAm prAc janma aByAsa vAsanA // KAvc _2.35 //
   tadāśramapadaṃ prāptaḥ samāptādhyayanavrataḥ /	tad ASrama padam prAptaH samApta aDyayana vrataH /
   śiṣyo māṇavakaḥ prāha dakṣiṇā gṛhyatāmiti // KAvk_2.36 //	SizyaH mANavakaH prAha dakziNA gRhyatAm iti // Ka avc _2.36 //
   sa tamūce na me vatsa vane vṛttiḥ prayojanam /	sa tam Uce na me vatsa vane vRttiH prayojanam /
   tathāpi yadi nirbandhaḥ śrūyatāṃ yadabhīpsitam // KAvk_2.37 //	taTA api yadi nirbanDaH SrUyatAm yat aBIpsitam // Ka avc _2.37 //
   śrīsenasya kṣitipateyadi devī jayaprabhā /	SrI senasya kzitipateya di devI jaya praBA /
   labhyate bhavatā dātuṃ tadasau mama dakṣiṇā // KAvk_2.38 //	laByate BavatA dAtum tat asO mama dakziNA // Ka avc _2.38 //
   ityuktaṃ guruṇā śrutvā śiṣyaḥ kampitamānasaḥ /	iti uktam guruNA SrutvA SizyaH kampita mAnasaH /
   aśakyaprārthanālābhe saṃśayākulito 'bhavat // KAvk_2.39 //	aSakya prArTana alABe saMSaya AkulitaH aBavat // Ka avc _2.39 //
   sa gatvā satatasvecchāvivṛtadvāramarthinām /	sa gatvA satata sva icCA vivRta dvAram arTinAm /
   viveśa svairaviśrambhabhavanaṃ bhūbhṛtāṃ prabhoḥ // KAvk_2.40 //	viveSa svEra viSramBa Bavanam BUBRtAm praBoH // Ka avc _2.40 //
   alabhyārthārthanādainyacintātikliṣṭamānasaḥ /	alaBya arTa arTanA dEnya cintA ati klizwa mAnasaH /
   namrānano 'tivailakṣyād vīkṣamāṇa iva kṣitim // KAvk_2.41 //	namra AnanaH ati vElakzyAt vIkzamANaH iva kzitim // Ka avc _2.41 //
   taṃ dṛṣṭvārthinamāyātaṃ prahṛṣṭo 'bhūnmahīpatiḥ /	tam dRzwvA arTinam AyAtam prahRzwaH aBUt mahIpatiH /
   sudhāpradānasannaddhasamudbhūtirivāmbudhiḥ // KAvk_2.42 //	suDA pradAna sannadDa samudBUtiH iva ambuDiH // Ka avc _2.42 //
   kiṃ tavepsitamityuktvā pūjitaḥ sa mahībhujā /	kim tava Ipsitam iti uktvA pUjitaH sa mahIBujA /
   uvācānucitākhyānavailajjaskhalitākṣaraḥ // KAvk_2.43 //	uvAca anucita AKyAna vElajja sKalita akzaraH // Ka avc _2.43 //
   anarthitaparaḥ pūrvamarthikalpatarostava /	anarTita paraH pUrvam arTi kalpa taroH tava /
   garvarthamarthitāṃ yātaḥ sudurlabhapade 'pyaham // KAvk_2.44 //	garvarTam arTitAm yAtaH su durlaBa pade api aham // Ka avc _2.44 //
   mama vidyāvrate pūrṇe dakṣiṇābhimatā guroḥ /	mama vidyA vrate pUrNe dakziNa aBimatA guroH /
   rājan jayaprabhā devī dīyatā yadi śakyate // KAvk_2.45 //	rAjan jaya praBA devI dIyatA yadi Sakyate // Ka avc _2.45 //
   ityukre muniśiṣyeṇa sahasaiva mahīpateḥ /	iti ukre muni SizyeNa sahasA eva mahIpateH /
   snehadānasāviddhaṃ dvidhābhūtamabhūnmanaḥ // KAvk_2.46 //	sneha dAna sAvidDam dviDA BUtam aBUt manaH // Ka avc _2.46 //
   sa jagād vijaṃ dantajyotiṣāgravisāriṇā /	sa jagAt vijam danta jyotiza agra visAriNA /
   gṛhyatāṃ dayitā svacchavāsasācchādayanniva // KAvk_2.47 //	gRhyatAm dayitA su acCa vAsasA AcCAdayan= iva // Ka avc _2.47 //
   avicārya mayā deyamīpsitaṃ tava yadguroḥ /	avicArya mayA deyam Ipsitam tava yat guroH /
   viyogacakitaṃ cetaḥ satyaṃ na gaṇayāmyaham // KAvk_2.48 //	viyoga cakitam cetaH satyam na gaNayAmi aham // Ka avc _2.48 //
   ityuktvāhūya dayitām rājā rājīvalocanām /	iti uktvA AhUya dayitAm rAjA rAjIva locanAm /
   sadā hṛdayasaṃsaktām jīvavṛttimivāparām // KAvk_2.49 //	sadA hRdaya saMsaktAm jIva vRttim iva aparAm // Ka avc _2.49 //
   nivārito 'pi guruṇā viyogavyasanāgninā /	nivAritaH api guruNA viyoga vyasana agninA /
   niṣiddho 'pyativṛddhena snehena smarabandhunā // KAvk_2.50 //	nizidDaH api ativRdDena snehena smara banDunA // KAvc _2.50 //
   pradadau muniśiṣyāya sahasā hariṇīmiva /	pradadO muni SizyAya sahasA hariNIm iva /
   kimetaditi sāyāsasaṃtrāsataralekṣaṇām // KAvk_2.51 //	kim etat iti sa AyAsa saMtrAsa tarala IkzaNAm // Ka avc _2.51 //
   dattāyāṃ tyāgaśīlena priyāyāṃ pṛthivībhujā /	dattAyAm tyAga SIlena priyAyAm pRTivIBujA /
   cakampe tyāgabhīteva bhūmirlolābdhimekhalā // KAvk_2.52 //	cakampe tyAga BItA iva BUmiH lola abDi meKalA // Ka avc _2.52 //
   yatkṛte durdaśāṃ dehe sehire duḥsahāmapi /	yad kRte durdaSAm dehe sehire duHsahAm api /
   indracandrādayo devāstāh priyāḥ kasya na priyāḥ // KAvk_2.53 //	indra candra AdayaH devAH tAh priyAH kasya na priyAH // KAvc _2.53 //
   śīlaṃ keciddhanaṃ keciddharmaṃ kecittapaḥ pare /	SIlam kecid Danam kecid Darmam kecid tapaH pare /
   lajjāṃ kecittanuṃ kecittyajanti yoṣitāṃ kṛte // KAvk_2.54 //	lajjAm kecid tanum kecid tyajanti yozitAm kRte // Ka avc _2.54 //
   yadeva rāgasarvasvaṃ puṃsāṃ jīvitajīvitam /	yat eva rAga sarva svam puMsAm jIvita jIvitam /
   tadeva sphīṭasattvānām dāne tṛṇalavāyate // KAvk_2.55 //	tat eva sPIwa sattvAnAm dAne tRNalavAyate // KAvc _2.55 //
   tāmādāya gate tasmin virahākulito nṛpaḥ /	tAm AdAya gate tasmin viraha AkulitaH nRpaH /
   viraheṇa sukhadveṣī manobhava ivābhavat // KAvk_2.56 //	viraheNa suKa dvezI manoBavaH iva aBavat // Ka avc _2.56 //
   śiṣyeṇa munirānītām dṛṣṭvā bhūpativallabhām /	SizyeNa muniH AnItAm dRzwvA BUpati vallaBAm /
   rahitāṃ jīviteneva paralokabhuvaṃ gatām // KAvk_2.57 //	rahitAm jIvitena iva para loka Buvam gatAm // KAvc _2.57 //
   gāḍhānuśayasaṃtaptaḥ paraṃ lajjānimīlitaḥ /	gAXa anuSaya saMtaptaH param lajjA nimIlitaH /
   acintayadanaucityamātmanaḥ karmavuplavāt // KAvk_2.58 //	acintayat anOcityam AtmanaH karma vuplavAt // Ka avc _2.58 //
   aho nu bālakeneva mayā kevalacāpalāt /	aho nu bAlakena iva mayA kevala cApalAt /
   niḥśankamayaśaḥpaṅke svayamātmā nipatitaḥ // KAvk_2.59 //	niHSankamaya SaH paFke svayam AtmA nipatitaH // Ka avc _2.59 //
   iyaṃ prajānāṃ jananī bharmyāṇāṃ dharmakāriṇā /	iyam prajAnAm jananI BarmyANAm Darma kAriNA /
   varṇāśramagurorjāyām mayā duḥkhānale 'rpitā // KAvk_2.60 //	varNa ASrama guroH jAyAm mayA duHKa anale arpitA // KAvc _2.60 //
   kiṃ tu nākalitaṃ śīlaṃ na smṛtaḥ saṃyamo mayā /	kim tu na akalitam SIlam na smRtaH saMyamaH mayA /
   gaṇitaṃ naiva vairāgyaṃ viveko nāvalokitaḥ // KAvk_2.61 //	gaNitam na eva vErAgyam vivekaH na avalokitaH // Ka avc _2.61 //
   aho 'tra nirvicārāṇāṃ sanmārgavimukhaṃ manaḥ /	aho atra nirvicArANAm sat mArga vimuKam manaH /
   asaṃyamāsavakṣībamapatheṣveva dhāvati // KAvk_2.62 //	asaMyama Asa vakzIbam apaTezu eva DAvati // KAvc _2.62 //
   iti saṃcitya sa munirvailakṣyakṣapitadyutiḥ /	iti saMcitya sa muniH vElakzya kzapita dyutiH /
   abhyetya rājadayitāmuvāca vinatānanaḥ // KAvk_2.63 //	aByetya rAja dayitAm uvAca vinatA AnanaH // Ka avc _2.63 //
   samāśvasihi he mātarna śokaṃ kartukarhasi /	samASvasihi he mAtar na Sokam kartu karhasi /
   bhavitavyatayaivāyaṃ kleśaste durnayaśca me // KAvk_2.64 //	BavitavyatayA eva ayam kleSaH te durnayaH ca me // Ka avc _2.64 //
   tyaktvā hi śramasaṃtāpamasya tīrataroradhaḥ /	tyaktvA hi Srama saMtApam asya tIrataroH aDas /
   adhunaiva nijaṃ dhāma sahāsmābhirgamiṣyasi // KAvk_2.65 //	aDunA eva nijam DAma saha asmABiH gamizyasi // Ka avc _2.65 //
   ityukte muninā devī sīktevāmṛtavṛṣṭibhiḥ /	iti ukte muninA devI sIktA iva amRta vRzwiBiH /
   avāptajīvitadhṛtistatyāja bhayasaṃbhramam // KAvk_2.66 //	avApta jIvita DRtiH tatyAja Baya saMBramam // Ka avc _2.66 //
   śrutvaitat tridivavyāpi dātuścaritamadbhutam /	SrutvA etat tridivavyA api dAtuH caritam adButam /
   rājñaḥ sattvadayām jñātuṃ vāsavaḥ samupāyayau // KAvk_2.67 //	rAjQaH sattva dayAm jQAtum vAsavaH samupAyayO // Ka avc _2.67 //
   bhakṣitādhaḥśarīrārdho vyāghreṇa vijane vane /	Bakzita aDas SarIra arDaH vyAGreNa vijane vane /
   putraiścaturbhirākrandairgṛhīto brāḥmaṇākṛtiḥ // KAvk_2.68 //	putrEH caturBiH AkrandEH gRhItaH brAHmaNa AkRtiH // KAvc _2.68 //
   prasravadbhūrirūdhiro lambamānāntramaṇḍalah /	prasravat BUri rUDiraH lambamAna antra maNxalah /
   kṛccheṣvapagataprāṇaḥ pāpairiva dṛḍhīkṛtaḥ // KAvk_2.69 //	kRcCezu apagata prANaH pApEH iva dRXIkRtaH // Ka avc _2.69 //
   pratyagrāmiṣyāgandhena kravyādairbhṛśamanvitaḥ /	pratyagrAmizya aganDena kravyAdEH BRSam anvitaH /
   lubdhapārthivacaurotthairanarthairarthavāniva // KAvk_2.70 //	lubDa pArTiva cOra utTEH anarTEH arTavAn iva // Ka avc _2.70 //
   nagarāntaramāsādya sa yayau puravāsinām /	nagara antaram AsAdya sa yayO pura vAsinAm /
   kāruṇyadainyaduḥkhārto smayāvismayahetutām // KAvk_2.71 //	kAruNya dEnya duHKa ArtaH smaya avismaya hetu tAm // KAvc _2.71 //
   sa śoka iva sākāraḥ sa trāsa iva duḥsahaḥ /	sa SokaH iva sa AkAraH sa trAsaH iva duHsahaH /
   vidadhe sādhvasāyāsaṃ sahasā paurayoṣitām // KAvk_2.72 //	vidaDe sADvasa AyAsam sahasA pOra yozitAm // Ka avc _2.72 //
   so 'rthisaṃdarśanasthānasthitasyātha mahīpateḥ /	saH arTi saMdarSana sTAna sTitasya aTa mahIpateH /
   putrarūpaiścaturbhistairnyasto 'gre mañcikārpitah // KAvk_2.73 //	putra rUpEH caturBiH tEH nyastaH agre maQcikA arpitam // Ka avc _2.73 //
   taṃ dṛṣṭvā vaiśasāveśaviṣamakleśavihvalam /	tam dRzwvA vESasa AveSa vizama kleSa vihvalam /
   niṣkūṇitānanavano jano 'bhūnmīlitekṣaṇah // KAvk_2.74 //	nizkUNitAnanavanaH janaH aBUt mIlita IkzaNah // Ka avc _2.74 //
   sa kampavihvalaṃ vakṣo muktamudyamya dakṣiṇam /	sa kampa vihvalam vakzaH muktam udyamya dakziNam /
   bhujaṃ jagāda bhūpālaṃ vyathāśithilitākṣaraḥ // KAvk_2.75 //	Bujam jagAda BUpAlam vyaTA SiTilita akzaraH // Ka avc _2.75 //
   svasti tubhyaṃ mahīpate brāhmaṇo 'hamimāṃ daśām /	svasti tuByam mahIpate brAhmaNaH aham imAm daSAm /
   tīvrapāpa iva prātaḥ paśya māṃ karuṇānidhe // KAvk_2.76 //	tIvra pApaH iva prAtar paSya mAm karuNA niDe // Ka avc _2.76 //
   saṃsāreghoragahane vane vyāghreṇa bhakṣitaḥ /	saMsAra iGa ura gahane vane vyAGreNa BakzitaH /
   jīvāmyavaśyabhogyatvādduḥkhasyāsya garīyasaḥ // KAvk_2.77 //	jIvAmi avaSya Bogya tvAt duHKasya asya garIyasaH // Ka avc _2.77 //
   asminnapi vipattāpe tīvrakleśasahiṣṇavaḥ /	asmin= api vipattApe tIvra kleSa sahizNavaH /
   vimuñcanti na māṃ prāṇāḥ sahṛdaḥ sajjanā iva // KAvk_2.78 //	vimuQcanti na mAm prANAH sahRdaH sat janAH iva // Ka avc _2.78 //
   dadāti yadi te kaścit chittvā dehārdhamātmanaḥ /	dadAti yadi te kaScid CittvA deha arDam AtmanaH /
   tatte jīvitamastīti māmūce vyomadevatā // KAvk_2./ 79 //	tat te jIvitam asti iti mAm Uce vyoma devatA // Ka avc _2./ 79 //
   ko dadāti jagatyasmin jīvitaṃ karuṇānidhe /	kaH dadAti jagati asmin jIvitam karuNA niDe /
   prāyeṇa svasukhānveṣī parārthavimukho janaḥ // KAvk_2.80 //	prAyeNa sva suKa anvezI para arTa vimuKaH janaH // Ka avc _2.80 //
   sarvadā sarvadātāraṃ dīnavyasanabāndhavam /	sarvadA sarva dAtAram dIna vyasana bAnDavam /
   dehadāne 'pyavimukhaṃ tvāmasmi śaraṇaṃ gataḥ // KAvk_2.81 //	deha dAne api avimuKam tvAm asmi SaraNam gataH // KAvc _2.81 //
   ekastvameva loke 'smin jātaḥ sukṛtapādapaḥ /	ekaH tvam eva loke asmin jAtaH sukRta pAdapaH /
   nirvyājamādarodāraṃ dānaṃ yasya phalodgatiḥ // KAvk_2.82 //	nirvyAjam Adara udAram dAnam yasya Pala udgatiH // KAvc _2.82 //
   kimanyairvā vadānyasya kīrtitairbhavato guṇaiḥ /	kim anyEH vA vadAnyasya kIrtitEH BavataH guNEH /
   dānamevāhato yasya loke sukṛtaḍiṇḍimaḥ // KAvk_2.83 //	dAnam eva AhataH yasya loke sukRta xiNximaH // Ka avc _2.83 //
   āpannārtiparitrāṇapavitracaritavratāḥ /	Apanna Arti paritrANa pavitra carita vratAH /
   prāyante puṇyapaṇyena vipatkāle bhavadvidhāḥ // KAvk_2.84 //	prAyante puNya paNyena vipad kAle BavadviDAH // Ka avc _2.84 //
   amandānandasuhṛdo haricandanaśītalāḥ /	amanda Ananda suhRdaH haricandana SItalAH /
   haranti santaḥ saṃtāpaṃ dakṣiṇāḥ pavanā iva // KAvk_2.85 //	haranti santaH saMtApam dakziNAH pavanAH iva // Ka avc _2.85 //
   pūrṇendusundarādasmāduditā vadanāttava /	pUrNa indu sundarAt asmAt uditA vadanAt tava /
   jyoptsneva jīvayatyeva vāṇī pīyūṣavarṣiṇī // KAvk_2.86 //	jyoptsnA iva jIvayati eva vANI pIyUza varziNI // Ka avc _2.86 //
   ityuktastena sahasā hṛdi saṃkrāntatadvyathaḥ /	iti uktaH tena sahasA hRdi saMkrAnta tad vyaTaH /
   saṃmohamūrcchitaṃ rājā tamūce vācamākulam // KAvk_2.87 //	saMmoha mUrcCitam rAjA tam Uce vAcam Akulam // Ka avc _2.87 //
   samāśvasihi muñca tvaṃ bahyaṃ prāṇaviyogajam /	samASvasihi muQca tvam bahyam prANa viyoga jam /
   prayacchāmi śarīrārdhamavicāryaiva te dvija // KAvk_2.88 //	prayacCAmi SarIra arDam avicArya eva te dvijaH // Ka avc _2.88 //
   dhanyasy ayātyayaṃ kāyaḥ paropakṛtaye kṣatim /	Danyasi ayAti ayam kAyaH para upakRtaye kzatim /
   kṣaṇakṣayī hi deho 'yaṃ rakṣyamāṇo 'pi nākṣayaḥ // KAvk_2.89 //	kzaNa kzayI hi dehaH ayam rakzyamANaH api na akzayaH // Ka avc _2.89 //
   ityuktavati bhūpāle samutkampitamānasaḥ /	iti uktavati BUpAle samutkampita mAnasaH /
   vajrāhata ivovāca mahāmātyo mahāmatiḥ // KAvk_2.90 //	vajra AhataH iva uvAca mahAmAtyaH mahAmatiH // Ka avc _2.90 //
   aho nu sāhasābhyāsādāyāsavyasanī prabhuḥ /	aho nu sAhasa aByAsAt AyAsa vyasanI praBuH /
   hitaṃ na gaṇayatyeva prajāpuṇyaparikṣayāt // KAvk_2.91 //	hitam na gaNayati eva prajA puNya parikzayAt // Ka avc _2.91 //
   prajānāṃ bhūtaye śaktaḥ ko 'nyastvatsadṛśo guṇī /	prajAnAm BUtaye SaktaH kaH anyaH tvad sadRSaH guNI /
   yadbhaktimukharo bhṛtyaḥ śrotā kartā ca bhūpatiḥ // KAvk_2.92 //	yad Bakti muKaraH BRtyaH SrotA kartA ca BUpatiH // Ka avc _2.92 //
   na karoti hitaṃ svāmī gajalīlānimīlitaḥ /	na karoti hitam svAmI gaja lIlA nimIlitaH /
   gaṇanīyāḥ subhṛtyānāmiyatyo bhogasaṃpadaḥ // KAvk_2.93 //	gaNanIyAH su BRtyAnAm iyatyaH Boga saMpadaH // Ka avc _2.93 //
   bhānti t e suciraṃ karṇe yaiḥ kṛtā madhumañjarī /	BAnti t e su ciram karNe yEH kRtA maDumaQjarI /
   kalyāṇakarṇikākīrṇā vāṇī vinayavādinām // KAvk_2.94 //	kalyANa karNikA AkIrNA vANI vinaya vAdinAm // KAvc _2.94 //
   rākṣaso 'yaṃ piśāco ca chadmanā brāhmaṇākṛtiḥ /	rAkzasaH ayam piSAcaH ca CadmanA brAhmaNa AkRtiH /
   rakṣāratnasya jagatāṃ śarīrairarthitām gatah // KAvk_2.95 //	rakzA ratnasya jagatAm SarIrEH arTitAm gatah // KAvc _2.95 //
   yadi nāma na māyeyaṃ kṛtā tena mahīyasī /	yadi nAma na mAyA iyam kRtA tena mahIyasI /
   tatkathaṃ kṛttadehasya kṣaṇamapyasti jīvitam // KAvk_2.96 //	tat kaTam kRtta dehasya kzaNam api asti jIvitam // Ka avc _2.96 //
   avicāryaiva sukṛtaṃ kriyate durgraheṇa yat /	avicArya eva sukRtam kriyate durgraheNa yat /
   tadātmapīḍāoparuṣaṃ paraloke 'pi niḥsukham // KAvk_2.97 //	tad Atma pIxAA uparuzam para loke api niHsuKam // Ka avc _2.97 //
   śakyameva sadā dadyādaśakyaṃ dīyate katham /	Sakyam eva sadA dadyAt aSakyam dIyate kaTam /
   sarvasvadehadānādipravāda eva śobhanaḥ // KAvk_2.98 //	sarva sva deha dAna Adi pravAdaH eva SoBanaH // Ka avc _2.98 //
   karṇāmṛtamidaṃ dūrādyanmahārthimaṇipradaḥ /	karNAmRtam idam dUrAt yat mahA arTi maNi pradaH /
   saṃprāptānāṃ punastatra pānamasyānyato 'rthinām // KAvk_2.99 //	saMprAptAnAm punar tatra pAnam asya anyatas arTinAm // Ka avc _2.99 //
   rakṣyaḥ sarvaprayatnena pareṣāmapi jīvitaiḥ /	rakzyaH sarva prayatnena parezAm api jIvitEH /
   prajānāṃ jīvitaṃ rājannarthicintāmaṇirbhavān // KAvk_2.100 //	prajAnAm jIvitam rAjan= arTi cintAmaNiH BavAn // Ka avc _2.100 //
   prasīda dayasvāsmāsu deva mā sāhasaṃ kṛthāḥ /	prasIda dayasva asmAsu deva mA sAhasam kRTAH /
   n akācaśakalasyārthe kriyate cātmavikrayaḥ // KAvk_2.101 //	n akAca Sakalasya arTe kriyate ca Atma vikrayaH // Ka avc _2.101 //
   ityuktvā pādayoḥ patyuḥ papātāmātyapuṃgavaḥ /	iti uktvA pAdayoH patyuH papAta amAtya puMgavaH /
   śarīradānasaṃkalpānnoccacāla ca bhūpatiḥ // KAvk_2.102 //	SarIra dAna saMkalpA at na uccacAla ca BUpatiH // Ka avc _2.102 //
   so 'vadat praṇayasmeracikasaddaśanadyutiḥ /	saH avadat praNaya smera cikasat daSana dyutiH /
   jīvitasnehasaṃmohatamah pariharanniva // KAvk_2.103 //	jIvita sneha saMmohatamah pariharan= iva // Ka avc _2.103 //
   kevalaṃ bhaktisaṃyuktamuktaṃ vyaktamidaṃ tvayā /	kevalam Bakti saMyuktam uktam vyaktam idam tvayA /
   na sahe 'haṃ mahāmātya viprasya prāṇasaṃśayam // KAvk_2.104 //	na sahe aham mahA amAtya viprasya prANa saMSayam // Ka avc _2.104 //
   hāraistuṣāraiḥ kamalairmṛṇālairinducandanaiḥ /	hArEH tuzArEH kamalEH mRNAlEH indu candanEH /
   nivartate 'ntaḥsaṃtāpo nārthivaimukhyaduḥkhajaḥ // KAvk_2.105 //	nivartate antar saMtApaH na arTi vEmuKya duHKa jaH // Ka avc _2.105 //
   sarvathā sarvaduḥkhārtiharaṇodyatacetasaḥ /	sarvaTA sarva duHKa Arti haraNa udyata cetasaH /
   na bodherantarāyaṃ me sumate kartumarhasi // KAvk_2.106 //	na boDeH antarAyam me sumate kartum arhasi // Ka avc _2.106 //
   janmāntare 'pi dadato dehaṃ me na vyathābhavat /	janma antare api dadataH deham me na vyaTA Bavat /
   smarāmyatītavṛttasya samyaksaṃbodhicetasā // KAvk_2.107 //	smarAmi atIta vRttasya samyaksaMboDi cetasA // Ka avc _2.107 //
   purā dṛṣṭvodyatām vyāghrīṃ kṣutkṣāmāṃ potabhakṣaṇe /	purA dRzwvA udyatAm vyAGrIm kzuD kzAmAm pota BakzaNe /
   tadrakṣāyai mayā dattaṃ śarīramavikṣariṇā // KAvk_2.108 //	tad rakzAyE mayA dattam SarIram avikzariNA // Ka avc _2.108 //
   śibijanmani cāndhāya dattaṃ netrayugaṃ mayā /	Sibi janmani ca anDAya dattam netra yugam mayA /
   rakṣitaśca svadehena kapotaḥ śyenakādbhayāt // KAvk_2.109 //	rakzitaH ca sva dehena kapotaH SyenakAt BayAt // Ka avc _2.109 //
   candraprabhāvatāre ca raudrākṣāyārpitaṃ śiraḥ /	candra praBA ava tAre ca rOdrAkzAya arpitam SiraH /
   sarvasvaputradārādi dattaṃ cānyeṣu janmasu // KAvk_2.110 //	sarva sva putra dAra Adi dattam ca anyezu janmasu // Ka avc _2.110 //
   ityukte bodhisattven abhūbhujāmātyapuṃgavaḥ /	iti ukte boDisattven aBUBuja amAtya puMgavaH /
   na sajīvo n anirjīva ivābhūdvyathitendriyaḥ // KAvk_2.111 //	na sa jIvaH n anirjIvaH iva aBUt vyaTita indriyaH // Ka avc _2.111 //
   alaṅghyaśāsanenātha rājñā krakacadhārayā /	alaFGya SAsanena aTa rAjQA krakaca DArayA /
   niyuktau palagaṇḍākhyau śarīracchedakarmaṇi // KAvk_2.112 //	niyuktO pala gaNxa AKyO SarIra= Ceda karmaNi // KAvc _2.112 //
   tau tīvraśokavivaśau śakramāyāvimohitau /	tO tIvra Soka vivaSO Sakra mAyA vimohitO /
   kathaṃcidiva bhūbharturdehacchede samudyatau // KAvk_2.113 //	kaTaMcid iva BU BartuH deha= Cede samudyatO // Ka avc _2.113 //
   nṛpaternirvikārasya krūrakrakacadhārayā /	nRpateH nirvikArasya krUra krakaca DArayA /
   vidāryamāṇe dehārdhe pṛthivī samakampata // KAvk_2.114 //	vidAryamANe deha arDe pRTivI samakampata // Ka avc _2.114 //
   bhraṣṭolkā raktavasanā virghātacyutatārakā /	Brazwa ulkA rakta vasanA virGAta cyuta tArakAH /
   dyauḥ saśabdaṃ rurodeva kīrṇāśrukaṇasaṃtatiḥ // KAvk_2.115 //	dyOH sa Sabdam rurodA iva kIrNa aSru kaNa saMtatiH // Ka avc _2.115 //
   vaiśasālokanedbhūtatīvraduḥkhāsahiṣṇunā /	vESasa Alokanet BUta tIvra duHKa asahizNunA /
   tūrṇaṃ rajaḥpaṭeneva raviṇā pihitaṃ mukham // KAvk_2.116 //	tUrNam rajaH pawena iva raviNA pihitam muKam // KAvc _2.116 //
   tasmin prajāh prajānāthe krakacākrāntavigrahe /	tasmin prajAh prajA nATe krakaca AkrAnta vigrahe /
   cakranduḥ pūritākrandā digvadhūmiḥ pratisvanaiḥ // KAvk_2.117 //	cakranduH pUrita AkrandA diS vaDUmiH pratisvanEH // Ka avc _2.117 //
   akṣubdhasattvamālokya nṛpaṃ śakro dvihākṛtiḥ /	akzubDa sattvam Alokya nRpam SakraH dvi ha AkRtiH /
   vismayānuśayākrāntacittaściramacintayat // KAvk_2.118 //	vismaya anuSaya AkrAnta cittaH ciram acintayat // Ka avc _2.118 //
   aho mahāmaterasya karuṇākomalaṃ manaḥ /	aho mahAmateH asya karuNA komalam manaH /
   prāptaṃ parārthapīḍāsu vajrādapi kaṭhoratām // KAvk_2.119 //	prAptam para arTa pIxAsu vajrAt api kaWoratAm // KAvc _2.119 //
