   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   aśrotriyakalatrāṇāṃ Ang_1.710c	aSrotriya-kalatrANAm Ank-_1.710c
   aśrotriyasutaṃ kāru- Ang_1.757a	aSrotriya-sutam kAru Ank-_1.757a
   aśvamedhaphalaṃ labhet Ang_1.141b	aSvameDa-Palam laBet Ank-_1.141b
   aṣṭakā dvādaśa smṛtāḥ Ang_1.611d	azwakAH dvAdaSa smRtAH Ank-_1.611d
   aṣṭakā dvādaśa smṛtāḥ Ang_1.659b	azwakAH dvAdaSa smRtAH Ank-_1.659b
   aṣṭakā navadevatāḥ Ang_1.662b	azwakAH nava-devatAH Ank-_1.662b
   aṣṭakāsu ca puṇyāsu Ang_1.584a	azwakAsu ca puNyAsu Ank-_1.584a
   aṣṭakāsu ca vṛddhau ca Ang_1.662c	azwakAsu ca vRdDO ca Ank-_1.662c
   aṣṭakāsu yathā darśa- Ang_1.730a	azwakAsu yaTA darSa Ank-_1.730a
   aṣṭakāṃ pitṛyajñataḥ Ang_1.104d	azwakAm pitR-yajQataH Ank-_1.104d
   aṣṭāviṃśatprabhṛti vai Ang_1.934a	azwAviMSat-praBRti vE Ank-_1.934a
   aṣṭottaraśataśrāddha- Ang_1.497a	azwottaraSata-SrAdDa Ank-_1.497a
   aṣṭottaraśatāni syus Ang_1.607c	azwottaraSatAni syuH Ank-_1.607c
   aṣṭottaraśatāni syuḥ Ang_1.613c	azwottaraSatAni syuH Ank-_1.613c
   aṣṭottaraśateṣvapi Ang_1.574d	azwottaraSatezu-api Ank-_1.574d
   aṣṭottaraśatairuta Ang_1.481b	azwottaraSatEH-uta Ank-_1.481b
   aṣṭottarasahasraṃ cet Ang_1.89a	azwottarasahasram ced Ank-_1.89a
   aṣṭottarāṇi khyātāni Ang_1.731c	azwa-uttarANi KyAtAni Ank-_1.731c
   asakṛtpaṭhitāni syur Ang_1.163c	asakRt-paWitAni syuH Ank-_1.163c
   asakṛdgamanāccāpā- Ang_1.68c	asakRt-gamanAt-ca-apA Ank-_1.68c
   asagotramapi pretaṃ Ang_1.149a	asagotram-api pretam Ank-_1.149a
   asagotrasutaṃ tasmān Ang_1.357c	asagotra-sutam tasmAt Ank-_1.357c
   asagotrastu na grāhyo Ang_1.340a	asagotraH-tu na grAhyaH Ank-_1.340a
   asatāṃ patitānāṃ ca Ang_1.139a	asatAm patitAnAm ca Ank-_1.139a
   asannidhau sannidhau vā Ang_1.434c	asanniDO sanniDO vA Ank-_1.434c
   asamarthasya tu prokto Ang_1.732a	asamarTasya tu proktaH Ank-_1.732a
   asavarṇeṣu tatkurvan Ang_1.338a	asavarNezu tat-kurvan Ank-_1.338a
   asahanneva kevalam Ang_1.573b	asahan=-A-iva kevalam Ank-_1.573b
   asahyoṣṇaṃ mahoṣṇaṃ vā Ang_1.241c	asahya-uzNam mahA-uzNam vA Ank-_1.241c
   asaṃkhyākānyanantāni Ang_1.158a	asaMKyAkAni-anantAni Ank-_1.158a
   asaṃbhāṣyaḥ prayatnena Ang_1.766a	asaMBAzyaH prayatnena Ank-_1.766a
   asaṃśayaṃ prakurvīta Ang_1.883c	asaMSayam prakurvIta Ang_1.883c
   asaṃskṛto dattasūnuḥ Ang_1.305c	asaMskRtaH datta-sUnuH Ank-_1.305c
   asāvardhodayo yogaḥ Ang_1.181a	asO=-arDa-udayaH yogaH Ank-_1.181a
   astvityapi ca taddhaste Ang_1.888a	astu-iti-api ca tat-haste Ank-_1.888a
   asthibhaṅgaṃ gavāṃ kṛtvā Ang_2,10.8a	asTi-BaFgam gavAm kRtvA Ank-_2,10.8a
   asthibhaṅge tathā śṛṅga- Ang_2,10.10a	asTi-BaFge taTA SRFga Ank-_2,10.10a
   aspaṣṭaspaṣṭavarṇe vā Ang_1.469c	aspazwa-spazwa-varNe vA Ank-_1.469c
   aspṛśyatvaṃ na sūtyāṃ syād Ang_1.45c	aspRSya-tvam na sUtyAm syAt Ank-_1.45c
   aspṛśyasparśane caivam Ang_1.167c	aspRSya-sparSane ca-evam Ank-_1.167c
   asmatkāryavirodhi tat Ang_1.374d	asmad-kArya-viroDi tat Ank-_1.374d
   asmākamapi santi hi Ang_1.569d	asmAkam-api santi hi Ank-_1.569d
   asmākaṃ caiva sarveṣāṃ Ang_2,3.2c	asmAkam ca-eva sarvezAm Ank-_2,3.2c
   asmin snāto cāpakoṭau Ang_1.181c	asmin snAtaH cApa-kowO Ank-_1.181c
   ahaḥ kṛtsnaṃ prakīrtitam Ang_1.642b	ahar kRtsnam prakIrtitam Ank-_1.642b
   ahaḥsaṃkramaṇe puṇyam Ang_1.642a	ahar-saMkramaNe puNyam Ank-_1.642a
   ahorātraṃ bhuktihainyaṃ Ang_1.46c	ahorAtram Bukti-hEnyam Ank-_1.46c
   ahni dvitīyayāme vai Ang_1.84c	ahni dvitIya-yAme vE Ang_1.84c
   ākāśarūpamāpannāḥ Ang_1.865c	AkASa-rUpam-ApannAH Ank-_1.865c
   āgacchantviti tāṃ cāpi Ang_1.799a	AgacCantu-iti tAm ca-api Ank-_1.799a
   āgāmisūtakaṃ jñātvā Ang_1.101c	AgAmi-sUtakam jQAtvA Ang_1.101c
   ācāreṇa na coktitaḥ Ang_1.842b	AcAreNa na ca-uktitaH Ank-_1.842b
   ācāreṇa śrutena ca Ang_2,4.9b	AcAreNa Srutena ca Ank-_2,4.9b
   ājānu kṣālayetparam Ang_1.781d	AjAnu kzAlayet-param Ank-_1.781d
   ātarpaṇaṃ vidhānena Ang_1.29a	AtarpaNam viDAnena Ank-_1.29a
   āturāmabhiśastāṃ vā Ang_2,11.6a	AturAm-aBiSastAm vA Ank-_2,11.6a
   ātmatṛptiḥ praśasyate Ang_1.1038d	Atma-tRptiH praSasyate Ank-_1.1038d
   ātmano 'nugrahasya ca Ang_2,6.16d	AtmanaH anugrahasya ca Ank-_2,6.16d
   ātmano brāhmaṇānāṃ ca Ang_1.849a	AtmanaH brAhmaNAnAm ca Ank-_1.849a
   ātmano yadi vānyeṣāṃ Ang_2,11.8a	AtmanaH yadi vA-anyezAm Ank-_2,11.8a
   ātmasaṃbhāvinaṃ śapam Ang_1.746b	Atma-saMBAvinam Sapam Ank-_1.746b
   ātmānaṃ pātayeddhore Ang_1.71a	AtmAnam pAtayet-hore Ank-_1.71a
   ātmānyakāyaṃ spṛśyenna Ang_1.227a	AtmAni-akAyam spRSyet-na Ank-_1.227a
   ādāvantye ca pādye ca Ang_1.782a	AdO=-antye ca pAdye ca Ank-_1.782a
   ādityā iti tadgaṇāḥ Ang_1.674d	AdityAH iti tad-gaNAH Ank-_1.674d
   ādityāścaiva kṛtsnaśaḥ Ang_1.32b	AdityAH-ca-eva kRtsnaSas Ank-_1.32b
   ādimadhyāvasānakam Ang_2,3.4d	Adi-maDya-avasAnakam Ank-_2,3.4d
   ādau saṃkalpya prayataḥ Ang_1.772c	AdO saMkalpya prayataH Ank-_1.772c
   ādyadattaikataddatta- Ang_1.351c	Adya-datta-eka-tad-datta Ank-_1.351c
   ādyaśrāddhe tu bhuñjāna- Ang_1.949c	Adya-SrAdDe tu BuQjAna Ank-_1.949c
   ādhatta pitaraśceti Ang_1.869c	ADatta pitaraH-ca-iti Ank-_1.869c
   ādhikyaṃ tatprakathitaṃ Ang_1.939a	ADikyam tat-prakaTitam Ank-_1.939a
   ādhikyaṃ tatsutātparam Ang_1.441d	ADikyam tad-sutAt-param Ank-_1.441d
   ānandasāgare magnā Ang_1.558a	Ananda-sAgare magnAH Ank-_1.558a
   āpa eva viśeṣataḥ Ang_1.1110b	ApaH eva viSezataH Ank-_1.1110b
   āpakṣāntasya kevalam Ang_1.695d	ApakzAntasya kevalam Ank-_1.695d
   āpatsu ca tryahaṃ caret Ang_2,9.7b	Apatsu ca tri-aham caret Ank-_2,9.7b
   āpanno yena vā dharmo Ang_2,5.14a	ApannaH yena vA DarmaH Ank-_2,5.14a
   āpośanaṃ na kurvīta Ang_1.239c	ApoSanam na kurvIta Ang_1.239c
   āptadharmeṣu yatproktaṃ Ang_2,3.7a	Apta-Darmezu yat-proktam Ank-_2,3.7a
   ābdike tu pare 'hnyeva Ang_1.969c	Abdike tu pare ahni-eva Ank-_1.969c
   ābdike vānumāse vā Ang_1.968a	Abdike vA-anumAse vE Ank-_1.968a
   ābrāhmaṇavisarjanam Ang_1.79d	AbrAhmaNa-visarjanam Ank-_1.79d
   ābhāntyetatsamācaret Ang_1.74d	ABAnti-etat-samAcaret Ank-_1.74d
   āmaśrāddhagṛhītāraṃ Ang_1.764a	AmaSrAdDa-gRhItAram Ank-_1.764a
   āmaṃ māṃsaṃ dadhi ghṛtaṃ Ang_2,8.16c	Amam mAMsam daDi GRtam Ank-_2,8.16c
   āmaṃ vā yadi vā pakvaṃ Ang_2,8.5a	Amam vA yadi vA pakvam Ank-_2,8.5a
   āmo 'tvaratarastarām Ang_1.773b	AmaH atvarataraH-tarAm Ank-_1.773b
   āyanaṃ tadamukhyakam Ang_1.280b	Ayanam tat-amuKyakam Ank-_1.280b
   āyantu na itīva vai Ang_1.799d	Ayantu naH iti-iva vE Ang_1.799d
   āyantvityabhimantrya ca Ang_1.852b	Ayantu-iti-aBimantrya ca Ank-_1.852b
   āyuṣyasūktaṃ hutvātha Ang_1.89c	AyuzyasUktam hutvA-aTa Ang_1.89c
   ārādhayitumavyayam Ang_2,12.15b	ArADayitum-avyayam Ank-_2,12.15b
   ārānnyak sodarasutas Ang_1.302c	ArAt-nyak sodara-sutaH Ank-_1.302c
   ārtānāṃ mārgamāṇānāṃ Ang_2,7.1a	ArtAnAm mArgamANAnAm Ank-_2,7.1a
   ārdrakaṃ ṣaṭchatasamaṃ Ang_1.533a	Ardrakam zawSata-samam Ank-_1.533a
   ārdraśuṣkaprabhedena Ang_1.507c	Ardra-Suzka-praBedena Ank-_1.507c
   āvaśyakyatra paramā Ang_1.686c	AvaSyakI-atra paramA Ank-_1.686c
   āvāhanaṃ ca tatpūrvaṃ Ang_1.795c	AvAhanam ca tat-pUrvam Ank-_1.795c
   āvāhane viśvedevā Ang_1.797c	AvAhane viSvedevAH Ank-_1.797c
   ā vo rājānamantraṃ vā Ang_1.837c	A vaH rAjAna-mantram vA Ank-_1.837c
   āśaratsapavitrakaḥ Ang_1.508d	ASarat-sa-pavitrakaH Ank-_1.508d
   āśīrbhirenaṃ satataṃ Ang_1.1019a	ASIrBiH-enam satatam Ank-_1.1019a
   āśīrbhiśca praśastābhiḥ Ang_1.565a	ASIrBiH-ca praSastABiH Ank-_1.565a
   āśaucaṃ maraṇoddiśya Ang_1.987a	ASOcam maraNa-uddiSya Ank-_1.987a
   āśaucādaśucitvaṃ hi Ang_1.44c	ASOcAt-aSuci-tvam hi Ank-_1.44c
   āśauce tu bhaveddhi tat Ang_1.45d	ASOce tu Bavet-hi tat Ank-_1.45d
   āśauce vartamānasya Ang_1.48c	ASOce vartamAnasya Ank-_1.48c
   āśramādvṛddha ucyate Ang_2,5.6b	ASramAt-vRdDaH ucyate Ank-_2,5.6b
   āṣāḍhīmavadhiṃ kṛtvā Ang_1.708a	AzAXIm-avaDim kRtvA Ank-_1.708a
   āsanaṃ śalyaviddhaṃ syād Ang_2,12.4c	Asanam Salya-vidDam syAt Ank-_2,12.4c
   āsamāptervidhānena Ang_1.806a	AsamApteH-viDAnena Ank-_1.806a
   āhato bhayataḥ śubham Ang_2,6.8d	AhataH BayataH SuBam Ank-_2,6.8d
   āhitāgnirdaśasuto Ang_1.429c	AhitAgniH-daSa-sutaH Ank-_1.429c
   āhitāgnirviśeṣeṇa Ang_2,8.9c	AhitAgniH-viSezeNa Ank-_2,8.9c
   āhitāgnistu yo vipraḥ Ang_2,8.1a	AhitAgniH-tu yaH vipraH Ank-_2,8.1a
   āhitāgnistrirātreṇa Ang_2,9.3a	AhitAgniH-tri-rAtreNa Ank-_2,9.3a
   āhūya śrāvayedeko Ang_2,3.9c	AhUya SrAvayet-ekaH Ank-_2,3.9c
   ā homātkaraṇaṃ smṛtam Ang_1.721b	A homAt-karaNam smRtam Ank-_1.721b
   icchaṃstadanyathayituṃ Ang_1.371c	icCan=-tat-anyaTayitum Ank-_1.371c
   itaraiḥ sarvapitryāṇāṃ Ang_1.618c	itarEH sarva-pitryANAm Ank-_1.618c
   iti cintāparā devā Ang_1.185c	iti cintA-parA devAH Ank-_1.185c
   iti covāca lokeśaṃ Ang_1.588a	iti ca-uvAca lokeSam Ank-_1.588a
   iti procuśca tatkṛtau Ang_1.1038b	iti procuH-ca tad-kRtO Ank-_1.1038b
   iti brahmā śivo hariḥ Ang_1.495d	iti brahmA SivaH hariH Ank-_1.495d
   iti brāhmaṇapādeṣu Ang_1.886a	iti brAhmaNa-pAdezu Ank-_1.886a
   iti vaktḥn durātmanaḥ Ang_1.375b	iti vaktHn durAtmanaH Ank-_1.375b
   iti vai lokasaṃsthitiḥ Ang_1.622b	iti vE loka-saMsTitiH Ank-_1.622b
   iti śākalabhāṣitam Ang_1.178b	iti SAkala-BAzitam Ank-_1.178b
   iti sarve trayo lokās Ang_1.620c	iti sarve trayaH lokAH Ank-_1.620c
   iti stutaḥ pūjitaśca Ang_1.602c	iti stutaH pUjitaH-ca Ank-_1.602c
   ityuktastu tato bhūyaḥ Ang_1.896a	iti-uktaH-tu tatas BUyas Ank-_1.896a
   ityuktvā ' 'bhāṣya te tena Ang_1.566c	iti-uktvA a aBAzya te tena Ank-_1.566c
   ityudvāsya tu tān paścād Ang_1.895a	iti-udvAsya tu tAn paScAt Ank-_1.895a
   ityūcuḥ praṇipatya tam Ang_1.1d	iti-UcuH praNipatya tam Ank-_1.1d
   ityevamatidainyena Ang_1.571a	iti-evam-ati-dEnyena Ank-_1.571a
   ityevamenaṃ jahṛṣuḥ Ang_1.492c	iti-evam-enam jahRzuH Ang_1.492c
   ityevaṃ dakṣiṇe haste Ang_1.776c	iti-evam dakziNe haste Ank-_1.776c
   idamūcurvaco duḥkhād Ang_1.569c	idam-UcuH-vacaH duHKAt Ang_1.569c
   idaṃ viṣṇurvyāhṛtīrvā Ang_1.836a	idam vizNuH-vyAhRtIH-vA Ank-_1.836a
   indrāya somasūktena Ang_1.962a	indrAya somasUktena Ank-_1.962a
   indrāya somasūktena Ang_1.963a	indrAya somasUktena Ank-_1.963a
   iṣṭān kāṃścidviśeṣakān Ang_1.1012d	izwAn kAMScid-viSezakAn Ank-_1.1012d
   iṣṭaiḥ putrairbandhubhiśca Ang_1.1085c	izwEH putrEH-banDuBiH-ca Ank-_1.1085c
   iṣṭaiḥ putraiśca bandhubhiḥ Ang_1.1093b	izwEH putrEH-ca banDuBiH Ank-_1.1093b
   īśānādimukhānyevaṃ Ang_1.538c	ISAna-Adi-muKAni-evam Ank-_1.538c
   īśāno dakṣiṇāspadaḥ Ang_1.520d	ISAnaH dakziNa-AspadaH Ank-_1.520d
   uktaprāyaṃ vijānīyād Ang_1.938a	ukta-prAyam vijAnIyAt Ank-_1.938a
   uktvā dadyāttadannakam Ang_1.840d	uktvA dadyAt-tat-annakam Ang_1.840d
   uccaiḥ saṃbhāṣaṇaṃ hasta- Ang_1.1027a	uccEs saMBAzaNam hasta Ank-_1.1027a
   ucchiṣṭapiṇḍadāne ca Ang_1.782c	ucCizwa-piNxa-dAne ca Ank-_1.782c
   ucchiṣṭapiṇḍaṃ ca dadyād Ang_1.841c	ucCizwa-piNxam ca dadyAt Ank-_1.841c
   ucchiṣṭamapyakṛtvaiva Ang_1.245c	ucCizwam-api-akRtvA-eva Ank-_1.245c
   ucchiṣṭamiti nāma tat Ang_1.906d	ucCizwam-iti nAma tat Ank-_1.906d
   ucchiṣṭasparśanaṃ jñātvā Ang_1.958a	ucCizwa-sparSanam jQAtvA Ank-_1.958a
   ucchiṣṭaṃ śivanirmālyaṃ Ang_1.905c	ucCizwam Siva-nirmAlyam Ank-_1.905c
   ucchiṣṭena tu saṃspṛṣṭo Ang_1.954a	ucCizwena tu saMspRzwaH Ank-_1.954a
   ucchiṣṭe vamanaṃ yadi Ang_1.951d	ucCizwe vamanam yadi Ank-_1.951d
   ucchiṣṭocchiṣṭasaṃsparśe Ang_1.961a	ucCizwa-ucCizwa-saMsparSe Ank-_1.961a
   ucyate brahmavādibhiḥ Ang_1.1059b	ucyate brahma-vAdiBiH Ank-_1.1059b
   uttamaḥ pitṛkṛtyeṣu Ang_1.460a	uttamaH pitR-kRtyezu Ank-_1.460a
   uttamā iti tāḥ proktā Ang_1.938c	uttamAH iti tAH proktAH Ank-_1.938c
   uttarakṣaṇajīvane Ang_1.315d	uttarakzaNa-jIvane Ank-_1.315d
   uttarāpośanaṃ tataḥ Ang_1.841d	uttarApoSanam tatas Ank-_1.841d
   uttarāyaṇa eva vai Ang_1.648d	uttarAyaNaH eva vE Ang_1.648d
   uttarāyaṇameva hi Ang_1.654b	uttarAyaNam-eva hi Ank-_1.654b
   uttārakā vyāhṛtayo Ang_1.15a	uttArakAH vyAhRtayaH Ank-_1.15a
   uttiṣṭhata pitaro mano Ang_1.858c	uttizWata pitaraH manaH Ank-_1.858c
   uttiṣṭhateti pitaraḥ Ang_1.894c	uttizWata-iti pitaraH Ang_1.894c
   utpattiprabhṛtisthairya- Ang_1.941c	utpatti-praBRti-sTErya Ank-_1.941c
   utpanne maraṇe vāpi Ang_2,10.3c	utpanne maraNe vA-api Ank-_2,10.3c
   udagbhāgagataṃ piṇḍaṃ Ang_1.982c	udak-BAga-gatam piNxam Ank-_1.982c
   udaṅmukhastu devānāṃ Ang_1.784a	udaFmuKaH-tu devAnAm Ank-_1.784a
   uddeśatyāgakāle ca Ang_1.1076a	uddeSa-tyAga-kAle ca Ank-_1.1076a
   uddeśatyāgamātraṃ ca Ang_1.811a	uddeSa-tyAga-mAtram ca Ank-_1.811a
   uddhṛtya prokṣya tatpātre Ang_1.794a	udDRtya prokzya tad-pAtre Ank-_1.794a
   unneyā jyeṣṭhataḥ param Ang_1.408d	unneyAH jyezWataH param Ank-_1.408d
   unmattaṃ durbalaṃ sannaṃ Ang_1.754a	unmattam durbalam sannam Ank-_1.754a
   upakrāntasya tasyāsya Ang_1.27c	upakrAntasya tasya-asya Ank-_1.27c
   upanītastu cedupa- Ang_1.131a	upanItaH-tu ced-upa Ank-_1.131a
   upanītaḥ kalatrī vā Ang_1.379a	upanItaH kalatrI vE Ank-_1.379a
   upanīto bhavedaho Ang_1.330b	upanItaH Bavet-ahar Ank-_1.330b
   upapadyeta tatpibet Ang_2,12.6b	upapadyeta tat-pibet Ank-_2,12.6b
   upapātakanāśanam Ang_2,11.11d	upapAtaka-nASanam Ank-_2,11.11d
   upapātakarmasakto Ang_2,11.1a	upapAta-karma-saktaH Ank-_2,11.1a
   upapātakāstvasaṃkhyātās Ang_2,7.9e	upapAtakAH-tu-asaMKyAtAH Ank-_2,7.9e
   upapāpeṣu pañcāśat Ang_2,7.7c	upapApezu paQcASat Ank-_2,7.7c
   upavāsaḥ sa vijñeyaḥ Ang_1.975a	upavAsaH sa vijQeyaH Ank-_1.975a
   upaviṣṭaḥ śucisthale Ang_1.248d	upavizwaH Suci-sTale Ank-_1.248d
   upaveśyāsane śubhe Ang_2,2.9d	upaveSya-Asane SuBe Ank-_2,2.9d
   upasthānavranādeśa- Ang_2,1.5c	upasTAna-vrana-AdeSa Ank-_2,1.5c
   upasthānaṃ tataḥ śīghram Ang_2,2.8a	upasTAnam tatas SIGram Ank-_2,2.8a
   upasthānaṃ pitḥṇāṃ tu Ang_1.896c	upasTAnam pitHNAm tu Ank-_1.896c
   upasthito hi nyāyena Ang_2,2.1c	upasTitaH hi nyAyena Ank-_2,2.1c
   upāvṛttistu pākebhyo Ang_1.974a	upAvRttiH-tu pAkeByaH Ank-_1.974a
   upoṣya rajanīmekāṃ Ang_1.961c	upozya rajanIm-ekAm Ank-_1.961c
   ubhayatra prakathitaṃ Ang_1.798a	uBayatra prakaTitam Ank-_1.798a
   ubhayorbhojanaṃ kuryān Ang_1.46a	uBayoH-Bojanam kuryAt Ank-_1.46a
   ubhayorhi tayordoṣaḥ Ang_2,6.13c	uBayoH-hi tayoH-dozaH Ank-_2,6.13c
   ubhayostu tadā nityaṃ Ang_1.81c	uBayoH-tu tadA nityam Ang_1.81c
   urvārustādṛśaḥ proktaḥ Ang_1.603c	urvAruH-tAdRSaH proktaH Ang_1.603c
   uśantastviti yugmakam Ang_1.797d	uSantaH-tu-iti yugmakam Ang_1.797d
   uṣṇena bhavane vipra- Ang_1.250a	uzNena Bavane vipra Ank-_1.250a
   uṣṇena śakto na snāyād Ang_1.250c	uzNena SaktaH na snAyAt Ank-_1.250c
   uṣṇe varṣati śīte vā Ang_2,11.7a	uzNe varzati SIte vE Ank-_2,11.7a
   ūnamāsikabhoktāraṃ Ang_1.760c	Una-mAsika-BoktAram Ank-_1.760c
   ūrja vahantīmanuṃ tataḥ Ang_1.858b	Urja vahantI-manum tatas Ank-_1.858b
   ūrdhvaṃ dakṣiṇatomukham Ang_2,10.6b	UrDvam dakziNatomuKam Ank-_2,10.6b
   ūrdhvaṃ lokaṃ na yāto vai Ang_1.372a	UrDvam lokam na yAtaH vE Ank-_1.372a
   ūṣmabhāgā hi pitaraś Ang_1.821c	Uzma-BAgAH hi pitaraH Ang_1.821c
   ṛgyajuḥsāmabhistarām Ang_1.832b	Rc-yajuH-sAma-BiH-tarAm Ank-_1.832b
   ṛcā yuktāstayā punaḥ Ang_1.15b	RcA yuktAH-tayA punar Ank-_1.15b
   ṛṇamevaṃ dhanaṃ dhānyaṃ Ang_1.1025c	RNam-evam Danam DAnyam Ank-_1.1025c
   ṛṇānmuktirna jāyate Ang_1.325b	RNAt-muktiH-na jAyate Ank-_1.325b
   ṛṇānmukto bhavedayam Ang_1.324b	RNAt-muktaH Bavet-ayam Ank-_1.324b
   ṛtutrayamatandritaḥ Ang_1.199d	Rtu-trayam-atandritaH Ank-_1.199d
   ṛtusnātadine so 'yaṃ Ang_1.323a	Rtu-snAta-dine saH ayam Ank-_1.323a
   ṛtviktvena vṛte tasmin Ang_1.110c	Rtvij-tvena vRte tasmin Ang_1.110c
   ṛṣabhaikādaśā gāśca Ang_2,11.10a	RzaBa-ekAdaSAH gAH-ca Ank-_2,11.10a
   eka eva yadā vipro Ang_1.969a	ekaH eva yadA vipraH Ank-_1.969a
   ekacityāṃ samārūḍhau Ang_1.980a	ekacityAm samArUXO Ank-_1.980a
   ekajātiśalāṭutaḥ Ang_1.506b	eka-jAti-SalAwutaH Ank-_1.506b
   ekatraiva prakurvīta Ang_1.994c	ekatra-eva prakurvIta Ang_1.994c
   ekatraiva hi tiṣṭhati Ang_1.120b	ekatra-eva hi tizWati Ank-_1.120b
   ekatraiva hi tiṣṭhati Ang_1.423b	ekatra-eva hi tizWati Ank-_1.423b
   ekadā vai bhaviṣyati Ang_1.282b	ekadA vE Bavizyati Ank-_1.282b
   ekadaiva samākrāntaḥ Ang_1.53c	ekadA-eva samAkrAntaH Ang_1.53c
   ekadaiva hi deyā syān Ang_1.697a	ekadA-eva hi deyA syAt Ank-_1.697a
   ekadvitricaturnārī- Ang_1.48a	eka-dvi-tri-catur-nArI Ank-_1.48a
   ekadvitricatuḥpañca- Ang_1.212c	eka-dvi-tri-catur-paQca Ank-_1.212c
   ekadvitryārṣakaṃ tathā Ang_1.346d	eka-dvi-tri-Arzakam taTA Ank-_1.346d
   ekadhaiva bhaveddhi vai Ang_1.805d	ekaDA-eva Bavet-hi vE Ang_1.805d
   ekameva vadedgotram Ang_1.346c	ekam-eva vadet-gotram Ank-_1.346c
   ekameveti kecana Ang_1.658d	ekam-eva-iti kecana Ank-_1.658d
   ekaviprākhyapakṣasya Ang_1.695a	eka-vipra-AKya-pakzasya Ank-_1.695a
   ekaviprānekavipra- Ang_1.694c	eka-vipra-an-eka-vipra Ank-_1.694c
   ekaviṃśatibhiścānyaiḥ Ang_2,4.4c	ekaviMSatiBiH-ca-anyEH Ank-_2,4.4c
   ekaśeṣajamalpakam Ang_1.117b	eka-Seza-jam-alpakam Ank-_1.117b
   ekaśeṣajamalpakam Ang_1.424b	eka-Seza-jam-alpakam Ank-_1.424b
   ekasminneva tatpiṇḍe Ang_1.394a	ekasmin=-eva tad-piNxe Ank-_1.394a
   ekasminneva divase Ang_1.272a	ekasmin=-eva divase Ank-_1.272a
   ekasminneva divase Ang_1.948c	ekasmin=-eva divase Ank-_1.948c
   ekādaśa kilā 'ṣṭakāḥ Ang_1.729b	ekAdaSa kilAH azwakAH Ank-_1.729b
   ekādaśe dvādaśe vā Ang_1.879c	ekAdaSe dvAdaSe vE Ank-_1.879c
   ekāśaucena vā paścād Ang_1.54a	eka-ASOcena vA paScAt Ank-_1.54a
   ekāhaṃ vāgnihotravān Ang_2,9.11d	eka-aham vA-agnihotravAn Ank-_2,9.11d
   ekenaiva hi kāritam Ang_1.1074d	ekena-eva hi kAritam Ank-_1.1074d
   ekoddiṣṭaṃ ṣoḍaśaṃ ca Ang_1.980c	ekoddizwam zoxaSam ca Ank-_1.980c
   ekoddiṣṭaṃ ṣoḍaśaṃ ca Ang_1.991a	ekoddizwam zoxaSam ca Ank-_1.991a
   ekonaviṃśatidina- Ang_1.930c	ekonaviMSati-dina Ank-_1.930c
   eko 'pi pariṣadbhavet Ang_2,4.5f	ekaH api parizad-Bavet Ank-_2,4.5f
   etattu vihitaṃ puṇyaṃ Ang_2,12.7a	etat-tu vihitam puNyam Ank-_2,12.7a
   etatteti ca mantreṇa Ang_1.854a	etat-ta-iti ca mantreNa Ank-_1.854a
   etattrayātpūrvakasya Ang_1.675a	etat-trayAt-pUrvakasya Ank-_1.675a
   etatpātakayuktānāṃ Ang_2,12.8a	etad-pAtaka-yuktAnAm Ank-_2,12.8a
   etatsamaṣṭirlokānāṃ Ang_1.495a	etat-samazwiH-lokAnAm Ank-_1.495a
   etatsarvaṃ caikapātre Ang_1.531a	etat-sarvam ca-eka-pAtre Ank-_1.531a
   etadasti hyanuṣṭhānaṃ Ang_1.711c	etat-asti hi-anuzWAnam Ank-_1.711c
   etaduccāraṇāśaktau Ang_1.827c	etat-uccAraNa-aSaktO Ank-_1.827c
   etaddhai varaṇaṃ proktaṃ Ang_1.777a	etat-hE varaNam proktam Ank-_1.777a
   etadyogapradhānāya Ang_2,6.5a	etad-yoga-praDAnAya Ank-_2,6.5a
   etadviruddhaṃ tatsarvaṃ Ang_1.673a	etat-virudDam tat-sarvam Ank-_1.673a
   etanmantratrayaṃ vācā Ang_1.826a	etat-mantra-trayam vAcA Ank-_1.826a
   etanmantratrayaṃ śrāddhe Ang_1.826c	etat-mantra-trayam SrAdDe Ank-_1.826c
   etanmātre kṛte tu cet Ang_1.617b	etad-mAtre kRte tu ced Ank-_1.617b
   etasminnantare tatra Ang_1.586a	etasmin=-antare tatra Ank-_1.586a
   etasmin panase labdhe Ang_1.541c	etasmin panase labDe Ank-_1.541c
   etasya paramo mukhyas Ang_1.1039c	etasya paramaH muKyaH Ank-_1.1039c
   etādṛśeṣu kṛtyeṣu Ang_1.217a	etAdRSezu kRtyezu Ank-_1.217a
   etāvantyeva bhūtale Ang_1.349d	etAvanti-eva BU-tale Ang_1.349d
   etāvantyeva sarvatra Ang_1.351a	etAvanti-eva sarvatra Ank-_1.351a
   etāsāṃ tanayāḥ sarve Ang_1.457a	etAsAm tanayAH sarve Ank-_1.457a
   ete kālaviśeṣakāḥ Ang_1.652b	ete kAla-viSezakAH Ank-_1.652b
   ete doṣā bhavantīha Ang_2,8.4a	ete dozAH Bavanti-iha Ank-_2,8.4a
   eteṣāmamlayogena Ang_1.528a	etezAm-amla-yogena Ank-_1.528a
   eteṣāṃ punareva vai Ang_1.528d	etezAm punar-eva vE Ang_1.528d
