   Śayanāsanavastu	Śayana-Asana-vastu
   tasmin vanaṣaṇḍe saṃprajānadvihāriṇo yatheṣṭaṃ viharanti; teṣām anubhāvād	tasmin vana-zaNxe saMprajAnat-vihAriNaH yaTezwam viharanti; tezAm anuBAvAt-
   devaḥ kālavarṣī saṃvṛttaḥ; sadā puṣpaphalā vṛkṣāḥ, śasyavatī vasumatī; te	devaH kAla-varzI saMvRttaH; sadA puzpa-PalAH vRkzAH, SasyavatI vasumatI; te
   manuṣyair dṛṣṭā anyonyam avyābādhamānā viharantaḥ, sadā puṣpaphalā vṛkṣāḥ,	manuzyEH dRzwAH anyonyam avyAbADamAnAH viharantaH, sadA puzpa-PalAH vRkzAH,
   śasyavatī vasumatī; rājā kathayati: ahaṃ dharmeṇa rājyaṃ kārayāmi mamaiṣo	SasyavatI vasumatI; rAjA kaTayati: aham DarmeNa rAjyam kArayAmi mama-ezaH-
   'nubhāva iti; antaḥpuraṃ kumārāmātyā bhaṭabalāgraṃ naigamajānapadāś ca	anuBAvaH iti; antaHpuram kumAra-amAtyAH Bawa-bala-agram nEgama-jAnapadAH ca
   ḥkathayanti; asmākam eṣo 'nubhāvaḥḥ; rājā saṃlakṣayati; sarva ete	HkaTayanti; asmAkam ezaH anuBAvaHH; rAjA saMlakzayati; sarve ete
   kathayanti mamānubhāvo mamānubhāva iti; tan na jñāyate kasyānubhāva iti;	kaTayanti mama-anuBAvaH mama-anuBAvaH iti; tat na jQAyate kasya-anuBAvaH iti;
   sa kutūhalajāto naimittikān āhūya pṛṣṭavān; tair api na jñātam; yāvad	sa kutUhala-jAtaH nEmittikAn AhUya pRzwavAn; tEH api na jQAtam; yAvat-
   vārāṇasyāṃ nātidūre udyānam; tatra pañcābhijña riṣiḥ prativasati sakalasya	vArANasyAm na-ati-dUre udyAnam; tatra paQca-aBijQa riziH prativasati sakalasya
   vārāṇasīnivāsino janakāyasya pūjyo mānyo 'bhivādyaś ca; tato rājā tasya	vArANasI-nivAsinaH jana-kAyasya pUjyaH mAnyaH aBivAdyaH ca; tatas rAjA tasya
   ṛṣeḥ sakāśam upasaṃkrāntaḥ pādayor nipatya kathayati: maharṣe mama vijite	RzeH sakASam upasaMkrAntaH pAdayoH nipatya kaTayati: mahA-Rze mama vijite
   yāvattityagyonigatāḥ prāṇinas te sarve anyonyam avyābādhamānāḥ	yAvat-tityagyoni-gatAH prANinaH te sarve anyonyam avyAbADamAnAH
   saṃprajānadvihāriṇo yatheṣṭaṃ viharanti; devaḥ kālavarṣī sadā puṣpaphalā	saMprajAnat-vihAriNaH yaTezwam viharanti; devaH kAlavarzI sadA puzpaPalA
   vṛkṣāḥ śasyavatī ca vasumatī; tasmān mamaitad abhavat: ahaṃ dharmeṇa	vRkzAH SasyavatI ca vasumatI; tasmAt mama-etat aBavat: aham DarmeNa
   rājyaṃ kārayāmi; mamaiso 'nubhāva iti; antaḥpuraṃ kumārāmātyā	rAjyam kArayAmi; mama-esaH anuBAvaH iti; antaHpuram kumAra-amAtyA
   bhaṭabalāgraṃ naigamajānapadāś ca saṃlakṣayanti: asmākam eṣo 'nuhāva iti;	Bawa-bala-agram nEgama-jAnapadAH ca saMlakzayanti: asmAkam ezaH anuhAvaH iti;
   tan na jñāyate kasyāyam anubhāva iti; kautukaś ca me mahān; tvam arhasi	tat na jQAyate kasya-ayam anuBAvaH iti; kOtukaH ca me mahAn; tvam arhasi
   saṃśayaṃ chettum; kasyāyam anubhāva iti; sa kathayati: mahārāja ma tavaiṣo	saMSayam Cettum; kasya-ayam anuBAvaH iti; sa kaTayati: mahA-rAja me tava-ezaH-
   'nubhāvo nāntaḥpurasya na kumārāṇāṃ nāmātyānāṃ na bhaṭabalāgrasya na (MSV	anuBAvaH na-antaHpurasya na kumArANAm na-amAtyAnAm na Bawa-bala-agrasya na (MSV
   IV 130) naigamajānapadānaṃ; api tu tava vijite catvāraḥ prāniṇaḥ	IV 130) nEgama-jAnapada-AnaM; api tu tava vijite catvAraH prAniNaH
   prativasanti; teṣām ayam anubhāva tit; rājā kathayati: gacchāmi tān	prativasanti; tezAm ayam anuBAva tit; rAjA kaTayati: gacCAmi tAn
   paśyamīti; ṛṣiḥ kathayati: mahārāja kiṃ tava tair dṛṣṭair api tu yat te	paSyami-iti; RziH kaTayati: mahA-rAja kim tava tEH dRzwEH api tu yat te
   samādāya vartante tat samādāya vartasveti; kiṃ te samādāya vartante? pañca	samAdAya vartante tat samAdAya vartasva-iti; kim te samAdAya vartante? paQca
   vratapadāni; maharṣe kidṛśāni pañca vratapadāni? mahārāja te prāṇinaṃ	vrata-padAni; mahA-Rze kidRSAni paQca vrata-padAni? mahA-rAja te prANinam
   jīvitān na vyavaropayanti; parasvaṃ nāpaharanti; agamyāgamanaṃ na	jIvitAn na vyavaropayanti; para-svam na-apaharanti; agamyA-gamanam na
   kurvanti; mṛṣāvādaṃ na bhāṣante; madyapānaṃ ca nādhyācaranti; rājā	kurvanti; mRzAvAdam na BAzante; madya-pAnam ca na-aDyAcaranti; rAjA
   kathayati: maharṣe yady evaṃ aham apy etāni pañca vratapadāni samādāya	kaTayati: mahA-Rze yadi evam aham api etAni paQca vrata-padAni samAdAya
   vartema; atha sa rājā pañca vratapadāni samādāya vartitum ārabdhaḥ; rājā	vartema; aTa sa rAjA paQca vrata-padAni samAdAya vartitum ArabDaH; rAjA
   pañca vratapadāni samādāya vartata iti devyo 'pi pañaca vratapadāni	paQca vrata-padAni samAdAya vartate iti devyaH api paQaca vrata-padAni
   samādāya vartitum ārabdhāḥ; kumārā amātyā bhaṭabalāgraṃ naigamajānapadā	samAdAya vartitum ArabDAH; kumArAH amAtyA Bawa-bala-agram nEgama-jAnapadA
   api pañca vratapadāni samādaya vartitum ārabdhāni; pṛtisīmaiḥ (Śay-v 9)	api paQca vrata-padAni samAdaya vartitum ArabDAni; pRti-sImEH (Śay-u 9)
   koṭṭarājabhiḥ śrutam; rājā brahmadattaḥ pañca vratapadāni samādāya vartate	kowwa-rAjaBiH Srutam; rAjA brahmadattaH paQca vrata-padAni samAdAya vartate
   sārdham antaḥpureṇa kumārair amātyair bhaṭabalāgrair naigamajānapadair	sArDam antaHpureNa kumArEH amAtyEH Bawa-bala-agrEH nEgama-jAnapadEH-
   iti; śrutvā ca punas te 'pi pañcavratapadāni (A 316b) samādaya vartitum	iti; SrutvA ca punar te api paQca-vrata-padAni (A 316b) samAdaya vartitum
   ārabdhāḥ sārdham antaḥpureṇa kumārair amātyair bhaṭabalāgrair	ArabDAH sArDam antaHpureNa kumArEH amAtyEH Bawa-bala-agrEH-
   naigamajānapadair iti; bhūyasā sarva eva janakāyaḥ pañca vratapadāni	nEgama-jAnapadEH iti; BUyasA sarve eva jana-kAyaH paQca vrata-padAni
   samādāya vartitum ārabdhaḥ	samAdAya vartitum ArabDaH
        tena khalu samayena jambūdvīpe yaḥ kālaṃ karoti sa kāyasya bhedāt	tena Kalu samayena jambUdvIpe yaH kAlam karoti sa kAyasya BedAt-
   praṇīteṣu deveṣū trayastriṃśeṣūpapadyate; tataḥ śakro devendraḥ	praNItezu devezU trayastriMSezu-upapadyate; tatas SakraH deva-indraH
   āpūryamāṇaṃ devaparṣadaṃ dṛṣṭvā ca punar gāthāṃ bhāṣate; (MSV III 131)	ApUryamANam deva-parzadam dRzwvA ca punar gATAm BAzate; (MSV III 131)
        sagauravāḥ sapratīśā viharanti tapovane /	sa-gOravAH sa-pratISAH viharanti tapaH-vane /
        kapiṃjalabrahmacaryaṃ pṛthaglokaprakāśitam // iti /	kapiMjala-brahmacaryam pRTak-loka-prakASitam // iti /
   bhagavān āha: kiṃ manyadhve bhikṣavo yo 'sau kapiṃjalaḥ aham eva saḥ tena	BagavAn Aha: kim manyaDve BikzavaH yaH asO kapiMjalaH aham eva saH tena
   kālena tena samayena; śaśaḥ śāriputro bhikṣur markaṭo maudgalyāyano	kAlena tena samayena; SaSaH SAriputraH BikzuH markawaH mOdgalyAyanaH-
   bhikṣur gaja ānandaḥ; tadāpi mayā yathāvṛddhikāyāṃ prajñaptāyāṃ	BikzuH gajaH AnandaH; tadA-api mayA yaTAvRdDikAyAm prajQaptAyAm
   yathāvṛddhikām āgamya sakalo jambūdvīpanivāsī janakāyo bhūyasā	yaTA-vRdDikAm Agamya sakalaH jambUdvIpa-nivAsI jana-kAyaH BUyasA
   trayastriṃśe devanikāye upapannaḥ; etarhy api mayā yathāvṛddhikāyāṃ	trayastriMSe deva-nikAye upapannaH; etarhi api mayA yaTAvRdDikAyAm
   prajñaptāyāṃ yathāvṛddhikām āgamya bhikṣavo 'nyonyaṃ satkurvanto	prajQaptAyAm yaTA-vRdDikAm Agamya BikzavaH anyonyam satkurvantaH-
   gurukurvanto mānayantaḥ pūyayanto vardhante kuśalair dharmair utpalaṃ vā	gurukurvantaH mAnayantaH pUyayantaH varDante kuSalEH DarmEH utpalam vA
   yathodake	yaTA-udake
   The Buddha eulogises the order by age	The BudDaH eulogiseH Te ordeH bi age
        tasmāt tarhi bhikṣavaḥ sagauravā viharata sapratīṣāḥ	tasmAt tarhi BikzavaH sa-gOravAH viharata sa-pratIzAH
   sabhayavaśavartinaḥ sabrahmacāriṣu sthavireṣu madhyeṣu navakeṣu; tat kasya	sa-Baya-vaSavartinaH sa-brahmacArizu sTavirezu maDyezu navakezu; tat kasya
   hetoḥ? sa tāvad bhikṣavo bhikṣur agauravo viharann apratīśaḥ	hetoH? sa tAvat BikzavaH BikzuH agOravaH viharan apratISaH
   abhayavaśavartī sthavireṣu madhyeṣu navakeṣu āsamudācārikān dharmān	aBaya-vaSa-vartI sTavirezu maDyezu navakezu AsamudAcArikAn DarmAn
   paripūrayiṣyati nedaṃ sthānaṃ vidyate; āsamudācārikān dharmān aparipūrya	paripUrayizyati na-idam sTAnam vidyate; AsamudAcArikAn DarmAn aparipUrya
   śaikṣān dharmān paripūrayiṣyati nedaṃ sthānaṃ vidyate; śaikṣān dharmān	SEkzAn DarmAn paripUrayizyati na-idam sTAnam vidyate; SEkzAn DarmAn
   aparipūrya śīlaskandhaṃ samādhiskandhaṃ prajñāskandhaṃ vimuktiskandhaṃ	aparipUrya SIla-skanDam samADi-skanDam prajQA-skanDam vimukti-skanDam
   vimuktijñānadarśanaskandhaṃ paripūrayiṣyati nedaṃ sthānaṃ vidyate;	vimukti-jQAna-darSana-skanDam paripUrayizyati na-idam sTAnam vidyate;
   vimuktijñānadarśanaskandham aparipūryānupādāya (Śay-v 10) parinirvāsyati	vimukti-jQAna-darSana-skanDam aparipUrya-anupAdAya (Śay-u 10) parinirvAsyati
   nedaṃ sthānaṃ vidyate; sa tāvad bhikṣavo bhikṣuḥ sagauravo viharan	na-idam sTAnam vidyate; sa tAvat BikzavaH BikzuH sa-gOravaH viharan
   sapratīśaḥ sabhayavaśavartī brahmacāriṣu sthavireṣu madhyeṣu navakeṣu	sa-pratISaH sa-Baya-vaSa-vartI brahmacArizu sTavirezu maDyezu navakezu
   āsamudācārikān dharmān pūrayiṣyati (MSV III 132) sthānam etad vidyate;	AsamudAcArikAn DarmAn pUrayizyati (MSV III 132) sTAnam etat vidyate;
   āsamudācārikān dharmān paripūrya śaikṣān dharmān paripūrayiṣyati sthānam	AsamudAcArikAn DarmAn paripUrya SEkzAn DarmAn paripUrayizyati sTAnam
   etad vidyate; śaikṣān dharmān paripūrya śīlaskandhaṃ samādhiskandhaṃ	etat vidyate; SEkzAn DarmAn paripUrya SIla-skanDam samADi-skanDam
   prajñāskandhaṃ vimuktiskandhaṃ vimuktijñānadarśanaskandhaṃ paripūrayiṣyati	prajQA-skanDam vimukti-skanDam vimukti-jQAna-darSana-skanDam paripUrayizyati
   sthānam etad vidyate; vimuktijñānadarśanaskandhaṃ paripūryānupādāya	sTAnam etat vidyate; vimukti-jQAna-darSana-skanDam paripUrya-anupAdAya
   parinirvāsyati sthānam etad vidyate; tasmāt tahi bhikṣava evaṃ	parinirvAsyati sTAnam etat vidyate; tasmAt tahi BikzavaH evam
   śikṣitavyam; yat sagauravā vihariṣyāmaḥ sapratīśāḥ sabhayavaśavartinaḥ	Sikzitavyam; yat sa-gOravAH viharizyAmaH sa-pratISAH sa-Baya-vaSa-vartinaH
   ḥsabrahmacāriṣūḥ sthavireṣu madhyeṣu navakeṣu: ity evaṃ vo bhikṣavaḥ	HsabrahmacArizUH sTavirezu maDyezu navakezu: iti evam vaH BikzavaH
   śikṣitavyam	Sikzitavyam
   The institution of vihāras	The insti-tution of vihAra-H-
        yadā bhagavatā pañcakā vinītās te araṇye prativasanti; te araṇye	yadA BagavatA paQcakAH vinItAH te araNye prativasanti; te araNye
   prativasanto āgamyā bhavanti siṃhānāṃ vyāghrāṇāṃ dvīpināṃ tarakṣūṇām	prativasantaH AgamyAH Bavanti siMhAnAm vyAGrANAm dvIpinAm tarakzUNAm
        bhagavān saṃlakṣayati: kutra pūrvakāṇāṃ samyaksaṃbuddhānāṃ śrāvakā	BagavAn saMlakzayati: kutra pUrvakANAm samyaksaMbudDAnAm SrAvakA
   āvāsaṃ kalpitavantaḥ? paśyati vihāre; devatābhir apy evaṃ bhagavata	AvAsam kalpitavantaH? paSyati vihAre; devatABiH api evam Bagavata
   ārocitam	Arocitam
        tena khalu samayena vārāṇasyāṃ kalayāṇabhadro nāma gṛhapatiḥ	tena Kalu samayena vArANasyAm kalayANaBadraH nAma gRhapatiH
   prativasati; tasya kuśalamūlapratibodhitasantater etad abhavat; aho	prativasati; tasya kuSala-mUla-pratiboDita-santateH etat aBavat; aho
   batāhaṃ bhagavataḥ śrāvakāṇaṃ vihāraṃ kārayeyam iti; sa kālyam evotthāya	bata-aham BagavataH SrAvakANam vihAram kArayeyam iti; sa kAlyam eva-utTAya
   yena bhagavāṃs tenopasaṃkrāntaḥ; upasaṃkramya bhagavataḥ pādau (A 317a)	yena BagavAn tena-upasaMkrAntaH; upasaMkramya BagavataH pAdO (A 317a)
   śirasā vanditvaikānte niṣaṇṇaḥ; ekāntaniṣaṇṇaṃ kalyāṇabhadrikaṃ gṛhapatiṃ	SirasA vanditvA-ekAnte nizaNNaH; ekAnta-nizaNNam kalyANaBadrikam gRhapatim
   bhagavān dharmyayā kathayā saṃdarśayati samādāpayati samuttejayati	BagavAn DarmyayA kaTayA saMdarSayati samAdApayati samuttejayati
   saṃpraharṣayati; anekaparyāyeṇa dharmyayā kathayā saṃdarṣya (MSV III 133)	saMpraharzayati; aneka-paryAyeNa DarmyayA kaTayA saMdarzya (MSV III 133)
   samādāpya samuttejya saṃpraharṣya tūṣṇīm; atha kalyāṇabhadriko gṛhapatir	samAdApya samuttejya saMpraharzya tUzNIm; aTa kalyANaBadrikaH gRhapatiH-
   utthāyāsanād ekāṃsam uttarāsaṃgaṃ kṛtvā yena bhagavāṃs tenāṃjaliṃ praṇamya	utTAya-AsanAt eka-aMsam uttarAsaMgam kRtvA yena BagavAn tena-aMjalim praNamya
   bhagavantam ieam avocat: yadi bhagavān anujānīyād ahaṃ bhagavataḥ	Bagavantam ieam avocat: yadi BagavAn anujAnIyAt aham BagavataH
   śrāvakāṇāṃ vihāraṃ karayeyam iti; bhagavān āha; tasmād gṛhapate anujānāmi	SrAvakANAm vihAram karayeyam iti; BagavAn Aha; tasmAt gRhapate anujAnAmi
   kāraya iti; sa na jānīte kīdṛśaḥ kārayitavya iti; bhagavān āha: yadi	kArayaH iti; sa na jAnIte kIdRSaH kArayitavyaH iti; BagavAn Aha: yadi
   trilayanaṃ kārayasi madhye gandhakuṭiḥ kārayitavyā dvayoḥ pārśvayor dve	trilayanam kArayasi maDye ganDakuwiH kArayitavyA dvayoH pArSvayoH dve
   layane; evaṃ triṣāle nava layanāni; catuḥśāle madhye	layane; evam trizAle nava layanAni; catuHSAle maDye
   dvārakoṣṭhakābhimukhaṃ (Śay-v 11) gandhakuṭiḥ; dvārakoṣṭhakapārśvayor dve	dvAra-kozWaka-aBimuKam (Śay-u 11) ganDakuwiH; dvAra-kozWaka-pArSvayoH dve
   layane; sa na jānīte kati purāḥ kartavyā iti; bhagavān āha: bhikṣūṇāṃ	layane; sa na jAnIte kati purAH kartavyA iti; BagavAn Aha: BikzUNAm
   pañcapurā vihārāḥ kartavyāḥ saptapurā gandhakuṭiḥ; saptapūrā	paQca-purA vihArAH kartavyAH saptapurA ganDakuwiH; saptapUrA
   bālāgrapotikāḥ; bhikṣūṇīnāṃ tu tripurā vihārāḥ kartavyāḥ; paṃcapurā	bAla-agrapotikAH; BikzUNInAm tu tripurAH vihArAH kartavyAH; paMcapurA
   gandhakuṭiḥ; paṃcapurā bālāgrapotikā iti	ganDakuwiH; paMcapurA bAla-agrapotikAH iti
   The story of Anāthapiṇḍada: his birth and wonders	The storI of AnATapiNxada: hiH birT and wondeH-s
        tena khalu samayena śrāvastyāṃ datto nāma gṛhapatiḥ prativasati āḍhyo	tena Kalu samayena SrAvastyAm dattaH nAma gRhapatiH prativasati AXyaH-
   mahādhano mahābhoga vistīrṇaviśālaparigraho vaiśravaṇadhanasamudito	mahADanaH mahA-Boga vistIrNa-viSAla-parigrahaH vESravaNa-Dana-samuditaH-
   vaiśravaṇadhanapratispardhī; tena sadṛśāt kulāt kalatram ānītam; sa tayā	vESravaNa-Dana-pratisparDI; tena sadRSAt kulAt kalatram AnItam; sa tayA
   sārdhaṃ krīḍati ramate paricārayati; tasya krīḍato ramamāṇasya (MSV III	sArDam krIxati ramate paricArayati; tasya krIxataH ramamANasya (MSV III
   134) paricārayataḥ kālāntareṇa patnī āpannasatvā saṃvṛttā; sā cāṣṭānāṃ vā	134) paricArayataH kAla-antareNa patnI ApannasatvA saMvRttA; sA ca-azwAnAm vA
   navānāṃ vā māsānām atyayāt prasūtā; dārako jātaḥ; tasya trīṇi saptakāny	navAnAm vA mAsAnAm atyayAt prasUtA; dArakaH jAtaH; tasya trINi saptakAni-
   ekaviṃśatidivasān vistareṇa jātasya jātimahaṃ kṛtvā nāmadheyaṃ	ekaviMSati-divasAn vistareNa jAtasya jAti-maham kRtvA nAmaDeyam
   vyavasthāpyate; kiṃ bhavatu dārakasya nāmeti; jñātaya ūcuḥ: ayaṃ dārako	vyavasTApyate; kim Bavatu dArakasya nAma-iti; jQAtayaH UcuH: ayam dArakaH-
   dattasya gṛhapateḥ putras tasmād bhavatu dārakasya sudatta iti nāmeti;	dattasya gRhapateH putraH tasmAt Bavatu dArakasya sudattaH iti nAma-iti;
   tasya sudatta iti nāmadheyaṃ vyavasthāpitam; sudatto dārako 'ṣṭābhyo	tasya sudattaH iti nAmaDeyam vyavasTApitam; sudattaH dArakaH azwa-aByaH-
   dhātrībhyo dattaḥ; dvābhyām aṃsadhātrībhyām; dvābhyāṃ kṣīradhātrībhyām;	DAtrIByaH dattaH; dvAByAm aMsaDAtrIByAm; dvAByAm kzIra-DAtrIByAm;
   dvābhyāṃ maladhātrībhyām; dvābhyāṃ krīḍanakābhyām; so 'ṣṭābhir dhātrībhir	dvAByAm malaDAtrIByAm; dvAByAm krIxanakAByAm; saH azwABiH DAtrIBiH-
   unnīyate vardhate kṣīreṇa dadhnā navanītena sarpiṣā sarpirmaṇḍenānyaiś	unnIyate varDate kzIreNa daDnA navanItena sarpizA sarpiH-maNxena-anyEH-
   cottaptottaptair upakaraṇaviśeṣair āśu vardhate hradastham iva paṃkajam;	ca-uttapta-uttaptEH upakaraNa-viSezEH ASu varDate hrada-sTam iva paMkajam;
   so 'pareṇa samayena sarvālaṃkāravibhūṣito dhātryaṃsagato niṣaṇṇo	saH apareNa samayena sarva-alaMkAra-viBUzitaH DAtrI-aMsa-gataH nizaNNaH-
   bahirnirgataḥ; yācanakenālaṃkāraṃ prārthitaḥ: kumārāham alaṃkāreṇārthī;	bahis-nirgataH; yAcanakena-alaMkAram prArTitaH: kumAra-aham alaMkAreNa-arTI;
   prayaccha me alaṃkāram iti; tena pramuditamanasā asāv alaṃkāro dattaḥ; sa	prayacCa me alaMkAram iti; tena pramudita-manasA asO alaMkAraH dattaH; sa
   gṛhaṃ praviṣṭaḥ; pitrā cāsya dhātrī pṛṣṭā; kutra kumārasyālaṃkāra iti; sā	gRham pravizwaH; pitrA ca-asya DAtrI pRzwA; kutra kumArasya-alaMkAraH iti; sA
   kathayati: dattaḥ kumāreṇa (Śay-v 12) yācanakāyeti; so 'nyenālaṃkāreṇa	kaTayati: dattaH kumAreNa (Śay-u 12) yAcana-kAya-iti; saH anyena-alaMkAreNa
   vibhūṣitaḥ; so 'pi dattaḥ; bhūyo 'py alaṃkṛtaḥ; so 'pi tena dattaḥ; sa	viBUzitaH; saH api dattaH; BUyas api alaMkRtaH; saH api tena dattaH; sa
   gṛhapatiḥ patnīm āmantrayate: bhadre sobhano 'smākaṃ putro jātaḥ; nityaṃ	gRhapatiH patnIm Amantrayate: Badre soBanaH asmAkam putraH jAtaH; nityam
   dānābhirata iti; sā kathayati: āryaputra yady evaṃ nainaṃ bhūyo 'py	dAna-aBirataH iti; sA kaTayati: Arya-putra yadi evam na-enam BUyas api-
   alaṃkariṣyāmi; sa kathayati: bhadre asty asmākaṃ suvarṇam aprameyaṃ	alaMkarizyAmi; sa kaTayati: Badre asti asmAkam suvarNam aprameyam
   ratnāni ca; kin tu alaṃkāraghaṭakā na santi; sarvathā nāyaṃ bahir (A 317b)	ratnAni ca; kin tu alaMkAra-GawakAH na santi; sarvaTA na-ayam bahis (A 317b)
   niṣkāsayitavya iti; so 'bhyantara eva lāḍyate; yāvad apareṇa samayena	nizkAsayitavyaH iti; saH aByantaraH eva lAxyate; yAvat apareNa samayena
   datto gṛhapatir bhṛtyajanaparivṛto (MSV III 135) nadīm ajīravatīṃ snātuṃ	dattaH gRhapatiH BRtya-jana-parivRtaH (MSV III 135) nadIm ajIravatIm snAtum
   saṃprasthitaḥ; sudatto dārakaḥ kathayati: tāta aham api gacchāmīti; sa taṃ	saMprasTitaH; sudattaH dArakaH kaTayati: tAta aham api gacCAmi-iti; sa tam
   vipralambhayitum ārabdhaḥ; putra ihaiva śobhanaṃ salilam; nadī grāhākulā;	vipralamBayitum ArabDaH; putraH iha-eva SoBanam salilam; nadI grAha-AkulA;
   iyaṃ te dhātrī snāpayiṣyatīti; sa rodituṃ pravṛttaḥ; mātāsya kathayati:	iyam te DAtrI snApayizyati-iti; sa roditum pravRttaH; mAtA-asya kaTayati:
   āryaputra kimartham ayaṃ dārako rautīti; tena yathāvṛttaṃ samākhyātam; sā	Arya-putra kimarTam ayam dArakaH rOti-iti; tena yaTAvRttam samAKyAtam; sA
   kathayati: āryaputra tvayā sārdhaṃ gacchatu; ko 'tra virodhaḥ; sutarāṃ	kaTayati: Arya-putra tvayA sArDam gacCatu; kaH atra viroDaH; sutarAm
   gupto bhaviṣyatīti; sa tam ādāya nadīṃ gataḥ; snāpayitvā kule sthāpitaḥ	guptaH Bavizyati-iti; sa tam AdAya nadIm gataH; snApayitvA kule sTApitaH
   kathayati: tāta kimarthaṃ mama rakṣā kriyate? putra tava doṣo 'sti;	kaTayati: tAta kim-arTam mama rakzA kriyate? putra tava dozaH asti;
   katham? dattam alaṃkāraṃ yācanakebhyo 'nuprayacchasi; kiṃ tāto	kaTam? dattam alaMkAram yAcanakeByaH anuprayacCasi; kim tAtaH-
   dravyeṇārthī? putra ko 'nārthī? tāta yady evam avatāraya mām; sa	dravyeNa-arTI? putra kaH anArTI? tAta yadi evam avatAraya mAm; sa
   tenāvatāritaḥ; tatas tenobhau pāṇī nadyām āplāvya suvarṇapūrṇās catvāro	tena-avatAritaH; tatas tena-uBO pANI nadyAm AplAvya suvarNa-pUrNAH catvAraH-
   lohasaṃghāṭā uddhṛtāḥ; kathayati: tāta atas tnaṃ yāvadāptaḥṃḥ dhanena	loha-saMGAwAH udDRtAH; kaTayati: tAta atas tnam yAvat-AptaHMH Danena
   dhanakāryaṃ kṛtvāvaśiṣṭam atraiva plāvaya; putra kiṃ tvaṃ jalagatān nidhīn	Dana-kAryam kRtvA-avaSizwam atra-eva plAvaya; putra kim tvam jala-gatAn niDIn
   paśyasi? tāta na kevalaṃ jalagatān sthalagatān api sasvāmikān asvāmikān	paSyasi? tAta na kevalam jala-gatAn sTala-gatAn api sa-svAmikAn asvAmikAn
   api ye 'pi dūre ye 'py antike; datto gṛhapatir vismayotphullalocanaḥ	api ye api dUre ye api antike; dattaH gRhapatiH vismaya-utPulla-locanaH
   saṃlakṣayati: śakyam evaṃvidhena dānaptinā dānaṃ dātum iti viditvā	saMlakzayati: Sakyam evaMviDena dAnaptinA dAnam dAtum iti viditvA
   kathayati: putra yady evaṃ dehi dānaṃ yatheṣṭam iti; dharmatā hy eṣā: na	kaTayati: putra yadi evam dehi dAnam yaTezwam iti; DarmatA hi ezA: na
   tāvat putro yaśasvī bhavati yāvad asya pitā jīvatīti	tAvat putraH yaSasvI Bavati yAvat asya pitA jIvati-iti
        yāvad apareṇa samayena datto gṛhapatiḥ kālagataḥ; sudatto gṛhasvāmī	yAvat apareNa samayena dattaH gRhapatiH kAlagataH; sudattaH gRhasvAmI
   saṃvṛttaḥ; satatam anāthebhyaḥ piṇḍakam anuprayacchatīti samantāc chadbo	saMvRttaH; satatam anATeByaH piNxakam anuprayacCati-iti samantAt Cad-bo
   visṛtaḥ: dattasya gṛhapateḥ putraḥ sudatto gṛhasvāmī saṃvrṭtaḥ; (Śay-v 13)	visRtaH: dattasya gRhapateH putraH sudattaH gRhasvAmI saMvrwtaH; (Śay-u 13)
   so 'nāthebhyaḥ piṇḍakam anuprayacchatīti; tasyānāthapiṇḍado (MSV III 136)	saH anATeByaH piNxakam anuprayacCati-iti; tasya-anATapiNxadaH (MSV III 136)
