   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   nanu dharma iva brahmaṇyanapekṣa āgamo bhavitumarhati /	nanu DarmaH iva brahmaNi anapekzaH AgamaH Bavitum arhati /
   bhavedayamavaṣṭambho yadi pramāṇāntarānavagāhya āgamamātraprameyo	Bavet ayam avazwamBaH yadi pramANa antara anavagAhyaH Agama mAtra prameyaH 
   'yamarthaḥ syādanuṣṭheyarūpa iva dharmaḥ /	ayam arTaH syAt anuzWeya rUpaH iva DarmaH /
   pariniṣpannarūpaṃ tu brahmāvagamyate /	parinizpanna rUpam tu brahma avagamyate /
   pariniṣpanne ca vastuni pramāṇāntarāṇāmastyavakāśo yathā pṛthivyādiṣu /	parinizpanne ca vastuni pramANa antarANAm asti avakASaH yaTA pRTivI Adizu /
   yathāca śrutīnāṃ parasparavirodhe satyekavaśenetarā nīyante, evaṃ	yaTA ca SrutInAm paraspara viroDe sati eka vaSena itarAH nIyante, evam
   pramāṇāntaravirodhe 'pi tadvaśenaiva śrutirnīyeta /	pramANa antara viroDe api tad vaSena eva SrutiH nIyeta /
   dṛṣṭasāmyena cādṛṣṭamarthaṃ samarthayantī yuktiranubhavasya saṃnikṛṣyate /	dRzwa sAmyena ca adRzwam arTam samarTayantI yuktiH anuBavasya saMnikRzyate /
   viprakṛṣyate tu śrutiraitihyamātreṇa svārthābhidhānāt /	viprakRzyate tu SrutiH Etihya mAtreNa sva arTa aBiDAnAt /
   anubhavāvasānaṃ ca brahmavijñānamavidyāyā nivartakaṃ mokṣasādhanaṃ ca	anuBava avasAnam ca brahma vijQAnam avidyAyAH nivartakam mokza sADanam ca
   dṛṣṭaphalatayeṣyate /	dRzwa Pala tayA izyate /
   śrutirapi  'śrotavyo mantavyaḥ' iti śravaṇavyatirekeṇa mananaṃ vidadhatī	SrutiH api aSrotavyaH mantavyaH a iti SravaNa vyatirekeNa mananam vidaDatI
   tarkamapyatrādartavyaṃ darśayati /	tarkam api atra Adartavyam darSayati /
   atastarkanimittaḥ punarākṣepaḥ kriyate 'na vilakṣaṇatvādasya' iti /	atas tarka nimittaH punar AkzepaH kriyate ana vilakzaNa tvAt asya a iti /
   yaduktaṃ cetanaṃ brahma jagataḥ kāraṇaṃ prakṛtiriti /	yat uktam cetanam brahma jagataH kAraNam prakRtiH iti /
   tannopapadyate /	tat na upapadyate /
   kasmāt /	kasmAt /
   vilakṣaṇatvādasya vikārasya prakṛtyāḥ /	vilakzaNa tvAt asya vikArasya prakRtyAH /
   idaṃ hi brahmakāryatvenābhipreyamāṇaṃ jagat	idam hi brahma kArya tvena aBipreyamANam jagat 
   brahmavilakṣaṇamacetanamaśuddhaṃ ca dṛśyate /	brahma vilakzaNam acetanam aSudDam ca dRSyate /
   brahma ca jagadvilakṣaṇaṃ cetanaṃ śuddhaṃ ca śrūyate /	brahma ca jagat vilakzaNam cetanam SudDam ca SrUyate /
   naca vilakṣaṇatvaṃ prakṛtivikārabhāvo dṛṣṭaḥ /	na ca vilakzaNa tvam prakRti vikAra BAvaH dRzwaH /
   nahi rucakādayo vikārā mṛtprakṛtikā bhavanti śarāvādayo vā	na hi rucaka AdayaH vikArAH mRd prakRtikAH Bavanti SarAva AdayaH vA
   suvarṇaprakṛtikāḥ /	suvarNa prakRtikAH /
   mṛdaiva tu mṛdānvitā vikārāḥ kriyante suvarṇena ca suvarṇānvitāḥ /	mRdA eva tu mRdA anvitAH vikArAH kriyante suvarNena ca suvarNa anvitAH /
   tathedamapi jagadacetanaṃ sukhaduḥkhamohānvitaṃ sadacetanasyaiva	taTA idam api jagat acetanam suKa duHKa moha anvitam sat acetanasya eva
   sukhaduḥkhamohātmakasya kāraṇasya kāryaṃ bhavitumarhatīti na vilakṣaṇasya	suKa duHKa moha Atmakasya kAraNasya kAryam Bavitum arhati iti na vilakzaNasya
   brahmaṇaḥ /	brahmaNaH /
   brahmavilakṣaṇaṃ cāsya jagato 'śuddhyacetanatvadarśanādavagantavyam /	brahma vilakzaNam ca asya jagataH aSudDi acetana tva darSanAt avagantavyam /
   aśuddhaṃ hi jagatsukhaduḥkhamohātmakatayā	aSudDam hi jagat suKa duHKa moha Atmaka tayA
   prītiparitāpaviṣādādihetutvātsvarganarakādyuccāvacaprapañcatvācca /	prIti paritApa vizAda Adi hetu tvAt svarga naraka Adi uccAvaca prapaQca tvAt ca /
   acetanaṃ cedaṃ jagaccetanaṃ prati kāryakāraṇabhāvenopakaraṇabhāvopagamāt /	acetanam ca idam jagat cetanam prati kArya kAraNa BAvena upakaraNa BAva upagamAt /
   nahi sāmye satyupakāryopakārakabhāvo bhavati /	na hi sAmye sati upakArya upakAraka BAvaH Bavati /
   nahi pradīpau parasparasyopakurutaḥ /	na hi pradIpO parasparasya upakurutaH /
   nanu cetanamapi kāryakāraṇaṃ svāmibhṛtyanyāyena bhokturupakariṣyati /	nanu cetanam api kArya kAraNam svAmi BRtya nyAyena BoktuH upakarizyati /
   na /	na /
   svāmibhṛtyayorapyacetanāṃśasyaiva cetanaṃ pratyupakārakatvāt /	svAmi BRtyayoH api acetana aMSasya eva cetanam pratyupakAraka tvAt /
   yo hyekasya cetanasya parigraho buddhyādicetanabhāgaḥ sa evānyasya	yaH hi ekasya cetanasya parigrahaH budDi Adi cetana BAgaH saH eva anyasya
   cetanasyopakaroti natu svayameva cetanaścetanāntarasyopakarotyapakaroti vā	cetanasya upakaroti na tu svayam eva cetanaH cetanA antarasya upakaroti apakaroti vA
   niratiśayā hyakartāraścetanā iti sāṃkhyā manyante /	niratiSayAH hi akartAraH cetanAH iti sAMKyAH manyante /
   tasmādacetanaṃ kāryakāraṇam /	tasmAt acetanam kArya kAraNam /
   naca kāṣṭaloṣṭādīnāṃ cetanatve kiṃ citpramāṇamasti /	na ca kAzwa lozwa AdInAm cetana tve kim cit pramANam asti /
   prasiddhaścāyaṃ cetanācetanavibhāgo loke /	prasidDaH ca ayam cetana acetana viBAgaH loke /
   tasmādbrahmavilakṣaṇatvānnedaṃ jagattatprakṛtikam /	tasmAt brahma vilakzaNa tvAt na idam jagat tat prakRtikam /
   yo 'pi kaścidācakṣīta śrutvā jagataścetanaprakṛtikatāṃ tadbalenaiva	yaH api kaScid AcakzIta SrutvA jagataH cetana prakRtika tAm tad balena eva
   samastaṃ jagaccetanamavagamayiṣyāmi /	samastam jagat cetanam avagamayizyAmi /
   prakṛtirūpasya vikāre 'nvayadarśanāt /	prakRti rUpasya vikAre anvaya darSanAt /
   avibhāvanaṃ tu caitanyasya pariṇāmaviśeṣādbhaviṣyati /	aviBAvanam tu cEtanyasya pariNAma viSezAt Bavizyati /
   yathā spaṣṭacaitanyānāmapyātmanāṃ svāpamūrcchādyavasthāsu caitanyaṃ na	yaTA spazwa cEtanyAnAm api AtmanAm svApa mUrcCA Adi avasTAsu cEtanyam na
   vibhāvyata evaṃ kāṣṭhaloṣṭādīnāmapi caitanyaṃ na vibhāvayiṣyate /	viBAvi ate evam kAzWa lozwa AdInAm api cEtanyam na viBAvayizyate /
   etasmādeva ca vibhāvitāvibhāvitatvakṛtādviśeṣādrūpādibhāvābhāvābhyāṃ ca	etasmAt eva ca viBAvita aviBAvita tva kRtAt viSezAt rUpa Adi BAva aBAvAByAm ca
   kāryakāraṇānāmātmanāṃ ca cetanatvāviśeṣe 'pi guṇapradhānabhāvo na	kArya kAraNAnAm AtmanAm ca cetanatva aviSeze api guNa praDAna BAvaH na
   virotsyate /	virotsyate /
   yathā ca pārthivatvāviśeṣe 'pi māṃsasūpaudanādīnāṃ pratyātmavartino	yaTA ca pArTiva tva aviSeze api mAMsa sUpa odana AdInAm pratyAtma vartinaH 
   viśeṣātparasparopakāritvaṃ bhavatyevamihāpi bhaviṣyati /	viSezAt paraspara upakAri tvam Bavati evam iha api Bavizyati /
   pravibhāgaprasiddhirapyata eva na virotsyata iti /	praviBAga prasidDiH api atas eva na virotsyate iti /
   tenāpi kathañciccetanācetanatvalakṣaṇaṃ vilakṣaṇatvaṃ parihriyeta /	tena api kaTaQcid cetana acetana tva lakzaNam vilakzaNa tvam parihriyeta /
   śuddhyaśuddhitvalakṣaṇaṃ tu vilakṣaṇatvaṃ naiva parihriyate /	SudDi aSudDi tva lakzaNam tu vilakzaNa tvam na eva parihriyate /
   nacetaradapi vilakṣaṇatvaṃ parihartuṃ śakyata ityāha  tathātvaṃ ca	nacetarat api vilakzaNa tvam parihartum Sakyate iti Aha taTAtvam ca
   śabdāditi /	SabdAt iti /
   anavagamyamānamevaṃ hīdaṃ loke samastasya vastunaścetanatvaṃ	anavagamyamAnam evam hi idam loke samastasya vastunaH cetana tvam
   cetanaprakṛtikatvaśravaṇācchabdaśaraṇatayā kevalayotprekṣata, tacca	cetana prakRtika tva SravaNAt Sabda SaraNa tayA kevalayA utprekzata, tat ca
   śabdenaiva virudhyate /	Sabdena eva viruDyate /
   yataḥ śabdādapi tathātvamavagamyate /	yatas SabdAt api taTAtvam avagamyate /
   tathātvamiti prakṛtivilakṣaṇatvaṃ kathayati /	taTAtvam iti prakRti vilakzaNa tvam kaTayati /
   śabda eva 'vijñānaṃ cāvijñānaṃ ca' (te. 2.6) iti	SabdaH eva avijQAnam ca avijQAnam ca a (te. 2.6) iti
   kasyacidvibhāgasyācetanatāṃ śrāvayaṃścetanādbrahmaṇo vilakṣaṇamacetanaṃ	kasyacid viBAgasya acetana tAm SrAvayan= cetanAt brahmaNaH vilakzaNam acetanam
   jagacchrāvayati // 4 //	jagat SrAvayati // 4 //
   FN: avaṣṭambho dṛṣṭāntaḥ /	FN: avazwamBaH dRzwAntaH /
   aitihyamātreṇa parokṣatayeti yāvat /	Etihya mAtreNa parokzatayA iti yAvat /
   sukhaduḥkhamohāḥ sattvarajastamāṃsi /	suKa duHKa mohAH sattva rajaH tamAMsi /
   upajanāpāyavaddharmayogo 'tiśayastadabhāvo niratiśayatvam /	upajana apAya vat Darma yogaH atiSayaH tad aBAvaH niratiSaya tvam /
   itaraccetanācetanatvarūpam /	itarat cetanA acetana tva rUpam /
   nanu cetanatvamapi kvacidacetanatvābhimatānāṃ bhūtendriyāṇāṃ śrūyate /	nanu cetana tvam api kvacid acetana tva aBimatAnAm BUta indriyANAm SrUyate /
   yathā 'mṛdabravīt' 'āpo 'bruvan' ( śa.pa.brā. 6.1.3.2.4) iti, 'tatteja	yaTA amRd abravIt a aApaH abruvan a ( Sa.pa.brA. 6.1.3.2.4) iti, atat teja
   aikṣata' 'tā āpa aikṣanta' (chā. 6.2.3,4) iti caivamādyā bhūtaviṣayā	Ekzata a atAH ApaH Ekzanta a (CA. 6.2.3,4) iti ca evamAdyA BUta vizayA
   cetanatvaśrutiḥ /	cetana tva SrutiH /
   indriyaviṣayāpi 'te heme prāṇā ahaṃśreyase vivadamānā brahma jagmuḥ' (bṛ.	indriya vizayA api ate heme prANAH ahaMSreyase vivadamAnAH brahma jagmuHa (bR.
   6.1.7) iti, 'te ha vācamūcustvaṃ na udgāyeti' (bṛ. 1.3.2)	6.1.7) iti, ate ha vAcam UcuH tvam naH udgAya iti a (bR. 1.3.2)
   ityevamādyendriyaviṣayeti /	iti evamAdya indriya vizaya iti /
   ata uttaraṃ paṭhati 	atas uttaram paWati 
   abhimānivyapadeśas tu viśeṣānugatibhyām | BBs_2,1.5 |	aBimAni vyapadeSaH tu viSeza anugatiByAm | BBH _2,1.5 |
   tuśabda āśaṅkāmapanudati /	tuSabdaH ASaFkAm apanudati /
   na khalu mṛdabravīdityevañjātīyakayā śrutyā bhūtendriyāṇāṃ	na Kalu mRd abravIt iti evan jAtIyakayA SrutyA BUta indriyANAm
   cetanatvamāśaṅkanīyam /	cetana tvam ASaFkanIyam /
   yato 'bhimānivyapadeśa eṣaḥ /	yatas aBimAni vyapadeSaH ezaH /
   mṛdādyabhimāninyo vāgādyabhimāninyaśca cetanā devatā vadanasaṃvadanādiṣu	mRd Adi aBimAninyaH vAc Adi aBimAninyaH ca cetanA devatAH vadana saMvadana Adizu
   cetanociteṣu vyavahāreṣu vyapadiśyante na bhūtendriyamātram /	cetana ucitezu vyavahArezu vyapadiSyante na BUta indriya mAtram /
   kasmāt /	kasmAt /
   viśeṣānugatibhyām /	viSeza anugatiByAm /
   viśeṣo hi bhoktṛṇāṃ bhūtendriyāṇāṃ ca cetanācetanapravibhāgalakṣaṇaḥ	viSezaH hi BoktRNAm BUta indriyANAm ca cetana acetana praviBAga lakzaNaH
   prāgabhihitaḥ /	prAc aBihitaH /
   sarvacetanatāyāṃ cāsau nopapadyeta /	sarva cetanatAyAm ca asO na upapadyeta /
   apica kauṣītakinaḥ prāṇasaṃvāde karaṇamātrāśaṅkāvinivṛttaye	api ca kOzItakinaH prANa saMvAde karaNa mAtra ASaFkA vinivRttaye
   'dhiṣṭhātṛcetanaparigrahāya devatāśabdena viśiṣanti  'etā ha vai devatā	aDizWAtR cetana parigrahAya devatA Sabdena viSizanti  aetA ha vE devatA
   ahaṃśreyase vivadamānāḥ' iti /	ahaMSreyase vivadamAnAHa iti /
   'tā vā etāḥ sarvā devatāḥ prāṇe niḥśreyasaṃ viditvā' (2.14) iti ca /	atAH vE etAH sarvAH devatAH prANe niHSreyasam viditvA a (2.14) iti ca /
   anugatāśca sarvatrābhimāninyaścetanādevatā	anugatAH ca sarvatra aBimAninyaH cetanA devatA
   mantrārthavādetihāsapurāṇādibhyo 'vagamyante /	mantra arTa vAda itihAsa purANa AdiByaH avagamyante /
   'agnirvāgbhūtvā mukhaṃ prāviśat' (ai.ā. 2.4.2.4) ityevamādikā ca śrutiḥ	aagniH vAc BUtvA muKam prAviSat a (E.A. 2.4.2.4) iti evamAdikA ca SrutiH
   karaṇeṣvanugrāhikāṃ devatāmanugatāṃ darśayati /	karaNezu anugrAhikAm devatAm anugatAm darSayati /
   prāṇasaṃvādavākyaśeṣe ca 'te ha prāṇāḥ prajāpatiṃ pitarametyocuḥ' (chā.	prANa saMvAda vAkya Seze ca ate ha prANAH prajApatim pitaram eti a UcuH a (CA.
   5.1.7) iti śreṣṭhatvanirdhāraṇāya prajāpatigamanaṃ,	5.1.7) iti SrezWa tva nirDAraNAya prajApati gamanaM,
   tadvacanācaikaikotkramaṇenānvayavyatirkābhyāṃ prāṇaśraiṣṭhyapratipattiḥ /	tad vacanAca ekEka utkramaNena anvaya vyatirkAByAm prANa SrEzWya pratipattiH /
   'tasmai baliharaṇam' (bṛ. 6.1.13) iti caivañjātīyako 'smadādiṣviva	atasmE bali haraNam a (bR. 6.1.13) iti ca evan jAtIyakaH asmad Adizu iva
   vyavahāro 'nugamyamāno 'bhimānivyapadeśaṃ draḍhayati /	vyavahAraH anugamyamAnaH aBimAni vyapadeSam draXayati /
   'tatteja aikṣata' ityapi parasyā eva devatāyā adhiṣṭātryāḥ	atat tejaH Ekzata a iti api parasyAH eva devatAyAH aDizwa atryAH
   svavikāreṣvanugatāyā iyamīkṣā vyapadiśyata iti draṣṭavyam /	sva vikArezu anugatAyAH iyam IkzA vyapadiSyate iti drazwavyam /
   tasmādvilakṣaṇamevedaṃ brahmaṇo jagat /	tasmAt vilakzaNam eva idam brahmaNaH jagat /
   vilakṣaṇatvācca na brahmaprakṛtikamityākṣipte pratividhatte // 5 //	vilakzaNa tvAt ca na brahma prakRtikam iti Akzipte prativiDatte // 5 //
   FN: saṃvadanaṃ vivādaḥ /	FN: saMvadanam vivAdaH /
   viśiṃṣanti vāgādīnprāṇādīniti śeṣaḥ /	viSiMzanti vAc AdIn prANa AdIn iti SezaH /
   ahaṃśreyase svasvaśreṣṭhatvāya /	ahaMSreyase sva sva SrezWa tvAya /
   niḥśreyasaṃ śraiṣṭhyam /	niHSreyasam SrEzWyam /
   dṛśyate tu | BBs_2,1.6 |	dRSyate tu | BBH _2,1.6 |
   tuśabdaḥ pakṣaṃ vyāvartayati /	tuSabdaH pakzam vyAvartayati /
   yaduktaṃ vilakṣaṇatvānnedaṃ jagadbrahmaprakṛtikamiti /	yat uktam vilakzaNa tvAt na idam jagat brahma prakRtikam iti /
   nāyamekāntaḥ /	na ayam ekAntaH /
   dṛśyate hi loke cetanatvena prasiddhebhyaḥ puruṣādibhyo vilakṣaṇānāṃ	dRSyate hi loke cetana tvena prasidDeByaH puruza AdiByaH vilakzaNAnAm
   keśanakhādīnāmutpattiḥ, acetanatvena ca prasiddhebhyo gomayādibhyo	keSa naKa AdInAm utpattiH, acetana tvena ca prasidDeByaH gomaya AdiByaH 
   vṛścikādīnām /	vRScika AdInAm /
   nanvacetanānyeva puruṣādiśarīrāṇyacetanānāṃ keśanakhādīnāṃ kāraṇāni,	nanu acetanAni eva puruza Adi SarIrANi acetanAnAm keSa naKa AdInAm kAraNAni,
   acetanānyeva ca vṛścikādiśarīrāṇyacetanānāṃ gomayādīnāṃ kāryāṇīti /	acetanAni eva ca vRScika Adi SarIrANi acetanAnAm gomaya AdInAm kAryANi iti /
   ucyate  evamapi kiñcidacetanaṃ cetanasyāyatanabhāvamupagacchati	ucyate evam api kiQcid acetanam cetanasya Ayatana BAvam upagacCati
   kiñcinnetyastyeva vailakṣaṇyam /	kiQcid nA iti asti eva vElakzaNyam /
   mahāṃścāyaṃ pāriṇāmikaḥ svabhāvaviprakarṣaḥ puruṣādīnāṃ keśanakhādīnāṃ ca	mahAn= ca ayam pAriNAmikaH svaBAva viprakarzaH puruza AdInAm keSa naKa AdInAm ca
   svarūpādibhedāt /	sva rUpa Adi BedAt /
   tathā gomayādīnāṃ vṛścikādīnāṃ ca /	taTA gomaya AdInAm vRScika AdInAm ca /
   atyantasārūpye ca prakṛtivikārabhāva eva pralīyeta /	atyanta sArUpye ca prakRti vikAra BAvaH eva pralIyeta /
   athocyetāsti kaścitpārthivatvādisvabhāvaḥ puruṣādīnāṃ	aTa ucyeta asti kaScid pArTiva tva Adi svaBAvaH puruza AdInAm
   keśanakhādiṣvanuvartamāno gomayādīnāṃ vṛścikādiṣviti /	keSa naKa Adizu anuvartamAnaH gomaya AdInAm vRScika Adizu iti /
   brahmaṇo 'pi tarhi sattālakṣaṇaḥ svabhāva ākāśādiṣvanuvartamānodṛśyate /	brahmaNaH api tarhi sattA lakzaNaH svaBAvaH AkASa Adizu anuvartamAna udRSyate /
   vilakṣaṇatvena ca kāraṇena brahmaprakṛtitvaṃ jagato dūṣayatā kimaśeṣasya	vilakzaNa tvena ca kAraNena brahma prakRti tvam jagataH dUzayatA kim aSezasya
   brahmasvabhāvasyānanuvartanaṃ vilakṣaṇatvamabhipreyata uta yasya	brahma svaBAvasya ananuvartanam vilakzaNa tvam aBipreyate uta yasya
   kasyacidasya caitanyasyeti vaktavyam /	kasyacid asya cEtanyasya iti vaktavyam /
   prathame vikalpe samastaprakṛtivikārocchedaprasaṅgaḥ /	praTame vikalpe samasta prakRti vikAra ucCeda prasaFgaH /
   nahyasatyatiśaye prakṛtivikāra iti bhavati /	na hi asati atiSaye prakRti vikAraH iti Bavati /
   dvitīye cāsiddhatvam /	dvitIye ca asidDatvam /
   dṛśyate hi sattālakṣaṇo brahmasvabhāva ākāśādiṣvanuvartamāna ityuktam /	dRSyate hi sattA lakzaNaH brahma svaBAvaH AkASa Adizu anuvartamAnaH iti uktam /
   tṛtīye tu dṛṣṭāntābhāvaḥ /	tRtIye tu dRzwAnta aBAvaH /
   kiṃ hi yaccaitanyenānanvitaṃ tadabrahmaprakṛtikaṃ dṛṣṭamiti brahmavādinaṃ	kim hi yat cEtanyena ananvitam tat abrahma prakRtikam dRzwam iti brahma vAdinam
   pratyudāhriyeta /	pratyudAhriyeta /
   samastasya vastujāyasya brahmaprakṛtitvābhyupagamāt /	samastasya vastu jAyasya brahma prakRti tva aByupagamAt /
   āgamavirodhastu prasiddha eva /	Agama viroDaH tu prasidDaH eva /
   cetanaṃ brahmajagataḥ kāraṇaṃ prakṛtiścetyāgamatātparyasya prasādhitatvāt	cetanam brahma jagataH kAraNam prakRtiH ca iti Agama tAtparyasya prasADita tvAt 
   yattūktaṃ pariniṣpannatvādbrahmaṇi pramāṇāntarāṇi saṃbhaveyuriti /	yat tu uktam parinizpanna tvAt brahmaNi pramANa antarANi saMBaveyuH iti /
   tadapi manorathamātram /	tat api manoraTa mAtram /
   rūpādyabhāvāddhi nāyamarthaḥ pratyakṣasya gocaraḥ /	rUpa Adi aBAvAt hi na ayam arTaH pratyakzasya gocaraH /
   liṅgādyabhāvācca nānumānādīnām /	liFga Adi aBAvAt ca na anumAna AdInAm /
   āgamamātrasamadhigamya eva tvayamartho dharmavat /	Agama mAtra samaDigamyaH eva tu ayam arTaH Darma vat /
   tathāca śrutiḥ   'naiṣā tarkeṇa matirāpaneyā proktānyenaiva sujñānāya	taTA ca SrutiH  anEzA tarkeNa matiH ApaneyA proktA anyena eva su jQAnAya
   preṣṭha' (kā. 1.2.9) iti /	prezWa a (kA. 1.2.9) iti /
   'ko addhā veda ka iha pravocat' /	akaH adDA veda kaH iha pravocata /
   'iyaṃ visṛṣṭiryata ābabhūva' (ṛ.saṃ 1.30.6) iti caite ṛcau	aiyam visRzwiH yatas AbaBUva a (R.sam 1.30.6) iti ca ete RcO
   siddhānāmapīśvarāṇāṃ durbodhatāṃ jagatkāraṇasya darśayataḥ /	sidDAnAm api ISvarANAm durboDa tAm jagat kAraNasya darSayataH /
   smṛtirapi bhavati  'acintyāḥ khalu ye bhāvā na tāṃstarkeṇa yojayet' iti /	smRtiH api Bavati aacintyAH Kalu ye BAvAH na tAn= tarkeNa yojayet a iti /
   'avyakto 'yamacintyo 'yamavikāryoyamucyate' (gī. 2.25) iti ca /	aavyaktaH ayam acintyaH ayam avikArya uyam ucyate a (gI. 2.25) iti ca /
   'na me viduḥ suragaṇāḥ prabhavaṃ na maharṣayaḥ /	ana me viduH sura gaNAH praBavam na mahA RzayaH /
   ahamādirhi devānāṃ maharṣīṇāṃ ca sarvaśaḥ' (gī. 10.2) iti caivañjātīyakā /	aham AdiH hi devAnAm mahA RzINAm ca sarvaSaH a (gI. 10.2) iti ca evan jAtIyakAH /
   yadapi śravaṇavyatirekeṇa mananaṃ vidadhacchabda eva tarkamapyādartavyaṃ	yat api SravaNa vyatirekeNa mananam vidaDat SabdaH eva tarkam api Adartavyam
   darśayatītyuktam /	darSayati iti uktam /
   nānena miṣeṇa śuṣkatarkasyātrātmalābhaḥ saṃbhavati /	na anena mizeNa Suzka tarkasya atra Atma lABaH saMBavati /
   śrutyanugṛhīta eva hyatra tarko 'nubhavāṅgatvenāśrīyate /	Sruti anugRhItaH eva hi atra tarkaH anuBava aFga tvena ASrIyate /
   svapnāntabuddhāntayorubhayoritaretaravyabhicārādātmano 'nanvāgatatvaṃ,	svapna anta budDa antayoH uBayoH itaretara vyaBicArAt AtmanaH ananvAgata tvaM,
   saṃprasāde ca prapañcaparityāgena sadātmanā	saMprasAde ca prapaQca parityAgena sat A AtmanA
   saṃpatterniṣprapañcasadātmatvaṃ, prapañcasya	saMpatteH nizprapaQca sat Atma tvan, prapaQcasya
   brahmaprabhavatvātkāryakāraṇānanyatvanyāyena brahmāvyatireka	brahma praBava tvAt kArya kAraNa ananyatva nyAyena brahma avyatireka
   ityevañjātīyakaḥ /	iti evan jAtIyakaH /
   'tarkāpratiṣṭhānāt' (bra. 2.1.11) iti ca kevalasya	atarka apratizWAnAt a (bra. 2.1.11) iti ca kevalasya
   tarkasyavipralambhakatvaṃ darśayiṣyati /	tarkasya vipralamBaka tvam darSayizyati /
   yo 'pi cetanakāraṇaśravaṇabalenaiva samastasya jagataścetanatāmutprekṣate	yaH api cetana kAraNa SravaNa balena eva samastasya jagataH cetana tAm utprekzate
   tasyāpi vijñānaṃ cāvijñānaṃ ca iti cetanācetanavibhāgaśravaṇaṃ	tasya api vijQAnam ca avijQAnam ca iti cetana acetana viBAga SravaNam
   vibhāvanāvibhāvanābhyāṃ caitanyasya śakyata eva yojayitum /	viBAvanA viBAvanAByAm cEtanyasya SakyataH eva yojayitum /
   parasyaiva tvidamapi vibhāgaśravaṇaṃ na yujyate /	parasya eva tu idam api viBAga SravaNam na yujyate /
   katham /	kaTam /
   paramakāraṇasya hyatra samastajagadātmanā samavasthānaṃ śrāvyate 'vijñānaṃ	parama kAraNasya hi atra samasta jagat AtmanA samavasTAnam SrAvyate avijQAnam
   cāvijñānaṃ cābhavat' iti /	ca avijQAnam ca aBavat a iti /
   tatra yathā cetanasyācetanabhāvo nopapadyate vilakṣaṇatvāt,	tatra yaTA cetanasya acetana BAvaH na upapadyate vilakzaNa tvAt,
   evamacetanasyāpi cetanabhāvo nopapadyate /	evam acetanasya api cetana BAvaH na upapadyate /
   pratyuktatvāttu vilakṣaṇatvasya yathāśrutyaiva kāraṇaṃ grahītavyaṃ bhavati	pratyukta tvAt tu vilakzaNa tvasya yaTASrutyA eva kAraNam grahItavyam Bavati
   FN: pāriṇāmikastattatkeśādigatapariṇāmātmaka ityarthaḥ /	FN: pAriNAmikaH tad tad keSa Adi gata pariNAma AtmakaH iti arTaH /
   eṣā vedāntaśāstrajanyā matistarkeṇa svamatyūhamātreṇāpaneyā bādhārhā na /	ezA vedAnta SAstra janyA matiH tarkeNa sva matyUha mAtreNa apaneyAH bADa arhA na /
   yadvā tarkeṇa prāptavyā netyarthaḥ /	yat vA tarkeNa prAptavyA na iti arTaH /
   kintu anyena nipuṇenācāryeṇa proktaprabodhitā satī sujñānāya sākṣātkārāya	kintu anyena nipuNena AcAryeNa prokta praboDitA satI su jQAnAya sAkzAtkArAya
