   Prātimokṣasūtram*	PrAti-mokza-sUtram*
   asya vacanīyo Ō mā āyuṣmann evaṃ vada, mā bhagavantam abhyācakṣa asatā	asya vacanIyaH Ō mA Ayuzman evam vada, mA Bagavantam aByAcakza asatA
   durgṛhītena / antarāyikā evāyuṣman dharmāḥ samānā antarāyikā dharmā uktā	durgRhItena / antarAyikAH eva-Ayuzman DarmAH samAnA antarAyikA DarmAH uktA
   bhagavatā, alaṃ ca punas tān pratiṣevato antarāyāya / evaṃ ca so bhikṣu	BagavatA, alam ca punar tAn pratizevataH antarAyAya / evam ca saH Bikzu
   bhikṣūhi vucyamāno taṃ vastuṃ pratinissareya ity etaṃ kuśalaṃ / no ca	BikzUhi vucyamAnaH tam vastum pratinissareyaH iti etam kuSalam / no ca
   pratinissareya so bhikṣu bhikṣūhi yāvantṛtīyakaṃ samanugrāhitavyo	pratinissareya saH Bikzu BikzUhi yAvantRtIyakam samanugrAhitavyaH-
   samanubhāṣitavyo tasya vastusya pratinissargāya / yāvantṛtīyakaṃ	samanuBAzitavyaH tasya vastusya pratinissargAya / yAvantRtIyakam
   samanugrāhiyamāṇo vā samanubhāṣiyamāṇo vā taṃ vastuṃ pratinissareya ity	samanugrAhiyamANaH vA samanuBAziyamANaH vA tam vastum pratinissareyaH iti-
   etaṃ kuśalaṃ / no ca pratinissareya so bhikṣuḥ samagreṇa saṃghena	etam kuSalam / no ca pratinissareya saH BikzuH samagreNa saMGena
   utkṣipitavyo / imaṃ tasya bhikṣusya utkṣepaṇapācattikaṃ /	utkzipitavyaH / imam tasya Bikzusya utkzepaNa-pAcattikam /
   PrMoSū(Mā-L)Pāc.46. yo puna bhikṣur jānan bhikṣuṃ tathā utkṣiptaṃ	PrMoSU(MA-L)-PAc.46. yaH puna BikzuH jAnan Bikzum taTA utkziptam
   samagreṇa saṃghena dharmeṇa vinayena yathāvādiṃ tathākāriṃ tāṃ pāpikāṃ	samagreNa saMGena DarmeNa vinayena yaTAvAdim taTA-akArim tAm pApikAm
   dṛṣṭiṃ apratinissarantaṃ akṛtānudharmaṃ saṃbhuñjeya vā saṃvaseya vā	dRzwim apratinissarantam akRta-anuDarmam saMBuQjeya vA saMvaseya vA
   sahagāraśayyāṃ vā kalpeya pācattikaṃ /	sahagAra-SayyAm vA kalpeya pAcattikam /
   PrMoSū(Mā-L)Pāc.47. śramaṇuddeso pi ced evaṃ vadeya tathāham āyuṣmanto	PrMoSU(MA-L)-PAc.47. SramaNuddesaH pi ced evam vadeya taTA-aham AyuzmantaH-
   bhagavatā dharmaṃ deśitam ājānāmi yathā ye ime antarāyikā kāmā uktā	BagavatA Darmam deSitam AjAnAmi yaTA ye ime antarAyikA kAmA uktA
   bhagavatā tān pratisevato nālam antarāyāya / so śramaṇuddeśo bhikṣūhi evam	BagavatA tAn pratisevataH na-alam antarAyAya / saH SramaNuddeSaH BikzUhi evam
   asya vacanīyo Ō mā āyuṣman cchramaṇuddeśa evaṃ vada, mā bhagavantam	asya vacanIyaH Ō mA Ayuzman cCramaNu-ddeSaH evam vada, mA Bagavantam
   abhyācakṣa asattā durgṛhītena / antarāyikā evāyuṣman cchramaṇuddeśa kāmāḥ	aByAcakza asattA durgRhItena / antarAyikAH eva-Ayuzman cCramaNu-ddeSa kAmAH
   samānā antarāyikāḥ kāmā uktā bhagavatā / alaṃ ca punas tān pratisevato	samAnAH antarAyikAH kAmAH uktAH BagavatA / alam ca punar tAn pratisevataH-
   antarāyāya / evaṃ ca so śramaṇuddeśo bhikṣūhi vucyamāno taṃ vastuṃ	antarAyAya / evam ca saH SramaNuddeSaH BikzUhi vucyamAnaH tam vastum
   pratinissareya ity etaṃ kuśalaṃ / no ca pratinissareya so śramaṇuddeśo	pratinissareyaH iti etam kuSalam / no ca pratinissareya saH SramaNuddeSaH-
   bhikṣūhi yāvantṛtīyakaṃ samanugrāhitavyo samanubhāṣitavyo tasya vastusya	BikzUhi yAvantRtIyakam samanugrAhitavyaH samanuBAzitavyaH tasya vastusya
   pratinissargāya yāvantṛtīyakaṃ samanugrāhiyamāṇo vā samanubhāṣiyamāṇo vā	pratinissargAya yAvantRtIyakam samanugrAhiyamANaH vA samanuBAziyamANaH vA
   taṃ vastuṃ pratinissareya ity etaṃ kuśalaṃ, no ca pratinissareya so	tam vastum pratinissareyaH iti etam kuSalaM, no ca pratinissareya saH-
   śramaṇuddeśo bhikṣūhi nāśayitavyo Ō adyadagreṇa te āyuṣman śramaṇuddeśa na	SramaNuddeSaH BikzUhi nASayitavyaH Ō adyat-agreNa te Ayuzman SramaNuddeSa na
   caiva so bhagavāṃs tathāgato 'rhan samyaksaṃbuddho śāstā vyapadiśitavyo /	ca-eva saH BagavAn taTAgataH arhan samyaksaMbudDaH SAstA vyapadiSitavyaH /
   yaṃ pi ca dāni labhasi bhikṣūhi sārdhaṃ dvirātraṃ vā trirātraṃ vā	yam pi ca dAni laBasi BikzUhi sArDam dvi-rAtram vA tri-rAtram vA
   sahagāraśayyāṃ sāpi te adyadagreṇa nāsti / gaccha naśya cala prapalāhi /	sahagAra-SayyAm sA-api te adyat-agreNa na-asti / gacCa naSya cala prapalAhi /
   yo puna bhikṣur jānan tathānāśitaṃ śramaṇuddeśaṃ yathāvādīṃ tathākāriṃ tāṃ	yaH puna BikzuH jAnan taTA-anASitam SramaNu-ddeSam yaTAvAdIm taTA-akArim tAm
   pāpikāṃ dṛṣṭim apratinissarantaṃ akṛtānudharmaṃ upasthāpeya vā upalāpeya	pApikAm dRzwim apratinissarantam akRta-anuDarmam upasTApeya vA upalApeya
   vā saṃbhuṃjeya vā saṃvaseya vā sahagāraśayyāṃ vā kalpeya pācattikaṃ /	vA saMBuMjeya vA saMvaseya vA sahagAra-SayyAm vA kalpeya pAcattikam /
   PrMoSū(Mā-L)Pāc.48. navacīvaralābhinā bhikṣuṇā trayāṇāṃ durvarṇīkaraṇānām	PrMoSU(MA-L)-PAc.48. nava-cIvara-lABinA BikzuNA trayANAm durvarNIkaraNAnAm
   anyatarānyataraṃ durvaṇīkaraṇam ādayitavyaṃ Ō nīlaṃ vā kardamaṃ vā	anyatara-anyataram durvaNIkaraNam Adayitavyam Ō nIlam vA kardamam vA
   kālaśyāmaṃ vā / tato ca bhikṣur anādāya navaṃ cīvaraṃ paribhuṃjeya	kAla-SyAmam vA / tatas ca BikzuH anAdAya navam cIvaram pariBuMjeya
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.49. yo puna bhikṣur anyatra adhyārāme vā adhyāvasathe vā	PrMoSU(MA-L)-PAc.49. yaH puna BikzuH anyatra aDyArAme vE aDyAvasaTe vA
   ratanaṃ vā ratanasaṃmataṃ vā udgṛhṇeya vā udgṛhṇāpeya vā, pācattikaṃ /	ratanam vA ratana-saMmatam vA udgRhNeya vA udgRhNApeya vA, pAcattikam /
   ākāṃkṣamāṇena bhikṣuṇā ratanaṃ vā ratanasaṃmataṃ vā adhyārāme vā	Aka-aMkzamANena BikzuNA ratanam vA ratana-saMmatam vA aDyArAme vA
   adhyāvasathe vā udgṛhṇitavyaṃ vā udgṛhṇāpayitavyaṃ vā Ō yasya bhaviṣyati	aDyAvasaTe vE udgRhNitavyam vA udgRhNApayitavyam vA Ō yasya Bavizyati
   so hariṣyatīti / etad eva pratyayaṃ kṛtvā, ananyam / iyam atra sāmīcī /	saH harizyati-iti / etat eva pratyayam kRtvA, ananyam / iyam atra sAmIcI /
   PrMoSū(Mā-L)Pāc.50. anvardhamāsaṃ snānam uktaṃ bhagavatā / anyatra samaye	PrMoSU(MA-L)-PAc.50. anvarDa-mAsam snAnam uktam BagavatA / anyatra samaye
   pācattikaṃ / tatrāyaṃ samayo Ō dvyardho māso śeṣo grīṣmāṇāṃ, varṣāṇāṃ ca	pAcattikam / tatra-ayam samayaH Ō dvi-arDaH mAsaH SezaH grIzmANAM, varzANAm ca
   purimo māso ity ete aḍḍhātīyamāsāḥ, paridāhakālasamayo,	purimaH mAsaH iti ete axXAtIya-mAsAH, paridAha-kAla-samayaH-,
   adhvānagamanakālasamayo, gilānasamayo, karmasamayo, vātasamayo,	aDvAna-gamana-kAla-samayo, gilAna-samayo, karma-samayo, vAta-samayaH-,
   vṛṣṭisamayo / ayam atra samayo /	vRzwi-samayaH / ayam atra samayaH /
   // uddānam //	// uddAnam //
   (41) jyotiḥ (42) sahagāra (43) cchandam (44) udyojanā (45-47) trayo	(41) jyotiH (42) sahagAraH (43) cCandam (44) udyojanAH (45-47) trayaH-
   'ntarāyikā (48) akṛtakalpaṃ (49) ratanaṃ (50) snānena // pañcamo vargaḥ //	antarAyikAH (48) akRta-kalpam (49) ratanam (50) snAnena // paQcamaH vargaH //
   PrMoSū(Mā-L)Pāc.51. yo puna bhikṣur jānan saprāṇakam udakaṃ paribhuñjeya	PrMoSU(MA-L)-PAc.51. yaH puna BikzuH jAnan sa-prANakam udakam pariBuQjeya
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.52. yo puna bhikṣu acelakasya vā acelikāya vā	PrMoSU(MA-L)-PAc.52. yaH puna Bikzu acelakasya vA acelikAya vA
   parivrājakasya vā parivrājakāye vā svahastaṃ khādanīyaṃ vā bhojanīyaṃ vā	parivrAjakasya vA parivrAja-kAye vA sva-hastam KAdanIyam vA BojanIyam vA
   dadyāt pācattikaṃ /	dadyAt pAcattikam /
   PrMoSū(Mā-L)Pāc.53. yo puna bhikṣur jānan saṃbhojanīye kule	PrMoSU(MA-L)-PAc.53. yaH puna BikzuH jAnan saMBojanIye kule
   anupakhajjāsane niṣadyāṃ kalpeya pācattikaṃ /	anupaKajja-Asane nizadyAm kalpeya pAcattikam /
   PrMoSū(Mā-L)Pāc.54. yo puna bhikṣur jānan saṃbhojanīye kule	PrMoSU(MA-L)-PAc.54. yaH puna BikzuH jAnan saMBojanIye kule
   praticchannāsane niṣadyāṃ kalpeya pācattikaṃ /	praticCanna-Asane nizadyAm kalpeya pAcattikam /
   PrMoSū(Mā-L)Pāc.55. yo puna bhikṣur udyuktāṃ senāṃ darśanāya gaccheya	PrMoSU(MA-L)-PAc.55. yaH puna BikzuH udyuktAm senAm darSanAya gacCeya
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.56. syāt tasya bhikṣusya kocid eva pratyayo senāyāṃ	PrMoSU(MA-L)-PAc.56. syAt tasya Bikzusya kocid eva pratyayaH senAyAm
   gamanāya, dvirātraṃ vā trirātraṃ vā tena bhikṣuṇā senāyāṃ vasitavyaṃ /	gamana-aya, dvi-rAtram vA tri-rAtram vA tena BikzuNA senAyAm vasitavyam /
   taduttariṃ vaseya pācattikaṃ /	tad-uttarim vaseya pAcattikam /
   PrMoSū(Mā-L)Pāc.57. tatrāpi ca bhikṣu dvirātraṃ vā trirātraṃ vā senāyāṃ	PrMoSU(MA-L)-PAc.57. tatra-api ca Bikzu dvi-rAtram vA tri-rAtram vA senAyAm
   vasamāno āyūhikaṃ vā niyūddhikaṃ vā anekavyūhaṃ vā saṃgrāmaśīrṣaṃ vā	vasamAnaH AyUhikam vA niyUdDikam vA aneka-vyUham vA saMgrAma-SIrzam vA
   darśanāya gaccheya pācattikaṃ /	darSanAya gacCeya pAcattikam /
   PrMoSū(Mā-L)Pāc.58. yo puna bhikṣu bhikṣuṃ prahareya pācattikaṃ /	PrMoSU(MA-L)-PAc.58. yaH puna Bikzu Bikzum prahareya pAcattikam /
   PrMoSū(Mā-L)Pāc.59. yo puna bhikṣu bhikṣusya talaśaktikām āvarjeya	PrMoSU(MA-L)-PAc.59. yaH puna Bikzu Bikzusya tala-SaktikAm Avarjeya
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.60. yo puna bhikṣur jānan bhikṣusya duṣṭhullām āpattiṃ	PrMoSU(MA-L)-PAc.60. yaH puna BikzuH jAnan Bikzusya duzWullAm Apattim
   kṛtām adhyācīrṇāṃ cchādeya, so na pareṣām āroceya kiṃ ti se mā pare	kRtAm aDyAcIrNAm cCAdeya, saH na parezAm Aroceya kim ti se mA pare
   jānantū ti / avadya praticchādane pācattikaṃ /	jAnantU ti / avadya praticCAdane pAcattikam /
   // uddānaṃ //	// uddAnam //
   (51) saprāṇakam (52) acelako (53) anupakhajjaṃ (54) praticchannāsanaṃ	(51) sa-prANakam (52) acelakaH (53) anupaKajjam (54) praticCanna-Asanam
   (55-57) trayaṃ senāyāṃ (58) praharati (59) talaśaktikā (60)	(55-57) trayam senAyAm (58) praharati (59) tala-SaktikAH (60)
   praticchādanena // ṣaṣṭho vargaḥ //	praticCAdanena // zazWaH vargaH //
   PrMoSū(Mā-L)Pāc.61. yo puna bhikṣuḥ saṃcintya tiryagyonigataṃ prāṇinaṃ	PrMoSU(MA-L)-PAc.61. yaH puna BikzuH saMcintya tiryagyoni-gatam prANinam
   jīvitād vyaparopeya pācattikaṃ /	jIvitAt vyaparopeya pAcattikam /
   PrMoSū(Mā-L)Pāc.62. yo puna bhikṣu bhikṣusya saṃcintya kaukṛtyam	PrMoSU(MA-L)-PAc.62. yaH puna Bikzu Bikzusya saMcintya kOkRtyam
   upasaṃhareya kiṃ ti se muhūrtaṃ pi aphāsu bhavatū ti pācattikaṃ /	upasaMhareya kim ti se muhUrtam pi aPAsu BavatU ti pAcattikam /
   PrMoSū(Mā-L)Pāc.63. yo puna bhikṣu bhikṣusya vā bhikṣuṇīye vā śrāmaṇerasya	PrMoSU(MA-L)-PAc.63. yaH puna Bikzu Bikzusya vA BikzuNIye vA SrAmaNeH-asya
   vā śrāmaṇerīye vā śikṣamāṇāye vā cīvaraṃ datvā apratyuddhareya	vA SrAmaNerIye vA SikzamANAye vA cIvaram datvA apratyudDareya
   paribhuṃjeya, apratyuddhāraparibhoge pācattikaṃ /	pariBuMjeya, apratyudDAra-pariBoge pAcattikam /
   PrMoSū(Mā-L)Pāc.64. yo puna bhikṣu bhikṣusya pātraṃ vā cīvaraṃ vā	PrMoSU(MA-L)-PAc.64. yaH puna Bikzu Bikzusya pAtram vA cIvaram vA
   niṣīdanaṃ vā sūcīvigrahaṃ vā apaniheya vā apanihāpeya vā antamaśato	nizIdanam vA sUcI-vigraham vA apaniheya vA apanihApeya vE antam-aSataH-
   hāsyārthaṃ pi pācattikaṃ /	hAsya-arTam pi pAcattikam /
   PrMoSū(Mā-L)Pāc.65. yo puna bhikṣur bhikṣuṃ bhīṣeya pācattikam /	PrMoSU(MA-L)-PAc.65. yaH puna BikzuH Bikzum BIzeya pAcattikam /
   PrMoSū(Mā-L)Pāc.66. udakahastasaṃmardanāt pācattikaṃ /	PrMoSU(MA-L)-PAc.66. udaka-hasta-saMmardanAt pAcattikam /
   PrMoSū(Mā-L)Pāc.67. aṅgulipratodanake pācattikaṃ /	PrMoSU(MA-L)-PAc.67. aFguli-pratodanake pAcattikam /
   PrMoSū(Mā-L)Pāc.68. yo puna bhikṣu mātṛgrāmeṇa sārdhaṃ saṃvidhāya	PrMoSU(MA-L)-PAc.68. yaH puna Bikzu mAtR-grAmeNa sArDam saMviDAya
   adhvānamārgaṃ pratipadyeya antamaśato grāmāntaraṃ pi pācattikaṃ /	aDvAna-mArgam pratipadyeya antam-aSataH grAma-antaram pi pAcattikam /
   PrMoSū(Mā-L)Pāc.69. yo puna bhikṣu mātṛgrāmeṇa sārdhaṃ sahagāraśayyāṃ	PrMoSU(MA-L)-PAc.69. yaH puna Bikzu mAtR-grAmeNa sArDam saha-gAra-SayyAm
   kalpeya pācattikaṃ /	kalpeya pAcattikam /
   PrMoSū(Mā-L)Pāc.70. yo puna bhikṣu mātṛgrāmeṇa sārdhaṃ eko ekāya raho	PrMoSU(MA-L)-PAc.70. yaH puna Bikzu mAtR-grAmeNa sArDam ekaH ekAya rahaH-
   niṣadyāṃ kalpeya pācattikaṃ /	nizadyAm kalpeya pAcattikam /
   // uddānam //	// uddAnam //
   (61) saṃcintya (62) kaukṛtyam (63) apratyuddharitvā (64) apaniheya / (65)	(61) saMcintya (62) kOkRtyam (63) apratyudDaritvA (64) apaniheya / (65)
   bhīṣeya (66) udaka (67) aṅguli (68) saṃvidhāya (69) sahagāra (70)	BIzeya (66) udaka (67) aFguli (68) saMviDAya (69) sahagAraH (70)
   niṣadyāya // saptamo vargaḥ //	nizadyAya // saptamaH vargaH //
   PrMoSū(Mā-L)Pāc.71. yo puna bhikṣur jānan ūnaviṃśativarṣapudgalaṃ	PrMoSU(MA-L)-PAc.71. yaH puna BikzuH jAnan UnaviMSati-varza-pudgalam
   bhikṣubhāvāya upasaṃpādeya, so ca pudgalo anupasaṃpanno, te ca bhikṣū	Bikzu-BAvAya upasaMpAdeya, saH ca pudgalaH anupasaMpanno, te ca BikzU
   gārhyāṃ, imaṃ teṣāṃ bhikṣūṇāṃ garhaṇapācattikaṃ /	gArhyAn imam tezAm BikzUNAm garhaNa-pAcattikam /
   PrMoSū(Mā-L)Pāc.72. yo puna bhikṣur jānan stainyasārthena sārdhaṃ	PrMoSU(MA-L)-PAc.72. yaH puna BikzuH jAnan stEnya-sArTena sArDam
   saṃvidhāya adhvānamārgaṃ pratipadyeya antamaśato grāmāntaraṃ pi pācattikaṃ	saMviDAya aDvAna-mArgam pratipadyeya antam-aSataH grAma-antaram pi pAcattikam
   PrMoSū(Mā-L)Pāc.73. yo puna bhikṣuḥ svahastaṃ pṛthivīṃ khaneya vā	PrMoSU(MA-L)-PAc.73. yaH puna BikzuH sva-hastam pRTivIm Kaneya vA
   khanāpeya vā antamaśato iha khanehīti vā vadeya pācattikaṃ /	Kana-apeya vE antam-aSataH iha Kana-ihi-iti vA vadeya pAcattikam /
   PrMoSū(Mā-L)Pāc.74. cāturmāsikā bhikṣuṇā pratyekapravāraṇā sādayitavyā /	PrMoSU(MA-L)-PAc.74. cAturmAsikAH BikzuNA pratyeka-pravAraNA sAdayitavyA /
   taduttariṃ sādiyeya, anyatra punaḥ pravāraṇe, anyatra yāvajjīvikāye	tad-uttarim sAdiyeya, anyatra punar pravAraNe, anyatra yAvat-jIvikAye
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.75. yo puna bhikṣu bhikṣūhi evaṃ vucyamāno Ō imehi te	PrMoSU(MA-L)-PAc.75. yaH puna Bikzu BikzUhi evam vucyamAnaH Ō imehi te
   āyuṣman pañcahi āpattikāyehi anadhyāvācāya śikṣā karaṇīyeti, so bhikṣu tān	Ayuzman paQca-hi Apatti-kAya-ihi anaDyAvAcAya SikzA karaNIya-iti, saH Bikzu tAn
   bhikṣūn evaṃ vadeya Ō na yāvad aham āyuṣmantānāṃ vacanena śikṣiṣyaṃ yāvad	BikzUn evam vadeya Ō na yAvat aham AyuzmantAnAm vacanena Sikzizyam yAvat-
   ahaṃ na drakṣyāmi sthavirān bhikṣūn sūtradharān vinayadharān mātṛkādharān	aham na drakzyAmi sTavirAn BikzUn sUtraDarAn vinaya-DarAn mAtRkA-DarAn
   madhyamān bhikṣūn sūtradharān vinayadharān mātṛkādharān, navakān bhikṣūn	maDyamAn BikzUn sUtraDarAn vinaya-DarAn mAtRkA-DarAn, navakAn BikzUn
   sūtradharān vinayadharān mātṛkādharān / tāṃs tāvad aham upasaṃkramya	sUtra-DarAn vinaya-DarAn mAtRkA-DarAn / tAn tAvat aham upasaMkramya
   paripṛcchiṣyaṃ paripraśnīkariṣyaṃ ti, pācattikaṃ / śikṣākāmena bhikṣuṇā	paripRcCizyam paripraSnIkarizyam ti, pAcattikam / SikzA-kAmena BikzuNA
   ājñātavyam upalakṣayitavyaṃ upadhārayitavyaṃ //	AjQAtavyam upalakzayitavyam upaDArayitavyam //
   PrMoSū(Mā-L)Pāc.76. surāmaireyamadya[pānaṃ] pācattikaṃ /	PrMoSU(MA-L)-PAc.76. surA-mEreya-madya[-pAnaM] pAcattikam /
   PrMoSū(Mā-L)Pāc.77. bhikṣunādarye pācattikaṃ /	PrMoSU(MA-L)-PAc.77. Bikzu-nA-Adarye pAcattikam /
   PrMoSū(Mā-L)Pāc.78. yo puna bhikṣu bhikṣūhi kalahajātehi bhaṇḍanajātehi	PrMoSU(MA-L)-PAc.78. yaH puna Bikzu BikzUhi kalaha-jAtA-ihi BaNxana-jAtA-ihi
   vigrahavivādāpannehi viharantehi upaśrotrasthāne tiṣṭheya Ō yaṃ ete	vigraha-vivAda-Apannehi viharanta-ihi upaSrotra-sTAne tizWeya Ō yam ete
   vadiṣyanti taṃ paścād upasaṃhariṣyāmīti / etad eva pratyayaṃ kṛtvā,	vadizyanti tam paScAt upasaMharizyAmi-iti / etat eva pratyayam kRtvA,
   ananyam, imaṃ tasya bhikṣusya upaśrotrasthāne pācattikaṃ /	ananyam, imam tasya Bikzusya upaSrotra-sTAne pAcattikam /
   PrMoSū(Mā-L)Pāc.79. yo puna bhikṣuḥ saṃghe viniścayakathāhi vartamānāhi	PrMoSU(MA-L)-PAc.79. yaH puna BikzuH saMGe viniScaya-kaTA-hi vartamAnAhi
   utthāyāsanāt prakrameya santaṃ bhikṣum anāmantrayitvā, anyatra tathārūpe	utTAya-AsanAt prakrameya santam Bikzum anAmantrayitvA, anyatra taTArUpe
   atyāyike karaṇīye pācattikaṃ /	atyAyike karaNIye pAcattikam /
   PrMoSū(Mā-L)Pāc.80. yo puna bhikṣu āraṇyake śayyāsane viharanto vikāle	PrMoSU(MA-L)-PAc.80. yaH puna Bikzu AraNyake SayyA-Asane viharantaH vikAle
   grāmaṃ praviśeya santaṃ bhikṣum anāmantrayitvā, anyatra tathārūpe atyāyike	grAmam praviSeya santam Bikzum anAmantrayitvA, anyatra taTArUpe atyAyike
   karaṇīye pācattikaṃ /	karaNIye pAcattikam /
   // uddānaṃ //	// uddAnam //
   (71) ūnaviṃśati (72) stainyasārtho (73) pṛthivī (74) pravāraṇā (75) na	(71) UnaviMSati (72) stEnya-sArTaH (73) pRTivI (74) pravAraNA (75) na
   śikṣiṣyaṃ (76) madyapānam (77) anādaryam (78) upaśrotra (79) viniścaya	Sikzizyam (76) madya-pAnam (77) anAdaryam (78) upaSrotra (79) viniScaya
   (80) āraṇyakena // aṣṭamo vargaḥ //	(80) AraNyakena // azwamaH vargaH //
   PrMoSū(Mā-L)Pāc.81. yo puna bhikṣu sabhakto samāno purebhaktaṃ	PrMoSU(MA-L)-PAc.81. yaH puna Bikzu sa-BaktaH samAnaH pureBaktam
   paścādbhaktaṃ vā kuleṣu cāritram āpadyeya santaṃ bhikṣum anāmantrayitvā,	paScAt-Baktam vA kulezu cAritram Apadyeya santam Bikzum anAmantrayitvA,
   anyatra samaye pācattikaṃ / tatrāyam samayo Ō cīvaradānakālasamayo / ayam	anyatra samaye pAcattikam / tatra-ayam samayaH Ō cIvara-dAna-kAla-samayaH / ayam
   atra samayaḥ /	atra samayaH /
   PrMoSū(Mā-L)Pāc.82. yo puna bhikṣu rājñaḥ kṣatriyasya mūrdhābhiṣiktasya	PrMoSU(MA-L)-PAc.82. yaH puna Bikzu rAjQaH kzatriyasya mUrDABiziktasya
   janapadasthāmavīryaprāptasya antaḥpuraṃ praviśeyāniṣkrānte rājāne,	janapada-sTAma-vIrya-prAptasya antaHpuram praviSeya-anizkrAnte rAjAne,
   aniṣkrānte antaḥpure, anirgatehi ratanehi antamaśato indrakīlaṃ pi	anizkrAnte antaHpure, anirgatehi ratanehi antam-aSataH indrakIlam pi
   atikrameya pācattikaṃ /	atikrameya pAcattikam /
   PrMoSū(Mā-L)Pāc.83. yo puna bhikṣu dantamayaṃ vā asthimayaṃ vā śṛṅgamayaṃ	PrMoSU(MA-L)-PAc.83. yaH puna Bikzu dantamayam vA asTi-mayam vA SRFga-mayam
   vā suvarṇamayaṃ vā rūpyamayaṃ vā ratanamayaṃ vā sūcīvigrahaṃ kārāpeya	vA suvarNa-mayam vA rUpya-mayam vA ratana-mayam vA sUcI-vigraham kArApeya
   bhedanapācattikaṃ /	Bedana-pAcattikam /
   PrMoSū(Mā-L)Pāc.84. mañcaṃ vā pīṭhaṃ vā bhikṣuṇā kārāpayamāṇena	PrMoSU(MA-L)-PAc.84. maQcam vA pIWam vA BikzuNA kArApayamANena
   sugatāṣṭāṅgulapramāṇāḥ pādakāḥ kārāpayitavyāḥ anyatrāṭṭanīye, taduttariṃ	sugata-azwa-aFgula-pramANAH pAdakAH kArApayitavyAH anyatra-awwanIye, tad-uttariM
   kārāpeya cchedanapācattikaṃ /	kArApeya cCedana-pAcattikam /
   PrMoSū(Mā-L)Pāc.85. yo puna bhikṣuḥ tūlasaṃstṛte mañce vā pīṭhe vā	PrMoSU(MA-L)-PAc.85. yaH puna BikzuH tUla-saMstRte maQce vA pIWe vA
   abhiniṣīdeya vā abhi[ni]padyeya vā uddālanapācattikaṃ /	aBinizIdeya vA aBi[ni]padyeya vA uddAlana-pAcattikam /
   PrMoSū(Mā-L)Pāc.86. niṣīdanaṃ bhikṣuṇā kārāpayamāṇena prāmāṇikaṃ	PrMoSU(MA-L)-PAc.86. nizIdanam BikzuNA kArApayamANena prAmANikam
   kārāpayitavyaṃ / tatredaṃ pramāṇaṃ Ō dīrghaśo dve vitastīyo	kArApayitavyam / tatra-idam pramANam Ō dIrGaSas dve vitastIyo
   sugatavitastinā tiryag dvyardham anyatra daśavitastikaṃ / taduttariṃ	sugata-vitastinA tiryak dvi-arDam anyatra daSa-vitastikam / tad-uttariM
   kārāpeya cchedanapācattikaṃ /	kArApeya cCedana-pAcattikam /
   PrMoSū(Mā-L)Pāc.87. kaṇḍūpraticchādanaṃ bhikṣuṇā kārāpayamāṇena prāmāṇikaṃ	PrMoSU(MA-L)-PAc.87. kaNxU-praticCAdanam BikzuNA kArApayamANena prAmANikam
   kārāpayitavyaṃ / tatredaṃ pramāṇaṃ Ō dīrghaśo catvāri vitastīyo	kArApayitavyam / tatra-idam pramANam Ō dIrGaSas catvAri vitastIyo
   sugatavitastinā, tiryag dve / taduttariṃ kārāpeya cchedanapācattikaṃ /	sugata-vitastinA, tiryak dve / tad-uttarim kArApeya cCedana-pAcattikam /
   PrMoSū(Mā-L)Pāc.88. varṣāśāṭikā bhikṣuṇā kārāpayamāṇena prāmāṇikā	PrMoSU(MA-L)-PAc.88. varzA-SAwikA BikzuNA kArApayamANena prAmANikA
   kārāpayitavyā / tatredaṃ pramāṇaṃ Ō dīrghaśo ṣaḍvitastīyo sugatavitastinā,	kArApayitavyA / tatra-idam pramANam Ō dIrGaSas zaz-vitastIyaH sugata-vitastinA,
   tiryag aḍḍhatīyaṃ / taduttariṃ kārāpeya cchedanapācattikaṃ /	tiryak axXatI-iyam / tad-uttarim kArApeya cCedana-pAcattikam /
   PrMoSū(Mā-L)Pāc.89. yo puna bhikṣuḥ sugatacīvarapramāṇaṃ cīvaraṃ kārāpeya	PrMoSU(MA-L)-PAc.89. yaH puna BikzuH sugata-cIvara-pramANam cIvaram kArApeya
   Ō kiñca tasya bhagavato tathāgatasyārhataḥ samyaksaṃbuddhasya sugatasya	Ō kiQca tasya BagavataH taTAgatasya-arhataH samyaksaMbudDasya sugatasya
   sugatacīvarapramāṇaṃ? dirghaśo nava vitastīyo sugatavitastinā, tiryak ṣaṭ	sugata-cIvara-pramANan? dirGaSas nava vitastIyaH sugata-vitastinA, tiryak zax-
   / idaṃ tasya bhagavato tathāgatasyārhataḥ samyaksaṃbuddhasya sugatasya	/ idam tasya BagavataH taTAgatasya-arhataH samyaksaMbudDasya sugatasya
   sugatacīvarapramāṇaṃ / tato vā punar uttariṃ kārāpeya cchedanapācattikaṃ /	sugata-cIvara-pramANam / tatas vA punar uttarim kArApeya cCedana-pAcattikam /
