   alātaśāntiprakaraṇa	alAta-SAnti-prakaraNa
   cittasyeti yā mokṣākhyānutpattiḥ sā sarvadā sarvāvasthāsu samā	cittasya-iti yA mokza-AKyA-anutpattiH sA sarvadA sarva-avasTAsu samA
   nirviśeṣādvayā ca /	nirviSeza-advayA ca /
   pūrvamapyajātasyaivānutpannasya cittasya sarvasyādvayasyetyarthaḥ /	pUrvam-api-ajAtasya-eva-anutpannasya cittasya sarvasya-advayasya-iti-arTaH /
   yasmātprāgapu vijñānāccittadṛśyaṃ tadadvayaṃ janma ca tasmādajātasya	yasmAt-prAk-apu vijQAnAt-citta-dRSyam tat-advayam janma ca tasmAt-ajAtasya
   sarvasya sarvadā cittasya samādvayaivānutpattirna punaḥ kadācidbhavati	sarvasya sarvadA cittasya samAdvaya-eva-anutpattiH-na punar kadAcid-Bavati
   kadācidvā na bhavati /	kadAcid-vA na Bavati /
   sarvadaikarūpaivetyarthaḥ //77//	sarvadA-eka-rUpA-eva-iti-arTaH //77//
   START MandUpK 4.78	START Mandu-upK 4.78
   yathoktena nyāyena janmanimittasya dvayasyābhāvāt-	yaTA-uktena nyAyena janma-nimittasya dvayasya-aBAvAt--
   buddhvā nimittatāṃ satyāṃ hetuṃ pṛthag anāpnuvan /	budDvA nimitta-tAm satyAm hetum pRTak anApnuvan /
   vītaśokaṃ tathākāmam abhayaṃ padam aśnute // MandUpK_4.78 //	vIta-Sokam taTAkAmam aBayam padam aSnute // Mandu-upK_4.78 //
   MandUpKC_4.78	Mandu-upKC_4.78
   animittatāṃ ca satyāṃ paramārtharūpāṃ buddhvā hetuṃ dharmādikāraṇaṃ	animitta-tAm ca satyAm parama-arTa-rUpAm budDvA hetum Darma-Adi-kAraNam
   devādiyoniprāptaye pṛthaganāpnuvannanupādadānastyaktabāhyaiṣaṇaḥ	deva-Adi-yoni-prAptaye pRTak-anApnuvan=-anupAda-dAnaH-tyakta-bAhya-ezaNaH
   sankāmaśokādivarjitamavidyādirahitamabhayaṃ padamaśnute punarna jāyata	san-kAma-Soka-Adi-varjitam-avidyA-Adi-rahitam-aBayam padam-aSnute punar-na jAyata
   ityarthaḥ //78//	iti-arTaH //78//
   START MandUpK 4.79	START Mandu-upK 4.79
   abhūtābhiniveśād dhi sadṛśe tat pravartate /	aBUta-aBiniveSAt Di sadRSe tat pravartate /
   vastvabhāvaṃ sa budhvaiva niḥsaṅgaṃ vinivartate // MandUpK_4.79 //	vastu-aBAvam sa buDvA-eva niHsaFgam vinivartate // Mandu-upK_4.79 //
   MandUpKC_4.79	Mandu-upKC_4.79
   yasmād bhūtābhiniveśādasati dvaye dvayāstitvaniścayo	yasmAt BUta-aBiniveSAt-asati dvaye dvaya-asti-tva-niScayaH-
   'bhūtābhiniveśastasmādavidyāvyāmoharūpāddhi sadṛśe tadanurūpe taccittaṃ	aBUta-aBiniveSaH-tasmAt-avidyA-vyAmoha-rUpAt-hi sadRSe tad-anurUpe tat-cittam
   pravartate /	pravartate /
   tasya dvayasya vastuno 'bhāvaṃ yadā buddhavāṃstadā tasmānniḥsaṅgo	tasya dvayasya vastunaH aBAvam yadA budDavAn=-tadA tasmAt-niHsaFgaH-
   nirapekṣaṃ sadvinivartate 'bhūtābhiniveśaviṣayāt //79//	nirapekzam sat-vinivartate aBUta-aBiniveSa-vizayAt //79//
   START MandUpK 4.80	START Mandu-upK 4.80
   nivṛttasyāpravṛttasya niścalā hi tathā sthitiḥ /	nivRttasya-apravRttasya niScalA hi taTA sTitiH /
   viṣayaḥ sa hi buddhānāṃ tat sāmyam ajam advayam // MandUpK_4.80 //	vizayaH sa hi budDAnAm tat sAmyam ajam advayam // Mandu-upK_4.80 //
   MandUpKC_4.80	Mandu-upKC_4.80
   nivṛtasya dvaitaviṣayādviṣayāntare cāpravṛttasyābhāvadarśanena cittasya	nivRtasya dvEta-vizayAt-vizaya-antare ca-apravRttasya-aBAva-darSanena cittasya
   niścalā calanavarjitā brahmasvarūpaiva tadā sthitiḥ /	niScalA calana-varjitA brahma-svarUpA-eva tadA sTitiH /
   yaiṣā brahmasvarūpā sthitiścittasyādvayavijñānaikarasaghanalakṣaṇā, sa hi	yA-ezA brahma-svarUpA sTitiH-cittasya-advaya-vijQAna-eka-rasa-Gana-lakzaNA, sa hi
   yasmādviṣayo gocaraḥ paramārthadarśināṃ buddhānāṃ tasmāttatsāmyaṃ paraṃ	yasmAt-vizayaH gocaraH parama-arTa-darSinAm budDAnAm tasmAt-tat-sAmyam param
   nirviśeṣamajamadvayaṃ ca //80//	nirviSezam-ajamadvayam ca //80//
   START MandUpK 4.81	START Mandu-upK 4.81
   punarapi kīdṛśaścāsau buddhānāṃ viṣaya ityāha-	punar-api kIdRSaH-ca-asO budDAnAm vizayaH iti-Aha-
   ajam anidram asvapnaṃ prabhātaṃ bhavati svayam /	ajam anidram asvapnam praBAtam Bavati svayam /
   sakṛdvibhāto hy evaiṣa dharma dhātusvabhāvataḥ // MandUpK_4.81 //	sakRt-viBAtaH hi eva-eza Darma DAtu-svaBAvataH // Mandu-upK_4.81 //
   MandUpKC_4.81	Mandu-upKC_4.81
   svayameva tatprabhātaṃ bhavati, nādityapādyapekṣam; syayañjyotiḥ	svayam-eva tad-praBAtam Bavati, na-Aditya-pAdi-apekzam; syayan-jyotiH
   svabhāvamityarthaḥ /	svaBAvam-iti-arTaH /
   sakṛdvibhātaḥ sadaiva vibhāta ityetadeṣa evaṃlakṣaṇa ātmākhyo dharmo	sakRt-viBAtaH sadA-eva viBAtaH iti-etat-ezaH evaMlakzaNaH Atma-AKyaH DarmaH-
   dhātusvabhāvato vastusvabhāvata ityarthaḥ //81//	DAtu-svaBAvataH vastu-svaBAvataH iti-arTaH //81//
   START MandUpK 4.82	START Mandu-upK 4.82
   evamucyamānamapi paramārthatattvaṃ kasmāllaukikairna gṛhyata ityucyate-	evam-ucyamAnam-api parama-arTa-tattvam kasmAt-lOkikEH-na gRhyate iti-ucyate-
   sukham āvriyate nityaṃ duḥkhaṃ vivriyate sadā /	suKam Avriyate nityam duHKam vivriyate sadA /
   yasya kasya ca dharmasya graheṇa bhagavān asau // MandUpK_4.82 //	yasya kasya ca Darmasya graheNa BagavAn asO // Mandu-upK_4.82 //
   MandUpKC_4.82	Mandu-upKC_4.82
   yasmādyasya kasyaciddvayavastuno dharmasya graheṇa grahaṇāveśena	yasmAt-yasya kasyacid-dvaya-vastunaH Darmasya graheNa grahaNa-AveSena
   mithyābhiniviṣṭatayā sukhamāvriyate 'nāyāsenācchādyata ityarthaḥ /	miTyA-aBinivizwa-tayA suKam-Avriyate anAyAsena-AcCAdyate iti-arTaH /
   dvayopalabdhinimittaṃ hi tatrāvaraṇaṃ na yatnāntaramapekṣyate /	dvaya-upalabDi-nimittam hi tatra-AvaraNam na yatna-antaram-apekzyate /
   duḥkhaṃ ca vivriyate prakaṭīkriyate, paramārthajñānasya durlabhatvāt /	duHKam ca vivriyate prakawIkriyate, parama-arTa-jQAnasya durlaBa-tvAt /
   bhagavānasāvātmadvayo deva ityarthaḥ, ato vedāntairācāryaiśca bahuśa	BagavAn-asO=-Atma-dvayaH devaH iti-arTaH, atas vedAntEH-AcAryEH-ca bahuSa
   ucyamāno 'pi naiva jñātuṃ śakya ityarthaḥ /	ucyamAnaH api na-eva jQAtum SakyaH iti-arTaH /
   "āścaryo vaktā kuśalo 'sya labdhā"(ka.u.1 / 2 / 7) iti śruteḥ //82//	"a-AScaryaH vaktA kuSalaH asya labDa-a"(ka.u.1 / 2 / 7) iti SruteH //82//
   START MandUpK 4.83	START Mandu-upK 4.83
   asti nāstītyādisūkṣmaviṣayā api paṇḍitānāṃ grahā bhagavataḥ paramātmana	asti na-asti-ityAdi-sUkzma-vizayAH api paNxitAnAm grahAH BagavataH paramAtmana
   āvaraṇa eva kimuta mūḍhajanānāṃ buddhilakṣaṇā ityevamarthaṃ	AvaraNaH eva kim-uta mUXa-janAnAm budDi-lakzaNAH iti-evam-arTam
   pradarśayannāha-	pradarSayan=-Aha-
   asti nāsty asti nāstīti nāsti nāstīti vā punaḥ /	asti na-asti asti na-asti-iti na-asti na-asti-iti vA punar /
   calasthirobhayābhāvair āvṛṇotye va bāliśaḥ // MandUpK_4.83 //	cala-sTira-uBaya-aBAvEH AvRNotye va bAliSaH // Mandu-upK_4.83 //
   MandUpKC_4.83	Mandu-upKC_4.83
   astyātmeti vādī kaścitpratipadyate /	asti-AtmA-iti vAdI kaScid-pratipadyate /
   nāstītyaparo vaināśiko 'sti nāstītyaparor'dhavaināśikaḥ sadasadvādī	na-asti-iti-aparaH vEnASikaH asti na-asti-iti-aparoH-aDavEnASikaH sat-asat-vAdI
   digvāsāḥ /	digvAsAH /
   nāsti nāstītyatyantaśūnyavādī /	na-asti na-asti-iti-atyanta-SUnya-vAdI /
   tatrāstibhāvaścalaḥ, ghaṭādyanityavilakṣaṇatvāt /	tatra-astiBAvaH-calaH, Gawa-Adi-anitya-vilakzaNa-tvAt /
   nāstibhāvaḥ sthiraḥ sadāviśeṣatvāt /	na-astiBAvaH sTiraH sadA-aviSeza-tvAt /
   ubhayaṃ calasthiraviṣayatvātsadasadbhāvo 'bhāvo 'tyantābhāvaḥ /	uBayam cala-sTira-vizaya-tvAt-sat-asadBAvaH aBAvaH atyanta-aBAvaH /
   prakāracatuṣṭayasyāpi tairataiścalisthirobhayābhāvaiḥ sadasadādivādī sarvo	prakAra-catuzwayasya-api tEratEH-cali-sTira-uBaya-aBAvEH sat-asat-Adi-vAdI sarvaH-
   'pi bhagavantamāvṛṇotyeva bāliśo 'vivekī /	api Bagavantam-AvRNoti-eva bAliSaH avivekI /
   yadyapi paṇḍito bāliśa eva paramārthatattvānavabodhāckimu svabhāvamūḍho	yadi-api paNxitaH bAliSaH eva parama-arTa-tattva-anavaboDAt-kimu svaBAva-mUXaH-
   jana ityabhiprāyaḥ //83//	janaH iti-aBiprAyaH //83//
   START MandUpK 4.84	START Mandu-upK 4.84
   kīdṛkpunaḥ paramārthatattvaṃ yadavabodhādabāliśaḥ paṇḍito bhavatītyāha-	kIdRS-punaH parama-arTa-tattvam yat-avaboDAt-abAliSaH paNxitaH Bavati-iti-Aha-
   koṭhyaś catasra etās tu grahair yāsāṃ sadā vṛtaḥ /	koWyaH catasraH etAH tu grahEH yAsAm sadA vRtaH /
   bhagavān ābhir aspṛṣṭo yena dṛṣṭaḥ sa sarvadṛk // MandUpK_4.84 //	BagavAn ABiH aspRzwaH yena dRzwaH sa sarva-dRS // Mandu-upK_4.84 //
   MandUpKC_4.84	Mandu-upKC_4.84
   koṭhyaḥ prāvādukaśāstranirṇayāntā etā uktā asti nāstītyādyāścatasro yāsāṃ	koWyaH prAvAduka-SAstra-nirNaya-antAH etAH uktAH asti na-asti-ityAdyAH-catasraH yAsAm
   koṭīnāṃ grahairgrahaṇairūpalabdhiniścayaiḥ sadā sarvadāvṛta	kowInAm grahEH-grahaNa-ErUpa-labDi-niScayEH sadA sarvadA-AvRta
   ācchāditasteṣāmeva prāvādukānāṃ yaḥ sa	AcCAditaH-tezAm-eva prAvAdukAnAm yaH sa
   bhagavānābhirastināstītyādikoṭibhiścatasṛbhirapyaspṛṣṭo	BagavAn-ABiH-astinA-asti-ityAdi-kowiBiH-catasRBiH-api-aspRzwaH-
   'styādivikalpanāvarjita ityetadyena muninā dṛṣṭo jñāto	asti-Adi-vikalpanA-varjitaH iti-etat-yena muninA dRzwaH jQAtaH-
   vedānteṣvaupaniṣadaḥ puruṣaḥ sa sarvadṛksarvajñaḥ paramārthapaṇḍita	vedAntezu-OpanizadaH puruzaH sa sarva-dRS-sarvajQaH parama-arTa-paNxita
   ityarthaḥ //84//	iti-arTaH //84//
   START MandUpK 4.85	START Mandu-upK 4.85
   prāpya sarvajñatāṃ kṛtsnāṃ brāhmaṇyaṃ padam advayam /	prApya sarvajQa-tAm kRtsnAm brAhmaNyam padam advayam /
   anāpannādimadhyāntaṃ kim ataḥ param īhate // MandUpK_4.85 //	anApanna-Adi-maDya-antam kim atas param Ihate // Mandu-upK_4.85 //
   MandUpKC_4.85	Mandu-upKC_4.85
   prāpyaitāṃ yathoktāṃ kṛtsnāṃ samastāṃ sarvajñatāṃ brāhmaṇyaṃ padaṃ"sa	prApya-etAm yaTA-uktAm kRtsnAm samastAm sarvajQa-tAm brAhmaNyam padan"sa
   brāhmaṇaḥ"(bṛ.u.3 / 8 / 10) "eṣa nityo mahimā brāhmaṇasya" (bṛ.u.4 / 4 /	brAhmaNaH"(bR.u.3 / 8 / 10) "eza nityaH mahimA brAhmaNasya" (bR.u.4 / 4 /
   23) iti śruteḥ ; ādimadhyāntā utpattisthitilayā anāpannā aprāptā	23) iti SruteH ; Adi-maDya-antAH utpatti-sTiti-layA anApannA aprAptA
   yasyādvayasya padasya na vidyante tadanāpannādimadhyāntaṃ brāhmaṇyaṃ	yasya-advayasya padasya na vidyante tad-anApanna-Adi-maDya-antam brAhmaNyam
   padam, tadeva prāpya labdhvā kimataḥ paramasmādātmalābhādūrdhvamīhate	padam, tat-eva prApya labDvA kim-atas paramasmAt-Atma-lABAt-UrDvam-Ihate
   ceṣṭate niṣprayojanamityarthaḥ /	cezwate nizprayojanam-iti-arTaH /
   "naiva tasya kṛtenārthaḥ"(gītā 3 / 18) ityādismṛteḥ //85//	"na-eva tasya kRtena-arTaH"(gItAH 3 / 18) ityAdi-smRteH //85//
   START MandUpK 4.86	START Mandu-upK 4.86
   viprāṇāṃ vinayo hy eṣa śamaḥ prākṛta ucyate /	viprANAm vinayaH hi eza SamaH prAkRtaH ucyate /
   damaḥ prakṛtidāntatvād evaṃ vidvāñ śamaṃ vrajet // MandUpK_4.86 //	damaH prakRti-dAnta-tvAt evam vidvAn Samam vrajet // Mandu-upK_4.86 //
   MandUpKC_4.86	Mandu-upKC_4.86
   viprāṇāṃ brāhmaṇānāṃ vinayo vinītatvaṃ svābhāvikaṃ	viprANAm brAhmaNAnAm vinayaH vinIta-tvam svABAvikam
   yadetātmasvarūpeṇāvasthānam /	yadeta-Atma-svarUpeNa-avasTAnam /
   eṣa vinayaḥ śamo 'pyeṣa eva prākṛtaḥ svābhāviko 'kṛtaka ucyate /	eza vinayaH SamaH api-eza eva prAkRtaH svABAvikaH akRtakaH ucyate /
   damo 'pyeṣa eva prakṛtidāntatvātsvabhāvata eva copaśāntarūpatvādbrahmaṇaḥ	damaH api-eza eva prakRti-dAnta-tvAt-svaBAvataH eva ca-upaSAnta-rUpa-tvAt-brahmaNaH
   evaṃ yathoktaṃ svabhāvopaśāntaṃ brahma vidvāñśamamupaśāntiṃ svābhāvikīṃ	evam yaToktam svaBAva-upaSAntam brahma vidvAn-Samam-upaSAntim svABAvikIm
   brahmasvarūpāṃ vrajed brahmasvarūpeṇāvatiṣṭhata ityarthaḥ //86//	brahma-svarUpAm vrajet brahma-svarUpeNa-avatizWate iti-arTaH //86//
   START MandUpK 4.87	START Mandu-upK 4.87
   evamanyonyaviruddhatvātsaṃsārakāraṇāni rāgadveṣadoṣāspadāni prāvādukānāṃ	evam-anyonya-virudDa-tvAt-saMsAra-kAraNAni rAga-dveza-doza-AspadAni prAvAdukAnAm
   darśanāni /	darSanAni /
   ato mithyādarśanāni tānīti tadyuktibhireva darśayitvā	atas miTyA-darSanAni tAni-iti tad-yuktiBiH-eva darSayitvA
   catuṣkoṭivarjitatvādrāhādidoṣānāspadaṃ svabhāvaśāntamadvaitadarśanameva	catuzkowi-varjita-tvAt-rAha-Adi-dozAn-Aspadam svaBAva-SAntam-advEta-darSanam-eva
   samyagdarśamityupasaṃhṛtam /	samyak-darSam-iti-upasaMhRtam /
   athedānīṃ svaprakriyāpradarśanārtha ārambhaḥ-	aTa-idAnIm sva-prakriyA-pradarSana-arTaH AramBaH-
   savastu sopalambhaṃ ca dvayaṃ laukikam iṣyate /	sa-vastu sa-upalamBam ca dvayam lOkikam izyate /
   avastu sopalambhaṃ ca śuddhaṃ laukikam iṣyate // MandUpK_4.87 //	avastu sa-upalamBam ca SudDam lOkikam izyate // Mandu-upK_4.87 //
   MandUpKC_4.87	Mandu-upKC_4.87
   savastu saṃvṛtisatā vastunā saha vartata iti savastu, tathā	sa-vastu saMvRti-satA vastunA saha vartate iti sa-vastu, taTA
   copalabdhirupalambhastena saha vartata iti sopalbhaṃ ca	ca-upalabDiH-upalamBaH-tena saha vartate iti sa-upalBam ca
   śāstrādisarvavyavahārāspadaṃ grāhyagrāhakalakṣaṇaṃ dvayaṃ laukikaṃ	SAstra-Adi-sarva-vyavahAra-Aspadam grAhya-grAhaka-lakzaNam dvayam lOkikam
   lokādanapetaṃ lokikaṃ jāgaritamityetat /	lokAt-anapetam lokikam jAgaritam-iti-etat /
   evaṃ lakṣaṇaṃ jāgaritamiṣyate vedānteṣu /	evam lakzaNam jAgaritam-izyate vedAntezu /
   avastu saṃvṛterapyabhāvāt /	avastu saMvRteH-api-aBAvAt /
   sopalambhaṃ vastuvadupalambhanamupalambho 'satyapi vastuni tena saha	sa-upalamBam vastu-vat-upalamBanam-upalamBaH asati-api vastuni tena saha
   vartata iti sopalambhaṃ ca /	vartate iti sa-upalamBam ca /
   śuddhaṃ kevalaṃ pravibhaktaṃ jāgaritātsthūlāllaukikaṃ	SudDam kevalam praviBaktam jAgaritAt-sTUlAt-lOkikam
   sarvaprāṇisādhāraṇatvādiṣyate svapna ityarthaḥ //87//	sarva-prANi-sADAraNa-tvAt-izyate svapnaH iti-arTaH //87//
   START MandUpK 4.88	START Mandu-upK 4.88
   avastv anupalambhaṃ ca lokottaram iti smṛtam /	avastu anupalamBam ca lokottaram iti smRtam /
   jñānaṃ jñeyaṃ ca vijñeyaṃ sadā buddhaiḥ prakīrtitam // MandUpK_4.88 //	jQAnam jQeyam ca vijQeyam sadA budDEH prakIrtitam // Mandu-upK_4.88 //
   MandUpKC_4.88	Mandu-upKC_4.88
   avastvanupalambhaṃ ca grāhyagrahaṇavarjitamityetat, lokottaram ata eva	avastu-anupalamBam ca grAhya-grahaNa-varjitam-iti-etat, lokottaram atas eva
   lokātītam /	loka-atItam /
   grāhyagrahaṇaviṣayo hi lokastadabhāvātsarvapravṛttibījaṃ	grAhya-grahaNa-vizayaH hi lokaH-tad-aBAvAt-sarva-pravRtti-bIjam
   suṣuptamityetadevaṃ smṛtam /	suzuptam-iti-etat-evam smRtam /
   sopāyaṃ paramārthatattvaṃ laukikaṃ śuddhalaukikaṃ lokottaraṃ ca krameṇa	sa-upAyam parama-arTa-tattvam lOkikam SudDa-lOkikam lokottaram ca krameNa
   yena jñānena jñāyate tajjñānam /	yena jQAnena jQAyate tat-jQAnam /
   jñeyametānyeva trīṇi /	jQeyam-etAni-eva trINi /
   etadvyatirekeṇa jñeyānupapatteḥ sarvaprāvādukakalpitavastuno	etat-vyatirekeNa jQeya-anupapatteH sarva-prAvAduka-kalpita-vastunaH-
   'traivāntarbhāvāt /	atra-eva-antarBAvAt /
   vijñeyaṃ paramārthasatyaṃ turyākhyamadvayamajamātmatattvamityarthaḥ /	vijQeyam parama-arTa-satyam turya-AKyam-advayam-ajam-Atma-tattvam-iti-arTaH /
   sadā sarvadai9tallaukikādivijñeyāntaṃ buddhaiḥ	sadA sarva-dE9tallOkika-Adi-vijQeya-antam budDEH
   paramārthadarśibhirbrahmavidbhiḥ prakīrtitam //88//	parama-arTa-darSiBiH-brahma-vidBiH prakIrtitam //88//
   START MandUpK 4.89	START Mandu-upK 4.89
   jñāne ca trividhe jñeye krameṇa vidite svayam /	jQAne ca triviDe jQeye krameNa vidite svayam /
   sarvajñatā hi sarvatra bhavatīha mahādhiyaḥ // MandUpK_4.89 //	sarvajQa-tA hi sarvatra Bavati-iha mahA-ADiyaH // Mandu-upK_4.89 //
   MandUpKC_4.89	Mandu-upKC_4.89
   jñāne ca laukikādiviṣaye, jñeye ca laukikādau trividhe- pūrvaṃ laukikaṃ	jQAne ca lOkika-Adi-vizaye, jQeye ca lOkika-AdO triviDe pUrvam lOkikam
   sthūlam, tadabhāvena paścācchuddhaṃ laukikam, tathābhāvena	sTUlam, tad-aBAvena paScAt-SudDam lOkikam, taTA-aBAvena
   lokottaramityevaṃ krameṇa sthānatrayābhāvena paramārthasatye turye 'dvaye	lokottaram-iti-evam krameNa sTAna-traya-aBAvena parama-arTa-satye turye advaye
   'je 'bhaye vidite svayamevātmasvarūpameva sarvajñatā sarvaścāsau jñaśca	aje aBaye vidite svayam-eva-Atma-svarUpam-eva sarvajQa-tA sarvaH-ca-asO jQaH-ca
   sarvajñastadbhāvaḥ sarvajñatā, ihāsmiṃlloke bhavati mahādhiyo mahābuddheḥ	sarvajQaH-tad-BAvaH sarvajQa-tA, iha-asmin=-loke Bavati mahA-ADiyaH mahAbudDeH
   sarvalokātiśayavastuviṣayabuddhitvādevaṃvidaḥ sarvatra sarvadā bhavati /	sarva-loka-atiSaya-vastu-vizaya-budDi-tvAt-evaMvidaH sarvatra sarvadA Bavati /
   sakṛdvidite svarūpe vyabhicārābhāvādityarthaḥ /	sakRt-vidite svarUpe vyaBicAra-aBAvAt-iti-arTaH /
   na hi paramārthavido jñānodbhavābhibhavau sto yathānyeṣāṃ prāvādukānām	na hi parama-arTa-vidaH jQAna-udBava-aBiBavO staH yaTA-anyezAm prAvAdukAnAm
   START MandUpK 4.90	START Mandu-upK 4.90
   laukikādīnāṃ krameṇa jñeyatvena nirdeśādastitvāśaṅkā paramārthato mā	lOkika-AdInAm krameNa jQeya-tvena nirdeSAt-astitva-ASaFkA paramArTataH mA
   bhūdityāha-	BUt-iti-Aha-
   heyajñeyāpyapākyāni vijñeyāny agrayāṇataḥ /	heya-jQeyApya-pAkyAni vijQeyAni agrayANataH /
   teṣām anyatra vijñeyād upalambhas triṣu smṛtaḥ // MandUpK_4.90 //	tezAm anyatra vijQeyAt upalamBaH trizu smRtaH // Mandu-upK_4.90 //
   MandUpKC_4.90	Mandu-upKC_4.90
   heyāni ca laukikādīni trīṇi jāgaritasvapnasuṣuptānyātmanyasattvena rajjvāṃ	heyAni ca lOkika-AdIni trINi jAgarita-svapna-suzuptAni-Atmani-asattvena rajjvAm
   sarpavaddhātavyānītyarthaḥ /	sarpa-vat-DAtavyAni-iti-arTaH /
   jñeyamiha catuṣkoṭivarjitaṃ paramārthatattvam /	jQeyam-iha catuzkowi-varjitam parama-arTa-tattvam /
   āpyānyāptavyāni tyaktabāhyaiṣaṇātrayeṇa bhikṣuṇā pāṇḍityabālyamaunākhyāni	ApyAni-AptavyAni tyakta-bAhya-ezaNA-trayeNa BikzuNA pANxitya-bAlyamOna-AKyAni
   sādhanāni /	sADanAni /
   pākyāni rāgadveṣamohādayo doṣāḥ kaṣāyākhyāni paktavyāni /	pAkyAni rAga-dveza-moha-AdayaH dozAH kazAya-AKyAni paktavyAni /
   sarvāṇyetāni heyajñeyāpyapākyāni vijñeyāni bhikṣuṇopāyatvenetyarthaḥ,	sarvANi-etAni heya-jQeyApya-pAkyAni vijQeyAni BikzuNA-upAya-tvena-iti-arTaH,
   agrayāṇātaḥ prathamataḥ /	agrayANAtaH praTamatas /
   teṣāṃ heyādīnāmanyatra vijñeyātparamārthasatyaṃ vijñeyaṃ brahmaikaṃ	tezAm heya-AdInAm-anyatra vijQeyAt-parama-arTa-satyam vijQeyam brahma-ekam
   varjayitvā, upalbhanamupalambho 'vidyākalpanāmātram /	varjayitvA, upalBanam-upalamBaH avidyA-kalpanA-mAtram /
   heyāpyāpakyeṣu triṣvapi smṛto brahmavidbhirna paramārthasatyatā	heya-apyApakyezu trizu-api smRtaH brahma-vidBiH-na parama-arTa-satya-tA
   trayāṇāmityarthaḥ //90//	trayANAm-iti-arTaH //90//
   START MandUpK 4.91	START Mandu-upK 4.91
   paramārthatastu-	paramArTa-taH-tu-
   prakṛtyākāśavaj jñeyāḥ sarve dharmā anādayaḥ /	prakRti-AkASa-vat jQeyAH sarve DarmAH anAdayaH /
   vidyate na hi nānātvaṃ teṣāṃ kvacana kiñcanaḥ // MandUpK_4.91 //	vidyate na hi nAnAtvam tezAm kvacana kiQcanaH // Mandu-upK_4.91 //
   MandUpKC_4.91	Mandu-upKC_4.91
   prakṛtyā svabhāvata ākāśavadākāśatulyāḥ sūkṣmanirañjanasarvagatatvaiḥ	prakRtyA svaBAvataH AkASa-vat-AkASa-tulyAH sUkzma-niraQjana-sarva-gata-tvEH
   sarve dharmā ātmāno jñeyāṃ mumukṣubhiranādayo nityāḥ /	sarve DarmAH AtmAnaH jQeyAm mumukzuBiH-anAdayaH nityAH /
   bahuvacanakṛtabhedāśaṅkāṃ nirākurvannāha- kvacana kiñcana	bahuvacana-kRta-Beda-ASaFkAm nirAkurvan=-Aha kvacana kiQcana
   kindidaṇumātramapi teṣāṃ na vidyate nānātvamiti //91//	kindi-daNu-mAtram-api tezAm na vidyate nAnAtvam-iti //91//
   START MandUpK 4.92	START Mandu-upK 4.92
   jñeyatāpi dharmāṇāṃ saṃvṛtyaiva na paramārthata ityāha-	jQeyatA-api DarmANAm saMvRtya-eva na paramArTataH iti-Aha-
   ādibuddhāḥ prakṛtyaiva sarve dharmāḥ suniścitāḥ /	Adi-budDAH prakRtyA-eva sarve DarmAH su-niScitAH /
   yasyaivaṃ bhavati kṣāntiḥ so 'mṛtatvāya kalpate // MandUpK_4.92 //	yasya-evam Bavati kzAntiH saH amRta-tvAya kalpate // Mandu-upK_4.92 //
   MandUpKC_4.92	Mandu-upKC_4.92
   yasmādādau buddhā ādibuddhāḥ prakṛtyaiva svabhāvata eva yathā	yasmAt-AdO budDAH Adi-budDAH prakRtyA-eva svaBAvataH eva yaTA
   nityaprakāśasvarūpaḥ savitaivaṃ nityabodhasvarūpā ityarthaḥ sarve dharmāḥ	nitya-prakASa-svarUpaH savitA-evam nitya-boDa-svarUpAH iti-arTaH sarve DarmAH
   sarva ātmānaḥ /	sarve AtmAnaH /
   na ca teṣāṃ niścayaḥ kartavyo nityaniścitasvarūpā ityarthaḥ /	na ca tezAm niScayaH kartavyaH nitya-niScita-svarUpAH iti-arTaH /
   na saṃdihyamānasvarūpā evaṃ naivaṃ ceti /	na saMdihyamAna-svarUpAH evam na-evam ca-iti /
   yasya mumukṣorevaṃ yathoktaprakāreṇa sarvadā	yasya mumukzoH-evam yaTA-ukta-prakAreNa sarvadA
   bodhaniścayanirapekṣatātmārthaṃ parārthaṃ vā yathā savitā nityaṃ	boDa-niScaya-nirapekza-ta-Atma-arTam para-arTam vA yaTA savitA nityam
   prakāśāntaranirapekṣaḥ svārthaṃ paramārthaṃ cetyevaṃ bhavati	prakASa-antara-nirapekzaH sva-arTam parama-arTam ca-iti-evam Bavati
   kṣāntirbodhakartavyatānirapekṣatā sarvadā svātmani sa	kzAntiH-boDa-kartavya-tA-nirapekzatA sarvadA sva-Atmani sa
   amṛtatvāyāmṛtabhāvāya kalpate mokṣāya samartho bhavatītyarthaḥ //92//	amRta-tvAya-amRta-BAvAya kalpate mokzAya samarTaH Bavati-iti-arTaH //92//
   START MandUpK 4.93	START Mandu-upK 4.93
   tathā nāpi śāntikartavyatātmanītyāha-	taTA na-api SAntikartavyatA-Atmani-iti-Aha-
   ādiśāntā hy anutpannāḥ prakṛtyaiva sunirvṛtāḥ /	Adi-SAntAH hi anutpannAH prakRtyA-eva su-nirvRtAH /
   sarve dharmāḥ samābhinnā ajaṃ sāmyaṃ viśāradam // MandUpK_4.93 //	sarve DarmAH samABinnAH ajam sAmyam viSAradam // Mandu-upK_4.93 //
   MandUpKC_4.93	Mandu-upKC_4.93
   yasmādādiśāntā nityameva śāntā anutpannā ajāśca prakṛtyaiva sunirvṛtāḥ	yasmAt-Adi-SAntAH nityam-eva SAntAH anutpannAH ajAH-ca prakRtyA-eva su-nirvRtAH
