   sāṃkhyatattvavivecanam	sAMKya-tattva-vivecanam
        yadyasmājjāyate tattvaṃ tacca tatra pralīyate /	yat-yasmAt-jAyate tattvam tat-ca tatra pralIyate /
        līyante pratilomāni jāyante cottarottaram // iti /	lIyante pratilomAni jAyante ca-uttarottaram // iti /
   ete ca sṛṣṭisthitisaṃhārarūpāḥ sthūlā eva pariṇāmāścaturviṃśatitattvānāṃ	ete ca sRzwi-sTiti-saMhAra-rUpAH sTUlAH eva pariNAmAH-caturviMSati-tattvAnAm
   kūṭasthapuruṣavivekāya pradarśitāḥ sūkṣmā apyanye pratikṣaṇapariṇāmā	kUwasTa-puruza-vivekAya pradarSitAH sUkzmA api-anye pratikzaNa-pariNAmA
   eteṣāṃ smaryante |	etezAm smaryante |
        nityadāhyaṅgabhūtāni bhavanti na bhavanti ca /	nitya-dAhi-aFga-BUtAni Bavanti na Bavanti ca /
        kālenālakṣyavegena sūkṣmatvāt tanna gṛhyate // iti /	kAlena-Alakzya-vegena sUkzma-tvAt tat-na gRhyate // iti /
   atastu sarvaṃ jaḍavastu paramārthataḥ sarvadaivāsaducyate |	atas-tu sarvam jaxa-vastu paramArTataH sarva-dA-eva-asat-ucyate |
   tataśca tasmādvirajya ātmaiva paramārthasatyo duḥkhabhīrubhirdraṣṭavyaḥ	tatas-ca tasmAt-virajya AtmA-eva parama-arTa-satyaH duHKa-BIruBiH-drazwavyaH
   taduktam |	tat-uktam |
        avyaktabījaprabhavo buddhiskandhamayo mahān /	avyakta-bIja-praBavaH budDi-skanDa-mayaH mahAn /
        mahāhaṃkāraviṭapa indriyāṅkurakoṭaraḥ //	mahA-ahaMkAra-viwapaH indriya-aFkura-kowaraH //
        mahābhūtapraśākhaśca viśeṣapratiśākhavān /	mahABUta-praSAKaH-ca viSeza-pratiSAKavAn /
        sadāparṇaḥ sadāpuṣpaḥ śubhāśubhaphalodayaḥ //	sadA-aparNaH sadApuzpaH SuBa-aSuBa-Pala-udayaH //
        ājīvaḥ sarvabhūtānāṃ brahmavṛkṣaḥ sanātanaḥ /     	AjIvaH sarva-BUtAnAm brahmavRkzaH sanAtanaH /
        etajjñātvā ca tattvena jñānena paramāsinā //	etat-jQAtvA ca tattvena jQAnena parama-asinA //
        kṛtvā cākṣaratāṃ prāpya jahāti mṛtyujanmanī // iti /	kRtvA ca-akzaratAm prApya jahAti mRtyu-janmanI // iti /
   taduktaṃ -	tat-uktam -
        indriyāṇīndriyārthāśca nopasarpantyataḥ khalu /	indriyANi-indriya-arTAH-ca na-upasarpanti-atas Kalu /
        hīnaśca karaṇairdehī na dehaṃ punararhati //	hInaH-ca karaNEH-dehI na deham punar-arhati //
        tasmātsarvātmakādrāgājjāyante sarvajantavaḥ // iti /	tasmAt-sarva-AtmakAt-rAgAt-jAyante sarva-jantavaH // iti /
   narakādau viśeṣarāgābhāve 'pi sāmānyarāgasattvādrāgasya karmasahakāritvaṃ	naraka-AdO viSeza-rAga-aBAve api sAmAnya-rAga-sattvAt-rAgasya karma-sahakAri-tvam
   viṣākārambhe tadeva saktaḥ saha karmaṇaiti liṅgaṃ mano yatra	vizAka-AramBe tat-eva saktaH saha karmaNA-eti liFgam manaH yatra
   niṣaktamasyeti śrutāvabhimānarāgadveṣādijanyasya	nizaktam-asya-iti SrutO=-aBimAna-rAga-dveza-Adi-janyasya
   viṣyavāsanākhyasaṅgasāmānyasyaiva janmādiviṣākārambhe sahakāritvasiddheḥ |	vizya-vAsana-AKya-saFga-sAmAnyasya-eva janma-Adi-vizAka-AramBe sahakAri-tva-sidDeH |
        yatra yatra mano dehī dhārayet sakalaṃ dhiyā /	yatra yatra manaH dehI DArayet sakalam DiyA /
        snehād dveṣād guṇādvāpi yāti tattatsarūpatām // iti smṛteḥ /	snehAt dvezAt guNAt-vA-api yAti tad-tad-sarUpa-tAm // iti smRteH /
        so 'yaṃ pratinivṛttākṣo gurudarpaṇabodhitaḥ /	saH ayam pratinivRtta-akzaH guru-darpaNa-boDitaH /
        svato 'nyāṃ vikriyāṃ mauḍhyādasthitāmañjasaikṣata //     	svatas anyAm vikriyAm mOXyAt-asTitAm-aQjasA-Ekzata //
        athāsau prakṛtirnāhamiyaṃ hi kaluṣātmikā /	aTa-asO prakRtiH-na-aham-iyam hi kaluza-AtmikA /
        śuddhabuddhasvabhāvo 'hamiti tyajati tāṃ vidan //	SudDa-budDa-svaBAvaH aham-iti tyajati tAm vidan //
        evaṃ dehendriyādibhyaḥ śuddhatvenātmani smṛte /	evam deha-indriya-AdiByaH SudDa-tvena-Atmani smRte /
        nikhilā savikāreyaṃ tyak taprāyā hi carmavat //	niKilA sa-vikArA-iyam tyac taprAyAH hi carma-vat //
   nanvanātmanyātmabuddhirūpā yā 'vidyā tasyāḥ	nanu-anAtmani-Atma-budDi-rUpA yA avidyA tasyAH
   kathamātmaviśeṣyakavivekajñānanāśyatvaṃ prakārādibhedāditi cet na	kaTam-Atma-viSezya-ka-viveka-jQAna-nASya-tvam prakAra-Adi-BedAt-iti ced na
   tādṛśāvidyāyā anātmaviśeṣyakavivekadvāreṇātmaviśeṣyakavivekanāśyatvāditi |	tAdRSA-avidyAyAH anAtma-viSezyaka-viveka-dvAreNa-Atma-viSezya-ka-viveka-nASya-tvAt-iti |
   yacca yogena nirvikalpakamātmajñānaṃ jāyate |	yat-ca yogena nirvikalpakam-Atma-jQAnam jAyate |
   tadvivekajñānadvāraiva mokṣakāraṇaṃ bhavati na tu sākṣāt |	tad-viveka-jQAna-dvArA-eva mokza-kAraNam Bavati na tu sAkzAt |
   avidyānivartakatvābhāvāt ahaṃ gauraḥ karttā sukhī duḥkhītyādijñānameva	avidyA-nivartaka-tva-aBAvAt aham gOraH karttA suKI duHKI-ityAdi-jQAnam-eva
   hyavidyā saṃsārānarthahetutayā śrutismṛtinyāyasiddhā tasyāśca nivarttikā	hi-avidyA saMsAra-anarTa-hetu-tayA Sruti-smRti-nyAya-sidDA tasyAH-ca nivarttikA
   nāhaṃ gaura ityādirūpā vivekakhyātireva bhavati samāne viṣaye	na-aham gOraH ityAdi-rUpAH viveka-KyAtiH-eva Bavati samAne vizaye
   grāhyābhāvatvaprakārakagrāhyābhāvajñānatvenaiva virodhāt anyathā	grAhya-aBAva-tva-prakAraka-grAhyA-aBAva-jQAna-tvena-eva viroDAt anyaTA
   muktinirvikalpakasyāpi idaṃ rajatamiti jñānavirodhitvāpatteḥ |	mukti-nirvikalpakasya-api idam rajatam-iti jQAna-viroDi-tva-ApatteH |
   kiñca yathoktābhāvajñāne grāhyajñānavirodhitvasyāvaśyakatayā	kiQca yaTA-ukta-aBAva-jQAne grAhya-jQAna-viroDi-tvasya-AvaSyaka-tayA
   nirvikalpajñānasya bhramanivartakatvaṃ na pṛthak kalpyate gauravāt ||	nirvikalpa-jQAnasya Brama-nivartaka-tvam na pRTak kalpyate gOravAt ||
   api ca athāta ādeśo neti neti na hyetasmāditi netyanyat	api ca aTa-atas AdeSaH na-iti na-iti na hi-etasmAt-iti na-iti-anyat
   paramastītyādiśrutyā vivekopadeśāpekṣayottama upadeśo nāstītyucyate ||	param-asti-iti-Adi-SrutyAH viveka-upadeSa-apekzayA-uttamaH upadeSaH na-asti-iti-ucyate ||
        kṣetrakṣetrajñayorevamantaraṃ jñānacakṣuṣā /	kzetra-kzetrajQayoH-evam-antaram jQAna-cakzuzA /
        bhūtaprakṛtimokṣaṃ ca ye viduryānti te param //	BUta-prakRti-mokzam ca ye viduH-yAnti te param //
   iti gītāvākyaiśca vivekajñānasyaiva mokṣahetutvamucyate 'to	iti gItA-vAkyEH-ca viveka-jQAnasya-eva mokza-hetu-tvam-ucyate atas-
   vivekajñānameva sākṣādavidyānivṛttyā mokṣahetuḥ |	viveka-jQAnam-eva sAkzAt-avidyA-nivRttyA mokza-hetuH |
   yogena kevalatmasākṣātkārastu	yogena kevalatma-sAkzAtkAraH-tu
   yogyānupalabdhividhayopādhyādigatadharmābhāvamupādhyādibhedaṃ ca grāhayati	yogyA-anupalabDi-viDayA-upADi-Adi-gata-Darma-aBAvam-upADi-Adi-Bedam ca grAhayati
   tato 'vidyānivṛttiriti |	tatas avidyA-nivRttiH-iti |
   etena sarvabhūteṣu samatājñānam ātmanaḥ sarvātmakatvādijñānaṃ ca	etena sarva-BUtezu samatA-jQAnam AtmanaH sarva-Atmaka-tva-Adi-jQAnam ca
   śrutismṛtyorgīyamānaṃ vivekajñānasyaiva śeṣabhūtaṃ sarvadarśaneṣu	Sruti-smRtyoH-gIyamAnam viveka-jQAnasya-eva Seza-BUtam sarva-darSanezu
   mantavyam |	mantavyam |
   jñānāntarāṇāṃ sākṣādabhimānānivartakatvāt brahmamīmāṃsāyāṃ tvayaṃ viśeṣo	jQAna-antarANAm sAkzAt-aBimAnA-nivartaka-tvAt brahmamImAMsAyAm tu-ayam viSezaH-
   yatparamātmavivekaśeṣatvam |	yat-paramAtma-viveka-Seza-tvam |
   sāṃkhyaśāstre tu sāmānyātmavivekaśeṣatvamiti dik ||	sAMKya-SAstre tu sAmAnya-Atma-viveka-Seza-tvam-iti diS ||
        vivekakhyātestvavidyānāśakatvameva na tu śuktirajatavivekadarśina iva	viveka-KyAteH-tu-avidyA-nASaka-tvam-eva na tu Sukti-rajata-viveka-darSinaH iva
   punarbhramadarśanāt pratibandhakatvaṃ dṛṣṭānte paṭalakāmādidoṣabāhulyāt	punar-Brama-darSanAt pratibanDaka-tvam dRzwAnte pawala-kAma-Adi-doza-bAhulyAt-
   punarujjīvanaṃ bhramasya |	punar-ujjIvanam Bramasya |
   atra ca anātmanyātmābhimāne 'nādivāsanaiva doṣaḥ sarvāstikasaṃmataḥ	atra ca anAtmani-Atma-aBimAne anAdi-vAsanA-eva dozaH sarva-Astika-saMmataH
   jātamātrasyābhimāne doṣāntarānupalabdheḥ sā mithyājñānavāsanā yadā	jAta-mAtrasya-aBimAne doza-antara-anupalabDeH sA miTyAjQAna-vAsanA yadA
   vivekakhyātiparamparājanyadṛḍhavāsanayonmūlitā tadaiva	viveka-KyAti-paramparAjanya-dRXa-vAsanayA-unmUlitA tadA-eva
   vivekasākṣātkāraniṣṭhocyate tatpūrvamavaśyaṃ vāsanāleśato mithyāṃśasya	viveka-sAkzAtkAra-nizWA-ucyate tat-pUrvam-avaSyam vAsanA-leSataH miTyA-aMSasya
   kasyāpyātmani bhānāt tasyāṃ ca vivekakhyātiniṣṭhāyāṃ jātāyāṃ na	kasya-api-Atmani BAnAt tasyAm ca viveka-KyAti-nizWAyAm jAtAyAm na
   punarabhimānaḥ sambhavati vāsanākhyadoṣābhāvāditi |	punar-aBimAnaH samBavati vAsanA-AKya-doza-aBAvAt-iti |
   yadi tu buddhipuruṣayoranyonyapratibimbanādikamavivekakāraṇaṃ doṣa iṣyate	yadi tu budDi-puruzayoH-anyonya-pratibimbana-Adikam-aviveka-kAraNam dozaH izyate
   tadā tu taṃ doṣaṃ bādhitvaiva vivekasākṣātkāra udita iti na tasya	tadA tu tam dozam bADitvA-eva viveka-sAkzAtkAraH uditaH iti na tasya
   punarbhramahetutvaṃ phalabalena yogajadharmāsahakṛtasyaiva tasya	punar-Brama-hetu-tvam Pala-balena yoga-ja-Darma-asaha-kRtasya-eva tasya
   doṣatvakalpanāsambhavāditi |	doza-tva-kalpanA-samBa-vAt-iti |
   yadyapi vivekapratiyogipadārthānāmāntyādviśeṣarūpeṇa vivekagraho na	yadi-api viveka-pratiyogi-padArTa-anAm-AntyAt-viSeza-rUpeNa viveka-grahaH na
   sambhavati tathāpi dṛśyatvapariṇāmitvādirūpaiḥ sāmānyavivekagrahasambhavāt	samBavati taTA-api dRSya-tva-pariNAmi-tva-Adi-rUpEH sAmAnya-viveka-graha-samBavAt-
   prakṛtyādipadārthānāṃ viśiṣṭajñānābhāve 'pi sāmānyato	prakRti-Adi-padArTAnAm viSizwa-jQAna-aBAve api sAmAnyatas-
   vivekakhyātermokṣahetutvam |	viveka-KyAteH-mokza-hetu-tvam |
   taduktam |	tat-uktam |
        ghaṭadraṣṭā ghaṭādbhinnaḥ sarvathā na ghaṭo yathā /	Gawa-drazwA GawAt-BinnaH sarvaTA na GawaH yaTA /
        dehadraṣṭā tadā dehī nāhamityādirūpataḥ // iti /	deha-drazwA tadA dehI na-aham-ityAdi-rUpataH // iti /
   ātmā vā are draṣṭavya ityatra tu na ātmano dṛśyatvaṃ vṛttivyāpyatve 'pi	AtmA vE are drazwavyaH iti-atra tu naH AtmanaH dRSya-tvam vRtti-vyApya-tve api
   phalavyāpyatvarūpaṃ yattu bauddhairapi sukhaduḥkhādimattvenāpi	Pala-vyApya-tva-rUpam yat-tu bOdDEH-api suKa-duHKa-Adimattvena-api
   buddhiranubhūyamānā svaprakāśatayā caitanyavyāpyā na bhavati yathā	budDiH-anuBUyamAnA sva-prakASa-tayA cEtanya-vyApyAH na Bavati yaTA
   vedāntināmahamityanubhūyamāno 'pyātmā caitanyākhyaphalavyāpyo na	vedAntinAm-aham-iti-anuBUyamAnaH api-AtmA cEtanya-AKya-Pala-vyApyaH na
   bhavatītyucyate tanniḥpramāṇatvādupekṣyam |	Bavati-iti-ucyate tat-niHpramANa-tvAt-upekzyam |
   tatpradhānādisarge utpadyate |	tad-praDAna-Adi-sarge utpadyate |
   adharmavaśāt paśvādau dharmavaśāddevādau saṃsarati |	aDarma-vaSAt paSu-AdO Darma-vaSAt-deva-AdO saMsarati |
   atattvajñānādeva dharmādharmoparañjitaṃ pralayakāle pradhāne līyate |	atattva-jQAnAt-eva Darma-aDarma-uparaQjitam pralaya-kAle praDAne lIyate |
   yadyapi pradhānapuruṣau vibhū tathāpi prakṛtireva liṅgavyavasthāṃ karoti |	yadi-api praDAna-puruzO viBU taTA-api prakRtiH-eva liFga-vyavasTAm karoti |
   liṅgaṃ sūkṣmaiḥ paramāṇubhistanmātrairupacitaṃ mānuṣādiṣu vyavatiṣṭhate	liFgam sUkzmEH paramANuBiH-tanmAtrEH-upacitam mAnuza-Adizu vyavatizWate
   naṭavat yathā naṭaḥ svarūpeṇa eko 'pi veṣāntareṇa nānārūpaḥ tathā	nawa-vat yaTA nawaH sva-rUpeNa ekaH api veza-antareNa nAnA-rUpaH taTA
   liṅgamudarāntaḥ praviśya hastī strī pumāniti bhavati pañcaviparyayasaṃjñā	liFgam-udara-antaH praviSya hastI strI pumAn-iti Bavati paQca-viparyaya-saMjQA
   bhavati yathā tamo moho mahāmohastāmiśro 'ndhatāmiśra iti |	Bavati yaTA tamaH mohaH mahAmohaH-tAmiSraH anDatAmiSraH iti |
   dharmeṇa prājāpatyādyūrdhvalokaprāptiḥ |	DarmeNa prAjApatya-Adi-UrDva-loka-prAptiH |
   adharmeṇa paśvādiprāptirajñānena bandhaḥ pañcaviṃśatitattvajñānenāpavargaḥ	aDarmeNa paSu-Adi-prAptiH-ajQAnena banDaH paQcaviMSati-tattva-jQAnena-apavargaH
   tacca tattvajñānaṃ guroḥ sakāśāt śāstraśravaṇenaitādṛśaṃ jāyate |	tat-ca tattva-jQAnam guroH sakASAt SAstra-SravaNena-etAdRSam jAyate |
   tathāhi pradhānādanyaḥ puruṣaḥ anyā buddhiḥ anyo 'haṃkāraḥ anyāni	taTA-hi praDAnAt-anyaH puruzaH anyA budDiH anyaH ahaMkAraH anyAni
   tanmātrāṇi indriyāṇi pañcamahābhūtāni ceti |	tanmAtrANi indriyANi paQca-mahABUtAni ca-iti |
   sarvaṃ kāryaṃ triguṇātmakamapi udriktaguṇāpekṣayā	sarvam kAryam triguNa-Atmakam-api udrikta-guNa-apekzayA
   sāttvikādiśabdavyapadeśabhāk cetanaḥ puruṣaḥ nānāyoniṣu jarāmaraṇakṛtaṃ	sAttvika-Adi-Sabda-vyapadeSa-BAj cetanaH puruzaH nAnA-yonizu jarA-maraNa-kRtam
   duḥkhaṃ cetayate prāpnotītyarthaḥ |	duHKam cetayate prApnoti-iti-arTaH |
   yāvat tattvajñānena liṅgaśarīraṃ na nivarttate tāvat sthūlaṃ śarīraṃ	yAvat tattva-jQAnena liFga-SarIram na nivarttate tAvat sTUlam SarIram
   pratijanma nūtanaṃ jāyate naśyati ca |	pratijanma nUtanam jAyate naSyati ca |
   svaprayojanābhāve 'pi pratyupakāranirapekṣaṃ sumitravat pradhānaṃ	sva-prayojana-aBAve api pratyupakAra-nirapekzam sumitra-vat praDAnam
   mahadādiviṣayabhūtaparyantaṃ kāryaṃ puruṣasya bhogāya mokṣāya cārabhate	mahat-Adi-vizaya-BUta-paryantam kAryam puruzasya BogAya mokzAya ca-AraBate
   prakṛtiḥ puruṣasya bhedena buddhyahaṃkārādi darśayitvā nivarttate |	prakRtiH puruzasya Bedena budDi-ahaMkAra-Adi darSayitvA nivarttate |
   yathā narttakī śṛṅgārādirasairhāsyādibhāvaiśca nibaddhagītādīni raṅgasya	yaTA narttakI SRFgAra-Adi-rasEH-hAsya-Adi-BAvEH-ca nibadDa-gIta-AdIni raFgasya
   darśayitvā nivarttate kṛtārthatvāt tadvat |	darSayitvA nivarttate kRtArTa-tvAt tadvat |
   kiñca prakṛtirguṇavatī aguṇasya puṃsaḥ jagadyonibhāvena	kiQca prakRtiH-guNavatI aguNasya puMsaH jagat-yoni-BAvena
   sukhaduḥkhamohātmakena śabdādiviṣayabhāvena	suKa-duHKa-moha-Atmakena Sabda-Adi-vizaya-BAvena
   vetyevaṃvidhairupakārairanupakāriṇaḥ puruṣasyopakurvatī paścādātmānaṃ	vA-iti-evaMviDEH-upakArEH-anupakAriNaH puruzasya-upakurvatI paScAt-AtmAnam
   prakāśya ahamanyā tvamanya iti nivartate sumitravat ātmanaḥ pratyupakāraṃ	prakASya aham-anyA tvam-anyaH iti nivartate sumitra-vat AtmanaH pratyupakAram
   necchati |	na-icCati |
   sargasya neśvaraḥ kāraṇaṃ na svabhāvo na kālaḥ kālo 'pi yogināṃ kṣaṇarūpa	sargasya na-ISvaraH kAraNam na svaBAvaH na kAlaH kAlaH api yoginAm kzaNa-rUpa
   eva na tu nyāyavaiśeṣikayorivātmavadakhaṇḍo nitya eko lāghavāt sa eva	eva na tu nyAya-vESezikayoH-iva-Atma-vat-aKaNxaH nityaH ekaH lAGavAt saH eva
   tattadupādyavacchinnaḥ san kṣaṇamuhūrtādivatsarāntaṃ vyavahāraṃ karotīti |	tad-tad-upAdi-avacCinnaH san kzaNa-muhUrta-Adi-vatsara-antam vyavahAram karoti-iti |
   na tu kṣaṇanāmā pṛthak padārtho 'stīti ||	na tu kzaNa-nAmA pRTak padArTaH asti-iti ||
   sāṃkhyaistu dikkālāvākāśādibhya iti sūtritaṃ mahākālo vā kṣaṇādirvā pṛthak	sAMKyEH-tu diS-kAlO=-AkASa-AdiByaH iti sUtritam mahAkAlaH vA kzaNAdiH-vA pRTak-
   padārtho nāsti kintvākāśamevopādhibhirviśiṣṭaṃ	padArTaH na-asti kintu-AkASam-eva-upADiBiH-viSizwam
   kṣaṇādimahākālāntavyavahāraṃ kurute iti manyate |	kzaNa-Adi-mahAkAla-anta-vyavahAram kurute iti manyate |
   tadetanmatadvayamapyasamañjasamityāha yogī sthireṇa kenāpyupādhinā	tat-etat-mata-dvayam-api-asamaQjasam-iti-Aha yogI sTireNa kena-api-upADinA
   mahākālākāśābhyāṃ kṣaṇavyavahārasyāsambhavāt |	mahAkAla-AkASAByAm kzaNa-vyavahArasya-asamBavAt |
   tathāhi uttaradeśasaṃyogāvacchinnā paramāṇvādikriyā anyadvā etādṛśaṃ	taTA-hi uttara-deSa-saMyoga-avacCinnA paramANu-Adi-kriyA anyat-vA etAdRSam
   kiñcinmahākālākāśayoḥ kṣaṇarūpatāyāmupādhiḥ parairiṣyate tatra uktaṃ	kiQcid-mahAkAla-AkASayoH kzaNa-rUpa-tAyAm-upADiH parEH-izyate tatra uktam
   saṃyogaviśiṣṭakriyādikaṃ cet viśeṣyaviśeṣaṇatatsambandhamātraṃ tarhi	saMyoga-viSizwa-kriyA-Adikam ced viSezya-viSezaNa-tad-sambanDa-mAtram tarhi
   trayāṇāmaparaiḥ sthiratvābhyupagamāt na taiḥ kṣaṇavyavahāraḥ sambhavati	trayANAm-aparEH sTira-tva-aByupagamAt na tEH kzaNa-vyavahAraH samBavati
   yadi ca tattebhyo 'tiriktamiṣyate na tu tanmahākāla ākāśaṃ vā tenaiva	yadi ca tat-teByaH atiriktam-izyate na tu tat-mahAkAle AkASam vA tena-eva
   kṣaṇavyavahāropapattau tadavacchinnasyānyasya	kzaNa-vyavahAra-upapattO tad-avacCinnasya-anyasya
   kṣaṇavyavahārahetutvakalpanāvaiyarthyāt sa ca viśiṣṭādirāsthiraḥ kṣaṇaḥ	kzaNa-vyavahAra-hetu-tva-kalpanA-vEyarTyAt sa ca viSizwa-AdiH-AsTiraH kzaNaH
   prakṛterevātibhaṅguraḥ pariṇāmaviśeṣa ityato na	prakRteH-eva-ati-BaFguraH pariNAma-viSezaH iti-atas na
   prakṛtipuruṣātiriktatvāpattiḥ |	prakRti-puruza-atirikta-tva-ApattiH |
   tasyaiva kṣaṇasya pracayaviśeṣairmuhūrtāhorātrādirdviparārddhāntavyavahāro	tasya-eva kzaNasya pracaya-viSezEH-muhUrta-ahorAtra-AdiH-dvi-parArdDa-anta-vyavahAraH-
   bhavati natvakhaṇḍo mahākālo 'sti pramāṇābhāvāt adyatyādivyavahāraḥ	Bavati na-tu-aKaNxaH mahAkAlaH asti pramANa-aBAvAt adyati-Adi-vyavahAraH
   kṣaṇapracayenaiva kālanityatvaśrutismṛtayastu pravāhanityatāparā iti	kzaNa-pracayena-eva kAla-nitya-tva-Sruti-smRtayaH-tu pravAha-nityatA-parAH iti
   tasmādāvaśyakatvāt kṣaṇātmaka eva kālo nākhaṇḍo mahākālo 'sti nāpyākāśaṃ	tasmAt-AvaSyaka-tvAt kzaNa-AtmakaH eva kAlaH na-aKaNxaH mahAkAlaH asti na-api-AkASam
   kālavyavahāraheturiti kiṃ tu pradhānam |	kAla-vyavahAra-hetuH-iti kim tu praDAnam |
   puruṣo na badhyate na mucyate nāpi saṃsaratīti kiṃ tu nānāśrayā	puruzaH na baDyate na mucyate na-api saMsarati-iti kim tu nAnA-ASrayA
   prakṛtireva tatheti sarvaṃ samañjasam ||	prakRtiH-eva taTA-iti sarvam samaQjasam ||
   iti kānyakubjaśrīṣimānandadīkṣitaviracitaṃ sāṃkhyatattvavivecanaṃ samāptam	iti kAnyakubja-SrIzimAnanda-dIkzita-viracitam sAMKya-tattva-vivecanam samAptam
