   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   pratyakṣādīni paramārtha-pramā-karaṇāni na bhavanti | māyā-muṇḍāvaloke	pratyakza-AdIni parama-arTa--pramA-karaNAni na Bavanti | mAyA-muNxa-avaloke
   tasyaivedaṃ muṇḍam ity atra pratyakṣaṃ vyabhicāri | vṛṣṭyā tat-kāla-	tasya-eva-idam muNxam iti atra pratyakzam vyaBicAri | vRzwyA tat-kAla-
   nirvāpita-vahnau ciraṃ dhūma-prodgāriṇi girau vahminān dhūmāt ity	nirvApita--vahnO ciram DUma--prodgAriNi girO vahminAn DUmAt iti-
   anumānaṃ ca vyabhicāri dṛṣṭam | āpta-vākyaṃ ca tathā, ekenāptena muniā	anumAnam ca vyaBicAri dRzwam | Apta-vAkyam ca taTA, ekena-Aptena muniA
   sarthitasyārthasyāpareṇa tādṛśena dūṣitatvāt | ata uktaṃ nāsav ṛṣir yasya	sarTitasya-arTasya-apareNa tAdRSena dUzita-tvAt | atas uktam na-asau RziH yasya
   mataṃ na bhinnam iti |	matam na Binnam iti |
   evaṃ mukhyānām eṣāṃ sadoṣatvāt tad upajīvinām upamānādīnāṃ tathātvaṃ	evam muKyAnAm ezAm sa-doza-tvAt tat upajIvinAm upamAna-AdInAm taTAtvam
   susiddham eva | kiṃc cāpta-vākyaṃ laukikārtha-grahe pramāṇam eva, yathā	su-sidDam eva | kiM ca-Apta-vAkyam lOkika-arTa-grahe pramANam eva, yaTA
   himādrau himam ity ādau | tad-ubhaya-nirapekṣaṃ ca tat daśamas tvam asi	himAdrO himam iti AdO | tad--uBaya--nirapekzam ca tat daSamaH tvam asi
   ity ādau | tad-ubhayāgamye sādhakatamaṃ ca tat | grahāṇāṃ rāśiṣu sañcāre	iti AdO | tad--uBaya-agamye sADakatamam ca tat | grahANAm rASizu saQcAre
   yathā | kiṃ cāpta-vākyenānugṛhītaṃ tad-ubhayaṃ pramāpakam | dṛṣṭa-cara-	yaTA | kim ca-Apta--vAkyena-anugRhItam tat--uBayam pramApakam | dRzwa--cara-
   māyā-muṇḍakena puṃsā satye'py aviśvaste tasyaivedaṃ muṇḍam iti	mAyA-muNxakena puMsA satye-api aviSvaste tasya-eva-idam muNxam iti
   nabhovāṇyānugṛhītaṃ pratyakṣaṃ yathā | are śītārtāḥ panthā māsminn	naBaH-vANyA-anugRhItam pratyakzam yaTA | are SIta-ArtAH panTAH mA-asmin=-
   agniṃ sambhāvayata, vṛṣṭyā nirvāṇo'tra sa dṛṣṭaḥ kintv amuṣmin	agnim samBAvayata, vRzwyA nirvANaH-atra sa dRzwaH kintu amuzmin
   dhūmodgāriṇi girau so'sti ity āptavākyenānugṛhītam anumānaṃ ca yatheti |	DUma-udgAriNi girO saH-asti iti Apta-vAkyena-anugRhItam anumAnam ca yaTA-iti |
   tad evaṃ pratyakṣānumāna-śabdāḥ pramāṇānīty āha manuḥ -	tat evam pratyakza-anumAna--SabdAH pramANAni-iti Aha manuH -
   pratyakṣam anumānaṃ ca śāstraṃ ca vividhāgamam |	pratyakzam anumAnam ca SAstram ca viviDa-Agamam |
   trayaṃ suviditaṃ kāryaṃ dharma-śuddhim abhīpsatā || iti (Manu 12.105) |	trayam su-viditam kAryam Darma-SudDim aBIpsatA || iti (Manu 12.105) |
   evam asmad-vṛddhāś ca | sarva-paramparāsu brahmotpanneṣu deva-	evam asmat--vRdDAH ca | sarva-paramparAsu brahma-utpannezu deva-
   mānavādiṣu sarveṣu vaṃśeṣu | paramparā parīpāṭyāṃ santāne'pi vadhe	mAnava-Adizu sarvezu vaMSezu | paramparA parIpAwyAm santAne-api vaDe
   kvacit iti viśvaḥ | laukika-jñānaṃ karma-vidyā | alaukika-jñānaṃ brahma-	kvacid iti viSvaH | lOkika-jQAnam karma-vidyA | alOkika-jQAnam brahma-
   vidyā | aprākṛteti vācā virūpa nityayā iti mantra-varṇanāt (RV 8.75.6) |	vidyA | aprAkRtA-iti vAcA virUpa nityayA iti mantra-varNanAt (RV 8.75.6) |
   anādi-nidhanā nityā vāg utsṛṣṭā svayambhuvā |	anAdi-niDanA nityA vAc utsRzwA svayamBuvA |
   ādau vedamayī divyā yataḥ sarvāḥ pravṛttayaḥ ||	AdO veda-mayI divyAH yatas sarvAH pravRttayaH ||
   iti smaraṇāc (Mbh 12.231.56-57) ca | sphuṭam anyat ||10||	iti smaraNAt (MB 12.231.56-57) ca | sPuwam anyat ||10||
   tac cānugataṃ tarkāpratiṣṭhānāt (Vs. 2.1.11) ity ādau, acintyāḥ khalu ye	tat ca-anugatam tarka-apratizWAnAt (Vs. 2.1.11) iti AdO, acintyAH Kalu ye
   bhāvā na tāṃs tarkeṇa yojayet [Mbh 6.5.12] ity ādau śāstra-yonitvāt (Vs.	BAvAH na tAn tarkeNa yojayet [MB 6.5.12] iti AdO SAstra-yoni-tvAt (Vs.
   ity ādau | śrutes tu śabda-mūlatvāt (Vs. 2.1.27) ity ādau |	iti AdO | SruteH tu Sabda--mUla-tvAt (Vs. 2.1.27) iti AdO |
   pitṛ-deva-manuṣyāṇāṃ vedaś cakṣus taveśvara |	pitR-deva--manuzyANAm vedaH cakzuH tava-ISvara |
   śreyas tv anupalabdhe'rthe sādha-sādhanayor api || [BhP 11.20.4]	SreyaH tu anupalabDe-arTe sADa-sADanayoH api || [Bhj 11.20.4]
   BD: nanu ko'yam āgraho veda evāsmākaṃ pramāṇam iti cet tatrāha tac	BD: nanu kaH-ayam AgrahaH vedaH eva-asmAkam pramANam iti ced tatra-Aha tat-
   cānumatam iti | śrī-vyāsādyair iti śeṣaḥ | tad-vāyāny āha tarketyādīni	ca-anumatam iti | SrI--vyAsa-AdyEH iti SezaH | tad--vAyAni Aha tarka-ityAdIni
   sādhya-sādhanayor apīty antāni | tarketi brahma-sūtra-khaṇḍaḥ | tasyārthaḥ	sADya--sADanayoH api-iti antAni | tarka-iti brahma-sUtra-KaNxaH | tasya-arTaH
   paramārtha-nirṇayas tarkeṇa na bhavati puruṣa-buddhi-vaividhyena tasya	paramArTa--nirNayaH tarkeNa na Bavati puruza--budDi-vEviDyena tasya
   naṣṭa-pratiṣṭhatvāt | evam āha śrutiḥ naiṣā tarkeṇa matir āpaneyā	nazwa--pratizWa-tvAt | evam Aha SrutiH na-ezA tarkeNa matiH ApaneyA
   proktānyenaiva sujñānāya preṣṭha iti (KaṭhaU 1.2.9) | vyāpyāropeṇa	proktA-anyena-eva su-jQAnAya prezWaH iti (KaWaU 1.2.9) | vyApya-AropeNa
   vyāpakāropas tarkaḥ (Tarka-saṅgraha), yady ayaṃ nirvahniḥ syāt tadā	vyApaka-AropaH tarkaH (Tarka--saFgraha), yadi ayam nirvahniH syAt tadA
   nirdhūmaḥ syāt ity evaṃ rūpaḥ | sa ca vyāpti-śaṅkāṃ nirasyann	nirDUmaH syAt iti evam rUpaH | sa ca vyApti-SaFkAm nirasyan=-
   anumānāṅgaṃ bhaved atas tarkeṇānumānaṃ grāhyam iti | acintyāḥ ity	anumAna-aFgam Bavet atas tarkeNa-anumAnam grAhyam iti | acintyAH iti-
   udyama-parvaṇi dṛṣṭam | śāstreti brahma-sūtram | na ity ākṛṣyam | upāsyo	udyama-parvaNi dRzwam | SAstra-iti brahma-sUtram | naH iti AkRzyam | upAsyaH-
   harir anumānenopaniṣadā vā vedya iti sandehe mantavyaḥ (BṛhadU 4.5.6) iti	hariH anumAnena-upanizadA vA vedyaH iti sandehe mantavyaH (BRha-dU 4.5.6) iti
   śruter anumānena sa vedya iti prāpte nānumānena vedyo hariḥ | kutaḥ ?	SruteH anumAnena sa vedyaH iti prApte na-anumAnena vedyaH hariH | kutas ?
   śāstram upaniṣad yonir vedana-hetur yasya tattvāt | aupaniṣadaṃ puruṣaṃ	SAstram upanizad yoniH vedana--hetuH yasya tattvAt | Opanizadam puruzam
   pṛcchāmi (BṛhadU 3.9.26) ity ādyā hi śrutiḥ | śrutes tu iti brahma-sūtram	pRcCAmi (BRha-dU 3.9.26) iti AdyA hi SrutiH | SruteH tu iti brahma-sUtram
   (2.1.17) | na ity anuvartate | brahmaṇi loka-dṛṣṭāḥ śramādayo doṣā na syuḥ	(2.1.17) | naH iti anuvartate | brahmaNi loka-dRzwAH Srama-AdayaH dozAH na syuH
   kutaḥ | so'kāmayata bahu syāṃ prajāyeya (TaittU 2.6.1) iti	kutas | saH-akAmayata bahu syAm prajAyeya (TEttU 2.6.1) iti
   saṅkalpa-mātreṇa	saFkalpa--mAtreNa
   nikhila-sṛṣṭi-śravaṇāt | nanu śrutir bādhitaṃ kathaṃ brūyād iti cet	niKila--sRzwi--SravaNAt | nanu SrutiH bADitam kaTam brUyAt iti ced-
   tatrāha	tatra-Aha
   śabdeti | avicintyārthasya śabdaika-pramāṇakatvāt | dṛṣṭaṃ caitan maṇi-	Sabda-iti | avicintya-arTasya Sabda-eka--pramANaka-tvAt | dRzwam ca-etat maNi-
   mantrādau | pitṛdeva ity uddhavoktir ekādeśe | he īśvara, tava vedaḥ	mantra-AdO | pitR-devaH iti udDavoktiH ekAdeSe | he ISvara, tava vedaH
   pitrādīnāṃ śreyaḥ śreṣṭhaṃ cakṣuḥ | kvety āha anupalabdhe'rtha ity ādi |	pitR-AdInAm SreyaH SrezWam cakzuH | kva-iti Aha anupalabDe-arTaH iti Adi |
   tathā ca veda evāsmākaṃ pramāṇam iti mad-vākyaṃ sarva-sammatim iti	taTA ca vedaH eva-asmAkam pramANam iti mad-vAkyam sarva--sammatim iti
   nāpūrvaṃ mayoktam ||11||	na-apUrvam mayA-uktam ||11||
   tatra ca veda-śabdasya samprati duṣpāratvād duradhigamārthatvāc ca tad-	tatra ca veda--Sabdasya samprati duzpAra-tvAt duraDi-gama-arTa-tvAt ca tat--
   artha-nirṇāyakānāṃ munīnām api paraspara-virodhād veda-rūpo vedārtha-	arTa--nirNAyakAnAm munInAm api paraspara--viroDAt veda-rUpaH veda-arTa-
   nirṇāyakaś cetihāsa-purāṇātmakaḥ śabda eva vicāraṇīyaḥ | tatra ca yo vā	nirNAyakaH ca-itihAsa-purANa-AtmakaH SabdaH eva vicAraNIyaH | tatra ca yaH vA
   veda-śabdo nātma-viditaḥ so'pi tad-dṛṣṭyānumeya eveti samprati tasyaiva	veda--SabdaH na-Atma--viditaH saH-api tad--dRzwyA-anumeyaH eva-iti samprati tasya-eva
   pramotpādakatvaṃ sthitam | tathā hi mahābhārate mānavīye ca - itihāsa-	pramA-utpAdaka-tvam sTitam | taTA hi mahABArate mAnavIye ca  itihAsa-
   purāṇābhyāṃ vedaṃ samupabṛṃhayet iti [Mbh 1.1.267] | pūraṇāt purāṇam iti	purANAByAm vedam samupabRMhayet iti [MB 1.1.267] | pUraNAt purANam iti
   cānyatra | na cāvedena vedasya bṛṃhaṇaṃ sambhavati | na hy aparipūrṇasya	ca-anyatra | na ca-avedena vedasya bRMhaNam samBavati | na hi aparipUrNasya
   kanaka-valayasya trapuṇā pūraṇaṃ yujyate |	kanaka-valayasya trapuNA pUraNam yujyate |
   nanu yadi veda-śabdaḥ purāṇam itihāsaṃ copādatte | tarhi purāṇam anyad	nanu yadi veda--SabdaH purANam itihAsam ca-upAdatte | tarhi purANam anyat-
   anveṣaṇīyam | yadi tu na, na tarhītihāsa-purāṇayor abhedo vedena | ucyate	anvezaNIyam | yadi tu na, na tarhi-itihAsa--purANayoH aBedaH vedena | ucyate
   viśiṣṭaikārtha-pratipādaka-pada-kadambasyāpauruṣeyatvād abhede'pi	viSizwa-eka-arTa--pratipAdaka-pada--kadambasya-apOruzeya-tvAt aBede-api
   svarakramabhedād bheda-nirdeśo'py upapadyate | ṛg-ādibhiḥ samam anayor	svara-krama-BedAt Beda--nirdeSaH-api upapadyate | Rc--AdiBiH samam anayoH-
   apauruṣeyatvenābhedo mādhyandina-śrutāv eva vyajyate evaṃ vā are'sya	apOruzeya-tvena-aBedaH mADyandina--SrutO eva vyajyate evam vE are-asya
   mahato bhūtasya niśvasitam etad yad ṛg-vedo yajur-vedaḥ sāma-	mahataH BUtasya niSvasitam etat yat Rc--vedaH yajuH--vedaH sAma-
   vedo'tharvāṅgirasa itihāsaḥ purāṇam ity ādinā [BṛhadU 2.4.10] ||12||	vedaH-aTarva-aFgirasaH itihAsaH purANam iti AdinA [BRha-dU 2.4.10] ||12||
   BD: evaṃ ced ṛg-ādi-vedenāstu paramārtha-vicāraḥ | tatrāha tatra ca veda-	BD: evam ced Rc--Adi-vedena-astu parama-arTa--vicAraH | tatra-Aha tatra ca veda-
   śabdasyeti | tarhi nyāyādi-śāstrair vedārtha-nirṇetṛbhiḥ | so'stīti cet	Sabdasya-iti | tarhi nyAya-Adi-SAstrEH veda-arTa--nirNetRBiH | saH-asti-iti ced-
   tatrāha	tatra-Aha
   tad-artha-nirṇāyakānām iti | tasyaiveti itihāsa-purāṇātmakasya	tad--arTa--nirNAyakAnAm iti | tasya-eva-iti itihAsa-purANa-Atmakasya
   veda-rūpasyety	veda--rUpasya-iti-
   arthaḥ | samupabṛṃhayed iti vedārthaṃ spaṣṭīkuryād ity arthaḥ | purāṇād	arTaH | samupabRMhayet iti veda-arTam spazwIkuryAt iti arTaH | purANAt-
   iti	iti
   vedārthasyeti bodhyam | trapuṇā sīsakena | purāṇetihāsayor veda-rūpatāyāṃ	veda-arTasya-iti boDyam | trapuNA sIsakena | purANa-itihAsayoH veda--rUpa-tAyAm
   kaścic chaṅkate nanv ity ādinā | tatra samādhatte ucyata ity ādinā |	kaScid SaFkate nanu iti AdinA | tatra samADatte ucyate iti AdinA |
   nikhila-	niKila-
   śakti-viśiṣṭa-bhagavad-rūpaikārtha-pratipādakaṃ yat padaka-damba-mṛgādi-	Sakti-viSizwa-Bagavat--rUpa-eka-arTa--pratipAdakam yat padaka-damba--mRga-Adi-
   purāṇāntaṃ tasyeti | ṛgādi-bhāge svara-kramo'sti itihāsa-purāṇa-bhāge tu	purANa-antam tasya-iti | Rc-Adi-BAge svara-kramaH-asti itihAsa-purANa--BAge tu
   sa	sa
   nāstīty etad-aṃśena bhedaḥ | evaṃ vā iti maitreyīṃ patnīṃ prati	na-asti-iti etat--aMSena BedaH | evam vA iti mEtreyIm patnIm prati
   yājñavalkya-	yAjQavalkya-
   vacanam | are maitreyi asyeśvarasya mahato vibhoḥ pūjyasya vā bhūtasya	vacanam | are mEtreyi asya-ISvarasya mahataH viBoH pUjyasya vA BUtasya
   pūrva-siddhasya | sphuṭārtham anyat ||12||	pUrva--sidDasya | sPuwa-arTam anyat ||12||
   ataeva skānda-prabhāsa-khaṇḍe -	ataeva skAnda--praBAsa-KaNxe -
   purā tapaś cacārogram amarāṇāṃ pitāmahaḥ |	purA tapaH cacAra-ugram amarANAm pitAmahaH |
   āvirbhūtās tato vedāḥ saṣaḍ-aṅga-pada-kramāḥ ||	AvirBUtAH tatas vedAH sa-zaz--aFga-pada-kramAH ||
   tataḥ purāṇam akhilaṃ sarva-śāstra-mayaṃ dhruvam |	tatas purANam aKilam sarva-SAstra-mayam Druvam |
   nitya-śabda-mayaṃ puṇyaṃ śata-koṭi-pravistaram ||	nitya--Sabda-mayam puNyam Sata--kowi--pravistaram ||
   nirgataṃ brahmaṇo vaktrāt tasya bhedān nibodhata |	nirgatam brahmaNaH vaktrAt tasya BedAt niboData |
   brāhmyaṃ purāṇaṃ prathamam ity ādi | [SkandaP 2.3-5]	brAhmyam purANam praTamam iti Adi | [SkandaP 2.3-5]
   atra śata-koṭi-saṅkhyā brahma-loke prasiddheti tathoktam | tṛtīya-skandhe	atra Sata--kowi--saFKyA brahma-loke prasidDA-iti taTA-uktam | tRtIya--skanDe
   ca ṛg-yajuḥ-sāmātharvākhyān vedān pūrvādibhir mukhaiḥ [BhP 3.12.37] ity	ca Rc--yajuH--sAma-aTarva-AKyAn vedAn pUrva-AdiBiH muKEH [Bhj 3.12.37] iti-
   ādi-prakaraṇe,	Adi--prakaraNe,
   itihāsa-purāṇāni pañcamaṃ vedam īśvaraḥ |	itihAsa-purANAni paQcamam vedam ISvaraH |
   sarvebhya eva vaktrebhyaḥ sasṛje sarva-darśanaḥ || iti | [BhP 3.12.39]	sarveByaH eva vaktreByaH sasRje sarva--darSanaH || iti | [Bhj 3.12.39]
   api cātra sākṣād eva veda-śabdaḥ prayuktaḥ purāṇetihāsayoḥ | anyatra ca --	api ca-atra sAkzAt eva veda--SabdaH prayuktaH purANa-itihAsayoH | anyatra ca --
   purāṇaṃ pañcamo vedaḥ | itihāsaḥ purāṇaṃ ca pañcamo veda ucyate [BhP	purANam paQcamaH vedaH | itihAsaH purANam ca paQcamaH vedaH ucyate [BhP
   1.4.20] | vedān adhyāpayāmāsa mahābhārata-pañcamān [Mbh 12.340.11] ity	1.4.20] | vedAn aDyApayAmAsa mahABArata--paQcamAn [M 12.340.11] iti-
   ādau | anyathā vedān ityādāv api pañcamatvaṃ nāvakalpeta samāna-jātīya-	AdO | anyaTA vedAn iti-AdO api paQcama-tvam na-avakalpeta samAna--jAtIya-
   niveśitatvāt saṅkhyāyāḥ | bhaviṣya-purāṇe kārṣṇaṃ ca pañcamaṃ vedaṃ yan	niveSita-tvAt saFKyAyAH | Bavizya-purANe kArzNam ca paQcamam vedam yat-
   mahābhārataṃ smṛtam iti | tathā ca sāma-kauthumīya-śākhāyāṃ	mahABAratam smRtam iti | taTA ca sAma-kOTumIya-SAKAyAm
   chāndogyopaniṣadi ca -- ṛg-vedaṃ bhagavo'dhyemi yajur-vedaṃ sāma-vedam	CAnda-ugya-upanizadi ca - Rc--vedam BagavaH-aDyemi yajuH--vedam sAma-vedam
   ātharvaṇaṃ caturtham itihāsaṃ purāṇaṃ pañcamaṃ vedānāṃ vedam [ChāU	ATarvaNam caturTam itihAsam purANam paQcamam vedAnAm vedam [ShAU
   7.1.2] ity ādi | ataeva asya mahato bhūtasya [BṛhadU 2.4.10] ity ādāv	7.1.2] iti Adi | ataeva asya mahataH BUtasya [BRha-dU 2.4.10] iti AdO=-
   itihāsa-	itihAsa-
   purāṇayoś caturṇām evāntarbhūtatva-kalpanayā prasiddha-pratyākhyānaṃ	purANayoH caturNAm eva-antarBUta-tva--kalpanayA prasidDa--pratyAKyAnam
   nirastam | tad uktaṃ brāhmyaṃ purāṇaṃ prathamam ity ādi ||13||	nirastam | tat uktam brAhmyam purANam praTamam iti Adi ||13||
   BD: puretyādau vedānāṃ purāṇānāṃ cāvirbhāva uktaḥ | sasṛje	BD: purA-ityAdO vedAnAm purANAnAm ca-AvirBAvaH uktaH | sasRje
   āvirbhāvayāmāsa | samāneti yajña-datta-pañcamān viprān āmantrayasva	AvirBAvayAmAsa | samAnA-iti yajQa-datta--paQcamAn viprAn Amantrayasva
   itivat | kārṣṇam iti kṛṣṇena vyāsenoktam ity arthaḥ | ataeveti pañcama-	iti-vat | kArzNam iti kRzNena vyAsena-uktam iti arTaH | ataeva-iti paQcama-
   vedatva-śravaṇād evety arthaḥ | caturṇām evāntargate | teṣv eva yat	veda-tva--SravaNAt eva-iti arTaH | caturNAm eva-antargate | tezu eva yat-
   purāvṛttaṃ yac ca pañca-lakṣaṇam ākhyānaṃ | te eva tad-bhūte grāhye | na	purAvRttam yat ca paQca--lakzaNam AKyAnam | te eva tad--BUte grAhye | na
   tu	tu
   ye vyāsa-kṛta-tattvena bhuvi khyāte śūdrāṇām api śravye iti karmaṭhair yat	ye vyAsa-kRta--tattvena Buvi KyAte SUdrANAm api Sravye iti karmaWEH yat-
   kalpitaṃ tan-nirastam ity arthaḥ ||13||	kalpitam tan--nirastam iti arTaH ||13||
   pañcamatve kāraṇaṃ ca vāyu-purāṇe sūta-vākyam -	paQcama-tve kAraNam ca vAyu-purANe sUta-vAkyam -
   itihāsa-purāṇānāṃ vaktāraṃ samyag eva hi |	itihAsa-purANAnAm vaktAram samyak eva hi |
   māṃ caiva pratijagrāha bhagavān īśvaraḥ prabhuḥ ||	mAm ca-eva pratijagrAha BagavAn ISvaraH praBuH ||
   eka āsīd yajur vedas taṃ caturdhā vyakalpayat |	ekaH AsIt yajuH vedaH tam caturDA vyakalpayat |
   cāturhotram abhūt tasmiṃs tena yajñam akalpayat ||	cAturhotram aBUt tasmin tena yajQam akalpayat ||
   ādhvaryavaṃ yajurbhis tu ṛgbhir hotraṃ tathaiva ca |	ADvaryavam yajurBiH tu RgBiH hotram taTA-eva ca |
   audgātraṃ sāmabhiś caiva brahmatvaṃ cāy atharvabhiḥ || [VāyuP 60.16-18]	OdgAtram sAmaBiH ca-eva brahma-tvam cAy aTarvaBiH || [VAyuj 60.16-18]
   ākhyānaiś cāpy upākhyānair gāthābhir dvija-sattamāḥ |	AKyAnEH ca-api upAKyAnEH gATABiH dvija--sattamAH |
   purāṇa-saṃhitāś cakre purāṇārtha-viśāradaḥ ||	purANa--saMhitAH cakre purANa-arTa--viSAradaH ||
   yac chiṣṭaṃ tu yajurveda iti śāstrārtha-nirṇayaḥ | [VāyuP 60.21-22]	yat Sizwam tu yajurvedaH iti SAstra-arTa--nirNayaH | [VAyuj 60.21-22]
   iti brahma-yajñādhyayane ca viniyogo dṛśyate'mīṣāṃ yad-brāhmaṇānītihāsa-	iti brahma-yajQa-aDyayane ca viniyogaH dRSyate-amIzAm yat--brAhmaNAni-itihAsa-
   purāṇāni iti | so'pi nāvedatve sambhavati | ato yad āha bhagavān mātsye --	purANAni iti | saH-api na-Aveda-tve samBavati | atas yat Aha BagavAn mAtsye --
   kālenāgrahaṇaṃ matvā purāṇasya dvijottamāḥ |	kAlena-agrahaNam matvA purANasya dvijottamAH |
   vyāsa-rūpam ahaṃ kṛtvā saṃharāmi yuge yuge || iti [MatsyaP 53.8-9]	vyAsa--rUpam aham kRtvA saMharAmi yuge yuge || iti [MatsyaP 53.8-9]
   pūrva-siddham eva purāṇaṃ sukha-saṅgrahaṇāya saṅkalpayāmīti tatrārthaḥ |	pUrva--sidDam eva purANam suKa--saFgrahaNAya saFkalpayAmi-iti tatra-arTaH |
   tad-anantaraṃ hy uktam -	tad--anantaram hi uktam -
   caturlakṣa-pramāṇena dvāpare dvāpare sadā |	catur-lakza--pramANena dvApare dvApare sadA |
   tad-aṣṭādaśadhā kṛtvā kṛtvā bhūr-loke'smin prabhāṣyate |	tad--azwAdaSaDA kRtvA kRtvA BUr-loke-asmin praBAzyate |
   adyāpy amartya-loke tu śata-koṭi-pravistaram |	adya-api amartya-loke tu Sata--kowi--pravistaram |
   tad-artho'tra catur-lakṣaḥ saṅkṣepeṇa niveśitaḥ || [MatsyaP 53.9-11] iti |	tad--arTaH-atra catur--lakzaH saFkzepeNa niveSitaH || [MatsyaP 53.9-11] iti |
   atra tu yac chiṣṭaṃ tu yajur vede ity uktatvāt tasyābhidheya-bhāgaś	atra tu yat Sizwam tu yajuH vede iti ukta-tvAt tasya-aBiDeya--BAgaH-
   caturlakṣas tv atra martya-loke saṅkṣepeṇa sāra-saṅgraheṇa niveśitaḥ | na	catur-lakzaH tu atra martya---loke saFkzepeNa sAra--saFgraheNa niveSitaH | na
   tu	tu
   racanāntareṇa ||14||	racanA-antareNa ||14||
   BD: pañcamatve kāraṇaṃ ceti | ṛg-ādibhiś caturbhiś cāturhotraṃ caturbhir	BD: paQcama-tve kAraNam ca-iti | Rc--AdiBiH caturBiH cAturhotram caturBiH-
   ṛtvibhir nispādyaṃ karma bhavati itihāsādibhyāṃ tan na bhavatīti tad-	RtviBiH nispAdyam karma Bavati itihAsa-AdiByAm tat na Bavati-iti tat--
   bhāgasya pañcamatvam ity arthaḥ | ākhyānaiḥ pañca-lakṣaṇaiḥ purāṇāni |	BAgasya paQcama-tvam iti arTaH | AKyAnEH paQca--lakzaNEH purANAni |
   upākhyānaiḥ purāvṛttaiḥ | gāthābhiś chando-viśeṣaiś ca | saṃhitā bhārata-	upAKyAnEH purA-vRttEH | gATABiH Cando--viSezEH ca | saMhitA BArata-
   rūpāś cakre| tāś ca yac chiṣṭaṃ tu yajur veda tad-rūpā ity arthaḥ |	rUpAH cakre| tAH ca yat Sizwam tu yajuH veda tad--rUpAH iti arTaH |
   brahmeti |	brahma-iti |
   brahma-yajñe vedādhyayane'mīṣām itihāsādīnāṃ viniyogo dṛśyate | so'pi	brahma-yajQe veda-aDyayane-amIzAm itihAsa-AdInAm viniyogaH dRSyate | saH-api
   viniyogas teṣām avedatve na sambhavati | kṛtvā'virbhāvya | saṅkalayāmi	viniyogaH tezAm aveda-tve na samBavati | kRtvA-avirBAvya | saFkalayAmi
   saṅkṣipāmi | abhidheya-bhāgaḥ sārāṃśaḥ ||14||	saFkzipAmi | aBiDeya-BAgaH sAra-aMSaH ||14||
   tathaiva darśitaṃ veda-sahabhāvena śiva-purāṇasya vāyavīya-saṃhitāyām -	taTA-eva darSitam veda--saha-BAvena Siva-purANasya vAyavIya-saMhitAyAm -
   saṅkṣipya caturo vedāṃś caturdhā vyabhajat prabhuḥ |	saFkzipya caturaH vedAn caturDA vyaBajat praBuH |
   vyasta-vedatayā khyāto veda-vyāsa iti smṛtaḥ ||	vyasta--veda-tayA KyAtaH veda--vyAsaH iti smRtaH ||
   purāṇam api saṅkṣiptaṃ caturlakṣa-pramāṇataḥ |	purANam api saFkziptam catur-lakza--pramANataH |
   adyāpy amartya-loke tu śata-koṭi-pravistaram || [ŚivaP 1.33-34]	adya-api amartya-loke tu Sata--kowi--pravistaram || [ŚivaP 1.33-34]
   saṅkṣiptam ity atra teneti śeṣaḥ | skāndam āgneyam ity ādi samākhyās tu	saFkziptam iti atra tena-iti SezaH | skAndam Agneyam iti Adi samAKyAH tu
   pravacana-nibandhanāḥ kāṭhakādivat | ānupūrvīr nirmāṇa-nibandhanā vā |	pravacana--nibanDanAH kAWaka-Adi-vat | AnupUrvIH nirmANa--nibanDanA vA |
   tasmāt kvacid anityatva-śravaṇaṃ tv āvirbhāva-tirobhāvāpekṣayā | tad evam	tasmAt kvacid anitya-tva--SravaNam tu AvirBAva-tiroBAva-apekzayA | tat evam
   itihāsa-purāṇayor vedatvaṃ siddham | tathāpi sūtādīnām adhikāraḥ | sakala-	itihAsa--purANayoH veda-tvam sidDam | taTA-api sUta-AdInAm aDikAraH | sakala-
   nigama-vallī-sat-phala-śrī-kṛṣṇa-nāmavat | yathoktam - prabhāsa-khaṇḍe -	nigama-vallI--sat--Pala--SrI--kRzNa-nAma-vat | yaToktam  praBAsa--KaNxe -
   madhura-madhuram etan maṅgalaṃ maṅgalānāṃ	maDura--maDuram etat maFgalam maFgalAnAm
   sakala-nigama-vallī-sat-phalaṃ cit-svarūpam |	sakala-nigama-vallI--sat--Palam cit--svarUpam |
   sakṛd api parigītaṃ śraddhayā helayā vā	sakRt api parigItam SradDayA helayA vA
   bhṛgu-vara nara-mātraṃ tārayet kṛṣṇa-nāma || iti ||	BRgu-vara nara--mAtram tArayet kRzNa--nAmaH || iti ||
   yathā coktaṃ viṣṇu-dharme -	yaTA ca-uktam vizNu--Darme -
   ṛg-vedo'tha yajur-vedaḥ sāma-vedo'py atharvaṇaḥ |	Rc--vedaH-aTa yajuH--vedaH sAma-vedaH-api aTarvaNaH |
   adhītās tena yenoktaṃ hair ity akṣara-dvayam || iti |	aDItAH tena yena-uktam hEH iti akzara--dvayam || iti |
   atha vedārtha-nirṇāyakatvaṃ ca vaiṣṇave -	aTa veda-arTa-nirNAyaka-tvam ca vEzNave -
