   folios 1-4 are missing	folioH 1-4 are missing
   atha khalu mārakanyā utthāyāsanād ekakaṇṭhena māraṃ pāpīmantam etad ūcuḥ	aTa Kalu mAra-kanyAH utTAya-AsanAt eka-kaNWena mAram pApImantam etat UcuH
   tvaṃ nāma duṣkṛtamate bhagavatsakāśe	tvam nAma duzkRta-mate Bagavat-sakASe
   duṣṭaḥ kathaṃ śṛyam avāpya calām asārām /	duzwaH kaTam SRyam avApya calAm asArAm /
   jātyādiduḥkhasamupadrutasarvamūrtiḥ	jAti-Adi-duHKa-samupadruta-sarva-mUrtiH
   ghorāṃ daśām upagato 'si madāvaliptaḥ // RKP_1.27	GorAm daSAm upagataH asi mada-avaliptaH // RKc-_1.27
   śraddhāṃ jine kuru tathā vyapanīya roṣaṃ	SradDAm jine kuru taTA vyapanIya rozam
   saṃsāradoṣamadapaṃkasamuddhṛtātmā /	saMsAra-doza-mada-paMka-samudDRta-AtmA /
   eṣa svayaṃ viditasarvajagasvabhāva	eza svayam vidita-sarva-jaga-svaBAva
   āgaccha kāruṇikam āśu gatiṃ prayāmaḥ // RKP_1.28	AgacCa kAruNikam ASu gatim prayAmaH // RKc-_1.28
   atha khalu mārasya pāpīmataḥ paramaduṣṭamanasaḥ etad abhūt / yan nv ahaṃ	aTa Kalu mArasya pApIm-atas parama-duzwa-manasaH etat aBUt / yat nu aham
   tādṛśaṃ mārabalaviṣayavegaṃ samanusmareyaṃ yad etāni paṃca	tAdRSam mAra-bala-vizaya-vegam samanusmareyam yat etAni paMca
   paricārikāśatāni paṃcapāśabandhanabaddhām ātmāna saṃpaśyeyur ihaiva	paricArikA-SatAni paMcapASa-banDana-badDAm AtmAnaH saMpaSyeyuH iha-eva
   nivarteran na punar gantuṃ śaknuyuḥ / sa ca māras tāni banddhuṃ na śaktaḥ	nivarteran na punar gantum SaknuyuH / sa ca mAraH tAni bandDum na SaktaH
   / tat kutas tathā hi tāni paṃca paricārikāśatāni tathāgatādhiṣṭhānāni //	/ tat kutas taTA hi tAni paMca paricArikA-SatAni taTAgata-aDizWAnAni //
   atha khalu tāḥ paṃcaśataparicārikā mārasya pāpīmato 'ntikāt pracakramuḥ /	aTa Kalu tAH paMca-Sata-pari-cArikAH mArasya pApIm-atas antikAt pracakramuH /
   (Kurumiya 14) atha māraḥ pāpīmān bhūyasyā mātrayā ruṣṭaḥ / tasyaitad	(Kurum-iya 14) aTa mAraH pApi-imAn BUyasyAH mAtrayA ruzwaH / tasya-etat-
   abhavat / yan nv ahaṃ punar api tādṛśaṃ mārabalaviṣayavegaṃ samanusmareyaṃ	aBavat / yat nu aham punar api tAdRSam mAra-bala-vizaya-vegam samanusmareyam
   yat sarvam idam ākāśavairaṃbhasaṃghātair mahākālameghair mahākālavāyubhiś	yat sarvam idam AkASa-vEraMBa-saMGAtEH mahAkAla-meGEH mahAkAla-vAyuBiH-
   cāvṛtaṃ yathā tā eva paricārikāḥ sarvā digvidikṣu saṃbhrāntāḥ śramaṇaṃ	ca-AvRtam yaTA tAH eva paricArikAH sarvAH diS-vidikzu saMBrAntAH SramaNam
   gautamaṃ na paśyeyuḥ / punar eva me bhavanam āgaccheyuḥ / tathāpi	gOtamam na paSyeyuH / punar eva me Bavanam AgacCeyuH / taTA-api
   buddhādhiṣṭānabalena kiyantam api vāyuṃ na śaknoty utpādayituṃ yo 'ntato	budDa-aDizwAnabalena kiyantam api vAyum na Saknoti utpAdayitum yaH antato
   bālāgram api kaṃpayet prāg eva bahutaram /	bAla-agram api kaMpayet prAk eva bahutaram /
   atha māraḥ pāpīmān bhūyasya mātrayā duṣṭaduḥkhito durmanā vipratisārī	aTa mAraH pApImAn BUyasya mAtrayA duzwa-duHKitaH durmanAH vipratisArI
   rudan mahāsvareṇa svaputragaṇapāriṣadyān vikrośan sarvaṃ mārabhavanaṃ	rudan mahA-svareNa sva-putra-gaNa-pArizadyAn vikroSan sarvam mAra-Bavanam
   śabdena pūrayām āsa /	Sabdena pUrayAm Asa /
   āgacchatha priyasutā gaṇapāriṣadyā	AgacCaTa priya-sutA gaNa-pArizadyA
   bhraṣṭā vayaṃ svaviṣayāt svabalāc ca riddheḥ /	BrazwA vayam sva-vizayAt sva-balAt ca ridDeH /
   jāto 'tra eṣa viṣavṛkṣa ivāntarātmā	jAtaH atra eza viza-vRkzaH iva-antarAtmA
   māyāśaṭho madhuravāg iha śākyaputraḥ // RKP_1.29	mAyA-SaWaH maDura-vAc iha SAkya-putraH // RKc-_1.29
   atha tena śabdena sarvās tā mārakanyāḥ māraduhitarāś ca sarve ca māraputrā	aTa tena Sabdena sarvAH tAH mAra-kanyAH mAra-duhitarAH ca sarve ca mAra-putrA
   (Kurumiya 15) gaṇapārṣadyāś ca tvaritamānarūpāḥ śīghram upagamya mārasya	(Kurum-iya 15) gaNa-pArzadyAH ca tvarita-mAna-rUpAH SIGram upagamya mArasya
   pāpīmataḥ puratas tasthuḥ / tasyāṃ ca pariṣadi jayamatir nāma māraputraḥ /	pApIm-atas puratas tasTuH / tasyAm ca parizadi jayamatiH nAma mAra-putraH /
   sa prāṃjalir bhūtvaivam āha /	sa prAMjaliH BUtvA-evam Aha /
   kiṃ durmanāḥ paramakopaviduṣṭacetā	kim durmanAH parama-kopa-viduzwa-cetA
   no kalpadāha iha na cyutir adya te 'smāt /	no kalpadAhaH iha na cyutiH adya te asmAt /
   śatrur na cāsti tava kaścid iha pravṛddho	SatruH na ca-asti tava kaScid iha pravRdDaH-
   mohaṃ gato 'si kim ivānyamatir va kasmāt // RKP_1.30	moham gataH asi kim iva-anya-matiH va kasmAt // RKc-_1.30
   māraḥ prāha /	mAraH prAha /
   na tvaṃ paśyasi śākyaputraviṣalañ chāyāniṣaṇṇaṃ drume	na tvam paSyasi SAkya-putra-vizalan CAyA-nizaNNam drume
   yad vākyaṃ vadasīha nāsti balavāñ chatrus tavety agrataḥ /	yat vAkyam vadasi-iha na-asti balavAn CatruH tava-iti agratas /
   sarve tena śaṭhena caikabalinā saṃbhrāmitā naikaśo	sarve tena SaWena ca-eka-balinA saMBrAmitA na-ekaSas-
   aṅgāreṇa vayaṃ sutāś ca camavaḥ yadvad vidahyāmahe // RKP_1.31	aFgAreNa vayam sutAH ca camavaH yadvat vidahyAmahe // RKc-_1.31
   vidvāṃso bahuśāstrakāvyaracanāvyagrāḥ samagrā drutam /	vidvAMsaH bahu-SAstra-kAvya-racanA-vyagrAH samagrAH drutam /
   etaṃ śākyasutaṃ gatā dya śaramaṃ dharmāṅkuśenoddhṛtā	etam SAkya-sutam gatA dya Saramam Darma-aFkuSena-udDRtA
   tatv eṣa priyavigrahaḥ śaṭhamatiḥ śatrur mamātyuddhataḥ // RKP_1.32	tatu eza priya-vigrahaH SaWa-matiH SatruH mama-ati-udDataH // RKc-_1.32
   (Kurumiya 16)	(Kurum-iya 16)
   etā vai paricārikāḥ priyatamāḥ protsṛjya māṃ niṣkṛpāḥ	etAH vE paricArikAH priyatamAH protsRjya mAm nizkRpAH
   bho bhos taṃ śramaṇaṃ gatā dya śaraṇaṃ kṛtvāpi māṃ sākṣiṇam /	Bo BoH tam SramaNam gatAH dya SaraNam kRtvA-api mAm sAkziNam /
   kuryāt kṛtsnam idaṃ bhavatrayam ataḥ śūnyaṃ śaṭho māyayā	kuryAt kRtsnam idam Bava-trayam atas SUnyam SaWaH mAyayA
   bhasmīkurma ihādya yady atibalaṃ nāśu prayatnād vayaṃ // RKP_1.33	BasmIkurmaH iha-adya yadi atibalam na-ASu prayatnAt vayam // RKc-_1.33
   atha te sarve māraputrāḥ sagaṇapārṣadyāḥ prāñjalayo bhūtvaivam āhuḥ / evam	aTa te sarve mAra-putrAH sa-gaNa-pArzadyAH prAQjalayaH BUtvA-evam AhuH / evam
   astu yad asmākam ṛddhibalaviṣayānubhāvavikurvitaṃ sarvaṃ darśayiṣyāmaḥ /	astu yat asmAkam RdDi-bala-vizaya-anuBAva-vikurvitam sarvam darSayizyAmaH /
   yadi śakṣyāma etaṃ śākyaputraṃ bhasmīkartum ity evaṃ kuśalam / yady evaṃ	yadi SakzyAmaH etam SAkya-putram BasmIkartum iti evam kuSalam / yadi evam
   na śakṣyāmas taṃ śaraṇaṃ gamiṣyāmaḥ / svayam eva tāta pratyakṣo 'si yad	na SakzyAmaH tam SaraNam gamizyAmaH / svayam eva tAta pratyakzaH asi yat-
   vayaṃ mahāsainyaparivṛtāḥ prāg eva ekākinādvitīyenānena	vayam mahA-sEnya-parivRtAH prAk eva ekAkinA-dvitIyena-anena
   śākyaputreṇarddhibalena parājitāḥ kiṃ punar etarhy anekaparivāraparivṛtena	SAkya-putreNa-RdDi-balena parAjitAH kim punar etarhi aneka-parivAra-parivRtena
   / māraḥ pāpīmān evam āha / gacchata tāvad bhadramukhāḥ / yadi śaknutainaṃ	/ mAraH pApImAn evam Aha / gacCata tAvat Badra-muKAH / yadi SaknutA-enam
   śramaṇaṃ gautamaṃ ghātayituṃ punar āgacchata // atha na śaktās tathāpy	SramaNam gOtamam GAtayitum punar AgacCata // aTa na SaktAH taTA-api-
   āgacchata / svabhavanaṃ punaḥ paripālayiṣyāmaḥ //	AgacCata / sva-Bavanam punar paripAlayizyAmaH //
   atha māraparṣaddvādaśabiṃbarāṇi tato 'tikramya ita ūrdhvaṃ yāvac (Kurumiya	aTa mAra-parzad-dvAdaSa-biMbarANi tatas atikramya itas UrDvam yAvat (Kurum-iya
   17) caturāśītiṃ yojanasahasrāṇi spharitvā tādṛśaṃ mārabalariddhivegaṃ	17) catura-aSItim yojana-sahasrANi sParitvA tAdRSam mAra-bala-ridDi-vegam
   darśayām āsuḥ / sarvacāturdvīpikāyām ākāśaṃ mahākālameghair āpūrayām āsuḥ	darSayAm AsuH / sarva-cAturdvIpikAyAm AkASam mahAkAla-meGEH ApUrayAm AsuH
   / mahākālavāyubhiś colkāpātaiś ca sumeruṃ parvatarājānaṃ pāṇibhiḥ	/ mahAkAla-vAyuBiH ca-ulkA-pAtEH ca sumerum parvata-rAjAnam pANiBiH
   parājaghnuḥ / sarvaṃ cāturdvīpikāṃ prakampayām āsuḥ / paramabhairavāṃś ca	parAjaGnuH / sarvam cAturdvIpikAm prakampayAm AsuH / parama-BEravAn ca
   śabdān samutsasarjuḥ / yato nāgā mahānāgāḥ yato yakṣā mahāyakṣāḥ	SabdAn samutsasarjuH / yatas nAgAH mahA-nAgAH yatas yakzAH mahA-yakzAH
   sarvāvantyā mahāpṛthivyāḥ sagiriśailaparvatāyāḥ sumeroś ca parvatarājñaḥ	sarvOvantyAH mahA-pRTivyAH sa-giriSEla-parvatAyAH sumeroH ca parvata-rAjQaH
   kaṃpaṃ viditvā sarasāṃ mahāsarasāṃ nadīkunadīmahānadīnāṃ mahāsamudrāṇāṃ ca	kaMpam viditvA sarasAm mahA-sarasAm nadI-kunadI-mahA-nadInAm mahA-samudrANAm ca
   saṃkṣobhaṃ jñātvā gaganatale tasthuḥ / sā ca māraparṣat sumerumūrdhani	saMkzoBam jQAtvA gagana-tale tasTuH / sA ca mAra-parzad sumeru-mUrDani
   sthitvā yojanapramāṇāṃ vṛṣṭim abhinirmimīyāṃgamagadheṣu samutsasarja /	sTitvA yojana-pramANAm vRzwim aBinirmimIya-aMga-magaDezu samutsasarja /
   mahāntaṃ	mahAntam
   cāsimusalapāṣāṇatomarabhiṇḍipālanārācakṣuraprakṣuramukhakṣurakalpavāsimukhavāsidhārakarālacakravikarālacakradṛḍhakharaparuṣarūkṣavarṣaṃ	ca-asi-musala-pAzANa-tomara-BiNxipAla-nArAcakzura-prakzura-muKa-kzura-kalpa-vAsi-muKa-vAsi-DAra-karAla-cakra-vikarAla-cakra-dRXa-Kara-paruza-rUkza-varz
   nirmāyotsasarja //	nirmAya-utsasarja //
   atha bhagavāṃś tasmin samaye māramaṇḍalavidhvaṃsanaṃ nāma samādhiṃ	aTa BagavAn tasmin samaye mAramaNxalaviDvaMsanam nAma samADim
   samāpade / yat sarvāṃ śilāpraharaṇavṛṣṭiṃ	samApade / yat sarvAm SilA-praharaNa-vRzwim
   divyotpalapadmakumudapuṇḍarīkamāndāravamahāmāndāravapuṣpavṛṣṭim	divya-utpala-padma-kumuda-puNxarIka-mAnda-Arava-mahA-mAndArava-puzpa-vRzwim
   adhyatiṣṭhat / (Kurumiya 18) tāṃś ca śabdān nānāvādyān adhyatiṣṭhat / yad	aDyatizWat / (Kurum-iya 18) tAn ca SabdAn nAnA-vAdyAn aDyatizWat / yat-
   uta buddhaśabdaṃ dharmaśabdaṃ saṃghaśabdaṃ pāramitāśabdaṃ abhijñāśabdaṃ	uta budDa-Sabdam Darma-Sabdam saMGa-Sabdam pAramitA-Sabdam aBijQA-Sabdam
   avaivartikaśabdaṃ abhiṣekaśabdaṃ caturmāraparājayaśabdaṃ	avEvartika-Sabdam aBizeka-Sabdam catur-mAra-parAjaya-Sabdam
   bodhimaṇḍopasaṃkramaṇaśabdaṃ yāvat sopādānanirupādānaśabdān adhyatiṣṭhat	boDimaNxa-upasaMkramaNa-Sabdam yAvat sa-upAdAna-nirupAdAna-SabdAn aDyatizWat-
   // sarvā rajondhakāravāyavaḥ praśemuḥ / ye kecid iha cāturdvīpike	// sarvAH rajonDakAra-vAyavaH praSemuH / ye kecid iha cAturdvIpike
   tṛṇagulmauṣadhivanaspatikṣitiśailaparvatās tān sarvān saptaratnamayān	tRNa-gulma-ozaDi-vanaspati-kziti-SEla-parvatAH tAn sarvAn sapta-ratna-mayAn
   adhyatiṣṭhat //	aDyatizWat //
   anavalokyamūrdhno bhagavān yāvad brahmalokaṃ kāyena vaśaṃ vartayām āsa /	anavalokya-mUrDnaH BagavAn yAvat brahma-lokam kAyena vaSam vartayAm Asa /
   ekaikasmāc ca lakṣaṇād bhagavatas tādṛśī prabhā niścacāra yayā prabhayā	ekEkasmAt ca lakzaNAt BagavataH tAdRSI praBA niScacAra yayA praBayA
   tṛsāhasramahāsāhasrī lokadhātur udāreṇāvabhāsena sphuṭo 'bhūt / ye cāsyāṃ	tR-sAhasra-mahA-sAhasrI lokaDAtuH udAreNa-avaBAsena sPuwaH aBUt / ye ca-asyAm
   trisāhasramahāsāhasryāṃ lokadhātau	tri-sAhasra-mahA-sAhasryAm lokaDAtO
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragapretapiśācakumbhāṇḍamanuṣyāmanuṣyā	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uraga-preta-piSAca-kumBa-aNxa-manuzya-amanuzyA
   nairayikā vā tairyagyonikā vā yāmalaukikā vā te sarve bhagavaṃtam adrākṣuḥ	nErayikA vA tEryagyonikA vA yAma-lOkikAH vA te sarve BagavaMtam adrAkzuH
   / bahūni ca devanāgayakṣamanuṣyāmanuṣyaśatasahasrāṇi gaganasthāḥ puṣpair	/ bahUni ca deva-nAga-yakza-manuzya-amanuzya-Sata-sahasrANi gagana-sTAH puzpEH-
   avakīrya pradakṣiṇaṃ cakruḥ stuvaṃto namaś cakruḥ / bahūni ca	avakIrya pradakziNam cakruH stuvaMtaH namaH cakruH / bahUni ca
   nairayikatairyagyonikayāmalaukikākṣobhyakoṭīśatasahasrāṇi smṛtiṃ	nErayika-tEryagyonika-yA-Ama-lOkikA-kzoBya-kowI-Sata-sahasrANi smRtim
   pratilebhire / pūrvāvaropitakuśalamūlam anusmṛtya namo buddhāyeti kṛtvā	pratileBire / pUrva-avaropita-kuSala-mUlam anusmRtya namaH budDAya-iti kRtvA
   tebhyo (Kurumiya 19) 'pāyebhyaś cavitvā deveṣūpapannāḥ //	teByaH (Kurum-iya 19) apAyeByaH cavitvA devezu-upapannAH //
   tataś ca mārasainyā dvāviṃśatimāraputraśatasahasrāṇi sagaṇapārṣadyāni	tatas ca mAra-sEnyAH dvAviMSatimAra-putra-Sata-sahasrANi sa-gaNa-pArzadyAni
   bhagavata evaṃrūpaṃ prātihāryaṃ dṛṣṭvā bhagavato 'ntike 'tīva prasādaṃ	BagavataH evaMrUpam prAtihAryam dRzwvA BagavataH antike atIva prasAdam
   pratilabdhvā yena bhagavāṃs tenopajagmuḥ / upetya sārdhaṃ taiḥ paṃcabhir	pratilabDvA yena BagavAn tena-upajagmuH / upetya sArDam tEH paMcaBiH-
   mārakanyāśatair bhagavataḥ pādau śirasābhivandyāṃjalīn pragṛhyābhir	mAra-kanyA-SatEH BagavataH pAdO SirasA-aBivandya-aMjalIn pragRhyABiH-
   gāthābhir adhibhāṣaṃte sma //	gATABiH aDiBAzaMte sma //
   viśuddhamūrte paramābhirūpa jñānodadhe kāṃcanamerutulya /	viSudDa-mUrte parama-aBirUpa jQAna-udaDe kAMcana-meru-tulya /
   vitatya lokaṃ yaśasā vibhāsi tvām eva nāthaṃ śaraṇaṃ vrajāmaḥ // RKP_1.34	vitatya lokam yaSasA viBAsi tvAm eva nATam SaraNam vrajAmaH // RKc-_1.34
   praṇaṣṭamārge vinimīlitākṣe ulkāyase tvaṃ jagatīva sūryaḥ /	praNazwa-mArge vinimIlita-akze ulkAyase tvam jagati-iva sUryaH /
   aparājitaprāṇabhṛd ekabandho tvāṃ sārthavāhaṃ śaraṇaṃ vrajāmaḥ // RKP_1.35	aparAjita-prANaBRt ekabanDo tvAm sArTavAham SaraNam vrajAmaH // RKc-_1.35
   susaṃbhṛtajñānasamṛddhakośa nabhaḥsvabhāvādivimuktacitta /	su-saMBRta-jQAna-samRdDa-koSa naBaH-svaBAva-Adi-vimukta-cittaH /
   karuṇāśaya snigdhamanojñavākya sarvārthasiddhaṃ śaraṇaṃ vrajāmaḥ //	karuNA-ASaya snigDa-manojQavAkya sarva-arTa-sidDam SaraNam vrajAmaH //
   RKP_1.36	RKc-_1.36
   saṃsārakāntāravimokṣaks tvaṃ sāmagrito hetuphalapradarśakaḥ /	saMsAra-kAntAra-vimokzakH tvam sAmagritaH hetu-Pala-pradarSakaH /
   (Kurumiya 20)	(Kurum-iya 20)
   maitrāvihārī paramavidhijña karuṇāvihārīṃś charaṇam vrajāmaḥ // RKP_1.37	mEtrA-vihArI parama-viDi-jQa karuNA-vihArIn CaraNam vrajAmaH // RKc-_1.37
   māyāmarīcidagacandrasannibhe bhave 'prasaktāviṣayāśrayeṇa /	mAyA-marIci-daga-candra-sanniBe Bave aprasaktA-vizaya-ASrayeNa /
   ajñānarugnāśaka lokanātha tvāṃ vaidyarājaṃ śaraṇaṃ vrajāmaḥ // RKP_1.38	ajQAna-rugna-aSaka lokanATa tvAm vEdya-rAjam SaraNam vrajAmaH // RKc-_1.38
   tvaṃ setubhūtaś caturaughamadhyād uttārakaḥ saptadhanāryavṛttaiḥ /	tvam setu-BUtaH caturOGa-maDyAt uttArakaH saptaDana-Arya-vRttEH /
   sanmārgasandarśaka lokabandho kṛpānvitaṃ tvām iha pūjayāmaḥ // RKP_1.39	sat-mArga-sandarSaka loka-banDo kRpA-anvitam tvAm iha pUjayAmaH // RKc-_1.39
   kṣamyāmahe tvāṃ vayam agrabudddhim āsaṃ praduṣṭās tvayi yad vayaṃ tu /	kzamyAmahe tvAm vayam agra-buddDim Asam praduzwAH tvayi yat vayam tu /
   tam atyayaṃ vīra gṛhāṇa nātha tvam ekabandhur jagati pradhānaḥ // RKP_1.40	tam atyayam vIra gRhANa nATa tvam eka-banDuH jagati praDAnaH // RKc-_1.40
   vayaṃ samutsṛjya hi mārapakṣam utpādayāmo varabodhicittam	vayam samutsRjya hi mAra-pakzam utpAdayAmaH vara-boDi-cittam
   nimaṃtrayāmaḥ kila sarvasattvān (Kurumiya 21) bodhiṃ labhemo vayam	nimaMtrayAmaH kila sarva-sattvAn (Kurum-iya 21) boDim laBemaH vayam
   uttamātu // RKP_1.41	uttamAtu // RKc-_1.41
   nidarśayāsmākam udāracaryāṃ yathā vayaṃ pāramitāś carema /	nidarSaya-asmAkam udAra-caryAm yaTA vayam pAramitAH carema /
   ananyavādaiḥ katibhis tu dharmaiḥ samanvitā bodhim avāpnuvaṃti // RKP_1.42	ananya-vAdEH katiBiH tu DarmEH samanvitA boDim avApnuvaMti // RKc-_1.42
   puṣpāṇi yat te 'bhimukhaṃ kṣipāmaś chatrāṇi tāny eva tu sarvadikṣu /	puzpANi yat te aBimuKam kzipAmaH CatrANi tAni eva tu sarva-dikzu /
   tiṣṭhaṃtu mūrdhni dvipadottamānāṃ kṣetreṣu sarvartusukhākareṣu // RKP_1.43	tizWaMtu mUrDni dvipada-uttamAnAm kzetrezu sarva-Rtu-suKa-Akarezu // RKc-_1.43
   atha khalu te sarve māraputrā mārakanyāḥ sagaṇapārṣadyā bhagavantaṃ	aTa Kalu te sarve mAra-putrAH mAra-kanyAH sa-gaNa-pArzadyAH Bagavantam
   muktakusumair abhyavākiran / tāni ca muktakusumāni bhagavata	mukta-kusumEH aByavAkiran / tAni ca mukta-kusumAni Bagavata
   riddhyanubhāvenānekāni koṭīniyutasahasrāṇi gaṃgānadīvālukādhikāni	ridDi-anuBAvena-anekAni kowI-niyuta-sahasrANi gaMgA-nadI-vAlukA-aDikAni
   puṣpacchatrāṇi saṃtiṣṭhaṃte sma / tāni puṣpacchatrāṇi daśasu dikṣu	puzpa=-CatrANi saMtizWaMte sma / tAni puzpa=-CatrANi daSasu dikzu
   sarvabuddhānāṃ tiṣṭhatāṃ yāpayatāṃ mūrdhasandhāv upary antarīkṣe tasthuḥ /	sarva-budDAnAm tizWatAm yApayatAm mUrDa-sanDO upari antarIkze tasTuH /
   svayaṃ ca tā mārakanyāḥ sagaṇapārṣadyāḥ adrākṣuḥ / daśasu dikṣu	svayam ca tAH mAra-kanyAH sa-gaNa-pArzadyAH adrAkzuH / daSasu dikzu
   sarvabuddhakṣetreṣv asaṃkhyeyeṣv (Kurumiya 22) aprameyeṣu buddhānāṃ	sarva-budDa-kzetrezu asaMKyeyezu (Kurum-iya 22) aprameyezu budDAnAm
   bhagavatāṃ tiṣṭhatāṃ yāpayatāṃ dharmaṃ deśayatāṃ pariṣadā parivṛtānāṃ	BagavatAm tizWatAm yApayatAm Darmam deSayatAm parizadA parivRtAnAm
   bhāṣatāṃ tapatāṃ virocatāṃ sanniṣaṇṇānāṃ tāni puṣpacchatrāṇy upary	BAzatAm tapatAm virocatAm sannizaNNAnAm tAni puzpa=-CatrANi upari-
   antarīkṣe mūrdhasandhau saṃsthitāni / te ca buddhā bhagavantaḥ samavarṇāḥ	antarIkze mUrDa-sanDO saMsTitAni / te ca budDAH BagavantaH sama-varNAH
   samaliṃgāḥ samarūpāḥ samadarśanāḥ / kevalaṃ teṣāṃ buddhānāṃ bhagavatāṃ	sama-liMgAH sama-rUpAH sama-darSanAH / kevalam tezAm budDAnAm BagavatAm
   siṃhāsananānātvaṃ pariṣadānānātvaṃ buddhakṣetraguṇavyūhanānātvaṃ dadṛśuḥ /	siMhAsana-nAnA-tvam parizadA-nAnAtvam budDa-kzetra-guNa-vyUha-nAnA-tvam dadRSuH /
   te ca teṣāṃ buddhānāṃ bhagavatāṃ svaramaṇḍalapādavyāhāram aśrauṣuḥ / sā ca	te ca tezAm budDAnAm BagavatAm svara-maNxala-pAda-vyAhAram aSrOzuH / sA ca
   māraparṣad bhagavato 'nubhāvenaivaṃrūpaṃ prātihāryaṃ dṛṣṭvā	mAra-parzad BagavataH anuBAvena-evaMrUpam prAtihAryam dRzwvA
   paramaprītiprasādajātā bhagavataḥ pādau śirobhir vanditvā purato niṣaṇṇā	parama-prIti-prasAda-jAtA BagavataH pAdO SiroBiH vanditvA puratas nizaNNA
   dharmaśravaṇāya //	Darma-SravaNAya //
   atha khalu teṣāṃ māraputrāṇāṃ sagaṇapārṣadyānāṃ daśabiṃbarāṇi	aTa Kalu tezAm mAra-putrANAm sa-gaNa-pArzadyAnAm daSa-biMbarANi
   pratinivartya mārabhavane evaṃ vṛttāntaṃ mārāya pāpīmate vistareṇāvocann	pratinivartya mAra-Bavane evam vRttAntam mArAya pApImate vistareNa-avocat-=-
   iti / ekaromakūpam api vayaṃ tasya śravaṇasya gautamasya na śaktā	iti / eka-romakUpam api vayam tasya SravaNasya gOtamasya na SaktA
   vidhvaṃsayitum iti // bhūyaś ca viṃśatisahasrāṇi tam eva śaraṇaṃ jagmuḥ	viDvaMsayitum iti // BUyas ca viMSati-sahasrANi tam eva SaraNam jagmuH
   tasyaiva cāgrato niṣaṇṇā dharmaśravaṇāya //	tasya-eva ca-agratas nizaNNAH Darma-SravaNAya //
   atha khalu māraḥ pāpīmān bhūyasyā mātrayā caṇḍībhūto duḥkhito durmanā	aTa Kalu mAraH pApImAn BUyasyA mAtrayA caNxIBUtaH duHKitaH durmanA
   vipratisāry evam āha //	vipratisArI evam Aha //
   lakṣmī gatā mama punar na paraiti tāvad yāvat kṛto 'sya na + śākyasutasya	lakzmI gatAH mama punar na parEti tAvat yAvat kRtaH asya na + SAkya-sutasya
   nāśaḥ	nASaH
   (Kurumiya 23)	(Kurum-iya 23)
   tūṣṇīṃ sthitā vayam ananyamanaḥpratarkāḥ śākyātmajaṃ kathaṃ im'; adya tu	tUzNIm sTitAH vayam ananya-manaH-pratarkAH SAkya-Atmajam kaTam im-a; adya tu
   ghātayema // RKP_1.44	GAtayema // RKc-_1.44
   atha māraḥ pāpīmān durmanaska eva śokāgāre niṣaṇṇaḥ //	aTa mAraH pApImAn durmanaskaH eva Soka-AgAre nizaNNaH //
   mahāyānasūtrād ratnaketumārajihmīkaraṇaparivarto nāma prathamaḥ // //	mahAyAna-sUtrAt ratnaketumAra-jihmIkaraNa-parivartaH nAma praTamaH // //
   (Kurumiya 24)	(Kurum-iya 24)
   II.	II.
   atha tā mārakanyā māraputrāś ca sagaṇapāriṣadyā bhagavantam evam āhuḥ /	aTa tAH mAra-kanyAH mAra-putrAH ca sa-gaNa-pArizadyAH Bagavantam evam AhuH /
   arthikā vayaṃ bhagavann anenaivaṃrūpeṇa yānena ca jñānena ca riddhyā	arTikAH vayam Bagavan anena-evaMrUpeNa yAnena ca jQAnena ca ridDyA
   kṛpayopāyena pratibhānena ca āścaryaṃ bhagavan yāvad	kRpayA-upAyena pratiBAnena ca AScaryam Bagavan yAvat-
   upāyajñānasamanvāgatas tathāgataḥ / katamair bhagavan dharmaiḥ	upAya-jQAna-samanvAgataH taTAgataH / katamEH Bagavan DarmEH
   samanvāgataḥ puruṣapudgalo na ca pāpamitrahastaṃ gacchati / kṣipraṃ	samanvAgataH puruza-pudgalaH na ca pApa-mitra-hastam gacCati / kzipram
   cānuttarāṃ samyaksaṃbodhim abhisaṃbudhyate // bhagavān āha / caturbhir	ca-anuttarAm samyaksaMboDim aBisaMbuDyate // BagavAn Aha / caturBiH-
   dharmaiḥ samanvāgataḥ kulaputrā ihaikatyapuruṣapudgalo na pāpamitrahastaṃ	DarmEH samanvAgataH kula-putrAH iha-ekatya-puruza-pudgalaH na pApa-mitra-hastam
