   harṣacaritam	harza-caritam
   āsīcca tayoḥ sodaryayoriva spṛhaṇīyā prītiḥ /	AsIt-ca tayoH sodaryayoH-iva spRhaNIyA prItiH /
   atha sārasvato māturmahimnā yauvanārambha	aTa sArasvataH mAtuH-mahimnA yOvana-AramBa
   evāvirbhūtāśeṣavidyāsaṃbhārastasminsavayasi bhrātari preyasi prāṇasame	eva-AvirBUta-aSeza-vidyA-saMBAraH-tasmin-savayasi BrAtari preyasi prANa-same
   suhṛdi vatse vāṅmayaṃ samastameva saṃcārayāmāsa /	suhRdi vatse vAc-mayam samastam-eva saMcArayAmAsa /
   cakāra ca kṛtadāraparigrahasyāsya tasmiṃnneva pradeśe prītyā	cakAra ca kRta-dAra-parigrahasya-asya tasmin=-=-a-iva pradeSe prItyA
   prītikūṭanāmānaṃ nivāsam /	prIti-kUwa-nAmAnam nivAsam /
   ātmanāpyāṣāḍhī, kṛṣṇājinī, akṣavalayī, valkalī, mekhalī, jaṭī ca bhūtvā	AtmanA-api-AzAXI, kRzNAjinI, akza-valayI, valkalI, meKalI, jawI ca BUtvA
   tapasyato janayitureva jagāmāntikam /	tapasyataH janayituH-eva jagAma-antikam /
   atha vatsātpravardhamānādipuruṣajanitātmacaraṇonnatiḥ, nirgatapraghoṣaḥ,	aTa vatsAt-pravarDamAna-Adi-puruza-janita-Atma-caraNa-unnatiH, nirgata-praGozaH,
   parameśvaraśirodhṛtaḥ, sakalakalāgamagambhīraḥ, mahāmunimānyaḥ,	parameSvara-SiraH-DRtaH, sakala-kalA-gama-gamBIraH, mahA-muni-mAnyaH,
   vipakṣakṣobhakṣamaḥ, kṣititalalabdhāyatiḥ, askhalitapravṛtto	vipakza-kzoBa-kzamaH, kziti-tala-labDa-AyatiH, asKalita-pravRttaH-
   bhāgīrathīpravāha iva pāvanaḥ prāvartata vimalo vaṃśaḥ /	BAgIraTI-pravAhaH iva pAvanaH prAvartata vimalaH vaMSaH /
   yasmādajāyanta vātsyāyano nāma nṛhamunayaḥ, āśritaśrautā	yasmAt-ajAyanta vAtsyAyanaH nAma nRha-munayaH, ASrita-SrOtA
   apyanālambitālīkabakakākavaḥ, kṛtakukkuṭavratā apyabaiḍālavṛttayaḥ,	api-anAlambita-alIka-baka-kAkavaH, kRta-kukkuwa-vratAH api-abExAla-vRttayaH,
   vivarjitajanapaṅktayaḥ, parihṛtakapaṭakaurukucīkūrcākūtāḥ,	vivarjita-jana-paFktayaH, parihRta-kapawa-kOru-kucI-kUrcA-kUtAH,
   agṛhītagahvarāḥ, nyakkṛtanikṛtayaḥ, prasannaprakṛtayaḥ, vihatavikṛtayaḥ,	agRhIta-gahvarAH, nyakkRta-nikRtayaH, prasanna-prakRtayaH, vihata-vikRtayaH,
   paraparīvādaparācīnacetovṛttayaḥ, varṇatrayavyāvṛttiviśuddhāndhasaḥ,	para-parIvAda-parAcIna-cetaH-vRttayaH, varNa-traya-vyAvRtti-viSudDa-anDasaH,
   dhīraviṣaṇaḥ, vidhūtādhyeṣaṇāḥ, asaṅkasukasvabhāvāḥ, praṇatapraṇayinaḥ,	DIra-vizaNaH, viDUta-aDyezaNAH, asaFka-suka-svaBAvAH, praNata-praNayinaH,
   śamitasamastaśākhāntarasaṃśītayaḥ uddhāṭitasamagragranthārthagranthayaḥ,	Samita-samasta-SAKA-antara-saMSItayaH udDAwita-samagra-granTa-arTa-granTayaH,
   kavayaḥ, vāgminaḥ, vimatsarāḥ, parasubhāṣitavyasaninaḥ,	kavayaH, vAgminaH, vimatsarAH, para-su-BAzita-vyasaninaH,
   vidagdhaparihāsavedinaḥ, paricayapeśalāḥ, sarvātithayaḥ,	vidagDa-parihAsa-vedinaH, paricaya-peSalAH, sarva-atiTayaH,
   sarvasādhusaṃmatāḥ, sarvasattvasādhāraṇasauhārdadravārdrīkṛtahṛdayāḥ,	sarva-sADu-saMmatAH, sarva-sattva-sADAraNa-sOhArda-drava-ArdrIkRta-hRdayAH,
   tathā sarvaguṇopetā rājasenānabhibhūtāḥ, kṣamābhāja āśritanandanāḥ,	taTA sarva-guNa-upetAH rAja-sena-anaBiBUtAH, kzamA-BAjaH ASrita-nandanAH,
   anistriṃśā vidyādharāḥ, ajaḍāḥ kalāvantaḥ, adoṣāstārakāḥ, aparopatāpino	anistriMSAH vidyADarAH, ajaxAH kalAvantaH, adozAH-tArakAH, apara-upatApinaH-
   bhāsvantaḥ, anuṣmāṇo hutabhujaḥ, akusṛtayo bhoginaḥ, astambhāḥ puṇyālayāḥ,	BAsvantaH, anuzmANaH hutaBujaH, akusRtayaH BoginaH, astamBAH puNya-AlayAH,
   aluptakrutukriyā dakṣāḥ, avyālāḥ kāmajitaḥ, asādhāraṇā dvijātayaḥ /	alupta-krutu-kriyAH dakzAH, avyAlAH kAma-jitaH, asADAraNAH dvijAtayaH /
   teṣu caivamutpadyanamāneṣu, saṃsarati ca saṃsāre, yātsu yugeṣu, avatīrṇe	tezu ca-evam-utpadyana-mAnezu, saMsarati ca saMsAre, yAtsu yuga-izu, avatIrNe
   kalau, vahatsu vatsareṣu, vrajatsu vāsareṣu, atikrāmati ca kāle	kalO, vahatsu vatsarezu, vrajatsu vAsarezu, atikrAmati ca kAle
   prasavaparamparābhiranavaratamāpatati vikāśini vātsyāyanakule, krameṇa	prasava-paramparABiH-anavaratam-Apatati vikASini vAtsyAyana-kule, krameNa
   kuberanāmā vainateya iva gurupakṣapāti dvijo janma lebhe /	kubera-nAmA vEnateyaH iva guru-pakzapAti dvijaH janma leBe /
   tasyābhavannacyutar iśāno haraḥ pāśupataśceti catvāro yugārambhā iva	tasya-aBavan=-acyutar iSAnaH haraH pASupataH-ca-iti catvAraH yuga-AramBAH iva
   brāhnatejojanyamānaprajāvistārā nārāyaṇabāhudaṇjā iva	brAhna-tejaH-janyamAna-prajA-vistArAH nArAyaNa-bAhu-daNjAH iva
   saccakranandakāstanayāḥ /	sat-cakranandakAH-tanayAH /
   tatra pāśupatasyaika evābhavad bhūbhāra ivācalakulasthitiḥ	tatra pASupatasya-ekaH eva-aBavat BU-BAraH iva-acala-kula-sTitiH
   sthiraścaturudadhigambhīror'thapatiriti nāmnā	sTiraH-caturu-daDi-gamBIroH-aTapatiH-iti nAmnA
   samagrāgrajanmacakracūḍāmaṇirmahātmā sūnuḥ /	samagra-agra-janma-cakra-cUxAmaNiH-mahAtmA sUnuH /
   so 'janayad bhṛguṃ haṃsaṃ śuciṃ kaviṃ mahīdataṃ dharmaṃ jātavedasaṃ	saH ajanayat BRgum haMsam Sucim kavim mahIdatam Darmam jAtavedasam
   citrabhānuṃ tryakṣaṃ mahidattaṃ viśvarūpaṃ cetyekādaśa rudrāniva	citraBAnum tryakzam mahidattam viSva-rUpam ca-iti-ekAdaSa rudrAn-iva
   somāmṛtarasaśīkaracchuritamukhānpavitrānputrān /	soma-amRta-rasa-SIkara=-Curita-muKAn-pavitrAn-putrAn /
   alabhata ca citrabhānusteṣāṃ madhye rājadevyabhidhānāyāṃ brāhnaṇyāṃ	alaBata ca citraBAnuH-tezAm maDye rAja-devI-aBiDAnAyAm brAhnaNyAm
   bāṇamātmajam /	bANam-Atmajam /
   sa bāla eva balavato vidhervaśādupasaṃpannayā vyayujyata jananyā /	sa bAlaH eva balavataH viDeH-vaSAt-upasaMpannayA vyayujyata jananyA /
   jātasnehastu nitarāṃ pitaivāsya mātṛtāmakarota /	jAta-snehaH-tu nitarAm pitA-eva-asya mAtR-tAm-akarota /
   avardhata ca tenādhikataramādhīyamānadhṛtirdhāmni nije /	avarData ca tena-aDikataram-ADIyamAna-DRtiH-DAmni nije /
   kṛtopanayanādikriyākalāpasya samāvṛttasya cāsya caturdaśavarṣadeśīyasya	kRta-upanayana-Adi-kriyA-kalApasya samAvRttasya ca-asya caturdaSa-varza-deSIyasya
   pitāpi śrutismṛtivihitaṃ kṛtvā dvijajanocitaṃ nikhilaṃ puṇyajātaṃ	pitA-api Sruti-smRti-vihitam kRtvA dvija-jana-ucitam niKilam puNya-jAtam
   kālenādaśamīstha evāstamagamat /	kAlena-AdaSamI-sTaH eva-astam-agamat /
   saṃsthite ca pitari mahatā śokenābhīlamanuprāpto divāniśaṃ	saMsTite ca pitari mahatA Sokena-ABIlam-anuprAptaH divAniSam
   dahnamānahṛdayaḥ kathaṅkathamapi katipayāndivasānātmagṛha evānaiṣīt /	dahna-mAna-hRdayaH kaTaFkaTam-api katipayAn-divasAn-Atma-gRhaH eva-anEzIt /
   gate ca viralatāṃ śoke śanaiḥ śanairavinayanidānatayā svātantrayasya,	gate ca viralatAm Soke SanEs SanEs-avinaya-nidAna-tayA svAtantrayasya,
   kutūhalabahulatayā ca bālabhāvasya, dhairyapratipakṣatayā ca	kutUhala-bahula-tayA ca bAla-BAvasya, DErya-pratipakza-tayA ca
   yauvanārambhasya, śaiśavocitānyanekāni cāpalānyācarannitvaro babhūva /	yOvana-AramBasya, SESava-ucitAni-anekAni cApalAni-Acarat-=-itvaraH baBUva /
   abhavaṃścāsya savayasaḥ samānāḥ suhṛdaḥ sahāyāśca /	aBavan=-ca-asya sa-vayasaH samAnAH suhRdaH sahAyAH-ca /
   tathā ca /	taTA ca /
   bhrātarau pāraśavau candrasenamātṛṣeṇau, bhāṣākadirīśānaḥ paraṃ mittram,	BrAtarO pAraSavO candrasena-mAtRzeNO, BAzAkadirISAnaH param mittram,
   praṇayinau rudranārāyaṇau, vidvāṃso vārabāṇavāsabāṇau,	praNayinO rudra-nArAyaNO, vidvAMsaH vArabANa-vAsa-bANO,
   varṇakavirveṇībhārataḥ prākṛtakṛtkulaputro vāyuvikāraḥ,	varNa-kavirveNI-BArataH prAkRta-kRt-kula-putraH vAyu-vikAraH,
   bandinādanaṅgabāṇasūcībāṇau, katyāyanikā cakravākikā, jāṅguliko mayūrakaḥ,	bandinAt-anaFga-bANa-sUcI-bANO, katyAyanikA cakravAkikA, jAFgulikaH mayUrakaH,
   kalādascāmīkaraḥ hairikaḥ sindhuṣeṇaḥ, lekhako govindakaḥ,	kalAdaH-cAmIkaraH hErikaH sinDuzeNaH, leKakaH govindakaH,
   citrakṛ-dvīravarmā, pustakṛtkumāradattaḥ, mārdaṅgiko jīmūtaḥ, gāyanau	citrakR--dvIra-varmA, pusta-kRt-kumAradattaH, mArdaFgikaH jImUtaH, gAyanO
   somilagrahādityau, sairandhrī kuraṅgikā, vāṃśikau madhukarapārāvatau,	somila-graha-AdityO, sEranDrI kuraFgikA, vAMSikO maDukara-pArAvatO,
   gāndharvopādhyāyo dardurakaḥ, saṃvāhikā, keralikā lāsakayuvā tāṇḍavikaḥ,	gAnDarva-upADyAyaH dardurakaH, saMvAhikA, keralikA lAsaka-yuvA tANxavikaH,
   ākṣika ākhaṇjalaḥ, kitavo bhīmakaḥ, śailāliyuvā śikhaṇḍakaḥ, nartakī	AkzikaH AKaNjalaH, kitavaH BImakaH, SElAli-yuvA SiKaNxakaH, nartakI
   hariṇikā, pārāśarī sumatiḥ, kṣapaṇako vīradevaḥ, kathakojayasenaḥ, śaivo	hariNikA, pArASarI sumatiH, kzapaNakaH vIradevaH, kaTa-kojayasenaH, SEvo
   vakraghoṇaḥ, mantrasādhakaḥ karālaḥ, asuravivaravyasanī lohitākṣaḥ,	vakra-GoNaH, mantra-sADakaH karAlaH, asura-vivara-vyasanI lohitAkzaH,
   dhātuvādavidvihaṅgamaḥ, dārduriko dāmodaraḥ, aindrajālikaścakīrākṣaḥ,	DAtuvAda-vid-vihaFgamaH, dArdurikaH dAmodaraH, EndrajAlikaH-ca-kIrAkzaH,
   maskarī tāmracūḍakaḥ /	maskarI tAmracUxakaH /
   sa ebhiranyaiścānugamyamāno bālatayā nighnatāmupagato	saH eBiH-anyEH-ca-anugamyamAnaH bAla-tayA niGnatAm-upagataH-
   deśāntarāvalokanakautukākṣiptahṛdayaḥ satsvapipitṛpitāmahopātteṣu	deSa-antara-avalokana-kOtuka-Akzipta-hRdayaH satsu-api-pitR-pitAmaha-upAttezu
   brāhnaṇajanociteṣu vibhaveṣu sati cāvicchinne vidyāprasaṅge gṛhānniragāt /	brAhnaNa-jana-ucitezu viBavezu sati ca-avicCinne vidyA-prasaFge gRhAt-niragAt /
   agācca niravagraho grahavāniva navayauvanena svairiṇā manasā	agAt-ca niravagrahaH grahavAn-iva nava-yOvanena svEriNA manasA
   mahatāmupahāsyatām /	mahatAm-upahAsyatAm /
   atha śanai /	aTa SanEs /
   śanairatyudāravyavahṛtimanohṛnti bṛhanti rājakulāni vīkṣamāṇaḥ,	SanEs-ati-udAra-vyavahRti-manaH-hRnti bRhanti rAja-kulAni vIkzamANaH,
   niravadyavidyāvidyotitāni gurukulāni ca sevamānaḥ,	niravadya-vidyA-vidyotitAni guru-kulAni ca sevamAnaH,
   mahārhālāpagambhīraguṇavadgoṣṭhīścopatiṣṭhamānaḥ,	mahArha-AlApa-gamBIra-guNavat-gozWIH-ca-upatizWamAnaH,
   svabhāvagambhīradhīrdhanāni vidagdhamaṇḍalāni ca gāhamānaḥ, punarapi	svaBAva-gamBIra-DIH-DanAni vidagDa-maNxalAni ca gAhamAnaH, punar-api
   taimeva vaipaścitīmātmavaṃśocitāṃ prakṛtimabhajatṝ /	tEm-eva vEpaScitIm-Atma-vaMSa-ucitAm prakRtim-aBajatL /
   mahataśca kālāttameva bhūyo vātsyāyanavaṃśāśramamātmano janmabhuvaṃ	mahataH-ca kAlAt-tam-eva BUyas vAtsyAyana-vaMSa-ASramam-AtmanaH janma-Buvam
   brāhnaṇādhivāsamagamatṝ /	brAhnaNa-aDivAsam-agamatL /
   tatra ca ciradarśanādabhinavībhūtasnehasadbhāvaiḥ	tatra ca cira-darSanAt-aBinavIBUta-sneha-sadBAvEH
   sasaṃstavaprakaṭitajñāteyairāptairutsavadivasa ivānanditāgamano	sa-saMstava-prakawita-jQAteyEH-AptEH-utsava-divasaH iva-Anandita-AgamanaH-
   bālamitramaṇḍalamadhyagato mokṣasukhamivānvabhavatṝ /	bAla-mitra-maNxala-maDya-gataH mokza-suKam-iva-anvaBavatL /
   iti śrīmahākavibāṇamaṭṭakṛtau harṣacarite vātsyāyanavaṃśavarṇanaṃ nāma	iti SrI-mahAkavi-bANam-awwa-kRtO harza-carite vAtsyAyanavaMSavarNanam nAma
   prathama ucchvāsaḥ	praTamaH ucCvAsaH
