   (PSP_6 8:1)	(PSu _6 8:1)
   punar aparaṃ subhūte tathāgato 'rhan samyaksaṃbuddho na śīlaskandhato	punar aparam suBUte taTAgataH arhan samyaksaMbudDaH na SIla skanDataH 
   manasikartavyo na samādhiskandhato na prajñāskandhato na vimuktiskandhato	manasi kartavyaH na samADi skanDataH na prajQA skanDataH na vimukti skanDataH 
   na vimuktijñānadarśanaskandhato manasikartavyaḥ. tat kasya hetoḥ? tathā hi	na vimukti jQAna darSana skanDataH manasikartavyaH. tat kasya hetoH? taTA hi
   teṣāṃ svabhāvo nāsti, yasya svabhāvo nāsti so 'bhāvaḥ. tat kasya hetoḥ?	tezAm svaBAvaH nAsti, yasya svaBAvaH na asti saH aBAvaH. tat kasya hetoH?
   asmṛtir amanasikārā buddhānusmṛtiḥ śīlādiskandhāmanasikāreṇa	asmRtiH amanasikArA budDa anusmRtiH SIla Adi skanDA manasikAreNa
   buddhānusmṛtyā.	budDa anusmRtyA.
   punar aparaṃ subhūte tathāgato 'rhan samyaksaṃbuddho na daśabhis	punar aparam suBUte taTAgataH arhan samyaksaMbudDaH na daSaBiH 
   tathāgatabalair manasikartavyo na caturbhir vaiśāradyair na catasṛbhiḥ	taTAgata balEH manasi kartavyaH na caturBiH vESAradyEH na catasRBiH
   pratisaṃvidbhir manasikartavyo na mahākaruṇayā na mahāmaitryā	pratisaMvidBiH manasi kartavyaH na mahA karuNayA na mahAmEtryA
   nāṣṭādaśabhir āveṇikair buddhadharmair manasikartavyaḥ. tat kasya hetoḥ?	na azwAdaSaBiH AveNikEH budDa DarmEH manasi kartavyaH. tat kasya hetoH?
   tathā hi teṣāṃ svabhāvo nāsti, yasya svabhāvo nāsti so 'bhāvaḥ. tat kasya	taTA hi tezAm svaBAvaH nAsti, yasya svaBAvaH na asti saH aBAvaH. tat kasya
   hetoḥ? asmṛtir amanasikārā buddhānusmṛtir daśabalādyamanasikāreṇa	hetoH? asmRtiH amanasikArA budDa anusmRtiH daSa bala Adya manasikAreNa
   buddhānusmṛtyā.	budDa anusmRtyA.
   punar aparaṃ subhūte tathāgato 'rhan samyaksaṃbuddho na	punar aparam suBUte taTAgataH arhan samyaksaMbudDaH na
   pratītyasamutpādato manasikartavyaḥ. tat kasya hetoḥ? tathā hy asya	pratItyasamutpAdataH manasi kartavyaH. tat kasya hetoH? taTA hi asya
   svabhāvo nāsti, yasya svabhāvo nāsti so 'bhāvaḥ. tat kasya hetoḥ? asmṛtir	svaBAvaH nAsti, yasya svaBAvaH na asti saH aBAvaH. tat kasya hetoH? asmRtiH 
   amanasikārā buddhānusmṛtiḥ pratītyasamutpādāmanasikāreṇa buddhānusmṛtyā.	amanasikArA budDa anusmRtiH pratItyasamutpAda AmanasikAreNa budDa anusmRtyA.
   evaṃ khalu subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā	evam Kalu suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA
   buddhānusmṛtir manasikartavyāḥ. evaṃ khalv asyānupūrvakriyā prajñāyate	budDa anusmRtiH manasi kartavyAH. evam Kalu asya anupUrva kriyA prajQAyate
   'nupūrvaśikṣānupūrvapratipat prajñāyate. sa ihānupūrvakriyāyām	anupUrva SikzA anupUrva pratipad prajQAyate. saH iha anupUrva kriyAyAm
   anupūrvaśikṣāyām anupūrvapratipadi śikṣamāṇo 'nupūrvaprasthānaiś catvāri	anupUrva SikzAyAm anupUrva pratipadi SikzamANaH anupUrva prasTAnEH catvAri
   smṛtyupasthānāni paripūrayati, catvāri samyakprahāṇāni catura ṛddhipādān	smRti upasTAnAni paripUrayati, catvAri samyak prahANAni caturaH RdDi pAdAn
   pañcendriyāṇi pañcabalāni saptabodhyaṅgāny āryāṣṭāṅgamārgaṃ	paQca indriyANi paQca balAni sapta boDi aFgAni Arya azwa aFga mArgam
   śūnyatāsamādhim ānimittasamādhim (PSP_6 8:8) apraṇihitasamādhiṃ	SUnyatA samADim Animitta samADim (PSu _6 8:8) apraNihita samADim
   paripūrayati, apramāṇadhyanārūpyavimokṣasamādhisamāpattidhāraṇīmukhāni	paripUrayati, apramANaDi ana ArUpya vimokza samADi samApatti DAraNI muKAni
   paripūrayati, sarvapāramitāḥ sarvaśūnyatā	paripUrayati, sarva pAramitAH sarva SUnyatA
   abhijñādaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmān paripūrayati,	aBijQA daSa bala vESAradya pratisaMvid AveNika budDa DarmAn paripUrayati,
   mahākaruṇāṃ paripūrayati, mahāmaitrīṃ paripūrayati, sarvākārajñatāṃ	mahA karuNAm paripUrayati, mahA mEtrIm paripUrayati, sarva AkAra jQa tAm
   paripūrayati, abhāvasvabhāvayogena so 'bhāvasvabhāvāṃś caiva sarvadharmān	paripUrayati, aBAva svaBAva yogena saH aBAva svaBAvAn ca eva sarva DarmAn
   abhisaṃbhotsyate yatra svabhāvasaṃjñāpi nāsti.	aBisaMBotsyate yatra svaBAva saMjQA api na asti.
   iti buddhānusmṛtiḥ	iti budDa anusmRtiH
   kathaṃ ca subhūte bodhisattvena mahāsattvena dharmānusmṛtir bhāvayitavyā.	kaTam ca suBUte boDisattvena mahAsattvena Darma anusmRtiH BAvayitavyA.
   iha subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā na kuśalā	iha suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA na kuSalA
   dharmā manasikartavyā nākuśalā dharmā manasikartavyā na vyākṛtā dharmā	DarmA manasi kartavyA na akuSalAH DarmAH manasi kartavyA na vyAkRtA DarmA
   manasikartavyā nāvyākṛtā dharmā manasikartavyā na laukikā na lokottarā na	manasi kartavyA na avyAkRtAH DarmAH manasi kartavyA na lOkikAH na lokottarA na
   sāmiṣā na nirāmiṣā nāryā nānāryā na sāsravā nānāsravā na	sa AmizA na nirAmizA nAryAH na anA AryA na sa AsravAH nAnA sravAH na
   kāmadhātuparyāpannā na rūpadhātuparyāpannā nārūpyadhātuparyāpannā na	kAmaDAtu paryApannAH na rUpa DAtu paryApannAH na ArUpya DAtu paryApannAH na
   saṃskṛtā nāsaṃskṛtā dharmā manasikartavyāḥ. tat kasya hetoḥ? tathā hi	saMskRtAH na asaMskRtAH DarmAH manasi kartavyAH. tat kasya hetoH? taTA hi
   teṣāṃ dharmāṇāṃ svabhāvo nāsti yeṣāṃ svabhāvo nāsti te 'bhāvāḥ. tat kasya	tezAm DarmANAm svaBAvaH na asti yezAm svaBAvaH na asti te aBAvAH. tat kasya
   hetoḥ? asmṛtir amanasikārā dharmānusmṛtiḥ. sa iha dharmānusmṛtyāṃ	hetoH? asmRtiH amanasikArA Darma anusmRtiH. saH iha Darma anusmRtyAm
   śikṣitvābhāvasvabhāvayogena yāvat sarvākārajñatām anuprāpsyati. so	SikzitvA aBAva svaBAva yogena yAvat sarva AkAra jQa tAm anuprApsyati. saH 
   'bhāvasvabhāvāṃś caiva sarvadharmān abhisaṃbhotsyate yatra	aBAva svaBAvAn ca eva sarva DarmAn aBisaMBotsyate yatra
   svabhāvasaṃjñāpi nāsti. evaṃ khalu subhūte bodhisattvena mahāsattvena	svaBAva saMjQA api nAsti. evam Kalu suBUte boDisattvena mahAsattvena
   dharmānusmṛtir bhāvayitavyā yatrāṇv api smṛtikarma nāsti, kaḥ punar vādaḥ	Darma anusmRtiH BAvayitavyA yatra aNu api smRti karma nAsti, kaH punar vAdaH
   smṛtivigamaḥ.	smRti vigamaH.
   iti dharmānusmṛtiḥ	iti Darma anusmRtiH
   kathaṃ ca subhūte bodhisattvena mahāsattvena saṃghānusmṛtir bhāvayitavyā.	kaTam ca suBUte boDisattvena mahAsattvena saMGa anusmRtiH BAvayitavyA.
   iha subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā saṃgho	iha suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA saMGaH 
   'bhāvasvabhāvato 'nusmartavyo yo so bhagavataḥ śrāvakasaṃghaś catvāraḥ	aBAva svaBAvataH anusmartavyaH yaH saH BagavataH SrAvaka saMGaH catvAraH
   puruṣayugāḥ, aṣṭau mahāpuruṣapudgalāḥ. tat kasya hetoḥ? tathā hi teṣāṃ	puruza yugAH, azwO mahApuruza pudgalAH. tat kasya hetoH? taTA hi tezAm
   svabhāvo nāsti yeṣāṃ svabhāvo nāsti te 'bhāvā abhāvasvabhāvapratibhāvitāś	svaBAvaH na asti yezAm svaBAvaH na asti te aBAvAH aBAva svaBAva pratiBAvitAS
   caivocyante catvāraḥ puruṣayugā aṣṭau mahāpuruṣapudgalāḥ. tat kasya hetoḥ?	ca eva ucyante catvAraH puruza yugAH azwO mahApuruza pudgalAH. tat kasya hetoH?
   asmṛtir amanasikārā saṃghānusmṛtiḥ. sa iha saṃghānusmṛtyāṃ	asmRtiH amanasikArA saMGa anusmRtiH. saH iha saMGa anusmRtyAm
   śikṣitvābhāvasvabhāvayogena yāvat (PSP_6 8:9) sarvākārajñatām	SikzitvA aBAva svaBAva yogena yAvat (PSu _6 8:9) sarva AkAra jQa tAm
   anuprāpsyati. so 'bhāvasvabhāvāṃś caiva sarvadharmān abhisaṃbhotsyate	anuprApsyati. saH aBAva svaBAvAn ca eva sarva DarmAn aBisaMBotsyate
   yatra svabhāvasaṃjñāpi nāsti. evaṃ khalu subhūte bodhisattvena	yatra svaBAva saMjQA api nAsti. evam Kalu suBUte boDisattvena
   mahāsattvena saṃghānusmṛtir bhāvayitavyā yatrāṇv api smṛtikarma nāsti, kaḥ	mahAsattvena saMGa anusmRtiH BAvayitavyA yatra aNu api smRti karma nAsti, kaH
   punar vādaḥ smṛtivigamaḥ.	punar vAdaH smRti vigamaH.
   iti saṃghānusmṛtiḥ	iti saMGa anusmRtiH
   kathaṃ ca subhūte bodhisattvena mahāsattvena śīlānusmṛtir bhāvayitavyā.	kaTam ca suBUte boDisattvena mahAsattvena SIla anusmRtiH BAvayitavyA.
   iha subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā akhaṇḍe	iha suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA aKaNxe
   'cchidre 'śabale 'kalmāṣe 'parāmṛṣṭe 'bhujiṣye vijñapraśaste susamātte	acCidre aSabale akalmAze aparAmRzwe aBujizye vijQa praSaste su samAtte
   samādhisaṃvartanīye śīle pratiṣṭhite nābhāvasvabhāvato manasikartavyam tac	samADi saMvartanIye SIle pratizWite na aBAva svaBAvataH manasikartavyam tat 
   chīlaṃ yatrāṇv api smṛtikarma nāsti, kaḥ punar vādaḥ smṛtivigamaḥ. tat	CIlam yatra aNu api smRti karma nAsti, kaH punar vAdaH smRti vigamaH. tat 
   kasya hetoḥ? tathā hi teṣāṃ svabhāvo nāsti yasya svabhāvo nāsti so	kasya hetoH? taTA hi tezAm svaBAvaH na asti yasya svaBAvaH na asti saH 
   'bhāvaḥ. evaṃ manasikurvāṇo 'nupūrveṇa yāvat sarvākārajñatām anuprāpsyati.	aBAvaH. evam manasikurvANaH anupUrveNa yAvat sarva AkAra jQa tAm anuprApsyati.
   tat kasya hetoḥ? asmṛtir amanasikārā śīlānusmṛtiḥ. evaṃ khalu subhūte	tat kasya hetoH? asmRtiH amanasikArA SIla anusmRtiH. evam Kalu suBUte
   bodhisattvena mahāsattvena śīlānusmṛtir manasikartavyā, yatra	boDisattvena mahAsattvena SIla anusmRtiH manasi kartavyA, yatra
   svabhāvasaṃjñāpi nāsti, kaḥ punar vādo 'bhāvasaṃjñāyāḥ.	svaBAva saMjQA api nAsti, kaH punar vAdaH aBAva saMjQAyAH.
   iti śīlānusmṛtiḥ	iti SIla anusmRtiH
   kathaṃ ca subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā	kaTam ca suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA
   tyāgānusmṛtir bhāvayitavyā. iha subhūte bodhisattvena	tyAga anusmRtiH BAvayitavyA. iha suBUte boDisattvena
   mahāsattvenābhāvasvabhāvayogena tyāgo 'nusmartavyo yadi vāmiṣatyāgo yadi	mahAsattvena aBAva svaBAva yogena tyAgaH anusmartavyaH yadi vA Amiza tyAgaH yadi
   vā dharmatyāgaḥ. tat kasya hetoḥ? cittam evaṃ notpadyate dadāmi vā na	vA Darma tyAgaH. tat kasya hetoH? cittam evam na utpadyate dadAmi vA na
   dadāmi vā parityajāmi vā na parityajāmi vāṅgapratyaṅgāni tyajatā naivaṃ	dadAmi vA parityajAmi vA na parityajAmi vA aFga pratyaFgAni tyajatA na evam
   cittam utpādayitavyaṃ yatrāṇv api smṛtikarma nāsti kaḥ punar vādaḥ	cittam utpAdayitavyam yatra aNu api smRti karma na asti kaH punar vAdaH
   smṛtivigamaḥ. tat kasya hetoḥ? tathā hi teṣāṃ svabhāvo nāsti yeṣāṃ	smRti vigamaH. tat kasya hetoH? taTA hi tezAm svaBAvaH na asti yezAm
   svabhāvo nāsti te 'bhāvāḥ. evaṃ manasikurvāṇo 'nupūrveṇa yāvat	svaBAvaH na asti te aBAvAH. evam manasikurvANaH anupUrveNa yAvat 
   sarvākārajñatām anuprāpsyati. tat kasya hetoḥ? asmṛtir amanasikārā	sarva AkAra jQa tAm anuprApsyati. tat kasya hetoH? asmRtiH amanasikArA
   tyāgānusmṛtiḥ. evaṃ khalu subhūte bodhisattvena mahāsattvena	tyAga anusmRtiH. evam Kalu suBUte boDisattvena mahAsattvena
   prajñāpāramitāyāṃ caratā tyāgānusmṛtir manasikartavyā yatra	prajQApAramitAyAm caratA tyAga anusmRtiH manasi kartavyA yatra
   svabhāvasaṃjñāpi nāsti, kaḥ punar vādo 'bhāvasaṃjñāyāḥ.	svaBAva saMjQA api nAsti, kaH punar vAdaH aBAva saMjQAyAH.
   iti tyāgānusmṛtiḥ	iti tyAga anusmRtiH
   (PSP_6 8:10)	(PSu _6 8:10)
   kathaṃ ca subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā	kaTam ca suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA
   devatānusmṛtir manasikartavyāḥ. iha subhūte bodhisattvena mahāsattvena ye	devatA anusmRtiH manasi kartavyAH. iha suBUte boDisattvena mahAsattvena ye
   devāḥ srotaāpannāś cāturmahārājakāyikeṣu deveṣūpapannās traystriṃśeṣu	devAH srotaApannAH cAturmahArAja kAyikezu devezu upapannAH traystriMSezu
   yāmeṣu tusiteṣu nirmānaratiṣu paranirmitavaśavartiṣu deveṣūpapannās te	yAmezu tusitezu nirmAna ratizu paranirmitavaSavartizu devezu upapannAH te
   'bhāvasvabhāvato manasikartavyāḥ. tat kasya hetoḥ? tathā hi teṣāṃ svabhāvo	aBAva svaBAvataH manasi kartavyAH. tat kasya hetoH? taTA hi tezAm svaBAvaH 
   nāsti yeṣāṃ svabhāvo nāsti te 'bhāvā evaṃ manasikurvāṇo 'nupūrveṇa yāvat	na asti yezAm svaBAvaH na asti te aBAvAH evam manasikurvANaH anupUrveNa yAvat 
   sarvākārajñatām anuprāpsyati. tat kasya hetoḥ? asmṛtir amanasikārā	sarva AkAra jQa tAm anuprApsyati. tat kasya hetoH? asmRtiH amanasikArA
   devatānusmṛtiḥ. evaṃ khalu subhūte bodhisattvena mahāsattvena	devatA anusmRtiH. evam Kalu suBUte boDisattvena mahAsattvena
   devatānusmṛtir manasikartavyā yatra svabhāvasaṃjñāpi nāsti, kaḥ punar vādo	devatA anusmRtiH manasi kartavyA yatra svaBAva saMjQA api nAsti, kaH punar vAdaH 
   'bhāvasaṃjñāyāḥ.	aBAva saMjQAyAH.
   iti devatānusmṛtiḥ	iti devatA anusmRtiH
   evaṃ khalu subhūte bodhisattvasya mahāsattvasya ṣaḍanusmṛtīr manasikurvato	evam Kalu suBUte boDisattvasya mahAsattvasya zaz anusmRtIH manasikurvataH 
   'nupūrvakriyā prajñāyate 'nupūrvaśikṣānupūrvapratipat prajñāyate.	anupUrva kriyA prajQAyate anupUrva SikzA anupUrva pratipad prajQAyate.
   iti ṣaḍanusmṛtayaḥ	iti zaz anusmRtayaH
   punar aparaṃ subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ	punar aparam suBUte boDisattvena mahAsattvena prajQApAramitAyAm
   caratānupūrvakriyāṃ paripūrayitukāmenānupūrvaśikṣām anupūrvapratipadaṃ	carata anupUrva kriyAm paripUrayitu kAmena AnupUrva SikzAm anupUrva pratipadam
   paripūrayitukāmenābhāvasvabhāvayogenādhyātmaśūnyatāyāṃ śikṣitavyam,	paripUrayitu kAmena aBAva svaBAva yogena aDyAtma SUnyatAyAm Sikzitavyam,
   bahirdhāśūnyatāyāṃ śikṣitavyam, adhyātmabahirdhā śūnyatāyāṃ śikṣitavyam,	bahirDA SUnyatAyAm Sikzitavyam, aDyAtma bahirDA SUnyatAyAm Sikzitavyam,
   yāvad abhāvasvabhāvaśūnyatāyāṃ śikṣitavyam.	yAvat aBAva svaBAva SUnyatAyAm Sikzitavyam.
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgeṣu	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgezu
   śikṣitavyam,	Sikzitavyam,
   āryasatyāpramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukheṣu	Arya satya apramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKezu
   śikṣitavyam,	Sikzitavyam,
   śūnyatānimittāpraṇihitābhijñādaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmeṣu	SUnyatA nimitta apraNihita aBijQA daSa bala vESAradya pratisaMvid AveNika budDa Darmezu
   śikṣitavyam abhāvasvabhāvayogena. daśasu pāramitāsu daśasu	Sikzitavyam aBAva svaBAva yogena. daSasu pAramitAsu daSasu
   bodhisattvabhūmiṣu śikṣitavyam, mahākaruṇāyāṃ śikṣitavyam, sa evaṃ	boDisattva BUmizu Sikzitavyam, mahA karuNAyAm Sikzitavyam, saH evam
   bodhimārge śikṣamāṇo 'bhāvasvabhāvān sarvadharmān abhisaṃbhotsyate,	boDi mArge SikzamANaH aBAva svaBAvAn sarva DarmAn aBisaMBotsyate,
   yatrāṇv api smṛtikarma nāsti kutaḥ punā rūpaṃ vā vedanāsaṃjñāsaṃskārā	yatra aNu api smRti karma na asti kutas punA rUpam vA vedanA saMjQA saMskArA
   vijñānaṃ vā, evaṃ (PSP_6 8:11) skandhadhatvāyatanapratītyasamutpāda vā	vijQAnam vA, evam (PSu _6 8:11) skanDa Datva Ayatana pratItyasamutpAda vA
   pratītyasamutpādāṅgāni vā pāramitā vā śūnyatā vā,	pratItyasamutpAda aFgAni vA pAramitA vA SUnyatA vA,
   bodhipakṣyadharmāryasatyāpramāṇadhyānārūpyasamāpattayo vā	boDi pakzya Darma Arya satya apramANa DyAna ArUpya samApattayaH vA
   vimokṣasamādhisamāpattidhāraṇīmukhaśūnyatānimittāpraṇihitābhijñādaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmā	vimokza samADi samApatti DAraNI muKa SUnyatA nimitta apraNihita aBijQA daSa bala vESAradya pratisaMvid AveNika budDa DarmA
   vā sarvākārajñatā vā nedaṃ sthānaṃ vidyate. evaṃ khalu subhūte	vA sarva AkAra jQa tA vA na idam sTAnam vidyate. evam Kalu suBUte
   bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ caratā anupūrvakriyā	boDisattvasya mahAsattvasya prajQApAramitAyAm caratA anupUrva kriyA
   prajñāyate 'nupūrvaśikṣā prajñāyate 'nupūrvapratipat prajñāyate, yatra	prajQAyate anupUrva SikzA prajQAyate anupUrva pratipad prajQAyate, yatra
   kriyāyaṃ cittaṃ caryā pratipac chikṣā ca pravartate.	kriyA ayam cittam caryA pratipad SikzA ca pravartate.
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: yadi bhagavann	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: yadi Bagavat = 
   abhāvasvabhāvāḥ sarvadharmās tan nāsti rūpaṃ vedanāsaṃjñāsaṃskārāḥ, nāsti	aBAva svaBAvAH sarva DarmAH tat na asti rUpam vedanA saMjQA saMskArAH, na asti
   vijñānaṃ nāsti skandhadhātvāyatanapratītyasamutpādā nāsti	vijQAnam na asti skanDa DAtu Ayatana pratItyasamutpAdAH na asti
   pratītyasamutpādāṅgāni nāsti pāramitā nāsti śūnyatā nāsti	pratItyasamutpAda aFgAni na asti pAramitA na asti SUnyatA na asti
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgā nāsti	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgAH na asti
   āryasatyāpramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukhāni nāsti	Arya satya apramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKAni na asti
   śūnyatānimittāpraṇihitābhijñā nāsti	SUnyatA nimitta apraNihita aBijQA na asti
   daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmā nāsti sarvākārajñatā	daSa bala vESAradya pratisaMvid AveNika budDa DarmA na asti sarva AkAra jQa tA
   nāsti buddho nāsti dharmo nāsti saṃgho nāsti mārgo nāsti phalaṃ nāsti	na asti budDaH na asti DarmaH na asti saMGaH na asti mArgaH na asti Palam na asti
   saṃkleśo nāsti vyavadānaṃ nāsti prāptir nāsty abhisamayo yāvan nāsti	saMkleSaH na asti vyavadAnam na asti prAptiH na asti aBisamayaH yAvat na asti
   sarvadharmāḥ.	sarva DarmAH.
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: api nu subhūte	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: api nu suBUte
   'bhāvasvabhāveṣu sarvadharmeṣv astitā vā nāstitā vopalabhate.	aBAva svaBAvezu sarva Darmezu astitAH vA na astitAH vA upalaBate.
   subhūtir āha: no bhagavann abhāveṣu sarvadharmeṣv astitā vā nāstitā	suBUtiH Aha: naH Bagavan aBAvezu sarva Darmezu astitA vA na astitA
   vopalabhate.	vA upalaBate.
   bhagavān āha: tat katham idaṃ subhūte evaṃ bhavati, yady abhāvasvabhāvāḥ	BagavAn Aha: tat kaTam idam suBUte evam Bavati, yadi aBAva svaBAvAH
   sarvadharmās tan nāsti rūpaṃ vedanāsaṃjñāsaṃskārā, nāsti vijñānam, nāsti	sarva DarmAH tat na asti rUpam vedanA saMjQA saMskArA, na asti vijQAnam, na asti
   skandhadhātvāyatanapratītyasamutpādā nāsti pratītyasamutpādāṅgāni nāsti	skanDa DAtu Ayatana pratItyasamutpAdAH na asti pratItyasamutpAda aFgAni na asti
   pāramitāśūnyatābodhipakṣyadharmaryasatyāpramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukhaśūnyatānimittāpraṇihitābhijñādaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmā	pAramitA SUnyatA boDi pakzya Darmarya satyA pramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKa SUnyatA nimitta apraNihita aBijQA daSa bala vESA
   nāsti sarvākārajñatā nāsti buddhadharmasaṃghaphalaṃ (PSP_6 8:12)	na asti sarva AkAra jQa tA na asti budDa Darma saMGa Palam (PSu _6 8:12)
   mārgasaṃkleśavyavadānaprāptābhisamayā yavan nāsti sarvadharmā iti.	mArga saMkleSa vyavadAna prApta aBisamayA yavat na asti sarva DarmAH iti.
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: nāhaṃ bhagavann atra	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: na aham Bagavan atra
   dharmeṣu kāṅkṣāmi na vicikitsāmi, api tu khalu bhagavan bhaviṣyanty	Darmezu kAFkzAmi na vicikitsAmi, api tu Kalu Bagavan Bavizyanti 
   anāgate 'dhvani bhikṣavaḥ śrāvakayānikāś ca pratyekabuddhayānikāś ca	anAgate aDvani BikzavaH SrAvaka yAnikAH ca pratyekabudDa yAnikAH ca
   bodhisattvayānikāś ca ta evaṃ vakṣyanti, abhāvasvabhāvāḥ sarvadharmāḥ ko	boDisattva yAnikAH ca te evam vakzyanti, aBAva svaBAvAH sarva DarmAH ko
