   PADA MARKERS	PADAH MARKERS
   makuṣṭho vanamudgaś ca % masūraḥ pittabheṣajam // VAnigh_337 //	makuzWaH vanamudgaH ca % masUraH pitta-Bezajam // Va-aniG_337 //
   harimanthāḥ sugandhāś ca $ caṇakāḥ kṛṣṇakañcukāḥ &	harimanTAH suganDAH ca $ caNakAH kRzNa-kaQcukAH &
   kulatthaḥ kālavṛttaś ca % tāmravarṇo 'nilāpahā // VAnigh_338 //	kulatTaH kAla-vRttaH ca % tAmra-varNaH anila-apahA // Va-aniG_338 //
   māṣastu picchilarasaḥ $ kuruvindo vṛṣākaraḥ &	mAzaH-tu picCila-rasaH $ kuruvindaH vRzAkaraH &
   rājamāṣo 'lasāndraḥ syāt % khañjakākhyaḥ kalāyakaḥ // VAnigh_339 //	rAjamAzaH alasAndraH syAt % KaQjaka-AKyaH kalAyakaH // Va-aniG_339 //
   āḍhakī tuvarī proktā $ niṣpāvā śimbikā smṛtā &	AXakI tuvarI proktA $ nizpAvA SimbikA smRtA &
   tilaḥ snehaphalaḥ sneha- % pūrṇaś ca kṛṣṇatailakaḥ // VAnigh_340 //	tilaH sneha-PalaH sneha % pUrNaH ca kRzNa-tElakaH // Va-aniG_340 //
   phalatrayaṃ tu triphalā $ varā śreṣṭhā tathottamā &	Palatrayam tu triPalA $ varA SrezWA taTA-uttamA &
   dvipaṃ ca mūlaṃ daśakaṃ % daśamūlaṃ daśāṅghrikam // VAnigh_341 //	dvipam ca mUlam daSakam % daSamUlam daSa-aFGrikam // Va-aniG_341 //
   trikaṭu tryūṣaṇaṃ vyoṣaṃ $ kaṭutrayam ihocyate &	trikawu tryUzaNam vyozam $ kawutrayam iha-ucyate &
   pañcakolaṃ pañcakaṭu % trisugandhi trijātakam // VAnigh_342 //	paQcakolam paQcakawu % trisuganDi trijAtakam // Va-aniG_342 //
   auṣadhaṃ bheṣajaṃ pathyam $ agadaṃ ca bhiṣagjitam &	OzaDam Bezajam paTyam $ agadam ca Bizagjitam &
   kalabho vāraṇo dantī % mātaṃgo dvirado dvipaḥ // VAnigh_343 //	kalaBaH vAraNaH dantI % mAtaMgaH dviradaH dvipaH // Va-aniG_343 //
   gajo hastī karībhaś ca $ kareṇur hastinī smṛtā &	gajaH hastI karIBaH ca $ kareNuH hastinI smRtA &
   hayo 'śvas turago vājī % saptir vāhas tu bāḍavaḥ // VAnigh_344 //	hayaH aSvaH turagaH vAjI % saptiH vAhaH tu bAxavaH // Va-aniG_344 //
   bāleyo rāsabho jñeyo $ dhūsaro gardabhaḥ kharaḥ &	bAleyaH rAsaBaH jQeyaH $ DUsaraH gardaBaH KaraH &
   karabho dīrghagaś coṣṭraḥ % kṣamī vesarako balī // VAnigh_345 //	karaBaH dIrGagaH ca-uzwraH % kzamI vesarakaH balI // Va-aniG_345 //
   śārdūlaś citrakāyastu $ vyāghraḥ syāt puṇḍarīkaḥ (?) &	SArdUlaH citrakAyaH-tu $ vyAGraH syAt puNxarIkaH (?) &
   pañcāsyo mṛgarāṭ siṃho % haryakṣaḥ kesarī hariḥ // VAnigh_346 //	paQcAsyaH mRgarAj siMhaH % haryakzaH kesarI hariH // Va-aniG_346 //
   kaṇṭhīravaś ca vijñeyaḥ $ piṅgadṛṣṭir mṛgādanaḥ &	kaNWIravaH ca vijQeyaH $ piFga-dRzwiH mRgAdanaH &
   mṛge kuraṅgavātāyu- % hariṇājinayonayaḥ // VAnigh_347 //	mRge kuraFga-vAta-Ayu % hariNa-ajina-yonayaH // Va-aniG_347 //
   tāmrābho hariṇaḥ kṛṣṇas $ tv eṇas tvakkomalaḥ smṛtaḥ &	tAmra-ABaH hariNaH kRzNaH $ tu eNaH tvak-komalaH smRtaH &
   kṛṣṇasāraś citramṛgaḥ % romaśā camarī smṛtā // VAnigh_348 //	kRzNasAraH citra-mRgaH % romaSA camarI smRtAH // Va-aniG_348 //
   varāhaḥ śūkaraḥ kīṭī $ daṃṣṭrī ghoṇī ca romaśaḥ &	varAhaH SUkaraH kIwI $ daMzwrI GoNI ca romaSaH &
   stabdharomā pṛthuskandhaḥ % kroḍaḥ kolastathā kiriḥ // VAnigh_349 //	stabDa-romA pRTuskanDaH % kroxaH kolaH-taTA kiriH // Va-aniG_349 //
   kapiḥ plavaṃgaplavaga- $ śākhāmṛgavalīmukhāḥ &	kapiH plavaMga-plavaga $ SAKAmRga-valImuKAH &
   markaṭo vānaraḥ kīśaḥ % vanaukāḥ phalabhakṣakaḥ // VAnigh_350 //	markawaH vAnaraH kISaH % vanOkAH PalaBakzakaH // Va-aniG_350 //
   śṛgālo jambukaḥ kroṣṭā $ gomāyur mṛgadhūrtakaḥ &	SRgAlaH jambukaH krozwA $ gomAyuH mRgaDUrtakaH &
   pārāvataḥ kalaravo % gehapakṣī kapotakaḥ // VAnigh_351 //	pArAvataH kala-ravaH % gehapakzI kapotakaH // Va-aniG_351 //
   kṛkavākus tāmracūḍaḥ $ kukkuṭaś caraṇāyudhaḥ &	kRkavAkuH tAmracUxaH $ kukkuwaH caraNAyuDaH &
   mayūro barhiṇo barhī % nīlakaṇṭho bhujaṃgabhuk // VAnigh_352 //	mayUraH barhiNaH barhI % nIlakaNWaH BujaMgaBuj // Va-aniG_352 //
   śikhāvalaḥ śikhī kekī $ kalāpī meghanādinī &	SiKAvalaH SiKI kekI $ kalApI meGanAdinI &
   ulūko vāyasāristu % kauśiko rajanīcaraḥ // VAnigh_353 //	ulUkaH vAyasAriH-tu % kOSikaH rajanIcaraH // Va-aniG_353 //
   kākastu karaṭo 'riṣṭaḥ $ balipuṣṭaḥ sakṛtprajaḥ &	kAkaH-tu karawaH arizwaH $ bali-puzwaH sakRt-prajaH &
   parabhūr balibhug dhvāṅkṣaś % cirajīvī ca vāyasaḥ // VAnigh_354 //	paraBUH baliBuj DvAFkzaH % cirajIvI ca vAyasaH // Va-aniG_354 //
   ekadṛṣṭiś cātmaghoṣaḥ $ droṇakākastu kṛṣṭalaḥ &	eka-dRzwiH ca-Atma-GozaH $ droNakAkaH-tu kRzwalaH &
   caṭakaḥ kalaviṅkaś ca % kuliṅgaś caṭakāpi ca // VAnigh_355 //	cawakaH kalaviFkaH ca % kuliFgaH cawakA-api ca // Va-aniG_355 //
   vijñeyaś carmapathikaḥ $ jātuṣaś carmasāhvayaḥ &	vijQeyaH carmapaTikaH $ jAtuzaH carmasAhvayaH &
   bharadvājo dvijo brāhmo % vyāghrāṭaḥ khañjarīṭakaḥ // VAnigh_356 //	BaradvAjaH dvijaH brAhmaH % vyAGrAwaH KaQjarIwakaH // Va-aniG_356 //
   sāraṅgaḥ khañjanaś caiva $ meghavṛttistu cātakaḥ &	sAraFgaH KaQjanaH ca-eva $ meGavRttiH-tu cAtakaH &
   vanapriyaḥ parabhṛtaḥ % kokilaḥ susvaraḥ pikaḥ // VAnigh_357 //	vanapriyaH paraBRtaH % kokilaH su-svaraH pikaH // Va-aniG_357 //
   gūḍhapāt kacchapaḥ kūrmaḥ $ kulīraḥ karkaṭaḥ smṛtaḥ &	gUXapAd kacCapaH kUrmaH $ kulIraH karkawaH smRtaH &
   śambūko vṛttaśaṅkhaś ca % śaṅkhako mātṛgehakaḥ // VAnigh_358 //	SambUkaH vRttaSaFKaH ca % SaFKakaH mAtR-gehakaH // Va-aniG_358 //
   mīno matsyo 'ṇḍajaś caiva $ jalaukā jalaśāyanaḥ &	mInaH matsyaH aNxajaH ca-eva $ jalOkAH jalaSAyanaH &
   maṇḍūko darduro bhekaḥ % kākāhis toyasarpakaḥ // VAnigh_359 //	maNxUkaH darduraH BekaH % kAkAhiH toya-sarpakaH // Va-aniG_359 //
   sarpaḥ pṛdākurbhujago $ bhujaṃgo 'hir bhujaṃgamaḥ &	sarpaH pRdAkuH-BujagaH $ BujaMgaH ahiH BujaMgamaH &
   āśīviṣo viṣadharaś % cakrī vyālaḥ sarīsṛpaḥ // VAnigh_360 //	ASIvizaH vizaDaraH % cakrI vyAlaH sarIsRpaH // Va-aniG_360 //
   kuṇḍalī gūḍapāc cakṣuḥ $ śravāḥ kākodaraḥ phaṇī &	kuNxalI gUxapAt cakzuH $ SravAH kAkodaraH PaNI &
   darvīkaro dīrghapṛṣṭho % jihmagaḥ pavanāśanaḥ // VAnigh_361 //	darvIkaraH dIrGapRzWaH % jihma-gaH pavanASanaH // Va-aniG_361 //
   lelihāno dandaśūko $ dvijihvaś ca bileśayaḥ &	lelihAnaH dandaSUkaH $ dvijihvaH ca bileSayaH &
   kṛkalāso mayūrādī % kāleyo bahupannagaḥ // VAnigh_362 //	kRkalAsaH mayUra-AdI % kAleyaH bahu-pannagaH // Va-aniG_362 //
   śatapāt saraṭā cakrī $ nakulaḥ sarpabhakṣakaḥ &	SatapAd sarawA cakrI $ nakulaH sarpaBakzakaH &
   nālinī nālahūlīkā % talāṭā sthūladantikā // VAnigh_363 //	nAlinI nAlahUlIkA % talAwA sTUla-dantikAH // Va-aniG_363 //
   ākhūndurur mūṣakaś ca $ vṛkaś ca dūṣakaḥ smṛtaḥ &	AKu-unduruH mUzakaH ca $ vRkaH ca dUzakaH smRtaH &
   chuchundarī rājaputrī % vijñeyā gandhamūṣikā // VAnigh_364 //	CuCundarI rAja-putrI % vijQeyAH ganDamUzikA // Va-aniG_364 //
   purohitā kuḍyamatsyā $ gaurī ca gṛhagodhikā &	purohitA kuxya-matsyA $ gOrI ca gRhagoDikA &
   gaudherakākṛtir godhā % prāgbāhur yugmajihvakaḥ // VAnigh_365 //	gODeraka-AkRtiH goDA % prAc-bAhuH yugmajihvakaH // Va-aniG_365 //
   otur biḍālo mārjāro $ vṛṣadaṃśaka ākhubhuk &	otuH bixAlaH mArjAraH $ vRzadaMSakaH AKuBuj &
   udaṅghā kapijaṅghā tu % lohitāṅgaḥ pipīlakaḥ // VAnigh_366 //	udaFGA kapijaFGA tu % lohita-aFgaH pipIlakaH // Va-aniG_366 //
   gaṇḍūpadā bhūmilatā $ bhūnāgo varṣajālakaḥ &	gaNxUpadA BUmilatA $ BUnAgaH varza-jAlakaH &
   madhuyuto madhukaro % madhuliṭ madhupastathā // VAnigh_367 //	maDu-yutaH maDukaraH % maDulih maDupaH-taTA // Va-aniG_367 //
   dvirephaḥ puṣpaliḍ bhṛṅgaḥ $ ṣaṭpadabhramarāvaliḥ &	dvirePaH puzpalih BRFgaH $ zawpada-Bramara-AvaliH &
   indindiraś cañcarīkaḥ % saraghā madhumakṣikā // VAnigh_368 //	indindiraH caQcarIkaH % saraGAH maDu-makzikAH // Va-aniG_368 //
   lambaromā makṣikā ca $ parā dīpanivāraṇī &	lambaromA makzikA ca $ parA dIpa-nivAraNI &
   pataṃgikā puttikā syāt % daṃśastu vanamakṣikā // VAnigh_369 //	pataMgikA puttikA syAt % daMSaH-tu vanamakzikA // Va-aniG_369 //
   bhṛṅgārī cīrukā cīrī $ jhillikā ghargharasvanā &	BRFgArI cIrukA cIrI $ JillikA GarGara-svanAH &
   pataṃgaḥ śalabho jñeyaḥ % svadyoto jyotiriṅgaṇaḥ // VAnigh_370 //	pataMgaH SalaBaH jQeyaH % sva-dyotaH jyotiriFgaNaH // Va-aniG_370 //
   lulāyo mahiṣo vāha- $ dveṣī kāsarasairibhau &	lulAyaH mahizaH vAha $ dvezI kAsara-sEriBO &
   vanyastu gavayo jñeyaḥ % kakudmān gopatir vṛṣaḥ // VAnigh_371 //	vanyaH-tu gavayaH jQeyaH % kakudmAn gopatiH vRzaH // Va-aniG_371 //
   ukṣān aḍvān balīvardaḥ $ surabhir gopakaḥ smṛtaḥ &	ukzAn axvAn balIvardaH $ suraBiH gopakaH smRtaH &
   sakṛtprasūtā gṛṣṭiḥ syāt % baṣkayaṇy ekahāyanī // VAnigh_372 //	sakRt-prasUtA gRzwiH syAt % bazkayaNI eka-hAyanI // Va-aniG_372 //
   annasāro raso rakta- $ yoniḥ syād dṛḍhadhātukaḥ &	annasAraH rasaH rakta $ yoniH syAt dRXaDAtukaH &
   raktaṃ śoṇaṃ māṃsakaraṃ % śoṇitaṃ kṣatajam asṛk // VAnigh_373 //	raktam SoNam mAMsa-karam % SoNitam kzatajam asRk // Va-aniG_373 //
   palaṃ māṃsaṃ śoṇitotthaṃ $ piśitaṃ kravyam āmiṣam &	palam mAMsam SoNita-utTam $ piSitam kravyam Amizam &
   picchā māṃsodbhavaṃ medo % vasā medaḥsamudbhavā // VAnigh_374 //	picCA mAMsa-udBavam medaH % vasA medaH-samudBavAH // Va-aniG_374 //
   medaḥsambhavam asthi syād $ dehasaṃdhānadhāraṇam &	medaH-samBavam asTi syAt $ deha-saMDAna-DAraNam &
   asthisārastathā majjā % snehasāro 'sthisambhavaḥ // VAnigh_375 //	asTisAraH-taTA majjA % sneha-sAraH asTi-samBavaH // Va-aniG_375 //
   śuklaṃ tejo bījapuṃstve $ reto vīryāntyadhātuke &	Suklam tejaH bIja-puMstve $ retaH vIrya-antya-DAtuke &
   ojastu dhātusāraḥ syāt % saumyo hṛdayadīpanaḥ // VAnigh_376 //	ojaH-tu DAtusAraH syAt % sOmyaH hRdaya-dIpanaH // Va-aniG_376 //
   anilo māruto vāyuḥ $ marutprāṇaḥ prabhañjanaḥ &	anilaH mArutaH vAyuH $ marut-prANaH praBaQjanaH &
   samīraṇo mātariśvā % pavanaś ca sadāgatiḥ // VAnigh_377 //	samIraNaH mAtariSvA % pavanaH ca sadAgatiH // Va-aniG_377 //
   māyuḥ pittaṃ vahnikāntaṃ $ kaphaḥ śleṣmā ca picchilaḥ &	mAyuH pittam vahnikAntam $ kaPaH SlezmA ca picCilaH &
   kardamaḥ paṅkajambālau % mṛtsā mṛtsnā ca mṛttikā // VAnigh_378 //	kardamaH paFkajambAlO % mRtsA mRtsnA ca mRttikA // Va-aniG_378 //
   hasantikāṅgāradhānī $ tailapātraṃ kutūḥ smṛtā &	hasantikA-aFgAra-DAnI $ tEla-pAtram kutUH smRtA &
   pāṣāṇaprastaragrāvo- % -palāśmānaḥ śilā dṛṣat // VAnigh_379 //	pAzANa-prastara-grAvo % -pala-aSmAnaH SilA dRzat // Va-aniG_379 //
   pṛthvī vasuṃdharākhyā ca $ gaur bhūmir medinī mahī &	pRTvI vasuMDarA-AKyA ca $ gOH BUmiH medinI mahI &
   dharā dharitrī dharaṇī % kṣoṇī jyā kāśyapī kṣitiḥ // VAnigh_380 //	DarA DaritrI DaraNI % kzoNI jyA kASyapI kzitiH // Va-aniG_380 //
   sarvaṃsahā vasumatī $ vasudhorvyacalā smṛtā &	sarvaMsahA vasumatI $ vasuDA-urvI-acalA smRtA &
   viśvambharā rasānantā % gotrā kuḥ pṛthivī kṣamā // VAnigh_381 //	viSvamBarA rasa-anantA % gotrA kuH pRTivI kzamA // Va-aniG_381 //
   avanī bhūtadhātrī ca $ vipulā sāgarāmbarā &	avanI BUtaDAtrI ca $ vipulA sAgara-ambarAH &
   sūro haṃso ravir bhānuḥ % pataṃgo 'rko divākaraḥ // VAnigh_382 //	sUraH haMsaH raviH BAnuH % pataMgaH arkaH divAkaraH // Va-aniG_382 //
   pradyotano dinamaṇiḥ $ khadyoto dyumaṇistathā // VAnigh_383 //	pradyotanaH dinamaNiH $ KadyotaH dyumaNiH-taTA // Va-aniG_383 //
   bradhnaḥ prabhākaro bhāsvān $ dvādaśātmā divākaraḥ &	braDnaH praBAkaraH BAsvAn $ dvAdaSa-AtmA divAkaraH &
   savitā ca sahasrāṃśur % mārtaṇḍaś ca vikartanaḥ // VAnigh_384 //	savitA ca sahasrAMSuH % mArtaNxaH ca vikartanaH // Va-aniG_384 //
   karmasākṣī jagaccakṣur $ aṃśumālī trayītanuḥ &	karma-sAkzI jagaccakzuH $ aMSumAlI trayI-tanuH &
   vibhāvasur grahapatis % tviṣāṃpatir aharpatiḥ // VAnigh_385 //	viBAvasuH grahapatiH % tvizAMpatiH aharpatiH // Va-aniG_385 //
   śītāṃśur induś candramāḥ $ śaśī candro niśākaraḥ &	SItAMSuH induH candramAH $ SaSI candraH niSAkaraH &
   vidhuḥ sudhāṃśuḥ śubhrāṃśur % oṣadhīśo niśāpatiḥ // VAnigh_386 //	viDuH suDAMSuH SuBrAMSuH % ozaDISaH niSApatiH // Va-aniG_386 //
   abjo jaivātṛkaḥ somo $ glaur mṛgāṅkaḥ kalānidhiḥ &	ap-jaH jEvAtRkaH somaH $ glOH mRgAFkaH kalAniDiH &
   dvijarājaḥ śaśadharo % nakṣatreśaḥ kṣapākaraḥ // VAnigh_387 //	dvija-rAjaH SaSaDaraH % nakzatreSaH kzapA-karaH // Va-aniG_387 //
   aṅgārakaḥ kujo bhaumo $ rauhiṇeyo budho dvijaḥ &	aFgArakaH kujaH BOmaH $ rOhiNeyaH buDaH dvijaH &
   gurur bṛhaspatir mantrī % cośanā bhārgavaḥ kaviḥ // VAnigh_388 //	guruH bRhaspatiH mantrI % ca-uSanA BArgavaH kaviH // Va-aniG_388 //
   śaniḥ paṅguḥ sūryaputraḥ $ saiṃhikeyo vidhuṃtudaḥ &	Sanis paFguH sUryaputraH $ sEMhikeyaH viDuMtudaH &
   tamastu rāhuḥ svarbhānuḥ % ketustu dhvajanāmakaḥ // VAnigh_389 //	tamaH-tu rAhuH svarBAnuH % ketuH-tu Dvaja-nAmakaH // Va-aniG_389 //
   uḍu nakṣatramṛkṣaṃ bhaṃ $ doṣā naktaṃ niśā kṣapā &	uxu nakzatram-Rkzam Bam $ dozAH naktam niSA kzapA &
   kṣaṇadā yāminī rātris % triyāmā coravallabhā // VAnigh_390 //	kzaNadA yAminI rAtriH % triyAmA cora-vallaBAH // Va-aniG_390 //
   dināhanī vāsaraś ca $ ghasro bhāskaravallabhaḥ &	dina-ahanI vAsaraH ca $ GasraH BAskaravallaBaH &
   śambhur īśaḥ paśupatiḥ % śivaḥ śūlī maheśvaraḥ // VAnigh_391 //	SamBuH ISaH paSupatiH % SivaH SUlI maheSvaraH // Va-aniG_391 //
   īśvaraḥ śarvaḥ īśānaḥ $ śaṃkaraś candraśekharaḥ &	ISvaraH SarvaH ISAnaH $ SaMkaraH candraSeKaraH &
   bhūteśaḥ khaṇḍaparaśur % girīśo giriśo mṛḍaḥ // VAnigh_392 //	BUteSaH KaNxaparaSuH % girISaH giriSaH mRxaH // Va-aniG_392 //
   mṛtyuṃjayaḥ kṛttivāsāḥ $ pinākī pramathādhipaḥ &	mRtyuMjayaH kRttivAsAH $ pinAkI pramaTa-aDipaH &
   ugraḥ kapardī śrīkaṇṭhaḥ % śitikaṇṭhaḥ kapālabhṛt // VAnigh_393 //	ugraH kapardI SrIkaNWaH % SitikaNWaH kapAlaBRt // Va-aniG_393 //
   vāmadevo mahādevo $ virūpākṣastrilocanaḥ &	vAmadevaH mahAdevaH $ virUpAkzaH-trilocanaH &
   kṛśānuretāḥ sarvajño % dhūrjaṭir nīlalohitaḥ // VAnigh_394 //	kRSa-anuretAH sarvajQaH % DUrjawiH nIlalohitaH // Va-aniG_394 //
   haraḥ smaraharo bhargas $ tryambakastripurāntakaḥ &	haraH smara-haraH BargaH $ tryambakaH-tripurAntakaH &
   gaṅgādharo 'ndhakaripuḥ % kratudhvaṃsī vṛṣadhvajaḥ // VAnigh_395 //	gaFgADaraH anDakaripuH % kratu-DvaMsI vRzaDvajaH // Va-aniG_395 //
   vyomakeśo bhavo bhīmaḥ $ sthāṇū rudra umāpatiḥ &	vyomakeSaH BavaH BImaH $ sTANuH rudraH umApatiH &
   umā kātyāyanī gaurī % kālī haimavatīśvarī // VAnigh_396 //	umA kAtyAyanI gOrI % kAlI hEmavatI-ISvarI // Va-aniG_396 //
   śivāparṇā bhavānī ca $ pārvatī caṇḍikāmbikā &	SivAparNA BavAnI ca $ pArvatI caNxikA-ambikA &
   ajo harir vāsudevo % daityāriḥ puruṣottamaḥ // VAnigh_397 //	ajaH hariH vAsudevaH % dEtyAriH puruzottamaH // Va-aniG_397 //
   viṣṇur nārāyaṇaḥ kṛṣṇo $ vaikuṇṭho viṣṭaraśravāḥ &	vizNuH nArAyaNaH kRzNaH $ vEkuNWaH vizwaraSravAH &
   dāmodaro hṛṣīkeśaḥ % keśavo mādhavaḥ svabhūḥ // VAnigh_398 //	dAmodaraH hRzIkeSaH % keSavaH mADavaH svaBUH // Va-aniG_398 //
   pītāmbaro 'cyutaḥ śārṅgī $ viṣvakseno janārdanaḥ &	pIta-ambaraH acyutaH SArFgI $ vizvaksenaH janArdanaH &
   upendra indrāvarajaś % cakrapāṇiś caturbhujaḥ // VAnigh_399 //	upendraH indrAvarajaH % cakrapANiH catur-BujaH // Va-aniG_399 //
   lakṣmī padmālayā padmā $ kamalā śrīr haripriyā &	lakzmI padmAlayA padmA $ kamalA SrIH haripriyA &
   indirā lokamātā mā % kṣīrābdhitanayā ramā // VAnigh_400 //	indirAH loka-mAtA mA % kzIrAbDi-tanayA ramAH // Va-aniG_400 //
   netraṃ pādaḥ śiphā cāṅghriḥ $ mūlaṃ śālūkakandakau &	netram pAdaH SiPA ca-aFGriH $ mUlam SAlUka-kandakO &
   tvak carma valkalaṃ proktaṃ % viṭapaḥ śikharaṃ śiraḥ // VAnigh_401 //	tvac carma valkalam proktam % viwapaH SiKaram SiraH // Va-aniG_401 //
   pattraṃ dalaṃ chadaḥ parṇaṃ $ palāśaś chadanaṃ tathā &	pattram dalam CadaH parNam $ palASaH Cadanam taTA &
   pallavastu pravālaḥ syāt % mukulaṃ korakaṃ smṛtam // VAnigh_402 //	pallavaH-tu pravAlaH syAt % mukulam korakam smRtam // Va-aniG_402 //
   kalikā jālakaś caiva $ korakakṣārakuḍmalāḥ &	kalikA jAlakaH ca-eva $ koraka-kzAra-kuxmalAH &
   prasūnaṃ sumanaḥ sūnaṃ % puṣpaṃ ca kusumaṃ smṛtam // VAnigh_403 //	prasUnam sumanaH sUnam % puzpam ca kusumam smRtam // Va-aniG_403 //
   āmaṃ śalāṭusaṃjñaṃ tu $ pakvaṃ phalamudāhṛtam &	Amam SalAwu-saMjQam tu $ pakvam Palam-udAhRtam &
   makarandaḥ puṣparasaḥ % dalottho dalajo rasaḥ // VAnigh_404 //	makarandaH puzparasaH % dala-utTaH dala-jaH rasaH // Va-aniG_404 //
   auṣadhaṃ bheṣajaṃ pathyam $ agadaṃ ca bhiṣagjitam &	OzaDam Bezajam paTyam $ agadam ca Bizagjitam &
   kriyā cikitsitaṃ śastraṃ % prāyaś cittaṃ samāhitam // VAnigh_405 //	kriyA cikitsitam Sastram % prAyas cittam samAhitam // Va-aniG_405 //
   rogahāro 'gadaṃkāro $ bhiṣag vaidyaś cikitsakaḥ &	roga-hAraH agadaMkAraH $ Bizaj vEdyaH cikitsakaH &
   rogajño jīvano vidvān % āyur vedī gadāntakaḥ // VAnigh_406 //	roga-jQaH jIvanaH vidvAn % AyuH vedI gadAntakaH // Va-aniG_406 //
   śītāṃśvamṛtalakṣmībhir $ juṣṭo 'sau dhanasaṃyutaḥ &	SItAMSu-amRta-lakzmIBiH $ juzwaH asO Dana-saMyutaH &
   kṣīrodhijaś cābjayoniḥ % pāyād dhanvantaristathā // VAnigh_407 //	kzIroDijaH ca-abjayoniH % pAyAt DanvantariH-taTA // Va-aniG_407 //
   nāsatyāv aśvinau dasrāv $ āśvineyau ca tāv ubhau &	nAsatyO aSvinO dasrO $ ASvineyO ca tO uBO &
   rakṣatāṃ devabhiṣajau % vaidyaputrān svarociṣā // VAnigh_408 //	rakzatAm deva-BizajO % vEdya-putrAn sva-rocizA // Va-aniG_408 //
