   śrīrastu	SrIH astu
   jarjare tu vinikṣiptaṃ vajraṃ daityanibarhaṇam /	jarjare tu vinikziptam vajram dEtya nibarhaNam /
   tatparvasu vinikṣiptāḥ surendrā hyamitaujasaḥ // BhN_1.92 //	tad parvasu vinikziptAH sura indrAH hi amita ojasaH // Bhz _1.92 //
   śiraḥparvasthito brahmā dvitīye śaṅkarastathā /	SiraH parva sTitaH brahmA dvitIye SaFkaraH taTA /
   tṛtīye ca sthito viṣṇuścaturthe skanda eva ca // BhN_1.93 //	tRtIye ca sTitaH vizNuH caturTe skandaH eva ca // Bhz _1.93 //
   pañcame ca mahānāgāḥ śeṣavāsukitakṣakāḥ /	paQcame ca mahA nAgAH Seza vAsuki takzakAH /
   evaṃ vighnavināśāya sthāpitā jarjare surāḥ // BhN_1.94 //	evam viGna vinASAya sTApitAH jarjare surAH // Bhz _1.94 //
   raṅgapīṭhasya madhye tu svayaṃ brahmā pratiṣṭhitaḥ /	raFgapIWasya maDye tu svayam brahmA pratizWitaH /
   iṣṭyarthaṃ raṅgamadhye tu kriyate puṣpamokṣaṇam // BhN_1.95 //	izwi arTam raFga maDye tu kriyate puzpa mokzaNam // Bhz _1.95 //
   pātālavāsino ye ca yakṣaguhyakapannagāḥ /	pAtAla vAsinaH ye ca yakza guhyaka pannagAH /
   adhastādraṅgapīṭhasya rakṣaṇe te niyojitāḥ // BhN_1.96 //	aDastAt raFga pIWasya rakzaNe te niyojitAH // Bhz _1.96 //
   nāyakaṃ rakṣatīndrastu nāyikāṃ ca sarasvatī /	nAyakam rakzati indraH tu nAyikAm ca sarasvatI /
   vidūṣakamathauṅkāraḥ śeśāstu prakṛtirharaḥ // BhN_1.97 //	vidUzakam aTa OFkAraH SeSAH tu prakRtiH haraH // Bhz _1.97 //
   yānyetāni niyuktāni daivatānīha rakṣaṇe /	yAni etAni niyuktAni dEvatAni iha rakzaNe /
   etānyevādhidaivāni bhaviṣyantītyuvāca saḥ // BhN_1.98 //	etAni eva aDidEvAni Bavizyanti iti uvAca saH // Bhz _1.98 //
   etasminnantare devaiḥ sarvairuktaḥ pitāmahaḥ /	etasmin= antare devEH sarvEH uktaH pitAmahaH /
   sāmnā tāvadime vighnāḥ sthāpyantāṃ vacasā tvayā // BhN_1.99 //	sAmnA tAvat ime viGnAH sTApyantAm vacasA tvayA // Bhz _1.99 //
   pūrvaṃ sāmaṃ prayoktavyaṃ dvitīyaṃ dānameva ca /	pUrvam sAmam prayoktavyam dvitIyam dAnam eva ca /
   tayorupari bhedastu tato daṇḍaḥ prayujyate // BhN_1.100 //	tayoH upari BedaH tu tatas daNxaH prayujyate // Bhz _1.100 //
   devānāṃ vacanaṃ śrutvā brahmā vighnānuvāca ha /	devAnAm vacanam SrutvA brahmA viGnAn uvAca ha /
   kasmādbhavanto nāṭyasya vināśāya samutthitāḥ // BhN_1.101 //	kasmAt BavantaH nAwyasya vinASAya samutTitAH // Bhz _1.101 //
   brahmaṇo vacanaṃ śrutvā virūpākṣo 'bravīdvacaḥ /	brahmaNaH vacanam SrutvA virUpAkzaH abravIt vacaH /
   daityairvighnagaṇaiḥ sārdhaṃ sāmapūrvamidaṃ tataḥ // BhN_1.102 //	dEtyEH viGna gaNEH sArDam sAma pUrvam idam tatas // Bhz _1.102 //
   yo 'yaṃ bhagavatā sṛṣṭo nāṭyavedaḥ surecchayā /	yaH ayam BagavatA sRzwaH nAwya vedaH sura icCayA /
   pratyādeśo 'yamasmākaṃ surārthaṃ bhavatā kṛtaḥ // BhN_1.103 //	pratyAdeSaH ayam asmAkam sura arTam BavatA kRtaH // Bhz _1.103 //
   tannaitadevaṃ kartavyaṃ tvayā lokapitāmaha /	tat na etat evam kartavyam tvayA lokapitAmaha /
   yathā devastathā daityāstvattaḥ sarve vinirgatāḥ // BhN_1.104 //	yaTA devaH taTA dEtyAH tvattaH sarve vinirgatAH // Bhz _1.104 //
   vighnānāṃ vacanaṃ śrutvā brahmā vacanamabravīt /	viGnAnAm vacanam SrutvA brahmA vacanam abravIt /
   alaṃ vo manyunā daityā viṣādaṃ tyajatānaghāḥ // BhN_1.105 //	alam vaH manyunA dEtyAH vizAdam tyajata anaGAH // Bhz _1.105 //
   bhavatāṃ devatānāṃ ca śubhāśubhavikalpakaḥ /	BavatAm devatAnAm ca SuBa aSuBa vikalpakaH /
   karmabhāvānvayāpekṣī nāṭyavedo mayā kṛtaḥ // BhN_1.106 //	karma BAva anvaya apekzI nAwya vedaH mayA kRtaH // Bhz _1.106 //
   naikāntato 'tra bhavatāṃ devānāṃ cānubhāvanam /	na ekAntataH atra BavatAm devAnAm ca anuBAvanam /
   trailokyāsyāsya sarvasya nāṭyaṃ bhāvānukīrtanam // BhN_1.107 //	trElokya asya asya sarvasya nAwyam BAva anukIrtanam // Bhz _1.107 //
   kvaciddharmaḥ kvacitkrīḍā kvacidarthaḥ kvacicchamaḥ /	kvacid DarmaH kvacid krIxA kvacid arTaH kvacid SamaH /
   kvaciddhāsyaṃ kvacidyuddhaṃ kvacitkāmaḥ kvacidvadhaḥ // BhN_1.108 //	kvacid hAsyam kvacid yudDam kvacid kAmaH kvacid vaDaH // Bhz _1.108 //
   dharmo dharmapravṛttānāṃ kāmaḥ kāmopasevinām /	DarmaH Darma pravRttAnAm kAmaH kAma upasevinAm /
   nigraho durvinītānāṃ vinītānāṃ damakriyā // BhN_1.109 //	nigrahaH durvinItAnAm vinItAnAm dama kriyAH // Bhz _1.109 //
   klībānāṃ dhārṣṭyajananamutsāhaḥ śūramāninām /	klIbAnAm DArzwya jananam utsAhaH SUra mAninAm /
   abudhānāṃ vibodhaśca vaiduṣyaṃ viduṣāmapi // BhN_1.110 //	abuDAnAm viboDaH ca vEduzyam viduzAm api // Bhz _1.110 //
   īśvarāṇāṃ vilāsaśca sthairyaṃ duḥkhārditasya ca /	ISvarANAm vilAsaH ca sTEryam duHKa arditasya ca /
   arthopajīvināmartho dhṛtirudvegacetasām // BhN_1.111 //	arTa upajIvinAm arTaH DRtiH udvega cetasAm // Bhz _1.111 //
   nānābhāvopasampannaṃ nānāvasthāntarātmakam /	nAnA BAva upasampannam nAnA avasTA antarAtmakam /
   lokavṛttānukaraṇaṃ nāṭyametanmayā kṛtam // BhN_1.112 //	loka vRtta anukaraNam nAwyam etat mayA kRtam // Bhz _1.112 //
   uttamādhamamadhyānāṃ narāṇāṃ karmasaṃśrayam /	uttama aDama maDyAnAm narANAm karma saMSrayam /
   hitopadeśajananaṃ dhṛtikrīḍāsukhādikṛt // BhN_1.113 //	hita upadeSa jananam DRti krIxA suKa Adi kRt // Bhz _1.113 //
   etadraseṣu bhāveṣu sarvakarmakriyāsvatha /	etad rasezu BAvezu sarva karma kriyAsu aTa /
   sarvopadeśajananaṃ nāṭyaṃ loke bhaviṣyati // BhN_1.113* //	sarva upadeSa jananam nAwyam loke Bavizyati // Bhz _1.113* //
   duḥkhārtānāṃ śramārtānāṃ śokārtānāṃ tapasvinām /	duHKa ArtAnAm Srama ArtAnAm Soka ArtAnAm tapasvinAm /
   viśrāntijananaṃ kāle nāṭyametadbhaviṣyati // BhN_1.114 //	viSrAnti jananam kAle nAwyam etat Bavizyati // Bhz _1.114 //
   dharmyaṃ yaśasyamāyuṣyaṃ hitaṃ buddhivivardhanam /	Darmyam yaSasyam Ayuzyam hitam budDi vivarDanam /
   lokopadeśajananaṃ nāṭyametadbhaviṣyati // BhN_1.115 //	loka upadeSa jananam nAwyam etat Bavizyati // Bhz _1.115 //
   na tajjñānaṃ na tacchilpaṃ na sā vidyā na sā kalā /	na tat jQAnam na tat Silpam na sA vidyA na sA kalA /
   nāsau yogo na tatkarma nāṭye 'smin yanna dṛśyate // BhN_1.116 //	na asO yogaH na tat karma nAwye asmin yat na dRSyate // Bhz _1.116 //
   tannātra manyuḥ kartavyo bhavadbhiramarānprati /	tat na atra manyuH kartavyaH BavadBiH amarAn prati /
   saptadvīpānukaraṇaṃ nāṭyametadbhaviṣyati // BhN_1.117 //	sapta dvIpA anukaraNam nAwyam etat Bavizyati // Bhz _1.117 //
   yenānukaraṇaṃ nāṭyametattadyanmayā kṛtam // BhN_1.117* //	yena anukaraNam nAwyam etat tat yat mayA kRtam // Bhz _1.117* //
   devānāmasurāṇāṃ ca rājñāmatha kuṭumbinām /	devAnAm asurANAm ca rAjQAm aTa kuwumbinAm /
   brahmarṣīṇāṃ ca vijñeyaṃ nāṭyaṃ vṛttāntadarśakam // BhN_1.118 //	brahmarzINAm ca vijQeyam nAwyam vRttAnta darSakam // Bhz _1.118 //
   yo 'yaṃ svabhāvo lokasya sukhaduḥkhasamanvitaḥ /	yaH ayam svaBAvaH lokasya suKa duHKa samanvitaH /
   so 'ṅgādyabhinayopeto nāṭyamityabhidhīyate // BhN_1.119 //	saH aFga Adi aBinaya upetaH nAwyam iti aBiDIyate // Bhz _1.119 //
   vedavidyetihāsānāmākhyānaparikalpanam /	veda vidyA itihAsAnAm AKyAna parikalpanam /
   vinodakaraṇaṃ loke nāṭyametadbhaviṣyati // BhN_1.119* //	vinoda karaNam loke nAwyam etat Bavizyati // Bhz _1.119* //
   śrutismṛtisadācārapariśeṣārthakalpanam /	Sruti smRti sat AcAra pariSeza arTa kalpanam /
   vinodajananaṃ loke nāṭyametadbhaviṣyati // BhN_1.119** //	vinoda jananam loke nAwyam etat Bavizyati // Bhz _1.119** //
   etasminnantare devān sarvānāha pitāmahaḥ /	etasmin= antare devAn sarvAn Aha pitAmahaH /
   kriyatāmadya vidhivadyajanaṃ nāṭyamaṇḍape // BhN_1.120 //	kriyatAm adya viDivat yajanam nAwya maNxape // Bhz _1.120 //
   balipradānairhomaiśca mantrauṣadhisamanvitaiḥ /	bali pradAnEH homEH ca mantra ozaDi samanvitEH /
   bhojyairbhakṣaiśca pānaiśca baliḥ samupakalpatām // BhN_1.121 //	BojyEH BakzEH ca pAnEH ca baliH samupakalpatAm // Bhz _1.121 //
   martyalokagatāḥ sarve śubhāṃ pūjāmavāpsyatha /	martya loka gatAH sarve SuBAm pUjAm avApsyaTa /
   apūjayitvā raṅgaṃ tu naiva prekṣāṃ pravartayet // BhN_1.122 //	apUjayitvA raFgam tu na eva prekzAm pravartayet // Bhz _1.122 //
   apūjayitvā raṅgaṃ tu yaḥ prekṣāṃ kalpayiṣyati /	apUjayitvA raFgam tu yaH prekzAm kalpayizyati /
   niṣphalaṃ tasya tat jñānaṃ tiryagyoniṃ ca yāsyati // BhN_1.123 //	nizPalam tasya tat jQAnam tiryagyonim ca yAsyati // Bhz _1.123 //
   yajñena saṃmitaṃ hyedadraṅgadaivatapūjanam /	yajQena saMmitam hi edat raFga dEvata pUjanam /
   tasmātsarvaprayatnena kartavyaṃ nāṭyayoktṛbhiḥ // BhN_1.124 //	tasmAt sarva prayatnena kartavyam nAwya yoktRBiH // Bhz _1.124 //
   nartako 'rthapatirvāpi yaḥ pūjāṃ na kariṣyati /	nartakaH arTapatiH vA api yaH pUjAm na karizyati /
   na kārayiṣyantyanyairvā prāpnotyapacayaṃ tu saḥ // BhN_1.125 //	na kArayizyanti anyEH vA prApnoti apacayam tu saH // Bhz _1.125 //
   yathāvidhiṃ yathādṛṣṭaṃ yastu pūjāṃ kariṣyati /	yaTAviDim yaTAdRzwam yaH tu pUjAm karizyati /
   sa lapsyate śubhānarthān svargalokaṃ ca yāsyati // BhN_1.126 //	sa lapsyate SuBAn arTAn svarga lokam ca yAsyati // Bhz _1.126 //
   evamuktvā tu bhagavāndruhiṇaḥ sahadevataiḥ /	evam uktvA tu BagavAn druhiNaH saha devatEH /
   raṅgapūjāṃ kuruśveti māmevaṃ samacodayat // BhN_1.127 //	raFga pUjAm kuruSva iti mAm evam samacodayat // Bhz _1.127 //
   iti bhāratīye nāṭyaśāstre nāṭyotpattirnāma prathamo 'dhyāyaḥ	iti BAratIye nAwya SAstre nAwyotpattiH nAma praTamaH aDyAyaH
   atha bhāratīye nāṭyaśāstre dvitīyo 'dhyāyaḥ	aTa BAratIye nAwya SAstre dvitIyaH aDyAyaH
   bharatasya vacaḥ śrutvā papracchurmunayastataḥ /	Baratasya vacaH SrutvA papracCuH munayaH tatas /
   bhagavan śrotumicchāmo yajanaṃ raṅgasaṃśrayam // BhN_2.1 //	Bagavan Srotum icCAmaH yajanam raFga saMSrayam // Bhz _2.1 //
   atha vā yā kriyāstatra lakṣaṇaṃ yacca pūjanam /	aTa vA yA kriyAH tatra lakzaNam yat ca pUjanam /
   bhaviṣyadbhirnaraiḥ kāryaṃ kathaṃ tannāṭyaveśmani // BhN_2.2 //	BavizyadBiH narEH kAryam kaTam tat nAwya veSmani // Bhz _2.2 //
   ihādirnāṭyayogasya nāṭyamaṇḍapa eva hi /	iha AdiH nAwya yogasya nAwya maNxapaH eva hi /
   tasmāttasyaiva tāvattvaṃ lakṣaṇaṃ vaktumarhasi // BhN_2.3 //	tasmAt tasya eva tAvat tvam lakzaNam vaktum arhasi // Bhz _2.3 //
   teṣāṃ tu vacanaṃ śrutvā munīnāṃ bharato 'bravīt /	tezAm tu vacanam SrutvA munInAm BarataH abravIt /
   lakṣaṇaṃ pūjanaṃ caiva śrūyatāṃ nāṭyaveśmanaḥ // BhN_2.4 //	lakzaNam pUjanam ca eva SrUyatAm nAwya veSmanaH // Bhz _2.4 //
   divyānāṃ mānasī sṛṣṭirgṛheṣūpavaneṣu ca /	divyAnAm mAnasI sRzwiH gRhezu upavanezu ca /
   (yathā bhāvābhinirvartyāḥ sarve bhāvāstu mānuṣāḥ) /	(yaTA BAva aBinirvartyAH sarve BAvAH tu mAnuzAH) /
   narāṇāṃ yatnataḥ kāryā lakṣaṇābhihitā kriyā // BhN_2.5 //	narANAm yatnatas kAryA lakzaNa aBihitA kriyAH // Bhz _2.5 //
   śrūyatāṃ tadyathā yatra kartavyo nāṭyamaṇḍapaḥ /	SrUyatAm tat yaTA yatra kartavyaH nAwya maNxapaH /
   tasya vāstu ca pūjā ca yathā yojyā prayatnataḥ // BhN_2.6 //	tasya vA astu ca pUjA ca yaTA yojyA prayatnataH // Bhz _2.6 //
   iha prekṣyāgṛhaṃ dṛṣṭvā dhīmatā viśvakarmaṇā /	iha prekzya agRham dRzwvA DImatA viSvakarmaNA /
   trividhaḥ sanniveśaśca śāstrataḥ parikalpitaḥ // BhN_2.7 //	triviDaH sanniveSaH ca SAstrataH parikalpitaH // Bhz _2.7 //
   vikṛṣṭaścaturaśraśca tryaśraścaiva tu maṇḍapaḥ /	vikRzwaH caturaSraH ca tryaSraH ca eva tu maNxapaH /
   teṣāṃ trīṇi pramāṇāni jyeṣṭhaṃ madhyaṃ tathā'varam // BhN_2.8 //	tezAm trINi pramANAni jyezWam maDyam taTA avaram // Bhz _2.8 //
   pramāṇameṣāṃ nirdiṣṭaṃ hastadaṇḍasamāśrayam /	pramANam ezAm nirdizwam hasta daNxa samASrayam /
   śataṃ cāṣṭau catuḥṣaṣṭirhastā dvātriṃśadeva ca // BhN_2.9 //	Satam ca azwO catuHzazwiH hastA dvAtriMSat eva ca // Bhz _2.9 //
   aṣṭādhikaṃ śataṃ jyeṣṭhaṃ catuḥṣaṣṭistu madhyamam /	azwa aDikam Satam jyezWam catuHzazwiH tu maDyamam /
   kanīyastu tathā veśma hastā dvātriṃśadiṣyate // BhN_2.10 //	kanIyaH tu taTA veSma hastA dvAtriMSat izyate // Bhz _2.10 //
   devānāṃ tu bhavejjyeṣṭhaṃ nṛpāṇāṃ madhyamaṃ bhavet /	devAnAm tu Bavet jyezWam nRpANAm maDyamam Bavet /
   śeṣāṇāṃ prakṛtīnāṃ tu kanīyaḥ saṃvidhīyate // BhN_2.11 //	SezANAm prakRtInAm tu kanIyaH saMviDIyate // Bhz _2.11 //
   prekṣāgṛhāṇāṃ sarveṣāṃ praśastaṃ madhyamaṃ smṛtam /	prekzA gRhANAm sarvezAm praSastam maDyamam smRtam /
   tatra pāṭhyaṃ ca geyaṃ ca sukhaśrāvyataraṃ bhavet // BhN_2.11* //	tatra pAWyam ca geyam ca suKa SrAvyataram Bavet // Bhz _2.11* //
   prekṣāgṛhāṇāṃ sarveṣāṃ triprakāro vidhiḥ smṛtaḥ /	prekzA gRhANAm sarvezAm tri prakAraH viDiH smRtaH /
   vikṛṣṭaścaturasraśca tryasraścaiva prayoktṛbhiḥ // BhN_2.11** //	vikRzwaH caturasraH ca tri asraH ca eva prayoktRBiH // Bhz _2.11** //
   kanīyastu smṛtaṃ tryasraṃ caturasraṃ tu madhyamam /	kanIyaH tu smRtam tri asram catur asram tu maDyamam /
   jyeṣṭhaṃ vikṛṣṭaṃ vijñeyaṃ nāṭyavedaprayoktṛbhiḥ // BhN_2.11*** //	jyezWam vikRzwam vijQeyam nAwya veda prayoktRBiH // Bhz _2.11*** //
   pramāṇaṃ yacca nirdiṣṭaṃ lakṣaṇaṃ viśvakarmaṇā /	pramANam yat ca nirdizwam lakzaNam viSvakarmaNA /
   prekṣāgṛhāṇāṃ sarveṣāṃ taccaiva hi nibodhata // BhN_2.12 //	prekzA gRhANAm sarvezAm tat ca eva hi niboData // Bhz _2.12 //
   aṇū rajaśca vālaśca likṣā yūkā yavastathā /	aNuH rajaH ca vAlaH ca likzAH yUkAH yavaH taTA /
   aṅgulaṃ ca tathā hasto daṇḍaścaiva prakīrtitaḥ // BhN_2.13 //	aFgulam ca taTA hastaH daNxaH ca eva prakIrtitaH // Bhz _2.13 //
   aṇavo 'ṣṭau rajaḥ proktaṃ tānyaṣṭau vāla ucyate /	aNavaH azwO rajaH proktam tAni azwO vAlaH ucyate /
   vālāstvaṣṭau bhavellikṣā yūkā likṣāṣṭakaṃ bhavet // BhN_2.14 //	vAlAH tu azwO Bavet likzA yUkA likza azwakam Bavet // Bhz _2.14 //
   yūkāstvaṣṭau yavo jñeyo yavāstvaṣṭau tathāṅgulam /	yUkAH tu azwO yavaH jQeyaH yavAH tu azwO taTA aFgulam /
   aṅgulāni tathā hastaścaturviṃśatirucyate // BhN_2.15 //	aFgulAni taTA hastaH caturviMSatiH ucyate // Bhz _2.15 //
   caturhasto bhaveddaṇḍo nirdiṣṭastu pramāṇataḥ /	catur hastaH Bavet daNxaH nirdizwaH tu pramANataH /
   anenaiva pramāṇena vakṣyāmyeṣāṃ vinirṇayam // BhN_2.16 //	anena eva pramANena vakzyAmi ezAm vinirNayam // Bhz _2.16 //
   catuḥṣaṣṭikarānkuryāddīrghatvena tu maṇḍapam /	catuHzazwi karAn kuryAt dIrGa tvena tu maNxapam /
   dvātriṃśataṃ ca vistāranmartyānāṃ yo bhavediha // BhN_2.17 //	dvAtriMSatam ca vistArat martyAnAm yaH Bavet iha // Bhz _2.17 //
   ata ūrdhvaṃ na kartavyaḥ kartṛbhirnāṭyamaṇḍapaḥ /	atas UrDvam na kartavyaH kartRBiH nAwya maNxapaH /
   yasmādavyaktabhāvaṃ hi tatra nāṭyaṃ vrajediti // BhN_2.18 //	yasmAt avyakta BAvam hi tatra nAwyam vrajet iti // Bhz _2.18 //
   maṇḍape viprakṛṣṭe tu pāṭhyamuccāritasvaram /	maNxape viprakRzwe tu pAWyam uccArita svaram /
   anissaraṇadharmatvādvisvaratvaṃ bhṛśaṃ vrajet // BhN_2.19 //	anissaraNa Darma tvAt visvara tvam BRSam vrajet // Bhz _2.19 //
   yaścāpyāsyagato bhāvo nānādṛṣṭisamanvitaḥ	yaH ca api Asya gataH BAvaH nAnA dRzwi samanvitaH
   sa veśmanaḥ prakṛṣṭatvād vrajedavyaktatāṃ parām // BhN_2.20 //	sa veSmanaH prakRzwa tvAt vrajet avyakta tAm parAm // Bhz _2.20 //
   prekṣāgṛhāṇāṃ sarveṣāṃ tasmānmadhyamamiṣyate /	prekzA gRhANAm sarvezAm tasmAt maDyamam izyate /
   yāvatpāṭhyaṃ ca geyaṃ ca tatra śravyataraṃ bhavet // BhN_2.21 //	yAvat pAWyam ca geyam ca tatra Sravyataram Bavet // Bhz _2.21 //
   prekṣāgṛhāṇāṃ sarveṣāṃ triprakāro vidhiḥ smṛtaḥ /	prekzA gRhANAm sarvezAm tri prakAraH viDiH smRtaH /
   vikṛṣṭaścaturasraśca tryasraścaiva prayoktṛbhiḥ // BhN_2.21* //	vikRzwaH caturasraH ca tri asraH ca eva prayoktRBiH // Bhz _2.21* //
   kanīyastu smṛtaṃ tryasraṃ caturasraṃ tu madhyamam /	kanIyaH tu smRtam tri asram catur asram tu maDyamam /
   jyeṣṭhaṃ vikṛṣṭaṃ vijñeyaṃ nāṭyavedaprayoktṛbhiḥ // BhN_2.21** //	jyezWam vikRzwam vijQeyam nAwya veda prayoktRBiH // Bhz _2.21** //
   devānāṃ mānasī sṛṣṭirgṛheṣūpavaneṣu ca /	devAnAm mAnasI sRzwiH gRhezu upavanezu ca /
   yatnabhāvābhiniṣpannāḥ sarve bhāvā hi mānuṣā // BhN_2.22 //	yatna BAva aBinizpannAH sarve BAvAH hi mAnuzAH // Bhz _2.22 //
   tasmāddevakṛtairbhāvairna vispardheta mānuṣaḥ /	tasmAt deva kRtEH BAvEH na visparDeta mAnuzaH /
   mānuṣasya tu gehasya sampravakṣyāmi lakṣaṇam // BhN_2.23 //	mAnuzasya tu gehasya sampravakzyAmi lakzaNam // Bhz _2.23 //
   bhūmervibhāgaṃ pūrvaṃ tu parīkṣeta prayojaka /	BUmeH viBAgam pUrvam tu parIkzeta prayojakaH /
   tato vāstu pramāṇena prārabheta śubhecchayā // BhN_2.24 //	tatas vA astu pramANena prAraBeta SuBa icCayA // Bhz _2.24 //
   samā sthirā tu kaṭhinā kṛṣṇā gaurī ca yā bhavet /	samA sTirA tu kaWinA kRzNA gOrI ca yA Bavet /
   bhūmistatraiva kartavyaḥ kartṛbhirnāṭyamaṇḍapaḥ // BhN_2.25 //	BUmiH tatra eva kartavyaH kartRBiH nAwya maNxapaH // Bhz _2.25 //
   prathamaṃ śodhanaṃ kṛtvā lāṅgalena samutkṛṣet /	praTamam SoDanam kRtvA lAFgalena samutkRzet /
   asthikīlakapālāni tṛṇagulmāṃśca śodhayet // BhN_2.26 //	asTi kIla kapAlAni tRNa gulmAn= ca SoDayet // Bhz _2.26 //
   śodhayitvā vasumatīṃ pramāṇaṃ nirdiśettataḥ /	SoDayitvA vasumatIm pramANam nirdiSet tatas /
   (trīṇyuttarāṇi saumyaṃ ca viśākhāpi ca revatī /	(trINi uttarANi sOmyam ca viSAKA api ca revatI /
   hastitiṣyānurādhāśca praśastā nāṭyakarmaṇi) /	hastitizya anurADAH ca praSastA nAwya karmaNi) /
   puṣyanakṣatrayogena śuklaṃ sūtraṃ prasārayet // BhN_2.27 //	puzya nakzatra yogena Suklam sUtram prasArayet // Bhz _2.27 //
   kārpāsaṃ bālbajaṃ vāpi mauñjaṃ vālkalameva ca /	kArpAsam bAlbajam vA api mOQjam vAlkalam eva ca /
   sūtraṃ budhaistu kartavyaṃ yasya cchedo na vidyate // BhN_2.28 //	sUtram buDEH tu kartavyam yasya cCedaH na vidyate // Bhz _2.28 //
   ardhacchinne bhavetsūtre svāmino maraṇaṃ dhruvam /	arDa= Cinne Bavet sUtre svAminaH maraNam Druvam /
   tribhāgacchinnayā rajvā rāṣṭrakopo vidhīyate // BhN_2.29 //	tri BAga= CinnayA rajvA rAzwra kopaH viDIyate // Bhz _2.29 //
   chinnāyāṃ tu caturbhāge prayokturnāśa ucyate /	CinnAyAm tu catur BAge prayoktuH nASaH ucyate /
   hastātprabhraṣṭayā vāpi kaścitvapacayo bhavet // BhN_2.30 //	hastAt praBrazwayA vA api kaScitu apacayaH Bavet // Bhz _2.30 //
   tasmānnityaṃ prayatnena rajjugrahaṇamiṣyate /	tasmAt nityam prayatnena rajju grahaNam izyate /
   kāryaṃ caiva prayatnena mānaṃ nāṭyagṛhasya tu // BhN_2.31 //	kAryam ca eva prayatnena mAnam nAwya gRhasya tu // Bhz _2.31 //
   muhūrtenānukūlena tithyā sukaraṇena ca /	muhUrtena anukUlena tiTyA sukaraNena ca /
   brāhmaṇāṃstarpayitvā tu puṇyāhaṃ vācayettataḥ // BhN_2.32 //	brAhmaNAn= tarpayitvA tu puNya aham vAcayet tatas // Bhz _2.32 //
   śāntitoyaṃ tato dattvā tataḥ sūtraṃ prasārayet /	SAnti toyam tatas dattvA tatas sUtram prasArayet /
   catuṣṣaṣṭikarānkṛtvā dvidhā kuryātpunaśca tān // BhN_2.33 //	catuzzazwi karAn kRtvA dviDA kuryAt punar ca tAn // Bhz _2.33 //
   pṛṣṭhato yo bhavedbhāgo dvidhābhūtasya tasya tu /	pRzWatas yaH Bavet BAgaH dviDA BUtasya tasya tu /
   samamardhavibhāgena raṅgaśīrṣaṃ prakalpayet // BhN_2.34 //	samam arDa viBAgena raFgaSIrzam prakalpayet // Bhz _2.34 //
   paścime ca vibhāge 'tha nepathyagṛhamādiśet /	paScime ca viBAge aTa nepaTya gRham AdiSet /
   vibhajya bhāgānvidhivadyayathāvadanupūrvaśaḥ // BhN_2.35 //	viBajya BAgAn viDivat yayaTAvat anupUrvaSas // Bhz _2.35 //
   śubhe nakṣatrayoge ca maṇḍapasya niveśanam /	SuBe nakzatra yoge ca maNxapasya niveSanam /
   śaṅkhadundubhinirghoṣairmṛdaṅgapaṇavādibhiḥ // BhN_2.36 //	SaFKa dunduBi nirGozEH mRdaFga paNava AdiBiH // Bhz _2.36 //
   sarvātodyaiḥ praṇuditaiḥ sthāpanaṃ kāryameva tu /	sarva AtodyEH praNuditEH sTApanam kAryam eva tu /
   utsāryāṇi tvaniṣṭāni pāṣaṇḍyāśramiṇastathā // BhN_2.37 //	utsAryANi tu anizwAni pAzaNxya ASramiNaH taTA // Bhz _2.37 //
   kāṣāyavasanāścaiva vikalāścaiava ye narāḥ /	kAzAya vasanAH ca eva vikalAH cEava ye narAH /
   niśāyāṃ ca baliḥ kāryā nānābhojanasaṃyutaḥ // BhN_2.38 //	niSAyAm ca baliH kAryAH nAnA Bojana saMyutaH // Bhz _2.38 //
   gandhapuṣpaphalopetā diśo daśa samāśritaḥ /	ganDa puzpa Pala upetAH diSaH daSa samASritaH /
   pūrveṇa śuklānnayuto nīlānno dakṣiṇena ca // BhN_2.39 //	pUrveNa Sukla anna yutaH nIlAt naH dakziNena ca // Bhz _2.39 //
   paścimena baliḥ pīto raktaścaivottareṇa tu /	paScimena baliH pItaH raktaH ca eva uttareNa tu /
   yādṛśaṃ diśi yasyāṃ tu daivataṃ parikalpitam // BhN_2.40 //	yAdRSam diSi yasyAm tu dEvatam parikalpitam // Bhz _2.40 //
   tādṛśastatra dātavyo balirmantrapuraskṛtaḥ /	tAdRSaH tatra dAtavyaH baliH mantra puraskRtaH /
   sthāpane brāhmaṇebhyaśca dātavyaṃ ghṛtapāyasam // BhN_2.41 //	sTApane brAhmaNeByaH ca dAtavyam GRta pAyasam // Bhz _2.41 //
   madhuparkastathā rājñe kartṛbhyaśca guḍaudanam /	maDuparkaH taTA rAjQe kartRByaH ca guxa odanam /
   nakṣatreṇa tu kartavyaṃ mūlena sthāpanaṃ budhaiḥ // BhN_2.42 //	nakzatreNa tu kartavyam mUlena sTApanam buDEH // Bhz _2.42 //
