   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   smṛtīnāmaprāmāṇyāttābhiḥ samanvayasya na virodha iti	smRtInAmaprAmANyAttABiH samanvayasya na viroDaH iti
   siddhāntalakṣaṇatvādvṛttānuvādenāsyādhikaraṇasya tātparyamāha #	sidDAnta lakzaNa tvAt vRtta anuvAdena asya aDikaraNasya tAtparyam Aha #
   brahmāsyeti /.#	brahma asya iti /.#
   pūrvapakṣamākṣipati # kutaḥpunariti /.#	pUrva pakzam Akzipati # kutas punar iti /.#
   anavakāśe hetumāha # nanu dharma iveti /.#	anavakASe hetum Aha # nanu DarmaH iva iti /.#
   mānāntarānapekṣe vedaikasamadhigamye brahmaṇyanumānātmakatarkasyāpraveśaḥ	mAna antara anapekze veda eka samaDigamye brahmaNi anumAna Atmaka tarkasya apraveSaH
   tenākṣepasyānavakāśo bhinnaviṣayatvāttarkavedayorityarthaḥ /	tena Akzepasya anavakASaH Binna vizaya tvAt tarka vedayoH iti arTaH /
   siddhasya mānāntaragamyatvādekaviṣayatvādvirodha iti pūrvapakṣaṃ	sidDasya mAna antara gamya tvAt eka vizaya tvAt viroDaH iti pUrva pakzam
   samarthayate # bhavedayamiti /.#	samarTayate # Bavet ayam iti /.#
   avaṣṭambho dṛṣṭāntaḥ /	avazwamBaH dRzwAntaH /
   nanvekaviṣayatvena virodhe 'pi śrutivirodhānmānāntarameva bādhyatāmityata	nanu eka vizaya tvena viroDe api Sruti viroDAt mAna antaram eva bADyatAm iti ata
   āha # yathā ceti /.#	Aha # yaTA ca iti /.#
   prabalaśrutyā durbalaśrutibādhavanniravakāśamānāntareṇa lakṣaṇāvṛttyā	prabala SrutyA durbala Sruti bADa vat niravakASamAna antareNa lakzaNa AvRttyA
   sāvakāśaśrutinayanaṃ yuktamityarthaḥ /	sa avakASa Sruti nayanam yuktam iti arTaH /
   kiñca brahmasākṣātkārasya mokṣahetutve pradhānasyāntaraṅgaṃ	kiQca brahma sAkzAtkArasya mokza hetu tve praDAnasya antaraFgam
   tarkastasyāparokṣadṛṣṭāntagocaratvena pradhānavadaparokṣārthaviṣayatvāt /	tarkaH tasya aparokza dRzwAnta gocara tvena praDAna vat aparokza arTa vizaya tvAt /
   śabdastu parokṣārthakatvādbahiraṅgamatastarkeṇa bādhya ityāha # dṛṣṭeti	SabdaH tu parokza arTaka tvAt bahis aFgam atastarkeNa bADyaH iti Aha # dRzwA iti
   aitihyamātreṇa /	Etihya mAtreNa /
   parokṣatayeti yāvat /	parokzatayA iti yAvat /
   anubhavasya prādhānyaṃ darśayati # anubhavāvasānaṃ ceti /.#	anuBavasya prADAnyam darSayati # anuBava avasAnam ca iti /.#
   'naiṣā tarkeṇa matiḥ'ityarthavādena tarkasya niṣedhamāśaṅkya	anEzA tarkeNa matiH aiti arTa vAdena tarkasya nizeDam ASaFkya
   vidhivirodhānmaivamityāha # śrutirapīti /.#	viDi viroDAt mA evam iti Aha # SrutiH api iti /.#
   evaṃ pūrvapakṣaṃ saṃbhāvya cetanabrahmakāraṇavādivedāntasamanvayaḥ,	evam pUrva pakzam saMBAvya cetana brahma kAraNa va Adi vedAnta samanvayaH,
   kṣityādikaṃ na cetanaprakṛtikaṃ, kāryadravyatvāt, ghaṭavaditi	kziti Adikam na cetana prakRti kaM, kArya dravya tva at, Gawa vat iti
   sāṃkhyayoganyāyena virudhyate na veti saṃdehe smṛtermūlābhāvāddurbalatve	sAMKya yoga nyAyena viruDyate na vA iti saMdehe smRteH mUla aBAvAt durbala tve
   'pyanumānasya vyāptimūlatvena prābalyāttena virudhyata iti	api anumAnasya vyApti mUla tvena prAbalyAt tena viruDyate iti
   pratyudāharaṇena pūrvapakṣayati # na vilakṣaṇatvāditi /.#	pratyudAharaNena pUrva pakzayati # na vilakzaNa tvAt iti /.#
   pūrvottarapakṣayoḥ samanvayāsiddhi, tatsiddhiśceti pūrvavatphalam /	pUrva uttara pakzayoH samanvaya asidDi, tad sidDiH ca iti pUrvavat Palam /
   jaganna brahmaprakṛtikaṃ, tadvilakṣaṇatvāt, yadyadvilakṣaṇaṃ tanna	jagat na brahma prakRti kaM, tad vilakzaNa tvAt, yat yat vilakzaNam tat na
   tatprakṛtikaṃ, yathā mṛdvilakṣaṇā rucakādaya ityarthaḥ /	tad prakRti kaM, yaTA mRd vilakzaNAH rucaka AdayaH iti arTaH /
   sukhaduḥkhamohāḥ sattvarajastamāṃsi /	suKa duHKa mohAH sattva rajaH tamAMsi /
   tathā ca jagat sukhaduḥkhamohātmakaṃ sāmānyaprakṛtikaṃ, tadanvitatvāt,	taTA ca jagat suKa duHKa moha Atmakam sAmAnya prakRti kaM, tad anvita tvAt,
   yaditthaṃ tattathā yathā mṛdanvitā ghaṭādaya ityāha # mṛdaiveti /.#	yat itTam tat taTA yaTA mRd anvitA Gawa AdayaH iti Aha # mRdA eva iti /.#
   vilakṣaṇatvaṃ sādhayati # brahmavilakṣaṇatvaṃ ceti /.#	vilakzaNa tvam sADayati # brahma vilakzaNa tvam ca iti /.#
   yathā hi eka eva strīpiṇḍaḥ patisapatnyupapatīnāṃ	yaTA hi ekaH eva strI piNxaH pati sapatnI upapatInAm
   prītiparitāpaviṣādādīnkaroti, evamanye 'pi bhāvā draṣṭavyāḥ /	prIti paritApa vizAda AdIn karoti, evam anye api BAvAH drazwavyAH /
   tatra prītiḥ sukhaṃ, paritāpaḥ śokaḥ, viṣādo bhramaḥ, ādipadādrāgādigrahaḥ	tatra prItiH suKaM, paritApaH SokaH, vizAdaH BramaH, Adi padAt rAga Adi grahaH
   ubhayoścetanatvena sāmyādupakāryopakārakabhāvo na syādityayuktaṃ,	uBayoH cetana tvena sAmyAt upakArya upakAraka BAvaH na syAt iti ayuktaM,
   svāmibhṛtyayorvyabhicārāditi śaṅkate # nanu cetanamapīti /.#	svAmi BRtyayoH vyaBicArAt iti SaFkate # nanu cetanam api iti /.#
   bhṛtyadehasyaiva svāmicetanopakārakatvānna vyabhicāra ityāha # netyādinā	BRtya dehasya eva svAmi cetana upakAraka tvAt na vyaBicAraH iti Aha # na ityAdinA
   utkarṣāpakarṣaśūnyatvāccetanānāṃ mitho nopakārakatvamityāha # niratiśayā	utkarza apakarza SUnya tvAt cetanAnAm miTas na upakAraka tvam iti Aha # niratiSayA
   iti /.#	iti /.#
   tasmādupakārakatvāt /	tasmAt upakAraka tvAt /
   śrutacetanaprakṛtikatvabalena jagaccetanamevetyekadeśimatamutthāpayati #	Sruta cetana prakRtika tva balena jagat cetanam eva iti eka deSi matam utTApayati  #
   yo 'pīti /.#	yaH api iti /.#
   ghaṭādeścetanatvamanupalabdhibādhitamityata āha # avibhāvanaṃ tviti /.#	Gawa AdeH cetana tvam anupalabDi bADitam iti atas Aha # aviBAvanam tu iti /.#
   antaḥkaraṇānyapariṇāmatvātsato 'pi caitanyasyānupalabdhirityartha /	antaHkaraNAni apariNAma tvAt sataH api cEtanyasya anupalabDiH iti arTa /
   antaḥkaraṇādanyasya vṛttyuparāgadaśāyāmeva caitanyābhivyaktirnānyadeti	antaHkaraNAt anyasya vRtti uparAgadaSAyAm eva cEtanya aBivyaktiH na anyadA iti
   bhāvaḥ /	BAvaH /
   vṛttyabhāve caitanyānabhivyaktau dṛṣṭāntaḥ # yatheti /.#	vRtti aBAve cEtanya anaBivyaktO dRzwAntaH # yaTA iti /.#
   ātmānātmanoścetanatve svasvāmibhāvaḥ kuta ityata āha # etasmādeveti /.#	AtmAnAtmanoH cetana tve sva svAmi BAvaH kutas iti atas Aha # etasmAt eva iti /.#
   sāmye 'pi prātisvikasvarūpaviśeṣāt śeṣitve dṛṣṭāntaḥ # yathā ceti /.#	sAmye api prAtisvika sva rUpa viSezAt Sezi tve dRzwAntaH # yaTA ca iti /.#
   cetanācetanabhedaḥ kathamityata āha # pravibhāgeti /.#	cetana acetana BedaH kaTam iti atas Aha # praviBAgA iti /.#
   caitanyābhivyaktyanabhivyaktibhyāmityarthaḥ /	cEtanya aBivyakti anaBivyaktiByAm iti arTaH /
   sarvasya cetanatvamekadeśyuktamaṅgīkṛtya sāṃkhyaḥ pariharati # tenāpi	sarvasya cetana tvam ekadeSi uktam aFgIkRtya sAMKyaH pariharati # tena api
   kathañciditi /.#	kaTaQcid iti /.#
   aṅgīkāraṃ tyaktvā sūtraśeṣeṇa pariharati # na cetyādinā /.#	aFgIkAram tyaktvA sUtra SezeNa pariharati # na ca ityAdinA /.#
   itaraccetanācetanatvarūpam /	itarat cetanA acetana tva rUpam /
   vailakṣaṇyaṃ tathātvaśabdārthaḥ /	vElakzaNyam taTA tva Sabda arTaH /
   śrutārthāpattiḥ śabdena bādhyeti bhāvaḥ //4//	Sruta arTApattiH Sabdena bADya iti BAvaH //4//
   END BsRp_2,1.3.4	END BsRp _2,1.3.4
   START BsRp_2,1.3.5ḥ	START BsRp _2,1.3.5H
   abhimānivyapadeśas tu viśeṣānugatibhyām | BBs_2,1.5 |	aBimAni vyapadeSaH tu viSeza anugatiByAm | BBH _2,1.5 |
   śrutisāhāyyānna bādhyetyuttarasūtravyāvartyaṃ śaṅkate # nanviti /.#	Sruti sAhAyyAt na bADya iti uttara sUtra vyAvartyam SaFkate # nanu iti /.#
   mṛdādīnāṃ vaktṛtvādiśrutestadabhimāniviṣayatvāt, tathā 'vijñānaṃ	mRd AdInAm vaktR tva Adi SruteH tad aBimAni vizaya tvAt, taTA avijQAnam
   cāvijñānaṃ ca'iti cetanācetanavibhāgaśabdasyopacaritārthatvaṃ na yuktamiti	ca avijQAnam ca aiti cetana acetana viBAga Sabdasya upacarita arTa tvam na yuktam iti
   sāṃkhyaḥ samādhatte # abhimānīti /.#	sAMKyaH samADatte # aBimAni iti /.#
   saṃvadanaṃ vivādaḥ /	saMvadanam vivAdaH /
   na bhūtamātramindriyamātraṃ vā cetanatvena vyapadiśyate /	na BUtamAtram indriya mAtram vA cetanatvena vyapadiSyate /
   lokavedaprasiddhavibhāgabādhāyogādityarthaḥ /	loka veda prasidDa viBAga bADA yogAt iti arTaH /
   viśeṣapadasyārthāntaramāha # api ceti /.#	viSeza padasya arTa antaram Aha # api ca iti /.#
   ahaṃśreyase svasvaśreṣṭhatvāya prāṇā vivadamānā ityuktaprāṇānāṃ	ahaMSreyase sva sva SrezWa tvAya prANAH vivadamAnAH iti ukta prANAnAm
   cetanavācidevatāpadena viśeṣitatvāt prāṇādipadairabhimānivyapadeśa	cetana vAci devatA padena viSezita tvAt prANa Adi padEH aBimAni vyapadeSa
   ityarthaḥ /	iti arTaH /
   prāṇe niḥśreyasaṃ śraiṣṭhyaṃ viditvā prāṇādhīnā jātā ityarthaḥ /	prANe niHSreyasam SrEzWyam viditvA prANa aDInAH jAtAH iti arTaH /
   anugatiṃ bahudhā vyācaṣṭe # anugatāśceti /.#	anugatim bahuDA vyAcazwe # anugatAH ca iti /.#
   tasmai prāṇāya, baliharaṇaṃ vāgādibhiḥ svīyavasiṣṭhatvādiguṇasamarpaṇaṃ	tasmE prANAya, bali haraNam vAc AdiBiH svIya vasizWa tva Adi guNa samarpaNam
   kṛtam /	kRtam /
   tejaādināmīkṣaṇaṃ tvayaivekṣatyadhikaraṇe cetananiṣṭhatayā vyākhyātaṃ	tejaA AdinAm IkzaNam tvayA eva Ikzati aDikaraNe cetana nizWatayA vyAKyAtam
   draṣṭavyamityarthaḥ /	drazwavyam iti arTaH /
   yasmānnāsti jagataścetanatvaṃ tasmāditi pūrvapakṣopasaṃhāraḥ //5//	yasmAt na asti jagataH cetana tvam tasmAt iti pUrva pakza upasaMhAraH //5//
   END BsRp_2,1.3.5	END BsRp _2,1.3.5
   START BsRp_2,1.3.6ḥ	START BsRp _2,1.3.6H
   dṛśyate tu | BBs_2,1.6 |	dRSyate tu | BBH _2,1.6 |
   kiṃ yatkiñcidvailakṣaṇyaṃ hetuḥ, bahuvailakṣaṇyaṃ vā /	kim yat kiQcid vElakzaNyam hetuH, bahu vElakzaNyam vA /
   ādye vyabhicāramāha # nāyamekāntaḥ /	Adye vyaBicAram Aha # na ayam ekAntaH /
   dṛśyate hīti /.#	dRSyate hi iti /.#
   hetorasattvānna vyabhicāra iti śaṅkate # nanviti /.#	hetoH asattvAt na vyaBicAraH iti SaFkate # nanu iti /.#
   yatkiñcidvailakṣaṇyamastīti vyabhicāra ityāha # ucyata iti /.#	yat kiQcid vElakzaNyam asti iti vyaBicAraH iti Aha # ucyate iti /.#
   śarīrasya keśādīnāṃ ca prāṇitvāprāṇitvarūpaṃ vailakṣaṇyamastītyarthaḥ /	SarIrasya keSa AdInAm ca prANi tva aprANi tva rUpam vElakzaNyam asti iti arTaH /
   dvitīye 'pi tatraiva vyabhicāramāha # mahāniti /.#	dvitIye api tatra eva vyaBicAram Aha # mahAn iti /.#
   pariṇāmikaḥ /	pariNAmikaH /
   keśādīnāṃ svagatapariṇāmātmaka ityarthaḥ /	keSa AdInAm sva gata pariNAma AtmakaH iti arTaH /
   kiñca yayoḥ prakṛtivikārabhāvastayoḥ sādṛśyaṃ vadatā vaktavyaṃ	kiQca yayoH prakRti vikAra BAvaH tayoH sAdRSyam vadatA vaktavyam
   kimātyantikaṃ yatkiñcidveti /	kim Atyantikam yat kiQcid veti /
   ādye doṣamāha # atyanteti /.#	Adye dozam Aha # atyanta iti /.#
   dvitīyamāśaṅkya brahmajagatorapi tatsattvātprakṛtivikṛtitvasiddhirityāha #	dvitIyam ASaFkya brahma jagatoH api tad sattvAt prakRti vikRti tva sidDiH iti Aha #
   athetyādinā /.#	aTa ityAdinA /.#
   vilakṣaṇatvaṃ vikalpya dūṣaṇāntaramāha # vilakṣaṇatvenetyādinā /.#	vilakzaNa tvam vikalpya dUzaNa antaram Aha # vilakzaNa tvena ityAdinA /.#
   jagati samastasya brahmasvabhāvasya cetanatvāderananuvartanānna	jagati samastasya brahma svaBAvasya cetana tu AdeH ananuvartanAt na
   brahmakāryamiti pakṣe sarvasāmye prakṛtivikāratvamityuktaṃ syāt,	brahma kAryam iti pakze sarva sAmye prakRti vikAra tvam iti uktam syAt ,
   tadasaṃgatamityāha # prathama iti /	tat asaMgatam iti Aha # praTamaH iti /
   tṛtīye tu dṛṣṭāntābhāva iti /.#	tRtIye tu dRzwAnta aBAvaH iti /.#
   naca jaganna brahmaprakṛtikamacetanatvādavidyāvaditi dṛṣṭānto 'stīti	na ca jagat na brahma prakRtikam acetana tvAt avidyAvat iti dRzwAntaH asti iti
   vācyaṃ, anāditvasyopādhitvāt /	vAcyaM, anAdi tvasya upADi tvAt /
   naca dhvaṃse sādhyāvyāpakatā, tasyāpi kāryasaṃskārātmakasya bhāvatvena	na ca DvaMse sADya avyApaka tA, tasya api kArya saMskAra Atmakasya BAva tvena
   brahmaprakṛtikatvādabhāvatvāgrahe cānādibhāvatvasyopādhitvāditi /	brahma prakRtika tvAt aBAva tva agrahe ca anAdi BAva tvasya upADi tvAt iti /
   saṃprati kalpatrayasādhāraṇaṃ doṣamāha # āgameti /.#	saMprati kalpa traya sADAraNam dozam Aha # Agama iti /.#
   pūrvoktamanūdya brahmaṇaḥ śuṣkatarkaviṣayatvāsaṃbhavānna tarkeṇākṣepa	pUrva uktam anUdya brahmaNaH Suzka tarka vizaya tva asaMBavAn na tarkeNa Akzepa
   ityāha # yattūktamityādinā /.#	iti Aha # yat tu uktam ityAdinA /.#
   liṅgasādṛśyapadapravṛttinimittānāmabhāvādanumānopamānaśabdānāmagocaraḥ /	liFga sAdRSya pada pravRtti nimittAnAm aBAvAt anumAna upamAna SabdAnAm agocaraH /
   brahma lakṣaṇayā vedaikavedyamityarthaḥ /	brahma lakzaNayA veda eka vedyam iti arTaH /
   eṣā brahmaṇi matistarkeṇa svatantreṇa nāpaneyā na saṃpādanīyā /	ezA brahmaNi matiH tarkeNa svatantreNa na apaneyA na saMpAdanIyAH /
   yadvā kutarkeṇa na bādhanīyā /	yat vA kutarkeNa na bADanIyAH /
   kutārkikādanyenaiva vedavidācāryeṇa proktā matiḥ sujñānāyānubhavāya	kutArkikAt anyena eva veda vid AcAryeNa proktA matiH su jQAnAya anuBavAya
   phalāya bhavati /	PalAya Bavati /
   he preṣṭha, priyatameti naciketasaṃ prati mṛtyorvacanam /	he prezWa, priyatamA iti naciketasam prati mRtyoH vacanam /
   iyaṃ vividhā sṛṣṭiryataḥ ā samantādbabhūva taṃ ko addhā sākṣādveda /	iyam viviDA sRzwiH yatas A samantAt baBUva tam kaH adDA sAkzAt veda /
   tiṣṭhatu vedanaṃ, ka iha loke taṃ pravocat prāvocat /	tizWatu vedanan, kaH iha loke tam pravocat prAvocat /
   chāndaso dīrghalopaḥ /	CAndasaH dIrGa lopaH /
   yathāvadvaktāpi nāstītyarthaḥ /	yaTAvat vaktA api na asti iti arTaH /
   prabhavaṃ janma na viduḥ mama sarvāditvena janmābhāvāt /	praBavam janma na viduH mama sarva Adi tvena janma aBAvAt /
   miṣeṇa mananavidhivyājena /	mizeNa manana viDi vyAjena /
   śuṣkaḥ śrutyanapekṣaḥ /	SuzkaH Sruti anapekzaH /
   śrutyā tattve niścite satyanu paścāt puruṣadoṣasyāsaṃbhāvanādernirāsāya	SrutyA tattve niScite satyanu paScAt puruza dozasya asaMBAvana AdeH nirAsAya
   gṛhītaḥ śrutyanugṛhītaḥ /	gRhItaH Sruti anugRhItaH /
   tamāha # svapnānteti /.#	tam Aha # svapna anta iti /.#
   jīvasyāvasthāvato dehādiprapañcayuktasya niṣprapañcabrahmaikyamasaṃbhavi,	jIvasya avasTAvataH deha Adi prapaQca yuktasya nizprapaQca brahma Ekyam asaMBavi,
   dvaitagrāhiprāmāṇavirodhādbrahmaṇaścādvitīyatvamayuktamityevaṃ	dvEtagrAhi prAmANa viroDAt brahmaNaH ca advitIya tvam ayuktam iti evam
   śrautārthāsaṃbhāvanāyāṃ, tannirāsāya sarvasvāsvasthāsvātmano 'nugatasya	SrOta arTa asaMBAvanAyAM, tad nirAsAya sarva sva asvasTAsu AtmanaH anugatasya
   vyabhicāriṇībhiravasthābhirananvāgatatvamasaṃspṛṣṭatvamavasthānāṃ	vyaBicAriNIBiH avasTABiH ananvAgata tvam asaMspRzwa tvam avasTAnAm
   svābhāvikatve brahmyauṣṇāvadātmavyabhicārāyogāt suṣuptau	svABAvika tve brahmi OzNAvat Atma vyaBicAra ayogAt suzuptO
   prapañcabhrāntyabhāve 'satā	prapaQca BrAnti aBAve asatA
   somya'ityuktābhedadarśanānniṣprapañcabrahmaikyasaṃbhavaḥ, yathā ghaṭādayo	somya aiti ukta aBeda darSanAt nizprapaQca brahma Ekya saMBavaH, yaTA Gawa AdayaH 
   mṛdabhinnāstathā jagadbrahmābhinnaṃ tajjatvādityādistarka āśrīyata	mRda BinnAH taTA jagat brahma aBinnam tad ja tu At ityAdiH tarkaH ASrIyata
   ityarthaḥ /	iti arTaH /
   ito 'nyādṛśatarkasyātra brahmaṇyapraveśādasya cānukūlatvānna	itas anyAdRSa tarkasya atra brahmaNi a praveSAt asya ca anukUla tvAt na
   tarkeṇākṣepāvakāśa iti bhāvaḥ /	tarkeNa Akzepa avakASaH iti BAvaH /
   brahmaṇi śuṣkatarkasyāpraveśaḥ /	brahmaNi Suzka tarkasya apraveSaH /
   sūtrasaṃmata ityāha # tarkāpratiṣṭhānāditi /.#	sUtra saMmataH iti Aha # tarka apratizWAnAt iti /.#
   vipralambhakatvamapramāpakatvam /	vipralamBaka tvam apramApaka tvam /
   yaduktaṃ ekadeśinā sarvasya jagataścetanatvoktau	yat uktam eka deSinA sarvasya jagataH cetanatva uktO
   vibhāgaśrutyanupapattiriti dūṣaṇaṃ sāṃkhyena /	viBAga Sruti anupapattiH iti dUzaNam sAMKyena /
   tanna /	tat na /
   tatra tenaikadeśinā vibhāgaśruteścaitanyābhivyaktyanabhivyaktibhyāṃ	tatra tena eka deSinA viBAga SruteH cEtanya aBivyakti anaBivyaktiByAm
   yojayituṃ śakyatvāt /	yojayitum Sakya tvAt /
   sāṃkhyasya tvidaṃ dūṣaṇaṃ vajralepāyate, pradhānakāryatve	sAMKyasya tu idam dUzaNam vajra lepAyate, praDAna kArya tve
   sarvasyācetanatvena cetanācetanakāryavibhāgāsaṃbhavādityāha # yo	sarvasya acetana tvena cetana acetana kArya viBAga asaMBavAt iti Aha # yaH 
   'pītyādinā /.#	api ityAdinA /.#
   siddhānte cetanācetanavailakṣaṇyāṅgīkāre kathaṃ brahmaṇaḥ	sidDAnte cetana acetana vElakzaNya aFgIkAre kaTam brahmaNaH
   prakṛtitvamityata āha # pratyuktatvāditi /.#	prakRti tvam iti atas Aha # pratyukta tvAt iti /.#
   aprayojakatvavyabhicārābhyāṃ nirastatvādityarthaḥ //6//	aprayojaka tva vyaBicArAByAm nirasta tvAt iti arTaH //6//
   END BsRp_2,1.3.6	END BsRp _2,1.3.6
   START BsRp_2,1.3.7ḥ	START BsRp _2,1.3.7H
   asad iti cen na pratiṣedhamātratvāt | BBs_2,1.7 |	asat iti ced na pratizeDa mAtra tvAt | BBH _2,1.7 |
   kāryamutpatteḥ prāgasadeva syāt, svaviruddhakāraṇātmanā	kAryam utpatteH prAk asat eva syAt, sva virudDa kAraNa AtmanA
   sattvāyogādityapasiddhāntāpattimāśaṅkya mithyātvātkāryasya kālatraye 'pi	sattva ayogAt iti apasidDAnta Apattim ASaFkya miTyAtvAt kAryasya kAla traye api
   kāraṇātmanā sattvamaviruddhamiti samādhatte # asaditicedityādinā /.#	kAraNa AtmanA sattvam avirudDam iti samADatte # asat iti ced ityAdinA /.#
   asatyāditi sattvapratiṣedho nirarthaka ityarthaḥ /	asatyAt iti sattva pratizeDaH nirarTakaH iti arTaH /
   kāryasatyatvābhāve śrutimāha # sarvaṃ tamiti /.#	kArya satya tva aBAve Srutim Aha # sarvam tam iti /.#
   mithyātvamajānataḥ śaṅkāmanūdya pariharati # nanvityādinā /	miTyAtvam ajAnataH SaFkAm anUdya pariharati # nanu iti AdinA /
   vistareṇa caitaditi /.#	vistareNa ca etat iti /.#
   mithyātvamityarthaḥ //7//	miTyAtvam iti arTaH //7//
   END BsRp_2,1.3.7	END BsRp _2,1.3.7
   START BsRp_2,1.3.8ḥ	START BsRp _2,1.3.8H
   apītau tadvatprasaṅgād asamañjasam | BBs_2,1.8 |	api itO tadvat prasaFgAt asamaQjasam | BBH _2,1.8 |
   satkāryavādasiddhyarthaṃ kāryābhede kāraṇasyāpi kāryavadaśuddhyādiprasaṅga	satkArya vAda sidDi arTam kArya aBede kAraNasya api kArya vat aSudDi Adi prasaFga
   iti śaṅkāsūtraṃ vyācaṣṭe # atrāheti /.#	iti SaFkA sUtram vyAcazwe # atra aha iti /.#
   pratisaṃsṛjyamānapadasya vyākhyā # kāraṇeti /.#	pratisaMsRjyamAnapadasya vyAKyA # kAraNa iti /.#
   yathā jale līyamānaṃ lavaṇadravyaṃ jalaṃ dūṣayati tadvadityarthaḥ /	yaTA jale lIyamAnam lavaNa dravyam jalam dUzayati tadvat iti arTaH /
   sūtrasya yojanāntaramāha # apiceti /.#	sUtrasya yojana antaram Aha # apicA iti /.#
   sarvasya kāryasyāpītau kāraṇavadekarūpatvaprasaṅga ityarthaḥ /	sarvasya kAryasya apItO kAraNa vat eka rUpa tva prasaFgaH iti arTaH /
   arthāntaramāha # apiceti /.#	arTa antaram Aha # apicA iti /.#
   karmādīnāmutpattinimittānāṃ pralaye 'pi bhoktṛṇāmutpattau tadvadeva	karma AdInAm utpatti nimittAnAm pralaye api BoktRNAm utpattO tadvat eva
   muktānāmapyutpattiprasaṅgādityarthaḥ /	muktAnAm api utpatti prasaFgAt iti arTaH /
   śaṅkāpūrvakaṃ vyākhyāntaramāha # atheti /.#	SaFkA pUrvakam vyAKyA antaram Aha # aTa iti /.#
   yadi layakāle 'pikāryaṃ kāraṇādvibhaktaṃ tarhi	yadi laya kAle api kAryam kAraNAt viBaktam tarhi
   sthitikālavallayābhāvaprasaṅgātkāryeṇa dvaitāpatteścāsamañjasamidaṃ	sTiti kAla vallaya aBAva prasaFgAt kAryeNa dvEta ApatteH ca asamaQjasam idam
   darśanamityarthaḥ //8//	darSanam iti arTaH //8//
   END BsRp_2,1.3.8	END BsRp _2,1.3.8
   START BsRp_2,1.3.9ḥ	START BsRp _2,1.3.9H
   na tu dṛṣṭāntabhāvāt | BBs_2,1.9 |	na tu dRzwAnta BAvAt | BBH _2,1.9 |
   apītau jagat svakāraṇaṃ na dūṣayati, kāraṇe līnatvāt, mṛdādiṣu	api itO jagat sva kAraNam na dUzayati, kAraNe lIna tvAt, mRd Adizu
   nīlaghaṭādivaditi siddhāntasūtraṃ vyācaṣṭe # naivetyādinā /.#	nIla Gawa Adi vat iti sidDAnta sUtram vyAcazwe # na eva ityAdinA /.#
   apigacchat līyamānam /	apigacCat lIyamAnam /
   vibhāgāvasthā sthitikālaḥ /	viBAga avasTA sTiti kAlaH /
   # tvatpakṣasyeti /.#	# tvad pakzasya iti /.#
   madhurajalaṃ lavaṇasyākāraṇamityadṛṣṭāntaḥ /	maDura jalam lavaNasya akAraNam iti adRzwAntaH /
   kiñca dūṣakatve kāryasya sthitiḥ syāllavaṇavadityāha # apītireveti /.#	kiQca dUzaka tve kAryasya sTitiH syAt lavaNa vat iti Aha # apItiH eva iti /.#
   asati kārye taddharmeṇa kāraṇasya yogo na saṃbhavati /	asati kArye tad DarmeNa kAraNasya yogaH na saMBavati /
   dharmyasattve dharmāṇāmapyasattvāditi bhāvaḥ /	Darmya sattve DarmANAm api asattvAt iti BAvaH /
   nanu satkāryavāde laye 'pi kāryasya kāraṇābhedena sattvāddūṣakatvaṃ	nanu satkArya vAde laye api kAryasya kAraNa aBedena sattvAt dUzaka tvam
   syādityata āha # ananyatve 'pīti /.#	syAt iti atas Aha # ananya tve api iti /.#
   kalpitasyādhiṣṭhānadharmavattvamabhedānna tvadhiṣṭhānasya	kalpitasya aDizWAna Darmavat tvam aBedAt na tu aDizWAnasya
