   (PSP_2 3:1)	(PSu _2 3:1)
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgābhijñāryasatyāpramāṇadhyānārūpyasamāpattidaśabalavaiśāradyapratisaṃvido	samyak prahANa RdDi pAda indriya bala boDi aFga mArga aBijQArya satyA pramANa DyAna ArUpya samApatti daSa bala vESAradya pratisaMvidaH 
   'ṣṭādaśāveṇikā buddhadharmā aṣṭādaśabhir āveṇikair buddhadharmaiḥ śūnyā	azwAdaSa AveNikAH budDa DarmAH azwAdaSaBiH AveNikEH budDa DarmEH SUnyA
   bodhisattvo bodhisattvena śūnyaḥ, iti hi smṛtyupasthānaśūnyatā ca yāvad	boDisattvaH boDisattvena SUnyaH, iti hi smRti upasTAna SUnyatA ca yAvat 
   āveṇikabuddhadharmaśūnyatā ca bodhisattvaśūnyatā cādvayam etad	AveNika budDa Darma SUnyatA ca boDisattva SUnyatA ca advayam etat 
   advaidhīkāram.	advEDIkAram.
   punar aparaṃ kauśika samādhiḥ samādhinā śūnyaḥ. dhāraṇīmukhāni (PSP_2 3:7)	punar aparam kOSika samADiH samADinA SUnyaH. DAraNI muKAni (PSu _2 3:7)
   dhāraṇīmukhaiḥ śūnyāni bodhisattvo bodhisattvena śūnyaḥ, iti hi	DAraNI muKEH SUnyAni boDisattvaH boDisattvena SUnyaH, iti hi
   samādhiśūnyatā ca dhāraṇīmukhaśūnyatā ca bodhisattvaśūnyatā cādvayam etad	samADi SUnyatA ca DAraNI muKa SUnyatA ca boDisattva SUnyatA ca advayam etat 
   advaidhīkāram.	advEDIkAram.
   punar aparaṃ kauśika śrāvakayānaṃ śrāvakayānena śūnyaṃ pratyekabuddhayānaṃ	punar aparam kOSika SrAvaka yAnam SrAvaka yAnena SUnyam pratyekabudDa yAnam
   pratyekabuddhayānena śūnyaṃ mahāyānaṃ mahāyānena śūnyaṃ śrāvakaḥ	pratyekabudDa yAnena SUnyam mahAyAnam mahAyAnena SUnyam SrAvakaH
   śrāvakatvena śūnyaḥ pratyekabuddhaḥ pratyekabuddhatvena śūnyaḥ bodhisattvo	SrAvaka tvena SUnyaH pratyekabudDaH pratyekabudDa tvena SUnyaH boDisattvaH 
   bodhisattvena śūnyaḥ buddho buddhatvena śūnyaḥ, iti hi śrāvakayānaśūnyatā	boDisattvena SUnyaH budDaH budDatvena SUnyaH, iti hi SrAvaka yAna SUnyatA
   ca yāvan mahāyānaśūnyatā ca śrāvakaśūnyatā ca yāvad buddhaśūnyatā cādvayam	ca yAvat mahAyAna SUnyatA ca SrAvaka SUnyatA ca yAvat budDa SUnyatA ca advayam
   etad advaidhīkāram. evaṃ hi kauśika bodhisattvena mahāsattvena	etat at vEDIkAram. evam hi kOSika boDisattvena mahAsattvena
   prajñāpāramitāyāṃ sthātavyam. ity uṣmagatam	prajQApAramitAyAm sTAtavyam. iti uzma gatam
   atha khalu sakro devānām indraḥ subhūtiṃ sthaviram etad avocat: kathaṃ	aTa Kalu sakraH devAnAm indraH suBUtim sTaviram etat avocat: kaTam
   bhadanta subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ sthātavyaṃ?	Badanta suBUte boDisattvena mahAsattvena prajQApAramitAyAm sTAtavyaM?
   subhūtir āha: iha kauśika bodhisattvena mahāsattvena rūpe na sthātavyaṃ na	suBUtiH Aha: iha kOSika boDisattvena mahAsattvena rUpe na sTAtavyam na
   vedanāyāṃ na saṃjñāyāṃ na saṃskāreṣu vijñāne na sthātavyam	vedanAyAm na saMjQAyAm na saMskArezu vijQAne na sTAtavyam
   upalambhayogena. cakṣuṣi na sthātavyaṃ rūpe na sthātavyaṃ cakṣurvijñāne na	upalamBa yogena. cakzuzi na sTAtavyam rUpe na sTAtavyam cakzuH vijQAne na
   sthātavyaṃ cakṣuḥsaṃsparśe na sthātavyaṃ cakṣuḥsaṃsparśajāyāṃ vedanāyāṃ na	sTAtavyam cakzuH saMsparSe na sTAtavyam cakzuH saMsparSa jAyAm vedanAyAm na
   sthātavyam, evaṃ śrotraghrāṇajihvākāyamanasi na sthātavyaṃ dharmeṣu na	sTAtavyam, evam Srotra GrANa jihvA kAya manasi na sTAtavyam Darmezu na
   sthātavyaṃ manovijñāne na sthātavyaṃ manaḥsaṃsparśe na sthātavyaṃ	sTAtavyam manaH vijQAne na sTAtavyam manaH saMsparSe na sTAtavyam
   manaḥsaṃsparśajāyāṃ vedanāyāṃ na sthātavyam upalambhayogena. pṛthivīdhātau	manaH saMsparSa jAyAm vedanAyAm na sTAtavyam upalamBa yogena. pRTivI DAtO
   na sthātavyaṃ abdhātau na sthātavyaṃ tejodhātau na sthātavyaṃ vāyudhātau	na sTAtavyam ap DAtO na sTAtavyam tejaH DAtO na sTAtavyam vAyu DAtO
   na sthātavyam ākāśadhātau na sthātavyaṃ vijñānadhātau na sthātavyam	na sTAtavyam AkASa DAtO na sTAtavyam vijQAna DAtO na sTAtavyam
   upalambhayogena. smṛtyupasthāneṣu na sthātavyam. evaṃ	upalamBa yogena. smRti upasTAnezu na sTAtavyam. evam
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgābhijñāryasatyāpramāṇadhyānārūpyasamāpattidaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmeṣu	samyak prahANa RdDi pAda indriya bala boDi aFga mArga aBijQArya satyA pramANa DyAna ArUpya samApatti daSa bala vESAradya pratisaMvid AveNika budDa Darm
   na sthātavyam upalambhayogena. srotaāpattiphale na sthātavyam evaṃ	na sTAtavyam upalamBa yogena. srotaApatti Pale na sTAtavyam evam
   sakṛdāgāmiphale 'nāgāmiphale 'rhattvaphale pratyekabuddhatvaphale yāvad	sakRdAgAmi Pale anAgAmi Pale arhat tva Pale pratyekabudDa tva Pale yAvat 
   buddhatve na sthātavyam upalambhayogena. iti mūrdhagatam	budDa tve na sTAtavyam upalamBa yogena. iti mUrDa gatam
   rūpaṃ nityam iti na sthātavyam, evam anityam iti sukham iti duḥkham ity	rUpam nityam iti na sTAtavyam, evam anityam iti suKam iti duHKam iti 
   ātmety anātmeti śāntam ity aśāntam iti viviktam ity aviviktam iti na	AtmA iti anAtmA iti SAntam iti aSAntam iti viviktam iti aviviktam iti na
   sthātavyaṃ, rūpaṃ śūnyam ity aśūnyam iti nimittam ity animittam iti	sTAtavyan, rUpam SUnyam iti aSUnyam iti nimittam iti animittam iti
   praṇihitam ity apraṇihitam iti na sthātavyam upalambhayogena. vedanā	praNihitam iti apraNihitam iti na sTAtavyam upalamBa yogena. vedanA
   saṃjñā saṃskārā vijñānaṃ (PSP_2 3:8) nityam iti na sthātavyam evam anityam	saMjQA saMskArAH vijQAnam (PSu _2 3:8) nityam iti na sTAtavyam evam anityam
   iti sukham iti duḥkham ity ātmety anātmeti śāntam ity aśāntam iti viviktam	iti suKam iti duHKam iti AtmA iti anAtmA iti SAntam iti aSAntam iti viviktam
   ity aviviktam iti na sthātavyam. vijñānaṃ śūnyam ity aśūnyam iti nimittam	iti aviviktam iti na sTAtavyam. vijQAnam SUnyam iti aSUnyam iti nimittam
   ity animittam iti praṇihitam ity apraṇihitam iti na sthātavyam	iti animittam iti praNihitam iti apraNihitam iti na sTAtavyam
   upalambhayogena. evaṃ vyastasamasteṣu	upalamBa yogena. evam vyasta samastezu
   skandhadhātvāyatanapratītyasamupādāṅgeṣu pāramitāsu bodhipakṣyeṣu dharmeṣv	skanDa DAtu Ayatana pratItya samupAda aFgezu pAramitAsu boDi pakzyezu Darmezu 
   apramāṇadhyānārūpyasamāpattiṣu satyābhijñāsu samādhiṣu sarvadhāraṇīmukheṣu	apramANa DyAna ArUpya samApattizu satya aBijQAsu samADizu sarva DAraNI muKezu
   daśabalavaiśāradyapratisaṃvitsv aṣṭādaśāveṇikeṣu buddhadharmeṣu yāvat	daSa bala vESAradya pratisaMvitsu azwAdaSa AveNikezu budDa Darmezu yAvat 
   sarvākārajñatāyāṃ sarveṣu teṣu nityam iti na sthātavyam evam anityam iti	sarva AkAra jQa tAyAm sarvezu tezu nityam iti na sTAtavyam evam anityam iti
   sukham iti duḥkham ity ātmeti anātmeti śāntam ity aśāntam iti viviktam ity	suKam iti duHKam iti AtmA iti anAtmA iti SAntam iti aSAntam iti viviktam iti 
   aviviktam iti na sthātavyaṃ, śūnyam iti aśūnyam iti nimittam ity animittam	aviviktam iti na sTAtavyan, SUnyam iti aSUnyam iti nimittam iti animittam
   iti praṇihitam ity apraṇihitam iti na sthātavyam upalambhayogena.	iti praNihitam iti apraNihitam iti na sTAtavyam upalamBa yogena.
   punar aparaṃ kauśika srotaāpattiphalam asaṃskṛtaprabhāvitam iti na	punar aparam kOSika srotaApatti Palam asaMskRta praBAvitam iti na
   sthātavyam evaṃ sakṛdāgāmiphalam anāgāmiphalam arhattvaṃ	sTAtavyam evam sakRdAgAmi Palam anAgAmi Palam arhat tvam
   pratyekabuddhatvam asaṃskṛtaprabhāvitam iti na sthātavyaṃ, buddhatvam	pratyekabudDa tvam asaMskRta praBAvitam iti na sTAtavyan, budDa tvam
   asaṃskṛtaprabhāvitam iti na sthātavyaṃ. srotaāpanno dakṣiṇīya iti na	asaMskRta praBAvitam iti na sTAtavyan. srotaApannaH dakziNIyaH iti na
   sthātavyam, evaṃ sakṛdāgāmī, anāgāmī, arhan pratyekabuddhas tathāgato	sTAtavyam, evam sakRdAgAmI, anAgAmI, arhan pratyekabudDaH taTAgataH 
   dakṣiṇīya iti na sthātavyam upalambhayogena. iti kṣāntigatam	dakziNIyaH iti na sTAtavyam upalamBa yogena. iti kzAnti gatam
   punar aparaṃ kauśika bodhisattvena mahāsattvena prathamāyāṃ bhūmau na	punar aparam kOSika boDisattvena mahAsattvena praTamAyAm BUmO na
   sthātavyam. evaṃ dvitīyāyāṃ bhūmau tṛtīyāyāṃ bhūmau caturthyāṃ bhūmau	sTAtavyam. evam dvitIyAyAm BUmO tRtIyAyAm BUmO caturTyAm BUmO
   pañcamyāṃ bhūmau ṣaṣṭhyāṃ bhūmau saptamyāṃ bhūmāv aṣṭamyāṃ bhūmau navamyāṃ	paQcamyAm BUmO zazWyAm BUmO saptamyAm BUmO azwamyAm BUmO navamyAm
   bhūmau daśamyāṃ bhūmau na sthātavyam upalambhayogena. prathamacittotpāde	BUmO daSamyAm BUmO na sTAtavyam upalamBa yogena. praTama citta utpAde
   sthitvā dānapāramitāṃ paripūrayiṣyāmīti na sthātavyam. evaṃ śīlapāramitāṃ	sTitvA dAna pAramitAm paripUrayizyAmi iti na sTAtavyam. evam SIla pAramitAm
   kṣāntipāramitāṃ vīryapāramitāṃ dhyānapāramitāṃ prajñāpāramitāṃ	kzAnti pAramitAm vIrya pAramitAm DyAna pAramitAm prajQApAramitAm
   paripūrayiṣyāmīti na sthātavyam upalambhayogena. evaṃ	paripUrayizyAmi iti na sTAtavyam upalamBa yogena. evam
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgān	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgAn
   paripūrayiṣyāmīti na sthātavyam upalambhayogena. bodhisattvaniyāmam	paripUrayizyAmi iti na sTAtavyam upalamBa yogena. boDisattva niyAmam
   avakrāmayiṣyāmīti bodhisattvena mahāsattvena na sthātavyam	avakrAmayizyAmi iti boDisattvena mahAsattvena na sTAtavyam
   upalambhayogena. bodhisattvaniyāmam avakramyāvinivartanīyabhūmau	upalamBa yogena. boDisattva niyAmam avakramya avinivartanIya BUmO
   sthāsyāmīti, evam api bodhisattvena mahāsattvena na sthātavyam	sTAsyAmi iti, evam api boDisattvena mahAsattvena na sTAtavyam
   upalambhayogena. pañcābhijñāḥ paripūrayiṣyāmīti bodhisattvena mahāsattvena	upalamBa yogena. paQca aBijQAH paripUrayizyAmi iti boDisattvena mahAsattvena
   na sthātavyam upalambhayogena. pañcasu bodhisattvābhijñāsu	na sTAtavyam upalamBa yogena. paQcasu boDisattva aBijQAsu
   sthitvāsaṃkhyeyāny aprameyāny aparimāṇāni buddhakṣetrāṇy	sTitvA asaMKyeyAni aprameyAni aparimANAni budDa kzetrANi 
   upasaṃkramiṣyāmīti, (PSP_2 3:9) buddhāṃś ca bhagavato darśanāya vandanāya	upasaMkramizyAmi iti, (PSu _2 3:9) budDAn ca BagavataH darSanAya vandanAya
   pūjanāya paryupāsanāya dharmaśravaṇāya ca śrutvā ca tathatvāya pratipatsye	pUjanAya paryupAsanAya Darma SravaNAya ca SrutvA ca taTatvAya pratipatsye
   pareṣāṃ ca dharmaṃ deśayiṣyāmīti bodhisattvena mahāsattvena na sthātavyam	parezAm ca Darmam deSayizyAmi iti boDisattvena mahAsattvena na sTAtavyam
   upalambhayogena. yādṛśāni ca teṣāṃ buddhānāṃ bhagavatāṃ buddhakṣetrāṇi	upalamBa yogena. yAdRSAni ca tezAm budDAnAm BagavatAm budDa kzetrANi
   tādṛśāni niṣpādayiṣyāmīti bodhisattvena mahāsattvena na sthātavyam	tAdRSAni nizpAdayizyAmi iti boDisattvena mahAsattvena na sTAtavyam
   upalambhayogena. sattvān anuttarāyāṃ samyaksaṃbodhau paripācayiṣyāmīti	upalamBa yogena. sattvAn anuttarAyAm samyaksaMboDO paripAcayizyAmi iti
   bodhisattvena mahāsattvena na sthātavyam upalambhayogena. aprameyeṣv	boDisattvena mahAsattvena na sTAtavyam upalamBa yogena. aprameyezu 
   asaṃkhyeyeṣu lokadhātuṣv gatvā tathāgatān arhataḥ samyaksaṃbuddhān	asaMKyeyezu lokaDAtuzu gatvA taTAgatAn arhataH samyaksaMbudDAn
   satkariṣyāmīti gurukariṣyāmīti mānayiṣyāmīti	satkarizyAmi iti gurukarizyAmi iti mAnayizyAmi iti
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākāduṣyakoṭīniyutaśatasahasrais	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkA duzya kowI niyuta Sata sahasrEH 
   tāṃs tathāgatān pūjayiṣyāmīti, evam api na sthātavyam aprameyān	tAn taTAgatAn pUjayizyAmi iti, evam api na sTAtavyam aprameyAn
   asaṃkhyeyān sattvān anuttarāyāṃ samyaksaṃbodhau pratiṣṭhāpayiṣyāmīti	asaMKyeyAn sattvAn anuttarAyAm samyaksaMboDO pratizWApayizyAmi iti
   bodhisattvena mahāsattvena na sthātavyaṃ. pañca cakṣūṃṣi utpādayiṣyāmīti	boDisattvena mahAsattvena na sTAtavyan. paQca cakzUMzi utpAdayizyAmi iti
   na sthātavyaṃ māṃsacakṣur divyacakṣuḥ prajñācakṣur dharmacakṣur	na sTAtavyam mAMsacakzuH divya cakzuH prajQAcakzuH Darma cakzuH 
   buddhacakṣur utpādayiṣyāmīti na sthātavyaṃ sarvasamādhīn niṣpādayiṣyāmīti	budDacakzuH utpAdayizyAmi iti na sTAtavyam sarva samADIt nizpAdayizyAmi iti
   na sthātavyaṃ. yena yena punaḥ samādhinākāṅkṣiṣyāmi vikrīḍituṃ tena tena	na sTAtavyan. yena yena punar samADinA AkAFkzizyAmi vikrIxitum tena tena
   samādhinā vikrīḍiṣyāmīti na sthātavyaṃ sarvadhāraṇīmukhāni	samADinA vikrIxizyAmi iti na sTAtavyam sarva DAraNI muKAni
   niṣpādayiṣyāmīti na sthātavyam. apramāṇadhyānārūpyasamāpattir	nizpAdayizyAmi iti na sTAtavyam. apramANa DyAna ArUpya samApattiH 
   niṣpādayiṣyāmīti na sthātavyam. daśatathāgatabalāni niṣpādayiṣyāmīti na	nizpAdayizyAmi iti na sTAtavyam. daSa taTAgata balAni nizpAdayizyAmi iti na
   sthātavyaṃ. catvāri vaiśāradyāni niṣpādayiṣyāmīti na sthātavyaṃ. catasraḥ	sTAtavyan. catvAri vESAradyAni nizpAdayizyAmi iti na sTAtavyan. catasraH
   pratisaṃvido niṣpādayiṣyāmīti na sthātavyam. aṣṭādaśāveṇikān buddhadharmān	pratisaMvidaH nizpAdayizyAmi iti na sTAtavyam. azwAdaSa AveNikAn budDa DarmAn
   pariniṣpādayiṣyāmīti bodhisattvena mahāsattvena na sthātavyam	parinizpAdayizyAmi iti boDisattvena mahAsattvena na sTAtavyam
   upalambhayogena. mahāmaitrīṃ mahākaruṇāṃ niṣpādayiṣyāmīti na sthātavyam.	upalamBa yogena. mahA mEtrIm mahA karuNAm nizpAdayizyAmi iti na sTAtavyam.
   dvātriṃśac ca mahāpuruṣalakṣaṇāni kāye niṣpādayiṣyāmīti na sthātavyam.	dvAtriMSat ca mahApuruza lakzaNAni kAye nizpAdayizyAmi iti na sTAtavyam.
   aśītyanuvyañjanāni niṣpādayiṣyāmīti bodhisattvena mahāsattvena na	aSIti anuvyaQjanAni nizpAdayizyAmi iti boDisattvena mahAsattvena na
   sthātavyam upalambhayogena. śraddhānusārī dharmānusāry aṣṭamakaḥ	sTAtavyam upalamBa yogena. SradDA anusArI Darma anusArI azwamakaH
   srotaāpannaḥ saptakṛtvo bhavaparama iti na sthātavyam. kulaṃkula iti	srotaApannaH sapta kRtvas Bava paramaH iti na sTAtavyam. kulaMkulaH iti
   ekavīcika iti na sthātavyam. samaśīrṣaḥ pudgala iti na sthātavyam.	ekavIcikaH iti na sTAtavyam. samaSIrzaH pudgalaH iti na sTAtavyam.
   āyuḥkṣaye kleśakṣaye ca na sthātavyam. srotaāpanno 'vinipātadharma iti na	AyuH kzaye kleSa kzaye ca na sTAtavyam. srotaApannaH avinipAta DarmaH iti na
   sthātavyaṃ. sakṛdāgāmī sakṛd imaṃ lokam āgamya duḥkhasyāntaṃ kariṣyāntaṃ	sTAtavyan. sakRdAgAmI sakRt imam lokam Agamya duHKasya antam karizyA antam
   kariṣyāmīti na sthātavyam. anāgāmy anāgāmiphalaṃ sākṣātkriyāyai pratipanna	karizyAmi iti na sTAtavyam. anAgAmi anAgAmi Palam sAkzAtkriyAyE pratipanna
   iti na sthātavyam. anāgāmī tatraiva parinirvāyīti na sthātavyam. arhann	iti na sTAtavyam. anAgAmI tatra eva parinirvAyi iti na sTAtavyam. arhan= 
   arhatphalaṃ sākṣātkriyāyai pratipanna iti na sthātavyam. arhann	arhat Palam sAkzAtkriyAyE pratipannaH iti na sTAtavyam. arhan= 
   (PSP_2 3:10) ihaivānupadhiśeṣe nirvāṇadhātau parinirvāyīti na sthātavyam.	(PSu _2 3:10) iha eva anupaDi Seze nirvANa DAtO parinirvAyi iti na sTAtavyam.
   pratyekabuddha iti na sthātavyam. bodhisattvo 'tikramya śrāvakābhūmiṃ ca	pratyekabudDaH iti na sTAtavyam. boDisattvaH atikramya SrAvaka aBUmim ca
   pratyekabuddhabhūmiṃ ca bodhisattvabhūmau ca sthāsyāmīti na sthātavyam.	pratyekabudDa BUmim ca boDisattva BUmO ca sTAsyAmi iti na sTAtavyam.
   mārgajñatājñāne na sthātavyam upalambhayogena. sarvākāreṇa sarvadharmān	mArga jQa tA jQAne na sTAtavyam upalamBa yogena. sarva AkAreNa sarva DarmAn
   abhisaṃbuddhya sarvavāsanānusaṃdhikleśakṣayāt tathāgato 'rhan	aBisaMbudDya sarva vAsanA anusaMDi kleSa kzayAt taTAgataH arhan
   samyaksaṃbuddho 'nuttarāṃ samyaksaṃbodhim abhisaṃbuddhya dharmacakraṃ	samyaksaMbudDaH anuttarAm samyaksaMboDim aBisaMbudDya Darma cakram
   pravartayiṣyāmīti na sthātavyam. buddhakṛtyaṃ kṛtvāsaṃkhyeyān aprameyān	pravartayizyAmi iti na sTAtavyam. budDa kRtyam kRtvA asaMKyeyAn aprameyAn
   sattvān parinirvāpayiṣyāmīti, evam api na sthātavyam. caturṣv ṛddhipādeṣv	sattvAn parinirvApayizyAmi iti, evam api na sTAtavyam. caturzu RdDi pAdezu 
   indriyeṣu sthitvā tathārūpaṃ samādhiṃ samāpatsye yathārūpeṇa samādhinā	indriyezu sTitvA taTArUpam samADim samApatsye yaTArUpeNa samADinA
   gaṅgānadīvālukopamān kalpān sthāsyāmīti na sthātavyam upalambhayogena.	gaFgA nadI vAlukA upamAn kalpAn sTAsyAmi iti na sTAtavyam upalamBa yogena.
   aparimitaṃ ma āyuḥpramāṇaṃ bhaviṣyatīti na sthātavyam upalambhayogena.	aparimitam me AyuH pramANam Bavizyati iti na sTAtavyam upalamBa yogena.
   dvātriṃśanmahāpuruṣalakṣaṇeṣv ekaikalakṣaṇaṃ śatapuṇyapariniṣpannaṃ	dvAtriMSat mahApuruza lakzaNezu ekEka lakzaNam Sata puNya parinizpannam
   bhaviṣyatīti na sthātavyaṃ. yāvantaḥ pūrveṇa gaṅgānadīvālukopamā	Bavizyati iti na sTAtavyan. yAvantaH pUrveNa gaFgA nadI vAlukA upamA
   lokadhātava evaṃ dakṣiṇapaścimottareṇa gaṅgānadivālukopamā lokadhātavas	lokaDAtavaH evam dakziNa paScima uttareNa gaFgA nadi vAlukA upamAH loka DAtavaH 
   tāvat mamaikaikaṃ buddhakṣetraṃ bhaviṣyatīti na sthātavyam. vajramayo me	tAvat mama ekEkam budDa kzetram Bavizyati iti na sTAtavyam. vajra mayaH me
   trisāhasramahāsāhasro lokadhātur bhaviṣyatīti na sthātavyam. bodhivṛkṣān	tri sAhasra mahA sAhasraH lokaDAtuH Bavizyati iti na sTAtavyam. boDi vRkzAn
   me tādṛggandho niścared, yas taṃ gandhaṃ ghrāyeta tasya sarvakāyasya na	me tAdRS ganDaH niScared, yaH tam ganDam GrAyeta tasya sarva kAyasya na
   rāgo bādheta, na dveṣo bādheta, na moho bādheta, na kasyacic	rAgaH bADeta, na dvezaH bADeta, na mohaH bADeta, na kasyacid 
   chrāvakacittaṃ vā pratyekabuddhacittaṃ vā syāt, sarve ca te sattvā niyatā	CrAvaka cittam vA pratyekabudDa cittam vA syAt, sarve ca te sattvAH niyatA
   bhaviṣyanty anuttarāyāṃ samyaksaṃbodhau, ye ca te sattvās taṃ gandhaṃ	Bavizyanti anuttarAyAm samyaksaMboDO, ye ca te sattvAH tam ganDam
   ghrāsyanti teṣāṃ na kaścid vyādhir bhaved iti evam api na sthātavyaṃ.	GrAsyanti tezAm na kaScid vyADiH Bavet iti evam api na sTAtavyaM.
   tatra ca buddhakṣetre na rūpaśabdo, na vedanāyā, na saṃjñāyā, na	tatra ca budDa kzetre na rUpa Sabdo, na vedanAyA, na saMjQAyA, na
   saṃskārāṇāṃ, na vijñānaśabdo bhaviṣyatīti na sthātavyam. na	saMskArANAM, na vijQAna SabdaH Bavizyati iti na sTAtavyam. na
   dānapāramitāyāḥ śabdo bhaviṣyatīti, evaṃ na śīlapāramitāyā na	dAna pAramitAyAH SabdaH Bavizyati iti, evam na SIla pAramitAyAH na
   kṣāntipāramitāyā na vīryapāramitāyā na dhyānapāramitāyā na	kzAnti pAramitAyAH na vIrya pAramitAyAH na DyAna pAramitAyAH na
   prajñāpāramitāyāḥ śabdo bhaviṣyatīti na sthātavyam. na smṛtyupasthānaśabdo	prajQApAramitAyAH SabdaH Bavizyati iti na sTAtavyam. na smRti upasTAna SabdaH 
   bhaviṣyatīti, na	Bavizyati iti, na
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgāpramāṇadhyānārūpyasamāpattyabhijñāryasatyadaśabalavaiśāradyapratisaṃvidaṣṭādaśāveṇikabuddhadharmaśabdo	samyak prahANa RdDi pAda indriya bala boDi aFga mArga apramANa DyAna ArUpya samApatti aBijQa Arya satya daSa bala vESAradya pratisaMvid azwAdaSa AveNika b
   bhaviṣyatīti, evaṃ na yāvat	Bavizyati iti, evam na yAvat 
   srotaāpannasakṛdāgāmyanāgāmyarhatpratyekabuddhabodhisattvabuddhaśabdo	srotaApanna sakRdAgAmi anAgAmi arhat pratyekabudDa boDisattva budDa SabdaH 
   bhaviṣyatīti na sthātavyaṃ, vistareṇa kartavyam. tat kasya hetos?	Bavizyati iti na sTAtavyan, vistareNa kartavyam. tat kasya hetos?
   tathāgatenārhatā samyaksaṃbuddhenānuttarāṃ samyaksaṃbodhim abhisaṃbudhya	taTAgatena arhatA samyaksaMbudDena anuttarAm samyaksaMboDim aBisaMbuDya
   (PSP_2 3:11) sarvadharmā nopalabdhāḥ. evaṃ hi kauśika bodhisattvena	(PSu _2 3:11) sarva DarmAH na upalabDAH. evam hi kOSika boDisattvena
   mahāsattvena prajñāpāramitāyām upalambhayogena na sthātavyam.	mahAsattvena prajQApAramitAyAm upalamBa yogena na sTAtavyam.
