   akasmāj jāyate yatra ST_2.49a	akasmAt jAyate yatra ST_2.49a
   mugdhatvād duḥsthitāpi tam ST_1.60b	mugDa-tvAt duHsTitA-api tam ST_1.60b
   mugdhā nava-vadhūs tatra ST_1.35a	mugDA nava-vaDUH tatra ST_1.35a
   mugdhā madhyā pragalbhā ca ST_1.34c	mugDA maDyA pragalBA ca ST_1.34c
   mugdhām āvarjayaty eṣa ST_1.37a	mugDAm Avarjayati eza ST_1.37a
   mugdhā vyājaṃ vinā veśyā ST_3.52a	mugDAH vyAjam vinA veSyA ST_3.52a
   mugdhā svapna-samāgate priyatame tat-pāṇi-saṃsparśanā- ST_1.51ca	mugDA svapna--samAgate priyatame tat-pANi--saMsparSanA ST_1.51ca
   mugdhe tvaṃ subhage na vetsi madana-vyāpāram adyāpi taṃ ST_3.3aa	mugDe tvam suBage na vetsi madana--vyApAram adya-api tam ST_3.3aa
   muñcāgrahaṃ vikaca-paṅkaja-yojaneṣu ST_2.2ac	muQcAgraham vikaca--paFkaja--yojanezu ST_2.2ac
   mudam agād adhikāṃ suaratād api ST_1.35cd	mudam agAt aDikAm suaratAt api ST_1.35cd
   mudhā santāpena glapayasi kim aṅgaṃ smara-bhuvā ST_1.32ab	muDA santApena glapayasi kim aFgam smara-BuvA ST_1.32ab
   muhyatīva sukhe yathā ST_1.40d	muhyati-iva suKe yaTA ST_1.40d
   mūrcchāṃ harāmi sā tava gata-puṇyā nayana-salilena ST_2.60cb	mUrcCAm harAmi sA tava gata--puNyA nayana--salilena ST_2.60cb
   mūrchā-virāma-lalitaṃ mayi dhehi cakṣuḥ ST_2.60dd	mUrCA--virAma-lalitam mayi Dehi cakzuH ST_2.60dd
   mṛga-dṛśi tathaitasyāṃ manye smareṇa kṛtaṃ padam ST_2.7bd	mRga-dRSi taTA-etasyAm manye smareNa kRtam padam ST_2.7bd
   mṛṇāla-kadalī-candra- ST_2.3a	mRNAla--kadalI-candra ST_2.3a
   mṛtakalpo'pi tad-gatam ST_2.60b	mRta-kalpaH-api tat--gatam ST_2.60b
   mṛtyuś ced avadheḥ paraḥ ST_2.58d	mRtyuH ced avaDeH paraH ST_2.58d
   mṛdūpāyena sāntvayan ST_1.37b	mRdu-upAyena sAntvayan ST_1.37b
   mṛd-gātyāśu karaṃ kareṇa bahuśaḥ santāḍyamāno'pi san ST_1.28ab	mRd-gAti-ASu karam kareNa bahuSas santAxyamAnaH-api san ST_1.28ab
   meghāś cāmṛta-dhāriṇo'pi vihitāḥ prāyo viṣa-syandinaḥ ST_2.57bb	meGAH ca-amRta--DAriNaH-api vihitAH prAyas viza-syandinaH ST_2.57bb
   mthyālambita-sauṣṭhavena kim ataḥ kopena kāntaṃ prati ST_1.32cd	mTyA-Alambita--sOzWavena kim atas kopena kAntam prati ST_1.32cd
   mriyate cen na saṅgamaḥ ST_2.19d	mriyate ced na saFgamaH ST_2.19d
   mlāyad-bāla-mṛṇāla-nāla-lalitā prāptā tanus tānavaṃ ST_2.14ac	mlAyad--bAla--mRNAla-nAla--lalitA prAptA tanuH tAnavam ST_2.14ac
   mlāyad-bāla-mṛṇālikā-dhavalatām ālambate'ṅga-cchaviḥ ST_2.58cb	mlAyad--bAla-mRNAlikA-a-Davala-tAm Alambate-aFga-cCaviH ST_2.58cb
   mlāyad-vaktra-ruco virodhi-vanitāstrasyanti naśyanti ca ST_3.41bd	mlAyad-vaktra--rucaH viroDi-vanitAH-trasyanti naSyanti ca ST_3.41bd
   yat khidyate tanur iyaṃ ca tad eṣa doṣaḥ ST_1.53bc	yat Kidyate tanuH iyam ca tat eza dozaH ST_1.53bc
   yat tat ko'pi yuvā dhruvaṃ smara-suhṛc-cetasy amuṣāḥ sthitaḥ ST_2.9ad	yat tat kaH-api yuvA Druvam smara--su-hRc--cetasi amuzAH sTitaH ST_2.9ad
   yat tathāpi vipulācalāḥ śriyaḥ ST_3.44ac	yat taTA-api vipula-acalAH SriyaH ST_3.44ac
   yat pāṇir na nivārito nivasana-granthiṃ saumudgranthaya- ST_1.44ba	yat pANiH na nivAritaH nivasana-granTim sOmudgranTaya ST_1.44ba
   yat-pāda-praṇataḥ priyaḥ paruṣayā vācā sa nirvārito ST_1.77aa	yat-pAda--praNataH priyaH paruzayA vAcA sa nirvAritaH ST_1.77aa
   yatra sveda-kaṇāvalupta-mahimā hāro'py uroja-sthale ST_1.91ac	yatra sveda--kaNA-avalupta--mahimA hAraH-api uroja--sTale ST_1.91ac
   yatra sveda-lavair alaṃ vlulitair vyālupyate candanaṃ ST_1.42ba	yatra sveda-lavEH alam vlulitEH vyAlupyate candanam ST_1.42ba
   yatrādhaḥ-kṛta-kāma-kārmuka-katho bhrāmyad-bhuvor vibhramaḥ ST_1.91aa	yatra-aDas---kRta-kAma--kArmuka-kaTaH BrAmyat--BuvoH viBramaH ST_1.91aa
   yatrāyānty acireṇa sarva-viṣayāḥ kāmaṃ tad-ekāgratāṃ ST_1.42bc	yatra-AyAnti acireNa sarva-vizayAH kAmam tat--ekAgra-tAm ST_1.42bc
   yatrārkāyitam indunā sarasijair aṅgāra-puñjāyitaṃ ST_1.41ba	yatra-arkAyitam indunA sarasijEH aFgAra--puQjAyitam ST_1.41ba
   yatraikasmin vipanne'nyo ST_2.60a	yatra-ekasmin vipanne-anyaH ST_2.60a
   yatrairāvaṇa-danta-tīvra-musalair eraṇḍa-kāṇḍāyitaṃ ST_3.10ca	yatra-ErAvaNa-danta--tIvra--musalEH eraNxa-kANxAyitam ST_3.10ca
   yat-sakhyā na kṛtaṃ vaco jaḍatayā yan-manyur eko dhṛtaḥ ST_1.77ab	yat--saKyA na kRtam vacaH jaxa-tayA yan-manyuH ekaH DRtaH ST_1.77ab
   yat saṅketa-gṛhaṃ priyeṇa kathitaṃ sampreṣya dūtīṃ svayaṃ ST_1.78aa	yat saFketa-gRham priyeNa kaTitam samprezya dUtIm svayam ST_1.78aa
   yat samparkān na yāty eva ST_3.53c	yat samparkAt na yAti eva ST_3.53c
   yat saṃsicya sudhā-rasair iva rater āsthāna-bhūmīkṛtaṃ ST_2.2bc	yat saMsicya suDA-rasEH iva rateH AsTAna--BUmIkRtam ST_2.2bc
   yat sārair iva paṅkajasya ghaṭitaṃ yac candra-garbhād iva ST_2.2ba	yat sArEH iva paFkajasya Gawitam yat candra-garBAt iva ST_2.2ba
   yathā dṛṣṭis tiryak patati sahasā saṅkucati ca ST_1.35bb	yaTA dRzwiH tiryak patati sahasA saFkucati ca ST_1.35bb
   yathā dravyāṇi bhinnāni ST_1.16c	yaTA dravyANi BinnAni ST_1.16c
   yathāmati mayāpy eṣā ST_1.5c	yaTAmati mayA-api ezA ST_1.5c
   yathā romāñco'yaṃ stana-bhuvi lasat-sveda-kaṇiko ST_1.35ba	yaTA romAQcaH-ayam stana--Buvi lasat-sveda--kaNikaH ST_1.35ba
   yathaivoktās tathaivānyāḥ ST_1.84c	yaTA-eva-uktAH taTA-eva-anyAH ST_1.84c
   yathottaraṃ valīyāṃsa ST_2.50a	yaTottaram valIyAMsa ST_2.50a
   yadā rāgo guruḥ sā ca ST_2.28a	yadA rAgaH guruH sA ca ST_2.28a
   yadi kupyati sā priye ST_1.38b	yadi kupyati sA priye ST_1.38b
   yadi jīvet kathaṃcana ST_2.19b	yadi jIvet kaTaMcana ST_2.19b
   yadi dṛśyate na sa yuvā nirbharam āliṅgyate no vā ST_1.51fb	yadi dRSyate na sa yuvA nirBaram AliFgyate naH vA ST_1.51fb
   yadi na syāt samāgamaḥ ST_2.16b	yadi na syAt samAgamaH ST_2.16b
   yadi prema samaṃ dvayoḥ ST_2.21b	yadi prema samam dvayoH ST_2.21b
   yad vācaḥ pracuropacāra-caturā yat sādaraṃ dūrataḥ ST_1.44aa	yat vAcaH pracura-upacAra--caturA yat sa-Adaram dUratas ST_1.44aa
   yan niḥśaṅkam ivārpitaṃ vapur aho patyuḥ samāliṅgane ST_1.44bc	yat niHSaFkam iva-arpitam vapuH aho patyuH samAliFgane ST_1.44bc
   yaśodākṛta-rakṣasya ST_3.44ba	yaSodA-kRta-rakzasya ST_3.44ba
   yasmin parijanaṃ tasyāḥ ST_2.46a	yasmin parijanam tasyAH ST_2.46a
   yasmin prasādyate yoṣid ST_2.47c	yasmin prasAdyate yozit ST_2.47c
   yasmin ramyam aramyaṃ vā ST_2.11a	yasmin ramyam aramyam vA ST_2.11a
   yasyā rati-guṇākṛṣṭaḥ ST_1.74a	yasyAH rati-guNa-AkRzwaH ST_1.74a
   yasyāstena vinā duḥsthā ST_1.78c	yasyAH-tena vinA duHsTA ST_1.78c
   yasyāḥ pāda-talāhatiṃ tava hṛdi vyākhyāty asau yāvakaḥ ST_1.28bb	yasyAH pAda-talAhatim tava hRdi vyAKyAti asO yAvakaH ST_1.28bb
   yaḥ prāṇāpahatiḥ kṛtā mama pituḥ kṣudrair yudhi kṣatriyai ST_3.7aa	yaH prANa-apahatiH kRtA mama pituH kzudrEH yuDi kzatriyE ST_3.7aa
   yā kupyati vinā doṣaṃ ST_1.91a	yA kupyati vinA dozam ST_1.91a
   yā citra-yuddha-bhrama-śastra-pāta- ST_3.40a	yA citra--yudDa--Brama--Sastra-pAta ST_3.40a
   yātas tiryag amū dṛśau ca balavad bhrū-yugmaam udbhrāmyati ST_2.34ab	yAtaH tiryak amU dRSO ca balavat BrU--yugmaam udBrAmyati ST_2.34ab
   yā nirlajjīkṛtā bāḍhaṃ ST_1.80a	yA nirlajjIkRtA bAXam ST_1.80a
   yā nṛtya-gīta-pramadopabhoga- ST_3.38a	yA nRtya-gIta--pramada-upaBoga ST_3.38a
   yāminīvendunā muktā ST_1.6a	yAminIva-indunA muktA ST_1.6a
   yā raty-utthātiriktayoḥ ST_1.21b	yA rati--utTa-atiriktayoH ST_1.21b
   yā svīyā tāṃ prati prema ST_1.49c	yA svIyA tAm prati prema ST_1.49c
   yuktyā kṛto'pi saṃbhedas ST_3.23c	yuktyA kRtaH-api saMBedaH ST_3.23c
   yuddhaṃ yady avalambate sa tu punaḥ sajjo'smy ahaṃ rāvaṇaḥ ST_3.10cd	yudDam yadi avalambate sa tu punar sajjaH-asmi aham rAvaNaH ST_3.10cd
   yuddhaṃ siddha-vadhū-gṛhīta-subhaṭaṃ jātaṃ tadā durdharam ST_3.41ad	yudDam sidDa--vaDU--gRhIta-su-Bawam jAtam tadA durDaram ST_3.41ad
   yuvā parāṃ nibhṛtam acumbad aṅganām ST_1.48ad	yuvA parAm niBRtam acumbat aFganAm ST_1.48ad
   yuvām alaṃ nibhṛtam ihaiva tiṣṭhatām ST_2.67fb	yuvAm alam niBRtam iha-eva tizWatAm ST_2.67fb
   yūkābhayena paridhāna-vimokṣaṇaṃ syāt ST_1.3d	yUkA-aBayena pariDAna--vimokzaNam syAt ST_1.3d
   yūnāṃ kāmam iyaṃ dunoti ca mano vaidhavya-bhāvād vadhūḥ ST_3.5ab	yUnAm kAmam iyam dunoti ca manaH vEDavya-BAvAt vaDUH ST_3.5ab
   yena sakhi vallabhām api na smarati sa māṃ videśa-ruciḥ ST_2.58db	yena saKi vallaBAm api na smarati sa mAm videSa-ruciH ST_2.58db
   yenākasmād valaya-padavīm aṅgulīyaṃ prayāti ST_1.60ad	yena-akasmAt valaya--padavIm aFgulIyam prayAti ST_1.60ad
   ye proktās tatra niścitam ST_3.20b	ye proktAH tatra niScitam ST_3.20b
   yair niḥsīma-sarasvatī-vilasitaṃ dvitraiḥ padaiḥ saṃhṛtaṃ ST_1.4c	yEH niHsIma--sarasvatI--vilasitam dvitrEH padEH saMhRtam ST_1.4c
   yaiḥ saṃsāra-samudra-pāta-vidhur eṣv anyeṣu potayitam ST_1.4b	yEH saMsAra--samudra-pAta-viDuH ezu anyezu potayitam ST_1.4b
   yo gauravaṃ bhayaṃ prema ST_1.26a	yaH gOravam Bayam prema ST_1.26a
   yoṣitāṃ mantra-sarvasva- ST_2.68c	yozitAm mantra--sarva-sva ST_2.68c
   yau janya-janakāv etau ST_3.23a	yO janya-janakO etO ST_3.23a
   yauvanaṃ mānaya spaṣṭam ST_3.47c	yOvanam mAnaya spazwam ST_3.47c
   raktān karoti suhṛdo malinayati ca vairi-vadanāni ST_3.43cb	raktAn karoti suhRdaH malinayati ca vEri-vadanAni ST_3.43cb
   raktāparaktā vṛttiś cec ST_2.21c	rakta-aparaktA vRttiH ced ST_2.21c
   raktā śaknoty amuṃ sphuṭam ST_1.52b	raktA Saknoti amum sPuwam ST_1.52b
   rakṣaḥ-prāyo bhaved atra ST_3.7c	rakzaH--prAyaH Bavet atra ST_3.7c
   rajyate ca bhṛśaṃ nāthe ST_1.89c	rajyate ca BRSam nATe ST_1.89c
   ratir hāsaś ca śokaś ca ST_1.10a	ratiH hAsaH ca SokaH ca ST_1.10a
   ratyādaya ime bhāvā ST_3.25a	rati-AdayaH ime BAvAH ST_3.25a
   ratyautsukyād itas tataḥ ST_2.12b	ratyA-OtsukyAt itas tatas ST_2.12b
   ramayati sutarāṃ tac-cittam antar navoḍhā ST_1.36ad	ramayati sutarAm tat--cittam antar na-va-UXA ST_1.36ad
   ramyās te kṛtināṃ matāḥ ST_3.24d	ramyAH te kRtinAm matAH ST_3.24d
   ralasa-valitair aṅga-nyāsair mahotsava-bandhubhiḥ ST_1.42db	rala-sa-valitEH aFga-nyAsEH mahA-utsava--banDuBiH ST_1.42db
   rasa eko nirantaram ST_3.48b	rasaH ekaH nirantaram ST_3.48b
   rasa-viśeṣam aśeṣam upeyuṣā ST_3.54b	rasa--viSezam aSezam upeyuzA ST_3.54b
   rasānāṃ parivṛddhaye ST_3.39b	rasAnAm parivRdDaye ST_3.39b
   rasābhiprāya-sūcakāḥ ST_3.25b	rasa-aBiprAya--sUcakAH ST_3.25b
   rasāvasthāna-sūcakāḥ ST_1.19d	rasa-avasTAna--sUcakAH ST_1.19d
   rasāv uktau manīṣibhiḥ ST_3.23b	rasO uktO manIziBiH ST_3.23b
   rase'sminn adbhute budhāḥ ST_3.36d	rase-asmin adBute buDAH ST_3.36d
   raso rasa-vicakṣaṇaiḥ ST_3.16b	rasaH rasa--vicakzaNEH ST_3.16b
   rahaḥ-sthayor idam abhidhāya kāminoḥ ST_2.67fc	rahaH--sTayoH idam aBiDAya kAminoH ST_2.67fc
   rāgaḥ syāt kiṃ nu sarvathā ST_1.65b	rAgaH syAt kim nu sarvaTA ST_1.65b
   rāgākulita-cetasoḥ ST_2.4b	rAga-Akulita-cetasoH ST_2.4b
   rāgo visphuraṇānubandha-ruciraḥ saṃdarśito gaṇḍayoḥ ST_2.32ab	rAgaH visPuraNa-anubanDa--ruciraH saMdarSitaH gaNxayoH ST_2.32ab
   rāmo'haṃ ramaṇīr vihāya balavan niḥśeṣam eṣāṃ haṭhāt ST_3.7ab	rAmaH-aham ramaNIH vihAya balavat niHSezam ezAm haWAt ST_3.7ab
   ruṇadhmy ahaṃ tad iti nimīya locane ST_1.48ab	ruNaDmI aham tat iti nimIya locane ST_1.48ab
   rodanaṃ dīna-niḥsvanaḥ ST_3.6b	rodanam dIna--niHsvanaH ST_3.6b
   rodity aṅga-gatāṃ vilokya suciraṃ vīṇām api vyāpṛtā ST_2.13ac	roditi aFga--gatAm vilokya su-ciram vINAm api vyApRtA ST_2.13ac
   rodity asyāgrataḥ svalpam ST_1.38c	roditi asya-agratas su-alpam ST_1.38c
   romāñca-vepathu-stambha- ST_1.94a	romAQca--vepaTu--stamBa ST_1.94a
   raudra-vīra-bhayānakāḥ ST_1.9b	rOdra-vIra--BayAnakAH ST_1.9b
   raudrādbhutau tathā hāsya- ST_3.21c	rOdra-adButO taTA hAsya ST_3.21c
   raudre bhayānake caiva ST_3.41a	rOdre BayAnake ca-eva ST_3.41a
   raudre bhāvāḥ prakīrtitāḥ ST_3.32d	rOdre BAvAH prakIrtitAH ST_3.32d
   raudro dakṣa-vimardane ca hasakṛn nagnaḥ praśāntaś cirād ST_1.1c	rOdraH dakza--vimardane ca hasakRt nagnaH praSAntaH cirAt ST_1.1c
   rdhruvam upagate karṇau praṣṭuṃ kuraṅga-dṛśau dṛśau ST_1.27ad	rDruvam upagate karNO prazwum kuraFga-dRSO dRSO ST_1.27ad
   rviśrāntaṃ kuta eva lola-nayane kiṃ lohite locane ST_2.35ab	rviSrAntam kutas eva lola-nayane kim lohite locane ST_2.35ab
   lakṣmīr iva ṛte tyāgān ST_1.6c	lakzmIH iva Rte tyAgAn ST_1.6c
   lakṣmyās tvaṃ janako nidhiś ca payasāṃ niḥśeṣa-ratnākaro ST_3.43aa	lakzmyAH tvam janakaH niDiH ca payasAm niHSeza--ratna-AkaraH ST_3.43aa
   lajjā-prāya-ratir yathā ST_1.35d	lajjA--prAya-ratiH yaTA ST_1.35d
   lajjā-smara-vyatikareṇa mano'dhināthe ST_1.52ac	lajjA--smara--vyatikareNa manaH-aDinATe ST_1.52ac
   labdhāyatiḥ pragalbhā syāt ST_1.42a	labDAyatiH pragalBA syAt ST_1.42a
   labhyate naiva yācitā ST_2.28b	laByate na-eva yAcitA ST_2.28b
   lalita-kuśalo'py ālīloko yathātivisismaye ST_1.50ad	lalita-kuSalaH-api AlIlokaH yaTA-ati-visismaye ST_1.50ad
   lalita-pādapadāsadalaṅkṛtiḥ ST_3.54c	lalita-pAda-padAsat-alaFkRtiH ST_3.54c
   lalitā ca bhaved yathā ST_2.48d	lalitA ca Bavet yaTA ST_2.48d
   likhati kucayoḥ patraṃ kaṇṭhe niyojayati srajaṃ ST_1.74aa	liKati kucayoH patram kaNWe niyojayati srajam ST_1.74aa
   liṅgī pracchanna-kāmaś ca ST_1.66a	liFgI pracCanna--kAmaH ca ST_1.66a
   luṭhat-kṛmi-kalevaraṃ sravad-asṛg-vasāvāsitaṃ ST_3.14aa	luWat--kRmi-kalevaram sravat--asRk--vasA-vAsitam ST_3.14aa
   lobhād atipravāsāt strīṇāṃ dveṣyaḥ priyo bhavati ST_2.56b	loBAt ati-pravAsAt strINAm dvezyaH priyaH Bavati ST_2.56b
   vaktraṃ candramasā dṛśau mṛga-gaṇaiḥ keśāḥ kalāpi-vrajair ST_2.60ba	vaktram candramasA dRSO mRga--gaNEH keSAH kalApi-vrajEH ST_2.60ba
   vaktrāntargata-sīdhu-vāsa-rasikair bhṛṅgair yathā dhāvitam ST_3.3ad	vaktra-antargata--sIDu--vAsa--rasikEH BRFgEH yaTA DAvitam ST_3.3ad
   vaktreṣu viśvaṃ paribambhramīti ST_2.70d	vaktrezu viSvam paribamBrami-iti ST_2.70d
   vaktre saṅkaṭa-nāsikā-taralitair niryadbhir atyūṣmabhiḥ ST_1.32cb	vaktre saFkawa-nAsikA-taralitEH niryadBiH ati-UzmaBiH ST_1.32cb
   vakṣaḥ saṃvriyate punaḥ punar idaṃ bhārālasaṃ gamyate ST_1.39bc	vakzaH saMvriyate punar punar idam BAra-alasam gamyate ST_1.39bc
   vacanīyaṃ bhayānake ST_3.34d	vacanIyam BayAnake ST_3.34d
   vacaḥ śrutvety uccair vinihita-dṛśā citra-phalake ST_2.67ab	vacaH SrutvA-iti uccEs vinihita-dRSA citra-Palake ST_2.67ab
   vajreṇāpi vikīrṇa-vahnitatinā mārṇālanālāyitam ST_3.10cb	vajreNa-api vikIrNa-vahni-tatinA mArNAlana-AlAyitam ST_3.10cb
   vadati ca yathā sakhyā sārdhaṃ sahāsam ihotsukā ST_2.7bb	vadati ca yaTA saKyA sArDam sa-hAsam iha-utsukA ST_2.7bb
   vadati ca yad alakṣyaṃ kiñcid uktāpi bhūyo ST_1.36ac	vadati ca yat alakzyam kiQcid uktA-api BUyas ST_1.36ac
   vadana-kamale bhartrā bālā ciraṃ paricumbitā ST_1.37ad	vadana--kamale BartrA bAlA ciram paricumbitA ST_1.37ad
   vanitānām iyaṃ gatiḥ ST_3.16ab	vanitAnAm iyam gatiH ST_3.16ab
   varṇayanty anayā yuktyā ST_1.63c	varNayantI anayA yuktyA ST_1.63c
   varṇādhikānāṃ pramadā na gamyāḥ ST_1.95b	varNa-aDikAnAm pramadAH na gamyAH ST_1.95b
   valati ca śayanīye kampate ca prakāmam ST_1.36ab	valati ca SayanIye kampate ca prakAmam ST_1.36ab
   valgat-pīna-payodhara-sthala-lulan-muktāvalī-sundaram ST_1.56db	valgat--pIna--payoDara--sTala-lulan-muktA-AvalI--sundaram ST_1.56db
   vasudhollekhanair api ST_2.13b	vasuDA-ulleKanEH api ST_2.13b
   vākyair anyārtha-sūcakaiḥ ST_2.47b	vAkyEH anya-arTa--sUcakEH ST_2.47b
   vāgmitā ceti tad-guṇāḥ ST_2.66d	vAgmitA ca-iti tad--guNAH ST_2.66d
   vācas tāś ca vidagdha-bhāva-caturāḥ sphārībhavan manmathā ST_1.22dc	vAcaH tAH ca vidagDa--BAva--caturAH sPArIBavat manmaTA ST_1.22dc
   vācaḥ priyāśritā eva ST_2.12c	vAcaH priya-ASritAH eva ST_2.12c
   vāco vāgmini kiṃ tavādya paruṣāḥ subhru bhruvor vibhramai- ST_2.35aa	vAcaH vAgmini kim tava-adya paruzAH suBru BruvoH viBramE ST_2.35aa
   vācyā pralabdhāgata-bhartṛkotkā- ST_1.82c	vAcyA pralabDa-Agata--BartRkA-utkA ST_1.82c
   vācyāḥ saṃyoga-śṛṅgāre ST_1.94c	vAcyAH saMyoga--SRFgAre ST_1.94c
   vāñchantyā dayitābhisāraṇa-vidhau tanvyā paraṃ tat-param ST_1.80ad	vAQCantyAH dayitA-aBisAraNa--viDO tanvyA param tat--param ST_1.80ad
   vāṇī smṛtāsāv iha kaiśikīti ST_3.38d	vANI smRtA-asO iha kESikI-iti ST_3.38d
   vāmatā durlabhatvaṃ ca ST_2.30a	vAma-tA durlaBa-tvam ca ST_2.30a
   vikasati kairava-nikare sarati ca sarasī-samīraṇo sutanu ST_1.51ea	vikasati kEH-ava--nikare sarati ca sarasI--samIraNaH su-tanu ST_1.51ea
   vikāsaś cātra jāyate ST_3.17d	vikAsaH ca-atra jAyate ST_3.17d
   vikṛtāṅga-vacaḥ-kṛtya- ST_3.1a	vikRta-aFga--vacaH-kRtya ST_3.1a
   vicitra-maṇḍanā hṛṣṭā ST_1.83a	vicitra--maNxanA hRzwA ST_1.83a
   vicitra-vibhramāsaktā ST_1.74c	vicitra-viBrama-AsaktA ST_1.74c
   vicitra-suratā yathā ST_1.39d	vicitra--suratA yaTA ST_1.39d
   vijñāta-nāyikā-cittā ST_1.53a	vijQAta--nAyikA--cittA ST_1.53a
   vijñeyā vyabhicāriṇaḥ ST_1.14b	vijQeyA vyaBicAriNaH ST_1.14b
   vitarko'tha matir dhṛtiḥ ST_3.33b	vitarkaH-aTa matiH DRtiH ST_3.33b
   vidagdha-goṣṭhī-vanitā-manojñaiḥ ST_1.96d	vidagDa---gozWI--vanitA--manojQEH ST_1.96d
   vidagdhaiḥ paścimāḥ kvacit ST_2.50d	vidagDEH paScimAH kvacid ST_2.50d
   vidūṣaka iti tridhā ST_1.30b	vidUzakaH iti triDA ST_1.30b
   vinodo maṇḍanaṃ śikṣo- ST_2.67a	vinodaH maNxanam Sikzo ST_2.67a
   vipinādy-udbhavo yathā ST_3.16d	vipina-Adi--udBavaH yaTA ST_3.16d
   vipralabdhā tu sā yathā ST_1.78d	vipralabDA tu sA yaTA ST_1.78d
   vipralambhābhidhāno'yaṃ śṛṅgāraḥ syāc caturvidhaḥ ST_2.1a	vipralamBa-aBiDAnaH-ayam SRFgAraH syAt caturviDaH ST_2.1a
   vipralambho viyuktayoḥ ST_1.22b	vipralamBaH viyuktayoH ST_1.22b
   vipriyaṃ kurute bhṛśam ST_1.27b	vipriyam kurute BRSam ST_1.27b
   vimuñcāmuṃ mānaṃ saphalaya vacaḥ sādhu suhṛdāṃ ST_1.32aa	vimuQca-amum mAnam saPalaya vacaH sADu suhRdAm ST_1.32aa
   vimṛja dhehi dhṛtiṃ mama medasā ST_3.10ab	vimRja Dehi DRtim mama medasA ST_3.10ab
   virama nātha vimuñca mamāñcalaṃ ST_1.35ca	virama nATa vimuQca mama-aQcalam ST_1.35ca
   virasaṃ pratyanīkaṃ ca ST_3.46a	virasam pratyanIkam ca ST_3.46a
   viraha-vidhuro nāsyāḥ pārśvaṃ vimuñcati vallabhaḥ ST_1.74ad	viraha--viDuraH na-asyAH pArSvam vimuQcati vallaBaH ST_1.74ad
   virājad-vibhramā yathā ST_1.42d	virAjat--viBramAH yaTA ST_1.42d
   vilakṣas tarjito'pi no ST_1.28b	vilakzaH tarjitaH-api no ST_1.28b
   vilāsinī-ramya-mukhāmbujanmasu ST_3.39cc	vilAsinI--ramya--muKa-ambujan-masu ST_3.39cc
   vilāsaiś ca prāptaṃ tava hṛdi padaṃ raga-bahulair ST_1.45ac	vilAsEH ca prAptam tava hRdi padam raga--bahulEH ST_1.45ac
   vivikte'pi hriyā yathā ST_1.52d	vivikte-api hriyAH yaTA ST_1.52d
   vividhā vākya-kṣepāḥ sotsāhāmarṣa-vegāś ca ST_3.11b	viviDAH vAkya-kzepAH sa-utsAha-amarza--vegAH ca ST_3.11b
   vivṛtānana-paṅkajaḥ ST_3.3b	vivRta-Anana--paFkajaH ST_3.3b
   viśatīva tad-aṅgeṣu ST_1.40c	viSati-iva tad--aFgezu ST_1.40c
   viśīrṇa-śava-saṃtati-prasarad-ugra-gandhānvitam ST_3.14ab	viSIrNa-Sava--saMtati--prasarat--ugra--ganDa-anvitam ST_3.14ab
   viśeṣā bhāva-rūpiṇaḥ ST_1.17d	viSezAH BAva--rUpiNaH ST_1.17d
   viṣādo jaḍatā nidrā- ST_3.29a	vizAdaH jaxa-tA nidrA ST_3.29a
   visphāra-sphuritādharāpi vikasad-gaṇḍa-sthala-praskhala- ST_1.90aa	visPAra--sPurita-aDarA-api vikasat--gaNxa--sTala--prasKala ST_1.90aa
   vismayaṃ paramaṃ nayet ST_2.26d	vismayam paramam nayet ST_2.26d
   vismayātmādbhuto jñeyo ST_3.16a	vismaya-AtmA-adButaH jQeyaH ST_3.16a
   vismayo harṣaṇaṃ matiḥ ST_3.36b	vismayaH harzaNam matiH ST_3.36b
   vismāritāpara-strīkaṃ ST_1.68c	vismArita-apara--strIkam ST_1.68c
   vismṛtya rati-mūlajām ST_2.62d	vismRtya rati-mUla-jAm ST_2.62d
   vihāya jananī-mṛtyu- ST_3.47a	vihAya jananI--mRtyu ST_3.47a
   vīkṣamāṇe parāṃ priye ST_2.36b	vIkzamANe parAm priye ST_2.36b
   vīkṣete nava-yauvanonnata-mukhau manye stanāvānanam ST_3.39ad	vIkzete nava--yOvana-unnata--muKO manye stana-avAnanam ST_3.39ad
   vīrahāsyādbhutāśrayā ST_3.44d	vIra-hAsya-adButa-ASrayA ST_3.44d
   vīre raudre'dbhute śānte ST_3.43c	vIre rOdre-adBute SAnte ST_3.43c
   vṛttānuvāde tac-chastam ST_2.18c	vRtta-anuvAde tac-Sastam ST_2.18c
   vṛttir eṣā matā yathā ST_3.43d	vRttiH ezA matAH yaTA ST_3.43d
   vepate ca tanus tanvī ST_1.59c	vepate ca tanuH tanvI ST_1.59c
   veśyānāṃ dhṛti-dhāma puṣpa-dhanuṣaḥ prāpnoti dhanyo ratam ST_1.68ad	veSyAnAm DRti--DAma puzpa--DanuzaH prApnoti DanyaH ratam ST_1.68ad
   veśyā sarati nāyakam ST_1.86d	veSyA sarati nAyakam ST_1.86d
   veśyāsu caitad dvitayaṃ prarūḍhaṃ ST_1.69c	veSyAsu ca-etat dvitayam prarUXam ST_1.69c
   veśye mānaya yauvanam ST_2.22d	veSye mAnaya yOvanam ST_2.22d
   veṣāṅga-saṅkīrtana-cāru-bandhā ST_3.38b	veza-aFga--saFkIrtana--cAru-banDA ST_3.38b
   veṣebhyo jāyate rasaḥ ST_3.1b	vezeByaH jAyate rasaH ST_3.1b
