   // śrīḥ //	// SrIH //
   alaṅkārasarvasvam	alaFkAra-sarvasvam
   tacchabdena sāmānyadharmaḥ pratyavamṛṣṭaḥ /	tad-Sabdena sAmAnya-DarmaH pratyavamRzwaH /
   ayamapi sādharmyavaidharmyābhyāṃ dvividhaḥ /	ayam-api sADarmya-vEDarmyAByAm dviviDaH /
   ādyo yathā-	AdyaH yaTA-
   'abdhirlaṅghita eva vānarabhaṭaiḥ kiṃ tvasya gambhīratā- ,	aabDiH-laFGitaH eva vAnara-BawEH kim tu-asya gamBIra-tA ,
   māpātālanimagnapīvaratanurjānāti manthācalaḥ /	mApAtAla-nimagna-pIvara-tanuH-jAnAti manTa-acalaH /
   devīṃ vācamupāsate hi bahyavaḥ sāraṃ tu sārastvataṃ jānīte nitarāmasau	devIm vAcam-upAsate hi bahyavaH sAram tu sAraH-tvatam jAnIte nitarAm-asO
   gurukulakliṣṭo murāriḥ kaviḥ' //	guru-kula-klizwaH murAriH kaviH-a //
   atra yadyapi ñcānākhya eko dharmo nirdiṣṭastathāpi na	atra yadi-api QcAna-AKyaH ekaH DarmaH nirdizwaH-taTA-api na
   tannibandhanamaupabhyaṃ vivakṣitam /	tad-nibanDanam-OpaByam vivakzitam /
   yannibandhanaṃ ca vivakṣitaṃ tatrābdhilaṅghanādāvastyeva	yat-nibanDanam ca vivakzitam tatra-abDi-laFGana-AdO=-asti-eva
   divyavāgupāsanādinā pratibimbanam /	divya-vAc-upAsana-AdinA pratibimbanam /
   dvitīyo yathā-	dvitIyaH yaTA-
   'kṛtaṃ ca garvābhimukhaṃ manastvayā kimanyadevaṃ nihatāśca no 'rayaḥ /	akRtam ca garva-aBimuKam manaH-tvayA kim-anyadevam nihatAH-ca naH arayaH /
   tamāṃsi tiṣṭanti hi tāvadaṃśumānna yāvadāyātyudayādrimaulitām' //	tamAMsi tizwanti hi tAvat-aMSumAn-na yAvat-AyAti-udaya-adri-mOlitAm-a //
   atra nihatatvādeḥ sthānādinā vaidharmyeṇa pratibimbanam /	atra nihata-tva-AdeH sTAna-AdinA vEDarmyeNa pratibimbanam /
   START Sūtra 28:	START SUtra 28:
   saṃbhāvatāsaṃbhavatā vā vastusaṃbandhena gamyamānaṃ pratibimbakaraṇaṃ	saMBAvatA-saMBavatA vA vastu-saMbanDena gamyamAnam pratibimba-karaNam
   nidarśanā // RuAss_28 //	nidarSanAH // RuAsH-_28 //
   pratibimbakaraṇaprastāvenāsyā lakṣaṇam /	pratibimba-karaNa-prastAvena-asyAH lakzaNam /
   tatra kkacitsaṃbhavanneva vastusaṃbandhaḥ	tatra kkacid-saMBavan=-eva vastu-saMbanDaH
   svasāmarthyāddhimbapratibimbabhāvaṃ kalpayati /	sva-sAmarTyAt-himba-pratibimba-BAvam kalpayati /
   kvacitpunaranvayabādhādasaṃbhāvatā vastusaṃbandhena pratibimbanamākṣipyate	kvacid-punar-anvaya-bADAt-asaMBAva-tA vastu-saMbanDena pratibimbanam-Akzipyate
   tatra saṃbhavadvastusaṃbandhā yathā-	tatra saMBavat-vastu-saMbanDAH yaTA-
   'cūḍāmaṇipade dhatte yo devaṃ ravimāgatam /	acUxAmaNi-pade Datte yaH devam ravim-Agatam /
   satāṃ kāryātitheyīti bodhayan gṛhamedhinaḥ' //	satAm kArya-AtiTeyi-iti boDayan gRhameDinaH-a //
   atra bodhayanniti ṇicastatsamarthācaraṇe prayogātsaṃbhavati	atra boDayan=-iti NicaH-tad-samarTa-AcaraNe prayogAt-saMBavati
   vastusaṃbandhaḥ /	vastu-saMbanDaH /
   asaṃbhavadvastusaṃbandhā yathā-	asaMBavat-vastu-saMbanDAH yaTA-
   'abyātsa vo yamya nisargavakraḥ spṛśatyadhijyasmaracāpalīlām /	aabyAt-sa vaH yamya nisarga-vakraH spRSati-aDijya-smara-cApa-lIlAm /
   jaṭāpinaddhoragarājaratnamarīcilīḍhobhayakoṭirinduḥ' //	jawA-pinadDa-uraga-rAja-ratna-marIci-lIXa-uBaya-kowiH-induH-a //
   atra smaracāpasaṃbandhinyā līlāyā vastvantarabhūtenendunā	atra smara-cApa-saMbanDinyA lIlAyAH vastu-antara-BUtena-indunA
   sparśanamasaṃbhavallīlāsadṛśīṃ	sparSanam-asaMBavat-lIlA-sadRSIm
   līlāmavagamayatītpadūraviprakarṣātpratibimbakalpanamuktam /	lIlAm-avagamaya-tItpadUra-viprakarzAt-pratibimba-kalpanam-uktam /
   eṣāpi padārthavākyārthavṛttibhedād dvividhā padārthavṛttiḥ	ezA-api padArTa-vAkya-arTa-vRtti-BedAt dviviDA padArTa-vRttiH
   samanantaramudāhṛtā /	samanantaram-udAhRtA /
   vākyārthavṛttiryathā-	vAkya-arTa-vRttiH-yaTA-
   'tvatpādanakharatnānāṃ yadalaktakamārjanam /	atvad-pAda-naKa-ratnAnAm yat-alaktaka-mArjanam /
   idaṃ śrīkhaṇḍalepena pāṇḍurīkaraṇaṃ vidhoḥ' //	idam SrIKaNxa-lepena pANxurIkaraNam viDoH-a //
   kecittu dṛṣṭāntālaṅkāro 'yamityāhustadasat /	kecid-tu dRzwAnta-alaFkAraH ayam-iti-AhuH-tat-asat /
   nirapekṣayorvākyārthayorhi bimbapratibimbabhāvo dṛṣṭāntaḥ /	nirapekzayoH-vAkya-arTayoH-hi bimba-pratibimba-BAvaH dRzwAntaH /
   yatra ca prakṛte vākyārthe vākyārthāntaramāropyate sāmānādhikaraṇyena	yatra ca prakRte vAkya-arTe vAkya-arTa-antaram-Aropyate sAmAnADikaraNyena
   tatra saṃbandhānupapattimūlā nidarśanaiva yuktā, na dṛṣṭāntaḥ /	tatra saMbanDa-anupapatti-mUlAH nidarSana-eva yuktA, na dRzwAntaH /
   evaṃ ca -	evam ca -
   'śuddhāntadurlabhamidaṃ vapurāśramavāsino yadi janasya /	aSudDAnta-durlaBam-idam vapuH-ASrama-vAsinaH yadi janasya /
   dūrīkṛtāḥ khalu guṇairudyānalatā banalatābhiḥ' //	dUrIkRtAH Kalu guNEH-udyAna-latA bana-latABiHa //
   ityatra dṛṣṭāntabuddhirna kāryā /	iti-atra dRzwAnta-budDiH-na kAryA /
   uktanyāyena nidarśanāprātpeḥ /	ukta-nyAyena nidarSanA-prAtpeH /
   iyaṃ copemeya upamānavṛttasyāsaṃbhavātpratipāditā pūrvaiḥ	iyam ca-upemeyaH upamAna-vRttasya-asaMBavAt-pratipAditA pUrvEH
   vastutastūpameyavṛttasyopamāne 'saṃbhavādapi bhavati /	vastu-tas-tu-upameya-vRttasya-upamAne asaMBavAt-api Bavati /
   ubhayatrāpi saṃbandhavighaṭanasya vidyamānatvāt /	uBayatra-api saMbanDa-viGawanasya vidyamAna-tvAt /
   tadyathā - 'viyoge gauḍanārīṇāṃ yo gaṇḍatalapāṇḍimā /	tat-yaTA  aviyoge gOxa-nArINAm yaH gaNxa-tala-pANximAH /
   alakṣyata sa kharjūrīmañjarīgarbhareṇuṣu' //	alakzyata sa KarjUrI-maQjarI-garBa-reNuzu-a //
   atra gaṇḍatalaṃ prakṛtam /	atra gaNxa-talam prakRtam /
   taddharmasya pāṇḍimnaḥ kharjūrīreṇuṣvasaṃbhavādaupamyapratītiḥ /	tad-Darmasya pANximnaH KarjUrI-reNuzu-asaMBavAt-Opamya-pratItiH /
   eṣa ca prakāraḥ śṛṅkhalānyāyenāpi bhavati /	eza ca prakAraH SRFKalA-nyAyena-api Bavati /
   yathā-	yaTA-
   'muṇḍasire boraphalaṃ borovari boraaṃ thiraṃ dharasi /	amuNxa-sire bora-Palam borovari boraam Tiram Darasi /
   viggucchāai appā ṇāliacheā chalijjanti' /	viggucCAE appA Na-aliaCeA Calijjanti-a /
   iyamapi kvacinmālayāpi bhavantī dṛśyate /	iyam-api kvacid-mAlayA-api BavantI dRSyate /
   yathā-	yaTA-
   'araṇyaruditaṃ kṛtaṃ śavaśarīramudvartitaṃ sthale 'bjamavaropitaṃ	aaraNya-ruditam kRtam Sava-SarIram-udvartitam sTale ap-jam-avaropitam
   suciramūṣare varṣitam /	su-ciram-Uzare varzitam /
   śvapucchamavanāmitaṃ badhirakarṇajāpaḥ kṛtaḥ dhṛto 'ndhamukhadarpaṇo	SvapucCam-avanAmitam baDira-karNa-jApaH kRtaH DRtaH anDa-muKa-darpaNaH-
   yadabudho janaḥ sevitaḥ' //	yat-abuDaH janaH sevitaH-a //
   kvacitpunarniṣedhasāmarrthyādākṣitpāyāḥ prātpeḥ saṃbandhānupapattyāpi	kvacid-punar-nizeDa-sAma-rrTyAt-a-akzitpAyAH prAtpeH saMbanDAn-upapattyA-api
   bhavati /	Bavati /
   yathā-	yaTA-
   'utkope tvayi kiñcideva calati drāggūrjarakṣmābhṛtā muktā bhūrna paraṃ	autkope tvayi kiQcid-eva calati drAk-gUrja-ra-kzmA-BRtA muktAH BUH-na param
   bhayānmarujuṣāṃ yāvattadeṇīdṛśām /	BayAt-marujuzAm yAvat-tat-eNi-IdRSAm /
   padbhyāṃ haṃsagatirmukhena śaśinaḥ kāntiḥ kucābhyāmapi kṣāmābhyāṃ	padByAm haMsa-gatiH-muKena SaSinaH kAntiH kucAByAm-api kzAmAByAm
   sahasaiva vanyakariṇāṃ gaṇḍasthalīvibhramaḥ' //	sahasA-eva vanya-kariNAm gaNxa-sTalI-viBramaH-a //
   atra muktena niṣedhapadaṃ tadanyathānupapattyā	atra muktena nizeDa-padam tat-anyaTA-anupapattyA
   pādayorhasagatiprātpirākṣipyate /	pAdayoH-hasa-gati-prAtpiH-Akzipyate /
   sā ca tayoranupapannā sādṛśyaṃ gamayatīti	sA ca tayoH-anupapannA sAdRSyam gamayati-iti
   asaṃbhavadvastusaṃbanvanibandhanā nidarśanā /	asaMBavat-vastu-saMbanu-anibanDanA nidarSanA /
   START Sūtra 29:	START SUtra 29:
   bhedaprādhānye upamānādupameyasyādhikye viparyaye vā vyatirekaḥ //	Beda-prADAnye upamAnAt-upameyasya-ADikye viparyaye vA vyatirekaH //
   RuAss_29 //	RuAsH-_29 //
   adhunā bhedaprādhānyenālaṅkārakathanam /	aDunA Beda-prADAnyena-alaFkAra-kaTanam /
   bhedo vailakṣaṇyam /	BedaH vElakzaNyam /
   sa ca dvidhā bhavati, upamānādupameyasyādhikaguṇatve viparyaye vā bhāvāt /	sa ca dviDA Bavati, upamAnAt-upameyasya-aDika-guNa-tve viparyaye vA BAvAt /
   viparyayo nyūnaguṇatvam /	viparyayaH nyUna-guNa-tvam /
   krameṇodāharaṇam - 'diddakṣavaḥ pakṣyalatāvilāsamakṣṇāṃ sahasrasya	krameNa-udAharaNam  adiddakzavaH pakzya-latA-vilAsam-akzNAm sahasrasya
   manoharaṃ te /	manoharam te /
   vāpīṣu nīlotpalinī-vikāsarabhyāsu nandanti na ṣaṭpadaudhāḥ' //	vApIzu nIlotpalinI--vikAsa-raByAsu nandanti na zawpadODAH-a //
   'kṣīṇaḥ kṣoṇo 'pi śaśī bhūyo bhūyo vivardhate satyam /	akzINaH kzoNaH api SaSI BUyas BUyas vivarDate satyam /
   virama prasīda sundari yauvanamanivarti yātaṃ tu' //	virama prasIda sundari yOvanam-anivarti yAtam tu-a //
   atra vikasvaranīlotpalinyapekṣayā akṣisahasrasya pakṣmalatayā	atra vikasvara-nIla-utpalinI-apekzayA akzi-sahasrasya pakzmala-tayA
   adhikaguṇatvam /	aDika-guNa-tvam /
   candrāpekṣayā ca yauvanasya nyūnaguṇatvam /	candra-apekzayA ca yOvanasya nyUna-guNa-tvam /
   śaśivailakṣaṇyena tasyāpunarāgamāt /	SaSi-vElakzaNyena tasya-apunar-AgamAt /
   START Sūtra 30:	START SUtra 30:
   upamānopameyayorekasya prādhānyanirdeśe 'parasya sahārthasaṃbandhe	upamAna-upameyayoH-ekasya prADAnya-nirdeSe aparasya saha-arTa-saMbanDe
   sahoktiḥ // RuAss_30 //	sahoktiH // RuAsH-_30 //
   bhedaprādhānya ityeva /	Beda-prADAnyaH iti-eva /
   guṇaprādhānabhāvanimittakamatra bhedaprādhānyam /	guNa-prADAna-BAva-nimittakam-atra Beda-prADAnyam /
   sahārthaprayuktaśca guṇaprādhānabhāvaḥ /	saha-arTa-prayuktaH-ca guNa-prADAna-BAvaH /
   upamānopameyatvaṃ cātra vaivakṣikam, dvayorapi	upamAna-upameya-tvam ca-atra vEvakzikam, dvayoH-api
   prākaraṇikatvādaprākaraṇikaraṇikatvādvā /	prAkaraNika-tvAt-aprAkaraNikaraNika-tvAt-vA /
   sahārthasāmarthyāddhi tayoḥ tulyakakṣatvam /	saha-arTa-sAmarTyAt-hi tayoH tulya-kakza-tvam /
   tatra tṛtīyāntasya niyamena guṇatvādupamānatvam /	tatra tRtIya-antasya niyamena guNa-tvAt-upamAna-tvam /
   arthācca pariśiṣṭasya pradhānatvādupameyatvam /	arTAt-ca pariSizwasya praDAna-tvAt-upameya-tvam /
   śabdaścātra guṇaprādhānabhāvaḥ /	SabdaH-ca-atra guNa-prADAna-BAvaH /
   vastutastu viparyayo 'pi syāt /	vastutas-tu viparyayaH api syAt /
   tatra niyamenātiśayoktimūlatvamasyāḥ /	tatra niyamena-atiSaya-ukti-mUla-tvam-asyAH /
   sā ca kāryakāraṇapratiniyamaviparyayarūpā abhedādhyavasāyarūpā ca /	sA ca kArya-kAraNa-pratiniyama-viparyaya-rUpA aBeda-aDyavasAya-rUpA ca /
   abhedādhyavasāyaśca śleṣabhittiko 'nyathā vā /	aBeda-aDyavasAyaH-ca Sleza-BittikaH anyaTA vA /
   sāhityaṃ cātra katrādinānābhedaṃ jñeyam /	sAhityam ca-atra katra-Adi-nAnA-Bedam jQeyam /
   tatra ca -	tatra ca -
   'kāryakāraṇapratiniyamaviparyayarūpā yathā -	akArya-kAraNa-pratiniyama-viparyaya-rUpAH yaTA -
   'bhavadaparādhaiḥ sārdhaṃ saṃtāpo vardhatetarāmasyāḥ' /	aBavat-aparADEH sArDam saMtApaH varData-itarAmasyAH-a /
   atrāparādhānāṃ saṃtāpaṃ prati hetutve 'pi tulyakālatvenopanibandhaḥ /	atra-aparADAnAm saMtApam prati hetu-tve api tulya-kAla-tvena-upanibanDaH /
   śleṣabhittikābhedādhyavasāyarūpā yathā -	Sleza-BittikA-Beda-aDyavasAya-rUpA yaTA -
   'astaṃ bhāsvānprayātaḥ saha ripubhirayaṃ saṃhniyantāṃ balāni' /	aastam BAsvAn-prayAtaH saha ripuBiH-ayam saMhniyantAm balAni-a /
   atrāstaṃ gamanaṃ śliṣṭam /	atra-astam gamanam Slizwam /
   astamityasyobhayārthatvāt //	astam-iti-asya-uBaya-arTa-tvAt //
   tadanyathārūpā yathā -	tad-anyaTArUpA yaTA -
   'kumudavanaiḥ saha saṃprati vighaṭante cakravākamithunāni' /	akumuda-vanEH saha saMprati viGawante cakravAka-miTunAni-a /
   atra vighaṭanaṃ saṃbandhibhedādbhinnaṃ na tu śliṣṭam /	atra viGawanam saMbanDi-BedAt-Binnam na tu Slizwam /
   etadviśeṣaparihāreṇa sahoktimātraṃ nālaṅkāraḥ /	etat-viSeza-parihAreNa saha-ukti-mAtram na-alaFkAraH /
   yathā-	yaTA-
   'anena sārdhaṃ viharāmburāśestīreṣu tālīvanamarmareṣu' ityādau /	aanena sArDam vihara-amburASeH-tIrezu tAlI-vana-marma-rezu-a ityAdO /
   etānyeva kartṛsāhitye udāharaṇāni /	etAni-eva kartR-sAhitye udAharaNAni /
   karmasāhitye yathā - 'dyujano mutyunā sārdhaṃ yasyājau tārakāmaye /	karma-sAhitye yaTA  adyujanaH mutyunA sArDam yasya-AjO tArakA-maye /
   cakre cakrābhidhānena preṣyeṇātpamanorathaḥ' //	cakre cakra-aBiDAnena prezyeNa-At-pa-manoraTaH-a //
   atra karotikriyāpekṣayā dyujanasya mṛtyośca karmatvam /	atra karoti-kriyA-apekzayA dyujanasya mRtyoH-ca karma-tvam /
   eṣā ca māsayāpi bhavantī dṛśyate /	ezA ca mAsayA-api BavantI dRSyate /
   yathā-	yaTA-
   'utkṣitpaṃ saha kauśikasya pulakaiḥ sārdhaṃ mukhairnāmitaṃ bhūpānāṃ	autkzitpam saha kOSikasya pulakEH sArDam muKEH-nAmitam BUpAnAm
   janakasya saṃśayadhiyā sākaṃ samāsphālitam /	janakasya saMSaya-DiyA sAkam samAsPAlitam /
   vaidehyā manasā samaṃ ca sahasākṛṣṭaṃ tato bhārgava-	vEdehyA manasA samam ca sahasA-AkRzwam tatas BArgava-
   prauḍhāhaṅkṛtikandalena ca samaṃ tad bhagnamaiśaṃ dhanuḥ' //	prOXa-ahaFkRti-kandalena ca samam tat Bagnam-ESam DanuH-a //
   START Sūtra 31:	START SUtra 31:
   sahotkipratibhaṭabhūtāṃ vinoktiṃ lakṣayati - /	saha-utki-pratiBawa-BUtAm vinA-uktim lakzayati  /
   vinā kiñcidanyasya sadasattvābhāvo vinoktiḥ // RuAss_31 //	vinA kiQcid-anyasya sat-asat-tva-aBAvaH vinA-uktiH // RuAsH-_31 //
   sattvasya śobhanatvasyābhāvo 'śobhanatvam /	sattvasya SoBana-tvasya-aBAvaH aSoBana-tvam /
   evamasattvasyāśobhanatvasyābhāvaḥ śobhanatvam /	evam-asattvasya-aSoBana-tvasya-aBAvaH SoBana-tvam /
   tedve sattvāsattve yatra kasyacidasaṃnidhānānnibadhyete sā dvidhā vinoktiḥ	tedve sattva-asattve yatra kasyacid-asaMniDAnAt-nibaDyete sA dviDA vinA-uktiH
   atra ca śobhanatvāśobhanatvasattāsattāyāmeva	atra ca SoBana-tva-aSoBana-tva-sattA-sattAyAm-eva
   vaktavyāyāmasattāmukhenābhidhānamanyanivṛttiprayuktā tannivṛttiriti	vakta-vyAyAma-sattA-muKena-aBiDAnam-anya-nivRtti-prayuktA tad-nivRttiH-iti
   khyāpanārtham /	KyApana-arTam /
   evaṃ cānyānivṛttau vidhireva prakāśito bhavati /	evam ca-anya-anivRttO viDiH-eva prakASitaH Bavati /
   ādyā yathā -	AdyAH yaTA -
   'vinayena vinā kā śrīḥ kā niśā śaśinā vinā /	avinayena vinA kA SrIH kA niSA SaSinA vinA /
   rahitā satkavitvena kīdṛśī vāgvidagdhatā' //	rahitA sat-kavi-tvena kIdRSI vAc-vidagDa-tA-a //
   atra vināśabdamantareṇāpi vinārthavivakṣā yathākathañcinnimittībhavati	atra vinA-Sabdam-antareNa-api vinA-arTa-vivakzAH yaTAkaTaQcit-nimittIBavati
   yathā sahoktau sahārthavivakṣā /	yaTA saha-uktO saha-arTa-vivakzA /
   evaṃ ca -	evam ca -
   'nirarthakaṃ janma gataṃ nalinyā yathā na dṛṣṭaṃ tuhināṃśubimbam /	anirarTakam janma gatam nalinyAH yaTA na dRzwam tuhinAMSu-bimbam /
   utpattirindorapi niṣphalaiva na yena dṛṣṭā nalinī prabuddhā' //	utpattiH-indoH-api nizPalA-eva na yena dRzwA nalinI prabudDA-a //
   ityādau vinoktireva /	ityAdO vinA-uktiH-eva /
   tuhināṃśudarśanaṃ nalinījanmano 'śobhanatvapratīteḥ /	tuhinAMSu-darSanam nalinI-janmanaH aSoBana-tva-pratIteH /
   iyaṃ ca parasparavinoktibhaṅgyā camatkārātiśayakṛt /	iyam ca paraspara-vinA-ukti-BaFgyA camatkAra-atiSaya-kRt /
   yathodāhṛte viṣaye /	yaTA-udAhRte vizaye /
   dvitīyā yathā -	dvitIyA yaTA -
   'mṛgalocanayā vinā vicitravyavahārapratibhāprabhāpragalbhaḥ /	amRga-locanayA vinA vicitra-vyavahAra-pratiBA-praBA-pragalBaH /
   amṛtadyutisundarāśayo 'yaṃ suhṛdā tena narendrasūnuḥ' //	amRta-dyuti-sundara-ASayaH ayam suhRdA tena narendra-sUnuH-a //
   atrāśobhanatvābhāvaḥ śobhanapadārthaprakṣepabhaṅgyoktaḥ /	atra-aSoBana-tva-aBAvaH SoBana-padArTa-prakzepa-BaFgyA-uktaH /
   śaiṣā dvidhā vinoktiḥ /	SEzA dviDA vinA-uktiH /
   START Sūtra 32:	START SUtra 32:
   adhunā viśeṣaṇavicchittyāśrayeṇālaṅkāradvayamucyate /	aDunA viSezaNa-vicCitti-ASrayeNa-alaFkAra-dvayam-ucyate /
   tatrādau viśeṣaṇasāmyāvaṣṭambhena samāsoktimāha- /	tatra-AdO viSezaNa-sAmya-avazwamBena samAsa-uktimAha /
   viśeṣaṇānāṃ sāmyādaprastutasya gamyatve samāsoktiḥ // RuAss_32 //	viSezaNAnAm sAmyAt-aprastutasya gamya-tve samAsoktiH // RuAsH-_32 //
   iha prastutāprastutānāṃ kvacid vācyatvaṃ kvacid gamyatvamiti dvaividhyam /	iha prastuta-aprastutAnAm kvacid vAcya-tvam kvacid gamya-tvam-iti dvEviDyam /
   vācyatvaṃ ca śleṣanirdeśabhaṅgyā pṛthagupādānena vetyapi dvaividhyam /	vAcya-tvam ca Sleza-nirdeSa-BaFgyA pRTak-upAdAnena vA-iti-api dvEviDyam /
   etad dvibhedamapi śleṣālaṅkārasya viṣayaḥ /	etat dvi-Bedam-api Sleza-alaFkArasya vizayaH /
   gumyatvaṃ tu prastutaniṣṭhamaprastutapraśaṃsāviṣayaḥ aprastutaniṇṭhaṃ tu	gumya-tvam tu prastuta-nizWam-aprastuta-praSaMsA-vizayaH aprastuta-niNWam tu
   samāsoktiviṣayaḥ /	samAsa-ukti-vizayaH /
   tatra ca nimittaṃ viśeṣaṇasāmyam /	tatra ca nimittam viSezaNa-sAmyam /
   viśeṣyasyāpi sāmye śleṣaprātpeḥ /	viSezyasya-api sAmye Sleza-prAtpeH /
   viśeṣaṇasāmyāddhi pratīyamānaprastutaṃ prastutāvacchedakatvena pratīyate /	viSezaNa-sAmyAt-hi pratIyamAna-prastutam prastutA-avacCedaka-tvena pratIyate /
   avacchedakatvaṃ ca vyavahārasamāropaḥ /	avacCedaka-tvam ca vyavahAra-samAropaH /
   rūpasamārope tvavacchāditatvena prakṛtasya tadrūpitvād rūpakameva /	rUpa-samArope tu-avacCAdita-tvena prakRtasya tad-rUpi-tvAt rUpakam-eva /
   tacca viśeṣaṇasāmyaṃ śliṣṭatayā sādhāraṇyenaupamyagarbhatvena ca bhavat	tat-ca viSezaNa-sAmyam Slizwa-tayA sADAraNyena-Opamya-garBa-tvena ca Bavat-
   tridhā bhavati tatra śliṣṭatayā yathā - 'upoḍharāgeṇa vilolatārakaṃ tathā	triDA Bavati tatra Slizwa-tayA yaTA  aupoXa-rAgeNa vilola-tArakam taTA
   gṛhītaṃ śaśinā niśāmukham ṣa yathā samastaṃ timirāṃśukaṃ tayā puro 'pi	gRhItam SaSinA niSA-muKam za yaTA samastam timira-aMSukam tayA puras api
   rāgādgalitaṃ na lakṣitam' //	rAgAt-galitam na lakzitam-a //
   atra niśāśaśinoḥ śliṣṭaviśeṣaṇamahimnā nāyakavyavahārapratipattiḥ /	atra niSA-Sa-SinoH Slizwa-viSezaNa-mahimnA nAyaka-vyavahAra-pratipattiH /
   aparityaktasvarūpayorniśāśaśinornāyakatākhyadharmaviśiṣṭayoḥ pratīteḥ /	aparityakta-svarUpayoH-niSA-Sa-SinoH-na-ayaka-tA-AKya-Darma-viSizwayoH pratIteH /
   sādhāraṇyena yathā - 'tanvī manoramā bālā lolākṣī puṣpahāsinī /	sADAraNyena yaTA  atanvI manoramA bAlA lolAkzI puzpa-hAsinI /
   vikāsameti subhaga bhavaddarśanamātrataḥ' //	vikAsam-eti suBaga Bavat-darSana-mAtrataH-a //
   atra tanvītyādiviśeṣaṇasāmyāllolākṣyā latāvyavahārapratītiḥ /	atra tanvI-ityAdi-viSezaNa-sAmyAt-lola-akzyA latA-vyavahAra-pratItiH /
   tatra ca lataikagāmivikāsākhyadharmasasāropaḥ kāraṇam /	tatra ca lata-eka-gAmi-vikAsa-AKya-Darma-sasa-AropaH kAraNam /
   anyathā viśeṣaṇasāmyamātreṇa niyatalatāvyavahārasyāpratīteḥ /	anyaTA viSezaNa-sAmya-mAtreNa niyata-latA-vyavahArasya-apratIteH /
   vikāsaśca prakṛte upacarito jñeyaḥ /	vikAsaH-ca prakRte upacaritaH jQeyaH /
   evaṃ ca kāryasamārope 'pi jñeyā /	evam ca kArya-samArope api jQeyAH /
   iyaṃ ca samāsoktiḥ pūrvāpekṣayāspaṣṭā /	iyam ca samAsoktiH pUrva-apekzayA-spazwA /
   aupamyagarbhatvena yathā-	Opamya-garBa-tvena yaTA-
   'dantaprabhāpuṣpacitā pāṇipallavaśobhinī /	adanta-praBA-puzpa-citA pANi-pallava-SoBinI /
   keśapāśālivṛndena suveṣā hariṇekṣaṇā' //	keSa-pASa-Ali-vRndena su-vezAH hariNa-IkzaNAa //
   atra dantaprabhā puṣpāṇīveti suveṣatvavaśādupamāgarbhatvena kṛte samāse	atra danta-praBA puzpANi-iva-iti su-veza-tva-vaSAt-upamA-garBa-tvena kRte samAse
   paścāddantaprabhāsadṛśaiḥ puṣpaiściteti samāsāntarāśrayaṇena	paScAt-danta-praBA-sadRSEH puzpEH-citA-iti samAsa-antara-ASrayaNena
   samānaviśeṣaṇamāhātmyāllatāvyavahārapratītiḥ /	samAna-viSezaNa-mAhAtmyAt-latA-vyavahAra-pratItiH /
   atraiva 'parītā hariṇekṣaṇā' iti pāṭhe upamārūpasādhakabāghakābhāvāt	atra-eva aparItAH hariNa-IkzaNAa iti pAWe upamA-rUpa-sADaka-bAGaka-aBAvAt
   saṃkarasamāśrayeṇa kṛte yojane paścāt pūrvavat samāsāntaramahimnā	saMkara-samASrayeNa kRte yojane paScAt pUrvavat samAsa-antara-mahimnA
   latāpratītijñaṃyā /	latA-pratIti-jQaMyA /
   rūpakagarbhatvena tu samāsāntarāśrayaṇāt samānaviṣeṣaṇatvaṃ bhavadapi na	rUpaka-garBa-tvena tu samAsa-antara-ASrayaNAt samAna-vizezaNa-tvam Bavat-api na
   samāsokteḥ prayojakam /	samAsa-ukteH prayojakam /
   ekadeśavivartirūpakamukhenaivārthāntarapratītestasyā vaiyarthyāt /	eka-deSa-vivarti-rUpaka-muKena-eva-arTa-antara-pratIteH-tasyAH vEyarTyAt /
   na ca pūrvadarśitopamāsaṃkaraviṣaye eṣa nyāyaḥ /	na ca pUrva-darSitA-upama-asaMkara-vizaye eza nyAyaH /
   upamāsaṃkarayorekadeśavivartinorabhāvāt /	upamA-saMkarayoH-eka-deSa-vivartinoH-aBAvAt /
   taccaikadeśavivartirūpakamaśleṣeṇa śleṣeṇa ca bhavatīti dvividham /	tat-ca-eka-deSa-vivarti-rUpa-kama-SlezeNa SlezeNa ca Bavati-iti dviviDam /
   aśliṣṭaṃ yathā-	aSlizwam yaTA-
   'nirīkṣya vidyunnayanaiḥ payodo mukhaṃ niśāyāmabhisārikāyāḥ /	anirIkzya vidyut-nayanEH payodaH muKam niSAyAm-aBisArikAyAH /
   dhārānipātaiḥ saha kiṃ nu vāntaścandro 'yamitpārtataraṃ rarāsa' //	DArA-nipAtEH saha kim nu vAntaH-candraH ayam-itpArtataram rarAsa-a //
   atra nirīkṣaṇānuguṇyādvidyunnayanairiti rūpake payodasya	atra nirIkzaNa-anuguNyAt-vidyut-nayanEH-iti rUpake payodasya
   draṣṭṛpuruṣanirūpaṇamārtataraṃ rarāsetyatra pratīyamānotprekṣāyā	drazwR-puruza-nirUpaNam-Artataram rarAsA-iti-atra pratIyamAna-utprekzAyAH-
   nimittatvaṃ bhajate /	nimitta-tvam Bajate /
   śliṣṭaṃ yathā-	Slizwam yaTA-
   'madanagaṇanāsthāne lekhyaprapañcamudañcayan	amadana-gaNanA-sTAne leKya-prapaQcam-udaQcayan
   vicakila-bṛhatpattranyastadvirephamaṣīlavaiḥ /	vicakila--bRhat-pattra-nyasta-dvirePa-mazIlavEH /
