   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   1.ca. iti nāsti u. 2.sasaṃbandhiketi / ityadhikam  u. 3.ākāṅkṣā  bhra u.	1.ca. iti nAsti u. 2.sa saMbanDika iti / iti aDikam  u. 3.AkAFkzA Bra u.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   8.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  8.
   jñāne iṣṭasādhanatvājñānena jñānecchārahitasyāpi puṃsaḥ śābdabodhadarśanāt	jQAne izwa sADanatva ajQAnena jQAna icCA rahitasya api puMsaH SAbda boDa darSanAt 
   / kiñca   asmin pakṣe ākāṅkṣājñānaṃ heturna syāt / jijñāsāyā ajñāne 'pi	/ kiQca  asmin pakze AkAFkzA jQAnam hetuH na syAt / jijQAsAyAH ajQAne api
   śābdabodha darśanāt"iti //	SAbda boDa darSanAt"iti //
   tadapi na / gauṇalākṣaṇikayoravyāpteḥ / na hi tvatpakṣe	tat api na / gONalAkzaNikayoH avyApteH / na hi tvad pakze
   tayoritaravirahaprayuktamananubhāvakatvam / kintu svata eva / kiñca	tayoH itara vi raha prayuktam ananu BAvaka tvam / kintu svatas eva / kiQca
   ghoṣapadameva gaṅgāpade 2 na sākāṅkṣaṃ, gaṅgā 3 padaṃ tu na ghoṣapade 4	Goza padam eva gaFgA pade 2 na sa AkAFkzaM, gaFgA 3 padam tu na Goza pade 4
   neti saṃbhavati //	na iti saMBavati //
   na cānanubhāvakapadasthāne 'jñāpaka 5 padaprakṣepe 'vyāptirneti yuktam /	na ca ananuBAvaka pada sTAne ajQApakaH 5 pada prakzepe avyAptiH na iti yuktam /
   jñānecchā hi jijñāsā / sā ca jñānaviṣayiṇī 6 jāyamānajñānasya	jQAna icCA hi jijQAsA / sA ca jQAna vizayiNI 6 jAyamAna jQAnasya
   iṣṭasādhanatve 7 sati bhavati nānyathā / tathā	izwa sADana tve 7 sati Bavati na anyaTA / taTA
   ca kadācicchabdajñāne	ca kadAcid Sabda jQAne
   tadiṣṭasādhanatāvabodhabahīnasyāpi śābdabodhadarśanena vyatirekavyabhicāt	tat izwa sADana tA avaboDa bahInasya api SAbda boDa darSanena vyatireka vyaBicAt 
   neyamākāṅkṣā śābdabodhaheturityarthaḥ //	na iyam AkAFkzA SAbda boDa hetuH iti arTaH //
   gauṇeti // siṃhaścaitraḥ gaṅgāyāṃ ghoṣaḥ ityanayorityarthaḥ / tatra	gONa iti // siMhaH cEtraH gaFgAyAm GozaH iti anayoH iti arTaH / tatra
   maṇukṛnmate siṃhagaṅgāpadayorananubhāvakatvaṃ 8 vyanakti    nahi tvatpakṣa	maNu kRt mate siMhagaFgA padayoH ananuBAvaka tvam 8 vyanakti   na hi tvad pakza
   iti // yasya yenetyādinoktārthaniṣkarṣānuvāda itaravirahetyādi / svata	iti // yasya yena ityAdinA ukta arTa nizkarza anuvAdaH itara viraha ityAdi / svata
   eveti // svarūpeṇāyogyatvaprayuktatvādevetyarthaḥ / ghaṭaḥ	eva iti // svarUpeNa ayogya tva prayukta tvAt eva iti arTaH / GawaH
   karmatvamityādau yathā svarūpāyogyatvaprayuktamevānanubhāvakatvaṃ, na	karma tvam ityAdO yaTA svarUpa ayogya tva prayuktam eva ananuBAvaka tvan, na
   padāntaravirahaprayuktaṃ tatheti 9 bhāvaḥ /	pada antara viraha prayuktam taTA iti 9 BAvaH /
   alakṣyatvānnāvyātpirdeṣāyetyāśaṅkya nirāha    na ceti //	alakzya tvAt na avyAt piH dezAya iti ASaFkya nirAha   na ca iti //
   anubhavavirodhāditi bhāvaḥ / ajñāpakapadeti vicchedaḥ //	anuBava viroDAt iti BAvaH / ajQApaka padA iti vicCedaH //
   1.dhat   ga. 2.desā ga ja. dasā ka. 3.ditu ja. 4.de iti ga ja ga. 5.'pada'	1.Dat  ga. 2.desA  ga ja. dasA ka. 3.ditu  ja. 4.de iti ga ja  ga. 5. apada a
   iti nāsti ga. 6.jñā ū. 7.tvajñāne sati   u. 8.tvopagamādyena vinā	iti nAsti ga. 6.jQA U. 7.tu ajQAne sati  u. 8.tva upagama Adyena vinA
   yasyānanubhāvakatvamityetadastyevetyato vyanakti ityasti   u. 9. tyarthaḥ	yasya ananuBAvaka tvam iti etat asti eva iti atas vyanakti iti asti  u. 9. tyarTaH
     u.	 u.
   ākāṃ ni paṇam) ākāṅkṣāvādaḥ pu   9.	AkAM  ni paNam) AkAFkzA vAdaH pu  9.
   itarapadavirahe 'pi padasya	itara pada virahe api padasya
   smārakatvenājñāpakatvasyetarapadavirahāprayuktatvāt / kiñca prāgabhāvasya	smAraka tvena AjQApaka tvasya itara pada virahA prayukta tvAt / kiQca prAgaBAvasya
   sarvakāryahetutvena 1 śābdāsādhāraṇyaṃ na syāt /.	sarva kArya hetu tvena 1 SAbda asADa araNyam na syAt /.
   na ca śābdanubhave 'nvayānubhavaprāgabhāvasyottarapadavirahaprayuktatvena	na ca SAbdanuBave anvaya anuBava prAgaBAvasya uttara pada viraha prayukta tvena
   hetutvādaśādhāraṇyaṃ , ata eva yena vineti viśeṣitamiti vācyam /	hetu tvAt aSADAraNyam , atas eva yena vinA iti viSezitam iti vAcyam /
   itarapadānāṃ sahakāritvena śābdabodhaprāgabhāvasya tadvirahaprayuktatve	itara padAnAm sahakAri tvena SAbda boDa prAgaBAvasya tad viraha prayukta tve
   'pi ghaṭādāvivi śābdānubhave 'pi prāgabhāvatvenaiva hetutvāt / anyathā	api Gawa AdO= ivi SAbda anuBave api prAc aBAva tvena eva hetu tvAt / anyaTA
   ghaṭaprāgabhāvo 'pa ghaṭe daṇḍādivirahaprayuktatvena hetuḥ syāt /	Gawa prAgaBAvaH apa Gawe daNxa Adi viraha prayukta tvena hetuH syAt /
   na ca padasya padārthasmārakatve 'pyanvayājñāpakatvamastyeva / tasyaiva	na ca padasya padArTa smAraka tve api anvayAjQApaka tvam asti eva / tasya eva
   lakṣaṇe 'bhimatatvāditi yuktam / vakṣyamāṇadiśānvitābhidhānavāde	lakzaNe aBimata tvAt iti yuktam / vakzyamANa diSA anvita aBiDAna vAde
   'nvitasvārthasmārakatvasyāpi satvāt / paramate 'pi 2	anvita sva arTa smAraka tvasya api satvAt / para mate api 2
   jātyākṛtyanvitavyaktereva padārthatvena jātyādyanvayasmārakatvācceti	jAtyAkRti anvita vyakteH eva padArTa tvena jAti Adi anvayasmAraka tvAt ca iti
   tātparyāt /	tAtparyAt /
   nanu   yadupasthāpitasyārthasya yatpadavyatirekeṇa nānubhavaviṣayatvaṃ	nanu  yat upasTApitasya arTasya yat pada vyatirekeNa na anuBava vizaya tvam
   tasya	tasya
   tatsākāṅkṣatvamiti lakṣaṇārthaḥ / evaṃ ca tīrāderanubhaviṣayatvaṃ na	tat sA kAFkzatvam iti lakzaNa arTaH / evam ca tIra AdeH anuBavizaya tvam na
   ghoṣādipadaṃ vineti lākṣaṇikaderapi sākāṅkṣatvamiti	Goza Adi padam vinA iti lAkzaNika deH api sA kAFkza tvam iti
   pakṣadhādyukternāvyāptirityato doṣāntaramāha    kiñceti //	pakzaDAdi ukteH na avyAptiH iti atas doza antaram Aha   kiQca iti //
   taṭṭīkākārairuktamāśaṅkya nirāha    na ca 3 śabdetyādinā //	tawwIkAkArEH uktam ASaFkya nirAha   na ca 3 Sabda ityAdinA //
   sahakārikatveneti // śābdabodhasahakāritvenetyarthaḥ //	saha kArika tvena iti // SAbda boDa sahakAri tvena iti arTaH //
   1.śa ga ja. 2.api iti na  u. 3.śā   u.	1. Sa ga ja. 2. api iti na  u. 3.SA  u.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   10.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  10.
   na ca śābdajñāne prāgabhāvajñānaṃ kāraṇamitya 1 sādhāraṇyam / tajjñānasya	na ca SAbda jQAne prAc aBAva jQAnam kAraNam itya 1 sADAraNyam / tat jQAnasya
   kāraṇatve	kAraNa tve
   mānābhāvāt / na hi śābdabodhāt prāk mamātrānvaye jñānaṃ neti	mAna aBAvAt / na hi SAbda boDAt prAk ma ma atra anvaye jQAnam na iti
   jñānamanubhavasiddham / anyathā ghaṭe 'pi prāgabhāvo jñāto hetuḥ syāt //	jQAnam anuBava sidDam / anyaTA Gawe api prAgaBAvaH jQAtaH hetuH syAt //
   atha prāgabhāvaḥ prāgabhāvatvena nākāṅkṣā, kintu	aTa prAc aBAvaH prAc aBAva tvena na AkAFkzA, kintu
   prāgabhāvātyantābhāvasādhāraṇyenetaravirahaprayuktānvayānubhavābhāvatveneti	prAc aBAva atyanta aBAva sADAraNyena itara viraha prayukta anvaya anuBava aBAva tvena iti
   asādhāraṇyam / ghaṭādau prāgabhāvatvenaiva hetutvāt /	asADa araNyam / Gawa AdO prAc aBAva tvena eva hetu tvAt /
   prakārāntareṇa śabdāsādhāraṇyaṃ saṃsargāvagamaprāgabhāvasya śaṅkate   	prakAra antareNa Sabda asADa araNyam saMsarga avagama prAgaBAvasya SaFkate   
   atheti // prāgabhāvātyantābhāvetyupalakṣaṇam / dhvaṃsetyapi dhyeyam / ata	aTa iti // prAc aBAva atyanta aBAva iti upalakzaNam / DvaMsa iti api Dyeyam / ata
   evetaravirahaprayuktānvayānubhavatveneti hetutāvacchedoktiḥ /	eva itara viraha prayukta anvaya anuBava tvena iti hetu tA avacCeda uktiH /
   anyathānvayānubhavānādyabhāvatvenetyeva hetutāvacchedakamuktvā	anyaTA anvaya anuBavAn Adi a BAva tvena iti eva hetu tAvat Cedakam uktvA
   itaravirahaprayuktet na brūyāt / tasya dhvaṃsadaśāyāmativyāptivārakatvāt /	itara viraha prayuktet na brUyAt / tasya DvaMsa daSAyAm ati vyApti vAraka tvAt /
   anvayānubhavasaṃsargābhāvatvena hetutvavivakṣāyāmevetaravirahaprayukteti 2	anvaya anuBava saMsarga aBAva tvena hetu tva vivakzAyAm eva itara viraha prayuktA iti 2
   sārthakyāt / dhvaṃsasyāhetutvānna 3 tatsādhāraṇyaṃ 4	sArTakyAt / DvaMsasya ahetu tvAt na 3 tad sADAraNyam 4
   cedatyantābhāvasādhāraṇyamapi na syāt / ata eva	ced atyanta aBAva sADAraNyam api na syAt / atas eva
   nāpyanvayabodhadhvaṃsadaśāyāmityādi vakṣyatīti dhyeyam /.	na api anvaya boDa DvaMsa daSAyAm ityAdi vakzyati iti Dyeyam /.
   yadvoktobhayasādhāraṇa 5 mevāstu anvayānubhavābhāvatvenaiva hetutā	yadvA ukta uBaya sADAraNa 5 mevA astu anvaya anuBava aBAva tvena eva hetu tA
   dhvaṃsetiprasakteti tadvāraṇāyaivetaretyādiviśeṣaṇoktiḥ / ghaṭādau tu	DvaMsa iti prasaktA iti tad vAraNAya eva itarA ityAdi viSezaNa uktiH / Gawa AdO tu
   naivamityāha    ghaṭādāviti // tatprāgabhāvasyeti yojyam / ata evetyuktaṃ	na evam iti Aha   Gawa AdO= iti // tad prAgaBAvasya iti yojyam / atas eva iti uktam
   vyanakti   tadeti //	vyanakti  tadA iti //
   1.syāsā  ja. 2.'pada' ityadhikam  u. 3.tvena ta   u. 4.'na' ityadhikam	1.syAsA ja. 2. apada a iti aDikam  u. 3.tvena te  u. 4. ana a iti aDikam
    u. 5.ṇya  u.	 u. 5.Nya u.
   ākāṃ ni paṇam) ākāṅkṣāvādaḥ pu   11.	AkAM  ni paNam) AkAFkzA vAdaH pu  11.
   ata evānyayabodhadaśāyāṃ nātivyāptiḥ / tadā	atas eva anyayaboDa daSAyAm na ati vyAptiH / tadA
   prāgabhāvātyantābhāvayorabhāvāt / nāpyanvayabodhadhvaṃsadaśāyām / tadā	prAc aBAva atyanta aBAvayoH aBAvAt / na api anvaya boDa DvaMsa daSAyAm / tadA
   dhvaṃsasya satve 'pi tasyetaravirahāprayuktatvāditi cenna /	DvaMsasya satve api tasya itara viraha aprayukta tvAt iti ced na /
   atyantābhāvasādhāraṇena rūpema hetutve svātyantābhāvasya svaṃ	atyanta aBAva sADAraNena rUpema hetu tve sva atyanta aBAvasya svam
   pratyahetutvāt / śābdānubhavāntarābhāvaḥ śābdānubhāvaṃ prati, tvanmate	pratyahetutvAt / SAbda anuBava antara aBAvaH SAbda anuBAvam prati, tvad mate
   'numityantarābhāvo 'numitiṃ pratīva pratibandhakābhāvatayā hetuḥ syāt /	anumiti antara aBAvaH anumitim prati iva pratibanDaka aBAva tayA hetuH syAt /
   pratibandhakābhāvaścājñāna eva hetuḥ kāryamātrasādhāraṇaśceti	pratibanDaka aBAvaH ca ajQAnaH eva hetuH kArya mAtra sADAraNaH ca iti
   tvadaṅgīkṛtamākāṅkṣājñānasya hetutvamasādhāraṇyaṃ ca na syāt /	tvad aFgIkRtam AkAFkzA jQAnasya hetu tvam asADAraNyam ca na syAt /
   dhvaṃsadaśāyāmiti // ativyāptirityanuṣaṅgaḥ / atyantābhāvasādhāraṇyena	DvaMsa daSAyAm iti // ati vyAptiH iti anuzaFgaH / atyanta aBAva sADAraNyena
   hetutvaṃ kiṃ svātyantābhāvasādhāraṇyena vivakṣitaṃ, uta śābdā 1	hetu tvam kim svAtyanta aBAva sADAraNyena vivakzitaM, uta SAbdAH 1
   nubhavāntarātyantābhāvasādhāraṇyeneti / ādye āha    svātyantābhāvasyeti //	nuBava antara atyanta aBAva sADAraNyena iti / Adye Aha   sva atyanta aBAvasya iti //
   antya āha    śābdāntarānubhaveti //	antyaH Aha   SAbda antara anuBava iti //
   pratibandhakābhāvatayeti // siddhasādhanatā anumāne doṣa iti	pratibanDaka aBAvatayA iti // sidDa sADana tA anumAne dozaH iti
   siddheranumitipratibandhakatvātsiddhyantarābhāvo 'numitau yathā	sidDeH anumiti pratibanDaka tvAt sidDi antara aBAvaH anumitO yaTA
   pratibandhakābhāvatayā hetuḥ	pratibanDaka aBAva tayA hetuH
   śābdānubhavasyānapekṣitatvenānudayādanubhāvāntaramanvayānubhave	SAbda anuBavasya anapekzita tvena anudayAt anuBAva antaram anvaya anuBave
   pratibandhakamiti tadabhāvo 'pi pratibandhakābhāvatvenaiva hetuḥ	pratibanDakam iti tad aBAvaH api pratibanDaka aBAva tvena eva hetuH
   syādityarthaḥ / tataśca kimityata āha    pratibandhakābhāvaśceti //	syAt iti arTaH / tatas ca kim iti atas Aha   pratibanDaka aBAvaH ca iti //
   pūrvamiti // saṅketasmaraṇapadārthopasthitidaśāyāṃ	pUrvam iti // saFketa smaraNa padArTa upasTiti daSAyAm
   padānāmupasthityantaramityarthaḥ //	padAnAm upasTiti antaram iti arTaH //
   1. anubhavapadaṃ na   u.	1. anuBava padam na  u.
   nyāyadīpayutatarkatāṇḍavam (dvi. paricchedaḥ pu   12.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  12.
   kiñca sakalapadopasthitidaśāyāṃ śābdabodhātpūrvaṃ	kiQca sakala pada upasTiti daSAyAm SAbda boDAt pUrvam
   prāgabhāvasyetaravirahāprayuktatvādavyāptiḥ / tasmādākāṅkṣā durnirūpeti /	prAgaBAvasya itara viraha aprayukta tvAt avyAptiH / tasmAt AkAFkzA durnirUpa iti /
   ucyete    	ucyete    
   yasya padasya yadanvayānanubhāvakatvaṃ	yasya padasya yat anvayAn anuBAvaka tvam
   samabhivyāhṛtayatpadagatayadrūpavirahaprayuktaṃ tasya padasya	samaBivyAhRtayat pada gatayat rUpa viraha prayuktam tasya padasya
   tasminnanvaye tena padena saha tadrūpamākāṅkṣā /	tasmin= anvaye tena padena saha tad rUpam AkAFkzA /
   paddhatau"ākāṅkṣā jijñāsā cetanadharmaḥ / tadviṣayatvātpadārthāḥ sākāṅkṣāḥ	padDatO"a AkAFkzA jijQAsA cetana DarmaH / tad vizaya tvAt padArTAH sa AkAFkzAH
   1 / tatpratipādakatvātpadānyapi"iti granthena	1 / tad pratipAdaka tvAt padAni api"iti granTena
   jijñāsāviṣayayībhūtapadārthaviṣayapratipattijanakatvaṃ padānāṃ	jijQAsA vizayayIBUta padArTa vizaya pratipatti janaka tvam padAnAm
   sākāṅkṣatvamiti yaduktaṃ tatra janakatvaṃ na phalopadhānaṃ, kintu	sA kAFkza tvam iti yat uktam tatra janaka tvam na Pala upaDAnaM, kintu
   svarūpayogyataivābhimateti bhāvena tatroktaṃ niṣkṛṣyāgre	svarUpa yogyatA eva aBimata iti BAvena tatra uktam nizkRzya agre
   svābhimatākāṅkṣālakṣaṇaṃ vivakṣurādau tāvatpauḍhyā	sva aBimatA kAFkzA lakzaNam vivakzuH AdO tAvat pOXyA
   paddhatyuktalakṣaṇāvinābhūtaṃ lakṣaṇāntaramāha    yasya padasyetyādinā //	padDati ukta lakzaNa avinABUtam lakzaNa antaram Aha   yasya padasya ityAdinA //
   paddhatau padānītyuktatvātpadasyeti bāhulyābhiprāyeṇoktam / yasya	padDatO padAni iti ukta tvAt padasya iti bAhulya aBiprAyeNa uktam / yasya
   śabdasyetyarthaḥ / tena prātipadikapratyayormahāvākyāvāntaravākyasya ca	Sabdasya iti arTaH / tena prAtipadika pratyayoH mahA vAkya avAntara vAkyasya ca
   grahaḥ / tadapi tadupasthitiparam / yatpadetyatrāpi yacchabdetyarthaḥ /	grahaH / tat api tad upasTiti param / yat padA iti atra api yat SabdA iti arTaH /
   yadrūpetyatra yadrūpopasthitītyagre vyaktam / tathāca ca yasya	yat rUpA iti atra yat rUpa upasTiti iti agre vyaktam / taTA ca ca yasya
   śabdasyopasthitasya yadanvayānanubhavākatvaṃ yaścāsāvanvayaśceti vigrahaḥ	Sabdasya upasTitasya yat anvayAn anuBavAka tvam yaH ca asO= anvayaH ca iti vigrahaH
   / tasminnanvaye ityagre kathanāt / tādṛśānvayānabhāvakatvābhāvaḥ / sa ca	/ tasmin= anvaye iti agre kaTanAt / tAdRSa anvayAna BAvaka tva aBAvaH / sa ca
   prāgabhāvaḥ uccāraṇato vā abhiprāyato vā	prAc aBAvaH uccAraNataH vE aBiprAyataH vA
   sahasthitayatpadasthitayadrūpopasthitivirahaprayukto vā bhavati tadrūpaṃ	saha sTitayat pada sTitayat rUpa upasTiti viraha prayuktaH vA Bavati tad rUpam
   kriyāpadatvakārakapadatvaikavibhaktikatvādi 2 kaṃ tadvatvamityarthaḥ /	kriyA padatva kAraka padatva eka viBaktika tva Adi 2 kam tat vatvam iti arTaH /
   1. kṣā ityucyante   u. 2.ādipadaṃ na   u.	1. kzAH iti ucyante  u. 2.Adi padam na  u.
   ākāṃ ni paṇam) ākāṅkṣāvādaḥ pu   13.	AkAM  ni paNam) AkAFkzA vAdaH pu  13.
   upasthitaraśabdasyābhimatānvayānanubhāvakatvaprayojakavirahapratiyogi 1	upasTitara Sabdasya aBimata anvayAn anuBAvaka tva prayojaka viraha pratiyogi 1
   jñānaviṣayībhūtarūpa 2 vatpadāntarasamabhivyāhṛtatvaṃ sākāṅkṣatvamiti	jQAna vizayIBUta rUpaH 2 vat pada antara samaBivyAhRta tvam sa akAFkza tvam iti
   yāvat /	yAvat /
   upasthitiśabdasyābhimatānvayānubhāvakatvaprayojakatvaprayojakarūpava 3	upasTiti Sabdasya aBimata anvaya anuBAvaka tva prayojaka tva prayojaka rUpavaH 3
   dupasthitaśābdāntarasamabhivyāhṛtatvaṃ tena sākāṅkṣamityanvayārthaḥ /	dupasTita SAbda antara samaBivyAhRta tvam tena sa AkAFkzam iti anvaya arTaH /
   tadyathā ghaṭamānayetyatra yasya ghaṭaśabdasya yadanvalayānanubhāvakatvaṃ	tat yaTA Gawam AnayA iti atra yasya Gawa Sabdasya yat anvalaya ananuBAvaka tvam
   samabhivyāhṛtānayeti padagatakriyāpadatvavirahaprayuktaṃ ghaṭa 4	samaBivyAhRta Anaya iti pada gata kriyA pada tva viraha prayuktam Gawa 4
   mānayanamityādau tathā darśanāt, tathā ca tasya ghaṭapadasya	mAnayanam ityAdO taTA darSanAt, taTA ca tasya Gawa padasya
   tasminnānayānānvaye tenānayanapadena saha tadrūpaṃ	tasmin= AnayAna anvaye tena Anayana padena saha tad rUpam
   kriyāpadatvarūpamākāṅkṣā / tathā'nayeti padasya ghaṭānvayānanubhāvakatvaṃ	kriyA padatva rUpam AkAFkzA / taTA anayA iti padasya Gawa anvayAn anuBAvaka tvam
   ghaṭapadagatakarmakārakatvavirahaprayuktam / ghaṭaḥ āna 5 yetyādau	Gawa pada gata karma kAraka tva viraha prayuktam / GawaH AnaH 5 yA ityAdO
   darśanāt / evaṃ ca tasyānayanapadasya ghaṭānvaye tena ghaṭapadena saha	darSanAt / evam ca tasya Anayana padasya Gawa anvaye tena Gawa padena saha
   karmakārakapadatvamevākāṅkṣeti 6 dhyeyam / atra yasya śabdasya	karma kAraka pada tvam eva AkAFkza iti 6 Dyeyam / atra yasya Sabdasya
   samabhivyāhṛtayacchabdavirahaprayuktamananubhāvakatvamityevoktau 7	samaBivyAhRtayat Sabda viraha prayuktam ananu BAvaka tvam iti eva uktO 7
   asaṃbhavaḥ syāt / ghaṭamānayanamityādau satyapi padāntare	asaMBavaH syAt / Gawam Anayanam ityAdO sati api pada antare
   tvayānanubhāvakatvasatvena tasya padāntaravirahāprayuktatvat /	tvayA ananuBAvaka tva satvena tasya pada antara virahA prayukta tvat /
   yatpadagatayadrūpetyuktam / ghaṭo bhavatītyatrānuccāritenāpi	yat pada gatayat rUpA iti uktam / GawaH Bavati iti atra anuccAritena api
   samānavibhaktikena rakta iti padena ghaṭapadasya nirākāṅkṣataiveti pakṣe	samAna viBaktikena raktaH iti padena Gawa padasya nirAkAFkzatA eva iti pakze
   ghaṭe rāgānvayānanubhāvakatāprayojakavirahapratiyogitāvacchedakarūpasya	Gawe rAga anvaya an anuBAvaka tA prayojaka viraha pratiyogi ta avacCedaka rUpasya
   samānavibhaktikatvasya satvādativyāptinirāsāya samabhivyāhṛtetyuktiḥ /	samAna viBaktika tvasya satvAt ati vyApti nirAsAya samaBivyAhRtA iti uktiH /
   sākāṅ7tā tayorapyastīti mate tu yatpadagatetyādyeva /	sAkAF7tA tayoH api asti iti mate tu yat pada gata iti Adi eva /
   samabhivyāhṛtapadamanādeyamityagre vyaktam / yadanvaya ityuktistu ghaṭaḥ	samaBivyAhRta padam anAdeyam iti agre vyaktam / yat anvayaH iti uktiH tu GawaH
   karmatvaṃ ānayanaṃ kṛtiriti vākye kriyākarmabhāvānvaye nirākāṅkṣe	karma tvam Anayanam kRtiH iti vAkye kriyA karma BAva anvaye nirAkAFkze
   bhedānvaye ca sākāṅkṣe 'tivyāptyavyāptyornirāsāyetyagre vyaktam //	Beda anvaye ca sa AkAFkze ati vyApti avyAptyoH nirAsAya iti agre vyaktam //
   1.tāvacchedakānvayaviṣayībhūta (kānvayaviṣayībhūta) rūpa   u. 2.dupasthita	1.tAvat Cedaka anvaya vizayIBUta (ka anvaya vizayIBUta) rUpaH  u. 2.dupasTita
   śabdāntara  u. 3.upasthiteti nāsti u. 4.ṭāna u. 5.neya u. 6.tyādi  u.	Sabda antara  u. 3.upasTitA iti nAsti u. 4.wAna u. 5.neya u. 6.tyAdi  u.
   7.'kiñcetyādinā maṇyabhihitapakṣoktadoṣaprasarāt' iti, tataḥ 'yatpada'	7. akiQca ityAdinA maNi aBihita pakza ukta doza prasarAt a iti, tatas ayat pada a
   ityādi cāsti  u naṃ.	ityAdi ca asti  u naM.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   14.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  14.
   tacca rūpaṃ kriyākārabhāvānvaye kriyāpadatvādikam / saṃbandharūpānvaye	tat ca rUpam kriyAkAra BAva anvaye kriyA pada tva Adikam / saMbanDa rUpa anvaye
   ṣaṣṭhyantatvādikam / abhedānvaye samānavibhaktikatvam /	zazWI anta tva Adikam / aBeda anvaye samAna viBaktika tvam /
   prakṛtipratyayārthayoranvaye prakṛtitvādikam //	prakRti pratyaya arTayoH anvaye prakRti tva Adikam //
   ata eva ghaṭasamānayetyatrānayeti kriyāpadaṃ vinā ghaṭamiti dvitīyāntaṃ	atas eva Gawa samAnayA iti atra AnayA iti kriyA padam vinA Gawam iti dvitIya antam
   kārakapadaṃ kriyākarmabhāvānvayānanubhāvakamiti kratiyākārakabhāvānvaye	kAraka padam kriyA karma BAva anvayAn anuBAvakam iti kratiyAkAraka BAva anvaye
   tena sākāṅkṣam /	tena sa AkAFkzam /
   kutra kiṃrūpamityataḥ taddarśayati    tacceti // ādipadena	kutra kiMrUpam iti atas tat darSayati   tat ca iti // Adipadena
   kārakapadatvagrahaḥ / rājñaḥ puruṣa ityādāvāha   	kAraka pada tva grahaH / rAjQaH puruzaH iti AdO= Aha   
   saṃbandheti // prathamāntatvamādipadārthaḥ / rakto ghaṭa ityādāvāha   	saMbanDa iti // praTama anta tvam Adi pada arTaH / raktaH GawaH iti AdO= Aha   
   abhedeti // lakṣaṇavākye tadagrahaṇaṃ śabdaparamityupetyāha   prakṛtīti //	aBeda iti // lakzaNa vAkye tad agrahaNam Sabda param iti upetya Aha  prakRti iti //
   ghaṭamityādau ghaṭarūpaprātipadikārthadvitīyāvibhaktyarthayoranvaya	Gawam ityAdO Gawa rUpa prAtipadikA arTa dvitIyA viBakti arTayoH anvaya
   ityarthaḥ / ādipadena dvitīyatvādigrahaḥ / kriyāpadatvādikaṃ	iti arTaH / Adipadena dvitIya tva Adi grahaH / kriyA pada tva Adikam
   tadrūpamityuktaṃ tatkthamityataḥ kvacidvyanakti    ata eveti //	tad rUpam iti uktam tat kTam iti atas kvacid vyanakti   atas eva iti //
   kriyāpadatvāderitarapada 1	kriyA pada tva AdeH itarapada 1
   virahaprayuktānvayānanubhāvakatāprayojakatvādevetyarthaḥ / kriyāpadaṃ	viraha prayukta anvaya ananuBAvaka tA prayojaka tvAt eva iti arTaH / kriyA padam
