   ṣaṭ-sandarbha-nāmaka-	zaw-sandarBa-nAmaka-
   paramātmetīty ādau paramātmatvena nirdisṭa iti sthitam | vyākhyātaṃ ca	paramAtmA-iti-iti AdO paramAtma-tvena nirdiswaH iti sTitam | vyAKyAtam ca
   svāmibhiḥ | namas tubhyaṃ bhagavate brahmaṇe paramātmana [BhP 10.28.6]	svAmiBiH | namaH tuByam Bagavate brahmaNe paramAtmanaH [Bhj 10.28.6]
   ity atra varuṇa-stutau | paramātmane sarva-jīva-niyantre iti | asya	iti atra varuNa--stutO | paramAtmane sarva-jIva--niyantre iti | asya
   paramātmano māyopādhitayā puruṣatvaṃ tūpacaritam eva | tad uktaṃ	paramAtmanaH mAyA-upADitayA puruza-tvam tu-upacaritam eva | tat uktam
   vaiṣṇave eva -	vEzNave eva -
   nānto'sti yasya na ca yasya samudbhavo'sti	na-antaH-asti yasya na ca yasya samudBavaH-asti
   vṛddhir na yasya pariṇāma-vivarjitasya |	vRdDiH na yasya pariNAma--vivarjitasya |
   nāpekṣayaṃ ca samupaitya vikalpa-svastu	na-apekzayam ca samupEtya vikalpa--svastu
   yas taṃ nato'smi puruṣottamam ādyam īḍyam || [ViP 6.8.60]	yaH tam nataH-asmi puruzottamam Adyam Ixyam || [ViS 6.8.60]
   tasyaiva yo'nuguṇa-bhug bahudhaika eva	tasya-eva yaH-anuguNa-Buj bahuDA-ekaH eva
   śuddho'py aśuddha iva mūrti-vibhāga-bhedaiḥ |	SudDaH-api aSudDaH iva mUrti-viBAga--BedEH |
   jñānānvitaḥ sakala-sattva-vibhūti-kartā	jQAna-anvitaH sakala--sattva--viBUti--kartA
   tasmai nato'smi puruṣāya sadāvyayāya || [ViP 6.8.61] iti |	tasmE nataH-asmi puruzAya sadA-avyayAya || [ViP 6.8.61] iti |
   tasyaivānupūrvoktāt parameśvarāt samanantaram | bahudhā brahmādi-	tasya-eva-anupUrva-uktAt parameSvarAt samanantaram | bahuDA brahma-Adi-
   rūpeṇa | aśuddha iva sṛṣṭy-ādiṣv āsakta iva | mūrti-vibhāgānāṃ dakṣādi-	rUpeNa | aSudDaH iva sRzwi--Adizu AsaktaH iva | mUrti-viBAgAnAm dakza-Adi-
   manv-ādi-rūpāṇāṃ bhedaiḥ | arva-sattvānāṃ vibhūtīkartā vistārakṛt iti	manv-Adi---rUpANAm BedEH | arva--sattvAnAm viBUtIkartA vistAra-kRt iti
   svāmī |	svAmI |
   tatra guṇa-bhug iti ṣāḍ-guṇyānanda-bhoktety arthaḥ |	tatra guNa-Buj iti zAx-guNyAnanda--BoktA-iti arTaH |
   yat tat sūkṣmam avijñānam avyaktam acalaṃ dhruvam |	yat tat sUkzmam avijQAnam avyaktam acalam Druvam |
   indriyair indriyārthaiś ca sarva-bhūtaiś ca varjitam ||	indriyEH indriya-arTEH ca sarva-BUtEH ca varjitam ||
   sa hy antarātmā bhūtānāṃ kṣetrajñaś ceti kathyate |	sa hi antarAtmA BUtAnAm kzetrajQaH ca-iti kaTyate |
   triguṇa-vyatirikto vai puruṣaś ceti kalpitaḥ || [MBh 12.321.28-29]	triguNa--vyatiriktaH vE puruzaH ca-iti kalpitaH || [MBh 12.321.28-29]
   iti mokṣadharme'pi nārāyaṇīyopākhyāne | śrutayo'py enaṃ śuddhatvenaiva	iti mokza-Darme-api nArAyaNIya-upAKyAne | SrutayaH-api enam SudDa-tvena-eva
   varṇayanti	varNayanti
   eko devo sarva-bhūteṣu gūḍhaḥ	ekaH devaH sarva-BUtezu gUXaH
   sarva-vyāpī sarva-bhūtāntarātmā |	sarva-vyApI sarva-BUta-antarAtmA |
   karmādhyakṣaḥ sarva-bhūtādhivāsaḥ	karma-aDyakzaH sarva-BUta-aDivAsaH
   sāksī cetāḥ kevalo nirguṇaś ca || [ŚvetU 6.11] |	sAksI cetAH kevalaH nirguNaH ca || [ŚvetU 6.11] |
   ajām ekāṃ lohita-śukla-kṛṣṇāṃ	ajAm ekAm lohita--Sukla-kRzNAm
   bahvīḥ prajāḥ sṛjamānā sarūpāḥ |	bahvIH prajAH sRjamAnA sarUpAH |
   ajo hy eko jūṣamāṇo'nuśete jahāty	ajaH hi ekaH jUzamANaH-anuSete jahAti-
   enāṃ bhukta-bhogām ajo'nyaḥ || ity ādyāḥ [ŚvetU 4.5]	enAm Bukta--BogAm ajaH-anyaH || iti AdyAH [ŚvetU 4.5]
   tasmāt sādhu vyākhyātaṃ kṣetrajña etā ity ādi-padya-dvayam ||	tasmAt sADu vyAKyAtam kzetrajQaH etAH iti Adi-padya--dvayam ||
   || 5.11 || śrī-brāhmaṇo rahūgaṇam || 1 ||	|| 5.11 || SrI--brAhmaNaH rahU-gaNam || 1 ||
   atha tasyāvirbhāve yogyatā-prāgvad bhaktir eva jñeyā | āvirbhāvas tu	aTa tasya-AvirBAve yogyatA--prAgvat BaktiH eva jQeyAH | AvirBAvaH tu
   tridhā	triDA
   yathā nāradīye tantre[*ENDNOTE #2] -	yaTA nAradIye tantre[*ENDNOTEH #2] -
   viṣṇos tu trīṇi rūpāṇi puruṣākhyāny atho viduḥ |	vizNoH tu trINi rUpANi puruza-AKyAni aTo viduH |
   ekaṃ tu mahataḥ sraṣṭṛ dvitīyaṃ tantu-saṃsthitam |	ekam tu mahataH srazwR dvitIyam tantu--saMsTitam |
   tṛtīyaṃ sarva-bhūtasthaṃ tāni jñātvā vimucyate ||	tRtIyam sarva-BUta-sTam tAni jQAtvA vimucyate ||
   atra prathamo yathāgneḥ kṣudrā visphuliṅgā vyuccaranti sa	atra praTamaH yaTA-agneH kzudrAH visPuliFgAH vyuccaranti sa
   aikṣatetyādyukteḥ | mahā-samaṣṭi-jīva-prakṛtyor ekatāpannayor draṣṭety	Ekzata-ityAdi-ukteH | mahA-samazwi--jIva--prakRtyoH ekatA-ApannayoH drazwA-iti-
   eka eva | ayam eva saṅkarṣaṇa iti mahāviṣṇur iti ca | brahma-saṃhitāyāṃ	ekaH eva | ayam eva saFkarzaNaH iti mahA-vizNuH iti ca | brahma-saMhitAyAm
   yathā --	yaTA --
   tal-liṅgaṃ bhagavān śambhur jyotī-rūpaṃ sanātanam |	tal-liFgam BagavAn SamBuH jyotI--rUpam sanAtanam |
   tasminn āvirabhūl liṅge mahā-viṣṇur jagat-patiḥ || [BrahmaS 5.8]	tasmin AviraBUt liFge mahA--vizNuH jagat-patiH || [BrahmaH 5.8]
   sahasra-śīrṣā puruṣa ity ārabhya [BrahmaS 5.11]	sahasra-SIrzA puruzaH iti AraBya [BrahmaH 5.11]
   nārāyaṇaḥ sa bhagavān āpas tasmāt sanātanāt |	nArAyaNaH sa BagavAn ApaH tasmAt sanAtanAt |
   āvirāsan kāraṇārṇonidhiṃ saṅkarṣaṇātmakaḥ |	AvirAsan kAraNa-arNaH-niDim saFkarzaNa-AtmakaH |
   yoga-nidrāṃ gatas tasmin sahasrāṃśaḥ svayaṃ mahān || [BrahmaS 5.12]	yoga-nidrAm gataH tasmin sahasra-aMSaH svayam mahAn || [BrahmaH 5.12]
   tad-roma-bila-jāleṣu bījaṃ saṅkarṣaṇasya ca |	tad--roma--bila--jAlezu bIjam saFkarzaNasya ca |
   haimāny aṇḍāni jātāni mahā-bhūtāvṛtāni tu || īty ādi [BrahmaS 5.13]	hEmAni aNxAni jAtAni mahA--BUta-AvRtAni tu || Iti Adi [BrahmaH 5.13]
   liṅgam iti yasyāyutāyutāṃśāṃśe viśva-śaktir iyaṃ sthitety [ViP 1.9.53]	liFgam iti yasya-ayuta-ayuta-aMSa-aMSe viSva-SaktiH iyam sTitA-iti [ViS 1.9.53]
   anusāreṇa tasya mahā-bhagavataḥ śrī-govindasya puruṣotpādakatvāl liṅgam	anusAreNa tasya mahA---BagavataH SrI---govindasya puruza-utpAdaka-tvAt liFgam
   iva liṅgaṃ yaḥ khalv aṃa-viśeṣas tad eva śambhuḥ | śambhu-śabdasya	iva liFgam yaH Kalu aMa-viSezaH tat eva SamBuH | SamBu--Sabdasya
   mukhyāyā vṛtter āśraya ity arthaḥ |	muKyAyAH vRtteH ASrayaH iti arTaH |
   atha dvitīya-puruṣas tat sṛṣṭvā tad evānupraviśad ity ādy uktaḥ samaṣṭi-	aTa dvitIya-puruzaH tat sRzwvA tat eva-anupraviSat iti Adi uktaH samazwi-
   jīvāntaryāmī | teṣāṃ brahmāṇḍātmakānāṃ bahu-bhedād bahu-bhedaḥ |	jIva-antaryAmI | tezAm brahmANxa-AtmakAnAm bahu-BedAt bahu-BedaH |
   tatraiva sūkṣmāntaryāmī pradyumnaḥ sthūlāntaryāmy aniruddha iti kvacit |	tatra-eva sUkzma-antaryAmI pradyumnaH sTUla-antaryAmI anirudDaH iti kvacid |
   anena mahā-vaikuṇṭha-sthāḥ saṅkarṣaṇādayas tad-aṃśinaḥ | ye tu cittādy-	anena mahA-vEkuNWa--sTAH saFkarzaNa-AdayaH tad--aMSinaH | ye tu citta-Adi--
   adhiṣṭhātāro vāsudevādayas te tad-aṃśā evety ādi vivecanīyam |	aDizWAtAraH vAsudeva-AdayaH te tad--aMSAH eva-iti Adi vivecanIyam |
   tṛtīyo'pi puruṣaḥ --	tRtIyaH-api puruzaH --
   dvā suparṇā sayujā sakhāyā	dvA suparNA sa-yujA saKAyA
   samānaṃ vṛkṣaṃ pariṣasvajāte |	samAnam vRkzam parizasvajAte |
   tayor anyaḥ pippalaṃ svādv atty	tayoH anyaH pippalam svAdu atty
   anaśnann anyo 'bhicākaśīti || [Ṛg-veda 1.163.20, MuṇḍU 7.1.1]	anaSnan anyaH aBicAkaSIti || [Ṛg-vedaH 1.163.20, MuNxU 7.1.1]
   ity-ādy-ukto vyaṣṭy-antaryāmī | teṣām bahubhedād bahubhedaḥ |	iti--Adi--uktaH vyazwi--antaryAmI | tezAm bahu-BedAt bahu-BedaH |
   tatra prathamasyāvirbhāvo yathā ādyo'vatāraḥ puruṣaḥ parasyeti [BhP	tatra praTamasya-AvirBAvaH yaTA AdyaH-avatAraH puruzaH parasya-iti [BhP
   ṭīkā ca parasya bhūmnaḥ puruṣaḥ prakṛti-pravartakaḥ | yasya	wIkA ca parasya BUmnaH puruzaH prakRti-pravartakaH | yasya
   sahasra-śīrṣety	sahasra-SIrza-iti-
   ādy ukto līlā-vigrahaḥ sa ādyovatāraḥ | ity eṣā || atra cānyatra	Adi uktaH lIlA-vigrahaH saH AdyaH-vatAraH | iti ezA || atra ca-anyatra
   cāvatāratvaṃ	ca-avatAra-tvam
   nāmaika-pāda-vibhūty-āvirbhāvatvaṃ jñeyam || 2.6 || śrī-brahmā	nAma-eka-pAda--viBUti--AvirBAva-tvam jQeyam || 2.6 || SrI--brahmA
   nāradam ||2||	nAradam ||2||
   dvitīyasya yathā -	dvitIyasya yaTA -
   kālena so'jaḥ puruṣāyuṣābhi-	kAlena saH-ajaH puruza-AyuzABi-
   pravṛtta-yogena virūḍha-bodhaḥ	pravRtta--yogena virUXa--boDaH
   svayaṃ tad antar-hṛdaye 'vabhātam	svayam tat antar-hRdaye avaBAtam
   apaśyatāpaśyata yan na pūrvam ||	apaSyata-apaSyata yat na pUrvam ||
   mṛṇāla-gaurāyata-śeṣa-bhoga-	mRNAla--gOra-Ayata-Seza--Boga-
   paryaṅka ekaṃ puruṣaṃ śayānam | [BhP 3.8.23]	paryaFke ekam puruzam SayAnam | [Bhj 3.8.23]
   ayaṃ garbhodaka-sthaḥ sahasra-śīrṣā pradyumna eva | puruṣāyuṣā vatsara-	ayam garBa-udaka-sTaH sahasra-SIrzA pradyumnaH eva | puruza-AyuzA vatsara-
   śatena | yogo bhakti-yogaḥ | etad agre'py avyakta-mūlam ity atra avyaktaṃ	Satena | yogaH Bakti-yogaH | etat agre-api avyakta--mUlam iti atra avyaktam
   pradhānaṃ mūlam adhobhāgo yasyety arthaḥ | bhuvanāṅghripendram iti |	praDAnam mUlam aDoBAgaH yasya-iti arTaH | Buvana-aFGripa-indram iti |
   bhuvanāni caturdaśa tad-rūpā aṅghripās teṣām indraṃ tan-niyantṛtvena	BuvanAni caturdaSa tad--rUpAH aFGripAH tezAm indram tan--niyantR-tvena
   vartamānam ity arthaḥ || 3.8 || śrī-maitreyo viduram || 3 ||	vartamAnam iti arTaH || 3.8 || SrI-mEtreyaH viduram || 3 ||
   tṛtīyasyāvirbhāvo yathā -	tRtIyasya-AvirBAvaH yaTA -
   kecit sva-dehāntar-hṛdayāvakāśe	kecid sva--deha-antar--hRdaya-avakASe
   prādeśa-mātraṃ puruṣaṃ vasantam |	prAdeSa--mAtram puruzam vasantam |
   catur-bhujaṃ kañja-rathāṅga-śaṅkha-	catur-Bujam kaQja--raTAFga-SaFKa-
   gadā-dharaṃ dhāraṇayā smaranti || [BhP 2.2.8]	gadA-Daram DAraNayA smaranti || [Bhj 2.2.8]
   prādeśas tarjany-aṅguṣṭheyor vistāras tat pramāṇaṃ hṛdy apekṣayā	prAdeSaH tarjanI--aFguzWeyoH vistAraH tat pramANam hRdi apekzayA
   manuṣyādhikāratvād iti nyāyena || 2.2 || śrī-śukaḥ ||4||	manuzya-aDikAra-tvAt iti nyAyena || 2.2 || SrI-SukaH ||4||
   evaṃ puruṣasyāneka-vidhatve'pi dṛṣṭāntenaikyam upapādayati |	evam puruzasya-aneka-viDa-tve-api dRzwAntena-Ekyam upapAdayati |
   yathānilaḥ sthāvara-jaṅgamānām	yaTA-anilaH sTAvara--jaFgamAnAm
   ātma-svarūpeṇa niviṣṭa īśet |	Atma--svarUpeNa nivizwaH ISet |
   evaṃ paro bhagavān vāsudevaḥ	evam paraH BagavAn vAsudevaH
   kṣetrajña ātmedam anupraviṣṭaḥ || [BhP 5.11.14]	kzetrajQaH AtmA-idam anupravizwaH || [Bhj 5.11.14]
   ātma-svarūpeṇa prāṇa-rūpeṇa īśed īśeta niyamayati | idaṃ viśvam | śrutiś	Atma--svarUpeNa prANa--rUpeNa ISet ISeta niyamayati | idam viSvam | SrutiH-
   ca -	ca -
   vāyur yathaiko bhuvanaṃ praviṣṭo	vAyuH yaTA-ekaH Buvanam pravizwaH-
   rūpaṃ rūpaṃ pratirūpo babhūva |	rUpam rUpam pratirUpaH baBUva |
   ekas tathā sarva-bhūtāntarātmā	ekaH taTA sarva-BUta-antarAtmA
   rūpaṃ rūpaṃ pratirūpo bahiś ca || iti kāṭhake [KaṭhU 2.2.10]	rUpam rUpam pratirUpaH bahis ca || iti kAWake [KaWU 2.2.10]
   || 5.11 || śrī-brāhmaṇo rahūgaṇam ||5 ||	|| 5.11 || SrI--brAhmaNaH rahU-gaNam ||5 ||
   tathā,	taTA,
   eka eva paro hy ātmā sarveṣām eva dehinām |	ekaH eva paraH hi AtmA sarvezAm eva dehinAm |
   nāneva gṛhyate mūḍhair yathā jyotir yathā nabhaḥ || [BhP 10.54.44]	nAnA-iva gRhyate mUXEH yaTA jyotiH yaTA naBaH || [Bhj 10.54.44]
   dehināṃ jīvānām | ātmā paramātmā || 10.54 || śrī-baladevaḥ śrī-	dehinAm jIvAnAm | AtmA paramAtmA || 10.54 || SrI-baladevaH SrI-
   rukmiṇīm ||6||	rukmiNIm ||6||
   evam eka eva paro hy ātmā bhūteṣv ātmany avasthitaḥ |	evam ekaH eva paraH hi AtmA BUtezu Atmani avasTitaH |
   yathendur udapātreṣu bhūtāny ekātmakāni ca || [BhP 11.18.32]	yaTA-induH uda-pAtrezu BUtAni eka-AtmakAni ca || [Bhj 11.18.32]
   bhūteṣu jīveṣu eka eva para ātmā na tv asau jīvavat tatra tatra lipto	BUtezu jIvezu ekaH eva paraH AtmA na tu asO jIva-vat tatra tatra liptaH-
   bhavati	Bavati
   ity āha ātmani sva-svarūpa evāvasthitaḥ | bhūtāni jīva-dehā api yena	iti Aha Atmani sva--svarUpaH eva-avasTitaH | BUtAni jIva-dehAH api yena
   kāraṇa-	kAraNa-
   rūpeṇaikātmakānīti || 11.18 || śrī-bhagavān uddhavam ||7||	rUpeNa-eka-AtmakAni-iti || 11.18 || SrI--BagavAn udDavam ||7||
   evam ekasya puruṣasya nānātvam upapādya tasya punar aṃśā vivriyante | atra	evam ekasya puruzasya nAnAtvam upapAdya tasya punar aMSAH vivriyante | atra
   dvividhā aṃśā svāṃśā vibhinnāṃśāś ca | vibhinnāṃśā taṭastha-śakty-ātmakā	dviviDAH aMSAH sva-aMSAH viBinna-aMSAH ca | viBinna-aMSA tawa-sTa--Sakti--AtmakA
   jīvā iti vakṣyate | svāṃśās tu guṇa-līlādy-avatāra-bhedena vividhāḥ |	jIvAH iti vakzyate | sva-aMSAH tu guNa--lIlA-Adi--avatAra--Bedena viviDAH |
   tatra	tatra
   līlādy-avatārāḥ prasaṅga-saṅgatyā śrī-kṛṣṇa-sandarbhe vakṣyate |	lIlA-Adi--avatArAH prasaFga--saFgatyA SrI--kRzNa-sandarBe vakzyate |
   guṇāvatārā yathā -	guNa-avatArAH yaTA -
   ādāv abhūc chata-dhṛtī rajasāsya sarge,	AdO aBUt Sata-DRtiH rajasA-asya sarge,
   viṣṇuḥ sthitau kratupatir dvija-dharma-setuḥ |	vizNuH sTitO kratu-patiH dvija--Darma-setuH |
   rudro'pyayāya tamasā puruṣaḥ sa ādya	rudraH-apyayAya tamasA puruzaH saH Adya
   ity udbhava-sthiti-layāḥ satataṃ prajāsu || [BhP 11.4.5]	iti udBava--sTiti-layAH satatam prajAsu || [Bhj 11.4.5]
   sa yugapat guṇa-trayādhiṣṭhādyaḥ puruṣaḥ pṛthak pṛthag api tat-tad-	sa yugapad guNa-traya-aDizWa-At-yaH puruzaH pRTak pRTak api tat-tat--
   guṇādhiṣṭhāna-līlayaiva ādau rajasā asya jagataḥ sarge visarge kārye śata-	guNa-aDizWAna--lIlayA-eva AdO rajasA asya jagataH sarge visarge kArye Sata-
   dhṛtir brahmābhūt | sthitau viṣṇuḥ sattveneti śeṣaḥ | tatra	DRtiH brahmA-aBUt | sTitO vizNuH sattvena-iti SezaH | tatra
   sākṣād-guṇānuktiś	sAkzAt--guNa-anuktiH-
   ca tayātirohita-svarūpatayā tat-sambandhopacārasyāpy uṭṭaṅkanam ayuktam	ca tayA-ati-rohita--svarUpa-tayA tat-sambanDa-upacArasya-api uwwaFkanam ayuktam
   ity abhiprāyeṇa | pālana-kartṛtvena kratupatis tat-phala-dātā |	iti aBiprAyeNa | pAlana--kartR-tvena kratu-patiH tat-Pala--dAtA |
   yajña-rūpas tu	yajQa--rUpaH tu
   līlāvatāra-madhya eva śrī-brahmaṇā dvitīye gaṇitaḥ | dvijānāṃ dharmānāṃ	lIlAvatAra--maDye eva SrI--brahmaNA dvitIye gaNitaH | dvijAnAm DarmAnAm
   ca setuḥ pālaka ity arthaḥ | namasā tasyāpyayāya rudro'bhūt ity anena	ca setuH pAlakaH iti arTaH | namasA tasya-apyayAya rudraH-aBUt iti anena
   prakāreṇodbhava-sthiti-layā bhavantīti | atra brahma-rudrayor	prakAreNa-udBava--sTiti-layAH Bavanti-iti | atra brahma-rudrayoH-
   avatārāvasaro	avatArA=-asaraH-
   mokṣa-dharme vivṛtto'sti | yathā --	mokza--Darme vivRttaH-asti | yaTA --
   brāhme rātrikṣaye prāpte tasya hy amita-tejasaḥ	brAhme rAtri-kzaye prApte tasya hi amita--tejasaH
   prasādāt prādurabhavat padmaṃ padma-nibhekṣaṇa	prasAdAt prAduraBavat padmam padma--niBa-IkzaNa
   tatra brahmā samabhavat sa tasyaiva prasādajaḥ	tatra brahmA samaBavat sa tasya-eva prasAda-jaH
   ahnaḥ kṣaye lalātāc ca suto devasya vai tathā	ahnaH kzaye lalAtAt ca sutaH devasya vE taTA
   krodhāviṣṭasya saṃjajñe rudraḥ saṃhāra-kārakaḥ [MBh 12.328.15-16]	kroDa-Avizwasya saMjajQe rudraH saMhAra-kArakaH [MBh 12.328.15-16]
   śrī-viṣṇos tu tṛtīye dṛśyate -	SrI-vizNoH tu tRtIye dRSyate -
   tal-loka-padmaṃ sa u eva viṣṇuḥ	tal--loka--padmam saH u eva vizNuH
   prāvīviśat sarva-guṇāvabhāsam |	prAvIviSat sarva--guNa-avaBAsam |
   tasmin svayaṃ veda-mayo vidhātā	tasmin svayam veda-mayaH viDAtA
   svayambhuvaṃ yaṃ sma vadanti so'bhūt || [BhP 3.8.15]	svayamBuvam yam sma vadanti saH-aBUt || [Bhj 3.8.15]
   asyārthaḥ - tal-lokātmakaṃ padmam | sarva-guṇān jīvabhogyān arthān	asya-arTaH  tal-loka-Atmakam padmam | sarva--guNAn jIva-BogyAn arTAn
   avabhāsayatīti tathā | tat yasmāj jātaṃ śrī-nārāyaṇākhyaḥ puruṣa eva	avaBAsayati-iti taTA | tat yasmAt jAtam SrI-nArAyaNa-AKyaH puruzaH eva
   viṣṇu-	vizNu-
   saṃjñaḥ san sthāpana-rūpāntaryāmitāyai prāvīviśat prakarṣenālupta-	saMjQaH san sTApana--rUpa-antaryAmitAyE prAvIviSat prakarzena-Alupta-
   śaktitayaivāviśat | svārthe ṇic | tasmin śrī-viṣṇunā labdha-sthitau padmaṃ	Sakti-tayA-eva-AviSat | sva-arTe Nit | tasmin SrI--vizNunA labDa--sTitO padmam
   punaḥ sṛṣṭy-arthaṃ svayam eva brahmābhūt sthitasyaiva mṛdāder	punar sRzwi--arTam svayam eva brahmA-aBUt sTitasya-eva mRd-Ader
   ghaṭāditayā sṛṣṭeḥ | ataeva sthity-ādaye hari-viriñcir eti saṃjñā ity	Gawa-Adi-tayA sRzweH | ataeva sTiti--Adaye hari-viriQciH eti saMjQA iti-
   anyatrāpi ||	anyatra-api ||
   || 11.4 || drumilo nimim || 8 ||	|| 11.4 || drumilaH nimim || 8 ||
   evaṃ - yo vā ahaṃ ca giriśaṃ ca vibhuḥ svayaṃ ce ity [BhP 3.9.3] ādau	evam  yaH vE aham ca giriSam ca viBuH svayam ce iti [Bhj 3.9.3] AdO
   tripād	tripAd
   iti |	iti |
   ṭīkā ca - yo vai ekas tripāt trayo brahmādayaḥ pādāḥ skandhā yasya ity	wIkA ca  yaH vE ekaH tripAd trayaH brahma-AdayaH pAdAH skanDAH yasya iti-
   eṣā | vṛkṣa-rūpatvena tad-varṇanād eṣāṃ skandhatvam ||3.9|| brahmā	ezA | vRkza---rUpa-tvena tad--varNanAt ezAm skanDa-tvam ||3.9|| brahmA
   garbhodaśāyinam ||9||	garBoda-SAyinam ||9||
   teṣām āvirbhāvo yathā -	tezAm AvirBAvaH yaTA -
   tapyamānaṃ tribhuvanaṃ prāṇāyāmaidhasāgninā |	tapyamAnam triBuvanam prANAyAma-eDasA-agninA |
   nirgatena muner mūrdhnaḥ samīkṣya prabhavas trayaḥ ||	nirgatena muneH mUrDnaH samIkzya praBavaH trayaH ||
   apsaro-muni-gandharva-siddha-vidyādharoragaiḥ |	apsaro--muni--ganDarva--sidDa-vidyADara-uragEH |
   vitāyamāna-yaśasas tad-āśrama-padaṃ yayuḥ || ity ādi || [BhP 4.1.21-22]	vitAyamAna--yaSasaH tad--a-ASrama-padam yayuH || iti Adi || [Bhj 4.1.21-22]
   muner atreḥ | śrī-maitreyaḥ ||10||	muneH atreH | SrI-mEtreyaH ||10||
   yathā vā -	yaTA vA -
   sarasvatyās taṭe rājan ṛṣayaḥ satram āsate |	sarasvatyAH tawe rAjan RzayaH satram Asate |
   vitarkaḥ samabhūt teṣāṃ triṣv adhīśeṣu ko mahān || [BhP 10.89.1]	vitarkaH samaBUt tezAm trizu aDISezu kaH mahAn || [Bhj 10.89.1]
   ity ādir itihāsaḥ | śrī-viṣṇoḥ sthānaṃ ca kṣīrodādikaṃ pādmottara-	iti AdiH itihAsaH | SrI--vizNoH sTAnam ca kzIroda-Adikam pAdma-uttara-
   khaṇḍādau jagat-pālana-nimittaka-nivedanārthaṃ brahmādayas tatra muhur	KaNxa-AdO jagat--pAlana--nimittaka-nivedana-arTam brahma-AdayaH tatra muhur-
   gacchatīti prasiddheḥ | viṣṇu-lokatayā prasiddheś ca | bṛhat-sahasra-nāmni	gacCati-iti prasidDeH | vizNu-lokatayA prasidDeH ca | bRhat--sahasra--nAmni
   ca	ca
   kṣīrābdhi-mandira iti tan-nāma-gaṇe paṭhyate | śveta-dvīpa-pateḥ kvacid	kzIrAbDi-mandiraH iti tan--nAma--gaNe paWyate | Sveta--dvIpa-pateH kvacid-
   aniruddhatayā khyātiś ca tasya sākṣād evāvirbhāva ity apekṣayeti ||	anirudDa-tayA KyAtiH ca tasya sAkzAt eva-AvirBAvaH iti apekzayA-iti ||
   || 10.89 || śrī-śukaḥ ||11||	|| 10.89 || SrI-SukaH ||11||
   evaṃ parokṣayā tatra tridevyās tāratamyam api sphuṭam | tathā cānyatra	evam parokzayA tatra tri-devyAH tAratamyam api sPuwam | taTA ca-anyatra
   dvayenāha -	dvayena-Aha -
   sattvaṃ rajas tama iti prakṛter guṇās tair	sattvam rajaH tamaH iti prakRteH guNAH tEH-
   yuktaḥ parama-puruṣa eka ihāsya dhatte |	yuktaH parama--puruzaH ekaH iha-asya Datte |
   sthity-ādaye hari-viriñci-hareti saṃjñāḥ	sTiti--Adaye hari-viriQci--harA-iti saMjQAH
   śreyāṃsi tatra khalu sattva-tanor nṝṇāṃ syuḥ || [BhP 1.2.23]	SreyAMsi tatra Kalu sattva--tanoH nLNAm syuH || [Bhj 1.2.23]
   iha yadyapy eka eva paraḥ pumān asya viśvasya sthity-ādaye sṛṣṭi-sthiti-	iha yadi-api ekaH eva paraH pumAn asya viSvasya sTiti--Adaye sRzwi--sTiti-
   layārthaṃ taiḥ sattvādibhir yuktaḥ san hari-viriñca-hareti saṃjñā bhinnā	laya-arTam tEH sattva-AdiBiH yuktaH san hari-viriQca--harA-iti saMjQA BinnA
   dhatte	Datte
   tat-tad-rūpeṇāvirbhavatīty arthaḥ | tathāpi tatra teṣāṃ madhye śreyāṃsi	tat--tad--rUpeNOvirBavati-iti arTaH | taTA-api tatra tezAm maDye SreyAMsi
   dharmārtha-kāma-mokṣa-bhakty-ākhyāni śubha-phalāni sattva-tanor	Darma-arTa-kAma--mokza--Bakty-AKyAni SuBa--PalAni sattva--tanoH-
   adhiṣṭhita-sattva-śakteḥ śrī-viṣṇor eva syuḥ | ayaṃ bhāvaḥ | upādhi-dṛṣṭyā	aDizWita--sattva--SakteH SrI-vizNoH eva syuH | ayam BAvaH | upADi-dRzwyA
   tau dvau sevyamāne rajas-tamasor ghora-mūḍhatvāt bhavanto'pi dharmārtha-	tO dvO sevyamAne rajas-tamasoH Gora-mUXa-tvAt BavantaH-api Darma-arTa-
   kāmā nāti-sukhadā bhavanti tathopādhi-tyāgena sevamāne bhavann api	kAmAH na-ati--suKa-dAH Bavanti taTA-upADi--tyAgena sevamAne Bavan api
   mokṣo na sākṣān na ca jhaṭiti kintu katham api paramātvāṃśa evāyam ity	mokzaH na sAkzAt na ca Jawiti kintu kaTam api para-mAtvA-aMSaH eva-ayam iti-
   anusandhānā-bhyāsenaiva paramātmana eva bhavati | athopādhi-dṛṣṭyāpi	anusanDAna-a-ByAsena-eva paramAtmanaH eva Bavati | aTa-upADi-dRzwyA-api
   śrī-viṣṇuṃ sevyamāne sattvasya śānttatvāt dharmārtha-kāmā api sukhadāḥ |	SrI--vizNum sevyamAne sattvasya SAntta-tvAt Darma-arTa--kAmAH api suKa-dAH |
   tatra niṣkāmatvena tu taṃ sevyamāne sattvāt sañjāyate jñānam iti [Gītā	tatra nizkAma-tvena tu tam sevyamAne sattvAt san-jAyate jQAnam iti [GItA
   kaivalyaṃ sāttvikaṃ jñānam [BhP 11.25.24] iti cokter mokṣasya sākṣāt |	kEvalyam sAttvikam jQAnam [Bhu 11.25.24] iti ca-ukteH mokzasya sAkzAt |
   ata uktaṃ skānde -	atas uktam skAnde -
