   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   (KauśS_1,4.13) tasmād antarā hotavyā devaloke_eva hūyante	(KOSH _1,4.13) tasmAt antarA hotavyAH deva loke_eva hUyante
   (KauśS_1,4.14) yāṃ hutvā pūrvām aparāṃ juhoti sāpakramantī sa pāpīyān	(KOSS_1,4.14) yAm hutvA pUrvAm aparAm juhoti sA apakramantI sa pApIyAn
   yajamāno bhavati	yajamAnaH Bavati
   (KauśS_1,4.15) yāṃ parāṃparāṃ saṃhatāṃ juhoti sābhikramantī sa vasīyān	(KOSS_1,4.15) yAm para aMparAm saMhatAm juhoti sA aBikramantI sa vasIyAn
   yajamāno bhavati	yajamAnaH Bavati
   (KauśS_1,4.16) yām anagnau juhoti sāndhā tayā cakṣur yajamānasya mīyate	(KOSS_1,4.16) yAm anagnO juhoti sA anDA tayA cakzuH yajamAnasya mIyate
   so_andhaṃbhāvuko yajamāno bhavati	saH _anDaMBAvukaH yajamAnaH Bavati
   (KauśS_1,4.17) yāṃ dhūme juhoti sā tamasi hūyate so_arocako yajamāno	(KOSS_1,4.17) yAm DUme juhoti sA tamasi hUyate saH _arocakaH yajamAnaH 
   bhavati	Bavati
   (KauśS_1,4.18) yāṃ jyotiṣmati juhoti tayā brahmavarcasī bhavati	(KOSS_1,4.18) yAm jyotizmati juhoti tayA brahmavarcasI Bavati
   tasmāt_jyotiṣmati hotavyam	tasmAt _jyotizmati hotavyam
   (KauśS_1,4.19) evam <asmai kṣatram agnīṣomau [6.54.2]> iti_agniṣomīyasya	(KOSS_1,4.19) evam <asmE kzatram agnIzomO [6.54.2]> iti_agnizomIyasya
   (KauśS_1,5.1) <agnīṣomā savedasā sahūtī vanataṃ giraḥ | sa devatrā	(KOSS_1,5.1) <agnIzomA sa vedasA sahUtI vanatam giraH | sa devatrA
   babhūvathuḥ || yuvam etāni divi rocanāny agniś ca soma sakratū adhattam |	baBUvaTuH || yuvam etAni divi rocanAni agniH ca soma sakratU aDattam |
   yuvaṃ sindhū;mr abhiśaster avadyād agnīṣomāv amuñcataṃ gṛbhītān ||	yuvam sinDU;mH aBiSasteH avadyAt agnIzomO amuQcatam gRBItAn ||
   agnīśomā ya āhutiṃ yo vāṃ dāśād dhaviśkṛtim | sa prajayā suvīryaṃ viśvam	agnISomAH yaH Ahutim yaH vAm dASAt DaviSkRtim | sa prajayA su vIryam viSvam
   āyur vyaśnavat || [RV 1.93.9,5,3 etc.]>	AyuH vyaSna vat || [RV 1.93.9,5,3 etc.]>
   (KauśS_1,5.2) <indrāgnī rocanā divaḥ pari vājeṣu bhūṣathaḥ | tad vāṃ ceti	(KOSS_1,5.2) <indra agnI rocanA divaH pari vAjezu BUzaTaH | tat vAm ca iti
   pra vīryam || [RV 3.12.9]> <śnathad vṛtram uta sanoti vājam indrā yo agnī	pra vIryam || [RV 3.12.9]> <SnaTat vRtram uta sanoti vAjam indrAH yaH agnI
   sahurī saparyāt | irajyantā vasavyasya bhūreḥ sahastamā sahasā vājayantā	sahurI saparyAt | irajyantA vasavyasya BUreH sahaH tamA sahasA vAjayantA
   || [RV 6.60.1]> <indrāgnī asmān rakṣatāṃ yau prajānāṃ prajāvatī | sa	|| [RV 6.60.1]> <indra agnI asmAn rakzatAm yO prajAnAm prajAvatI | sa
   prajayā suvīryaṃ viśvam āyur vyaśnavat || [10.1.21cd + RV 1.93.3cd]>	prajayA su vIryam viSvam AyuH vyaSna vat || [10.1.21ct + RV 1.93.3cd]>
   <gomad dhiraṇyavad vasu yad vām aśvāvad īmahe | indrāgnī vanemahi || [RV	<gomat DiraNya vat vasu yat vAm aSvAvat Imahe | indra agnI vanemahi || [RV
   7.94.9]> <svāhā> iti	7.94.9]> <svAhA> iti
   (KauśS_1,5.3) aindrāgnasya haviṣo_amāvāsyāyām	(KOSH _1,5.3) EndrAgnasya havizaH _amAvAsyAyAm
   (KauśS_1,5.4) prāk sviṣṭakṛtaḥ pārvaṇahomau samṛddhihomāḥ kāmyahomāś ca	(KOSS_1,5.4) prAk svizwakRtaH pArvaNa homO samRdDi homAH kAmya homAH ca
   (KauśS_1,5.5) <pūrṇā paścāt [7.80(=85).1]> iti paurṇamāsyām	(KOSS_1,5.5) <pUrNA paScAt [7.80(=85).1]> iti pOrNamAsyAm
   (KauśS_1,5.6) <yat te devā akṛṇvan bhāgadheyam [7.79.1]> ity amāvāsyāyām	(KOSS_1,5.6) <yat te devAH akRNvan BAgaDeyam [7.79.1]> iti amAvAsyAyAm
   (KauśS_1,5.7) <ākūtyai tvā svāhā | kāmāya tvā svāhā | samṛdhe tvā svāhā |	(KOSS_1,5.7) <AkUtyE tvA svAhA | kAmAya tvA svAhA | samRDe tvA svAhA |
   ākūtyai tvā kāmāya tvā samṛdhe tvā svāhā | [cf. TS 3.4.2.1 etc.]> <ṛcā	AkUtyE tvA kAmAya tvA samRDe tvA svAhA | [cf. TH 3.4.2.1 etc.]> <RcA
   stomaṃ samardhaya gāyatreṇa rathantaraṃ | bṛhad gāyatravartani || [TS	stomam samarDaya gAyatreNa raTantaram | bRhat gAyatra vartani || [TS
   3.1.10.1 etc.]> <svāhā>	3.1.10.1 ed c.]> <svAhA>
   (KauśS_1,5.8) <pṛthivyām agnaye samanaman [4.39.1 8]> iti saṃnatibhiś ca	(KOSS_1,5.8) <pRTivyAm agnaye samanaman [4.39.1 8]> iti saMnatiBiH ca
   <prajāpate na tvad etāny anyaḥ [7.80(=85).3]> iti ca	<prajApate na tvat etAni anyaH [7.80(=85).3]> iti ca
   (KauśS_1,5.9) upastīryājyaṃ sarveṣām uttarataḥ sakṛtsakṛd avadāya dvir	(KOSS_1,5.9) upastIrya Ajyam sarvezAm uttaratas sakRt sakRt avadAya dvis 
   avattam abhighārayati	avattam aBiGArayati
   (KauśS_1,5.10) na havīṃṣi	(KOSS_1,5.10) na havIMzi
   (KauśS_1,5.11) <ā devānām api panthām aganma yac chaknavāma tad	(KOSS_1,5.11) <A devAnAm api panTAm aganma yat SaknavAma tat 
   anupravoḍhum | agnir vidvān sa yajāt sa id dhotā so 'dhvarān sa ṛtūn	anupravoXum | agniH vidvAn sa yajAt saH id DotA saH aDvarAn saH RtUn
   kalpayāti || [sakala PS 19.47.6 = ;SS 19.59.3, RV 10.2.3 etc.]> <agnaye	kalpayAti || [sakala PH 19.47.6  ;SS 19.59.3, RV 10.2.3 ed c.]> <agnaye
   sviṣṭakṛte svāhā> ity uttarapūrvārdhe_avayutaṃ hutvā sarvaprāyaścittīyān	svizwakRte svAhA> iti uttara pUrva arDe_avayutam hutvA sarva prAyaScittIyAn
   homān_juhoti	homAn_juhoti
   (KauśS_1,5.12) <svāheṣṭebhyaḥ svāhā | vaṣaḍ aniṣṭebhyaḥ svāhā | bheṣajaṃ	(KOSS_1,5.12) <svAhezweByaH svAhA | vazaw anizweByaH svAhA | Bezajam
   sviṣṭyai svāhā | niṣkṛtir duriṣṭyai svāhā | daivībhyas tanūbhyaḥ svāhā |	su izwyE svAhA | nizkRtiH durizwyE svAhA | dEvIByaH tanUByaH svAhA |
   [ , cf. Baudh;SS 1.21:32.10, Hir;SS 2.6.1]> <ayāś cāgne 'sy anabhiśastiś	[ , cf. BOD;SH 1.21:32.10, Hir;SH 2.6.1]> <ayAH ca agne asi anaBiSastiH 
   ca satyam it tvam ayā asi | ayāsā manasā kṛto 'yās +san [ed. 'yāsya]	ca satyam id tvam ayAH asi | ayAsAH manasA kRtaH ayAH +san [ed. ayAsya]
   havyam ūhiṣe | ā [+ayā?] no dhehi bheṣajam || [MS 1.4.3:51.10, KS	havyam Uhize | A [+ayA?] naH Dehi Bezajam || [n 1.4.3:51.10, KS
   5.4:57.1 4, KauśS 97.4, Hir;SS 2.6.2 etc.]> <svāhā> iti | <oṃ svāhā bhūḥ	5.4:57.1 4, KOSH 97.4, Hir;SH 2.6.2 ed c.]> <svAhA> iti | <om svAhA BUH
   svāhā bhuvaḥ svāhā svaḥ svāhoṃ bhūr bhuvaḥ svaḥ svāhā> iti	svAhA BuvaH svAhA svar sva ahom BUH BuvaH svar svAhA> iti
   (KauśS_1,6.1) <yan me skannaṃ manaso jātavedo yad vāskandad dhaviṣo	(KOSS_1,6.1) <yat me skannam manasaH jAtavedaH yat vA askandat Davizo
   yatrayatra | utpruṣo vipruṣaḥ saṃ juhomi satyāḥ santu yajamānasya kāmāḥ ||	yatra yatra | utpruzaH vipruzaH sam juhomi satyAH santu yajamAnasya kAmAH ||
   [ab:  , cd: VSK 2.5.3]> <svāhā> iti	[ab:  , cd: VSK 2.5.3]> <svAhA> iti
   (KauśS_1,6.2) <yan me skannaṃ [ab:  , cd: VSK 2.38(=2.5.2)]> <yad asmṛti	(KOSS_1,6.2) <yat me skannam [ab:  , cd: VSK 2.38(=2.5.2)]> <yat asmRti
   [7.106(=111).1]> iti ca skannāsmṛtihomau	[7.106(=111).1]> iti ca skanna asmRti homO
   (KauśS_1,6.3) <yad adya tvā prayati [7.97(=102).1 8]> iti saṣthitahomāḥ	(KOSS_1,6.3) <yat adya tvA prayati [7.97(=102).1 8]> iti sazTita homAH
   (KauśS_1,6.4) <manasas pate [7.97(=102).8]> iti uttamaṃ caturgṛhītena	(KOSH _1,6.4) <manasaH pate [7.97(=102).8]> iti uttamam catur gRhItena
   (KauśS_1,6.5) barhir ājyaśeṣe_anakti [śeṣeṇānakti?]	(KOSH _1,6.5) barhiH Ajya Seze_anakti [SezeNa Anakti?]
   (KauśS_1,6.6) <pṛthivyai tvā [ ]> iti mūlam <antarikṣāya tvā [ ]> iti	(KOSS_1,6.6) <pRTivyE tvA [ ]> iti mUlam <antarikzAya tvA [ ]> iti
   madhyaṃ <dive tvā [ ]> iti agram evaṃ triḥ	maDyam <dive tvA [ ]> iti agram evam tris 
   (KauśS_1,6.7) <saṃ barhir aktam [7.98(=103).1]> ity anupraharati	(KOSS_1,6.7) <sam barhiH aktam [7.98(=103).1]> iti anupraharati
   yathādevatam	yaTAdevatam
   (KauśS_1,6.8) sruvam agnau dhārayati	(KOSS_1,6.8) sruvam agnO DArayati
   (KauśS_1,6.9) yad ājyadhānyāṃ tat saṃsrāvayati <saṃsrāvabhāgās taviṣā	(KOSS_1,6.9) yat Ajya DAnyAm tat saMsrAvayati <saMsrAva BAgAH tavizA
   bṛhantaḥ prastareṣṭhā barhiṣadaś ca devāḥ | imaṃ yajñam abhi viśve	bRhantaH prastarezWAH barhizadaH ca devAH | imam yajQam aBi viSve
   gṛṇantaḥ svāhā devā amṛtā mādayantām || [PS 20.35.2, TS 1.1.13.2 3]> iti	gRNantaH svAhA devAH amRtAH mAdayantAm || [PS 20.35.2, TH 1.1.13.2 3]> iti
   (KauśS_1,6.10) <sruvo 'si ghṛtād aniśitaḥ sapatnakṣayaṇo divi ṣīda |	(KOSS_1,6.10) <sruvaH asi GRtAt aniSitaH sapatna kzayaNaH divi zIda |
   antarikṣe sīda pṛthivyāṃ sīdottaro 'haṃ bhūyāsam adhare matsapatnāḥ [KS	antarikze sIda pRTivyAm sIda uttaraH aham BUyAsam aDare mad sapatnAH [KS
   31.14:15.20, cf. Bhār;SS 4.11.1, Aap;SS 2.4.2 etc.]> iti sruvaṃ prāgdaṇḍaṃ	31.14:15.20, cf. BhAr;SS 4.11.1, Aap;SS 2.4.2 ed c.]> iti sruvam prAc daNxam
   nidadhāti	nidaDAti
   (KauśS_1,6.11) <vi muñcāmi brahmaṇā jātavedasam agniṃ hotāram ajaraṃ	(KOSS_1,6.11) <vi muQcAmi brahmaNA jAtavedasam agnim hotAram ajaram
   rathaspṛtam | sarvā devānāṃ janimāni vidvān yathābhāgaṃ vahatu havyam	raTa spRtam | sarvAH devAnAm janimAni vidvAn yaTABAgam vahatu havyam
   agniḥ || [PS 12.19.9]> <agnaye svāhā> iti samidham ādadhāti	agniH || [PS 12.19.9]> <agnaye svAhA> iti samiDam AdaDAti
   (KauśS_1,6.12) <edho 'si [7.89(=94).4a]> iti dvitīyāṃ <samid asi	(KOSS_1,6.12) <eDaH asi [7.89(=94).4a]> iti dvitIyAm <samiD asi
   [7.89(=94).4b]> iti tṛtīyam	[7.89(=94).4b]> iti tRtIyam
   (KauśS_1,6.13) <tejo 'si [7.89(=94).4c]> iti mukhaṃ vimārṣṭi	(KOSS_1,6.13) <tejaH asi [7.89(=94).4c]> iti muKam vimArzwi
   (KauśS_1,6.14) dakṣiṇenāgniṃ trīn viṣṇukramān kramate <viṣṇoḥ kramo 'si	(KOSH _1,6.14) dakziNena agnim trIn vizNukramAn kramate <vizNoH kramaH asi
   [10.5.25 27]> iti dakṣiṇena pādenānusaṃharati savyam	[10.5.25 27]> iti dakziNena pAdena anusaMharati savyam
   (KauśS_1,6.15) <sūryasyāvṛtam [10.5.37]> ity abhidakṣiṇam āvartate	(KOSS_1,6.15) <sUryasya AvRtam [10.5.37]> iti aBidakziNam Avartate
   (KauśS_1,6.16) <aganma svaḥ [16.9.3 4]> ity ādityam īkṣate	(KOSH _1,6.16) <aganma svar [16.9.3 4]> iti Adityam Ikzate
   (KauśS_1,6.17) <indrasya vacasā vayaṃ mitrasya varuṇasya ca | brahmaṇā	(KOSS_1,6.17) <indrasya vacasA vayam mitrasya varuNasya ca | brahmaNA
   sthāpitaṃ pātraṃ punar utthāpayāmasi || [ , cf. 6.85.2ab, PS 19.6.2ab,	sTApitam pAtram punar utTApayAmasi || [ , cf. 6.85.2ab, PS 19.6.2ab,
   AVPariś 37.19.2]> ity apareṇāgnim udapātraṃ parihṛtyottareṇāgnim <āpo hi	AVPariH 37.19.2]> iti apareNa agnim uda pAtram parihRtya uttareNa agnim <ApaH hi
   ṣṭhā mayobhuvaḥ [1.5.1 5?]> iti mārjayitvā barhiṣi patnyāñjalau ninayati	zWAH mayaH BuvaH [1.5.1 5?]> iti mArjayitvA barhizi patnyA an jalO ninayati
   <samudraṃ vaḥ pra hiṇomi [10.5.23 24]> iti <idaṃ janāsaḥ [1.32.1 4]?> iti	<samudram vaH pra hiNomi [10.5.23 24]> iti <idam janAsaH [1.32.1 4]?> iti
   vā	vA
   (KauśS_1,6.18) <vīrapatny ahaṃ bhūyāsam [ ]> iti mukhaṃ vimārṣṭi	(KOSS_1,6.18) <vIra patnI aham BUyAsam [ ]> iti muKam vimArzwi
   (KauśS_1,6.19) <vratāni vratapataye [cf. KauśS 5.6.16(=42.17): PS	(KOSH _1,6.19) <vratAni vrata pataye [cf. KOSH 5.6.16(=42.17): PS
   19.51.4]> iti samidham ādadhāti	19.51.4]> iti samiDam AdaDAti
   (KauśS_1,6.20) <satyaṃ tvartena [cf. TB 2.1.11.1]> iti pariṣicya_udañci	(KOSS_1,6.20) <satyam tvA Rtena [cf. TB 2.1.11.1]> iti parizicyaH _udaQci
   havirucchiṣṭāny udvāsayati	haviH ucCizwAni udvAsayati
   (KauśS_1,6.21) pūrṇapātraṃ dakṣiṇā	(KOSS_1,6.21) pUrNa pAtram dakziNA
   (KauśS_1,6.22) <nādakṣiṇaṃ haviḥ kurvīta yaḥ kurute kṛtyām ātmanaḥ kurute	(KOSH _1,6.22) <nAdakziNam haviH kurvIta yaH kurute kRtyAm AtmanaH kurute
   [cf. KS 37.12:93.3f.]> iti brāhmaṇam	[cf. KH 37.12:93.3f.]> iti brAhmaNam
   (KauśS_1,6.23) <anvāhāryaṃ brāhmaṇān bhojayati	(KOSH _1,6.23) <anvAhAryam brAhmaNAn Bojayati
   (KauśS_1,6.24) yad vai yajñasyānanvitaṃ bhavati tad anvāhāryeṇānvāhriyate	(KOSS_1,6.24) yat vE yajQasya ananvitam Bavati tat anvAhAryeNa anvAhriyate
   (KauśS_1,6.25) etad anvāhāryasyānvāhāryatvam [ ]>	(KOSS_1,6.25) etat anvAhAryasya anvAhArya tvam [ ]>
   (KauśS_1,6.26) <īḍyā vā anye devāḥ saparyeṇyā anye | devā īḍyā devā	(KOSH _1,6.26) <IxyAH vE anye devAH saparyeNyAH anye | devAH IxyA devAH 
   brāhmaṇāḥ saparyeṇyāḥ	brAhmaNAH saparyeNyAH
   (KauśS_1,6.27) yajñena_eva_īḍyān prīṇāti anvāhāryeṇa saparyeṇyān	(KOSS_1,6.27) yajQena_eva_IxyAn prINAti anvAhAryeNa saparyeNyAn
   (KauśS_1,6.28) te_asya_ubhe prītā yajñe bhavantīti [cf. KS 8.13:97.11ff.]>	(KOSH _1,6.28) te_asya_uBe prItAH yajQe Bavanti iti [cf. KH 8.13:97.11ff.]>
   (KauśS_1,6.29) imau darśapūrṇamāsau vyākhyātau	(KOSS_1,6.29) imO darSa pUrNamAsO vyAKyAtO
   (KauśS_1,6.30) darśapūrṇamāsābhyāṃ pākayajñāḥ	(KOSH _1,6.30) darSa pUrNamAsAByAm pAkayajQAH
   (KauśS_1,6.32) kumbhīpākād eva vyuddhāraṃ juhuyāt	(KOSS_1,6.32) kumBIpAkAt eva vyudDAram juhuyAt 
   (KauśS_1,6.33)	(KOSH _1,6.33)
   adhiśrayaṇa_paryagnikaraṇa_abhighāraṇa_udvāsana_alaṃkaraṇa_utpavanaiḥ	aDiSrayaNa_paryagnikaraNa_aBiGAraNaH _udvAsana_alaMkaraNaH _utpavanEH
   saṃskṛtya	saMskRtya
   (KauśS_1,6.34) athāpi ślokau bhavataḥ <ājyabhāgāntaṃ prāktantram ūrdhvaṃ	(KOSS_1,6.34) aTa api SlokO BavataH <Ajya BAga antam prAc tantram UrDvam
   sviṣṭakṛtā saha | havīṃṣi yajña āvāpo yathā tantrasya tantavaḥ [ ,	svizwakRtA saha | havIMzi yajQaH AvApaH yaTA tantrasya tantavaH [ ,
   attributed to GB by Sāyaṇa I, p. 349] ||> <pākayajñān samāsādya_ekājyān	attri butet taH GB bi SAyaNaH I, p. 349] ||> <pAkayajQAn samAsAdya_eka AjyAn
   ekabarhiṣaḥ | ekasviṣṭakṛtaḥ kuryāt_nānāpi sati daivate_iti || [AaśvGS	ekabarhizaH | eka svizwakRtaH kuryAt _nAnA api sati dEvate_iti || [AaSvGS
   (KauśS_1,6.35) etena_evāmāvāsyo vyākhyātaḥ	(KOSS_1,6.35) etena_eva amAvAsyaH vyAKyAtaH
   (KauśS_1,6.36) aindrāgno_atra dvitīyo bhavati	(KOSH _1,6.36) EndrAgnaH _atra dvitIyaH Bavati
   (KauśS_1,6.37) tayor vyatikrame <tvam agne vratapā asi [19.59]> <kāmas tad	(KOSH _1,6.37) tayoH vyatikrame <tvam agne vratapAH asi [19.59]> <kAmaH tat 
   agre [19.52]> iti śāntāḥ	agre [19.52]> iti SAntAH
   (KauśS_1,7.1) aśnāty anādeśe sthālīpākaḥ	(KOSH _1,7.1) aSnAti anAdeSe sTAlIpAkaH
   (KauśS_1,7.2) puṣṭikarmasu sārūpavatse	(KOSS_1,7.2) puzwi karmasu sArUpavatse
   (KauśS_1,7.3) ājyaṃ juhoti	(KOSS_1,7.3) Ajyam juhoti
   (KauśS_1,7.4) samidham ādadhāti	(KOSS_1,7.4) samiDam AdaDAti
   (KauśS_1,7.5) āvapati vrīhiyavatilān	(KOSS_1,7.5) Avapati vrIhi yava tilAn
   (KauśS_1,7.6) bhakṣayati kṣīraudanapuroḍāśarasān	(KOSS_1,7.6) Bakzayati kzIra odana puroxASa rasAn
   (KauśS_1,7.7) mantha_odanau prayachati	(KOSH _1,7.7) manTaH _odanO prayaCati
   (KauśS_1,7.8) pūrvaṃ triṣaptīyam	(KOSS_1,7.8) pUrvam trizaptIyam
   (KauśS_1,7.9) udakacodanāyām udapātraṃ pratīyāt	(KOSS_1,7.9) udaka codanAyAm uda pAtram pratIyAt 
   (KauśS_1,7.10) purastād_uttarataḥ saṃbhāram āharati	(KOSS_1,7.10) purastAt _uttaratas saMBAram Aharati
   (KauśS_1,7.11) gor anabhiprāpād vanaspatīnām	(KOSH _1,7.11) goH anaBiprApAt vanaspatInAm
   (KauśS_1,7.12) sūryodayanataḥ	(KOSS_1,7.12) sUrya udayanataH
   (KauśS_1,7.13) purastād_uttarato_araṇye karmaṇāṃ prayogaḥ	(KOSS_1,7.13) purastAt _uttaratas _araNye karmaNAm prayogaH
   (KauśS_1,7.14) uttarata udakānte prayujya karmāṇy apāṃ sūktair āplutya	(KOSH _1,7.14) uttaratas udaka ante prayujya karmANi apAm sUktEH Aplutya
   pradakṣiṇam āvṛtya apa upaspṛśyānavekṣamāṇā grāmam udāvrajanti	pradakziNam AvRtya apaH upaspRSya anavekzamANAH grAmam udAvrajanti
   (KauśS_1,7.15) āśyabandhyāplavanayānabhakṣāṇi saṃpātavanti	(KOSH _1,7.15) ASya banDyA plavana yAna BakzANi saMpAtavanti
   (KauśS_1,7.16) sarvāṇy abhimantryāṇi	(KOSS_1,7.16) sarvANi aBimantryANi
   (KauśS_1,7.17) strīvyādhitāv āplutāvasiktau śirastaḥ prakramyā prapadāt	(KOSH _1,7.17) strI vyADitO Apluta avasiktO Sirastas prakramyA prapadAt 
   pramārṣṭi	pramArzwi
   (KauśS_1,7.18) pūrvaṃ prapādya prayachati	(KOSS_1,7.18) pUrvam prapAdya prayaCati
   (KauśS_1,7.19) trayodaśyādayas tisro dadhimadhuni vāsayitvā badhnāti	(KOSH _1,7.19) trayodaSI AdayaH tisraH daDi maDuni vAsayitvA baDnAti
   (KauśS_1,7.20) āśayati	(KOSS_1,7.20) ASayati
   (KauśS_1,7.21) anvārabdhāyābhimantraṇahomāḥ	(KOSH _1,7.21) anvArabDAya aBimantraNa homAH
   (KauśS_1,7.22) paścād agneś carmaṇi haviṣāṃ saṃskāraḥ	(KOSS_1,7.22) paScAt agneH carmaNi havizAm saMskAraH
   (KauśS_1,7.23) ānaḍuhaḥ śakṛtpiṇḍaḥ	(KOSS_1,7.23) AnaxuhaH SakRt piNxaH
   (KauśS_1,7.24) jīvaghātyaṃ carma	(KOSS_1,7.24) jIva GAtyam carma
   (KauśS_1,7.25) akarṇo_aśmā	(KOSH _1,7.25) akarNaH _aSmA
   (KauśS_1,7.26) āplavanāvasecanānām ācāmayati ca	(KOSS_1,7.26) Aplavana avasecanAnAm AcAmayati ca
   (KauśS_1,7.27) saṃpātavatām aśnāti nyaṅkte vā	(KOSS_1,7.27) saMpAtavatAm aSnAti nyaFkte vA
   (KauśS_1,7.28) abhyādheyānāṃ dhūmaṃ niyachati	(KOSS_1,7.28) aByADeyAnAm DUmam niyaCati
   (KauśS_1,7.29) śucinā karmaprayogaḥ	(KOSH _1,7.29) SucinA karma prayogaH
   (KauśS_1,8.1) purastāddhomavatsu niśākarmasu pūrvāhṇe yajñopavītī	(KOSS_1,8.1) purastAt homavatsu niSA karmasu pUrvAhNe yajQa upavItI
   śālāniveśamaṃ samūhayaty upavatsyadbhaktam aśitvā snāto_ahatavasanaḥ	SAlA niveSamam samUhayati upavatsyat Baktam aSitvA snAtaH _ahata vasanaH
   prayuṅkte	prayuFkte
   (KauśS_1,8.2) svastyayaneṣu ca	(KOSS_1,8.2) svastyayanezu ca
   (KauśS_1,8.3) ījyānāṃ diśyān balīn harati	(KOSS_1,8.3) IjyAnAm diSyAn balIn harati
   (KauśS_1,8.4) pratidiśam upatiṣṭhate	(KOSH _1,8.4) pratidiSam upatizWate
   (KauśS_1,8.5) sarvatrādhikaraṇam kartur dakṣiṇā	(KOSS_1,8.5) sarvatra aDikaraNam kartuH dakziNA
   (KauśS_1,8.6) trir udakakriyā	(KOSH _1,8.6) tris udaka kriyA
   (KauśS_1,8.7) anantarāṇi samānāni yuktāni	(KOSH _1,8.7) anantarANi samAnAni yuktAni
   (KauśS_1,8.8) śāntaṃ saṃbhāram	(KOSH _1,8.8) SAntam saMBAram
   (KauśS_1,8.9) adhikṛtasya sarvam	(KOSH _1,8.9) aDikRtasya sarvam
   (KauśS_1,8.10) viṣaye [ed. viśaye; see Caland, AZ, aḷ.; Speijer Museum 9	(KOSH _1,8.10) vizaye [ed. viSaye; see Caland, AZ, a?.; SpeijeH Museum 9
   249 disagrees] yathāntaram	249 disagrees] yaTA antaram
   (KauśS_1,8.11) <pra yacha parśum [12.3.31]> iti darbhalavanaṃ prayachati	(KOSS_1,8.11) <pra yaCa parSum [12.3.31]> iti darBalavanam prayaCati
   (KauśS_1,8.12) <arātīyoḥ [10.6.1]> iti takṣati	(KOSH _1,8.12) <arAtIyoH [10.6.1]> iti takzati
   (KauśS_1,8.13) <yat tvā śikvaḥ [10.6.3]> iti prakṣālayati	(KOSS_1,8.13) <yat tvA SikvaH [10.6.3]> iti prakzAlayati
   (KauśS_1,8.14) <yat_yat kṛṣṇaḥ [12.3.13]> iti mantroktam	(KOSS_1,8.14) <yat _yat kRzNaH [12.3.13]> iti mantra uktam
   (KauśS_1,8.15)	(KOSH _1,8.15)
   palāśa_udumbara_jambu_kāmpīla_srag_vaṅgha_śirīṣa_sraktya_varaṇa_bilva_jaṅgiḍa_kuṭaka_garhya_galāvala_vetasa_śimbala_sipuna_syandana_araṇikā_aśmayokta_tunyu_pūtudāravaḥ	palASaH _udumbara_jambu_kAmpIla_sraj _vaFGa_SirIza_sraktya_varaNa_bilva_jaFgixa_kuwaka_garhya_galAvala_vetasa_Simbala_sipuna_syand
   śāntāḥ	SAntAH
   (KauśS_1,8.16)	(KOSH _1,8.16)
   citi_prāyaścitti_śamī_śamakā_savaṃśā_śāmyavākā_talāśa_palāśa_vāśā_śiṃśapā_śimbala_sipuna_darbha_apāmārga_ākṛtiloṣṭa_valmīkavapā_dūrvāprānta_vrīhi_yavāḥ	citi_prAyaScitti_SamI_SamakA_sa vaMSA_SAmyavAkA_talASa_palASa_vASA_SiMSapA_Simbala_sipuna_darBa_apAmArgaH _AkRti lozwa_valmIka vapAH _
   śāntāḥ	SAntAH
   (KauśS_1,8.17) pramanda_uśīra_śalalī_upadhāna_śakadhūmā jarantaḥ	(KOSS_1,8.17) pramandaH _uSIra_SalalI_upaDAna_Saka DUmAH jarantaH
   (KauśS_1,8.18) sīsa_nadīsīse ayorajāṃsi kṛkalāsaśiraḥ sīnāni	(KOSS_1,8.18) sIsa_nadIsIse ayaH rajAMsi kRkalAsa SiraH sInAni
   (KauśS_1,8.19) dadhi ghṛtaṃ madhūdakam iti rasāḥ	(KOSH _1,8.19) daDi GRtam maDUdakam iti rasAH
   (KauśS_1,8.20) vrīhi_yavā_godhūma_upavāka_tila_priyaṅgu_śyāmākā iti	(KOSS_1,8.20) vrIhi_yavAH _goDUmaH _upavAka_tila_priyaFgu_SyAmAkAH iti
   miśradhānyāni	miSra DAnyAni
   (KauśS_1,8.21) grahaṇam ā grahaṇāt	(KOSH _1,8.21) grahaNam A grahaNAt 
   (KauśS_1,8.22) yathārtham udarkān yojayet	(KOSS_1,8.22) yaTArTam udarkAn yojayet 
   (KauśS_1,8.23) <ihaiva dhruvām [3.12]> <eha yātu [6.73]> <yamo mṛtyuḥ	(KOSS_1,8.23) <iha eva DruvAm [3.12]> <a iha yAtu [6.73]> <yamaH mRtyuH
   [6.93]> <satyaṃ bṛhat [12.1]> ity anuvāko vāstoṣpatīyāni	[6.93]> <satyam bRhat [12.1]> iti anuvAkaH vAstozpatIyAni
   (KauśS_1,8.24) <divyo gandharvaḥ [2.2]> <imaṃ me agne [6.111]> <yau te	(KOSS_1,8.24) <divyaH ganDarvaH [2.2]> <imam me agne [6.111]> <yO te
   mātā [8.6]> iti mātṛnāmāni	mAtA [8.6]> iti mAtR nAmAni
   (KauśS_1,8.25) <stuvānam [1.7]> <idaṃ haviḥ [1.8]> <nissālām [2.14]>	(KOSS_1,8.25) <stuvAnam [1.7]> <idam haviH [1.8]> <nissAlAm [2.14]>
