   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   anyathā tasyāpi bāhyendriyapratyakṣatvaprasaṅgaḥ, ubhayorapi	anyaTA tasya-api bAhya-indriya-pratyakza-tva-prasaFgaH, uBayoH-api
   samānasāmagrīgrāhyatvāditi /	samAna-sAmagrI-grAhya-tvAt-iti /
   nirūpaḥ sparśavān vāyuḥ /	nirUpaH sparSavAn vAyuH /
   sparśasaṃkhyāparimāṇapṛthaktvasaṃyogavibhāgaparatvāparatvasaṃskāravān	sparSa-saMKyA-parimANa-pRTaktva-saMyoga-viBAga-paratva-aparatva-saMskAravAn
   vāyuḥ //	vAyuH //
   [ākāśasya nirūpaṇam --]	[a-AkASasya nirUpaNam --]
   1) vivādādhyāsitā śabdopalabdhiḥ karaṇajanyā, kāryatvādrūpopalabdhivat /	1) vivAda-aDyAsitA Sabda-upalabDiH karaNa-janyA, kArya-tvAt-rUpa-upalabDi-vat /
   taccendriyaṃ bāhyaṃ bāhyarthaprakāśakatvāccakṣurvat /	tat-ca-indriyam bAhyam bAhyarTa-prakASaka-tvAt-cakzuH-vat /
   śabdaḥ kvacidāśritaḥ, guṇatvādrūpavat /	SabdaH kvacid-ASritaH, guNa-tvAt-rUpa-vat /
   śabdāśraya itarebhyo bhidyate, śabdāśrayatvādvyatirekeṇa rūpavat /	Sabda-ASrayaH itareByaH Bidyate, Sabda-ASraya-tvAt-vyatirekeNa rUpavat /
   2) anye tu śabdo 'ṣṭadravyātiriktadravyāśritaḥ, tadvṛtau bādhakopapattau	2) anye tu SabdaH azwa-dravya-atirikta-dravya-ASritaH, tad-vRtO bADaka-upapattO
   guṇatvādvyatirekeṇa rūpavaditi bruvate /	guNa-tvAt-vyatirekeNa rUpavat-iti bruvate /
   tadasat, vyāptasiddheḥ /	tat-asat, vyApta-sidDeH /
   vyatirekasyābhāvarūpatvena pratiyogisādhyajñānādhīnajñānatvāt, tajjñāne	vyatirekasya-aBAva-rUpa-tvena pratiyogi-sADya-jQAna-aDIna-jQAna-tvAt, tad-jQAne
   'numānavaiyarthyāt /	anumAna-vEyarTyAt /
   na ca sarvāvinābhāvānāmucchedaḥ, yatra vyatirekasya bhāvarūpatvaṃ	na ca sarva-avinABAvAnAm-ucCedaH, yatra vyatirekasya BAva-rUpa-tvam
   tatraitaddoṣasyābhāvāt /	tatra-etat-dozasya-aBAvAt /
   ākāśagatamahattvasapakṣasyāpi saṃbhavānna kevalavyatirekitvam /	AkASa-gata-mahat-tva-sapakzasya-api saMBavAt-na kevala-vyatireki-tvam /
   sādhye 'ṣṭadravyātiriktāśritatvamātraprayoge asādhāraṇatvam,	sADye azwa-dravya-atirikta-ASrita-tva-mAtra-prayoge asADAraNa-tvam,
   rūpatvādisāmānyānāmapi sapakṣatvāttebhyo hetorvyāvṛtteḥ /	rUpa-tva-Adi-sAmAnyAnAm-api sa-pakza-tvAt-teByaH hetoH-vyAvRtteH /
   3) vipratipannamacākṣuṣam, arūpidravyatvāt, sarvagatatvāt, sarvadā	3) vipratipannam-acAkzuzam, arUpi-dravya-tva-at, sarva-gata-tvAt, sarvadA
   sparśarahitadravyatvāt, nityendriyatvāt, ātmavat manovacca /	sparSa-rahita-dravya-tva-at, nitya-indriya-tvAt, Atma-vat manaH-vat-ca /
   ākāśarūpam, mahattve sati rūpājanakatvāt, nityamahattāt,	AkASa-rUpam, mahat-tve sati rUpa-Ajanaka-tvAt, nitya-mahat-tAt,
   sarvadāsparśarahitadravyatvād vāyuvadātmavacca /	sarvadA-sparSa-rahita-dravya-tvAt vAyu-vat-Atma-vat-ca /
   vipratipannaṃ mūrtamanena saṃyuktaṃ murtatvātsampratipannavat /	vipratipannam mUrtam-anena saMyuktam murta-tvAt-sampratipanna-vat /
   aneneti vipratipannaviṣayābhiprāyeṇa /	anena-iti vipratipanna-vizaya-aBiprAyeNa /
   4) ākāśaṃ parimāṇavat, saṃyogitvādghaṭavat /	4) AkASam parimANavat, saMyogi-tvAt-Gawa-vat /
   na ca kriyāvattvamupādhiḥ, anutpannakriyasyāpi kasyacinnāśāt /	na ca kriyAvat-tvam-upADiH, anutpanna-kriyasya-api kasyacid-nASAt /
   tasya tadādhāratvayogyatāṃ vihāya na kiñcidanyadasarvagatatvādatiricyate,	tasya tad-ADAra-tva-yogya-tAm vihAya na kiQcid-anyat-asarva-gata-tvAt-atiricyate,
   tacca parimāṇaviśeṣaḥ /	tat-ca parimANa-viSezaH /
   na ca svātmani svasyopādhitvaṃ, tadatiriktasādhyākārānabhyupagamāt /	na ca sva-Atmani svasya-upADi-tvaM, tad-atirikta-sADyAkAra-anaByupagamAt /
   asarvagatatvasya rūpādiṣvapi saṃbhavāt, dravyatvena viśeṣaṇe	asarva-gata-tvasya rUpa-Adizu-api saMBavAt, dravya-tvena viSezaNe
   viśeṣyavaiyarthyāt /	viSezya-vEyarTyAt /
   sparśavattvasya prayojaktve manaso 'parimāṇatvaprasaṅgaḥ, manasi ca	sparSavat-tvasya prayojaktve manasaH aparimANa-tva-prasaFgaH, manasi ca
   tadabhāvāt /	tad-aBAvAt /
   taccāṇviti vakṣyāmaḥ /	tat-ca-aNu-iti vakzyAmaH /
   ākāśamaparimitam, akriyatvādrūpavadityatrādravyatvamupādhiḥ /	AkASam-aparimitam, akriya-tvAt-rUpa-vat-iti-atra-adravya-tvam-upADiH /
   5) ākāśaṃ saṃyogi vibhāgi ca, dravyatvādghaṭavat /	5) AkASam saMyogi viBAgi ca, dravya-tvAt-Gawa-vat /
   na ca sāvayatvamupādhiḥ, tasya maduktahetugarbhitatvād, dravyate sati	na ca sAvayatvam-upADiH, tasya mad-ukta-hetu-garBita-tvAd, dravyate sati
   ārabhyatvasya tattvāt /	AraBya-tvasya tattvAt /
   sarvagatendriyamākāśaṃ tadeva śrotram /	sarva-gata-indriyam-AkASam tat-eva Srotram /
   na caivaṃ sarvatra śabdopalambhaḥ,	na ca-evam sarvatra Sabda-upalamBaH,
   vaktṛśrotṛśarīrasannidhiśabdopalabdhiprasaṅgaḥ, tasyāpi	vaktR-SrotR-SarIra-sanniDi-Sabda-upalabDi-prasaFgaH, tasya-api
   karṇaśaṣkulyavacchinnākāśasya vidyamānatvāt /	karNa-SazkulI-avacCinna-AkASasya vidyamAna-tvAt /
   upādhibhedācca bheda ityanarthabījam, ātmāntaḥkaraṇādīnāmapi tathābhāve	upADi-BedAt-ca BedaH iti-anarTa-bIjam, Atma-antaHkaraNa-AdInAm-api taTA-aBAve
   virodhābhāvat /	viroDa-aBAvat /
   śabdavadākāśam /	Sabda-vat-AkASam /
   śabdasaṃkhyāparimāṇapṛthaktvasaṃyogavibhāgavat /	Sabda-saMKyA-parimANa-pRTaktva-saMyoga-viBAga-vat /
   [dikkālayornirūpaṇam --]	[dikkAlayoH-nirUpaNam --]
   vivādādhyāsitaḥ saṃyogo viśeṣaguṇarahitebhyo dravyebhyo janyate,	vivAda-aDyAsitaH saMyogaH viSeza-guNa-rahiteByaH dravyeByaH janyate,
   saṃyogatvād, antaḥkaraṇarūpadvayasaṃyogavat /	saMyoga-tvAd, antaHkaraNa-rUpa-dvaya-saMyoga-vat /
   vivādāspadaṃ viśeṣaguṇarahitadravyadvayajanyam, kāryatvāt, tadvadeva /	vivAda-Aspadam viSeza-guNa-rahita-dravya-dvaya-janyam, kArya-tvAt, tadvat-eva /
   na cāntaḥkaraṇadvayasaṃyogatvamupādhiḥ, vyarthaviśeṣaṇatvāt tadvadeva /	na ca-antaHkaraNa-dvaya-saMyoga-tvam-upADiH, vyarTa-viSezaNa-tvAt tadvat-eva /
   na cāntaḥkaraṇadvayaguṇatvamupādhiḥ, dvayaguṇatvenaivopapattau	na ca-antaHkaraNa-dvaya-guNa-tvam-upADiH, dvaya-guNa-tvena-eva-upapattO
   viśeṣaṇavaiyarthyāt /	viSezaNa-vEyarTyAt /
   nirupādhikasya (sādhya)parityāge svābhāvaparityāgaprasaṅgāt /	nirupADikasya (sADya)-parityAge svABAva-parityAga-prasaFgAt /
   na ca sādhye bahuvacanakṣepaṇātiprasaṅga iti vācyam, dṛṣṭāntāsiddheḥ	na ca sADye bahuvacana-kzepaNa-atiprasaFgaH iti vAcyam, dRzwAnta-asidDeH
   bhūṣaṇasya saṃkhyānabhyupagamena manogatatvasya dūrāpāstatvāt /	BUzaNasya saMKyA-anaByupagamena manogata-tvasya dUra-apAsta-tvAt /
   na mano manasā saṃyujyate nityadravyatvāditi sādhane dṛṣṭāntāsiddhiḥ /	na manaH manasA saMyujyate nitya-dravya-tvAt-iti sADane dRzwAnta-asidDiH /
   ata eva saṃyogābhyupagamenāsparśavattvād dravyānārambhakatvamityāha	atas eva saMyoga-aByupagamena-asparSavat-tvAt dravya-anAramBaka-tvam-iti-Aha
   bhāṣyakāraḥ /	BAzya-kAraH /
   anyathā sajātīyataṃyogābhāvameva hetuṃ brūyāt, kāraṇatvātsaṃyogasya /	anyaTA sajAtIya-taMyoga-aBAvam-eva hetum brUyAt, kAraNa-tvAt-saMyogasya /
   tathā ca vyomaśivaḥ-- `parakīyena ca manasā sūkṣmaśarīrasthaṃ manaḥ	taTA ca vyomaSivaH- `parakIyena ca manasA sUkzma-SarIra-sTam manaH
   maryāyeṇābhisambandhayati' /	maryAyeNa-aBisambanDayati-a /
   na cānaikāntikatvam, ajasaṃyogāsiddheḥ /	na ca-anEkAntika-tvam, aja-saMyoga-asidDeH /
   na ca vimatipadaṃ viśeṣaguṇarahitadravyābhyāṃ na janyate,	na ca vimati-padam viSeza-guNa-rahita-dravyAByAm na janyate,
   antaḥkaraṇasaṃyogātiriktatvād vyomavaditi sāmpratam, akāryatvasyopādheḥ /	antaHkaraNa-saMyoga-atirikta-tvAt vyoma-vat-iti sAmpratam, akArya-tvasya-upADeH /
   tayośca dikkālasajñeti /	tayoH-ca diS-kAlasa-jQA-iti /
   saṃkhyāparimāṇapṛthaktvasaṃyogavibhāgayuktau dikkālau, sarvagatatvāditi	saMKyA-parimANa-pRTaktva-saMyoga-viBAga-yuktO dikkA-alO, sarva-gata-tvAt-iti
   pūrvavatsādhanīyam /	pUrvavat-sADanIyam /
   [ātmano nirūpaṇam --]	[a-AtmanaH nirUpaNam --]
   vivādādhyāsito 'haṃpratyayo 'haṃpratyayavyatirikte pramā pramātvāt,	vivAda-aDyAsitaH ahaMpratyayaH ahaMpratyaya-vyatirikte pramA pramAtvA-at,
   saṃpratipannavat /	saMpratipanna-vat /
   [ātmaiva jñānādhāraḥ--]	[a-AtmA-eva jQAna-ADAraH--]
   tasya ca ko viṣaya iti cintāyāṃ	tasya ca kaH vizayaH iti cintAyAm
   paraśarīraparātmādiṣvatiprasaṅganirākaraṇārthaṃ yatra svayaṃ samavetaḥ, sa	para-SarIra-parAtma-Adizu-ati-prasaFga-nirAkaraNa-arTam yatra svayam samavetaH, sa
   eva tasya viṣaya iti vaktavyamiti sthite ---	eva tasya vizayaH iti vaktavyam-iti sTite ---
   na śarīraṃ tatsamavāyi, kāryatvādghaṭavat /	na SarIram tad-samavAyi, kArya-tvAt-Gawa-vat /
   na cāśarīratvamupādhiḥ, mṛtaśarīre tadabhāve 'pi	na ca-aSarIra-tvam-upADiH, mRta-SarIre tad-aBAve api
   sādhyasādhanayoranugamadarśanāt /	sADya-sADanayoH-anugama-darSanAt /
   na cājīvaccharīratvamupādhiḥ, suṣuptau jīvaccharīre 'pi tadabhāvāt /	na ca-AjIvat-SarIra-tvam-upADiH, suzuptO jIvat-SarIre api tad-aBAvAt /
   avasthāviśeṣavataḥ śarīrasya pakṣatvānna doṣaḥ, tathā śarīratvāt	avasTA-viSezavataH SarIrasya pakza-tvAt-na dozaH, taTA SarIra-tvAt-
   mṛtaśarīravaditi vācyam /	mRta-SarIra-vat-iti vAcyam /
   vivādādhyāsitaḥ prāṇo na jñānādhāraḥ, kāryatvādvāyutvāt, prāṇatvāt	vivAda-aDyAsitaH prANaH na jQAna-ADAraH, kArya-tvAt-vAyu-tvA-at, prANa-tvAt-
   suṣuptāvasthaprāṇavat /	suzupta-avasTa-prANa-vat /
   vivādādhyāsitaṃ bodhādhārajaṃ kāryatvāt, ceṣṭāvat /	vivAda-aDyAsitam boDa-ADAra-jam kArya-tvAt, cezwA-vat /
   na ca yogyānulabdhibādhaḥ, prayatnādhārasyeva bodhādhārasya yogyatvenāpi	na ca yogyA-anulabDi-bADaH, prayatna-ADArasya-iva boDa-ADArasya yogya-tvena-api
   sambhavāt, gauratvādivad bodhasya parapratyakṣāsiddheḥ /	samBavAt, gOra-tva-Adi-vat boDasya para-pratyakza-asidDeH /
   tadviśiṣṭasyātīndriyatvānmanasaḥ parabodhagrahaṇe sāmarthyābhāvāt /	tad-viSizwasya-atIndriya-tvAt-manasaH para-boDa-grahaNe sAmarTya-aBAvAt /
   śarīrasya tu yogyānupalabdhyā bādha iti cet /	SarIrasya tu yogyA-anupalabDyA bADaH iti ced /
   kiṃ cātaḥ? tasyaiva bodhādhāratvāttadabhāve bodhādhārasyāpi abhāva iti cet	kim ca-atas-? tasya-eva boDa-ADAra-tvAt-tad-aBAve boDa-ADArasya-api aBAvaH iti ced-
   na, niyamāsiddheḥ /	na, niyama-asidDeH /
   vyāptatvānnaivamiti cet, tarhyanumānena bādho vakyavyaḥ, tatra	vyApta-tvAt-na-evam-iti cet, tarhi-anumAnena bADaH vakyavyaH, tatra
   cāśrayanirūpaṇaṃ durghaṭam /	ca-ASraya-nirUpaNam durGawam /
   vivādādhyāsitaṃ bodhādhārajaṃ na bhavati, śarīrajanyatvādākāśavaditi	vivAda-aDyAsitam boDa-ADAra-jam na Bavati, SarIra-janya-tvAt-AkASa-vat-iti
   prāgeva vyudastam /	prAk-eva vyudastam /
   śarīrajanyatvopādhivāde 'pi mṛtaśarīrakriyādiṣu vyabhicāravāraṇārthaṃ	SarIra-janya-tva-upADivAde api mRta-SarIra-kriyA-Adizu vyaBicAra-vAraNa-arTam
   bodhādhārapūrvakatvamabhyupagantavyam /	boDa-ADAra-pUrvaka-tvam-aByupagantavyam /
   tadvyatiriktatve satīti viśeṣaṇaṃ copādeyam /	tad-vyatirikta-tve sati-iti viSezaNam ca-upAdeyam /
   tatrāpi suṣuptaśarīrakriyādiṣu vyabhicāraparihārāya jāgrata iti	tatra-api suzupta-SarIra-kriyA-Adizu vyaBicAra-parihArAya jAgrataH iti
   viśeṣaṇaprāpte, atrāpyudāsīnasyākasmikanipatitakriyāparihārārthaṃ kurvata	viSezaNa-prApte, atra-api-udAsInasya-Akasmika-nipatita-kriyA-parihAra-arTam kurvata
   iti vaktavyam /	iti vaktavyam /
   svasyaiva prayāsādhikyamuktaṃ syādvyarthaviśeṣaṇatvaṃ coktaṃ pūrvam /	svasya-eva prayAsa-ADikyam-uktam syAt-vyarTa-viSezaNa-tvam ca-uktam pUrvam /
   upādhiravinābhūtadharmadharmatvena bhavatyevaitaddūṣaṇam /	upADiH-avinABUta-Darma-Darma-tvena Bavati-eva-etat-dUzaNam /
   anyathānumānāntareṣvapi tanna syāt /	anyaTA-anumAna-antarezu-api tat-na syAt /
   nirupādhikasya sambandhasya vyāptitvenopādhibhaṅge jāte, kvacitsambandhe	nirupADikasya sambanDasya vyApti-tvena-upADi-BaFge jAte, kvacid-sambanDe
   ca dṛṣṭe, anyatra kevalasya hetordarśanamapi na	ca dRzwe, anyatra kevalasya hetoH-darSanam-api na
   doṣamāvahatītyavocamityalam /	dozam-Avahati-iti-avocam-iti-alam /
   [prabhākaramatanirāsaḥ --]	[praBAkara-mata-nirAsaH --]
   anye tu sarvārthavittiṣu grāhakatvena ātmasiddhiriti bruvate /	anye tu sarva-arTa-vittizu grAhaka-tvena Atma-sidDiH-iti bruvate /
   tadasat, ātmano 'pi cākṣuṣatvaprasaṅgāt, tajjanitajñāne bhāsamānatvasyaiva	tat-asat, AtmanaH api cAkzuza-tva-prasaFga-at, tad-janita-jQAne BAsamAna-tvasya-eva
   tattvāt /	tattvAt /
   yadi ca nīrūpadravyasyāpi cākṣuṣatvam, tadā nabhaso 'pi tathātvaprasaṅgāt	yadi ca nIrUpa-dravyasya-api cAkzuza-tvam, tadA naBasaH api taTA-tva-prasaFgAt-
   na cātmā cākṣuṣajñāne prakāśate nīrūpadravyatvādgaganavat /	na ca-AtmA cAkzuza-jQAne prakASate nIrUpa-dravya-tvAt-gagana-vat /
   vivādādhyāsitaṃ jñānamātmapratibhāsam, jñānatvādahamitisampratipannavaditi	vivAda-aDyAsitam jQAnam-Atma-pratiBAsam, jQAna-tvAt-aham-iti-sampratipanna-vat-iti
   cet, na, kālātyayāpadeśāt /	cet, na, kAla-atyaya-apadeSAt /
   tathā hi --- asti tāvat saugatatacchiṣyāṇāmanātmavāsanāto viṣayebhyo	taTA hi -- asti tAvat sOgata-tad-SizyANAm-anAtma-vAsanAtaH vizayeByaH-
   nivṛtiḥ, anātmavāsanātaśca pravṛtiriti /	nivRtiH, anAtma-vAsanAtaH-ca pravRtiH-iti /
   na ca te pramāṇamūle eveti niyamaḥ, rajjusarpavivekāgrahaṇādvā vibhramādvā	na ca te pramANa-mUle eva-iti niyamaH, rajju-sarpa-viveka-agrahaNAt-vA viBramAt-vA
   śuktirajatavivekāgrahaṇādvā vibhramādvānayoranudayaprasaṅgāt /	Sukti-rajata-viveka-agrahaNAt-vA viBramAt-vAnayoH-anudaya-prasaFgAt /
   na ca te na nivṛttī, nāpi pravṛttī vā /	na ca te na nivRttI, na-api pravRttI vA /
   na cājñānupūrvikā nivṛttiḥ pravṛttirvā svasthasya saṃbhavati /	na ca-ajQAnupUrvikA nivRttiH pravRttiH-vA svasTasya saMBavati /
   na cātmajñāne teṣāṃ tadupapadyate, tathānabhyāsadaśāyāṃ ko	na ca-Atma-jQAne tezAm tat-upapadyate, taTA-anaByAsa-daSAyAm kaH-
   'hamitya(dhyavasāyānupapattirniścīyate), anadhyavasāye 'tiprasaṅgāt /	aham-iti-a(Di-avasAya-anupapattiH-niScIyate), anaDyavasAye ati-prasaFgAt /
   kiṃ ca kaḥ punastatpratibhāse sambandhārthaḥ? karmatvam, tadatiriktaṃ vā?	kim ca kaH punar-tad-pratiBAse sambanDa-arTaH? karma-tvam, tat-atiriktam vA?
   prathame 'pasiddhantaḥ, dvitīye dṛṣṭāntāsiddhiḥ* /	praTame apasidDantaH, dvitIye dRzwAnta-asidDiH* /
   [* -eḥ edn] viṣayatvaṃ ca prathamānnātiricyate /	[* -eH edn] vizaya-tvam ca praTamAt-na-atiricyate /
   grāhakagṛhītibhāve tu siddhasādhanam /	grAhaka-gRhIti-BAve tu sidDa-sADanam /
   ato 'tiriktasyānugatasambandhamātrasyāsiddhiḥ /	atas atiriktasya-anugata-sambanDa-mAtrasya-asidDiH /
   kiṃ ca yogināṃ viyuktāvasthāyāṃ paramāṇurūpādiviṣayacākṣuṣajñānasya	kim ca yoginAm viyukta-avasTAyAm paramANu-rUpa-Adi-vizaya-cAkzuza-jQAnasya
   pakṣīkāre bhavatāmāśrayaikadeśāsiddhaḥ, anyathāsmākamanaikāntaḥ /	pakzIkAre BavatAm-ASraya-eka-deSa-asidDaH, anyaTA-asmAkam-ana-ekAntaH /
   na ca mānasapratyakṣatve tatsāmagrayāḥ sarvadā sannihitatvāt	na ca mAnasa-pratyakza-tve tad-sAmagrayAH sarvadA sannihita-tvAt-
   suṣuptāvasthāyāmapyātmajñānaprasaṅgaḥ, ahaṃ śarīramitivivekāgrahaṇādiṣu	suzupta-avasTAyAm-api-Atma-jQAna-prasaFgaH, aham SarIram-iti-viveka-agrahaNa-Adizu
   ahaṃjñānotpattau bāhyendriyavyatiriktakārakagrāmasyaiva tvayāpi	ahaMjQAna-utpattO bAhya-indriya-vyatirikta-kAraka-grAmasya-eva tvayA-api
   vaktavyatvāttadbalenaiva sarvasyopapatteḥ, tathāvidhakarmavaikalyādvā /	vaktavya-tvAt-tat-balena-eva sarvasya-upapatteH, taTAviDa-karma-vEkalyAt-vA /
   tasmānna sarvavittiṣvātmanaḥ* pratibhāsaḥ /	tasmAt-na sarva-vittizu-AtmanaH* pratiBAsaH /
   [* sarvavidiṣvā]	[* sarva-vidizvA]
   [ātmano jñānarūpatvanirāsaḥ--]	[a-AtmanaH jQAna-rUpa-tva-nirAsaH--]
   sa ca jñānāśrayo na tu vijñānātmakaḥ, na hi draṣṭurdṛṣṭerviparilopo	sa ca jQAna-ASrayaH na tu vijQAna-AtmakaH, na hi drazwuH-dRzweH-viparilopaH-
   vidyate (bṛha 4.3.23) iti śrutau draṣṭṛdṛṣṭyoḥ sambandhapratīteḥ /	vidyate (bRha 4.3.23) iti SrutO drazwR-dRzwyoH sambanDa-pratIteH /
   na cāmnāyapratīto bhrānto bhavitumarhati, aviśeṣāt /	na ca-AmnAya-pratItaH BrAntaH Bavitum-arhati, aviSezAt /
   na ca siddhārthe vācakābhāvaḥ, apasiddhāntāt /	na ca sidDArTe vAcaka-aBAvaH, apasidDAntAt /
   na cātatparatvam, tasyānyato 'siddhatvena viśiṣṭaparatvāt /	na ca-atad-paratvam, tasya-anyatas asidDatvena viSizwa-paratvAt /
   na ca rāhoḥ śira itivadupacaritatvam, mukhye bādhakābhāvāt /	na ca rAhoH SiraH itivat-upacarita-tvam, muKye bADaka-aBAvAt /
   na cādvaitaśrutirbādhikā, viparyaye pratyuta tasya bhedagrāhakatvāt /	na ca-advEta-SrutiH-bADikA, viparyaye pratyuta tasya Beda-grAhaka-tvAt /
   na ca tatra tasya sāmarthyaṃ nāstīti vācyam, sāmarthye sati virodhābhāvāt	na ca tatra tasya sAmarTyam na-asti-iti vAcyam, sAmarTye sati viroDa-aBAvAt
   na ca sambandhābhāve grahaṇāsambhavaḥ, adoṣatvāt /	na ca sambanDa-aBAve grahaNa-asamBavaH, adoza-tvAt /
   na cātiprasaṅgaḥ, anupalabdherniyāmakatvāt /	na ca-atiprasaFgaH, anupalabDeH-niyAmaka-tvAt /
   pratiyogitatprayuktavyatiriktasāmagrīsānnidhye sati pratiyogijñāne ca sati	pratiyogi-tad-prayukta-vyatirikta-sAmagrI-sAnniDye sati pratiyogi-jQAne ca sati
   niyāmakatvāt /	niyAmaka-tvAt /
   athavā karaṇasambandhasyaiva niyāmakatvāt /	aTavA karaNa-sambanDasya-eva niyAmaka-tvAt /
   tathā hi -- ghaṭasaṃyuktena cakṣuṣā janitaṃ jñānaṃ ghaṭamevāvagāhate	taTA hi - Gawa-saMyuktena cakzuzA janitam jQAnam Gawam-eva-avagAhate
   nārthāntaram, asambaddhatvāt /	na-arTa-antaram, asambadDa-tvAt /
   kiñcāsti tāvadiyaṃ prasiddhiḥ, 'ata eva vyavaharāmaḥ' itivacanāt /	kiQca-asti tAvat-iyam prasidDiH, aatas eva vyavaharAmaH-a iti-vacanAt /
   tasyāśca kāraṇābhāve sati nityatvaṃ syāt /	tasyAH-ca kAraNa-aBAve sati nitya-tvam syAt /
   na caivamapratyakṣatvaṃ bhedasya, samyagaparokṣānubhavaviṣayasyaiva	na ca-evam-apratyakza-tvam Bedasya, samyak-aparokza-anuBava-vizayasya-eva
   sattvāt /	sattvAt /
   nityatve ca trayāṇāṃ siddheḥ /	nitya-tve ca trayANAm sidDeH /
   na cāpasiddhāntaḥ, asmākamapi nityapratītisiddheḥ /	na ca-apa-sidDAntaH, asmAkam-api nitya-pratIti-sidDeH /
   na ca bhedānavasthā bādhikā, bhedāntaraprasaktau mūlābhāvāt /	na ca Beda-anavasTA bADikA, Beda-antara-prasaktO mUla-aBAvAt /
   bhedabhedinau bhinnāviti lokavyavahāradarśanāt /	Beda-BedinO BinnO=-iti loka-vyavahAra-darSanAt /
   na caikabhedabalenānyabhedānumānam, dṛṣṭāntabhedāvighātenotthāne	na ca-eka-Beda-balena-anya-Beda-anumAnam, dRzwAnta-Beda-aviGAtena-utTAne
   doṣābhāvāt /	doza-aBAvAt /
   so 'yaṃ piṇyākayācanārthaṃ gatasyāpi śākādinaḥ	saH ayam piNyAka-yAcana-arTam gatasya-api SAka-AdinaH
   khārikātailadātṛtvābhyupagama iva /	KArikA-tEla-dAtR-tva-aByupagamaH iva /
   dṛṣṭāntabhedavighāte tvanumānānutthānameva, upajīvyasya prabalatvena	dRzwAnta-Beda-viGAte tu-anumAna-an-utTAnam-eva, upajIvyasya prabala-tvena
   tenaiva bādhāt /	tena-eva bADAt /
   svātmavyātakatvena jātitvāt /	sva-Atma-vyAtaka-tvena jAti-tvAt /
   etenādṛśyatvādayo nirastāḥ /	etena-adRSya-tva-AdayaH nirastAH /
   na cānirvacanīyatvaṃ bhedasya, tatra pramāṇābhāvāt /	na ca-anirvacanIya-tvam Bedasya, tatra pramANa-aBAvAt /
   khyātibādhānyathānupapattiḥ pramāṇamiti cet, anyathāpyupapattau	KyAti-bADAni-aTa-anupapattiH pramANam-iti cet, anyaTA-api-upapattO
   virodhabhāvāt /	viroDa-BAvAt /
   asato bhāsamānāyogāt, bādhāyogātsataḥ, atra cobhayaṃ dṛśyate iti cet, na;	asataH BAsamAna-ayogAt, bADA-yogAt-sataH, atra ca-uBayam dRSyate iti cet, na;
   prathame 'satpadasya bodhakatve bhāsamānāyogādityanena vyāghātaḥ /	praTame asat-padasya boDaka-tve BAsamAnA-yogAt-iti-anena vyAGAtaH /
   anyathāpārthakatvam, prayuktapadārthānāṃ sambhūyakāritvaniyamāt /	anyaTA-pArTaka-tvam, prayukta-padArTAnAm samBUya-kAri-tva-niyamAt /
   dvitīye sata iti ko 'rthaḥ? kiṃ sattāyuktasya, āhosvidabādhitasya,	dvitIye sataH iti kaH arTaH? kim sattA-yuktasya, Ahosvit-abADitasya,
   brahmāsvarūpasya vā? prathame sattāyuktasyābādhitatvena vyāptiḥ kutraḥ	brahmA-svarUpasya vA? praTame sattA-yuktasya-AbADita-tvena vyAptiH kutraH
   dṛṣṭā? prapañcasya bādhyatvād, brahmaṇo nirdhamakatvena sattābhāvāt /	dRzwA? prapaQcasya bADya-tvAd, brahmaNaH nirDamaka-tvena sattA-BAvAt /
   dvitīye sādhyāviśiṣṭatā /	dvitIye sADya-aviSizwa-tA /
   tṛtīye siddhasādhanatā /	tRtIye sidDa-sADana-tA /
   tasmānnānirvacanīyatvamapi /	tasmAt-na-anirvacanIya-tvam-api /
   [akhaṇḍārthatvakhaṇḍanam--]	[a-KaNxa-arTa-tva-KaNxanam--]
   etena yadāhurekadaṇḍinaḥ -- satyādipadamakhaṇḍaparam, lakṣaṇavākyatvād,	etena yat-A-AhuH-eka-daNxinaH - satya-Adi-padam-aKaNxa-param, lakzaNa-vAkya-tvAt-,
   gandhavatī pṛthivītivat, ghaṭaḥ kalaśa itivadvā /	ganDavatI pRTivI-itivat, GawaH kalaSaH itivat-vA /
   tadapi nirastam, akhaṇḍaparanityanyūnānatiriktārthamityartho yata iti /	tat-api nirastam, aKaNxa-para-nitya-nyUna-an-atirikta-arTam-iti-arTaH yatas iti /
   na cārdvatapakṣe satyajñānānandādiśabdānāṃ sahaprayogo ghaṭate,	na cArdvata-pakze satya-jQAna-Ananda-Adi-SabdAnAm saha-prayogaH Gawate,
   paryāyatvāt /	paryAya-tvAt /
   aparyāyatve 'dvaitahāniḥ /	aparyAya-tve advEta-hAniH /
   na ca `prakṛṣṭaḥ prakāśaḥ savitā' itivat śabdadvayenāpi eka evārthaḥ	na ca `prakRzwaH prakASaH savitA-a iti-vat Sabda-dvayena-api ekaH eva-arTaH
   pratipādyate iti yuktam, dṛṣṭāntāsiddheḥ /	pratipAdyate iti yuktam, dRzwAnta-asidDeH /
   prakṛṣṭaśabdasyetaretarābhāvādinimittasavyapekṣatayā pravṛtteḥ,	prakRzwa-Sabdasya-itara-itara-aBAva-Adi-nimitta-savyapekza-tayA pravRtteH,
