   śivopaniṣad	Siva-upanizad-
   jñānayogaṃ tataḥ prāpya saṃsārād avamucyate // 6.180 //	jQAna-yogam tatas prApya saMsArAt avamucyate // 6.180 //
   śivasya rathayātrāyām upavāsaparaḥ kṣamī /	Sivasya raTa-yAtrAyAm upavAsa-paraH kzamI /
   purataḥ pṛṣṭhato vāpi gacchaṃs tasya phalaṃ śṛṇu // 6.181 //	puratas pRzWatas vA-api gacCan tasya Palam SRNu // 6.181 //
   aśeṣapāpanirmuktaḥ śuddhaḥ śivapuraṃ gataḥ /	aSeza-pApa-nirmuktaH SudDaH Siva-puram gataH /
   mahārathopamair yānaiḥ kalpāśītiṃ pramodateä // 6.182 //	mahA-raTa-upamEH yAnEH kalpa-aSItim pramodateä // 6.182 //
   dhvajacchattrapatākābhir dīpadarpaṇacāmaraiḥ /	Dvaja=-Cattra-patAkABiH dIpa-darpaNa-cAmarEH /
   dhūpair vitānakalaśair upaśobhā sahasraśaḥ // 6.183 //	DUpEH vitAna-kalaSEH upaSoBA sahasraSas // 6.183 //
   gṛhītvā yāti purataḥ svecchayā vā parecchayā /	gRhItvA yAti puratas sva-icCayA vA para-icCayA /
   saṃparkāt kautukāl lābhāc chivaloke vrajante te // 6.184 //	saMparkAt kOtukAt lABAt Siva-loke vrajante te // 6.184 //
   śivasya rathayātrāṃ tu yaḥ prapaśyati bhaktitaḥ /	Sivasya raTa-yAtrAm tu yaH prapaSyati BaktitaH /
   prasaṅgāt kautukād vāpi te 'pi yānti śivaṃ puram // 6.185 //	prasaFgAt kOtukAt vA-api te api yAnti Sivam puram // 6.185 //
   nānāyatnādiśeṣānte nānāprekṣaṇakāni ca /	nAnA-Ayatna-Adi-Seza-ante nAnA-prekzaNakAni ca /
   kurvīta rathayātrāyāṃ ramate ca vibhūṣitā // 6.186 //	kurvIta raTa-yAtrAyAm ramate ca viBUzitA // 6.186 //
   te bhogair vividhair divyaiḥ śivāsannā gaṇeśvarāḥ /	te BogEH viviDEH divyEH Siva-AsannAH gaNeSvarAH /
   krīḍanti rudrabhavane kalpānāṃ viṃśatīr narāḥ // 6.187 //	krIxanti rudra-Bavane kalpAnAm viMSatIH narAH // 6.187 //
   mahatā jñānasaṅghena tasmāc chivarathena ca /	mahatA jQAna-saFGena tasmAt Siva-raTena ca /
   pṛthakjīvā mṛtā yānti śivalokaṃ na saṃśayaḥ // 6.188 //	pRTak-jIvAH mRtAH yAnti Siva-lokam na saMSayaH // 6.188 //
   śrīparvate mahākāle vārāṇasyāṃ mahālaye /	SrIparvate mahAkAle vArANasyAm mahAlaye /
   jalpeśvare kurukṣetre kedāre maṇḍaleśvare // 6.189 //	jalpa-ISvare kurukzetre kedAre maNxaleSvare // 6.189 //
   gokarṇe bhadrakarṇe ca śaṅkukarṇe sthaleśvare /	gokarNe BadrakarNe ca SaFkukarNe sTaleSvare /
   bhīmeśvare suvarṇākṣe kālañjaravane tathā // 6.190 //	BImeSvare suvarNAkze kAlaQjara-vane taTA // 6.190 //
   evam ādiṣu cānyeṣu śivakṣetreṣu ye mṛtāḥ /	evam Adizu ca-anyezu Siva-kzetrezu ye mRtAH /
   jīvāś carācarāḥ sarve śivalokaṃ vrajanti te // 6.191 //	jIvAH cara-acarAH sarve Siva-lokam vrajanti te // 6.191 //
   prayāgaṃ kāmikaṃ tīrtham avimuktaṃ tu naiṣṭhikam /	prayAgam kAmikam tIrTam avimuktam tu nEzWikam /
   śrīparvataṃ ca vijñeyam ihāmutra ca siddhidam // 6.192 //	SrIparvatam ca vijQeyam iha-amutra ca sidDi-dam // 6.192 //
   prasaṅgenāpi yaḥ paśyed anyatra prasthitaḥ kvacit /	prasaFgena-api yaH paSyet anyatra prasTitaH kvacid /
   śrīparvataṃ mahāpuṇyaṃ so 'pi yāti śivaṃ puram // 6.193 //	SrIparvatam mahA-puNyam saH api yAti Sivam puram // 6.193 //
   vrajed yaḥ śivatīrthāni sarvapāpaiḥ pramucyate /	vrajet yaH Siva-tIrTAni sarva-pApEH pramucyate /
   pāpayuktaḥ śivajñānaṃ prāpya nirvāṇam āpnuyāt // 6.194 //	pApa-yuktaH Siva-jQAnam prApya nirvANam ApnuyAt // 6.194 //
   tīrthasthāneṣu yaḥ śrāddhaṃ śivarātre prayatnataḥ /	tIrTa-sTAnezu yaH SrAdDam SivarAtre prayatnataH /
   kalpayitvānusāreṇa kālasya viṣuvasya ca // 6.195 //	kalpayitvA-anusAreNa kAlasya vizuvasya ca // 6.195 //
   tīrthayātrāgataṃ śāntaṃ hāhābhūtam acetanam /	tIrTa-yAtrA-gatam SAntam hAhA-BUtam acetanam /
   kṣutpipāsāturaṃ loke pāṃsupādaṃ tvarānvitam // 6.196 //	kzuD-pipAsA-Aturam loke pAMsu-pAdam tvarA-anvitam // 6.196 //
   saṃtarpayitvā yatnena mlānalakṣmīm ivāmbubhiḥ /	saMtarpayitvA yatnena mlAna-lakzmIm iva-ambuBiH /
   pādyāsanapradānena kas tena puruṣaḥ samaḥ // 6.197 //	pAdya-Asana-pradAnena kaH tena puruzaH samaH // 6.197 //
   aśnanti yāvat tatpiṇḍaṃ tīrthanirdhūtakalmaṣāḥ /	aSnanti yAvat tat-piNxam tIrTa-nirDUta-kalmazAH /
   tāvadvarṣasahasrāṇi taddātās te śive pure // 6.198 //	tAvat-varza-sahasrANi tad-dAtAH te Sive pure // 6.198 //
   dadyād yaḥ śivasattrārthaṃ mahiṣīṃ supayasvinīm /	dadyAt yaH Siva-sattra-arTam mahizIm su-payasvinIm /
   modate sa śive loke yugakoṭiśataṃ naraḥ // 6.199 //	modate sa Sive loke yuga-kowi-Satam naraH // 6.199 //
   ārtāya śivabhaktāya dadyād yaḥ supayasvinīm /	ArtAya Siva-BaktAya dadyAt yaH su-payasvinIm /
   ajām ekāṃ supuṣṭāṅgīṃ tasya puṇyaphalaṃ śṛṇu // 6.200 //	ajAm ekAm su-puzwa-aFgIm tasya puNya-Palam SRNu // 6.200 //
   yāvat tadromasaṃkhyānaṃ tatprasūtikuleṣu ca /	yAvat tad-roma-saMKyAnam tad-prasUti-kulezu ca /
   tāvadvarṣasahasrāṇi rudraloke mahīyate // 6.201 //	tAvat-varza-sahasrANi rudra-loke mahIyate // 6.201 //
   mṛduromāñcitāṃ kṛṣṇāṃ nivedya gurave naraḥ /	mRdu-roma-AQcitAm kRzNAm nivedya gurave naraH /
   romṇi romṇi suvarṇasya dattasya phalam āpnuyāt // 6.202 //	romNi romNi suvarNasya dattasya Palam ApnuyAt // 6.202 //
   gajāśvarathasaṃyuktair vimānaiḥ sārvakāmikaiḥ /	gaja-aSva-raTa-saMyuktEH vimAnEH sArvakAmikEH /
   sānugaḥ krīḍate bhogaiḥ kalpakoṭiṃ śive pure // 6.203 //	sa-anugaH krIxate BogEH kalpa-kowim Sive pure // 6.203 //
   nivedyāśvataraṃ puṣṭam aduṣṭaṃ gurave naraḥ /	nivedya-aSvataram puzwam aduzwam gurave naraH /
   saṃgatiṃ sopakaraṇaṃ bhogān bhuṅkte śive pure // 6.204 //	saMgatim sa-upakaraNam BogAn BuFkte Sive pure // 6.204 //
   divyāśvayuktaiḥ śrīmadbhir vimānaiḥ sārvakāmikaiḥ /	divya-aSva-yuktEH SrImadBiH vimAnEH sArvakAmikEH /
   koṭiṃ koṭiṃ ca kalpānāṃ tadante syān mahīpatiḥ // 6.205 //	kowim kowim ca kalpAnAm tad-ante syAt mahIpatiH // 6.205 //
   api yojanamātrāya śibikāṃ parikalpayet /	api yojana-mAtrAya SibikAm parikalpayet /
   guroḥ śāntasya dāntasya tasya puṇyaphalaṃ śṛṇu // 6.206 //	guroH SAntasya dAntasya tasya puNya-Palam SRNu // 6.206 //
   vimānānāṃ sahasreṇa sarvakāmayutena ca /	vimAnAnAm sahasreNa sarva-kAma-yutena ca /
   kalpakoṭyayutaṃ sāgraṃ bhogān bhuṅkte śive pure // 6.207 //	kalpa-kowi-ayutam sAgram BogAn BuFkte Sive pure // 6.207 //
   chāgaṃ meṣaṃ mayūraṃ ca kukkuṭaṃ śārikāṃ śukam /	CAgam mezam mayUram ca kukkuwam SArikAm Sukam /
   bālakrīḍanakān etān ity ādyān aparān api // 6.208 //	bAla-krIxanakAn etAn iti AdyAn aparAn api // 6.208 //
   nivedayitvā skandāya tatsāyujyam avāpnuyāt /	nivedayitvA skandAya tad-sAyujyam avApnuyAt /
   bhuktvā tu vipulān bhogāṃs tadante syād dvijottamaḥ // 6.209 //	BuktvA tu vipulAn BogAn tad-ante syAt dvijottamaH // 6.209 //
   musalolūkhalādyāni gṛhopakaraṇāni ca /	musala-ulUKala-AdyAni gRha-upakaraNAni ca /
   dadyāc chivagṛhasthebhyas tasya pūṇyaphalaṃ śṛṇu // 6.210 //	dadyAt Siva-gRhasTeByaH tasya pUNya-Palam SRNu // 6.210 //
   pratyekaṃ kalpam ekaikaṃ gṛhopakaraṇair naraḥ /	pratyekam kalpam ekEkam gRha-upakaraNEH naraH /
   ante divi vased bhogais tadante ca gṛhī bhavet // 6.211 //	ante divi vaset BogEH tad-ante ca gRhI Bavet // 6.211 //
   kharjūratālapattrair vā carmaṇā vā sukalpitam /	KarjUra-tAla-pattrEH vA carmaNA vA su-kalpitam /
   dattvā koṭyāsanaṃ vṛttaṃ śivalokam avāpnuyāt // 6.212 //	dattvA kowI-Asanam vRttam Siva-lokam avApnuyAt // 6.212 //
   prātarnīhāravelāyāṃ hemante śivayoginām /	prAtar-nIhAra-velAyAm hemante Siva-yoginAm /
   kṛtvā pratāpanāyāgniṃ śivaloke mahīyate // 6.213 //	kRtvA pratApanAya-agnim Siva-loke mahIyate // 6.213 //
   sūryāyutaprabhādīptair vimānaiḥ sārvakāmikaiḥ /	sUrya-ayuta-praBA-dIptEH vimAnEH sArvakAmikEH /
   kalpakoṭiśataṃ bhogān bhuktvā sa tu mahīpatiḥ // 6.214 //	kalpa-kowi-Satam BogAn BuktvA sa tu mahIpatiH // 6.214 //
   yaḥ prāntaraṃ videśaṃ vā gacchantaṃ śivayoginam /	yaH prAntaram videSam vA gacCantam Siva-yoginam /
   bhojayīta yathāśaktyā śivaloke mahīyate // 6.215 //	BojayIta yaTASaktyA Siva-loke mahIyate // 6.215 //
   yaś chattraṃ dhārayed grīṣme gacchate śivayogine /	yaH Cattram DArayet grIzme gacCate Siva-yogine /
   sa mṛtaḥ pṛthivīṃ kṛtsnām ekacchattrām avāpnuyāt // 6.216 //	sa mRtaH pRTivIm kRtsnAm eka=-CattrAm avApnuyAt // 6.216 //
   yaḥ samuddharate mārge mātropakaraṇāsanam /	yaH samudDarate mArge mAtrA-upakaraNa-Asanam /
   śivayogapravṛttasya tasya puṇyaphalaṃ śṛṇu // 6.217 //	Siva-yoga-pravRttasya tasya puNya-Palam SRNu // 6.217 //
   kalpāyutaṃ naraḥ sāgraṃ bhuktvā bhogāñ chive pure /	kalpa-ayutam naraH sAgram BuktvA BogAn Cive pure /
   tadante prāpnuyād rājyaṃ sarvaiśvaryasamanvitam // 6.218 //	tad-ante prApnuyAt rAjyam sarva-ESvarya-samanvitam // 6.218 //
   abhyaṅgodvartanaṃ snānam ārtasya śivayoginaḥ /	aByaFga-udvartanam snAnam Artasya Siva-yoginaH /
   kṛtvāpnoti mahābhogān kalpāñ chivapure naraḥ // 6.219 //	kRtvA-Apnoti mahA-BogAn kalpAn Civa-pure naraH // 6.219 //
   apanīya samucchiṣṭaṃ bhaktitaḥ śivayoginām /	apanIya samucCizwam BaktitaH Siva-yoginAm /
   daśadhenupradānasya phalam āpnoti mānavaḥ // 6.220 //	daSa-Denu-pradAnasya Palam Apnoti mAnavaH // 6.220 //
   pañcagavyasamaṃ jñeyam ucchiṣṭaṃ śivayoginām /	paQcagavya-samam jQeyam ucCizwam Siva-yoginAm /
   tad bhuktvā labhate śuddhiṃ mahataḥ pātakād api // 6.221 //	tat BuktvA laBate SudDim mahataH pAtakAt api // 6.221 //
   nārī ca bhuktvā satputraṃ kulādhāraṃ guṇānvitam /	nArI ca BuktvA sat-putram kula-ADAram guNa-anvitam /
   rājyayogyaṃ dhanāḍhyaṃ ca prāpnuyād dharmatatparam // 6.222 //	rAjya-yogyam Dana-AXyam ca prApnuyAt Darma-tatparam // 6.222 //
   yaś ca yāṃ śivayajñāya gṛhasthaḥ parikalpayet /	yaH ca yAm Siva-yajQAya gRhasTaH parikalpayet /
   śivabhakto 'sya mahataḥ paramaṃ phalam āpnuyāt // 6.223 //	Siva-BaktaH asya mahataH paramam Palam ApnuyAt // 6.223 //
   śivomāṃ ca prayatnena bhaktyābdaṃ yo 'nupālayet /	Siva-umAm ca prayatnena BaktyA-abdam yaH anupAlayet /
   gavāṃ lakṣapradānasya saṃpūrṇaṃ phalam āpnuyāt // 6.224 //	gavAm lakza-pradAnasya saMpUrNam Palam ApnuyAt // 6.224 //
   prātaḥ pradadyāt saghṛtaṃ sukṛtaṃ bālapiṇḍakam /	prAtar pradadyAt sa-GRtam sukRtam bAla-piNxakam /
   dūrvāṃ ca bālavatsānāṃ(?) tasya puṇyaphalaṃ śṛṇu // 6.225 //	dUrvAm ca bAla-vat-sAnAM(?) tasya puNya-Palam SRNu // 6.225 //
   yāvat tadbālavatsānāṃ pānāhāraṃ prakalpayet /	yAvat tad-bAla-vatsAnAm pAna-AhAram prakalpayet /
   tāvadaṣṭāyutān pūrvair bhogān bhuṅkte śive pure // 6.226 //	tAvat-azwa-ayutAn pUrvEH BogAn BuFkte Sive pure // 6.226 //
   vidhavānāthavṛddhānāṃ pradadyād yaḥ prajīvanam /	viDavAnATa-vRdDAnAm pradadyAt yaH prajIvanam /
   ābhūtassaṃplavaṃ yāvac chivaloke mahīyate // 6.227 //	ABUtassaMplavam yAvat Siva-loke mahIyate // 6.227 //
   dadyād yaḥ sarvajantūnām āhāram anuyatnataḥ /	dadyAt yaH sarva-jantUnAm AhAram anuyatnataH /
   triḥ pṛthvīṃ ratnasaṃpūrṇāṃ yad dattvā tat phalaṃ labhet // 6.228 //	tris pRTvIm ratna-saMpUrNAm yat dattvA tat Palam laBet // 6.228 //
   vinayavratadānāni yāni siddhāni lokataḥ /	vinaya-vrata-dAnAni yAni sidDAni lokataH /
   tāni tenaiva vidhinā śivamantreṇa kalpayet // 6.229 //	tAni tena-eva viDinA Siva-mantreNa kalpayet // 6.229 //
   nivedayīta rudrāya rudrāṇyāḥ ṣaṇmukhasya ca /	nivedayIta rudrAya rudrANyAH zaNmuKasya ca /
   prāpnuyād vipulān bhogān divyāñ chivapure naraḥ // 6.230 //	prApnuyAt vipulAn BogAn divyAn Civa-pure naraH // 6.230 //
   punar yaḥ kartarīṃ dadyāt keśakleśāpanuttaye /	punar yaH kartarIm dadyAt keSa-kleSa-apanuttaye /
   sarvakleśavinirmuktaḥ śivaloke sukhī bhavet // 6.231 //	sarva-kleSa-vinirmuktaH Siva-loke suKI Bavet // 6.231 //
   nāsikāśodhanaṃ dadyāt saṃdaṃśaṃ śivayogine /	nAsikA-SoDanam dadyAt saMdaMSam Siva-yogine /
   varṣakoṭiṃ mahābhogaiḥ śivaloke mahīyate // 6.232 //	varza-kowim mahA-BogEH Siva-loke mahIyate // 6.232 //
   nakhacchedanakaṃ dattvā śivaloke mahīyate /	naKa=-Cedanakam dattvA Siva-loke mahIyate /
   varṣalakṣaṃ mahābhogaiḥ śivaloke mahīyate // 6.233 //	varza-lakzam mahA-BogEH Siva-loke mahIyate // 6.233 //
   dattvāñjanaśalākāṃ vā lohādyāṃ śivayogine /	dattvA-aQjana-SalAkAm vA loha-AdyAm Siva-yogine /
   bhogāñ chivapure prāpya jñānacakṣur avāpnuyāt // 6.234 //	BogAn Civa-pure prApya jQAnacakzuH avApnuyAt // 6.234 //
   karṇaśodhanakaṃ dattvā lohādyaṃ śivayogine /	karNa-SoDanakam dattvA loha-Adyam Siva-yogine /
   varṣakoṭiṃ mahābhogaiḥ śivaloke mahīyate // 6.235 //	varza-kowim mahA-BogEH Siva-loke mahIyate // 6.235 //
   dadyād yaḥ śivabhaktāya sūcīṃ kaupīnaśodhanīm /	dadyAt yaH Siva-BaktAya sUcIm kOpIna-SoDanIm /
   varṣalakṣaṃ sa lakṣārdhaṃ śivaloke mahīyate // 6.236 //	varza-lakzam sa lakza-arDam Siva-loke mahIyate // 6.236 //
   nivedya śivayogibhyaḥ sūcikaṃ sūtrasaṃyutam /	nivedya Siva-yogiByaH sUcikam sUtra-saMyutam /
   varṣalakṣaṃ mahābhogaiḥ krīḍate sa śive pure // 6.237 //	varza-lakzam mahA-BogEH krIxate sa Sive pure // 6.237 //
   dadyād yaḥ śivayogibhyaḥ sukṛtāṃ patravedhanīm /	dadyAt yaH Siva-yogiByaH sukRtAm patra-veDanIm /
   varṣalakṣaṃ mahābhogaiḥ śivaloke mahīyate // 6.238 //	varza-lakzam mahA-BogEH Siva-loke mahIyate // 6.238 //
   dadyād yaḥ pustakādīnāṃ sarvakāryārthakartṛkām /	dadyAt yaH pustaka-AdInAm sarva-kArya-arTa-kartRkAm /
   pañcalakṣaṃ mahābhogair modate sa śive pure // 6.239 //	paQcalakzam mahA-BogEH modate sa Sive pure // 6.239 //
   śamīndhanatṛṇādīnāṃ dadyāt tacchedanaṃ ca yaḥ /	SamI-inDana-tRNa-AdInAm dadyAt tad-Cedanam ca yaH /
   krīḍate sa śive loke varṣalakṣacatuṣṭayam // 6.240 //	krIxate sa Sive loke varza-lakza-catuzwayam // 6.240 //
   śivāśramopabhogāya lohopakaraṇaṃ mahat /	Siva-ASrama-upaBogAya loha-upakaraNam mahat /
   yaḥ pradadyāg kuṭhārādyaṃ tasya puṇyaphalaṃ śṛṇu // 6.241 //	yaH pradadyAk kuWAra-Adyam tasya puNya-Palam SRNu // 6.241 //
   yāvat tatphalasaṃkhyānaṃ lohopakaraṇe bhavet /	yAvat tad-Pala-saMKyAnam loha-upakaraNe Bavet /
   tāvanti varṣalakṣāṇi śivaloke mahīyate // 6.242 //	tAvanti varza-lakzANi Siva-loke mahIyate // 6.242 //
   śivāyatanavittānāṃ rakṣārthaṃ yaḥ prayacchati /	Siva-Ayatana-vittAnAm rakzA-arTam yaH prayacCati /
   dhanuḥkhaḍgāyudhādīni tasya puṇyaphalaṃ śṛṇu // 6.243 //	DanuH-Kaxga-AyuDa-AdIni tasya puNya-Palam SRNu // 6.243 //
   ekaikasmin parijñeyam āyudhe cāpi vai phalam /	ekEkasmin parijQeyam AyuDe ca-api vE Palam /
   varṣakoṭyaṣṭakaṃ bhogaiḥ śivaloke mahīyate // 6.244 //	varza-kowI-azwakam BogEH Siva-loke mahIyate // 6.244 //
   yaḥ svātmabhogabhṛtyarthaṃ kusumāni nivedayet /	yaH sva-Atma-Boga-BRti-arTam kusumAni nivedayet /
   śivāya gurave vāpi tasya puṇyaphalaṃ śṛṇu // 6.245 //	SivAya gurave vA-api tasya puNya-Palam SRNu // 6.245 //
   yāvad anyo'nyasaṃbandhās tasyāṃśāḥ parikīrtitāḥ /	yAvat anyaH-anya-saMbanDAH tasya-aMSAH parikIrtitAH /
   varṣalakṣaṃ sa tāvac ca śivaloke pramodate // 6.246 //	varza-lakzam sa tAvat ca Siva-loke pramodate // 6.246 //
   naṣṭāpahṛtam anviṣya punar vittaṃ nivedayet /	nazwa-apahRtam anvizya punar vittam nivedayet /
   śivātmakaṃ śivāyaiva tasya puṇyaphalaṃ śṛṇu // 6.247 //	Siva-Atmakam SivAya-eva tasya puNya-Palam SRNu // 6.247 //
   yāvac chivāya tadvittaṃ prāṅ nivedya phalaṃ smṛtam /	yAvat SivAya tat-vittam prAk nivedya Palam smRtam /
   naṣṭam ānīya tad bhūyaḥ puṇyaṃ śataguṇaṃ labhet // 6.248 //	nazwam AnIya tat BUyas puNyam SataguNam laBet // 6.248 //
   devadravyaṃ hṛtaṃ naṣṭam anveṣyam api yatnataḥ /	deva-dravyam hRtam nazwam anvezyam api yatnatas /
   na prāpnoti tadā tasya prāpnuyād dviguṇaṃ phalam // 6.249 //	na prApnoti tadA tasya prApnuyAt dviguNam Palam // 6.249 //
   tāmrakumbhakaṭāhādyaṃ yaḥ śivāya nivedayet /	tAmra-kumBa-kawAha-Adyam yaH SivAya nivedayet /
   śivātmakaṃ śivāyaiva tasya puṇyaphalaṃ śṛṇu // 6.250 //	Siva-Atmakam SivAya-eva tasya puNya-Palam SRNu // 6.250 //
   yāvac chivāya tad vittaṃ prāṅ nivedya phalaṃ smṛtam /	yAvat SivAya tat vittam prAk nivedya Palam smRtam /
   naṣṭam ānīya tad bhūyaḥ puṇyaṃ śataguṇaṃ labhet // 6.251 //	nazwam AnIya tat BUyas puNyam SataguNam laBet // 6.251 //
   snānasattropabhogāya tasya puṇyaphalaṃ śṛṇu /	snAna-sattra-upaBogAya tasya puNya-Palam SRNu /
   yāvat tatphalasaṃkhyānaṃ tāmropakaraṇe sthitam // 6.252 //	yAvat tad-Pala-saMKyAnam tAmra-upakaraNe sTitam // 6.252 //
   pale pale varṣakoṭiṃ modate sa śive pure /	pale pale varza-kowim modate sa Sive pure /
   yaḥ pattrapuṣpavastūnāṃ dadyād ādhārabhājanam // 6.253 //	yaH pattra-puzpa-vastUnAm dadyAt ADAra-BAjanam // 6.253 //
   tadvastudātur yat puṇyaṃ tat puṇyaṃ sakalaṃ bhavet /	tat-vastu-dAtuH yat puNyam tat puNyam sakalam Bavet /
   dattvopakaraṇaṃ kiṃcid api yo vittam arthinām // 6.254 //	dattvA-upakaraNam kiMcid api yaH vittam arTinAm // 6.254 //
   yad vastu kurute tena tatpradānaphalaṃ labhet /	yat vastu kurute tena tad-pradAna-Palam laBet /
   yaḥ śaucapītavastrāṇi kṣārādyaiḥ śivayoginām // 6.255 //	yaH SOca-pIta-vastrANi kzAra-AdyEH Siva-yoginAm // 6.255 //
   sa pāpamalanirmuktaḥ śivalokam avāpnuyāt /	sa pApa-mala-nirmuktaH Siva-lokam avApnuyAt /
   yaḥ puṣpapaṭṭasaṃyuktaṃ paṭagarbhaṃ ca kambalam // 6.256 //	yaH puzpa-pawwa-saMyuktam pawa-garBam ca kambalam // 6.256 //
   pradadyāc chivayogibhyas tasya puṇyaphalaṃ śṛṇu /	pradadyAt Siva-yogiByaH tasya puNya-Palam SRNu /
   teṣāṃ ca vastratantūnāṃ yāvatsaṃkhyā vidhīyate // 6.257 //	tezAm ca vastra-tantUnAm yAvat-saMKyA viDIyate // 6.257 //
   tāvadvarṣasahasrāṇi bhogān bhuṅkte śive pure /	tAvat-varza-sahasrANi BogAn BuFkte Sive pure /
   ślakṣṇavastrāṇi śuklāni dadyād yaḥ śivayogine // 6.258 //	SlakzNa-vastrANi SuklAni dadyAt yaH Siva-yogine // 6.258 //
   citravastrāṇi tadbhaktyā tasya puṇyaphalaṃ śṛṇu /	citra-vastrANi tad-BaktyA tasya puNya-Palam SRNu /
   yāvat tatsūkṣmavastrāṇāṃ tantusaṃkhyā vidhīyate // 6.259 //	yAvat tad-sUkzma-vastrANAm tantu-saMKyA viDIyate // 6.259 //
   tāvadyugāni saṃbhogaiḥ śivaloke mahīyate /	tAvat-yugAni saMBogEH Siva-loke mahIyate /
   śaṅkhapātraṃ tu vistīrṇaṃ bhāṇḍaṃ vāpi suśobhanam // 6.260 //	SaFKa-pAtram tu vistIrNam BANxam vA-api su-SoBanam // 6.260 //
   pradadyāc chivayogibhyas tasya puṇyaphalaṃ śṛṇu /	pradadyAt Siva-yogiByaH tasya puNya-Palam SRNu /
   divyaṃ vimānam ārūḍhaḥ sarvakāmasamanvitam // 6.261 //	divyam vimAnam ArUXaH sarva-kAma-samanvitam // 6.261 //
   kalpakoṭyayutaṃ sāgraṃ śivaloke mahīyate /	kalpa-kowi-ayutam sAgram Siva-loke mahIyate /
   śuktyādīni ca pātrāṇi śobhanāny amalāni ca // 6.262 //	Sukti-AdIni ca pAtrANi SoBanAni amalAni ca // 6.262 //
   nivedya śivayogibhyaḥ śaṅkhārdhena phalaṃ labhet /	nivedya Siva-yogiByaH SaFKa-arDena Palam laBet /
   sphāṭikānāṃ ca pātrāṇāṃ śaṅkhatulyaphalaṃ smṛtam // 6.263 //	sPAwikAnAm ca pAtrANAm SaFKa-tulya-Palam smRtam // 6.263 //
   śailajānāṃ tadardhena pātrāṇāṃ ca tadardhakam /	SElajAnAm tad-arDena pAtrANAm ca tad-arDakam /
   tālakharjūrapātrāṇāṃ vaṃśajānāṃ nivedane // 6.264 //	tAla-KarjUra-pAtrANAm vaMSa-jAnAm nivedane // 6.264 //
   anyeṣām evam ādīnāṃ puṇyaṃ vārkṣyārdhasaṃmitam /	anyezAm evam AdInAm puNyam vArkzya-arDa-saMmitam /
   vaṃśajārdhasamaṃ puṇyaṃ phalapātranivedane // 6.265 //	vaMSa-ja-arDa-samam puNyam Pala-pAtra-nivedane // 6.265 //
   nānāparṇapuṭāṇāṃ ca sārāṇāṃ vā phalārdhakam /	nAnA-parNa-puwANAm ca sArANAm vA Pala-arDakam /
   yas tāmrakāṃsyapātrāṇi śovhanāny amalāni ca // 6.266 //	yaH tAmra-kAMsya-pAtrANi SovhanAni amalAni ca // 6.266 //
   snānabhojanapānārthaṃ dadyād yaḥ śivayogine /	snAna-Bojana-pAna-arTam dadyAt yaH Siva-yogine /
   tāmrāṃ kāṃsīṃ trilohīṃ vā yaḥ pradadyāt tripādikām // 6.267 //	tAmrAm kAMsIm trilohIm vA yaH pradadyAt tripAdikAm // 6.267 //
   bhojane bhojanādhāraṃ gurave tatphalaṃ śṛṇu /	Bojane Bojana-ADAram gurave tad-Palam SRNu /
   yāvat tatpalasaṃkhyānaṃ tripādyā bhojaneṣu ca // 6.268 //	yAvat tad-pala-saMKyAnam tripAdyAH Bojanezu ca // 6.268 //
   tāvadyugasahasrāṇi bhogān bhuṅkte śive pure /	tAvat-yuga-sahasrANi BogAn BuFkte Sive pure /
   lohaṃ tripādikaṃ dattvā satkṛtvā śivayogine // 6.269 //	loham tripAdikam dattvA satkRtvA Siva-yogine // 6.269 //
   daśakalpān mahābhogair naraḥ śivapure vaset /	daSa-kalpAn mahA-BogEH naraH Siva-pure vaset /
   yaḥ pradadyāt triviṣṭambhaṃ bhikṣāpātrasamāśrayam // 6.270 //	yaH pradadyAt tri-vizwamBam BikzA-pAtra-samASrayam // 6.270 //
   vaṃśajaṃ dārujaṃ vāpi tasya puṇyaphalaṃ śṛṇu /	vaMSa-jam dAru-jam vA-api tasya puNya-Palam SRNu /
   divyastrībhogasaṃpanno vimāne mahati sthitaḥ // 6.271 //	divya-strI-Boga-saMpannaH vimAne mahati sTitaH // 6.271 //
   caturyugasahasraṃ tu bhogān bhuṅkte śive pure /	catur-yuga-sahasram tu BogAn BuFkte Sive pure /
   bhikṣāpātramukhācchādam vastraparṇādikalpitam // 6.272 //	BikzA-pAtra-muKa-AcCAdam vastra-parNa-Adi-kalpitam // 6.272 //
   dattvā śivapure bhogān kalpam ekaṃ vasen naraḥ /	dattvA Siva-pure BogAn kalpam ekam vaset naraH /
   saṃśrayaṃ yaḥ pradadyāc ca bhikṣāpātre kamaṇḍalau // 6.273 //	saMSrayam yaH pradadyAt ca BikzA-pAtre kamaNxalO // 6.273 //
   kalpitaṃ vastrasūtrādyais tasya puṇyaphalaṃ śṛṇu /	kalpitam vastra-sUtra-AdyEH tasya puNya-Palam SRNu /
   tadvastrapūtatantūnāṃ saṃkhyā yāvad vidhīyate // 6.274 //	tad-vastra-pUta-tantUnAm saMKyA yAvat viDIyate // 6.274 //
   tāvadvarṣasahasrāṇi rudraloke mahīyate /	tAvat-varza-sahasrANi rudra-loke mahIyate /
   sūtravalkalavālair vā śikyabhāṇḍasamāśrayam // 6.275 //	sUtra-valkala-vAlEH vA Sikya-BANxa-samASrayam // 6.275 //
