   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   pītvā sakṛt sutaptaṃ ca YS99v_38c	pItvA sakRt su-taptam ca YS99u-_38c
   putramatyā sadaiva hi YS182v_5.22b	putramatyA sadA-eva hi YS182u-_5.22b
   putrasya bhāryāṃ gatvā tu YSS_1.30c	putrasya BAryAm gatvA tu YSH-_1.30c
   punarbhūr bhaṇyate hi sā YS182v_4.45d	punarBUH BaNyate hi sA YS182u-_4.45d
   punarbhūr vikṛtā yena YS182v_4.45a	punarBUH vikRtAH yena YS182u-_4.45a
   punaḥ śvāno bhaviṣyati YS182v_3.14d	punar SvAnaH Bavizyati YS182u-_3.14d
   punaḥ saṃskāram arhati YS78v_49d	punar saMskAram arhati YS78u-_49d
   purīṣaṃś ca tathā muñcan YSS_2.17c	purIzan ca taTA muQcan YSH-_2.17c
   puṣpaṃ raktāmbarāṇi ca YS78v_50b	puzpam rakta-ambarANi ca YS78u-_50b
   puṃsopagatasevinī YS182v_4.39b	puMsA-upagata-sevinI YS182u-_4.39b
   pūjānte homayet paścād YS182v_3.58c	pUjA-ante homayet paScAt YS182u-_3.58c
   pūtas tad ahared vāpi YS182v_2.7c	pUtaH tat aharet vA-api YS182u-_2.7c
   pūtas tad ahar evāpi YS78v_12c	pUtaH tat ahar eva-api YS78u-_12c
   pūyante tadvrate pūrṇe YSS_1.18c	pUyante tat-vrate pUrNe YSH-_1.18c
   pūyante tu vrate cīrṇe YS182v_2.9c	pUyante tu vrate cIrNe YS182u-_2.9c
   pūyante 'nuvrate cīrṇe YS78v_14c	pUyante anuvrate cIrNe YS78u-_14c
   pūyaśoṇita sambhave YS78v_7b	pUya-SoNita samBave YS78u-_7b
   pūrayitvā jalena ca YS99v_93b	pUrayitvA jalena ca YS99u-_93b
   pūrte mokṣaṃ samaśnute YS99v_68d	pUrte mokzam samaSnute YS99u-_68d
   pūrvapakṣe 'dharībhūte YS182v_5.26a	pUrva-pakze aDarIBUte YS182u-_5.26a
   pūrvavyādhipranaṣṭānāṃ YS99v_47c	pUrva-vyADi-pranazwAnAm YS99u-_47c
   pūrvavratam anirdiṣṭaṃ YS182v_4.20c	pUrva-vratam anirdizwam YS182u-_4.20c
   pūrvaṃ kṛtvā dvijaḥ śaucaṃ YS99v_5a	pUrvam kRtvA dvijaH SOcam YS99u-_5a
   pūrvaṃ nyāsavidhiś caiva YS182v_5.25a	pUrvam nyAsa-viDiH ca-eva YS182u-_5.25a
   pūrvā tu balavattarā YS182v_5.23d	pUrvA tu balavattarAH YS182u-_5.23d
   pṛthak piṇḍaṃ pṛthak śrāddhaṃ YS182v_5.15c	pRTak piNxam pRTak SrAdDam YS182u-_5.15c
   poṣitaṃ stenakāryeṇa YSS_2.20c	pozitam stena-kAryeNa YSH-_2.20c
   pracchannapāpino ye syuḥ YS182v_4.6a	pracCanna-pApinaH ye syuH YS182u-_4.6a
   praṇavena tu saṃpibet YS99v_73d	praNavena tu saMpibet YS99u-_73d
   praṇavena samāloḍya YS99v_73c	praNavena samAloxya YS99u-_73c
   pratigrahāc ca vipro vai YS182v_3.53c	pratigrahAt ca vipraH vE YS182u-_3.53c
   pratyabdaṃ sarvam ādāya YSS_2.13c	pratyabdam sarvam AdAya YSH-_2.13c
   pratyavaskandanaṃ tathā YS182v_5.24d	pratyavaskandanam taTA YS182u-_5.24d
   pratyahaṃ paṇam āpnuyāt YSS_2.9d	pratyaham paNam ApnuyAt YSH-_2.9d
   pratyutthānaṃ naro 'kurvans YSS_2.34c	pratyutTAnam naraH akurvans YSH-_2.34c
   pratyekaṃ paṇikaṃ damam YS99v_21b	pratyekam paNikam damam YS99u-_21b
   prathamenaiva śudhyati YS99v_75d	praTamena-eva SuDyati YS99u-_75d
   prathame 'hni dvitīye vā YS99v_87a	praTame ahni dvitIye vA YS99u-_87a
   prabrajyānaśanacyutāḥ YS78v_2b	prabrajya-anaSana-cyutAH YS78u-_2b
   pramādasthānam uttamam YS78v_68b	pramAda-sTAnam uttamam YS78u-_68b
   pramādāc ca hatā yena YS182v_4.7c	pramAdAt ca hatAH yena YS182u-_4.7c
   pramādocchiṣṭasaṃspṛṣṭaḥ YS182v_3.47c	pramAda-ucCizwa-saMspRzwaH YS182u-_3.47c
   prayatnāc chuklam utsṛjya YSS_2.58a	prayatnAt Suklam utsRjya YSH-_2.58a
   prayaścittaṃ tathā prāptaṃ YS78v_21c	prayaH-cittam taTA prAptam YS78u-_21c
   prayānti tv āpadaṃ mahat YSS_2.65b	prayAnti tu Apadam mahat YSH-_2.65b
   pravadanti manīṣiṇaḥ YS182v_4.48b	pravadanti manIziNaH YS182u-_4.48b
   pravrajyāgnir nirāpadi YS78v_48b	pravrajyA-agniH nirApadi YS78u-_48b
   pravrajyānāśakacyutāḥ YSS_1.7b	pravrajyA-anASaka-cyutAH YSH-_1.7b
   pravrajyānāśakacyutāḥ YS182v_1.3b	pravrajyA-anASaka-cyutAH YS182u-_1.3b
   pravrajyānāśakacyutāḥ YS99v_22b	pravrajyA-anASaka-cyutAH YS99u-_22b
   prasūtā vā na kārya ca YS182v_5.7c	prasUtAH vA na kArya ca YS182u-_5.7c
   prasūtiḥ prathamaṃ bhavet YSS_2.47d	prasUtiH praTamam Bavet YSH-_2.47d
   prasthāne vā pitā tasya YS182v_5.9c	prasTAne vA pitA tasya YS182u-_5.9c
   prājāpatyadvayena hi YS182v_4.44d	prAjApatya-dvayena hi YS182u-_4.44d
   prājāpatyam iti sthitiḥ YSS_1.24d	prAjApatyam iti sTitiH YSH-_1.24d
   prājāpatyaṃ tu kṣattriyaḥ YS182v_1.11b	prAjApatyam tu kzattriyaH YS182u-_1.11b
   prājāpatyaṃ tu loṣṭake YS99v_49b	prAjApatyam tu lozwake YS99u-_49b
   prājāpatyaṃ na dātavyaṃ YS182v_1.10c	prAjApatyam na dAtavyam YS182u-_1.10c
   prājāpatyaṃ samācaret YS182v_3.45d	prAjApatyam samAcaret YS182u-_3.45d
   prājāpatyaṃ samācaret YS78v_42d	prAjApatyam samAcaret YS78u-_42d
   prājāpatyaṃ samācaret YS99v_15d	prAjApatyam samAcaret YS99u-_15d
   prājāpatyena kṛcchreṇa YS78v_62c	prAjApatyena kRcCreNa YS78u-_62c
   prājāpatyena śudhyati YS182v_1.9d	prAjApatyena SuDyati YS182u-_1.9d
   prājāpatyais tribhiḥ kṛcchraṃ YS182v_4.25a	prAjApatyEH triBiH kRcCram YS182u-_4.25a
   prāṇāyāmaśatena ca YS78v_62d	prANAyAma-Satena ca YS78u-_62d
   prāṇināṃ pāpakāriṇām YS182v_4.27d	prANinAm pApa-kAriNAm YS182u-_4.27d
   prātah saṃdhyāṃ sanakṣatrām YS182v_4.50a	prAtam saMDyAm sa-nakzatrAm YS182u-_4.50a
   prātilomye mahatpāpaṃ YS182v_4.48a	prAtilomye mahat-pApam YS182u-_4.48a
   prāpte dvādaśame varṣe YS182v_3.20a	prApte dvAdaSame varze YS182u-_3.20a
   prāpte dvādaśame varṣe YS78v_22a	prApte dvAdaSame varze YS78u-_22a
   prāpnuyāt prathamaṃ damaṃ YSS_2.27d	prApnuyAt praTamam damam YSH-_2.27d
   prāpnuyān madhyamaṃ damaṃ YSS_2.45d	prApnuyAt maDyamam damam YSH-_2.45d
   prāpyate pūrvasāhasaṃ YSS_2.59b	prApyate pUrva-sAhasam YSH-_2.59b
   prābravīd ṛṣibhiḥ pṛṣṭo YS99v_1c	prAbravIt RziBiH pRzwaH YS99u-_1c
   prāyaścittam upakramya YS182v_2.7a	prAyaScittam upakramya YS182u-_2.7a
   prāyaścittaṃ kathaṃ tatra YS99v_48c	prAyaScittam kaTam tatra YS99u-_48c
   prāyaścittaṃ kathaṃ tāsāṃ YS78v_56c	prAyaScittam kaTam tAsAm YS78u-_56c
   prāyaścittaṃ kathaṃ bhavet YS182v_3.8d	prAyaScittam kaTam Bavet YS182u-_3.8d
   prāyaścittaṃ kathaṃ bhavet YS182v_3.62d	prAyaScittam kaTam Bavet YS182u-_3.62d
   prāyaścittaṃ kathaṃ bhavet YS182v_3.64d	prAyaScittam kaTam Bavet YS182u-_3.64d
   prāyaścittaṃ kathaṃ bhavet YS78v_18d	prAyaScittam kaTam Bavet YS78u-_18d
   prāyaścittaṃ kathaṃ bhavet YS78v_46d	prAyaScittam kaTam Bavet YS78u-_46d
   prāyaścittaṃ ca kṛtvā vai YS99v_63a	prAyaScittam ca kRtvA vE YS99u-_63a
   prāyaścittaṃ ca dātavyaṃ YS182v_5.6c	prAyaScittam ca dAtavyam YS182u-_5.6c
   prāyaścittaṃ ca neṣyate YSS_1.21d	prAyaScittam ca na-izyate YSH-_1.21d
   prāyaścittaṃ ca yat smṛtam YS182v_4.13b	prAyaScittam ca yat smRtam YS182u-_4.13b
   prāyaścittaṃ cared bhrāta YS182v_3.1c	prAyaScittam caret BrAta YS182u-_3.1c
   prāyaścittaṃ cared bhrātā YSS_1.20c	prAyaScittam caret BrAtA YSH-_1.20c
   prāyaścittaṃ cared bhrātā YS78v_15c	prAyaScittam caret BrAtA YS78u-_15c
   prāyaścittaṃ cā ''nulomye YS182v_4.48c	prAyaScittam cA aanulomye YS182u-_4.48c
   prāyaścittaṃ tataḥ kuryur YS99v_21c	prAyaScittam tatas kuryuH YS99u-_21c
   prāyaścittaṃ tathā prāptaṃ YS182v_3.11c	prAyaScittam taTA prAptam YS182u-_3.11c
   prāyaścittaṃ tadā deyam YS182v_4.28c	prAyaScittam tadA deyam YS182u-_4.28c
   prāyaścittaṃ tu bandhubhiḥ YS182v_4.31d	prAyaScittam tu banDuBiH YS182u-_4.31d
   prāyaścittaṃ dadāti yaḥ YS182v_4.29b	prAyaScittam dadAti yaH YS182u-_4.29b
   prāyaścittaṃ dine dine YS182v_4.49d	prAyaScittam dine dine YS182u-_4.49d
   prāyaścittaṃ na vidyate YSS_1.12d	prAyaScittam na vidyate YSH-_1.12d
   prāyaścittaṃ na vidyate YS182v_3.2d	prAyaScittam na vidyate YS182u-_3.2d
   prāyaścittaṃ na vidyate YS78v_16d	prAyaScittam na vidyate YS78u-_16d
   prāyaścittaṃ na vidyate YS99v_47d	prAyaScittam na vidyate YS99u-_47d
   prāyaścittaṃ na vidyate YS99v_50d	prAyaScittam na vidyate YS99u-_50d
   prāyaścittaṃ na vidyate YS99v_51d	prAyaScittam na vidyate YS99u-_51d
   prāyaścittaṃ na sevate YS182v_2.8b	prAyaScittam na sevate YS182u-_2.8b
   prāyaścittaṃ niṣevate YSS_1.17b	prAyaScittam nizevate YSH-_1.17b
   prāyaścittaṃ pṛthak pṛthak YS182v_4.11d	prAyaScittam pRTak pRTak YS182u-_4.11d
   prāyaścittaṃ prakalpayet YS182v_1.1d	prAyaScittam prakalpayet YS182u-_1.1d
   prāyaścittaṃ pravartate YS182v_4.43d	prAyaScittam pravartate YS182u-_4.43d
   prāyaścittaṃ bhavet tatra YS182v_4.2c	prAyaScittam Bavet tatra YS182u-_4.2c
   prāyaścittaṃ manīṣibhiḥ YSS_1.13d	prAyaScittam manIziBiH YSH-_1.13d
   prāyaścittaṃ manīṣibhiḥ YS182v_4.27b	prAyaScittam manIziBiH YS182u-_4.27b
   prāyaścittaṃ yathā tathā YS182v_4.7b	prAyaScittam yaTA taTA YS182u-_4.7b
   prāyaścittaṃ yathā vidhi YS182v_4.41b	prAyaScittam yaTA viDi YS182u-_4.41b
   prāyaścittaṃ vadanti ye YS99v_59b	prAyaScittam vadanti ye YS99u-_59b
   prāyaścittaṃ vidur budhāḥ YSS_1.12b	prAyaScittam viduH buDAH YSH-_1.12b
   prāyaścittaṃ vidhīyate YS182v_4.23d	prAyaScittam viDIyate YS182u-_4.23d
   prāyaścittaṃ vidhīyate YS182v_4.30b	prAyaScittam viDIyate YS182u-_4.30b
   prāyaścittaṃ vinirdiśet YS99v_40d	prAyaScittam vinirdiSet YS99u-_40d
   prāyaścittaṃ vinirdiśet YS99v_56d	prAyaScittam vinirdiSet YS99u-_56d
   prāyaścittaṃ viśodhanaṃ YSS_2.4d	prAyaScittam viSoDanam YSH-_2.4d
   prāyaścittaṃ vyākhyāsyāmaḥ YS182v_1.1b	prAyaScittam vyAKyAsyAmaH YS182u-_1.1b
   prāyaścittaṃ samaṃ smṛtam YS182v_4.8d	prAyaScittam samam smRtam YS182u-_4.8d
   prāyaścittaṃ samācaret YS78v_68d	prAyaScittam samAcaret YS78u-_68d
   prāyaścittād viśudhyati YS182v_4.5b	prAyaScittAt viSuDyati YS182u-_4.5b
   prāyaścittābhidhāyakam YS78v_1b	prAyaScitta-aBiDAyakam YS78u-_1b
   prāyaścittārddham arhanti YS78v_17c	prAyaScitta-ardDam arhanti YS78u-_17c
   prāyaścittārdham arhanti YSS_1.19c	prAyaScitta-arDam arhanti YSH-_1.19c
   prāyaścittārdham arhanti YS182v_3.3c	prAyaScitta-arDam arhanti YS182u-_3.3c
   prāyaścittī tadārhati YS182v_4.42b	prAyaScittI tadA-arhati YS182u-_4.42b
   prāyaścittī bhavec ca saḥ YS182v_4.12d	prAyaScittI Bavet ca saH YS182u-_4.12d
   prāyaścittī bhavet tadā YS182v_4.40d	prAyaScittI Bavet tadA YS182u-_4.40d
   prāyaścittī bhavet pūtas YS182v_4.29c	prAyaScittI Bavet pUtaH YS182u-_4.29c
   prāyaścittī bhaven naraḥ YS182v_4.4d	prAyaScittI Bavet naraH YS182u-_4.4d
   prāyaścittīyatāṃ prāpya YSS_2.1a	prAyaScittIyatAm prApya YSH-_2.1a
   prāyaścitte tataś cīrṇe YS99v_61a	prAyaScitte tatas cIrNe YS99u-_61a
   prāyaścittena śuddhyati YS78v_13b	prAyaScittena SudDi-ati YS78u-_13b
   prāyaścittena śudhyati YS182v_4.9d	prAyaScittena SuDyati YS182u-_4.9d
   prāyaścitte 'vyavasite YSS_1.16a	prAyaScitte avyavasite YSH-_1.16a
   prāyaścitte hy upakrānte YS78v_12a	prAyaScitte hi upakrAnte YS78u-_12a
   pretasammārjanaṃ malaṃ YSS_2.41a	preta-sammArjanam malam YSH-_2.41a
   preṣitaḥ puruṣo vā 'pi YS182v_4.13a	prezitaH puruzaH vA api YS182u-_4.13a
   prokṣayitvā śucir bhavet YS78v_50d	prokzayitvA SuciH Bavet YS78u-_50d
   protsāhakas saṃpratighātakaś ca YSS_1.42b	protsAhakaH saMpratiGAtakaH ca YSH-_1.42b
   plavate śubhakarmaṇaḥ YS99v_90b	plavate SuBa-karmaNaH YS99u-_90b
   bandhane rodhane caiva YS99v_45a	banDane roDane ca-eva YS99u-_45a
   bandhubhir datta eva ca YS182v_5.18b	banDuBiH dattaH eva ca YS182u-_5.18b
   bandhubhir hitabuddhibhiḥ YS99v_87d	banDuBiH hita-budDiBiH YS99u-_87d
   bandhubhiḥ pitṛmātṛtaḥ YSS_1.38d	banDuBiH pitR-mAtRtaH YSH-_1.38d
   bandhubhyāṃ pitṛmātṛtaḥ YSS_1.31b	banDuByAm pitR-mAtRtaH YSH-_1.31b
   balabhṛto hi sāhasī YSS_2.73b	balaBRtaH hi sAhasI YSH-_2.73b
   balavaty uttarā kriyā YS182v_5.24b	balavatI uttarA kriyA YS182u-_5.24b
   balād gṛhīto baddhaś ca YS182v_5.18a	balAt gRhItaH badDaH ca YS182u-_5.18a
   balād dāsī kṛtā ye ca YS182v_5.5c	balAt dAsI kRtAH ye ca YS182u-_5.5c
   balīvardasya caiva hi YS182v_4.2b	balIvardasya ca-eva hi YS182u-_4.2b
   balīvarde 'pi ca tathā YS182v_4.8c	balIvarde api ca taTA YS182u-_4.8c
   balīvardo mṛto 'pi vā YS182v_4.4b	balIvardaH mRtaH api vA YS182u-_4.4b
   bālādivṛddhair nṛpapīḍitaiś ca YSS_1.39b	bAla-Adi-vRdDEH nRpa-pIxitEH ca YSH-_1.39b
   bālāndharogivṛddhānāṃ YSS_2.15a	bAla-anDa-rogi-vRdDAnAm YSH-_2.15a
   bālo vāpy ūnaṣoḍaśaḥ YSS_1.19b	bAlaH vA-api Una-zoxaSaH YSH-_1.19b
   bālo vā 'py ūnaṣoḍaśaḥ YS182v_3.3b	bAlaH vA api Una-zoxaSaH YS182u-_3.3b
   bālo vāpy ūnaṣoḍaśaḥ YS78v_17b	bAlaH vA-api Una-zoxaSaH YS78u-_17b
   bāhumātrapramāṇakaḥ YS99v_41b	bAhu-mAtra-pramANakaH YS99u-_41b
   bāhyā brāhmaṇamāninaḥ YSS_1.35b	bAhyAH brAhmaNa-mAninaH YSH-_1.35b
   brahmakūrcena copari YS99v_13d	brahmakUrcena ca-upari YS99u-_13d
   brahmalokaṃ vrajaty eva YS182v_4.53a	brahma-lokam vrajati eva YS182u-_4.53a
   brahmalokāt kathañcana YS99v_90d	brahma-lokAt kaTaQcana YS99u-_90d
   brahmavarcasam eva ca YS182v_4.58b	brahmavarcasam eva ca YS182u-_4.58b
   brahmavādiṣu garhitaḥ YS182v_3.23d	brahma-vAdizu garhitaH YS182u-_3.23d
   brahmavādiṣu garhitaḥ YS78v_37d	brahma-vAdizu garhitaH YS78u-_37d
   brahmahatyā dine dine YS182v_3.13d	brahmahatyA dine dine YS182u-_3.13d
   brahmahā ca surāpaś ca YS182v_4.22c	brahma-hA ca surApaH ca YS182u-_4.22c
   brāhmaṇakṣattriyaviśāṃ YS182v_4.34a	brAhmaNa-kzattriya-viSAm YS182u-_4.34a
   brāhmaṇas tu śunā daṣṭo YS182v_1.2a	brAhmaNaH tu SunA dazwaH YS182u-_1.2a
   brāhmaṇasya maladvāre YS78v_7a	brAhmaNasya mala-dvAre YS78u-_7a
   brāhmaṇaṃ gṛham āgatam YS182v_3.25b	brAhmaNam gRham Agatam YS182u-_3.25b
   brāhmaṇaḥ kāmalubdho 'pi YS182v_4.46c	brAhmaNaH kAma-lubDaH api YS182u-_4.46c
   brāhmaṇaḥ patito bhavet YSS_2.57b	brAhmaNaH patitaH Bavet YSH-_2.57b
   brāhmaṇān āśayed dvijaḥ YSS_2.67d	brAhmaNAn ASayet dvijaH YSH-_2.67d
   brāhmaṇān bhojayet paścāc YS182v_4.38c	brAhmaNAn Bojayet paScAt YS182u-_4.38c
   brāhmaṇā mantritāś caiva YS182v_5.8a	brAhmaNAH mantritAH ca-eva YS182u-_5.8a
   brāhmaṇī kṣattriyā tathā YS182v_3.66b	brAhmaNI kzattriyA taTA YS182u-_3.66b
   brāhmaṇī vaiśyinī tathā YS182v_3.67b	brAhmaNI vESyinI taTA YS182u-_3.67b
   brāhmaṇī śūdrajā tathā YS78v_58b	brAhmaNI SUdra-jA taTA YS78u-_58b
   brāhmaṇī śūdriṇī tathā YS182v_3.68b	brAhmaNI SUdriNI taTA YS182u-_3.68b
   brāhmaṇena prayatnataḥ YS99v_68b	brAhmaNena prayatnataH YS99u-_68b
   brāhmaṇena vipaścitā YSS_2.77d	brAhmaNena vipaScitA YSH-_2.77d
   brāhmaṇo brāhmaṇena hi YS182v_3.46b	brAhmaNaH brAhmaNena hi YS182u-_3.46b
   brāhmaṇo madamohitaḥ YS182v_3.13b	brAhmaNaH mada-mohitaH YS182u-_3.13b
   brāhmaṇo madamohitaḥ YS182v_3.19b	brAhmaNaH mada-mohitaH YS182u-_3.19b
   brāhmaṇo madamohitaḥ YS78v_24b	brAhmaNaH mada-mohitaH YS78u-_24b
   brāhmaṇo rājasevayā YS182v_4.60d	brAhmaNaH rAja-sevayA YS182u-_4.60d
   brāhmaṇo vā bahuśrutaḥ YS99v_56b	brAhmaNaH vA bahu-SrutaH YS99u-_56b
   brāhmaṇo vai pramādataḥ YS182v_3.54b	brAhmaNaH vE pramAdataH YS182u-_3.54b
   brāhmaṇyaṃ hi vilupyate YS182v_4.59d	brAhmaNyam hi vilupyate YS182u-_4.59d
   brāhmaṇyāṃ śūdrataś ca yaḥ YSS_1.36b	brAhmaNyAm SUdrataH ca yaH YSH-_1.36b
   brāhmī dānena śudhyati YS182v_3.68d	brAhmI dAnena SuDyati YS182u-_3.68d
   bhaktapradātā pratimucyate tu YSS_1.43d	Bakta-pradAtA pratimucyate tu YSH-_1.43d
   bhakṣaṇe patitaḥ smṛtaḥ YSS_2.53d	BakzaNe patitaH smRtaH YSH-_2.53d
   bhakṣayitvā tu tad grāsam YS99v_8a	BakzayitvA tu tat grAsam YS99u-_8a
   bhagacihnaṃ madyacihnaṃ YSS_2.11a	Baga-cihnam madya-cihnam YSH-_2.11a
   bhaginīṃ mātur eva ca YS182v_3.4b	BaginIm mAtuH eva ca YS182u-_3.4b
   bhartuḥ śarīraṃ śuśrūṣāṃ YS99v_18a	BartuH SarIram SuSrUzAm YS99u-_18a
   bhavaty eva na saṃśayaḥ YS182v_5.15b	Bavati eva na saMSayaH YS182u-_5.15b
   bhavanti ṛṇabhāginaḥ YS182v_3.38d	Bavanti RNa-BAginaH YS182u-_3.38d
   bhavanti vratacāriṣu YSS_2.60d	Bavanti vrata-cArizu YSH-_2.60d
   bhavanty uttaravādinaḥ YS182v_5.26b	Bavanti uttara-vAdinaH YS182u-_5.26b
   bhaved vai pāpinaḥ kila YS182v_4.28b	Bavet vE pApinaH kila YS182u-_4.28b
   bhaveyuḥ te vigarhitāḥ YSS_1.17d	BaveyuH te vigarhitAH YSH-_1.17d
   bhasmanāpi ca liptāṅgaṃ YSS_2.24a	BasmanA-api ca lipta-aFgam YSH-_2.24a
   bhāṇḍasthaṃ dharaṇīsthaṃ vā YSS_1.4c	BANxa-sTam DaraNI-sTam vA YSH-_1.4c
   bhāṇḍasthaṃ dharaṇīsthaṃ vā YS99v_97c	BANxa-sTam DaraNI-sTam vA YS99u-_97c
   bhāṇḍe tāmramaye tathā YS99v_74b	BANxe tAmra-maye taTA YS99u-_74b
   bhāryā sutā gotraruhā snuṣā vā YSS_1.48a	BAryA sutA gotraruhA snuzA vA YSH-_1.48a
   bhāṣaṇāt piśunair naraiḥ YSS_2.28d	BAzaNAt piSunEH narEH YSH-_2.28d
   bhāṣā pravṛttā na khalu pramāṇam YSS_1.39c	BAzA pravRttAH na Kalu pramANam YSS_1.39c
   bhittvā gṛhāṃs tu hṛtvā svaṃ YSS_2.22a	BittvA gRhAn tu hRtvA svam YSH-_2.22a
   bhuktvā gatvā ca yoṣitam YS99v_28b	BuktvA gatvA ca yozitam YS99u-_28b
   bhuktvā caiṣāṃ striyo gatvā YS99v_34a	BuktvA ca-ezAm striyaH gatvA YS99u-_34a
   bhuktvā pūrvaṃ tu tadgṛhe YSS_2.51d	BuktvA pUrvam tu tad-gRhe YSH-_2.51d
   bhuktvā vā mehane kṛte YS99v_6b	BuktvA vA mehane kRte YS99u-_6b
   bhuktvocchiṣṭaḥ ṣaḍ ācaret YS99v_10d	BuktvA-ucCizwaH zaw Acaret YS99u-_10d
   bhuñjānasya tu viprasya YS99v_4a	BuQjAnasya tu viprasya YS99u-_4a
   bhuñjānaḥ prāpnuyāt grāsaṃ YSS_2.33c	BuQjAnaH prApnuyAt grAsam YSH-_2.33c
   bhuñjāno yasya pakvānnaṃ YSS_2.48a	BuQjAnaH yasya pakva-annam YSH-_2.48a
   bhuñjāno vṛṣalāśanaṃ YSS_2.9b	BuQjAnaH vRzala-aSanam YSH-_2.9b
   bhuñjāno vṛṣalīpateḥ YSS_2.50b	BuQjAnaH vRzalI-pateH YSH-_2.50b
   bhūdevā nātra saṃśayaḥ YS182v_4.54b	BUdevAH na-atra saMSayaH YS182u-_4.54b
   bhūmau nidhāya tad grāsaṃ YS99v_7c	BUmO niDAya tat grAsam YS99u-_7c
   bhṛtako vedavikrayī YS182v_3.37d	BRtakaH veda-vikrayI YS182u-_3.37d
   bhṛtako vedavikrayī YS78v_33b	BRtakaH veda-vikrayI YS78u-_33b
   bheṣajānāṃ ca bhakṣaṇe YS99v_51b	BezajAnAm ca BakzaNe YS99u-_51b
   bhoktā ca viṣamopame YSS_2.46d	BoktA ca vizama-upame YSH-_2.46d
   bhoktā naṣṭakriyas tasya YSS_2.12c	BoktA nazwa-kriyaH tasya YSH-_2.12c
   bhojayitvā dvijottamān YS99v_63b	BojayitvA dvijottamAn YS99u-_63b
   bhojayet tulyapaṅktau tu YSS_2.27c	Bojayet tulya-paFktO tu YSH-_2.27c
   bhraṃśadaṇḍam prakalpayet YSS_2.73d	BraMSa-daNxam prakalpayet YSH-_2.73d
   bhrātaraś ca pṛthak kuryur YS182v_5.16a	BrAtaraH ca pRTak kuryuH YS182u-_5.16a
   bhrātā suto dāsabhṛto jano vā YSS_1.48b	BrAtA sutaH dAsa-BRtaH janaH vA YSH-_1.48b
   bhrātuḥ putro mitraputraḥ YS182v_5.18c	BrAtuH putraH mitra-putraH YS182u-_5.18c
   bhrūṇahatyā pitus tasyāḥ YS182v_3.18c	BrUNahatyA pituH tasyAH YS182u-_3.18c
   makṣikādyupaghātitaḥ YSS_1.11b	makzikA-Adi-upaGAtitaH YSH-_1.11b
   makṣikābhiś ca pātitaiḥ YS99v_62b	makzikABiH ca pAtitEH YS99u-_62b
   makṣikāśvopaghātitaḥ YS78v_6b	makzikA-aSva-upa-GAtitaH YS78u-_6b
   makṣikaiś copaghātitam YS182v_1.7b	makzikEH ca-upaGAtitam YS182u-_1.7b
   matsyānāṃ āpnuyāc chataṃ YSS_2.52d	matsyAnAm ApnuyAt Satam YSH-_2.52d
   madyagomāṃsabhaksaṇe YS99v_30b	madya-go-mAMsa-BaksaNe YS99u-_30b
   madyādīnāṃ tv abhakṣyāṇāṃ YSS_2.52a	madya-AdInAm tu aBakzyANAm YSH-_2.52a
   madhyamaṃ daṇḍam āpnoti YSS_2.59c	maDyamam daNxam Apnoti YSH-_2.59c
   madhyāhne ca tathā raudrīṃ YS182v_4.50c	maDyAhne ca taTA rOdrIm YS182u-_4.50c
   madhye ca vṛṣalīpatim YS182v_3.16b	maDye ca vRzalI-patim YS182u-_3.16b
   madhye tu vṛṣalīpatim YS78v_35b	maDye tu vRzalI-patim YS78u-_35b
   mantrī sahāyas sahavāsyavadhyaḥ YSS_1.42c	mantrI sahAyaH saha-vAsya-vaDyaH YSH-_1.42c
   mayā ca sūtakaṃ bhavet YS182v_4.20d	mayA ca sUtakam Bavet YS182u-_4.20d
   mayā proktam idaṃ śāstraṃ YS78v_78c	mayA proktam idam SAstram YS78u-_78c
   mayūrahaṃsabhāsāñ ca YSS_2.6a	mayUra-haMsa-BAsAn ca YSH-_2.6a
   marīcaṃ khaṇḍapāṣāṇaiḥ YSS_2.38a	marIcam KaNxapAzANEH YSH-_2.38a
   mallaś cāntyāvasāyinaḥ YSS_1.32d	mallaH ca-antyAvasAyinaH YSH-_1.32d
   maha[hā]rghaṃ yaḥ prayacchati YS182v_3.23b	maha[hA]rGam yaH prayacCati YS182u-_3.23b
   mahāpātakakartāraś YSS_1.25a	mahApAtaka-kartAraH YSH-_1.25a
   mahāpātakakartāraś YS99v_31a	mahApAtaka-kartAraH YS99u-_31a
   mahāpātakanāśanam YS99v_72b	mahApAtaka-nASanam YS99u-_72b
   mahāpātakasaṃyuktāḥ YSS_1.2a	mahApAtaka-saMyuktAH YSH-_1.2a
   mahāmṛgaṃ pakṣimṛgaṃ paśuṃ vā YSS_1.50a	mahAmRgam pakzi-mRgam paSum vA YSH-_1.50a
   mahārghaṃ yah prayacchati YS78v_37b	mahArGam yam prayacCati YS78u-_37b
   mahiṣīty ucyate bhāryā YS182v_3.17a	mahizi-iti ucyate BAryA YS182u-_3.17a
   mahiṣīty ucyate bhāryā YS78v_36a	mahizi-iti ucyate BAryA YS78u-_36a
   māghamāse tu pauruṣam YSS_1.26b	mAGa-mAse tu pOruzam YSH-_1.26b
   mātaraṃ gurupatnīṃ ca YSS_1.29a	mAtaram guru-patnIm ca YSH-_1.29a
