   BhP_06.01.001/0 śrīparīkṣiduvāca	Bhu-_06.01.001/0 SrIparIkzit-uvAca
   BhP_06.02.006/1 sa kathaṃ nyarpitātmānaṃ kṛtamaitramacetanam	Bhu-_06.02.006/1 sa kaTam nyarpita-AtmAnam kRta-mEtram-acetanam
   BhP_06.02.006/2 visrambhaṇīyo bhūtānāṃ saghṛṇo dogdhumarhati	Bhu-_06.02.006/2 visramBaNIyaH BUtAnAm sa-GRNaH dogDum-arhati
   BhP_06.02.007/1 ayaṃ hi kṛtanirveśo janmakoṭyaṃhasāmapi	Bhu-_06.02.007/1 ayam hi kRta-nirveSaH janma-kowI-aMhasAm-api
   BhP_06.02.007/2 yadvyājahāra vivaśo nāma svastyayanaṃ hareḥ	Bhu-_06.02.007/2 yat-vyAjahAra vivaSaH nAma svastyayanam hareH
   BhP_06.02.008/1 etenaiva hy aghono 'sya kṛtaṃ syādaghaniṣkṛtam	Bhu-_06.02.008/1 etena-eva hi aGonaH asya kRtam syAt-aGa-nizkRtam
   BhP_06.02.008/2 yadā nārāyaṇāyeti jagāda caturakṣaram	Bhu-_06.02.008/2 yadA nArAyaNAya-iti jagAda catur-akzaram
   BhP_06.02.009/1 stenaḥ surāpo mitradhrug brahmahā gurutalpagaḥ	Bhu-_06.02.009/1 stenaH surApaH mitra-Druj brahma-hA guru-talpa-gaH
   BhP_06.02.009/2 strīrājapitṛgohantā ye ca pātakino 'pare	Bhu-_06.02.009/2 strI-rAja-pitR-gohantA ye ca pAtakinaH apare
   BhP_06.02.010/1 sarveṣāmapy aghavatāmidameva suniṣkṛtam	Bhu-_06.02.010/1 sarvezAm-api aGavatAm-idam-eva su-nizkRtam
   BhP_06.02.010/2 nāmavyāharaṇaṃ viṣṇoryatastadviṣayā matiḥ	Bhu-_06.02.010/2 nAma-vyAharaNam vizNoH-yatas-tad-vizayA matiH
   BhP_06.02.011/1 na niṣkṛtairuditairbrahmavādibhis tathā viśuddhyaty	Bhu-_06.02.011/1 na nizkRtEH-uditEH-brahma-vAdiBiH taTA viSudDi-ati-
   aghavān vratādibhiḥ	aGavAn vrata-AdiBiH
   BhP_06.02.011/2 yathā harernāmapadairudāhṛtais	Bhu-_06.02.011/2 yaTA hareH-nAma-padEH-udAhRtEH-
   taduttamaślokaguṇopalambhakam	tad-uttamaSloka-guNa-upalamBakam
   BhP_06.02.012/1 naikāntikaṃ taddhi kṛte 'pi niṣkṛte manaḥ punardhāvati	Bhu-_06.02.012/1 na-EkAntikam tat-hi kRte api nizkRte manaH punar-DAvati
   cedasatpathe	ced-asat-paTe
   BhP_06.02.012/2 tat karmanirhāramabhīpsatāṃ harer guṇānuvādaḥ khalu	Bhu-_06.02.012/2 tat karma-nirhAram-aBIpsatAm hareH guNa-anuvAdaH Kalu
   sattvabhāvanaḥ	sattva-BAvanaH
   BhP_06.02.013/1 athainaṃ māpanayata kṛtāśeṣāghaniṣkṛtam	Bhu-_06.02.013/1 aTa-enam mA-apanayata kRta-aSeza-aGa-nizkRtam
   BhP_06.02.013/2 yadasau bhagavannāma mriyamāṇaḥ samagrahīt	Bhu-_06.02.013/2 yat-asO Bagavat-nAma mriyamANaH samagrahIt-
   BhP_06.02.014/1 sāṅketyaṃ pārihāsyaṃ vā stobhaṃ helanameva vā	Bhu-_06.02.014/1 sAFketyam pArihAsyam vA stoBam helanam-eva vA
   BhP_06.02.014/2 vaikuṇṭhanāmagrahaṇamaśeṣāghaharaṃ viduḥ	Bhu-_06.02.014/2 vEkuNWa-nAma-grahaNam-aSeza-aGa-haram viduH
   BhP_06.02.015/1 patitaḥ skhalito bhagnaḥ sandaṣṭastapta āhataḥ	Bhu-_06.02.015/1 patitaH sKalitaH BagnaH sandazwaH-tapte AhataH
   BhP_06.02.015/2 haririty avaśenāha pumān nārhati yātanāḥ	Bhu-_06.02.015/2 hariH-iti avaSena-Aha pumAn na-arhati yAtanAH
   BhP_06.02.016/1 gurūṇāṃ ca laghūnāṃ ca gurūṇi ca laghūni ca	Bhu-_06.02.016/1 gurUNAm ca laGUnAm ca gurUNi ca laGUni ca
   BhP_06.02.016/2 prāyaścittāni pāpānāṃ jñātvoktāni maharṣibhiḥ	Bhu-_06.02.016/2 prAyaScittAni pApAnAm jQAtvA-uktAni mahA-RziBiH
   BhP_06.02.017/1 taistāny aghāni pūyante tapodānavratādibhiḥ	Bhu-_06.02.017/1 tEH-tAni aGAni pUyante tapaH-dAna-vrata-AdiBiH
   BhP_06.02.017/2 nādharmajaṃ taddhṛdayaṃ tadapīśāṅghrisevayā	Bhu-_06.02.017/2 na-aDarma-jam tat-hRdayam tad-api-ISa-aFGri-sevayA
   BhP_06.02.018/1 ajñānādathavā jñānāduttamaślokanāma yat	Bhu-_06.02.018/1 ajQAnAt-aTavA jQAnAt-uttamaSloka-nAma yat-
   BhP_06.02.018/2 saṅkīrtitamaghaṃ puṃso dahededho yathānalaḥ	Bhu-_06.02.018/2 saFkIrtitam-aGam puMsaH dahedeDaH yaTA-analaH
   BhP_06.02.019/1 yathāgadaṃ vīryatamamupayuktaṃ yadṛcchayā	Bhu-_06.02.019/1 yaTAgadam vIryatamam-upayuktam yadRcCayA
   BhP_06.02.019/2 ajānato 'py ātmaguṇaṃ kuryān mantro 'py udāhṛtaḥ	Bhu-_06.02.019/2 ajAnataH api Atma-guNam kuryAt mantraH api udAhRtaH
   BhP_06.02.020/0 śrīśuka uvāca	BhP_06.02.020/0 SrI-SukaH uvAca
   BhP_06.02.020/1 ta evaṃ suvinirṇīya dharmaṃ bhāgavataṃ nṛpa	Bhu-_06.02.020/1 te evam su-vinirNIya Darmam BAgavatam nRpa
   BhP_06.02.020/2 taṃ yāmyapāśān nirmucya vipraṃ mṛtyoramūmucan	Bhu-_06.02.020/2 tam yAmya-pASAt nirmucya vipram mRtyoH-amU-mucan
   BhP_06.02.021/1 iti pratyuditā yāmyā dūtā yātvā yamāntikam	BhP_06.02.021/1 iti pratyuditA yAmyA dUtAH yAtvA yama-antikam
   BhP_06.02.021/2 yamarājñe yathā sarvamācacakṣurarindama	Bhu-_06.02.021/2 yama-rAjQe yaTA sarvam-AcacakzuH-arindama
   BhP_06.02.022/1 dvijaḥ pāśādvinirmukto gatabhīḥ prakṛtiṃ gataḥ	Bhu-_06.02.022/1 dvijaH pASAt-vi-nirmuktaH gataBIH prakRtim gataH
   BhP_06.02.022/2 vavande śirasā viṣṇoḥ kiṅkarān darśanotsavaḥ	Bhu-_06.02.022/2 vavande SirasA vizNoH kiFkarAn darSana-utsavaH
   BhP_06.02.023/1 taṃ vivakṣumabhipretya mahāpuruṣakiṅkarāḥ	Bhu-_06.02.023/1 tam vivakzum-aBipretya mahApuruza-kiFkarAH
   BhP_06.02.023/2 sahasā paśyatastasya tatrāntardadhire 'nagha	Bhu-_06.02.023/2 sahasA paSyataH-tasya tatra-antardaDire anaGa
   BhP_06.02.024/1 ajāmilo 'py athākarṇya dūtānāṃ yamakṛṣṇayoḥ	Bhu-_06.02.024/1 ajAmilaH api aTa-AkarNya dUtAnAm yama-kRzNayoH
   BhP_06.02.024/2 dharmaṃ bhāgavataṃ śuddhaṃ traivedyaṃ ca guṇāśrayam	Bhu-_06.02.024/2 Darmam BAgavatam SudDam trEvedyam ca guNa-ASrayam
   BhP_06.02.025/1 bhaktimān bhagavaty āśu māhātmyaśravaṇāddhareḥ	Bhu-_06.02.025/1 BaktimAn Bagavati ASu mAhAtmya-SravaNAt-hareH
   BhP_06.02.025/2 anutāpo mahān āsīt smarato 'śubhamātmanaḥ	Bhu-_06.02.025/2 anutApaH mahAn AsIt smarataH aSuBam-AtmanaH
   BhP_06.02.026/1 aho me paramaṃ kaṣṭamabhūdavijitātmanaḥ	Bhu-_06.02.026/1 aho me paramam kazwam-aBUt-avijita-AtmanaH
   BhP_06.02.026/2 yena viplāvitaṃ brahma vṛṣalyāṃ jāyatātmanā	Bhu-_06.02.026/2 yena viplAvitam brahma vRzalyAm jAyata-AtmanA
   BhP_06.02.027/1 dhiṅ māṃ vigarhitaṃ sadbhirduṣkṛtaṃ kulakajjalam	Bhu-_06.02.027/1 Dik mAm vigarhitam sadBiH-duzkRtam kula-kajjalam
   BhP_06.02.027/2 hitvā bālāṃ satīṃ yo 'haṃ surāpīmasatīmagām	Bhu-_06.02.027/2 hitvA bAlAm satIm yaH aham surApImasati-imagAm
   BhP_06.02.028/1 vṛddhāvanāthau pitarau nānyabandhū tapasvinau	Bhu-_06.02.028/1 vRdDO=-anATO pitarO na-anya-banDU tapasvinO
   BhP_06.02.028/2 aho mayādhunā tyaktāvakṛtajñena nīcavat	Bhu-_06.02.028/2 aho mayA-aDunA tyakta-avakRta-jQena nIca-vat-
   BhP_06.02.029/1 so 'haṃ vyaktaṃ patiṣyāmi narake bhṛśadāruṇe	Bhu-_06.02.029/1 saH aham vyaktam patizyAmi narake BRSa-dAruNe
   BhP_06.02.029/2 dharmaghnāḥ kāmino yatra vindanti yamayātanāḥ	Bhu-_06.02.029/2 Darma-GnAH kAminaH yatra vindanti yama-yAtanAH
   BhP_06.02.030/1 kimidaṃ svapna āho svit sākṣāddṛṣṭamihādbhutam	Bhu-_06.02.030/1 kim-idam svapnaH Aho svid sAkzAt-dRzwam-iha-adButam
   BhP_06.02.030/2 kva yātā adya te ye māṃ vyakarṣan pāśapāṇayaḥ	Bhu-_06.02.030/2 kva yAtAH adya te ye mAm vyakarzan pASa-pANayaH
   BhP_06.02.031/1 atha te kva gatāḥ siddhāścatvāraścārudarśanāḥ	Bhu-_06.02.031/1 aTa te kva gatAH sidDAH-catvAraH-cAru-darSanAH
   BhP_06.02.031/2 vyāmocayan nīyamānaṃ baddhvā pāśairadho bhuvaḥ	Bhu-_06.02.031/2 vyAmocayan nIyamAnam badDvA pASEH-aDas BuvaH
   BhP_06.02.032/1 athāpi me durbhagasya vibudhottamadarśane	Bhu-_06.02.032/1 aTa-api me durBagasya vibuDa-uttama-darSane
   BhP_06.02.032/2 bhavitavyaṃ maṅgalena yenātmā me prasīdati	Bhu-_06.02.032/2 Bavitavyam maFgalena yena-AtmA me prasIdati
   BhP_06.02.033/1 anyathā mriyamāṇasya nāśucervṛṣalīpateḥ	Bhu-_06.02.033/1 anyaTA mriyamANasya na-aSuceH-vRzalI-pateH
   BhP_06.02.033/2 vaikuṇṭhanāmagrahaṇaṃ jihvā vaktumihārhati	Bhu-_06.02.033/2 vEkuNWa-nAm-agrahaNam jihvA vaktum-iha-arhati
   BhP_06.02.034/1 kva cāhaṃ kitavaḥ pāpo brahmaghno nirapatrapaḥ	Bhu-_06.02.034/1 kva ca-aham kitavaH pApaH brahma-GnaH nirapatrapaH
   BhP_06.02.034/2 kva ca nārāyaṇety etadbhagavannāma maṅgalam	BhP_06.02.034/2 kva ca nArAyaNa-iti etat-Bagavat-nAma maFgalam
   BhP_06.02.035/1 so 'haṃ tathā yatiṣyāmi yatacittendriyānilaḥ	Bhu-_06.02.035/1 saH aham taTA yatizyAmi yata-citta-indriya-anilaH
   BhP_06.02.035/2 yathā na bhūya ātmānamandhe tamasi majjaye	Bhu-_06.02.035/2 yaTA na BUyas AtmAnam-anDe tamasi majjaye
   BhP_06.02.036/1 vimucya tamimaṃ bandhamavidyākāmakarmajam	Bhu-_06.02.036/1 vimucya tam-imam banDam-avidyA-kAma-karma-jam
   BhP_06.02.036/2 sarvabhūtasuhṛc chānto maitraḥ karuṇa ātmavān	Bhu-_06.02.036/2 sarva-BUta-suhRd SAntaH mEtraH karuNaH AtmavAn
   BhP_06.02.037/1 mocaye grastamātmānaṃ yoṣinmayyātmamāyayā	Bhu-_06.02.037/1 mocaye grastam-AtmAnam yozit-mayI-Atma-mAyayA
   BhP_06.02.037/2 vikrīḍito yayaivāhaṃ krīḍāmṛga ivādhamaḥ	Bhu-_06.02.037/2 vikrIxitaH yayA-eva-aham krIxA-mRgaH iva-aDamaH
   BhP_06.02.038/1 mamāhamiti dehādau hitvāmithyārthadhīrmatim	Bhu-_06.02.038/1 mama-aham-iti deha-AdO hitvA-AmiTyA-arTa-DIH-matim
   BhP_06.02.038/2 dhāsye mano bhagavati śuddhaṃ tatkīrtanādibhiḥ	Bhu-_06.02.038/2 DAsye manaH Bagavati SudDam tad-kIrtana-AdiBiH
   BhP_06.02.039/0 śrīśuka uvāca	BhP_06.02.039/0 SrI-SukaH uvAca
   BhP_06.02.039/1 iti jātasunirvedaḥ kṣaṇasaṅgena sādhuṣu	Bhu-_06.02.039/1 iti jAta-su-nirvedaH kzaNa-saFgena sADuzu
   BhP_06.02.039/2 gaṅgādvāramupeyāya muktasarvānubandhanaḥ	BhP_06.02.039/2 gaFgAdvAram-upeyAya mukta-sarva-anubanDanaH
   BhP_06.02.040/1 sa tasmin devasadana āsīno yogamāsthitaḥ	Bhu-_06.02.040/1 sa tasmin deva-sadanaH AsInaH yogam-AsTitaH
   BhP_06.02.040/2 pratyāhṛtendriyagrāmo yuyoja mana ātmani	Bhu-_06.02.040/2 pratyAhRta-indriya-grAmaH yuyoja manaH Atmani
   BhP_06.02.041/1 tato guṇebhya ātmānaṃ viyujyātmasamādhinā	Bhu-_06.02.041/1 tatas guNeByaH AtmAnam viyujya-Atma-samADinA
   BhP_06.02.041/2 yuyuje bhagavaddhāmni brahmaṇy anubhavātmani	Bhu-_06.02.041/2 yuyuje Bagavat-DAmni brahmaNi anuBava-Atmani
   BhP_06.02.042/1 yarhy upāratadhīstasminnadrākṣīt puruṣān puraḥ	Bhu-_06.02.042/1 yarhi upArata-DIH-tasmin=-adrAkzIt puruzAn puras-
   BhP_06.02.042/2 upalabhyopalabdhān prāg vavande śirasā dvijaḥ	Bhu-_06.02.042/2 upalaBya-upalabDAn prAk vavande SirasA dvijaH
   BhP_06.02.043/1 hitvā kalevaraṃ tīrthe gaṅgāyāṃ darśanādanu	Bhu-_06.02.043/1 hitvA kalevaram tIrTe gaFgAyAm darSanAt-anu
   BhP_06.02.043/2 sadyaḥ svarūpaṃ jagṛhe bhagavatpārśvavartinām	Bhu-_06.02.043/2 sadyas svarUpam jagRhe Bagavat-pArSva-vartinAm
   BhP_06.02.044/1 sākaṃ vihāyasā vipro mahāpuruṣakiṅkaraiḥ	Bhu-_06.02.044/1 sAkam vihAyasA vipraH mahApuruza-kiFkarEH
   BhP_06.02.044/2 haimaṃ vimānamāruhya yayau yatra śriyaḥ patiḥ	Bhu-_06.02.044/2 hEmam vimAnam-Aruhya yayO yatra SriyaH patiH
   BhP_06.02.045/1 evaṃ sa viplāvitasarvadharmā dāsyāḥ patiḥ patito	Bhu-_06.02.045/1 evam sa viplAvita-sarva-DarmAH dAsyAH patiH patitaH-
   garhyakarmaṇā	garhya-karmaNA
   BhP_06.02.045/2 nipātyamāno niraye hatavrataḥ sadyo vimukto bhagavannāma	Bhu-_06.02.045/2 nipAtyamAnaH niraye hata-vrataH sadyas vimuktaH Bagavat-nAma
   gṛhṇan	gRhNan
   BhP_06.02.046/1 nātaḥ paraṃ karmanibandhakṛntanaṃ mumukṣatāṃ	Bhu-_06.02.046/1 na-atas param karma-nibanDa-kRntanam mumukzatAm
   tīrthapadānukīrtanāt	tIrTa-pada-anukIrtanAt-
   BhP_06.02.046/2 na yat punaḥ karmasu sajjate mano rajastamobhyāṃ kalilaṃ	Bhu-_06.02.046/2 na yat punar karmasu sajjate manaH rajaH-tamoByAm kalilam
   tato 'nyathā	tatas anyaTA
   BhP_06.02.047/1 ya etaṃ paramaṃ guhyamitihāsamaghāpaham	Bhu-_06.02.047/1 yaH etam paramam guhyam-itihAsam-aGa-apaham
   BhP_06.02.047/2 śṛṇuyāc chraddhayā yukto yaśca bhaktyānukīrtayet	BhP_06.02.047/2 SRNuyAt SradDayA yuktaH yaH-ca BaktyA-anukIrtayet
   BhP_06.02.048/1 na vai sa narakaṃ yāti nekṣito yamakiṅkaraiḥ	Bhu-_06.02.048/1 na vE sa narakam yAti na-IkzitaH yama-kiFkarEH
   BhP_06.02.048/2 yady apy amaṅgalo martyo viṣṇuloke mahīyate	Bhu-_06.02.048/2 yadi api amaFgalaH martyaH vizNu-loke mahIyate
   BhP_06.02.049/1 mriyamāṇo harernāma gṛṇan putropacāritam	BhP_06.02.049/1 mriyamANaH hareH-nAma gRNan putra-upacAritam
   BhP_06.02.049/2 ajāmilo 'py agāddhāma kimuta śraddhayā gṛṇan	Bhu-_06.02.049/2 ajAmilaH api agAt-DAma kim-uta SradDayA gRNan
   BhP_06.03.001/0 śrīrājovāca	BhP_06.03.001/0 SrI-rAjA-uvAca
   BhP_06.03.001/1 niśamya devaḥ svabhaṭopavarṇitaṃ pratyāha kiṃ tān api	Bhu-_06.03.001/1 niSamya devaH sva-Bawa-upavarNitam pratyAha kim tAn api
   dharmarājaḥ	DarmarAjaH
   BhP_06.03.001/2 evaṃ hatājño vihatān murārer naideśikairyasya vaśe jano	Bhu-_06.03.001/2 evam hata-ajQaH vihatAn murAreH nEdeSikEH-yasya vaSe jano
   'yam	ayam
   BhP_06.03.002/1 yamasya devasya na daṇḍabhaṅgaḥ kutaścanarṣe śrutapūrva	Bhu-_06.03.002/1 yamasya devasya na daNxa-BaFgaH kutas-cana-Rze Sruta-pUrva
   āsīt	AsIt-
   BhP_06.03.002/2 etan mune vṛścati lokasaṃśayaṃ na hi tvadanya iti me	Bhu-_06.03.002/2 etat mune vRScati loka-saMSayam na hi tvad-anyaH iti me
   viniścitam	viniScitam
   BhP_06.03.003/0 śrīśuka uvāca	BhP_06.03.003/0 SrI-SukaH uvAca
   BhP_06.03.003/1 bhagavatpuruṣai rājan yāmyāḥ pratihatodyamāḥ	Bhu-_06.03.003/1 Bagavat-puruzEH rAjan yAmyAH pratihata-udyamAH
   BhP_06.03.003/2 patiṃ vijñāpayāmāsuryamaṃ saṃyamanīpatim	Bhu-_06.03.003/2 patim vijQApayAmAsuH-yamam saMyamanIpatim
   BhP_06.03.004/0 yamadūtā ūcuḥ	Bhu-_06.03.004/0 yama-dUtAH UcuH
   BhP_06.03.004/1 kati santīha śāstāro jīvalokasya vai prabho	Bhu-_06.03.004/1 kati santi-iha SAstAraH jIva-lokasya vE praBo
   BhP_06.03.004/2 traividhyaṃ kurvataḥ karma phalābhivyaktihetavaḥ	Bhu-_06.03.004/2 trEviDyam kurvataH karma Pala-aBivyakti-hetavaH
   BhP_06.03.005/1 yadi syurbahavo loke śāstāro daṇḍadhāriṇaḥ	Bhu-_06.03.005/1 yadi syuH-bahavaH loke SAstAraH daNxa-DAriNaH
   BhP_06.03.005/2 kasya syātāṃ na vā kasya mṛtyuścāmṛtameva vā	Bhu-_06.03.005/2 kasya syAtAm na vA kasya mRtyuH-ca-amRtam-eva vA
   BhP_06.03.006/1 kintu śāstṛbahutve syādbahūnāmiha karmiṇām	Bhu-_06.03.006/1 kintu SAstR-bahutve syAt-bahUnAm-iha karmiNAm
   BhP_06.03.006/2 śāstṛtvamupacāro hi yathā maṇḍalavartinām	Bhu-_06.03.006/2 SAstR-tvam-upacAraH hi yaTA maNxala-vartinAm
   BhP_06.03.007/1 atastvameko bhūtānāṃ seśvarāṇāmadhīśvaraḥ	Bhu-_06.03.007/1 atas-tvam-ekaH BUtAnAm sa-ISvarANAm-aDISvaraH
   BhP_06.03.007/2 śāstā daṇḍadharo nṝṇāṃ śubhāśubhavivecanaḥ	Bhu-_06.03.007/2 SAstA daNxa-DaraH nLNAm SuBa-aSuBa-vivecanaH
   BhP_06.03.008/1 tasya te vihito daṇḍo na loke vartate 'dhunā	Bhu-_06.03.008/1 tasya te vihitaH daNxaH na loke vartate aDunA
   BhP_06.03.008/2 caturbhiradbhutaiḥ siddhairājñā te vipralambhitā	Bhu-_06.03.008/2 caturBiH-adButEH sidDEH-AjQA te vipralamBitA
   BhP_06.03.009/1 nīyamānaṃ tavādeśādasmābhiryātanāgṛhān	Bhu-_06.03.009/1 nIyamAnam tava-AdeSAt-asmABiH-yAtanA-gRhAn
   BhP_06.03.009/2 vyāmocayan pātakinaṃ chittvā pāśān prasahya te	Bhu-_06.03.009/2 vyAmocayan pAtakinam CittvA pASAn prasahya te
   BhP_06.03.010/1 tāṃste veditumicchāmo yadi no manyase kṣamam	Bhu-_06.03.010/1 tAn=-te veditum-icCAmaH yadi naH manyase kzamam
   BhP_06.03.010/2 nārāyaṇety abhihite mā bhairity āyayurdrutam	Bhu-_06.03.010/2 nArAyaNa-iti aBihite mA BEH-iti AyayuH-drutam
   BhP_06.03.011/0 śrībādarāyaṇiruvāca	Bhu-_06.03.011/0 SrI-bAdarAyaNiH-uvAca
   BhP_06.03.011/1 iti devaḥ sa āpṛṣṭaḥ prajāsaṃyamano yamaḥ	Bhu-_06.03.011/1 iti devaH saH ApRzwaH prajA-saMyamanaH yamaH
   BhP_06.03.011/2 prītaḥ svadūtān pratyāha smaran pādāmbujaṃ hareḥ	Bhu-_06.03.011/2 prItaH sva-dUtAn pratyAha smaran pAda-ambujam hareH
   BhP_06.03.012/0 yama uvāca	Bhu-_06.03.012/0 yamaH uvAca
   BhP_06.03.012/1 paro madanyo jagatastasthuṣaśca otaṃ protaṃ paṭavadyatra	Bhu-_06.03.012/1 paraH mad-anyaH jagataH-tasTuzaH-ca otam protam pawa-vat-yatra
   viśvam	viSvam
   BhP_06.03.012/2 yadaṃśato 'sya sthitijanmanāśā nasy otavadyasya vaśe ca	Bhu-_06.03.012/2 yat-aMSataH asya sTiti-janma-nASA nasi otavat-yasya vaSe ca
   lokaḥ	lokaH
   BhP_06.03.013/1 yo nāmabhirvāci janaṃ nijāyāṃ badhnāti tantryāmiva	Bhu-_06.03.013/1 yaH nAmaBiH-vAci janam nijAyAm baDnAti tantryAm-iva
   dāmabhirgāḥ	dAmaBiH-gAH
   BhP_06.03.013/2 yasmai baliṃ ta ime nāmakarma nibandhabaddhāścakitā	Bhu-_06.03.013/2 yasmE balim te ime nAma-karma nibanDa-badDAH-cakitA
   vahanti	vahanti
   BhP_06.03.014/1 ahaṃ mahendro nirṛtiḥ pracetāḥ somo 'gnirīśaḥ pavano	Bhu-_06.03.014/1 aham mahA-indraH nirRtiH pracetAH somaH agniH-ISaH pavanaH-
   viriñciḥ	viriQciH
   BhP_06.03.014/2 ādityaviśve vasavo 'tha sādhyā marudgaṇā rudragaṇāḥ	Bhu-_06.03.014/2 Aditya-viSve vasavaH aTa sADyAH marut-gaNAH rudra-gaNAH
   sasiddhāḥ	sa-sidDAH
   BhP_06.03.015/1 anye ca ye viśvasṛjo 'mareśā bhṛgvādayo	Bhu-_06.03.015/1 anye ca ye viSvasRjaH amara-ISA BRgu-AdayaH-
   'spṛṣṭarajastamaskāḥ	aspRzwa-rajaH-tamaskAH
   BhP_06.03.015/2 yasyehitaṃ na viduḥ spṛṣṭamāyāḥ sattvapradhānā api kiṃ	Bhu-_06.03.015/2 yasya-Ihitam na viduH spRzwa-mAyAH sattva-praDAnAH api kim
   tato 'nye	tatas anye
   BhP_06.03.016/1 yaṃ vai na gobhirmanasāsubhirvā hṛdā girā vāsubhṛto	Bhu-_06.03.016/1 yam vE na goBiH-manasA-asuBiH-vA hRdA girA vAsuBRtaH-
   vicakṣate	vicakzate
   BhP_06.03.016/2 ātmānamantarhṛdi santamātmanāṃ cakṣuryathaivākṛtayastataḥ	Bhu-_06.03.016/2 AtmAnam-antar-hRdi santam-AtmanAm cakzuH-yaTA-eva-AkRtayaH-tatas-
   param	param
   BhP_06.03.017/1 tasyātmatantrasya hareradhīśituḥ parasya	Bhu-_06.03.017/1 tasya-Atma-tantrasya hareH-aDISituH parasya
   māyādhipatermahātmanaḥ	mAyA-aDipateH-mahAtmanaH
   BhP_06.03.017/2 prāyeṇa dūtā iha vai manoharāś caranti	Bhu-_06.03.017/2 prAyeNa dUtAH iha vE manoharAH caranti
   tadrūpaguṇasvabhāvāḥ	tad-rUpa-guNa-svaBAvAH
   BhP_06.03.018/1 bhūtāni viṣṇoḥ surapūjitāni durdarśaliṅgāni mahādbhutāni	Bhu-_06.03.018/1 BUtAni vizNoH sura-pUjitAni durdarSa-liFgAni mahA-adButAni
   BhP_06.03.018/2 rakṣanti tadbhaktimataḥ parebhyo mattaśca martyān atha	Bhu-_06.03.018/2 rakzanti tad-BaktimataH pareByaH mattaH-ca martyAn aTa
   sarvataśca	sarvatas-ca
   BhP_06.03.019/1 dharmaṃ tu sākṣādbhagavatpraṇītaṃ na vai vidurṛṣayo nāpi	Bhu-_06.03.019/1 Darmam tu sAkzAt-Bagavat-praNItam na vE viduH-RzayaH na-api
   devāḥ	devAH
   BhP_06.03.019/2 na siddhamukhyā asurā manuṣyāḥ kuto nu	Bhu-_06.03.019/2 na sidDa-muKyAH asurAH manuzyAH kutas nu
   vidyādharacāraṇādayaḥ	vidyADara-cAraNa-AdayaH
   BhP_06.03.020/1 svayambhūrnāradaḥ śambhuḥ kumāraḥ kapilo manuḥ	Bhu-_06.03.020/1 svayamBUH-nAradaH SamBuH kumAraH kapilaH manuH
   BhP_06.03.020/2 prahlādo janako bhīṣmo balirvaiyāsakirvayam	BhP_06.03.020/2 prahlAdaH janakaH BIzmaH baliH-vEyAsakiH-vayam
   BhP_06.03.021/1 dvādaśaite vijānīmo dharmaṃ bhāgavataṃ bhaṭāḥ	Bhu-_06.03.021/1 dvAdaSA-ete vijAnImaH Darmam BAgavatam BawAH
   BhP_06.03.021/2 guhyaṃ viśuddhaṃ durbodhaṃ yaṃ jñātvāmṛtamaśnute	Bhu-_06.03.021/2 guhyam viSudDam durboDam yam jQAtvA-amRtam-aSnute
   BhP_06.03.022/1 etāvān eva loke 'smin puṃsāṃ dharmaḥ paraḥ smṛtaḥ	Bhu-_06.03.022/1 etAvAn eva loke asmin puMsAm DarmaH paraH smRtaH
   BhP_06.03.022/2 bhaktiyogo bhagavati tannāmagrahaṇādibhiḥ	Bhu-_06.03.022/2 Bakti-yogaH Bagavati tad-nAma-grahaNa-AdiBiH
   BhP_06.03.023/1 nāmoccāraṇamāhātmyaṃ hareḥ paśyata putrakāḥ	Bhu-_06.03.023/1 nAma-uccAraNa-mAhAtmyam hareH paSyata putrakAH
   BhP_06.03.023/2 ajāmilo 'pi yenaiva mṛtyupāśādamucyata	Bhu-_06.03.023/2 ajAmilaH api yena-eva mRtyu-pASAt-amucyata
   BhP_06.03.024/1 etāvatālamaghanirharaṇāya puṃsāṃ	Bhu-_06.03.024/1 etAvatA-alam-aGa-nirharaNAya puMsAm
   BhP_06.03.024/2 saṅkīrtanaṃ bhagavato guṇakarmanāmnām	Bhu-_06.03.024/2 saFkIrtanam BagavataH guNa-karma-nAmnAm
   BhP_06.03.024/3 vikruśya putramaghavān yadajāmilo 'pi	Bhu-_06.03.024/3 vikruSya putram-aGavAn yat-ajAmilaH api
   BhP_06.03.024/4 nārāyaṇeti mriyamāṇa iyāya muktim	Bhu-_06.03.024/4 nArAyaNa-iti mriyamANaH iyAya muktim
   BhP_06.03.025/1 prāyeṇa veda tadidaṃ na mahājano 'yaṃ	Bhu-_06.03.025/1 prAyeNa veda tat-idam na mahAjanaH ayam
   BhP_06.03.025/2 devyā vimohitamatirbata māyayālam	Bhu-_06.03.025/2 devyAH vimohitam-atiH-bata mAyayA-Alam
   BhP_06.03.025/3 trayyāṃ jaḍīkṛtamatirmadhupuṣpitāyāṃ	Bhu-_06.03.025/3 trayyAm jaxIkRta-matiH-maDu-puzpitAyAm
   BhP_06.03.025/4 vaitānike mahati karmaṇi yujyamānaḥ	Bhu-_06.03.025/4 vEtAnike mahati karmaNi yujyamAnaH
   BhP_06.03.026/1 evaṃ vimṛśya sudhiyo bhagavaty anante	Bhu-_06.03.026/1 evam vimRSya suDiyaH Bagavati anante
   BhP_06.03.026/2 sarvātmanā vidadhate khalu bhāvayogam	Bhu-_06.03.026/2 sarva-AtmanA vidaDate Kalu BAva-yogam
