   śrīpāda dhyāna-candra gosvāmī	SrIpAda DyAna-candra gosvAmI
   iyaṃ tv adhika-mṛdvī ca gṛham asyās tu yāvaṭe // GGS_227 //	iyam tu aDika-mRdvI ca gRham asyAH tu yAvawe // GGS_227 //
   abhisārikā-lakṣaṇaṃ yathā (UN 5.71-72)--	aBisArikA--lakzaNam yaTA (Uj 5.71-72)--
   yābhisārayate kāntaṃ svayaṃ vābhisaraty api /	yA-aBisArayate kAntam svayam vA-aBisarati api /
   sā jyotsnī tāmasī yāna-yogya-veṣābhisārikā // GGS_228 //	sA jyotsnI tAmasI yAna--yogya-veza-aBisArikA // GGS_228 //
   lajjayā svāṅga-līneva niḥśabdākhila-maṇḍanā /	lajjayA svAFga-lIn-A-iva niHSabda-aKila--maNxanA /
   kṛtāvaguṣṭhā snigdhaika-sakhī-yuktā priyaṃ vrajet // GGS_229 //	kRta-avaguzWA snigDa-eka-saKI--yuktA priyam vrajet // GGS_229 //
   udāharaṇaṃ yathā tatra (1) jyotsny-abhisārikāyāḥ (UN 5.74)--	udAharaNam yaTA tatra (1) jyotsny-aBisArikAyAH (Uj 5.74)--
   indus tundila-maṇḍalaṃ praṇayate vṛndāvane candrikāṃ	induH tundila--maNxalam praNayate vRndAvane candrikAm
   sāndrāṃ sundari nandano vraja-pates tvad vīthim udvīkṣate /	sAndrAm sundari nandanaH vraja--pateH tvat vITim udvIkzate /
   tvaṃ candrāñcita-candanena khacitā kṣaumeṇa cālaṅkṛtā	tvam candra-AQcita-candanena KacitA kzOmeNa ca-alaFkRtA
   kiṃ vartmany aravinda-cāru-caraṇa-dvandvaṃ na sandhitsasi // GGS_230 //	kim vartmani aravinda-cAru--caraNa--dvandvam na sanDitsasi // GGS_230 //
   (2) tāmasy-abhisārikāyāḥ (ViM 4.22, UN 5.75)--	(2) tAmasy-aBisArikAyAH (Vim 4.22, UN 5.75)--
   timira-masibhiḥ saṃvītāṅgyaḥ kadamba-vanāntare	timira--masiBiH saMvIta-aFgyaH kadamba--vana-antare
   sakhi baka-ripuṃ puṇyātmānaḥ saranty abhisārikāḥ /	saKi baka-ripum puNya-AtmAnaH saranti aBisArikAH /
   tava tu parito vidyud-varṇās tanu-dyuti-sūcayo	tava tu paritas vidyut--varNAH tanu--dyuti--sUcayaH-
   hari hari ghana-dhvāntānyetāḥ svavairiṇi bhindate // GGS_231 //	hari hari Gana--Dva-antAni-etAH sva-vEriNi Bindate // GGS_231 //
   (UN 8.21)--	(Uj 8.21)--
   adhikā mṛdavaś cātra citrā madhurikādayaḥ // GGS_232 //	aDikAH mRdavaH ca-atra citrAH maDurikA-AdayaH // GGS_232 //
   adhika-mṛdvy-udāharaṇaṃ, yathā (UN 8.20)--	aDika--mRd-vy-udAharaNan, yaTA (Uj 8.20)--
   darāpi na dṛg-arpitā sakhi śikhaṇḍa-cūḍe mayā	darA-api na dRS--arpitA saKi SiKaNxa--cUxe mayA
   prasīda bata mā kṛthā mayi vṛthā purobhāgitām /	prasIda bata mA kRTAH mayi vRTA puroBAgitAm /
   naṭan-makara-kuṇḍalaṃ sapadi caṇḍi līlā-gatiṃ	nawan--makara--kuNxalam sapadi caNxi lIlA--gatim
   tanoty ayam adūrataḥ kim iha saṃvidheyaṃ mayā // GGS_233 //	tanoti ayam adUrataH kim iha saMviDeyam mayA // GGS_233 //
   asyā yūtho yathā (śrī-kṛṣṇa-gaṇoddeśa-dīpikā 1.245)--	asyAH yUTaH yaTA (SrI--kRzNa--gaNa-uddeSa-dIpikA 1.245)--
   rasālikā tilakinī śaurasenī sugandhikā /	rasAlikA tilakinI SOrasenI suganDikA /
   vāmanī vāmanayanā nāgarī nāgavallikā // GGS_234 //	vAmanI vAmanayanA nAgarI nAgavallikA // GGS_234 //
   asyā mantroddhāro, yathā skānde--	asyAH mantra-udDAro, yaTA skAnde--
   lakṣmīś citrā caturthyantā vahni-jāyā ṣaḍakṣaraḥ /	lakzmIH citrA caturTI-antAH vahni-jAyA zaz-akzaraH /
   mantro 'yaṃ citrikā-nāmnyāḥ kṛṣṇa-sakhyā udīritaḥ // GGS_235 //	mantraH ayam citrikA--nAmnyAH kRzNa--saKyAH udIritaH // GGS_235 //
   mantro yathā--śrīṃ citrāyai svāhā /	mantraH yaTA--SrIm citrAyE svAhA /
   asyā dhyānaṃ, yathā tatraiva--	asyAH DyAnan, yaTA tatra-eva--
   kāśmīra-varṇāṃ sahitāṃ vicitra-*	kASmIra--varNAm sahitAm vicitra-*
   guṇaiḥ smitā-śobhi-mukhīṃ ca citrām /	guNEH smitA--SoBi--muKIm ca citrAm /
   kācāmbarāṃ kṛṣṇa-puro lavaṅga*-	kAca-ambarAm kRzNa-puras lavaFga*-
   mālā-pradāne nitarāṃ smarāmi // GGS_236 //	mAlA--pradAne nitarAm smarAmi // GGS_236 //
   āgneya-patre pūrṇendu-kuñja-svarṇābha-varṇake /	Agneya--patre pUrNa-indu-kuQja--svarNa-ABa-varNake /
   śrī-indulekhā vasaty atra haritāla-samāṅgikā // GGS_237 //	SrI-indu-leKA vasati atra haritAla--samAFgikAH // GGS_237 //
   dāḍimba-kusumodbhāsi-vasanā kṛṣṇa-vallabhā /	dAximba--kusuma-udBA-si--vasanA kRzNa-vallaBA /
   proṣita-bhartṛkā-bhāvam āpannā rati-yug-gharau // GGS_238 //	prozita-BartRkA-BAvam ApannAH rati--yug-GarO // GGS_238 //
   amṛtāśana-sevāḍhyā yāsau nandātmajasya vai /	amRta-aSana--sevA-AXyAH yA-asO nanda-Atmajasya vE /
   vayomānaṃ bhavet tasyāḥ sarva-śāstreṣu sammatam // GGS_239 //	vayaH-mAnam Bavet tasyAH sarva--SAstrezu sammatam // GGS_239 //
   sārdha-dig-vāsarair yuktā dvi-māsa-manu-hāyanā (14-2-10 1/2) /	sArDa-diS---vAsarEH yuktA dvi--mAsa-m-anu-hAyanA (14-2-10 1/2) /
   asau tu vāma-prakharā hareś cāmara-sevinī // GGS_240 //	asO tu vAma--praKarA hareH cAmara--sevinI // GGS_240 //
   gṛham asyās tu yāvaṭe pitā sāgara-saṃjñakaḥ // GGS_241 //	gRham asyAH tu yAvawe pitA sAgara--saMjQakaH // GGS_241 //
   asyā mātā bhaved velā patir asyās tu durbalaḥ /	asyAH mAtA Bavet velA patiH asyAH tu durbalaH /
   vasu-rāmānandatayā khyātā gaura-rase hy asau // GGS_242 //	vasu-rAma-Ananda-tayA KyAtAH gOra--rase hi asO // GGS_242 //
   proṣita-bhartṛkā-lakṣaṇaṃ yathā (UN 5.89)--	prozita-BartRkA--lakzaNam yaTA (Uj 5.89)--
   dūra-deśaṃ gate kānte bhavet proṣita-bhartṛkā /	dUra-deSam gate kAnte Bavet prozita-BartRkA /
   priya-saṃkīrtanaṃ dainyam asyās tānava-jāgarau /	priya--saMkIrtanam dEnyam asyAH tAnava--jAgarO /
   mālinyam anavasthānaṃ jāḍya-cintādayo matāḥ // GGS_243 //	mAlinyam anavasTAnam jAxya-cintA-AdayaH matAH // GGS_243 //
   udāharaṇaṃ yathā (UN 5.90)--	udAharaNam yaTA (Uj 5.90)--
   vilāsī svacchandaṃ vasati mathurāyāṃ madhu-ripu*	vilAsI svacCandam vasati maTurAyAm maDu-ripu*
   rvasantaḥ santāpaṃ prathayati samantād anupadam /	rvasantaH santApam praTayati samantAt anupadam /
   durāśeyaṃ vairiṇy ahaha mad-abhīṣṭodyama-vidhau	durASeyam vEriNi ahaha mad--aBIzwa-udyama-viDO
   vidhatte pratyūhaṃ kim iha bhavitā hanta śaraṇam // GGS_244 //	viDatte pratyUham kim iha BavitA hanta SaraNam // GGS_244 //
   vāma-prakharā-lakṣaṇodāharaṇe tūkte; asyā yūtho yathā	vAma--praKarA--lakzaNa-udAharaNe tu-ukte; asyAH yUTaH yaTA
   śrī-kṛṣṇa-gaṇoddeśa-dīpikāyām (1.247)--	SrI--kRzNa--gaNa-uddeSa-dIpikAyAm (1.247)--
   tuṅgabhadrā citralekhā suraṅgī raṅgavāṭikā /	tuFgaBadrA citraleKA suraFgI raFga-vAwikA /
   maṅgalā suvicitrāṅgī modinī madanāpi ca // GGS_245 //	maFgalA su-vicitra-aFgI modinI madana-api ca // GGS_245 //
   asyā mantroddhāro yathā īśāna-saṃhitāyām--	asyAH mantra-udDAraH yaTA ISAna--saMhitAyAm--
   vāg-bhavaś cendulekhā ca caturthī vahni-jāyikā /	vAg-BavaH ca-induleKA ca caturTI vahni-jAyikA /
   mantraḥ syāc cendulekhāyā aṣṭārṇaḥ samudīritaḥ // GGS_246 //	mantraH syAt ca-indu-leKAyAH azwa-arNaH samudIritaH // GGS_246 //
   mantro yathā--aim indulekhāyai svāhā /	mantraH yaTA--Em indu-leKAyE svAhA /
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   haritāla-samāna-deha-kāntiṃ	haritAla--samAna--deha--kAntim
   vikasad-dārima-puṣpa-śobhi-vastrām /	vikasat--dAri-ma-puzpa--SoBi-vastrAm /
   amṛtaṃ dadatīṃ mukunda-vaktre	amRtam dadatIm mukunda-vaktre
   bhaja ālīm aham indulekhikākhyām // GGS_247 //	Baja AlIm aham indu-leKikA-AKyAm // GGS_247 //
   dakṣiṇe 'smin dale kāma-latā-nāmāsti kuñjakam /	dakziNe asmin dale kAma--latA-nAma-asti kuQjakam /
   atyanta-sukhadaṃ tapta-jāmbūnada-sama-prabham // GGS_248 //	atyanta--suKa-dam tapta--jAmbUnada--sama--praBam // GGS_248 //
   śrī-campakalatā tiṣṭha-tyamuṣmin kṛṣṇa-vallabhā /	SrI--campa-kalatA tizWa-ti-amuzmin kRzNa-vallaBA /
   asau vāsaka-sajjātvam āpannā rati-yug-gharau // GGS_249 //	asO vAsaka--sajjAtvam ApannAH rati--yug-GarO // GGS_249 //
   vāma-madhyā campakābhā cātakābha-śubhāmbarā /	vAma--maDyA campaka-ABA cAtaka-ABa--SuBa-ambarAH /
   tat-sevā ratna-mālāyā dānaṃ cāmara-cālanam // GGS_250 //	tat-sevA ratna-mAlAyAH dAnam ca-amara--cAlanam // GGS_250 //
   sārdha-trayodaśa-dina-māsa-dvaya-samanvitāḥ /	sArDa-trayodaSa-dina--mAsa--dvaya--samanvitAH /
   manu-saṃkhyā-hāyanāś ca vayomānaṃ bhavet punaḥ (14-2-13 1/2) // GGS_251 //	manu--saMKyA-a-hAyanAH ca vayaH-mAnam Bavet punar (14-2-13 1/2) // GGS_251 //
   mātāsyā vāṭikā khyātā pitā cārāma-saṃjñakaḥ /	mAtA-asyA vAwikA KyAtA pitA ca-ArAma--saMjQakaH /
   asyāś ca bhartā caṇḍākhyas tathā gaura-rase hy asau /	asyAH ca BartA caNxa-AKyaH taTA gOra--rase hi asO /
   śivānandatayā khyātim āgatā hi kalau yuge // GGS_252 //	Siva-Ananda-tayA KyAtim AgatAH hi kalO yuge // GGS_252 //
   vāsaka-sajjā-lakṣaṇaṃ yathā (UN 5.76-77)--	vAsaka--sajjA--lakzaNam yaTA (Uj 5.76-77)--
   svavāsaka-vaśāt kānte sameṣyati nijaṃ vapuḥ /	sva-vAsaka-vaSAt kAnte samezyati nijam vapuH /
   sajjī-karoti gehaṃ ca yā sā vāsaka-sajjikā // GGS_253 //	sajjI-karoti geham ca yA sA vAsaka-sajjikA // GGS_253 //
   ceṣṭāsyāḥ smara-saṃkrīḍā-saṅkalpa-vartma-vīkṣaṇam /	cezwA-asyAH smara--saMkrIxA--saFkalpa--vartma--vIkzaNam /
   sakhī-vinoda-vārttā ca muhur dūti-kṣaṇādayaḥ // GGS_254 //	saKI-vinoda-vArttA ca muhur dUti--kzaNa-AdayaH // GGS_254 //
   udāharaṇaṃ yathā (UN 5.78)--	udAharaNam yaTA (Uj 5.78)--
   rati-krīḍā-kuñjaṃ kusuma-śayanīyojjvala-ruciṃ	rati-krIxA-kuQjam kusuma--SayanIya-ujjvala--rucim
   vapuḥ sālaṅkāraṃ nijam api vilokya smita-mukhī /	vapuH sa-alaFkAram nijam api vilokya smita-muKI /
   muhur dhyāyaṃ dhyāyaṃ kim api hariṇā saṅgama-vidhiṃ	muhur DyAyam DyAyam kim api hariNA saFgama--viDim
   samṛddhyanti rādhā madana-mada-mādyan matir abhūt // GGS_255 //	samRdDyanti rADA madana-mada-mAdyan matiH aBUt // GGS_255 //
   vāma-prakharā-lakṣaṇodāharaṇe tūkte; asyā yūtho yathā (kṛṣṇa-gaṇoddeśe	vAma--praKarA--lakzaNa-udAharaNe tu-ukte; asyAH yUTaH yaTA (kRzNa--gaNa-uddeSe
   kuraṅgākṣī suracitā maṇḍalī maṇimaṇḍanā /	kuraFga-akzI suracitA maNxalI maNi-maNxanA /
   caṇḍikā candralatikā kandukākṣī sumandirā // GGS_256 //	caNxikA candralatikA kandukAkzI su-mandirAH // GGS_256 //
   asyā mantroddhāro yathā gāruḍe--	asyAH mantra-udDAraH yaTA gAruxe--
   ādau ca campakalatā ṅe 'ntā vaiśvānara-priyā /	AdO ca campakalatA Fe antAH vESvAnara-priyA /
   mantro 'yaṃ campakalatā-premado vasu-varṇakaḥ // GGS_257 //	mantraH ayam campakalatA--prema-daH vasu-varNakaH // GGS_257 //
   mantro yathā--campakalatāyai svāhā /	mantraH yaTA--campaka-latAyE svAhA /
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   campakāvali-samāna-kāntikāṃ	campaka-Avali--samAna---kAntikAm
   cātakābha-vasanāṃ subhūṣaṇām /	cAtaka-ABa--vasanAm su-BUzaNAm /
   ratna-mālya-yuta-cāmarodyatāṃ	ratna--mAlya---yuta--ca-amara-udyatAm
   cāru-campakalatāṃ sadā bhaje // GGS_258 //	cAru-campa-kalatAm sadA Baje // GGS_258 //
   rakṣodale śyāma-varṇe kuñje śrī-raṅgadevikā /	rakzaH-dale SyAma-varNe kuQje SrI-raFga-devikA /
   sukhadākhye nivasati nityaṃ śrī-hari-vallabhā // GGS_259 //	suKadAKye nivasati nityam SrI--hari-vallaBAH // GGS_259 //
   padma-kiñjalka-varṇābhā jabā-puṣpa-nibhāmbarā /	padma-kiQjalka--varNa-ABA jabA-puzpa--niBa-ambarA /
   utkaṇṭhitā-bhāva-yuktā śrī-kṛṣṇe rati-bhāk sadā // GGS_260 //	utkaNWitA--BAva--yuktA SrI--kRzNe rati-BAj sadA // GGS_260 //
   asau candana-sevāḍhyā vāma-madhyā bhavet punaḥ /	asO candana-sevA-AXyA vAma--maDyA Bavet punar /
   gṛham asyā yāvaṭe tu vayomānaṃ bhavet punaḥ // GGS_261 //	gRham asyAH yAvawe tu vayaH-mAnam Bavet punar // GGS_261 //
   sārdha-veda-dinair yuktaṃ dvi-māsaṃ manu-hāyanam (14-2-4 1/2) /	sArDa--veda--dinEH yuktam dvi--mAsam manu-hAyanam (14-2-4 1/2) /
   mātā śrī-karuṇā proktā pitā śrī-raṅgasāgaraḥ // GGS_262 //	mAtA SrI-karuNA proktA pitA SrI-raFga-sAgaraH // GGS_262 //
   patir vakrekṣaṇaḥ prokto hy asau gaura-rase punaḥ /	patiH vakra-IkzaNaH proktaH hi asO gOra--rase punar /
   govindānanda-ghoṣākhyām āpannā hi kalau yuge // GGS_263 //	govinda-Ananda-Goza-AKyAm ApannAH hi kalO yuge // GGS_263 //
   utkaṇṭhitā-lakṣaṇaṃ yathā (UN 5.79-80)--	utkaNWitA--lakzaNam yaTA (Uj 5.79-80)--
   anāgasi priyatame cirayaty utsukā tu yā /	anAgasi priyatame cirayati utsukA tu yA /
   virahotkaṇṭhitā bhāva-vedibhiḥ sā samīritā // GGS_264 //	viraha-utkaNWitA BAva--vediBiH sA samIritAH // GGS_264 //
   asyās tu ceṣṭā hṛt-tāpo vepathur hetu-tarkaṇam /	asyAH tu cezwA hRt--tApaH vepaTuH hetu-tarkaNam /
   aratir vāṣpa-mokṣaṇ ca svāvasthā-kathanādayaḥ // GGS_265 //	aratiH vA-azpa-mokzaj ca sva-avasTA--kaTana-AdayaH // GGS_265 //
   udāharaṇaṃ yathā (UN 5.81)--	udAharaNam yaTA (Uj 5.81)--
   sakhi kim abhavad baddho rādhā-kaṭākṣa-guṇair ayaṃ	saKi kim aBavat badDaH rADA--kawAkza-guNEH ayam
   samaram athavā kiṃ prārabdhaṃ surāribhir uddhuraiḥ /	samaram aTavA kim prArabDam surAriBiH udDurEH /
   ahaha bahulāṣṭamyāṃ prācī-mukhe 'py udite vidhau	ahaha bahula-azwamyAm prAcI--muKe api udite viDO
   vidhu-mukhi! na yan māṃ sasmāra vrajeśvara-nandanaḥ // GGS_266 //	viDu-muKi! na yat mAm sasmAra vrajeSvara--nandanaH // GGS_266 //
   vāma-madhyā-lakṣaṇodāharaṇe tūkte; asyā yūtho yathā (śrī-kṛṣṇa-gaṇoddeśe	vAma--maDyA-lakzaNa-udAharaNe tu-ukte; asyAH yUTaH yaTA (SrI--kRzNa--gaNa-uddeSe
   kalakaṇṭhī śaśikalā kamalā prema-mañjarī /	kalakaNWI SaSikalA kamalA prema-maQjarI /
   mādhavī madhurā kāma-latā kandarpa-sundarī // GGS_267 //	mADavI maDurA kAma-latA kandarpa-sundarI // GGS_267 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   lakṣmīr agni-raṅgadevī ṅe 'ntā vahni-priyā tataḥ /	lakzmIH agni-raFga-devI Fe antA vahni-priyA tatas /
   raṅgadevyās tu mantro 'yam aṣṭārṇo rāga-bhakti-daḥ // GGS_268 //	raFga-devyAH tu mantraH ayam azwa-arNaH rAga--Bakti-daH // GGS_268 //
   mantro yathā--śrīṃ rāṃ raṅgadevyai svāhā /	mantraH yaTA--SrIm rAm raFga-devyE svAhA /
   asyā dhyānaṃ ca tatraiva--	asyAH DyAnam ca tatra-eva--
   rājīva-kiñjalka-samāna-varṇāṃ	rAjIva--kiQjalka--samAna--varNAm
   jabā-prasūnopama-vāsas-āḍhyām /	jabA--prasUna-upama-vAsa-s-a-AXyAm /
   śrīkhaṇḍa-sevā-sahitāṃ vrajendra-	SrIKaNxa-sevA--sahitAm vraja-indra-
   sūnor bhaje rāsa-ga-raṅgadevīm // GGS_269 //	sUnoH Baje rAsa--ga-raFga-devIm // GGS_269 //
   kuñjo 'sti paścime dale 'ruṇa-varṇaḥ suśobhanaḥ /	kuQjaH asti paScime dale aruNa--varNaH su-SoBanaH /
   tuṅgavidyānandado nāmneti vikhyātim āgataḥ // GGS_270 //	tuFga-vidyA-Ananda-daH nAmnA-iti viKyAtim AgataH // GGS_270 //
   nityaṃ tiṣṭhati tatraiva tuṅgavidyā samutsukā /	nityam tizWati tatra-eva tuFga-vidyA samutsukA /
   vipralabdhātvam āpannā śrī-kṛṣṇe rati-yuk sadā // GGS_271 //	vipralabDAtvam ApannA SrI--kRzNe rati--yuj sadA // GGS_271 //
   candra-candana-bhūyiṣṭha-kuṅkuma-dyuti-śālinī /	candra--candana--BUyizWa--kuFkuma--dyuti--SAlinI /
   pāṇḍu-maṇḍana-vastreyaṃ dakṣiṇa-prakharoditā // GGS_272 //	pANxu-maNxana-vastrA-iyam dakziNa--praKara-uditAH // GGS_272 //
   medhāyāṃ pauṣkarājātā patir asyās tu bāliśaḥ /	meDAyAm pOzkara-ajAtA patiH asyAH tu bAliSaH /
   nṛtya-gītādi-sevāḍhyā gṛham asyās tu yāvaṭe // GGS_273 //	nRtya-gIta-Adi-sevA-AXyAH gRham asyAH tu yAvawe // GGS_273 //
   dvāviṃśati-dinair yuktā dvi-māsa-manu-hāyanāḥ (14-2-22) // GGS_274 //	dvAviMSati-dinEH yuktAH dvi--mAsa-m-anu-hAyanAH (14-2-22) // GGS_274 //
   asyā vayaḥ-pramāṇaṃ syād asau gaura-rase punaḥ /	asyAH vayaH-pramANam syAt asO gOra--rase punar /
   vakreśvara iti khyātim āpannā hi kalau yuge // GGS_275 //	vakreSvaraH iti KyAtim ApannAH hi kalO yuge // GGS_275 //
   vipralabdhā-lakṣaṇaṃ yathā (UN 5.83-84)--	vipralabDA--lakzaNam yaTA (Uj 5.83-84)--
   kṛtvā saṅketam aprāpte daivāj jīvita-vallabhe /	kRtvA saFketam aprApte dEvAt jIvita--vallaBe /
   vyathamānāntarā proktā vipralabdhā manīṣibhiḥ /	vyaTamAna-antarA proktAH vipralabDAH manIziBiH /
   nirveda-cintā-khedāśru-mūrchā-niḥśvasitādi-bhāk // GGS_276 //	nirveda--cintA-a--Keda-aSru--mUrCA--niHSvasita-Adi-BAj // GGS_276 //
   udāharaṇaṃ yathā--	udAharaNam yaTA--
   vindati sma divam indur indirā-*	vindati sma divam induH indirA-*
   nāyakena sakhi vañchitā vayam /	nAyakena saKi vaQCitAH vayam /
   kurmahe kim iha śādhi sādaraṃ	kurmahe kim iha SADi sAdaram
   drāg iti klamamagān mṛgekṣaṇā // GGS_277 //	drAk iti klamam-agAt mRga-IkzaNAH // GGS_277 //
   dakṣiṇā-lakṣaṇaṃ yathā (UN 8.38, 42)--	dakziNA--lakzaNam yaTA (Uj 8.38, 42)--
   asahā māna-nirbandhe nāyake yukta-vādinī /	asahA mAna--nirbanDe nAyake yukta-vAdinI /
   sāmabhis tena bhedyā ca dakṣiṇā parikīrtitā // GGS_278 //	sAmaBiH tena BedyA ca dakziNA parikIrtitAH // GGS_278 //
   tuṅgavidyādikā cātra dakṣiṇa-prakharā bhavet // GGS_279 //	tuFga-vidyA-AdikA ca-atra dakziNa--praKarAH Bavet // GGS_279 //
   udāharaṇaṃ yathā (śrī-gīta-govinde 9.10)--	udAharaNam yaTA (SrI-gIta--govinde 9.10)--
   snigdhe yat paruṣāsi yat praṇamati stabdhāsi yad rāgiṇi	snigDe yat paruzA-asi yat praNamati stabDA-asi yat rAgiNi
   dveṣaṃ yāsi yad unmukhe vimukhatāṃ yātāsi tasmin priye /	dvezam yAsi yat unmuKe vimuKa-tAm yAtA-asi tasmin priye /
   tad yuktaṃ viparīta-kāriṇi! tava śrīkhaṇḍa-carcā viṣaṃ	tat yuktam viparIta--kAriNi! tava SrIKaNxa-carcA vizam
   śītāṃśus tapano himaṃ hutavahaḥ krīḍā-mudo yātanāḥ // GGS_280 //	SItAMSuH tapanaH himam hutavahaH krIxA-mudaH yAtanAH // GGS_280 //
   asyā yūtho yathā (śrī-kṛṣṇa-gaṇoddeśe 1.246)--	asyAH yUTaH yaTA (SrI--kRzNa--gaNa-uddeSe 1.246)--
   mañjumedhā sumadhurā sumadhyā madhurekṣaṇā /	maQjumeDA sumaDurA su-maDyA maDura-IkzaNA /
   tanūmadhyā madhusyandā guṇacūḍā varāṅgadā // GGS_281 //	tanU-maDyAH maDusyandA guNa-cUxA vara-aFgadA // GGS_281 //
   asyā mantroddhāro yathā kiśorī-tantre--	asyAH mantra-udDAraH yaTA kiSorI-tantre--
   lakṣmī-pūrvā tuṅgavidyā caturthī huta-bhuk-priyā /	lakzmI--pUrvA tuFga-vidyA caturTI huta-Buk--priyA /
   mantro 'yaṃ tuṅgavidyāyā vasu-varṇaḥ samīritaḥ // GGS_282 //	mantraH ayam tuFga-vidyAyAH vasu-varNaH samIritaH // GGS_282 //
   mantro yathā--śrīṃ tuṅgavidyāyai svāhā /	mantraH yaTA--SrIm tuFga-vidyAyE svAhA /
   asyā dhyānaṃ, yathā tatraiva--	asyAH DyAnan, yaTA tatra-eva--
   candrāḍhyair api candanaiḥ sulalitāṃ śrī-kuṅkumābha-dyutiṃ	candra-AXyEH api candanEH su-lalitAm SrI--kuFkuma-ABa-dyutim
   sad-ratnānvita-bhūṣaṇāñcita-tanuṃ śoṇāmbarollāsitām /	sad-ratna-anvita-BUzaNa-AQcita--tanum SoNa-ambara-ullAsitAm /
   sad-gītāvali-saṃyutāṃ bahu-guṇāṃ ḍamphasya śabdena vai	sat--gIta-Avali--saMyutAm bahu-guNAm xamPasya Sabdena vE
   nṛtyantīṃ purato hare rasavatīṃ śrī-tuṅgavidyāṃ bhaje // GGS_283 //	nRtyantIm puratas hare rasavatIm SrI--tuFga-vidyAm Baje // GGS_283 //
   vāyavya-dalake kuñjam āste harita-varṇakam /	vAyavya-dalake kuQjam Aste harita-varNakam /
   vasanta-sukhadam atra sudevī vartate sadā // GGS_284 //	vasanta--suKa-dam atra sudevI vartate sadA // GGS_284 //
   kalahāntaritā-bhāvam āpannā rati-yug-gharau /	kalaha-antaritA--BAvam ApannA rati--yug-GarO /
   padma-kiñjalka-rucirā jabā-puṣpa-nibhāmbarā // GGS_285 //	padma-kiQjalka-rucirA jabA-puzpa--niBa-ambarAH // GGS_285 //
   asau ca jala-sevāḍhyā vāmā prakharikā matā /	asO ca jala--sevA-AXyA vAmA praKarikA matA /
   veda-vāsara-saṃyukta-dvi-māsa-manu-hāyanā (14-2-4) // GGS_286 //	veda--vAsara--saMyukta--dvi---mAsa-m-anu-hAyanAH (14-2-4) // GGS_286 //
   asyā vayaḥ-parimāṇaṃ yāvaṭe tu niketanam /	asyAH vayaH-parimANam yAvawe tu niketanam /
   mātāsyāḥ karuṇā proktā janako raṅgasāgaraḥ // GGS_287 //	mAtA-asyAH karuNA proktA janakaH raFga-sAgaraH // GGS_287 //
   bhrātrā vakrekṣaṇasyeyam pariṇītā kanīyasā /	BrAtrA vakra-IkzaNasya-iyam pariNItA kanIyasA /
   śrī-vāsudeva-ghoṣākhyām āptā gaura-rase tv asau // GGS_288 //	SrI--vAsudeva-Goza-AKyAm AptA gOra--rase tu asO // GGS_288 //
   kalahāntaritā-lakṣaṇaṃ yathā (UN 5.87)--	kalaha-antaritA--lakzaNam yaTA (Uj 5.87)--
   yā sakhīnāṃ puraḥ pāda-patitaṃ vallabhaṃ ruṣā /	yA saKInAm puras pAda--patitam vallaBam ruzA /
   nirasya paścāt tapati kalahāntaritā hi sā /	nirasya paScAt tapati kalaha-antaritA hi sA /
   asyāḥ pralāpa-santāpa-glāni-niḥśvasitādayaḥ // GGS_289 //	asyAH pralApa--santApa--glA-ni--niHSvasita-AdayaH // GGS_289 //
   udāharaṇaṃ yathā (UN 5.88)--	udAharaNam yaTA (Uj 5.88)--
   srajaḥ kṣiptā dūre svayam upahṛtāḥ keśi-ripuṇā	srajaH kziptAH dUre svayam upahRtAH keSi-ripuNA
   priya-vācas tasya śruti-parisarānte 'pi na kṛtāḥ /	priya-vAcaH tasya Sruti-parisara-ante api na kRtAH /
   namann eṣa kṣaunī-viluṭhita-śikhaṃ praikṣi na mayā	naman eza kzOnI--viluWita-SiKam prEkzi na mayA
   manas tenedaṃ me sphuṭati puṭapākārpitam iva // GGS_290 //	manaH tena-idam me sPuwati puwapAka-arpitam iva // GGS_290 //
   vāma-prakharā-lakṣaṇodāharaṇe tūkte; asyā yūtho yathā (śrī-kṛṣṇa-gaṇoddeśe	vAma--praKarA--lakzaNa-udAharaNe tu-ukte; asyAH yUTaH yaTA (SrI--kRzNa--gaNa-uddeSe
   kāverī cārukavarī sukeśī mañjukeśikā /	kAverI cArukavarI sukeSI maQjukeSikAH /
   hārahirā hārakaṇṭhī hāravallī manoharā // GGS_291 //	hAra-hirA hAra-kaNWI hAravallI manoharAH // GGS_291 //
   asyā mantroddhāro yathā rudra-yāmale--	asyAH mantra-udDAraH yaTA rudra-yAmale--
   dve vāg-bhave ramā ṅe 'ntā sudevī dahana-priyā /	dve vAc--Bave ramA Fe antA sudevI dahana-priyA /
   uktaḥ sudevyā mantro 'yam aṣṭārṇaḥ prema-bhakti-daḥ // GGS_292 //	uktaH sudevyAH mantraH ayam azwa-arNaH prema--Bakti-daH // GGS_292 //
   mantro yathā--aiṃ sauṃ śrīṃ sudevyai svāhā /	mantraH yaTA--Em sOm SrIm sudevyE svAhA /
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
