   Daśasāhasrikā Prajñāpāramitā	DaSa-sA-ahasrikA PrajQApAramitA
   sthitir, na nirodho, nānyathātvam, evam eva rāgakṣayo, dveṣakṣayo,	sTitiH-, na niroDo, na-anyaTAtvam, evam eva rAga-kzayo, dveza-kzayaH-,
   mohakṣaya, evam eva dharmasthitir, dharmatā, dharmadhātur,	moha-kzaya, evam eva Darma-sTitir, DarmatA, DarmaDAtuH-,
   dharmānavadyatā, tathatābhrāntatathatānanyatathatā, bhūtakoṭir eta ucyante	DarmAn-avadya-tA, taTatA-BrAnta-taTatA-an-anya-taTatA, BUtakowiH ete ucyante
   'saṃskṛtā dharmāḥ.	asaMskRtAH DarmAH.
   [DsP_67] tatra katame sādhāraṇā dharmāḥ? yaduta catvāri dhyānāni, catvāry	[DsP_67] tatra katame sADAraNAH DarmAH? yat-uta catvAri DyAnAni, catvAri-
   apramāṇāni, catasra ārūpyasamāpattayaḥ, pañcābhijñā, ete pṛthagjanaiḥ saha	apramANAni, catasraH ArUpya-samApattayaH, paQca-aBijQA, ete pRTagjanEH saha
   sādhāraṇā dharmaḥ.	sADAraNAH DarmaH.
   [DsP_68] tatra katame pṛthagjanaiḥ sahāsādhāraṇā dharmāḥ? saptatriṃśad	[DsP_68] tatra katame pRTagjanEH sa-hAsADAraNAH DarmAH? saptatriMSat-
   bodhipakṣikā dharmā, daśa balāni, catvāri vaiśāradyāni, catasraḥ	boDipakzikA DarmA, daSa balAni, catvAri vESAradyAni, catasraH
   pratisaṃvidas, trīṇi vimokṣamukhāni yāvad aṣṭādaśāveṇikā buddhadharmā eta	pratisaMvid-as, trINi vimokza-muKAni yAvat azwAdaSa-AveNikAH budDa-DarmAH eta
   ucyante 'sādhāraṇā dharmāḥ.	ucyante asADAraNAH DarmAH.
   [DsP_69] yad api śāradvatīputra bodhisattvāḥ saṃvṛtitaḥ sarvadharmān evaṃ	[DsP_69] yat api SAradvatI-putra boDisattvAH saMvRtitaH sarva-DarmAn evam
   pṛthak paśyamānāḥ paramārthato nābhiniviśanti, katham anabhiniviṣṭāḥ?	pRTak paSyamAnAH paramArTataH na-aBi-niviSanti, kaTam anaBinivizwAH?
   tadyathā śāradvatīputra kaścit puruṣo māyānirmitāṃ caturaṅginīṃ senāṃ	tat-yaTA SAradvatI-putra kaScid puruzaH mAyA-nirmitAm catur-aFginIm senAm
   dṛṣṭvā, yaduta hastikāyam aśvakāyaṃ rathakāyaṃ pattikāyaṃ, tatra senāstīti	dRzwvA, yat-uta hasti-kAyam aSva-kAyam raTa-kAyam patti-kAyan, tatra senA-asti-iti
   nābhiniviśaty, evam eva śāradvatīputra bodhisattvā mahāsattvāḥ	nABi-niviSaty, evam eva SAradvatI-putra boDisattvAH mahAsattvAH
   sarvadharmān pṛthak paśyamānā api nābhiniviśanti; tadyathā śāradvatīputra	sarva-DarmAn pRTak paSyamAnAH api na-aBiniviSanti; tat-yaTA SAradvatI-putra
   kaścit puruṣo gharmārto nānāvidhāṃ marīcikām ūrmivac calantīṃ dṛṣṭvedaṃ	kaScid puruzaH Garma-ArtaH nAnAviDAm marIcikAm Urmi-vat calantIm dRzwvA-idam
   jalam iti nābhiniviśaty, evam eva śāradvatīputra bodhisattvā mahāsattvāḥ	jalam iti nABi-niviSaty, evam eva SAradvatI-putra boDisattvAH mahAsattvAH
   sarvadharmān pṛthak paśyamānā api nābhiniviśanti; tadyathā śāradvatīputra	sarva-DarmAn pRTak paSyamAnAH api na-aBiniviSanti; tat-yaTA SAradvatI-putra
   kaścit puruṣaḥ svapne nānāvidhāni rūpāṇi dṛṣṭvā vibuddhaḥ san teṣām rūpam	kaScid puruzaH svapne nAnAviDAni rUpANi dRzwvA vibudDaH san tezAm rUpam
   astīti nābhiniviśaty, evam eva śaradvatīputra bodhisattvā mahāsattvāḥ	asti-iti nABi-niviSaty, evam eva SaradvatI-putra boDisattvAH mahAsattvAH
   sarvadharmān pṛthak paśyamānā api nābhiniviśanti; tadyathā śāradvatīputra	sarva-DarmAn pRTak paSyamAnAH api na-aBiniviSanti; tat-yaTA SAradvatI-putra
   kaścit puruṣa udake candraṃ dṛṣṭvā tatra candro 'stīti nābhiniviśaty, evam	kaScid puruzaH udake candram dRzwvA tatra candraH asti-iti nABi-niviSaty, evam
   eva śāradvatīputra bodhisattvā mahāsattvāḥ sarvadharmān pṛthak paśyamānā	eva SAradvatI-putra boDisattvAH mahAsattvAH sarva-DarmAn pRTak paSyamAnA
   api nābhiniviśanti; tadyathā śāradvatīputra kaścit puruṣa indrajālaṃ	api na-aBiniviSanti; tat-yaTA SAradvatI-putra kaScid puruzaH indrajAlam
   dṛṣṭvā tatra vastutve nābhiniviśaty, evam eva śāradvatīputra bodhisattvā	dRzwvA tatra vastu-tve nABi-niviSaty, evam eva SAradvatI-putra boDisattvA
   mahāsattvāḥ sarvadharmān pṛthak paśyamānā api sarvadharmāṇāṃ vastutve	mahAsattvAH sarva-DarmAn pRTak paSyamAnAH api sarva-DarmANAm vastu-tve
   nābhiniviśanti; tadyathā śāradvatīputra kaścit pūruṣo māyayākāśe carann	na-aBiniviSanti; tat-yaTA SAradvatI-putra kaScid pUruzaH mAyayA-AkASe caran=-
   api tatrākāśo 'stīti nābhiniviśaty, evam eva śāradvatīputra bodhisattvā	api tatra-AkASaH asti-iti nABi-niviSaty, evam eva SAradvatI-putra boDisattvA
   mahāsattvāḥ sarvadharmān pṛthak paśyamānā api nābhiniviśanti; tadyathā	mahAsattvAH sarva-DarmAn pRTak paSyamAnAH api na-aBiniviSanti; tat-yaTA
   śāradvatīputra kaścit puruṣaḥ pratiśrutkāṃ śrutvā tatra śabdo 'stīti	SAradvatI-putra kaScid puruzaH pratiSrutkAm SrutvA tatra SabdaH asti-iti
   nābhiniviśaty, evam eva śāradvatīputra bodhisattvā mahāsattvā sarvadharmān	nABi-niviSaty, evam eva SAradvatI-putra boDisattvAH mahAsattvA sarva-DarmAn
   pṛthak paśyamānā api nābhiniviśanti; tadyathā śāradvatīputra kaścit puruṣo	pRTak paSyamAnAH api na-aBiniviSanti; tat-yaTA SAradvatI-putra kaScid puruzaH-
   gandharvanagaraṃ dṛṣṭvā tatra nagaram astīti nābhiniviśaty, evam eva	ganDarvanagaram dRzwvA tatra nagaram asti-iti nABi-niviSaty, evam eva
   śāradvatīputra bodhisattvā mahāsattvāḥ sarvadharmān pṛthak paśyamānā api	SAradvatI-putra boDisattvAH mahAsattvAH sarva-DarmAn pRTak paSyamAnAH api
   nābhiniviśanti; tadyathā śāradvatīputra kaścit puruṣa ādarśe	na-aBiniviSanti; tat-yaTA SAradvatI-putra kaScid puruzaH AdarSe
   mukhapratibimbaṃ dṛṣṭvaitan mukham astīti nābhiniviśaty, evam eva	muKa-pratibimbam dRzwvA-etat muKam asti-iti nABi-niviSaty, evam eva
   śāradvatīputra bodhisattvā mahāsattvāḥ sarvadharmān pṛthak paśyamānā api	SAradvatI-putra boDisattvAH mahAsattvAH sarva-DarmAn pRTak paSyamAnAH api
   nābhiniviśanti, dharmeṣv anabhiniviṣṭāḥ prajñāpāramitāyāṃ pāraṃ gatāḥ	na-aBi-niviSanti, Darmezu anaBinivizwAH prajQApAramitAyAm pAram gatAH
   kṣipram anuttarāṃ samyaksaṃbodhim abhisaṃbudhyante.	kzipram anuttarAm samyaksaMboDim aBisaMbuDyante.
   daśasāhasrikāyāḥ prajñāpāramitāyāḥ sarvadharmaparivarto nāma dvitīyaḥ.	daSa-sAhasrikAyAH prajQApAramitAyAH sarvaDarmaparivartaH nAma dvitIyaH.
