   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   ato vipratiṣedhe apavargabalīyastvaṃ yathā syādityayamārambhaḥ /	atas vipratizeDe apavarga balIyaH tvam yaTA syAt iti ayam AramBaH /
   anyathā pradakṣiṇaparibhāṣayā sāmānyaparibhāṣā bādhyate kiñciddaivāni	anyaTA pradakziNa pariBAzayA sAmAnya pariBAzA bADyate kiQcid dEvAni
   karmāṇīti tatra viśeṣitam /	karmANi iti tatra viSezitam /
   atra mānuṣeṣu karmādiṣvapi prāpyartho 'pavarganiyamaḥ //	atra mAnuzezu karma Adizu api prApi arTaH apavarga niyamaH //
   ĀpGs Tāt_1.6:	ĀpGs TAt _1.6:
   purastādudagvā kriyāparisamāptiḥ kāryetyartaḥ /	purastAt udak vA kriyA parisamAptiH kAryA iti artaH /
   nanu 'purastādudagvopakramaḥ'iti vidhereva	nanu  apurastAt udak va upakramaH aiti viDeH eva
   samantapariṣekādāvarthasiddhatvānnārabdhavyaṃ 'tatāpavargaḥ, iti /	samanta parizeka AdO= arTa sidDa tvAt na ArabDavyam atata apavargaH, iti /
   naḥ anārabhyamāṇo 'smin sūtre prācīlekhotpavanāderudīcīlekhā(1)	naH anAraByamANaH asmin sUtre prAcI leKotpavana AdeH udIcI leKA(1)
   kuṭīkaraṇādeścāpavargaḥ pratyak dakṣiṇā ca syāt /	kuwIkaraNa AdeH ca apavargaH pratyak dakziNA ca syAt /
   atastadvādhanāyedamārabdhavyameva /	atas tad vADanAya idam ArabDavyam eva /
   kecit  prācīnānāṃ lekhānāmudagupakramaḥ, udīcīnānāṃ ca prāgapavargaḥ,	kecit prAcInAnAm leKAnAm udak upakramaH, udIcInAnAm ca prAk apavargaH,
   agniparistaraṇavadubhayāvidhyasambhavāt (2) iti //	agni paristaraNa vat uBayA viDi asamBavAt (2) iti //
   4 pitryāṇāmaparapakṣādividhiḥ /	4 pitryANAm apara pakza Adi viDiH /
   aparapakṣe pitryāṇi // ĀpGs_1.7 //	apara pakze pitryANi // ĀpGs_1.7 //
   prācīnāvītinā // ĀpGs_1.8 //	prAcInAvItinA // ĀpGs_1.8 //
   prasavyam // ĀpGs_1.9 //	prasavyam // ĀpGs_1.9 //
   dakṣiṇato 'pavargaḥ // ĀpGs_1.10 //	dakziNatas apavargaH // ĀpGs_1.10 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.10:	ĀpGs AnAH _1.10:
   pitṛdaivatyakarmāṇyaparapakṣe kāryāṇi /	pitR dEvatya karmANi apara pakze kAryANi /
   "māsiśrāddhasyāparapakṣe"(ā.pa.gṛ.21.1).'yā mādhyāḥ paurṇamāsyā	"mAsi SrAdDasya apara pakze"(A a.pa.gR.21.1). ayAH mADyAH pOrNamAsyA
   upariṣṭādyaṣṭaketi'; (āpa.gṛ.21 10) tatrāparapakṣa upadiṣṭaḥ /	uparizwa Adi azwaka iti a; (A apa.gR.21 10) tatra apara pakzaH upadizwaH /
   idaṃ tu niyamanaṃ yāni gayāśrāddhādīni deśaviśeṣeṇa pātraviśeṣeṇa	idam tu niyamanam yAni gayA SrAdDa AdIni deSa viSezeNa pAtra viSezeNa
   kāmyānyupadiṣṭāni asmābhiśca parigṛhītānipārvaṇe nātonyānītyatra	kAmyAni upadizwAni asmABiH ca parigRhIta anipArvaNe na atonyAni iti atra
   teṣavaparapakṣaprāptyartha ca /	tezavapara pakza prApti arTa ca /
   tena pūrvapakṣe mṛtasyāparapakṣa ekoddiṣṭaṃ kartavyaṃ na tvekādaśe 'hani /	tena pUrva pakze mRtasya apara pakzaH ekoddizwam kartavyam na tu ekAdaSe ahani /
   anuṣṭhānañcai(tve) kādaśe 'hani /	anuzWAnaQcE( tve) kAdaSe ahani /
   māsiśrāddhasyāparapakṣavidheḥ prayojanaṃ tatraiva vakṣyāmaḥ /	mAsi SrAdDasya apara pakza viDeH prayojanam tatra eva vakzyAmaH /
   ayaṃ cāparapakṣavidhiḥ kṛtsnasyodagayanāderapavādo na pūrvasmādudagvā	ayam ca apara pakza viDiH kRtsnasya udagaya na AdeH apavAdaH na pUrvasmAt udak vA
   yathāyogam /	yaTAyogam /
   udāharaṇaṃ paristaraṇādi /	udAharaNam paristaraNa Adi /
   tadidaṃ prācīnāvītyāditrayamavidheyam /	tat idam prAcIna avIti Adi trayam aviDeyam /
   śrauteṣveva paribhāṣitatvāt;ucyate 'yajñopavītinā	SrOtezu eva pariBAzita tva at ;ucyate  ayajQa upavItinA
   pradakṣiṇaṃ''tathāpavarga'ityetāḥ paribhāṣā aviśeṣeṇātra prakaraṇe	pradakziNaM aataTA apavarga aiti etAH pariBAzA aviSezeNa atra prakaraNe
   paṭhitāḥ sāmānyaparibhāṣāyā bādhitatvāt pitryeṣvapi prāpnuvanti	paWitAH sAmAnya pariBAzAyAH bADita tvAt pitryezu api prApnuvanti
   tadvādhārthamidam /	tad vADa arTam idam /
   atra ca yeṣāṃ pitryāṇāṃ svātantryeṇa svakole pravṛttiḥ teṣāmevāyaṃ	atra ca yezAm pitryANAm svAtantryeNa sva kole pravRttiH tezAm eva ayam
   prācīnāvītavidhiḥ natvanyatrāṅgatvena prayujyamānānām /	prAcInAvIta viDiH natu anyatra aFga tvena prayujyamAnAnAm /
   tena daiveṣi mānuṣeṣu ca karmasu"pitaraḥ pitāmahā"ityatra yajñopavītameva	tena dEvezi mAnuzezu ca karmasu"pitaraH pitAmahA" iti atra yajQopavItam eva
   bhavati /	Bavati /
   apara āha "tasmādabhyātānā vaiśvadevā"(tai.saṃ.3 4 6). iti	aparaH Aha "tasmAt aByAtAnA vESvadeva A"(tE.saM.3 4 6). iti
   darśanāt"pitaraḥ pitāmahā"ityasyāpi pitryatvādeva prācīnāvītasyāprasaṅgaḥ	darSanAt"pitaraH pitAmaha a"iti asya api pitrya tvAt eva prAcInAvItasya aprasaFgaH
   iti /	iti /
   tathā"aparapakṣe pitryāṇī"tyasminnadhikāre (1) abhihitaṃ	taTA a"a para pakze pitryANi i"ti asmin= aDikAre (1) aBihitam
   prācīnāvītamaviśeṣeṇa pitrye karmāṇi sāṅge pravartate /	prAcInAvItam aviSezeNa pitrye karmANi sa aFge pravartate /
   tena pitrye ājyabhāgante karmaṇi jayādau ca prācīnāvītameva bhavati //	tena pitrye Ajya BAgante karmaNi jaya AdO ca prAcInAvItam eva Bavati //
   ĀpGs Tāt_1.10:	ĀpGs TAt _1.10:
   kāryāṇītyeva /	kAryANi iti eva /
   ayaṃ ca vidhissvatantrapitryoddeśena /	ayam ca viDissvatantra pitrya uddeSena /
   (2) aṅgānāṃ tu sahaprayojyānāṃ mukhyakālatvena kālavidhyapekṣābhāvāt /	(2) aFgAnAm tu saha prayojyAnAm muKya kAla tvena kAla viDi apekzA BAvAt /
   eṣa ca na pūrvapakṣamātrāpavādaḥ /	eza ca na pUrva pakza mAtra apavAdaH /
   kiṃ tarhi?sarvāpavādārtha vidhyantaram /	kim tarhi? sarva apavAda arTa viDi antaram /
   āḥ!kuta etadjñāyate ? /	AH!kute etat jQAyate ? /
   'na ca naktaṃ śrāddhaṃ kurvīta'(āpa.dha.2 17 23) iti jñāpanāt /	ana ca naktam SrAdDam kurvIta a(Apa.Da.2 17 23) iti jQApanAt /
   (3) yadi hyayaṃ pūrvapakṣamātrāpavādassyāt, tata udagayanādīnāṃ	(3) yadi hi ayam pUrva pakza mAtrA apavAda ssyAt, tatas udagayana AdInAm
   trayāṇāmapavādābhāvādrātrāvaprasakteḥ pratiṣedho na syāt, (4) asti ca	trayANAm apavAda aBAvAt rAtrO= aprasakteH pratizeDaH na syAt, (4) asti ca
   pratiṣedhaḥ, ityato jñāyate vidhyantarameveti /	pratizeDaH, iti atas jQAyate viDi antaram eva iti /
   prayojanaṃ tvaviśeṣeṇa dakṣiṇāyane 'pyaparapakṣe 'hni kāmyaśrāddhāni	prayojanam tu aviSezeNa dakziNAyane api apara pakze ahni kAmya SrAdDAni
   kartavyānīti /	kartavyAni iti /
   māsiśrāddhaṃ tu 'māsi māsi kāryam'(āpa. dharma.2 16 4) iti (5) vīpsayā	mAsi SrAdDam tu amAsi mAsi kAryam a(Apa. Darma.2 16 4) iti (5) vIpsayA
   dakṣiṇāyane 'pi siddhameva /	dakziNAyane api sidDam eva /
   nanvasmin sati 'māsiśrāddhasyāparapakṣe'(āpa.gṛ.21 1.) iti vidhiḥ	nanu asmin sati amAsi SrAdDasya apara pakze a(Apa.gR.21 1.) iti viDiH
   kimarthaḥ? /	kimarTaH? /
   niyamārthaḥ /	niyama arTaH /
   tathā hi aparapakṣa eva māsiśrāddham, na punardaaivānmānuṣādvā(1)	taTA hi a para pakzaH eva mAsi SrAdDam, na punar daEvAt mAnuzAt vA(1)
   vighātādaparapakṣe 'tikrānte"sarvo 'parapakṣaḥ pūrṇamāsasya"itayādivat	viGAtAt apara pakze atikrAnte" sarvaH apara pakzaH pUrNamAsasya"itayA Adi vat 
   pūrvapakṣe 'pi kartavyam /	pUrva pakze api kartavyam /
   kintu prārabdhasmārtanityakarmavyāpattau prāyaścittameva /	kintu prArabDa smArta nitya karma vyApattO prAyaScittam eva /
   tacca 'bhūrbhuvassuvassvāhā'ityeko homassarvaprāyaścittākhyaḥ /	tat ca aBUrBuvassuvassvAhA aiti ekaH homa ssarva prAyaScitta AKyaH /
   'yadyavijñātā sarvavyāpadvā bhūrbhuvassvariti sarvā anudrutyāhavanīya eva	ayadi avijQAtA sarva vyApad vA BUH Buvassvar iti sarvAH anudrutya AhavanIyaH eva
   juhuyāt'(ai.brā 24 34). iti bahvṛcaśruteḥ /	juhuyAt a(E.brA 24 34). iti bahu Rca SruteH /
   ayaṃ cātraupāsane, naimittikaikavidhiparaśrutisthāhavanīyaśabdasya nyāyato	ayam ca atra OpAsane, nEmittika eka viDi para Sruti sTA AhavanIya Sabdasya nyAyataH 
   nimittavatkarmārtāgnimātrapradarśanārtatvāt /	nimitta vat karma Arta agni mAtra pradarSana Arta tvAt /
   upavāsaśca kāryaḥ /	upavAsaH ca kAryaH /
   vedoditānāṃ nityānāṃ karmaṇāṃ samatikrame /	veda uditAnAm nityAnAm karmaNAm samatikrame /
   snātakavratalope ca prāyaścittamabhojanam //	snAtaka vrata lope ca prAyaScittam aBojanam //
   (manu.11 203)	(manu.11 203)
   iti manuvacanāt /	iti manu vacanAt /
   (2) ātaminoḥ prāṇāyāmaśca, 'niyamātikrame cānyasmin'(āpa.dha.2 12 18.) iti	(2) AtaminoH prANAyAmaH ca, aniyama atikrame ca anyasmin a(Apa.Da.2 12 18.) iti
   vacanāt /	vacanAt /
   etoṣāṃ samuccayaṃ eva na vikalpaḥ, 'ekasmin doṣe śrūyamāṇāni prāyaścittāni	etozAm samuccayam eva na vikalpaH, aekasmin doze SrUyamANAni prAyaScittAni
   samabhyuccīyeran'(āpa.śrau. 9 1 2) iti darśitatvāt /	samaByuccIyeran a(Apa. SrO. 9 1 2) iti darSita tvAt /
   prasaṅgādanyeṣāṃ lope 'pi prāyaścittamucyate /	prasaFgAt anyezAm lope api prAyaScittam ucyate /
   evamanyeṣāmapi prārabdhānāṃ prāyascittaṃ pākayajñānāṃ vyāpattau, gaumakāle	evam anyezAm api prArabDAnAm prAyascittam pAkayajQAnAm vyApattO, gOma kAle
   'pyatikrānte /	api atikrAnte /
   gauṇakāle ti sa4vaprāyaścittapūrvakaṃ te 'nuṣṭheyāḥ /	gONa kAle ti sa4vaprAyaH citta pUrvakam te anuzWeyAH /
   aupāsanahomasya tu bahukālātikrame aṣṭabhyo homakālebhyaḥ pūrva pratyekaṃ	OpAsana homasya tu bahu kAla atikrame azwaByaH homa kAleByaH pUrva pratyekam
   sarvaprāyaścittapūrvakaṃ (3) atātā homāḥ kartavyāḥ /	sarva prAyaScitta pUrvakam (3) atAtA homAH kartavyAH /
   atropavāsaprāṇāyāmayorācārī na dṛśyate /	atra upavAsa prANAyAmayoH AcArI na dRSyate /
   ūrdhva tu dhāryamāṇe 'pyagnau 'anugato manthyaḥ'(āpa.gṛ.5 17)	UrDva tu DAryamANe api agnO aanugataH manTyaH a(Apa.gR.5 17)
   ityādyagnyutpattiprāyaścitte bhavataḥ, 'caturātramahūyamāno	ityAdi agni utpatti prAyaScitte BavataH, acaturAtramahUyamAnaH 
   'gnirlaukikassampadyate'iti vacanāt /	agniH lOkika ssampadyate aiti vacanAt /
   yadi punarālasyādinotsannāgnireva cirakālaṃ varteta tadā	yadi punar Alasya AdinA utsanna agniH eva cira kAlam varteta tadA
   smṛtyantaratastatkālānurūpaṃ kṛcchrādikaṃ homadravyadānaṃ ca veditavyam /	smRti antarataH tad kAla anurUpam kRcCra Adikam homa dravya dAnam ca veditavyam /
   svakālaṃ anārabdhānāṃ tu pākayajñānāṃ sarvaprāyaścittaṃ hutvā'rambhaḥ	sva kAlam anArabDAnAm tu pAkayajQAnAm sarva prAyaScittam hutvA aramBaH
   kartavyaḥ //	kartavyaH //
   (4) kecit  pākayajñānāṃ (5) svakāleṣvanārambhe ārabdhānāṃ cākaraṇe	(4) kecit pAkayajQAnAm (5) sva kAlezu anAramBe ArabDAnAm ca akaraNe
   gauṇakālātikrame ca caturgṛhītenājyena sagraheṇa saptahotrā juhvati /	gONa kAla atikrame ca caturgRhItena Ajyena sa graheNa sapta hotrA juhvati /
   yadyapi 'saptahotrā yajñavibhraṣṭaṃ	yadi api asapta hotrA yajQa viBrazwam
   yājayeccaturgṛhātenājyena'(āpa.śrau.14 14 11) iti śrauto darvīhomaḥ	yAjayet catur gRhAtena Ajyena a(Apa. SrO.14 14 11) iti SrOtaH darvIhomaH
   yajñavibhreṣe yuktaḥ, tathāpi 'eṣā vā	yajQa viBreze yuktaH, taTA api aezA vA
   anāhitāgneriṣṭiryaccaturhotāraḥ'(āpa.śrau.14 13 2.) ityupakramya	anAhitAgneH izwiH yat catur hotAraH a(Apa. SrO.14 13 2.) iti upakramya
   'āhitāgnestān pratiyādubhayoritarān'(āpa.śrau.14 15 5)	aAhitAgneH tAn pratiyAt uBayoH itarAn a(Apa. SrO.14 15 5)
   ityupasaṃhārāt, gārhye vibhreṣe āhatya prāyaścittavidhānenāpekṣitatvācca	iti upasaMhArAt, gArhye viBreze Ahatya prAyaScitta viDAnena apekzita tvAt ca
   tadvibhreṣe 'pi yukta evoti /	tad viBreze api yuktaH eva uti /
   tattu kapardisvāminoktam //	tat tu kapardi svAminA uktam //
   jātakarmādīnāṃ tu (1) svakālātikrame sarvaprāyaścittapūrvakaṃ	jAtakarma AdInAm tu (1) sva kAla atikrame sarva prAyaScitta pUrvakam
   tadanuṣṭhānam /	tad anuzWAnam /
   karmāṅgānāṃ tu lope sarvaprāyaścittaṃ prāṇāyāmaśca /	karma aFgAnAm tu lope sarva prAyaScittam prANAyAmaH ca /
   anuṣṭhānaṃ cārādupakārakāṇāmākarmasamāpteḥ /	anuzWAnam cArAt upakArakANAm A karma samApteH /
   dravyasaṃskārāṇāṃ tu dravyopayogāt pūrvameva sambhavatām /	dravya saMskArANAm tu dravya upayogAt pUrvam eva samBavatAm /
   pākayajñeṣvāgnihotrika(2) vidhau copanayane cāṅgavyāpattau 'muvassvāhā'iti	pAkayajQezu Agnihotrika(2) viDO ca upanayane ca aFga vyApattO amuvassvAhA aiti
   tatta(3) tkarmāṅgāgnau homaḥ /	tat ta(3) tkarma aFga agnO homaH /
   'anājñātam'iti tisṛbhiśca homo japo vā /	aanAjQAtam aiti tisRBiH ca homaH japaH vA /
   bhuvaranājñātavidhyarthayorvikalpo vā, 'brāhmaṇāvekṣo vidhiḥ	Buvara nAjQAta viDi arTayoH vikalpaH vA, abrAhmaNa avekzaH viDiH
   '(āpa.gṛ.2 10) iti 'śrutitassaṃskāraḥ '(āpa.dharma.2 1 09) iti	a(Apa.gR.2 10) iti aSrutita ssaMskAraH a(Apa.Darma .2 1 09) iti
   śrautaprāyaścittaprāptyarthatvāt /	SrOta prAyaScitta prApti arTa tvAt /
   nanu 'bhavaḥ '; iti dakṣiṇāgnau 'anājñātaṃ'iti cāhavanīye /	nanu  aBavaH a; iti dakziNa agnO aanAjQAtaM aiti ca AhavanIye /
   satyam, iha tayoragnyorabhāvāt naimittikānāmapyaṅgatvenetarāṅgavat	satyam, iha tayoH agnyoH aBAvAt nEmittikAnAm api aFga tvena itara aFga vat
   pradhānāgnau homasya yuktatvācca //	praDAna agnO homasya yukta tvAt ca //
   (4) kecit sarveṣu gārhyakarmasu tadaṅgeṣu ca bhreṣe'anuktamanyato grāhyam	(4) kecid sarvezu gArhya karmasu tad aFgezu ca Breze aanuktam anyatas grAhyam
   'iti nyāyna gṛhyāntaroktāni prāyaścittānyāhuḥ, taccintyam //	aiti nyAyna gRhya antara uktAni prAyaScittAni AhuH, tat cintyam //
   alaṃ prāsaṅgīkena /	alam prAsaFgIkena /
   prakṛtamucyate /	prakRtam ucyate /
   yattu 'aparapakṣasyāparāhṇaśśreyāni'(āpa.dharma.2 16 50) iti,	yat tu aapara pakzasya aparAhNaH SreyAni a(Apa.Darma .2 16 50) iti,
   tadaparāhṇavidhānārthamanuvādaḥ, yathā pātnīvate 'sarvatrānuvaṣaṭkāro	tad aparAhNa viDAna arTam anuvAdaH, yaTA pAtnIvate asarvatra anuvazawkAraH 
   dvidaivatyartugrahādityasāvitrapātnīvatavarjam'(āpa.śrau.12 14 2)	dvi dEvatya Rtu graha Aditya sAvitra pAtnIvata varjam a(Apa. SrO.12 14 2)
   ityanuvaṭkārābhāve prāpte 'pi 'api	iti anuvawkAra aBAve prApte api aapi
   vopāṃśvanuvaṣaṭkuryāt"(āpa.śrau.13 14 9,10) iti /	vA upAMSvanuvazawkuryAt "(Apa. SrO.13 14 9,10) iti /
   'sarveṣvevāparapakṣasyāhassu'(āpa.dharma.2 16 7) iti tvaharviśeṣaṇārtham /	asarvezu eva apara pakzasya ahassu a(Apa.Darma.2 16 7) iti tu ahar viSezaNa arTam /
   aparapakṣasyāhassveva māsiśrāddhaṃ, na pūrvapakṣasyāhassu	apara pakzasya ahassu eva mAsi SrAdDaM, na pUrva pakzasya ahassu
   vikalapenāpyabhimatamiti /	vikalapenA api aBimatam iti /
   itarathā āśaucādatikrānte 'parapakṣe 	itaraTAH ASOcAt atikrAnte apara pakze 
   daivāt pitṝṇāṃ śrāddhe tu āśaucaṃ jāyate yadi /	dEvAt pitLNAm SrAdDe tu ASOcam jAyate yadi /
   āśauce 'tha vyatīte vai tebhyaśśrāddhaṃ pradīyate //	ASOce aTa vyatIte vE teByaH SrAdDam pradIyate //
   iti smṛtyantarāt kadācit pūrvapakṣasyāhassvapi vikalpenedaṃ syāt /	iti smRti antarAt kadAcid pUrva pakzasya ahassu api vikalpena idam syAt /
   nityaśrāddhaṃ tu 'evaṃ saṃvatsaram'(āpa.dha.2 18 13) iti	nitya SrAdDam tu aevam saMvatsaram a(Apa.Da.2 18 13) iti
   atyanta(4) saṃyoge dvitīyābalāt pūrvapakṣe 'pi //7//	atyanta (4) saMyoge dvitIya abalAt pUrva pakze api //7//
   pitryāṇi kāryāṇīti śeṣaḥ /	pitryANi kAryANi iti SezaH /
   idaṃtu vāsovinyāsabhedavidhānaṃ svatantrāsvatantrasarvapitryārtham,	idaMtu vAsaH vinyAsa Beda viDAnam svatantra asvatantra sarva pitrya arTam,
   'prācīnāvītinā pitryāṇi'ityanena vākyena aviśeṣāvagamāt, uddeśye	aprAcInAvItinA pitryANi aiti anena vAkyena aviSeza avagamAt, uddeSye
   pitryamātre labdhe adhikāprakṛta(1) svātantryavivakṣāyāṃ vākyabhedāpatteḥ,	pitrya mAtre labDe aDika aprakRta (1) svAtantrya vivakzAyAm vAkya Beda ApatteH,
   aṅgeṣvapi prācīnāvīte vidheye 'aparapakṣe	aFgezu api prAcInAvIte viDeye aapara pakze
   pitryāṇi'itivadanapekṣitatvābhāvācca /	pitryANi aiti vat anapekzita tva aBAvAt ca /
   tena yāni svatantrāṇi yathā pradhānāhutayaḥ, yāni cāsvatantrāṇi yathā	tena yAni svatantrANi yaTA praDAna AhutayaH, yAni ca asvatantrANi yaTA
   dvitāyanimārjanādīni, tāni sarvāṇyeva prācīnāvītinā kāryāṇi /	dvi tAyani mArjana AdIni, tAni sarvANi eva prAcInAvItinA kAryANi /
   itthameva 'yajñopavītinā'ityapi /	itTam eva ayajQa upavItinA aiti api /
   tena pitryāṅgānyapi daivānyāghārādīni yajñopavītinaiva /	tena pitrya aFgAni api dEvAni AGAra AdIni yajQopavItinA eva /
   itarāṅgānāṃ tu pātraprayogādīnāṃ tattatpradhānavadeva //	itara aFgAnAm tu pAtra prayoga AdInAm tad tad praDAna vat eva //
   kecit  aṅgānāṃ pradhānadharmatā nyāyyeti pitryāṅgāni daivānyapi	kecit aFgAnAm praDAna Darma tA nyAyyA iti pitrya aFgAni dEvAni api
   prācīnāvītinā, daivāṅgāni pitryāṇyati yajñopavītineti, taccintyaṃme // 8	prAcInAvItinA, dEva aFgAni pitryANi ati yajQopavItinA iti, tat cintyaMme // 8
   tathaiva śeṣaḥ //9//	taTA eva SezaH //9//
   pitryeṣu kārya iti śeṣaḥ /	pitryezu kAryaH iti SezaH /
   atra 'prācīnāvītī'(āpa.pari.2.16)ityādiparibhāṣayā eṣāṃ trayāṇāmapi	atra aprAcInOvItI a(Apa.pari.2.16)iti Adi pariBAzayA ezAm trayANAm api
   siddhatvāt	sidDa tvAt 
   apākayajñanityaṣoḍaśaśrāddhādyartho vidhiḥ //10//	apAkayajQa nitya zoxaSa SrAdDa Adi arTaH viDiH //10//
   nimittāvekṣāṇi naimittikāni // ĀpGs_1.11 //	nimitta avekzANi nEmittikAni // ĀpGs_1.11 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.11:	ĀpGs AnAH _1.11:
   prācīnāvītinā prasavyaṃ dakṣiṇato 'pavarga iti pūrvasūtreṇa sambandhaḥ /	prAcInAvItinA prasavyam dakziNatas apavargaH iti pUrva sUtreNa sambanDaH /
   nimittāni yāni naimittikāni karmāni tāni nimittamavekṣya tadanantarameva	nimittAni yAni nEmittikAni karmAni tAni nimittam avekzya tad anantaram eva
   kartavyāni, na tatra udagayanādyapekṣā /	kartavyAni, na tatra udagayana Adi apekzA /
   "agārasthūṇāviroṇa"(āpa.gṛ.23 9) ityudāharaṇāni /	"agAra sTUNA viroNa "(Apa.gR.23 9) iti udAharaNAni /
   tatrāmāvāsyāyāṃ niśaśāyāmiti vacanāt tāvānutkarṣaḥ /	tatra amAvAsyAyAm niSaSAyAm iti vacanAt tAvAn utkarzaH /
   gṛhapraveśanaṃ naimittikamiti kecit /	gRha praveSanam nEmittikam iti kecid /
   netyanye //8//	na iti anye //8//
   ĀpGs Tāt_1.11:	ĀpGs TAt _1.11:
   naimittikānyāgrayaṇātithyasīmantādīni nimittāvekṣāṇi /	nEmittikAni AgrayaNa AtiTya sImanta AdIni nimitta avekzANi /
   nimittāni vrīhipākādīnyevānuṣṭhāne 'vekṣante nodagayanādīnītyarthaḥ /	nimittAni vrIhi pAka AdIni eva anuzWAne avekzante na udagayana AdIni iti arTaH /
   atrāpi sambhavata  pūrvapakṣādernāpavāda  //11//	atra api samBavata pUrva pakza AdeH na apavAda //11//
   evaṃ prayogānuvandhaṃ kālādikamukttvā idānīṃ sarvagārhyapradhānahomānāṃ	evam prayoga anuvanDam kAla Adikam ukttvA idAnIm sarva gArhya praDAna homAnAm
   sādhāraṇatantranāmānaṃ prācyodācyāṅgasamudāyaṃ	sADAraNa tantra nAmAnam prAcya udAcya aFga samudAyam
   prayojyabhedamāha 'agnimidhvā'; ityādi 'mantra sannāmaḥ'(āpa.gṛ.2 8.)	prayojya Bedam Aha  aagnim iDvA a; ityAdi amantra sannAmaH a(Apa.gR.2 8.)
   ityantena /	iti antena /
   2. agnimukhanirūpaṇam  	2. agni muKa nirUpaNam  
   1 paristaraṇādi /	1 paristaraNa Adi /
   agnimidhvā prāgagrairdarbhairagniṃ paristṛṇāti // ĀpGs_1.12 //	agnim iDvA prAc agrEH darBEH agnim paristRNAti // ĀpGs_1.12 //
   prāgudagagrairvā // ĀpGs_1.13 //	prAc udak agrEH vA // ĀpGs_1.13 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_1.13:	ĀpGs AnAH _1.13:
   uktāḥ pākayajñaparibhāṣāḥ atha teṣāṃ sādhāraṇatantraṃ	uktAH pAkayajQa pariBAzAH aTa tezAm sADAraNa tantram
   vakṣyate agnimidhveti /	vakzyate agnim iDvA iti /
   tadagnerupasamādhānamityucyate /	tad agneH upasamADAnam iti ucyate /
   etacca karmāṅgam /	etat ca karma aFgam /
   kiṃ punaratrāgniḥ? patnīsambandheṣvaupāsanam /	kim punar atra agniH? patnI sambanDezu OpAsanam /
   anya laukikaḥ kecijjātakarmaprabhṛti"parigrahamagnericchanti /	anyaH lOkikaH kecid jAtakarma praBRti"parigraham agneH icCanti /
   anye punaḥ upanayanaprabhṛti /	anye punar upanayana praBRti /
   apare"yatrāntyāṃ samidhamādadhyāt taṃ vāparigṛhṇīyā"diti /	apare"yatra antyAm samiDam AdaDyAt tam vA aparigRhNIyA"t iti /
   yatra tu psiddhau'gnirnāsti tatra śrautriyāgārādāharaṇaṃ mathanaṃ vā /	yatra tu psidDO agniH na asti tatra SrOtriya AgArAt AharaNam maTanam vA /
   "yatra kvacīgni"mityayaṃ tu deśasaṃskāraḥ sarvatra bhavati yadi	"yatra kvacIgni"m iti ayam tu deSa saMskAraH sarvatra Bavati yadi
   syādasskṛto deśaḥ /	syAt asskRtaH deSaH /
   agnimidhveti prakṛte punaragnigrahaṇaṃ yeṣu tantraṃ na pravartate tatrāpi	agnim iDvA iti prakRte punar agni grahaNam yezu tantram na pravartate tatra api
   paristaraṇaṃ yathā syāditi agniṃ paristṛṇāti sarvaveti /	paristaraNam yaTA syAt iti agniM paristRNAti sarva vA iti /
   upasamādhānaṃ tu tatrārthasiddham /	upasamADAnam tu tatra arTa sidDam /
   prāgudagagrairvā /	prAc udak agrEH vA /
   atha vā na sarvataḥ prāgaggaireva paristaraṇaṃ kiṃ tarhi	aTa vA na sarvatas prAgaggEH eva paristaraNam kim tarhi
   prāgagrairudagagraiśca /	prAc agrEH udak agrEH ca /
   tatrodagagrāḥ paścātpurastācca //9//	tatra udak agrAH paScAt purastAt ca //9//
   ĀpGs Tāt_1.13:	ĀpGs TAt _1.13:
   atra ca agnipadārthaviśeṣapratipattyartha smārteṣvagnirnirūpyate /	atra ca agni padArTa viSeza pratipatti arTa smArtezu agniH nirUpyate /
   tatra yājñavalkyavacanam /	tatra yAjQavalkya vacanam /
   karma smārta vivāgāgnau kurvīta pratyahaṃ gṛhī /	karma smArta vivAga agnO kurvIta pratyaham gRhI /
