   Adhyāya 1, Adhikaraṇa 1:	ADyAyaH 1, ADikaraNa 1:
   vauyadarśanamātreṇaivopapannamiti na vasiṣṭhādikartṛkatvavādinā	vOya-darSana-mAtreNa-eva-upapannam-iti na vasizWa-Adi-kartRka-tva-vAdinA
   etādṛśayogeneva kāṭhakādisamākhyānāpamupapādanīyatavācca, kartrajanyatave	etAdRSa-yogena-iva kAWaka-Adi-samAKyAnApam-upapAdanIyatavAt-ca, kartR-ajanyatave
   'pi yatpratītyartha yadvākyaṃ tatparaṃ taditi tādarthyarūpatātpaṣasya	api yat-prati-iti-arTa yat-vAkyam tat-param tat-iti tAdarTya-rUpa-tAtpazasya
   vede'pyupapannatvena tadanupapattyāpādanasyāyuktatavācca,	vede-api-upapanna-tvena tad-anupapatti-ApAdanasya-ayukta-tavAt-ca,
   prāmāṇyaghaṭitayāvatpadārthānāṃ	prAmANya-Gawita-yAvat-padArTAnAm
   arthāvabodhakatvānadhigatārthabodhakatvādirūpāṇāṃ vede 'pi	arTa-avaboDaka-tvAn-aDigata-arTa-boDaka-tva-Adi-rUpANAm vede api
   saṃbhavenā'ptavākyajanyatvābhāve 'pi tadupapatteśca /	saMBavenA-apta-vAkya-janya-tva-aBAve api tad-upapatteH-ca /
   astuvā arthavādādipramāṇakam sṛṣṭipralayādikaṃ vedādināśaśrca ; tathāpi	astuvAH arTavAda-Adi-pramANakam sRzwi-pralaya-Adikam veda-AdinASaSrca ; taTA-api
   saṃsārasyānāditvenaikakalpasamutthitaṃ vedaṃ kalpāntarer iśrvaraḥ	saMsArasya-anAdi-tvena-eka-kalpa-samutTitam vedam kalpa-antareH iSrvaraH
   sarvajñatvādupadiśatītyeva kalpanālaghavenopapattau pratikalpaṃ	sarvajQa-tvAt-upadiSati-iti-eva kalpanA-laGavena-upapattO pratikalpam
   racanākalpanāgauravasyānnayāyyatavena neśrvarakartṛkatvakalpanaṃ yuktam /	racanA-kalpanA-gOravasya-anna-yAyyatavena na-ISrvara-kartRka-tva-kalpanam yuktam /
   saṃsārasya sāditve hi abhinavānupūrvīviracanamavaśyaṃ yuktam /	saMsArasya sAdi-tve hi aBinava-AnupUrvI-viracanam-avaSyam yuktam /
   saṃsārasya sāditve hi abhinavānupūrvīviracanamavaśyaṃ abhyupeyaṃ syāt /	saMsArasya sAdi-tve hi aBinava-AnupUrvI-viracanam-avaSyam aByupeyam syAt /
   naca tatsaṃbhavati ; sṛṣṭeḥ pūrva vedābhāvāt	na-ca tad-saMBavati ; sRzweH pUrva veda-aBAvAt
   vedaikasamadhigamyadharmādharmābhāve tadanuṣṭhānābhāvāt	veda-eka-samaDigamya-Darma-aDarma-aBAve tad-anuzWAna-aBAvAt
   kalpāntarotpannaprāṇināṃ sukhaduḥkhotpattyanupapatteḥ, vākyaracanasya	kalpa-antara-utpanna-prANinAm suKa-duHKa-utpatti-anupapatteH, vAkya-racanasya
   janyajñānapūrvakatvadarśanena riśrvare janyajñānakalpanāprasaṃgāpatteśrca,	janya-jQAna-pUrvakatva-darSanena riSrvare janya-jQAna-kalpanA-prasaMga-ApatteSrca,
   nityajñānasya vedaprāmāṇyādhīnasiddhitvenetaretarāśrayāt, 'sati	nitya-jQAnasya veda-prAmANya-aDIna-sidDi-tvena-itaretara-ASrayAt, asati
   vedaprāmāṇye tadbodhitanityajñānavattvena riśrvarasya tatkartṛtvaṃ,	veda-prAmANye tad-boDita-nitya-jQAnavat-tvena riSrvarasya tad-kartR-tvaM,
   tatkartṛtvena ca vedaprāmāṇyamiti /	tad-kartR-tvena ca veda-prAmANyam-iti /
   etena - kṣityādikaṃ sakartṛkaṃ, kāryatvāt, ityanumānena	etena  kziti-Adikam sa-kartR-kaM, kArya-tva-at, iti-anumAnena
   nityajñānavadīśrvarasiddhau tadīyajñānamūlakatvena vedasya prāmāṇyam iti -	nitya-jQAna-vat-I-Srvara-sidDO tadIya-jQAna-mUlaka-tvena vedasya prAmANyam iti -
   parāstam ; tāvatāpyanityajñānavata eva kṣityādikartṛsiddhau	parAH-tam ; tOvatA-api-anitya-jQAnavataH eva kziti-Adi-kartR-sidDO
   tadīyajñānasyāpi mūlapramāṇaṃ vinā prāmāṇyāsiddheḥ /	tadIya-jQAnasya-api mUla-pramANam vinA prAmANya-asidDeH /
   ataeva ' yasya niḥśrvasitaṃ vadā' iti śrutirapi	ataeva a yasya niHSrvasitam vadAa iti SrutiH-api
   niḥśrvāsavadaprayatnasiddhatvaṃ vadati; vedasya	niHSrvAsa-vat-aprayatna-sidDa-tvam vadati; vedasya
   cāsmaryamāṇakartṛkatvenājanyatvasyeva pratīteḥ /	ca-asmaryamANa-kartRka-tvena-ajanya-tvasya-iva pratIteH /
   ānupūrvīviśeṣaviśiṣṭavarṇātmakasya vedasya varṇasvarūpeṇa nityatve 'pi	AnupUrvI-viSeza-viSizwa-varNa-Atmakasya vedasya varNa-svarUpeNa nitya-tve api
   ānupūrvīviśeṣasyoccāraṇasāmagrī janyatvenānityatvam /	AnupUrvI-viSezasya-uccAraNa-sAmagrI janya-tvena-anitya-tvam /
   sagakāle ca tajjātīyānupūrvī kācidastīti kāryarūpeṇānāditvenaiva	saga-kAle ca tad-jAtIya-AnupUrvI kAcid-asti-iti kArya-rUpeNa-anAdi-tvena-eva
   nityatvaṃ, na gaganādivat svarūpeṇānāditvenetyarthe siddhe	nitya-tvaM, na gagana-Adi-vat svarUpeNa-anAdi-tvena-iti-arTe sidDe
   kathamapyaprāmāṇyakāraṇābhāve svata eva	kaTam-api-aprAmANya-kAraNa-aBAve svatas eva
   nirdeṣādabādhitapratītyutpattisaṃbhavādyuktameva pūrvoktaṃ	nirdezAt-abADita-pratIti-utpatti-saMBava-Adi-uktam-eva pUrva-uktam
   dharmādharmalakṣaṇadvayam //	Darma-aDarma-lakzaNa-dvayam //
   <B1>.	<B1>.
