   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
   tadviśeṣād api mṛdutīvrasaṃvegasyāsannaḥ tato	tad-viSezAt api mRdu-tIvra-saMvegasya-AsannaH tatas-
   madhyatīvrasaṃvegasyāsannataraḥ, tasmād	maDya-tIvra-saMvegasya-AsannataraH, tasmAt-
   adhimātratīvrasaṃvegasyādhimātropāyasyāpy āsannatamaḥ samādhilābhaḥ	aDimAtra-tIvra-saMvegasya-aDimAtra-upAyasya-api AsannatamaH samADi-lABaH
   samādhiphalaṃ ceti. 1.22	samADi-Palam ceti. 1.22
   kim etasmād evāsannatamaḥ samādhir bhavati. athāsya lābhe bhavaty anyo 'pi	kim etasmAt eva-AsannatamaH samADiH Bavati. aTa-asya lABe Bavati anyaH api
   kaścid upāyo na veti ---	kaScid upAyaH na vA-iti ---
        īśvarapraṇidhānād vā || YS_1.23 ||	ISvara-praNiDAnAt vA || YH-_1.23 ||
   praṇidhānād bhaktiviśeṣād āvarjita īśvaras tam anugṛhṇāty	praNiDAnAt Bakti-viSezAt AvarjitaH ISvaraH tam anugRhNAti-
   abhidhyānamātreṇa. tadabhidhyānamātrād api yogina āsannatamaḥ	aBiDyAna-mAtreNa. tad-aBiDyAna-mAtrAt api yoginaH AsannatamaH
   samādhilābhaḥ samādhiphalaṃ ca bhavatīti. 1.23	samADi-lABaH samADi-Palam ca Bavati-iti. 1.23
   atha pradhānapuruṣavyatiriktaḥ ko 'yam īśvaro nāmeti ---	aTa praDAna-puruza-vyatiriktaH kaH ayam ISvaraH nAma-iti ---
        kleśakarmavipākāśayair aparāmṛṣṭaḥ puruṣaviśeṣa īśvaraḥ || YS_1.24 ||	kleSa-karma-vipAka-ASayEH aparAmRzwaH puruza-viSezaH ISvaraH || YH-_1.24 ||
   avidyādayaḥ kleśāḥ. kuśalākuśalāni karmāṇi. tatphalaṃ vipākaḥ. tadanuguṇā	avidyA-AdayaH kleSAH. kuSala-akuSalAni karmANi. tad-Palam vipAkaH. tad-anuguNA
   vāsanā āśayāḥ. te ca manasi vartamānāḥ puruṣe vyapadiśyante, sa hi	vAsanAH ASayAH. te ca manasi vartamAnAH puruze vyapadiSyante, sa hi
   tatphalasya bhokteti. yathā jayaḥ parājayo vā yoddhṛṣu vartamānaḥ svāmini	tad-Palasya BoktA-iti. yaTA jayaH parAjayaH vA yodDRzu vartamAnaH svAmini
   vyapadiśyate. yo hy anena bhogenāparāmṛṣṭaḥ sa puruṣaviśeṣa īśvaraḥ.	vyapadiSyate. yaH hi anena Bogena-aparAmRzwaH sa puruza-viSezaH ISvaraH.
        kaivalyaṃ prāptās tarhi santi ca bahavaḥ kevalinaḥ. te hi trīṇi	kEvalyam prAptAH tarhi santi ca bahavaH kevalinaH. te hi trINi
   bandhanāni cchittvā kaivalyaṃ prāptā īśvarasya ca tatsaṃbandho na bhūto na	banDanAni cCittvA kEvalyam prAptAH ISvarasya ca tad-saMbanDaH na BUtaH na
   bhāvī. yathā muktasya pūrvā bandhakoṭiḥ prajñāyate naivam īśvarasya. yathā	BAvI. yaTA muktasya pUrvA banDa-kowiH prajQAyate na-evam ISvarasya. yaTA
   vā prakṛtilīnasyottarā bandhakoṭiḥ saṃbhāvyate naivam īśvarasya. sa tu	vA prakRti-lInasya-uttarA banDa-kowiH saMBAvyate na-evam ISvarasya. sa tu
   sadaiva muktaḥ sadaiveśvara iti.	sadA-eva muktaH sadA-eva-ISvaraH iti.
        yo 'sau prakṛṣṭasattvopādānād īśvarasya śāśvatika utkarṣaḥ sa kiṃ	yaH asO prakRzwa-sattva-upAdAnAt ISvarasya SASvatikaH utkarzaH sa kim
   sanimitta āhosvin nirnimitta iti. tasya śāstraṃ nimittam.	sa-nimittaH Ahosvit nirnimittaH iti. tasya SAstram nimittam.
        śāstraṃ punaḥ kiṃnimittam, prakṛṣṭasattvanimittam.	SAstram punar kiMnimittam, prakRzwa-sattva-nimittam.
   etayoḥ śāstrotkarṣayor īśvarasattve vartamānayor anādiḥ saṃbandhaḥ.	etayoH SAstra-utkarzayoH ISvara-sattve vartamAnayoH anAdiH saMbanDaH.
   etasmād etad bhavati sadaiveśvaraḥ sadaiva mukta iti. tac ca tasyaiśvaryaṃ	etasmAt etat Bavati sadA-eva-ISvaraH sadA-eva muktaH iti. tat ca tasya-ESvaryam
   sāmyātiśayavinirmuktam. na tāvad aiśvaryāntareṇa tad atiśayyate. yad	sAmya-atiSaya-vinirmuktam. na tAvat ESvarya-antareNa tat atiSayyate. yat-
   evātiśayi syāt tad eva tat syāt. tasmād yatra kāṣṭhāprāptir aiśvaryasya sa	eva-atiSayi syAt tat eva tat syAt. tasmAt yatra kAzWA-prAptiH ESvaryasya sa
   īśvara iti. na ca tatsamānam aiśvaryam asti. kasmāt, dvayos tulyayor	ISvaraH iti. na ca tad-samAnam ESvaryam asti. kasmAt, dvayoH tulyayoH-
   ekasmin yugapatkāmite 'rthe navam idam astu purāṇam idam astv ity ekasya	ekasmin yugapad-kAmite arTe navam idam astu purANam idam astu iti ekasya
   siddhāv itarasya prākāmyavighātād ūnatvaṃ prasaktam. dvayoś ca tulyayor	sidDO itarasya prAkAmya-viGAtAt Una-tvam prasaktam. dvayoH ca tulyayoH-
   yugapatkāmitārthaprāptir nāsti. arthasya viruddhatvāt. tasmād yasya	yugapad-kAmita-arTa-prAptiH nAsti. arTasya virudDa-tvAt. tasmAt yasya
   sāmyātiśayair vinirmuktam aiśvaryaṃ sa eveśvaraḥ. sa ca puruṣaviśeṣa iti.	sAmya-atiSayEH vinirmuktam ESvaryam saH eva-ISvaraH. sa ca puruza-viSezaH iti.
   kiṃ ca ---	kim ca ---
        tatra niratiśayaṃ sarvajñabījam || YS_1.25 ||	tatra niratiSayam sarvajQa-bIjam || YH-_1.25 ||
   yad idam atītānāgatapratyutpannapratyekasamuccayātīndriyagrahaṇam alpaṃ	yat idam atIta-anAgata-pratyutpanna-pratyeka-samuccaya-ati-indriya-grahaNam alpam
   bahv iti sarvajñabījam etad vivardhamānaṃ yatra niratiśayaṃ sa sarvajñaḥ.	bahu iti sarvajQa-bIjam etat vivarDamAnam yatra niratiSayam sa sarvajQaH.
   asti kāṣṭhāprāptiḥ sarvajñabījasya sātiśayatvāt parimāṇavad iti. yatra	asti kAzWA-prAptiH sarvajQa-bIjasya sa-atiSaya-tvAt parimANa-vat iti. yatra
   kāṣṭhāprāptir jñānasya sa sarvajñaḥ. sa ca puruṣaviśeṣa iti.	kAzWA-prAptiH jQAnasya sa sarvajQaH. sa ca puruza-viSezaH iti.
        sāmānyamātropasaṃhāre ca kṛtopakṣayam anumānaṃ na viśeṣapratipattau	sAmAnya-mAtra-upasaMhAre ca kRta-upakzayam anumAnam na viSeza-pratipattO
   samartham iti. tasya saṃjñādiviśeṣapratipattir āgamataḥ paryanveṣyā.	samarTam iti. tasya saMjQA-Adi-viSeza-pratipattiH AgamataH paryanvezyA.
   tasyātmānugrahābhāve 'pi bhūtānugrahaḥ prayojanam. jñānadharmopadeśena	tasya-Atma-anugraha-aBAve api BUta-anugrahaH prayojanam. jQAna-Darma-upadeSena
   kalpapralayamahāpralayeṣu saṃsāriṇaḥ puruṣān uddhariṣyāmīti. tathā coktam	kalpa-pralaya-mahApralayezu saMsAriNaH puruzAn udDarizyAmi-iti. taTA ca-uktam
   --- ādividvān nirmāṇacittam adhiṣṭhāya kāruṇyād bhagavān paramarṣir	-- Adi-vidvAn nirmANa-cittam aDizWAya kAruNyAt BagavAn parama-RziH-
   āsuraye jijñāsamānāya tantraṃ provāceti. 1.25	Asuraye jijQAsamAnAya tantram provAca-iti. 1.25
   sa eṣaḥ ---	saH ezaH ---
        pūrveṣām api guruḥ kālenānavacchedāt || YS_1.26 ||	pUrvezAm api guruH kAlena-anavacCedAt || YH-_1.26 ||
   pūrve hi guravaḥ kālenāvacchidyante. yatrāvacchedārthena kālo nopāvartate	pUrve hi guravaH kAlena-avacCidyante. yatra-avacCeda-arTena kAlaH na-upAvartate
   sa eṣa pūrveṣām api guruḥ. yathāsya sargasyādau prakarṣagatyā siddhas	saH eza pUrvezAm api guruH. yaTA-asya sargasya-AdO prakarza-gatyA sidDa-s
   tathātikrāntasargādiṣv api pratyetavyaḥ. 1.26	taTA-atikrAnta-sarga-Adizu api pratyetavyaH. 1.26
   tasya vācakaḥ praṇavaḥ || YS_1.27 ||	tasya vAcakaH praNavaH || YH-_1.27 ||
        vācya īśvaraḥ praṇavasya. kim asya saṃketakṛtaṃ vācyavācakatvam atha	vAcyaH ISvaraH praNavasya. kim asya saMketa-kRtam vAcya-vAcaka-tvam aTa
   pradīpaprakāśavad avasthitam iti.	pradIpa-prakASa-vat avasTitam iti.
        sthito 'sya vācyasya vācakena saha saṃbandhaḥ. saṃketas tv īśravasya	sTitaH asya vAcyasya vAcakena saha saMbanDaH. saMketaH tu ISravasya
   sthitam evārtham abhinayati. yathāvasthitaḥ pitṛputrayoḥ saṃbandhaḥ	sTitam eva-arTam aBinayati. yaTA-avasTitaH pitR-putrayoH saMbanDaH
   saṃketenāvadyotyate, ayam asya pitā, ayam asya putra iti. sargāntareṣv api	saMketena-avadyotyate, ayam asya pitA, ayam asya putraH iti. sarga-antarezu api
   vācyavācakaśaktyapekṣas tathaiva saṃketaḥ kriyate. saṃpratipattinityatayā	vAcya-vAcaka-Sakti-apekzaH taTA-eva saMketaH kriyate. saMpratipatti-nityatayA
   nityaḥ śabdārthasaṃbandha ity āgaminaḥ pratijānate. 1.27	nityaH Sabda-arTa-saMbanDaH iti AgaminaH pratijAnate. 1.27
   vijñātavācyavācakatvasya yoginaḥ ---	vijQAta-vAcya-vAcaka-tvasya yoginaH ---
        tajjapas tadarthabhāvanam || YS_1.28 ||	tad-japaH tad-arTa-BAvanam || YH-_1.28 ||
   praṇavasya japaḥ praṇavābhidheyasya ceśvarasya bhāvanam. tad asya yoginaḥ	praNavasya japaH praNava-aBiDeyasya ca-ISvarasya BAvanam. tat asya yoginaH
   praṇavaṃ japataḥ praṇavārthaṃ ca bhāvayataś cittam ekāgraṃ saṃpadyate.	praNavam japataH praNava-arTam ca BAvayataH cittam ekAgram saMpadyate.
   tathā coktam ---	taTA ca-uktam ---
        "svādhyāyād yogam āsīta yogāt svādhyāyam āmanet /	"svADyAyAt yogam AsIta yogAt svADyAyam Amanet /
        svādhyāyayogasaṃpattyā paramātmā prakāśate //" iti. 1.28	svADyAya-yoga-saMpattyA paramAtmA prakASate //" iti. 1.28
   kiṃ cāsya bhavati ---	kim ca-asya Bavati ---
        tataḥ pratyakcetanādhigamo 'py antarāyābhāvaś ca || YS_1.29 ||	tatas pratyak-cetanA-aDigamaH api antarAya-aBAvaH ca || YH-_1.29 ||
   ye tāvad antarāyā vyādhiprabhṛtayas te tāvad īśvarapraṇidhānān na	ye tAvat antarAyAH vyADi-praBRtayaH te tAvat ISvara-praNiDAnAt na
   bhavanti. svarūpadarśanam apy asya bhavati. yathaiveśvaraḥ puruṣaḥ śuddhaḥ	Bavanti. svarUpa-darSanam api asya Bavati. yaTA-eva-ISvaraH puruzaH SudDaH
   prasannaḥ kevalo 'nupasargas tathāyam api buddheḥ pratisaṃvedī yaḥ puruṣas	prasannaH kevalaH anupasargaH taTA-ayam api budDeH pratisaMvedI yaH puruzas
   tam adhigacchati. 1.29	tam aDigacCati. 1.29
   atha ke 'ntarāyā ye cittasya vikṣepāḥ. ke punas te kiyanto veti ---	aTa ke antarAyAH ye cittasya vikzepAH. ke punar te kiyantaH vA-iti ---
        vyādhistyānasaṃśayapramādālasyāviratibhrāntidarśanālabdhabhūmikatvānavasthitatvāni	vyADiH-tyAna-saMSaya-pramAda-Alasya-Avirati-BrAnti-darSana-alabDa-BUmika-tva-anavasTita-tvAni
   cittavikṣepās te 'ntarāyāḥ || YS_1.30 ||	citta-vikzepAH te antarAyAH || YH-_1.30 ||
        navāntarāyāś cittasya vikṣepāḥ. sahaite cittavṛttibhir bhavanti.	nava-antarAyAH cittasya vikzepAH. saha-ete citta-vRttiBiH Bavanti.
   eteṣām abhāve na bhavanti pūrvoktāś cittavṛttayaḥ. vyādhir	etezAm aBAve na Bavanti pUrva-uktAH citta-vRttayaH. vyADiH-
   dhāturasakaraṇavaiṣamyam. styānam akarmaṇyatā cittasya. saṃśaya	DAtu-rasa-karaNa-vEzamyam. styAnam akarmaNya-tA cittasya. saMSaya
   ubhayakoṭispṛg vijñānaṃ syād idam evaṃ naivaṃ syād iti. pramādaḥ	uBaya-kowi-spRS vijQAnam syAt idam evam na-evam syAt iti. pramAdaH
   samādhisādhanānām abhāvanam. ālasyaṃ kāyasya cittasya ca gurutvād	samADi-sADanAnAm aBAvanam. Alasyam kAyasya cittasya ca guru-tvAt-
   apravṛttiḥ. aviratiś cittasya viṣayasaṃprayogātmā gardhaḥ. bhrāntidarśanaṃ	apravRttiH. aviratiH cittasya vizaya-saMprayoga-AtmA garDaH. BrAnti-darSanam
   viparyayajñānam. alabdhabhūmikatvaṃ samādhibhūmer alābhaḥ. anavasthitatvaṃ	viparyaya-jQAnam. alabDa-BUmika-tvam samADi-BUmeH alABaH. anavasTita-tvam
   yal labdhāyāṃ bhūmau cittasyāpratiṣṭhā. samādhipratilambhe hi sati	yat labDAyAm BUmO cittasya-apratizWA. samADi-pratilamBe hi sati
   tadavasthitaṃ syād iti. ete cittavikṣepā nava yogamalā yogapratipakṣā	tat-avasTitam syAt iti. ete citta-vikzepA nava yoga-malA yoga-pratipakzA
   yogāntarāyā ity abhidhīyante. 1.30	yoga-antarAyAH iti aBiDIyante. 1.30
   duḥkhadaurmanasyāṅgamejayatvaśvāsapraśvāsā vikṣepasahabhuvaḥ || YS_1.31 ||	duHKa-dOrmanasya-aFgamejayatva-SvAsa-praSvAsAH vikzepa-sahaBuvaH || YH-_1.31 ||
        duḥkham ādhyātmikam ādhibhautikam ādhidaivikaṃ ca. yenābhihatāḥ	duHKam ADyAtmikam ADiBOtikam ADidEvikam ca. yena-aBihatAH
   prāṇinas tadapaghātāya prayatante tad duḥkham. daurmanasyam icchāvighātāc	prANinaH tad-apaGAtAya prayatante tat duHKam. dOrmanasyam icCA-viGAta-Ac
   cetasaḥ kṣobhaḥ. yad aṅgāny ejayati kampayati tad aṅgamejayatvam. prāṇo	cetasaH kzoBaH. yat aFgAni ejayati kampayati tat aFgamejaya-tvam. prANaH-
   yad bāhyaṃ vāyum ācāmati sa śvāsaḥ. yat kauṣṭhyaṃ vāyuṃ niḥsārayati sa	yat bAhyam vAyum AcAmati sa SvAsaH. yat kOzWyam vAyum niHsArayati sa
   praśvāsaḥ. ete vikṣepasahabhuvo vikṣiptacittasyaite bhavanti.	praSvAsaH. ete vikzepa-sahaBuvaH vikzipta-cittasya-ete Bavanti.
   samāhitacittasyaite na bhavanti. 1.31	samAhita-cittasya-ete na Bavanti. 1.31
   athaite vikṣepāḥ samādhipratipakṣās tābhyām evābhyāsavairāgyābhyāṃ	aTa-ete vikzepAH samADi-pratipakzAH tAByAm eva-aByAsa-vErAgyAByAm
   niroddhavyāḥ. tatrābhyāsasya viṣayam upasaṃharann idam āha ---	nirodDavyAH. tatra-aByAsasya vizayam upasaMharan idam Aha ---
        tatpratiṣedhārtham ekatattvābhyāsaḥ || YS_1.32 ||	tad-pratizeDa-arTam eka-tattva-aByAsaH || YH-_1.32 ||
   vikṣepapratiṣedhārtham ekatattvāvalambanaṃ cittam abhyaset. yasya tu	vikzepa-pratizeDa-arTam eka-tattva-avalambanam cittam aByaset. yasya tu
   pratyarthaniyataṃ pratyayamātraṃ kṣaṇikaṃ ca cittaṃ tasya sarvam eva	pratyarTa-niyatam pratyaya-mAtram kzaNikam ca cittam tasya sarvam eva
   cittam ekāgraṃ nāsty eva vikṣiptam. yadi punar idaṃ sarvataḥ	cittam ekAgram na-asti eva vikziptam. yadi punar idam sarvatas-
   pratyāhṛtyaikasminn arthe samādhīyate tadā bhavaty ekāgram ity ato na	pratyAhRtya-ekasmin arTe samADIyate tadA Bavati ekAgram iti atas na
   pratyarthaniyatam.	pratyarTa-niyatam.
        yo 'pi sadṛśapratyayapravāhena cittam ekāgraṃ manyate tasyaikāgratā	yaH api sadRSa-pratyaya-pravAhena cittam ekAgram manyate tasya-ekAgra-tA
   yadi pravāhacittasya dharmas tadaikaṃ nāsti pravāhacittaṃ kṣaṇikatvāt.	yadi pravAha-cittasya DarmaH tadA-ekam na-asti pravAha-cittam kzaNika-tvAt.
   atha pravāhāṃśasyaiva pratyayasya dharmaḥ, sa sarvaḥ sadṛśapratyayapravāhī	aTa pravAha-aMSasya-eva pratyayasya DarmaH, sa sarvaH sadRSa-pratyaya-pravAhI
   vā visadṛśapratyayapravāhī vā pratyarthaniyatatvād ekāgra eveti	vA visadRSa-pratyaya-pravAhI vA prati-arTa-niyata-tvAt ekAgre eva-iti
   vikṣiptacittānupapattiḥ. tasmād ekam anekārtham avasthitaṃ cittam iti.	vikzipta-citta-anupapattiH. tasmAt ekam aneka-arTam avasTitam cittam iti.
        yadi ca cittenaikenānanvitāḥ svabhāvabhinnāḥ pratyayā jāyerann atha	yadi ca cittena-ekena-ananvitAH svaBAva-BinnAH pratyayAH jAyeran aTa
   katham anyapratyayadṛṣṭasyānyaḥ smartā bhavet. anyapratyayopacitasya ca	kaTam anya-pratyaya-dRzwasya-anyaH smartA Bavet. anya-pratyaya-upacitasya ca
   karmāśayasyānyaḥ pratyaya upabhoktā bhavet. kathaṃcit samādhīyamānam apy	karma-ASayasya-anyaH pratyayaH upaBoktA Bavet. kaTaMcid samADIyamAnam api-
   etad gomayapāyasīyanyāyam ākṣipati.	etat gomaya-pAyasIya-nyAyam Akzipati.
        kiṃ ca svātmānubhavāpahnavaś cittasyānyatve prāpnoti. katham, yad	kim ca sva-Atma-anuBava-apahnavaH cittasya-anya-tve prApnoti. kaTam, yat-
   aham adrākṣaṃ tat spṛśāmi yac cāsprākṣaṃ tat paśyāmīty aham iti pratyayaḥ	aham adrAkzam tat spRSAmi yat ca-asprAkzam tat paSyAmi-iti aham iti pratyayaH
   sarvasya pratyayasya bhede sati pratyayiny abhedenopasthitaḥ.	sarvasya pratyayasya Bede sati pratyayini aBedena-upasTitaH.
   ekapratyayaviṣayo 'yam abhedātmāham iti pratyayaḥ katham atyantabhinneṣu	eka-pratyaya-vizayaH ayam aBeda-AtmA-aham iti pratyayaH kaTam atyanta-Binnezu
   citteṣu vartamānaḥ sāmānyam ekaṃ pratyayinam āśrayet. svānubhavagrāhyaś	cittezu vartamAnaH sAmAnyam ekam pratyayinam ASrayet. sva-anuBava-grAhya-S
   cāyam abhedātmāham iti pratyayaḥ. na ca pratyakṣasya māhātmyaṃ	ca-ayam aBeda-AtmA-aham iti pratyayaH. na ca pratyakzasya mAhAtmyam
   pramāṇāntareṇābhibhūyate. pramāṇāntaraṃ ca pratyakṣabalenaiva vyavahāraṃ	pramANa-antareNa-aBiBUyate. pramANa-antaram ca pratyakza-balena-eva vyavahAram
   labhate. tasmād ekam anekārtham avasthitaṃ ca cittam. 1.32	laBate. tasmAt ekam aneka-arTam avasTitam ca cittam. 1.32
   yasya cittasyāvasthitasyedaṃ śāstreṇa parikarma nirdiśyate tat katham ---	yasya cittasya-avasTitasya-idam SAstreNa parikarma nirdiSyate tat kaTam ---
        maitrīkaruṇāmuditopekṣāṇāṃ sukhaduḥkhapuṇyāpuṇyaviṣayāṇāṃ bhāvanātaś	mEtrI-karuNAm-udita-upekzANAm suKa-duHKa-puNya-apuNya-vizayANAm BAvanAtas-
   cittaprasādanam || YS_1.33 ||	citta-prasAdanam || YH-_1.33 ||
        tatra sarvaprāṇiṣu sukhasaṃbhogāpanneṣu maitrīṃ bhāvayet. duḥkhiteṣu	tatra sarva-prANizu suKa-saMBoga-Apannezu mEtrIm BAvayet. duHKitezu
   karuṇām. puṇyātmakeṣu muditām. apuṇyaśīleṣūpekṣām. evam asya bhāvayataḥ	karuNAm. puNya-Atmakezu muditAm. apuNya-SIlezu-upekzAm. evam asya BAvayataH
   śuklo dharma upajāyate. tataś ca cittaṃ prasīdati. prasannam ekāgraṃ	SuklaH DarmaH upajAyate. tatas ca cittam prasIdati. prasannam ekAgram
   sthitipadaṃ labhate. 1.33	sTiti-padam laBate. 1.33
   pracchardanavidhāraṇābhyāṃ vā prāṇasya || YS_1.34 ||	pracCardana-viDAraNAByAm vA prANasya || YH-_1.34 ||
        kauṣṭhyasya vāyor nāsikāpuṭābhyāṃ prayatnaviśeṣād vamanaṃ	kOzWyasya vAyoH nAsikA-puwAByAm prayatna-viSezAt vamanam
   pracchardanam, vidhāraṇaṃ prāṇāyāmas tābhyāṃ vā manasaḥ sthitiṃ	pracCardanam, viDAraNam prANAyAmaH tAByAm vA manasaH sTitim
   saṃpādayet. 1.34	saMpAdayet. 1.34
   viṣayavatī vā pravṛttir utpannā manasaḥ sthitinibandhanī || YS_1.35 ||	vizayavatI vA pravRttiH utpannA manasaH sTiti-nibanDanI || YH-_1.35 ||
        nāsikāgre dhārayato 'sya yā divyagandhasaṃvit sā gandhapravṛttiḥ.	nAsikA-agre DArayataH asya yA divya-ganDa-saMvid sA ganDa-pravRttiH.
   jihvāgre rasasaṃvit. tāluni rūpasaṃvit. jihvāmadhye sparśasaṃvit.	jihvA-agre rasa-saMvit. tAluni rUpa-saMvit. jihvA-maDye sparSa-saMvit.
   jihvāmūle śabdasaṃvid ity etā vṛttaya utpannāś cittaṃ sthitau nibadhnanti,	jihvA-mUle Sabda-saMvid iti etAH vRttaye utpannAH cittam sTitO nibaDnanti,
   saṃśayaṃ vidhamanti, samādhiprajñāyāṃ ca dvārībhavantīti. etena	saMSayam viDamanti, samADi-prajQAyAm ca dvArIBavanti-iti. etena
   candrādityagrahamaṇipradīparaśmyādiṣu pravṛttir utpannā viṣayavaty eva	candra-Aditya-graha-maNi-pradIpa-raSmi-Adizu pravRttiH utpannA vizayavatI eva
   veditavyā yady api hi tattacchāstrānumānācāryopadeśair avagatam	veditavyA yadi api hi tad-tad-SAstra-anumAna-AcArya-upadeSEH avagatam
   arthatattvaṃ sadbhūtam eva bhavati. eteṣāṃ	arTa-tattvam sat-BUtam eva Bavati. etezAm
   yathābhūtārthapratipādanasāmarthyāt, tathāpi yāvad ekadeśo 'pi kaścin na	yaTABUta-arTa-pratipAdana-sAmarTyAt, taTA-api yAvat eka-deSaH api kaScid na
   svakaraṇasaṃvedyo bhavati tāvat sarvaṃ parokṣam ivāpavargādiṣu sūkṣmeṣv	sva-karaNa-saMvedyaH Bavati tAvat sarvam parokzam iva-apavarga-Adizu sUkzmezu-
   artheṣu na dṛḍhāṃ buddhim utpādayati. tasmāc	arTezu na dRXAm budDim utpAdayati. tasmAt-
   chāstrānumānācāryopadeśopodbalanārtham evāvaśyaṃ kaścid arthaviśeṣaḥ	CAstra-anumAna-AcArya-upadeSa-upodbalana-arTam eva-avaSyam kaScid arTa-viSezaH
   pratyakṣīkartavyaḥ. tatra tadupadiṣṭārthaikadeśapratyakṣatve sati sarvaṃ	pratyakzIkartavyaH. tatra tad-upadizwa-arTa-eka-deSa-pratyakza-tve sati sarvam
   sūkṣmaviṣayam api āpavargāc chraddhīyate. etadartham evedaṃ cittaparikarma	sUkzma-vizayam api ApavargAt SradDIyate. etad-arTam eva-idam citta-parikarma
   nirdiśyate. aniyatāsu vṛttiṣu tadviṣayāyāṃ vaśīkārasaṃjñāyām upajātāyāṃ	nirdiSyate. aniyatAsu vRttizu tad-vizayAyAm vaSIkAra-saMjQAyAm upajAtAyAm
   samarthaṃ syāt tasya tasyārthasya pratyakṣīkaraṇāyeti. tathā ca sati	samarTam syAt tasya tasya-arTasya pratyakzIkaraNAya-iti. taTA ca sati
   śraddhāvīryasmṛtisamādhayo 'syāpratibandhena bhaviṣyantīti. 1.35	SradDA-vIrya-smRti-samADayaH asya-apratibanDena Bavizyanti-iti. 1.35
   viśokā vā jyotiṣmatī || YS_1.36 ||	viSokA vA jyotizmatI || YH-_1.36 ||
        pravṛttir utpannā manasaḥ sthitinibandhanīty anuvartate.	pravRttiH utpannA manasaH sTiti-nibanDanI-iti anuvartate.
   hṛdayapuṇḍarīke dhārayato yā buddhisaṃvit, buddhisattvaṃ hi bhāsvaram	hRdaya-puNxarIke DArayataH yA budDi-saMvit, budDi-sattvam hi BAsvaram
   ākāśakalpaṃ, tatra sthitivaiśāradyāt pravṛttiḥ	AkASa-kalpan, tatra sTiti-vESAradyAt pravRttiH
   sūryendugrahamaṇiprabhārūpākāreṇa vikalpate. tathāsmitāyāṃ samāpannaṃ	sUrya-indu-graha-maNi-praBA-rUpAkAreNa vikalpate. taTA-asmitAyAm samApannam
   cittaṃ nistaraṅgamahodadhikalpaṃ śāntam anantam asmitāmātraṃ bhavati.	cittam nistaraFga-mahA-udaDi-kalpam SAntam anantam asmitA-mAtram Bavati.
   yatredam uktam --- "tam aṇumātram ātmānam anuvidyāsmīty evaṃ tāvat	yatra-idam uktam -- "tam aNu-mAtram AtmAnam anuvidyA-asmi-iti evam tAvat-
   saṃprajānīte" iti. eṣā dvayī viśokā viṣayavatī, asmitāmātrā ca pravṛttir	saMprajAnIte" iti. ezA dvayI viSokA vizayavatI, asmitA-mAtrA ca pravRttiH-
   jyotiṣmatīty ucyate. yayā yoginaś cittaṃ sthitipadaṃ labhata iti. 1.36	jyotizmatI-iti ucyate. yayA yoginaH cittam sTiti-padam laBate iti. 1.36
   vītarāgaviṣayaṃ vā cittam || YS_1.37 ||	vIta-rAga-vizayam vA cittam || YH-_1.37 ||
        vītarāgacittālambanoparaktaṃ vā yoginaś cittaṃ sthitipadaṃ labhata	vIta-rAga-citta-Alambana-uparaktam vA yoginaH cittam sTiti-padam laBata
   iti. 1.37	iti. 1.37
   svapnanidrājñānālambanaṃ vā || YS_1.38 ||	svapna-nidrA-jQAna-Alambanam vA || YH-_1.38 ||
        svapnajñānālambanaṃ vā nidrājñānālambanaṃ vā tadākāraṃ yoginaś cittaṃ	svapna-jQAna-Alambanam vA nidrA-jQAna-Alambanam vA tad-AkAram yoginaH cittam
   sthitipadaṃ labhata iti. 1.38	sTiti-padam laBate iti. 1.38
   yathābhimatadhyānād vā || YS_1.39 ||	yaTA-aBimata-DyAnAt vA || YH-_1.39 ||
        yad evābhimataṃ tad eva dhyāyet. tatra labdhasthitikam anyatrāpi	yat eva-aBimatam tat eva DyAyet. tatra labDa-sTitikam anyatra-api
   sthitipadaṃ labhata iti. 1.39	sTiti-padam laBate iti. 1.39
   paramāṇuparamamahattvānto 'sya vaśīkāraḥ || YS_1.40 ||	paramANu-parama-mahat-tva-antaH asya vaSIkAraH || YH-_1.40 ||
