   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   śāśvatoccheda..........................ratnādi (?) dṛṣṭiḥ / tasyāṃ	SASvata ucCeda ..........................ratna Adi (?) dRzwiH / tasyAm
   'abhiniveṣi (śi)tā' niśrayaḥ / 'viṣādaḥ' khedaḥ / 'tadvirodhaḥ' śūnyatāyā	aaBinivezi (Si)tA a niSrayaH / avizAdaH a KedaH / atat viroDaH a SUnyatAyAH 
   bādhanam / 'samaṃ' iti sahetyarthaḥ /	bADanam / asamama iti saha iti arTaH /
   tatra kalaṅkanirdeśānāmā(ma)rthaḥ / ātmagrāhaḥ / sattvagrāhaḥ / jīvagrāhaḥ	tatra kalaFka nirdeSa anAmA(m a)rTaH / Atma grAhaH / sattva grAhaH / jIva grAhaH
   / pudgalagrāhaḥ / ucchedagrāhaḥ / śāśvatagrāhaḥ / nimittagrāhaḥ /	/ pudgala grAhaH / ucCeda grAhaH / SASvata grAhaH / nimitta grAhaH /
   hetugrāhaḥ / skandhagrāhaḥ / [dhātugrāhaḥ / āyatanagrāhaḥ /] traidhātuke	hetu grAhaH / skanDa grAhaH / [DAtu grAhaH / Ayatana grAhaH /] trEDAtuke
   adhyavasānam / traidhātuke ālayaḥ / buddhidṛṣṭiniśrayaḥ /	aDyavasAnam / trEDAtuke AlayaH / budDi dRzwi niSrayaH /
   dharmadṛṣṭiniśrayaḥ / saṅghadṛṣṭiniśrayaḥ / śīladṛṣṭiniśrayaḥ / śūnyā	Darma dRzwi niSrayaH / saFGa dRzwi niSrayaH / SIla dRzwi niSrayaH / SUnyA
   dharmā iti viṣāḍhaḥ / śanyatāvirodhaśceti /	DarmAH iti vizAXaH / Sanyata aviroDaH ca iti /
   guṇānirdeśānāmarthaḥ / śūnyatāparipūrtiḥ / ānimittasākṣātkriyā /	guNa anirdeSAnAm arTaH / SUnyatA paripUrtiH / Animitta sAkzAt kriyA /
   apraṇihitajñānam / [trimaṇḍalaviśuddhitā / karuṇā / mananā] /	apraNihita jQAnam / [tri maNxala viSudDi tA / karuNA / mananA] /
   sarvadharmasamatādarśanam / bhūtanayaprativedhaḥ / anutpādakṣāntijñānam /	sarva Darma sama tA darSanam / BUta naya prativeDaH / anutpAda kzAnti jQAnam /
   ekanayanirdeśaḥ / sarvadharmāṇāṃ kalpanāsamuddhātaḥ / saṃjñādṛṣṭivivartaḥ	ekanaya nirdeSaH / sarva DarmANAm kalpanA samudDAtaH / saMjQA dRzwi vivartaH
   / kleśavivartaḥ / śamathanidhyaptiḥ / vipaśyanākauśalyam / dātucittatā /	/ kleSa vivartaH / SamaTa niDi aptiH / vipaSyanA kOSalyam / dAtu citta tA /
   anunayasyābhūmiḥ / yathecchakṣetragamanam / tatra	anunayasya aBUmiH / yaTA icCa kzetra gamanam / tatra
   cabuddhaparṣanmaṇḍe[svātmabhāva]darśanamiti //	cabudDa parzad maNxe[svAtma BAva] darSanam iti //
   [23] [sarvasattvamanojñāna] mabhijñākrīḍanaṃ śubhā /	[23] [sarva sattva manaH jQAna] maBijQA krIxanam SuBA /
   buddhakṣetrasya niṣpattirbuddhasevāparīkṣaṇe // 1 66 //	budDa kzetrasya nizpattiH budDa sevA parIkzaNe // 1 66 //
   [24] akṣajñānaṃ jinakṣetraśuddhirmāyopamā sthitiḥ /	[24] akza jQAnam jina kzetra SudDiH mAyA upamA sTitiH /
   sañcintya ca bhavādānamidaṃ karmāṣṭadhoditam // 1 67 //	saQcintya ca Bava AdAnam idam karma azwaDA uditam // 1 67 //
   iti / 'śubhā niṣpattiḥ' iti sambandhaḥ / pariśuddhetyarthaḥ / 'aṣṭādhā'	iti / aSuBA nizpattiH a iti sambanDaH / pariSudDA iti arTaH / aazwa aDA a
   iti vacanāt āṣṭaveva parikarmāṇyaṣṭamyām / tadyathā /	iti vacanAt Azwava iva parikarmANi azwamyAm / tat yaTA /
   sarvasattvacittānupraveśaḥ / abhijñācittā [nukriḍanam /] /	sarva sattva citta anupraveSaH / aBijQA cittAH [nukrixanam /] /
   buddhakṣetraniṣpādanam / buddhānāṃ sevā ca parīkṣaṇaṃ cetyekīkriyate /	budDa kzetra nizpAdanam / budDAnAm sevA ca parIkzaNam ca iti ekIkriyate /
   indriyaparāparajñānam / buddhakṣetrapariśodhanam / (RSt_9) māyopamasya	indriya para apara jQAnam / budDa kzetra pariSoDanam / (RSt _9) mAyA upamasya
   samādherabhīkṣṇaṃ samāpattiḥ sañcitya bhavo[pa]pattiśca / dvividhaṃ	samADeH aBIkzNam samApattiH saQcitya BavaH [pa]pattiH ca / dviviDam
   buddhakṣetram / ādau bhājanalokaḥ paścāt sattvaloka iti /	budDa kzetram / AdO BAjana lokaH paScAt sattva lokaH iti /
   [25] praṇidhānānyanantāni devādīnāṃ rutajñatā /	[25] praNiDAnAni anantAni deva AdInAm ruta jQa tA /
   nadīva pratibhānānāṃ garbhāvakrāntiruttamā // 1 68 //	nadI iva pratiBAnAnAm garBAvakrAntiH uttamAH // 1 68 //
   [26] kulajātyośca gotrasya parivārasya janmanaḥ /	[26] kula jAtyoH ca gotrasya parivArasya janmanaH /
   naiṣkramyabodhivṛkṣāṇāṃ guṇapūreśca saṃpadaḥ // 1 69 //	nEzkramya boDi vRkzANAm guNa pUreH ca saMpadaH // 1 69 //
   aṣṭamānantaraṃ navamī / tasyāḥ parikarmāṇi dvādaśa / anantaṃ praṇidhānam /	azwama anantaram navamI / tasyAH parikarmANi dvAdaSa / anantam praNiDAnam /
   devādirutajñānam / paripūrṇaṃ pratibhānam / garbhāvakrāntisampat /	deva Adi ruta jQAnam / paripUrNam pratiBAnam / garBAvakrAnti sampad /
   kulasaṃpat / jātisaṃpat / gotrasaṃpat / parivārasaṃpat / janmasaṃpat /	kula saMpad / jAti saMpad / gotra saMpad / parivAra saMpad / janma saMpad /
   naiṣkramyasaṃpat / bodhivṛkṣasaṃpat / guṇapūrisampacca /	nEzkramya saMpad / boDi vRkza saMpad / guNa pUri sampat ca /
   [27] navabhūmīratikramya buddhabhūmau pratiṣṭhate /	[27] nava BUmIH atikramya budDa BUmO pratizWate /
   yena jñānena sā jñeyā daśamī bodhisattvabhūḥ // 1 70 //	yena jQAnena sA jQeyA daSamI boDisattva BUH // 1 70 //
   'navabhūmīḥ' iti gotrādibhūmiḥ / tatra gotrabhūmiḥ nirvāṇagotrakāṇam /	anavaBUmIHa iti gotra Adi BUmiH / tatra gotra BUmiH nirvANa gotra kANam /
   aṣṭamakabhūmiḥ śrotaāpattiphalapratipannakasya / darśanabhūmiḥ	azwamaka BUmiH SrotaA patti Pala pratipannakasya / darSana BUmiH
   śrotaāpannasya / tanubhūmiḥ sakṛdāgaminaḥ / vītarāgabhūmiranāgāminaḥ /	SrotaA pannasya / tanu BUmiH sakRdAgaminaH / vIta rAga BUmiH anAgAminaH /
   "kṛtaṃ karaṇīyaṃ" iti jñānāt kṛtāvī arhan / tasya bhūmiḥ kṛtāvibhūmiḥ /	"kRtam karaNIyan" iti jQAnAt kRta avI arhan / tasya BUmiH kRta aviBUmiH /
   śrāvakabhūmiḥ śrāvakasya / saiva ṣaḍvidhā pratyekabuddhasya /	SrAvaka BUmiH SrAvakasya / sA eva zaxviDA pratyekabudDasya /
   bodhisattvabhūmiḥ bodhisattvasya / pūrvoktā navabhūmayaḥ / etā	boDisattva BUmiH boDisattvasya / pUrva uktAH nava BUmayaH / etA
   navabhūmīratikramya yena jñānena bodhisattvo buddhabhūmau pratiṣṭhito	nava BUmIH atikramya yena jQAnena boDisattvaH budDa BUmO pratizWitaH 
   bhavati sā daśami bodhisattvabhūmiḥ / iti bhūmisambharaḥ /	Bavati sA daSami boDisattva BUmiH / iti BUmi samBaraH /
   prati[pakṣa]madhikṛtya śāstram 	prati[pakza]m aDikRtya SAstram 
   [28] pratipakṣo 'ṣṭadhā jñeyo darśanābhyāsamārgayoḥ /	[28] pratipakzaH azwaDA jQeyaH darSana aByAsa mArgayoH /
   grāhyagrāhavikalpānāmaṣṭānāmupaśāntaye // 1 71 //	grAhya grAha vikalpAnAm azwAnAm upaSAntaye // 1 71 //
   'abhyāso ' bhāvanā / grāhyo, grāhakaḥ / darśanamārge dvau grāhyavikalpau /	aaByAsaH a BAvanA / grAhyo, grAhakaH / darSana mArge dvO grAhya vikalpO /
   vastumātrādhiṣṭhānaḥ pratipakṣadhiṣṭhānaśca / dvau grāhakavikalpau /	vastu mAtra aDizWAnaH pratipakzaDizWAnaH ca / dvO grAhaka vikalpO /
   pudgaladravyādhiṣṭhānaḥ pudgalaprajñaptyadhiṣṭhānaśca / [evaṃ bhāvanāmārge	pudgala dravya aDizWAnaH pudgala prajQapti aDizWAnaH ca / [evam BAvanA mArge
   vikalpa]prahāṇāya aṣṭau pratipakṣāḥ / pratipakṣasambhāraḥ //	vikalpa] prahANAya azwO pratipakzAH / pratipakza samBAraH //
   (RSt_10)	(RSt _10)
   tatra darśanamārge tathatādīnāṃ rūpādīnāṃ svapnādīnāṃ ca	tatra darSana mArge taTatA AdInAm rUpa AdInAm svapna AdInAm ca
   grāhyavastūnāmupalambho vikalpaḥ / taddharmatopalambhalakṣaṇo 'nupalambhaḥ	grAhya vastUnAm upalamBaH vikalpaH / tad DarmatA upa lamBa lakzaNaH anupalamBaH
   pratipakṣaḥ / dānādīnāṃ buddhadharmaparyantānāṃ	pratipakzaH / dAna AdInAm budDa Darma paryantAnAm
   pratipakṣavastūnāmupalambho vikalpaḥ / anupalambhaḥ pratipakṣaḥ /	pratipakza vastUnAm upalamBaH vikalpaH / anupalamBaH pratipakzaH /
   a................anupalambhapratipakṣaḥ / nāmasaṃketavyavahārāderupalambho	a................anupalamBa pratipakzaH / nAma saMketa vyavahAra AdeH upalamBaH 
   vikalpaḥ / anupalambhaḥ pratipakṣaḥ / bhāvanāmārge tu na sthitā nāsthitāḥ	vikalpaH / anupalamBaH pratipakzaH / BAvanA mArge tu na sTitAH na AsTitAH
   sarvadharmā asthānayogena / dharmadhātuyogenetyarthaḥ / iti	sarva DarmAH asTAna yogena / DarmaDAtu yogena iti arTaH / iti
   grāhyavastūnāmanupalambhaḥ / dānādīnāṃ pratipakṣavastūnāmanupalambhaḥ /	grAhya vastUnAm anupalamBaH / dAna AdInAm pratipakza vastUnAm anupalamBaH /
   śrota āpanna.......pudgalaprajñaptyāśrayāṇāṃ	SrotaH Apanna....... pudgala prajQapti ASrayANAm
   śrotaāpattiphalādīnāmanupalambhaḥ / iti pratipakṣasaṃbhāraḥ / samāptā ca	SrotaA patti Pala AdInAm anupalamBaH / iti pratipakza saMBAraH / samAptA ca
   saṃbhārapratipattiḥ //	saMBAra pratipattiH //
   niryāsyatītyetena niryāṇapratipattiḥ prastāvitā / tāmadhikṛtya śāstram 	niryAsyati iti etena niryANa pratipattiH prastAvitA / tAm aDikRtya SAstram 
   [29] uddeśe samatāyāṃ ca sattvārthe yatnavarjane /	[29] uddeSe samatAyAm ca sattva arTe yatna varjane /
   atyantāya ca niryāṇaṃ niryāṇaṃ prāptilakṣaṇam // 1 72 //	atyantAya ca niryANam niryANam prApti lakzaNam // 1 72 //
   [30] sarvākārajñātāyāṃ ca niryāṇaṃ mārgagocaram /	[30] sarva AkAra jQAtAyAm ca niryANam mArga gocaram /
   niryāṇapratipajjñeyā seyamaṣṭavidhātmikā // 1 73 //	niryANa pratipad jQeyA sA iyam azwa viDa AtmikA // 1 73 //
   etadāha / evamukte ityādinā subhūtiravocaditi / kimavocata?	etat Aha / evam ukte ityAdinA suBUtiH avocat iti / kim avocata?
   mahāyānamityādi / yasmādanena sadevamānuṣāsuraṃ lokamabhibhūya bodhisattvo	mahAyAnam ityAdi / yasmAt anena sa deva mAnuza asuram lokam aBiBUya boDisattvaH 
   niryāsyati / tasmādidaṃ yānaṃ mahāyānamityucyate / abhibhūya niryāsyatīti	niryAsyati / tasmAt idam yAnam mahAyAnam iti ucyate / aBiBUya niryAsyati iti
   samānakāle ktvāpratyayaḥ / saṃmīlya hasatītyādivat / kasmādasau	samAna kAle ktvA apratyayaH / saMmIlya hasati ityAdi vat / kasmAt asO
   sarvalokamabhibhavati? tadalabhyasya māhātmyasya lābhāt / kiṃ punastat?	sarva lokam aBiBavati? tad alaByasya mAhAtmyasya lABAt / kim punar tat?
   sattvarāśeragratāsaṃpādanam / sattvarāśimahattayā prahāṇamahattayā	sattva rASeH a gra tA saMpAdanam / sattva rASi mahat tayA prahANa mahat tayA
   adhigamamahattayā ca mahat / itīdamuddeśaniryāṇam //	aDigama mahat tayA ca mahat / iti idam uddeSa niryANam //
   ākāśamahattayā tanmahāyānamiti / tad yānaṃ mahaducyata iti sambandhaḥ /	AkASa mahat tayA tat mahAyAnam iti / tat yAnam mahat ucyate iti sambanDaH /
   ākāśasamatayeti / kathaṃ samatā? yathākāśaṃ na digbhirbhidyate /	AkASa samataya iti / kaTam sama tA? yaTA AkASam na digBiH Bidyate /
   avarṇasaṃsthānamapratighamanirdarśanamanantamamadhyanna hīyate na vardhate	avarNa saMsTAnam apratiGam anirdarSanam anantam amaDyat na hIyate na varDate
   notpadyate na nirudhyate na kāmadhātuparyāpannaṃ na rūpadhātuparyāpannaṃ	na utpadyate na niruDyate na kAmaDAtu paryApannam na rUpa DAtu paryApannam
   nārūpyadhatuparyāpannam / tathaiva mahāyānam / tasmādyathākāśasamatayā	na arUpya Datu pari Apannam / taTA eva mahAyAnam / tasmAt yaTA AkASa sama tayA
   mahattadyānam / iti samatāniryāṇam /	mahat tad yAnam / iti samatA niryANam /
   (RSt_11)	(RSt _11)
   yathā ākāśe ityādi / ākāśa avakāśo 'ntarbhāvāt / mahāyāne avakāśaḥ / tena	yaTA AkASe ityAdi / AkASa avakASaH antarBAvAt / mahAyAne avakASaH / tena
   teṣāmarthakaraṇāt / lokadhātubhiḥ saṃkhyābhirdigbhiścāparicchinnatvāt /	tezAm arTa karaNAt / lokaDAtuBiH saMKyABiH digBiH ca aparicCinna tvAt /
   aprameyā asaṃkhyeyā aparimāṇāḥ / paryāyeṇeti prakāreṇa / kathaṃ ca	aprameyAH asaMKyeyAH aparimANAH / paryAyeNa iti prakAreNa / kaTam ca
   tāvatāmavakāśaḥ yataḥ sattvāsattayā ākāśāsattā / ākāśāsattayā	tAvatAm avakASaH yatas sattva asat tayA AkASa asattA / AkASa asat tayA
   mahāyānāsattā / mahāyānāsattayā sarvadharmāsattā / iti hi sattvāścākāśaṃ	mahAyAna asattA / mahAyAna asat tayA sarva Darma asattA / iti hi sattvAH ca AkASam
   ca mahāyānaṃ ca sarvadharmāścārūpiṇo 'nidarśanā apratighā ekalakṣaṇā	ca mahAyAnam ca sarva DarmAH ca arUpiNaH anidarSanA apratiGA eka lakzaNA
   yadutālakṣaṇāḥ / evamiyatā sattvānāṃ mahāyāne avakāśaḥ / iti	yat uta alakzaNAH / evam iyatA sattvAnAm mahAyAne avakASaH / iti
   sattvārthaniryāṇam //	sattva arTa niryANam //
   naivāsyetyādi / āgamaḥ āgamanam / nirgamaḥ nirgamanam / sthānaṃ	na eva asya ityAdi / AgamaH Agamanam / nirgamaH nirgamanam / sTAnam
   gatinivṛttiḥ / trayaṃ mahāyānasya nāsti / acalā hi sarvadharmāḥ /	gati nivRttiH / trayam mahAyAnasya na asti / acalAH hi sarva DarmAH /
   yatasteṣāṃ prakṛtirna kvacidgacchati na kutaścidāgacchati na	yatas tezAm prakRtiH na kvacid gacCati na kutaScid AgacCati na
   kvacittiṣṭhati / pariṣyandaścābhogaḥ / iti anābhoganiryāṇam /	kvacid tizWati / parizyandaH ca ABogaH / iti anABoga niryANam /
   evamasyetyādi / evamityākāśasyaiva / asyeti mahāyānasya / pūrvānta	evam asya ityAdi / evam iti AkASasya eva / asya iti mahAyAnasya / pUrva anta
   ityatīto 'rthaḥ / aparānta ityanāgato 'rthaḥ / madhyaḥ pratyutpannaḥ /	iti atItaH arTaH / aparAntaH iti anAgataH arTaH / maDyaH pratyutpannaH /
   trayamapyetanmahāyānasya nopalabhyate / trayadhvasamaṃ tadyānaṃ	trayam api etat mahAyAnasya na upalaByate / trayaDva samam tat yAnam
   tasmānmahāyānam / kathaṃ tryadhvasamam? yato 'tīto 'rthotītārthenā (na)	tasmAt mahAyAnam / kaTam tri aDva samam? yatas atItaH arTotIta arTenA (na)
   śūnyaḥ / anāgato 'rtho 'nāgatārthenā(na) śūnyaḥ / anāgato 'rtho	SUnyaH / anAgataH arTaH anAgata arTenA(na) SUnyaH / anAgataH arTaH 
   'nāgatārthenā(na) śūnyaḥ / pratyutpannaḥ pratyutpannena / tryadhvasamatā	anAgata arTenA(na) SUnyaH / pratyutpannaH pratyutpannena / tri aDva sama tA
   tryadhvasamatayā / mahāyānaṃ mahāyānena / bodhisattvo bodhisattvena śūnyaḥ	tri aDva samatayA / mahAyAnam mahAyAnena / boDisattvaH boDisattvena SUnyaH
   / na ca śūnyatā atītā va anāgatā vā pratyutpannā vā / na tasyāṃ saṃkleśa	/ na ca SUnyatA atItAH vaH anAgatA vA pratyutpannAH vA / na tasyAm saMkleSa
   upalabhyate na vyavadānam / na saṃsāro na nirvāṇam / tasmāt trayadhvasamaṃ	upalaByate na vyavadAnam / na saMsAraH na nirvANam / tasmAt trayaDva samam
   tadyānam / ityantābhāvādatyantaniryāṇam /	tat yAnam / iti antA BAvAt atyanta niryANam /
   atha khalu bhagavān ityādi / atra bhagavānāha / yānaśabdārthanirdeśe	aTa Kalu BagavAn ityAdi / atra BagavAn Aha / yAna Sabda arTa nirdeSe
   subhūteḥ sādhukāraṃ datvā atra śikṣitvetyādinā prāptiniryāṇaṃ praratauti /	suBUteH sADu kAram datvA atra SikzitvA ityAdinA prApti niryANam praratOti /
   atra sarvajñateti sarvākārajñatā / atha khalvityādinā pūrṇasya praśnaḥ /	atra sarvajQa tA iti sarva AkAra jQa tA / aTa Kalu iti AdinA pUrNasya praSnaH /
   prajñāpāramitādhikāre mahāyānasya pareṣāmaprastutatvāśaṅkānivṛttyarthaḥ /	prajQApAramitA aDikAre mahAyAnasya parezAm a prastuta tva ASaFkA nivRtti arTaH /
   buddhānubhāvād bhagavan ityetatparyantena parihāraḥ / anulomaṃ nirdiśasi	budDa anuBAvAt Bagavan iti etat paryantena parihAraH / anulomam nirdiSasi
   iti tvaṃ hi arvadharmān mahāyānaniḥsvabhāvān nirdiśasi /	iti tvam hi arva DarmAn mahAyAna niHsvaBAvAt nirdiSasi /
   niḥsvabhāvatājñānaṃ ca teṣāṃ prajñāpāramitaiva / tasmādanulomaṃ	niHsvaBAva tA jQAnam ca tezAm prajQApAramitA eva / tasmAt anulomam
   nirdiśasīti bhāvaḥ / api tu khalu punarityādinā prakṛtameva	nirdiSasi iti BAvaH / api tu Kalu punar ityAdinA prakRtam eva
   prāptiniryāṇamadhikṛtya tasyāṃ pāptau dvādaśaviśeṣān dvādaśabhirvākyairāha	prApti niryANam aDikRtya tasyAm pAptO dvAdaSa viSezAn dvAdaSaBiH vAkyEH Aha
   / ata eva viśeṣadyotanārtho 'pituśabdaḥ / tatra api tu khalvityādi	/ atas eva viSezadyotana arTaH apitu SabdaH / tatra api tu Kalu ityAdi
   prathamam / tatkasyetyādi dvitīyam / rūpaṃ bodhisattva ityādi tṛtīyam /	praTamam / tat kasya ityAdi dvitIyam / rUpam boDisattvaH ityAdi tRtIyam /
   evaṃ bhagavannityādi caturtham / buddha (RSt_12) ityādi pañcamam / yathā	evam Bagavan= ityAdi caturTam / budDaH (RSt _12) ityAdi paQcamam / yaTA
   ātmetyādi ṣaṣṭham / evamabhāvasvabhāvāḥ sarvadharmā iti saptamam /	AtmA ityAdi zazWam / evam aBAva svaBAvAH sarva DarmAH iti saptamam /
   katamattadityādyaṣṭamam / evameteṣāmityādi navamam / tatkimityādi daśamam	katamat tat iti Adi azwamam / evam etezAm ityAdi navamam / tat kim ityAdi daSamam
   / na cetyādyekādaśam / sa cetyādi dvādaśam / kalpiteṣu	/ na ca ityAdi ekAdaSam / sa ca ityAdi dvAdaSam / kalpitezu
   anabhiniveśābhyāsaniṣṭhāyāṃ tadabhiniveśajanmanaḥ parantatrasya sarvathā	anaBiniveSa aByAsa nizWAyAm tad aBiniveSa janmanaH parantatrasya sarvaTA
   nivṛttau sarvākarajñatā bodhisattvena prāpyata iti samudāyārthaḥ /	nivRttO sarvAkara jQa tA boDisattvena prApyate iti samudAya arTaH /
   avayavārthastūcyate / uktaṃ bhagavatā "atra mahāyāne śikṣitvā	avayava arTaH tu ucyate / uktam BagavatA "atra mahAyAne SikzitvA
   atītānāgatapratyutpannā bodhisattva mahāsattvāḥ sarvākārajñatāmanuprāptā	atIta anAgata pratyutpannAH boDisattva mahAsattvAH sarva AkAra jQa tAm anuprAptA
   anuprāpsyanti anuprāpnuvanti ceti / tatra na pūrvānta upalabhyate	anuprApsyanti anuprApnuvanti ca iti / tatra na pUrva ante upalaByate
   nāparānto na madhyaḥ / tato na sattvā na sarvadharmā na bodhisattvaḥ" iti	na aparAntaH na maDyaH / tatas na sattvAH na sarva DarmAH na boDisattvaH" iti
   / sattvāśca sarvadharmāśca bodhisattvaśca pūrvāntāparāntamadhyāni ca	/ sattvAH ca sarva DarmAH ca boDisattvaH ca pUrva anta apara anta maDyAni ca
   sarvametadadvaidhīkāram / tasmātpūrvāntādiṣu bodhisattvo nopaitīti	sarvam etat ad vEDIkAram / tasmAt pUrva anta Adizu boDisattvaH na upEti iti
   prathamasyārthaḥ / tatkasya hetoriti / tatpūrvāntādīnāmasattvaṃ kutaḥ?	praTamasya arTaH / tat kasya hetoH iti / tad pUrva anta AdInAm asattvam kutas ?
   hetumāha / rūpāparyantatayetyādi / rūpādaya ākāśa(śa)samāḥ /	hetum Aha / rUpa aparyanta tayA ityAdi / rUpa AdayaH AkASa(Sa) samAH /
   rūpādiśūnyatāmupādāya / ata ete 'paryantāḥ / pūrvāntāparāntamadhyarahitāḥ	rUpa Adi SUnyatAm upAdAya / atas ete aparyantAH / pUrva anta apara anta maDya rahitAH
   / evaṃ bodhisattva iti dvitīyasyarthaḥ //	/ evam boDisattvaH iti dvitIyasi arTaH //
   rūpādikaṃ bodhisattva iti nopaiti nāvagacchati / yasmāt idamapi na vidyate	rUpa Adikam boDisattvaH iti na upEti na avagacCati / yasmAt idam api na vidyate
   nopalabhyate rūpādi śūnyatāmupādāya / na hi śūnyatāyā rūpādikamasti nāpi	na upalaByate rUpa Adi SUnyatAm upAdAya / na hi SUnyatAyAH rUpa Adikam asti na api
   bodhisattva iti tṛtīyasyārthaḥ //	boDisattvaH iti tRtIyasya arTaH //
   evamiti pratibhāsamānena rūpeṇa / bodhisattvadharmamiti /	evam iti pratiBAsamAnena rUpeNa / boDisattva Darmam iti /
   bodhisattvākhyarūpādi / sarveṇeti skandhadhātvādivargabhedena / sarveṇa	boDisattva AKya rUpa Adi / sarveNa iti skanDa DAtu Adi varga Bedena / sarveNa
   sarvamiti sarvayathā bhavati pūrṇāvayavatvād vargāṇām / punaḥ sarvamiti	sarvam iti sarva yaTA Bavati pUrNa avayava tvAt vargANAm / punar sarvam iti
   teṣu vargeṣvekaikam / sarvaṃ sarvatheti svena svena itaretaraiśca	tezu vargezu ekEkam / sarvam sarvaTA iti svena svena itaretarEH ca
   sarvairanupalabhamānaḥ / taiḥ śūnyatvāt / sarvajñatāmapīti	sarvEH anupalaBamAnaH / tEH SUnya tvAt / sarvajQa tAm api iti
   sarvākārabhūtāmapi / so 'ham ityādi / taṃ dharmamiti bodhisattvākhyam /	sarva AkAra BUtAm api / saH aham ityAdi / tam Darmam iti boDisattva AKyam /
   prakaraṇādgamyate prajñāpāramitāmapi sarvākārajñatāmapīti / dharmamiti	prakaraNAt gamyate prajQApAramitAm api sarva AkAra jQa tAm api iti / Darmam iti
   bodhisattvākhyam / dharmeṇeti prajñāpāramitākhyena / dharme iti	boDisattva AKyam / DarmeNa iti prajQApAramitA AKyena / Darme iti
   sarvākārajñatākhye prāptasya / avavadiṣyāmi prāptaye / naiva	sarva AkAra jQa tA AKye prAptasya / avavadizyAmi prAptaye / na eva
   kaścitkenacitkvacidityarthaḥ / evameva vādābhāva anuṣṭhānābhāvānna	kaScid kenacid kvacid iti arTaH / evam eva vAda aBAva anuzWAna aBAvAt na
   kascinna kenacinna kvacitprāpnotīti caturthasyārthaḥ //	kascit na kenacid na kvacid prApnoti iti caturTasya arTaH //
   buddha iti buddhatvaṃ sarvākārajñatetyarthaḥ / nāmadheyamātramiti /	budDaH iti budDa tvam sarva AkAra jQa tA iti arTaH / nAmaDeya mAtram iti /
   arthaśūnyaṃ nāma / tathāhi nārthasya svabhāvo nāma	arTaSUnyam nAma / taTA hi na arTasya svaBAvaH nAma
   prāksaṅketārthamātradarśanāt / (RSt_13) nāpi nāmnaḥ svabhāvoārthaḥ /	prAc saFketa arTa mAtra darSanAt / (RSt _13) na api nAmnaH svaBAvoa arTaH /
   aviditārthasya nāmnaḥ kevalasyaiva pratīteḥ / asatyepi cārthe	avidita arTasya nAmnaH kevalasya eva pratIteH / asatyepi ca arTe
   śabdaprayogāt / nirarthakaṃ nāma / ata eva tacca nāmadheyamanabhinivṛttaṃ	Sabda prayogAt / nirarTakam nAma / atas eva tat ca nAmaDeyam anaBinivRttam
