   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   jātaḥ sā bāṣpagadgadakaṇṭhī provāca | putra mā māṃ trir api vakṣyasi | mā	jAtaH sA bAzpa-gadgada-kaNWI provAca | putra mA mAm tris api vakzyasi | mA
   me uṣṇaṃ śoṇitaṃ mukhād āgamiṣyatīti | sā saṃlakṣayati | yādṛśo 'sya	me uzNam SoNitam muKAt Agamizyati-iti | sA saMlakzayati | yAdRSaH asya
   vyavasāyo na śakṣyam evaṃ mayā nivārayitum | upāyasamvidhānaṅ karomīti |	vyavasAyaH na Sakzyam evam mayA nivArayitum | upAya-samviDAnaF karomi-iti |
   tataḥ sā kathayati | putra tava pitā buddhaśāsane kārāṅ kariṣyātīti	tatas sA kaTayati | putra tava pitA budDa-SAsane kArAF karizyAti-iti
   mahāsamudram avatīrṇaḥ | sa yāvan nāgacchati | tāvat tvān nānujānāmi |	mahA-samudram avatIrNaH | sa yAvat na-AgacCati | tAvat tvAt na-anujAnAmi |
   yady asāv āgata tvām anujñāsyati pravrajiṣyasīti | sa mātṛbhaktaḥ	yadi asO Agata tvAm anujQAsyati pravrajizyasi-iti | sa mAtR-BaktaH
   saṃlakṣayati | yadi bhūyo 'py enāṃ vakṣyāmi kadācid eṣā mahāntaṃ samvegam	saMlakzayati | yadi BUyas api enAm vakzyAmi kadAcid ezA mahAntam samvegam
   āpasyate | tad yāvan me pitā nāgacchati tāvat tiṣṭhāmīti | sa tuṣṇīm	Apasyate | tat yAvat me pitA na-AgacCati tAvat tizWAmi-iti | sa tuzNIm
   avasthitaḥ | yadā ca suvarṇavarṇaḥ kumāro vīthīm avatarati | tadā lokas	avasTitaH | yadA ca suvarNa-varNaH kumAraH vITIm avatarati | tadA loka-s
   tasya rūpodāryasampadaṃ dṛṣṭvā nirīkṣamāṇo na_atra tṛptim upayāti | sa	tasya rUpa-udArya-sampadam dRzwvA nirIkzamANaH na_atra tRptim upayAti | sa
   mahājanakāyasya vallabho jātas tasya rūpaudārya sampadā samākṛṣṭamanaso	mahA-jana-kAyasya vallaBaH jAtaH tasya rUpa-OdArya sampadA samAkRzwa-manasaH-
   'tyantaṃ kāmavimukhatāṃ dṛṣṭvā mātā saṃlakṣayati | dhik kaṣṭaṃ yādṛśo 'sya	atyantam kAma-vimuKa-tAm dRzwvA mAtA saMlakzayati | Dik kazwam yAdRSaH asya
   vyavasāyas tadāpy eṣa mām apahāya pravrajiṣyatīti | tato nityaṃ	vyavasAyaH tadA-api eza mAm apahAya pravrajizyati-iti | tatas nityam
   śaṅkitamanasā tasyānukūlaṃ pravartitum ārabdhā ||	SaFkita-manasA tasya-anukUlam pravartitum ArabDAH ||
   Sva Roy 26,3 - 27,28	Svas Roy 26,3  27,28
   [13] suvarṇavarṇaḥ kumāro 'bhīkṣṇam paṇḍitān śramaṇān brāhmaṇān sevate |	[13] suvarNa-varNaH kumAraH aBIkzNam paNxitAn SramaNAn brAhmaNAn sevate |
   sa tatra yat subhāṣitaṃ mokṣamātrānukūlaṃ śṛṇoti | tatpustake 'bhilikhati	sa tatra yat su-BAzitam mokza-mAtra-anukUlam SRNoti | tad-pustake aBiliKati
   | divākarasya ca sārthavāhasya rājagṛhān nagarād bahir udyānaṃ	| divAkarasya ca sArTavAhasya rAja-gRhAt nagarAt bahis udyAnam
   puṣpaphalasalilasampannaṃ | tataḥ suvarṇavarṇaḥ kumāras tat paitṛkam	puzpa-Pala-salila-sampannam | tatas suvarNa-varNaH kumAraH tat pEtRkam
   udyānaṃ dine dine gatvā subhāṣitapustakaṃ vācayaṃs tiṣṭhati | tena khalu	udyAnam dine dine gatvA su-BAzita-pustakam vAcayan tizWati | tena Kalu
   samayena rājagṛhe nagare kāśisundarī nāma veśyā prativasati |	samayena rAja-gRhe nagare kASisundarI nAma veSyA prativasati |
   strīrūpayauvanasampannā mahājanavallabhā rājñaś cājātaśatroḥ	strI-rUpa-yOvana-sampannAH mahA-jana-vallaBAH rAjQaH ca-ajAtaSatroH
   pracaṇḍanāmāmātyas tasya rājño 'tyartham bahumataḥ | sa kāśisundaryāṃ	pracaNxa-nAma-amAtyaH tasya rAjQaH atyarTam bahu-mataH | sa kASisundaryAm
   dārikāyām atyartaṃ saṃraktacittas tayā saha dine dine svam udyānaṅ gatvā	dArikAyAm atyartam saMrakta-cittaH tayA saha dine dine svam udyAnaF gatvA
   ratikrīḍām anubhavati |	rati-krIxAm anuBavati |
   Sva Roy 28,1 - 31,4	Svas Roy 28,1  31,4
   [14] yāvad apareṇa samayena kāśisundarīdārikā sarvālaṅkāravibhūṣitā	[14] yAvat apareNa samayena kASisundarI-dArikA sarva-alaFkAra-viBUzitA
   rājagṛhān nirgatya pracaṇḍasyāmātyasyodyānaṃ saṃprasthitā | suvarṇavarṇaś	rAjagRhAt nirgatya pracaNxasya-amAtyasya-udyAnam saMprasTitA | suvarNa-varNa-S
   ca kumāro rājagṛhān nagarān nirgatya svam udyānaṅ gacchati | adrākṣīt	ca kumAraH rAjagRhAt nagarAt nirgatya svam udyAnaF gacCati | adrAkzIt-
   kāśisundarī dārikā suvarṇavarṇaṃ kumāram atyantam abhirūpaṃ darśanīyaṃ	kASisundarI dArikA suvarNa-varNam kumAram atyantam aBirUpam darSanIyam
   prāsādikaṃ sarvāṅgapratyaṅgopetam uttaptasuvarṇavarṇayā varṇapuṣkalatayā	prAsAdikam sarva-aFga-pratyaFga-upetam uttapta-suvarNa-varNayA varNa-puzkala-tayA
   samanvāgataṃ | sarvajanamanonayanaharaṃ suvarṇavarṇapītair vastrair	samanvAgatam | sarva-jana-manaH-nayana-haram suvarNa-varNa-pItEH vastrEH-
   avaguṇṭhitavigrahaṃ dṛṣṭvā ca punar asyā etad abhavat | aho	avaguNWita-vigraham dRzwvA ca punar asyAH etat aBavat | aho
   rūpaudāryasampadaḥ | aho varṇapuṣkalatā kṛtabhāgyā sā nārī yasyā eṣa	rUpa-OdArya-sampadaH | aho varNa-puzkalatA kRta-BAgyA sA nArI yasyAH eza
   bharttā bhaviṣyatīti | sā tasmin atyantam ākṣiptā saṃlakṣati | mandabhāgyā	BarttA Bavizyati-iti | sA tasmin atyantam AkziptA saMlakzati | mandaBAgyA
   sā nārī sā īdṛśena puruṣeṇa sārddhaṃ ratikrīḍān nānubhavati | vayaṃ	sA nArI sA IdRSena puruzeNa sArdDam rati-krIxAt na-anuBavati | vayam
   rūpajīvinyaḥ | sādhāraṇapuruṣāṇām eṣa ca kumāraḥ	rUpa-jIvinyaH | sADAraNa-puruzANAm eza ca kumAraH
   pratyagrayauvanasamanvāgataḥ | yan nv aham enaṃ tathā pralobhayeyaṃ yathā	pratyagra-yOvana-samanvAgataH | yat nu aham enam taTA praloBayeyam yaTA
   mamānena saha saṃyogo bhaved iti | sā tasya purataḥ sthitvā nimittam	mama-anena saha saMyogaH Bavet iti | sA tasya puratas sTitvA nimittam
   upadarśayitum ārabdhā | sa mahātmā prakṛtyaiva kāmavimukhatvān	upadarSayitum ArabDA | sa mahAtmA prakRtyA-eva kAma-vimuKa-tvAn
   nirvāṇapravaṇatvād vā ca na tāṃ samanvāharati |	nirvANa-pravaNa-tvAt vA ca na tAm samanvAharati |
   Sva Roy 31,4 - 35	Svas Roy 31,4  35
   [15] sā saṃlakṣayati nūnam eṣa lajjīyate | teneha māṃ na samanvāharaty eṣa	[15] sA saMlakzayati nUnam eza lajjIyate | tena-iha mAm na samanvAharati eza
   codyānaṃ samprasthito 'ham api tatraiva gacchāmi | tatra cainaṃ pracchanne	ca-udyAnam samprasTitaH aham api tatra-eva gacCAmi | tatra ca-enam pracCanne
   pralobhayiṣyāmīti sā tasya pṛṣṭhato 'nubaddhā suvarṇavarṇena	praloBayizyAmi-iti sA tasya pRzWatas anubadDA suvarNa-varNena
   kumāreṇopalakṣitā tenāgrataḥ praviśya tasyodyānasya dvāraṃ baddhaṃ |	kumAreNa-upalakzitA tena-agratas praviSya tasya-udyAnasya dvAram badDam |
   kāśisundarī dārikā kathayati | kumāra katham evaṃ yujyate | ahaṃ tvām	kASisundarI dArikA kaTayati | kumAra kaTam evam yujyate | aham tvAm
   uddiśyāgatā | na yuktaṃ tava mayy evaṃ naiṣṭhuryam upadarśayitum iti | sa	uddiSya-AgatAH | na yuktam tava mayi evam nEzWuryam upadarSayitum iti | sa
   naiva tasyāḥ prativacanaṃ dadāti | sā saṃlakṣayati | dvābhyām atra	na-eva tasyAH prativacanam dadAti | sA saMlakzayati | dvAByAm atra
   bhavitavyaṃ | atha vātyantaṃ kāmair anarthī | athavā mahatā	Bavitavyam | aTa vA-atyantam kAmEH anarTI | aTavA mahatA
   dainyenāvaṣṭabdhaḥ | sarvathā na śakyam eṣa mayā rūpeṇa vā vacasā vā	dEnyena-avazwabDaH | sarvaTA na Sakyam eza mayA rUpeNa vA vacasA vA
   ārādhayituṃ sparśenainam ārādhayiṣyāmi | eṣa ca māṃ dṛṣṭvā dvāraṃ badhnāti	ArADayitum sparSena-enam ArADayizyAmi | eza ca mAm dRzwvA dvAram baDnAti
   | ka upāyaḥ syād yenāham enaṃ pracchannam āsādayeyaṃ | atha	| kaH upAyaH syAt yena-aham enam pracCannam AsAdayeyam | aTa
   vāpratisaṃviditam evāsya śvaḥ prathamataram āgatya etam udyānaṃ praviśya	vA-apratisaMviditam eva-asya Svas praTamataram Agatya etam udyAnam praviSya
   sthāsyāmi parata enam āgatam āliṅganādibhiḥ gātrasaṃsparśanais	sTAsyAmi paratas enam Agatam AliFgana-AdiBiH gAtra-saMsparSanEH-
   tathārādhayiṣyāmi yathā me vaśago bhaviṣyatīti | saivam anuvicintya	taTA-ArADayizyAmi yaTA me vaSagaH Bavizyati-iti | sA-evam anuvicintya
   pratinivṛtya nagaraṃ praviṣṭā | taṃ ca divasaṃ pracanṇḍasyāmātyasyodyānaṃ	pratinivRtya nagaram pravizwA | tam ca divasam pracanNxasya-amAtyasya-udyAnam
   na gatā ||	na gatAH ||
   Sva Roy 33-35	Svas Roy 33-35
   [16] pracaṇḍo 'py amātyaḥ sve udyāne tām udīkṣamānaś ciraṃ parikhinnaḥ	[16] pracaNxaH api amAtyaH sve udyAne tAm udIkzamAnaH ciram pariKinnaH
   sūryasyāṣṭaṅgamanakālasamaye nagaraṃ praviṣṭas tena sve gṛhe kāśisundaryā	sUryasya-azwaFga-mana-kAla-samaye nagaram pravizwaH tena sve gRhe kASisundaryA
   dūto 'nupreṣitaḥ kim arthaṃ tvam adya mamodyānaṃ nāgateti | kāśisundarī	dUtaH anuprezitaH kim arTam tvam adya mama-udyAnam na-AgatA-iti | kASisundarI
   dārikā vyākṣepaṃ kṛtavatī āryaputrādya me śirorujātīva bādhate yenodyānaṃ	dArikA vyAkzepam kRtavatI Arya-putra-adya me SiraH-rujA-ati-iva bADate yena-udyAnam
   nāgateti | mitrāmitramadhyamo lokas tasyāpareṇākhyātaṃ | na tasyāḥ	na-AgatA-iti | mitra-amitra-maDyamaH lokaH tasya-apareNa-AKyAtam | na tasyAH
   śirorujā bādhate 'pi tv eṣā suvarṇavarṇasya kumārasya sakāśam udyānaṃ gatā	SiraH-rujA bADate api tu ezA suvarNa-varNasya kumArasya sakASam udyAnam gatA
   | tasmād udyānān mayā pratyāgacchantī dṛṣṭeti | śrutvā pracaṇḍasyāmātyasya	| tasmAt udyAnAt mayA pratyAgacCantI dRzwA-iti | SrutvA pracaNxasya-amAtyasya
   krodhaparyavasthānam utpannaṃ | tataḥ saṃlakṣayati tādṛśam anarthaṃ	kroDa-paryavasTAnam utpannam | tatas saMlakzayati tAdRSam anarTam
   kariṣyāmi | yathā śvaḥ kāśisundarī dārikā na bhaviṣyati | suvarṇavarṇaś ca	karizyAmi | yaTA Svas kASisundarI dArikA na Bavizyati | suvarNa-varNaH ca
   kumāra iti | pratikruṣṭaṃ caitad vairāṇāṃ yad uta strīvairam iti | sa	kumAraH iti | pratikruzwam ca-etat vErANAm yat uta strI-vEram iti | sa
   krodhāgninā dahyamānahṛdayas tān niśāṃ kṛcchreṇātināmitavān | tataḥ	kroDa-agninA dahyamAna-hRdayaH tAn niSAm kRcCreNa-ati-nAmitavAn | tatas-
   prabhātāyāṃ rajanyām anyatamam āptapuruṣam āmantrayate | khaḍgam gṛhāṇa	praBAtAyAm rajanyAm anyatamam Apta-puruzam Amantrayate | Kaxgam gRhANa
   rājagṛhād bahir udyānaṃ gamiṣyāmi tatrāsti me kiñcid ātyayikaṃ prayojanam	rAja-gRhAt bahis udyAnam gamizyAmi tatra-asti me kiQcid Atyayikam prayojanam
   ity evaṃ svāminn iti sa puruṣaḥ khaḍgam ādāya tasya pṛṣṭhato 'nubaddhas	iti evam svAmin iti sa puruzaH Kaxgam AdAya tasya pRzWatas anubadDa-s
   tataḥ pracaṇḍo 'mātyas tena puruṣeṇa sārdhaṃ rājagrān nirgatya divākarasya	tatas pracaNxaH amAtyaH tena puruzeNa sArDam rAjagrAt nirgatya divAkarasya
   sārthavāhasyodyānaṃ praviśyāvasthitaḥ ||	sArTavAhasya-udyAnam praviSya-avasTitaH ||
   Sva Roy 36,1 - 39,1	Svas Roy 36,1  39,1
   [17] kāśisundary api dārikā vicitravastrālaṅkārālaṅkṛtaśarīrā rājagṛān	[17] kASisundarI api dArikAH vicitra-vastra-alaFkAra-alaFkRta-SarIrAH rAja-gRAn
   nāgarān nirgatya divākarasya sārthavāhasyodyānaṅ gatā | sā tatra praviṣṭā	nAgarAt nirgatya divAkarasya sArTavAhasya-udyAnaF gatA | sA tatra pravizwA
   yāvat paśyati pracaṇḍam amātyaṃ dṛṣṭvā ca punaḥ saṃtrastā | saṃlakṣayaty	yAvat paSyati pracaNxam amAtyam dRzwvA ca punar saMtrastA | saMlakzayati-
   eṣa prakṛtyaiva pracaṇḍo niyataṃ me 'dya mahāntam anarthaṅ karotīti	eza prakRtyA-eva pracaNxaH niyatam me adya mahAntam anarTaF karoti-iti
   pratinivarttitukāmābhūt | tataḥ pracaṇḍo 'mātyas tāṃ dṛṣṭvā	pratinivarttitu-kAmA-aBUt | tatas pracaNxaH amAtyaH tAm dRzwvA
   krodhāgnijvalitamanās triśikhāṃ lalāṭe bhṛkurṭiṃ kṛtvā pradhāvitas tatas	kroDa-agni-jvalita-manAH tri-SiKAm lalAwe BRkurwim kRtvA praDAvitaH tatas-
   tāṃ sarabhasaṃ keśeṣu gṛhītvā nirdayam avāṅmukhīṃ pṛthivyāṃ pātayitvā	tAm sa-raBasam keSezu gRhItvA nirdayam avAk-muKIm pRTivyAm pAtayitvA
   samākṛṣṭavān evañ cāha tvam ihāgatya suvarṇavarṇena kumāreṇa sārddhaṃ	samAkRzwavAn evan ca-Aha tvam iha-Agatya suvarNa-varNena kumAreNa sArdDam
   paricārayasi | mama caivaṅ kathayasi | śirorujātīva me bādhate | yena	paricArayasi | mama ca-evaF kaTayasi | SiraH-rujA-ati-iva me bADate | yena
   tvatsakāśaṇ nāgateti | tad adya te tādṛśam maryādābandhāṃ karomi yena	tvad-sakASaw na-AgatA-iti | tat adya te tAdRSam maryAdA-banDAm karomi yena
   punar na bhavatī jīvalokaṃ drakṣyati | suvarṇavarṇena kumāreṇa sārddhaṃ	punar na BavatI jIva-lokam drakzyati | suvarNa-varNena kumAreNa sArdDam
   paricārayiṣyāmīti | tac chrutvā kāśisundarī dārikā	paricArayizyAmi-iti | tat SrutvA kASisundarI dArikA
   tadākarṣaṇaparākarṣaṇajaṃ duḥkham agaṇayitvā maraṇabhayabhītā	tad-AkarzaNa-parAkarzaNa-jam duHKam agaNayitvA maraNa-Baya-BItA
   bāṣpoparuddhyamānagadagadakaṇṭhī hā idānīn na bhaviṣyāmīti |	bAzpa-uparudDyamAna-gada-gada-kaNWI hA idAnIt na BavizyAmi-iti |
   kampamānagātrī pracaṇḍasyāmātyasya pādayor nipatya karuṇadīnavilamvitair	kampamAna-gAtrI pracaNxasya-amAtyasya pAdayoH nipatya karuNa-dIna-vilamvitEH-
   akṣarair uvāca prasīdatv āryaputro nārhasi māṃ praghātayitum iti	akzarEH uvAca prasIdatu Arya-putraH na-arhasi mAm praGAtayitum iti
   nityāparādho mātṛgrāmaḥ | itaḥ prabhṛti na bhūya evaṅ kariṣyāmi |	nitya-aparADaH mAtR-grAmaH | itas praBRti na BUyas evaF karizyAmi |
   yāvajjīvan te dāsī bhaviṣyāmi | tad alam anena sāhasena prayaccha jīvitam	yAvajjIvan te dAsI BavizyAmi | tat alam anena sAhasena prayacCa jIvitam
   iti | tasya durātmana evaṃ karuṇadīnavilamvitair akṣarair ucyamānasya	iti | tasya durAtmanaH evam karuNa-dIna-vilamvitEH akzarEH ucyamAnasya
   krodhāgnir vardhata eva | tatas taṃ sahāyakam uvāca śīghram asyā anena	kroDa-agniH varDate eva | tatas tam sahAyakam uvAca SIGram asyAH anena
   khaḍgenotkṛttamūlaṃ śiraḥ kṛtvā pṛthivyān nipātayety ||	Kaxgena-utkRtta-mUlam SiraH kRtvA pRTivyAn nipAtayA-iti ||
   Sva Roy 39,1 - 43,2	Svas Roy 39,1  43,2
   [18] atha sa puruṣas tasya durātmano 'nyāyavaco duraktam upaśrutya	[18] aTa sa puruzaH tasya durAtmanaH anyAya-vacaH duraktam upaSrutya
   kampitum ārabdhaḥ | cintayati ca | aho nairghṛṇyam eṣā hi strī	kampitum ArabDaH | cintayati ca | aho nEH-GRNyam ezA hi strI
   bahuprakāram asyopayuktā | tat kathan nāma svalpasyāparādhasyārthe	bahu-prakAram asya-upayuktAH | tat kaTat nAma su-alpasya-aparADasya-arTe
   praghātayitum icchati | aho vayam api jīvikābhayabhītā yena	praGAtayitum icCati | aho vayam api jIvikA-Baya-BItAH yena
   nāmāsyāśīviṣaprakhyasya puruṣādhamasya pārṣve tiṣṭhāmaḥ | sarvathāhaṃ	nAma-asya-ASIviza-praKyasya puruza-aDamasya pArzve tizWAmaH | sarvaTA-aham
   mahāsaṅkaṭam anupraviṣṭaḥ | kim atra prāptakālaṃ atha vā sphuṭam enaṃ	mahAsaFkawam anupravizwaH | kim atra prApta-kAlam aTa vA sPuwam enam
   vakṣyāmi kadācid eva sphuṭam ucyamānaḥ pratinivartetāsmāt pāpakād	vakzyAmi kadAcid eva sPuwam ucyamAnaH pratinivarteta-asmAt pApakAt-
   asaddharmād iti | viditvā samvignamanās tasyāś ca striyās tair atikaruṇair	asat-DarmAt iti | viditvA samvigna-manAH tasyAH ca striyAH tEH ati-karuNEH-
   vilāpair dravīkṛtasantāno bāṣpāmbupariplutaq_īkṣaṇaḥ kṛtakarapuṭaḥ	vilApEH dravIkRta-santAnaH bAzpa-ambu-pariplutaq_IkzaNaH kRta-kara-puwaH
   pracaṇḍam amātyam uvāca | prasīdatu svāmī nārhasi mām evaṃvidhe 'kārye	pracaNxam amAtyam uvAca | prasIdatu svAmI na-arhasi mAm evaMviDe akArye
   niyojayitun nāhaṃ niṣādo nāpi vadhyaghātakaḥ kathaṃ hi nāma yat karmma	niyojayitun na-aham nizAdaH na-api vaDya-GAtakaH kaTam hi nAma yat karmma
   vadhyaghātakānām api notsahate manas tatkarmaṇi pratārayati māṃ svāmī |	vaDya-GAtakAnAm api na-utsahate manaH tad-karmaNi pratArayati mAm svAmI |
   eṣā ca strī prakāśātyartham abhirūpā darśanīyā prāsādikā sarvakalābhijñā	ezA ca strI prakASa-atyarTam aBirUpA darSanIyA prAsAdikA sarva-kalA-aBijQA
   rājagṛhanivāsino nānādigdeśābhyāgatasya ca vidagdhajanasyātīva vallabhā |	rAjagRha-nivAsinaH nAnA-diS-deSa-aByAgatasya ca vidagDa-janasya-atIva vallaBAH |
   sāmānyam idaṃ manuṣyāṇāṃ ratisthānaṃ | kathaṃ hi nāma svāmin	sAmAnyam idam manuzyANAm rati-sTAnam | kaTam hi nAma svAmin
   prajñātamanuṣyasya vicakṣaṇasyāsminn anunayasthāne dveṣa utpannas tad alam	prajQAta-manuzyasya vicakzaNasya-asmin anunaya-sTAne dvezaH utpannaH tat alam
   īdṛśena lokadvayavirudhāvāhakena vyavasāyena | prasīda nārhasi mām ātmanañ	IdRSena loka-dvaya-viruDa-AvAhakena vyavasAyena | prasIda na-arhasi mAm AtmanaQ
   cānena duścaritāgninā dagdhum | api ca svāmin |	ca-anena duScarita-agninA dagDum | api ca svAmin |
   eṣā hi sukumārāṅgī rūpayauvanaśālinī |	ezA hi sukumAra-aFgI rUpa-yOvana-SAlinI |
   prītim etām manuṣyāṇāṃ manye mārtimatīm iva |1|	prItim etAm manuzyANAm manye mArtimatIm iva |1|
   karuṇaiḥ karuṇair dīnair madhurair akṣarair iyaṃ |	karuNEH karuNEH dInEH maDurEH akzarEH iyam |
   vijñapayati svāmiṃs te dṛṇāti mama mānasaṃ |2|	vijQapayati svAmin te dRNAti mama mAnasam |2|
   kampate hṛdayam me 'dya śrutvā dīptaṃ vacas tava |	kampate hRdayam me adya SrutvA dIptam vacaH tava |
   ko 'sau nirghṛṇacittaḥ syād ya imāṃ hantum edhate |3|	kaH asO nirGRNa-cittaH syAt yaH imAm hantum eDate |3|
   mlecchā api naināṃ hantum utsahante sunirghṛṇāḥ |	mlecCAH api na-enAm hantum utsahante su-nirGRNAH |
   kathan nu mama tāṃ hantuṃ svāmin utsahate manaḥ |4|	kaTat nu mama tAm hantum svAmin utsahate manaH |4|
   paśūnām api yāṃ dṛṣṭvā bhavaty anunayo mahān |	paSUnAm api yAm dRzwvA Bavati anunayaH mahAn |
   tasyāḥ ko manuṣyo bhūtvā śastreṇa prahariṣyati |5|	tasyAH kaH manuzyaH BUtvA SastreNa praharizyati |5|
   tat prasīda tavāyuktam api śrotum idam vacaḥ |	tat prasIda tava-ayuktam api Srotum idam vacaH |
   prāg eva acarituṃ svāmin karmmedam atidāruṇam iti |6|	prAk eva acaritum svAmin karmma-idam ati-dAruNam iti |6|
   Sva Roy 43,2 - 45,46	Svas Roy 43,2  45,46
   [19] atha sa durātmā vipannāśayatvād evam api hṛdayagrāhakair vacobhis	[19] aTa sa durAtmA vipanna-ASaya-tvAt evam api hRdaya-grAhakEH vacA-uBiH-
   tena puruṣeṇābhidhiyamāno naiva svacittaṃ pratilabhate ||	tena puruzeNa-aBiDiyamAnaH na-eva sva-cittam pratilaBate ||
   saroṣabhrūlatābhaṅgaraudreṇa ca mukhena taṃ puruṣam uvāca || bhoḥ puruṣa	sa-roza-BrU-latA-BaFga-rOdreNa ca muKena tam puruzam uvAca || BoH puruza
   kas tavāsyāṃ upary anunayo yan nāma madīyām ājñāṃ vilaṅghya necchasy enāṃ	kaH tava-asyAm upari anunayaH yat nAma madIyAm AjQAm vilaFGya na-icCasi enAm
   praghātayituṃ sarvathā yadi tvam enāṃ praghātayiṣyasīty evaṃ kuśalan no	praGAtayitum sarvaTA yadi tvam enAm praGAtayizyasi-iti evam kuSalan no
   cen na praghātayiṣyasi tavādya jīvitaṃ ca bhaviṣyatīti | tato 'sau puruṣas	ced na praGAtayizyasi tava-adya jIvitam ca Bavizyati-iti | tatas asO puruzas
   tasya tat karkaśaṃ vyavasāyaṃ buddhvā bhītaś cintayituṃ pravṛttaḥ | aho	tasya tat karkaSam vyavasAyam budDvA BItaH cintayitum pravRttaH | aho
   paramaśaṅkaṭam anupraviṣṭo 'smi | sa ced asyājñāṃ na kariṣyāmi niyatam	parama-SaFkawam anupravizwaH asmi | sa ced asya-AjQAm na karizyAmi niyatam
   adya māṃ jīvitād vyaparopayiṣyati | yo hi nāmaivaṃvidhiṃ mātṛgrāmaṃ	adya mAm jIvitAt vyaparopayizyati | yaH hi nAma-evaMviDim mAtR-grAmam
   bahuprakāram upayuktaṃ praghātayitum udyataḥ sa māṃ na praghātayiṣyatīti |	bahu-prakAram upayuktam praGAtayitum udyataH sa mAm na praGAtayizyati-iti |
   kuta etat kathañ ca nāma manuṣyo 'ham ity ātmānam manye | īdṛśyā	kutas etat kaTan ca nAma manuzyaH aham iti AtmAnam manye | IdRSyA
   janapadakalyāṇinyāḥ striyāḥ śarīre śastraṃ nipātayiṣyāmi | sarvathā kāmaṃ	janapada-kalyANinyAH striyAH SarIre Sastram nipAtayizyAmi | sarvaTA kAmam
   svajīvitavināśo na tv evāsyāḥ prahāraṃ dāsyāmīti niścayaṃ kṛtavāṃs tasya	sva-jIvita-vinASaH na tu eva-asyAH prahAram dAsyAmi-iti niScayam kRtavAn tasya
   buddhir utpannā yady ahaṃ khaḍgam ādāya niṣpalāyeyaṃ evaṃ mayā tv ātmā	budDiH utpannA yadi aham Kaxgam AdAya nizpalAya-iyam evam mayA tu AtmA
   parirakṣito bhaviṣyati | kāśisundarī dāriketi | sa khaḍgam ādāya tasmād	parirakzitaH Bavizyati | kASisundarI dArikA-iti | sa Kaxgam AdAya tasmAt-
   udyānād niṣkramya sarvajavena niḥpalānaḥ | pracaṇḍo py amātyas tasya	udyAnAt nizkramya sarva-javena niHpalAnaH | pracaNxaH pi amAtyaH tasya
   pṛṣṭhato dvārakoṣṭhaṃ yāvad anubaddhaḥ |	pRzWatas dvAra-kozWam yAvat anubadDaH |
   Sva Roy 46,1 - 48,49	Svas Roy 46,1  48,49
   [20] tataḥ kāśisundarī dārikā gatapratyāgataprāṇam ivātmānam manyamano	[20] tatas kASisundarI dArikA gata-pratyAgata-prANam iva-AtmAnam manya-manaH-
