   (Msa 1)	(MsaH 1)
   kasmād gabhīrārthavidāṃ na mokṣa ity etad uttrāsapadaṃ na yuktam ||	kasmAt gaBIra arTa vidAm na mokzaH iti etat uttrAsa padam na yuktam ||
   AMsa_1.17 ||	AMsa_1.17 ||
   yadi tāvad aham asya na boddhety uttrāsapadaṃ tan na yuktaṃ | atha buddho	yadi tAvat aham asya na bodDa iti uttrAsa padam tat na yuktam | aTa budDaH 
   'pi gambhīrasya padārthasya na boddhā sa kiṃ gabhīraṃ deśayiṣyatīty	api gamBIrasya padArTasya na bodDA sa kim gaBIram deSayizyati iti 
   uttrāsapadaṃ tad ayuktaṃ | atha gambhīraṃ kasmād atarkagamyaṃ ity	uttrAsa padam tat ayuktam | aTa gamBIram kasmAt atarka gamyam iti 
   uttrāsapadaṃ tan na yuktaṃ | atha kasmād gabhīrārthavidām evam mokṣo na	uttrAsa padam tat na yuktam | aTa kasmAt gaBIra arTa vidAm evam mokzaH na
   tārkikāṇām ity uttrāsapadaṃ tan na yuktaṃ | anadhimuktita eva tat siddhau	tArkikANAm iti uttrAsa padam tat na yuktam | anaDimuktitaH eva tat sidDO
   ślokaḥ |	SlokaH |
   hīnādhimuktaḥ sunihīnadhātor hīnaiḥ sahāyaiḥ parivāritasya |	hIna aDimuktaH su nihIna DAtoH hInEH sahAyEH parivAritasya |
   audāryagāmbhīryasudeśite 'smin dharme 'dhimuktir yadi nāsti siddham ||	OdArya gAmBIrya su deSite asmin Darme aDimuktiH yadi na asti sidDam ||
   AMsa_1.18 ||	AMsa_1.18 ||
   yasya hīnā cādhimuktis tataś ca hīna eva dhātuḥ samudāgata	yasya hInA ca aDimuktiH tatas ca hInaH eva DAtuH samudAgata
   ālayavijñānabhāvanā | hīnair eva sahāyaiḥ samānādhimuktidhātukair yaḥ	AlayavijQAna BAvanA | hInEH eva sahAyEH samAna aDimukti DAtukEH yaH
   parivāritas tasyāsminn audāryagāmbhīryasudeśite mahāyānadharme yady	parivAritaH tasya asmin OdArya gAmBIrya su deSite mahAyAna Darme yadi 
   adhimuktir nāsti ata eva siddham utkṛṣṭam idaṃ mahāyānam iti |	aDimuktiH na asti atas eva sidDam utkRzwam idam mahAyAnam iti |
   aśrutasūtrāntapratikṣepāyoge ślokaḥ |	aSruta sUtra anta pratikzepa ayoge SlokaH |
   śrutānusāreṇa hi buddhimattāṃ labdhvā śrute yaḥ prakaroty avajñāṃ |	Sruta anusAreNa hi budDimat tAm labDvA Srute yaH prakaroti avajQAm |
   śrute vicitre sati cāprameye śiṣṭe kuto niścayam eti mūḍhaḥ || AMsa_1.19	Srute vicitre sati ca aprameye Sizwe kutas niScayam eti mUXaH || AMsaH _1.19
   kāmaṃ tāvad adhimuktir na syād aśrutānāṃ tu sūtrāntānām aviśeṣeṇa	kAmam tAvat aDimuktiH na syAt aSrutAnAm tu sUtrAntAnAm aviSezeNa
   pratipakṣo na yuktiḥ | (Msa 8) śrutānusāreṇaiva hi buddhimattvaṃ labdhvā	pratipakzaH na yuktiH | (MsaH 8) Sruta anusAreNa eva hi budDimat tvam labDvA
   yaḥ śruta evāvajñāṃ karoti mūḍhaḥ sa saty evāvaśiṣṭe śrute vicitre	yaH SrutaH eva avajQAm karoti mUXaH sa sati eva avaSizwe Srute vicitre
   cāprameye ca kutaḥ | kāraṇān niścayam eti na tad buddhavacanam iti | na hi	ca aprameye ca kutas | kAraNAt niScayam eti na tat budDa vacanam iti | na hi
   tasya śrutād anyad balam asti tasmād aśrutvā pratikṣepo na yuktaḥ | yad	tasya SrutAt anyat balam asti tasmAt aSrutvA pratikzepaH na yuktaH | yat 
   api ca śrutaṃ tad yoniśo manasi kartavyaṃ nāyoniśa ity	api ca Srutam tat yoniSas manasi kartavyam na ayoniSaH iti 
   ayoniśomanasikārādhīnave ślokaḥ |	ayoni SomanasikAra aDInave SlokaH |
   yathārute 'rthe parikalpyamāne svapratyayo hānim upaiti buddheḥ |	yaTArute arTe parikalpyamAne sva pratyayaH hAnim upEti budDeH |
   svākhyātatāṃ ca kṣipati kṣatiṃ ca prāpnoti dharme pratighāvatīva ||	su AKyAta tAm ca kzipati kzatim ca prApnoti Darme pratiGO= atI iva ||
   AMsa_1.20 ||	AMsa_1.20 ||
   svapratyaya iti svayaṃdṛṣṭapraāmarṣako na vijñānām antikād arthaparyeṣṭī |	sva pratyayaH iti svayaMdRzwa praAmarzakaH na vijQAnAm antikAt arTa paryezwI |
   hānim upaiti buddher iti yathābhūtajñānād aprāptiparihānitaḥ | dharmasya	hAnim upEti budDeH iti yaTA BUta jQAnAt aprApti parihAnitaH | Darmasya
   ca svākhyātatāṃ pratikṣipati tan nidānaṃ cāpuṇyaprabhāvāt kṣatiṃ prāpnoti	ca su AKyAta tAm pratikzipati tat nidAnam ca apuNya praBAvAt kzatim prApnoti
   | dharme ca pratighātam āvaraṇaṃ ca dharmavyavasanasaṃvartanīyaṃ karmety	| Darme ca pratiGAtam AvaraNam ca Darma vyavasana saMvartanIyam karma iti 
   ayam atrādīnavaḥ | ayathāvataś cārtham avijānato 'pi pratighāto na yukta	ayam atra AdInavaH | ayaTAvataH ca arTam avijAnataH api pratiGAtaH na yukta
   iti pratighātāyoge ślokaḥ |	iti pratiGAta ayoge SlokaH |
   manaḥ pradoṣaḥ prakṛtipraduṣṭo 'yathārute cāpi hy ayuktarūpaḥ |	manaH pradozaH prakRti praduzwaH ayaTArute ca api hi ayukta rUpaH |
   prāg eva saṃdehagatasya dharme tasmād upekṣaiva varaṃ hy adoṣā ||	prAk eva saMdeha gatasya Darme tasmAt upekzA eva varam hi adozAH ||
   AMsa_1.21 ||	AMsa_1.21 ||
   prakṛtipraduṣṭa iti prakṛtisāvadyaḥ | tasmād upekṣaiva varaṃ | kasmāt | sā	prakRti praduzwaH iti prakRti sAvadyaH | tasmAt upekzA eva varam | kasmAt | sA
   hy adoṣā | pratighātas tu sadoṣaḥ |	hi adozAH | pratiGAtaH tu sa dozaH |
   mahāyānasūtrālaṃkāre mahāyānasiddhyadhikāraḥ prathamaḥ	mahAyAna sUtra alaMkAre mahAyAna sidDi aDikAraH praTamaH
   CHAPITRE II	CHAPITRE II
   dvitīyo 'dhikāraḥ	dvitIyaH aDikAraH
   śaraṇagamanaviśeṣasaṃgrahaślokaḥ	SaraNa gamana viSeza saMgraha SlokaH
   ratnāni yo hi śaraṇapragato 'tra yāne jñeyaḥ sa eva paramaḥ	ratnAni yaH hi SaraNa pragataH atra yAne jQeyaH saH eva paramaH
   śaraṇaṇagatānām |	SaraNaNa gatAnAm |
   sarvatragābhyupagamādhigamābhibhūtibhedaiś caturvidhamayārthaviśeṣaṇena ||	sarvatraga aByupagama aDigama aBiBUti BedEH caturviDa maya arTa viSezaNena ||
   AMsa_2.1 ||	AMsaH _2.1 ||
   sa eva paramaḥ śaraṇaṃ gatānām iti | kena kāraṇena |	saH eva paramaH SaraNam gatAnAm iti | kena kAraNena |
   caturvidhasvabhāvārthaviśeṣaṇena | caturvidho 'rthaḥ	caturviDa svaBAva arTa viSezaNena | caturviDaH arTaH
   sarvatragābhyupagamādhigamābhibhūtibhedato veditavyaḥ | (Msa 9)	sarvatraga aByupagama aDigama aBiBUti BedataH veditavyaH | (MsaH 9)
   sarvatragārthaḥ | abhibhavārthaḥ | te punar uttaratra nirdekṣyante |	sarvatraga arTaH | aBiBava arTaH | te punar uttaratra nirdekzyante |
   tathāpy atra śaraṇapragatānāṃ bahuduṣkarakāryatvāt kecin notsahante ślokaḥ	taTA api atra SaraNa pragatAnAm bahu duzkara kArya tvAt kecid na utsahante SlokaH
   yasmād ādau duṣkara eṣa vyavasāyo duḥsādho 'sau naikasahasrair api kalpaiḥ	yasmAt AdO duzkaraH eza vyavasAyaH duHsADaH asO na eka sahasrEH api kalpEH
   siddho yasmāt satvahitādhānamahārthas tasmād agre yāna ihāgraśaraṇārthaḥ	sidDaH yasmAt satva hita ADAna mahA arTaH tasmAt agre yAnaH iha agra SaraNa arTaH
   || AMsa_2.2 ||	|| AMsaH _2.2 ||
   etena tasya śaraṇagamanavyavasāyasya praṇidhānapratipattiviśeṣābhyāṃ	etena tasya SaraNa gamana vyavasAyasya praNiDAna pratipatti viSezAByAm
   yaśohetutvaṃ darśayati | phalaprāptiviśeṣeṇa mahārthatvaṃ | purvādhikṛte	yaSaH hetu tvam darSayati | Pala prApti viSezeNa mahArTa tvam | purva aDikRte
   sarvatragārthe ślokaḥ |	sarvatraga arTe SlokaH |
   sarvān satvāṃs tārayituṃ yaḥ pratipanno yano jñāne sarvagate	sarvAn satvAn tArayitum yaH pratipannaH yanaH jQAne sarva gate
   kauśalyayuktaḥ |	kOSalya yuktaH |
   yo nirvāṇe saṃsaraṇe 'py ekaraso 'sau saṃsṛtiśāntyekaraso 'sau jñeyo	yaH nirvANe saMsaraNe api ekarasaH asO saMsRti SAnti eka rasaH asO jQeyaH 
   dhīmān eṣa hi sarvatraga evam || AMsa_2.3 ||	DImAn eza hi sarvatrage evam || AMsaH _2.3 ||
   etena caturvidhaṃ sarvatragārthaṃ ...	etena caturviDam sarvatraga arTam ...
   ... asāṃketikaṃ dharmatā	... asAMketikam Darma tA
   prātilambhikaṃ ceti prabhedalakṣaṇā pravṛttir audārikasūkṣmaprabhedena |	prAtilamBikam ca iti praBeda lakzaNA pravRttiH OdArika sUkzma praBedena |
   śaraṇapratipattiviśeṣaṇe ślokaḥ |	SaraNa pratipatti viSezaNe SlokaH |
   śaraṇagatim imāṃ gato mahārthāṃ guṇagaṇavṛddhim upaiti so 'prameyām |	SaraNa gatim imAm gataH mahArTAm guNa gaNa vRdDim upEti saH aprameyAm |
   sphurati jagad idaṃ kṛpāśayena prathayati cāpratimaṃ mahārthadharmam ||	sPurati jagat idam kRpA ASayena praTayati ca apratimam mahA arTa Darmam ||
   AMsa_2.4 ||	AMsaH _2.4 ||
   atra śaraṇagamanasthāṃ mahārthāṃ svaparārthapratipattibhyāṃ darśayati |	atra SaraNa gamana sTAm mahArTAm sva para arTa pratipattiByAm darSayati |
   svārthapratipattiḥ (Msa 10) punar bahuprakārā 'prameyaguṇavṛddhā |	sva arTa pratipattiH (Msa 10) punar bahu prakArA aprameya guNa vRdDAH |
   aprameyatvaṃ tarkasaṃkhyā kālāprameyatayā veditavyaṃ | na hi sā	aprameya tvam tarka saMKyA kAla aprameya tayA veditavyam | na hi sA
   guṇavṛddhis tarkeṇa prameyā na saṃkhyā na kālenātyantikatvāt |	guNa vRdDiH tarkeNa prameyAH na saMKyA na kAlena Atyantika tvAt |
   parārthapratipattir āśayataś ca karuṇā sphuraṇena prayogataś ca	para arTa pratipattiH ASayataH ca karuNA sPuraNena prayogataH ca
   mahāyānadharmaprathanena | mahāyānaṃ hi mahāryadṛśāṃ dharmaḥ |	mahAyAna Darma praTanena | mahAyAnam hi mahArya dRSAm DarmaH |
   mahāyānasūtrālaṃkāre śaraṇagamanādhikāro dvitīyaḥ	mahAyAna sUtra alaMkAre SaraNa gamana aDikAraH dvitIyaH
   CHAPITRE III	CHAPITRA e III
   tṛtīyo 'dhikāraḥ	tRtIyaH aDikAraH
   gotraprabhedasaṃgrahaślokaḥ	gotra praBeda saMgraha SlokaH
   satvāgratvaṃ svabhāvaś ca liṅgaṃ gotraprabhedatā |	satva agra tvam svaBAvaH ca liFgam gotra praBedatA |
   ādīnavo 'nuśaṃsaś ca dvidhāupamyaṃ caturvidhā || AMsa_3.1 ||	AdInavaH anuSaMsaH ca dviDA upamyam caturviDAH || AMsaH _3.1 ||
   anena gotrasyāstitvam agratvaṃ svabhāvo liṅgaṃ prabheda ādīnavo 'nuśaṃso	anena gotrasya astitvam agra tvam svaBAvaH liFgam praBedaH AdInavaH anuSaMso
   dvidhāupamyaṃ cety eṣa prabhedaḥ saṃgṛhītaḥ | ete ca prabhedāḥ pratyekaṃ	dviDA upamyam ca iti eza praBedaH saMgRhItaH | ete ca praBedAH pratyekam
   caturvidhāḥ | anena gotrāstitvavibhāge ślokaḥ |	caturviDAH | anena gotra astitva viBAge SlokaH |
   dhātūnām adhimukteś ca pratipatteś ca bhedataḥ |	DAtUnAm aDimukteH ca pratipatteH ca BedataH |
   phalabhedopalabdheś ca gotrāstitvaṃ nirūpyate || AMsa_3.2 ||	Pala Beda upalabDeH ca gotrAstitvam nirUpyate || AMsaH _3.2 ||
   nānādhātukatvānām aparimāṇo dhātuprabhedo yathoktam akṣarāśisūtre | tasmād	nAnA DAtuka tvAnAm aparimANaH DAtu praBedaH yaToktam akza rASi sUtre | tasmAt 
   evaṃ jātīyako 'pi dhātubhedaḥ pratyetavya iti | asti yānatraye gotrabhedaḥ	evam jAtIyakaH api DAtu BedaH pratyetavyaH iti | asti yAna traye gotra BedaH
   | adhimuktibhedo 'pi satvānām upalabhyate prathamata eva kasyacit kvacid	| aDimukti BedaH api satvAnAm upalaByate praTamatas eva kasyacid kvacid 
   eva yāde 'dhimuktir bhavati so 'ntareṇa gotrabhedaṃ na syāt | utpāditāyām	eva yAde aDimuktiH Bavati saH antareNa gotra Bedam na syAt | utpAditAyAm
   api ca pratyayavaśenādhimuktau pratipattibheda upalabhyate kaścin nirvohā	api ca pratyaya vaSena aDimuktO pratipatti BedaH upalaByate kaScid nirvohA
   bhavati kaścin neti so 'ntareṇa gotraprabhedaṃ na syāt | phalabhedaś	Bavati kaScid na iti saH antareNa gotra praBA idam na syAt | Pala BedaH 
   copalabhyate hīnamadhyaviśiṣṭā bodhayaḥ (Msa 11) so 'ntareṇa gotrabhedaṃ	ca upalaByate hIna maDya viSizwAH boDayaH (MsaH 11) saH antareNa gotra Bedam
   na syāt bījānurūpatvāt phalasya | agratvavibhāge ślokaḥ |	na syAt bIja anurUpa tvAt Palasya | agra tva viBAge SlokaH |
   udagratve 'tha sarvatve mahārthatve 'kṣayāya ca |	udagra tve aTa sarva tve mahArTa tve akzayAya ca |
   śubhasya tannimittatvāt gotrāgratvaṃ vidhīyate || AMsa_3.3 ||	SuBasya tad nimitta tvAt gotra agra tvam viDIyate || AMsaH _3.3 ||
   atra gotrasya caturvidhena nimittatvenāgratvaṃ darśayati | tad dhi gotraṃ	atra gotrasya caturviDena nimitta tvena agra tvam darSayati | tat Di gotram
   kuśalamulānām udagratve nimittaṃ sarvatve mahārthatve akṣayatve ca | na hi	kuSala mulAnAm udagra tve nimittam sarva tve mahArTa tve akzaya tve ca | na hi
   śrāvakāṇāṃ tathodagrāṇi na ca sarvāṇi santi balavaiśāradyādyabhāvāt | na	SrAvakANAm taTA udagrANi na ca sarvANi santi bala vESAradya Adi aBAvAt | na
   ca mahārthānyaparārthatvāt | na cākṣayāṇy anupadhiśeṣanirvāṇāvasānatvāt |	ca mahA arTAni apara arTa tvAt | na ca akzayANi anupaDi Seza nirvANa avasAna tvAt |
   lakṣaṇavibhāge ślokaḥ |	lakzaNa viBAge SlokaH |
   prakṛtyā paripuṣṭaṃ ca āśrayaś cāśritaṃ ca tat |	prakRtyA paripuzwam ca ASrayaH ca ASritam ca tat |
   sadasac caiva vijñeyaṃ guṇottāraṇatārthataḥ || AMsa_3.4 ||	sat asat ca eva vijQeyam guNa uttAraNa tA arTataH || AMsaH _3.4 ||
   etena caturvidhaṃ gotraṃ darśayati | prakṛtisthaṃ samudānītam	etena caturviDam gotram darSayati | prakRti sTam samudAnItam
   āśrayasvabhāvam āśritasvabhāvaṃ ca tad eva yathākramaṃ |	ASraya svaBAvam ASrita svaBAvam ca tat eva yaTAkramam |
   tatpunarhetubhāvena sat phalabhāvenāsat | guṇottāraṇārthana gotraṃ	tad punar hetu BAvena sat Pala BAvena asat | guNa uttAraNa arTana gotram
   veditavyaṃ guṇā uttaranty asmād uddhavantīti kṛtvā | liṅgavibhāge ślokaḥ |	veditavyam guNAH uttaranti asmAt udDavanti iti kRtvA | liFga viBAge SlokaH |
   kāruṇyam adhimuktiś ca kṣāntiś cādiprayogataḥ |	kAruNyam aDimuktiH ca kzAntiH ca Adi prayogataH |
   samācāraḥ subhasyāpi gotre liṅgaṃ nirupyate || AMsa_3.5 ||	samAcAraH suBasya api gotre liFgam nirupyate || AMsaH _3.5 ||
   caturvidhaṃ liṅgaṃ bodhisatvagotre | ādiprayogata eva kāruṇyaṃ satveṣu |	caturviDam liFgam boDisatva gotre | Adi prayogataH eva kAruNyam satvezu |
   adhimuktir mahāyānadharme | kṣāntirduṣkaracaryāyāṃ sahiṣṇutārthena |	aDimuktiH mahAyAna Darme | kzAntiH duzkara caryAyAm sahizNu tA arTena |
   samācāraś ca pāramitāmayasya kuśalasyeti | prabhedavibhāge ślokaḥ |	samAcAraH ca pAramitA mayasya kuSalasya iti | praBeda viBAge SlokaH |
   niyatāniyataṃ gotram ahāryaṃ hāryam eva ca |	niyata aniyatam gotram ahAryam hAryam eva ca |
   pratyayair gotrabhedo 'yaṃ samāsena caturvidhaḥ || AMsa_3.6 ||	pratyayEH gotra BedaH ayam samAsena caturviDaH || AMsaH _3.6 ||
   samāsena caturvidhaṃ gotraṃ niyatāniyataṃ tadeva yathākramaṃ	samAsena caturviDam gotram niyata aniyatam tat eva yaTAkramam
   pratyayairahāryaṃ hāryaṃ ceti | ādīnavavibhāge ślokaḥ |	pratyayEH ahAryam hAryam ca iti | AdInava viBAge SlokaH |
   kleśābhyāsaḥ kumitratvaṃ vidhātaḥ paratantratā |	kleSa aByAsaH kumitra tvam viDAtaH paratantra tA |
   gotrasyādīnavo jñeyaḥ samāsena caturvidhaḥ || AMsa_3.7 ||	gotrasya AdInavaH jQeyaH samAsena caturviDaH || AMsaH _3.7 ||
   bodhisatvagotre samāsena caturvidha ādīnavaḥ yena gotrastho 'guṇeṣu	boDisatva gotre samAsena caturviDaH AdInavaH yena gotra sTaH aguNezu
   pravartate | (Msa 12) kleśabāhulyaṃ | akalyāṇamitratā | upakaraṇavidhātaḥ	pravartate | (MsaH 12) kleSa bAhulyam | akalyANa mitra tA | upakaraNa viDAtaH
   | pāratantryaṃ ca | anuśaṃsavibhāge ślokaḥ |	| pAratantryam ca | anuSaMsa viBAge SlokaH |
   cirād apāyagamanam āśumokṣaś ca tatra ca |	cirAt apAya gamanam ASumokzaH ca tatra ca |
   tanuduḥkhopasaṃvittiḥ sodvegā satvapācanā || AMsa_3.8 ||	tanu duHKa upasaMvittiH sa udvegA satva pAcanAH || AMsaH _3.8 ||
   caturvidho bodhisatvasya gotre 'nuśaṃsaḥ | cireṇāpāyān gacchati | kṣipraṃ	caturviDaH boDisatvasya gotre anuSaMsaH | cireNa apAyAn gacCati | kzipram
   ca tebhyo mucyate | mṛdukaṃ ca duḥkhaṃ teṣūpapannaḥ pratisaṃvedayate |	ca teByaH mucyate | mRdukam ca duHKam tezu upapannaH pratisaMvedayate |
   saṃvignacetās tadupapannāṃś ca satvān karuṇayamānaḥ paripācayati |	saMvigna cetAH tad upapannAn ca satvAn karuNayamAnaH paripAcayati |
   mahāsuvarṇagotrāupamye ślokaḥ |	mahA suvarNa gotrOupamye SlokaH |
   Comparaison avec une grande Famille d'or, en un vers.	Compara eson avet une grande Famille daor, ed ud vers.
   suvarṇagotravat jñeyam ameyaśubhatāśrayaḥ |	suvarNa gotra vat jQeyam ameya SuBa tA ASrayaH |
   jñānanirmalatāyogaprabhāvāṇāṃ ca niśrayaḥ || AMsa_3.9 ||	jQAna nirmala tA yoga praBAvANAm ca niSrayaH || AMsaH _3.9 ||
   mahāsuvarṇagotraṃ hi caturvidhasya suvarṇasyāśrayo bhavati | prabhūtasya	mahA suvarNa gotram hi caturviDasya suvarNasya ASrayaH Bavati | praBUtasya
   prabhāsvarasya nirmalasya karmaṇyasya ca | tatsādharmyeṇa bodhisatvagotram	praBAsvarasya nirmalasya karmaNi asya ca | tat sADarmyeNa boDisatva gotram
   aprameyakuśalamūlāśrayaḥ | jñānāśrayaḥ | kleśanairmalyaprāptyāśrayaḥ |	aprameya kuSala mUla ASrayaH | jQAna ASrayaH | kleSanErmalya prApti ASrayaH |
   abhijñādiprabhāvāśrayaś ca | tasmān mahāsuvarṇagotropaṃ veditavyaṃ |	aBijQa Adi praBAva ASrayaH ca | tasmAt mahA suvarNa gotra upam veditavyam |
   mahāratnagotrāupamye ślokaḥ |	mahA ratna gotrOu pamye SlokaH |
   suratnagotravat jñeyaṃ mahābodhinimittataḥ |	su ratna gotra vat jQeyam mahA boDi nimittataH |
   mahājñānasamādhyāryamahāsatvārthaniśrayāt || AMsa_3.10 ||	mahA jQAna samADi Arya mahA satva arTa niSrayAt || AMsaH _3.10 ||
   mahāratnagotraṃ hi caturvidharatnāśrayo bhavati | jātyasya	mahA ratna gotram hi caturviDa ratna ASrayaH Bavati | jAtyasya
   varṇasaṃpannasya saṃsthānasaṃpannasya pramāṇasaṃpannasya ca | tadupamaṃ	varNa saMpannasya saMsTAna saMpannasya pramANa saMpannasya ca | tad upamam
   bodhisatvagotraṃ veditavyaṃ mahābodhinimittatvāt mahājñānanimittatvād	boDisatva gotram veditavyam mahA boDi nimitta tvAt mahA jQAna nimitta tvAt 
   āryasamādhinimittatvāt cittasya hi saṃsthitiḥ samādhiḥ	Arya samADi nimitta tvAt cittasya hi saMsTitiH samADiH
   mahāsatvaparipākanimittatvāc ca bahusatvaparipācanāt |	mahA satva paripAka nimitta tvAt ca bahu satva paripAcanAt |
   agotrannasthavibhāge ślokaḥ |	agotrannasTa viBAge SlokaH |
   aikāntiko duścarite 'sti kaścit kaścit samudghātitaśukladharmā |	EkAntikaH duScarite asti kaScid kaScid samudGAtita Sukla DarmAH |
   amokṣabhāgīyaśubho 'sti kaścin nihīnaśuklo 'sty api hetuhīnaḥ || AMsa_3.11	amokza BAgIya SuBaH asti kaScid nihIna SuklaH asti api hetu hInaH || AMsaH _3.11
   aparinirvāṇadharmaka etasminn agotrastho 'bhipretaḥ | sa ca samādato	aparinirvANa DarmakaH etasmin agotra sTaH aBipretaH | sa ca samAdataH 
   dvividhaḥ | tatkālāparinirvāṇadharmā atyantaṃ ca |	dviviDaH | tad kAla aparinirvANa DarmAH atyantam ca |
   tatkālāparinirvāṇadharmā caturvidhaḥ | duścaritaikāntikaḥ	tad kAla aparinirvANa DarmA caturviDaH | duScarita EkAntikaH
   samucchinnakuślamūlaḥ | hīnakuśalamūlaś cāparipūrṇasaṃbhāraḥ | (Msa 13)	samucCinna kuSla mUlaH | hIna kuSala mUlaH ca aparipUrNa saMBAraH | (MsaH 13)
   atyantāparinirvāṇadharmā tu hetuhīno yasya parinirvāṇagotram eva nāsti |	atyanta aparinirvANa DarmA tu hetu hInaH yasya parinirvANa gotram eva na asti |
   prakṛtiparipuṣṭagotramāhātmye ślokaḥ |	prakRti paripuzwa gotra mAhAtmye SlokaH |
   gāmbhīryāudāryavāde parahitakaraṇāyodite dīrghadharme ajñātvaivādhimuktir	gAmBIryA udArya vAde para hita karaNAya udite dIrGa Darme ajQAtvA eva aDimuktiH 
   bhavati suvipulā saṃprapattikṣamā ca |	Bavati su vipulA saMprapatti kzamA ca |
   saṃpattiś cāvasāne dvayagataparamā yad bhavaty eva teṣāṃ tajjñeyaṃ	saMpattiH ca avasAne dvaya gata paramA yat Bavati eva tezAm tat jQeyam
   bodhisatvaprakṛtiguṇavatas tatprapuṣṭāc ca gotrāt || AMsa_3.12 ||	boDisatva prakRti guNavataH tad prapuzwAt ca gotrAt || AMsaH _3.12 ||
   yadgābhīryāudāryavādini parahitakriyārthamukte vistīrṇe mahāyānadharme	yad gABIryAu dArya vAdini para hita kriyA arTam ukte vistIrNe mahAyAna Darme
   gāmbhīryāudāryārtham ajñātvaivādhimuktir vipulā bhavati | pratipattau	gAmBIryA u dArya arTam ajQAtvA eva aDimuktiH vipulA Bavati | pratipattO
   cotsāhaḥ | saṃpattiś cāvasāne mahābodhirdvayagatāyāḥ saṃpatteḥ paramā	ca utsAhaH | saMpattiH ca avasAne mahAboDiH dvaya gatAyAH saMpatteH paramA
   tatprakṛtyā guṇavataḥ paripuṣṭasya ca bodhisatvagotrasya māhātmyaṃ	tad prakRtyA guNavataH paripuzwasya ca boDisatva gotrasya mAhAtmyam
   veditavyaṃ | dvayagatā iti dvaye laukikāḥ śrāvakāś ca | parameti viśiṣṭā |	veditavyam | dvaya gatAH iti dvaye lOkikAH SrAvakAH ca | parama iti viSizwAH |
   phalato gotraviśeṣaṇe ślokaḥ |	PalataH gotra viSezaNe SlokaH |
   suvipulaguṇabodhivṛkṣavṛddhyai dhanasukhaduḥkhaśamopalabdhaye ca |	su vipula guNa boDi vRkza vRdDyE Dana suKa duHKa Sama upalabDaye ca |
