   śrī-śrī-gopāla-campūḥ	SrI--SrI--gopAla--campUH
   eka-dvādi-krameṇa śatātikrameṇa sarve'py antaraṅgā	eka-du-a-Adi--krameNa Sata-atikrameNa sarve-api antaraFgA
   labdha-sambhrama-taraṅgās tad-antaḥ-puram āgatāḥ |	labDa--samBrama--taraFgAH tad--antaH-puram AgatAH |
   ]8] atha madraṅkara-dīpa-bhadra-nipādīnāṃ madhya-madhyāsīnayoḥ	]8] aTa mad-raFkara--dIpa-Badra--nipAdInAm maDya-m-aDyAsInayoH
   sārdra-nayanayor anayor vikasad-vadanāmbujayor agrajānujayoḥ sarvataḥ	sArdra-nayanayoH anayoH vikasat--vadana-ambujayoH agraja-anujayoH sarvatas-
   kharva-vicāratayā sthiteṣu sarveṣu sa punar akrūraḥ krūras tad etad	Karva--vicAra-tayA sTitezu sarvezu sa punar akrUraH krUraH tat etat-
   bahiḥ-pradeśataḥ sandideśa- sarva-maṅgala-saṅgataṃ katham etal lagnaṃ	bahis---pradeSataH sandideSa sarva-maFgala--saFgatam kaTam etat lagnam
   samyag na yātrā-lagnaṃ kriyate iti |	samyak na yAtrA-a-lagnam kriyate iti |
   [9] tataś ca tāv imau śūrāṇām agrimau kaṃsa-ghātāya labdha-tṛṣṇau	[9] tatas ca tO imO SUrANAm agrimO kaMsa--GAtAya labDa-tRzNO
   rāma-kṛṣṇau citrāyamāṇānāṃ pitrādīnāṃ caraṇa-vandanāyānandanāya ca	rAma--kRzNO citrAyamANAnAm pitR-AdInAm caraNa-vandanAya-AnandanAya ca
   madhuraṃ vidhuratā-vidhunanam api gadantau gadgada-varṇa-rāśibhir āśīr	maDuram viDuratA--viDunanam api gadantO gadgada-varNa-rASiBiH ASIr
   anugām anujñām ādāya prasādāyasampadā yadā tat-sthānāt prasthānāya	anugAm anujQAm AdAya prasAdAya-sampadA yadA tat--sTAnAt prasTAnAya
   padāravindaṃ dadānāv adṛśyetāṃ tadā tadādīnāṃ san-madālibhiḥ samam	pada-aravindam dadAnO adRSyetAm tadA tad-AdInAm san-madAliBiH samam
   advandvatāṃ vindad divya-dundubhi-	advandva-tAm vindat divya-dunduBi-
   dvandva-vṛnda-vādyam aśeṣābhivādyatayā samullalāsa |	dvandva--vRnda-vAdyam aSeza-aBivAdya-tayA samullalAsa |
   [10] tathā ca śrī-kṛṣṇam uddiśya ślokayanti-	[10] taTA ca SrI--kRzNam uddiSya Slokayanti-
   kaṃsa-dhvaṃsa-kṛte yadā nija-gṛhāt kṛṣṇena yātrā kṛtā	kaMsa--DvaMsa--kRte yadA nija-gRhAt kRzNena yAtrA kRtA
   tarhy ārambhata eva dundubhi-śataṃ vṛndārakair vāditam |	tarhi AramBataH eva dunduBi--Satam vRndArakEH vAditam |
   āstām anya-kathā yathā sa ca pitā mātā ca sā cintayā	AstAm anya--kaTA yaTA sa ca pitA mAtA ca sA cintayA
   klāntātmāpi mudaṃ samasta-bhavikānandasya mūlaṃ yayau ||GC_2,3.3||	klAnta-AtmA-api mudam samasta-BavikA-Anandasya mUlam yayO ||GC_2,3.3||
   [11] atha ratha-sthāne sāneka-vedādi-ghoṣa-maṅgala-poṣaṃ kṛtāgamanayor	[11] aTa raTa-sTAne sa-aneka-veda-Adi--GA-Uza--maFgala-pozam kRta-AgamanayoH-
   anayoḥ sarvataḥ sarvam eva gokulam ākulaṃ babhūva | [12] tatra caikataḥ	anayoH sarvatas sarvam eva gokulam Akulam baBUva | [12] tatra ca-ekatas-
   śrī-vraja-rājādayaḥ paratas tu tadīya-jāyādaya iti sthite prasthiter	SrI-vraja--rAja-AdayaH paratas tu tadIya--jAyAdayaH iti sTite prasTiteH-
   anujñāpanāya paṇāyati paritaḥ kṛtāñjali-sañjane kañja-locane sarve'py	anujQApanAya paNAyati paritas kRta-aQjali--saQjane kaQja--locane sarve-api-
   ūcuḥ- asmābhir bhavatā prasmārita-sarvaiḥ sarvair api bhavatā samam	UcuH asmABiH BavatA prasmArita--sarvEH sarvEH api BavatA samam
   evāgamanīyam | yataḥ-	eva-AgamanIyam | yatas--
   mātā bhastreva seyaṃ baka-śamana tava tvad-vaśa-śvāsa-vargā	mAtA BastrA-iva sA-iyam baka--Samana tava tvad--vaSa--SvAsa--vargA
   so'yaṃ tātaś ca tadvat kim aparam akhilaṃ gokulaṃ tādṛg eva |	saH-ayam tAtaH ca tadvat kim aparam aKilam gokulam tAdRS eva |
   sarveṣāṃ śaśvad antar-hṛdi vasasi yatas tvaṃ tatas tvāṃ vinā kiṃ	sarvezAm SaSvat antar-hRdi vasasi yatas tvam tatas tvAm vinA kim
   gehair arthaiḥ śarīrair asubhir api bhavet prāṇināṃ gokulasya ||GC_2,3.4||	gehEH arTEH SarIrEH asuBiH api Bavet prANinAm go-kulasya ||GC_2,3.4||
   [13] tad evam asra-stambhaṃ lambhayatsu gopa-sabhāsatsu tādṛśa-dṛśā	[13] tat evam asra--stamBam lamBayatsu gopa-saBAsatsu tAdRSa-dRSA
   śrī-kamala-dṛśā svayam uktam-	SrI-kamala-dRSA svayam uktam-
   yūyaṃ me prāṇato'pi priyatama-suhṛdo yan-nimittaṃ davāgniṃ	yUyam me prANataH-api priyatama--suhRdaH yan--nimittam dava-agnim
   mene'haṃ pānakābhaṃ tam api giri-varaṃ kanduka-prāyam eva |	mene-aham pAnaka-ABam tam api giri-varam kanduka--prAyam eva |
   yadyapy etan na yuktaṃ vacasi racayituṃ syād athāpi klamaṃ vaḥ	yadi-api etat na yuktam vacasi racayitum syAt aTa-api klamam vaH
   paśyaṃs tat tad yathā prāg akaravam adhunā tadvad eva pravacmi	paSyan tat tat yaTA prAk akaravam aDunA tadvat eva pravacmi
   ||GC_2,3.5||	||GC_2,3.5||
   [14] kiṃ ca, śrīmat-pitṛ-caraṇānāṃ pratinidhitayā	[14] kim ca, SrImat--pitR-caraNAnAm pratiniDi-tayA
   tat-tat-pratividhi-racanāya tad-agraja-yugmaṃ vrajaniṣṭham eva tiṣṭhatāt;	tat-tat--prativiDi--racanAya tad--agraja--yugmam vraja-nizWam eva tizWatAt;
   aṅga-pratyaṅga-rūpatayā tad anuja-yugman tu saṅgam eva saṅgacchatāt |	aFga--pratyaFga---rUpa-tayA tat anuja--yugman tu saFgam eva saFgacCatAt |
   [15] atha tatra tatra yatnatas teṣu yukteṣu yathā-yathaṃ niyukteṣu yathā	[15] aTa tatra tatra yatnatas tezu yuktezu yaTA-yaTam niyuktezu yaTA
   yathā mātṛ-tad-yātṛ-prabhṛtiṣu pitṛ-bhrātṛja-sva-bhrātṛ-pracitiṣu	yaTA mAtR-tad--yAtR--praBRtizu pitR-BrAtR-ja--sva--BrAtR--pracitizu
   cānujñāpana-samāpanaṃ tathā tathā varṇanaṃ lupta-varṇa-padatām āpnotīty	ca-anujQApana--samApanam taTA taTA varNanam lupta--varNa-pada-tAm Apnoti-iti-
   alam ati-prasaṅgena |	alam ati-prasaFgena |
   [16] kintu teṣāṃ kaṃsa-hanane'tivilambaṃ vinā pratyāgamane ca	[16] kintu tezAm kaMsa--hanane-ati-vilambam vinA pratyAgamane ca
   nāsambhāvanāsīd itīdam eva viṣīdan marmatām aticakrāma iti | [17] kathāṃ	na-asamBAvanAsIt iti-idam eva vizIdat marmatAm aticakrAmaH iti | [17] kaTAm
   samāpya snigdhakaṇṭhaḥ punar uvāca-	samApya snigDa-kaNWaH punar uvAca-
   yan mayedaṃ purā-vṛttaṃ purā vṛttaṃ pratīyatām |	yat mayA-idam purA-vRttam purA vRttam pratIyatAm |
   rājan surāri-hantāyaṃ tava kroḍe murāntakaḥ ||GC_2,3.7||	rAjan surAri-hantA-ayam tava kroxe murAntakaH ||GC_2,3.7||
   [18] tad evam āyati-ramyaṃ niśamya śrī-vraja-rājena ca taṃ	[18] tat evam Ayati-ramyam niSamya SrI-vraja--rAjena ca tam
   parasparāsra-sārdrāṅgatayāliṅgitaṃ niśāmya sarve'py ānanda-garveṇa	paraspara-asra--sa-Ardra-aFga-tayA-AliFgitam niSAmya sarve-api Ananda--garveNa
   nija-nija-gamyaṃ jagmuḥ | yadā śrī-vraja-rājñī tam antaraṅga-dvārāhūya	nija--nija--gamyam jagmuH | yadA SrI-vraja-rAjQI tam antaraFga-dvAra-AhUya
   bhūyaḥ parirabhya navam iva labhyaṃ cakāra |	BUyas pariraBya navam iva laByam cakAra |
   [19] atha rātri-kathāyām ārabdha-prathāyāṃ śrī-rādhā-mādhavayor agrataḥ	[19] aTa rAtri--kaTAyAm ArabDa--praTAyAm SrI-rADA--mADavayoH agratas-
   snigdhakaṇṭha uvāca-ayi samprati santata-labdha-kṛṣṇāsañjane	snigDa-kaNWaH uvAca-ayi samprati santata-labDa--kRzNA-saQjane
   tat-kānti-nartita-netra-khañjane sarvādhike śrī-rādhike punar idaṃ	tat--kAnti-nartita--netra--KaQjane sarva-aDike SrI-rADike punar idam
   purā-vṛttaṃ karṇa-vṛttaṃ kriyatām | athavā tadā ratha-patham āgate	purA-vRttam karNa-vRttam kriyatAm | aTavA tadA raTa-paTam Agate
   sasamāje vraja-yuvarāje tat-preyasīnāṃ vṛttaṃ man-mati-vṛttim ativṛttaṃ	sa-samAje vraja-yuvarAje tat--preyasInAm vRttam man-mati-vRttim ativRttam
   kathaṃ kathayituṃ śaknomi ?	kaTam kaTayitum Saknomi ?
   tathā hi-	taTA hi-
   mūrkhatvaṃ nirghṛṇatvaṃ hari-haraṇam iha krauryam akrūra-nāmnā	mUrKa-tvam nirGRNa-tvam hari-haraNam iha krOryam akrUra-nAmnA
   sarveṣāṃ buddhi-lopaṃ śakuna-subhagatā-kalpanaṃ cātra kṛtye |	sarvezAm budDi-lopam Sakuna-suBaga-tA--kalpanam ca-atra kRtye |
   dhātuḥ paśyeti śaśvad vikalita-vacasām ārya-goṣṭhī-gatānāṃ	DAtuH paSya-iti SaSvat vikalita--vacasAm Arya--gozWI--gatAnAm
   dhīrāṇām apy amūṣāṃ bhrama-janita-daśā hanta māṃ dandahīti ||GC_2,3.8||	DIrANAm api amUzAm Brama--janita-daSA hanta mAm dandahi-iti ||GC_2,3.8||
   nopālabhyo vidhātā sa tu bhavati paras tadvad akrūra-nāmā	na-upAlaByaH viDAtA sa tu Bavati paraH tadvat akrUra-nAmA
   kintv eṣa prāṇa-nāthaḥ sva-viraha-kṛd upālabhyate nanda-putraḥ |	kintu eza prANa-nATaH sva---viraha-kRt upAlaByate nanda--putraH |
   evaṃ tāsāṃ mṛdūṇām api dūta-hṛdaya-jvāla-rūpair vilāpair	evam tAsAm mRdUNAm api dUta-hRdaya--jvAla--rUpEH vilApEH-
   adyāpi smaryamāṇaiḥ pratipadam api nas tapyate citta-vṛttiḥ ||GC_2,3.9||	adya-api smaryamANEH pratipadam api naH tapyate citta-vRttiH ||GC_2,3.9||
   ābhir bhāgyaṃ vadhūnāṃ madhu-nagara-bhuvāṃ yan nutaṃ bhāvi-kṛṣṇa-	ABiH BAgyam vaDUnAm maDu-nagara-BuvAm yat nutam BAvi-kRzNa-
   prekṣāyāṃ hanta tasmād gatir api ca nijā tatra caiṣīti śaṅke |	prekzAyAm hanta tasmAt gatiH api ca nijA tatra ca-ezi-iti SaFke |
   icchāṃ cāsāṃ mṛdūnāṃ svayam api rahasi prekṣyamāṇe nijāṅge	icCAm ca-AsAm mRdUnAm svayam api rahasi prekzyamANe nija-aFge
   lajjā-vistāra-bhājām asakṛd ahaha tāṃ cintayitvā dunomi ||GC_2,3.10||	lajjA-a--vistAra--BAjAm asakRt ahaha tAm cintayitvA dunomi ||GC_2,3.10||
   tāsāṃ nāti-pratītiṃ madhu-pura-gamane śrī-hareḥ kurvatīnāṃ	tAsAm na-ati--pratItim maDu--pura-gamane SrI--hareH kurvatInAm
   vajrāṇāṃ pāta-tulyaḥ śirasi yad abhavat tad rathāroha-jalpaḥ |	vajrANAm pAta--tulyaH Sirasi yat aBavat tat raTa-Aroha--jalpaH |
   tasmān nindā kṛtā yad vraja-pati-sadasām apy amūdṛgbhir uccair	tasmAt nindA kRtA yat vraja--pati--sadasAm api amUdRgBiH uccEs-
   duḥkha-prācuryam etan mama vikalayati svāntam adyāpi hanta ||GC_2,3.11||	duHKa--prAcuryam etat mama vikalayati svAntam adya-api hanta ||GC_2,3.11||
   āyāta prāṇa-sakhyo vayam iha nikaṭāḥ koṭayaḥ prāṇa-nāthaṃ	AyAta prANa-saKyaH vayam iha nikawAH kowayaH prANa-nATam
   prītyāvṛttaṃ vitanmaḥ kim iva guru-janā naḥ kariṣyanti nāma |	prItyA-avRttam vitanmaH kim iva guru-janAH naH karizyanti nAma |
   itthaṃ tās taṃ dravantīr mṛdu-caritavatīr apy alaṃ tīvra-bhāvāḥ	itTam tAH tam dravantIH mRdu-caritavatIH api alam tIvra-BAvAH
   kṣiptāś cakrur yad anye tad iha mama balāt prāṇa-ghātaṃ karoti	kziptAH cakruH yat anye tat iha mama balAt prANa-GAtam karoti
   ||GC_2,3.12||	||GC_2,3.12||
   hā hā sā rāsa-goṣṭhī nava-nava-milanollāsa-śaśvad vilāsā	hA hA sA rAsa--gozWI nava-nava-milana-ullAsa--SaSvat vilAsA
   tal-līlā-kalpa-vallī-samudaya-januṣām aṅkura-śrīḥ kva yātā ?	tal-lIlA--kalpa--vallI--samudaya--januzAm aFkura--SrIH kva yAtAH ?
   hā dhig yākrūra-nāmnā kitava-nṛpatinā dīkṣitā gopa-goṣṭhī	hA Dik yA-akrUra-nAmnA kitava--nRpatinA dIkzitA gopa-gozWI
   seyaṃ tat-sarva-nāśiny ajani kuta iti krośikā māṃ dahanti ||GC_2,3.13||	sA-iyam tat--sarva-nASinI ajani kutas iti kroSikA mAm dahanti ||GC_2,3.13||
   āstāṃ rāsādi-līlāvalir api lalitā hā dinānte niśānte'py	AstAm rAsa-Adi-lIlA-AvaliH api lalitA hA dina-ante niSA-ante-api-
   añcan gobhir vilāsī saha-sakhi-nicayaḥ sāgrajaḥ kṛṣṇa-candraḥ |	aQcan goBiH vilAsI saha-saKi--nicayaH sAgrajaH kRzNa-candraH |
   asmān netrānta-lakṣmī-vilasita-kalayā puṣṭavān suṣṭhu yas taṃ	asmAn netra-anta--lakzmI--vilasita-kalayA puzwavAn suzWu yaH tam
   gopās tūrṇaṃ nayanti kva samam iti giro gopikā māṃ tudanti ||GC_2,3.14||	gopAH tUrNam nayanti kva samam iti giraH gopikAH mAm tudanti ||GC_2,3.14||
   [20] tad evaṃ sthite-	[20] tat evam sTite-
   rādhā yadyapi mūrchitā samabhavat tasyās tathāpi priyaś	rADA yadi-api mUrCitA samaBavat tasyAH taTA-api priyaS
   cittāntaḥ sphurati sma tadvad abhito yadvac chatāṅgaṃ gataḥ |	citta-antaH sPurati sma tadvat aBitas yadvat Sata-aFgam gataH |
   so'yaṃ yadyapi dṛṣṭi-kṛṣṭim akarod asyāḥ sakāśān nija-	saH-ayam yadi-api dRzwi-kRzwim akarot asyAH sakASAt nija-
   kṣobhād bibhyad iyaṃ tathāpya anudiśaṃ hā tad-dṛśi vyānaśe ||GC_2,3.15||	kzoBAt biByat iyam taTA-apya anudiSam hA tad--dRSi vyAnaSe ||GC_2,3.15||
   tasyāṃ sabhāyāṃ rurudur yad etā	tasyAm saBAyAm ruruduH yat etA
   govinda dāmodara mādhaveti |	govinda dAmodara mADava-iti |
   tatra smṛte'dyāpi mano mamedaṃ	tatra smRte-adya-api manaH mama-idam
   khedaṃ bhajat-prāṇa-bhṛtiṃ na vaṣṭi ||GC_2,3.16||	Kedam Bajat--prANa-BRtim na vazwi ||GC_2,3.16||
   evaṃ bata sudatīnāṃ	evam bata sudatInAm
   rudatīnām apy aruntudaḥ sa rathī |	rudatInAm api aruntudaH sa raTI |
   akrūraḥ krūra-manāḥ	akrUraH krUra-manAH
   dūraṃ harim ahṛta sūrajā-puram ||GC_2,3.17||	dUram harim ahRta sUrajA--puram ||GC_2,3.17||
   kṛṣṇas tan mukhya-vargas tad-anugata-rathas tat-patākā-tad-udyad-	kRzNaH tat muKya-vargaH tad--anugata--raTaH tat-patAkA--tad-udyad-
   dhūlīnāṃ pālir itthaṃ kramam anu nimiṣa-projjhitaṃ vīikṣyamāṇā |	DUlInAm pAliH itTam kramam anu nimiza--projJitam vIikzyamANAH |
   pratyāvṛttau nirāśā vraja-yuvati-tatiḥ prāṇam atyakṣyad eṣa	pratyAvRttO nirASA vraja--yuvati-tatiH prANam atyakzyat eza
   prāk cen nātmāgati-svīkṛti-kṛti-lipibhiḥ satyam atra vyadhāsyat	prAk ced na-AtmA-gati--svIkRti--kRti-lipiBiH satyam atra vyaDAsyat-
   ||GC_2,3.18||	||GC_2,3.18||
   yadyapi sura-muni-kathitā	yadi-api sura--muni--kaTitA
   svasyāgataye vilambitā jñātā |	svasya-Agataye vilambitA jQAtA |
   tad api ca valayita-tṛṣṇe	tat api ca valayita--tRzNe
   nāsyāṃ kṛṣṇena nādṛtiḥ kalitā ||GC_2,3.19||	na-asyAm kRzNena na-AdRtiH kalitAH ||GC_2,3.19||
   [21] tatra tasya tāsāṃ ca sa-sveda-jala-kuṅkuma-rāgeṇa	[21] tatra tasya tAsAm ca sa-sveda--jala--kuFkuma--rAgeNa
   sāśru-kajjala-bhāgena ca muhur mitho likhitā	sa-aSru--kajjala-BAgena ca muhur miTas liKitA
   dūtya-saṅgata-madhumaṅgala-patrikāḥ patrikā yathā-	dUtya--saFga-ta-maDu-maFgala-patrikAH patrikA yaTA-
   āyāsyāmy āśu hatvā tam adhi-madhupuraṃ kaṃsam apy asti dūraṃ	AyAsyAmi ASu hatvA tam aDi-maDu-puram kaMsam api asti dUram
   vatsādy-āghāta-dhāmnaḥ puram api kim adas tat priyāḥ kutra duḥkham?	vatsa-Adi--AGAta--DAmnaH puram api kim adaH tat priyAH kutra duHKam?
   kintv anyat prārthitaṃ yad bhavadbhir ucitaṃ tad vidhatta prasattyā	kintu anyat prArTitam yat BavadBiH ucitam tat viDatta prasattyA
   prāṇe prāṇeśvarībhir mayi kim ayi paraṃ hanta mantavyam antaḥ	prANe prANeSvarIBiH mayi kim ayi param hanta mantavyam antar-
   ||GC_2,3.20||	||GC_2,3.20||
   gacchan neṣa tvam adya sphurasi dayita bhoḥ kaṃsa-ghātaṃ vidhāya	gacCan neza tvam adya sPurasi dayita BoH kaMsa-GAtam viDAya
   svīkartuṃ rājatāṃ tat katham atha bhavatād āgatis te vrajāya?	svIkartum rAjatAm tat kaTam aTa BavatAt AgatiH te vrajAya?
   tasmād asmābhir arthyaṃ tad idam iha bhavāṃs tatra nānā-virājat-	tasmAt asmABiH arTyam tat idam iha BavAn tatra nAnA-virAjat-
   tīrthe sarvārthade naḥ smṛtim anu dadatām añjalīnāṃ trayāṇi ||GC_2,3.21||	tIrTe sarva-arTa-de naH smRtim anu dadatAm aQjalInAm trayANi ||GC_2,3.21||
   nālaṃ me rājya-lipsā katham api valate nirmame tatra satyaṃ	na-alam me rAjya--lipsA kaTam api valate nirmame tatra satyam
   kaṃsaṃ hatvā yadūnāṃ sukham abhivalayann asmi cāyāta-kalpaḥ |	kaMsam hatvA yadUnAm suKam aBivalayan asmi ca-AyAta--kalpaH |
   baddhaḥ syāt kṛṣṇa-sāraḥ sapadi vidhi-vaśāt tarhi kiṃ pārthivāder	badDaH syAt kRzNa-sAraH sapadi viDi-vaSAt tarhi kim pArTiva-AdeH-
   mānas tasmin sukhāya prabhavati na vanaṃ nāpi kāntā-susaṅgaḥ ||GC_2,3.22||	mAnaH tasmin suKAya praBavati na vanam na-api kAntA--su-saFgaH ||GC_2,3.22||
   vṛndaṃ krīḍā-vanānāṃ bahu-vidham abhito'py asti tatrātha rājñāṃ	vRndam krIxA-a-vanAnAm bahu-viDam aBitas-api asti tatra-aTa rAjQAm
   kanyā bahvyo'pi kāntās tava vibhava-vaśād udbhaviṣyanti dhanyāḥ |	kanyAH bahvyaH-api kAntAH tava viBava--vaSAt udBavizyanti DanyAH |
   tat-tal-lābhe manas te katham iha bhavitāsmāsu vā kiṃ tapobhir	tat--tal-lABe manaH te kaTam iha BavitA-asmAsu vA kim tapoBiH-
   labdhe bhoge vicitre punar api tanum ānīhate vanya-vṛttīḥ ||GC_2,3.23||	labDe Boge vicitre punar api tanum AnIhate vanya-vRttIH ||GC_2,3.23||
   satyaṃ tāḥ keli-vanyā vidadhati laṣitaṃ sarvataḥ satyam eva	satyam tAH keli-vanyA vidaDati lazitam sarvatas satyam eva
   kṣoṇī-pālādi-kanyāḥ parama-guṇa-gaṇa-stotra-bhājaḥ sphuranti |	kzoNI--pAla-Adi--kanyAH parama-guNa--gaNa--stotra-BAjaH sPuranti |
   satyaṃ kurve trilokī mama na hi ratidā nāpi tatrastha-rāmā	satyam kurve trilokI mama na hi rati-dA na-api tatrasTa-rAmA
   yadvad vṛndāvanaṃ me tad-anugata-ramā yadvad etā bhavatyaḥ ||GC_2,3.24||	yadvat vRndAvanam me tad--anugata--ramAH yadvat etAH BavatyaH ||GC_2,3.24||
   sā te sarvāṅga-śobhā bata samadhigatā yena netreṇa yena	sA te sarva-aFga-SoBA bata samaDigatAH yena netreNa yena
   śrotreṇāśrāvi vaṃśī samagami vapuṣā yena ca sparṣa-lakṣmīḥ |	SrotreNa-ASrAvi vaMSI samagami vapuzA yena ca sparza--lakzmIH |
   tenaivālakṣi dūraṃ gamanam avagataṃ tena sandiṣṭam ugraṃ	tena-eva-alakzi dUram gamanam avagatam tena sandizwam ugram
   tena svaṃ vipralabdhaṃ racitam iti hahā jīvitaṃ dhig vidhiṃ dhik	tena svam vipralabDam racitam iti hahA jIvitam Dik viDim Dik-
   ||GC_2,3.25||	||GC_2,3.25||
   yeyaṃ dṛṣṭir mayā vaś chavi-parikalanāt kṛṣyate yā śrutir vāg	yA-iyam dRzwiH mayA vaH Cavi--parikalanAt kRzyate yA SrutiH vAc-
   dūrasthā racyate yā tanur api milanād davyate sa-vyapekṣam |	dUra-sTA racyate yA tanuH api milanAt davyate sa-vyapekzam |
   yady etās tatra tatra pratikṛti-kṛtaye na hy adhīnā mama syus	yadi etAH tatra tatra pratikRti-kRtaye na hi aDInAH mama syuH-
   tarhy etāḥ svairiṇīr vā katham aham ahaha prāṇa-sakhyaḥ saheya?	tarhi etAH svEriNIH vA kaTam aham ahaha prANa-saKyaH saheya?
   ||GC_2,3.26||	||GC_2,3.26||
   akrūra-krūra-bhāvaṃ vidhir aśubha-vidhiṃ mitram āmitra-caryāṃ	akrUra--krUra-BAvam viDiH aSuBa--viDim mitram Amitra-caryAm
   yasyām asyāṃ daśāyāṃ sarabha-samagamat tatra kānyasya vārtā?	yasyAm asyAm daSAyAm saraBa-samagamat tatra kAnyasya vArtA?
   asmaj jīvo'py ajīva-sthitim iha niyataṃ prāpnuyād evam atra	asmat jIvaH-api ajIva--sTitim iha niyatam prApnuyAt evam atra
   svāmin na vyādhivat tat-pratividhir udiyāt kāla-kalpe vilambe	svAmin na vyADi-vat tat--prativiDiH udiyAt kAla--kalpe vilambe
   ||GC_2,3.27||	||GC_2,3.27||
   āyāsyāmy eva śīghraṃ na khalu mama manasy anya-vārtāsti kācit	AyAsyAmi eva SIGram na Kalu mama manasi anya-vArtA-asti kAcid-
   kācid vā daivataḥ syāt tad api na bhavatī-jātu dīnās tyajāni |	kAcid vA dEvataH syAt tat api na BavatI--jAtu dInAH tyajAni |
   yā yā madhye mad-āptir muhur iha bhavitā tāṃ punaḥ svapna-rūpāṃ	yA yA maDye mad--AptiH muhur iha BavitA tAm punar svapna--rUpAm
   mā śaṅkadhvaṃ yathā prāg asati ca virahe śaṅkamānā babhūva ||GC_2,3.28||	mA SaFkaDvam yaTA prAk asati ca virahe SaFkamAnAH baBUva ||GC_2,3.28||
   iti |	iti |
   etāvan mānam anyāsāṃ vācikaṃ hariṇājani |	etAvat mAnam anyAsAm vAcikam hariNA-ajani |
   rādhāyā mūkatānūkam amitaṃ yat tu nirmame ||GC_2,3.29||	rADAyAH mUka-tA-anUkam amitam yat tu nirmame ||GC_2,3.29||
   tataḥ sva-vṛndena niśāntam āpitā	tatas sva--vRndena niSA-antam ApitA
   balena bālās tad urīkṛtāgatim |	balena bAlAH tat urIkRta-Agatim |
   prācīna-tad-rīti-śatena niścitāṃ	prAcIna-tad--rIti-Satena niScitAm
   vinirmāṇā muhur eva tāṃ jaguḥ ||GC_2,3.30||	vinirmANA muhur eva tAm jaguH ||GC_2,3.30||
   [22] tad evaṃ snigdhakaṇthasya kathitam anu vyathita-manasi	[22] tat evam snigDa-kaNTasya kaTitam anu vyaTita-manasi
   śrī-rādhikādi-sadasi	SrI-rADika-Adi--sadasi
   vikalaḥ kamala-locanaḥ svayam eva samavocata-	vikalaH kamala--locanaH svayam eva samavocata-
   rādhe śravasi nāveśaṃ kuru kintu vilocane |	rADe Sravasi na-AveSam kuru kintu vilocane |
   vṛttaṃ san manyase hanta vartamānaṃ na vīkṣase ||GC_2,3.31||	vRttam san manyase hanta vartamAnam na vIkzase ||GC_2,3.31||
   [23] tad etan niśamya ramyaṃ tan-mukhaṃ niśāmya śāmyat-pīḍā sa-vrīḍā	[23] tat etat niSamya ramyam tan--muKam niSAmya SAmyat-pIxA sa-vrIxA
   tat-kāla-	tat-kAla-
   valamāna-śītala-nayana-jala-bindubhis tat-padāravinda-dvandam indīvarākṣī	vala-mAna--SItala--nayana--jala--binduBiH tat-pada-aravinda--dvandam indIvarAkzI
   śirasā	SirasA
   niṣevamāṇā suciraṃ siṣeca |	nizevamANA su-ciram sizeca |
   [24] atha sarveṣāṃ sukha-sandohe saṃbhṛta-dohe sarve parveva labhamānā	[24] aTa sarvezAm suKa--sandohe saMBRta-dohe sarve parvA-iva laBamAnA
   nija-nijālayaṃ sambabhūvuḥ | śrī-rādhā-mādhavau ca mohana-mandiraṃ	nija--nija-Alayam sambaBUvuH | SrI-rADA--mADavO ca mohana--mandiram
   vindataḥ smeti |	vindataH sma-iti |
   iti śrī-śrīmad uttara-gopāla-campūm anu	iti SrI--SrImat uttara--gopAla-campUm anu
   māthura-pura-sthāna-prasthānaṃ nāma	mATura-pura-sTAna-prasTAnam nAma
   tṛtīyaṃ pūraṇam	tRtIyam pUraNam
