   Kālidāsa: Raghuvaṃśa	KAli-dAsa: RaGu-vaMSa
   śarairusrairivodīcyānuddhariṣyanrasāniva // Ragh(K)_4.68 //	SarEH-usrEH-iva-udIcyAn-udDarizyan-rasAn-iva // RaG(K)_4.68 //
   jitānajayyastāneva kṛtvā rathapuraḥsarān /	jitAn-ajayyaH-tAn-eva kRtvA raTa-puraHsarAn /
   mahārṇavamivaurvāgniḥ praviveśottarāpatham // Ragh(K)_4.69 //	mahA-arNavam-iva-OrvA-agniH praviveSa-uttarApaTam // RaG(K)_4.69 //
   vinītādhvaśramāstasya vaṅkṣutīraviveṣṭanaiḥ /	vinIta-aDva-SramAH-tasya vaFkzu-tIra-vivezwanEH /
   dudhuvurvājinaḥ skandhāṃllagnakuṅkumakesarān // Ragh(K)_4.70 //	duDuvurvAjinaH skanDAn=-lagna-kuFkuma-kesarAn // RaG(K)_4.70 //
   tatra hūnāvarodhānāṃ bhartṛṣu vyaktavikramam /	tatra hUna-avaroDAnAm BartRzu vyakta-vikramam /
   kapolapāṭanādeśi babhūva raghuceṣṭitam // Ragh(K)_4.71 //	kapola-pAwana-AdeSi baBUva raGu-cezwitam // RaG(K)_4.71 //
   kāmbojāḥ samare vīryaṃ tasya soḍhumanīśvarāḥ /	kAmbojAH samare vIryam tasya soXum-anISvarAH /
   gajālānaparikliṣṭairakṣoṭaiḥ sārdhamānatāḥ // Ragh(K)_4.72 //	gaja-AlAna-pariklizwEH-akzowEH sArDam-AnatAH // RaG(K)_4.72 //
   teṣāṃ sadaśvabhūyiṣṭhāstuṅgā draviṇarāśayaḥ /	tezAm sat-aSva-BUyizWAH-tuFgAH draviNa-rASayaH /
   viviśustaṃ viśāṃ nāthamudanvantamivāpagāḥ // Ragh(K)_4.73 //	viviSuH-tam viSAm nATam-udanvantam-iva-ApagAH // RaG(K)_4.73 //
   tato gaurīguruṃ śailamāruroha sasādhanaḥ /	tatas gOrI-gurum SElam-Aruroha sa-sADanaH /
   vardhayanniva tatkūṭānuddhatairdhātureṇubhiḥ // Ragh(K)_4.74 //	varDayan=-iva tad-kUwAn-udDatEH-DAtureNuBiH // RaG(K)_4.74 //
   praśaṃsaṃstulyasattvānāṃ sainyaghoṣe 'pyasambhramam /	praSaMsan=-tulya-sattvAnAm sEnya-Goze api-asamBramam /
   guhāgatānāṃ siṃhānāṃ parivṛttyāvalokitam // Ragh(K)_4.75 //	guhA-gatAnAm siMhAnAm parivRttyA-avalokitam // RaG(K)_4.75 //
   bhūrjeṣu marmarībhūtāḥ kīcakadhvanihetavaḥ /	BUrjezu marmarIBUtAH kIcaka-Dvani-hetavaH /
   gaṅgāśīkariṇo mārge marutastaṃ siṣevire // Ragh(K)_4.76 //	gaFgA-SIkariNaH mArge marutaH-tam sizevire // RaG(K)_4.76 //
   viśaśramurnamerūṇāṃ chāyāsvadhyāsya sainikāḥ /	viSaSramuH-namerUNAm CAyAsu-aDyAsya sEnikAH /
   dṛṣado vāsitotsaṅgā niṣaṇṇamṛganābhibhiḥ // Ragh(K)_4.77 //	dRzadaH vAsitA-utsaFgAH nizaNNa-mRganABiBiH // RaG(K)_4.77 //
   saralāsaktamātaṅgagraiveyopacitatviṣaḥ /	sarala-Asakta-mAtaFga-grEveya-upacita-tvizaH /
   āsannoṣadhayo neturnaktamasnehadīpikāḥ // Ragh(K)_4.78 //	Asanna-UzaDayaH netuH-naktam-asneha-dIpikAH // RaG(K)_4.78 //
   tasyāvāseṣu dānārdrairgaṇḍabhittivighaṭṭanaiḥ /	tasya-AvAsezu dAna-ArdrEH-gaNxa-Bitti-viGawwanEH /
   gajavarṣma kirātebhyaḥ śaśaṃsurdevadāravaḥ // Ragh(K)_4.79 //	gaja-varzma kirAteByaH SaSaMsuH-devadAravaH // RaG(K)_4.79 //
   vimardaḥ saha taistatra pārvatīyairabhūdraghoḥ /	vimardaH saha tEH-tatra pArvatIyEH-aBUt-raGoH /
   nārācakṣepaṇīyāśmaniṣpeṣotpatitānalaḥ // Ragh(K)_4.80 //	nArAca-kzepaNIya-aSma-nizpeza-utpatita-analaH // RaG(K)_4.80 //
   śarairutsavasaṅketānsa kṛtvā karadānkṛtī /	SarEH-utsava-saFketAn-sa kRtvA kara-dAn-kRtI /
   jayodāharaṇaṃ bāhvorgāpayāmāsa kinnarān // Ragh(K)_4.81 //	jaya-udAharaNam bAhvoH-gApayAmAsa kinnarAn // RaG(K)_4.81 //
   parasparasya vijñātasteṣūpāyanapāṇiṣu /	parasparasya vijQAtaH-tezu-upAyana-pANizu /
   rājñā himavataḥ sāro rājñaḥ sāro himādriṇā // Ragh(K)_4.82 //	rAjQA himavataH sAraH rAjQaH sAraH himAdriNA // RaG(K)_4.82 //
   tatrākṣobhyaṃ yaśorāśiṃ niveśyāvaruroha saḥ /	tatra-akzoByam yaSaH-rASim niveSya-avaruroha saH /
   paulastyatulitasyādrerādadāna iva hriyam // Ragh(K)_4.83 //	pOlastya-tulitasya-adreH-AdadAnaH iva hriyam // RaG(K)_4.83 //
   cakampe tīrṇalauhitye tasminprāgjyotiṣeśvaraḥ /	cakampe tIrNa-lOhitye tasmin-prAgjyotiza-ISvaraH /
   tadgajālānatāṃ prāptaiḥ saha kālāgurudrumaiḥ // Ragh(K)_4.84 //	tad-gajAlAnatAm prAptEH saha kAlAguru-drumEH // RaG(K)_4.84 //
   na prasehe sa ruddhārkamanabhramayadurdinam /	na prasehe sa rudDa-arkam-anaBra-maya-durdinam /
   rathavaṃśarajo 'pyasya kuta eva patākinīm // Ragh(K)_4.85 //	raTa-vaMSa-rajaH api-asya kutas eva patAkinIm // RaG(K)_4.85 //
   tamīśaḥ kāmarūpāṇāmatyākhaṇḍalavikramam /	tam-ISaH kAmarUpANAm-atyAKaNxala-vikramam /
   bheje bhinnakaṭairnāgairanyānuparurodha yaiḥ // Ragh(K)_4.86 //	Beje Binna-kawEH-nAgEH-anyA-anuparuroDa yEH // RaG(K)_4.86 //
   kāmarūpeśvarastasya hemapīṭhādhidevatām /	kAmarUpa-ISvaraH-tasya hema-pIWa-aDidevatAm /
   ratnapuṣpopahāreṇa cchāyāmānarca pādayoḥ // Ragh(K)_4.87 //	ratna-puzpa-upahAreNa cCAyAm-Anarca pAdayoH // RaG(K)_4.87 //
   iti jitvā diśo jiṣṇurnyavartata rathoddhatam /	iti jitvA diSaH jizNuH-nyavartata raTa-udDatam /
   rajo viśramayanrājñāṃ chattraśūnyeṣu mauliṣu // Ragh(K)_4.88 //	rajaH viSramayan-rAjQAm Cattra-SUnyezu mOlizu // RaG(K)_4.88 //
   sa viśvajitamājahre kratuṃ sarvasvadakṣiṇam /	sa viSvajitam-Ajahre kratum sarva-sva-dakziNam /
   ādānaṃ hi visargāya satāṃ vārimucāmiva // Ragh(K)_4.89 //	AdAnam hi visargAya satAm vA-arimucAm-iva // RaG(K)_4.89 //
   sattrānte sacivasakhaḥ puraskriyābhirgurvībhiḥ śamitaparājayavyalīkān /	sattra-ante saciva-saKaH puraskriyABiH-gurvIBiH Samita-parAjaya-vyalIkAn /
   kākutsthaściravirahotsukāvarodhān rājanyānsvapuranivṛttaye 'numene //	kAkutsTaH-cira-viraha-utsukA-avaroDAn rAjanyAn-sva-pura-nivRttaye anumene //
   Ragh(K)_4.90 //	RaG(K)_4.90 //
   te rekhādhvajakalaśātapatracihnaṃ samrājaścaraṇayugaṃ prasādalabhyam /	te reKA-aDva-ja-kala-SAta-patra-cihnam samrAjaH-caraNa-yugam prasAda-laByam /
   prasthānapraṇatibhiraṅgulīṣu cakrurmaulisrakcyutamakarandareṇugauram //	prasTAna-praNatiBiH-aFgulIzu cakruH-mOli-sraj-cyutamakaranda-reNu-gOram //
   Ragh(K)_4.91 //	RaG(K)_4.91 //
   || iti raghuvaṃśe mahākāvye caturthaḥ sargaḥ ||	|| iti raGu-vaMSe mahAkAvye caturTaH sargaH ||
   tamadhvare viśvajiti kṣitīśaṃ niḥśeṣaviśrāṇitakośajātam /	tam-aDvare viSvajiti kzitISam niHSeza-viSrANita-koSa-jAtam /
   upāttavidyo gurudakṣiṇārthī kautsaḥ prapede varatantuśiṣyaḥ // Ragh(K)_5.1	upAtta-vidyaH guru-dakziNA-arTI kOtsaH prapede vara-tantu-SizyaH // RaG(K)_5.1
   sa mṛṇmaye vītahiraṇmayatvātpātre nidhāyārghyamanarghaśīlaḥ /	sa mRNmaye vIta-hiraNmaya-tvAt-pAtre niDAya-arGyam-anarGa-SIlaH /
   śrutaprakāśaṃ yaśasā prakāśaḥ pratyujjagāmātithimātitheyaḥ // Ragh(K)_5.2	Sruta-prakASam yaSasA prakASaH pratyujjagAma-atiTim-AtiTeyaH // RaG(K)_5.2
   tamarcayitvā vidhivadvidhijñastapodhanaṃ mānadhanāgrayāyī /	tam-arcayitvA viDivat-viDi-jQaH-tapoDanam mAna-Dana-agra-yAyI /
   kṛtāñjaliḥ kṛtyavicāradakṣo viśāmpatirviṣṭarabhājamāha // Ragh(K)_5.3 //	kRtAQjaliH kRtya-vicAra-dakzaH viSAmpatiH-vizwara-BAjam-Aha // RaG(K)_5.3 //
   apyagraṇīrmantrakṛtāmṛṣīṇāṃ kuśāgrabuddhe kuśalī guruste /	api-agraNIH-mantra-kRtAm-RzINAm kuSa-agra-budDe kuSalI guruH-te /
   yatastvayā jñānamaśeṣamāptaṃ caitanyamugrādiva dīkṣitena // Ragh(K)_5.4 //	yatas-tvayA jQAnam-aSezam-Aptam cEtanyam-ugrAt-iva dIkzitena // RaG(K)_5.4 //
   kāyena vācā manasā ca taptaṃ yadvajriṇo dhairyaviparyayāya /	kAyena vAcA manasA ca taptam yat-vajriNaH DErya-viparyayAya /
   āpādyate na vyayamantarāyaiḥ kaccinmaharṣestrividhaṃ tapastat //	ApAdyate na vyayam-antarAyEH kaccit-mahA-RzeH-triviDam tapaH-tat //
   Ragh(K)_5.5 //	RaG(K)_5.5 //
   ādhārabandhapramukhaiḥ prayatnaiḥ saṃvardhitānāṃ sutanirviśeṣam /	ADAra-banDa-pramuKEH prayatnEH saMvarDitAnAm suta-nirviSezam /
   kaccinna vāyvādirupaplavo vaḥ śramacchidāmāśramapādapānām // Ragh(K)_5.6	kaccit-na vAyu-AdiH-upaplavaH vaH Srama=-CidAm-ASrama-pAdapAnAm // RaG(K)_5.6
   kriyānimitteṣvapi vatsalatvādabhagnakāmā munibhiḥ kuśeṣu /	kriyA-nimittezu-api vatsala-tvAt-aBagna-kAmAH muniBiH kuSezu /
   tadaṅkaśayyācyutanābhinālā kaccinmṛgīṇāmanaghā prasūtiḥ // Ragh(K)_5.7 //	tad-aFka-SayyA-acyutana-aBinAlA kaccit-mRgINAm-anaGA prasUtiH // RaG(K)_5.7 //
   nirvartyate yairniyamābhiṣeko yato nivāpāñjalayaḥ pitṚṇām /	nirvartyate yEH-niyama-aBizekaH yatas nivApa-aQjalayaH pitṚNAm /
   tānyuñchaṣaṣṭhāṅkitasaikatāni śivāni vastīrthajalāni kaccit // Ragh(K)_5.8	tAni-uQCa-zazWa-aFkita-sEkatAni SivAni vaH-tIrTa-jalAni kaccit // RaG(K)_5.8
   nīvārapākādi kaḍaṅgarīyairāmṛṣyate jānapadairna kaccit /	nIvAra-pAka-Adi kaxaFgarIyEH-AmRzyate jAnapadEH-na kaccit /
   kālopapannātithibhāgadheyaṃ vanyaṃ śarīrasthitisādhanaṃ vaḥ // Ragh(K)_5.9	kAla-upapanna-atiTi-BAgaDeyam vanyam SarIra-sTiti-sADanam vaH // RaG(K)_5.9
   api prasannena maharṣiṇā tvaṃ samyagvinīyānumato gṛhāya /	api prasannena mahA-RziNA tvam samyak-vinIya-anumataH gRhAya /
   kālo hyayaṃ saṅkramituṃ dvitīyaṃ sarvopakārakṣamamāśramaṃ te //	kAlaH hi-ayam saFkramitum dvitIyam sarva-upakAra-kzamam-ASramam te //
   Ragh(K)_5.10 //	RaG(K)_5.10 //
   tavārhato nābhigamena tṛptaṃ mano niyogakriyayotsukaṃ me /	tava-arhataH na-aBigamena tRptam manaH niyoga-kriyayA-utsukam me /
   apyājñayā śāsiturātmanā vā prāpto 'si sambhāvayituṃ vanānmām //	api-AjQayA SAsituH-AtmanA vA prAptaH asi samBAvayitum vanAn-mAm //
   Ragh(K)_5.11 //	RaG(K)_5.11 //
   ityarghyapātrānumitavyayasya raghorudārāmapi gāṃ niśamya /	iti-arGya-pAtra-anumita-vyayasya raGoH-udArAm-api gAm niSamya /
   svārthopapattiṃ prati durbalāśaḥ pratyāha kautsastamapetakutsam //	sva-arTa-upapattim prati durbala-ASaH pratyAha kOtsastam-apeta-kutsam //
   Ragh(K)_5.12 //	RaG(K)_5.12 //
   sarvatra no vārttamavaihi rājannāthe kutastvayyaśubhaṃ prajānām /	sarvatra naH vArttam-avEhi rAjannATe kutas-tvayi-aSuBam prajAnAm /
   sūrye tapatyāvaraṇāya dṛṣṭeḥ kalpeta lokasya kathaṃ tamisrā //	sUrye tapati-AvaraNAya dRzweH kalpeta lokasya kaTam tamisrAH //
   Ragh(K)_5.13 //	RaG(K)_5.13 //
   bhaktiḥ pratīkṣyeṣu kulocitā te pūrvānmahābhāgatayātiśeṣe /	BaktiH pratIkzyezu kula-ucitA te pUrvAn-mahABAga-tayA-atiSeze /
   vyapetakālastvahamabhyupetastvāmarthibhāvāditi me viṣādaḥ // Ragh(K)_5.14	vyapeta-kAlaH-tu-aham-aByupetaH-tvAm-arTi-BAvAt-iti me vizAdaH // RaG(K)_5.14
   śarīramātreṇa narendra tiṣṭhannābhāsi tīrthapratipāditarddhiḥ /	SarIra-mAtreNa narendra tizWan=-ABA-asi tIrTa-pratipAdita-RdDiH /
   āraṇyakopāttaphalaprasūtiḥ stambena nīvāra ivāvaśiṣṭaḥ // Ragh(K)_5.15 //	AraNyaka-upAtta-Pala-prasUtiH stambena nIvAraH iva-avaSizwaH // RaG(K)_5.15 //
   sthāne bhavānekanarādhipaḥ san akiñcanatvaṃ makhajaṃ vyanakti /	sTAne BavAn-eka-narADipaH san akiQcana-tvam maKa-jam vyanakti /
   paryāyapītasya surairhimāṃśoḥ kalākṣayaḥ ślāghyataro hi vṛddheḥ //	paryAya-pItasya surEH-himAMSoH kalA-kzayaH SlAGyataraH hi vRdDeH //
   Ragh(K)_5.16 //	RaG(K)_5.16 //
   tadanyatastāvadananyakāryo gurvarthamāhartumahaṃ yatiṣye /	tad-anyatas-tAvat-ananya-kAryaH guru-arTam-Ahartum-aham yatizye /
   svastyastu te nirgalitāmbugarbhaṃ śaradghanaṃ nārdati cātako 'pi //	svasti-astu te nirgalita-ambu-garBam Sarad-Ganam na-ardati cAtakaH api //
   Ragh(K)_5.17 //	RaG(K)_5.17 //
   etāvaduktvā pratiyātukāmaṃ śiṣyaṃ maharṣernṛpatirniṣidhya /	etAvat-uktvA pratiyAtu-kAmam Sizyam mahA-RzeH-nRpatiH-niziDya /
   kiṃ vastu vidvangurave pradeyaṃ tvayā kiyadveti tamanvayuṅkta //	kim vastu vidvan-gurave pradeyam tvayA kiyat-vA-iti tam-anvayuFktaH //
   Ragh(K)_5.18 //	RaG(K)_5.18 //
   tato yathāvadvihitādhvarāya tasmai smayāveśavivarjitāya /	tatas yaTAvat-vihita-aDvarAya tasmE smaya-AveSa-vivarjitAya /
   varṇāśramāṇāṃ gurave sa varṇī vicakṣaṇaḥ prastutamācacakṣe // Ragh(K)_5.19	varNa-ASramANAm gurave sa varNI vicakzaNaH prastutam-Acacakze // RaG(K)_5.19
   avāptavidyena mayā maharṣirvijñāpito 'bhūdgurudakṣiṇāyai /	avApta-vidyena mayA mahA-RziH-vijQApitaH aBUt-guru-dakziNAyE /
   sa me cirādaskhalitopacārāṃ tāṃ bhaktimevāgaṇayatpurastāt // Ragh(K)_5.20	sa me cirAt-asKalita-upacArAm tAm Baktim-eva-agaNayat-purastAt // RaG(K)_5.20
   nirbandhasañjātaruṣātha kārśyamacintayitvā guruṇāhamuktaḥ /	nirbanDa-saQjAtaruzA-aTa kArSyam-acintayitvA guruNA-aha-m-uktaH /
   vittasya vidyāparisaṅkhyayā me koṭīścatasro daśa cāhareti // Ragh(K)_5.21	vittasya vidyA-parisaFKyayA me kowIH-catasraH daSa ca-AharA-iti // RaG(K)_5.21
   so 'haṃ saparyāvidhibhājanena matvā bhavantaṃ prabhuśabdaśeṣam /	saH aham saparyA-viDi-BAjanena matvA Bavantam praBu-Sabda-Sezam /
   abhyutsahe samprati noparoddhumalpetaratvācchrutaniṣkrayasya //	aByutsahe samprati na-uparodDum-alpa-itara-tvAt-Sruta-nizkrayasya //
   Ragh(K)_5.22 //	RaG(K)_5.22 //
   itthaṃ dvijena dvijarājakāntirāvedito vedavidāṃ vareṇa /	itTam dvijena dvija-rAja-kAntiH-AveditaH veda-vidAm vareNa /
   enonivṛttendriyavṛttirenaṃ jagāda bhūyo jagadekanāthaḥ // Ragh(K)_5.23 //	enaH-nivRtta-indriya-vRttiH-enam jagAda BUyas jagat-eka-nATaH // RaG(K)_5.23 //
   gurvarthamarthī śrutapāradṛśvā raghoḥ sakāśādanavāptakāmaḥ /	guru-arTam-arTI Sruta-pAradRSvA raGoH sakASAt-anavApta-kAmaH /
   gato vadanyāntaramityayaṃ me mā bhūtparīvādanavāvatāraḥ // Ragh(K)_5.24 //	gataH vadanya-antaram-iti-ayam me mA BUt-parIvAdanava-avatAraH // RaG(K)_5.24 //
   sa tvaṃ prayaste mahito madīye vasaṃścaturtho 'gnirivāgnyagāre /	sa tvam prayaste mahitaH madIye vasan=-caturTaH agniH-iva-agni-agAre /
   dvitrāṇyahānyarhasi soḍhumarhanyāvadyate sādhayituṃ tvadartham //	dvitrANi-ahAni-arhasi soXum-arhanyA-avadyate sADayitum tvad-arTam //
   Ragh(K)_5.25 //	RaG(K)_5.25 //
   tatheti tasyāvitathaṃ pratītaḥ pratyagrahītsaṅgaramagryajanmā /	taTA-iti tasya-avitaTam pratItaH pratyagrahIt-saFgaram-agrya-janmA /
   gāmāttasārāṃ raghurapyavekṣya niṣkraṣṭumarthaṃ cakame kuverāt //	gAmAtta-sArAm raGuH-api-avekzya nizkrazwum-arTam cakame kuverAt //
   Ragh(K)_5.26 //	RaG(K)_5.26 //
   vasiṣṭhamantrokṣaṇajātprabhāvādudanvadākāśamahīdhareṣu /	vasizWa-mantra-ukzaNa-jAt-praBAvAt-udanvat-a-AkASa-mahIDarezu /
   marutsakhasyeva balāhakasya gatirvijaghne na hi tadrathasya //	marut-saKasya-iva balAhakasya gatiH-vijaGne na hi tad-raTasya //
   Ragh(K)_5.27 //	RaG(K)_5.27 //
   athādhiśiśye prayataḥ pradoṣe rathaṃ raghuḥ kalpitamastragarbham /	aTa-ADiSiSye prayataH pradoze raTam raGuH kalpitam-astra-garBam /
   sāmantasambhāvanayaiva dhīraḥ kailāsanāthaṃ tarasā jigīṣuḥ // Ragh(K)_5.28	sAmanta-samBAvanayA-eva DIraH kElAsa-nATam tarasA jigIzuH // RaG(K)_5.28
   prātaḥ prayāṇābhimukhāya tasmai savismayāgantumudo niyuktāḥ /	prAtar prayANa-aBimuKAya tasmE sa-vismaya-Agantu-mudaH niyuktAH /
   hiraṇmayīṃ kośagṛhasya madhye vṛṣṭiṃ śaśaṃsuḥ patitāṃ nabhastaḥ //	hiraNmayIm koSa-gRhasya maDye vRzwim SaSaMsuH patitAm naBastaH //
   Ragh(K)_5.29 //	RaG(K)_5.29 //
   taṃ bhūpatirbhāsvarahemarāśiṃ labdhaṃ kuverādabhiyāsyamānāt /	tam BUpatiH-BAsvara-hema-rASim labDam kuverAt-aBiyAsyamAnAt /
   dideśa kautsāya samagrameva pādaṃ sumeroriva vajrabhinnam // Ragh(K)_5.30	dideSa kOtsAya samagram-eva pAdam sumeroH-iva vajra-Binnam // RaG(K)_5.30
   janasya sāketanivāsinastau dvāvapyabhūtāmabhinandyasattvau /	janasya sAketa-nivAsinaH-tO dvO=-api-aBUtAm-aBinandya-sattvO /
   gurupradeyādhikaniḥspṛho 'rthī nṛpo 'rthikāmādadhikapradaśca //	guru-pradeya-aDika-niHspRhaH arTI nRpaH arTi-kAmAt-aDika-pradaH-ca //
   Ragh(K)_5.31 //	RaG(K)_5.31 //
   athoṣṭravāmīśatahāritārthaṃ prajeśvaraṃ prītamanā manīṣī /	aTa-uzwra-vAmI-Sata-hArita-arTam prajeSvaram prIta-manAH manIzI /
   spṛśankareṇānatapūrvakāyaṃ samprasthito vākyamuvāca kautsaḥ //	spRSan-kareNa-Anata-pUrva-kAyam samprasTitaH vAkyam-uvAca kOtsaH //
   Ragh(K)_5.32 //	RaG(K)_5.32 //
   kimatra citraṃ yadi kāmasūrbhūrvṛttasthitasyādhipateḥ prajānām /	kim-atra citram yadi kAma-sUH-BUH-vRtta-sTitasya-aDipateH prajAnAm /
   acintanīyastava tu prabhāvo manīṣitaṃ dyaurapi yena dugdhā // Ragh(K)_5.33	acintanIyaH-tava tu praBAvaH manIzitam dyOH-api yena dugDA // RaG(K)_5.33
   āśāsyamanyatpunaruktabhūtaṃ śreyāṃsi sarvāṇyadhijagmuṣaste /	ASAsyam-anyat-punarukta-BUtam SreyAMsi sarvANi-aDijagmuzaH-te /
   putraṃ labhasvātmaguṇānurūpaṃ bhavantamīḍyo bhavataḥ piteva //	putram laBasva-Atma-guNa-anurUpam Bavantam-IxyaH BavataH pitA-iva //
   Ragh(K)_5.34 //	RaG(K)_5.34 //
   itthaṃ prayujyāśiṣamagryajanmā rājñe pratīyāya guroḥ sakāśam /	itTam prayujya-ASizam-agrya-janmA rAjQe pratIyAya guroH sakASam /
   rājāpi lebhe sutamāśu tasmād ālokamarkādiva jīvalokaḥ // Ragh(K)_5.35 //	rAjA-api leBe sutam-ASu tasmAt Alokam-arkAt-iva jIva-lokaH // RaG(K)_5.35 //
   brāhme muhūrte kila tasya devī kumārakalpaṃ suṣuve kumāram /	brAhme muhUrte kila tasya devI kumAra-kalpam suzuve kumAram /
   ataḥ pitā brahmaṇa eva nāmnā tamagryajanmānamajaṃ cakāra // Ragh(K)_5.36	atas pitA brahmaNaH eva nAmnA tam-agrya-janmAnam-ajam cakAra // RaG(K)_5.36
   rūpaṃ tadojasvi tadeva vīryaṃ tadeva naisargikamunnatatvam /	rUpam tad-ojasvi tat-eva vIryam tat-eva nEsargikam-unnata-tvam /
   na kāraṇātsvādbibhide kumāraḥ pravartito dīpa iva pradīpāt // Ragh(K)_5.37	na kAraNAt-svAt-biBide kumAraH pravartitaH dIpaH iva pradIpAt // RaG(K)_5.37
   upāttavidyaṃ vidhivadgurubhyastaṃ yauvanodbhedaviśeṣakāntam /	upAtta-vidyam viDivat-guruByaH-tam yOvana-udBeda-viSeza-kAntam /
   śrīḥ kāmayānāpi guroranujñāṃ dhīreva kanyā piturācakāṅkṣa // Ragh(K)_5.38	SrIH kAmayAnA-api guroH-anujQAm DIH-A-iva kanyA pituH-AcakAFkzaH // RaG(K)_5.38
   atheśvareṇa krathakaiśikānāṃ svayaṃvarārthaṃ svasurindumatyāḥ /	aTa-ISvareNa kraTa-kESikAnAm svayaMvara-arTam svasuH-indumatyAH /
   āptaḥ kumārānayanotsukena bhojena dūto raghave visṛṣṭaḥ // Ragh(K)_5.39 //	AptaH kumAra-Anayana-utsukena Bojena dUtaH raGave visRzwaH // RaG(K)_5.39 //
   taṃ ślāghyasambandhamasau vicintya dārakriyāyogyadaśaṃ ca putram /	tam SlAGya-sambanDam-asO vicintya dAra-kriyA-yogyadaSam ca putram /
   prasthāpayāmāsa sasainyamenamṛddhāṃ vidarbhādhiparājadhānīm //	prasTApayAmAsa sa-sEnyam-enam-RdDAm vidarBa-aDipa-rAjaDAnIm //
   Ragh(K)_5.40 //	RaG(K)_5.40 //
   tasyopakāryāracitopakārā vandhyetarā jānapadopadhābhiḥ /	tasya-upakArya-aracita-upakArAH vanDyA-itarAH jAnapada-upaDABiH /
   mārge nivāsā manujendrasūnorbabhūvurudyānavihārakalpāḥ // Ragh(K)_5.41 //	mArge nivAsAH manuja-indra-sUnoH-baBUvuH-udyAna-vihAra-kalpAH // RaG(K)_5.41 //
   sa narmadārodhasi śīkarārdrairmarudbhirānartitaketumāle /	sa narmadA-roDasi SIkara-ArdrEH-marudBiH-Anartita-ketu-mAle /
   niveśayāmāsa vilaṅghitādhvā senāṃ śramotphenavanāyujāśvām // Ragh(K)_5.42	niveSayAmAsa vilaFGita-aDvA senAm Srama-utPena-vanAyu-ja-aSvAm // RaG(K)_5.42
   athopariṣṭādbhramarairbhramadbhiḥ prāksūcitāntaḥsalilapraveśaḥ /	aTa-uparizwAt-BramarEH-BramadBiH prAk-sUcita-antar-salila-praveSaH /
   nirdhautadānāmalagaṇḍabhittirvanyaḥ saritto gaja unmamajja // Ragh(K)_5.43	nirDOta-dAna-amala-gaNxa-BittiH-vanyaH sarittaH gajaH unma-majjaH // RaG(K)_5.43
   apyaughavikṣālitagairikeṇa vaprakriyāmṛkṣavatastaṭeṣu /	api-OGa-vikzAlita-gErikeNa vaprakriyAm-RkzavataH-tawezu /
   nīlordhvalekhāśavalena śaṃsandantadvayenāśmavikuṇṭhitena // Ragh(K)_5.44	nIla-UrDva-leKA-Savalena SaMsandanta-dvayena-aSma-vikuNWitena // RaG(K)_5.44
   saṃhāravikṣepalaghukriyeṇa hastena tīrābhimukhaḥ saśabdam /	saMhAra-vikzepa-laGu-kriyeNa hastena tIra-aBimuKaH sa-Sabdam /
   babhau sa bhindansahasā taraṅgānvāryargalābhaṅga iva pravṛttaḥ //	baBO sa Bindan-sahasA taraFgAn-vAri-argalA-BaFgaH iva pravRttaH //
   Ragh(K)_5.45 //	RaG(K)_5.45 //
   kāraṇḍavocchiṣṭamṛdupratānāḥ pulindayoṣāmbuvihārakāñcīḥ /	kAraNxava-ucCizwa-mRdu-pratAnAH pulinda-yoza-ambu-vihAra-kAQcIH /
   karṣansa śevālalatā nadīṣṇaḥ prohāvalagnāstaṭamutsasarpa // Ragh(K)_5.46	karzan-sa SevAla-latA nadIzNaH proha-avalagnAH-tawam-utsasarpaH // RaG(K)_5.46
   tasyaikanāgasya kapolabhittyorhradāvagāhakṣaṇamātraśāntā /	tasya-eka-nAgasya kapola-BittyoH-hrada-avagAha-kzaNa-mAtra-SAntAH /
   vanyetarānekapadarśanena punardidīpe madadurdinaśrīḥ // Ragh(K)_5.47 //	vanya-itarAn-eka-padarSanena punar-didIpe mada-durdina-SrIH // RaG(K)_5.47 //
   saptacchadakṣīrakaṭupravāhamasahyamāghrāya madaṃ tadīyam /	saptacCada-kzIra-kawu-pravAham-asahyam-AGrAya madam tadIyam /
   vilaṅghitādhoraṇatīvrayatnāḥ senāgajendrā vimukhā babhūvuḥ // Ragh(K)_5.48	vilaFGita-aDoraNa-tIvra-yatnAH senA-gaja-indrAH vimuKAH baBUvuH // RaG(K)_5.48
   sa cchinnabandhadrutayugyaśūnyaṃ bhagnākṣaparyastarathaṃ kṣaṇena /	sa cCinna-banDa-druta-yugya-SUnyam Bagna-akza-paryasta-raTam kzaNena /
   rāmāparitrāṇavihastayodhaṃ senāniveśaṃ tumulaṃ cakāra // Ragh(K)_5.49 //	rAmA-paritrANa-vihasta-yoDam senA-niveSam tumulam cakAra // RaG(K)_5.49 //
   tamāpatantaṃ nṛpateravadhyo vanyaḥ karīti śrutavānkumāraḥ /	tam-Apatantam nRpateH-avaDyaH vanyaH karI-iti SrutavAn-kumAraH /
   nivartayiṣyanviśikhena kumbhe jaghāna nātyāyatakṛṣṭaśārṅgaḥ //	nivartayizyan-viSiKena kumBe jaGAna na-ati-Ayata-kRzwa-SArFgaH //
   Ragh(K)_5.50 //	RaG(K)_5.50 //
