   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   kāmato vidhirudrādipadadātṛyā svayaṃ śriyā // MAnuv_1,1.86 //	kAmataH viDi-rudrA-Adi-pada-dAtRyA svayam SriyA // Ma-anuv_1,1.86 //
   yonitvenātmano viṣṇostiṣṭhantītyuditasya ca /	yoni-tvena-AtmanaH vizNoH-tizWanti-iti-uditasya ca /
   yasmin devā adhītyuktavā samudraṃ sthānameva ca // MAnuv_1,1.87 //	yasmin devAH aDi-iti-uktavA samudram sTAnam-eva ca // Ma-anuv_1,1.87 //
   nāma cākṣaramityeva ṛca ityuditaṃ tu yat /	nAma ca-akzaram-iti-eva RcaH iti-uditam tu yat /
   yataḥ prasūtetyuktavā ca tadeva brahma cābravīt // MAnuv_1,1.88 //	yatas prasUtA-iti-uktavA ca tat-eva brahma ca-abravIt // Ma-anuv_1,1.88 //
   antaḥsamudragaṃ viśvaprasūteḥ kāraṇaṭha tu yat /	antar-samudra-gam viSva-prasUteH kAraNa-Wa tu yat /
   sūktopaniṣadādyuktaṃ janmādyasyeti lakṣyate // MAnuv_1,1.89 //	sUkta-upanizad-Adi-uktam janma-Adyasya-iti lakzyate // Ma-anuv_1,1.89 //
   sṛṣṭiḥ sthitiśca saṃhāro niyatirjñānamāvṛtiḥ /	sRzwiH sTitiH-ca saMhAraH niyatiH-jQAnam-AvRtiH /
   bandhamokṣāvapi hyāsu śrutiṣūktā hareḥ sadā // MAnuv_1,1.90 //	banDa-mokzO=-api hi-Asu Srutizu-uktAH hareH sadA // Ma-anuv_1,1.90 //
   yaṃ nāmāni viśantyaddhā yo devānāmiti hyapi /	yam nAmAni viSanti-adDA yaH devAnAm-iti hi-api /
   śruternāmāni sarvāṇi viṣṇoreva yatastataḥ // MAnuv_1,1.91 //	SruteH-nAmAni sarvANi vizNoH-eva yatas-tatas // Ma-anuv_1,1.91 //
   ato na mukhyato nāma tadanyasya hi kasyacit /	atas na muKyatas nAma tad-anyasya hi kasyacid /
   guṇāḥ śrutā iti hyasmānna doṣo 'rthaḥ śruterbhavet // MAnuv_1,1.92 //	guNAH SrutAH iti hi-asmAt-na dozaH arTaH SruteH-Bavet // Ma-anuv_1,1.92 //
   prītyā mokṣaparatvācca tātparyaṃ naiva dūṣaṇe /	prItyA mokza-paratvAt-ca tAtparyam na-eva dUzaNe /
   sarveṣāmapi vākyānāṃ mahātātparyamatra hi // MAnuv_1,1.93 //	sarvezAm-api vAkyAnAm mahAtAtparyam-atra hi // Ma-anuv_1,1.93 //
   tadvirodhe na mānatvaṃ phalaṃ muktirhi vākyataḥ /	tad-viroDe na mAna-tvam Palam muktiH-hi vAkyataH /
   na purāṇādimānatvaṃ viruddhārthe śruterbhavet // MAnuv_1,1.94 //	na purANa-Adi-mAna-tvam virudDa-arTe SruteH-Bavet // Ma-anuv_1,1.94 //
   darśanāntaramūlatvānmohārthaṃ cājñayā hareḥ /	darSana-antara-mUla-tvAt-moha-arTam ca-AjQayA hareH /
   na sarvanāmatānyeṣāṃ śrutāvuktā hi kutracit // MAnuv_1,1.95 //	na sarvanAma-tA-anyezAm SrutO=-uktA hi kutracid // Ma-anuv_1,1.95 //
   adoṣavacanāccaiva niyamena hareḥ śrutau /	adoza-vacanAt-ca-eva niyamena hareH SrutO /
   ajñānaṃ pāratantryaṃ ca praḷaye 'bhāva eva ca // MAnuv_1,1.96 //	ajQAnam pAratantryam ca pra?aye aBAvaH eva ca // Ma-anuv_1,1.96 //
   aśaktiścoditānyeṣāṃ sarveṣāmapi ca śrutau /	aSaktiH-coditAni-ezAm sarvezAm-api ca SrutO /
   janmādyasyeti tenaitad viṣṇoreva svalakṣaṇam // MAnuv_1,1.97 //	janma-Adyasya-iti tena-etat vizNoH-eva sva-lakzaNam // Ma-anuv_1,1.97 //
   asyodbhavādihetutvaṃ sākṣādeva svalakṣaṇam /	asya-udBava-Adi-hetu-tvam sAkzAt-eva sva-lakzaNam /
   kṛṣṇaddhayānacchalenaiva svayaṃ bhāgavate 'bravīt // MAnuv_1,1.98 //	kRzNadDayA-na=-Calena-eva svayam BAgavate abravIt // Ma-anuv_1,1.98 //
   ato jīvaikyamapi sa nirācakre jagadguruḥ /	atas jIva-Ekyam-api sa nirAcakre jagadguruH /
   na hi janmādihetutvaṃ jīvasya jagato bhavet // MAnuv_1,1.99 //	na hi janma-Adi-hetu-tvam jIvasya jagataH Bavet // Ma-anuv_1,1.99 //
   hitākriyādidoṣaṃ ca vakṣyatyeva svayaṃ prabhuḥ /	hita-akriyA-Adi-dozam ca vakzyati-eva svayam praBuH /
   nirguṇatvaṃ ca tenaiva niṣiddhaṃ prabhuṇā svayam // MAnuv_1,1.100 //	nirguNa-tvam ca tena-eva nizidDam praBuNA svayam // Ma-anuv_1,1.100 //
   bhedenaiva tu mukhyārthasambhave lakṣaṇā kutaḥ /	Bedena-eva tu muKya-arTa-samBave lakzaNA kutas /
   kathaṃ nityaguṇasyāsya syādaikyaṃ guṇahānataḥ // MAnuv_1,1.101 //	kaTam nitya-guNasya-asya syAt-Ekyam guNa-hAnataH // Ma-anuv_1,1.101 //
   sadaiva guṇavattve 'sya bhinnaṃ syānnirguṇaṃ sadā /	sadA-eva guNavat-tve asya Binnam syAt-nirguNam sadA /
   na ca mithyāguṇatvaṃ syādanirvācyasya dūṣaṇāt // MAnuv_1,1.102 //	na ca miTyA-guNa-tvam syAt-anirvAcyasya dUzaNAt // Ma-anuv_1,1.102 //
   nirguṇatvaṃ tadā ca syādāsuratvaṃ nacānyathā /	nirguNa-tvam tadA ca syAt-Asura-tvam na-ca-anyaTA /
   lakṣyalakṣaṇayorbhedo 'bhedo vā yadi vobhayam // MAnuv_1,1.103 //	lakzya-lakzaNayoH-BedaH aBedaH vA yadi vA-uBayam // Ma-anuv_1,1.103 //
   iti pṛṣṭe tadaikyasya gatireva na vidyate /	iti pRzwe tad-Ekyasya gatiH-eva na vidyate /
   aikyābhede na śāstreṇa jñeyaṃ tat svaprakāśataḥ // MAnuv_1,1.104 //	Ekya-aBede na SAstreNa jQeyam tat sva-prakASataH // Ma-anuv_1,1.104 //
   bhede mithyātvato bhedasatyatvaṃ syād balādapi /	Bede miTyAtvataH Beda-satya-tvam syAt balAt-api /
   bhedābhedau yadi tadā syādeva hyanavasthitiḥ // MAnuv_1,1.105 //	Beda-aBedO yadi tadA syAt-eva hi-anavasTitiH // Ma-anuv_1,1.105 //
   svanirvāhakatā cet syād bāhyaṃ bāhakamityapi /	sva-nirvAhaka-tA ced syAt bAhyam bAhakam-iti-api /
   paryāyo bhedavān vā syādanavasthobhayatra ca // MAnuv_1,1.106 //	paryAyaH BedavAn vA syAt-anavasToBayatra ca // Ma-anuv_1,1.106 //
   satyajñānādike 'pyeva na vyāvṛttyā prayojanam /	satya-jQAna-Adike api-eva na vyAvRttyA prayojanam /
   vyāvṛttasyāviśeṣatve tadakhaṇḍaṃ ca khaṇḍitam /	vyAvRttasya-aviSeza-tve tat-aKaNxam ca KaNxitam /
   nirviśeṣatvametena mūko 'hamitivad bhavet // MAnuv_1,1.107 //	nirviSeza-tvam-etena mUkaH aham-iti-vat Bavet // Ma-anuv_1,1.107 //
   abhinne 'pi viśeṣo 'yaṃ balādāpatati hyataḥ /	aBinne api viSezaH ayam balAt-Apatati hi-atas /
   viśeṣatadvatoścaiva svanirvāhakatā bhavet // MAnuv_1,1.108 //	viSeza-tadvatoH-ca-eva sva-nirvAhaka-tA Bavet // Ma-anuv_1,1.108 //
   bhedahīne tvaparyāyaśabdāntaraniyāmakaḥ /	Beda-hIne tu-aparyAya-Sabda-antara-niyAmakaH /
   viśeṣo nāma kathitaḥ so 'sti vastuṣvaśeṣataḥ // MAnuv_1,1.109 //	viSezaH nAma kaTitaH saH asti vastuzu-aSezatas // Ma-anuv_1,1.109 //
   viśeṣāste 'pyanantāśca parasparaviśeṣiṇaḥ /	viSezAH-te api-anantAH-ca paraspara-viSeziNaH /
   svanirvāhakatāyuktāḥ santi vastuṣvaśeṣataḥ // MAnuv_1,1.110 //	sva-nirvAhaka-tA-yuktAH santi vastuzu-aSezatas // Ma-anuv_1,1.110 //
   ato 'nantaguṇaṃ brahma nirbhedamapi bhaṇyate /	atas ananta-guNam brahma nirBedam-api BaNyate /
   evaṃ dharmāniti śrutyā tadabhedo 'pyudīryate // MAnuv_1,1.111 //	evam DarmAn-iti SrutyA tad-aBedaH api-udIryate // Ma-anuv_1,1.111 //
   śaivādyāgamasamprāptadṛṣṭagena phalena tu /	SEva-Adi-Agama-samprApta-dRzwa-gena Palena tu /
   tadvākyopamayānyacca pramāṇatve 'numīyate // MAnuv_1,1.112 //	tad-vAkya-upamaya-anyat-ca pramANa-tve anumIyate // Ma-anuv_1,1.112 //
   īśavākyatvata iti cet tadgavyabhicāriṇā /	ISa-vAkya-tvataH iti ced tad-gavya-BicAriNA /
   aprāmāṇyānumā ca syānna pṛthak cānumeśvare // MAnuv_1,1.113 //	aprAmANya-anumA ca syAt-na pRTak ca-anumeSvare // Ma-anuv_1,1.113 //
   puṃstvahetubalādeva pūrvoktenaiva vartmanā /	puMstva-hetu-balAt-eva pUrva-uktena-eva vartmanA /
   śāstrayonitvametena kāraṇasya balād bhavet // MAnuv_1,1.114 //	SAstra-yoni-tvam-etena kAraNasya balAt Bavet // Ma-anuv_1,1.114 //
   nāvedavinna tarkeṇa matirityādivākyataḥ /	na-aveda-vid-na tarkeNa matiH-ityAdi-vAkyataH /
   tarko jñāpayituṃ śakto neśitāraṃ kathañcana // MAnuv_1,1.115 //	tarkaH jQApayitum SaktaH na-ISitAram kaTaQcana // Ma-anuv_1,1.115 //
   vanakṛttvādirūpeṇa pakṣabhūtasya ceśituḥ /	vana-kRt-tvA-Adi-rUpeNa pakza-BUtasya ca-ISituH /
   kiñcijjñānaṃ hi puṃstvena śakyaṃ sādhayituṃ sukham // MAnuv_1,1.116 //	kiQcid-jQAnam hi puMstvena Sakyam sADayitum suKam // Ma-anuv_1,1.116 //
   vṛkṣakṛnnākhilaṃ vṛkṣaṃ vetti puṃstvāddhi caitravat /	vRkza-kRt-na-aKilam vRkzam vetti puMstvAt-hi cEtra-vat /
   ityādyanumayā spardhi nānumānaṃ pareśituḥ /	ityAdi-anumayA sparDi na-anumAnam pareSituH /
   śaktaṃ vijñāpane cātiprasaṅgo 'numayedṛśā // MAnuv_1,1.117 //	Saktam vijQApane ca-atiprasaFgaH anumaya-IdRSAH // Ma-anuv_1,1.117 //
   vastutvāt turagaḥ śṛṅgī puṣpavat khaṃ sutairyutā /	vastu-tvAt turagaH SRFgI puzpa-vat Kam sutEH-yutA /
   citriṇī ca rasaḥ ṣaṣṭho rasatvāt sottaro bhavet /	citriNI ca rasaH zazWaH rasa-tvAt sa-uttaraH Bavet /
   upakramādiliṅgebhyo nānyāsyādanumā tataḥ // MAnuv_1,1.118 //	upakrama-Adi-liFgeByaH na-anyAsyAt-anumA tatas // Ma-anuv_1,1.118 //
   ta evānvayanāmānastaiḥ samyak pravicārite /	te eva-anvaya-nAmAnaH-tEH samyak pravicArite /
   mukhyārtho bhagavān viṣṇuḥ sarvaśāstrasya nāparaḥ // MAnuv_1,1.119 //	muKya-arTaH BagavAn vizNuH sarva-SAstrasya na-aparaH // Ma-anuv_1,1.119 //
   īkṣaṇīyatvato viṣṇurvācya eva nacānyathā /	IkzaNIya-tvataH vizNuH-vAcyaH eva naca-anyaTA /
   lakṣyatvaṃ kvāpi dṛṣṭaṃ hi kiṃ tadityanavasthitiḥ // MAnuv_1,1.120 //	lakzya-tvam kvApi dRzwam hi kim tat-iti-anavasTitiH // Ma-anuv_1,1.120 //
   mādhuryādiviśeṣāśca tacchabdairuditāḥ sadā /	mADurya-Adi-viSezAH-ca tad-SabdEH-uditAH sadA /
   vākyārtho 'pi hi vākyārthaśabdenaivodito bhavet // MAnuv_1,1.121 //	vAkya-arTaH api hi vAkya-arTa-Sabdena-eva-uditaH Bavet // Ma-anuv_1,1.121 //
   nāvācyaṃ tena kiñcit syād yata ityādikairvadan /	na-avAcyam tena kiQcid syAt yatas iti-AdikEH-vadan /
   avācyatvaṃ kathaṃ brūyānmūko 'hamitivat sudhīḥ // MAnuv_1,1.122 //	avAcya-tvam kaTam brUyAt-mUkaH aham-iti-vat suDIH // Ma-anuv_1,1.122 //
   yena lakṣyamiti proktaṃ lakṣyaśabdena so 'vadat /	yena lakzyam-iti proktam lakzya-Sabdena saH avadat /
   ekasyāpi hi śabdasya gauṇārthasvīkṛtau satām // MAnuv_1,1.123 //	ekasya-api hi Sabdasya gONa-arTa-svIkRtO satAm // Ma-anuv_1,1.123 //
   mahatī jāyate lajjā yatra tatrākhilā ravāḥ /	mahatI jAyate lajjA yatra tatra-aKilAH ravAH /
   amukhyārthā iti vadan yastanmārgānuvartinām /	amuKya-arTAH iti vadan yaH-tad-mArga-anuvartinAm /
   kathaṃ na jāyate lajjā vaktuṃ śābdatvamātmanaḥ // MAnuv_1,1.124 //	kaTam na jAyate lajjA vaktum SAbda-tvam-AtmanaH // Ma-anuv_1,1.124 //
   ātmabrahmādayaḥ śabdāḥ sākṣāt pūrṇābhidhāyinaḥ /	Atma-brahma-AdayaH SabdAH sAkzAt pUrNa-aBiDAyinaH /
   janmādikāraṇaṃ brahma lakṣitaṃ ca yadā tadā // MAnuv_1,1.125 //	janma-Adi-kAraNam brahma lakzitam ca yadA tadA // Ma-anuv_1,1.125 //
   vandhyāputropamaṃ māyāśabalaṃ vācyamityapi /	vanDyA-putra-upamam mAyA-Sabalam vAcyam-iti-api /
   kalpayitvā vinā mānaṃ lakṣyaṃ śuddhaṃ vadan padaiḥ // MAnuv_1,1.126 //	kalpayitvA vinA mAnam lakzyam SudDam vadan padEH // Ma-anuv_1,1.126 //
   ātmaśabdoditasyaiva jñānaṃ muktāvasādhanam /	Atma-Sabda-uditasya-eva jQAnam muktOvasADanam /
   āha śrutaparityāgaḥ syāccāsyāśrutakalpanam // MAnuv_1,1.127 //	Aha Sruta-parityAgaH syAt-ca-asya-aSruta-kalpanam // Ma-anuv_1,1.127 //
   syāt sarvatra ca yatraikamapi loko jugupsate /	syAt sarvatra ca yatra-ekam-api lokaH jugupsate /
   niyamenobhayaṃ syāddhi yasya svaparayormate // MAnuv_1,1.128 //	niyamena-uBayam syAt-hi yasya sva-parayoH-mate // Ma-anuv_1,1.128 //
   alaṅkṛtaḥ sadaivāyaṃ durghaṭaireva bhūṣaṇaiḥ /	alaFkRtaH sadA-eva-ayam durGawEH-eva BUzaNEH /
   andhantamo nityuduḥkhaṃ tasya syād vasanadvayam // MAnuv_1,1.129 //	anDantamaH nityu-duHKam tasya syAt vasana-dvayam // Ma-anuv_1,1.129 //
   anandā nāma te lokā andhena tamasā'vṛtāḥ /	anandAH nAma te lokAH anDena tamasA-avRtAH /
   tāṃste pretyābhigacchantyavidvāṃso budho janāḥ // MAnuv_1,1.130 //	tAn=-te pretya-aBigacCanti-avidvAMsaH buDaH janAH // Ma-anuv_1,1.130 //
   asuryā nāma te lokā andhena tamasā'vṛtāḥ /	asuryAH nAma te lokAH anDena tamasA-avRtAH /
   tāṃste pretyābhigacchanti ye kecātmahano janāḥ // MAnuv_1,1.131 //	tAn=-te pretya-aBigacCanti ye keca-AtmahanaH janAH // Ma-anuv_1,1.131 //
   ityādiśrutayo mānaṃ śataśo 'tra samantataḥ /	iti-Adi-SrutayaH mAnam SataSas atra samantataH /
   heyatvāvacanāccaiva nātmā gauṇaḥ śrutau śrutaḥ // MAnuv_1,1.132 //	heya-tva-avacanAt-ca-eva na-AtmA gONaH SrutO SrutaH // Ma-anuv_1,1.132 //
   tamevaikaṃ jānathānyā vāco muñcatha ceti ha /	tam-eva-ekam jAnaTA-anyAH vAcaH muQcaTa ca-iti ha /
   ukta ātmā kathaṃ gauṇo heyapakṣe hyasau śrutaḥ // MAnuv_1,1.133 //	uktaH AtmA kaTam gONaH heya-pakze hi-asO SrutaH // Ma-anuv_1,1.133 //
   parivāratayā grāhyā api heyāḥ pradhānataḥ /	parivAra-tayA grAhyAH api heyAH praDAnataH /
   pūrṇasya pūrṇamādāya pūrṇamevāvaśiṣyate // MAnuv_1,1.134 //	pUrNasya pUrNam-AdAya pUrNam-eva-avaSizyate // Ma-anuv_1,1.134 //
   iti svasyaiva pūrṇasya pūrṇe 'pyaya udāhṛtaḥ /	iti svasya-eva pUrNasya pUrNe api-ayaH udAhRtaH /
   kathaṃ māyāvyavacchinnaḥ pūrṇo mukhyatayā bhavet // MAnuv_1,1.135 //	kaTam mAyA-vyavacCinnaH pUrNaH muKya-tayA Bavet // Ma-anuv_1,1.135 //
   padaṃ ca nirguṇa iti kathaṃ gauṇaṃ vadiṣyati /	padam ca nirguNaH iti kaTam gONam vadizyati /
   guṇābhāvopalakṣyaṃ cet padaṃ tadapi vācakam // MAnuv_1,1.136 //	guNa-aBAva-upalakzyam ced padam tat-api vAcakam // Ma-anuv_1,1.136 //
   ato 'navasthitimukhasarvadoṣamahāspadam /	atas anavasTiti-muKa-sarva-doza-mahA-Aspadam /
   kathametanmataṃ sadbhirādriyeta vicakṣaṇaiḥ // MAnuv_1,1.137 //	kaTam-etat-matam sadBiH-Adriyeta vicakzaNEH // Ma-anuv_1,1.137 //
   na ca sāṅkhayanirākṛtyai sūtrāṇyetānyacīkḷpat /	na ca sAFKayaniH-AkRtyE sUtrANi-etAni-acIk?pad /
   bhagavān nahyaśabdatvaṃ pradhāne 'ṅgīkarotyasau // MAnuv_1,1.138 //	BagavAn na-hi-aSabda-tvam praDAne aFgIkaroti-asO // Ma-anuv_1,1.138 //
   samanvaye pratijñāte śabdagocarataiva hi /	samanvaye pratijQAte Sabda-gocara-tA-eva hi /
   prathamapratipādyā syāt tadabhāve kuto 'nvayaḥ // MAnuv_1,1.139 //	praTama-pratipAdyA syAt tad-aBAve kutas anvayaH // Ma-anuv_1,1.139 //
   kathaṃ ca lakṣaṇāvādī brūyād brahmasamanvayam /	kaTam ca lakzaNa-AvAdI brUyAt brahma-samanvayam /
   yo 'sau śabdasya mukhyārthastatraiva syāt samanvayaḥ // MAnuv_1,1.140 //	yaH asO Sabdasya muKya-arTaH-tatra-eva syAt samanvayaH // Ma-anuv_1,1.140 //
   janmādikāraṇe sākṣādāha devaḥ samanvayam /	janma-Adi-kAraNe sAkzAt-Aha devaH samanvayam /
   uktaṃ tadeva jijñāsyaṃ kvāvakāśo 'tra nirguṇe // MAnuv_1,1.141 //	uktam tat-eva jijQAsyam kva-avakASaH atra nirguNe // Ma-anuv_1,1.141 //
   kathañcāsambhavastasya mukhyārthasya nirākṛtau /	kaTaQca-asamBavaH-tasya muKya-arTasya nirAkRtO /
   mānena kena vijñeyamavācyājñeyanirguṇam // MAnuv_1,1.142 //	mAnena kena vijQeyam-avAcyA-jQeya-nirguNam // Ma-anuv_1,1.142 //
   ameyaṃ cenna śāstrasya tatra vṛttiḥ kathañcana /	ameyam ced-na SAstrasya tatra vRttiH kaTaQcana /
   tasmācchāstreṇa jijñāsyamasmadīyaṃ guṇārṇavam // MAnuv_1,1.143 //	tasmAt-SAstreNa jijQAsyam-asmadIyam guNa-arNavam // Ma-anuv_1,1.143 //
   vāsudevākhyamadvandvaṃ paraṃ brahmākhilottamam /	vAsudeva-AKyam-advandvam param brahma-aKila-uttamam /
   vijñeyavācyalakṣyatvapūrvāśeṣaviśeṣataḥ // MAnuv_1,1.144 //	vijQeya-vAcya-lakzya-tva-pUrva-aSeza-viSezataH // Ma-anuv_1,1.144 //
   nirgataṃ manaso vāco yadi tat syādagocaram /	nirgatam manasaH vAcaH yadi tat syAt-agocaram /
   astu tanmā vaded vādī nacāsmacchāstragaṃ tu tat // MAnuv_1,1.145 //	astu tat-mA vadet vAdI na-ca-asmad-SAstra-gam tu tat // Ma-anuv_1,1.145 //
   avācyaṃ vācyamityuktavā kimityunmattavanmṛṣā /	avAcyam vAcyam-iti-uktavA kim-iti-unmatta-vat-mRzA /
   asmacchāstrasya cauryāya yatate svoktidūṣakaḥ // MAnuv_1,1.146 //	asmad-SAstrasya cOryAya yatate svokti-dUzakaH // Ma-anuv_1,1.146 //
   janmādikāraṇaṃ yattat sākṣānnārāyaṇābhidham /	janma-Adi-kAraNam yat-tat sAkzAt-nArAyaNa-aBiDam /
   vadantu śrutayo brahma śāstraṃ caitat tadarthataḥ // MAnuv_1,1.147 //	vadantu SrutayaH brahma SAstram ca-etat tad-arTataH // Ma-anuv_1,1.147 //
   svaprakāśatvamapi tu yairjñānasya nivāritam /	sva-prakASa-tvam-api tu yEH-jQAnasya nivAritam /
   kathaṃ sarvajñatā tasya svajñānādhigamaṃ vinā // MAnuv_1,1.148//	kaTam sarvajQa-tA tasya sva-jQAna-aDigamam vinA // Ma-anuv_1,1.148//
   pravṛttamastvavācyaṃ te maiva brūyāḥ kathañcana /	pravRttamastu-avAcyam te mA-eva brUyAH kaTaQcana /
   sarvaśabdairavācyaṃ taduktavā tadviṣayaṃ punaḥ // MAnuv_1,1.149 //	sarva-SabdEH-avAcyam tat-uktavA tad-vizayam punar // Ma-anuv_1,1.149 //
   vayaṃ tvāṃ śrutiyuktibhyāṃ baddhvāsmacchāstramañjasā /	vayam tvAm Sruti-yuktiByAm badDvA-asmad-SAstram-aQjasA /
   vicārayāmaḥ śrutibhiryuktibhiścaiva sādaram // MAnuv_1,1.150 //	vicArayAmaH SrutiBiH-yuktiBiH-ca-eva sa-Adaram // Ma-anuv_1,1.150 //
   adbhutatvādavācyaṃ tadatarkyājñeyameva ca /	adButa-tvAt-avAcyam tat-atarkya-AjQeyam-eva ca /
   anantaguṇapūrṇatvādityūde paiṅgināṃ śrutiḥ /	ananta-guNa-pUrNa-tvAt-iti-Ude pEFginAm SrutiH /
   avācyamiti loke 'pi vaktayāścāryatamaṃ bhuvi // MAnuv_1,1.151 //	avAcyam-iti loke api vaktayAH-cAryatamam Buvi // Ma-anuv_1,1.151 //
   evaṃ śāstrāvagamyatve vibhāgena samanvayam /	evam SAstrO=-agamya-tve viBAgena samanvayam /
   ānandamaya ityādinādhyāyena vadatyajaḥ // MAnuv_1,1.152 //	Ananda-mayaH ityAdinA-aDyAyena vadati-ajaH // Ma-anuv_1,1.152 //
   tatrānyatra prasiddhānāṃ viṣṇāveva samanvayam /	tatra-anyatra prasidDAnAm vizNO=-eva samanvayam /
   śabdānāṃ prathame pāde guṇisāmānyavācinām // MAnuv_1,1.153 //	SabdAnAm praTame pAde guNi-sAmAnya-vAcinAm // Ma-anuv_1,1.153 //
   guṇavācināṃ ca prathamamāha devaḥ samanvayam /	guNa-vAcinAm ca praTamam-Aha devaH samanvayam /
   samudraśāyinaṃ sarvaprasūtiprasavaṃ śrutiḥ // MAnuv_1,1.154 //	samudra-SAyinam sarva-prasUti-prasavam SrutiH // Ma-anuv_1,1.154 //
   tadeva brahma paramamiti sāvadhṛtirjagau /	tat-eva brahma paramam-iti sAvaDRtiH-jagO /
   yato 'to brahmaśabdasya tatraiva niyatatvataḥ // MAnuv_1,1.155 //	yatas atas brahma-Sabdasya tatra-eva niyata-tvataH // Ma-anuv_1,1.155 //
   yo 'nnaṃ brahmetyādirūpādabhyāsāt taittirīyake /	yaH annam brahma-ityAdi-rUpAt-aByAsAt tEttirIyake /
   anyāsu caitadrūpāsu śākhāsvapi sahasraśaḥ // MAnuv_1,1.156 //	anyAsu ca-etad-rUpAsu SAKAsu-api sahasraSas // Ma-anuv_1,1.156 //
   ānandamaya ityādyaiḥ śabdairvācyo hariḥ svayam /	Ananda-mayaH ityAdyEH SabdEH-vAcyaH hariH svayam /
   upalakṣaṇatvaṃ śabdānāmānandamayapūrviṇām // MAnuv_1,1.157 //	upalakzaNa-tvam SabdAnAm-Ananda-maya-pUrviNAm // Ma-anuv_1,1.157 //
   sūtrasyālpākṣaratvena sarvaśākhāvinirṇaye /	sUtrasya-alpa-akzara-tvena sarva-SAKA-vinirNaye /
   punaśca prāpakāddhetostatrādhikaraṇāntaram // MAnuv_1,1.158 //	punar-ca prApakAt-hetoH-tatra-aDikaraNa-antaram // Ma-anuv_1,1.158 //
   sarve vedā āmananti yat padaṃ tviti hi śrutiḥ /	sarve vedAH Amananti yat padam tu-iti hi SrutiH /
   ānandamayarūpe tu brahmaṇaḥ pucchatoktitaḥ // MAnuv_1,1.159 //	Ananda-maya-rUpe tu brahmaNaH pucCatA-uktitaH // Ma-anuv_1,1.159 //
   samastābrahmatāprāpterānandamayanāma hi /	samasta-abrahma-tA-prApteH-Ananda-maya-nAma hi /
   brahmaśabdasya cābhyāsāt pañcarūpādiṣu sphuṭam // MAnuv_1,1.160 //	brahma-Sabdasya ca-aByAsAt paQca-rUpa-Adizu sPuwam // Ma-anuv_1,1.160 //
   brahmatāvayave 'pi syāt tathāvayavini svataḥ /	brahma-tA-avayave api syAt taTA-avayavini svatas /
   yathaiva kṛṣṇakeśasya kṛṣṇasya brahmatākhilā // MAnuv_1,1.161 //	yaTA-eva kRzNa-keSasya kRzNasya brahma-tA-aKilAH // Ma-anuv_1,1.161 //
   darśitā caiva pārthāya niḥsīmāḥ śaktayo 'sya hi /	darSitA ca-eva pArTAya niHsImAH SaktayaH asya hi /
   ṛtaṃ satyaṃ paraṃ brahma puruṣaṃ kṛṣṇapiṅgalam // MAnuv_1,1.162 //	Rtam satyam param brahma puruzam kRzNa-piFgalam // Ma-anuv_1,1.162 //
   viṣṇvākhyamuktamanyatra hyūrdhvaretaṃ ca tat prati /	vizNu-AKyam-uktam-anyatra hi-UrDvaretam ca tat prati /
   virūpākṣākhyamavaraṃ brahmoktaṃ tadvrate sthitam // MAnuv_1,1.163 //	virUpAkza-AKyam-avaram brahma-uktam tat-vrate sTitam // Ma-anuv_1,1.163 //
   samānādhikṛtatvaṃ ceduttaraṃ nīlalohitam /	samAna-aDikRta-tvam ced-uttaram nIlalohitam /
   kṛṣṇapiṅgalarūpeṇa punaruktaṃ bhaviṣyati // MAnuv_1,1.164 //	kRzNa-piFgala-rUpeNa punaruktam Bavizyati // Ma-anuv_1,1.164 //
   brahmādhipatirityatra tāpanīyaśrutau puraḥ /	brahma-aDipatiH-iti-atra tApanIya-SrutO puras /
   svaritabrahmaśabdāntaṃ bahuvrīhitvameṣyati // MAnuv_1,1.165 //	svarita-brahma-Sabda-antam bahu-vrIhi-tvam-ezyati // Ma-anuv_1,1.165 //
   svāhendraśatruvardhasva yad bahuvrīhitāmagāt /	svAhA-indra-Satru-varDasva yat bahu-vrIhitAm-agAt /
   mahāvyākaraṇe sūtramiti svaravinirṇaye // MAnuv_1,1.166 //	mahAvyAkaraNe sUtram-iti svara-vinirNaye // Ma-anuv_1,1.166 //
   pūrvāntasvarite puṃsorbahuvrīhitvameṣyati /	pUrva-anta-svarite puMsoH-bahu-vrIhi-tvam-ezyati /
   mahāvyākaraṇe sūtramiti svaravinirṇaye // MAnuv_1,1.167 //	mahAvyAkaraNe sUtram-iti svara-vinirNaye // Ma-anuv_1,1.167 //
   ṛtaṃ satyaṃ paraṃ brahmetyādyuddeśyadvitīyakā /	Rtam satyam param brahma-ityAdi-uddeSya-dvitIyakAH /
   vibhaktirūrdhvaretādiḥ prathamā rudragocarā // MAnuv_1,1.168 //	viBaktiH-UrDvareta-AdiH praTamA rudra-gocarAH // Ma-anuv_1,1.168 //
   tasmād viṣṇuṃ paraṃ brahma prati rudro vrate sthitaḥ /	tasmAt vizNum param brahma prati rudraH vrate sTitaH /
   ūrdhvaretā iti hyeva śrutyartho 'vasito bhavet // MAnuv_1,1.169 //	UrDvaretAH iti hi-eva Sruti-arTaH avasitaH Bavet // Ma-anuv_1,1.169 //
   ṛtaṃ satyaṃ paraṃ brahma prati viṣṇuṃ sadāśivaḥ /	Rtam satyam param brahma prati vizNum sadASivaH /
