   YRps, Adhyāya 1	YRps, ADyAyaH 1
   evaṃ kṛte grāsamānaṃ bhakṣayennātra saṃśayaḥ /	evam kRte grAsamAnam Bakzayet-na-atra saMSayaH /
   anenaiva prakāreṇa ṣaḍgrāsaṃ bhakṣayed dhruvam // YRps_1.85 //	anena-eva prakAreNa zaz-grAsam Bakzayet Druvam // YRpH-_1.85 //
   bhakṣite cābhrasattve tu sarvakāryeṣu siddhidaḥ /	Bakzite ca-aBra-sattve tu sarva-kAryezu sidDi-daH /
   <viḍamāna>	<vixamAna>
   mānaṃ mānavihīnena kartuṃ kena na śakyate // YRps_1.86 //	mAnam mAna-vihInena kartum kena na Sakyate // YRpH-_1.86 //
   tasmānmayā mānakarma kathitavyaṃ yathoditam /	tasmAt-mayA mAna-karma kaTitavyam yaTA-uditam /
   catuḥṣaṣṭyaṃśato bījaṃ pāradānmukhakārakam // YRps_1.87 //	catuHzazwi-aMSataH bIjam pAradAt-muKa-kArakam // YRpH-_1.87 //
   paścād dvātriṃśabhāgena dātavyaṃ bījamuttamam /	paScAt dvAtriMSa-BAgena dAtavyam bIjam-uttamam /
   tataḥṣoḍaśabhāgena bījasya kavalaṃ nyaset // YRps_1.88 //	tatas-zoxaSa-BAgena bIjasya kavalam nyaset // YRpH-_1.88 //
   rasādaṣṭamabhāgena dātavyaṃ bhiṣaguttamaiḥ /	rasAt-azwama-BAgena dAtavyam Bizaj-uttamEH /
   caturthenātha bhāgena grāsa evaṃ pradīyate // YRps_1.89 //	caturTena-aTa BAgena grAsaH evam pradIyate // YRpH-_1.89 //
   tathā ca samabhāgena grāsenaiva ca sādhayet /	taTA ca sama-BAgena grAsena-eva ca sADayet /
   biḍena ṣoḍaśāṃśena kṣudhito jāyate rasaḥ // YRps_1.90 //	bixena zoxaSa-aMSena kzuDitaH jAyate rasaH // YRpH-_1.90 //
   yadā jīrṇo bhaved grāsaḥ pātitaśca viḍena hi // YRps_1.91 //	yadA jIrNaH Bavet grAsaH pAtitaH-ca vixena hi // YRpH-_1.91 //
   <biḍa>	<bixa>
   kāsīsasindhulavaṇa- sauvarcalasurāṣṭrikāḥ /	kAsIsa-sinDu-lavaNa sOvarcala-surAzwrikAH /
   gaṃdhakena samaṃ kṛtvā viḍo 'yaṃ vahnikṛd bhavet // YRps_1.92 //	gaMDakena samam kRtvA vixaH ayam vahni-kRt Bavet // YRpH-_1.92 //
   <10. cāraṇa>	<10. cAraNa>
   atha garbhadruteḥ karma cāraṇaṃ guṇavardhanam /	aTa garBadruteH karma cAraNam guNa-varDanam /
   kathayāmi yathātathyaṃ rasarājasya siddhidam // YRps_1.93 //	kaTayAmi yaTAtaTyam rasarAjasya sidDi-dam // YRpH-_1.93 //
   tāpyasatvābhrasattvaṃ ca ghoṣākṛṣṭaṃ ca tāmrakam /	tApya-satva-aBra-sattvam ca GozAkRzwam ca tAmrakam /
   samabhāgāni sarvāṇi dhmāpayetkhadirāgninā // YRps_1.94 //	sama-BAgAni sarvANi DmApayet-Kadira-agninA // YRpH-_1.94 //
   bhastrikādvitayenaiva yāvadabhrakaśeṣakam /	BastrikA-dvitayena-eva yAvat-aBraka-Sezakam /
   tadabhrasatvaṃ sūtasya cārayetsamabhāgikam // YRps_1.95 //	tat-aBra-satvam sUtasya cArayet-sama-BAgikam // YRpH-_1.95 //
   <11. garbhadruti>	<11. garBadruti>
   anenaiva prakāreṇa triguṇaṃ jāraṇaṃ rase /	anena-eva prakAreNa triguNam jAraNam rase /
   garbhadruterjāraṇaṃ hi kathitaṃ bhiṣaguttamaiḥ // YRps_1.96 //	garBadruteH-jAraNam hi kaTitam Bizaj-uttamEH // YRpH-_1.96 //
   <12. bāhyadruti>	<12. bAhyadruti>
   bāhyadrutividhānaṃ hi kathyate gurumārgataḥ /	bAhyadruti-viDAnam hi kaTyate guru-mArgataH /
   abhrasatvaṃ hi mūṣāyāṃ vajravallīrasena hi // YRps_1.97 //	aBra-satvam hi mUzAyAm vajravallI-rasena hi // YRpH-_1.97 //
   sauvarcalena saṃdhmātaṃ rasarūpaṃ prajāyate /	sOvarcalena saMDmAtam rasa-rUpam prajAyate /
   abhradruteśca sūtasya samāṃśairmelanaṃ kṛtam // YRps_1.98 //	aBra-druteH-ca sUtasya sama-aMSEH-melanam kRtam // YRpH-_1.98 //
   tena bandhatvamāyāti bāhyā sā kathyate drutiḥ /	tena banDa-tvam-AyAti bAhyA sA kaTyate drutiH /
   bāhyadrutikriyākarma śivabhaktyā hi sidhyati // YRps_1.99 //	bAhyadruti-kriyA-akarma Siva-BaktyA hi siDyati // YRpH-_1.99 //
   guroḥ prasādātsatataṃ mahābhairavapūjanāt /	guroH prasAdAt-satatam mahABErava-pUjanAt /
   śivayorarcanādeva bāhyagā sidhyati drutiḥ // YRps_1.100 //	SivayoH-arcanAt-eva bAhya-gA siDyati drutiH // YRpH-_1.100 //
   <13. jāraṇa>	<13. jAraNa>
   atha jāraṇakaṃ karma kathayāmi suvistaram /	aTa jAraNakam karma kaTayAmi su-vistaram /
   abhrakaṃ tāpyasatvaṃ ca samaṃ kṛtvā tu saṃdhamet // YRps_1.101 //	aBrakam tApya-satvam ca samam kRtvA tu saMDamet // YRpH-_1.101 //
   abhraśeṣaṃ kṛtaṃ yacca tatsatvaṃ jārayedrase /	aBra-Sezam kRtam yat-ca tad-satvam jArayet-rase /
   evaṃ pūtidvayenaiva ghanasatvaṃ hi sādhayet // YRps_1.102 //	evam pUti-dvayena-eva Gana-satvam hi sADayet // YRpH-_1.102 //
   dhātuvādavidhānena lohakṛt dehakṛnna hi /	DAtuvAda-viDAnena loha-kRt deha-kRt-na hi /
   gajavaṃgau mahāghorāv asevyau hi nirantaram // YRps_1.103 //	gaja-vaMgO mahA-GorO asevyO hi nirantaram // YRpH-_1.103 //
   sādhitaṃ ghanasatvaṃ tad retitaṃ rajaḥsannibham /	sADitam Gana-satvam tat retitam rajaH-sanniBam /
   bubhukṣitarasasyāsye nikṣiptaṃ vallamātrakam // YRps_1.104 //	buBukzita-rasasya-Asye nikziptam valla-mAtrakam // YRpH-_1.104 //
   raso gadyāṇakasyāpi turyabhāgaḥ prakīrtitaḥ /	rasaH gadyANakasya-api turya-BAgaH prakIrtitaH /
   tāmrapātrasthamamlaṃ vai saiṃdhavena samanvitam // YRps_1.105 //	tAmra-pAtra-sTam-amlam vE sEMDavena samanvitam // YRpH-_1.105 //
   kṣīreṇa sahitaṃ vāpi prahitaṃ dvidināvadhi /	kzIreNa sahitam vA-api prahitam dvi-dina-avaDi /
   jātaṃ tutthasamaṃ nīlaṃ kalkaṃ tatprocyate budhaiḥ // YRps_1.106 //	jAtam tutTa-samam nIlam kalkam tat-procyate buDEH // YRpH-_1.106 //
   kalkenānena sahitaṃ sūtakaṃ ca vimardayet /	kalkena-anena sahitam sUtakam ca vimardayet /
   dinatrayaṃ taptakhalve dhautaḥ paścācca kāṃjikaiḥ // YRps_1.107 //	dina-trayam taptaKalve DOtaH paScAt-ca kAMjikEH // YRpH-_1.107 //
   sthāpayetkāṃsyapātre tu tadūrdhvādho viḍaṃ nyaset /	sTApayet-kAMsya-pAtre tu tad-UrDva-aDas vixam nyaset /
   rasasyāṣṭamabhāgena saṃpuṭaṃ kārayettataḥ // YRps_1.108 //	rasasya-azwama-BAgena saMpuwam kArayet-tatas // YRpH-_1.108 //
   bhūrjapatrairmukhaṃ ruddhvā sūtreṇaiva tu veṣṭayet /	BUrja-patrEH-muKam rudDvA sUtreNa-eva tu vezwayet /
   saṃpuṭaṃ vāsasāveṣṭya dolāyāṃ svedayettataḥ // YRps_1.109 //	saMpuwam vAsasA-Avezwya dolAyAm svedayet-tatas // YRpH-_1.109 //
   gomūtreṇāmlavargeṇa kāṃjikena dinaṃ dinam /	go-mUtreNa-amlavargeNa kAMjikena dinam dinam /
   aśmapātre'tha lohasya pātre kācamaye 'thavā // YRps_1.110 //	aSma-pAtre-aTa lohasya pAtre kAca-maye aTavA // YRpH-_1.110 //
   uṣṇakāṃjikatoyena kṣālayitvā rasaṃ tataḥ /	uzNa-kAMjika-toyena kzAlayitvA rasam tatas /
   dṛḍhe caturguṇe vastre kṣiptvādhaḥ pīḍanādrasaḥ // YRps_1.111 //	dRXe caturguNe vastre kziptvA-aDas pIxanAt-rasaH // YRpH-_1.111 //
   nipatatyanyapātre tu sarvo 'pi yadi pāradaḥ /	nipatati-anya-pAtre tu sarvaH api yadi pAradaH /
   tadābhraṃ jāritaṃ samyak daṇḍadhārī bhavedrasaḥ // YRps_1.112 //	tadA-aBram jAritam samyak daNxaDArI Bavet-rasaH // YRpH-_1.112 //
   grāsamāne punardeyaṃ abhrabījamanuttamam /	grAsamAne punar-deyam aBra-bIjam-anuttamam /
   aṣṭagrāsena sarvaṃ hi jārayed gurumārgataḥ // YRps_1.113 //	azwa-grAsena sarvam hi jArayet guru-mArgataH // YRpH-_1.113 //
   evaṃ kṛte samaṃ cābhraṃ sūtake jīryati dhruvam /	evam kRte samam ca-aBram sUtake jIryati Druvam /
   svahastena kṛtaṃ samyak jāraṇaṃ na śrutaṃ mayā // YRps_1.114 //	sva-hastena kRtam samyak jAraNam na Srutam mayA // YRpH-_1.114 //
   <mercury:: "age" according to jāraṇa>	<mercuH-y:: "age" at-ca-Urdinc taH jAraNa>
   samābhre jārite samyak daṇḍadhārī bhavedrasaḥ /	sama-aBre jArite samyak daNxaDArI Bavet-rasaH /
   bālaśca kathyate so'pi kiṃcitkāryakaro bhavet // YRps_1.115 //	bAlaH-ca kaTyate saH-api kiMcid-kArya-karaH Bavet // YRpH-_1.115 //
   dviguṇe triguṇe caiva kathyate 'tra mayā khalu /	dviguNe triguNe ca-eva kaTyate atra mayA Kalu /
   caturguṇe 'bhrake jīrṇe kiśoraḥ kathyate mayā // YRps_1.116 //	caturguNe aBrake jIrNe kiSoraH kaTyate mayA // YRpH-_1.116 //
   jīrṇe pañcaguṇe cābhre yuvā caiva rasottamaḥ /	jIrNe paQcaguNe ca-aBre yuvA ca-eva rasa-uttamaH /
   ṣaḍguṇe jārite tvabhre vṛddhaścaiva rasottamaḥ // YRps_1.117 //	zaxguNe jArite tu-aBre vRdDaH-ca-eva rasottamaH // YRpH-_1.117 //
   saptāṣṭaguṇite cābhra- satve jīrṇe 'tivṛddhakaḥ /	sapta-azwa-guNite ca-aBra satve jIrNe ati-vRdDakaH /
   sarvasiddhikaraḥ so 'yaṃ pāradaḥ pāradaḥ svayam // YRps_1.118 //	sarva-sidDi-karaH saH ayam pAradaH pAradaH svayam // YRpH-_1.118 //
   anenaiva prakāreṇa sarvalohāni jārayet // YRps_1.119 //	anena-eva prakAreNa sarva-lohAni jArayet // YRpH-_1.119 //
   <14. sāraṇa>	<14. sAraNa>
   athedānīṃ pravakṣyāmi vedhavṛddheśca kāraṇam /	aTa-idAnIm pravakzyAmi veDa-vRdDeH-ca kAraNam /
   mahāsiddhikaraṃ yatsyāt sāraṇaṃ sarvakarmaṇām // YRps_1.120 //	mahA-sidDi-karam yat-syAt sAraNam sarva-karmaNAm // YRpH-_1.120 //
   dhūrtapuṣpasamākārā mūṣāṣṭāṅguladīrghikā /	DUrta-puzpa-sama-AkArA mUzA-azwa-aFgula-dIrGikA /
   mukhe suvistṛtā kāryā caturaṃgulasaṃmitā // YRps_1.121 //	muKe su-vistRtA kAryA catur-aMgula-saMmitAH // YRpH-_1.121 //
   mṛṇmayā sāpi śuṣkā ca madhye 'timasṛṇīkṛtā /	mRNmayA sA-api SuzkA ca maDye ati-masRNIkRtA /
   anyā pidhānikā mūṣā sunimnā chidrasaṃyutā // YRps_1.122 //	anyA piDAnikA mUzA su-nimnA Cidra-saMyutAH // YRpH-_1.122 //
   śuddhaṃ sujāritaṃ sūtaṃ mūṣāmadhye nidhāpayet /	SudDam su-jAritam sUtam mUzA-maDye niDApayet /
   <sāraṇātaila>	<sAraNA-tEla>
   matsyakacchapamaṇḍūka- jalaukāmeṣasūkarāḥ // YRps_1.123 //	matsya-kacCapa-maNxUka jalOkA-meza-sUkarAH // YRpH-_1.123 //
   ekīkṛtya vasāmeṣām evaṃ tailaṃ tu sāraṇam /	ekIkRtya vasAm-ezAm evam tElam tu sAraNam /
   bhūnāgaviṭ tathā kṣaudraṃ vāyasānāṃ purīṣakam // YRps_1.124 //	BUnAga-viz taTA kzOdram vAyasAnAm purIzakam // YRpH-_1.124 //
   tathaiva śalabhādīnāṃ mahiṣīkarṇayormalam /	taTA-eva SalaBa-AdInAm mahizIkarNayoH-malam /
   rasasya ṣoḍaśāṃśena caiteṣāṃ kalkamādiśet // YRps_1.125 //	rasasya zoxaSa-aMSena ca-etezAm kalkam-AdiSet // YRpH-_1.125 //
   paṭena gālitaṃ kṛtvā tailamadhye niyojayet /	pawena gAlitam kRtvA tEla-maDye niyojayet /
   <sāraṇā (cont.)>	<sAraNAH (cont.)>
   sāraṇārthe kṛtaṃ tailaṃ tasmin taile supācayet // YRps_1.126 //	sAraNA-arTe kRtam tElam tasmin tEle su-pAcayet // YRpH-_1.126 //
   bījaṃ ca kalkamiśraṃ hi kṛtvā mūṣopari nyaset /	bIjam ca kalka-miSram hi kRtvA mUzA-upari nyaset /
   pidhānena dvitīyena mūṣāvaktraṃ nirundhayet // YRps_1.127 //	piDAnena dvitIyena mUzA-vaktram nirunDayet // YRpH-_1.127 //
   bhasmanā lavaṇenaiva mūṣāyugmaṃ tu mudrayet /	BasmanA lavaNena-eva mUzA-yugmam tu mudrayet /
   mūṣikāyāstribhāgaṃ hi khanitvā vasudhāṃ kṣipet // YRps_1.128 //	mUzikAyAH-tri-BAgam hi KanitvA vasuDAm kzipet // YRpH-_1.128 //
   tadūrdhvaṃ dhmāpayetsamyak dṛḍhāṃgāraiḥ kharāgninā /	tad-UrDvam DmApayet-samyak dRXa-aMgArEH Kara-agninA /
   evaṃ saṃjāritaṃ bījaṃ rasamadhye patatyalam // YRps_1.129 //	evam saMjAritam bIjam rasa-maDye patati-alam // YRpH-_1.129 //
   bandhamāyāti sūtendraḥ sārito guṇavān bhavet /	banDam-AyAti sUtendraH sAritaH guNavAn Bavet /
   prathamaṃ jāritaścaiva sāritaḥ sarvasiddhidaḥ // YRps_1.130 //	praTamam jAritaH-ca-eva sAritaH sarva-sidDi-daH // YRpH-_1.130 //
   no jāritaḥ sāritaśca kathaṃ bandhakaro bhavet /	naH jAritaH sAritaH-ca kaTam banDa-karaH Bavet /
   gurūpadeśato dṛṣṭaṃ sāraṇaṃ karma cottamam // YRps_1.131 //	guru-upadeSataH dRzwam sAraNam karma ca-uttamam // YRpH-_1.131 //
   hastānubhavayogena kṛtaṃ samyak śrutaṃ nahi // YRps_1.132 //	hasta-anuBava-yogena kRtam samyak Srutam na-hi // YRpH-_1.132 //
   <15. krāmaṇa>	<15. krAmaNa>
   atha krāmaṇakaṃ karma pāradasya nigadyate /	aTa krAmaNakam karma pAradasya nigadyate /
   śāstrātkṛtaṃ na dṛṣṭaṃ hi yathāvat krāmayedrasam // YRps_1.133 //	SAstrAt-kRtam na dRzwam hi yaTAvat krAmayet-rasam // YRpH-_1.133 //
   karṇamalaṃ mahiṣīṇāṃ strīdugdhaṃ ṭaṃkaṇena sammiśram /	karNa-malam mahizINAm strI-dugDam waMkaNena sammiSram /
   etānyeva samāni ca kṛtvā dravyāṇi mardayecca dinam // YRps_1.134 //	etAni-eva samAni ca kRtvA dravyANi mardayet-ca dinam // YRpH-_1.134 //
   viṣaṃ ca daradaścaiva rasako raktakāntakau /	vizam ca daradaH-ca-eva rasakaH raktakAntakO /
   indragopaśca tuvarī mākṣikaṃ kākaviṭ tathā // YRps_1.135 //	indragopaH-ca tuvarI mAkzikam kAka-viz taTA // YRpH-_1.135 //
   kalkametad adhordhvaṃ hi madhye sūtaṃ nidhāpayet /	kalkam-etat aDorDvam hi maDye sUtam niDApayet /
   kācacūrṇaṃ tato dattvā cāndhamūṣāgataṃ dhamet // YRps_1.136 //	kAca-cUrNam tatas dattvA ca-anDamUzA-gatam Damet // YRpH-_1.136 //
   anena krāmaṇenaiva pāradaḥ kramate kṣaṇāt /	anena krAmaNena-eva pAradaH kramate kzaNAt /
   idaṃ krāmaṇakaṃ śreṣṭhaṃ nandirājena bhāṣitam // YRps_1.137 //	idam krAmaNakam SrezWam nandi-rAjena BAzitam // YRpH-_1.137 //
   tāpyasattvaṃ tathā nāgaṃ śuddhaṃ krāmaṇakaṃ tathā /	tApya-sattvam taTA nAgam SudDam krAmaNakam taTA /
   bījāni pāradasyāpi kramate ca na saṃśayaḥ // YRps_1.138 //	bIjAni pAradasya-api kramate ca na saMSayaH // YRpH-_1.138 //
   <16. vedhana>	<16. veDana>
   atha vedhavidhānaṃ hi kathayāmi suvistaram /	aTa veDa-viDAnam hi kaTayAmi su-vistaram /
   yena vijñātamātreṇa vedhajño jāyate naraḥ // YRps_1.139 //	yena vijQAta-mAtreNa veDa-jQaH jAyate naraH // YRpH-_1.139 //
   dhūrtatailamaheḥphenaṃ kaṃguṇītailameva ca /	DUrta-tElam-aheH-Penam kaMguNI-tElam-eva ca /
   bhṛṅgītailaṃ viṣaṃ caiva tailaṃ jātīphalodbhavam // YRps_1.140 //	BRFgI-tElam vizam ca-eva tElam jAtIPala-udBavam // YRpH-_1.140 //
   hayamāraśiphātailam abdheḥśoṣakatailakam /	hayamAra-SiPA-tElam abDeH-Sozaka-tElakam /
   etānyanyāni tailāni viddhi vedhakarāṇi ca // YRps_1.141 //	etAni-anyAni tElAni vidDi veDa-karANi ca // YRpH-_1.141 //
   siddhasūtena ca samaṃ marditaṃ vedhakṛd bhavet // YRps_1.142 //	sidDa-sUtena ca samam marditam veDa-kRt Bavet // YRpH-_1.142 //
   <vedhabhedāḥ>	<veDa-BedAH>
   lepavedhastathā kṣepaḥ kuṃtavedhastathaiva ca // YRps_1.143 //	lepaveDaH-taTA kzepaH kuMtaveDaH-taTA-eva ca // YRpH-_1.143 //
   dhūmākhyaḥ śabdavedhaḥ syād evaṃ pañcavidhaḥ smṛtaḥ /	DUma-AKyaH SabdaveDaH syAt evam paQcaviDaH smRtaH /
   <lepavedha>	<lepaveDa>
   sūkṣmāṇi tāmrapatrāṇi kaladhūtabhavāni ca /	sUkzmANi tAmra-patrANi kala-DUta-BavAni ca /
   kalkena lepitānyeva dhmāpayed andhamūṣayā // YRps_1.144 //	kalkena lepitAni-eva DmApayet anDamUzayA // YRpH-_1.144 //
   śītībhūte tamuttārya lepavedhaśca kathyate /	SItIBUte tam-uttArya lepaveDaH-ca kaTyate /
   <kṣepavedha>	<kzepa-veDa>
   drute tāmre 'thavā raupye rasaṃ tatra vinikṣipet // YRps_1.145 //	drute tAmre aTavA rOpye rasam tatra vinikzipet // YRpH-_1.145 //
   vidhyate tena sahasā kṣepavedhaḥ sa kathyate /	viDyate tena sahasA kzepaveDaH sa kaTyate /
   <kuntavedha>	<kuntaveDa>
   drāvayennāgarūpyaṃ ca tāmraṃ caiva tathāvarān // YRps_1.146 //	drAvayet-nAga-rUpyam ca tAmram ca-eva taTA-avarAn // YRpH-_1.146 //
   pārado 'nyatame pātre drāvite 'tra niyojitaḥ /	pAradaH anyatame pAtre drAvite atra niyojitaH /
   vedhate kuntavedhaḥ syād iti śāstravido 'bruvan // YRps_1.147 //	veDate kuntaveDaH syAt iti SAstra-vidaH abruvan // YRpH-_1.147 //
   <dhūmavedha>	<DUmaveDa>
   dhūmasparśena jāyante dhātavo hemarūpyakau /	DUma-sparSena jAyante DAtavaH hema-rUpyakO /
   dhūmavedhaḥ sa vijñeyo rasarājasya niścitam // YRps_1.148 //	DUmaveDaH sa vijQeyaH rasarAjasya niScitam // YRpH-_1.148 //
   <śabdavedha>	<Sabda-veDa>
   baddhe rasavare sākṣāt sparśanājjāyate ravaḥ /	badDe rasavare sAkzAt sparSanAt-jAyate ravaH /
   tathaiva jāyate vedhaḥ śabdavedhaḥ sa kathyate // YRps_1.149 //	taTA-eva jAyate veDaH SabdaveDaH sa kaTyate // YRpH-_1.149 //
   <17. rañjana>	<17. raQjana>
   athedānīṃ pravakṣyāmi raṃjanaṃ pāradasya hi /	aTa-idAnIm pravakzyAmi raMjanam pAradasya hi /
   rañjitaḥ krāmitaścaiva sākṣāddevo maheśvaraḥ // YRps_1.150 //	raQjitaH krAmitaH-ca-eva sAkzAt-devaH maheSvaraH // YRpH-_1.150 //
   raṃjanaṃ lohatāmrābhyāṃ rasakena vidhīyate /	raMjanam loha-tAmrAByAm rasakena viDIyate /
   tathā raktagaṇenaiva kartavyaṃ śāstravartmanā // YRps_1.151 //	taTA rakta-gaNena-eva kartavyam SAstra-vartmanA // YRpH-_1.151 //
   gandharāgeṇa kartavyaṃ pāradasyātha raṃjanam /	ganDa-rAgeNa kartavyam pAradasya-aTa raMjanam /
   tāmreṇa raktakācena raktasaindhavakena ca // YRps_1.152 //	tAmreNa rakta-kAcena rakta-sEnDavakena ca // YRpH-_1.152 //
   aṃdhamūṣāgataṃ sūtaṃ rañjayettāmrakādibhiḥ /	aMDamUzA-gatam sUtam raQjayet-tAmraka-AdiBiH /
   iṣṭikāyantrayogena gandharāgeṇa rañjayet // YRps_1.153 //	izwikAyantra-yogena ganDa-rAgeNa raQjayet // YRpH-_1.153 //
   rasakasya ca rāgeṇa tulāyantrasya yogataḥ /	rasakasya ca rAgeNa tulAyantrasya yogataH /
   <mercury:: rañjana>	<mercuH-y:: raQjana>
   mardanāttīkṣṇacūrṇena rañjayetsūtakaṃ sadā // YRps_1.154 //	mardanAt-tIkzNa-cUrNena raQjayet-sUtakam sadA // YRpH-_1.154 //
   <mercury:: rañjana>	<mercuH-y:: raQjana>
   tāmrakalkīkṛtenaiva sthāpayetsaptavāsaram /	tAmra-kalkIkRtena-eva sTApayet-sapta-vAsaram /
   raṃjanaṃ sūtarājasya jāyate nātra saṃśayaḥ // YRps_1.155 //	raMjanam sUtarAjasya jAyate na-atra saMSayaH // YRpH-_1.155 //
   <mercury:: rañjana>	<mercuH-y:: raQjana>
   mṛṇmūṣā ca prakartavyā raktavargeṇa lepitā /	mRNmUzA ca prakartavyA raktavargeNa lepitA /
   tanmadhye pāradaṃ kṣiptvā dhmānād rañjanakaṃ bhavet // YRps_1.156 //	tad-maDye pAradam kziptvA DmAnAt raQjanakam Bavet // YRpH-_1.156 //
   mayā saṃkṣepataḥ proktaṃ raṃjanaṃ pāradasya hi /	mayA saMkzepataH proktam raMjanam pAradasya hi /
   śāstramārgeṇa bahudhā raṃjanaṃ hi nidarśitam // YRps_1.157 //	SAstra-mArgeNa bahuDA raMjanam hi nidarSitam // YRpH-_1.157 //
   <18. sevana>	<18. sevana>
   atha sevanakaṃ karma pāradasya daśāṣṭamam /	aTa sevanakam karma pAradasya daSa-azwamam /
   kathyate 'tra prayatnena vistareṇa mayādhunā // YRps_1.158 //	kaTyate atra prayatnena vistareNa mayA-aDunA // YRpH-_1.158 //
   yatnena sevitaḥ sūtaḥ śāstramārgeṇa siddhidaḥ /	yatnena sevitaH sUtaH SAstra-mArgeNa sidDi-daH /
   anyathā bhakṣitaścaiva viṣavanmārayennaram // YRps_1.159 //	anyaTA BakzitaH-ca-eva viza-vat-mArayet-naram // YRpH-_1.159 //
   ādau tu vamanaṃ kṛtvā paścādrecanamācaret /	AdO tu vamanam kRtvA paScAt-recanam-Acaret /
   tato mṛtābhraṃ bhakṣeta paścātsūtasya sevanam // YRps_1.160 //	tatas mRta-aBram Bakzeta paScAt-sUtasya sevanam // YRpH-_1.160 //
   samyak sūtavaraḥ śuddho dehalohakaraḥ sadā /	samyak sUta-varaH SudDaH deha-loha-karaH sadA /
   sevitaḥ sarvarogaghnaḥ sarvasiddhikaro bhavet // YRps_1.161 //	sevitaH sarva-roga-GnaH sarva-sidDi-karaH Bavet // YRpH-_1.161 //
   yāvanmānena lohasya gadyāṇe vedhakṛdbhavet /	yAvat-mAnena lohasya gadyANe veDa-kRt-Bavet /
   tāvanmānena dehasya bhakṣito rogahā bhavet // YRps_1.162 //	tAvat-mAnena dehasya BakzitaH roga-hA Bavet // YRpH-_1.162 //
   rājikātha priyaṃguśca sarṣapo mudgamāṣakau /	rAjikA-aTa priyaMguH-ca sarzapaH mudga-mAzakO /
   raktikā caṇako vātha vallamātro bhavedrasaḥ // YRps_1.163 //	raktikA caNakaH vA-aTa valla-mAtraH Bavet-rasaH // YRpH-_1.163 //
   eṣā mātrā rase proktā sarvakarmaviśāradaiḥ /	ezA mAtrA rase proktA sarva-karma-viSAradEH /
   anupānena bhuñjīta parṇakhaṇḍikayā saha // YRps_1.164 //	anupAnena BuQjIta parNa-KaNxikayA saha // YRpH-_1.164 //
   itthaṃ saṃsevite sūte sarvarogādvimucyate /	itTam saMsevite sUte sarva-rogAt-vimucyate /
   sarvapāpādvinirmuktaḥ prāpnoti paramāṃ gatim // YRps_1.165 //	sarva-pApAt-vinirmuktaH prApnoti paramAm gatim // YRpH-_1.165 //
   YRps, Adhyāya 2	YRps, ADyAyaH 2
   <pāradabandha>	<pArada-banDa>
   athedānīṃ pravakṣyāmi rasarājasya baṃdhanam /	aTa-idAnIm pravakzyAmi rasarAjasya baMDanam /
   anubhūtaṃ mayā kiṃcit gurūṇāṃ hi prasādataḥ // YRps_2.1 //	anuBUtam mayA kiMcid gurUNAm hi prasAdataH // YRpH-_2.1 //
   <bandhana:: subtypes>	<banDana:: subti-pes>
   baṃdhaścaturvidhaḥ prokto jalaukā khoṭapāṭakau /	baMDaH-caturviDaH proktaH jalOkA Kowa-pAwakO /
   tathā bhasmābhidhaḥ sākṣāt kathito'pi rasāgame // YRps_2.2 //	taTA Basma-aBiDaH sAkzAt kaTitaH-api rasa-Agame // YRpH-_2.2 //
   pakvabandho jalaukā syāt piṣṭīstambhastu khoṭakaḥ /	pakvabanDaH jalOkA syAt pizwI-stamBaH-tu KowakaH /
   pāṭaḥ parpaṭikābandho bhasma bhūtisamo bhavet // YRps_2.3 //	pAwaH parpawikA-banDaH Basma BUti-samaH Bavet // YRpH-_2.3 //
   <substances inducing bandhana>	<subH-tanceH indu-cinc banDana>
   mūlikātra maṇiścaiva svarṇakaṃ nāgavaṅgake /	mUlikA-atra maNiH-ca-eva svarNakam nAga-vaFgake /
   catvāra ete sūtasya bandhanasyātha kāraṇam // YRps_2.4 //	catvAraH ete sUtasya banDanasya-aTa kAraNam // YRpH-_2.4 //
   uttamo mūlikābandho maṇibandhastu madhyamaḥ /	uttamaH mUlikA-banDaH maNibanDaH-tu maDyamaH /
   adhamo dhātubandhastu pūtibandho 'dhamādhamaḥ // YRps_2.5 //	aDamaH DAtu-banDaH-tu pUtibanDaH aDama-aDamaH // YRpH-_2.5 //
   drutibandhaḥ pañcamo'sau dehalohakaraḥ sadā /	drutibanDaH paQcamaH-asO deha-loha-karaH sadA /
   abhradrutiviśeṣeṇa vijñeyo'sau bhiṣagvaraiḥ // YRps_2.6 //	aBra-druti-viSezeNa vijQeyaH-asO Bizaj-varEH // YRpH-_2.6 //
   <mūlikābandha>	<mUlikA-banDa>
   kramaprāptamidaṃ vakṣye mūlikābandhanaṃ rase /	krama-prAptam-idam vakzye mUlikA-banDanam rase /
   śuddho rākṣasavaktraśca rasaścābhrakajāritaḥ // YRps_2.7 //	SudDaH rAkzasavaktraH-ca rasaH-ca-aBraka-jAritaH // YRpH-_2.7 //
   iṅgudīmūlaniryāse marditaḥ pāradastryaham /	iFgudI-mUla-niryAse marditaH pAradaH-tri-aham /
   tata uddhṛtya vastreṇa baṃdhanaṃ kārayed bhiṣak // YRps_2.8 //	tatas udDRtya vastreNa baMDanam kArayet Bizaj // YRpH-_2.8 //
   kāṃjike svedanaṃ kuryān niyataṃ saptavāsaram /	kAMjike svedanam kuryAt niyatam sapta-vAsaram /
