   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   sa bāla āsīdvapuṣā caturbhujo mukhena pūrṇendunibhastrilocanaḥ  /	sa bAlaH AsIt vapuzA catur BujaH muKena pUrNa indu niBaH trilocanaH  /
   yuvākarākrāntamahībhṛduccakairasaṃśayaṃ saṃprati tejasā raviḥ  //	yuvA akara AkrAnta mahIBRt uccakEs asaMSayam saMprati tejasA raviH  //
   MSpv_1.70 //	MSpu _1.70 //
   svayaṃ vidhātā suradaityarakṣasāmanugrahāvagrahayoryadṛcchayā  /	svayam viDAtA sura dEtya rakzasAm anugraha avagra hayoH yadRcCayA  /
   daśānanādīnabhirāddhadaivatāvitīrṇavīryātiśayān hasatyasau  // MSpv_1.71	daSAnana AdIn aBirAdDa dEvata avitIrNa vIrya atiSayAn hasati asO  // MSpu _1.71
   balāvalepādadhunāpipūrvavaprabāddhyate tena jagajjigīṣuṇā  /	bala avalepAt aDunA apipUrvavaprabAdDyate tena jagat jigIzuNA  /
   satīva yoṣitprakṛtiḥ suniścalā pumāṃsaṃmabyeti bhavāntareṣvapi  //	satI iva yozit prakRtiH su niScalA pumAMsaMmabyA iti Bava antarezu api  //
   MSpv_1.72 //	MSpu _1.72 //
   tadenamullaṅghitaśāsanaṃ vidhervidhehi kīnāśaniketanātithim  /	tat enam ullaFGita SAsanam viDeH viDehi kInASa niketana atiTim  /
   śubhetarācāravipaktrimāpado vipādanīyā hi satāmasādhavaḥ  // MSpv_1.73 //	SuBa itara AcAra vipaktrim ApadaH vipAdanIyAH hi satAm asADavaH  // MSpu _1.73 //
   hṛdayamavirodhodayadadūḍhadraḍhima dadhātu punaḥ purandarasya  /	hRdayam aviroDa udayat a dUXa draXima daDAtu punar purandarasya  /
   ghanapulakapulomajākucāgradrutaparirambhanipīḍanakṣamatvam  // MSpv_1.74	Gana pulaka puloma ja akuca agra druta pariramBa nipIxana kzama tvam  // MSpu _1.74
   omityuktavato 'tha śāṅgiṇā iti vyāhṛtya vācaṃ nabhastasminnutpatite puraḥ	om iti uktavataH aTa SAFgiNAH iti vyAhRtya vAcam naBaH tasmin= utpatite puras 
   suramunāvindoḥ śriyaṃ bibhrati  /	sura munO= indoH Sriyam biBrati  /
   śatruṇāmaniśa vināśapiśunaḥ kruddhasya caidyaṃ prati vyomni	SatruNA Am aniSa vinASa piSunaH krudDasya cEdyam prati vyomni
   bhrakuṭicchalena vadane ketuśacakārāspadam  // MSpv_1.75 //	Brakuwi= Calena vadane ketu SacakAra Aspadam  // MSpu _1.75 //
   yiyakṣamāṇenāhūtaḥ pārthenātha dviṣanmuram  /	yiyakzamANena AhUtaH pArTena aTa dvizat muram  /
   abhicaidyaṃ pratiṣṭhāsurāsītkāryadvayākulaḥ  // MSpv_2.1 //	aBicEdyam pratizWA asurA AsIt kArya dvaya AkulaH  // MSpu _2.1 //
   sārthamudhdhavasīribhyāmathāsāvasadatsadaḥ /	sArTa muDDava sIriByAm aTa asO= asadat sadaH /
   gurukāvyānugāṃ bibhraccāndrīmabhinabhaḥ śriyam  // MSpv_2.2 //	guru kAvya anugAm biBrat cAndrIm aBinaBaH Sriyam  // MSpu _2.2 //
   jājvalyamānā jagataḥ śāntaye samupeyuṣī /	jAjvalyamAnA jagataH SAntaye samupeyuzI /
   vyadyotiṣṭasabhāvedyāmasau naraśikhitrayī  // MSpv_2.3 //	vyadyotizwa saBAvedyAm asO nara SiKi trayI  // MSpu _2.3 //
   ratnastambheṣu saṃkrāntapratimāste cakāśire  /	ratna stamBezu saMkrAnta pratimAH te cakASire  /
   ekākino 'pi paritaḥ pauruṣeyavṛtā iva  // MSpv_2.4 //	ekAkinaH api paritas pOruzeya vRtAH iva  // MSpu _2.4 //
   adhyāsāmāsuruttuṅgahemapīṭhāni yānyamī  /	aDyAsAma asuH uttuFga hema pIWAni yAni amI  /
   tairūhe keśārikrāntatrikūṭaśikhiropamā  // MSpv_2.5 //	tEH Uhe keSa ari krAnta trikUwa SiKira upamA  // MSpu _2.5 //
   gurudvayāya guruṇorubhayoratha kāryayoḥ  /	guru dvayAya guruNoH uBayoH aTa kAryayoH  /
   harivipratiṣedhaṃ tamamācacakṣe vicakṣaṇaḥ  // MSpv_2.6 //	hari vipratizeDam tamam Acacakze vicakzaNaH  // MSpu _2.6 //
   dyotitāntaḥsabhaiḥ kundakuḍmalāgradataḥ smitaiḥ  /	dyotita antaHsaBEH kunda kuxmala agra dataH smitEH  /
   snapitevābhavattasya śuddhavarṇā sarasvatī  // MSpv_2.7 //	snapitA iva aBavat tasya SudDa varNA sarasvatI  // MSpu _2.7 //
   bhavadgirāmavasarapradānāya vacāṃsi naḥ  /	Bavat girAm avasara pradAnAya vacAMsi naH  /
   pūrvaraṅgaḥ prasaṅgāya nāṭakīyasya vastunaḥ  // MSpv_2.8 //	pUrva raFgaH prasaFgAya nAwakIyasya vastunaH  // MSpu _2.8 //
   karadīkṛtabhūpālo bhrātṛbhirjitvarairdiśām  /	karadIkRta BUpAlaH BrAtRBiH jitvarEH diSAm  /
   vināpyasmadalaṃbhūṣṇurijyāyai tapasaḥ sutaḥ  // MSpv_2.9 //	vinA api asmad alaMBu uzNuH ijyAyE tapasaH sutaH  // MSpu _2.9 //
   uttiṣṭhamānastu paro nopekṣyaḥ patyamicchatā  /	uttizWamAnaH tu paraH na upekzyaH patyam icCatA  /
   samau hi śiṣṭairāmnātau vartsyantāvāmayaḥ sa ca  // MSpv_2.10 //	samO hi SizwEH AmnAtO vartsyantO= AmayaH sa ca  // MSpu _2.10 //
   na dūye sātvatīsūnuryanmahyamaparādhyati  /	na dUye sAtvatI sUnuH yat mahyam aparADyati  /
   yattu dahyante lokamado duḥkhākarotimām  // MSpv_2.11 //	yat tu dahyante loka madaH duHKAkarotimAm  // MSpu _2.11 //
   mama tāvanmatamidaṃ śrūyatāmaṅga vāmapi  /	mama tAvat matam idam SrUyatAm aFga vAm api  /
   jñātasāro 'pi khalvekaḥ saṃdigdhe kāryavastuni  // MSpv_2.12 //	jQAta sAraH api Kalu ekaH saMdigDe kArya vastuni  // MSpu _2.12 //
   yāvadarthapadāṃ vācamevamādāya mādhavaḥ  /	yAvadarTa padAm vAcam evam AdAya mADavaH  /
   virarāma mahīyāṃsaḥ prakṛtyā mitabhāṣiṇaḥ  // MSpv_2.13 //	virarAma mahIyAMsaH prakRtyAH mita BAziNaH  // MSpu _2.13 //
   tataḥ sapatnāpanayasmaraṇānuśayasphurā  /	tatas sapatna apanaya smaraNa anuSaya sPurA  /
   oṣṭhena rāmo rāmoṣṭhabimbacumbanacuñcunā  // MSpv_2.14 //	ozWena rAmaH rAma uzWa bimba cumbana cuQcunA  // MSpu _2.14 //
   vivakṣitāmarthavidastatkṣaṇapratisaṃhṛtāṃ  /	vivakzitAm arTa vidaH tad kzaNa pratisaMhRtAm  /
   prāpayanpavanavyādhergiramuttarapakṣatām  // MSpv_2.15 //	prApayan pavana vyADeH giram uttara pakzatAm  // MSpu _2.15 //
   ghūrṇayanmadirāsvādamadapāṭalitadyutī  /	GUrNayat madirA AsvAda mada pAwalita dyutI  /
   revatīvadanocchiṣṭaparipūtapuṭe dṛśau  // MSpv_2.16 //	revatI vadana ucCizwa paripUta puwe dRSO  // MSpu _2.16 //
   āśleṣalolupavadhūstanakārkaśyasākṣiṇīṃ  /	ASleza lolupa vaDU stana kArkaSyasa akziNIm  /
   mlāpayannabhimānoṣṇairvanamālāṃ mukhānilaiḥ  // MSpv_2.17 //	mlApayan= aBimAna uzNEH vanamAlAm muKa anilEH  // MSpu _2.17 //
   dadhatsaṃndhyāruṇavyomasphurattārānukāriṇīḥ  /	daDat saMnDya aruNa vyoma sPurattAra anukAriNIH  /
   dvaṣadveṣoparaktāṅgasaṅginīḥ svedavipruṣaḥ  // MSpv_2.18 //	dvaza dveza uparakta aFga saFginIH sveda vipruzaH  // MSpu _2.18 //
   prollasatkuṇaḍalaprotapadmarāgadalatviṣā  /	prollasat kuNa xala prota padmarAga dala tvizA  /
   kṛṣṇottarāsaṅgarucaṃ vidadhaccautapallavīm  // MSpv_2.19 //	kRzNa uttarAsaFga rucam vidaDat cOta pallavIm  // MSpu _2.19 //
   kakudmikanyāvaktrāntarvāsalabdhādhivāsayā  /	kakudmi kanyA vaktra antar vAsa labDa aDivAsayA  /
   mukhamodaṃ madirayā  kṛtānuvyādhamudvaman  // MSpv_2.20 //	muKa modam madirayA  kRta anuvyADam udvaman  // MSpu _2.20 //
   jagādavadanachadmapadmaparyantapātinaḥ  /	jagAda vadana Cadma padma paryanta pAtinaH  /
   nayanmadhulihaḥ śvaityamudagradaśanāṃśubhiḥ  // MSpv_2.21 //	nayat maDu lihaH SvEtyam udagra daSana aMSuBiH  // MSpu _2.21 //
   yadvāsudevenādīnamanādīnavamīritam  /	yat vAsudevena AdInam anAdInavam Iritam  /
   vacasastasya sapadi kriyā kevalamuttaram  // MSpv_2.22 //	vacasaH tasya sapadi kriyA kevalam uttaram  // MSpu _2.22 //
   naitallaghvapi bhūyasyā vaco vācātiśayyate  /	na etat laGu api BUyasyAH vacaH vAcA atiSayyate  /
   indhanaughadhagapyagnitviṣā nātyeti pūṣaṇam  // MSpv_2.23 //	inDana oGa Dagapi agni tvizA na atyeti pUzaNam  // MSpu _2.23 //
   saṃkṣiptasyāpyato 'syaiva vākyasyārthagarīyasaḥ  /	saMkziptasya api atas asya eva vAkyasya arTa garIyasaH  /
   suvistaratarā vāco bhūṣyabhūtā bhavantu mo  // MSpv_2.24 //	su vistaratarAH vAcaH BUzya BUtAH Bavantu maH  // MSpu _2.24 //
   virodhivacaso mūkānvagīśānapi kurvate  /	viroDi vacasaH mUkAn vagISAn api kurvate  /
   jaḍānapyanulomārthānpravācaḥ kṛtināṃ giraḥ  // MSpv_2.25 //	jaxAn api anuloma arTAn pravAcaH kRtinAm giraH  // MSpu _2.25 //
   ṣaḍguṇāḥ śaktayastisraḥ siddhayodayāstrayaḥ  /	zaxguNAH SaktayaH tisraH sidDayA udayAH trayaH  /
   grandhānadhītya vyākartumiti durmedhaso 'pyalam  // MSpv_2.26 //	granDAn aDItya vyAkartum iti durmeDasaH api alam  // MSpu _2.26 //
   anirloḍitakāryasya vāgjālaṃ vāgmino vṛthā  /	anirloxita kAryasya vAc jAlam vAgminaH vRTA  /
   nimittādaparāddheṣordhānuṣkasyeva valgitam  // MSpv_2.27 //	nimittAt aparAt hezorDa anuzkasya iva valgitam  // MSpu _2.27 //
   sarvakāryaśarīreṣu muktvāṅgaskandapañcakam  /	sarva kArya SarIrezu muktvA aFga skanda paQcakam  /
   saugatānāmivātmānyo nāsti mantro mahībhṛtām  // MSpv_2.28 //	sOgatAnAm iva AtmA anyaH na asti mantraH mahIBRtAm  // MSpu _2.28 //
   mantro yodha ivādhīraḥ sarvāṅgaiḥ saṃvṛtairapi  /	mantraH yoDaH iva aDIraH sarva aFgEH saMvRtEH api  /
   ciraṃ na sthātuṃ parebhyo bhedaśaṅkayā  // MSpv_2.29 //	ciram na sTAtum pareByaH Beda SaFkayA  // MSpu _2.29 //
   ātmodayaḥ parajyānirdvayaṃ nītiritīyati  /	Atma udayaH para jyAnirdvayam nItiH itIyati  /
   tadūrīkṛtya kṛtibhirvācaspatyaṃ pratāyate  // MSpv_2.30 //	tat UrIkRtya kRtiBiH vAcaspatyam pratAyate  // MSpu _2.30 //
   tṛptiyogaḥ pareṇāpimahimnā na mahātmanām  /	tRpti yogaH pareNa api mahimnA na mahAtmanAm  /
   pūrṇaścandrodayākāṅkṣī dṛṣṭānato 'tra mahārṇavaḥ  // MSpv_2.31 //	pUrNaH candra udaya AkAFkzI dRzwa AnataH atra mahA arNavaH  // MSpu _2.31 //
   saṃpadāsusthiraṃmanyo bhavati svalpayāpi yaḥ  /	saMpadAsu sTiraMmanyaH Bavati su alpayA api yaH  /
   kṛtakṛtyo vidhirmanye na vardhayanti tasya tām  // MSpv_2.32 //	kRtakRtyaH viDiH manye na varDayanti tasya tAm  // MSpu _2.32 //
   śamūlaghātamaghnantaḥ parānnodyanti māninaḥ   /	SamUla GAtam aGnantaH parAn na udyanti mAninaH   /
   pradhvaṃsitāndhatamasastatrodāharaṇaṃ raviḥ  // MSpv_2.33 //	praDvaMsita anDatamasaH tatra udAharaNam raviH  // MSpu _2.33 //
   vipakṣamamakhilīkṛtya pratiṣṭhā khalu durlabhā  /	vipakzamam aKilIkRtya pratizWA Kalu durlaBA  /
   anītvā paṅkatāṃ dhūlimudakaṃ nāvatiṣṭhate  // MSpv_2.34 //	anItvA paFkatAm DUlim udakam na avatizWate  // MSpu _2.34 //
   dhriyateyāvadeko 'pi ripustāvatkutaḥ sukham  /	DriyateyAvat ekaH api ripuH tAvat kutas suKam  /
   puraḥ klaśnāti somaṃ hi saiṃhikeyo 'suradruhām  // MSpv_2.35 //	puras klaSnAti somam hi sEMhikeyaH asura druhAm  // MSpu _2.35 //
   sakhāgarīyān śatruśchakṛtrimastau hi kāryataḥ  /	saKA garIyAn SatruH CakRtrimaH tO hi kAryataH  /
   syātāmamitrau mitreca sahajaprakṛtāvapi  // MSpv_2.36 //	syAtAm amitrO mitreca sahaja prakRtO= api  // MSpu _2.36 //
   upakartrariṇā saṃdhirna mitreṇāpakāriṇā  /	upakartrariNA saMDiH na mitreNa apakAriNA  /
   upakārāpakārau hi lakṣyaṃ lakṣamametayoḥ  // MSpv_2.37 //	upakAra apakArO hi lakzyam lakzamametayoH  // MSpu _2.37 //
   tvayāviprakṛtaścaidyo rukmiṇīṃ haratāhare  /	tvayA aviprakRtaH cEdyaH rukmiNIm haratA hare  /
   baddhamūlasyamūlaṃ hi mahadvairataroḥ striyaḥ  // MSpv_2.38 //	badDa mUlasyamUlam hi mahat vEra taroH striyaH  // MSpu _2.38 //
   tvayi bhaumaṃ gate jetumarautsītsa purīmimām  /	tvayi BOmam gate jetum arOtsIt sa purIm imAm  /
   proṣitāryamaṇaṃ merorandhakārastaṭīmiva  // MSpv_2.39 //	prozitAryamaNam meroH anDakAraH tawIm iva  // MSpu _2.39 //
   ālāpyālamidaṃ babhroyatsa dārānapāharat  /	AlApya alam idam baBroyat sa dArAn apAharat  /
   kathāpi khalu pāpānāmalamaśreyase yataḥ  // MSpv_2.40 //	kaTA api Kalu pApAnAm alam aSreyase yatas  // MSpu _2.40 //
   virāddha evaṃ bhamatā virāddhā bahudhā ca naḥ  /	virAdDaH evam BamatA virAdDA bahuDA ca naH  /
   nirvatyate 'riḥ kriyayā sa śrutaśravasaḥ sutaḥ  // MSpv_2.41 //	nirvatyate ariH kriyayA sa SrutaSravasaH sutaH  // MSpu _2.41 //
   vidhāyavairaṃ sāmarṣenare 'rau yaḥ udāsate  /	viDAya vEram sAma rzenare arO yaH udAsate  /
   prakṣipyodarciṣaṃ kakṣe śerate te 'bhimārutam  // MSpv_2.42 //	prakzipya udarcizam kakze Serate te aBimArutam  // MSpu _2.42 //
   manāganabhyavṛtyā vā kāmaṃ kṣāmyatatu yaḥ kṣamī  /	manAganaBya vRtyA vA kAmam kzAmyatatu yaH kzamI  /
   krayāsamabhihāreṇa virādyantaṃ kṣameta kaḥ  // MSpv_2.43 //	krayAsam aBihAreNa virAdi antam kzameta kaH  // MSpu _2.43 //
   anyadā bhūṣaṇaṃ puṃsaḥ kṣamā lajjeva yoṣitaḥ  /	anyadA BUzaNam puMsaH kzamA lajjA iva yozitaH  /
   parākramaḥ paribhave vaiyātyaṃ surateṣviva  // MSpv_2.44 //	parAkramaH pariBave vEyAtyam suratezu iva  // MSpu _2.44 //
   mājīvanyaḥ parāvajñādukhadagdho 'pi jīvati  /	mAjIvanyaH para avajQA t uKa dagDaH api jIvati  /
   tasyājananirevāstu jananīkleśakāriṇaḥ  // MSpv_2.45 //	tasya ajana nirevAH tu jananI kleSa kAriNaH  // MSpu _2.45 //
   padāhataṃ yadutthāya mūrdhānamadhirohati  /	pada Ahatam yat utTAya mUrDAnam aDirohati  /
   svasthādevavapamāne 'pi dehinastadvaraṃ rajaḥ  // MSpv_2.46 //	svasTAdeva vapamAne api dehinaH tad varam rajaH  // MSpu _2.46 //
   asaṃpādayataḥ kañcidarthaṃ  jātikriyāguṇaiḥ  /	asaMpAdayataH kaQcid arTam  jAti kriyA guNEH  /
   yadṛcchaśabdavatpuṃsaḥ saṃjñāyai janma kevalam  // MSpv_2.47 //	yadRcCa Sabda vat puMsaH saMjQAyE janma kevalam  // MSpu _2.47 //
   tuṅgatvamitarā nādrau nedaṃ sindhāvāgādhatā  /	tuFga tvam itarA na adrO na idam sinDAvAgADatA  /
   alaṅghanīyatāheturubhayaṃ tanmanasvini  // MSpv_2.48 //	alaFGanIya tA hetuH uBayam tad manasvini  // MSpu _2.48 //
   tulye 'parādhe svarbhānurbhānumantaṃ cireṇa yat  /	tulye aparADe svarBAnuH BAnumantam cireNa yat  /
   himāṃśumāśu grasate tanmradimnaḥ sphuṭaṃ phalam  // MSpv_2.49 //	himAMSum ASu grasate tad mradimnaH sPuwam Palam  // MSpu _2.49 //
   svayaṃ praṇate 'lpe 'pi paravāyāvupeyuṣī  /	svayam praNate alpe api para vAyO= upeyuzI  /
   nidarśanamasārāṇāṃ laghurbahutṛṇaṃ naraḥ  // MSpv_2.50 //	nidarSa nam asArANAm laGuH bahutRNam naraH  // MSpu _2.50 //
   tejasvimadhye tejasvī davīyānapi gaṇyate  /	tejasvi maDye tejasvI davIyAn api gaNyate  /
   pañcama pañcapasastapano jātavedasām  // MSpv_2.51 //	paQcama paQcapasaH tapanaH jAtavedasAm  // MSpu _2.51 //
   akṛtvā helayā pādamuccairmūrdhasu vidvaṣām  /	akRtvA helayA pAdam uccEs mUrDasu vidvazAm  /
   kathaṅkāramanālambā kīrtidyāmadhirohati  // MSpv_2.52 //	kaTaFkAram anAlambA kIrtidyAm aDirohati  // MSpu _2.52 //
   aṅgādhiropitaścandramā mṛgalāñchanaḥ  /	aFga aDiropitaH candramAH mRga lAQCanaH  /
   keśarī niṣṭhurākṣiptamṛgayūtho mṛgādhipaḥ  // MSpv_2.53 //	keSarI nizWura Akzipta mRga yUTaH mRgADipaH  // MSpu _2.53 //
   caturthopāyasādhyetu ripau sāntvamapakriyā  /	caturTa upAya sADyetu ripO sAntvam apakriyA  /
   svedyamāmajvaraṃ prājñaḥ ko 'mbhasā pariṣiñcati  // MSpv_2.54 //	svedyam Ama jvaram prAjQaH kaH amBasA pariziQcati  // MSpu _2.54 //
   sāmavādāḥ sakopasya tasya pratyuta dīpakāḥ  /	sAmavAdAH sa kopasya tasya pratyuta dIpakAH  /
   prataptasyeva sahasā sarpiṣastoyabindavaḥ  // MSpv_2.55 //	prataptasya iva sahasA sarpizaH toya bindavaH  // MSpu _2.55 //
   guṇānāmāyathātathyādarthaṃ viplāvayanti ye  /	guNAnAm AyaTA taTyAdarTam viplAvayanti ye  /
   amātyavyañjanārājñāṃ dūṣyāste śatrusaṃjñitāḥ  // MSpv_2.56 //	amAtya vyaQjana ArAjQAm dUzyAH te Satru saMjQitAH  // MSpu _2.56 //
   svaśaktyupacaye kecitparasya vyasane 'pare  /	sva Sakti upacaye kecid parasya vyasane apare  /
   yānamāhustadāsīnaṃ tvāmutthāpayati dvayam  // MSpv_2.57 //	yAnam AhuH tat AsInam tvAm utTApayati dvayam  // MSpu _2.57 //
   lilaṅghayiṣato lokānalaṅghyānalaghīyasaḥ  /	lilaFGayizataH lokAn alaFGya analaGIyasaH  /
   yādavāmbhonidhīnrundhe veleva bhavataḥ kṣamā  // MSpv_2.58 //	yAdava amBaH niDIn runDe velA iva BavataH kzamA  // MSpu _2.58 //
   vijayasvayi senāyāḥ sākṣimātre 'pādiśyatām  /	vijaya svayi senAyAH sAkzi mAtre apAdiSyatAm  /
   phalabhāji samīkṣyokte buddherbhoga ivātmani  // MSpv_2.59 //	Pala BAji samIkzya ukte budDeH BogaH iva Atmani  // MSpu _2.59 //
   hṛtehiḍimbaripuṇā rājñi dvaimāture yudhi  /	hRta Ihiximba ripuNA rAjQi dvEmAture yuDi  /
   cirasya mittravyasani sudamo damaghoṣajaḥ  // MSpv_2.60 //	cirasya mittra vyasani su damaH damaGoza jaH  // MSpu _2.60 //
   nītirāpadi yadgamyaḥ parastanmānino hriye  /	nItiH Apadi yat gamyaH paraH tad mAninaH hriye  /
   vidhurvidhuntasyeva pūrṇastasyotsavāya saḥ  // MSpv_2.61 //	viDuH viDuntasya iva pUrNaH tasya utsavAya saH  // MSpu _2.61 //
   anyaducchṛṅghalaṃ satvamanyatchchāstraniyantritaṃ  /	anyat ucCRFGalam satvam anyatSSAstra niyantritam  /
   sāmānādhikaraṇyaṃ hi tejastamirayoḥ kutaḥ  // MSpv_2.62 //	sAmAnADikaraNyam hi tejaH tamirayoH kutas  // MSpu _2.62 //
   indraprasthagamastāvatkāri mā santu cedayaḥ  /	indraprasTa gamaH tAvat kAri mA santu cedayaH  /
   āsmākadantisānnidhyādvāmanībhūtabhūruhaḥ  // MSpv_2.63 //	AsmAka danti sAnniDyAt vAmanIBUta BUruhaH  // MSpu _2.63 //
   niruddhavīvadhāsāraprasārā gā iva vrajam  /	nirudDavIvaDA sAra prasArAH gAH iva vrajam  /
   uparundhantu dāśārhāḥ purīṃ māhiṣmatīṃ dviṣaḥ  // MSpv_2.64 //	uparunDantu dASArhAH purIm mAhizmatIm dvizaH  // MSpu _2.64 //
   yajatāṃ pāṇḍavaḥ  svargamavatvindraspasvinaḥ  /	yajatAm pANxavaH  svargam avatu indraspasvinaH  /
   vayaṃ hanāma dviṣataḥ sarvaḥ svārthaṃ samīhate  // MSpv_2.65 //	vayam hanAma dvizataH sarvaH sva arTam samIhate  // MSpu _2.65 //
   prāpyatāṃ vidyutāṃ saṃpadsaṃparkādarkarociṣām  /	prApyatAm vidyutAm saMpad saMparkAt arka rocizAm  /
   śastraidviṣacchiraśchedaprocchalacchoṇitokṣitaiḥ  // MSpv_2.66 //	SastrEdvizad SiraH Ceda procCala= SoNita ukzitEH  // MSpu _2.66 //
   itisaṃrambhiṇo vāṇīrbalasyālekhyadevatāḥ  /	itisaMramBiNaH vANIH balasya AleKya devatAH  /
   sabhābhittipratidhvanairbhayādanvavadanniva  // MSpv_2.67 //	saBA Bitti pratiDvanEH BayAt anvavadan= iva  // MSpu _2.67 //
   niśamya tāḥ śeṣagavīramabhidhātumadhokṣajaḥ  /	niSamya tAH Seza ga vIram aBiDAtum aDokzajaH  /
   śiṣyāya bṛhatāṃ pratyuḥ prastāvamadiśaddṛśā  // MSpv_2.68 //	SizyAya bRhatAm pratyuH prastAvam adiSat dRSA  // MSpu _2.68 //
   bhāratīmāhitabharāmathānuddhatamuddhavaḥ  /	BAratIm Ahita BarAm aTa anudDatam udDavaH  /
   tathyāmutathyānujavajjagādāgre gadāgrajam  // MSpv_2.69 //	taTyAm utaTyA anuja vat jagAda agre gadAgrajam  // MSpu _2.69 //
   saṃpratyasāṃprataṃ vaktumukte musalapāṇinā  /	saMprati asAMpratam vaktu mukte musala pANinA  /
   nirdhāriter'the lekhenakhalūktvā khaluvācikam  // MSpv_2.70 //	nirDAriter aTe leKena Kalu uktvA Kalu vAcikam  // MSpu _2.70 //
   tathāpi yanmayyapi te gururityasti gauravam  /	taTA api yat mayi api te guruH iti asti gOravam  /
   tatprayojakakartṛtvamupaiti mama jalpataḥ  // MSpv_2.71 //	tad prayojaka kartR tvam upEti mama jalpataH  // MSpu _2.71 //
   varṇai katipayaireva grathitasya svarairiva  /	varNEH katipayEH eva graTitasya svarEH iva  /
   anantā vāṅmayasyāho geyasyeva vicitratā  // MSpv_2.72 //	anantA vAc mayasya aho geyasya iva vicitra tA  // MSpu _2.72 //
   bahvapi svecchayā kāmaṃ prakīrṇamabhidhīyate  /	bahu api sva icCayA kAmam prakIrNam aBiDIyate  /
   anujjhitarthasaṃbandhaḥ prabandho durudāharaḥ  // MSpv_2.73 //	anujJitarTa saMbanDaH prabanDaH durudAharaH  // MSpu _2.73 //
   mradīyasīmapi ghanāmanalpaguṇakalpitām  /	mradIyasIm api GanAm analpa guNa kalpitAm  /
   prasārayanti kuśalāścitrāṃ vācaṃ paṭīmiva  // MSpv_2.74 //	prasArayanti kuSalAH citrAm vAcam pawIm iva  // MSpu _2.74 //
   viśeṣaviduṣaḥ śāstraṃ yattavodgrāhyate puraḥ  /	viSeza viduzaH SAstram yat tava udgrAhyate puras  /
   hetuḥ paricayasthairye vakturguṇanikaiva sā  // MSpv_2.75 //	hetuH paricaya sTErye vaktuH guNa nikA eva sA  // MSpu _2.75 //
   pajñotsāhavataḥ svāmī yatetādhātumātmani  /	pajQA utsAhavataH svAmI yateta ADAtum Atmani  /
   tau hi mūlamudeṣyantyā jigīṣorātmasaṃpadaḥ  // MSpv_2.76 //	tO hi mUlam udezyantyAH jigIzoH Atma saMpadaH  // MSpu _2.76 //
   sopadhānāṃ dhiyaṃ dhīrāḥ stheyasīṃ khaṭvayanti ye  /	sa upaDAnAm Diyam DIrAH sTeyasIm Kawvayanti ye  /
   tatrāniśaṃ niṣamṇṇāste jānate jātu na śramaṃm  // MSpv_2.77 //	tatra aniSam nizamNNAH te jAnate jAtu na SramaMm  // MSpu _2.77 //
   spṛśanti śaravattīkṣṇastokamantarviśanti ca  /	spRSanti Sara vat tIkzNa stokam antar viSanti ca  /
   bahuspṛśāpi sthūlena sthīyate bahiraśmavat  // MSpv_2.78 //	bahu spRSA api sTUlena sTIyate bahis aSma vat  // MSpu _2.78 //
   ārabhante 'lpamevājñāḥ kāmaṃ vyagrā bhavanti ca  /	AraBante alpam eva ajQAH kAmam vyagrAH Bavanti ca  /
   mahārambhāḥ kṛtadhiyastiṣṭhanti ca nirākulāḥ  // MSpv_2.79 //	mahA AramBAH kRta DiyaH tizWanti ca nirAkulAH  // MSpu _2.79 //
   upāyamasthitasyāpi naśyantyarthāḥ pramādyataḥ  /	upAyam asTitasya api naSyanti arTAH pramAdyataH  /
   hanti nopaśayastho 'pi śayālurmṛgayurmṛgān  // MSpv_2.80 //	hanti na upaSaya sTaH api SayAluH mRgayuH mRgAn  // MSpu _2.80 //
   udetumatyajannīhāṃ rājasu dvadaśasvapi  /	udetum atyajat nIhAm rAjasu dvadaSasu api  /
   jigīṣureko dinakṛdādityeṣviva kalpate  // MSpv_2.81 //	jigIzuH ekaH dinakRt Adityezu iva kalpate  // MSpu _2.81 //
   buddhiśastraḥ prakṛtyaṅgo ghanasaṃvṛtikañcukaḥ  /	budDi SastraH prakRti aFgaH Gana saMvRti kaQcukaH  /
